-0.0049397+0.00086536i,-0.0024585-0.00051812i,-0.0027545-0.00019055i,-0.0027846+0.0013767i,-0.0019669+0.0027607i,-0.0013181+0.0019676i,-0.00026636+0.0017071i,0.00078783+0.0015043i,0.00091184+0.0011335i,0.00072161+0.00097276i,0.00074836+0.00075942i,0.00051017+0.00024672i,-5.0238e-05-0.00053312i,2.9962e-05-0.001106i,-9.2897e-05-0.0011658i,-0.00053021-0.00034354i,-0.00063773+0.00040751i,-0.0006277+1.1175e-06i,-0.00068116+0.0001384i,-0.00084151+0.00048083i,-0.00076148+3.944e-05i,-0.00074981+0.0003285i,-0.0011532+0.00031887i
-0.0009531-0.0010401i,-0.00091381-0.00070586i,-0.0013547-0.00054529i,-0.0018462-0.00083647i,-0.0012975-0.00011559i,-0.00055309+8.7667e-06i,-0.0001277+0.00035119i,0.00015276+0.00020717i,0.00041824-0.00011948i,0.00091094-0.00016263i,0.00032673-0.00014764i,-0.00027254+0.00025169i,-0.00053996-0.00038941i,-0.00057066-0.00073365i,-0.00045774-0.0001107i,-0.00040714+0.00023053i,0.00025068+0.00030441i,-8.0462e-05-0.00018978i,-0.00077468-0.00072797i,-0.0003732-0.00038024i,-0.00061254+0.00051386i,-0.00078981+0.0010486i,0.00011875+0.00094066i
0.0020149-0.00043394i,0.00093734-7.8072e-05i,0.00032952-0.00037287i,-3.167e-05-0.00089596i,-0.00033837-0.0012494i,-0.00076902-0.0014034i,-5.8647e-05-0.00015616i,0.00080404+0.0010021i,0.00039119+0.00033597i,-0.00027561+4.0762e-06i,-0.00064445+3.009e-05i,-0.00046912+0.00030807i,-0.00024228+0.00066304i,-0.00074478+0.00097999i,-0.00088053+0.0010242i,-0.0010379+0.00015298i,-0.0012938-0.00054423i,-0.0013005-0.0011491i,-0.0010572-0.0015843i,-0.001228-0.0012188i,-0.0010021-0.00030124i,-4.9748e-05+0.00017278i,-3.5111e-05+0.00061042i
-0.0008741+9.8679e-05i,-0.00068452+0.00025864i,-0.0023612+0.00087362i,-0.0018677+0.0010229i,0.00071085+0.0017371i,0.00060865+0.0017652i,0.00018248+0.00096246i,0.0013547+8.8655e-05i,0.0016333-0.00077691i,0.00064879-0.0012068i,3.8486e-07-0.0010348i,-0.00055664-0.00090877i,-0.00062157-0.00077098i,-0.00060501-0.00029695i,-0.00037844-0.0004826i,-0.00057669-0.00080221i,-0.00061971-0.00036205i,-0.00037817-0.0001103i,-0.00062358-0.00022858i,-0.00047077-0.00017313i,-7.6579e-05+0.00024851i,-0.00025028+0.00029618i,-0.00045082-0.00028561i
0.00026448-0.00044984i,0.00033907-0.0003582i,-0.00065075-0.00090005i,-0.0014032-0.0012939i,-0.0015364-0.00083213i,-0.0015702+0.000187i,-0.00082367+0.0010487i,0.00023287+0.00066708i,0.00033838-0.00023172i,-6.7976e-05-0.00034861i,-0.00023458-0.00061899i,-0.00059092+9.0235e-05i,0.00022664+0.00078434i,0.0013879+0.00046386i,0.0010775+0.0005249i,0.00076528+6.9846e-05i,0.00057628-0.00048723i,0.00017846-0.000538i,-0.00013698-0.00089635i,0.00012377-0.0004308i,-0.00028038+0.00025763i,-0.00064641+0.00042397i,-0.0003596+0.00051373i
0.0010978-0.00053936i,0.0011525+0.00058645i,0.00010803-0.00011679i,-0.00019353-0.00021455i,-0.0010074+4.6306e-05i,-0.0015191-0.00049167i,-0.00035845+0.00056732i,0.00079973+0.0012274i,0.00079363+0.00027917i,0.00030914-0.00028629i,-0.00033775-0.000809i,-0.0006327-0.00088722i,-0.00077947-0.00020762i,-0.0013396+0.00017826i,-0.00055737+0.0003671i,0.00036941+0.00016439i,-0.00022686-0.00054595i,-0.00069383-0.001432i,-0.00028379-0.00083932i,0.00054656+0.00029577i,0.00088659+0.00036849i,0.00034627-0.00027295i,-0.00017799-0.00031457i
0.0014793+0.00038264i,0.0012372+0.00076351i,0.0009916+0.00054057i,0.00019487-0.00016868i,-0.00084168-0.00010202i,-0.00071571+0.00067822i,7.6375e-05+0.00064245i,0.00081117+0.00016262i,0.00096138-0.00063909i,-1.5012e-05-0.0015134i,-0.00044166-0.00077989i,-0.00069279+0.0012607i,-0.00068955+0.0014267i,-0.00039079+0.00018652i,-0.00077729-0.00044984i,-0.00071255-0.000183i,0.00016531+0.00036859i,0.0001937+0.00055302i,3.2108e-05+0.00065724i,-3.9959e-05+0.00040255i,-0.00064699-0.00022755i,-0.0012239-8.3462e-05i,-0.00034216-3.0588e-05i
-0.0021976+0.0015384i,-0.0018048+0.0014455i,-0.00064906+0.0019671i,-0.00048606+0.0017832i,-0.0010817+0.0011507i,-0.00061271+0.0012378i,0.00045487+0.0011874i,0.0012788+0.00078909i,0.0006991+0.00052432i,-0.0003296+0.00046307i,-0.00028965+0.00024597i,-0.0002441-0.00017419i,-0.00089316-0.00074796i,-0.0015598-0.00059388i,-0.0012332-0.00030865i,-0.000435-3.2726e-05i,-0.000296+1.0473e-05i,-0.00080068-0.00044962i,-0.00082469-0.00079096i,-0.00019813-0.00044237i,3.4286e-05+0.00039925i,0.00038714+0.00082731i,-9.1214e-07+0.00033893i
-0.00054926-0.00070575i,-0.00067735-0.0010693i,-0.0005732-0.0016137i,-0.00018945-0.00093284i,-0.00085645-0.00013675i,-0.00087106+0.00033143i,0.00027221+0.00078354i,0.00047846+0.00067726i,0.00021524-0.00050832i,0.00013317-0.0014702i,0.00024705-0.0010097i,-2.4126e-05+5.0145e-05i,-4.7291e-05+0.00071518i,0.00020583+0.00073327i,-0.00016804+0.00019099i,-0.00047416-0.00075907i,-2.0008e-05-0.00043628i,0.00017974-0.00017918i,0.00046816-0.00053577i,0.00029206-0.00083752i,-0.00040183-0.0012616i,-0.0005598-0.00037935i,-0.00064487+0.00025189i
0.0001229-0.00071834i,0.00024691-0.0007523i,-0.00067513-0.0011825i,-0.0010618-0.0012684i,-4.0235e-05-0.00030803i,0.00013626+0.00077796i,-0.00070006+0.0007763i,-0.00074318+0.00015028i,-0.00040628-0.00053896i,-0.00062199-0.0010302i,-0.00044051-0.00077628i,0.00040972-0.00043756i,-0.00014529+0.00028325i,-0.0012511+0.0003549i,-0.00049759-0.00038221i,-0.0004507-0.00048704i,-0.0011214-0.000875i,-0.0013273-0.0015054i,-0.0019584-0.001297i,-0.0014266-0.0011197i,-0.00023065-0.001226i,-0.00032538-0.00069157i,-0.00043483-0.00015221i
0.00016954-0.00041514i,-0.00085765+0.00032068i,-0.0019074+0.00023379i,-0.0015787-0.00026415i,-0.00078294+0.00016074i,-0.00032248+0.0013066i,-0.0003188+0.0013549i,9.3787e-06+0.00047939i,0.00031474-0.00066579i,-0.00048193-0.00063202i,-0.0010195+0.00031006i,-0.001038+0.00064127i,-0.00083242+0.00035768i,-0.00060892+0.0001422i,-0.00023442-0.00011049i,1.0263e-05-0.00034141i,-0.00012489-0.00065707i,-0.00029605-0.00077876i,1.5282e-05-0.00046137i,0.00051485-0.0004981i,0.0001391-0.00030551i,-0.00048168-0.00027849i,-6.1959e-05-0.00039415i
-0.0014218-0.0014867i,-0.00051216-0.0017137i,-0.00056276-0.00063555i,-0.00098993+0.00037106i,-0.0011655+0.00062775i,-0.0006361+0.00091448i,8.0603e-05+0.00047702i,0.00020682-0.00031133i,0.00040937-0.00061019i,2.6763e-05-3.8046e-05i,-0.00067799+0.00042334i,0.0001697+0.00071719i,0.00083186-7.6571e-05i,0.00054697-0.0010797i,-0.00027341-0.00051405i,-0.00054734-0.00021057i,-0.00051823-0.00036706i,-0.00076523-0.00080464i,0.00028337-0.00098933i,0.00021577-0.00061053i,-0.00082773-3.1032e-05i,-0.00060027+0.00021856i,-0.00060162+0.000315i
-0.00086597+0.00025799i,-0.00088255+0.00022964i,-0.0012709+0.00063238i,-0.00094015+0.0010537i,0.0002026+0.0012057i,0.00083819+0.001114i,0.00010972+0.00059567i,6.4953e-05-0.00029586i,0.00054519-0.00036734i,0.00013018-0.00019773i,0.0001746+4.1042e-05i,0.00023731+0.0003735i,0.00052617-0.00066054i,-0.00032138-0.0006998i,-0.001459+7.0139e-05i,-0.0011738+0.00023038i,-0.00062501-0.00039744i,1.5193e-05-0.0011089i,0.00014133-0.00049999i,9.5085e-05+0.00063264i,-0.000456+0.00080223i,-0.0011505+0.0003017i,-0.0009981+6.546e-05i
0.00038828-0.00027055i,0.00091509-0.00095214i,0.00059241-4.2245e-06i,-3.9442e-05+0.00042306i,-0.00076764-1.5711e-05i,-0.001272+0.00014756i,-0.0014038+0.00025649i,-0.00095057+4.071e-05i,-0.00050855-0.00031167i,-0.00036812-0.00039622i,-0.00093535+0.0001463i,-0.00058009+0.00049986i,0.00045656+0.00057914i,5.0529e-05+0.00043291i,-0.00012998+0.00054483i,-0.00026986+0.00036504i,-0.00061141-0.00052643i,-0.00055408-0.00095257i,-0.00098465-0.0012615i,-0.0014833-0.00019426i,-0.001043+0.00032631i,-0.00072226-0.00043674i,-0.0003263-0.00022014i
0.00030133+0.0007476i,0.00020873+0.00076628i,-8.1785e-07+0.00096269i,0.00022116+0.0005153i,-0.00046516+0.00035745i,-0.0015963+0.00044223i,-0.00085419+0.00021394i,0.00033937+0.00025363i,0.00033142-0.00021757i,1.3709e-05-0.00038581i,7.7486e-05+0.00033382i,0.00017802+0.00044502i,0.00032216+0.00010824i,0.00031443-0.00061769i,-0.0002002-0.00068582i,-0.0010629-0.00059781i,-0.0013861-0.00099244i,-0.0010208-0.0011524i,-0.00020843-0.0010536i,5.0866e-05-0.00046228i,8.4359e-06+0.00064893i,0.00052956+0.0009762i,0.0007889+0.00099274i
6.9176e-07+0.00067895i,0.00056678+0.0011382i,0.0016016+0.0013807i,0.0017268+0.0016875i,0.0010457+0.0012426i,-0.00058273+0.0010791i,-0.0010944+0.0019121i,-4.4108e-05+0.0017937i,0.00073199+0.00023183i,-5.0786e-06-0.00030853i,-0.0006602+0.00045932i,-0.00043032+0.00014677i,-0.00022078-0.0005233i,-0.00039575-0.00052224i,-0.00053934-0.00060165i,-0.00043707-0.00056084i,-0.00031286-0.00041159i,-0.00050773-0.00041415i,-0.00027408-0.00056472i,0.00019012-0.0004356i,9.656e-05-4.0402e-05i,-2.4162e-05-1.4475e-05i,0.00016212+3.8876e-05i
-0.00099474+0.00041337i,-0.00061408-0.00067659i,-0.0011763-0.001031i,-0.00056647-0.0014806i,0.00051932-0.0015087i,4.5849e-05-0.0012538i,-0.00016499-0.0007414i,0.00040513-0.00026694i,6.628e-05-0.00069209i,-0.00046507-0.00085352i,-0.00018738-0.00031827i,0.00092244+0.00078316i,0.00076184+0.00099011i,-0.00034211+0.00018166i,-0.00047231-0.00036797i,-0.00015747-0.00055618i,8.0863e-05-0.0004921i,-0.00020864-0.00048282i,-0.00034626-0.00065643i,-7.8841e-05-0.00051935i,0.00030278-0.00017461i,0.00059592-0.00010086i,-0.00014601-0.00018619i
0.00075799-0.0014932i,0.00089091-0.00036217i,-3.3376e-06-0.00065685i,-0.00065855-0.00083142i,-0.0016085-0.00051833i,-0.0016997+0.00089786i,-0.00097758+0.0015524i,-0.000756-0.0001638i,-0.00058991-0.0010223i,-0.001245-0.00051148i,-0.0013194+0.00023987i,-0.00060657+0.0008449i,-0.00057942+0.00078662i,-0.00061645+0.00057527i,-0.0008533+0.00025502i,-0.00094372-0.0004844i,-0.00056325-0.00067946i,-0.00032906-0.00085268i,-0.0011341-0.00040877i,-0.0011181+9.0385e-05i,-0.00018441+1.7691e-05i,0.00028531-0.0002719i,1.0628e-05-0.00032343i
0.0021079+0.00083683i,0.0020995-6.3316e-05i,0.0013718-0.0011428i,0.00082487-0.0020179i,0.00032648-0.0014134i,-0.00087614+0.00025034i,-0.001107+0.00054137i,-0.00027878-0.00055877i,3.9016e-05-0.00039307i,-5.165e-05-0.00012564i,-0.00037617-0.00041185i,-0.0005584-0.00041766i,-0.00069928-0.00011277i,-0.00075337-0.0002403i,-0.00044587-0.00015416i,-0.00037588-0.00021231i,-0.00030858-0.00070053i,-0.00012221-0.0010915i,-0.00067796-0.0010315i,-0.00018362-0.00089238i,0.00010676-0.0005533i,-0.00033736-0.00033885i,0.00015209+7.76e-05i
0.00013078+0.0015308i,0.00039621+0.0023198i,0.0016815+0.0018156i,0.0024832+0.0012191i,0.001461+0.00045129i,0.00044615+0.00057787i,-0.00032276+0.0017058i,-0.00052057+0.0014091i,0.00051714-0.00026632i,0.001749-0.00099121i,0.0011529-0.00127i,-0.00029418-0.00094099i,-0.00080317-0.0003946i,-0.0012411+0.00011689i,-0.0012073+0.00018387i,-0.0007921-0.00010201i,-0.00062341-5.8832e-05i,-0.0004493+0.00018051i,0.00019816+0.00017659i,0.0007426-0.00012054i,0.00064055-0.0007066i,0.00024146-0.00083678i,-0.00037774-0.00016084i
-0.00068532-9.0826e-05i,-0.00069959-0.00094195i,-0.0010702-0.0012371i,-0.0012226-0.00060836i,-0.00066317+0.00054576i,0.00052148+0.00090571i,5.4477e-05+0.0011197i,-0.00017484+0.0010699i,-0.00054793+0.00029457i,-0.0015906-0.00030687i,-0.0012513-0.00063403i,-0.00055536-0.00067343i,-0.00047828-0.00044809i,-0.00062866-0.00030716i,-0.00036681-0.0001871i,-0.00039277+6.3499e-05i,-0.00021507+0.00022366i,0.00020484+0.0001773i,0.00038072-0.0002402i,0.00010685-0.00036159i,8.7762e-05+0.00031534i,0.00052751+0.00034655i,0.00054176+0.00015746i
0.00046408-0.0004061i,0.0012324+0.00091734i,0.0010125+0.0014485i,-0.00013543+0.00089623i,-0.0010603+0.00080806i,-0.00060014+0.0011496i,0.00050082+0.0014246i,0.0011393+0.0010693i,0.00086079+0.00029646i,9.7872e-05+0.00015795i,-0.00026897+0.0003352i,-0.00041595+0.00047307i,-5.3685e-05+0.00093688i,0.00022145+0.00040341i,-5.4291e-05-0.00029493i,0.00027664+3.3219e-05i,0.00036436+0.00027195i,9.2919e-05-0.0004019i,-0.00017057-0.00052115i,-0.00016233-0.00011928i,-0.0006397+0.00037904i,-0.0012515+0.00050803i,-0.000768+0.00042943i
-0.0002129+0.0012845i,3.7572e-05+0.00034903i,0.00039938+0.00097946i,0.00062609+0.00054644i,0.00010952-9.3764e-05i,-0.00097352-0.00018211i,-0.001444-0.00010205i,-0.00035417+0.00045449i,0.0012414+0.00055119i,0.00068598+0.00024595i,-7.0248e-06+0.00031635i,-0.0003536+0.00012624i,-0.0012576-0.00045387i,-0.0010826-0.00077801i,-0.00060124-0.00023093i,-0.00077563+0.00052526i,-0.00096451+0.00051094i,-0.00089541+0.0003174i,-0.00078255+0.00031189i,-0.00061246+0.00040331i,0.00014751+0.00017561i,0.00033846+0.00016415i,0.0001817-0.00010614i
-0.0017968+0.0004014i,-0.0023334+0.00069598i,-0.0012951+0.0018085i,0.00018677+0.0029667i,0.00048053+0.0022072i,0.00082059+0.00094163i,0.001134+0.00063848i,0.00095917+0.0010281i,-3.5391e-05+0.0010048i,-0.00059309+0.00051581i,-0.00057637+0.00072633i,0.00022186+0.00055704i,0.00030886-0.00057761i,-0.0010786-0.0012337i,-0.0015628-0.0010226i,-0.00091215-0.000365i,-0.0004368+0.00026033i,0.00011175-0.00016112i,0.00072593-0.0003172i,0.00076991-0.00023095i,-0.00017155+1.1784e-05i,-0.00044259+5.6638e-05i,-5.8681e-05+0.00012307i
-0.00087648-0.0011005i,-0.0012547-4.8633e-05i,-0.00031881+0.00072624i,0.00039191+0.0008513i,0.00011577+0.0011132i,0.00022256+0.0015537i,0.00049987+0.0012667i,0.00011545+0.00072534i,-4.8874e-06+0.00012921i,-0.00033796+0.00012951i,-0.00072383+6.1434e-07i,-0.00031573-0.00081672i,0.0004047-0.00074133i,-2.1466e-05+0.00076446i,-0.0010458+0.00065608i,-0.00091736-0.00067564i,-0.00024636-0.00078293i,0.00010257-0.00084384i,-0.00030349-0.0011178i,-0.00058463-0.0010272i,-2.6316e-05-0.0011606i,-9.4967e-06-0.00028614i,-0.000175+0.001227i
-0.00094551+0.00031628i,-0.00021496-0.00021127i,-0.00086566+0.00016198i,-0.00058105+2.8027e-05i,0.00034921+0.00062368i,-0.00042697+0.00095797i,-0.00063798+0.00036476i,0.00015357-0.00045874i,0.00041995-0.0006699i,0.00039256-0.00014029i,8.7619e-05+0.00059234i,-0.00022819+0.00093801i,-0.00094469+0.00026292i,-0.00054092+7.8067e-05i,7.3972e-05+0.00026071i,-0.00028023+1.1807e-05i,-0.00015687-8.1671e-05i,-0.000382-0.00022986i,-0.0010651-0.00025015i,-0.0013628+0.00031732i,-0.00085661+0.00019939i,0.00033926-0.00012755i,0.00035381+0.00010467i
0.00048908-0.00021322i,0.00099767+4.1536e-05i,0.00078487-0.00082967i,0.0003296-0.0013064i,0.00066082-0.00066788i,0.0010583-0.00050715i,0.00053484+0.00016093i,0.00021259+0.00047639i,0.00084889-0.00074558i,0.00088769-0.0010872i,-0.00013213-0.00010048i,6.3893e-05+0.00038482i,0.00081832+0.00014536i,0.00033344-4.4434e-06i,-0.00012975-0.00013695i,-0.00040224-0.00052724i,-0.00040994-0.00065128i,-0.00036819-0.00043801i,-0.00071304+0.00017249i,-0.00045034-0.00025896i,0.00066044-0.00059691i,0.0010325-0.00066449i,-6.9387e-05-0.00060562i
0.00041172+0.00052211i,-0.00018904-0.00024455i,-0.0008442-9.7792e-05i,-0.0012626-0.00039858i,-0.0005513-0.00030177i,-0.00044667+6.3113e-05i,-0.00047285+0.00038397i,-0.00012035+0.00032835i,-0.0006433-0.00077103i,-0.00084043-0.00073156i,-0.000741+0.00048254i,-0.00073723+0.0010013i,-0.00071236+0.0007064i,-0.00054633-0.00020732i,-0.00025149+0.00011691i,-0.00014799+7.9465e-05i,-0.00021843-0.0011735i,-3.2532e-05-0.0012318i,-0.00017091-0.00074768i,-0.00019096-0.00019445i,-5.0666e-05-2.0611e-05i,0.00017241-0.00017082i,0.00021755-0.00018498i
-0.0013815+0.00045804i,0.0004064+0.0011652i,0.0012796+0.0020219i,0.0004607+0.0017692i,-0.000202+0.0011964i,-6.2233e-05+0.0010473i,7.9397e-05+0.00079088i,-0.00012069+0.0001971i,-0.0001692-0.00035655i,-0.00028175-0.00069648i,-0.00041268-0.00099994i,0.0001403-0.00095325i,0.00047835-0.00088465i,0.00039869-0.0015859i,2.2694e-06-0.002135i,-7.2775e-05-0.0012892i,-0.00029851-0.00043967i,-0.00048536-0.00016237i,6.9041e-05-0.00010998i,0.0007268-0.00018779i,0.00064992-5.6839e-05i,-0.00089489+0.00041736i,-0.0015418+0.00038133i
0.00025077-0.00030902i,0.00095848+0.0001197i,0.00073972-0.00016563i,-0.00022531-0.00066652i,-0.0007223-0.00064066i,-0.00072387+0.00024153i,-0.00048989+0.0014535i,0.00040853+0.001205i,0.00056933+0.00023343i,-0.00024518+4.0243e-05i,-0.00042709+0.00029735i,0.00022194+0.00076738i,3.748e-05+0.00076229i,-0.0013285+0.00014443i,-0.0013167+0.00030349i,-0.00074863+0.00039186i,-0.00051676+0.00034872i,-0.00015802-0.00026667i,0.00023044-0.00046038i,-0.00024839-0.00037037i,-0.00059015-0.00050958i,-0.00043276+0.00011417i,-0.00071403+0.00032611i
-0.00056796+0.00051857i,-0.00086868-9.4931e-05i,-0.00033615+0.00070109i,-0.00067495+0.00067597i,-0.0015988+0.00028467i,-0.0013152+0.00053072i,-0.00024567+0.00084308i,0.0011264+0.00036197i,0.0011663-0.00043251i,-1.9624e-05-4.3989e-05i,-0.00092821+0.0006673i,-0.00086304+0.00058821i,-0.00038317-0.00072684i,-0.00043541-0.0016002i,-0.00011456-0.0013297i,0.00049822-0.00061975i,0.00057366-0.00054928i,0.00057176-0.0015059i,0.00024953-0.0014314i,0.00034249-0.00037632i,0.00063767-0.00038314i,0.00071721-0.00066314i,0.0005222-0.0001701i
0.0020577+0.00056735i,0.0011776+0.00099602i,0.0016041-0.00015165i,0.0012013-0.00055283i,-0.00050335-0.00045131i,-0.0010655-0.00071769i,-0.00066288-9.2297e-05i,-0.00015658-0.00022883i,-0.00016705-0.00081676i,-0.00070477-0.00081259i,-0.00061199-5.7905e-07i,-0.00016613+0.00026711i,-0.00057249+0.00014421i,-0.00058551+0.00014513i,-0.00016545-0.00040763i,-0.00035305-0.00049697i,-0.0004332-0.00015094i,-0.00057896-0.00017055i,-0.00051133+3.7476e-05i,-9.5607e-05-4.7301e-05i,0.00019571-0.00029781i,-0.00057384-0.00049341i,-0.00035655-0.00074476i
0.00035675-0.00044827i,-0.00058982-0.00096025i,-0.0011765-0.0018706i,-0.00075676-0.00099807i,-0.00049333+0.00031743i,-0.00093183+0.00061811i,-0.00076299+0.0012401i,-0.00040847+0.0012911i,-0.00017084-2.2539e-05i,-4.5788e-05-0.00042583i,0.00051723+5.3159e-05i,0.00071083-0.00043936i,0.00030531-0.0011359i,-0.00051312-0.0010715i,-0.001151-0.00072357i,-0.00093079-0.00055096i,-0.00072552-0.00097149i,-0.0009127-0.00074791i,-0.00048198-0.00047476i,0.00044504-0.00030018i,0.00020957+0.00010031i,-0.00044099+0.00011762i,-0.00031531-2.9008e-05i
0.00062707+0.00069366i,0.00084714+0.0012468i,0.00049981+0.0013211i,-0.00042253+0.00030984i,-0.00032119+0.00047382i,0.000389+0.0011322i,0.00081407+0.0007405i,-8.5705e-06+0.00037035i,-0.00064908+0.00011684i,-0.00088341-0.00013456i,-0.00088323-6.2602e-05i,-0.00032066+0.00060444i,-0.00047302+0.0006395i,-0.00048465-0.00031593i,-0.00038229-0.00064975i,-0.00090031-0.00058518i,-0.0009169-0.00093292i,-0.00039507-0.0014638i,-0.00076731-0.0016157i,-0.0009119-0.00091585i,-0.0009876-0.00038506i,-0.00090647-9.9057e-05i,-0.00015373+0.00015253i
-0.0011761+0.00020366i,-0.0014793+3.5966e-06i,-0.0021834+0.00027594i,-0.0015131+0.00068808i,-0.00054566+0.0011521i,-0.00048618+0.0017806i,-0.00039451+0.00053406i,1.6842e-05-0.00075816i,0.00061106+0.00013308i,0.00042781+0.0006058i,-0.00047259+0.00062542i,-0.00056714+0.00061361i,1.48e-05+0.0003037i,-7.2047e-05+0.0002685i,-0.00074589+3.187e-05i,-0.00044433-0.00027205i,4.5736e-05-0.00015665i,0.00043151-0.00015017i,0.0002101-0.0003237i,-0.00025583-0.00012292i,-0.00049803+0.00016444i,-0.00062151+1.7205e-05i,-0.00020585-0.00035246i
-0.00044743+0.0020232i,-3.6052e-05+0.0017625i,0.00034064+0.0014322i,0.0002066+0.0011571i,3.9675e-05+0.00069989i,-0.00025985-0.00019419i,-0.00013758-0.00040789i,-3.1828e-05+0.00015461i,-0.00013202+0.00016377i,-2.3894e-05-9.1964e-05i,-0.00023156-0.00036599i,-0.00055534-0.0012003i,-0.00038091-0.0008979i,-0.00043471+0.00045204i,-2.2813e-05+0.00041601i,-1.6077e-05-0.00061637i,-0.0007604-0.00080716i,-0.00070889-0.00012844i,-0.00035794+0.00076351i,-0.00021327+0.00089768i,-0.00018244+0.00024465i,-0.0011433+0.00040266i,-0.0010108+0.00084387i
0.00030395+0.00054265i,0.00022217+0.00060027i,0.0016301+0.00030861i,0.0012743+0.00041953i,-4.8203e-05-0.00016705i,-0.00029675-0.00036813i,0.00019992+0.00039824i,0.0010737+0.00058763i,0.00083853-0.00048911i,-0.0005285-0.00063862i,-0.001289+0.00039949i,-0.00062447+0.00093054i,-0.00028615-0.00012633i,-0.00050446-0.00076478i,-0.00063274-0.00040165i,-0.0004301-0.00042553i,0.00019544-0.00041566i,0.00013445-0.00085038i,0.00012977-0.0015398i,0.00014718-0.0021978i,-0.0005499-0.0019389i,-0.00056132-0.00064379i,-9.0498e-05+0.0001828i
0.00060272-0.00023048i,0.0012101-5.0613e-05i,0.00094975+0.00025889i,0.00040326-0.00039272i,-6.1619e-05-0.00043538i,-0.00083804+0.00081975i,-0.000336+0.0012516i,-0.00035172-0.00021182i,-0.00066985-0.00082029i,-0.00068111-0.0005797i,-0.00050314-0.00011487i,-0.00043616+0.0010112i,-1.1179e-05+0.00051493i,-2.3961e-05-0.00029309i,-0.00050558+0.00038739i,-0.00085453+0.00065341i,-0.00016756+0.0002016i,8.3089e-05-0.00032331i,-0.00031735-0.00043953i,-0.00025643-0.00043802i,8.3046e-05+4.2957e-05i,-1.6548e-05+0.00049263i,-0.00079768-6.9497e-05i
0.0014727+0.0026498i,0.0027402+0.0021036i,0.0034465+0.0012905i,0.0023871-0.00065544i,0.0012998-0.0014276i,2.8501e-05-0.0013459i,0.00022688-0.00046913i,0.00036926+0.00053788i,2.5378e-05+0.00018359i,0.00011709-0.00051473i,-0.00021512-0.00034909i,-0.00089414+0.00046531i,-0.0014127+0.00055611i,-0.0014455+0.00035696i,-0.0010769+0.0012586i,-0.00020708+0.00090754i,-0.00014226-0.00013243i,-0.00048102-0.00049042i,-0.00050766-2.629e-05i,-0.0011136-0.00012774i,-0.00071807-6.0784e-05i,-0.00013113-0.00020792i,-0.00011972-0.00042578i
-0.0011097+0.0012411i,-0.00018533+0.0011609i,4.3256e-07+0.0014879i,0.00079471+0.0014178i,0.00096582+0.0006967i,0.0003466+0.0003186i,0.00014036+0.00035731i,0.00015365+0.00031048i,-0.00023329-6.5091e-05i,-0.00072057-0.00058224i,-0.00039985-4.3272e-05i,0.00030293-2.7969e-05i,0.00033833-0.00098938i,0.00019796-0.00072075i,-0.00065982-0.00014157i,-0.00065282+0.00016278i,0.00020118+0.00034845i,-0.0001673+0.00017878i,-0.0012522+0.00043937i,-0.0012509-0.00035935i,-0.0011094-0.00041191i,-0.00047714+0.00060583i,0.00025543+0.00094061i
-0.00049829-0.00057282i,-0.00087907-0.00041927i,-0.00091588-0.00068751i,-0.0010744-0.00051198i,-0.0012807-0.00019358i,-0.00064564+0.00035098i,-0.00074405+0.0005626i,-0.0011659-0.00013113i,-0.00093142-0.00030724i,-0.00082627-0.00054625i,-0.00064155-0.00045328i,0.00014312-3.5972e-05i,0.00011626+0.00059901i,-0.00061547+0.0008867i,-0.0010029+0.00074645i,-0.00060657+0.00032766i,-0.00019525-3.0225e-06i,-0.00050675+0.00020774i,-0.00071454+0.0006859i,-0.00056694+0.00027825i,-0.00042734-0.00042975i,-0.00066148-0.00043369i,-0.00027757-6.412e-05i
0.0013439-0.0015559i,0.00079754-0.0025023i,0.00010397-0.0016745i,-0.0004824-0.0017025i,-0.00050783-0.0016022i,-0.00059646+0.00023851i,-0.00031342+0.0010156i,-0.00032604+0.00079606i,-0.00038896-5.7506e-05i,-3.6462e-05-0.00071197i,-8.8624e-05-0.00041077i,0.00030637+0.00058107i,0.00053784+0.0011417i,0.00026912+0.00058407i,-0.00033546+0.00057969i,-0.0011366+0.00043448i,-0.0011543-0.00096605i,-0.00056779-0.0013697i,-0.00050223-0.00056896i,-0.00067242+0.00020531i,-5.3623e-05+0.00011811i,0.00023932-9.5027e-07i,-0.00066608+0.00035064i
0.0005893-2.8705e-05i,6.4955e-05+0.00041757i,0.00011617-0.00085328i,0.00024927-0.00095071i,-0.0010189+6.5596e-05i,-0.0019283+0.00065039i,-0.0012408+0.00069456i,0.00021841-0.00022567i,0.00014384-0.00038027i,-0.00081322+0.00019124i,-0.0006913+0.00062281i,6.874e-05+0.00080501i,0.00094295+0.0010575i,0.00047731+0.0010487i,-0.00013753+0.00083112i,0.00011066+0.00051357i,0.00059012-0.00035774i,0.00055741-0.00086575i,0.00023669-0.00096364i,0.00046981-0.0008139i,0.00042489-0.00044866i,0.00023746-0.00034945i,-7.3932e-05-0.000189i
