-0.00091829+0.00031107i,-0.00095442+0.00038967i,-0.0013495-8.7924e-05i,-0.001387-0.00076887i,-0.00059614-0.00083232i,-0.00037813+0.00015113i,-0.00056699+0.0009606i,0.00013612+0.0016133i,0.00011146+0.00053126i,0.00076729-0.0010629i,0.001572-0.0013231i,0.00078082-0.0011277i,9.3244e-06+7.9052e-05i,-0.00043557+0.00082318i,-0.00046042-8.1181e-05i,5.6223e-05-0.0010824i,0.0002311-0.0011124i,0.00050488-0.00065902i,0.00039444+0.00020014i,2.8802e-05+0.00056144i,-0.00026024+0.00095547i,-0.00093551+0.00085589i,-0.00063563-0.00033559i
0.0023996+0.0013727i,0.0030871+0.00056086i,0.0030533-2.937e-07i,0.0025478-0.00034798i,0.0026412-1.0932e-05i,0.0026355+0.0015648i,0.0025758+0.0011622i,0.0028551-0.00048258i,0.0032229-0.0011086i,0.0030035-0.0018378i,0.0012949-0.0030981i,-0.0012228-0.0029422i,-0.0023425-0.0018207i,-0.0014266-0.00053325i,-0.00024488+0.00055912i,0.00029624+0.0013866i,6.9076e-05+0.0014019i,0.00032323+0.00039796i,0.00080863+0.00051696i,0.00073832+0.00074198i,0.00074392+0.00029775i,0.00055108+2.5239e-05i,-0.00029868+0.00043587i
0.002199-0.0019789i,0.001436-0.0016963i,0.00075111-0.0020267i,2.7422e-05-0.0022723i,0.00078739-0.00046212i,0.0022779+0.0010134i,0.0024433+0.00013864i,0.0018631-0.0010397i,0.0013429-0.0016114i,0.0006125-0.0019159i,-0.0013414-0.0013359i,-0.0031501+0.00011096i,-0.0026005+0.0012354i,-0.001458+0.001119i,-0.00087484+0.00038982i,0.0002003+0.00018369i,0.00094896+0.00018303i,0.00050655+0.00065297i,-0.0003728+0.00092929i,-0.00083223+9.5269e-05i,-0.00042543-0.00055097i,0.00089498+0.00045046i,0.0009474+0.00073809i
0.0012399+0.0017581i,0.0014461+0.0019119i,0.0030859+0.0022117i,0.0032677+0.0027648i,0.0034007+0.0019008i,0.0043069+0.00049994i,0.003515-0.00055897i,0.0011223-0.0015562i,-0.0013249-0.0021071i,-0.0024741-0.0015424i,-0.0018967+0.0001059i,-0.00088102+0.0013745i,5.3509e-05+0.0012951i,0.00054065+0.00061275i,0.0012357+0.00060689i,0.0012782+0.00069039i,0.00068084+0.00061348i,0.00017192+0.00070515i,-0.00022709+0.00069253i,-0.00011925+0.00035391i,-0.00041665-0.00073664i,-0.00016769-0.0013122i,-0.0001127-0.0008876i
0.00061747-0.0024439i,-0.00010359-0.0026367i,-0.00037704-0.0012224i,3.2071e-05-0.0001662i,0.0021033+0.00031962i,0.0039248+0.0010394i,0.0042144+0.0012326i,0.0022369+0.00086729i,-0.00064622+0.00086989i,-0.0016702+0.0010623i,-0.00054327+0.0015726i,0.0017134+0.0018254i,0.002306+0.00036227i,0.00050653-0.00043709i,-0.0008341-0.00010082i,-0.00058641+4.1282e-06i,-0.00015889+0.00020181i,-0.00018377+3.2206e-05i,-0.00065564-0.00034065i,-0.0011675-0.0011213i,-0.0013783-0.0012356i,-0.0012907-0.00080206i,-0.0010117-0.00049886i
0.0031296+0.00083261i,0.0034369+0.0015098i,0.003617+0.0010329i,0.0031955-5.9721e-05i,0.0019324-0.00011903i,0.0018778+4.8113e-05i,0.0024579-0.00022887i,0.0019128+0.0002306i,0.0019337+0.0011995i,0.0023177+0.0013876i,0.0018598-0.00013746i,0.0012493-0.0020656i,0.00090141-0.0024882i,0.00072549-0.0020428i,0.00070168-0.0010508i,0.00039117-0.00031493i,-0.00026289-0.00068216i,0.00012388-0.001278i,0.00064341-0.00015314i,0.00077594+0.00050111i,0.00082835-0.00041771i,-2.2147e-05-0.0005914i,-0.00065123-0.00017156i
-0.0012919+0.001443i,-0.00093444+0.0020851i,0.00041547+0.0030259i,0.0011969+0.0033322i,0.0023288+0.0033961i,0.0036117+0.003119i,0.00283+0.0011321i,0.0019484-0.00066681i,0.0023115-0.00093405i,0.0028291-0.00097015i,0.002517-0.0018395i,0.0010732-0.0021585i,-0.001015-0.0014095i,-0.0014958-0.0001914i,-0.00029945+0.0009462i,0.00047146+0.00097997i,0.00066042+0.00035223i,0.00056954+0.00056758i,-3.917e-05+0.0010515i,-0.00017777+0.0012047i,-0.00031631+0.0010218i,-0.00068847+0.00011791i,0.00028674-0.00052956i
-0.0012707+0.00099187i,-0.001417+0.0016542i,-0.0013059+0.0026608i,-0.00082702+0.0031983i,0.0015018+0.0036196i,0.0033676+0.0029389i,0.0032018+0.00074209i,0.0022385-0.001734i,0.0018878-0.0027748i,0.00054443-0.0040611i,-0.00092653-0.0040612i,-0.0011823-0.0019099i,-0.0012929-5.4242e-05i,-0.0011119+0.00025459i,0.00010675-0.00039872i,0.00038584-0.00085675i,-0.00011775-0.00076381i,-5.6469e-05-0.00037257i,-0.0001024-0.00056374i,-0.00056033-0.00089203i,-0.00035596-0.0010247i,-0.00059655-0.00078644i,-0.0014416-0.00073137i
0.00094661+0.0011799i,0.00042509+0.00031667i,0.0024467-0.00094322i,0.0042315-0.001572i,0.0044104-0.00063967i,0.0038784+0.0011466i,0.0028015+0.00053615i,0.00090148-0.0017313i,-0.0011188-0.0033786i,-0.0022792-0.0038659i,-0.003466-0.0020509i,-0.0027502+0.00027658i,-0.0011115+0.00074351i,-0.00068998+0.00044745i,-0.00055878+0.0010632i,-0.00030785+0.00077919i,-0.0001654+0.00011238i,-0.0005645+0.00046041i,-0.00078162+0.00033239i,-0.00067615-0.00046051i,-0.00021709-0.00070699i,-0.0001304-0.00038239i,-0.00050577-8.4651e-06i
-0.00014092+0.0008653i,-0.00044756+0.0010077i,-0.0012178+0.00016485i,-0.001102+0.0010595i,0.0010034+0.0030944i,0.0035372+0.0030543i,0.0040417+0.002234i,0.00090619+0.0023818i,-0.002204+0.0022983i,-0.0031339+0.0020642i,-0.0020152+0.0021342i,6.4551e-05+0.0019515i,0.0011199+0.0023159i,0.0009884+0.0018804i,0.00046108+0.00083487i,-0.00065127+0.00028598i,-0.0013529+0.00022047i,-0.00078704+0.00037638i,7.9541e-05+0.00011816i,-0.00030825-0.00048545i,-0.00059174-0.0010027i,-0.00019131-0.0004861i,-2.8951e-05-0.00025776i
0.0022928+0.00017943i,0.0021934+0.0018604i,0.002829+0.0020057i,0.0029989+0.0019006i,0.0023381+0.0011855i,0.0019464-7.567e-05i,0.0022576-0.0003094i,0.0016013+0.0011631i,0.00029186+0.0031814i,0.00075416+0.0030392i,0.0020662+0.0026385i,0.0021478+0.0011554i,0.0017052-0.00050905i,0.0010942-0.00020814i,0.0011748-7.7599e-05i,0.0011095-0.00065173i,0.0005846-0.00044084i,0.00080703-4.9903e-05i,0.00043271-2.5858e-05i,-1.7311e-05+0.00033911i,2.6729e-05+0.00039699i,-0.00028432-0.00047147i,-0.00022427-0.00062092i
1.419e-05-5.408e-05i,-0.00043077+0.00037846i,0.0009693+0.0008761i,0.0018671+0.0011652i,0.0028391+0.0019914i,0.0041397+0.002424i,0.0044472-0.00024281i,0.0044583-0.0016211i,0.0042626-0.0003967i,0.0050135+0.0003165i,0.0045843-0.00026195i,0.0018302-0.0011546i,8.0114e-05-0.0011279i,0.00017295-0.00086574i,0.00050954-0.0010263i,0.00083455-0.00092588i,0.0013275-0.0004764i,0.0015436+0.00013559i,0.00090323+0.0007873i,0.0005648+0.00011838i,0.00076497-0.00045109i,0.00047238+0.00026031i,-0.00049356+0.00059292i
-0.0027855+0.0011966i,-0.0023052+0.001716i,-0.0016672+0.0020223i,0.00065242+0.0010082i,0.0022533+0.0001712i,0.0026504-0.00049359i,0.0020799-0.0013665i,0.0019456-0.0024704i,0.0027457-0.0034394i,0.0032512-0.0039746i,0.0022102-0.0045127i,0.00058649-0.0042809i,-0.00069423-0.0023701i,-0.0009908-0.0011188i,1.2482e-05-0.00095382i,0.00075006-0.00055128i,0.00076936-0.00054954i,0.00027385-0.00060162i,0.00023605-0.00040237i,-0.00062778-0.00038902i,-0.0010483+5.3135e-05i,-0.00036565-8.3025e-05i,-0.00036511-0.00052055i
-0.0013242-0.0011505i,-0.0017687-0.00066185i,-0.0019626-0.00023074i,-0.0013657+0.0010296i,0.00041102+0.0022752i,0.0018446+0.0020086i,0.0014326-0.00032512i,0.00072933-0.0022912i,-0.00023117-0.0037242i,-0.0021354-0.0051179i,-0.0033328-0.0038857i,-0.0033124-0.00136i,-0.0029315+3.572e-05i,-0.0023147+0.000598i,-0.0016756+0.00025179i,-0.0006807+0.00077442i,-0.00040419+0.0015987i,-0.00061876+0.001639i,-0.00040404+0.001798i,-0.00037181+0.00073867i,-0.0006655+9.7632e-05i,-0.00074718-0.00047067i,-0.00064968-0.00066376i
-0.00017026+0.00052632i,-0.00025+0.0013703i,9.6295e-05+0.0016608i,0.00032501+0.0021829i,0.0012091+0.0026277i,0.0021171+0.0022477i,0.0028109+0.0016447i,0.0014215+0.00081867i,-0.0026275-2.8758e-05i,-0.0058128+0.0009211i,-0.0049767+0.0020269i,-0.0024311+0.0023929i,-0.0013486+0.0025476i,-0.00085887+0.0026634i,-0.00036266+0.0021181i,-0.0003248+0.0010333i,0.0001743+0.0012069i,0.00057156+0.0010898i,0.00024548+2.5476e-05i,-5.8256e-05-0.00058402i,-0.00037342-0.00075132i,-0.0003715-0.00037991i,-0.00016419+0.00027858i
0.0018162-0.0015027i,0.0020817-0.0017998i,0.0025894-0.0027234i,0.0027923-0.0024897i,0.0037278-0.00057015i,0.0049917+0.0019747i,0.0047641+0.0022149i,0.0030414+0.0016785i,0.00076983+0.0031319i,-0.0012432+0.0047423i,-0.0011311+0.0042174i,0.0009331+0.0025211i,0.001537+0.0015626i,0.0014923+0.0012921i,0.0012026+0.00068607i,0.0014979+0.00036728i,0.0023038+0.001282i,0.0019139+0.0015924i,0.00084794+0.0012101i,8.8366e-05+0.00098073i,-0.00034172+0.00044425i,-0.0006578-0.00065354i,0.0001445-0.00089426i
-0.0014671-0.00059762i,-0.0010654+0.00068292i,0.00016389+0.00073922i,0.00046626+0.0014784i,0.0018497+0.0023777i,0.0041349+0.0015124i,0.0045308-0.00010356i,0.0041595-6.7094e-05i,0.0041861+0.0018356i,0.0044061+0.0023799i,0.0047015+0.0014805i,0.003845+0.00026742i,0.0018139-0.0010976i,0.00075762-0.001705i,0.0011801-0.0011284i,0.0015213-0.00042339i,0.0010022-0.00013579i,0.00025484-0.00031183i,-0.0001602-5.3667e-05i,-0.00056129+0.0003464i,-0.00060935-3.4445e-05i,-0.0001107+0.00039326i,-0.00011019+0.00095377i
0.0022907-0.0016294i,0.0028998-0.0012502i,0.0021019-0.0015047i,0.0012561-0.00098801i,0.0011024-0.00075828i,0.0011631-0.00064691i,0.0015061-0.0015825i,0.001743-0.0032564i,0.003297-0.0045701i,0.0047311-0.0056375i,0.0034661-0.0055337i,0.0011444-0.0039827i,-0.00039906-0.0026818i,-0.00058769-0.0022639i,-0.00066005-0.0014098i,-0.0013305-0.00088145i,-0.00062418-0.00079327i,0.00051536-5.9981e-05i,0.00076064+0.00080009i,0.00058837+0.00034369i,4.6937e-05-0.00047026i,-0.00030146-0.00019978i,-5.6038e-05+5.011e-05i
0.0050288+0.00031997i,0.0047959+0.00074051i,0.0058763-1.3824e-05i,0.0053193-0.00039731i,0.0040489+3.2193e-05i,0.0027581+0.00073702i,0.00073953-0.00071519i,-0.0010017-0.0030379i,-0.00083182-0.0057337i,-0.0011437-0.008128i,-0.0025823-0.0072651i,-0.0032088-0.0042608i,-0.0028475-0.0022374i,-0.003017-0.0017451i,-0.0031174-0.00070603i,-0.001772-0.00015081i,-0.00052553+0.00042441i,5.4212e-05+0.00067226i,8.2721e-05+0.00049425i,-4.3836e-05+0.00012287i,0.00018333-0.00048937i,8.8957e-05-0.0010428i,0.00046847-0.001064i
0.00027228+0.0012603i,2.4073e-05+0.0010758i,0.00049244+0.00041993i,0.0013735+0.00088296i,0.0022477+0.0028731i,0.0026749+0.0042158i,0.0011944+0.0034588i,-0.0011413+0.0018155i,-0.003553-4.364e-05i,-0.0057723-0.0013547i,-0.0059286-0.00062432i,-0.0032815+0.0010223i,-0.0010542+0.0016398i,-0.0012577+0.0021649i,-0.00098294+0.0020642i,-0.00066926+0.0011434i,-0.00017345+0.00062684i,0.00047492-8.1367e-05i,0.00038395-0.00055878i,0.00041889-0.00074704i,0.0005673-0.0015539i,0.00029757-0.0015206i,9.7208e-05-0.00087397i
0.00096182+0.0026223i,0.0003182+0.0029451i,0.0011482+0.0033462i,0.0030386+0.0026628i,0.0050985+0.0016365i,0.0059293+0.0013559i,0.0048496+0.0010073i,0.0024451+0.0013526i,-0.00069557+0.0028927i,-0.002667+0.0044827i,-0.0022046+0.0051277i,-0.0004687+0.0037772i,0.0006051+0.0018582i,0.001305+0.0012739i,0.0013529+0.00071421i,0.00090878-0.0003888i,0.00037094-0.00080461i,0.0001171+0.00047632i,-0.00030451+0.0006432i,-0.0010894+0.00024438i,-0.00073572+0.00066646i,0.00023813+0.00083626i,0.0005687+0.0011963i
0.0022578+0.00092773i,0.0022245+0.00098407i,0.0025152+0.00010453i,0.0026466-0.0011288i,0.0027777-0.00020847i,0.0038639+0.00076592i,0.0044143+0.00040394i,0.0043528+0.0004114i,0.0051699+0.0024935i,0.0059036+0.0041645i,0.0047904+0.0029803i,0.002801+0.00049995i,0.0017388-0.00045694i,0.0019615-0.00028774i,0.0018384-0.0013274i,0.0015163-0.0021871i,0.0010178-0.0011006i,0.00036906+4.3159e-05i,-0.000206+0.00025184i,-0.00024425+0.0004282i,-0.0003862+0.00039116i,-0.00040135+0.00045344i,-0.00057138+0.00027487i
0.00023269+0.001205i,0.0011055+0.0028177i,0.0019178+0.0035114i,0.0023007+0.0033703i,0.0028303+0.0019463i,0.0035355-0.00059892i,0.00421-0.0026049i,0.0047514-0.0038288i,0.0055556-0.0037523i,0.0058718-0.003724i,0.0049267-0.0042745i,0.0029175-0.0035367i,0.0011152-0.0023399i,0.00029582-0.0020132i,-7.0997e-05-0.0022621i,-0.0010356-0.0018658i,-0.001147-0.00085808i,-0.00031832+0.00017308i,0.00045511+0.00065625i,0.00012306+0.00051269i,-4.3658e-05-0.00026827i,1.4101e-05-0.00042574i,0.00028212-0.00036258i
0.0011265-0.0023472i,0.0007114-0.0018098i,0.0002505-0.0011564i,0.00016609+0.00043632i,0.00023115+0.0022422i,0.0015545+0.0035958i,0.0021516+0.0019309i,0.0010799-0.0019904i,0.00021618-0.0050758i,-0.00013888-0.0071665i,-0.0011126-0.0061598i,-0.0012881-0.0031985i,-0.001129-0.0015483i,-0.001934-0.0014646i,-0.002292-0.00073598i,-0.0015448+0.0010641i,-0.00049824+0.0017611i,-7.2677e-05+0.0012397i,0.00040327+0.0004477i,0.00025696+9.2366e-05i,-0.00014986-0.00060236i,-0.0001039-0.0019419i,-0.00059028-0.0019182i
0.00014181+0.0031215i,0.00011958+0.0029201i,0.00075605+0.0029379i,0.0017541+0.0026703i,0.0029974+0.0025882i,0.0027443+0.0021382i,0.0010337+0.0011113i,-0.0012693+0.00018679i,-0.002836-0.0016335i,-0.004287-0.0030831i,-0.0049578-0.0016677i,-0.0031074+0.00021305i,-0.00092361+0.00014397i,-0.00036597-0.00048477i,-0.0002578+0.00052492i,-0.00022715+0.0015097i,-0.00076175+0.00091892i,-0.0007219-0.00050032i,0.00033698-0.00087327i,7.2865e-05-0.00030105i,-0.00084709-0.00080421i,-0.0004486-0.00088193i,0.00011846-0.00088458i
0.0031653+0.00061277i,0.0038983+0.0014202i,0.0051271-0.00023494i,0.0043753-0.00089485i,0.0036999+0.0010173i,0.0038927+0.0028099i,0.0033101+0.0034905i,1.1608e-06+0.0030822i,-0.0036001+0.0027657i,-0.0045632+0.0036867i,-0.0030785+0.0042945i,-0.00065457+0.0030588i,0.00031382+0.00098084i,0.00032813+0.00052985i,0.00066782+0.00048984i,0.00096093+0.00013101i,0.00084238-0.00014877i,0.00050804-0.00066962i,-9.0136e-05-0.0014005i,-0.00028212-0.00092887i,-0.00024036+0.00015428i,-0.001106+0.00051689i,-0.0014518+0.00042483i
-0.0023967-0.0011485i,-0.0020457+0.00053398i,-0.0008865+0.0016295i,0.00050888+0.0022095i,0.0024437+0.002376i,0.0044781+0.0018381i,0.005122+0.0016892i,0.0049372+0.0029987i,0.0031694+0.004608i,0.0016099+0.0047798i,0.00088346+0.0034691i,0.00033881+0.0014684i,0.00048802+0.00044965i,0.0017005+7.8547e-05i,0.0026606-6.5408e-05i,0.0017949-4.4641e-05i,0.00059054-0.00020777i,0.00020693-0.00030377i,0.00058144-1.3059e-05i,0.00078577+0.00052767i,4.6858e-05+0.001335i,-0.00060251+0.0018395i,-0.00037017+0.0011404i
-0.0023968+0.00049035i,-0.0015577+0.0016295i,-0.0014136+0.0033896i,-0.0012865+0.0040717i,2.6743e-05+0.0038245i,0.0026584+0.0023979i,0.0043183+0.00024639i,0.0058942-0.00067127i,0.0071343+0.00030671i,0.0066704+0.001038i,0.0048696-0.0003786i,0.0025001-0.0016076i,0.00094149-0.0010683i,0.00052419-0.00086565i,-0.0003096-0.0016325i,-0.0008865-0.0018804i,-0.00039727-2.6233e-05i,0.00019131+0.0010444i,-0.00024777+0.00066608i,-0.00013029+0.00017475i,0.00049755-0.00083107i,0.00035132-0.00056338i,0.00042038-3.5704e-05i
-0.0042738+0.00082403i,-0.0031856+0.00013299i,-0.0023366+0.00098468i,-0.00068049+0.00045867i,0.0011573+0.00067584i,0.0017405+0.00022074i,0.0015206-0.0029872i,0.0026922-0.0055316i,0.0042945-0.0060899i,0.0039969-0.0056224i,0.0027107-0.0039669i,0.00074455-0.0019508i,0.00038027-0.00084008i,0.0009006-0.00086358i,-0.00013526-0.00023803i,-0.00064429+0.0014285i,-0.00091096+0.0022647i,-0.0014433+0.0017118i,-0.00065847+0.00014277i,0.00043656-0.0011558i,0.0004517-0.0015441i,0.00026954-0.0016844i,0.00034076-0.00088026i
0.0028711+0.00026855i,0.0025304+0.00078758i,0.0022979+0.0028557i,0.0019354+0.0037963i,0.001749+0.003451i,0.0014186+0.003006i,-0.00029214+0.00072584i,-0.0023362-0.0029917i,-0.0029166-0.006112i,-0.0025774-0.0071349i,-0.0021437-0.0057947i,-0.0013679-0.0030271i,-0.00059612-0.00096369i,-0.00057301-0.00032712i,-0.0012783-0.00041095i,-0.00082716-0.00039999i,0.00047484-8.3086e-05i,0.0010871-5.6821e-05i,3.4883e-05-0.00016013i,-0.0016695+4.0917e-05i,-0.0018764+0.0004803i,-0.00082175+0.00063164i,-0.00034858+0.00026475i
-0.0022104+0.0029066i,-0.0015092+0.0031084i,0.00022788+0.0032305i,0.0018598+0.0027217i,0.004233+0.0024538i,0.0051212+0.0023845i,0.0030283+0.002354i,-0.0014221+0.0020791i,-0.0056721+0.0015197i,-0.006955+0.00091182i,-0.0038683+0.00065995i,0.00014774+0.0010629i,0.00058931+0.0010469i,0.00045163+0.0016267i,0.0012586+0.0022603i,0.0014721+0.0008767i,0.0012033-0.00036108i,0.00024837-0.00072589i,0.0002747-0.00064953i,0.0002601-0.00067609i,0.00011327-0.00035283i,0.00016502+0.00034971i,-0.00050187+0.001296i
0.00010984+0.00036833i,-0.00049757+0.0007878i,-0.00011902+0.0018046i,0.0015921+0.0025184i,0.0044468+0.0010722i,0.0064937-0.00052795i,0.0066794+0.00067798i,0.0047075+0.0040551i,0.0011489+0.0059101i,-0.0012337+0.0046204i,-0.000649+0.0020047i,0.00048361-0.00026225i,0.00044014-0.0011271i,0.0008212-0.00022008i,0.002166+0.00069656i,0.0016829+0.00024369i,7.6455e-05-0.00040837i,-0.0003767-0.00060412i,-9.5611e-06-0.00072188i,0.00037519-0.00064305i,0.00023944-1.2689e-05i,-0.00024329+0.00083997i,9.3975e-05+0.001066i
-0.00082961-0.0011331i,-0.00030018-0.00056859i,-0.00012872-0.00039188i,6.9056e-05+3.8208e-05i,-0.00025629+0.0010845i,0.00075003+0.0017859i,0.004033+0.0018984i,0.0067963+0.0022831i,0.0069455+0.0039747i,0.0051587+0.0046101i,0.0032649+0.0023935i,0.00067535-0.00054993i,-0.0016633-0.0013074i,-0.0011573-0.0010954i,0.00010255-0.0017973i,9.6795e-05-0.0015897i,-0.00039369+0.00057826i,-0.00077421+0.001658i,-0.0013596+0.0012627i,-0.0013859+0.00092182i,-0.0007566-3.9493e-07i,-0.00061761-0.00070191i,-0.00015916-0.00077143i
-0.0010285+0.0017547i,-0.0013922+0.0017831i,-0.00081542+0.0026652i,0.0006067+0.0029625i,0.0024352+0.001929i,0.0032553+0.00092974i,0.0029265-0.00211i,0.004196-0.0053666i,0.0060266-0.0053247i,0.0061938-0.0032777i,0.00379-0.0016358i,0.00041189+3.3177e-05i,-0.00088474+0.0011101i,-0.00039194+4.5598e-05i,-0.0005056-0.00088402i,-0.00041157+0.00011383i,0.00015661+0.0010186i,-0.00025303+0.0011445i,-0.0011267+0.00059393i,-0.0013287-0.00029708i,-0.00059545-0.0011153i,0.00046855-0.0010022i,0.00011055-0.000713i
-0.00036866-0.00032136i,0.00070787+0.00052125i,0.00064215+0.0021431i,0.00010528+0.0038062i,0.0013401+0.0043716i,0.0026516+0.0028209i,0.00201-0.0010804i,-0.00032783-0.0061431i,-0.0020902-0.0090632i,-0.0017041-0.0078737i,-0.00071219-0.0046662i,-0.00074311-0.00016338i,-0.00089099+0.0023464i,-0.0015749+0.001222i,-0.0025597-0.0001086i,-0.0020633-0.0010307i,-0.00039433-0.00091688i,0.00060035-0.00043361i,0.0012364-0.00065094i,0.001781-0.00085847i,0.0012943-0.0004916i,0.00030415+0.0004159i,6.6151e-05+0.0013112i
-0.00036299+0.0056046i,4.9766e-05+0.0056221i,0.0015224+0.0053049i,0.0040456+0.0029825i,0.00715+0.00099072i,0.0062432-0.00024779i,0.00092446-0.00079107i,-0.0042445-0.0010195i,-0.0069329-0.0013935i,-0.0070102-0.0026153i,-0.004136-0.0024778i,-0.00044616-0.00079478i,0.00096263-0.00070316i,0.00039676-0.00078281i,0.0002967+0.00080331i,0.00095226+0.0019323i,0.0007419+0.0011383i,0.00024233+0.00022855i,0.0010102-0.00016918i,0.0016863-0.00015123i,0.0015766+4.9168e-05i,0.0011612+0.00035114i,0.00038972+0.00045963i
-0.0014965+0.0015584i,-0.0023779+0.0025258i,-0.0019885+0.0032056i,-0.00086017+0.0034171i,-0.00013688+0.0039936i,0.00092306+0.0028772i,0.00063869+0.0023213i,-0.0012104+0.0050625i,-0.0025598+0.0071504i,-0.0035792+0.0058786i,-0.0030554+0.0032209i,-0.0006552+0.0011951i,0.0010352-0.00038434i,0.0011706-0.00023759i,0.0012622+0.0013936i,0.001316+0.00090537i,0.0010702-4.6691e-05i,0.00050804-0.00024388i,-0.0012054-0.0011703i,-0.0018394-0.0013596i,-0.0014661-0.0012452i,-0.0014041-0.0010661i,-0.0010166-0.00011696i
0.0045932+0.00068335i,0.0037897+0.00094938i,0.003889-0.00046562i,0.0023051-0.0025464i,0.0014252-0.0026654i,0.002839-0.0001304i,0.00498+0.0018247i,0.0065346+0.0029003i,0.0061175+0.0047361i,0.0038371+0.0051863i,0.0021436+0.0020734i,0.0010227-0.0017648i,-0.00045276-0.0031285i,5.1352e-05-0.0023007i,0.0024204-0.00063334i,0.0036613-0.00042736i,0.0030338-0.00042902i,0.0013761+0.00014728i,-0.00017077+8.8317e-05i,-0.00077438+0.00026494i,-0.0011927+4.9136e-05i,-0.0010991-0.00017984i,-0.00076573+0.00041169i
0.0037079+0.00065747i,0.0047331+0.0016643i,0.0055485+0.0031889i,0.0041831+0.003869i,0.0041346+0.0037203i,0.0052019+0.0025768i,0.0060425+0.0010433i,0.0083011-0.0012149i,0.010619-0.0037654i,0.0088651-0.0036509i,0.0042535-0.0018624i,0.001187-0.00086447i,0.00021706+0.00011936i,-0.00022876-0.00072601i,-0.00052588-0.0024277i,-0.0021749-0.0026576i,-0.0019737-0.0013564i,-0.00059707+6.3543e-05i,-0.00074185+0.00079955i,-0.0011517+0.0011883i,-0.00067132+0.00079469i,-0.00010764+0.00031536i,-0.00011835+0.00027887i
0.00039444+0.0019193i,-0.0016005+0.0024248i,-0.00056258+0.002235i,0.0017713+0.0015135i,0.0035375+0.0019999i,0.0044456+0.00099991i,0.0042482-0.0024852i,0.002618-0.0059639i,0.00068953-0.0077288i,0.0010257-0.0076865i,0.0015256-0.0055183i,0.00069715-0.0018665i,-0.00020539-0.00016749i,-0.00084618-0.00090158i,-0.0021324-0.002103i,-0.0034756-0.0016776i,-0.0028052-0.0011604i,-0.0013929-0.0016946i,-0.00074824-0.0010086i,-0.00022979-0.00060744i,0.00058212-0.0011966i,0.00068945-0.0010035i,0.00044966-4.2405e-05i
0.0019308-0.00016661i,0.002392-7.4598e-05i,0.0052739+0.001374i,0.0069836+0.00086617i,0.0067187-0.0019412i,0.0047476-0.0038284i,0.00053134-0.0054582i,-0.0044372-0.0060102i,-0.0073649-0.0053178i,-0.006824-0.0049279i,-0.0045283-0.0033807i,-0.0018059-0.0010711i,0.00027584+0.00013973i,0.00018795+0.0010032i,-0.00054775+0.0027228i,5.5281e-05+0.0036952i,0.00066465+0.0025978i,0.00039063+0.0013533i,0.00034835+0.0010238i,0.00045731+0.00023563i,0.00087967-0.00040914i,0.00060397-0.00076009i,-0.00052723-0.001266i
0.0027814+0.0041631i,0.0028922+0.0043886i,0.0029486+0.0055805i,0.0014778+0.004027i,0.00093316+0.0008048i,0.0003125-0.00080162i,-0.0017532+0.00097138i,-0.0035086+0.0035497i,-0.004202+0.0044675i,-0.0041871+0.0026352i,-0.0034027+0.00085125i,-0.0012215+0.00078176i,0.0014464+0.0004324i,0.0024907+0.00037898i,0.0021812+0.0016067i,0.0025492+0.0014783i,0.0025387+0.00033445i,0.0015306+2.7622e-05i,0.00086964+0.00079213i,-0.00019489+0.00077363i,-0.00082895-5.9143e-05i,0.00018831-0.00028844i,0.00020393-0.00056284i
0.0047706+0.0072908i,0.0031097+0.0077934i,0.0055548+0.0073969i,0.0069752+0.0032196i,0.0069389+0.00074224i,0.0051135+0.00060677i,0.0031811+0.0030036i,0.0034031+0.0054506i,0.0045685+0.0054292i,0.0043791+0.0041416i,0.0026099+0.0022938i,0.0017557-2.9905e-05i,0.0019208-0.0018696i,0.0034789-0.0017487i,0.0055116-0.0011375i,0.0051215-0.0011076i,0.0034779-0.00014951i,0.0029718+0.0012382i,0.00181+0.001025i,7.7027e-05-0.00011658i,-0.00050711-0.00010718i,-0.00082976-0.0002824i,-0.0004627-0.00019267i
-0.0035285-0.018351i,-0.0011168-0.020683i,-0.0066346-0.01952i,-0.0084933-0.0054705i,-0.0068369+0.0062074i,-0.0014509+0.011061i,0.0055691+0.0075691i,0.0079001+0.0020875i,0.0064422-0.0013436i,0.0031129-0.0016955i,0.0011131+0.00046107i,0.00025589+0.0008746i,-0.0020871+0.00057834i,-0.0040154+0.00043464i,-0.003586-0.00084204i,-0.0038093-0.0010454i,-0.0041793-0.00055347i,-0.0022886-0.00071898i,-0.0014908-9.6011e-05i,-0.0017116+0.00057565i,-0.0014442+0.00016629i,-0.0015469-0.00022025i,-0.0011549-0.00041017i
0.0016-0.0040892i,0.0015473-0.0052148i,0.00018174-0.0078374i,-0.00058491-0.0063402i,0.00071207-0.0028966i,0.0039719-0.0008512i,0.0076569-0.0030755i,0.007911-0.0062694i,0.0043062-0.0069614i,0.00083883-0.006882i,-0.00060603-0.0055991i,-0.00081795-0.0035458i,-0.0013195-0.0017932i,-0.0028143-0.0018262i,-0.0046102-0.0027858i,-0.0049954-0.0021857i,-0.0036449-0.0010458i,-0.0016125-0.00079763i,-0.00022556-0.00092385i,0.00024124-0.001063i,0.00021828-0.00097993i,0.00014182-0.0012082i,-8.6664e-05-0.001163i
