0.0039427-0.00021468i,0.0031783-0.0029463i,0.0019868-0.0044535i,-0.00053925-0.0042434i,-0.0027776-0.0017239i,-0.0035956+0.0018902i,-0.0019623+0.0030366i,0.0005671+0.0024235i,0.0017074+0.00094482i,0.0011865-0.00088776i,-0.00048341-0.0019051i,-0.0012558-0.0017446i,-0.0015423-0.001071i,-0.0017351+0.00052487i,-0.002389+0.00097873i,-0.002216+0.0010082i,-0.00064721+0.0011378i,0.00015724+0.00080562i,0.00060703+0.00095999i,0.0010334+0.00043836i,0.00021216-0.00014276i,6.9547e-06-0.00013436i,-0.00041106-0.00028694i
0.00023947+0.00022789i,0.0001262-0.001026i,-2.8589e-05-0.00036524i,-0.00013742+6.2983e-05i,0.00034005-0.00060403i,-0.00022253-0.00066247i,-0.0013753+1.2008e-05i,-0.00074483+0.00026503i,0.00015251+0.00064306i,-6.1101e-05+0.00035408i,-3.5201e-05-0.0001659i,0.00050389+3.6988e-05i,0.00069913+0.00015787i,-2.687e-05-0.00018211i,1.8787e-05-0.00016359i,0.00028045+0.00013616i,-0.00034738+0.00037341i,-0.0002891+0.00071079i,0.00014478+0.00098753i,-0.00022282+0.00077445i,-1.7048e-05+0.00045394i,-0.00014169+0.00018408i,-0.00066424+0.00032765i
-0.0015182+0.00037439i,-0.0023386-4.2913e-05i,-0.0021176+0.0013204i,-0.00086088+0.0010641i,-0.00032255+0.00034557i,-0.00031639+0.00020582i,2.1743e-05+0.00089703i,0.00023689+0.0016915i,6.7998e-05+0.0012513i,0.00056094+0.0007587i,0.0005752+0.00043184i,0.00046757-0.00073254i,0.00068405-0.0011082i,0.00021866-0.0010423i,-0.0004395-0.0010027i,-0.00020791-0.00091271i,0.000608-0.00057622i,0.00036647-0.00011803i,-0.00011421+6.517e-05i,-0.00051686-0.00028038i,-0.00046044-0.00023662i,-0.00049357+0.00024626i,0.0001062+0.00046105i
-0.00049484-0.0010273i,-0.00044982-0.00045898i,-0.00079891+0.00083201i,-0.00057265+0.0015139i,-0.00016653+0.001402i,-0.00024452+0.00090892i,2.2222e-05+0.00021883i,0.00045095-0.000362i,0.00059421-0.00027831i,0.00018031+0.00038914i,-0.00010577+0.00033878i,7.7852e-05-0.0007529i,0.00016588-0.00072007i,0.0004835-0.00022436i,0.00028909-0.00047737i,0.00012143-0.00016788i,0.00035234-0.00033191i,0.00062907-0.00074472i,-6.0415e-05-0.00074175i,-0.00041658-0.00075148i,0.00011458-0.00034911i,-0.00013192-0.00012781i,0.00033884+3.466e-05i
-0.00069087+0.0012355i,-0.00041403-0.00017918i,-0.00053428-0.00076739i,-0.00059589-0.00052996i,-0.00038132-0.00086321i,-0.0010239-0.0011318i,-0.0013217-0.00094847i,-0.00086591-0.0010597i,-0.00051378-0.00051405i,6.1715e-05+0.00034194i,-7.9827e-05+0.00019291i,2.5311e-05-0.00062736i,0.00016242-0.00056931i,-0.0008996-0.00093815i,-0.0012561-0.00070757i,-0.0004629+0.00033629i,-0.00013865+0.00071981i,-0.00012556+0.00080334i,0.0002929+0.0002182i,0.00019388-0.00046489i,-0.00080843-0.00072323i,-0.00063103-0.00089743i,0.00028889-0.00071392i
0.0001789-0.0018354i,-0.00020174-0.0027072i,-0.0005048-0.0021998i,-0.00057607-0.00035828i,-0.00042238+0.00070296i,-0.0001462+0.00068277i,0.00018647+0.00028692i,0.00071007+0.00027828i,0.00038804+0.00011069i,0.0007871-0.00018279i,0.00049064-7.9652e-05i,-0.00030822-0.00022746i,-3.7932e-05-0.00023643i,-0.00020714-0.00012074i,-0.00063936+9.2508e-05i,-0.00041918+0.00024653i,5.4682e-05+0.0001358i,3.2763e-05+3.7884e-05i,-0.00022623+0.0001662i,-0.00025286+0.00019563i,0.0002315-0.00016015i,0.00068468+0.00037174i,-8.2158e-05+0.0010037i
-0.0010704+0.00014921i,-0.0016518+0.0013225i,-0.0014121+0.00139i,-0.00051114+0.0010715i,-0.00014965+0.0005944i,0.00034024+0.00030056i,0.00017629+3.3277e-05i,-0.00037847-0.00015428i,-0.00077049-0.00032887i,-0.00072786-0.00027173i,-0.0001137+1.9371e-05i,-0.00023399-0.00086068i,2.375e-05-0.0010087i,0.00084894+2.5135e-05i,0.00055233+0.00020341i,-0.00032879-0.00014326i,-0.00049352+0.00015232i,2.5498e-05+0.00090676i,2.7526e-05+0.00044325i,0.000269-0.00051213i,0.00023939-0.00048965i,1.7367e-05-0.00032463i,0.00025186-0.0001474i
-0.0020479+0.00058354i,-0.0022619+0.0006186i,-0.0005378+0.0015342i,0.00012256+0.0025175i,-0.00057987+0.001715i,-0.0003667+0.00035956i,-0.00022337-0.00037284i,-0.0003803-9.531e-05i,-0.00016846+4.4849e-06i,-6.5508e-05-5.7444e-05i,-0.00038826+0.00025815i,-0.00047781+0.0001694i,-0.00024519-0.00018894i,-3.0043e-05-0.00080983i,-0.000527-0.0009543i,-0.00041572-0.00028931i,-5.9843e-06-3.4371e-05i,-2.5665e-06-0.00029721i,-0.00016403-2.2276e-05i,-0.0002435-0.00032158i,-0.00012593-0.00018504i,-4.2951e-06-7.6141e-05i,0.00011538-0.00058802i
-0.00067585-0.0013406i,-0.0014539-0.00099808i,-0.0022381-0.00051097i,-0.00099948-0.00022361i,0.00035627-0.00051439i,-0.00013914-9.4069e-05i,-0.00040353+2.076e-05i,0.00034895-0.00019011i,0.00037232-0.00033282i,-0.00011376+7.3585e-05i,-0.00021678+0.00087659i,-0.00039126+0.0015593i,-0.00052465+0.0010014i,-0.00024077-0.00018587i,0.00021403-0.00025915i,0.00026598-0.00037598i,-0.00039388-0.00019674i,-0.00089359+0.00051261i,-0.00054583+0.00020548i,-0.00026076-0.000593i,2.7972e-05-0.00063472i,7.8193e-05+6.3768e-05i,-0.00034187+0.00036427i
-0.00089665-0.00054529i,-0.0015472+0.00017134i,-0.0018398+0.00090697i,-0.0014264+0.0012215i,-0.0011193+0.0010364i,-0.0005234+0.00091577i,-0.00017747+0.0010623i,6.5617e-05+0.00040369i,0.00038254+8.7028e-05i,0.0004488+0.00057604i,0.00028665+7.3494e-05i,0.00086327-0.00018548i,0.0011394+0.00029888i,0.00083289+0.00045553i,0.0010801-0.00041167i,0.001642-0.00083646i,0.0013723-3.4788e-05i,0.00078616-0.00039746i,-0.00011142-0.00066586i,-0.00051176-0.00043026i,1.4476e-05-0.00071069i,-0.00033467-0.00070614i,-0.00045447+0.00021904i
0.0011603-0.0011942i,-0.00045531-0.0013624i,-0.00058408-0.0014574i,0.00013927-0.00055396i,-0.00017185+0.00066493i,-0.0015707+0.0011201i,-0.0018963+0.00044614i,-0.00072934-0.00030638i,-0.00019524-0.00014299i,2.6899e-05+0.00042392i,0.00093985+0.00083551i,0.0011913+0.00034433i,0.00011715+5.6155e-05i,-0.0010977+7.3661e-05i,-0.0012144+0.00047447i,-0.00056516+0.00088614i,0.00050642+0.00030257i,0.00070009-0.00013548i,0.00073439-7.0567e-07i,0.001138-0.00066034i,0.00066346-0.001108i,0.00045545-0.00055396i,-1.3329e-06-0.00021545i
0.00036559-0.00073638i,-0.00015479-0.00060072i,-0.00021259+0.00026281i,0.00027168+0.00069622i,0.00025413+8.5113e-05i,0.0001285-0.00095725i,0.00018467-0.00035089i,0.00012536+0.000238i,0.00028341-5.2514e-05i,0.0010555-0.00032335i,0.0013179-9.9628e-05i,0.00061056+0.00065551i,0.00047945+0.00048736i,-0.00016407-0.00035271i,-0.0010682-0.00011083i,-0.00062848+0.00026332i,0.00021517-8.8719e-05i,0.00054375-0.00050108i,0.00017159-0.00034702i,-0.00051379+0.0003296i,-0.00027377+0.00079028i,-0.00028996-9.8277e-07i,-0.00048895-0.00081783i
-0.001111+0.00070389i,-0.0016798+0.0018099i,-0.0015452+0.0019755i,-0.0004274+0.0024144i,0.00036338+0.0022265i,0.00024775+0.00063803i,-0.00045784-5.5876e-05i,-0.00012298-0.00051057i,-0.00020321-0.00098957i,-5.5295e-05-0.00072434i,0.0011752-0.00092516i,0.0010785-0.00052472i,0.00049761-0.00056979i,0.00020645-0.0013961i,-0.00032081-0.00050391i,-0.00049624+0.00057635i,-0.00099321+0.00017275i,-0.00066861-0.00050319i,-3.7903e-05-0.00029853i,0.00014411+3.2646e-05i,0.00075568-8.7545e-05i,0.00096762+0.00012285i,0.00054721-4.2347e-05i
-0.0016643-0.00040475i,-0.0024973-0.0016123i,-0.0023551-0.0019188i,-0.0016566-0.00045149i,-0.0013991+0.0010045i,-0.0010643+0.0005525i,-0.00045462-0.00056445i,-0.00010485-2.3575e-05i,-0.00070248+0.00069251i,-0.0010691+0.0009088i,-0.00016065+0.00028091i,0.00063353-0.00032954i,0.0010591-0.00049025i,0.00064991+0.00017148i,-6.3978e-05-0.00023637i,-3.6967e-05-0.0006906i,0.00033338+0.0003689i,-0.00053249+0.00060421i,-0.0012715+0.00068604i,-0.00039691+0.0010556i,-0.00026503+0.00051707i,-0.0005196+1.4381e-05i,3.4235e-05-5.4927e-05i
-0.0022512-0.0038928i,-0.0027049-0.0032806i,-0.002331-0.0016236i,-0.0016171+0.00045843i,-0.0015281+0.00049748i,-0.00082722+0.00078173i,0.00047104+0.00096833i,0.0014458+8.2413e-05i,0.0013145-0.00044735i,0.00092831-7.3363e-05i,-0.00014949+0.00031643i,-0.00015269+0.00043426i,0.00072618+0.00068031i,0.00043342+0.0012199i,-0.0004832+0.001134i,-0.00062389+0.0010204i,-0.00085675+0.00075582i,-0.0011472+1.2866e-05i,-0.0010164-0.00081585i,-0.00093293-0.0009514i,7.5563e-05-0.00050908i,0.00068773-0.0003555i,9.7267e-07-0.0006884i
0.00062651+0.003418i,0.0011929+0.002733i,0.00094622+0.001689i,0.0011978+0.00069839i,0.0014142-0.0005788i,0.00051025-0.00089758i,4.9139e-05+1.2501e-05i,0.00011072+0.00029645i,-0.00022479+0.00013957i,0.00016127+5.7276e-05i,0.0012312+3.0852e-05i,0.0013596-3.1991e-05i,-0.00036017-0.00056152i,-0.0019374-0.0012377i,-0.0023179-0.0016282i,-0.0020438-0.001537i,-0.00060967-0.00084468i,8.3979e-05-0.00057025i,0.00018041-0.00036387i,0.0011626+0.00048768i,0.0015497+0.00070748i,0.0014485-5.7288e-05i,0.00047758-0.000262i
0.0012336-0.00053611i,-0.00036105-0.0013764i,-0.00024062-0.0022093i,0.00043968-0.0013163i,8.6263e-05-8.0751e-05i,-0.0013947+0.00053763i,-0.0014968+0.0004378i,-0.00060527+0.0002726i,-9.9789e-05+2.9452e-05i,0.00026835-0.00019634i,3.586e-05+3.8812e-05i,-6.7261e-05+0.0005228i,0.00026864+0.0012684i,-0.00045637+0.0013269i,-0.00062443+0.00092535i,-0.00028814+0.0011714i,-0.00092078+0.00054262i,-0.0008403-0.0007551i,0.00030578-0.00092825i,0.0010003-0.00092385i,0.00053153-0.0012874i,0.00036902-0.00083409i,0.00056091-0.0001502i
-0.0022008-4.9087e-06i,-0.001544+0.00080338i,-0.001713+0.0024031i,-0.0016497+0.0030273i,-2.5573e-05+0.0021711i,0.0013858+0.001222i,0.00083782+0.00097315i,0.0002042+0.00030356i,0.00040787-0.00039482i,0.00064909+1.8856e-05i,0.0003724-0.00043385i,0.00024697-0.00063957i,0.00042742+0.00030537i,0.00040396+0.00089649i,7.2051e-05+0.00048429i,-0.00013913-2.5469e-05i,-3.7291e-05-7.8009e-05i,0.00014993+0.00039615i,-0.0001351+0.00046616i,-0.00056167-0.000141i,3.1391e-05-0.00010203i,0.00019018+9.9679e-05i,-0.00047259-0.00044998i
-0.0025232+0.00067062i,-0.0022656+5.8424e-06i,-0.0011908-0.00010748i,-0.001223-0.00062505i,-0.00077122-0.00099468i,-0.00016012-0.00063456i,0.00027936-0.00036757i,0.0004938-0.00022773i,0.00060521-4.6096e-05i,0.00098848-0.00011253i,0.00056236-2.2052e-05i,0.00033117+0.00045004i,0.00084968-1.5968e-05i,3.6179e-05-0.00061096i,-0.00063708-0.00075009i,-0.00026169-0.00046317i,-0.00088956+1.6939e-05i,-0.0011574-0.00033578i,-0.0002697-0.00058522i,0.00041388-0.00023222i,0.00035721+0.00010967i,0.0003887+0.00041692i,0.00055117+0.00060997i
0.00041742-0.0011939i,-0.00061215-0.0018556i,-0.00055188-0.002482i,-0.00079547-0.0020515i,-0.00121-0.00089551i,-0.0010557+0.0006705i,-0.00053277+0.0016982i,0.00041163+0.0013747i,0.00050878+0.0008591i,5.4636e-05+0.00065126i,-3.303e-05+0.00055371i,-0.00018672+9.6408e-05i,-0.00013822+0.00016892i,-5.3504e-05+0.00065143i,-0.00027301+0.00065512i,-0.00064946-9.4062e-05i,-0.00068445-0.00017998i,-7.1344e-05-0.00019245i,0.00086298-0.0001826i,0.00060619-0.0005945i,1.0727e-05-0.0011556i,-0.00037382-0.00027501i,-0.00034495+8.2737e-06i
-0.00083924-0.00040967i,-0.001044+0.00057071i,-0.00091239+0.0013842i,-0.00044012+0.00049633i,0.00073489+6.9381e-05i,0.00064326+0.00072512i,0.00010731+0.00037485i,-0.00013404-0.00051296i,-0.00029002-0.00034747i,0.00026113+0.00067416i,0.00086946+0.0010277i,0.00069977+0.00039272i,0.00041753-0.00029324i,-0.00030686-0.00049052i,-0.0003451+6.8206e-05i,0.00014835+0.00060673i,-8.1829e-05+0.00036853i,-0.00061977+0.00017678i,-0.00034933-4.0114e-05i,2.4061e-05-0.00022859i,0.00027761+5.9033e-05i,0.00086087-0.00017291i,0.00059482-0.00034532i
-0.0011382-0.0016429i,-0.0017753-0.0016824i,-0.00082377-0.0010509i,-0.00046545+0.00061506i,-0.00052248+0.0015214i,-0.0002081+0.0013425i,-0.00017282+0.0017062i,-0.00061686+0.0019614i,-0.00066884+0.0016301i,-3.8072e-05+0.00099258i,0.0008334+0.00048593i,0.00074389-0.00027537i,-0.00021851-0.0011696i,-0.00066916-0.00091105i,0.00014242+0.00055802i,0.00058546+0.00094233i,3.3961e-05+0.0001299i,8.0515e-05-0.00038781i,0.00019952+0.00070649i,6.2355e-05+0.00060986i,-0.00023642-0.00052905i,-0.00053309-0.0004394i,-0.00058957+0.00013807i
-0.0020571+0.00053507i,-0.0025051+0.0013217i,-0.0017327+0.0020595i,3.9686e-05+0.0028735i,0.0013813+0.0023475i,0.0018135+0.00081576i,0.0010211+0.00056104i,-0.00068661+0.00050115i,-0.001161+0.00046234i,8.818e-06+0.0006918i,0.00066509+0.000177i,0.000458-0.00071911i,0.00091006-0.00041467i,0.00090749+4.7081e-05i,-3.5246e-05-0.000438i,-1.1193e-05-0.00047557i,0.00031133-0.00037305i,4.6496e-05-0.00044124i,-2.5655e-05-0.00057057i,0.00040445-0.00040526i,0.00051316+0.00012344i,0.00029751+0.00058658i,2.2643e-05+0.0001669i
-0.0036274+0.0021464i,-0.0028189+0.0019033i,-0.0016066+0.0022824i,-0.00030807+0.0021029i,0.00096034+0.0011725i,0.0015263+0.00014533i,0.00094034-0.0004776i,0.00013359-0.0004072i,-0.00024923+0.0002217i,8.0817e-05+0.00076841i,0.00079543+0.00066524i,0.001609+0.00031972i,0.0015069-0.00042253i,0.0015396-0.0012429i,0.0011202-0.00082562i,0.00074216+0.00013999i,0.00081731+0.00043745i,-9.858e-05+0.00064375i,-0.00049447+0.00051316i,-0.0004344-0.00015614i,-0.00032176+0.00010757i,-0.00024104+0.00063237i,-0.00044721-0.00059402i
0.00083505-0.0015537i,-0.00082334-0.0021976i,-0.0004694-0.0021749i,0.00042268-0.0012414i,-0.00081811-0.00032972i,-0.0013589+0.00046039i,-0.00067008+0.0015315i,-0.00075182+0.00070752i,-0.0002176-0.00019618i,-6.1905e-06-0.00033692i,-0.00037703-0.00026458i,-0.00011119+0.00062341i,-0.00051318+0.00047931i,-0.0010888-0.00034063i,-0.00091974-4.0766e-05i,-0.00047855+0.00049742i,-0.00016964+0.00085671i,0.00011168+0.00066912i,-0.00019439+0.00079652i,-0.00043419+0.0011689i,0.00029132+0.0005819i,0.00051419+0.00023641i,0.00012938+0.00068182i
-0.000797-0.0011484i,-0.0015987-0.0019648i,-0.0021536-0.0012729i,-0.0014361+0.00019423i,-0.00097197+0.0011773i,-0.00044854+0.00089934i,0.0002545+0.00058635i,0.00020663+0.0010021i,-0.00022653+0.00055318i,1.2196e-05-0.00024734i,0.00027876-0.00069986i,0.00052526-0.00054058i,0.00095793+0.00053719i,0.00095491+0.0011128i,0.00083354+0.00069278i,0.00095882+1.0437e-05i,0.00088528-0.00015768i,0.00070785-0.00044766i,0.0005758-0.0006466i,0.00056251-0.00052563i,0.00027394-0.00035164i,5.4723e-05+0.00021256i,-0.00021504+0.00032727i
0.00028776-0.00039763i,0.0017203-0.00041488i,0.0013489-0.0010896i,0.00037309-0.0012545i,-9.6201e-05-0.00070993i,0.00016999+0.00035579i,0.00073851+0.00021862i,-0.00028403-0.00060471i,-0.0010668-0.0010051i,-0.00070126-3.6989e-05i,-0.00062896+0.00022961i,-0.0004689-0.00030574i,-0.00013545-1.774e-05i,-0.00024373+0.00049806i,-0.00028189+0.00053984i,-2.1304e-05+0.00027824i,0.00023966+0.00025023i,0.00029428+0.00027925i,-0.00038025+7.6449e-05i,-0.00017235-9.4633e-05i,-0.00029765-0.00022126i,-0.001013-0.00098527i,-0.00088589-0.00084966i
-0.0014529-0.0024904i,-0.0030225-0.0028455i,-0.0032789-0.001409i,-0.0024176-0.00011719i,-0.0013696-0.00028523i,-0.0012821-0.00028037i,-0.00045986+0.0002565i,-3.635e-05+0.00026206i,-0.00011063-0.00049315i,-0.00013241-0.00094113i,-0.00033821-0.00059951i,-0.0005336+0.00025589i,0.00029788+0.00067935i,0.0005791+0.0010095i,-0.00069397+0.0012927i,-0.0011114+0.001325i,-0.00037337+0.0011578i,0.00021955-0.0002393i,0.00024451-0.000378i,0.00031306+2.8183e-05i,6.5981e-05-0.00072543i,-0.00025933-0.0010082i,-1.8049e-05-0.00031874i
-0.0020819-0.00042153i,-0.0016272-0.00079363i,-0.0010069+0.00026929i,-0.00036405+0.00075812i,0.00062222+0.0002164i,0.0010544+0.00070287i,0.00015794+0.00078069i,-0.00081008+0.00015985i,-0.00064283-0.00029766i,-0.00019052-0.00059383i,0.00038175-0.00037857i,0.00051887+4.3795e-05i,7.002e-05-7.1857e-05i,5.6548e-05-0.00039394i,-0.00026052+0.00017144i,-0.0013298+0.00035449i,-0.00089732+0.00030397i,4.0199e-05+0.00084879i,0.00057562+0.00083092i,0.00053961+6.123e-05i,-2.2694e-05-0.0002274i,-0.00032468-0.00043171i,-0.00072739-0.00051857i
-0.0032624+0.00050693i,-0.0034545-0.00016868i,-0.003921+0.00052802i,-0.0027404+0.0011872i,-0.0015211+0.0009481i,-0.00112+0.00032067i,0.0003831+0.00030225i,0.00089172+0.00053606i,0.00022365+0.00034284i,-8.1207e-05+0.00068923i,0.00071153+0.00013258i,0.0008453+7.3922e-05i,0.00031355+0.00085363i,0.00053335-3.6242e-05i,0.0015978-0.00022635i,0.0015918+0.00012468i,0.00039006+2.4554e-05i,-0.00038219-6.7695e-05i,8.883e-06-0.00060534i,0.00010745-0.00080457i,-0.00023567-0.0005596i,-0.00073123-0.00017914i,-0.00088726+3.8356e-05i
-0.0018064-0.0012024i,-0.0022312-0.0011152i,-0.0031414-1.3452e-05i,-0.0016255+0.001329i,0.00032959+0.0012015i,0.00080469+0.00033232i,0.00076973+4.6967e-05i,0.00049913-0.000207i,-0.0004673-0.00013284i,-0.00081891-8.8056e-05i,-0.00054909-0.00037256i,-0.00025487-0.00057612i,0.00090394-0.0011386i,0.0017898-0.0008458i,0.001695-0.00022283i,0.0014359+0.00028583i,0.00093298+0.00045416i,0.00040606-0.00031768i,0.0004137-0.00071076i,0.00044578-0.00029057i,-0.00035374-0.00013104i,-0.0009608+8.2932e-05i,-0.00055481+0.00058373i
-0.00035312-0.0020747i,-0.00048641-0.0021717i,-0.00018984-0.00052207i,-0.00024406-3.8978e-05i,2.9603e-05-0.00019906i,0.00010177+0.0002037i,-0.00037857+0.00065908i,-0.00021415+0.00085915i,7.8657e-05+0.00097754i,0.00062294+0.00090224i,0.00031682-5.769e-05i,-0.00063095-0.00082822i,-0.00038541-0.00055839i,-0.00039412-0.00016436i,-0.00044961-0.00057573i,0.00071377-7.886e-06i,0.00087421+0.00031889i,-0.00033445+1.5011e-05i,-0.00073443-0.00039659i,-0.00033057-0.00021383i,-0.00022973+0.00045133i,-0.00051969-5.2651e-05i,-0.0004509-0.0011185i
-0.001383-0.00049173i,-0.00060076-0.0003435i,-0.00060793-0.0012093i,-0.00079529-0.0013082i,-0.0011317-0.00029463i,-0.0005396-0.00017035i,6.7404e-05-0.00034382i,-0.00047687-0.00030789i,-0.00082309-9.4281e-05i,-0.00035689-6.9644e-05i,0.00030679+0.00019427i,0.00038032+0.00088019i,-0.00046785+9.7529e-05i,-0.0014174-0.00042133i,-0.0014806-0.00025278i,-0.001415-4.4689e-05i,-0.00045519-0.00024412i,0.00062062-0.00054693i,0.00023441+1.4426e-05i,-0.00042179+0.00051836i,-0.00085664+0.00023973i,-0.0012372+0.00088978i,-0.00064626+0.0011749i
0.0010471-0.00057119i,0.0014184-1.7429e-05i,0.0014565+0.0017163i,0.00062359+0.0014005i,0.0016086+0.00026654i,0.0013456+6.7603e-06i,-0.00040288+0.0013318i,-0.00084854+0.0021404i,-0.00047434+0.0015304i,4.2866e-05+0.00039711i,0.00037562-0.00049154i,0.00013435-0.00010609i,2.7218e-05+0.0002761i,-9.8615e-05+4.8783e-05i,-0.00016329+0.00029089i,0.00046451+0.00029865i,0.001149+0.00018123i,0.00084712+0.00045976i,-0.00020293+0.00094668i,-0.00023958+0.0011492i,0.00025847+0.00058786i,0.0003307-0.00041025i,4.0278e-05-0.00078054i
-0.0014225-0.0016767i,-0.0012885-0.00062625i,-0.00042689+0.00068723i,0.00015175+0.0011344i,6.1311e-06+0.00091175i,2.4288e-05+0.00030937i,0.00030178-6.0061e-05i,-0.00013787+0.00010655i,-0.00074724+0.00040366i,0.00017219+0.00076628i,0.0014102+0.00030683i,0.0016854-0.00061289i,0.00086616-0.00074659i,0.00013796-0.00078486i,-0.00019324-0.00030779i,-0.00026604-6.2096e-05i,-0.00025586+4.4403e-05i,-9.9844e-05+3.9573e-05i,-9.2534e-05+0.00036375i,-0.00017857+0.00031271i,-0.00041915-0.00025162i,-0.00095139-0.00021934i,-0.0011607-5.7347e-06i
-0.0017835+0.00049744i,-0.0020937+0.00065719i,-0.0016385+0.0020102i,-0.00050228+0.0013945i,0.00022379+0.00066251i,0.00030111+0.00025312i,7.522e-05+6.727e-05i,-4.063e-05+0.00034584i,-0.00047738+0.00066013i,-0.00037322+0.00069625i,-9.7777e-05+2.7767e-05i,-0.00027872-0.00088384i,-2.7226e-05-0.0007315i,0.00019037-0.00037287i,-0.00044777-0.00080384i,-0.00088601-0.00047433i,-0.0011273+0.00014732i,-0.00054061+6.6971e-05i,0.00024694+0.00016201i,-0.0001585-0.00041722i,-0.00034618-0.00098792i,4.2606e-05-0.0011854i,-0.0004657-0.0014144i
-0.0014492-0.0012799i,-0.0017811-0.001647i,-0.00084391-0.0018785i,-0.00023419-0.00091863i,-0.00026689-0.00020115i,-0.00045919-0.00056238i,-0.00050876-0.00083176i,-0.0011716-0.00046445i,-0.0012062-0.00029185i,-0.00064081-0.00031826i,0.00038548-0.0003063i,0.00059118-0.00035993i,5.9746e-05-0.00068089i,0.00040834-0.00026238i,0.0008123+0.00022897i,0.00037504-0.00030107i,-0.00023203+0.00011766i,-1.0281e-05+0.00096681i,0.00034838+0.00026086i,0.0004939-0.00010048i,-0.00016556-9.06e-05i,-0.00041463-0.00063746i,0.00037636-0.0010347i
7.0165e-05-0.0020203i,-0.00045212-0.0023162i,-0.00079339-0.0009049i,-0.00050801+0.00097451i,-0.00024665+0.0020218i,0.00081198+0.001548i,0.0017578+0.00033777i,0.0011289-0.0008593i,0.00024956-0.00083929i,5.0031e-06-0.00087218i,0.00066533-0.00053987i,0.0010557-0.00018849i,0.0002685-0.00051433i,-0.00044805-0.00021225i,-0.00045969-0.00014134i,-0.00089078-0.00094731i,-0.0011338-0.00057113i,-0.000375+0.00037398i,6.9643e-06+2.721e-05i,-0.00015264-0.00027939i,1.1484e-05+0.00011736i,-0.00016512+0.00026108i,-0.00061388-0.00037679i
-0.00094952+0.0015786i,-0.0015843+0.0012882i,-0.00098284+0.0022052i,-0.00097566+0.0023137i,-0.00037374+0.00077094i,0.00036844-0.00048875i,0.0002802+0.00023032i,-0.00036837+0.0010251i,-0.00035249+0.00047668i,0.00030326+0.00034296i,0.00079607-0.00014105i,0.00032791-0.00050511i,8.2202e-05-0.00018567i,0.00017581-0.00031715i,-0.00029601-0.00084075i,0.0001147-0.00077238i,0.00048363-0.00035525i,0.00018505-0.00019992i,0.00018651-0.00053983i,0.00041274-0.00054198i,5.0592e-06-0.00025925i,-0.00051779-5.418e-05i,-0.00041846-0.0002535i
-0.0014098-0.0029035i,-0.0028026-0.0022011i,-0.0042138-0.0011853i,-0.0028506+0.00034719i,-0.001571+0.0014524i,-0.00088616+0.0014281i,-0.00039188+0.0010903i,-0.00081978+0.00039201i,-0.0013078-0.00043036i,-0.00032324-0.00025694i,0.00079828-3.1683e-05i,0.0014126-0.00043642i,0.0019972+5.7358e-05i,0.0015525+0.00030462i,0.00061468-0.00011121i,0.00024091-0.00062539i,0.00030517-0.00064504i,-2.227e-05-0.00014588i,-5.5707e-06-0.0006661i,1.479e-05-0.00075633i,3.6887e-05-0.00016816i,8.4416e-05+0.00016905i,-0.00018799-0.00033313i
-0.0014287-0.0019027i,-0.0015533-0.0017917i,-0.0019096-0.00071034i,-0.0017239+0.00094881i,-0.00077594+0.001035i,-0.00012985+0.00080719i,0.00094964+8.6845e-05i,0.00089953-0.00058616i,-0.00029577-0.00024084i,-0.00083456+0.0005474i,-0.00040805+0.00070201i,0.00016468-0.0002065i,0.00068438-0.00062812i,0.00093392-4.3868e-05i,0.00082016+0.00034743i,0.00055253+0.00073443i,0.0005732+0.00041246i,0.00041691-0.00037539i,-0.00019259-0.00099551i,0.00014819-0.0017576i,0.0014613-0.001686i,0.0017583+1.5043e-05i,0.00096347+0.0004403i
-0.0012682-0.0012835i,-0.0016961-0.0012507i,-0.0017867-0.00057298i,-0.00018906-9.5268e-05i,0.001625-0.00011608i,0.00065131-0.00065972i,-0.00051102-0.00071962i,-0.00097425-0.00031894i,-0.00097638+0.00032101i,0.00047143+0.00023383i,0.0011182-0.00022672i,0.00066084-0.0005104i,0.00020547-0.00052266i,0.00032732+0.00019781i,-9.0416e-05+0.00069495i,2.381e-05+0.00085537i,-4.6416e-05+0.00080244i,-0.00044977-0.00020618i,5.7673e-05-0.00083548i,0.00019944+1.4708e-05i,0.00025344+0.0010834i,0.00030488+0.00040314i,0.00065617-0.00056581i
0.00087387+0.0011042i,-0.00072843-0.0011353i,-0.0016819-0.001053i,-0.0010092-0.00085127i,0.00041546-0.00069026i,-0.00016017+0.00012859i,-0.00072911+0.00019271i,-0.00022077+0.00044064i,0.00045902+0.00087326i,0.00077077+0.00014465i,0.00084039-0.0004017i,0.00057369-0.00020722i,0.00038219-0.00014035i,-0.00021917-0.00088929i,-0.00088945-0.0013651i,-0.0008271-0.0012342i,-9.102e-05-0.00067627i,-0.00056144-5.365e-05i,-0.0009744-0.00050744i,-0.00020173-0.00063604i,0.00020849-0.00072366i,0.00069578-0.00095155i,0.00027238-0.00015333i
