5.357e-05-0.0010916i,0.00056196-0.0024671i,-0.00034037-0.0033526i,-0.0018697-0.0035051i,-0.0029668-0.002445i,-0.0036645-0.0011855i,-0.0032879-0.00034231i,-0.0021085+0.00036387i,-0.0012515+0.00049301i,-0.00025712+0.00048704i,0.00057351-0.00032089i,0.00034498-0.00089932i,-0.00065558-0.00086352i,-0.00026742-0.0010042i,-0.00017389-0.00059461i,-0.0011062-0.00034415i,-0.0015423-0.00064711i,-0.001697-0.00032765i,-0.00094872-8.5263e-05i,0.00013687-0.0002031i,-8.1167e-05+8.5994e-05i,-0.00047334-0.00042787i,-0.0003085-0.0010159i
0.0013338-0.0093804i,0.0030994-0.0088267i,0.0042268-0.0043477i,0.0070819-0.0006582i,0.0093579-0.00045108i,0.0076711-0.00063809i,0.0046051+0.00057087i,0.002613+0.0003849i,0.0011727-0.00049801i,0.00055049+0.00020728i,0.00075693+0.00030296i,0.00054571-0.0007283i,-0.0004911-0.0013111i,-0.0009863-0.0016186i,-0.00044432-0.0014894i,0.0002781-0.0012642i,-5.0544e-05-0.00055007i,-0.00019768+0.00024949i,0.00028625+0.00020833i,0.00016704+0.0003595i,5.3966e-05+0.00067032i,0.0004106+0.0007589i,0.00029137+0.00043795i
-0.008501-0.0027113i,-0.0050258-0.0034338i,0.001404-0.0039458i,0.0043195-0.0089027i,0.0041004-0.012092i,0.0046133-0.0088897i,0.0047379-0.0054568i,0.0032224-0.0040144i,0.0015532-0.0022232i,0.00043291-0.00087023i,0.00011068-0.00079512i,-0.00050531-0.00072699i,-0.0011523+0.00016523i,-0.0014436+0.00041109i,-0.00081768+0.0002522i,-0.00042222+1.051e-05i,-0.00041152-0.00054669i,-0.00041994-0.00013449i,7.2566e-05-7.0272e-05i,0.00066638-0.00027244i,0.00037317-0.00054499i,0.00011387-0.00088717i,0.00024899-0.00043721i
-0.0098185+0.0058008i,-0.0099536+0.0010359i,-0.0079333-0.0050562i,-0.0097151-0.0071887i,-0.010139-0.0070531i,-0.0056862-0.0076207i,-0.0025872-0.0073411i,-0.0015036-0.005319i,-0.00010551-0.0034999i,0.00048022-0.0029003i,-1.2202e-05-0.0010702i,-0.00022563+0.0001036i,-0.0001665+0.00024432i,6.7913e-05+0.00079208i,0.00053752+0.0012799i,0.00059853+0.00079144i,0.00043245-0.00011259i,-0.00048715-0.001266i,0.00020549-0.001757i,0.00071652-0.00060135i,0.00011222-0.0001643i,0.00035063-0.0010028i,0.00031257-0.00090601i
0.0045151+0.010729i,0.0009393+0.011022i,-0.0020757+0.0082928i,-0.0042568+0.0077054i,-0.0044683+0.0062452i,-0.0039283+0.0018938i,-0.0041514-0.00069349i,-0.0025233-0.00064172i,1.2462e-05-0.00099627i,0.00057117-0.0021035i,-0.00014417-0.0017653i,-0.00046056-0.00026628i,-0.00024832+0.00014405i,0.00048866-0.00070397i,0.0015627-0.0012019i,0.0015439-0.0010005i,-1.6248e-05-0.00058887i,-0.0011665-0.00049668i,-0.0017367-0.0014163i,-0.0010404-0.0013959i,-0.00021318-0.00032766i,0.00018688-0.00025899i,0.00011705-0.00088144i
0.012646+1.6166e-05i,0.0094286+0.0032071i,0.0057618+0.0040163i,0.0061893+0.0024797i,0.0077311+0.0007178i,0.0050627+0.0011917i,0.0018072+0.0029236i,0.0018827+0.0019553i,0.0020757-0.0013574i,0.00090609-0.0022603i,-0.00023849-0.00018516i,-0.00047305+0.00011086i,-0.00082058-0.0012337i,-0.00088415-0.0016221i,-0.0007401-0.0010437i,-0.0003545-0.00059454i,0.00011188-0.00024275i,-0.00047095+0.00029542i,-0.0014068+0.00074549i,-0.0013602+0.00020887i,-9.3566e-05-0.00069788i,0.00072947-0.001133i,-0.00062399-0.0013709i
0.0086955-0.01329i,0.013616-0.012196i,0.014085-0.01063i,0.010432-0.013236i,0.0059604-0.014138i,0.0046313-0.0087818i,0.0058331-0.0043559i,0.0050848-0.0040613i,0.0026146-0.0040422i,0.0014084-0.0027311i,0.00075208-0.0015205i,-0.00052583-0.00048385i,-0.0015803-0.00039798i,-0.0016158-0.00012198i,-0.0009522+0.00045205i,-0.00074589-4.5996e-05i,-0.00062671-0.00060109i,-0.00016485-6.8969e-05i,-0.00013759+7.5723e-05i,0.00059494-0.00043544i,0.00067309-0.00043855i,0.00044386+0.00041949i,0.00020261+0.00019775i
-0.012139-0.011919i,-0.0097957-0.013223i,-0.0076467-0.011115i,-0.0099357-0.0095149i,-0.010282-0.0082829i,-0.0050901-0.0076999i,-0.00093631-0.0072942i,-0.00094462-0.0059723i,-0.00051878-0.0037038i,0.00036087-0.0012388i,0.00068104+0.00036577i,0.00087078+0.0010114i,0.00083092+0.00090988i,0.0010228+0.00051055i,0.00073128+0.0002765i,0.00045703+2.3452e-05i,2.9252e-05+0.00023889i,-0.00055911-0.00027811i,-0.00032284-0.00036191i,0.0005861+0.00021999i,0.00067759+0.00053173i,0.00054782-0.00033594i,0.00096782-0.00089423i
-0.014394+0.00524i,-0.014931+0.00095277i,-0.010824-0.0010889i,-0.0083373+0.0014473i,-0.0059982+0.0030235i,-0.003832+2.2041e-05i,-0.0042113-0.002927i,-0.0037927-0.0024167i,-0.0020672-0.0013846i,-0.00049053-0.0015006i,0.00026676-0.0012804i,0.0007447-0.0006803i,0.00056979-0.00026386i,0.00019212-0.00063872i,0.00018599-0.0018699i,0.00029652-0.0022983i,5.8417e-06-0.0012609i,-0.00056117-0.0007956i,-0.00075002-0.00049096i,-0.00061637-0.00030725i,-0.00071349-0.00056477i,-0.00050196-0.0003796i,-3.095e-06-0.00029976i
0.0023635+0.018979i,-0.0015652+0.019734i,-0.00096527+0.014977i,0.0044382+0.0089963i,0.0075114+0.0043429i,0.0044941+0.0012371i,0.0009087+0.0018611i,0.00118+0.0023599i,0.0020549+0.00031701i,0.0011975-0.0006236i,-1.6392e-05-0.00073503i,-0.0006122-0.0019202i,-0.00069798-0.002463i,-0.00059636-0.0017907i,-0.00032126-0.00083138i,-0.00095064-0.00071567i,-0.0010554-0.00065578i,-0.0003183-0.00026944i,-0.00040518-0.00037862i,-0.00026675+2.6008e-05i,-0.00012859-0.00011523i,-0.00029984-0.00073519i,0.00010793-0.00090072i
0.019167+0.0055683i,0.019638+0.0065473i,0.014426+0.0017928i,0.0093391-0.0061353i,0.0055918-0.0090699i,0.0041501-0.0063704i,0.0046818-0.0035031i,0.0045679-0.0026844i,0.0020769-0.0028544i,0.0002128-0.0016335i,-0.00049561-0.00027869i,-0.0013062-0.00069435i,-0.0020859-0.0002933i,-0.0015802+0.00044026i,-0.00081296-8.9752e-05i,-0.0013964-0.00039238i,-0.0015039-0.00034491i,-0.0013477+0.00034778i,-0.00093343+0.0009288i,-0.00039598+0.00071849i,5.1478e-05+0.00021675i,0.00031041-0.0001657i,0.0001711+6.3842e-05i
0.009538-0.019229i,0.012937-0.016374i,0.0075077-0.010887i,-0.0017422-0.009058i,-0.0057213-0.0085553i,-0.002951-0.0072473i,0.0014812-0.0073671i,0.0015829-0.0068358i,0.00023343-0.0049838i,0.00083659-0.0022185i,0.0010064+0.00031324i,-9.3716e-05+0.0012436i,-0.00029763+0.00095264i,0.00098918+0.00066505i,0.0017917+5.8291e-05i,0.0015944-0.00030649i,0.00058801-0.00015034i,-0.00036246-0.00031456i,-0.0002597-0.0008909i,0.00037819-0.0012331i,0.00021059-0.00038387i,2.2161e-05+0.00027935i,0.0001782+0.00011893i
-0.015846-0.01952i,-0.011991-0.021446i,-0.0075886-0.013466i,-0.0069056-0.0020652i,-0.006422+0.0023505i,-0.0045032-0.00055573i,-0.0044556-0.0038274i,-0.0039107-0.0036232i,-0.0011783-0.0020771i,0.0011665-0.00093408i,0.0021745-0.00046368i,0.0019042-9.6493e-05i,0.001404-0.0002048i,0.0013379-0.0011376i,0.0008585-0.0016249i,-0.00011142-0.0015374i,-0.00033006-0.0010394i,4.3303e-05-0.00038016i,-0.00037273-0.00073213i,-0.00074377-0.00057805i,-0.00076035+0.0007502i,-0.00025249+0.0016751i,-1.93e-05+0.0012641i
-0.022186+0.010365i,-0.022293+0.0054792i,-0.011218+0.0019135i,0.0007435+0.0011822i,0.0050408-0.00034464i,0.0014802-0.0014357i,-0.0022933+0.00068665i,-0.0010835+0.0023225i,0.00033375+0.00052054i,-7.4234e-05-0.002433i,0.00048747-0.0029552i,0.0011252-0.0022908i,0.00024986-0.0020334i,-0.00056051-0.001731i,-0.0010799-0.0012662i,-0.00092293-0.0013978i,-0.0010544-0.0013968i,-0.0012597-0.001524i,-0.00097912-0.001846i,-0.00045085-0.00098958i,-0.00017721+7.8113e-05i,7.2743e-05-8.6484e-05i,0.00074158-0.0001236i
0.0027095+0.025142i,-0.0028001+0.02281i,-0.0038481+0.0098034i,0.00075059-0.002823i,0.0027967-0.0082799i,0.0028276-0.0054845i,0.0035401-0.00068932i,0.0036058+0.00052358i,0.0020214-0.00084607i,-0.00039914-0.0023395i,-0.001872-0.0021402i,-0.0022228-0.0010115i,-0.0016133-0.00047219i,-0.0017364-0.00030944i,-0.0016482-0.00052358i,-0.00086498-0.00078872i,-0.00036178-0.00067078i,-0.0005446-2.0628e-05i,-0.00089396+0.00079484i,-0.00078989+0.00050514i,9.0877e-06-0.00041339i,0.00086358-0.00077345i,0.0011097-0.00071919i
0.026914+0.0095202i,0.027247+0.011907i,0.016748+0.0055542i,0.0040194-0.0033886i,-0.0027386-0.0079986i,-0.0010409-0.0076101i,0.0020767-0.0060008i,0.0027148-0.0047495i,0.0013211-0.003255i,-0.00021087-0.0009031i,-0.0007262+0.0012176i,-0.00058606+0.0014069i,-0.001223+0.00058333i,-0.0018071-0.00017687i,-0.0013958+0.00010665i,-0.00076317+0.00038655i,7.7867e-05-0.00019749i,2.017e-05-0.00050428i,-0.0005314-0.00041677i,-0.00039581-0.00025313i,-0.00033866-0.00034311i,-0.0010457-0.001386i,-0.0018556-0.0025159i
0.016448-0.025613i,0.017874-0.021226i,0.0093532-0.011525i,-0.00098062-0.0028766i,-0.0045287+0.00017597i,-0.0033024-0.0027435i,-0.0025095-0.0046484i,-0.0018209-0.0036655i,0.00044445-0.0021592i,0.0020799-0.00033955i,0.0023634+0.0005121i,0.0016568+0.001361i,0.0010519+0.0017851i,0.0010571+0.00088241i,0.00084273+7.4453e-05i,0.0011374-0.00013501i,0.0014359-7.7928e-05i,0.0014028+8.5792e-05i,0.00075665+0.0010928i,0.00011323+0.0012854i,-0.00040046+0.00018111i,-0.001007-0.00020892i,-0.00073613-3.3546e-05i
-0.019644-0.026053i,-0.013596-0.028186i,-0.0036131-0.017464i,0.0024242-0.0057938i,0.0029905-0.0023105i,0.0001611-0.0024165i,-0.0021211-0.0020653i,-0.0010743-0.00095683i,0.0020659-0.00078327i,0.0037095-0.0017695i,0.0030386-0.0027102i,0.0011656-0.002579i,-6.4875e-05-0.0017862i,-0.00015156-0.0014219i,0.00060434-0.0010788i,0.00062697-0.0012993i,-0.0008778-0.0014317i,-0.0013038-0.0012375i,-0.00096918-0.0013668i,0.00033416-0.0016657i,0.00055567-0.00073282i,-1.2992e-05+0.00052134i,0.00030606+0.00083341i
-0.032563+0.012798i,-0.032371+0.007632i,-0.018829+0.0020918i,-0.0035608-0.0035041i,0.0031029-0.0068437i,0.001817-0.004065i,0.00036876+0.00095368i,0.0012009+0.0013566i,0.0010897-0.00093564i,8.2867e-06-0.0026574i,-0.00030041-0.003248i,-8.3862e-05-0.0031344i,-0.0010595-0.0022356i,-0.0019484-0.0011214i,-0.0013986-0.0011157i,-0.00066061-0.0014134i,-0.00089655-0.001445i,-0.00070912-0.0013712i,0.00040784-0.0007142i,0.00058209-0.00019926i,0.00048397-0.0002502i,0.0011537+2.1989e-06i,0.001197-0.00041169i
0.0013069+0.036932i,-0.002158+0.03379i,-0.0036418+0.016168i,-0.0039841-0.00062177i,-0.0040392-0.0070575i,-0.0009778-0.0053203i,0.0036129-0.0020551i,0.0037914-0.0016481i,0.0014415-0.0024414i,-0.00031421-0.001765i,-0.0014788-0.00030197i,-0.0017794+0.00020825i,-0.0017092+0.00040927i,-0.0019878+0.00037379i,-0.0011425-0.00049364i,-0.00034156-0.000237i,-0.00049194+0.00075252i,-0.0010999+0.00069464i,-0.0020039-0.0009802i,-0.0012822-0.001244i,-0.0007219-0.00075225i,-0.00098797-0.0011402i,-0.00072124-0.0012256i
0.036132+0.01197i,0.033801+0.01516i,0.017991+0.011389i,0.0031267+0.0052574i,-0.00056944+0.00058524i,0.0015281-0.0027915i,0.0018923-0.0046057i,0.00074442-0.0036799i,0.00018578-0.0014157i,-0.00028726+0.00065142i,-0.00060416+0.002294i,0.00037785+0.0027432i,0.00099865+0.0011188i,0.00069872+8.0853e-05i,0.00029352+0.00022443i,-0.00039209-0.00015712i,-0.00090538-0.00073515i,-0.00052239-0.00037565i,-6.7925e-05+0.00022332i,-3.0877e-05+0.00093132i,-0.000333+0.0010826i,-0.00066925+0.00027594i,-0.0012435-0.00031857i
0.024562-0.032895i,0.026474-0.030046i,0.017754-0.017214i,0.0080168-0.0065969i,0.0044586-0.0033172i,0.0011693-0.0046396i,-0.0029515-0.0043551i,-0.0018417-0.001742i,0.0012699-0.00028315i,0.002437+0.00015886i,0.0029516+0.0006378i,0.0021908+0.00069853i,0.00053682-7.4219e-05i,-0.00020729-0.00065383i,-0.00032331-0.00022218i,-0.00059352-5.8085e-05i,-0.00047897-0.00095139i,-0.00024428-0.0010646i,-0.00035941-0.0009414i,-0.0005841-0.00071156i,-0.00074309-0.00029916i,-0.0014636+0.00018767i,-0.0014439+0.0011545i
-0.023371-0.033933i,-0.01905-0.035244i,-0.0065224-0.023531i,0.0030437-0.013992i,0.0026082-0.01105i,-0.0016941-0.0066815i,-0.002948-0.001411i,-0.00028158+0.0010089i,0.0021655-4.7137e-05i,0.0027179-0.0022945i,0.0020493-0.0032097i,0.0011372-0.0034971i,0.0001284-0.0028184i,-1.2363e-05-0.002122i,0.00057369-0.0013792i,0.00019087-0.0013876i,-0.00021878-0.0019543i,-0.00044512-0.001376i,-0.00020849-0.00053117i,-0.00023606-0.00014977i,-0.00044671-0.00048924i,0.00042262-0.00024713i,0.0010834+0.00012679i
-0.040793+0.011832i,-0.041087+0.0082394i,-0.026567+0.0002057i,-0.014001-0.0055182i,-0.0079436-0.0051243i,-0.0029658-0.00017774i,0.0025884+0.0028476i,0.0050476+0.0008682i,0.0035937-0.0030461i,0.0015113-0.0045934i,-0.00067921-0.0038291i,-0.0024662-0.0025746i,-0.0032128-0.0018731i,-0.0026388-0.0010061i,-0.0017975-0.00021195i,-0.0012174-0.00019357i,-0.0011956-7.4917e-05i,-0.0012491+0.0002002i,-0.0016607-0.00027174i,-0.0017553-0.00097706i,-0.00017853-0.00087441i,0.0011585-0.0008755i,0.001323-0.0014011i
0.0016451+0.045736i,-0.00019169+0.042457i,0.00066395+0.023705i,-0.00034779+0.0075751i,0.00016367+0.001432i,0.0035186-0.0015418i,0.0050235-0.0034728i,0.0034756-0.0033397i,0.0018546-0.0026957i,-9.5581e-05-0.0026267i,-0.0019269-0.0020162i,-0.0021503-0.00046085i,-0.0019417+0.00055391i,-0.0015196+0.00091104i,-0.0011768+0.00089755i,-0.0011763+0.0005778i,-0.0010489+0.00028573i,-0.00072716-0.00013921i,-2.7148e-05+8.0012e-05i,0.00034742+0.00063059i,0.00037137+0.00010295i,0.00018688-0.00021748i,-0.00086221-2.6878e-05i
0.043724+0.015219i,0.042599+0.017851i,0.025282+0.01341i,0.011264+0.0069325i,0.0079696-0.00020911i,0.0060257-0.0068099i,0.0018223-0.0081889i,-0.00014092-0.005468i,-0.00042562-0.0030493i,-0.0009608-0.0011075i,-0.00027959+0.0010251i,0.00058817+0.0021947i,0.0004487+0.0020025i,0.00027775+0.0011086i,8.9934e-05+0.00081778i,0.00019347+0.00098645i,0.00082019+0.0010866i,0.00058552+0.00017208i,-0.00049614-0.0011336i,4.4381e-05-0.0012314i,0.00066091-0.00069317i,-0.00039377-0.0010044i,-0.0010094-0.00079148i
0.033336-0.04262i,0.032406-0.041317i,0.020615-0.029116i,0.0092071-0.018705i,0.0022694-0.013984i,-0.0023262-0.010367i,-0.0038608-0.0049024i,-0.0024472-0.0015839i,-0.00036077-0.00090629i,0.00059995-0.00013131i,0.001963+0.00023568i,0.0024983-0.00093535i,0.0018215-0.0022055i,0.0019089-0.0018521i,0.0022404-0.0014051i,0.0021192-0.0015133i,0.00089128-0.0019312i,-0.00011204-0.0015925i,-0.00026098-0.00090124i,-0.00014094-0.00035842i,-0.00039417+0.00027704i,0.00018601+0.00074377i,0.0008412+0.00071051i
-0.02906-0.043138i,-0.026217-0.041283i,-0.017732-0.026084i,-0.011354-0.013667i,-0.0099025-0.0072837i,-0.0076519-0.0013672i,-0.0024103+0.0020319i,0.0014269+0.0016474i,0.0020729+0.00033798i,0.0021284-0.0013004i,0.0018293-0.002482i,0.0006983-0.0024722i,-0.0013401-0.0027282i,-0.0025195-0.0029273i,-0.0016275-0.0021796i,-0.00052552-0.0014295i,-0.0006458-0.0016688i,-0.0012955-0.0013483i,-0.0019405-0.00046956i,-0.0020381-0.00064888i,-0.000667-0.00020152i,7.9746e-06+0.00078275i,0.00015659+0.00089303i
-0.054689+0.014207i,-0.050596+0.014138i,-0.032136+0.010453i,-0.015443+0.0071218i,-0.005367+0.0063768i,0.00091835+0.0044228i,0.004111+0.00040367i,0.0045572-0.001833i,0.0038056-0.0024072i,0.0023279-0.003135i,0.00066206-0.002625i,-0.0009685-0.0013409i,-0.002052-0.00056044i,-0.002729-0.00057445i,-0.002674-0.0011457i,-0.0022682-0.0014782i,-0.0015027-0.0014123i,-0.0014174-0.0011645i,-0.00089716+0.00041225i,7.6891e-05+0.0021074i,0.00035939+0.0019495i,0.00048986+0.00037205i,0.00092402-0.00073536i
-0.0041093+0.055728i,0.00011619+0.052787i,0.0053409+0.031942i,0.0079985+0.013092i,0.0093552+0.002434i,0.009135-0.0041452i,0.0058794-0.0067841i,0.0018291-0.0067571i,-0.00051858-0.0055343i,-0.0022467-0.0040673i,-0.0027502-0.0019347i,-0.001902+0.00058846i,-0.0011388+0.0019077i,-0.00035536+0.001379i,0.0003884+0.00085503i,0.0007495+0.0017207i,-6.4675e-05+0.0018255i,-0.00072261+0.00093637i,-0.00077178+0.00029261i,0.00010813-0.00086359i,0.0013541-0.0013942i,0.00064918-0.00042981i,-0.00094811+0.00013365i
0.057079+0.019104i,0.052907+0.014357i,0.032073+0.0027535i,0.013449-0.0059577i,0.0052724-0.011413i,0.0018807-0.01215i,-0.0010247-0.0079168i,-0.0013758-0.0045625i,-0.0021768-0.0033928i,-0.0035787-0.0014003i,-0.0025557+0.00020604i,-0.00014314+9.5097e-05i,0.00075185-0.00033324i,0.0013924-0.00049632i,0.0015873+0.00049828i,0.00094728+0.0012305i,0.00018541+3.1965e-05i,-3.6704e-05-0.00084845i,0.00068758-0.00040032i,0.00084255-1.6557e-05i,3.9424e-05-0.00012514i,-0.0008223-0.0001067i,-0.00096661+0.00018275i
0.040222-0.04338i,0.033518-0.045742i,0.01773-0.034388i,0.0043073-0.021303i,-0.0052037-0.013254i,-0.0092092-0.0079219i,-0.0073884-0.0020684i,-0.0027602+0.0021413i,0.00076676+0.003227i,0.0011194+0.0023421i,0.0011169+0.00086486i,0.00074171-0.00056742i,-0.00056759-0.0018034i,-0.0011751-0.00092129i,-0.00049299-0.00030145i,-0.00010748-0.0012379i,-2.133e-05-0.0020676i,-1.2065e-05-0.0022109i,-0.00044799-0.0018961i,-0.0009223-0.00205i,-0.00042518-0.0011828i,0.0009414+0.0001913i,0.0014911+3.3843e-06i
-0.032736-0.050423i,-0.033793-0.043756i,-0.024315-0.021468i,-0.013809-0.0065314i,-0.0075252-0.0017932i,-0.003349+0.0016624i,0.00057047+0.0030266i,0.0034316+0.0016024i,0.0057755+0.00015864i,0.0067314-0.00059204i,0.0049516-0.00065186i,0.002154-0.00092827i,-0.00025741-0.0014428i,-0.00079659-0.0014839i,-0.00094958-0.0016828i,-0.0014823-0.0010745i,-0.0011091-0.0001023i,-0.001253+0.00046656i,-0.0016079+0.00093914i,-0.00096452+0.00089448i,-0.00023217+0.00030131i,6.526e-05-0.00036044i,-0.00045178-0.00058389i
-0.06034+0.014118i,-0.052256+0.017376i,-0.027652+0.014387i,-0.008502+0.007046i,0.0013129+0.0018822i,0.0053819-0.001223i,0.0044419-0.0023446i,0.0034738-0.0023336i,0.0033634-0.0036588i,0.0021747-0.0041933i,0.0014486-0.003678i,0.001361-0.0032756i,0.00068133-0.002288i,0.00018372-0.00066722i,0.00054407+0.0004568i,0.00040692+0.00067994i,-0.0005576+8.2492e-05i,-0.0010986+0.00017153i,-0.0011888+0.000782i,-0.0013452+0.00081047i,-0.0010874+0.00061305i,-0.001175+0.00095039i,-0.0011178+0.00051075i
-0.0049373+0.063678i,0.004101+0.05765i,0.010877+0.032621i,0.010056+0.0085313i,0.0070682-0.0037843i,0.0044543-0.0080694i,0.002611-0.0077947i,0.0013771-0.0061491i,-0.00057809-0.005512i,-0.0021228-0.005128i,-0.0021647-0.0036694i,-0.0014442-0.0022879i,-0.0012367-0.0020768i,-0.0011475-0.0026828i,-0.0009322-0.0024667i,-0.00044504-0.0015013i,4.536e-06-0.00073727i,0.0007581+0.0003459i,0.0015827+0.0011642i,0.0018592+0.0016927i,0.0011927+0.0023287i,-0.00047249+0.0020499i,-0.00081883+0.0013456i
0.061752+0.027206i,0.057286+0.014309i,0.034635-0.0020949i,0.012373-0.0088698i,0.0020731-0.0094484i,-0.0013424-0.0082501i,-0.002446-0.0043563i,-0.0012999-3.0258e-05i,-0.00032528+0.001638i,-0.00099749+0.0021676i,-0.0023462+0.00203i,-0.0028378+0.0017223i,-0.0035596+0.001159i,-0.0033448+0.00056544i,-0.0019371+0.00052403i,-0.00069164+1.2764e-05i,0.0001767-0.00083674i,-0.00046535-0.0018782i,-0.0012044-0.0020951i,-0.0013475-0.0022861i,-0.001086-0.0022689i,0.00017861-0.0016624i,0.00082102-0.0015719i
0.042994-0.049075i,0.031559-0.048377i,0.011593-0.03239i,0.0016184-0.014746i,-0.00062155-0.0061164i,-0.001034-0.0032444i,0.00032931-0.0017439i,0.0018641-0.00010374i,0.0034479+0.00068418i,0.0041292+0.00059397i,0.0033417+0.0013604i,0.0026721+0.0025274i,0.0020171+0.0024873i,0.00088322+0.0017858i,8.8772e-05+0.00084217i,-6.3235e-05+0.00017676i,0.00042648-1.5613e-05i,0.00028701-0.00015346i,-9.8189e-05-5.6317e-05i,0.00063269+0.00028556i,0.0010312+0.00051958i,0.00063565-0.00040061i,0.00020686-0.0011842i
-0.032947-0.060805i,-0.036734-0.046521i,-0.027678-0.019919i,-0.013584-0.0050599i,-0.0033626-0.0035758i,0.00030162-0.0036209i,0.00035891-0.0021036i,0.0010491-0.0024223i,0.0020765-0.0036801i,0.0024881-0.0035943i,0.0036004-0.0019504i,0.0044457-0.00087775i,0.0036592-0.00058104i,0.0031289+0.0001616i,0.0019781-0.00014585i,0.00025053-0.0010326i,-0.0004208-0.00059473i,-0.00060077+0.00026143i,-0.00082427-0.00048934i,-0.0023616-0.0018434i,-0.0026958-0.003192i,-0.0014222-0.003029i,-0.0014572-0.0017321i
-0.066614+0.01129i,-0.053363+0.019775i,-0.025282+0.018466i,-0.008072+0.0064526i,-0.0035294-0.0018753i,-0.0013156-0.0029786i,0.00086195-0.0015722i,0.0018893-0.00037255i,0.0012066-0.00203i,-5.2311e-05-0.0046958i,-0.00053735-0.0057749i,-0.0008769-0.0067138i,-0.0014557-0.0065973i,-0.0016206-0.0054157i,-0.00083939-0.0045297i,7.5834e-05-0.0032175i,0.00083526-0.0017159i,0.00095295-0.00039852i,0.0016975+0.00072597i,0.0018848+0.0014569i,1.5929e-05+0.0014002i,-0.0019346+0.00085371i,-0.0013947+0.00039431i
-0.0093833+0.066787i,0.0036463+0.057598i,0.012465+0.029553i,0.0087034+0.009155i,0.0019698+0.0024908i,0.0011352+0.00028937i,0.0029304-0.0011723i,0.0026177-0.00098784i,0.00015455+0.0004888i,-0.0026819+0.00066024i,-0.0045254+5.8002e-05i,-0.0053146+0.00011067i,-0.0052335+0.00044306i,-0.0043498+0.00027254i,-0.0037556-0.00021776i,-0.0029501+0.00012412i,-0.0020954-0.00019143i,-0.0017528-0.00025842i,-0.0019478+0.00020248i,-0.0025864-0.00042387i,-0.002176-0.0012278i,-0.0010245-0.00047616i,-0.00049833+0.00034843i
0.059766+0.03194i,0.056149+0.011988i,0.032689-0.0083338i,0.011719-0.010733i,0.0057886-0.005694i,0.0051299-0.0052677i,0.0019441-0.0058572i,0.00027578-0.0044143i,0.0013528-0.0018655i,0.0012805-6.5571e-05i,-0.00051068+0.001483i,-0.00037687+0.0037211i,-9.6072e-05+0.0049935i,-0.0014793+0.0041774i,-0.0017644+0.0024278i,-0.00074505+0.0013485i,-0.00026042+0.00016355i,-9.1338e-05-0.00053564i,0.00093295+1.1419e-06i,0.002213+0.0017183i,0.0019786+0.0026498i,0.0013836+0.0019647i,0.0012326+0.00057404i
0.054159-0.045786i,0.034366-0.045966i,0.0093041-0.02999i,0.00091742-0.015607i,0.0015516-0.012142i,-0.00012227-0.011022i,-0.0025392-0.0061525i,-0.0015045-0.0024968i,0.0013359-0.0017717i,0.0028842-0.00091106i,0.0029801+0.0010296i,0.003385+0.0013862i,0.0041419+7.1582e-05i,0.0046741+0.00046108i,0.004221+0.0012571i,0.0030614+0.00032408i,0.0018882-0.00080314i,-0.00011645-0.0014116i,-0.0021008-0.00085673i,-0.0024081-0.0010064i,-0.0010255-0.0017355i,5.7683e-05-0.0020592i,-0.00031697-0.0018801i
-0.025792-0.060822i,-0.034683-0.044394i,-0.027491-0.016222i,-0.014634-0.0069653i,-0.010018-0.010197i,-0.0091085-0.0082799i,-0.0053325-0.0012823i,-0.001227+0.0012586i,0.00059611-0.00096357i,0.00068483-0.0035047i,0.0011396-0.0055684i,0.0013087-0.0069225i,-0.0007667-0.0067567i,-0.0019393-0.005438i,-0.00030487-0.0038281i,0.00076653-0.0027668i,0.00047036-0.0017207i,0.00033408-0.00072135i,0.0015744-0.00088258i,0.0024421-0.00059708i,0.0022254-4.2585e-05i,0.0010705-0.00048792i,0.00075858-0.00065983i
-0.071809+0.0033722i,-0.052636+0.017435i,-0.020646+0.020399i,-0.0053366+0.012528i,-0.0061463+0.0085494i,-0.0039344+0.0072865i,0.002114+0.0028186i,0.0034132-0.00084808i,0.0016692-0.0015931i,1.0237e-05-0.0014715i,-0.0018009-0.0016375i,-0.0023442-0.0017371i,-0.0021609-0.0014286i,-0.0015598-0.0010595i,-0.0011002-0.0013448i,-0.0011683-0.0020657i,-0.0015569-0.0024533i,-0.0020875-0.0023241i,-0.0029149-0.0018484i,-0.0040603-0.0021334i,-0.0039812-0.002464i,-0.0027087-0.0022889i,-0.00079076-0.0018992i
-0.018307+0.065008i,0.0031545+0.054049i,0.015309+0.025142i,0.01192+0.0072343i,0.010656+0.0062048i,0.012439+0.0047353i,0.0089809-0.0022003i,0.0052034-0.0052311i,0.003313-0.0038428i,0.00038854-0.0016756i,-0.0016556-0.00013209i,-0.0016699+0.00098132i,-0.0015454+0.0017586i,-0.0022287+0.0016619i,-0.0026476+0.0014799i,-0.00243+0.0012934i,-0.0016171+0.00036993i,-0.00068689+4.1058e-05i,0.0012125+0.000552i,0.0034511+0.0016304i,0.0026266+0.0029179i,0.0012255+0.0024357i,0.0012054+0.00085209i
