-0.0011476-0.00091289i,-0.00030312-0.0025226i,-0.0014528-0.0016772i,-0.0013192-0.00068399i,-0.00082363+4.3759e-05i,-0.00092509-0.00016181i,-0.00074831-0.00046885i,0.00070196-6.8507e-05i,0.0016841-0.00056463i,0.0016806-0.0010853i,0.0017419-0.00055477i,0.0012058-0.00027257i,0.00051323-0.00025469i,0.00048707-5.2391e-06i,0.00020886-0.00019829i,0.00016342-0.0001188i,5.6462e-05+0.00028218i,-0.00039808+0.0010138i,-0.00078544+0.0012591i,-0.00074204+0.00037073i,-0.00025397-0.00031047i,0.00015839-0.00069413i,0.00013218-0.00039589i
0.00085261-0.00014022i,0.00068935+0.0003208i,0.0013853+0.0007484i,0.0018276-0.00056552i,0.0011633-0.0011377i,0.0007741-0.0018967i,0.00076703-0.0022115i,0.00029208-0.0017544i,0.00090544-0.0023555i,0.001148-0.0023083i,0.00083212-0.00066072i,0.00084413-1.8082e-05i,-1.597e-05-0.00049709i,-0.00047636-0.00012222i,-0.00041511+4.5533e-05i,-0.0008284-0.00045168i,-0.00048805-0.00045308i,-0.00019041-0.00042673i,0.00011138+3.4546e-06i,0.00070482-9.9506e-05i,0.00075366-0.00019598i,0.00063906-0.00010549i,0.00073156-9.375e-05i
0.0010323-0.00013293i,0.00094686+0.0011982i,0.0011379+0.00014042i,0.00072211-0.0010135i,0.00051672-0.0019345i,0.00033978-0.0015939i,-0.00022863-0.0016816i,0.00064972-0.0026629i,0.0010587-0.0034117i,0.00015399-0.0033031i,-0.00067985-0.0018654i,-0.0004169-0.00073857i,-0.00024577-0.00014602i,-0.00013605-0.00038961i,0.00053308-0.0004495i,0.00066205-0.00032725i,-4.4961e-05+0.00012136i,-0.00045186-6.1528e-05i,0.00013219-0.00059759i,0.0012073-0.0001145i,0.0016485+0.00069805i,0.0013222+0.0005857i,0.0012006+0.00035526i
0.0021927-0.00047638i,0.00162-0.00046378i,0.0012899+0.00085349i,0.0014092+0.0011917i,0.00078513+6.7869e-06i,7.4551e-05-0.0012404i,0.00023772-0.00084751i,0.00087873-0.001017i,0.0014556-0.0012303i,0.00097597-0.00085875i,0.00017073+0.00015339i,0.00073382-0.00030973i,0.00095746-0.001104i,0.00036524-0.00060553i,0.00078095-0.00061793i,0.00015432-0.00063141i,-0.00052488-0.00040445i,-0.00061354-0.00079441i,-0.00056517-0.00043349i,0.00019731+2.9023e-05i,0.00077202+0.00039366i,0.00043473+0.00077097i,-5.114e-05+0.00014042i
-0.0011028+0.00089489i,-0.00019628+0.0012588i,-0.00028296+0.0012775i,-0.00053967+0.00038105i,-4.1346e-05-0.00052803i,0.00026458-0.00043508i,0.00010463-0.00067574i,0.00064481-0.0010805i,0.00075332-0.0016428i,0.00040724-0.0013447i,0.00022669-0.0004046i,-0.00043107+3.7211e-05i,-0.00046032+0.00015112i,-0.00029195-0.00010312i,-0.00011014-0.0012348i,0.00023642-0.0012919i,-0.00015871-0.00065599i,-0.00071254-0.00028882i,-0.00054591-0.00019676i,-0.00023052-0.00043243i,0.0005247-0.0010937i,0.0011844-0.0013622i,0.00078181-0.00048246i
0.0015178-0.00053466i,0.0014253-0.00071524i,0.0014169-0.00040698i,0.0017532+0.0002459i,0.0019844+0.00058656i,0.0017515+7.6607e-05i,0.0012701-0.00094598i,0.0012018-0.0011158i,0.0014491-0.00090249i,0.0015578-0.0010883i,0.0010436-0.00097753i,5.6836e-05-0.00041496i,-0.00021038-0.00060929i,-0.00058493+1.0575e-05i,-0.00058661+0.0011077i,0.00019342+0.00091228i,0.00070221-0.00015715i,0.00072215-0.00087092i,0.00032587-0.00051328i,-0.00018506+0.00018251i,-8.8942e-05+6.0475e-05i,0.00025048-0.00017927i,-6.7529e-05-0.00039211i
0.000386+0.00049231i,-0.00016793+0.00013477i,0.00094125+6.2804e-05i,0.0015721-0.00061731i,0.00072754-0.0014656i,0.0001446-0.0013011i,0.00061455-0.0013711i,0.0010298-0.0021134i,0.00043198-0.0024039i,0.00015956-0.0014497i,0.0008832-0.00039096i,0.0010413-0.00093804i,0.00035159-0.00039185i,1.606e-05+0.0010412i,0.00041113+0.00091375i,0.00034775+0.00036636i,5.0205e-05-0.00038423i,-0.0002471-0.00041459i,-0.00022185+0.00037776i,-0.0004171+0.00030141i,-0.00028689-3.9452e-05i,0.00073086+0.00083651i,0.0011047+0.00081687i
-0.00019362-0.0011442i,0.00015207-0.0012404i,0.00047414-0.00070684i,0.00028548-0.00031016i,0.00043268+0.00014612i,0.00092775+7.8922e-05i,0.00079289-0.00091478i,0.0007483-0.0015638i,0.00011767-0.0011857i,-0.00016607-0.0012842i,5.6605e-05-0.00098641i,3.256e-05+9.6735e-05i,-0.00069268-0.00011938i,-0.0010548-0.00031021i,-0.00043109-0.0003728i,-0.00058221-0.00058598i,-0.00095886-0.00027465i,-9.1779e-05+1.028e-05i,0.0013044+0.00018703i,0.00083156+0.00047214i,8.444e-05+0.00092461i,-0.00010612+0.00037323i,0.00015156-0.00090659i
0.0011332+0.00045968i,0.0021687+0.00071181i,0.0029275+0.00037311i,0.0029528+9.9959e-05i,0.0028089+0.00052049i,0.002782-0.00014485i,0.0021417-0.0013472i,0.0014924-0.001424i,0.00091939-0.00062166i,-2.3758e-05-0.00081906i,-2.494e-05-0.00045474i,0.00048969-7.629e-05i,0.00036316-0.00039297i,0.00016454-0.00027682i,-7.0278e-05-0.00017178i,-0.0008991-0.00048946i,-0.0013248-0.00062577i,-0.00024821-0.00060895i,0.00089541-0.00037357i,0.0010124-2.1647e-05i,0.00073607+0.00016011i,0.00041969+0.00035269i,0.00056072-0.00015574i
5.827e-05-0.00013673i,-0.00020021+0.00068529i,0.00028433+0.00070116i,-0.00033939+0.00026592i,-0.0009791+2.1378e-05i,-0.0004509-0.00012104i,-0.00033806-0.00079976i,0.00089283-0.0013962i,0.0014263-0.0008619i,0.00090816-0.00037772i,0.00073819-0.00054581i,0.000355-0.00072029i,-0.00034039-0.00038119i,-0.00020637-0.00014522i,0.00021978+0.00034857i,-0.00014485+0.000752i,-0.00056012+0.00055649i,-0.0003239+0.00051606i,0.00011046+0.00074348i,0.00046436+0.00055304i,-2.9055e-05+0.00067673i,-0.00086147+0.00066493i,-0.00069305+0.00021095i
0.001247+0.00020504i,0.0012373-4.4254e-05i,0.0014391-0.0010674i,2.4373e-05-0.0016617i,-0.00077907-0.0016308i,-0.0001407-0.0013548i,0.00084454-0.0014923i,0.001115-0.0023013i,0.0015118-0.0020812i,0.0013165-0.00095987i,0.00052043-0.0003821i,0.00034751-0.00044996i,5.042e-05-0.00024401i,-0.00036784-1.4304e-05i,-0.00058749+0.00039142i,-0.00034173+0.00096238i,-0.00031189+0.0007238i,6.6153e-06+4.4905e-05i,0.00061063+0.00096075i,0.00041579+0.0018587i,0.00051547+0.0013186i,0.0014325+7.5096e-05i,0.0013709-0.00020722i
0.0020373+0.00036739i,0.0020459+0.0010175i,0.0014465+0.00040278i,0.0005018-0.000369i,-0.00035384-0.00087183i,-0.00050541-0.00078494i,-0.00031092-0.0012308i,0.00053738-0.0022403i,0.0015751-0.0026017i,0.00095126-0.0019122i,0.00058903-0.00092438i,0.00071839-0.00084086i,0.00055387-0.00065637i,0.00045498+0.00014989i,0.00050423+0.00022839i,0.00023374-0.00010797i,0.00020443-0.0004901i,0.00021982+5.9775e-06i,-3.169e-05+0.00061203i,0.00038735+0.00025249i,0.0010463-0.00014229i,0.00064001-6.5627e-05i,2.1159e-05-0.00047536i
9.1241e-05+0.00036047i,0.00069992+0.00058616i,9.7288e-05+0.00034436i,-0.0002163+0.00071968i,-3.856e-05+0.00091058i,0.00072302+0.0002788i,0.001459-0.00069538i,0.0018543-0.0011967i,0.0017543-0.0013323i,0.00068428-0.0017211i,0.00054281-0.0013046i,0.0010401-7.7275e-05i,0.00077244+0.00030876i,0.00060392-0.00024343i,0.00043998-0.0006416i,-0.00039971-0.00029847i,-0.001009-0.00038523i,-0.00093813-0.00041957i,-0.00059956-0.00035642i,0.00011845-0.00045631i,0.00087684-0.00049211i,0.0010643-0.00047358i,0.0008104-0.00012992i
0.002733+0.00024425i,0.0026376-0.00051463i,0.0023959-0.0013872i,0.0013288-0.0020003i,0.0010216-0.0018799i,0.0008981-0.0013208i,0.00069687-0.00091117i,0.001253-0.00078271i,0.00161-0.00084873i,0.0010075-0.0011087i,-0.00028127-0.00025833i,-0.00022636+0.00037088i,0.000462-0.00069213i,0.00074413-0.00038017i,0.00062654+0.0001235i,0.00054602-0.00030838i,0.00054115+0.00018864i,0.00071741+0.00044562i,0.00072153+0.00087279i,0.00028362+0.0014311i,-8.7673e-05+0.0011752i,0.00039487+0.00090577i,0.00039063+0.0013924i
-0.00087062-0.0011269i,0.00021+0.00039438i,0.00010289+0.0011476i,0.00045671+0.00092467i,0.00039153+0.0012185i,0.00020813+0.00057127i,0.00038755-0.0015227i,0.0011877-0.0023478i,0.0016695-0.0020296i,0.00092713-0.0014445i,0.00021746-0.00075013i,0.0002373-0.00061142i,0.00041277-0.00086796i,0.00042678-0.00062684i,5.8802e-05-0.00047028i,0.0001501-0.00024083i,0.00081324+0.00073818i,0.00084813+0.0006267i,0.0001884-0.00010116i,2.9555e-06-0.00052957i,0.00018131-0.0009385i,0.00044681-0.00076682i,0.00071265-0.00034649i
-0.00092298+0.00023561i,0.00013281-0.00099559i,0.0013522-0.00083461i,0.0010065+0.00051076i,0.00039772+0.00099817i,0.00053938+0.0002374i,0.0016082-0.00078721i,0.0017876-0.0014627i,0.0014634-0.0014i,0.0011441-0.00061951i,0.00077648+0.00040567i,0.0010459+0.00047256i,0.001161+0.00029066i,-8.6126e-05+0.00028687i,-0.0001431+3.8054e-06i,0.00054041-0.00041691i,0.00016295-0.00051922i,5.6144e-05-0.00028145i,-0.00035208-0.00065299i,-0.0008126-0.00033399i,0.00011467+0.00019322i,0.00065174-0.00014943i,0.00034275-0.00080562i
-0.00063019+0.0014374i,-0.00071016+0.00099806i,0.00016609+0.001025i,-0.00028939+0.00072325i,-0.00037211+9.2808e-05i,0.00019373-0.00055645i,9.051e-05-0.0013092i,8.8659e-05-0.0014967i,0.00086708-0.0018283i,0.00043261-0.0019517i,-0.00031188-0.000622i,-0.00022248+0.00024558i,0.00011761+0.00035044i,3.9125e-05+0.00013191i,-0.0011146-0.0003667i,-0.0013408-6.3107e-05i,-0.00039792+0.00048574i,-9.9954e-05+0.0004302i,0.00043708+0.000457i,0.0008257+0.00080682i,0.00045699+0.00025506i,0.00051624-0.00016879i,0.00059083-0.00015379i
0.00068981-0.00082989i,0.0022521-0.00030511i,0.0013335-0.00014109i,4.2682e-05-0.00021751i,-0.0001509-0.00044015i,0.00019261-0.00056399i,0.00061505-0.001323i,0.0011912-0.0021605i,0.0013272-0.0025543i,0.0006697-0.0014701i,0.00027625-0.00010419i,0.00074951-0.00023511i,0.00080409-0.00025568i,0.00033502-5.2679e-05i,4.9503e-05-0.00047466i,0.00082309-0.00043985i,0.0014003+0.00044525i,0.00080438+0.00072715i,-0.00061324+0.00016499i,-0.00054635+0.0003574i,0.00010868+0.001229i,0.00034275+0.0014144i,0.00039408+0.00061604i
-0.00077698+0.0019435i,0.00041816+0.0020981i,0.0017156+0.0014547i,0.0022758+0.00095327i,0.0017547+0.00078068i,0.00099122-0.00037609i,0.0014134-0.0016223i,0.0021008-0.0017771i,0.0019558-0.0017269i,0.0010388-0.00073036i,0.00043602-0.00030062i,0.0003115-0.00040521i,-0.00058013-0.00015715i,-0.0002499-0.00022261i,0.00042664-7.1359e-05i,-9.8228e-06+6.6501e-05i,-0.00044651-1.1708e-05i,-0.0003522+0.00057308i,-9.1127e-05+0.00032119i,0.00052802-0.00019092i,0.00060791+0.00078541i,0.00056556+0.00061086i,0.0010154-0.00065876i
0.00049023-0.0019186i,0.00098828-0.0014585i,0.00062211-0.0017214i,0.00056243-0.0011242i,0.00084156-0.00037749i,0.00094809-0.00084088i,0.0003834-0.00089395i,0.00035078-0.0013331i,0.0014375-0.0018847i,0.0015995-0.0010681i,0.00060727-0.00034751i,4.0024e-05-0.00056915i,-0.00030082-0.00063372i,-0.00025052-0.00027474i,0.00043217+9.8166e-05i,0.00052536+4.1846e-05i,0.00026517-3.0192e-05i,4.3673e-05+0.0001854i,0.00011016+0.00042067i,5.2395e-05+0.00029516i,-0.0003138-0.00054152i,0.00019262-0.00093548i,0.00038494-0.00049487i
0.00076253+0.0017136i,0.00045394+0.0021756i,0.00098663+0.00056778i,0.0013975-2.4608e-05i,0.0010877+0.00024829i,0.00032315-0.00015089i,0.00051862-0.00085293i,0.00098103-0.001619i,0.00075138-0.0024543i,0.00071195-0.0019911i,0.00012936-0.00061834i,0.0001443+0.0002189i,0.00081033+0.00047378i,-1.6594e-05+0.00089247i,-0.00036208+0.0011656i,-0.00013432+0.00076951i,0.00020018+3.2729e-06i,0.00067648-1.3512e-05i,0.0012258+5.5253e-05i,0.0014601+0.00042401i,0.00095424+0.00056418i,0.00095917-0.00031528i,0.0010071-0.00068543i
0.00075863+0.0011816i,0.0012475+0.00062274i,0.0021478+0.0010463i,0.0027948+0.000199i,0.0021979-0.00088977i,0.0013454-0.0010808i,0.00049346-0.0015475i,0.00064648-0.0019711i,0.001495-0.002004i,0.0013673-0.0012606i,0.000249-3.7797e-05i,0.00039977+0.00021091i,0.00061536-8.0314e-05i,-0.00033375+0.00017149i,-0.00027856+8.8901e-05i,0.00020227-0.00031092i,0.00017965-0.00073608i,0.00055647-0.00077071i,0.00043396-0.00088776i,-0.000308-0.00074727i,-0.0009604-0.00057582i,-0.00042899-0.00024545i,0.0008576+0.00040977i
0.00067055-0.00094333i,0.00068818-0.00074861i,-0.00050386-0.0011988i,-0.0010704-0.0020972i,-0.00058825-0.0018924i,-0.000142-0.0014839i,0.00090171-0.0013512i,0.0017839-0.0013016i,0.0012811-0.002352i,0.00059749-0.0024025i,0.00011353-0.0014885i,-0.00037742-0.00046581i,-8.4454e-05-0.00030272i,0.00017152-0.00064546i,0.00014398+0.00049487i,0.00033582+0.00034595i,1.699e-05-0.00031663i,-0.00051022-5.4689e-05i,-0.001114+3.4887e-05i,-0.00054854+0.00053966i,0.0004374+0.00078797i,0.00030711+6.8905e-05i,0.00025604-0.00042724i
0.0021572-0.001783i,0.0025296-0.0014642i,0.003439-0.00049837i,0.0032094+1.9023e-05i,0.0017873+6.31e-05i,0.00092821+0.00030669i,0.0013341+0.00013754i,0.0016601-0.00033681i,0.0016762-0.00011403i,0.0011063+0.00034155i,0.0004207+0.00037277i,0.0004439+0.00047729i,0.00065463-5.8624e-05i,0.00089491-0.00047031i,0.00061263-8.8397e-05i,-0.00011963+0.00027385i,-0.00020537-0.00035653i,-0.00058671-0.00059657i,-0.00015622-0.00046567i,0.00098856-0.00015511i,0.00066599+0.00035654i,0.00026797+0.00069832i,2.6995e-06+0.00077427i
-0.00021466+0.0027539i,0.0010318+0.0028016i,0.0016862+0.0015815i,0.0010662+4.8655e-05i,-0.00014151-0.00051245i,-0.00023642-0.0012496i,0.00036745-0.0013702i,0.00030432-0.00095603i,0.00019008-0.00025517i,0.00041664-0.00031812i,0.00066475-0.00049797i,-9.9427e-05-0.00026775i,-0.00078681-0.00034792i,-0.00042355-0.00032217i,-0.00083269-8.908e-05i,-0.00081043-5.2301e-05i,-0.00044898+0.00047875i,-3.2229e-05+0.00070426i,-0.00010863+0.00015677i,-0.00046603+3.6985e-05i,1.9483e-05+0.0001516i,0.00037823+0.00028806i,0.00034764+0.00016747i
-0.00084755-6.313e-05i,-0.0012429-0.0012523i,0.00062778-0.00063311i,0.0017571+0.00040785i,0.0012075+0.00016138i,0.00029236-0.0012423i,-0.00031285-0.0013255i,-0.00022166-0.00081239i,0.00059445-0.0012221i,0.00047421-0.0012115i,-0.00010355-0.0002943i,-0.00041061+0.0006144i,-0.00043594+0.0003316i,-0.00043624+0.00014193i,-0.00020696+1.7134e-05i,-6.2525e-05-5.9632e-05i,-0.0005043+0.00036245i,-0.00054868+0.00033145i,-0.00036325-0.00055728i,2.1253e-05-0.00064167i,0.00012653+0.00025988i,-0.00019598+0.00069976i,-0.00029518+0.00068548i
-8.4929e-05+0.00032204i,0.0022098+0.00059697i,0.0024676+0.0017163i,0.0015476+0.0015452i,0.0015908+0.0013882i,0.0031111+0.00023125i,0.0031304-0.0011505i,0.0017313-0.0013519i,0.00056983-0.001433i,0.00041885-0.0012026i,0.00029127-0.00060818i,-1.1626e-05+9.0197e-05i,0.00029295+6.6146e-05i,0.00078988+1.3447e-05i,0.00046066-0.00025496i,-0.00039235-0.0010271i,-8.112e-05-0.0011643i,-2.2337e-05-0.00067909i,-0.0005599-0.00039253i,-0.00051688-0.00042507i,0.00023394-0.0002985i,0.00044213-0.00010404i,0.00012864-0.00055207i
-0.0016334+0.001059i,-0.0029032+0.00095769i,-0.0016714+0.00029062i,3.8993e-05+0.00072082i,1.4915e-05+0.001435i,4.4174e-06+0.0010701i,0.00052448-9.6121e-05i,0.0010377-0.0011969i,0.0011818-0.0015394i,0.0010212-0.0016003i,0.00038804-0.00096252i,-0.00014042-0.00071591i,0.00059522-0.00097658i,0.00099685-0.00091177i,-3.369e-05-0.00062485i,-0.00061994+0.0005592i,-0.00021667+0.00084675i,0.00030159-0.00051316i,0.00045524-0.00062694i,0.00033588+0.00021576i,0.0002973+0.000342i,0.00040845+9.3031e-05i,0.00058924-0.00027239i
0.0015729-0.0019576i,0.0023262-0.0024453i,0.0020914-0.0027247i,0.00038753-0.0021106i,-0.00020635-0.00087113i,0.00099557-0.0011637i,0.0015942-0.0014386i,0.001518-0.0013874i,0.0013563-0.0016363i,0.0012705-0.0011716i,0.0010686-0.00035508i,0.00092411-0.0001665i,0.00094831-0.00060421i,0.00034863-0.00057713i,-0.0001465+0.00038845i,-0.00023898+0.00070287i,-0.0005589+0.00020981i,-0.00052984-3.0855e-05i,-0.00031712-0.00014237i,-0.00016696-0.00033974i,-0.00017359-0.0001747i,6.8276e-05+0.00035963i,0.00039085+0.0001601i
-0.00011728+0.0026528i,-0.00028144+0.0023108i,0.0016801+0.0015142i,0.0027618+1.7518e-05i,0.0013418-0.0012892i,-0.00033221-0.0021751i,0.00019816-0.0019541i,0.001452-0.0020295i,0.0018314-0.0020296i,0.00032074-0.0012433i,-0.00080698-0.00060802i,-8.5415e-05-0.00043188i,0.00048783-0.00019176i,-0.00018182+0.00021501i,-0.00079589+7.2173e-05i,-0.00087364-0.00031568i,-0.00068744-0.00023367i,-0.00067775+4.1201e-05i,1.9374e-05-0.00015498i,0.00040013+0.00054588i,0.00048414+0.001315i,0.00091457+0.0010611i,0.00049053+0.00084751i
6.3088e-05-0.0010874i,0.00096205-0.0013757i,0.0013004-0.00068496i,0.00054855-0.00019343i,-0.00029085-0.0010189i,0.00047531-0.0013788i,0.0013837-0.0019139i,0.0020138-0.0026209i,0.001581-0.0025962i,0.00018834-0.0019188i,-0.00090608-0.0011801i,-0.00051355-0.00078679i,0.00028694-0.0008777i,0.00065321-0.00064414i,0.00047456-0.00014711i,0.00013836-0.00043795i,3.6071e-05-0.00050266i,0.00020097-7.4572e-05i,0.00019365+0.00021102i,0.00044004+0.00037058i,0.00092518+0.00053389i,0.00023604+0.00046356i,-0.00018483-6.2814e-05i
0.00040503+0.00047269i,0.00077212-0.00052857i,0.00077297-0.00032684i,1.6976e-05+0.0003493i,1.5505e-05-5.8036e-05i,0.0015747-0.00042996i,0.0022814-0.0012029i,0.0020408-0.002041i,0.0014598-0.0018631i,0.00081277-0.0013238i,0.00040338-0.00081294i,0.00034349+0.00045622i,0.0011357+0.00098438i,0.0007903+0.00046i,0.00025996+0.00068041i,0.00047578+8.6961e-05i,0.00049947-0.00040598i,0.00041273-0.00054921i,0.00055558-0.00062558i,0.00082354+0.00030359i,0.0010862+0.0010002i,0.00086123+0.0009751i,0.00023221+0.00037812i
-0.00047641+0.0010172i,0.00048135+0.0019109i,0.00052038+0.001607i,0.00072108+0.00088097i,0.00051832+0.00081553i,0.00059157+0.00086034i,0.00072134+0.00023639i,0.00067556-0.00061719i,0.0011214-0.00098436i,0.00066643-0.0010481i,0.00057655-0.0012746i,0.0010651-0.001181i,0.00017138-0.00037392i,-0.00067824-0.0001576i,-5.7954e-05-0.00079676i,0.00095834+0.00011129i,0.0002075+0.0010265i,-0.0010909+0.00026696i,0.00011939-1.6683e-05i,0.0014039+0.00044602i,0.00074898-7.4986e-05i,0.00033398-0.00092489i,0.00041549-0.00042939i
-0.00041733-0.0005446i,-0.00024851-0.0019782i,0.00097251-0.0017661i,0.00021079-0.0011391i,-0.001233-0.0013204i,-0.0012541-0.0011197i,-0.00017119-0.00060498i,0.00086486-0.0010963i,0.0023457-0.0022667i,0.0028212-0.00098529i,0.0016482+0.00084506i,0.00037697+0.00029654i,0.00025034-0.00069696i,0.0001158-0.00044609i,-6.0678e-05-3.0751e-07i,0.00051766-7.5279e-05i,0.00048922-0.00033647i,7.6552e-05-0.00052233i,-0.00041117-0.00030701i,-0.00027913+0.00011725i,0.00085697-0.00024438i,0.00096556-0.00058953i,2.7881e-05-0.00071469i
0.0010451+0.00070826i,0.0022175+0.001251i,0.0024438+0.0011023i,0.002249+0.001114i,0.0013675+0.00071909i,0.00054295-0.00019626i,0.00037714-0.0010067i,0.001223-0.0014162i,0.0014836-0.0012554i,0.00092711-0.00057453i,0.00034387+0.00071182i,-7.9957e-05+0.00032302i,-0.00023768-0.00065553i,-0.00065426-0.00023243i,-0.00053974-0.00042762i,-0.00018633-0.00068606i,-0.00067294-2.7237e-05i,-0.0008574+0.00016788i,-0.00033265-0.00038749i,-0.00043634-0.00070446i,-0.0009567+0.0001073i,-0.00047192+0.00040307i,0.00039347-0.00013977i
-0.00033279-0.0022503i,-0.0009104+0.00029264i,-0.00033301+0.0014773i,0.00077594+0.00022122i,0.00052747-0.001144i,0.00065475-0.0012417i,0.0016509-0.0014983i,0.0011979-0.0018235i,0.0010402-0.0012681i,0.0008399-0.00056961i,0.00021924-0.00076056i,0.00064233-0.00044149i,0.00090816+0.00011444i,0.0010748-0.0006383i,0.0012263-0.00047726i,0.00049735-0.00042564i,0.00024395-0.00096201i,0.00047982-0.00082379i,0.000633-0.00071457i,0.0006269-0.00021909i,0.00063229+0.00069165i,0.00024136+0.0010718i,-0.00013616+0.00049451i
9.497e-05-0.00097876i,-0.00015411-0.0017331i,-0.00039638-0.00061022i,0.0009189+0.00061536i,0.0012872+0.00011687i,0.0020812-0.00106i,0.0021746-0.0012201i,0.001241-0.0016361i,0.00089839-0.0013973i,0.00055327-0.0012132i,0.000283-0.0015462i,0.00015521-0.0012608i,-0.00015743-0.00074793i,-0.00026735-0.00013342i,0.0002601+0.00023165i,0.00035171-2.8314e-06i,5.1424e-05-0.0002384i,-0.00023142+2.8688e-05i,0.00033692+0.00026819i,0.0010985+0.00032097i,0.00073408+0.00022462i,0.00041231+0.00046585i,0.00067712+0.00087352i
-0.0011857+0.0010411i,-0.00077656+0.0012763i,-0.00038134+0.00076108i,-0.0004372+7.6467e-05i,-5.5715e-05-0.00022813i,0.0011377-1.0391e-05i,0.0018243-0.00074702i,0.0014307-0.0018428i,0.00068116-0.0014478i,0.00023896-0.00050465i,0.00025114+0.00032881i,-0.00015265+0.00045219i,-0.00023709+0.00079584i,1.876e-05+0.00043134i,-0.0011109-0.0004174i,-0.0019735-0.00066981i,-0.0014614-0.001207i,-0.0010392-0.0012309i,-7.1501e-05-0.00063294i,0.00032314+7.8872e-05i,-4.9215e-05+0.00012153i,-0.00011767+3.6002e-05i,-0.00017052+0.00028421i
0.00024592-0.00063767i,-7.7442e-05-0.0003753i,0.00031519-0.00078639i,0.00059395-0.00030638i,-0.00021432+7.513e-05i,-0.00053469-0.00071777i,0.00076656-0.0012991i,0.0023653-0.0015733i,0.0027524-0.0018852i,0.0018309-0.0020612i,0.00089165-0.0012175i,0.00072453-0.00075799i,0.00020202-0.00095457i,-2.2047e-05-0.00046006i,-0.00022034+8.0633e-05i,-0.00059103+1.0839e-05i,-0.00081849+0.00018279i,-0.00066198+0.00057052i,-0.00049201+0.00080317i,-0.00062865+0.00027441i,-0.00097139-7.1167e-05i,-0.0005182+0.00058419i,6.2289e-05+0.00099521i
0.0010766+0.00092533i,0.001648+0.00045892i,0.0016654-0.000667i,0.0011677-0.0011529i,0.0011223-0.001148i,-0.00011694-0.00071148i,1.0234e-05-0.00058062i,0.0012305-0.00087621i,0.0015252-0.0018489i,0.00065844-0.0018466i,-7.7484e-05-0.0014313i,0.00031201-0.00073352i,0.00049349-6.4412e-05i,-0.00011147-0.00022608i,3.0924e-05-0.00067381i,0.00022858+6.1587e-05i,-0.00014407+0.00047404i,-0.00024978-0.00046522i,0.00042807-0.00055262i,0.00070336-0.00018075i,0.00066424+0.00025511i,0.00061572+0.00055574i,0.00029714-2.6928e-05i
-0.00028977+8.4169e-05i,0.00011508+0.00044452i,0.0011638+0.00084066i,0.00039764+0.00071216i,-0.00030619-0.0002649i,-0.00043242-0.001426i,0.00023948-0.0017296i,0.0010322-0.0017704i,0.0014781-0.0014794i,0.0015018-0.00074983i,0.00073435-0.00042816i,0.00043839-0.00051479i,0.00027488-0.00038972i,4.9795e-06+5.3405e-05i,-9.1077e-05+0.00029734i,-0.00044461-0.00010206i,-0.00079485-0.0010662i,-0.00027372-0.0010988i,-0.00017322-0.00011051i,-0.00065821+0.00030563i,-0.00098145-0.00027704i,-0.00073937-0.00096212i,-0.00019306-0.00069148i
0.0022468-0.00097911i,0.0020034+0.00016298i,0.0014321-7.076e-05i,6.31e-05-0.00010744i,-0.00090957-0.00016227i,-0.00055918-0.00055613i,0.00078906-0.00015424i,0.0014544-0.0007857i,0.0011991-0.0015233i,0.00041273-0.0011735i,-0.00038823-0.00087324i,6.333e-05-0.0005735i,0.00024164+0.00041613i,-0.00036633+0.00046961i,0.00018647-0.00033854i,0.00071125-0.00022434i,0.00085148-7.0627e-05i,0.0005379-0.00021723i,-0.00013848+0.00029844i,-0.00017012+0.00037959i,0.00036467+0.00063455i,0.00030212+0.00075157i,-5.1941e-05-0.0001194i
-0.0015719+0.0019058i,-4.3753e-05+0.00042681i,0.00074998+2.6049e-05i,0.000496+0.00013433i,0.0003989-0.00014928i,0.00097046-0.00060788i,0.0013907-0.001483i,0.0014194-0.001873i,0.00096392-0.0018235i,0.0008071-0.0016105i,0.00089811-0.0010185i,0.00041447-0.00094004i,-0.0010086-0.00079235i,-0.0015796+3.6761e-05i,-0.00012848+0.00040068i,8.4763e-05+0.00028681i,-0.0003798-9.3305e-07i,-0.00030509-0.00017289i,-0.00014479+0.00029437i,-0.00040033+0.00019516i,-9.2038e-05-0.00011274i,0.00069877-4.7436e-05i,0.0011025+0.00054792i
0.00036306-0.0019178i,0.00027114-0.0017787i,0.00068425-0.00093854i,0.0010683-0.00032598i,0.00099081-0.00045286i,0.00077906-0.00095306i,0.00094413-0.0015172i,0.001643-0.0016246i,0.00097661-0.0012091i,0.00074167-0.0014551i,0.0006569-0.0012666i,0.00044601-0.00051608i,0.00036654-0.00011445i,0.00019973-0.00035883i,1.4395e-06-0.0005024i,-6.0141e-06-0.00051182i,0.00034859-0.0008656i,0.00039788-0.0010584i,2.455e-05-0.00020243i,-0.00010729-0.00026486i,0.00019152-0.00068968i,0.00061126+0.00021544i,0.00078696+0.00080616i
