-0.0029828+0.0022193i,-0.0026207+0.002291i,-0.0031543+0.0031301i,-0.0023788+0.0022868i,-0.00043315+0.0019061i,0.0003365+0.0010092i,6.7405e-05+0.0007617i,-5.8949e-05+0.002109i,-0.00046634+0.0022466i,3.5293e-05+0.0010758i,0.00053688+7.2125e-05i,-0.00027776-0.00038291i,8.9678e-05-0.00071126i,0.00052888-0.0011695i,0.00010392-0.00042308i,-0.00020353+0.00057913i,-0.00066856+0.00037927i,-0.00049937+0.00022556i,0.00021366+0.00052594i,0.00019228+0.00038293i,0.00020487+0.00010751i,8.6952e-05-0.00042151i,0.00041737-0.0010063i
-0.00036343+0.0015362i,-0.00017096+0.0012739i,0.00063079+0.0017999i,0.0012969+0.0015486i,0.0010787+0.00037965i,-0.00027724-0.00069249i,-0.00066994-7.2478e-05i,-0.00016801+0.0008852i,0.00013987+6.1784e-05i,0.00059625-0.00093036i,0.00011993-0.00096016i,-0.00066041-0.00056521i,-0.00081113-0.0002606i,-0.00057932-0.00016268i,-0.00013273-0.00025643i,0.00072176-0.00046943i,0.00018645-0.00038094i,-7.4224e-05-0.00064876i,0.00062384-0.00091951i,6.0722e-05-0.0001735i,-0.00033778+0.00043757i,-0.00010523-7.5744e-05i,-0.00040699+0.00021277i
-0.0016741-7.2441e-05i,-0.0025352-0.00032996i,-0.0028074-0.00053664i,-0.00064792-0.00037291i,0.00072259+0.0008029i,0.00065653+0.00062435i,1.2743e-05-0.0006372i,-0.00084103-0.0010465i,-0.00064105-0.00097913i,-0.00034661-0.00080661i,0.0001482-0.00031897i,0.00065594+0.00028925i,0.00012373-0.0001117i,-7.2258e-05-0.00055757i,0.00045821-0.00053062i,0.00063724+1.0249e-05i,0.00056368-0.00010135i,0.00062868-0.00070404i,0.00028757-0.0007188i,-0.00072058-2.7442e-06i,-0.00080986+0.0011104i,-0.00034706+0.0014473i,-0.00033806+0.00084453i
0.00056395+0.0010478i,0.00092291+0.0008466i,0.00095592+0.0012198i,0.00060629+0.00095522i,0.00047841-3.8388e-05i,0.00033395+9.1101e-05i,0.00018146+0.0004884i,-0.00020454+0.00042637i,-0.00051786-0.00013302i,-0.00031383-0.00047008i,1.2445e-05+0.00014516i,0.00048736-9.0241e-05i,0.00088463-0.00036702i,0.00089412+0.00037367i,0.00026355+0.0014264i,-0.00049756+0.0014613i,-0.00031356+0.00075258i,-0.00036589+0.00072875i,-0.00072267+0.00062306i,-0.00057679+0.0005845i,4.7998e-05+0.00014982i,0.00050526-0.00026006i,0.0010197+0.00034659i
0.0006822+0.00011317i,0.00018106-0.00077537i,-2.4492e-05-0.0012836i,-0.00017817-0.00091171i,-0.00026554-0.00023926i,-0.00055517+0.00050854i,-0.00046323+0.00020628i,0.0001091-0.00045669i,0.00028531-0.0011471i,0.00025657-0.0016695i,-0.00023756-0.001348i,-0.00083476-0.00049212i,-0.00067863+0.00067597i,-1.5988e-05+0.00081637i,0.00017285+0.00025825i,0.00023038+0.00068508i,1.373e-05+0.00062018i,-0.00040529-0.00034228i,0.00013973-0.000599i,0.00028209+5.6227e-05i,0.00033099+0.00061258i,8.5116e-05-0.00021226i,-3.4783e-05-0.00089139i
-0.0015416-0.00052654i,-0.0020489+0.0005613i,-0.001924+0.00096886i,-0.0016477+0.0016981i,-0.0012499+0.0015731i,3.9046e-05+0.00029212i,0.00068116-0.00045764i,0.0003593+0.00045736i,0.00020267+0.00087182i,3.371e-05+0.00093084i,-0.00042448+0.00057586i,-0.00074513-0.0003115i,-6.7743e-05-0.00085821i,0.00062663-0.00040353i,0.00068178+0.00069302i,0.00040029+0.00083919i,8.0392e-05+0.00068895i,-2.784e-05+0.0011652i,0.00038517+0.0010941i,0.00063455+0.00086156i,0.00088694+0.00046631i,0.00093629-0.00035393i,2.1929e-05-9.8834e-05i
0.00013998-0.00047676i,-0.00068099+0.0006331i,-0.00074749+0.0019198i,0.00012715+0.001871i,0.00052376+0.0011611i,0.00069327+0.00053089i,0.0008325+0.00031945i,0.00043663-0.00016415i,-0.00079987-0.0013742i,-0.0010635-0.0012204i,-0.00057412-0.00075249i,-0.00097191-0.00066672i,-0.0011304+2.1426e-05i,-0.00089926+0.00033639i,-0.00043722-0.00024638i,-0.00017427-0.00051732i,-0.00023076-0.00043944i,1.6267e-05+0.00018173i,0.00068209+0.00034544i,0.00066333-0.00010196i,-1.4564e-05-0.00014755i,-0.00010787+0.00031269i,-3.2867e-05-8.8987e-05i
-0.0004441-0.00034431i,-0.00056831-0.00056607i,-0.00053549-0.0011801i,-0.00065038-0.00082296i,-0.000563+4.1896e-05i,1.62e-05-0.000105i,0.00046116-0.00019697i,0.00048164-4.2015e-05i,0.00019574-0.00058357i,-0.00029955-0.00067227i,-0.00081613-0.00026897i,-0.00070518-0.00032168i,-8.417e-05-0.00028676i,0.00046888-0.00031416i,0.00056302-2.5334e-06i,4.4955e-05+0.00045686i,-0.00010029-0.00016991i,-0.00020438-0.0010223i,-0.00016335-0.00069799i,-4.8767e-05+7.3464e-06i,-0.00021087+0.00069421i,-0.00024773+0.00063211i,-0.00012998+0.00016276i
-0.0010054+0.0025184i,0.00078735+0.0013574i,0.0030038+0.0015129i,0.0036215+0.0012893i,0.0025517-0.0005931i,0.001158-0.0013281i,0.00045495-0.00087442i,0.00038537-0.00043767i,9.7011e-06+0.0001305i,2.1628e-05+0.00042657i,-4.3397e-05-0.00016601i,-0.000465-0.00078174i,-0.00098013-0.00082542i,-0.0011656-0.00038433i,-0.0011385+0.00042046i,-0.0012278+0.000558i,-0.00093249+0.0005979i,-0.0011102+0.00036177i,-0.0014481+0.00046684i,-0.0011926+0.00034642i,-0.00052081-9.6358e-05i,-0.00035978-0.00070117i,-0.00011075-0.0010181i
-0.0012082-0.0007239i,-0.0019852-0.00088241i,-0.0015501-0.0010494i,-0.00066201-0.00028415i,0.00046719-0.00010307i,0.00086443-0.00061963i,0.00090548-0.00054859i,0.00065599-0.00092821i,0.00047811-0.0012547i,0.0011487-0.00057671i,0.00049416+0.00046349i,-0.00064914+0.00081319i,-0.00055683+0.00040524i,0.00060156-7.7373e-06i,0.0010095-0.00074148i,0.00053967-0.00035597i,0.00074565-4.9454e-05i,0.00093287-0.00013197i,0.00069156+0.00022085i,0.00067343+0.00031501i,0.00048268+0.00026377i,-0.00040798+0.00037826i,-0.00020517+0.00014457i
-3.9398e-05-0.00025314i,0.00059886+0.0001089i,0.00093722+0.00079376i,0.00053479+0.00081312i,0.00033898+0.00039341i,0.00063058+8.0781e-05i,0.00057823-0.00019423i,0.00054478-0.00058095i,0.00028214-0.00093871i,-0.00016129-0.0010497i,-0.00013995-0.00060285i,-0.00036381-0.00010111i,-0.00042245+6.8705e-05i,9.1199e-05+0.00027344i,-7.2011e-05+0.00077481i,-0.0004704+0.00059784i,-0.00048903-0.00021836i,-8.5214e-05-0.00085757i,0.00025585-0.00045412i,0.00044231+0.00018954i,0.00022877+0.0001953i,-0.00025313+0.00042763i,0.00042654+0.00076919i
-0.003594+0.00092192i,-0.0027657+0.0028677i,-0.0013917+0.0036561i,-0.00047883+0.0031741i,-2.4253e-05+0.0024022i,0.00030802+0.0013219i,0.00038309+0.00021312i,-2.4777e-05-0.00045043i,-0.00069868-0.00014305i,-0.00089814-0.00029073i,-0.00057764-0.0008272i,4.4826e-05-0.00027832i,0.00089888-0.00049282i,0.00083597-0.00069937i,-0.00039454-0.00022652i,-0.00027533-0.00094139i,0.00045201-0.0010426i,9.7635e-05-0.00054903i,-0.00011554-0.0006195i,0.00024367-0.00021801i,6.4594e-05+0.00067284i,-0.0007535+0.00078099i,-0.0011607+0.00031361i
-0.0013449+0.00048715i,-0.00069662+0.00028664i,-0.0011397+0.0010173i,-0.00072994+0.001983i,0.00064412+0.001404i,0.0013874-6.6674e-05i,0.00047727-0.00030983i,-0.0003003-0.00029966i,-8.6926e-05-0.00043508i,-0.00058347-0.00025178i,-0.00089493-0.00041551i,-0.00088251-0.00073355i,-0.0010226-0.00023794i,-0.0011323+0.00038501i,-0.00088226+0.00040195i,-0.00052579+0.00012799i,-0.00052724-0.00015758i,-0.00044746-8.4178e-05i,2.7255e-05+0.00026518i,7.1606e-06+0.00026271i,-0.0002462+0.00021869i,-0.0011361+0.00045745i,-0.0012847-0.00020233i
-0.00093705-0.00039461i,-0.001343-3.927e-05i,-0.0018509+0.00081777i,-0.0016015+0.00088195i,-0.0013168-0.00034069i,8.3583e-05-0.0010258i,0.00081793-0.00090008i,0.00050488-0.00061575i,0.00021124-0.00050219i,-0.00020127-0.00048034i,-0.00031544-0.0005344i,-0.00036704-0.0010018i,-0.00023896-0.0010991i,0.00018464-0.0008672i,0.00054981-0.00077789i,0.00043318-0.00072661i,-5.1453e-05+6.3398e-05i,-0.00068337+0.00056137i,-0.00049253+0.00027071i,0.00047256-0.00017936i,0.0010311-0.00036519i,0.00087675-0.00019364i,0.00060132+0.00038189i
0.00057921+0.00028026i,0.00095576-0.0008834i,0.0012285-0.001494i,0.0015402-0.0010342i,0.0015702-0.00032151i,0.00020229-0.00053497i,-0.00071635-0.000461i,-0.00048348-0.00065247i,-2.2069e-05-0.00081732i,-0.0003391+8.7094e-05i,-0.00026388-0.00014856i,4.8151e-06-0.0006733i,-0.00034022-0.00021587i,-8.0361e-05+0.00039725i,0.0004197+0.00073847i,0.00035821+0.00066248i,-0.00051363+0.00054282i,6.7511e-05+0.00031532i,0.00044981-0.00011528i,-0.0010006-0.00038567i,-0.0015894-0.00046026i,-0.0010289-0.00013046i,-0.00022615+0.00011249i
0.00049915-0.00068562i,0.00058765-0.00034616i,0.00052502-0.0014006i,-0.000212-0.0015043i,-0.00035418-0.001023i,-5.3084e-05+0.00048718i,0.00079836+0.0019646i,0.0010317+0.0015623i,0.0004852+0.00025884i,0.00059126+0.00014312i,0.0004911+0.00039447i,5.5165e-05+8.651e-05i,0.00037931+0.00017789i,0.00039699+0.00093478i,5.9747e-05+0.0010482i,-0.00020269+0.0007347i,-0.00064092+0.00047899i,-0.00061174+8.2067e-05i,-1.3556e-05+0.00024969i,-1.1447e-05+0.00060476i,7.9773e-05+0.00023628i,-0.00015575-0.00028075i,-0.00091084-0.0002522i
0.0021223-4.3854e-05i,0.0020614-0.0010615i,0.0013155-0.0014771i,0.00049696-0.00067169i,1.2941e-05-0.00027407i,-0.00024133-0.0014615i,-0.00049938-0.0014466i,-0.0013532-0.00045514i,-0.00093627+2.2927e-05i,-1.7433e-05-8.9681e-05i,0.00010789-0.00035403i,-0.00032728+0.00058314i,-0.00050488+0.0010416i,-0.00040538+0.00035837i,-0.00011742+0.00035549i,0.00028039-0.00017363i,0.00049895-0.00077452i,0.00049138-0.00019565i,0.00051844+0.00016006i,0.00064623+0.00016519i,0.00028935+0.00051158i,0.00017179+0.00011111i,0.0001695-0.00049704i
-0.00055927-0.00069158i,-0.00065276-0.00029546i,-0.00022826-0.00072237i,-0.00019813-0.00031974i,-0.00051468-5.4596e-05i,-0.00092234+0.00021845i,-0.00059102+0.00074157i,0.00023033+0.00013099i,0.00074958-0.00016769i,7.3038e-05+0.0002018i,-0.00037753-0.00041621i,0.00013024-0.00064353i,0.00069347-6.7974e-05i,0.00035071-0.00026558i,0.0002018-0.00034508i,0.00039024+0.00019971i,0.00076855-0.00045832i,0.0010596-0.00034469i,0.00086588-0.00026851i,0.00037643-0.00028361i,-8.7854e-05+0.00033643i,9.0143e-05+7.5704e-05i,0.00066255-0.00029178i
0.0020997+0.0008364i,0.0024583+0.00024813i,0.0023978-9.4191e-05i,0.0013488-0.00039305i,-2.0362e-05-0.0010519i,-0.00050131-0.00088988i,-0.00014464-0.00047314i,0.00050378-0.0013349i,0.0011733-0.0018191i,0.0011597-0.0020378i,0.00057678-0.0023706i,-0.00042612-0.00053678i,-0.00072591+0.00088336i,0.00041527+0.00010417i,0.0011093+0.00010853i,0.0009666-0.00020505i,0.00050349-0.00044144i,-8.564e-05+0.00019761i,-0.00035004+0.00036787i,-7.3687e-05+0.00026282i,8.1258e-05+0.00010742i,-0.00016484+0.0002156i,-0.00036959+0.0006437i
0.00075115-6.6158e-05i,-0.00020588+0.00047207i,-0.00051644-0.00051835i,0.00017356-0.0014757i,9.0562e-05-0.0011614i,-0.00051167-0.00012395i,-0.00050234+0.00030324i,0.00032858-9.1696e-05i,0.0012148-0.00017786i,0.00081177-0.00027599i,-0.00047488-0.00038475i,-0.00054509+0.00024184i,-0.00030279+0.00049183i,-0.00013055+0.00016858i,0.00024109-0.00061241i,0.00023888-0.00073931i,-0.00018307-0.00033368i,-0.0002436-3.4692e-05i,-0.00062427+0.00035404i,-0.00042529-0.00012505i,-0.00014021-0.00033722i,-0.0002381-2.972e-05i,-0.00011739-0.00010497i
-0.00037557-0.00089539i,-0.0010491-2.5032e-05i,-0.00048071+0.00039724i,-0.00010804+0.00038478i,-0.00076716+0.00051353i,-0.00090477+0.0007711i,-0.00010464+0.0010438i,-0.00044103-2.4282e-05i,-0.00092801-0.00092848i,-0.00076372-0.00057824i,-0.00048788-0.00015014i,-0.00036782-0.00017683i,-0.00028013-0.0003225i,-3.337e-05+0.00044603i,-0.00035579+0.001385i,-0.0010507+0.0013944i,-0.0012494+0.00066447i,-0.00013626+8.8676e-05i,0.00069564-0.00026363i,0.00040087+7.1794e-05i,0.0003058+0.00039999i,8.7893e-05+0.00023201i,-0.00046152+0.00012931i
-0.00049207+4.5371e-06i,-0.001394-0.00046122i,-0.001669+0.00041125i,-0.001766+0.0017643i,-0.0012794+0.001836i,-0.00069713+0.00078258i,0.00016577+0.00018194i,0.00015503-0.0002099i,-0.00066165+6.6017e-05i,-0.0010222-2.6083e-07i,2.7912e-05-0.00061566i,0.00049802-0.00025457i,4.1455e-05-0.00063786i,0.00016967-0.00094541i,0.0007278-0.00027223i,0.00032823+0.00052078i,-0.00021292+0.00089607i,0.00014019+0.00071039i,0.00021625+0.00016318i,0.00027724-7.2063e-05i,-0.00012429-2.8974e-07i,0.00032659-5.6837e-05i,0.0006385+0.00026149i
-0.0011833+0.0010592i,0.00036979+0.0011691i,0.0010989+0.0014788i,0.0015427+0.0022275i,0.0015048+0.0010824i,0.0016077-7.6414e-05i,0.0011455-0.00027665i,0.0002079-0.00075991i,0.00025769-0.0008531i,0.00071048-0.00031556i,3.8522e-05+0.00031251i,5.4624e-05+0.00020731i,0.00020827+0.00020378i,-0.00014276+0.00022771i,-2.0042e-06+0.00033243i,-0.00012812+0.0012291i,-0.00041046+0.00117i,-0.000929-0.00021479i,-0.0008814-0.00016981i,0.00023819+0.00085101i,0.00098209+0.00014829i,0.00050983-0.00065022i,0.00033079-0.00063301i
-0.00057697+0.00073218i,-0.0012031+0.00061421i,-0.0015995+0.00099958i,-0.0012644+0.00036082i,-0.0010206-0.00041092i,-0.0012705-0.00016853i,-0.00071111+6.2957e-05i,-0.00022113-0.0001068i,-0.00015113-0.00061i,-5.2322e-05-0.00074514i,0.00030822-0.00047575i,4.1938e-05-0.00035964i,-0.0008359-3.6792e-05i,-0.00081989+0.00078247i,-0.00023212+0.0013891i,-4.9233e-05+0.00091008i,9.3221e-05+0.00038804i,0.00015655-0.0005174i,-0.00024115-0.0010662i,-0.00023718-0.00054467i,8.0298e-06+0.00033133i,0.00041903+0.00075755i,0.00074816+0.001005i
-0.00073433+0.00042853i,-0.0002799-0.00052896i,0.0004496-0.0010487i,0.00072942-0.00024358i,0.00072255+0.00059036i,0.00080538+0.00030904i,0.00095331-0.00069448i,0.00046336-0.00041946i,-0.00032058+0.00010537i,0.00014122-0.0002256i,0.00075012-0.0007559i,0.00082044-0.00036305i,0.00035338+2.0415e-05i,-0.00033754-0.00037952i,5.3124e-05-0.00016847i,0.00017055+2.9393e-05i,-0.00024596+0.00011091i,0.00016767+0.00021776i,0.00033323-0.00023943i,-8.5322e-05-0.00063172i,-0.00030464-0.00054655i,5.3701e-05-0.00066275i,0.00065347-0.00095654i
-0.0016503+0.00032888i,-0.0011869+0.0018049i,-0.0010129+0.0020366i,-0.0009738+0.00229i,-0.00091958+0.002136i,0.00011766+0.0016777i,0.00065556+0.00041063i,-0.00024897-0.001247i,-0.00075062-0.0024073i,0.00017431-0.0016655i,0.00067957-0.00026727i,0.0004558-0.00034956i,0.00016325-0.00018652i,0.0001911-0.00024783i,0.00013748-0.00018843i,-0.00088373+0.00042853i,-0.00084276+0.000216i,-0.00051704+0.00015133i,-0.00014642+0.00032018i,-0.00057926+0.00097546i,-0.0012803+0.00084626i,-0.0004475+0.00041894i,9.6364e-05+0.00070928i
0.00079786+0.00033652i,0.00030393-0.0010167i,-0.00076142-0.0015137i,-0.001366-0.0019064i,-0.0009909-0.0013718i,-0.00085812-0.00040377i,-0.00064924+1.827e-05i,-0.00050401+0.000134i,-0.00064877-3.3671e-05i,-0.00024778-0.0001922i,0.00023001-0.0003623i,0.00066285+0.00025462i,0.00054922+0.0012501i,0.00024042+0.0014492i,-0.00024831+0.0004872i,-0.00023974-0.00014468i,0.0010199-6.4761e-05i,0.0012644+0.00017091i,0.00059811+0.00019303i,0.00097543-0.00030005i,0.001046-0.00016321i,0.00093133+1.1328e-05i,0.00018918-5.5943e-05i
0.00023643+0.00096416i,0.001095+0.0013275i,0.0030014+0.0013946i,0.0030417+4.14e-05i,0.0019972-0.001918i,0.0011709-0.0024879i,0.00088121-0.0014162i,0.0013128-0.00054295i,0.0006422-0.0006229i,9.0639e-05-0.0010667i,0.00041232-0.0011094i,-0.00024551-4.3553e-06i,-0.0010726+0.00065203i,-0.000688+0.00077481i,-0.00031995+0.0012894i,-0.00024755+0.0010942i,0.00019004+0.00051499i,-0.00034208+0.00094117i,-0.0006101+0.0010645i,-7.6962e-05+0.00086834i,0.00034973+0.00038697i,0.00030383+0.00019741i,-7.9463e-05+0.00028773i
-0.0010894-0.0023118i,-0.0019394-0.0018754i,-0.0026416-0.0010778i,-0.0018231-0.0007007i,-0.000525+1.2757e-05i,-0.00046006+0.001078i,-0.00026358+0.00042009i,0.00025916-0.00079502i,-0.00012968-0.0013168i,-0.00050993-0.0015017i,-0.00031934-0.00068414i,4.7486e-05+0.00018895i,0.00011443+0.00018971i,4.8076e-05-0.00046805i,0.00044254-0.00036349i,0.00033156+0.0002694i,-0.00019802-0.00019177i,-0.00079922-0.00051077i,-0.00050457+1.6104e-05i,0.00015069+0.0011534i,0.00035582+0.001051i,0.00053923+0.00018094i,0.00020235+6.1294e-05i
0.0010506-0.00070396i,4.1191e-05-0.00078612i,0.0007331-0.00051962i,0.00017425-0.0013961i,-0.0010501-0.0012961i,-0.0018149-0.00065815i,-0.0018228+9.3994e-05i,-0.00097852+0.00058915i,-0.00036388+7.9361e-05i,-0.0002032-0.00034875i,-8.1389e-05-0.00075994i,-0.0004333-0.00059244i,-0.0010709-0.0002595i,-0.00067594-6.7801e-05i,-0.00028395+0.00069382i,-0.00094396+0.0008137i,-0.0010834+0.00059448i,-2.5071e-05+0.0003832i,0.00050235-2.525e-05i,4.9522e-05+0.00027454i,-0.00018214-0.00018684i,-0.00024056-0.00035604i,-0.00010777+0.00012329i
-0.00014922-0.00093701i,-0.00029011-0.00083132i,0.00027779+2.5811e-05i,0.0013744+0.00088106i,0.00092093-6.9757e-05i,0.00017889-0.00092699i,0.00039103+2.1167e-05i,0.00049787+9.7714e-05i,0.00019888-0.0010011i,0.00077575-0.001187i,0.00094286-0.00081676i,7.3218e-05-0.0005297i,-9.78e-05-0.00033593i,-2.6148e-05+0.00028315i,-7.5116e-05+0.0014986i,-1.8524e-05+0.001585i,0.00023352+0.00083895i,0.00040648-8.8882e-05i,0.00028685+3.4172e-06i,0.00058182+0.0010174i,0.00041593+0.0014888i,-0.00019165+0.00095708i,-0.00047599-8.3816e-05i
0.00015942-0.00070921i,0.00059653-0.0017152i,-5.2244e-05-0.0018571i,-0.0010126-0.0011686i,-0.0011269+8.239e-05i,-0.00047504-2.7719e-05i,-0.00066754-0.00053739i,-0.00094542-0.00039314i,-3.7187e-05-0.00034794i,0.00012842-0.00037564i,-0.00049636+0.00020672i,-0.00089167+0.0009151i,-0.00089578+0.00024567i,-0.00021636+5.3845e-05i,0.00073901+0.0003701i,0.00051574+0.00055187i,-0.00030355-0.00010043i,-0.00015977+7.5603e-05i,-0.00036241+0.00024173i,-0.00044027-0.00080747i,0.00017647-0.00078818i,0.00015997-0.00037936i,1.7052e-05-0.00045399i
0.00023949-0.00028172i,-0.00058444-0.00045387i,-0.00066352-0.00010942i,5.1447e-05+0.00018357i,0.00038817-0.00042246i,3.5731e-06-0.00046053i,-0.00091044-0.00027881i,-0.0005814-0.00097099i,-0.00011282-0.00092069i,-0.00025738-0.00062008i,8.0649e-05-0.00077012i,0.00046573-0.00026928i,-0.00012884+0.0004637i,-0.0008242+0.00047178i,-0.0012381+0.00040881i,-0.00088097+0.00012479i,-5.1508e-05+0.00032857i,-0.00019456+0.00033628i,-0.00065664+0.00019723i,-0.0005611+0.00025021i,-0.00038258-0.00013073i,-0.00021517-0.00053954i,0.00010766-0.00023432i
-2.7332e-05+0.0016668i,0.00055248+0.0012997i,0.0012893+0.0004961i,0.00097962+2.6113e-05i,0.00055492-0.00034154i,0.00027622-0.00036583i,0.00043728-0.00037521i,0.00071956-0.00028744i,0.00029722-0.00028187i,-1.2799e-06-0.00036215i,0.00027601-0.0004183i,0.00013396-0.00020795i,-0.00042924-7.3361e-05i,-0.00024819+0.00022772i,0.00010626+0.00014302i,-0.00019241-0.0002812i,-0.00015286+0.00013816i,4.7661e-05+0.00024405i,0.00025896+0.00012623i,0.00094689+0.0001717i,0.0013883+0.00020606i,0.001155+0.00092474i,0.00055661+0.00083219i
-0.00085439+0.0005164i,-3.9566e-05+0.0008302i,0.0007276+0.0021209i,0.00090156+0.0018559i,0.0014763+0.00035649i,0.0016226+4.5831e-05i,0.00040264+0.00058713i,-0.0001267+0.00046599i,-0.00011807-0.00040675i,-0.0001191-0.0011138i,0.00030007-0.0010899i,0.00028134-0.00049125i,-8.4981e-05-0.00062714i,-0.00044019-0.00046867i,-0.0005682+0.00035938i,0.00020388+0.00079336i,0.0005318+0.00067822i,-0.00015919+0.00021532i,8.2632e-05+0.00012673i,0.00080456+0.000192i,0.00053782+0.00050212i,-0.00029633+0.00037158i,-0.00021584+0.00017077i
-0.0015747+0.0022373i,-0.00035676+0.0028938i,0.00060184+0.0028949i,0.0024433+0.0018913i,0.0034278+0.00071491i,0.0017951-3.8929e-05i,8.0174e-05+0.00029128i,-0.00043269+0.00038081i,-0.00056381+0.0002992i,-0.00051366+0.00027646i,-0.00052593-0.00071361i,-0.00037627-0.001143i,-0.00063516-0.00091108i,-0.0011559-0.00062504i,-0.00048267-0.00019576i,0.00075497-0.00026343i,0.0014157-0.00078108i,0.00086343-0.00062461i,0.00047061-0.0006885i,0.0005442-0.0007342i,0.00028414-0.0012639i,0.0001843-0.00048824i,0.00037139+0.00048598i
0.00029989-2.5168e-05i,-0.00014619-0.0005004i,-0.0011265-0.00059975i,-0.001117-0.00087599i,-1.1132e-05-0.00048079i,-0.00016286+0.00059018i,0.00010722+0.0011288i,0.00099404+0.0010136i,0.00047505+0.00061885i,-0.0003375-1.3656e-05i,0.0001278-0.0016564i,0.00052558-0.001624i,-0.00020544-0.0002469i,-0.00011697+0.00031998i,0.00015614+0.00069027i,0.0001329+0.0010227i,0.00012363+0.00096027i,-0.00046243+0.0005791i,-0.00063678+0.00064996i,-0.00043366+0.0011329i,-0.00032446+0.0011206i,-0.00074813+0.00055463i,-0.00059405+0.00055328i
0.0013033+0.0016473i,0.0019069+0.0012716i,0.0025075+0.0018813i,0.0030127+0.0016136i,0.0028123+0.00151i,0.00244+0.0013786i,0.0022026+0.00090912i,0.0013818+0.00053047i,0.0010573-0.00080437i,0.0014349-0.0018291i,0.00087447-0.0019097i,7.5061e-05-0.0019763i,0.00014964-0.0014623i,0.00017068-0.00063383i,-0.00024931+0.00036236i,-0.00040529+0.00083939i,-0.00041048+0.00049703i,-0.00018422-7.5037e-05i,-0.0004539-0.00028063i,-0.00048034+5.4906e-05i,-0.00078439+0.00023594i,-0.00022712+0.00013558i,0.00064414+0.00036126i
-0.00083781-0.0021645i,-0.0021337-0.0024159i,-0.0030462-0.0022871i,-0.0030326-0.00096023i,-0.0032307-0.00065773i,-0.0033507-0.0012691i,-0.0037879-0.0015414i,-0.006156-0.00071686i,-0.0069259+0.0011238i,-0.0049985+0.0031898i,-0.0023977+0.0042275i,-0.00050547+0.0042272i,0.00084159+0.0031991i,0.0022315+0.0016959i,0.0025515+0.00022067i,0.0016075-0.0003376i,0.00073971-0.00043064i,-8.5764e-05-0.00042301i,0.00011749-4.2567e-05i,0.00041619+0.00036893i,0.00011192+0.00032161i,-0.00030121+0.00025251i,0.00033768+0.00068534i
7.1126e-05+0.00082162i,0.00034841+0.00058405i,0.00052589+0.00043869i,0.00036514-0.00026257i,0.00087632-0.00055697i,0.00053108-0.00075497i,-0.00060067-0.00095208i,-0.001533-0.00037821i,-0.0015166+0.000338i,-0.00074145-9.3852e-05i,0.00025568-0.00026733i,0.00022399+0.00055987i,3.7554e-05+0.00078912i,0.00031345+0.00090183i,0.00065839+0.00058434i,0.00032805+0.00021594i,-0.00025218+0.00014482i,-0.00033991+0.00046823i,-8.4497e-05+0.00041804i,0.0005116+2.6956e-05i,0.00057682+0.00022648i,0.00060814+9.0267e-06i,0.00020028+0.00034538i
-0.0017015-0.00042948i,-0.0019567-0.00017667i,-0.0023931-0.0002095i,-0.0027052+5.1154e-06i,-0.0021553+0.00066878i,-0.0012744+0.00080411i,-0.00067556+0.0005578i,-0.00091221-6.417e-05i,-0.00058288-0.0004384i,0.00028907-0.00030192i,0.00047725+0.00045924i,0.00068806+0.00090431i,0.00051584+0.00063533i,-0.00038356+0.00047847i,-0.00089058+0.0001421i,-0.00010405-0.00056234i,-0.00017381-0.00039505i,-0.00031076-1.3709e-05i,0.00041642+0.00021039i,-6.0084e-05+0.00026889i,-0.00036768+0.00036599i,-0.000384-1.7532e-05i,-0.00060938-0.00048729i
0.00047569-0.0018017i,0.00015952-0.0021649i,-0.00023004-0.0021496i,-0.00057486-0.0014659i,-0.00080922-0.00056184i,-0.00035501+0.00051338i,-0.00012579+0.00082661i,0.00021839+1.8547e-05i,0.00023612-0.00068229i,-0.00012992-0.00046403i,-0.00062924-6.5703e-05i,-0.00078015+0.00054933i,-0.0003489+0.00087375i,0.00040587+0.00019237i,0.00087632-0.00046758i,0.00057323-0.00036113i,1.6489e-05+5.1969e-05i,-0.00041243+4.3718e-05i,-0.00058999+0.00039208i,-0.0010573+0.00056102i,-0.0010585+0.00043076i,-0.00080028-2.6791e-05i,-0.00059743-0.00074284i
0.0013798+0.00076637i,0.00077409+0.00025904i,0.00089797-2.5007e-05i,0.00028994-0.0013144i,-0.00039953-0.0021024i,-0.00082822-0.0013552i,-0.00093677-6.6319e-05i,-0.0013791+3.3534e-05i,-0.0012459-0.00097161i,-0.0004486-0.00078636i,0.00030027-0.00013094i,0.00045042-0.00032917i,6.3826e-05-0.00025557i,-0.0001471+9.4036e-05i,-2.424e-05-0.0004044i,0.00079189-0.00076054i,0.00073238+0.00012786i,0.00036584+0.00020234i,0.00037929+7.9687e-08i,-0.0003886+9.0871e-05i,-0.0004635-0.00038492i,-2.3229e-05-0.00090917i,0.00017827-0.00099802i
