0.0015505+0.0013313i,0.0011975+0.0015594i,-8.2261e-05+0.00016036i,-0.00080704-0.001437i,-0.0017748-0.001152i,-0.0026828+0.0010747i,-0.0015357+0.0029141i,0.00059332+0.0026693i,0.0020637+0.00091295i,0.001507-0.0007798i,0.00064631-0.0011669i,0.00052355-0.00049219i,0.00085905+0.00015366i,0.00078035-4.1395e-05i,0.00059789-0.00013553i,0.00086461+0.00033625i,0.00091349+0.00057049i,0.00059837+0.00043908i,0.0003967+0.00044612i,0.0006889+0.00048776i,0.00066548+0.00078307i,-0.00024596+0.00091122i,7.2606e-06+0.00085247i
9.3464e-05+0.00069405i,0.00122+0.00096739i,0.00085994+0.00034074i,-3.196e-05+0.00056451i,-0.00053915+0.0011073i,0.00028035+0.00081607i,0.0009174+0.00050959i,0.00074469+0.00090567i,0.00044032+0.00133i,0.00051112+0.00038395i,0.00017778-0.00011776i,-9.8346e-05+0.00062986i,0.00015872+0.00039062i,0.000452-0.00075423i,0.00017043-0.00073554i,0.00038007-0.00031577i,0.0014714-0.00045119i,0.0013778-0.00050047i,0.00042382-0.00058654i,-6.0153e-05-2.6299e-05i,-0.00022299+0.0002027i,-0.00065546-0.00022565i,-0.00066699-0.00033201i
-0.001134-0.0011627i,-0.00034664-0.00044438i,-0.00059779+0.00050249i,-0.00038554+0.00085923i,-0.00053801+0.00054943i,-0.00016124+0.00039503i,0.00078723+7.6598e-05i,0.00063335+0.00057652i,0.00025723+0.0017392i,5.5249e-05+0.0021062i,0.00020723+0.0012081i,0.00092687+0.00019833i,0.0017384+0.00012306i,0.001097-0.00057635i,-0.00015866-0.001179i,-0.00026076-0.00068813i,-0.00010748-0.00024933i,-0.00027328-0.00023407i,-0.00034286-0.00036889i,0.00020456-0.0007846i,0.00063577-0.00089567i,0.00049666-0.00054757i,0.00042297-0.00049565i
0.00024741+0.00028458i,0.00084773+2.587e-05i,0.00048626+0.00021595i,-0.00086169-0.00016204i,-0.0012972-0.00025426i,-0.0010224+0.0003924i,-0.0013768+0.0014059i,-0.0011552+0.0018464i,-0.00039346+0.0012435i,0.00044135+0.00069446i,-3.9668e-05+0.00043928i,0.00024024-0.00052177i,0.00058786-0.0010121i,2.6902e-05+0.00015376i,-0.00011637+0.0010659i,-0.00032847+0.00067342i,-0.00024954+0.00042282i,0.00029824+0.00077729i,0.00029123+0.00048085i,3.3049e-05-6.6383e-05i,0.00044898-0.00032653i,-3.6054e-05-0.00070153i,-0.00028932-0.00060583i
-0.0012451+0.00024861i,-0.0015176-0.00032115i,-0.0010973-0.00099723i,-0.00060793-0.0008169i,-0.00022443-6.4148e-06i,-0.001004+0.0004717i,-0.0014469-6.2896e-05i,-0.00083704-0.00013443i,-9.8047e-05+0.00043632i,0.00041772+0.00052203i,0.00098301+0.00052927i,0.0012162+0.00039991i,-4.8925e-05+0.00012176i,-0.00069001-0.00067839i,4.9764e-05-0.0011469i,0.00065032-0.00060438i,0.00092304-0.00028674i,0.0007656-0.00035861i,0.00013835-0.00049572i,-0.00012501-0.00050432i,0.00023782-0.00020495i,-2.9601e-05+2.8628e-05i,0.00026024-0.00052493i
-0.0002075-0.000363i,0.00078123+0.00050568i,0.00089458+0.0014782i,0.00050057+0.0010164i,-0.00035232+0.00043063i,-0.00096686+0.00064826i,-0.0010699+0.0016152i,1.6107e-05+0.0022385i,0.00086582+0.0017091i,0.00078361+0.00078366i,2.3994e-05+0.00037721i,-0.00024077+0.00032266i,0.0002676-0.00018253i,0.00048041-0.00038477i,0.00074586-0.0001752i,0.0012201+0.00034473i,0.0012834+0.00044288i,0.0008609+2.4638e-05i,0.00050928-0.00014671i,0.00046387-0.00047159i,0.00024221-0.00041187i,0.0001769+0.00013737i,0.00038832+0.00038893i
-0.00093797+0.001116i,-0.00056131+0.00084906i,0.00086144+0.00033709i,0.0012054+0.00092734i,0.00031814+0.0014098i,-0.00021045+0.00023088i,-0.00028003-4.3152e-05i,-0.00012058+0.0010583i,-4.6741e-06+0.0014915i,0.00042846+0.0018196i,0.0012792+0.0018879i,0.0014832+7.6414e-05i,0.00097834-0.00068655i,0.00029193+0.00051804i,3.4673e-05+0.00057171i,9.8216e-05-8.0651e-05i,0.000492-0.00023928i,0.00020326-5.8159e-05i,-0.00030447+0.00010172i,9.2088e-05+0.00023482i,0.00062835+0.00047921i,0.00046036+0.00023251i,0.00035953-0.00046716i
-0.00023399-0.00080697i,0.0002789-0.00017959i,0.00042721-0.001061i,0.00017561-0.0012027i,-0.00082043+0.00045607i,-0.0012534+0.0017897i,-0.00085641+0.0015391i,0.00055319+0.0010845i,0.00085222+0.0012977i,0.00082914+0.0015141i,0.0016398+0.0014761i,0.0019188+0.00062324i,0.00092968+6.0888e-05i,0.00018516-0.00025689i,-1.8299e-05-0.00062352i,-5.9104e-05-0.00036842i,-0.00074739-0.00068975i,-0.0008802-0.00096233i,-0.00014331-0.0005322i,0.00030492-0.00024817i,0.00068407+0.00011133i,6.3945e-05+9.9634e-05i,-0.00045194-0.00048747i
-0.001209-0.0010338i,-0.0013514-0.001014i,-0.0021614-0.001292i,-0.0017444-0.00091978i,-0.00086997+0.00045255i,-0.00084297+0.0005561i,6.2546e-05+9.171e-05i,0.00082934+0.00018605i,0.00018686+0.00040124i,-0.00041355+0.0003919i,-0.0008664+0.00098842i,-0.00046375+0.00070964i,8.7087e-05-0.00031153i,0.00023207+9.3524e-05i,0.00042375+0.00025142i,-0.00025426+7.9844e-05i,-0.0011903+3.6136e-05i,-0.00073204+0.00020824i,-0.0005828+0.00024708i,-0.00033064-5.4778e-06i,7.861e-05-0.00042879i,-2.322e-05-0.00058286i,0.00010127-0.00064969i
0.00076022-0.0001878i,0.00017494+0.00014021i,-0.00056409+0.0004163i,-0.00072405+6.5765e-05i,-0.00030754+0.00016046i,-0.00054799+0.001114i,-0.00053483+0.0018564i,0.00022111+0.0012472i,0.00083975+0.00015303i,0.0011669-0.00017251i,0.00043528-0.00056193i,-0.00039778-0.00044588i,-0.00022463-0.00014403i,0.00041226+8.0972e-05i,0.00046368-0.00029808i,0.00054645-0.00052619i,-2.5311e-05-0.00043982i,-0.00067168-0.00076531i,-0.00029113-0.00061448i,0.0003295+9.1807e-05i,0.00098636+0.00041268i,0.00088129+1.4562e-05i,0.00058351-0.0006776i
5.2625e-05+0.0014885i,0.0014283+0.00024512i,0.0020681-0.0007335i,0.00098938-0.0006881i,-0.00021928-0.00086545i,-0.00066758-0.0010157i,-0.00068168+0.00059904i,-0.00072953+0.0017942i,-0.0001717+0.0018154i,0.00031009+0.0016387i,0.00089807+0.00038689i,0.00094591-0.00083654i,0.00061009-0.00025464i,0.00028784-8.5679e-05i,-7.0802e-05-0.00071736i,0.00014641-0.0006908i,0.00042173-0.00050728i,-0.00010562-0.00015098i,-0.00014265+0.00012345i,0.00056908+0.00085146i,0.0003995+0.0015645i,-0.00011262+0.00081017i,-0.00031513+5.6862e-05i
-0.00054801-0.00039061i,-0.0012151+0.00073521i,-0.0015195+0.0018311i,-0.0020501+0.0017982i,-0.0013962+0.0019735i,-0.00019617+0.0022452i,-3.2448e-05+0.0017928i,0.0002895+0.00099269i,0.00042951+0.00068614i,-0.00017312+9.2225e-05i,-0.00019011-0.00076212i,3.8582e-05-0.00028906i,0.00051534-8.4895e-05i,5.3382e-05+0.00018725i,-0.00031146+0.00018534i,5.614e-05+3.5147e-05i,0.00031037+0.00029796i,0.00050746+2.3076e-05i,0.00082234-0.0005012i,0.00077871-0.00080836i,-0.00043278-0.00093941i,-0.00095845-0.00099954i,-0.00039918-0.00067796i
-0.00046316+0.00015344i,-0.00058987-0.00034965i,-0.00091333-0.00095313i,-0.0012448-0.00095211i,-0.0013251+9.1603e-05i,-0.00090375-5.4229e-05i,0.00034523+5.8509e-05i,0.00073971+0.00094481i,0.00019805+0.00090467i,-0.00023483+0.0004604i,-9.9352e-05+0.00016003i,0.00029239+3.4503e-05i,0.0006898-0.00025527i,0.0013962-0.00091749i,0.0024014-0.0010857i,0.0021615-0.00045356i,0.00083072+0.00049104i,0.00026091+0.00096801i,0.00046393+0.00051631i,0.00093731+3.4253e-05i,0.000735-0.00017632i,0.00057329-0.00066725i,0.00040327-0.0011103i
0.0025063-0.0006468i,0.0021445-0.00017194i,0.001236-0.00043056i,0.00014781-0.00076655i,-0.00087827+2.679e-05i,-0.00083414+0.0013313i,0.00037326+0.0020665i,0.00050862+0.0017921i,0.00026938+0.00082116i,0.00031235+6.4723e-05i,0.0006388-0.00011782i,0.0011934-0.00012795i,0.00085622+9.5773e-05i,0.00045343+0.00040606i,0.00016181+0.00043096i,-2.1711e-05+0.00044643i,-0.00036849+0.00018639i,-0.00071732-0.00049142i,-0.00060842+0.00032551i,9.777e-06+0.0010734i,0.00029102+0.00037704i,0.00010904+8.886e-05i,0.00037541+0.0004121i
-0.0010156-0.0001643i,-0.0016021+0.00059577i,-0.0013269+0.00064382i,-0.00066425+0.00063444i,-0.00071504+0.0013855i,-0.00054812+0.0020021i,0.00047568+0.0017266i,0.00075038+0.0017722i,0.00089369+0.0015192i,0.00083067+0.00082845i,-0.00010935-0.00018621i,0.00012324-0.0003321i,0.00049888-0.00063926i,-0.00045993-0.00063547i,-0.00091755-0.00030487i,-0.00053499+0.00020751i,-0.00072743+0.0007124i,-0.00075829+0.00030605i,-0.00032013-0.00027375i,-8.4227e-05-0.00042905i,0.00027708+8.5734e-05i,0.00015583-0.00011682i,-0.00021562-0.00084339i
-0.00054343-0.00060362i,-0.00050133-0.00058955i,-2.5251e-05+0.00021435i,0.00048248+0.00065344i,-0.00014679+0.00076045i,-0.0015453+0.0013338i,-0.0016328+0.0017194i,-0.00077299+0.0018738i,0.00024461+0.00093866i,0.00086073+0.00020502i,0.00052067+2.3584e-05i,0.00020239-0.00094968i,0.001222-0.0011189i,0.0010801-0.00083259i,0.0007123-0.00064344i,0.00083907-0.00013629i,0.0010719+0.00026628i,0.00088267+0.00023574i,0.0003056+0.00028537i,0.00012219+0.00041384i,9.7322e-05-4.7729e-05i,-0.00028866-0.00042895i,-0.00077114+2.0236e-05i
0.00032385+0.00052688i,0.00054605-0.0002703i,0.00067828-0.00032728i,-0.00055478-0.0010565i,4.3049e-05-0.0021238i,0.00058408-0.0011914i,0.00015292+0.0013359i,0.00051296+0.002453i,0.00064045+0.0016624i,0.00032827+0.00044307i,0.00040269+0.0004093i,0.000265+0.00098373i,9.3867e-05+0.00078829i,-0.00035328+0.00074333i,-0.00064227+0.0010647i,-0.00044646+0.00063086i,-0.0005953-9.2611e-08i,-0.00075896+0.00018774i,-8.3483e-05+0.00086215i,0.00037722+0.00071983i,0.00052143-0.00012399i,0.00067229+0.00021629i,-0.00030735+0.00093169i
-0.00019984-0.0018711i,5.8931e-05-0.0013313i,0.00053831-0.00090021i,-0.0003004-0.00012634i,-0.0013416+0.00075158i,-0.0011152+0.0011962i,-8.6814e-05+0.0011728i,0.00055485+0.0010633i,0.00087155+0.00068987i,0.00054996+2.6039e-05i,0.00016553+5.2092e-05i,0.00059537+0.00025391i,0.00079261-0.00025974i,0.00032838-0.00053801i,-7.0729e-06-0.00028749i,-0.00025539+0.0004622i,-0.00023813+0.0010346i,0.00039546+0.00062049i,0.00014243+0.00013847i,-0.00073161+0.0001006i,-0.0010858-0.00034432i,-0.00011188-0.00034938i,0.00055954+0.00049182i
-0.0015236+0.0013821i,-0.0018136+0.0017414i,-0.00075944+0.00099916i,-0.00011211+2.1557e-05i,6.8455e-05+0.00014646i,0.00023282+0.00091671i,-0.00012989+0.00081939i,-0.00033456+0.0013411i,0.00010468+0.0018698i,6.8383e-05+0.00067815i,-3.5314e-05-0.00032236i,0.00031446-0.0011117i,0.00012205-0.0014606i,-8.8704e-05-0.00077665i,0.0001925-0.00056332i,-0.00027995-0.0011064i,-0.00055318-0.00068427i,7.4325e-05+0.00069186i,0.00044599+0.00086155i,0.00064121+5.2521e-05i,0.00079906+0.00012495i,-0.00026183+0.00012922i,-0.00086731-0.00022804i
0.000192-0.0009092i,0.00076198-0.00053219i,0.00023187-0.00030841i,8.3304e-05+0.00032773i,0.00016233+0.00063008i,0.00016852+0.00038563i,0.00017137+0.00024642i,4.2904e-05+0.00043724i,0.00021032+0.0010075i,0.00045586+0.00082214i,0.0010556+0.00061254i,0.001097+0.0013322i,0.0010542+0.0014898i,0.0011087+0.00061291i,0.00078059+0.00016632i,0.001185+0.00027825i,0.0012493+3.544e-05i,0.00068813-0.00044868i,-6.0894e-05-0.00069664i,0.00057172-0.00069399i,0.001529-0.00040929i,0.0011287-0.00047114i,0.00031883-0.00058222i
-0.00047415-0.0014289i,-0.00097213-0.00058105i,-0.0025119+0.00018683i,-0.0026053+5.845e-05i,-0.0014917-8.9544e-05i,-0.0010864+0.00057783i,-0.00033128+0.00080222i,0.00049724+0.00069222i,0.0006295+0.0007992i,0.00049367+0.00043121i,0.00091382+0.00011385i,0.00088583-9.4418e-05i,0.00016142+0.00038798i,0.00029512+0.0002326i,0.00041533-0.00036568i,0.00010647+0.00010086i,1.0373e-05-3.7271e-05i,-0.00045968+0.0001461i,-0.00066185+0.00044102i,-0.00055117-0.00012344i,-0.00027643-0.00047404i,0.00089307-0.00037437i,0.0011826-0.00035577i
-0.00046482-0.00090401i,0.00070747-0.0018283i,0.00022452-0.0010544i,-0.00088808-0.00019963i,-0.00027183-0.00062797i,0.00025525-0.00031311i,-0.00047305+0.00076751i,-0.00020297+0.0012326i,0.00091653+0.0007214i,0.0018467+0.0002461i,0.0021883+0.0005591i,0.0014582+0.00034942i,0.00040431-0.000617i,0.00022434-0.00088135i,0.0002422+0.00013043i,-0.00023694+0.00031722i,-0.00084466-0.00028328i,-0.00056898-0.00081981i,-0.0001764-0.00037483i,-0.00029335+0.00025069i,-0.00037342+0.00025568i,-0.00011884+0.00021012i,0.00063886+0.00052564i
0.00021257+0.0015038i,6.4079e-05+0.0010788i,-0.00021404+0.0013471i,0.0011424+0.0013614i,0.0025048+0.00092339i,0.0012536+0.00015476i,0.00029253+0.00045285i,0.00063903+0.0011805i,0.00077442+0.00083307i,0.00018259+0.00084047i,0.00032627+0.0006874i,0.00092848+0.00058484i,0.00065367+0.00032706i,0.00011877-0.00044212i,8.0043e-05-0.00050901i,-2.6076e-05+0.00048659i,-0.00066084+0.00016784i,-0.00036117-0.00053049i,-0.00013415-2.9086e-05i,-0.00015284+0.00038532i,0.00028819-9.4635e-05i,0.0006192-0.0007961i,0.00050916-0.00079638i
0.00041196-0.0013765i,-0.00027726-0.0010937i,-0.0004898-0.00062918i,-0.0007797-0.0010055i,-0.0017792-0.00097582i,-0.0011829+8.7421e-05i,-1.6632e-05+0.00051639i,0.00021182+0.0012151i,0.00090693+0.0014346i,0.0010152+0.00021266i,0.0010077+0.00052506i,0.0010799+0.0010636i,0.00091382+0.00069201i,0.0011872+0.00013291i,0.0010655-2.9339e-05i,0.0001624-0.00030393i,-0.00079921-0.00010214i,-0.0007691+0.00051419i,0.00073764-9.7896e-05i,0.0013159-0.00033828i,0.0005062-0.00016138i,-0.00025342-0.00034681i,-0.00023502-0.00013218i
0.00095144+7.5476e-05i,0.001512+7.5036e-05i,0.0015829-8.6068e-05i,0.00057378+7.6957e-06i,-0.00013419+0.00077332i,0.0011435+0.0012132i,0.0012388+0.00099556i,7.2604e-05+0.0012932i,0.00019245+0.0012344i,0.0011356+0.0010068i,0.0017189+0.00091442i,0.0010272+0.00056537i,0.00042836+0.00024159i,0.00057178-0.00011421i,3.4454e-05-0.00062115i,-1.8334e-05-0.00024446i,0.00043854+0.0004201i,0.00043353+0.00056948i,0.00033312-0.00015644i,0.00014497-0.00073119i,-0.00010225-1.0472e-05i,-0.00020153+0.00083204i,0.0001307+0.00045148i
-0.00029213-0.00030962i,-0.00028955+0.00042507i,0.00015966+0.00078491i,0.00022929+0.00064999i,-0.00038691+0.00044546i,-0.00077732+0.00045778i,-0.001067+0.00028714i,-0.0010998-0.00026363i,-0.00080716+0.00030044i,-0.0005027+0.00071744i,-0.00026039-0.0001375i,-0.00067229-0.0012425i,-0.00097768-0.0018053i,-0.00063584-0.0013669i,-0.00014097-0.00077133i,0.00054931-0.00017244i,0.00072634-4.293e-05i,0.00030042+1.2551e-05i,-8.3714e-05+0.00061507i,-0.00075317+0.0011864i,-0.00048118+0.0011819i,0.00050443+0.00098557i,0.0011057+0.00064775i
0.00043461+0.00067803i,-0.00039137+0.0011453i,4.0548e-05+0.00090206i,0.00092811+0.00021141i,0.0004697-3.6211e-06i,-0.0001711+1.9285e-05i,0.00015939+0.00055674i,-0.00017803+0.0006449i,-0.00031361+2.9395e-05i,0.00031589-0.00048637i,0.00060988-9.4133e-05i,0.00091143-0.00047852i,0.00065381-0.00064462i,-0.00025198-0.00023683i,-0.00069919-0.0005854i,-0.00068316+0.00014869i,-0.00064409+0.00030754i,-0.00010356-0.00034138i,8.2644e-05+0.00026377i,0.00010567+0.00073037i,-8.1816e-05+0.00022718i,-0.00010998+5.6504e-06i,-0.00024262-0.00057949i
-0.0001932-0.00040734i,0.00046093+0.00035842i,-0.00018287+0.00038434i,-0.00048304+8.8358e-05i,-0.00051565+0.00066327i,8.9298e-06+0.0010068i,0.00066181+0.0014574i,0.00017798+0.0019842i,-0.00049134+0.0016031i,-0.00015101+0.00073644i,6.9702e-05+0.00027682i,0.00075446-0.00011527i,0.0016649-0.00030171i,0.0013148-0.00057899i,0.0005608-0.00056958i,0.00089211-0.00011872i,0.0012952-5.9399e-05i,0.00029657-0.00015295i,-0.00073591-0.0001254i,-0.00060603+0.00030508i,-0.0005924+0.00031445i,-0.00088778+0.00030814i,-0.0006617+0.00016077i
-0.00061826-0.00085268i,-0.00077755-0.0013922i,-0.00017281-0.0016604i,-0.00045934-0.00096969i,-0.00095265+0.00041817i,-0.0008303+0.001238i,-0.00064868+0.0015565i,-7.4299e-05+0.0015753i,0.0010968+0.0015348i,0.00061223+0.001342i,-8.4919e-05-0.00031768i,0.00065438-0.0013692i,0.00068606-0.00032956i,5.9352e-05+0.00025842i,0.00024343-5.9593e-05i,-2.699e-05+0.00027671i,-9.2385e-05+0.00043824i,0.00088893+0.00047785i,0.0004783+0.00034039i,3.2898e-05-3.5797e-05i,-0.00013244-3.5743e-05i,-0.00054778-0.0002306i,-0.00020268-0.0007153i
-2.1672e-05-0.00070317i,2.4031e-05+4.3568e-05i,7.5765e-05+0.00080487i,0.00020331+0.00043782i,-0.00033476+4.3578e-05i,-0.00043744+0.00063025i,-0.00092059+0.00053377i,-0.00072448+0.00045186i,6.8883e-05+0.001026i,0.00075542+0.0014091i,0.00081126+0.0011386i,0.00033934+0.0004061i,-6.345e-05+0.000165i,-0.00031984-8.3971e-05i,-8.6576e-05-0.00015493i,4.403e-05+0.00088115i,-0.00043557+0.00096526i,-0.00027041+0.00067661i,-0.00029378+0.00039694i,-0.00031095-0.00012439i,-0.00034076-0.00070183i,0.00027682-0.0010664i,0.001019-0.00075615i
-0.0017419-0.00094298i,-0.0020594+0.0007769i,-0.0021867+0.0018916i,-0.0016604+0.0026416i,-0.0013273+0.0028852i,-0.00025979+0.0021266i,0.00057452+0.001504i,-9.0665e-05+0.0010474i,-0.00064307+0.00027571i,-0.00041063+0.00065812i,-4.875e-05+0.0012254i,0.00012569+0.00081185i,0.00053898-0.0003653i,0.00074128-0.00143i,0.00081921-0.0013459i,0.0004162-0.00033035i,-8.3114e-05-0.00031658i,3.3183e-05-0.0011539i,-5.4233e-05-0.0011048i,-0.0002951-0.00055555i,8.7159e-05-0.00036326i,0.00030931-0.00029765i,9.1656e-05+0.0001744i
-0.0011113+7.6117e-05i,0.00015518+0.00045284i,0.00063315+0.00089644i,-0.00061131+0.0011918i,-0.00051016+0.0010259i,0.00014987+0.000554i,-0.00036202+0.00073434i,-0.00029367+0.0016834i,0.0010125+0.0019989i,0.0016972+0.00084933i,0.0011345-0.00038125i,0.0009315-0.00048197i,0.0011351-0.00029305i,0.00071872-0.00027228i,-2.4726e-05-0.00058435i,-0.00017177-0.00095916i,7.5407e-06-0.0002079i,0.00037398-4.043e-05i,0.00076495+5.7778e-05i,0.0010293+0.00042154i,0.00066486+0.00046576i,-0.000531+0.0008971i,-0.0015674+0.0014098i
0.00037866+0.00078311i,-9.3257e-06+0.00060631i,-0.00016341-0.0002999i,0.00022566-0.0015069i,0.00042484-0.0015969i,-0.00021054-0.00026051i,-5.6744e-05+0.00081619i,0.00044449+0.0012371i,0.00011506+0.0013728i,0.00010973+0.0013152i,0.00049556+0.0010022i,0.00028465+0.00045159i,-1.4368e-05+6.1543e-05i,-0.00013975+0.00027265i,-0.00034948+0.00034549i,-0.00072301+4.4831e-06i,-0.00039404-0.00038724i,0.00010606-0.00030039i,-0.0003463-3.6638e-05i,-0.00086075+0.00016481i,-0.00060884+0.00025203i,-0.00012166+8.4927e-06i,0.00039246-0.00042972i
0.00035105-0.0016152i,0.00061683-0.00079913i,-0.00061101-0.00024373i,-0.0019551-0.00018948i,-0.0015282+0.00084839i,-0.00049312+0.0011347i,-0.0003804+0.0014288i,-0.00049646+0.0017914i,-0.00052754+0.00093153i,6.4076e-05-1.427e-06i,0.0008958-0.00012243i,0.00078108+0.00022778i,0.00076888-3.962e-05i,0.00058908-0.00013039i,-3.2583e-05+0.00018477i,-0.00056515+0.00031517i,-0.00048345+0.00059528i,-0.00053822+0.00055691i,-0.00043273+0.00022316i,-0.00031983-0.00052179i,-0.00034811-0.00085775i,-0.00053232-0.00025933i,-0.00047716+0.00033505i
-0.00076646-0.0004817i,-0.00095566+0.00073536i,-0.0009256+0.00057889i,-0.00042914+0.00073674i,0.0002836+0.001247i,0.00066444+0.001245i,0.00038301+0.00073192i,-0.00012111+0.0005201i,-0.00014327+0.00050454i,0.00025912+0.00069425i,0.00061551+0.00061768i,0.00093054+0.00020698i,0.00035674-3.5035e-05i,0.00015986-0.00020823i,0.00064857+0.00025635i,0.00012359+0.00056372i,-0.00019243+0.00018625i,8.1496e-05-0.00064139i,0.00028773-8.7932e-05i,0.0001482+0.0005797i,-0.00035985+0.0004444i,-0.0004238+0.00017944i,-4.4866e-05+0.00016285i
-0.0013382-0.00042789i,-0.001142+4.6883e-05i,-0.00046407+0.00096648i,5.8473e-05+0.0014772i,-6.5445e-05+0.0015021i,0.00032137+0.0015388i,0.00079251+0.0016404i,0.00032536+0.0015423i,-0.00025313+0.0015069i,0.00053529+0.0013175i,0.0010375+0.00066595i,0.00096497+0.00052346i,0.0012038+0.00032737i,0.0008045+5.5691e-05i,-0.00011513-4.1908e-05i,-0.00063276-0.00038299i,-0.00067488-0.00017018i,0.00015318-0.00023704i,0.00077874-2.7079e-05i,0.00064383+0.00011265i,0.00010237+0.00056288i,4.2338e-05+0.0003342i,0.00074944+0.00016274i
-0.00056321+0.0010942i,0.00024781+0.0018397i,0.00029354+0.0020333i,-0.00017879+0.00090312i,0.00012997+0.00070522i,-0.00024683+0.00074949i,-0.00045844+0.00046142i,9.0022e-05+0.0008418i,0.00048686+0.0015063i,0.001248+0.00079538i,0.0022709-4.1626e-05i,0.0018542+0.00064816i,0.00076148+0.00072689i,0.00019335-2.2933e-05i,0.00013876-0.00035994i,-0.00020898-5.3338e-05i,-0.00043668+8.8207e-05i,8.9412e-06-0.00045377i,0.00041259-0.00066711i,0.0006383-0.00051765i,0.00058085-0.00026453i,0.0011112-0.00018947i,0.0011049+0.000169i
0.00032862-0.00056164i,-0.00031761+0.00037673i,-0.00032407+3.1363e-05i,-0.0012246-0.0014403i,-0.0014676-0.0011275i,-0.0008661-0.00037299i,-0.00095636-0.00021262i,-0.00077117+0.00038779i,-0.00044746+0.00063401i,-0.00044906+0.00031252i,5.8196e-05-6.817e-05i,0.00049092-0.00086366i,0.00012451-0.00081583i,4.41e-05+4.5494e-05i,0.00086232+0.00033508i,0.00092313+0.00016876i,0.00076793+0.00056504i,0.00055381+0.0010886i,0.00011217+0.00038977i,5.3838e-05-0.00075713i,0.00048966-0.000915i,0.00045369-0.00025781i,8.1048e-05+0.00021419i
0.001049+0.00036133i,0.0010899+0.00095815i,0.00091166+0.0006025i,0.00050211-6.4481e-05i,9.5159e-05+0.00037808i,-0.00018328+0.00083245i,1.4415e-05+0.00092584i,0.00078529+0.00075695i,0.00060782+0.00034169i,0.00030138-0.00032323i,0.0004889+0.0002619i,-3.2755e-05+0.00052015i,-0.00090638+8.6693e-05i,-0.0012561+0.00026005i,-0.00086758+0.00048169i,-0.00098686+0.00040087i,-0.0010262+0.00041601i,-0.00026141+0.00021209i,-2.8514e-05-0.00030784i,7.9773e-06-0.00058526i,0.00032654-8.7544e-05i,0.00045753-0.00010055i,-0.0004728+8.0593e-06i
-7.2137e-05+0.00041263i,0.00046272-0.00042273i,0.00021197-0.0007546i,0.0001095-0.00041271i,-0.00025151-0.00012254i,-0.00085646+0.00026354i,-0.00063359+0.00035584i,-0.00082845+0.00052323i,-0.0009366+0.001377i,1.9006e-05+0.001362i,0.00045589+0.0011809i,-0.00013352+0.0010761i,-0.00050833+0.00049565i,-0.00015579-0.00039382i,7.3499e-05-0.00057169i,0.00018261+6.3201e-06i,-3.3417e-05+0.00088855i,0.00028093+0.0013327i,0.00036873+0.0013139i,0.00044127+0.00035125i,0.00088186-0.00055105i,0.0010175-0.00018673i,0.00076839+4.7566e-05i
-0.001092-0.00065108i,-0.0010063+0.00051927i,7.3209e-05+0.0012516i,0.00075298+0.0005652i,3.2357e-05+0.00051152i,-6.4974e-05+0.0012583i,0.0020377+0.0027824i,0.005318+0.0035265i,0.0066181+0.0021938i,0.0053702-0.00079616i,0.0038356-0.0026589i,0.0024171-0.0029164i,0.00062054-0.0024765i,-0.00096657-0.0015176i,-0.00092926-0.00033266i,-0.00019756+4.2498e-05i,0.00046392+0.00012553i,-9.579e-05+0.00070582i,-0.00067616+0.00023848i,-0.00020508-0.00038591i,0.00022214-0.00016768i,-0.00021241+9.0592e-05i,-0.00086183-0.00023818i
-0.0011485+0.00042028i,-0.00013319+0.0017724i,0.00062002+0.0027164i,0.00053046+0.0018119i,0.0012882+0.0010987i,0.0012999+0.0010715i,0.00024137+0.00086439i,-0.00025394+0.00095877i,0.00076487+0.0014033i,0.001483+0.00079969i,0.0010942-0.00060894i,0.00055052-0.00079619i,0.00011271-0.00071515i,-4.0692e-05-0.0011158i,-0.00012403-4.7251e-06i,0.00015333+0.00074939i,0.0002524-0.00030407i,0.00076286-0.00066159i,0.0004828+0.00028129i,-0.00027824+0.0005422i,-4.2031e-05-0.00012821i,0.00069628-0.00024999i,0.00040926+0.0003753i
-0.00012739-9.5361e-05i,0.00031144-0.00040589i,0.00025109-0.00058437i,-0.0005917+0.00050369i,-0.00063575+0.0010975i,-8.0679e-05+0.0011676i,0.00028306+0.0009054i,0.00040287+0.00053782i,0.00045069+0.00089515i,0.00074091+0.00082701i,0.001+0.00015559i,0.00060995-0.00060906i,3.3105e-05-0.00088459i,-0.00064022-0.00028979i,-0.0010257-3.0194e-05i,-0.00088802+0.00018834i,-0.0011015+0.000705i,-0.00080413+0.00029382i,-0.0002693-0.0001248i,0.00026423+0.00049263i,2.8231e-05+0.00094166i,-0.00040941+0.00059873i,-0.00012346-0.00029453i
0.001478-0.0002598i,0.0017932-0.0012705i,0.0011163-0.0018355i,-0.00025673-0.0011134i,-0.00095857-0.00037767i,-0.00053219+5.094e-05i,0.00037879+0.0010411i,0.00054138+0.0016442i,0.00095971+0.00099038i,0.0015105+0.0001601i,0.0016224+0.00052499i,0.0011468+0.00056598i,0.00069595+0.00013809i,7.1505e-05+0.0002083i,-0.0007159+0.00036241i,-0.0014104+5.57e-05i,-0.0016625+0.00018103i,-0.00063218-6.4435e-06i,0.00046414-0.00062553i,0.00086005-0.00074159i,0.00094799+2.4992e-06i,-0.00011378+0.00040322i,-0.0011828+0.00026284i
