0.00076075-0.00034503i,0.00073054-0.0012995i,0.00012916-0.002971i,-8.4379e-05-0.0038061i,-0.0007307-0.002238i,-0.00065791+0.00022739i,0.0013081+0.0013258i,0.0025849+0.00077399i,0.0023672+8.0449e-05i,0.0017232-0.001026i,0.0007902-0.0012534i,-0.00074477-0.00061502i,-0.0014446+0.00042447i,-0.00093268+0.0010817i,-0.00083241+0.00051018i,-0.00067324+3.9368e-06i,0.00013638-0.00011145i,0.00086045+4.0158e-05i,0.00038676-0.00017174i,-0.00014168-0.00010492i,-0.00022821+0.00031833i,-0.00052732+0.00027075i,-0.00086791-0.00024776i
0.00083334-0.001403i,0.0011916-0.0020626i,0.0015566-0.0018023i,0.00089278-0.0017246i,0.00039843-0.00049652i,0.00045227+0.00062605i,0.0011101+0.00021204i,0.0009642-6.6146e-05i,0.00026164-0.00045999i,0.00017731-0.00063505i,-0.00045044-0.00086i,-0.00081915-0.00034871i,0.00014779+0.00039595i,0.0001028+0.00022271i,-0.00077627-0.00017966i,-0.00066993+4.9152e-07i,3.0466e-05+0.0002209i,6.1307e-05+0.00038287i,-2.3378e-05+0.00035029i,0.00018121-0.00013037i,0.0001506-0.00074178i,0.00044799-0.00081721i,0.00060084-7.4145e-05i
-0.0014144+0.00071757i,-0.0013928+0.0015908i,-0.00081125+0.0020663i,0.00045737+0.0017377i,0.0012516+0.0012153i,0.0014617+0.00043376i,0.0012693+0.00018139i,0.00037739+3.4675e-05i,0.0002493+3.4475e-05i,2.8211e-05-0.00038859i,-0.00065982-0.0012901i,-0.00088676-0.00079508i,-0.00038043-0.00011954i,0.00063887-0.00010821i,0.00096044+0.00023496i,0.0012263-9.3388e-05i,0.0011115-0.00076389i,0.00035693-0.00033288i,-5.5593e-05-0.00019141i,0.00032571-0.00067089i,0.00087322-0.00082144i,0.00066542-0.00038107i,0.00062582-0.00010606i
-0.000698+0.00033488i,-0.00044525+0.00033831i,0.00076253+0.00094391i,0.0014869+0.00066284i,0.0022599+8.1855e-05i,0.0020025-0.00030079i,0.001231-0.00039833i,0.0010081-8.6481e-05i,0.0009526+0.00049633i,0.0010143+0.00068606i,-0.00032983+0.000244i,-0.0012517+0.00057021i,-0.00092391+0.0010611i,-0.00050304+0.00039453i,-0.00051638+0.00016722i,-0.00086819+0.00055299i,-0.00057696+0.00032979i,-0.00077125-0.00059716i,-0.00047029-0.00081175i,0.00074541-0.00039226i,0.00088214+0.00036319i,-0.00015613+0.00077104i,-0.00088461-0.00014465i
0.00065899-0.00048548i,-0.00023983+9.8673e-06i,-0.00029196-0.00021782i,-5.1188e-05-0.0015883i,-0.00016356-0.0018963i,0.00033812-0.0013162i,0.0014452-0.00089397i,0.0016771-0.00053235i,0.0006811-0.00077938i,-7.5125e-05-0.0013772i,-0.0007282-0.00075512i,-0.0013572+1.2203e-05i,-0.00050173+0.00013352i,0.00057647+0.00059629i,0.00040962+0.00044606i,-0.00032628-0.0006917i,-0.00045065-0.0010089i,0.00073534+0.00012687i,0.0011197+0.00079765i,9.041e-05+0.00078177i,-0.00050155+0.00094463i,-0.0007766+0.0004279i,-0.000226-0.00019503i
-0.00079864-0.0013112i,-0.00057836-0.0023181i,-0.00018595-0.0014878i,4.5329e-05-0.0010233i,-0.0001244-0.00038789i,0.00065279+0.0013351i,0.0014068+0.00090682i,0.0010973-0.00038983i,0.00015647-0.0003696i,-0.00067382-0.00075431i,-8.2406e-05-0.00085582i,0.00017418-0.00036586i,-0.00042745+5.662e-05i,-0.000389+0.00054965i,-0.00032661+0.00032488i,-0.00036157-0.00044006i,0.00049555-0.00086857i,0.00085275-0.00058584i,0.00024658-9.2478e-05i,-0.00050581-6.1402e-05i,-0.0013219+0.00015525i,-0.00059234-0.00013982i,-1.969e-05-0.00019878i
-0.0011789-0.0023663i,-0.00031029-0.0013827i,-0.0004649-0.00010767i,-0.00054362+0.00090551i,0.00071437+0.00097256i,0.0016307+0.00034968i,0.0017392-0.00048579i,0.0010805-0.0010818i,0.00050353-0.00085255i,-2.2219e-05-9.6574e-07i,-0.00034681-9.3937e-05i,0.00056628-0.00015022i,0.0011936+0.00038118i,0.00070512+0.0005384i,0.00040497+0.00062591i,0.00065591+0.00061321i,0.00023131+0.00022093i,-0.00061625+8.3998e-05i,-0.000899+6.8525e-05i,-0.00034613-0.00020653i,-0.00045957-0.00026419i,-0.00083682+6.1934e-05i,-0.00080863+0.0006546i
-0.00066578-0.0011314i,-0.001862-0.00011963i,-0.0015323+0.00088966i,-0.00019745+0.0014292i,-0.00015431+0.0011881i,0.00069026+0.00063609i,0.0015583+3.1929e-05i,0.0014049-0.001111i,0.0010396-0.0012959i,0.0010892-0.00077089i,0.0007014-0.00062942i,-5.0929e-05-0.00031517i,0.00042032+3.5389e-05i,0.00073816-5.5805e-05i,-1.9965e-05+0.00031836i,-0.00028314+0.0003117i,-0.00014606+0.00037472i,0.00015048-0.00015433i,0.00051358-0.00093565i,0.00047195-0.00087269i,0.00075607+0.00012651i,0.00095433+0.00065598i,0.00048069+0.00054416i
-0.0014269-0.0010505i,-0.0011584-0.0016957i,-0.0011775-0.0015554i,-0.0012802-0.00084256i,0.00033197-1.5013e-05i,0.0023911+0.00053594i,0.0027787+0.00015232i,0.0013981-0.000101i,0.00016585+7.0647e-05i,9.7578e-06+3.8255e-05i,-0.00046017-0.00059979i,1.5797e-05-0.00064378i,0.00082445-0.00012621i,0.00072828+3.9429e-05i,0.00021326+0.00039437i,-3.481e-05+0.00047424i,-0.00016369+0.00029084i,-0.00033088+0.00035588i,-0.00045808+0.00082209i,6.5487e-05+0.0012061i,0.00031657+0.0010287i,-0.0001503+0.00039651i,-0.00058708-0.00018781i
0.00094175-6.5084e-05i,0.0010447+0.00042086i,0.0013036+0.00078168i,0.0022338+0.00061429i,0.0023853+8.6571e-05i,0.002072-0.00042447i,0.0020128-0.00036456i,0.0014172-0.00047159i,0.00066871-0.00042469i,-0.0001542-9.2539e-05i,6.7874e-05-0.00020417i,0.00015587-7.3991e-05i,-0.0006355-4.4649e-05i,-0.00060397-9.0174e-05i,7.6299e-05+0.00069742i,6.0646e-05+0.0009766i,-5.0714e-05+0.00050707i,-0.00015412+0.0002362i,-0.00085521+0.00018589i,-0.00088988+0.00014519i,-0.00020472-0.00019065i,0.00042785-0.00027329i,0.00084718-0.00017909i
-0.00078754-0.00065171i,-0.0012742-0.0011824i,-0.0015154-0.0013i,-0.00099415-0.0012599i,0.00090928-0.0006909i,0.0023176-4.1868e-05i,0.0019451-0.00042499i,0.0015036-0.00045937i,0.0012045-0.00067929i,0.0006461-0.00090564i,0.00072439-0.00059954i,0.00085809-0.00028196i,0.001348-0.00021949i,0.00095986-4.8153e-06i,0.0001045+0.0004621i,9.9001e-05+0.00089563i,-0.0006391+0.00053436i,-0.0011172+0.00018389i,-0.00054405+0.00055477i,-9.4204e-05+0.0011974i,0.00032134+0.0011612i,0.00027983+0.00066417i,-2.0045e-05+2.2764e-05i
0.0012266-0.00077907i,0.0018337-0.00092584i,0.0014902-0.0014545i,0.0011036-0.00069282i,0.00075457+0.00033234i,0.0014077+0.00085245i,0.0023135+0.00022894i,0.0020761-0.0002005i,0.001119-0.000115i,6.1801e-05-0.00090255i,5.6548e-05-0.0010537i,-0.00037831-0.00039225i,-0.00077844+0.000405i,-0.00091133+0.00060372i,-0.00074197+0.00028847i,0.00085375+0.00028211i,0.0012774+0.00029972i,0.00070511+0.00013946i,-6.5258e-05-1.0422e-05i,-0.00075615+0.00010474i,-0.00052151+0.0005604i,-0.00060041+0.00037539i,0.00030134+0.00017665i
0.00033115-0.00097078i,-6.6782e-06-0.00068087i,-2.3702e-05-0.0011953i,-0.00064713-0.0013374i,-0.00069877-0.00086761i,0.00018336-6.5817e-05i,0.00083942-0.0004644i,0.00039211-0.00097222i,8.8314e-05-7.4699e-05i,0.00059892+0.00017963i,0.00071538-0.00029485i,0.00090085-0.0005045i,0.0010907+0.00013434i,0.0009599+0.0013723i,0.00074851+0.001726i,0.00055869+0.00073203i,-0.00024662-0.00030239i,-0.000689-0.00028266i,-0.00047918+0.00056841i,-0.00025934+0.00055772i,3.7518e-05-0.00063759i,0.00034785-0.0011303i,0.00047989-0.00034003i
-0.00031293+5.2898e-05i,-0.00016553-0.00042731i,-0.00046085-0.00065203i,-0.00073382-0.00054315i,0.00037258+0.00070473i,0.0017203+0.002093i,0.0018201+0.0015283i,0.00099408-1.3952e-05i,0.00042661-0.00026441i,3.7614e-05-0.00038158i,-0.00022882-0.0005556i,-0.00016601-0.00040267i,-0.00015009-0.00080807i,-0.00022763-0.00031943i,-0.00026409-0.00015225i,-0.00093851-0.00081537i,-0.00047804-0.0010258i,0.00016535-0.00062438i,0.00018574-0.00024814i,0.00018965+0.00023249i,1.1219e-05+0.00052575i,-7.8429e-05+0.00078467i,-0.00035553+0.0011109i
-0.0014414+1.6946e-05i,-0.0012754+0.00019625i,0.00039995-0.001053i,0.00081421-0.0014434i,0.00050484-0.00033384i,0.0011651+0.00027565i,0.0022599+0.00019932i,0.0013652+0.00025364i,-0.00011299+0.00038877i,-0.00013424-0.00034601i,0.00020904-0.00087797i,0.00013956-0.0009936i,8.8e-05-0.00055876i,0.00041544+0.00090289i,0.00018095+0.0010152i,-2.6302e-05-0.00010139i,3.0232e-05-0.00043398i,-0.00015843-0.00044054i,-0.00016636+2.3749e-05i,-0.00021963+0.00081038i,0.00025944+9.2807e-05i,0.00059006-0.0010155i,-5.6037e-06-0.00073001i
0.00011014-0.00078439i,0.00013113-0.00036818i,0.00037435-0.00035535i,0.00039619+0.00034213i,0.00030775+0.00057064i,0.0017354+0.00015828i,0.0030025+0.0003318i,0.0020452+0.00012113i,0.000571-0.00064885i,1.8143e-05-0.00070895i,-0.00048974-0.00080375i,-0.00095151-0.0003778i,-0.0014255+0.00057426i,-0.0017835+0.00057378i,-0.0016242+0.00113i,-0.0011635+0.0008199i,-0.0004292-9.605e-05i,2.4124e-05-0.00077644i,0.00073234-0.00049226i,0.00054143+0.00071508i,0.00022282+0.00054915i,-0.00021686-0.00063288i,-0.00053702-0.0012228i
0.00052387-0.00075134i,0.00020161-5.9529e-05i,7.8233e-05-0.00018253i,0.00015959-0.0011133i,0.00079493-0.00082565i,0.0012865-2.9567e-05i,0.0013698+0.00026088i,0.001365+0.00020116i,0.0010936+7.8389e-05i,0.00045114+0.00024262i,0.00019282+0.00049943i,0.00046491+0.00067684i,0.00049256+0.00070417i,0.00056151+0.00063054i,0.0006627+0.0006809i,0.001177+0.0009858i,0.001011+0.00077583i,0.00015054+0.00029959i,-0.00042481-0.00044944i,-0.00063463-0.00035844i,-0.00011671+9.2365e-05i,-6.5008e-05-0.00031754i,-0.00041586-0.00046775i
-0.0015366+0.00060636i,-0.0010917+0.0015464i,-0.00024931+0.0011006i,0.00026947+0.0006371i,0.0011008-0.00015709i,0.0020745-0.00090208i,0.0018596-0.00039438i,0.00071192-0.00015256i,-7.8987e-05-0.00030438i,-0.00069157-0.0003852i,-0.00080141-0.00024103i,-0.00037352+4.958e-05i,-0.00062068+0.0002776i,-0.0011109+0.00086185i,-0.00075014+0.00046789i,-0.00011269-0.00038571i,-0.00059086+0.00018782i,-0.0015109+0.0010682i,-0.0011108+0.00085822i,-0.00034149+0.00044657i,-0.00058777+0.00029897i,-0.00079005-0.00025797i,-1.5763e-05-0.00053295i
0.0010342+0.001483i,0.00084388-0.00028398i,0.0010575-0.0016119i,0.00090716-0.0019344i,0.00043394-0.0010883i,-2.037e-05-0.0006653i,0.00014145-0.00093108i,-0.00062974-0.00044175i,-0.00067717+0.0001695i,0.00014238+0.00013258i,-0.00011384-0.0004599i,0.00020636-0.00038314i,0.00012201-0.00020922i,-0.00045964-0.0003708i,-0.00064468-8.2782e-05i,-0.00061889+3.88e-05i,-0.00058649+3.4898e-05i,-2.9987e-05+0.00013637i,0.00012355+7.7574e-06i,-0.00037444+5.0759e-05i,6.1115e-06+0.00035781i,0.00012046-0.00049764i,-0.00060064-0.0014453i
0.00061707-0.0020527i,-0.00023923-0.001311i,-0.00070474+8.4666e-05i,-0.00032215+0.00074726i,0.0011726+0.001049i,0.0015551+0.0011089i,0.0014933+0.00030575i,0.00095707-5.0542e-05i,0.00016359+0.00038358i,-0.00030527+0.00065574i,-0.00073458+0.00056437i,-0.0006711+0.00097634i,5.7627e-06+0.0008476i,0.00042108+0.00024923i,-9.6257e-05+0.00030957i,-5.3365e-05-0.00040616i,0.00043387-0.0010659i,-0.0001911-0.00074977i,-0.00047321-0.00016805i,-1.5952e-05+2.7081e-06i,8.191e-05-0.00029826i,0.0001025-0.00073183i,-0.000428-0.00083006i
-0.00049423-0.00031896i,0.00094969-0.0013544i,0.0019754-0.00080776i,0.0010593-0.00070944i,0.0007379-0.00080511i,0.0010776-0.00037064i,0.001688+0.00023647i,0.0014828+0.00034964i,0.00053648-0.00041399i,-6.5792e-05-0.00034655i,-0.00045417+5.3299e-05i,-0.00058111+0.00061691i,-0.00054899+0.00091915i,-0.00047613+0.00038572i,-0.000416-0.00043059i,-0.0008014-5.2709e-05i,-0.00092831+0.00056035i,0.00024063+9.5981e-05i,0.00050055-7.7539e-05i,0.00017425+0.00035394i,0.00060923+0.00056665i,0.00038323-0.000147i,0.00067313-0.00048786i
0.00089752-0.0004704i,0.00044719-0.00074427i,0.00019433-8.9503e-05i,7.4996e-05+0.00078516i,-0.00019727+0.0012615i,0.00058878+0.0017915i,0.0017275+0.0013797i,0.0016197+0.00041468i,0.00079229+1.7057e-05i,0.00031366+0.00031236i,8.3416e-05+0.00025154i,-0.00048195+0.00032447i,-0.00059791+0.00072496i,-0.00051561+0.0003227i,-0.00066313+0.0002064i,1.0706e-05+0.00045309i,0.00059267+0.00058448i,0.00018365+0.00098169i,-2.2749e-05+0.00088635i,-5.0559e-06-6.5764e-06i,0.00030761-0.00042216i,0.00054571-0.0010339i,0.00035311-0.0015547i
-0.00091093-0.0016724i,-0.00016539-0.0015705i,0.00044554-0.0014975i,-0.00036276-0.0015876i,-0.0008143-0.00065542i,0.00012782-0.00033253i,0.00090694-0.00069151i,0.00057755-0.00088146i,0.00037691-0.00021627i,0.00080557-0.00019933i,0.00070585-0.00089878i,0.000358-0.00096888i,-9.8937e-05-0.00051378i,0.00037676+0.00013753i,0.00098291+0.00059445i,0.00045863+0.0010422i,-0.00036738+0.001109i,-0.00091285+0.00064868i,-0.00046928+0.00048959i,-0.00033507+0.00038227i,-0.0011152-0.00031926i,-0.00082658-0.00057205i,0.00037802-0.00097086i
-0.00037444-0.00035674i,-5.646e-05+7.2855e-05i,-0.00015704-0.00044885i,1.5839e-05+0.00034635i,0.00073431+0.0010754i,0.0020324+0.00053883i,0.002519-0.00023691i,0.0018139-0.0010889i,0.0007429-0.00093441i,-0.00025385-0.00044117i,0.00014775-0.00026081i,0.00078927+0.00064484i,0.00029649+0.0012078i,-0.00018532+0.00030621i,-0.00097439-0.0012535i,-0.00084571-0.0014566i,0.00021903-3.1013e-05i,-0.00036909+0.00056637i,-0.0011189+0.00039072i,-0.00011962+0.00070519i,0.00022179+0.00063696i,0.00024804+0.00061166i,0.00070101+0.0012722i
-0.00094812-0.001677i,-0.00247-0.0013187i,-0.0028709-0.0010155i,-0.0018622-0.0011354i,-0.0011463-0.00079209i,-0.00031359+4.0614e-05i,0.00030442+0.00036288i,0.00049165-0.00054467i,0.00026109-0.0011341i,-0.00018883-0.0012595i,-0.00010886-0.00040549i,0.00028692+0.00045906i,0.00050425+0.00084237i,9.6236e-05+0.00097416i,-0.00039275+0.0009032i,-6.1235e-05+0.00063657i,0.00025724-0.00013516i,-9.2255e-05-0.00012504i,-7.5741e-05+0.00047291i,-0.00012076+0.0010748i,7.4304e-05+0.00072458i,-0.0002141+0.0003265i,-0.00070026+4.9244e-05i
-0.00071566-0.0011554i,0.00019552+0.00028111i,-0.0001256+0.0015158i,-0.00072379+0.0017719i,0.00054448+0.0012437i,0.0020686+0.00075476i,0.001985+0.00013317i,0.00091779-0.00044068i,-0.00027337-0.00023219i,-0.00023966+0.0005254i,-0.00017046+1.8237e-05i,-0.00031922-0.00046052i,-1.2698e-05-6.213e-06i,0.00032792+0.00034091i,0.00077626+0.00049865i,0.00073637+0.00055032i,0.00053902+0.00062748i,0.00085732-9.0277e-05i,0.0012698-0.00052312i,0.0011657+2.78e-05i,0.00056342-0.00022989i,-0.00025891+0.0002088i,-0.00072492+0.00085857i
-0.00015604-0.00052647i,-0.0010252-0.00017469i,-0.0012636-6.3596e-05i,-0.0013497+0.00065199i,7.681e-05+0.0012483i,0.0022175+0.0015595i,0.0029912+0.0017559i,0.0018335+0.00063068i,0.00091453-0.00042278i,0.00043356-0.00042126i,-0.00063412-0.00028737i,-0.0016107-0.00079208i,-0.0010845-0.00055658i,0.00010847-2.7363e-05i,0.0005709-0.00016931i,7.1019e-05-9.4407e-05i,-0.00025805+0.00011998i,-0.00033593+9.2115e-05i,-0.00035332+0.00014779i,4.7213e-06+0.00039464i,9.9621e-05+0.00030472i,0.0002613-0.00068735i,0.00077564-0.00082772i
0.0013199-0.0028702i,0.00067206-0.0035593i,-0.0011017-0.0036347i,-0.0016462-0.0029113i,-0.001092-0.0014269i,0.00029614-0.00019348i,0.0016985-0.00022523i,0.0017137-0.0011698i,0.00098622-0.0015814i,0.00077883-0.00085096i,0.00065426-4.7027e-05i,5.3262e-05-0.0005696i,0.00012135-0.00074506i,0.00034613+0.00066988i,-0.00057427+0.001477i,-0.00072925+0.00048744i,-0.00044743-0.00038067i,-0.00054699-0.00084476i,-7.4546e-05-0.00042802i,1.8663e-05+0.00025414i,-0.00039514+6.1076e-05i,-0.00025204-0.00029229i,-0.00035188-0.0004805i
0.00055461+0.0012475i,0.00022305+0.0010148i,-3.6759e-05+0.00087603i,-0.00010232+0.00061477i,0.00023203+4.178e-05i,-0.00028298+3.8091e-05i,-0.0002816+9.6466e-05i,0.000691-0.00040352i,0.00055817-0.00065034i,-0.00042109-0.00012877i,-0.0008829-0.00022779i,-0.0013093-0.00047233i,-0.00085274+0.00027801i,-9.154e-05+0.0010684i,0.00057039+0.00067368i,0.0010455+1.1128e-05i,0.0012207+0.00026872i,0.001238+2.4516e-06i,0.0003113-0.00016125i,-0.00050527+0.0003115i,-0.00053969-0.00060648i,-0.0002478-0.00051786i,9.398e-05+0.00064863i
-0.0032265-0.0018173i,-0.0031041-0.0012505i,-0.001436+0.00012668i,-0.00026568+0.0018017i,0.00060655+0.0024131i,0.0027969+0.0019451i,0.0039771+0.00091644i,0.0023974-0.00022217i,0.00097163-0.00058726i,0.00045521-0.00068842i,0.00049669-0.00064261i,0.000357-0.00053703i,0.00022376-0.00066695i,0.00043552-0.00044218i,0.00076404-0.00058713i,0.0011934-0.00089121i,0.0007034-0.00048269i,0.0003068+5.6131e-05i,0.0003161+4.0408e-05i,2.4111e-05-0.00029673i,-0.0002161-0.00051223i,0.00031348-0.00052737i,0.00079208-8.5719e-05i
-0.0005993+0.00035393i,0.00020674-0.00060946i,0.00062246-0.0012166i,0.00067425-0.00073651i,0.0012593-0.00048094i,0.0020902-0.00042587i,0.0019379-0.00022095i,0.00067993-0.0008411i,0.00014878-0.0014406i,8.7265e-05-0.0020354i,-5.4371e-05-0.0020387i,-0.00041267-0.00072383i,3.1825e-05-2.0367e-05i,0.000926+0.00032351i,0.00044163+0.00045826i,-7.9279e-05+0.00028583i,-0.00023463-4.5254e-05i,-0.00078249-0.00024217i,-0.00053653+6.2434e-05i,-0.00045274+0.00010704i,-0.00046394+0.00033962i,-0.00059198+0.00033106i,-0.00039625-0.0004789i
1.8851e-06+0.00057837i,0.00039364+0.0012313i,0.00063252+0.0016691i,0.0012579+0.0010992i,0.0024783-0.0001734i,0.0031606-0.00078411i,0.002633-0.00052151i,0.0010848-0.00063463i,0.00038916-0.00061291i,0.0007999-0.00083458i,0.00021022-0.0013594i,-0.00049055-0.00099531i,-0.00055127-0.00016301i,-0.00026479+0.00042799i,0.00067952+0.0002749i,0.00043095+0.00038675i,0.00045869+0.00066727i,0.00067566+5.087e-05i,0.00013696-0.00063881i,-0.00020397-0.00022381i,0.00014465+0.00036026i,0.00092536-0.00038402i,0.00040516-0.0007757i
0.00017234-0.0021454i,-5.6462e-05-0.0023951i,-0.00017898-0.0011656i,-0.0004383-0.00054315i,0.00061431-0.00064297i,0.0012344+0.00014499i,0.0014828+0.0008041i,0.0011108+0.00034064i,0.00078918-0.00041657i,1.0542e-05+0.00014767i,-0.00045305+0.00081303i,4.2495e-05+0.00064742i,0.00056975+0.00050938i,0.00049704+0.00028708i,-0.000412-0.00027405i,-0.00069621-0.00023511i,-0.00075298+0.0002248i,-0.00074541+3.6479e-05i,-0.00063602-0.00018382i,-9.145e-05+0.00016152i,0.00044723+0.00070731i,0.0004759+0.00071062i,0.00034919+0.0003647i
-0.0010108-0.0020996i,-0.0020489-0.00075639i,-0.0016159-0.00058215i,-0.00013678-6.8006e-05i,0.00099039+0.00058009i,0.0026079+0.00043978i,0.0035286+9.1409e-05i,0.0018651-0.00055622i,0.00030813-0.00087271i,-0.00024887-0.00061676i,-0.00041285-0.00036103i,-9.198e-05-0.00015478i,-8.76e-05+0.00043105i,0.00084187+0.00037362i,0.00081212-2.6748e-05i,-0.00067318-0.00011146i,-0.0013373+2.5768e-05i,-0.0010235-0.00022023i,0.00011233-0.00043211i,0.00032958-0.00019741i,-0.00019495-0.00016092i,-3.4901e-05-0.00013017i,6.933e-05+8.7876e-06i
-0.00093504+0.00028643i,5.5963e-05+0.0011618i,0.00065069+0.0019803i,0.00044198+0.0015577i,0.00054247+0.0010757i,0.0013998+0.00035927i,0.0017002-6.7839e-05i,0.00083616-0.00030566i,0.00055852-0.00073697i,0.0010231-0.00075841i,0.00017016-0.00032334i,-0.00081191-6.9676e-05i,-0.00059532-0.00034333i,-0.0001208-0.00097609i,0.00016468-0.00022225i,0.00038689-0.00010419i,0.00088847-0.00042465i,0.00042606-0.0001339i,9.1121e-05+0.00027394i,-6.5029e-05+0.00023137i,-0.00092976-0.00040654i,-0.0010586-0.00068888i,-0.00035751-0.00014852i
0.00037851-0.002691i,-0.00069276-0.0029798i,-0.0010977-0.0022635i,-0.00072738-0.00037718i,-0.00011575+0.0013789i,0.0014499+0.0016592i,0.0027528+0.00033991i,0.0028889-0.00052686i,0.0020185-0.00059266i,0.00049281-0.00038539i,-0.000293+0.0002411i,-0.00075125+0.00083409i,-0.00089181+0.0015931i,-0.00051061+0.0014601i,-0.00037555+8.1035e-05i,-7.5987e-05-0.00072162i,0.00029849-0.00067528i,0.00063427-0.00024722i,0.00036699+0.00032033i,0.00014836+0.00012i,0.00042386-0.00013548i,0.00076198+9.3936e-05i,0.00051076+0.00043678i
-0.0013372+0.0011337i,-0.0020215+0.002428i,-0.0019425+0.0034175i,-0.00030778+0.0021848i,0.0015038+0.00079497i,0.00241-0.00015003i,0.0027363+0.00012898i,0.0018989+8.5416e-05i,0.0010694-0.00092805i,0.00074595-0.0010916i,2.7689e-05-0.00062691i,-0.00056168+7.3321e-06i,-0.00081814+0.00010897i,-0.00019058-0.00024693i,0.00048241-0.00016948i,-0.00040053+2.8897e-05i,-0.00071927-0.00038244i,5.1207e-05-0.000395i,0.00028768+0.00027082i,0.0003893+0.00041236i,7.419e-05+0.00076368i,-0.00054422+0.00080547i,0.00016093+0.00057184i
0.0025409+0.0015832i,0.0029631+0.0001665i,0.0037868-0.0011722i,0.0032447-0.0023459i,0.0011232-0.0031058i,0.00013856-0.0026893i,0.00018748-0.0012641i,-0.00012384+0.0002096i,0.00047535+0.00015478i,0.0012403-0.00029589i,0.00056213-0.00022335i,-0.00026045+0.00025348i,-0.00074751+0.00044232i,-0.0009893+0.00011729i,-0.0013523-1.4743e-06i,-0.001054+0.00041424i,-0.0007099+0.00066352i,-0.00058148+0.00015103i,-0.00052876-0.00013154i,-0.00057587+5.9637e-05i,0.00081242+9.5981e-07i,0.0018362+1.2461e-05i,0.0013423+9.6376e-05i
0.00089388+0.00090317i,0.00093641+0.00023537i,0.0011829-0.0008433i,0.00085815-0.0019761i,0.00035341-0.001907i,0.00088409-0.00014892i,0.0010333+0.00099868i,0.0010561+0.00045777i,0.00088274-0.00036951i,0.00024704-0.0006277i,-0.00039156-0.0010456i,-0.00049806-0.00052562i,-0.00043791+0.00083675i,-0.0010916+0.00087879i,-0.0011452+0.00036053i,-0.00056648+0.00026862i,0.00050342+0.00056889i,0.0010177+0.0010148i,0.0011235+5.3992e-05i,0.00093383-0.00030991i,0.00024606+0.00059448i,-0.0001011+0.00043251i,0.00027178+0.00049641i
-0.0011214-0.0022896i,-0.0012943-0.0013177i,-0.00077896+9.2574e-05i,0.00084843+0.00060711i,0.0020131+9.0269e-05i,0.0018376-2.1392e-05i,0.0015386+0.00029021i,0.0010968+0.00024952i,0.00060167+0.00086668i,0.00036864+0.00049435i,0.00025428-0.00059519i,-9.4459e-05-0.00090147i,0.00019937-0.00057585i,0.00045506+0.00018965i,8.1403e-06+0.00063906i,-0.00040519+0.00085573i,0.0001996+0.00068484i,0.00081208+0.00075581i,0.0009125+0.00058568i,0.00048233+0.00051609i,0.00033716+0.00099267i,0.00023374+0.000404i,0.0003284-0.00055561i
1.1984e-05+0.0010079i,-0.0004389+0.00016294i,-0.00036226+5.0773e-05i,-0.00020713-0.00016768i,-0.00061403-0.0003198i,-0.0002785+0.00054435i,0.00086768+0.00091687i,0.0012727+0.00096082i,0.00087693+0.00096459i,0.00032956-9.1384e-05i,-0.00011124-0.00043759i,-0.00036755+0.00024462i,-0.00094142-0.00011464i,-0.00073294-0.00021575i,-5.8457e-05+0.0008459i,0.00044133+0.00027536i,0.00059859-0.00049986i,0.00017031+0.0003654i,-2.1295e-05+0.00053002i,0.00073279+0.00040371i,0.0010781+0.00058812i,0.0010262+0.00066796i,0.0011081+0.00020758i
0.00059487-0.0012751i,-0.00014679-0.00082723i,-0.00083342-0.00072643i,-0.00076536-0.0011654i,0.00025551-0.00020985i,0.001569+0.00024527i,0.0019871+7.2966e-05i,0.0013033+0.00017805i,0.00040058-0.00026453i,-0.0003317-0.00077117i,-0.0012963-0.00077312i,-0.0010783-0.00032377i,-0.00039491+4.7624e-05i,-2.728e-05-9.6959e-06i,0.000344-0.00015571i,-0.00010582-0.00023342i,-0.00052049+0.00017352i,-0.00071442+0.0003321i,-0.00034547+0.00048049i,4.2674e-05+0.00085599i,0.00025526+0.00079997i,0.00080028+0.00086107i,0.00045483+0.00013982i
0.0019889+0.0012089i,0.0021914-0.00078799i,0.0019335-0.00016331i,0.0014783+0.00099756i,0.0018162+0.00021153i,0.0017867-0.00037392i,0.0014128-0.000303i,0.00076653+0.00046119i,0.00067072+0.0002915i,0.00079913-0.00073062i,0.00025956-0.0011836i,-0.00038318-0.00087819i,-0.0013139-0.00011469i,-0.0015818-9.7839e-05i,-0.00060709-0.0004777i,1.0432e-05-0.00019122i,-0.0003653-0.00030005i,-0.0010541-3.9859e-05i,-6.6007e-05+0.0012652i,0.00090514+0.0013833i,0.0003794+0.00053714i,-5.4054e-05+0.00033849i,-0.00015899-0.00010748i
-0.0013577+0.0022138i,-0.0010694+0.0018428i,-0.0007257+0.000434i,0.00071955-0.00094998i,0.0019537-0.00059091i,0.0020577-0.0002283i,0.0017683-0.0011368i,0.00090711-0.0015157i,4.5752e-05-0.00099744i,-0.00015747-0.00013647i,0.00015-7.2654e-05i,0.0006113-0.00016059i,0.00036723+7.7964e-05i,2.7697e-05-0.00036676i,-0.00012076-0.00060128i,0.00010656-4.1748e-05i,-0.00026242+0.00061956i,-0.00095027+0.00083206i,-0.0011047+0.00084171i,-0.00077176+0.00056181i,-9.0724e-05-8.2535e-05i,0.00025156-0.00046985i,0.0002346-7.0021e-05i
