-0.0031565-0.00042812i,-0.0023025+0.00042211i,-0.0030716+0.0022024i,-0.0028265+0.0033839i,-0.0012087+0.0030474i,0.00022613+0.0022389i,0.0011237+0.0026974i,0.00066504+0.0031704i,-0.00049533+0.0022784i,-6.7803e-05+0.0018727i,0.00043996+0.0015165i,0.00066366+0.00086819i,0.0010402+0.0007112i,0.001067+0.00027038i,0.00062568-0.00010915i,0.00024394-0.00038517i,4.641e-06-0.0014878i,0.00031859-0.0015226i,0.00055239+0.00022925i,4.5251e-05+0.00056551i,-0.000697-0.00025858i,-0.00066278-0.00067657i,0.00037152-0.00031607i
0.0011219+0.0010781i,0.0004833+0.0015281i,0.00040221+0.00075226i,3.5324e-05-0.00010171i,-0.00039097-4.2692e-06i,1.1983e-05+0.0004812i,0.00013523+0.0011244i,0.00035319+0.00084257i,0.00068786+0.00061235i,0.00028435+0.00070296i,0.00021316+0.00020939i,0.00046697+0.00024327i,0.00051391+8.2677e-05i,0.00034579-5.8119e-05i,0.00040605-9.4036e-05i,0.00053883-0.00039842i,0.00051645-0.00010881i,-0.00016293+0.00044594i,-0.00014027+0.0003133i,0.00036357-0.00020691i,-0.00028332-0.00047132i,-0.00077631-0.00062288i,-0.00017328-0.00039971i
-0.00014977+0.00052037i,-0.00038908+0.00022129i,0.00043422+0.0014262i,0.00082166+0.0023283i,0.00049537+0.0016018i,0.00059302+0.00093775i,0.00080653+0.0013278i,0.0011545+0.0010146i,0.0010399+0.00023675i,0.00045311+0.00055883i,0.00014483+0.00068421i,0.00062188+6.9837e-05i,0.0010543-0.00016273i,2.3592e-05-0.00023877i,-0.00021822-0.00029098i,7.6566e-05-6.5942e-05i,-0.0009753-0.00033854i,-0.0012899-0.00019365i,-0.00086572+0.00055857i,-0.00024427+0.00082856i,0.00016914+0.00048004i,0.00029088+0.00028945i,0.00071457-1.5668e-05i
0.00043316+0.00099303i,-0.00025427+0.0016784i,-0.0012452+0.0016735i,-0.00076931+0.0015776i,0.00020752+0.001653i,0.0003231+0.0014403i,0.00065624+0.0013177i,0.0009604+0.00109i,0.00036112+0.00042567i,3.8021e-05+0.00019426i,2.2454e-05+0.00092464i,0.00027183+0.0012288i,0.00073812+0.00040504i,0.00054211-0.00051947i,0.00061637-0.00022501i,0.00026467+0.00062194i,-0.00013239-0.0001055i,0.00027718-0.00056744i,0.00051463+0.00070283i,0.0005651+0.0013498i,0.00025657+0.001239i,-0.00092204+0.00077633i,-0.00080397+0.00047526i
8.3172e-05+0.00063138i,0.00010702-0.00036389i,0.00085226-0.00042934i,0.0010951+0.00016008i,0.0011433+0.00020369i,0.0014627+0.0010503i,0.0015756+0.0017273i,0.0017664+0.00099301i,0.0008127+0.00070782i,-0.00057417+0.0010201i,-0.00034892+0.00076229i,0.00020824+0.00041428i,-0.00014509+0.00023837i,-0.00088991+0.00050181i,-0.00086121+0.0007363i,-0.00043978+0.00080503i,3.1249e-05+0.00029597i,0.00047969-0.00039817i,0.00014152-0.00052478i,-5.674e-05-0.00047758i,0.00023938-8.944e-05i,0.00033324+0.00048118i,0.00032624+0.00017146i
0.00077023+0.00070035i,0.001767+3.8047e-05i,0.0021335+0.00015794i,0.0011976+0.00069952i,-0.00027667+0.00033635i,-0.00065628+0.0008672i,-0.00063366+0.0021471i,-0.0002501+0.0019707i,-1.9945e-05+0.00087062i,-0.00044833+0.00028968i,-0.0007688+0.00015855i,-0.00037517+0.00019645i,0.00094505-0.00040623i,0.0015856-0.0010641i,0.0013458-0.0010032i,0.00053342-0.00031127i,-9.5225e-05+9.7297e-05i,0.00040692+0.00023971i,0.00069869+0.00043799i,0.00038374+8.0959e-05i,0.0005736+7.3633e-05i,0.00028008+0.00027714i,-0.00042855-0.00037994i
-0.00093908+0.0013233i,-0.00089146+0.0011512i,-0.0010665+0.0021615i,-0.00061744+0.0027032i,6.1138e-05+0.0016045i,0.00016049+0.0011217i,0.00091007+0.0017944i,0.00051724+0.0017338i,-0.00090704+0.00087622i,-0.0014447+0.0011923i,-0.0010068+0.00098662i,-0.00073137-0.00013463i,-0.00050101-0.00023115i,0.00078121+0.00054576i,0.0014938+0.00047378i,0.00095937+8.7021e-05i,0.0007907-4.276e-05i,0.00088093+9.9345e-05i,0.00045637+0.00032414i,0.00022999+0.00024812i,0.00051882-1.8906e-05i,0.00021022+7.0049e-05i,-9.7e-05+0.00012715i
-0.0014998+0.00098868i,-0.0013137+0.00079039i,-0.00037901+0.00061158i,-0.00011475+0.0009879i,-0.00045347+0.00058542i,-0.0001956+0.00010005i,0.00041443+0.00016603i,0.00058025-0.00015446i,-0.00026264+8.4393e-05i,-0.000841+0.0008829i,-0.00053823+0.00062202i,-0.00037588+0.00065192i,-0.0006367+0.0011949i,-0.00028879+0.000693i,0.00044945-2.2594e-05i,-0.00010646+0.00019379i,-0.00071367+0.00036201i,-9.4185e-05+0.00050815i,0.00033679+0.00015405i,0.00033892-0.0005767i,0.00039489-0.0004169i,0.0004985-0.00034212i,0.00045586+0.00054554i
0.0017472-0.00072723i,0.0010839-0.0011606i,0.00025941-0.00039294i,-0.0005161+0.00043807i,-0.00071094+0.00092752i,-0.00051078+0.0019573i,0.0001816+0.0015756i,0.0012477+0.00058563i,0.00057856+0.00022329i,-0.00044472+0.00065559i,-0.00058502+0.00029095i,-0.0009266+9.176e-05i,-0.0012979+0.00070793i,-0.00079183+0.00051897i,-0.00082724-4.4328e-06i,-0.0012915+0.0002847i,-0.00082672+0.00015895i,-0.00035638+0.00015754i,0.00012048-0.00021102i,0.00053416-0.00059338i,0.00088287-0.00038547i,0.00096994-0.00021119i,0.00075494+3.4294e-05i
8.224e-05+0.00013622i,-0.00076497-0.00012491i,-0.00031265-0.0012051i,0.00011985-0.0014783i,0.00026059+0.00024264i,-0.000147+0.0021765i,-0.00037465+0.0024178i,-5.7122e-05+0.0012389i,0.00016157+0.00048554i,0.00014141+0.00068195i,0.00028094+0.00087408i,0.00059768+0.00070575i,0.00042045-0.00049352i,0.00031316-0.00066486i,0.00024866+0.0001035i,-0.00062813-7.6366e-06i,-0.0012262-0.00017917i,-0.00096683-5.1178e-05i,-0.00010174+0.00023169i,8.4533e-05+0.0010352i,-0.00021796+0.0016268i,-0.00037441+0.0020597i,-0.00073358+0.0016982i
-0.0010566-0.00080299i,-0.00023715-0.0002661i,-0.00072241+9.1713e-05i,-0.0011163+0.0012687i,-0.00082594+0.0021675i,0.0013132+0.0020656i,0.0022045+0.0019655i,0.0017218+0.0014603i,0.00082413+0.00063371i,-7.3002e-05+0.00058152i,-0.00032676+0.00084701i,-0.00065907+0.0006466i,-0.00068055+0.00048574i,2.4008e-05+0.00090284i,0.00018894+0.00021134i,-2.6381e-05+0.00015861i,0.00028398+0.00095512i,0.00068229+0.00088218i,0.0012072+0.00064442i,0.00079721+0.00098058i,-0.00056012+0.00085146i,-0.00027428+0.00043239i,0.00012547+0.0003588i
-0.00034577-0.0011116i,-0.0012922-0.00058084i,-0.0016776-0.00047291i,-0.0021614+0.0010451i,-0.0022744+0.00217i,-0.00040029+0.0021833i,0.0008572+0.0017054i,0.0005998+0.00060132i,0.0001322+0.00029413i,-0.00045414+0.00086681i,-0.00073721+0.0014702i,-0.0007301+0.00066334i,-0.00084555-6.442e-05i,-0.00085687+0.0001338i,-0.00038142-0.00031561i,-0.00016921-0.00046892i,-0.0003908-0.00012658i,-0.00031256-9.7374e-05i,0.00021775-0.00019875i,0.00034314-9.4742e-05i,-1.831e-06-0.00080206i,0.0004723-0.00090721i,0.00070519-0.00011581i
0.00076608-7.5055e-05i,0.00025042-0.00029078i,-6.6639e-05+5.693e-05i,-0.00011239+0.0011423i,-0.00043484+0.0016827i,-0.00067234+0.0012571i,-0.00062673+0.0006655i,-0.00097915+0.00032263i,-0.0012064+0.00026618i,-0.0015278+0.00056349i,-0.0016349+0.00022156i,-0.001044+0.00034409i,-0.00040021+0.00052285i,-0.00043505-0.00012945i,-0.00060748-0.0004283i,-0.00071689-0.00015244i,-0.00053231+0.00045617i,-0.0003646+0.00069486i,4.2285e-05+0.00017547i,0.00078343-0.00042507i,0.0010123-0.0002564i,0.0009625-0.00019184i,0.00040367-0.00074986i
0.0019876-0.0022835i,0.0010677-0.0023874i,0.0004365-0.0025153i,0.00044701-0.0013986i,-2.8776e-05-0.0001202i,0.00040259+0.00090185i,0.00059107+0.0011001i,0.0002709+0.0011237i,-0.0002769+0.0015844i,-0.0015141+0.0011606i,-0.0017312+0.00073965i,-0.0011968+0.00061966i,-0.0010145-9.4066e-06i,-0.0013569-0.00023721i,-0.0011614-0.00014341i,-0.00030166-0.00059905i,0.00031929-0.00024784i,-0.0003323+0.00086263i,-0.00082082+0.00090358i,0.00022432+0.0009652i,0.00094412+0.00067999i,0.0010904+0.00010694i,0.00078409+0.00055463i
-0.0010604-0.0008088i,-0.0011878-0.001327i,-0.0009099-0.0011787i,-0.00070685-0.00069105i,-0.00040105+0.0010987i,0.0003478+0.001713i,0.00094333+0.00098709i,0.00037392+0.0010845i,-0.0010418+0.0013529i,-0.0014035+0.0010244i,-0.0011943+0.00053299i,-0.00071862+0.00080926i,-0.00047794+0.0011068i,-0.00046025+0.00068208i,-0.00021929-0.00025662i,-0.00029738-0.00046279i,-0.00067003-0.00067352i,-0.00099408-3.1691e-05i,-0.00049301+0.00098071i,0.00080642+0.00046695i,0.00075535-0.00058584i,-0.00020026-0.00047375i,-0.00025726-0.00018181i
-0.0014072-0.002476i,-0.0018362-0.0015797i,-0.0010295-0.0012596i,-0.0010725+0.00037504i,-0.0010731+0.0027379i,-7.5052e-05+0.0031487i,0.00051409+0.0021252i,0.00065232+0.001168i,9.1741e-05+0.00068693i,-0.00072687+0.00040408i,-0.0010493+0.00083087i,-0.00073422+0.0012934i,-0.00049325+0.00081703i,-0.00040598+0.00093646i,-0.00018203+0.0010446i,0.00025548+0.00074832i,0.00065125+0.00052147i,1.4068e-05+0.00023045i,-0.00038148+0.0001554i,-0.00015643+9.3803e-05i,0.00027795-0.00010071i,0.00037227+3.6359e-05i,0.00067706-0.00029261i
0.00032059+0.00099982i,0.00016917+0.0015569i,6.7134e-05+0.0024134i,0.00027981+0.0030361i,0.00037719+0.0028448i,0.00054955+0.0013577i,0.00050696+0.00033064i,9.9694e-05+0.00069438i,0.00010099+0.0013557i,0.00025513+0.001216i,-0.00057397+0.00049442i,-0.00091972+0.00011315i,-0.00040252-7.2451e-06i,-0.00014072-0.00022193i,0.00013154-0.00013646i,0.00020884-0.00017373i,0.00016136-0.00049692i,0.00031848+0.00031475i,0.00028683+0.00037581i,2.3518e-05-5.4072e-06i,-0.00086432+0.00091759i,-0.0010644+0.00049921i,0.00029603-0.00055762i
-0.0015145-0.00065958i,-0.0023826-0.00080859i,-0.0030333-0.00061343i,-0.0021421+5.6684e-05i,-0.00073324+0.001478i,0.00019431+0.0028506i,0.00057798+0.0025435i,0.00091645+0.0010094i,0.00032525+0.00055506i,-0.00029031+0.00020669i,-0.00054644-0.00013692i,-0.00075575+0.00066546i,-0.00062205+0.00089538i,-0.00055857+0.00057374i,-0.00062329-0.000222i,-0.00043337-0.00037318i,-0.00039287-0.00032499i,4.1621e-05+4.187e-05i,0.00026633+0.0012472i,-7.3672e-05+0.001843i,0.00012881+0.00056956i,0.00063682-0.00023751i,0.00068645+0.00053451i
0.0010235-0.0005353i,0.00042463-0.0017397i,-0.00022398-0.0012511i,-0.0012344+0.00030533i,-0.0016861+0.00096724i,-0.0011861+0.0016394i,0.00051253+0.0014822i,0.00083647+0.00091875i,-0.00070123+9.2725e-05i,-0.0012888-0.0004902i,-0.0001232-0.00077138i,0.00041029+0.00010256i,-9.6196e-05+0.00046856i,-0.00020448+0.00019639i,-0.00045214+0.00046314i,-0.00032903+0.00071974i,-3.02e-05+0.00090863i,-0.00039104+0.00034347i,-0.00077574-0.00024596i,-3.0728e-05-0.00021231i,0.00064671-0.00013906i,5.6028e-05+0.00052917i,-0.00022259+0.0010224i
-0.00072143-0.0014253i,-0.00083022-0.00040929i,-0.00038602+4.7287e-05i,0.0002424+0.00073847i,-0.00014688+0.0017059i,-0.00058656+0.001855i,0.00030724+0.0017396i,0.00034461+0.00099182i,-0.00085767-0.00015055i,-0.00091337-0.00016825i,-0.00024923+0.0008038i,-0.00087574+0.0013354i,-0.00085994+0.0010904i,4.8e-05+0.00031907i,-0.00015872-0.00046932i,-3.964e-05-0.00020668i,0.00043393+0.00017373i,0.00021137-2.0197e-05i,-0.00018297+0.00029451i,-0.00077841+0.00045713i,-0.0009826-0.00020577i,-0.00037563-0.00043092i,0.00013024-2.8747e-05i
0.00041589+0.00058155i,-0.00046476+0.00012143i,-0.00063184+0.00041609i,0.00036187+0.0007456i,0.00034464+0.00060388i,-0.00064809+0.00010601i,-0.00063818+0.00037258i,-0.00040568+0.00093142i,-0.00095768-0.0001666i,-0.00084827-0.00099307i,-0.00014625-0.00057618i,-0.00083842-0.00032112i,-0.00045059-0.00010119i,7.2561e-05-0.00059093i,0.00015629-0.0015526i,0.00060369-0.00065806i,-0.00018672+0.0007068i,-0.0012186+0.00097077i,-0.00063411+0.00057411i,0.00058447-2.3618e-05i,0.00060618-0.00022089i,-0.00012015+0.00033248i,-3.2239e-06+0.00017002i
-0.0002435-0.00061867i,-0.00098542+6.7996e-05i,-0.0019476+0.00053665i,-0.0018749+0.00068748i,-0.00061603+0.0014277i,-8.1519e-05+0.0016294i,0.00024122+0.0011443i,0.00082203+0.00088639i,0.00027627+0.00035836i,-0.00013057-0.00026617i,-5.2474e-05+4.9633e-05i,-0.00039757+0.00042465i,-0.00027611+0.00048454i,-0.00032305+0.00074207i,-0.0008644+0.00027192i,-0.0015798+1.7158e-05i,-0.0008528+0.00049429i,7.3163e-05+0.00065921i,0.00064994+0.00023928i,0.00036856-3.8208e-05i,-7.0233e-05-0.00049883i,0.00022732-0.0010586i,0.00011564-0.00075431i
0.00031949+0.0018736i,3.0868e-05+0.0017187i,0.00050613+0.0017162i,0.0014052+0.0014885i,0.0011489+0.0012867i,0.00039867+0.0013015i,0.0005844+0.0013714i,0.00067996+0.0014056i,-0.00041595+0.0014861i,-0.00067603+0.001254i,0.00019587+0.00063311i,0.0003788+2.6494e-05i,0.00013389-0.00017511i,-6.1237e-05+9.6391e-05i,-0.0002618+0.00052064i,-0.00048363+0.00083741i,-0.00036901+0.00083622i,-0.00029418+0.00055832i,-0.00017058+0.00045487i,0.00014849+0.00071933i,0.00036537+0.00083981i,0.00033052+0.00037769i,0.00021279-4.1548e-05i
-0.00024084-0.0017645i,-0.00013409-0.0015566i,-0.0011627-0.00090927i,-0.0020679+9.9919e-05i,-0.0020774+0.00084728i,-0.0011828+0.00077542i,-0.0007147+0.00093463i,4.6319e-05+0.0011323i,0.00028638+0.00068098i,-0.00033984+0.00099558i,-0.0001994+0.00171i,-0.00028044+0.0015902i,-0.00073246+0.0011511i,-0.00057619+0.0007816i,-0.00023579+0.00047877i,0.00015022-4.175e-05i,6.6759e-05+0.00019688i,-2.3983e-05+0.0001957i,0.00012522-0.00065441i,-0.00028727-0.00047639i,-0.00021162-7.5772e-05i,-0.00010111-5.0622e-05i,-5.0128e-05-0.00016524i
-0.00051977-0.00015446i,2.8769e-05-7.1586e-05i,-0.00058915-0.00014949i,-0.0012089+0.0013347i,-0.00064782+0.0028488i,-0.00025079+0.0033295i,0.0001453+0.0034149i,0.00099371+0.0020463i,0.00077689+0.00047917i,-0.00090298-0.00020979i,-0.001913+1.8313e-05i,-0.0015396-0.00013584i,-0.0007391-0.00030776i,-0.00015944+0.00037995i,-0.00017728+0.00041585i,-0.00045829-0.00029796i,-0.00019268-0.00033442i,0.00028818-3.41e-05i,0.00061223+1.7633e-05i,8.0144e-05+0.00046898i,-0.0011052+0.0010153i,-0.0013241+0.00012662i,-0.00050023-0.00073582i
-7.4575e-05+0.00029418i,-0.00063698+0.00076151i,-3.5133e-05+0.0012787i,0.00052211+0.0013083i,-0.00022372+0.0012791i,-0.00015495+0.0015365i,0.00081015+0.0017781i,0.00087916+0.0016851i,0.00078612+0.00061916i,0.0006608+0.00016482i,0.00020502+0.00060214i,3.0016e-05+0.0002923i,0.00038379-0.00077379i,0.00012705-0.001358i,-0.0011015-0.0012306i,-0.00066319-0.00066724i,0.00026008+0.00027652i,0.00027362+0.00068564i,0.00061402+0.00076571i,0.00061423+0.00083499i,0.00072688+0.00059271i,0.0010793+0.00063214i,0.00074676+0.000902i
-0.0021663+0.00080462i,-0.0014183+0.001401i,-0.00079815+0.0025048i,0.00019578+0.0027243i,0.00073316+0.0021514i,0.00012201+0.0017782i,-0.00038206+0.0011042i,-4.3022e-06+0.0009069i,8.2688e-05+0.00040292i,-0.0002443-0.00041482i,-0.00051938+8.8855e-06i,-0.0008658+0.00063576i,-0.0014682+0.0001312i,-0.0006819-0.00027927i,0.00048039-0.00020437i,0.0001037+3.725e-05i,8.2335e-05+0.00023674i,-0.00014799+0.00053679i,-0.00057596+0.00055502i,-3.5059e-05+0.00036446i,0.00035248+0.00052074i,0.00049554+0.00094448i,0.00083233+0.00052408i
-0.00051114-0.00013017i,-2.934e-05+0.00093139i,6.227e-05+0.0020472i,0.0003971+0.0028773i,0.00087449+0.0030231i,0.0009493+0.0028102i,0.00011896+0.0026603i,-0.00057747+0.0020045i,-0.00084949+0.00113i,-0.00074656+0.00052674i,-0.00083265-2.483e-05i,-0.00045719-5.1153e-05i,-5.3149e-05+0.0001171i,-0.00043357+0.00016856i,-0.00062587+2.1486e-05i,-0.00044697-0.00039945i,-0.00043209-0.000177i,-0.00042185+0.00042237i,-0.00054655+0.00018772i,-0.00068248-0.00023958i,-0.00060554-1.7469e-05i,0.00019556+0.00022682i,0.00080788-8.8392e-05i
4.3967e-05+0.00084344i,0.00029378+0.00099374i,0.00014689+0.00049668i,-0.00017334+0.0017743i,-0.00087398+0.0017392i,-0.00085923+0.001064i,-0.0004946+0.00096005i,0.00019166+0.00046822i,0.00012624+0.00015852i,-0.0005189+0.00018723i,-0.00046797+0.00021336i,-0.00066003+0.00020353i,-0.00076815-3.7341e-05i,-0.0004688-0.00041014i,-0.00015944+0.00022034i,-7.3314e-06+0.00059557i,-8.157e-05+0.00082094i,-3.9161e-05+0.0015796i,0.00015951+0.001296i,-1.7233e-05+4.0302e-05i,-0.0002665-0.00049529i,-0.00042546-0.0001235i,-0.00015499+0.0003586i
-0.00038693-0.00085258i,-0.0011-0.00069603i,-0.0011789-0.00046324i,-0.00050031+8.8048e-05i,-0.00034617+0.00088263i,-0.00034534+0.0014143i,-0.00031098+0.0013645i,-0.00022273+0.0010859i,-0.00092952+0.00075467i,-0.0018055+0.0004878i,-0.0019442+0.0001689i,-0.0016749+0.00036372i,-0.00076734+0.00058258i,-0.00025761+0.00044753i,-8.5343e-05+0.00016987i,5.217e-05-0.0010153i,0.00036856-0.00086683i,0.0003198+0.00083776i,-0.00030336+0.001002i,-0.0003701+0.00084042i,-0.00048002+0.001035i,-0.00077328-0.00012499i,-0.00060531-0.0010492i
-5.6571e-05-0.00048485i,0.0010782+0.00048601i,0.00078424+0.0012663i,-0.00046836+0.0018158i,-0.0010216+0.0015777i,-0.0005104+0.0016271i,0.00032111+0.0028344i,0.00082251+0.002007i,-1.7293e-05+0.00092204i,-0.00085109+0.00076788i,-0.0010573+0.00046878i,-0.001023-0.00019687i,-0.00033047-0.00040194i,0.00014878+7.6394e-05i,-0.00041832+0.00037313i,-0.0010795-7.7614e-05i,-0.00067061-0.00057682i,-9.6274e-05-0.00052751i,0.00017622-0.00060801i,-0.00056116-0.00020847i,-0.0011185+0.00039168i,-0.00019246+0.00084642i,0.00035537+0.00078448i
0.00074152-0.00025607i,0.00079717-0.0001791i,0.00026453+0.00035238i,-0.0002348+0.0008011i,-0.00090354+0.001375i,-0.00023058+0.0022511i,0.0005397+0.0023441i,0.00069192+0.0016111i,-0.00032322+0.0012747i,-0.00074616+0.0013902i,0.00010044+0.0009546i,0.00051349+0.00017914i,-0.00024925+0.00010081i,-9.1275e-05+0.00045442i,0.00055018+0.00055073i,-0.0002862+9.5018e-05i,-0.0009817-0.00058455i,-0.00074632-0.00049902i,-0.0007643+0.00047413i,-0.00059566+0.00028075i,0.0003962-5.2661e-06i,0.00083719+0.00023631i,0.00036302+0.00051089i
-0.0020152-0.00072635i,-0.00101+0.00067089i,-0.0012605+0.0016191i,-0.0016016+0.0016774i,-0.0010075+0.0017761i,-8.1916e-06+0.0021382i,0.00053243+0.0023351i,0.00079296+0.0015863i,-0.00019236+0.00066109i,-0.00098272+0.00032567i,-0.00062645-0.0001676i,-0.00038742-7.452e-05i,-0.00016993+0.00067578i,-0.00019688+0.00082351i,2.0281e-05-0.00011331i,0.00028113+9.3878e-05i,-0.00012398+0.00080883i,0.00011361+0.00075681i,0.00072736+0.00028794i,0.00061495-0.0007233i,2.7217e-05-0.001044i,0.00024181-0.00020374i,0.00050395+0.00020376i
-0.00042328-0.0021546i,-0.00012098-0.0020129i,-0.00046665-0.0025434i,-0.00049359-0.001224i,2.8471e-05+0.00098664i,-2.6946e-05+0.0017739i,0.00042774+0.0013298i,0.00078059+0.00059645i,-6.2078e-05-0.00075377i,-0.0004389-0.00090244i,-0.00068434+0.00062644i,-6.402e-05+0.001082i,0.00015235+0.00091024i,-0.00038037+0.00074072i,-0.00034716+5.1878e-05i,-0.0002841-0.00024273i,-0.00068349-0.00059747i,-0.0005478-0.00014969i,-2.4305e-05+0.00020445i,0.00026536-0.00017686i,4.7962e-05-0.00049255i,-0.0003137-0.0010676i,4.5903e-05-0.0007205i
-0.00017598+0.0014578i,-0.00011204+0.0012808i,-0.0013597+0.0014142i,-0.0013705+0.0017168i,-0.0014169+0.002079i,-0.00072161+0.0018775i,0.00021023+0.0022984i,0.00018039+0.0025023i,-0.00011554+0.00095675i,-0.00058216-0.00013279i,-0.0010822-0.00044499i,-0.0006252-0.00065577i,0.001229-0.00055125i,0.0015434-3.1947e-05i,0.00035133-3.3484e-07i,0.00012969+0.00019412i,0.00077555+0.00075285i,0.0003669+0.00054782i,5.589e-05+0.00074115i,0.0002765+0.00076371i,-0.00021994+0.00055484i,-0.0010175+0.00017572i,-0.00077363-0.00050494i
0.0022351+0.0014956i,0.0017724+0.0012907i,0.0031501+0.0012106i,0.0027551+0.00077339i,0.00089707+0.00067569i,0.00038257+0.0012095i,-5.8329e-05+0.0016597i,-0.00028431+0.0013164i,8.8567e-05+0.00063407i,0.00014574-0.00024574i,-7.1193e-05-0.00082939i,-0.00078591-0.00061299i,-0.0010278-0.0010344i,-0.0010924-0.00059173i,-0.00041235-4.0732e-05i,0.00042423-0.00030082i,0.00034278-6.4232e-05i,0.00070852+9.8369e-05i,0.001129-0.00027518i,0.0011835-0.0008198i,0.00090546-0.00063536i,9.8236e-05-0.00035183i,-0.0003539-0.00045259i
-0.00068825+2.6612e-05i,0.00036658+0.00044617i,0.00033547+0.0012056i,-9.7966e-05+0.0012535i,0.00020842+0.0014158i,0.00071383+0.00054146i,0.00032594+0.00023619i,0.00014441+0.00041607i,-0.00084262+6.7059e-05i,-0.0020586+0.000969i,-0.0015742+0.0011199i,-0.00048958+0.00047276i,-1.8964e-05+0.00036418i,-0.00020358-0.00035312i,-0.00016004-0.0008529i,-0.00011695-0.0007687i,-0.00042696-0.00026683i,-0.00012465+0.00067023i,-5.3475e-05+0.0012343i,-0.00032909+0.00099851i,-0.00019785+0.00037087i,1.1025e-05+5.6924e-05i,-1.4135e-05+2.0118e-05i
-0.00070621+0.00031367i,0.00029037-0.00039184i,0.001612+0.00031759i,0.0012551+0.0010863i,0.00027166+0.00086054i,-0.00062552+0.0013503i,0.00052133+0.0012533i,0.0019799+0.00061659i,0.0011168+0.00092511i,0.00035131+0.0012829i,4.4364e-05+0.00067612i,-0.00050084+0.00016992i,-0.00094429+0.00091056i,-0.00069985+0.00045411i,-0.00069652-0.00066951i,-0.00054431-0.00034787i,-0.00025091-0.00064601i,-0.00046555-0.00048938i,-0.00036977-7.7066e-06i,0.00093267-0.00021398i,0.0014649-0.0003426i,0.00067378-0.00036453i,-0.00034946-0.00046779i
0.0011689+0.00039361i,0.0018127-4.2535e-05i,0.0012478-0.00038612i,0.001073-0.00023343i,0.001372+0.00016643i,0.00068408+0.00038366i,0.00062928+0.0012183i,0.00045188+0.0011927i,-0.00022962+0.00065355i,-0.00043501+0.0011477i,-0.00095256+0.0010978i,-0.0012954+0.00012614i,-0.0011764-7.5744e-05i,-7.6301e-05-0.00029253i,0.00043222-7.6764e-05i,2.3465e-05+0.00050674i,-0.00064572+0.00040015i,-0.00076792-4.5283e-05i,0.00017961-0.000483i,0.0006539-0.00051341i,0.00039622-0.0003625i,0.00055785-0.00056459i,0.00076652-0.00048769i
-0.00020335-0.0011285i,-0.00029468-0.00027652i,-0.00041646+0.00052058i,-0.0010083+0.0014297i,-0.0013642+0.0022553i,-0.0013339+0.0030755i,-0.00036778+0.0029157i,0.00016609+0.0019873i,0.00021513+0.0011265i,0.0004684+0.00056569i,0.001091+0.0006981i,0.00075442+0.00063697i,-7.8483e-05+0.00055668i,-0.00020532+0.00086174i,4.23e-05-6.9007e-05i,0.00015132-0.0007992i,0.00070905+7.054e-05i,0.0011901+0.00044059i,0.0012614+9.6769e-05i,0.00088957+0.00042391i,-0.00019935+0.00024921i,-0.00079269-0.00071097i,-0.00044125-0.00068079i
0.0005681+0.00029473i,0.0013793+0.0013138i,0.0015863+0.0010544i,0.0014444+0.00086361i,0.0012246+0.0011121i,0.00059379+0.0020335i,0.0004463+0.0022755i,0.0014621+0.00078042i,0.00107+0.00033382i,0.00023818+0.000421i,-0.00012644+8.1222e-05i,-7.1548e-05-0.00023853i,0.0011186-0.00051322i,0.00088963-0.00015981i,-0.0001154-0.00041003i,-2.6572e-05-0.00074813i,0.00042465+3.6605e-05i,0.00036558+0.00042282i,-0.00020066+0.00049037i,-0.00038661-1.7955e-05i,1.4217e-05+0.00030985i,0.00026913+0.00076918i,3.885e-05+0.0010267i
-0.0002859-0.0015531i,-0.00025359-0.0013861i,0.0009888-0.0014446i,0.00085931-0.00082515i,0.00031848+4.9255e-05i,0.00029529+0.00094493i,0.00033055+0.0011298i,3.8477e-05-3.5313e-05i,-0.00054953-0.00056562i,-0.0011831-0.00036602i,-0.00098436+0.00015938i,-0.001432+0.00052225i,-0.0015585-0.0006918i,-0.00085007-0.0008085i,-0.00046349-0.00032895i,0.00014423-0.00068038i,0.00017022-0.00042253i,-2.6049e-05+0.00030257i,0.00091638+0.00070098i,0.00085009+0.00053831i,0.00036933+0.00026443i,0.00054574+0.00021902i,4.5479e-05+0.00052351i
-0.00091827+0.00062052i,-0.00031352+0.0009374i,-0.00095156+0.0019123i,-0.00092369+0.0022365i,-0.00076223+0.0022053i,-0.00059541+0.0022986i,0.00036662+0.0022064i,0.00062225+0.0014317i,2.0979e-05+0.00011792i,-0.00054729+0.00010913i,-0.0015213+0.00075095i,-0.0017911+0.0012263i,-0.00076258+0.00070674i,0.00043712+0.00029987i,0.0011618-0.00024866i,0.00091728-0.00038552i,0.00054876-0.00032328i,0.00021531-0.00040525i,0.00068071+0.00053411i,0.0013815+0.00055147i,0.0011114+0.00010972i,0.00075108+6.3616e-05i,0.00057503+0.00013757i
