-0.0015055+0.00055566i,-0.0012495+0.0012356i,-0.0015334+0.0021231i,-0.00082461+0.0017862i,-0.00020814+0.0018395i,-0.00092409+0.0018092i,-0.00057474+0.0014518i,0.00052232+0.00095664i,0.00070075+7.2377e-05i,0.00054724-0.00085956i,0.00060768-0.0016484i,0.00045635-0.0013479i,0.00051682-0.00065665i,0.00045203+0.00044908i,0.00031425+0.00048496i,0.0009518-0.00020067i,0.00084393+0.00021599i,0.00052771-9.4904e-05i,4.1092e-06-0.00071391i,-0.00041219-0.00033026i,-0.00050212-8.3933e-05i,-0.00070006-0.00010081i,-0.00016623+0.00046782i
0.0014448+0.00098365i,0.00049098+0.00083903i,0.00062233-0.00062387i,0.00073371-0.00090402i,0.00035713-0.00074112i,0.00034301-1.7241e-06i,0.00010206-5.0296e-05i,-0.0002839-0.00064457i,-0.0002487-0.00088443i,0.00030183-0.0009796i,0.00036935-0.00093385i,-0.00065306-0.00030313i,-0.0011513-0.00030636i,-0.00045671-0.000519i,-5.9442e-05+6.6341e-05i,0.00017937+0.0002284i,0.00032302+0.00059444i,0.00015523+0.00052098i,0.00026343+0.00052836i,0.00042296+0.0004205i,0.00028172-6.6316e-05i,-7.5053e-05-4.9787e-05i,0.0001513-0.00019998i
-0.0014243+0.00015158i,-0.0011821+0.00069523i,-0.00042051+0.0014699i,0.00085235+0.0020557i,0.0014616+0.0012157i,0.0019847-7.2756e-05i,0.0018894-0.00085339i,0.00065021-0.00072134i,0.00033546-0.00033295i,0.0006153-2.8933e-05i,0.00044812-6.9813e-05i,0.00035902-0.00060629i,0.0005907-0.00057246i,0.00056385-0.00035884i,0.00036784-0.000562i,0.00060729-0.00051889i,0.00072904-0.0003698i,0.00084329+0.00017316i,0.00092592+0.00029539i,0.00039099+0.00013511i,-3.8189e-05-4.2342e-05i,-0.00026189-0.00034982i,-0.00053151+0.00023963i
-0.00062076+6.4414e-05i,-0.00056366+0.00047377i,-0.00029099+0.0010435i,-0.00012682-0.00018651i,0.00059534-0.00082195i,0.00082766-0.00052326i,0.00043895-0.00061591i,-0.00060722-0.00089466i,-0.00077169-0.00096081i,0.00010207-0.00082654i,0.00033433-0.00038546i,0.00018987-0.00029463i,0.0005149-0.000954i,0.0004852-0.0012399i,0.00012915-0.0012521i,2.5645e-05-0.00074947i,0.00027564-7.2657e-05i,0.00024261+0.00013703i,2.2221e-05-0.00017705i,0.00024394-0.00060145i,0.0002245-6.8568e-05i,-0.00022264-6.7967e-05i,-0.00030339-0.00048961i
1.1392e-05-0.00023573i,6.6609e-05-0.00025142i,-0.0004032-0.00036435i,-4.1998e-05-0.00065569i,0.0009103+9.8996e-05i,0.0013517+0.00055763i,0.0014551+0.00027942i,0.00067209+2.9007e-05i,-0.00032443-0.00045558i,0.00027892-0.00057491i,0.00083547-5.3511e-05i,0.00017037+0.00037863i,-0.00018148+0.00018414i,-0.00022878-2.2603e-05i,-0.00025836+0.00021812i,-0.00024083+0.00038336i,-0.00042512+7.6974e-05i,-0.00054897-0.00049993i,5.8446e-05+0.00025098i,0.0001323+0.00086729i,-0.00020818+0.00011406i,-1.1728e-05-0.00019026i,-0.000228-0.00036821i
0.00042665+0.0012704i,-1.7322e-05+0.001747i,8.4094e-05+0.0022739i,0.0001463+0.0022741i,0.00045326+0.0013625i,2.3309e-05+0.00088735i,-1.008e-05+0.00013736i,0.0003457-0.00024292i,0.00037606+9.3832e-05i,-0.00016748+1.4494e-05i,-0.00060488+0.00015291i,-0.00077863-0.00019453i,-0.00081955-0.0011749i,-0.00060671-0.0010653i,-0.00093941-0.00037418i,-0.00098088-0.00037507i,-0.00028167+0.00032195i,0.00038504+0.00066089i,0.00023203+0.00049012i,-0.00033147+6.6751e-05i,0.00012983+0.00042239i,0.0010509+0.000718i,0.0012935+0.0004947i
-0.001558+4.2595e-05i,-0.0012898-0.0011294i,-0.0014745-0.0013822i,-0.0014817-0.0011428i,-0.0010823-0.00074169i,0.00067034-4.9387e-05i,0.0017022-4.6257e-05i,0.00082191-5.9686e-05i,3.319e-05+0.00026358i,-0.00037118-0.00031006i,-0.00046642-0.00074568i,0.00049494+5.1196e-05i,0.0014493-0.00040187i,0.0017769-0.0011342i,0.0014334-0.001163i,0.00072149-0.0013482i,0.00019884-0.00033792i,-0.00053689+6.6225e-05i,-0.00041288-5.7623e-05i,3.6428e-05+0.00072817i,-0.00039591+0.00058915i,-0.00085036-6.904e-05i,-0.00027649+0.000367i
0.00014736-0.0010953i,0.00098013-0.0015962i,0.0016909-0.0019874i,0.0012332-0.0017961i,-3.7399e-05-0.0009755i,-4.0026e-05-0.00051519i,0.00032544-0.00075087i,0.00068479-0.00024632i,0.00084296+0.00043575i,-0.00046374+0.00032546i,-0.0011883-0.00028726i,-0.00051643-0.00062414i,0.00015401+0.00038251i,0.00041909+0.0010124i,0.00068994-4.563e-05i,0.00088357-0.00034108i,0.0010928-1.3315e-05i,0.0012924+7.3765e-06i,0.0010109-4.9932e-06i,0.00043767-0.00037412i,0.0001144-0.00021943i,-0.00039285-0.00032471i,-0.00033534-0.00037525i
-7.9797e-05-0.0010671i,-0.00054998-0.0010653i,-2.9291e-05-0.00021778i,0.00094697+1.5225e-05i,0.002187+0.00051301i,0.0024261+0.0008543i,0.0020394+0.00047201i,0.0014615-0.00040234i,2.783e-05-0.00023537i,-0.00032872+0.000206i,7.464e-05+0.00040995i,-0.00015262+0.00087885i,-0.00025443+0.0003838i,0.0002581-0.00018187i,0.0006092-0.00027472i,0.00046971-0.00070163i,0.00039019-0.00092297i,6.3979e-05+0.00014392i,-5.0313e-05+0.0011978i,-0.00040035+0.0012214i,-0.00031732+0.00061942i,-0.00016337+0.00049688i,0.00033447+0.00050818i
-0.0011738+0.0017055i,-0.0011677+0.0007538i,-0.0003161-7.2025e-05i,0.0013089-0.0001522i,0.0016701-7.5554e-05i,0.00075157-0.00081168i,-0.00019661-0.00082162i,-0.00057691-0.00017257i,-6.7898e-05-0.00026384i,0.00059646-0.00045992i,0.00067893-0.00039804i,-0.00014213-0.00037295i,-0.00086003+5.5895e-05i,-0.00072158-9.0482e-06i,-2.2748e-05-0.00032744i,0.00020043-0.0002778i,-0.00016461-0.00074096i,-0.00057777-0.00067529i,-0.00018684-0.00041421i,0.00057178-0.0010843i,0.00054281-0.0011486i,0.00024772-0.0012548i,0.00066697-0.0015614i
-0.0011207+0.0003749i,-0.0018402+0.00095888i,-0.0016871+0.00074018i,-0.0011178+0.00065141i,-0.00036678+9.316e-05i,0.00028775-0.00071024i,0.00034757-0.00016945i,0.00076696+9.4834e-05i,0.0015357-0.00056694i,0.0010524-0.00050707i,0.00045152-0.00055701i,-0.00030247-0.00076466i,-0.0012131-0.00045507i,-0.0011974-0.0011171i,-0.0013532-0.0014614i,-0.0011699-0.00058867i,0.00032838+2.2746e-05i,0.00057752+0.00022117i,0.00017001+0.00016412i,0.00025545+0.00022929i,0.00021938+0.00041624i,-0.00037362+0.00026292i,-0.00091068-0.00021965i
-0.0009496-0.0020995i,-0.001828-0.0017224i,-0.001928-0.0017606i,-0.0016888-0.00098137i,-0.0012756+0.00041869i,0.00054999+0.00037376i,0.0011081-0.00083771i,0.00040997-0.00093825i,0.0006426-2.7444e-05i,0.0003891+0.00089039i,0.00026926+0.00081861i,0.00012477+3.8665e-05i,0.00032951-0.0007963i,0.00094106-0.00063633i,0.00035044+0.00020271i,7.5372e-05+9.3805e-05i,0.00041047-0.0004893i,-0.00011272-0.0002768i,-0.0002514+0.00029813i,1.9598e-06+0.00044752i,-0.0004034-0.00017178i,-0.00082796-0.00056171i,-0.00034899-0.00075052i
-0.00045883-0.00030158i,-0.00041817-0.00070402i,-9.9689e-05-0.00052876i,5.4322e-05-0.00025654i,0.0009904+0.00078491i,0.0012769+0.00036894i,0.001643-0.0013748i,0.0019775-0.0015176i,0.0011863-0.00076231i,0.00041767-0.0011502i,4.949e-05-0.0015441i,-0.00073433-0.0012847i,-0.00087258-0.00042111i,-0.00023102+1.1798e-05i,0.00027838-0.00033991i,0.00025288-0.00041505i,2.0115e-05+0.00011234i,-0.00034232+0.00029216i,-0.00077219+0.00036793i,-0.0002899+0.00060855i,-0.00033141+0.00016536i,-0.00027051-0.00025238i,0.00021634+0.00049049i
0.0077799+0.0038842i,0.010729+0.001823i,0.012993-0.0023134i,0.0083422-0.0043402i,0.0018221-0.0051287i,-0.0025463-0.0027399i,-0.0024625+0.00031406i,-6.9038e-06+0.0013338i,0.0013341+0.0003947i,0.00060409-0.0015728i,-0.0010985-0.0023995i,-0.002598-0.00188i,-0.0033291-0.00049887i,-0.0034487+0.0011959i,-0.003697+0.0023017i,-0.0017085+0.0020674i,0.00029173+0.0011404i,0.00043673+0.00071377i,0.0004978+0.001089i,0.00064529+0.0015843i,0.00045224+0.00079393i,0.00034113-0.00069889i,0.00049882-0.0008755i
0.00067649+0.00092544i,0.0013275+0.00041025i,0.001289-0.00047702i,0.00024604-0.00017766i,9.1545e-05+0.00012483i,0.00011835-0.00069003i,-0.00027478-0.0011866i,-7.8526e-05-0.00070017i,0.00068885-0.00076346i,0.00084413-0.0010441i,0.00019448-0.00078516i,-0.00058409-0.0012632i,-0.0011706-0.0012651i,-0.0016534-0.00081219i,-0.0012641-0.00055705i,-0.00076683-0.0004317i,-0.00062755-0.00077317i,-0.00094995-0.00046157i,-0.00049133-5.7614e-05i,0.00025804-0.00040297i,0.00016059-0.00094424i,3.8782e-05-0.00060473i,-4.3669e-05+7.014e-05i
0.0007721-0.0016768i,0.00061261-0.001608i,0.00018848-0.0013616i,8.6252e-05-0.00081588i,-0.00062261+0.00018686i,9.672e-05+0.0010264i,0.0015332+0.00071881i,0.0013952+0.00065491i,0.00074157+0.00010594i,-2.9445e-05-0.00020339i,-0.00075291-0.00014892i,-0.0010747-0.00032155i,-2.2095e-05-0.00013059i,0.00071716+8.5641e-05i,0.00086733+0.00024347i,0.0009082+0.0004146i,0.00031984+0.000312i,0.00020277+0.00053588i,0.00059282+0.00019498i,0.00066239-3.3146e-05i,0.00069757-0.00023054i,0.0004103-0.00022199i,0.00044446-0.00033488i
0.0016097+0.00079503i,0.00071854+0.00072516i,0.0014619-0.00090977i,0.0011186-0.0023193i,6.0059e-05-0.0018493i,-0.0005298-0.00060151i,-0.00030473-0.00037382i,0.00011813-0.00065327i,0.00014056-0.00032549i,-0.00021659-0.00013027i,-7.3287e-05-2.4342e-05i,0.00039755+0.00028225i,0.00027636-8.6518e-05i,-0.00036337-0.0002594i,-0.00050672-0.00032549i,7.2716e-06-0.00074813i,7.6652e-05-0.00025547i,7.5904e-05+0.00066635i,-0.00011899+0.00049596i,0.00054196-0.00045281i,0.00086071-0.00013857i,-0.00099645+0.00023474i,-0.0013223-0.00050275i
0.00059083-9.3645e-06i,0.0017248-0.00048462i,0.0026145-0.0011979i,0.0016515-0.0011164i,2.828e-05-0.00050241i,-0.00077284+7.5205e-05i,-0.00011783-0.00042509i,0.00073587-0.00061997i,0.00080454+5.8258e-05i,0.00091909-0.00052118i,0.0010678-0.00071736i,-0.00031234-0.00070322i,-0.001413-0.0007432i,-0.00081702-4.3648e-05i,-0.00033966-7.7187e-05i,-0.00072809-0.00010017i,-0.00049887-0.00048933i,0.00048908-0.0010349i,0.0012425-9.5857e-05i,0.00054089-0.00026204i,-0.00033075-0.00024085i,-0.0002315+3.8175e-05i,6.3466e-05-0.00067756i
-0.00027243+9.1322e-07i,7.2884e-05-9.5884e-05i,3.1582e-05+2.5476e-05i,5.6859e-05+0.00097666i,0.00062268+0.0013576i,0.0010226+0.00029694i,0.0010296-0.00091409i,0.00055877-0.0011334i,0.00037002-0.00023584i,-9.6866e-05+8.7865e-06i,-0.00064533-0.00015099i,-0.001205-0.00013742i,-0.0014819-0.00021565i,-0.0008031+0.00059316i,-0.00035817+0.00087474i,-0.00047581+0.00055666i,-0.00022268-0.00015033i,0.00034366-0.00077173i,0.00058002-0.00012747i,0.00045788+0.00065084i,-5.1222e-05+0.00030327i,-0.00025182-0.00046079i,0.00019767-0.00015967i
0.00083105+0.0002844i,0.0011511+0.00091745i,0.0018434-0.00041956i,0.00060705-0.0011343i,-0.00049943-0.00057225i,3.3744e-05+0.0006078i,0.00079804+0.00024353i,0.00099182-0.0011328i,1.558e-05-0.00096855i,-0.00065993-0.00016464i,-0.00047134+0.00015038i,0.00018077+2.7952e-05i,-0.00012778+7.0034e-05i,-0.00086082-0.00018079i,-0.00075518-8.1365e-05i,-0.00029856+0.00056632i,-0.00027323+0.00068314i,-0.00021898+0.00017787i,-2.3774e-05+0.00032606i,-0.0001258+0.00095951i,-0.00023885+0.00021465i,0.00058939-0.00046356i,0.00019518-0.0001112i
-0.0007441+0.00048784i,-0.0010461+0.0012445i,-0.00076013+5.6221e-05i,0.00019874-0.00064114i,0.00012287+0.00020023i,-0.00017088+0.0011137i,0.00029142+0.00069334i,0.00086613-0.00010507i,0.0011424+0.00025772i,0.00076026-6.6822e-05i,-0.00038956-0.00044097i,1.9602e-05+0.00058347i,0.0012387+0.00084486i,0.0003316+2.5805e-05i,-0.00059739-4.4723e-05i,0.00010051+0.00035529i,0.00025153+0.0010401i,-0.00044358+0.00088151i,-0.00014275-2.9673e-05i,0.00069752+0.00013316i,0.00090189+6.3747e-05i,0.00040867-0.00034807i,-0.00018867-0.00073352i
-0.00063194-0.00055688i,-0.00080649-0.00027833i,-0.00016119-0.00051314i,1.6097e-06-0.00051761i,-8.3489e-05+7.0625e-05i,0.00082467-7.7376e-05i,0.001059-0.0008755i,0.00081943-0.00028205i,0.0005578-0.00021821i,0.00032243-0.00073333i,0.00052583-0.00069116i,0.0005232-0.00048746i,0.00089377-0.00090875i,0.00070296-0.00094493i,-0.00026327-0.0003246i,0.00023798+5.2174e-05i,0.00041763-6.7244e-05i,-0.00017763-0.00018434i,0.00012178-0.00013148i,0.00093396-0.00016219i,0.00080155-0.00020701i,0.00012904+0.00013935i,-0.00013009+0.00025846i
0.00064339-0.00050162i,0.0011846-0.00060421i,0.00071966-0.00072828i,0.00020577+0.0010636i,-2.5108e-05+0.0017192i,0.00050735+0.0012257i,0.0011884+0.00022136i,0.0012471-0.00067497i,0.00036532-0.00086396i,1.6063e-05-0.00076292i,0.0011704-0.00093219i,0.001029-0.00092268i,-0.00094777-0.00075701i,-0.0014076-0.00048957i,-0.0003444-0.00011545i,0.00048647-0.00068488i,0.00060331-0.0013944i,0.00032005-0.00034272i,-5.2229e-05+0.00078909i,-0.00023227+0.0005248i,-0.00045398+0.00052195i,-0.00029302+0.00032053i,0.0002874-0.00022689i
-0.00035867+0.0021346i,0.0010475+0.0015733i,0.0016869+0.0019746i,0.0011752+0.0014264i,0.00088619+0.00067476i,0.00094437+0.00023862i,0.00055957+0.00013128i,0.00045174+7.2222e-05i,0.00099076-0.00039968i,0.00091411-0.00017048i,0.00014658+5.7794e-05i,-0.0013312-0.0006137i,-0.0017051-0.0012638i,-0.0019294-0.00098515i,-0.0020133-0.00025961i,-0.0010484-0.00014911i,-0.0010963-0.00021321i,-0.0012499+0.00069629i,-0.00043515+0.0009494i,-5.966e-05+0.00031534i,6.4228e-05-0.00010217i,0.00012931+5.0387e-05i,0.00072417+0.00057406i
0.00051414+0.0014507i,-0.00026693+0.00035669i,-0.00070258-0.00084495i,-7.9802e-05-0.00091999i,0.00082496-0.00038152i,0.00074687-0.00051784i,0.0013527-0.00070438i,0.0017044-0.00014662i,0.0012277+0.0002526i,0.00057843+0.00020982i,0.0001439-0.00035999i,0.00068196-0.00063581i,0.0011229-0.00040905i,0.00046784+5.1559e-05i,-0.00058285+1.3679e-05i,-0.00087771+3.2471e-05i,-0.00033964-9.3401e-06i,0.00096023+0.00020117i,0.0012303+0.00065406i,0.00050691+0.00025469i,0.00025688-0.00021089i,0.00010006-0.00033837i,-0.00024814-0.00037101i
0.00039159-0.00049072i,0.0005789-0.0012074i,0.00066137-0.00088078i,0.0011418-0.00017627i,0.00078932-0.00026397i,-0.00015912-0.00046844i,-0.000399-0.00029394i,-0.00010797-0.00060031i,0.00024219-0.00064599i,-0.00022938-0.00023234i,-0.00054961-0.00035379i,-0.00090512-0.00050849i,-0.00098607-0.00014384i,0.00013065-4.9692e-05i,0.00051172-0.00074394i,0.00016511-0.00054147i,0.00055094+0.00061113i,0.00056012+0.0011164i,0.00021418+0.00031489i,0.00037046-0.00057113i,0.00021408-0.00037788i,-0.00034538+0.00086998i,-0.00057559+0.0009584i
0.0027143+0.00063279i,0.0028002-0.0011819i,0.0013386-0.0028688i,-0.00059155-0.0024721i,-0.0012533-0.00068023i,-0.00021226+0.0002666i,0.0010231+0.00083894i,0.0010863+0.00045007i,0.0007202-0.0007852i,3.4946e-05-0.0013299i,-0.00049655-0.0014254i,-0.00010658-0.00080468i,-0.00040071+0.00044209i,-0.0004194+0.00095476i,-7.9263e-05+0.00060822i,-0.00030099+0.0002065i,2.7512e-05-0.00011741i,0.00020324-0.00051252i,-6.2935e-05-0.00050235i,0.00013376-0.00030547i,0.00055755-0.00028512i,0.00090853-0.00060659i,0.00049879-0.00026831i
0.0011684+0.0012915i,0.0009021+0.001168i,0.0013743+0.0015838i,0.0014989+0.00062987i,0.00086269-0.00044852i,0.00049722-0.00039157i,0.00050537-8.019e-05i,0.00049715+0.00036176i,0.0012229+0.00048385i,0.00052377-0.00033826i,-0.0010943-0.0010634i,-0.0012209-0.0011138i,-0.00056195-0.00055804i,-0.00082452-0.0004424i,-0.00092209-0.00023203i,7.6198e-05+0.00012153i,0.0010048+0.0005626i,0.00083182+0.0014173i,0.00019865+0.0014388i,9.0927e-05+0.00067643i,-0.0002905-5.0531e-06i,-0.00049543-0.00038676i,-4.2134e-05+0.00020196i
8.2027e-05-0.00016365i,0.00032349-0.000197i,0.00062197+0.0001643i,0.00072088+0.0010872i,0.00036167+0.0012516i,0.0010841+0.0005374i,0.0014918+0.00012312i,0.0010345-0.0003379i,0.00056651-0.0002597i,7.1443e-05-0.00022629i,-0.00044873-0.001053i,-0.00067286-0.0010713i,-0.00078084-0.00013079i,-0.0011609-0.00017663i,-0.00042406-0.00013623i,0.00016732+0.00044202i,0.00034944+0.00047173i,0.00087214+0.00072553i,0.0004263+0.00090524i,-0.00057374+0.0010614i,-0.00087637+0.0003329i,5.2706e-05+5.8094e-05i,0.00088088+0.00034376i
0.00076048+0.0022179i,0.0017768+0.0011102i,0.0017801-0.0008441i,0.0013277-0.0023624i,0.001535-0.0025982i,0.0011527-0.0016205i,0.00012544-0.00035807i,-0.00066445+0.00032378i,-0.00080767-7.4127e-05i,-0.00047039-0.00071472i,-0.00083587-0.0010027i,-0.0016045-0.00091808i,-0.0013252-0.00080665i,-0.0017116-0.0010629i,-0.0016223-0.00074576i,-0.00076186-1.6186e-05i,-3.1224e-05+0.00045366i,-0.00014157+0.00069089i,-0.00040826+0.00033452i,-0.00051753+0.00028042i,-0.00070358+0.00061981i,-0.00077977+0.0004388i,-0.001067-0.00022371i
0.00022204+0.0009177i,8.912e-05+0.00035837i,0.0012019+0.00027128i,0.001472-0.00027654i,0.0010567-0.0008445i,0.00084015-0.00040102i,0.00048958+0.00035118i,-5.7511e-05+0.00056651i,-0.0004038+0.00022807i,0.00071958+0.00036274i,0.001549+0.00091129i,0.00074416+0.00039185i,-0.00029746-0.00021737i,0.0003411-0.00032091i,0.00047792-0.00035985i,-0.00047871-0.00063301i,-0.00084772-0.000292i,-0.00025922+0.00046415i,7.2155e-05+0.00071664i,-6.1108e-05+0.00017813i,0.0010574+9.542e-06i,0.00065124-0.00035371i,-0.00029632-0.00045672i
0.0022302-0.00097685i,0.0023269-0.00060679i,0.0016793+0.00014405i,0.00051868-4.4308e-05i,-0.00056102+3.7244e-05i,-0.00030212+0.00055299i,0.00022589+0.00046357i,0.00070118+0.00026532i,0.0010358+0.00057275i,0.0011428+0.00013645i,0.00020891-0.00065421i,-0.0003284-0.00046955i,-0.00029168+1.6486e-05i,-0.00054009-0.00033342i,-0.00065174-0.00090124i,-0.0003144-0.0003463i,0.00057196+0.00085158i,0.00093582+0.0012137i,0.00083457+0.00046318i,0.00012385+0.00023532i,3.0404e-05+0.0006198i,0.0005803+0.0002678i,0.00058642+7.3141e-05i
-0.00059009+0.0014066i,-0.0014547+0.0022478i,-0.0011641+0.0016068i,0.00012412+0.00059028i,0.00090863-0.00029343i,0.00081697+0.00014085i,0.0012485+0.00031116i,0.0010841+0.00071544i,0.0010724+0.00083681i,0.00061228-0.00022801i,-0.00059875-0.0015813i,-0.00061019-0.0020251i,-0.00054914-0.0013112i,-0.00062726-0.00042362i,-0.00019828-0.00045184i,-4.1474e-05-0.00071346i,0.00050505-0.00098042i,0.0010198-0.00095251i,0.00069634-7.8596e-05i,0.00031125+0.00028162i,0.00074043+0.0009609i,0.00064924+0.00069949i,-0.00025526-0.00062479i
0.00054282+0.0018959i,0.0011424+0.0016345i,0.0021903+0.0001046i,0.0025743-0.0011491i,0.0023023-0.0012076i,0.00098498-0.0010421i,4.3761e-05-0.00053614i,0.00023298+0.00015991i,0.00033376+0.00074664i,0.0005936+0.0002237i,0.00071396-0.00086178i,-0.00010866-0.00052975i,-0.001317-4.0822e-05i,-0.0018558-9.4167e-05i,-0.0014338-0.00011909i,-0.00063256-0.0001996i,-3.5707e-05-2.2404e-05i,0.00023609+0.00066528i,0.00036637+0.00069704i,-2.0708e-05+7.1944e-05i,0.00015461-0.00013491i,0.00038387-7.9491e-05i,-3.6054e-05+0.00011978i
-0.00052117+0.0002402i,-0.0013421-0.00010959i,-0.0015151+0.00058634i,-0.0012224+0.0015205i,-0.00042106+0.00091259i,0.00068774-0.00029181i,0.00080967-0.0013369i,0.00020219-0.0011088i,3.1186e-05-0.00024819i,0.0002834-0.00017378i,3.4648e-05-0.00035344i,-0.00029108-2.8199e-05i,-0.00015721-0.0001049i,-0.00061517+0.00041688i,-0.00052848+0.0010211i,0.00058458+0.0014527i,0.0013407+0.00073276i,0.0007459-0.00027635i,-0.00043599+7.2448e-05i,-0.00091174+0.00014027i,-0.0011423+0.00014644i,-0.00075157+0.0011077i,7.4873e-05+0.0011572i
-0.00079112+0.0016234i,0.00042958+0.0010533i,0.0015662+0.00046545i,0.0010206+0.00053086i,0.00054523+9.4265e-05i,0.00029952-0.00013639i,-0.00016719+4.4229e-05i,-0.00054466-0.00033552i,-0.00059943-0.00074779i,-3.7916e-05-0.0010638i,0.00064246-0.00042539i,0.00018187+0.00016804i,-0.0009091-4.3661e-06i,-0.0011115-0.00063709i,-0.00027382-0.00057974i,0.00014368-0.0003034i,0.00065691+3.5446e-05i,0.00053079+0.00043531i,0.00031251-0.00030877i,0.0004828-0.00077223i,0.00023592-0.00095915i,0.00035361-0.0010287i,0.00024823-0.00056705i
0.0011494+0.00060876i,0.00047718+0.00036902i,0.0012065-0.00045986i,0.0018922-0.00081756i,0.0014483-0.00082411i,0.0010371-0.00055009i,0.0010095-0.00037278i,0.0014493-0.00053886i,0.0015119-0.00026547i,0.0012014-0.00057313i,0.00083916-0.00029364i,0.00029837+0.00078329i,-0.00014467+0.001385i,1.9719e-06+0.00094483i,-0.00027932+0.00052643i,-0.00029615+0.00029784i,-0.00012418-0.00040214i,3.3197e-05+4.1715e-05i,0.0006368+0.00057471i,-0.00029339+0.00062275i,-0.0011679+0.00037244i,7.3013e-05-0.00032201i,0.00051244+0.00015855i
-0.0015588-0.00031959i,-0.0016007+0.00020783i,-0.0016477+0.00034485i,-0.0010562-0.00034236i,-0.00044331-0.00087984i,-0.00052081-0.00071202i,-0.00025283-0.00021761i,0.0002548-0.00038607i,0.0011427-0.0012448i,0.0013382-0.0011601i,0.00085387-0.0012404i,0.00024413-0.0010854i,-7.2645e-05-0.00044189i,-9.2409e-05+0.00016958i,0.00023771-0.0004485i,-0.00018304-0.0009856i,-0.00080789-2.8152e-05i,-0.0010942+0.0004545i,-0.00082785+0.0007368i,-0.00083302+0.00092446i,-0.00099871+0.00042286i,-0.00014564+9.294e-05i,0.00030024+0.0002029i
-0.0011769+0.0014761i,-0.00057137+0.0014825i,0.00037706+0.0020757i,0.00038933+0.0020888i,0.00027618+0.0013063i,0.00076131+0.00010851i,0.001464-0.0011123i,0.00096077-0.0009147i,-0.00037325+0.00039337i,-0.0008398+0.00044995i,-0.00049667-0.00055479i,-0.00074803-0.0011146i,-0.00067383-0.0012226i,-6.0645e-05-0.0014979i,-0.00021181-0.00098363i,-0.00022763+0.00012302i,0.00035511+0.00046985i,0.00073032+0.00041418i,0.00041939+0.0007844i,2.8681e-05+0.0003932i,-0.00025709+0.00015269i,-0.00041557+0.00035534i,0.00020648+0.00028773i
0.00053347-0.00098526i,1.569e-05+0.00021728i,0.00021267+0.00066286i,0.0012854+4.0828e-05i,0.0011032+0.0011377i,0.0010437+0.0019437i,0.0016991+0.00053795i,0.0016074-0.00046614i,0.0012596-0.00029865i,0.00073951-0.00020557i,-2.7512e-05-0.00012935i,-0.00066494-0.00021616i,-0.0007756-0.00029692i,-0.00058089+4.9259e-05i,-0.00098084-0.00029692i,-0.00095424-0.00022459i,-0.0010342+0.00046782i,-0.00096049+0.00077867i,-0.00048363+0.00093038i,-0.00050192+0.00060554i,-0.00065182+0.00040499i,-0.00043289+0.00074713i,0.00027099+0.00045922i
0.0001101+0.0025391i,0.0014323+0.0015698i,0.00092431+0.00099641i,0.00090321+0.00054874i,0.0019908-0.00067742i,0.0016607-0.0014696i,0.00091479-0.0012354i,0.00123+3.6682e-05i,0.00045156+0.00067676i,-0.00021796+0.00043264i,-2.2097e-05+0.00032991i,-6.4316e-05+0.00029583i,-0.00024627-7.533e-05i,-0.00038262-0.00039543i,-0.00010481-0.00050241i,-5.0342e-05-2.5806e-05i,-0.0002067+0.00010229i,-0.000247+4.0282e-05i,-3.0637e-05+0.00042793i,0.00031848+0.00034996i,0.00036969-8.9699e-05i,-2.0425e-05-0.00057325i,0.00012502-0.00064764i
-0.0024239+0.00055103i,-0.0019237+6.3713e-05i,-0.0012331-0.00099525i,-0.00043492-0.0004846i,0.00052947+0.0014811i,0.0014356+0.0013186i,0.0012278-0.00020802i,0.00053375-0.0008771i,-1.407e-05-0.00062093i,-0.0001232-0.00029497i,-3.9037e-05-0.00026102i,0.0003858-0.00066986i,0.00019636-0.0008176i,-0.00043071-0.0010055i,0.00022427-0.00062769i,0.00090399-0.00041205i,0.00060469-0.0008112i,-0.00016687+4.6483e-05i,-0.0009727+0.0008651i,-0.0008394+0.00052042i,-0.000244-8.7729e-06i,0.00070288-4.811e-05i,0.00087821+0.00011256i
0.00025479+0.001404i,0.0011793+0.00097762i,0.0018905-8.0844e-05i,0.0014447-0.00013239i,0.00084487+0.00011122i,0.00090725+0.00020634i,0.00071961-0.00038464i,0.00069009-0.00044915i,0.0010993+3.2507e-05i,0.00083352-2.7921e-05i,3.5083e-05-0.00039436i,-0.00024752-0.0007079i,-0.00020789-0.0013155i,-0.00013283-0.0014688i,-0.00072023-0.00087606i,-0.0011663-0.00046691i,-0.00059491-0.00034183i,-0.00039303+4.1182e-05i,-0.00085325+0.00042815i,-0.0010906+0.00087017i,-0.00066333+0.0013419i,-0.00022851+0.00086431i,4.9925e-05+0.00031564i
