-0.0041173+0.00034742i,-0.0029617+0.00054204i,-0.0026949+0.0017272i,-0.0031124+0.0019997i,-0.0020522+0.0017971i,0.00063586+0.0011451i,0.0012354+0.00018625i,0.00032426-0.00048361i,-0.00022853-0.00013251i,4.8151e-05+0.00081181i,0.0012002+0.00073361i,0.0016748-0.00022265i,0.0011964-0.0013292i,-0.00014809-0.0015353i,-0.00083859-0.00082828i,6.6767e-05+0.00022084i,-3.9932e-05+0.00054509i,-0.00046227+0.00044199i,-0.00054456+0.00012154i,-0.00065518+0.00020989i,-0.00062712+0.0010954i,-0.00079084+0.0014953i,-0.001125+0.00091335i
-0.0013281+0.0010501i,-0.0035919-0.0013107i,-0.0030277-0.0044753i,-0.00046905-0.007542i,0.0024283-0.0069074i,0.0027415-0.0025714i,0.0007146+0.0014528i,0.00019921+0.002825i,0.0010296+0.0026421i,0.0012482+0.0020346i,0.00048029+0.001857i,-2.5947e-05+0.0020338i,-0.00062508+0.0010792i,-0.00081153+0.00032188i,-0.00076094+0.00029824i,-0.00013258+0.00020507i,0.0009782+0.0009433i,0.0011026+0.00095039i,0.00041464+0.00033632i,0.00065676+0.00077959i,0.0007727+0.0013216i,9.1815e-05+0.0012952i,0.00027045+0.00030037i
0.00014146+0.0012251i,-0.0015331+0.0017125i,-0.0047477+0.0001851i,-0.0056809-0.0026082i,-0.0031829-0.0043815i,2.4258e-05-0.0033777i,0.0019692-0.00044255i,0.0031834+0.0010066i,0.0037133+6.6107e-05i,0.0027724-0.00052486i,0.0013306+0.00010553i,0.0014249+0.00058824i,0.002179+0.00024175i,0.0012888+0.00030706i,0.00063949+0.00078349i,0.00053535+0.00080152i,0.00059768+0.00081241i,0.00020082+5.6294e-05i,0.0003859+0.00030026i,0.0013363+0.00067358i,0.0012691-0.00020672i,0.00059396-0.00081322i,0.00033865-6.7325e-05i
0.0017923-0.00013709i,0.0027936+0.0012715i,-0.00065496+0.0040339i,-0.0061779+0.0039455i,-0.0064002+0.0009149i,-0.0021878-0.00048431i,0.0018367-0.00025669i,0.0034072-0.00044881i,0.0017011-0.0018474i,0.00027664-0.0027824i,0.00051643-0.0023183i,0.00021159-0.0010462i,0.00055487+0.00025975i,0.00086706+0.00051014i,0.00063243-6.5461e-06i,0.00052215-0.00022516i,0.0011472-0.00049623i,0.0012165-0.00041194i,0.00059671-0.00036544i,0.00038273-0.00032081i,1.0143e-05-1.6781e-05i,0.00061778+0.00038573i,0.00057562+0.00060439i
0.0013277-0.0018359i,0.0022289-0.00040302i,0.0022303+0.0038117i,0.00047511+0.0075035i,-0.0015147+0.0062529i,-0.0012526+0.0021442i,0.00094262-0.00090183i,0.0019119-0.002628i,0.00070584-0.0029779i,-0.0011011-0.0020647i,-0.0011257-0.0011667i,1.4506e-05-0.00020805i,0.00084638+0.00014855i,0.0013375-0.00017769i,0.0016193-0.00034709i,0.00044582-0.00059785i,-0.0010592-0.00054769i,-0.0011119-0.0010023i,-0.00068557-0.001244i,-0.00041655-0.0012198i,-0.00017917-0.001115i,-9.0366e-05-0.00067341i,0.0001461-0.00034366i
0.00023294-0.0019203i,0.0017142-0.0027952i,0.0057473-0.0021869i,0.008361+0.00056158i,0.0070228+0.0022832i,0.0039847+0.00026725i,0.00083264-0.0029247i,-0.0018314-0.003272i,-0.0035487-0.0019008i,-0.0030364-0.00034611i,-0.0018771+0.00049983i,-0.0016413+0.00060784i,-0.0018044+0.00010712i,-0.0010642-0.00022617i,-0.00068891-9.0213e-05i,-0.0013074-2.7474e-05i,-0.001389-0.00048649i,-0.0014282-0.00064287i,-0.0010141+0.00069659i,-0.00066619+0.0012334i,-0.001092+0.00068484i,-0.0015882+0.00058236i,-0.0012042+0.00086982i
-0.00077073-0.0015976i,-0.0018937-0.004933i,-0.00034438-0.0085253i,0.003816-0.0091828i,0.0056341-0.0065289i,0.0028184-0.0036012i,-0.00067286-0.0012395i,-0.0025444+0.00066642i,-0.0030457+0.0020368i,-0.0025174+0.0027445i,-0.0012269+0.0026242i,2.5682e-05+0.0017458i,3.0256e-05+0.0011705i,-0.00027042+0.00054918i,-0.00052399+0.00031938i,-0.00049038+0.00073777i,-0.00049644+0.00058195i,-0.0002168+0.00063706i,-0.00029112+0.0012264i,-0.0012832+0.0016571i,-0.00084685+0.0017i,0.00022877+0.00083817i,0.00090283+0.00023108i
-0.002116+0.00062964i,-0.0046328-5.6207e-05i,-0.0063137-0.0040962i,-0.0047036-0.0082015i,-0.0011923-0.0090642i,0.00047173-0.0064683i,-0.00067725-0.0015789i,-0.00083618+0.0017801i,0.0008265+0.0027307i,0.0016111+0.0026834i,0.0012204+0.0026066i,0.00070191+0.0021647i,0.00070802+0.0011666i,0.00032617+0.0011508i,-0.00035014+0.00092493i,6.9743e-05+0.00013999i,0.0010275+0.00012456i,0.0011026+0.00041927i,0.00018342+0.00095169i,-0.00031675+0.0015458i,-0.00018911+0.0018456i,0.00024807+0.0011898i,0.00025955-0.00025095i
-0.0012461+0.002691i,-0.0025293+0.0035257i,-0.0060583+0.0030415i,-0.010023-0.00034142i,-0.0086878-0.0044091i,-0.0050657-0.0050126i,-0.0017138-0.0014305i,0.0021387+0.0010572i,0.0037641+0.0012832i,0.0037633+0.0006503i,0.0032527+0.000199i,0.0020404+0.0010614i,0.00081314+0.0013961i,0.00022132+0.00052032i,0.00064335+9.6964e-05i,0.00092723+0.00024229i,0.00043365+0.00019349i,0.00035452+0.00047106i,0.000849+0.0012146i,0.0011226+0.00075133i,0.00093301-7.5289e-05i,0.00089735-0.00027606i,0.00014134-0.00047499i
0.0019867+0.00158i,0.0039741+0.0036508i,0.0017537+0.0079211i,-0.0034864+0.009949i,-0.0060999+0.0074911i,-0.0042054+0.0039998i,-0.00017094+0.0018024i,0.002965+0.00088918i,0.0036763-0.00075006i,0.0018813-0.0021009i,0.0004994-0.0017056i,0.00064018-0.00014053i,0.0011556-2.2735e-05i,0.00048507-0.0012483i,-0.00025711-0.0010546i,-0.00055897-0.00028366i,-0.00057854-0.00026213i,-0.00089185-0.00037422i,-0.00074808-0.00050525i,0.00037309-0.00023778i,0.00060251-0.00024161i,-0.00015502-0.00044698i,-0.00072765-0.00075561i
0.0012598-0.00078297i,0.0039489-0.00051984i,0.0064769+0.0038537i,0.0073492+0.0096564i,0.0051663+0.010644i,0.0027638+0.005801i,0.0021794+9.605e-05i,0.0022384-0.0033798i,0.00081872-0.0040909i,-0.0017357-0.0029151i,-0.0022246-0.0016875i,-0.0004774-0.00016027i,0.00026759+6.8449e-05i,-0.00065662-0.0010129i,-0.00066691-0.0015752i,-0.00039435-0.0013132i,-0.0003949-0.00098605i,-0.00026864-0.00065283i,-0.0008347-0.0002112i,-0.0016665-0.00076418i,-0.0013898-0.00073339i,-0.00073119-0.00021119i,0.00022234-0.00028251i
0.0010536-0.0049558i,0.0020596-0.0075948i,0.0058259-0.0090412i,0.010765-0.0063734i,0.011281-0.00098962i,0.0078585+0.0012138i,0.0039564-0.00070792i,0.00075169-0.0029044i,-0.0023354-0.0033758i,-0.0036629-0.0020226i,-0.0028197-0.00057019i,-0.001574+0.00033456i,-0.000607+0.00158i,-0.00046952+0.00093791i,-0.00069521-0.00039698i,-0.00063997-0.00051692i,-0.00075253-0.00022315i,-0.0012041+0.00031895i,-0.0010574+0.00069496i,-0.00092181+0.00058011i,-0.0014499+0.00017365i,-0.00090753-2.8671e-05i,0.00033619+0.00024727i
-0.002212-0.002086i,-0.0056945-0.0059033i,-0.0043992-0.011036i,0.0023121-0.014197i,0.0077957-0.012639i,0.0062675-0.0089091i,0.0012747-0.0057744i,-0.0011643-0.0034023i,-0.0020025-0.00099308i,-0.0029868+0.00066747i,-0.0030465+0.0013193i,-0.0012653+0.0019528i,0.00073827+0.0022303i,0.0015679+0.0010513i,0.00137+7.9856e-05i,0.00077448+0.00068619i,-4.55e-05+0.0010678i,-0.00053151+0.0010113i,-0.00062231+0.0016057i,-0.00098514+0.0022868i,-0.0012737+0.0013837i,-0.0012077-0.00010458i,9.9998e-05-0.0010481i
-0.0017334-0.00037236i,-0.0055252-0.00079054i,-0.010778-0.0045896i,-0.011788-0.010198i,-0.0072185-0.013529i,-0.0029798-0.010719i,-0.0023066-0.0050804i,-0.0018754-0.0011703i,-0.00083328+0.0014876i,-0.0004545+0.0021417i,4.9167e-05+0.0019653i,0.00052892+0.0022099i,0.0012297+0.0013409i,0.0019772+0.00067505i,0.0021181+0.00056457i,0.0013901+0.0006683i,0.00092449+0.00068955i,0.00069469+0.0005545i,0.00030394+0.00082586i,0.00070054+0.00093505i,0.0013313+0.0015773i,0.0013999+0.0011267i,0.00098673-0.00020601i
0.00015209+0.0039104i,-0.0026463+0.0067574i,-0.009436+0.0087202i,-0.015242+0.0051484i,-0.014729-0.00081644i,-0.010207-0.0022316i,-0.0053115+0.0015942i,-0.0011359+0.0041328i,0.00098258+0.0029669i,0.0014715+0.0017533i,0.0019444+0.0020764i,0.0015196+0.0020694i,0.0012481+0.00037657i,0.0016734-0.00044366i,0.0014921-0.00015479i,0.0012207-6.1176e-05i,0.00084766-0.00061106i,0.0005714-0.00093445i,0.00019285-0.00099241i,0.00058556-0.00057454i,0.00053426+0.00026762i,-0.00011452+7.4715e-05i,-0.00037986+0.00033324i
0.0018336+0.0018595i,0.0049976+0.004518i,0.0054972+0.010456i,0.00076609+0.015079i,-0.003942+0.012958i,-0.0041832+0.0071604i,-0.00090731+0.0038011i,0.0019713+0.0024395i,0.0024202+0.00081003i,0.0015802-0.00038114i,0.0011636-0.00028148i,0.00093575-0.00014113i,5.0491e-05-0.00079468i,-0.00068985-0.0012418i,-0.00066643-0.0010741i,-2.8706e-05-0.00086754i,0.00017628-0.001503i,-5.2785e-05-0.0011023i,0.00026563-0.00067859i,0.00083806-0.0015255i,0.00085309-0.0019864i,0.00052453-0.0014293i,0.00042907-0.00056407i
0.0036461-0.0018789i,0.008802-0.003696i,0.013763+0.00032341i,0.015135+0.0071892i,0.012377+0.0098761i,0.0080869+0.0071274i,0.005492+0.0034646i,0.0043931+0.0010113i,0.0036547-0.00095056i,0.0022588-0.001876i,0.00064797-0.001224i,9.1489e-05+5.6575e-06i,0.00045501+0.0004727i,0.00069591+0.00013025i,0.00050678+0.00018401i,-5.1539e-05-0.00061925i,-0.00069063-0.0015768i,-0.0011398-0.0011053i,-0.001134-0.00068325i,-0.00046196-0.00071092i,-0.00011897-0.00057796i,-0.00046657-0.00027925i,-0.00018779-0.00048763i
-0.00081303-0.0038224i,0.0011594-0.0076148i,0.0046153-0.011022i,0.010814-0.01028i,0.014396-0.0052587i,0.011968-0.0015281i,0.0070306-0.0025733i,0.0030052-0.0042418i,-0.0001698-0.0034223i,-0.001392-0.0022623i,-0.0010541-0.0017255i,-0.0010524-0.00058868i,-0.00086942+0.00041394i,-0.00023582+0.00053938i,-8.443e-05-4.387e-05i,-0.0003685+0.00012144i,-0.00079133+0.00037596i,-0.0010363+0.0002812i,-0.0011655+0.00068471i,-0.00090813+0.00043226i,-0.001112-0.00010303i,-0.001331-9.62e-05i,-0.0010637-0.00024564i
-0.0041293-0.0033742i,-0.0076443-0.0072989i,-0.008595-0.013764i,-0.0044447-0.018816i,0.00049989-0.017723i,0.0023567-0.012351i,0.00085154-0.0081102i,-0.00099454-0.0050784i,-0.0020759-0.002518i,-0.0024757-0.00064672i,-0.0026138+0.00089643i,-0.0011521+0.0013019i,0.00031774+0.00075913i,0.00014428+0.00015531i,-0.00054999-0.00010499i,-0.0013786+0.00031547i,-0.0018345+0.00078693i,-0.0013991+0.00062189i,-0.00016582+0.00014506i,0.00018808+7.2118e-05i,-0.00024569+0.00046799i,0.00015928+0.00081257i,0.00030938+0.00010685i
-0.0026762+0.0017127i,-0.010149+0.0019911i,-0.019608-0.00064247i,-0.022027-0.0056798i,-0.016176-0.0086505i,-0.0087358-0.0075532i,-0.0055204-0.0037126i,-0.0044069-0.00075151i,-0.0031892+0.00032206i,-0.0029836+0.0012492i,-0.002006+0.0020582i,0.00010821+0.0019544i,0.0014209+0.0013184i,0.0018846+0.00070551i,0.0008425+0.00034091i,0.00014664+0.00048631i,0.00053017+0.001207i,-2.5554e-05+0.001146i,-0.00025342+0.0010789i,0.00035984+0.0015549i,0.00026607+0.001211i,-0.00059166+0.00047854i,-0.0012542+0.00049224i
0.0014867+0.0022125i,-0.0017972+0.0075005i,-0.0080547+0.012527i,-0.013104+0.013302i,-0.013809+0.0085482i,-0.0096473+0.0042673i,-0.0045825+0.0034263i,-0.0017591+0.003062i,-0.00079701+0.0024638i,-0.00065542+0.0014599i,0.00023537+0.0010477i,0.0012186+0.0011934i,0.0011578+0.00066718i,0.0007284-0.00025378i,0.00054629-0.00030833i,0.00087484-0.00017852i,0.00083691-0.00049734i,0.00065962-0.00088921i,0.0014739-0.00091679i,0.0020858-8.6345e-05i,0.0017256+0.00021975i,0.00080245-0.00078287i,-0.00036855-0.0011852i
0.0039166+0.00051451i,0.0071477+0.0051157i,0.0082413+0.011675i,0.0060201+0.016335i,0.0018758+0.015524i,-0.00021237+0.010226i,0.00014527+0.0062345i,0.0021665+0.0042558i,0.0026632+0.001815i,0.0023862+0.00034967i,0.0016774-6.682e-05i,0.00089213-0.00033987i,0.001213+0.00031391i,0.00072871+1.0995e-05i,0.00097312-0.0008438i,0.0019428-0.00018434i,0.0015856+0.00015619i,0.00096961-0.0008997i,0.00073962-0.00169i,0.0010133-0.0012978i,0.0014516-0.001769i,0.0011431-0.0022235i,0.00043396-0.0011773i
0.0025201-0.0021771i,0.0099147-0.0049512i,0.01814-0.0031447i,0.02145+0.001389i,0.018334+0.0049134i,0.012135+0.0038822i,0.0076917+0.00080774i,0.0050718-0.00017818i,0.0027428-0.00087475i,0.00085428-0.0015596i,-0.00010555-0.0015829i,-8.6534e-05-0.00094739i,0.00017718-0.0005037i,2.7981e-05-0.0009336i,-0.00048941-0.00063205i,-0.0003286-0.00037882i,0.0004976-0.00093471i,0.00039278-0.0010815i,-0.00018609-0.0011911i,-0.00089631-0.0013766i,-0.0014831-0.0015562i,-0.001027-0.0012083i,-0.00015668-0.0016037i
-0.001042-0.005139i,0.00048293-0.013104i,0.0049429-0.021326i,0.0090179-0.022125i,0.010246-0.015757i,0.0086745-0.0088854i,0.0052548-0.006042i,0.0027103-0.0046784i,0.0010499-0.0032679i,-0.00081145-0.0026654i,-0.0012485-0.0015233i,-0.00033867-7.1458e-05i,0.00051187+0.00045604i,0.0011164+0.00097593i,0.00081825+0.00028204i,3.8673e-05-0.00071824i,-0.00029421-0.00049302i,-0.00049058-0.00044722i,-0.0011979-0.0011015i,-0.0016317-0.00071784i,-0.0018466-0.00017172i,-0.0015473-0.0005324i,8.2069e-05-0.00071789i
-0.0043786-0.0019572i,-0.010607-0.0066292i,-0.015377-0.014745i,-0.014778-0.020258i,-0.0096158-0.019274i,-0.0048537-0.011622i,-0.0030651-0.00516i,-0.0024846-0.0033817i,-0.0020156-0.002096i,-0.0021245-0.00049508i,-0.0018524+0.00091076i,-0.00079017+0.0017048i,0.00038546+0.00097398i,0.0006326+0.00064902i,-0.00040306+0.0009286i,-0.00093003+0.00010098i,-0.00076362+8.3596e-05i,-0.0014245+0.00038047i,-0.0019474+0.00011033i,-0.0020803+0.0005693i,-0.0016706+0.001401i,-0.00046612+0.0019441i,0.00059657+0.0014014i
-0.0031939+0.0029967i,-0.012122+0.0056856i,-0.020895+0.0048158i,-0.024099+0.001709i,-0.019697-0.0018579i,-0.012083-0.002977i,-0.0067886-0.0011921i,-0.0029655+0.00045325i,-0.0016841+0.0011954i,-0.0021362+0.0014839i,-0.0014381+0.0017907i,-0.0007379+0.001221i,0.00016287-3.031e-05i,0.0010397-0.00037646i,0.00020396+0.00027778i,-0.001221+0.0010396i,-0.0011435+0.0010177i,-0.00076399+0.00090913i,-0.00070824+0.0015093i,9.2455e-05+0.0022675i,0.0010523+0.0022354i,0.0010804+0.0014335i,0.00024046+0.00065698i
0.0010663+0.0043108i,-0.0010625+0.011452i,-0.0057374+0.018814i,-0.0088194+0.0226i,-0.0081589+0.018818i,-0.0049481+0.011038i,-0.0012532+0.0064174i,0.00062193+0.0044733i,0.00071929+0.0018592i,0.00038679+0.0012794i,0.0002937+0.0014722i,0.00040083+0.00083237i,0.00027658+0.00092024i,0.00036114+0.00094094i,0.00054961+0.00057179i,0.00036481+0.0006377i,-0.00011005+0.0019206i,-2.1778e-05+0.0025001i,0.00021228+0.0019062i,0.001231+0.00091684i,0.0021878+0.00079442i,0.001928+0.00099146i,0.00078814+0.0003918i
0.0037808+0.0011855i,0.010107+0.0051415i,0.016145+0.012216i,0.018502+0.01595i,0.015491+0.011905i,0.0096384+0.0059311i,0.0059539+0.0030663i,0.0044668+0.0015234i,0.0029427+0.0006583i,0.0023576+0.00086917i,0.0019208+0.00023407i,0.00026954+2.2372e-05i,-0.0012111+0.0004949i,-0.0012158+0.00019267i,2.875e-05-0.0004767i,0.0010172-0.00018509i,0.0013684+0.00045264i,0.0016554+0.00043467i,0.0019593-0.00015838i,0.001797-0.00078917i,0.00090945-0.0015534i,0.0006826-0.0016073i,0.0012466-0.00023706i
0.0027494-0.0019765i,0.0092377-0.0078089i,0.017812-0.01098i,0.021842-0.01092i,0.01947-0.008897i,0.012562-0.0067943i,0.0063847-0.0056328i,0.0032535-0.0044582i,0.0012393-0.0033195i,0.00057512-0.0026581i,0.0003562-0.00098389i,-0.00064016+0.0010791i,-0.00033881+0.0014819i,-0.00025254+0.00071155i,-0.00056059-0.0002609i,0.00047119-0.00099244i,0.0017813-0.0010536i,0.0017608-0.00069925i,0.0010806-0.00078874i,-1.0109e-05-0.0011261i,-0.0011681-0.0011701i,-0.0014496-0.00084427i,-0.0013335-0.00062421i
-0.0009328-0.0060917i,-0.00062351-0.013901i,0.00031091-0.023299i,0.0010838-0.027209i,0.00099892-0.023328i,0.00028752-0.01445i,-0.00098468-0.0076346i,-0.00097207-0.0053163i,-0.00065769-0.0033251i,-0.00060803-0.0017184i,-5.0603e-05-0.00061819i,0.00033392+0.00080967i,0.00091064+0.0018686i,0.00054467+0.0016007i,-0.00066611+0.0010041i,-0.0011504-0.0004929i,-0.00071194-0.0016144i,-0.00023898-0.00088021i,-0.00054004-8.6108e-05i,-0.0012694-0.00070851i,-0.0015998-0.00092921i,-0.0010257+0.00013655i,-0.00073455+0.00036878i
-0.0054223-0.0022198i,-0.011988-0.006705i,-0.019281-0.012679i,-0.022579-0.014471i,-0.02003-0.011081i,-0.013737-0.0049018i,-0.0084872-0.0012289i,-0.0051906-0.001123i,-0.0031272-0.00015726i,-0.0021065+0.0004508i,-0.0010899+0.00079222i,0.00049464+0.0011087i,0.0014889+0.00040773i,0.00091918+0.00022944i,-0.00031713-0.00028565i,-0.00075925-0.00075668i,-9.9563e-05-0.00074834i,-4.5181e-05-0.00073896i,-0.0017868-0.00014465i,-0.0018337+0.00099683i,-0.00056883+0.001592i,-7.0036e-05+0.0013338i,-0.00012764+0.00087652i
-0.0053057+0.0012563i,-0.011164+0.0040477i,-0.019591+0.0082038i,-0.023414+0.012034i,-0.018163+0.012813i,-0.009286+0.010062i,-0.0038171+0.0074499i,-0.0018256+0.0054926i,-0.0008117+0.0034586i,-0.00076506+0.0022684i,-0.00058998+0.00057288i,0.00069331-0.00093712i,0.0013535-0.00085849i,0.0011199-0.00030476i,0.00093419+0.0008303i,0.00049744+0.0017318i,-0.00062734+0.0013048i,-0.0010174+0.00086556i,-0.00010481+0.0008028i,0.0005414+0.00091272i,0.00089572+0.0011303i,0.0014845+0.0012012i,0.0016679+0.00026879i
0.0024433+0.005953i,0.0032307+0.013877i,0.0037258+0.022915i,0.0050219+0.025927i,0.006935+0.020419i,0.0076427+0.011587i,0.0067607+0.0067663i,0.0046662+0.0048126i,0.0029156+0.0024732i,0.0015129+0.00071185i,0.0005599+0.00017406i,0.00044855+6.2007e-05i,0.00056687+0.0001356i,0.00076725-3.6574e-05i,0.0014261-0.00049799i,0.0015561+0.00067565i,0.00064435+0.0012458i,0.00045388+0.00082033i,0.00034948+0.00082492i,0.00074432+0.00048612i,0.0013892-0.00048729i,0.00091754-0.0013483i,0.00041587-0.0012535i
0.0052504+0.0019507i,0.012567+0.004306i,0.021648+0.0076413i,0.026994+0.0063792i,0.023988+0.0015241i,0.016223-0.0023091i,0.010061-0.0029071i,0.0068186-0.0017878i,0.0046442-0.0016719i,0.0022234-0.0011441i,9.6173e-05+0.00029565i,-0.0010393+0.00063244i,-0.0011823+0.00016032i,-0.00055869+2.4721e-05i,0.00017486-0.00031539i,0.00063923-0.00038361i,0.00057444-4.8657e-05i,0.000211-0.00031862i,-0.00012176-0.00066597i,-9.2126e-05-0.00052729i,0.00071718-0.00080057i,0.00063996-0.0011199i,-0.00026887-0.00057908i
0.0039134-0.0041932i,0.010953-0.0098015i,0.01821-0.015795i,0.019392-0.020737i,0.013846-0.022187i,0.0062736-0.017714i,0.0030599-0.011628i,0.0028717-0.0076436i,0.00090105-0.0040774i,-0.00033404-0.0013861i,-1.884e-05-0.00011443i,0.0002962+0.00061364i,0.00027867+0.00079911i,-0.00043053+0.00018751i,-0.0002403-4.475e-05i,0.00090066-0.00032433i,0.0012182-0.0011219i,0.00024489-0.001017i,-0.00035964-0.00040244i,-0.00031113-0.00059566i,-0.00044795-0.00071591i,-0.00027126+0.00036686i,-0.00012557+0.00083154i
-0.0012981-0.0057292i,-0.0028007-0.015127i,-0.0051059-0.025374i,-0.0094211-0.028171i,-0.012715-0.021817i,-0.012109-0.012747i,-0.0090918-0.0067552i,-0.0057283-0.0043619i,-0.0032455-0.0024534i,-0.0024156-0.00088804i,-0.0011122-0.0010101i,0.0013893-0.00095772i,0.0026004-0.00026966i,0.0013276+1.608e-05i,0.00048823-0.00044036i,-0.00015691-0.00099542i,-0.0011936-0.0011914i,-0.00057947-0.00038018i,0.00015155+0.00047768i,-0.00062459+0.00046811i,-0.0010761+0.00022446i,0.00019207+0.00020124i,0.00097699+0.0002788i
-0.0052434-0.0061522i,-0.01397-0.0099858i,-0.024539-0.011795i,-0.03048-0.0086467i,-0.027046-0.0015121i,-0.018564+0.005413i,-0.010895+0.0071277i,-0.0066986+0.0048175i,-0.0042144+0.0024845i,-0.0031601+0.0016878i,-0.0021965+0.0010629i,-0.00025273+0.00031534i,0.00049473-0.00031195i,0.00084564-8.2035e-05i,0.0015596+0.0007637i,0.00050413+0.00098197i,-0.0010721+0.00073405i,-0.0015368+0.00075896i,-0.0013631+0.0011974i,-0.0017459+0.001691i,-0.0018666+0.00081664i,-0.00047944-0.00024148i,0.00049809-0.00019725i
-0.0042066+0.0055926i,-0.011786+0.011023i,-0.018285+0.018636i,-0.016289+0.024617i,-0.0072938+0.023955i,0.00031627+0.018027i,0.0019222+0.01224i,0.0016416+0.0074199i,0.0015675+0.0037961i,0.00052836+0.0015116i,-0.00081389-0.00034796i,-0.00087062-0.001329i,1.9441e-05-0.0012911i,0.00049412-0.00082404i,0.00078015-0.00014388i,0.0007673+0.00022568i,-8.2306e-06+0.00072926i,-0.00073559+0.0011449i,-0.0008794+0.00066616i,-0.00049202+0.00042251i,0.00042052+0.00028689i,0.00078209-4.7644e-05i,-0.00040588-0.00080249i
-0.0003795+0.0056808i,0.0019196+0.014455i,0.0072674+0.024017i,0.016096+0.025683i,0.021341+0.017685i,0.019238+0.0070086i,0.013529+0.002261i,0.0086452+0.0020055i,0.0053715+0.00054826i,0.0033052-0.00082139i,0.0013371-0.00019836i,-0.0011754+0.00036547i,-0.0021613-0.00020931i,-0.0011036-0.00040608i,0.00013683-0.00016295i,0.0010991+0.00039575i,0.0012834+0.001308i,0.0010589+0.00083094i,0.00051661-0.0003769i,0.00065269-0.00030107i,0.0012161-0.00030195i,0.00083122+0.00011519i,-0.0006789+0.00072505i
0.0065296-6.0781e-06i,0.014661+0.0021329i,0.023344+0.0018252i,0.028049-0.0049308i,0.024177-0.011835i,0.014431-0.013522i,0.0084311-0.010864i,0.0061035-0.0070764i,0.0026435-0.0044558i,-0.00045564-0.0026128i,7.7403e-05-0.00028901i,0.00057236+0.0012091i,0.00060452+0.0016543i,0.00014642+0.0011274i,-0.00045355-0.00016132i,0.00049621-0.00025977i,0.0015443-0.00016466i,0.00101-0.00061103i,0.00024387-0.00066945i,5.5971e-05+0.00013654i,0.00017049+0.00097572i,-0.000309+0.001287i,-0.0011271+0.00082412i
0.0040805-0.0054905i,0.0090179-0.013157i,0.011039-0.022621i,0.0069958-0.029769i,0.00031706-0.029085i,-0.0038389-0.020408i,-0.0046994-0.012794i,-0.0038587-0.0083288i,-0.0025541-0.0044847i,-0.0026777-0.0015618i,-0.0022831-0.00023349i,-0.00054991+0.0012711i,0.0010204+0.0017789i,0.0012264+0.0014399i,0.00031336+0.00072934i,1.8456e-05-0.00064952i,0.00018749-0.0019949i,-0.00032226-0.0023684i,-0.00019883-0.00051899i,-0.00021561+0.001174i,-0.001267+0.00071958i,-0.0013612+0.00042029i,-0.00020411+0.00086101i
-0.00080719-0.005597i,-0.0037688-0.015093i,-0.009427-0.020946i,-0.018765-0.020691i,-0.023189-0.014418i,-0.019101-0.0063049i,-0.013689-0.0020577i,-0.0095653-0.0010754i,-0.0052502-0.00037915i,-0.0020866-0.00034155i,-0.00018999-0.00017698i,0.0012422+0.00021019i,0.0017352+0.00022317i,0.0015089+0.00062293i,0.00077263+0.00086072i,0.00022748+0.00037004i,-0.0005264-0.00010557i,-0.0011577+5.538e-05i,-0.00088945+0.00065632i,-0.00050105+0.00082781i,-0.000851+0.00041979i,-0.00055265-0.00024697i,0.00051141-0.00043185i
-0.0061731-0.0030154i,-0.014779-0.0056392i,-0.023469-0.0034463i,-0.027016+0.0059118i,-0.021421+0.014145i,-0.011489+0.015305i,-0.0053604+0.011796i,-0.0028076+0.0067877i,-0.0010133+0.0032949i,-0.00015632+0.0020593i,-0.0003568+0.0017496i,0.00018767+0.0013651i,0.00098366-1.6488e-05i,0.0010545-0.00061501i,0.00079328-0.00011494i,-0.00012566+2.2861e-05i,-0.0021317+0.00033934i,-0.0027035+0.00059311i,-0.0013835+0.00029831i,-0.00074275+9.6983e-05i,-0.00035586+0.00059412i,-0.00050611+0.00076257i,-0.00043629+6.5658e-06i
-0.0067897+0.0029586i,-0.013354+0.010558i,-0.016949+0.020932i,-0.0084343+0.027667i,0.0043845+0.026419i,0.011279+0.018736i,0.011052+0.011871i,0.0072521+0.0067193i,0.004794+0.0021268i,0.003033+0.00048004i,0.0017054+0.00081944i,0.00085442+0.00091602i,0.00011773-0.00035752i,-0.00042996-0.0015668i,-0.00022452-0.0016421i,-0.00035156-0.00062614i,-0.00085112+0.0015728i,-0.00058059+0.0028813i,-0.00029043+0.0019115i,-0.00042679+0.00060939i,-0.00029127-0.00091583i,0.00042253-0.0013747i,0.00065223-0.0016362i
-0.0001213+0.0072939i,0.001493+0.015101i,0.0087501+0.021134i,0.020354+0.01678i,0.026695+0.005601i,0.022958-0.0033817i,0.015732-0.0053861i,0.0093193-0.0037519i,0.0037076-0.0035366i,0.0013034-0.0025542i,0.0010918-0.00019734i,0.00040714+0.00094371i,-0.00068318-0.00018471i,-0.0014742-0.0012911i,-0.0015073-0.0019312i,3.388e-06-0.00061422i,0.0014239+0.0013053i,0.0014226+0.0011293i,0.001017+0.00064999i,0.00025355+0.00014442i,-0.00043325-0.00081241i,-0.00020102-0.0011096i,-0.00013184-0.00089746i
