0.000374+0.00034737i,0.00053064+0.00028064i,0.00032336-0.00026226i,-0.00035839-0.0008752i,-0.0011478-0.00064232i,-0.0016052+0.00031269i,-0.00070029+0.0013325i,0.0012198+0.0024655i,0.0022542+0.0023013i,0.0016518+0.0014505i,9.8029e-05+0.00097788i,-0.00014328+0.00059776i,-0.00019662+0.00061173i,-0.0010839+3.8789e-05i,-0.00096602-0.00058426i,-0.00028389-0.00021092i,0.00062632+0.00026582i,0.00061735+0.00052361i,6.2857e-05-7.876e-05i,-0.00039064-0.0013748i,-0.00057138-0.0016627i,-0.00020515-0.00089203i,0.00038184-0.00057849i
-0.0001618+4.6722e-06i,0.00046187+0.00020435i,-9.3525e-05-0.00027808i,-0.00047655-0.00082983i,6.9067e-05-0.00059609i,0.00024366-0.00075407i,0.00011163+0.00033655i,0.00048327+0.0013599i,0.00044762+0.0017058i,0.00052537+0.00096131i,0.00038658-0.00048306i,-0.00059012-8.586e-05i,-0.00071245+0.00043514i,9.09e-05-0.00027755i,-0.00033247-0.00036406i,-0.00026672+0.00030426i,0.00082867+0.00058543i,0.0003043-0.00020091i,5.864e-05-0.00082715i,0.0007662+0.00031637i,0.00040709+0.0010209i,-3.7923e-05+0.00035785i,-0.00015771-5.3136e-05i
0.00063644+0.0014914i,0.0011756+0.0015984i,0.00097294+0.0013606i,0.00036493-0.00023803i,-0.00027756-0.00073214i,-0.00059245-0.00045757i,-0.00016936+0.00035944i,0.00073398+0.0017143i,0.00090467+0.0017883i,0.00054424+0.00066266i,0.00077206+0.00067904i,0.00073216+0.0010469i,0.00089677+0.00081918i,0.0010355+0.00038953i,0.00031413+0.00011645i,0.0002737-0.00027927i,0.00077879-0.00029777i,0.00092902+0.00036918i,0.00076417+0.00090973i,0.00098362+0.00056922i,0.00099275-0.00011538i,0.00020398-0.00043126i,0.00027368-0.00076847i
-0.00081921+0.00084258i,-0.00071357+0.00076375i,0.0001145+0.0012456i,0.00081519+0.00016149i,0.001074-0.00075062i,0.0011307-0.00037987i,0.00032834-2.049e-05i,1.9611e-06+0.00062961i,2.6406e-05+0.0013667i,0.0010403+0.0011849i,0.0016897+0.0012036i,0.00097388+0.0013387i,0.00028859+0.00087172i,-0.00035356+0.00026241i,-0.00078169-0.0002412i,0.00010163-0.00066038i,0.00094798-0.0011593i,0.00053206-0.001266i,0.00020718-0.00092394i,0.00083525-0.00058464i,0.0012619+6.1748e-05i,0.00093752+0.0004129i,0.00037572+0.00035269i
-0.00089123-0.00020706i,-0.001266-0.0013006i,-0.0011008-0.0026609i,-0.00089375-0.0026169i,-0.00067512-0.0010599i,-0.00031087-0.00035212i,-0.00018714+0.00038501i,-0.00020523+0.0019522i,0.00034162+0.0018472i,0.00055422+0.0010238i,0.00017563+0.0009636i,-0.00049471+0.00086281i,-0.00013309-0.0001346i,0.000651-0.00025196i,0.00054768+0.00042093i,0.00031196+0.0002805i,0.00030854-0.0002682i,-0.00030839-0.00031392i,-0.00064793-0.00018058i,-0.0002136-0.00058471i,0.00020359-0.00050215i,0.000224-4.9345e-05i,-0.00021228+0.00019092i
-0.0001085-0.00073381i,0.0011394-0.0018657i,0.0017673-0.00043555i,0.0017293+0.00016646i,0.0016933-0.0002075i,0.0011891-0.00026399i,0.00018897+0.00053687i,-5.3181e-05+0.0021679i,0.00088453+0.0026916i,0.0013207+0.0017691i,7.9631e-05+0.00050461i,-0.00057984+0.00025802i,-0.00058816+6.7555e-05i,-0.00022848-0.00034706i,1.1681e-05-0.00051263i,-0.0004219-0.00051457i,-0.000559-0.00064998i,-0.00068423-0.0010976i,-0.0001169-0.00061025i,0.0003315+3.7047e-05i,0.00074941+2.8264e-06i,0.00037296-0.00043951i,0.0001444-0.00084786i
0.0010316+0.0012312i,0.00053421+0.0016938i,-0.00087992+0.00066955i,-0.00041623-0.00056453i,0.00013703-0.0011086i,-0.00099943-0.0010346i,-0.0011739+0.00032131i,-0.0004308+0.0015091i,0.00029712+0.0011697i,0.0003649+8.3009e-05i,-0.00053668-0.00094049i,-0.00067358-0.00061182i,0.0004727-0.00013743i,0.00059785+0.00012838i,-0.00024238+0.00038284i,-0.00035992+0.0005587i,0.00010214+0.00027933i,-0.00025005-0.00089045i,8.361e-05-0.00095294i,0.0012352-1.136e-07i,0.00065549+0.00049955i,-0.00011644+0.00027675i,-4.6477e-05+3.3889e-05i
-0.0007087+0.0011429i,2.7245e-05-1.05e-05i,0.0010355-0.00097794i,0.00026194-9.9078e-05i,-5.7215e-05+0.00028221i,-0.00020785+0.00019286i,2.4872e-06+0.00093216i,0.0003824+0.0018094i,0.00079294+0.0015947i,0.00052476+0.00030921i,8.294e-05-0.00025048i,0.00019937+2.4734e-06i,2.9432e-05+0.0002728i,-0.00020304+0.0001883i,7.6594e-05-0.00019869i,0.00049223+0.00010511i,0.00043313+0.00018133i,-0.00026234+0.00025846i,-0.00035132+0.00030147i,-0.00030484+0.00066762i,-0.00061062+0.0010967i,-0.00105+0.001105i,-0.00076825+0.0011322i
0.00031314-0.00042013i,0.0006237-0.00020041i,0.00049277-0.0009591i,-3.7278e-05-0.0012769i,-0.00027953-0.0001703i,0.00029373+0.00034102i,0.00015654+0.00081694i,0.00051653+0.00096338i,0.0012355+0.00012459i,0.001014-0.00019188i,0.00030362+0.00025446i,-0.00056063+4.887e-06i,-0.00083684-0.00071101i,0.00014692-0.0012609i,0.0010174-0.0014272i,0.00049466-0.0010738i,-3.3489e-05-0.00049881i,0.00010523+1.9829e-05i,0.00027009+0.00027397i,-0.00033369+0.00014819i,-0.00096176-0.00020669i,0.00039631+2.4656e-05i,0.00083608+0.00067129i
-0.00032259-0.00075081i,-0.0012645-0.00021786i,-0.0014144-0.00048366i,-0.001616-0.0010219i,-0.0016268-0.00077276i,-0.0010855+0.0003545i,-9.8674e-05+0.0017948i,0.00080484+0.0019637i,0.00092043+0.0012898i,0.00057628+0.0011467i,-0.00035002+0.0010666i,-0.00072985+0.00060937i,0.0001533+0.00020474i,0.00027352+0.00015658i,1.5551e-05+0.00024i,0.00025601+1.3695e-06i,-7.9333e-05-0.00031862i,-0.00034115-0.00071183i,-0.00057682-0.00031998i,-0.00044306+0.00047777i,0.00016218+0.00069769i,-1.7078e-05+0.00042915i,-0.00054509-0.00034538i
0.0004932-0.0015344i,0.0015275-0.0018638i,0.0011793-0.0020608i,0.0008923-0.001277i,0.00055937-0.00064339i,0.00066859-0.00047661i,0.001096+0.00041791i,0.0013039+0.0013669i,0.0014448+0.0012104i,0.00086218+0.00069437i,0.00035556+0.0006227i,0.0011397+0.00093814i,0.0013218+0.00013742i,0.00065661-0.00095504i,0.00062086-0.00020954i,0.00010879+1.1349e-05i,-0.00020907-2.5751e-05i,0.00035234+0.0004896i,0.0001007+0.00054292i,-0.00026054+0.00036291i,0.00027342+0.00032355i,0.00063629+0.00017321i,0.00044671+0.00081864i
