-0.00065458-0.00019655i,-3.9349e-05-0.0016443i,5.2883e-05-0.0012668i,7.7087e-05-0.0004311i,-0.00033742+0.00058574i,0.00010424+0.00078708i,0.0011449+0.00018034i,0.0019633+0.00049512i,0.0017676+9.2272e-05i,0.00049174-0.00025701i,-0.0003177-0.00012727i,0.00030714-0.00084165i,0.00029526-0.0012876i,-0.00031713-0.00040229i,-0.00056876+0.00074581i,-0.0001259+0.00030228i,0.00036358-0.0003846i,0.00065063-4.4201e-05i,0.00078033-0.00030835i,0.00014363-0.00061239i,-0.00044799-0.00028357i,-0.0002443-0.0001417i,-0.00010985-0.0003315i
0.00017394+7.1559e-05i,-0.00035307-4.8732e-05i,6.6259e-05-0.00099667i,-5.6557e-05-0.00099343i,-0.00095945-0.0001462i,-0.00062227-0.00016652i,0.00083458+0.00025353i,0.0018161+0.0015659i,0.0020635+0.0019383i,0.002038+0.0014303i,0.00077242+0.0013949i,-1.716e-05+0.00122i,0.00081284+0.00034145i,0.00072494-7.2628e-05i,1.7344e-05+0.00025373i,-0.00070518+0.00029025i,-0.00086833-8.4762e-05i,-0.00058965-0.00089373i,-0.00056109-0.0015995i,-0.00062532-0.0012115i,-0.00038419+0.00026305i,-2.5627e-05+0.00067275i,-0.00036833-3.0328e-05i
-2.8855e-05+0.00021927i,0.00085447+0.0004434i,0.0012078+0.00062455i,0.00098034+0.00053253i,0.00051974+0.00042864i,0.00058257+0.0013925i,0.00067216+0.0021602i,0.0013023+0.0024517i,0.0016973+0.002365i,0.0012944+0.00095751i,0.00051741-1.926e-05i,-9.4247e-05-2.167e-05i,0.0001415-0.00020086i,0.00062099-0.00071216i,0.00044101-0.00059721i,-0.0003845-0.00045946i,-0.00079566-0.00055555i,-0.00045549-0.00097972i,-0.00064301-0.0012329i,-0.00092728-0.00052335i,-0.00024117-0.00032452i,0.00088404-0.00034301i,0.00070827+0.00024362i
-2.4982e-05+0.00040096i,-0.0012121-0.00011352i,-0.00077978-0.00075596i,-0.00049636-0.001196i,-0.0003852-0.0016093i,-0.00021706-0.00077123i,-0.00016331+0.0013944i,0.0011483+0.0027322i,0.0019156+0.0018781i,0.0012422+0.00015764i,0.00017935-0.00036571i,0.00011104-0.00035522i,-3.5851e-05-0.00052528i,-0.00052666-7.4852e-05i,-0.00071521+0.00027316i,-0.00085901+0.00077763i,-0.00015606+0.0011664i,0.00059048+0.00038019i,0.00015351-0.0002973i,-0.00030813-0.00023872i,0.00062037-0.00040743i,0.000542-0.00011196i,0.00032638-0.00010239i
0.0011909+0.0029634i,-0.00043846+0.0012992i,-0.00047236-0.00025868i,0.00071394-0.0012835i,0.0016757-0.00072718i,0.00093198+0.00026266i,0.00066422+0.0019152i,0.0017213+0.0039359i,0.0030531+0.0030719i,0.0022662+0.00098909i,0.00066068+0.00047484i,0.00020762+0.00089644i,0.00031689+0.00085329i,-0.00036688-8.9931e-05i,-0.00027032-0.00052498i,0.0005065-0.00070948i,0.00044699-0.00075729i,0.00036878-0.0010011i,-0.00013972-0.0015765i,2.5283e-05-0.0010003i,0.00030226-8.9742e-05i,0.00036246-0.00018123i,0.00053138-0.0003666i
0.00060303-0.00064997i,0.0010731-0.00065719i,0.00050698-0.001427i,0.00030577-0.0018232i,0.00025414-0.00088436i,-0.00031533+0.00024539i,0.00024266+0.00087438i,0.0013499+0.0010851i,0.0022343+0.00095968i,0.0018438-0.00012924i,0.00081751-6.109e-05i,0.00015804+0.00033147i,0.00044868-0.00011083i,0.00045462-3.4127e-05i,-0.00031389+8.329e-05i,-0.00096821+0.00026458i,-0.00046394-0.00021481i,0.00052867-0.001104i,0.00017281-0.00042559i,-0.00055714+4.2817e-05i,-0.00058888-6.1499e-05i,-0.00050278-0.00022826i,-0.00052258-0.00018191i
-0.0021016+0.00043448i,-0.00083327-0.00071715i,-7.4912e-05-0.00014579i,-0.00050332-0.00028363i,6.0739e-05-0.00086503i,0.00054208-0.00065775i,0.00051317+0.00060544i,0.001146+0.0020778i,0.0014982+0.002361i,0.00056073+0.00129i,-0.0002332+0.00053224i,0.00020358+0.00048542i,0.00021988-0.00038409i,-9.7678e-05-0.0014348i,0.00013499-0.00095826i,3.1669e-05-0.0010358i,-2.3462e-05-0.00069181i,-0.00024225-0.00023218i,-0.00012669-0.00061754i,-5.8704e-05-0.00016362i,0.00022992+0.00011194i,0.00067011+0.0002489i,9.2563e-05-3.4965e-05i
-7.33e-05-0.0007088i,-0.00048088-0.00049421i,-0.0012281-0.00076832i,-0.0016024-0.0013619i,-0.0021226-0.0012201i,-0.0017499+0.00026388i,-0.00032505+0.0014435i,0.00079807+0.0022661i,0.00094705+0.0022039i,0.00058153+0.00066847i,-0.00011592-0.00045377i,-4.1011e-05-0.00017958i,0.00053769+0.00075241i,0.00058459+0.00040339i,0.0005272-0.00038499i,0.00016484-0.00021457i,-0.00013261-0.00011521i,0.00049971+0.00021818i,0.0009372+0.00030428i,0.00053198+0.0001126i,0.00014669-6.7096e-05i,0.00023725+0.00020278i,0.00049398+0.00022508i
-0.00078815-0.0013969i,-0.00025532-0.001041i,0.00094844-0.0012333i,0.0011579-0.0012952i,0.00044185-0.00066117i,0.00044049+2.15e-05i,0.0010576+0.0012821i,0.0019372+0.0022371i,0.0028418+0.0023369i,0.0021801+0.0011644i,0.00035376+0.00071407i,-0.00065422+0.00088862i,0.00037306+0.00058868i,0.00074365+0.00065185i,-0.00045665+7.2241e-05i,-0.00041331-0.00059844i,8.5447e-05-0.00041279i,0.00012291-0.00049646i,-0.00040857-0.00055127i,-0.00062418-0.0005653i,-7.6873e-05-0.00024764i,0.00023919-1.5339e-05i,0.00054834-0.00038133i
0.0014002+0.0014324i,-0.00043107+0.00059808i,-0.00034343+0.00058851i,7.2491e-05+0.00011946i,0.00015659-0.00032009i,-0.00093118-0.00018147i,-0.0010905+0.00078555i,0.00047697+0.0013674i,0.0016846+0.0013422i,0.0014806-0.00025896i,0.00059331-0.00081948i,0.00080411+0.00050391i,0.00056036+0.00081044i,0.0001011+0.0001682i,0.00020577+0.00066886i,0.00057184+0.0012644i,0.00056215+0.00094862i,0.00033505-0.00017568i,0.00012149-0.0010359i,-5.4895e-05-0.00084073i,0.00068113-6.7424e-05i,0.00052812+0.00016538i,4.9659e-05+0.00010627i
-0.0012504-0.0006495i,-0.0010826-0.0016435i,-0.00088578-0.0017435i,-0.00068756-0.0013042i,-0.00048622-0.00029331i,-8.2386e-05-0.00033135i,0.00047336+0.00036625i,0.00137+0.0023091i,0.0020655+0.0029515i,0.0014584+0.0010488i,0.00055046-0.00036178i,0.00065776+0.00037268i,0.00085639+0.00099539i,0.00045125+1.8324e-05i,-3.0116e-05-0.00063659i,0.00067994+0.00020679i,0.00037787+0.00066746i,-0.0003989+0.00018319i,-0.0011515-0.00046001i,-0.0011613-0.00077437i,-0.00068387+0.00018706i,-0.00057523+0.00036077i,-0.00039283-0.0010172i
0.0008397+1.6147e-05i,0.0011274+0.0002989i,0.00021705+0.00071895i,-0.00049024+0.00086978i,8.064e-05+0.00029843i,0.00087067+0.00049085i,0.00096454+0.0010092i,0.0019408+0.00093182i,0.0028917+0.00076549i,0.0017322+0.0002657i,0.00013976+1.8062e-05i,0.00034409-2.4498e-05i,0.00070791-0.00038906i,0.00050892+1.1686e-05i,0.0001824+0.00075522i,-1.719e-05+0.00088069i,-0.00016275+0.0005241i,-0.00055775-0.00077111i,0.00030428-0.001275i,0.0011233-0.00061315i,0.00089609-0.00026271i,0.00082559-0.00078341i,0.00020414-0.00021624i
0.0023769+0.00046538i,0.0021614-0.00028033i,0.0014814-0.0023316i,-0.00025345-0.0033102i,-0.001856-0.0023675i,-0.0021227+2.4311e-05i,-0.00067652+0.0028101i,0.00076474+0.0031327i,0.0016587+0.0016455i,0.0013108+0.00020424i,-0.00010022-0.00046107i,-0.00037439-0.00039715i,-8.0085e-05+0.00016306i,-0.00052095+3.249e-05i,-0.0008701-0.00028247i,-0.00026348+0.00016395i,0.0009422+0.00060792i,0.0010515+0.00049647i,0.00015175-0.00011889i,-0.00039571-0.00031022i,-0.00080749+0.00047606i,-0.00083682+0.00059149i,-0.00082724-0.00024102i
0.0019566-0.00020591i,0.0024541-0.00012967i,0.0021133-0.0012956i,0.00034461-0.0013268i,-0.0012001+0.00010263i,-0.00090171+0.0011546i,0.00052558+0.0023721i,0.0014212+0.0026013i,0.0013174+0.0014504i,0.00072616+0.00055623i,-0.00019356-4.2091e-05i,-0.00011954-2.8408e-05i,-8.8405e-05+0.00018533i,0.00023496+0.00053868i,0.00026033+0.00047687i,0.00010168-0.00049904i,0.00088155-4.0262e-05i,0.00057422+0.00072401i,-0.00035786+0.00055454i,-0.00058324+0.00026093i,-0.00028281+0.00016075i,0.00055827+7.1135e-05i,0.00066551+2.0622e-05i
0.00087246-0.0004503i,-0.00027188-0.00054066i,-0.0015839-0.0013889i,-0.0025267-0.0011996i,-0.0024892-0.00066867i,-0.0022174+0.00021175i,-0.00046725+0.00091683i,0.0010593+0.0016119i,0.0017872+0.0017602i,0.0011443+0.0006741i,-0.00028188-6.9113e-05i,-0.0001957-0.00042251i,0.00069436+7.0314e-05i,0.00037784+0.00063073i,-0.00011761+0.00053259i,-0.00046739+0.0007213i,-0.00027901+0.00032604i,0.00034867+6.8063e-05i,0.00021363-6.6889e-06i,-0.00012598-0.00014803i,-2.6387e-05-0.0002399i,0.00078486-0.00030148i,0.00044926-0.00046282i
-0.00048694-0.00049923i,4.5311e-05-0.00054489i,0.00012904-0.00061582i,0.00013171-0.00085855i,-0.00012178-0.00069204i,-0.00063827+6.8217e-05i,-0.00046408+0.0012297i,0.00036845+0.0019857i,0.0012192+0.0019062i,0.00075379+0.0013253i,-0.00039394+0.00062458i,0.00028075+0.00023502i,0.00092365+0.00034052i,0.00085609+0.00063218i,0.0001853-3.3768e-05i,-0.00021472-0.00025874i,-0.00025647-0.00024613i,-0.0003863-0.00069656i,-0.00034949-0.00069055i,-0.00048462-0.00021655i,-0.00057516-0.00024514i,-0.00071459-0.00046056i,-0.00089195-0.001034i
-0.001292+0.00033317i,-0.00097647-0.00031323i,-0.00070081-0.00084793i,-0.00065291-0.0002045i,0.00031222+0.00086936i,0.0014123+0.00089668i,0.0012553+0.0017539i,0.00060019+0.0032017i,0.00096314+0.0034446i,0.00059247+0.0019332i,-0.00052482+0.00057473i,-0.00062081+0.00015177i,6.5735e-05-0.0002747i,0.0001148-0.0003827i,-0.00024501-0.0010014i,-0.00037874-0.0010375i,-0.00033845-0.00051279i,1.448e-05-0.00052196i,0.0004674-0.00045536i,-0.00039211-0.00096369i,-0.00017658-0.0012401i,0.00084197-0.00036044i,0.0011802-0.00072925i
-0.00054624-0.0010414i,0.0011336-0.0011561i,0.00074259+5.74e-06i,-0.00026264+0.0010386i,-3.7769e-05+0.00084955i,0.00075237+0.00066357i,0.00076326+0.0010589i,0.00098452+0.0021155i,0.0015906+0.0024186i,0.0016784+0.0010212i,0.00040434+0.00046025i,-0.00030874+0.00089272i,-0.00016073+0.00023325i,0.00029773-0.00048127i,0.0006211-0.00038888i,0.00079518-6.8838e-05i,0.00042845+0.00027082i,-0.00056145+0.00046973i,-0.00072259+3.6142e-05i,0.00036922-0.00045582i,0.00072112-0.00076739i,0.0002247-0.00079224i,0.00029399-0.00020897i
-0.00020856-0.00090519i,0.00031153-0.0012043i,-0.00041642-0.00089318i,-0.00078779-0.00027272i,-0.0012567+0.00078141i,-0.00031421+0.0016758i,0.0013149+0.0014928i,0.0018305+0.00096626i,0.0022007+0.0011537i,0.0010789+0.00042205i,-0.00047452-0.00035636i,-0.00026845+0.00060409i,6.5234e-05+0.00066447i,0.00027384-0.00081123i,0.00047094-0.00096108i,0.00013912+8.9959e-05i,3.2788e-05+0.00078619i,4.9101e-06+0.00036277i,-0.00019052-0.00028015i,2.4605e-05-0.00082995i,0.00024382-0.00068182i,0.00012312-0.0004603i,-0.00019489-0.00058494i
-0.00094851+0.0013634i,-0.00054222+0.0013814i,0.00078624+0.00081199i,0.00096243-0.00014148i,0.0013038-0.00027668i,0.0012648-0.0002489i,0.00080254+0.00054838i,0.00094063+0.0023077i,0.00096483+0.0024318i,0.00037417+0.0011631i,-0.00064038+0.00064525i,-0.00038424+0.00057743i,0.00011101+0.00045394i,-0.00036419-8.2417e-05i,-0.00039167-0.00057057i,0.00030301-0.00056322i,0.00079653-0.00076948i,0.00082641-0.0013279i,0.00016482-0.0010784i,-0.00055467+0.00027936i,-0.0007034+0.001052i,-0.00076651+0.00099452i,-0.00081508+0.00078184i
9.1777e-05+0.00057234i,-0.000219+0.00037096i,0.00017014-0.0010265i,-0.00070797-0.0022112i,-0.0016241-0.0018062i,-0.0020366+0.00032972i,-0.00084408+0.0023387i,0.001614+0.0028165i,0.0028097+0.002194i,0.0015569+0.00065388i,-0.00053843-0.00055805i,-0.00096252+0.00035995i,-0.00025105+0.000722i,-0.00020592+0.00018599i,-0.00030442-7.6721e-05i,-0.00031454-0.00060808i,2.4498e-05-0.00045709i,0.00035731+3.3923e-05i,0.00022609+0.00021623i,0.00040092+0.00049884i,0.00063194+0.00073594i,0.0002616+5.5284e-05i,1.2986e-06-0.00046463i
0.00035287-0.00061311i,0.0020994-0.00044731i,0.0021031-0.00023087i,0.00097923+0.00049703i,-9.1791e-05+0.0012181i,-4.2795e-05+0.0017281i,0.0010114+0.002334i,0.0018091+0.0025952i,0.0019692+0.0016693i,0.0010364-0.00015347i,0.0001951-0.00029521i,0.00030172+0.00028063i,0.00061309-0.00056858i,0.0008702-0.0011077i,0.00038421-0.0010734i,0.00041415-0.00079913i,0.00022917-0.00014946i,-0.0001462+6.5632e-05i,-0.00012612+0.00018124i,-3.4569e-05+0.00027217i,0.00037607+3.5222e-06i,0.00060428-0.00040763i,5.7414e-05-0.00063408i
0.00021511-0.00074951i,-0.0010008-0.0011942i,-0.0026039-0.0022815i,-0.0034109-0.0020834i,-0.0036259-0.00098321i,-0.0024197+0.00082713i,-0.00053716+0.0022561i,0.0013471+0.0022343i,0.0024148+0.0017459i,0.0012441+0.0010907i,-0.00098571+0.00033844i,-0.0012935+0.00013813i,0.00019639-0.0001704i,0.0010057-0.00034406i,0.00080099-0.00027667i,0.00018606-0.0010887i,0.00031864-0.00043375i,0.00045171+0.00029297i,0.0004218+0.0003065i,0.0011469+0.00026954i,0.0011888+0.00017781i,0.00070364+4.2215e-05i,0.00023045-6.3735e-05i
-0.00041573-0.001535i,0.00046716-0.0013938i,0.00094717-0.0018564i,0.00083027-0.0019364i,0.0006139-0.0014774i,0.0004579+0.00019666i,0.00038255+0.0012913i,0.00086543+0.0012571i,0.0012583+0.00096843i,0.0011325+0.00047753i,0.00073592+0.00068364i,0.00069058+0.00090219i,0.0011529+0.00056141i,0.0010331+0.00071245i,0.000465+0.00099623i,0.00041804+0.00050484i,0.00054295+0.00010192i,0.00035657-0.0004705i,0.00016879-0.00091261i,-0.00038916-0.00068255i,-0.00039219-0.0011769i,0.00033962-0.00070891i,0.00041251+0.00084198i
-0.00067375-0.00070776i,-0.00075969+0.00016361i,-0.0013523+0.00096849i,-0.0012568+0.0011328i,-0.0010617+0.0013434i,0.00036694+0.0018296i,0.001399+0.002238i,0.0021951+0.0023116i,0.0031747+0.0016296i,0.0021541+0.00042303i,-0.00023746+0.0002479i,-0.0011149+0.00040875i,-0.00065005+1.4091e-05i,-0.00016535-0.00042239i,-0.00012308-0.00013615i,0.00055346+0.00027603i,0.00070247-0.00017671i,-0.0005455-0.00058284i,-0.00064-0.00030952i,-0.00017346+9.4317e-05i,0.00036036+0.00024454i,0.00064379+0.00031146i,-7.6748e-05+0.00035741i
-0.00068748-0.00056378i,-0.00012767-0.0009467i,-0.00028509-0.0009406i,-0.00017455-0.0015596i,-0.00074039-0.0015703i,-0.00093768-0.00091149i,0.00098999+0.0002138i,0.0031947+0.00075592i,0.0037135+0.00088372i,0.0021457+0.00024478i,-8.4234e-05-0.00025485i,-0.00034974+0.00030978i,0.00011376+0.00010715i,-0.00053903-0.0002979i,-0.0010978-0.00011587i,-0.00067277+0.00019377i,-0.00038914-9.2609e-05i,-0.00041396-0.0007253i,-0.00045095-0.00048884i,-0.00056126+6.0014e-05i,-0.00035075+0.00014445i,-0.00021886+0.00061696i,-0.00064726+0.00037247i
0.0010599-0.00054633i,0.00059432+0.00012949i,-0.00031456-0.00027123i,-0.0010942-0.00074878i,-0.00083861-8.7265e-05i,-0.00015107+0.0010259i,0.00073301+0.0027521i,0.0014601+0.0042274i,0.001741+0.0029952i,0.0009179+0.00093724i,-0.00019038+0.000452i,0.00021038+0.00062706i,0.0012929+0.00031545i,0.0012692-0.00058058i,0.00097102-0.00090205i,0.0010053-0.00019234i,0.00041693-0.00044434i,0.00043987-0.00052362i,0.00073171+0.00030666i,0.00019308+0.00076214i,0.00012836+0.0007926i,0.00041589+0.00049045i,7.9163e-05-0.0001258i
0.0012395-0.0016259i,0.00095923-0.0015959i,0.00071662-0.0010017i,-2.2578e-06-0.00025212i,-0.00025039+0.00039705i,0.0002501+0.00051009i,0.0013068+0.0021566i,0.0029591+0.0035656i,0.0033993+0.0030203i,0.0017764+0.0011669i,0.00040781-0.00045017i,0.00082858-0.00024679i,0.001595-5.1507e-05i,0.0013322-0.00053952i,0.00074703-0.00093877i,0.0005798-0.0011539i,0.00070353-0.0013667i,0.00037481-0.0011523i,-0.00044852-0.00012238i,-0.0010094+0.00025704i,-0.00020662-7.4378e-05i,0.00087452+0.00012734i,0.00060772+0.00013662i
0.00072846-0.00092252i,0.00085006-9.9842e-05i,7.3198e-05-0.00068884i,-0.0016178-0.0010868i,-0.0016006-0.00094691i,-0.00058024+0.00012524i,0.00041888+0.0014163i,0.0017933+0.0027083i,0.0023103+0.0031724i,0.00098088+0.0018332i,-0.00078436+0.0011837i,-0.0015026+0.00076034i,-0.00095232-0.00027164i,0.00041738-0.00052303i,0.0004576-0.00068948i,-0.00030475-0.00049957i,-0.00021119+0.00022957i,-0.00055865+0.00021784i,-0.00055559-0.00025836i,-0.00025338-0.00016594i,-1.697e-05+0.00039761i,0.00066848+0.00069883i,0.00033277+0.00044329i
-0.00057157+0.00093617i,-0.00031199-0.00055783i,-0.00046329-0.00071337i,-0.00031062+0.00010103i,-0.00092169+7.0555e-05i,-0.001268+0.00079907i,-0.00053221+0.0023228i,0.00091889+0.0032454i,0.0019699+0.0022962i,0.002086+0.00055673i,0.00038806+0.00050713i,-0.0010292+0.00090251i,-0.00037198-0.00036102i,9.8772e-05-0.0012514i,8.1123e-05-0.00083666i,0.00056933-0.0010115i,0.00038365-0.00095097i,0.0002828-0.00055136i,0.00056538-0.00051905i,9.2276e-05+0.00040648i,-0.00088487+0.00071852i,-0.00097358-0.00026817i,-0.00017374-0.00082732i
0.0019047-0.0019675i,0.0019652-0.0015171i,0.0012276-0.0017532i,-0.00043295-0.0017849i,-0.00072097-0.0010881i,-0.00016284+0.00038836i,0.0011229+0.0020945i,0.0027564+0.00296i,0.0030103+0.0016875i,0.0019305-0.00012823i,0.001184+0.00019009i,0.0008923+0.0008528i,5.2492e-05+0.0001901i,-0.00020982-6.0867e-05i,0.00041167+0.00015501i,0.00018796+0.0003117i,-0.00048371+0.0001014i,-0.0004615-0.0003765i,0.00030676-0.00029193i,0.00048278-0.00028189i,-0.00042505-0.00025219i,-6.1272e-05-0.00021439i,0.001079-0.00041081i
-8.8651e-05-0.00083805i,0.00098682-0.00088292i,0.00014189-0.00087754i,-0.00060993+6.0694e-06i,-0.00021652-0.00029641i,0.00032803+1.4462e-05i,0.00097275+0.0016372i,0.0022753+0.0021259i,0.0031198+0.0022605i,0.0022449+0.0010876i,0.00045273+0.00056758i,5.3521e-05+0.0012835i,0.00010378+0.00034024i,-2.36e-05-0.00023544i,0.00010014-0.00014588i,0.00029297-0.00067369i,0.00033906-0.00076249i,0.00040038-0.00063059i,0.00061325-0.00049114i,0.00013849-0.0011113i,-0.00016954-0.0013014i,0.0002326-6.9745e-05i,0.00014597+0.00042928i
-0.00074352-0.002293i,0.00067565-0.0023661i,0.00053242-0.0019534i,-0.00041815-0.00047832i,-0.00016316+0.00058416i,0.00074623+0.0010693i,0.00035267+0.0022085i,0.00066708+0.0031635i,0.0013159+0.002717i,0.00022457+0.0013818i,-0.001216+0.00012135i,-0.00076407+0.00014491i,0.00048901+0.00065152i,0.00014688+0.00051958i,-8.8756e-05+0.00010208i,0.00058996-0.00024359i,0.00086558-0.00021746i,0.0010892-0.00072735i,0.0011982-0.00057193i,0.0006874+0.00038825i,0.00063303+0.0003594i,0.00017828-0.00016811i,-6.8253e-05-0.00028789i
-0.00067307+0.00071033i,-0.0017256-3.5398e-05i,-0.0011508+0.00015339i,5.2899e-06+0.00012563i,-0.00019745+3.7708e-05i,-0.0004093+0.00049197i,-0.00010346+0.0022106i,0.0004814+0.0033593i,0.0014145+0.0025801i,0.00066915+0.00083369i,-0.001164+0.00010399i,-0.0014762+0.00063882i,-5.4381e-05+0.0010703i,0.00048952+0.00035886i,0.00068373-0.00059098i,0.00046226-0.00034316i,-0.00051291-4.8782e-06i,-0.0006535+8.1006e-05i,-0.00040175+0.0001986i,-9.9061e-05+0.00055958i,0.00057505+0.00074865i,0.00080091+0.00074824i,0.00084459+0.00063638i
0.0019059+0.0011959i,0.0013256-0.00079692i,-0.00048163-0.0020837i,-0.0010275-0.0013314i,8.872e-05-0.0010593i,0.00013398-0.00018075i,5.6977e-06+0.001845i,0.00061655+0.0033591i,0.0019284+0.0027473i,0.0017047+0.0016377i,-0.00031938+0.0013629i,-0.0010076+0.00053708i,-0.00026416-0.00046559i,0.00028071-0.00046935i,5.7982e-05-0.00024712i,-8.6019e-05-0.00011621i,0.00026225-0.00081687i,0.00059062-0.0012451i,0.00044611-0.00017616i,0.00021941+0.00044451i,3.6844e-05+0.00020846i,0.00039672-0.00061129i,0.00070371-0.0011734i
0.00073554+0.0028911i,0.00025441+0.0017852i,0.00028438+0.00055669i,3.7171e-05-0.00052711i,-0.00021792-0.001249i,0.00013338+9.2251e-06i,-8.0821e-05+0.0022195i,0.0011639+0.003195i,0.0028919+0.002756i,0.0022936+0.0011721i,0.0013102+0.00090484i,0.0013364+0.0014447i,0.00074044+0.00060476i,-0.00046132-0.00029414i,-0.0013997-0.00046726i,-0.0011211-0.0002411i,-0.00013813+0.00032603i,0.00021771+9.3176e-05i,0.00027355-0.00057956i,0.00031508-0.0007418i,0.00024229-0.0002832i,0.00057487-0.0006861i,0.00099745-0.00083724i
-0.00055046+0.00039096i,-3.7372e-05+0.00062325i,-0.0007077+0.00030674i,-0.00053752-0.00095254i,-0.00025451-0.0014889i,0.0002407+0.0002568i,0.00064068+0.0022983i,0.0013443+0.0025006i,0.0024397+0.0016192i,0.0026758+0.00077032i,0.0019085+0.00049839i,0.00077755+0.00050592i,0.00025477+0.00097357i,-0.0006206+0.0012948i,-0.0013762+0.0014823i,-0.00086671+0.0013289i,0.00021485+0.00014531i,0.00095777-0.00062481i,0.00042216-0.00015399i,0.00036496+0.00036363i,0.00064225+0.00023295i,0.00037894+0.00019341i,0.00040828+0.00061631i
-0.00086293-0.00035998i,-0.001564-0.0011474i,-0.0010895-0.001211i,-0.00088982+5.2415e-05i,-0.00051383+0.0010464i,0.00092956+0.0013001i,0.00094774+0.0018899i,0.00069035+0.0029251i,0.0010802+0.0022551i,0.0010932-9.9939e-06i,0.00031672-0.0013936i,0.00012228-0.0010011i,0.00018085-0.00015966i,-8.1392e-06+0.00041264i,0.00062924+0.00049687i,0.00088666-5.1179e-05i,0.00038767-0.00050041i,0.00066177-0.0011379i,0.0012083-0.0017485i,0.00085999-0.0013292i,0.0003055-0.00010109i,-6.9823e-05+0.00014414i,-0.00027598+0.00018566i
0.0016241-0.00059779i,0.00090257-0.0011627i,0.00061233-0.0020384i,-0.00014732-0.0012385i,-0.001886-0.00078553i,-0.0021708+0.00029982i,-0.00066034+0.0019677i,0.00089687+0.002692i,0.0014415+0.0021757i,0.0001422+0.00088298i,-0.0010723-0.00030495i,-0.00079363-0.00038897i,-0.00031245+0.00010722i,2.8504e-05-6.237e-06i,6.9678e-05-0.0004484i,0.00043026-0.00013843i,4.8953e-05-0.00016383i,-0.00082423-0.00071219i,-0.00091357-0.00033217i,-0.00079885-0.00039134i,7.3963e-05-0.00067386i,0.00082477-0.00044939i,0.0001743-0.00015911i
0.0015178-0.00063239i,0.0016506-0.0012086i,0.0020622-0.0021i,0.0010872-0.0023767i,-0.00035474-0.0011043i,-0.00067365-0.00015783i,0.00068638+0.00057215i,0.0019196+0.0021801i,0.0025295+0.0021969i,0.0016846+0.0011881i,-0.00036394+0.0016057i,-0.00092003+0.001956i,-0.00023394+0.00067419i,0.0002539-0.0008661i,0.00018322-0.0016256i,0.00028545-0.0012675i,-0.00015131-0.00024708i,-0.000472+0.00031344i,-0.00022379+0.00011737i,0.00058299+0.00057154i,0.0005297+0.001375i,2.5303e-05+0.00054162i,2.5259e-06-0.00049324i
0.0012403-0.0011197i,0.00068731-0.0012677i,-0.00016284-0.0011554i,-0.0017291+0.00012025i,-0.0019802+0.0012726i,-0.00066579+0.001767i,0.00062138+0.0030632i,0.0018679+0.0038099i,0.0026842+0.0030304i,0.0017248+0.0018148i,0.00049562+0.0019795i,0.00058521+0.0024222i,0.0012714+0.00044141i,0.00092136-0.001238i,0.00055646-0.00082396i,0.00131+0.0003757i,0.0012573+0.00060983i,0.00033575+0.00019614i,4.8037e-06-4.0576e-05i,0.00028687-0.00014766i,0.00096797-0.00029652i,0.00070584-5.1883e-05i,-0.00035914-0.0002444i
-0.0029292-0.00032198i,-0.0015128+0.00015972i,-0.0010827+0.00056115i,-0.00055534-0.00026058i,0.00038685-0.00054928i,0.00064371-0.00014276i,0.00083724+0.0014845i,0.0011623+0.0030293i,0.0021436+0.0024949i,0.0027711+0.0014114i,0.00073347+0.00059671i,-0.0010657+0.00022593i,-0.00078228+0.00019559i,-0.00069129+0.00043339i,-0.00040886+0.00027493i,0.00021467-0.00051104i,0.00092262-0.001093i,0.0014661-0.0011893i,0.0010359-0.00017364i,0.00062364+0.00075779i,0.00064933+0.00044812i,0.00026627-5.8926e-05i,-0.0005745+0.00017452i
-0.00018269+0.00013049i,-0.00011774-0.0001928i,0.00020767-0.00069186i,0.0006979-0.00012227i,0.0008364+4.915e-05i,8.8549e-05+0.00034973i,-0.00026486+0.0013162i,0.00045515+0.0023637i,0.0017386+0.0022362i,0.001525+0.00041228i,0.00041046-0.0013301i,-6.6246e-05-0.0011968i,-3.7062e-05+0.00050261i,-9.0816e-05+0.0014916i,-0.0006696+0.00073003i,-0.00060871+0.00011785i,-3.2852e-05-0.00044388i,0.00047968-0.00047381i,0.00017226+0.000267i,-2.9746e-07+0.00071719i,0.0002247+0.00037265i,8.3666e-05+0.00015316i,0.00057399+0.00027786i
0.002837+0.0009621i,0.0015993-0.00021827i,0.00095061-0.0011669i,0.0001368-0.0022367i,-0.0002325-0.0016383i,-0.00090233+0.00024945i,-0.00076307+0.0020094i,0.00082919+0.0028261i,0.0022708+0.0019841i,0.0011674-0.00037329i,-0.0013375-0.0016466i,-0.0021076-0.00036526i,-0.001186+0.00097071i,-0.00081117+0.00050305i,-0.00064582-0.00025053i,-5.8196e-05-0.00025265i,0.00053297+0.00023713i,0.0010271-0.00014467i,0.00024582-0.001109i,-8.9762e-05-0.00085294i,0.00022607-0.00047108i,-0.00012279-0.00058003i,8.9829e-05-0.00029329i
