-0.0013109+0.00012582i,-0.001433-0.0014426i,-0.00064719-0.0016737i,-0.00023992-0.0015004i,-0.00091954+0.00022165i,-0.00057217+0.0019832i,1.1488e-05+0.0020377i,0.00087421+0.0016232i,0.0010145+0.0019519i,0.00022527+0.001056i,-0.00024953-0.00050853i,-0.00037009-0.00091825i,-0.00061282-0.00044598i,-0.00081501+9.8734e-05i,-0.00098711+0.00068527i,-0.0011319+0.00084863i,-0.00044336+0.00023777i,0.00066938-0.00025979i,0.0004943-8.3135e-05i,-0.00018807-6.8057e-05i,0.0001733-0.00032347i,-0.00011921-0.00022052i,-0.00033504-0.00015594i
-0.00096018-0.0013535i,0.00053109-0.0011301i,0.00047661-0.00079536i,-0.00030835+0.00030528i,-0.00027766+0.00065596i,0.0001086+0.00093206i,0.00024598+0.00080505i,0.00026682+0.00067692i,0.00031183+0.00054454i,-8.0092e-05-7.8944e-05i,-0.00073757-0.00080383i,-0.00067785-0.00092261i,-0.00045878-0.0003662i,-0.00014828-0.00010402i,0.00017459+8.4838e-05i,0.00049511+6.0646e-05i,0.00066559-0.00048113i,0.00040725-0.00056405i,0.00046506-0.00022534i,-0.00010593+0.00038626i,-0.00051044+0.00036763i,-0.00066952-0.00054638i,1.5517e-05-0.00046884i
-0.00040218+0.00112i,-0.00018152+0.0011935i,-0.00076095+0.0010086i,-0.0011082+0.00069483i,-0.0011889+0.00022682i,-0.00084359+0.00012084i,-7.9467e-05+0.00024761i,0.00024967+0.00055854i,-0.00023773+0.0010233i,0.00026432+0.00099265i,0.0010354+0.00056773i,0.00037747+0.0002368i,-0.00043715+0.00017116i,-0.00077271-0.00028067i,-0.00023692-0.00038216i,0.00015259-0.00070593i,0.00017939-0.00015881i,9.4939e-05+0.00087827i,0.00046071-0.00019045i,0.0011893-0.001117i,0.0014852-0.00011031i,0.00027759+0.0007901i,-0.0008862+0.00039081i
0.00044986-0.0012782i,0.00054871-0.0020222i,0.00035881-0.0014051i,8.9257e-06-0.00072131i,0.00032058-0.00096329i,0.0011264-0.00092061i,0.0014404+0.00012754i,0.0011904+0.00086431i,0.0012814+0.00019354i,0.0007269-0.00031161i,-0.000568-0.00014181i,-0.0014657-3.0161e-05i,-0.0013321+2.9811e-05i,-0.00052763+0.00059356i,-2.2773e-05+0.00086088i,0.00089385+0.0007529i,0.00069153+0.0003782i,2.0959e-05-0.00013008i,0.00027125-0.00016434i,-3.0956e-05+0.00018509i,-0.00066085+4.0877e-05i,-0.0011084-8.18e-05i,-0.0009358+6.2927e-06i
0.00069285+0.00091627i,0.0013972+0.00060021i,0.0010153-0.0006837i,-0.00075862-0.0014538i,-0.0011524-0.0010503i,-0.00069804-0.00032223i,-0.00027474+0.00032412i,0.00033425+0.00037794i,0.00024635+0.00048484i,-0.00059016+0.00015445i,-0.00045875-0.00032629i,4.5812e-05-0.00067368i,0.00043231-0.00050531i,0.00016427-0.00013716i,-0.0005003+0.00013815i,-0.00053278+0.00052293i,-0.00013401+0.00033237i,0.00034596+0.00045851i,-5.3501e-05+0.00087097i,-0.00055522+0.00098318i,-0.00047848+0.0003679i,0.00028398-0.00065568i,0.00064906-0.00082192i
0.0005161+0.00064192i,0.00037642-0.00047915i,0.00046033-0.0012928i,0.00028731-0.0013598i,-0.00016104-0.00098174i,-0.00034403-4.3664e-06i,-0.00016694+0.0011234i,-0.00038364+0.0011616i,-0.00012643+1.6685e-05i,-0.00028937-0.00043966i,-0.00059128-0.00012437i,-0.00083755-0.00017635i,-0.00029273-0.0003277i,0.00034797+5.6158e-05i,0.00041491+0.00071871i,0.00076505+0.00076188i,0.00094965+0.00076812i,0.0007242+0.00072409i,0.00021156+0.00092518i,-0.00020733+0.00090977i,-0.00010827+0.00013674i,-0.00035783+0.00036363i,-0.0011682+0.00057834i
0.00129-0.00010078i,0.001369-0.00044987i,0.0010104-0.0010433i,-0.00030796-0.00068472i,-0.0013695-0.0010597i,-0.00042362-0.00046416i,0.00099126+0.00036162i,0.00096046+3.2285e-05i,0.00076761-0.00011068i,8.3392e-05-9.9122e-05i,-0.00011575-0.00047851i,-0.00020495-0.00050357i,-0.00085392-0.00035423i,-2.3165e-05-0.00077466i,0.00073878-0.0010353i,0.00037852-0.00030412i,0.00010207-0.0003642i,-0.00033471-0.0015347i,-0.00012213-0.0019283i,0.00029691-0.0017888i,-0.00021615-0.0012811i,-0.00045491+5.3697e-05i,-0.00011505+0.00012417i
-0.00062974-0.0015213i,-0.00086532-0.0013588i,-0.0017417-0.0013467i,-0.0024515-0.00080936i,-0.0013538+0.00030044i,5.4224e-05+0.00079705i,9.3045e-05+0.00084264i,-0.00057538+0.0012189i,-0.0013008+0.00042237i,-0.0010323-0.00034826i,-0.00069517-0.0007664i,-0.00046851-0.00048921i,-9.5313e-05+0.00016i,0.00012568+0.00042138i,0.00012662+0.00072077i,-0.00033274+0.0012211i,0.00025563+0.00088066i,0.00081233-0.00032512i,0.00021075-0.00053639i,0.00024473+0.00089843i,0.00051765+0.001401i,-9.6405e-05+0.00027383i,-0.00058056+0.00027696i
0.00064578+0.0012321i,0.00032047+2.8583e-05i,0.0014239-0.00096551i,0.0014072-0.00072696i,0.00099923-0.00020917i,0.00083194+0.00028452i,0.00037265+0.0010275i,9.0295e-05+0.0010086i,0.00030422+0.00027667i,0.00013272-0.00045565i,-0.00041599-0.00064448i,-0.00022526-0.00047888i,-0.00017248-0.00080039i,-0.00046159-0.00050081i,-0.00014336+0.00028333i,0.00070292+0.0007731i,0.00065862+0.00046331i,0.00045319-0.00018098i,0.00048916-0.00048974i,0.00011526-0.00060217i,-0.00025644-0.00060148i,-0.00041378-0.0007111i,-0.00070466-0.00028768i
-0.00041661-0.0011742i,-0.00025792-0.00076138i,-0.00058214-0.0013036i,-0.001248-0.0015379i,-0.0015944-0.00061084i,-0.0006658-0.00014367i,0.00068684+0.00054896i,0.00090426+0.00095838i,2.7796e-05+0.00032254i,-0.00040571-0.00024987i,-0.00014848+0.00030008i,-1.8831e-05+0.00038793i,-0.00040481-0.00054238i,-0.00075862-0.0004121i,-0.00071954-0.00037962i,-0.00036611-9.2842e-07i,-5.0154e-05+0.00081096i,0.00054829+0.0005121i,-5.0368e-05-0.00040909i,-0.00050228-0.00056235i,-0.00024066+0.00046125i,-0.00030439+0.00052794i,-8.8789e-05+0.00033232i
0.0019683+0.0021558i,0.0012394+0.0014449i,0.00025993+0.00011946i,-0.00037113-0.0002689i,-0.00088963-0.00062763i,-0.0014794-0.00061297i,-0.000797-0.00057387i,0.00075489-0.00030622i,0.00071969+0.0003201i,-9.3007e-05+0.0002631i,-6.6608e-05+9.5053e-05i,-0.00028413-7.2035e-05i,-0.00080625-0.00036535i,-0.00017273-0.00034529i,0.00063629+2.0446e-05i,0.0005036+0.00013717i,0.00079098-0.00047719i,0.0008231-0.00063861i,0.00044086-0.00017867i,-0.00030704-0.0001526i,-0.00092099-0.00034102i,-0.00058933-0.00044632i,-0.00040022-0.00039487i
-0.0011133-0.0010554i,0.00016775-0.0010075i,0.00038756-0.00057733i,-0.00045305-0.00047334i,-0.00072816-0.00048782i,0.00013333-0.00041839i,0.00089645-2.7779e-05i,0.0011735+0.00052565i,0.00068273+0.000845i,0.00047608+0.0006401i,0.00052256+0.00019029i,0.00027082-0.00065493i,-0.00017912-0.00079218i,-0.00074626-0.00029387i,-0.00072708-0.00012064i,-0.00072333+9.1844e-05i,-0.00047215+7.2437e-05i,0.00044625+0.00067461i,0.00070036+0.0012297i,0.00017458+0.00071985i,6.0178e-05-9.4629e-05i,0.00030073-0.00013509i,0.00083409-0.00015622i
0.0013115-0.0005304i,-0.00022534-8.391e-05i,-0.0016882-0.00033875i,-0.0017896-0.00010152i,-0.0012646+0.00016071i,-0.0002496+0.00067646i,0.00029832+0.0015351i,0.00038493+0.0019187i,0.00049388+0.0013093i,0.00033061+0.00054212i,-0.00018981-2.8596e-05i,-0.00057833-0.00040223i,-0.00028989-0.00056692i,-0.00010181-0.0004799i,-0.00046358-5.6986e-05i,-0.00052651+0.00061037i,-0.00022065+0.00084078i,0.0001504+0.0005154i,0.00023425+0.0007002i,0.00027575+0.0015144i,0.00017452+0.0011164i,0.00058747-0.00013102i,0.0010207-0.00053057i
0.00034786-0.0010457i,0.00047346-0.0016315i,0.00023101-0.0027394i,-0.00085702-0.0021011i,-0.0012835-0.000454i,-0.0010285+0.00054271i,-0.00011959+0.0010127i,0.00040781+0.0011878i,-0.00030563+0.00053321i,-0.00016258+0.00023962i,3.7031e-05+0.00061386i,-0.00018093+0.00011224i,-0.00045282+0.00012828i,-0.00068563+0.00030099i,-0.00033607-0.00027038i,0.00040536-0.00029402i,0.00093906-8.6843e-05i,0.00088382-0.00024738i,0.00068888+0.00015701i,0.00013892+0.00022229i,-0.00067977-0.00029198i,-0.00038644-0.00019402i,0.00091552+0.00053342i
-5.2877e-05-0.00084394i,-0.00033486-0.0017863i,-0.00014357-0.0020403i,-0.00016832-0.0015684i,-0.0001837-0.00079258i,0.001055+0.00053929i,0.0016091+0.00073722i,0.0015725+0.00064036i,0.00080608+0.001037i,-0.00014284-7.6407e-06i,0.00030461-0.00027147i,0.000514-0.00036407i,0.00013327-0.00032245i,-5.3233e-05+0.00024528i,-0.00077061+0.00024858i,-0.0012047+0.00051219i,-0.00059767+0.00012253i,-9.6189e-05-0.00029323i,-0.00015975+0.00011848i,-0.00024109+0.00034066i,-0.00046844-0.00059926i,-0.00037805-0.00076276i,0.00049582+0.00013246i
-0.00018759-0.00099429i,0.001361+0.0006029i,0.0018794+0.0013723i,0.00048178+0.00044316i,-0.00013526-6.5079e-05i,0.00056416+0.00031381i,0.0013764+0.00014237i,0.0012128+0.00018194i,0.0010822+0.0011376i,0.00075535+0.001368i,-0.00030866+0.00069505i,-0.00099956+0.00013227i,4.4259e-05-0.00086433i,0.00087041-0.0014051i,0.00044922-0.00071875i,0.00047615-0.00011979i,0.00069617-0.00045136i,0.00067146-0.00064965i,0.00029111+0.0003426i,0.00023569+0.00056206i,-8.4586e-05-0.00028784i,0.00052126-0.00028641i,0.0012282+0.00013478i
0.0019126-0.00061294i,0.0018384-0.001187i,0.00093749-0.0015218i,-0.0002102-0.00070672i,-0.00014803+0.00039956i,0.0003149+0.0011192i,0.00063017+0.00092079i,0.00017102+0.001034i,-0.00050223+0.00059986i,-0.00037758+4.2074e-05i,-0.00042224+4.434e-05i,-0.00086759-7.3229e-05i,-0.0013253-0.00047929i,-0.00026903-0.00043769i,0.00075382+0.00019821i,0.00084713+0.00072019i,0.00032843+0.00078626i,3.9825e-05+0.00072505i,0.00023526+0.00095081i,-0.00054745+0.00080384i,-0.00059588+2.5334e-06i,-0.00041411+0.00019969i,-0.00076538+0.00023814i
-0.00012711-0.0012689i,0.00020725-0.0010981i,-0.00083156-0.00088329i,-0.001992-0.00019809i,-0.002084+0.00016788i,-0.00068587+0.00091045i,0.00012169+0.0012075i,6.3832e-05+0.00054973i,0.00032746+0.00061292i,-0.00018712+0.00033181i,-0.0011069-0.00019354i,-0.0016954-7.7052e-05i,-0.0010339-0.00016154i,0.00051476-2.1596e-05i,0.00018681+0.00036456i,0.00026794+0.00011496i,0.00066963-0.00026256i,5.0955e-05-0.0003033i,-0.00040189-0.00012206i,-0.00069862-8.2637e-05i,-0.00081407-0.00049763i,-0.001053-0.00048086i,-0.0012926-0.00025088i
0.0018573+0.0012991i,0.0017995+0.00079897i,0.0014608-0.0008869i,0.00039696-0.0011312i,-0.00033591-0.0012843i,-0.00030297-0.0015229i,-0.0012524-0.00077061i,-0.00047905-2.8269e-05i,0.0010126+0.0002431i,0.00083174+0.00022458i,0.00011572-0.00028487i,-4.9705e-05-0.00049469i,5.3452e-05-0.00022728i,-0.00014792+0.0001403i,0.00049212+0.00017337i,0.00052731+0.00035898i,-0.00030838+0.00069394i,-0.00066051+0.00024319i,-0.00022195-0.00037848i,-1.3531e-05-0.00019791i,-0.00035388-2.2754e-06i,-0.00030011-0.00014933i,-0.00019276+5.1148e-05i
-0.0025587-0.00044111i,-0.0017627-0.00027786i,-0.0020113+0.0012442i,-0.002416+0.0015555i,-0.0017836+0.0013103i,-0.00076894+0.0012617i,0.00016995+0.00098619i,0.00030025+0.00078057i,0.00017666+0.00085496i,0.00054806+0.00048733i,0.00019589-0.00039696i,-0.00038303-0.0006488i,-0.00038106-0.00053076i,-0.00047921-0.00039512i,-0.00074352+3.3587e-05i,-0.00070092+5.488e-05i,-0.00042606-0.00025525i,-5.1881e-05+0.00021484i,0.00030234+0.00094415i,0.00033194+0.00080918i,-0.0001303+9.4517e-05i,-0.00039698-0.00057694i,7.0289e-05-0.00073966i
0.00040503+0.0010808i,0.00097752-0.00015745i,0.00012222-0.0016588i,-9.7922e-05-0.0018269i,0.00033517-0.0010945i,0.00019431-0.00032386i,-0.00048122+0.0004029i,-0.00052276+0.00079478i,0.00015065+0.00017364i,0.00051928-0.00047272i,0.00037386-0.00035051i,0.00025109+0.00023809i,0.00030872+0.00054447i,0.00032461-0.00074886i,3.7218e-05-0.0015046i,0.00028904-0.00075178i,0.00068538-0.0004646i,0.00041285-0.00098878i,-0.00037377-0.00034693i,-0.00098495+0.00031398i,-0.00098091+0.00017281i,-0.0011332+0.00070565i,-0.0015811+0.00089169i
-0.00067794+9.42e-05i,0.00021132-0.00041237i,0.0013049-0.00022081i,0.00062961-0.00040538i,-0.00059358-0.00013477i,-0.00046861+0.0001434i,0.00027349-7.1344e-05i,0.00030322+0.00023451i,0.00037665+0.0003303i,-0.00042261-0.0001799i,-0.0008719-0.00010046i,-0.00040628+0.00050649i,-0.00014782+0.00020986i,8.5174e-05-0.00048636i,-0.00039761-0.00041413i,-0.00067594+0.00062669i,-0.00053233+0.00086997i,-9.7714e-05+8.5035e-05i,0.0004215-0.0004432i,0.00031358-0.00076798i,-0.00066183-0.00032019i,-0.0013052+0.00058398i,-0.00069653+0.00030587i
-0.00094499+0.00092428i,0.0001964+0.00040607i,0.00076358-0.00050155i,0.0002115-0.00010961i,6.1998e-05+0.00058568i,0.0007382+0.00037873i,0.0015744+0.00046953i,0.00099831+0.00050495i,0.00060593+0.00026489i,0.00044745+0.00015212i,0.00039489+9.6626e-05i,0.00012976+0.00012071i,-0.00035261+7.6323e-05i,-0.0007172-0.00019878i,-0.00081931-0.00048819i,-2.5561e-05-0.00044544i,4.7219e-05-0.00066172i,-0.00011483+0.00030924i,0.0004451+0.001058i,0.00027425+0.00066419i,-0.0002571+3.8424e-05i,0.00010175-0.00030841i,0.0006919-0.00033353i
-0.00080734-0.0016207i,-0.0010925-0.00092594i,-0.0017807-0.00037158i,-0.0017098+0.00030804i,-0.0004271+4.7149e-05i,0.00031646+0.00035477i,0.00022775+0.0006165i,0.00025376+0.0010003i,4.3113e-05+0.00079401i,-5.0067e-05-2.7956e-05i,-0.00036031-0.00063685i,-0.00022454-0.00035263i,0.00053119+0.00071715i,0.00086976+0.00016931i,0.00021469-0.00045116i,-0.00048061-0.00028557i,-0.00026032-0.00030271i,0.00066504+0.0001923i,0.00076759+0.00086944i,0.00015308+0.00097788i,0.00021431+0.00062871i,0.00048664+0.00018432i,5.5863e-05-0.00056717i
0.0010044-0.00092642i,0.00088013-3.7941e-05i,-0.00019212-0.00021457i,-0.00074895-0.00037836i,-0.00091149+0.00022223i,-0.00043075+0.0002783i,0.00058633-1.674e-05i,0.00088943+0.00072187i,0.00092551+0.0011863i,0.00030757+0.0004111i,-0.00028473-5.063e-05i,-0.00011834-5.9832e-05i,-0.00028653-0.00050201i,-0.0007162-0.00096059i,-0.00032593-0.00054358i,0.00035437-0.00013678i,0.00090899-0.0005014i,0.00068673-0.00039328i,-6.0633e-05+6.0023e-05i,3.3136e-05-0.0002567i,0.0004183-8.7516e-05i,-0.00041551+0.00053245i,-0.0005115+0.00037238i
-0.0014554-0.0014636i,-0.0014225-0.002752i,-0.00222-0.0024813i,-0.0016388-0.0014504i,-0.0012505+0.0001636i,-0.00063278+0.0011014i,-0.00035385+0.00082835i,-0.00033102+0.00090836i,7.9951e-05+0.0014315i,0.00028396+0.0011372i,-0.00030344+8.7245e-06i,-0.00075352-0.00054451i,-0.00020779+5.0642e-05i,5.2006e-05-0.00014981i,0.000442-0.00078854i,0.00052399-0.00068342i,-0.00015674-0.00024828i,0.00040643+0.00095834i,0.0012637+0.0013121i,0.00034058+1.2904e-05i,-0.0002191-0.00076679i,0.0001806-0.00012735i,0.00059274+0.00020353i
0.0012957+0.0017426i,0.00028514+0.00043257i,9.4191e-05-0.00053776i,0.00018238-0.00036794i,-0.0004545-0.00022479i,-0.00052-1.0928e-05i,-0.00011745+0.00091776i,0.0012637+0.0019044i,0.0016127+0.0016859i,0.00025178+0.0001627i,-0.00081309-0.00060213i,-0.00082486-0.0012845i,-0.00024905-0.0010709i,0.00015204+7.3152e-06i,8.1445e-05+0.00031016i,0.00042771+0.00065328i,0.00084142+0.00098273i,0.00088741+0.0012947i,0.00027317+0.0011315i,-9.7016e-05+0.00015711i,-0.00016882-0.00064244i,-8.1399e-05-0.00065718i,0.00065093-0.00041318i
0.00035588+0.00063053i,0.0006279-0.00027945i,0.00023306-0.0018209i,-0.00084677-0.0014964i,-0.00081016-0.0010527i,0.00033615-0.00058859i,0.00016942+0.00013838i,-0.00042742+0.00026237i,-0.00080937-0.00077293i,-0.00087435-0.0014779i,-0.000473-0.00067935i,-0.00026977-5.0679e-05i,-0.0004215-1.9093e-05i,-0.00060197-0.00024442i,-0.00080833-0.00010452i,-0.00044645+0.00048127i,-5.9267e-05+0.00057058i,0.00048185-7.5178e-05i,0.00092294-0.00040769i,0.00041852-0.00039021i,0.00033125-0.00024762i,0.00045644-0.00046715i,0.00027748-0.00062887i
0.0025224+0.0020928i,0.0010288+0.0013472i,0.00057505+0.0002858i,-0.00016012-0.00056407i,-0.0011287-0.00082283i,-0.0019937-0.0005501i,-0.0011073+0.00047702i,-0.00048619+0.00057075i,-0.00031457+0.00010199i,-1.5324e-05-0.00052998i,-0.00024244-0.0009124i,-0.00014506-0.00099898i,-0.00018204-0.00039666i,-0.0005512+0.00063961i,-6.6479e-05+0.0010681i,5.5033e-05+0.0012635i,0.00024634+0.00067592i,0.00030703+0.00038172i,3.2264e-05+0.00055187i,-0.00020151+0.00052866i,-0.00048159+0.00092824i,-0.0008798+0.0011506i,-0.001142+0.00022182i
0.0019185-0.00067367i,0.0019477-0.00081813i,0.00053983-0.0011857i,-0.00056164-0.0018084i,-0.0010711-0.0016119i,-0.0014846-0.00017045i,-0.00091876+0.00072075i,-1.4394e-05+0.0010313i,0.00030425+3.0377e-05i,0.00030362-0.00051029i,-0.00016039-0.00031069i,-0.00013163-0.00076036i,-4.5048e-05-0.00053019i,-0.00044093+0.00033077i,-0.00076161+0.00076004i,-0.00064245+0.00028553i,-0.00035235+0.00028654i,0.00022266+0.0011258i,0.0010521+0.0012556i,0.0011187+0.00017879i,0.00050046-0.000503i,2.8821e-06-0.00042035i,-0.00065429-0.00038349i
-0.00018033-0.00014288i,-0.00097274-0.00031492i,-0.00079934-0.00082045i,-0.0010739-0.0010866i,-0.0017682-0.00088394i,-0.00095652-0.00025856i,0.00034835-0.00048842i,0.00056185-0.00056644i,0.00014308+0.00012419i,-3.9718e-05+5.8374e-05i,-0.00047439-0.00082949i,-0.00027037-0.0011381i,7.165e-05-0.00037786i,0.00022167+0.00029193i,-0.00042791-6.1138e-05i,-0.00089312-0.00020872i,-0.0006799-0.00013879i,-0.00082895-0.00084482i,-0.00086882-0.0011455i,-0.00054713-0.00076656i,-0.0006964-0.00050467i,-0.00045753-0.00040507i,0.00032888-0.00013806i
1.3705e-05+0.00026581i,0.00097493-0.00072437i,0.0012748-0.0014132i,0.00044568-0.00070036i,2.4242e-05-0.00030737i,0.00072893+0.00033012i,0.001082+0.0012604i,0.001357+0.0009034i,0.0011535+0.00026185i,-0.0004223-0.00020187i,-0.00095341-1.8691e-05i,-0.00046097+0.00055783i,8.0965e-06-0.00027825i,0.00028851-0.00070076i,0.00066029-0.0002677i,0.0007697+0.00033371i,0.000185+0.00025694i,0.00053795+4.5206e-05i,0.00059761+0.00047934i,5.7137e-05-0.00032459i,3.527e-05-0.00079512i,-0.0001544-0.00038294i,-0.00059648+6.7534e-05i
0.00082721-0.00092881i,-0.00013479-0.00035635i,-0.0013008-0.00028557i,-0.0011431+0.00017097i,-0.0007063+0.00044936i,-0.00078301+0.00076413i,-0.00058204+0.00067217i,-0.0004953+0.00088583i,-0.00086679+0.0011268i,-0.0013523+0.00064806i,-0.0016798+0.00039184i,-0.0013122+0.00034294i,-0.00092046+4.1412e-06i,-0.00010584-4.2555e-05i,0.00073445+0.00020782i,0.00094195+0.00047149i,0.000631+0.00030265i,0.00074304+0.00048707i,0.0010824+0.00065725i,0.0011018+0.00039284i,0.00011326+0.00028223i,-0.00075664+6.6237e-05i,-0.00041517+0.00032575i
0.0010864+0.00064682i,0.00084135+0.00014045i,-0.00062177-0.00073731i,-0.0013501-0.00097174i,-0.00058022-0.00088441i,-8.8011e-05-0.00039519i,9.6695e-06+0.00055139i,7.6085e-06+0.0010104i,-0.00031745+0.00037423i,-0.00086136+0.00016477i,-0.0015749+0.00043699i,-0.0013213+0.00013551i,-0.00064695-0.00031899i,-0.0006539+0.00023736i,9.5021e-05+0.00027535i,0.00083671+0.00011921i,0.00029525+0.0010676i,-0.00036789+0.0010852i,-0.0010573+0.00042488i,-0.0015041+0.00046073i,-0.00099577+0.00054173i,-0.00077801-3.0748e-06i,-0.0009999-1.9172e-05i
5.6625e-05-0.00060521i,-0.00023394-0.0010985i,-0.00050226-0.0016787i,-0.00056476-0.0017961i,-0.00020929-0.0010837i,-0.00030587-0.00019845i,-0.00066119+0.00041919i,-0.0006675+0.00066633i,-0.00020393+0.00056577i,0.00036715+0.0002817i,0.00012187+0.00054103i,0.00017569+0.00034015i,0.00026075+9.1193e-05i,5.4552e-05-0.00015557i,0.00047756-0.00025748i,0.0004141+0.00022407i,0.00016042+6.5884e-05i,-1.1765e-05+1.0247e-05i,-0.00025894-5.2198e-05i,-0.00026113-0.00044204i,7.9766e-05-0.00047898i,5.4811e-05+0.0005634i,-0.00036567-0.00013156i
-0.00072875+0.0010139i,-0.00094561+0.00081541i,-0.00079008+0.00059429i,-0.0009805+0.00026002i,-4.6283e-06+6.893e-05i,0.00045491-1.8556e-05i,0.00032102+0.00024734i,0.00093348+0.0013035i,0.00034368+0.0012778i,-0.00052592+0.00027332i,-0.00082932-0.0012068i,-0.00090541-0.001304i,-0.00088865-0.00045459i,-0.00079369+0.00021293i,-0.00054848-9.9711e-05i,0.0002115-0.00086014i,0.00067822-0.00051667i,0.00029654-0.00016374i,-0.00017275-0.00017331i,-0.00037929+0.00049761i,-0.001223+0.00082954i,-0.001717+0.00028176i,-0.001034-6.2787e-05i
-0.00065524+0.00062031i,-0.00013476+0.00026514i,-0.00070933-0.00013892i,-0.001362-0.00098592i,-0.00068278-0.0018244i,-0.00028075-0.00093193i,-4.9369e-05+0.00080207i,0.00080003+0.001445i,0.00067214+0.00086563i,-0.00050916-5.5754e-05i,-0.0011216+0.00019174i,-0.0010518-0.0001152i,-6.0563e-05-0.00048919i,0.00043537+9.0965e-05i,-2.509e-05+6.7604e-05i,0.00012196-0.00044222i,0.00013056+0.00025263i,-0.00032935+0.0012127i,-0.00051086+0.00093968i,-0.00022126+0.00065312i,-0.00039077+0.00080684i,-0.00074526+0.0005274i,0.00020713+0.00027329i
0.0016515-0.00081569i,0.0017001-0.0012982i,0.0019732-0.0016112i,0.0011931-0.0015521i,-0.00051765-0.00040691i,-0.0014259+0.0010781i,-0.00084906+0.0010175i,0.00078461+0.00051285i,0.0013683+0.00050574i,-0.00023609+0.00072739i,-0.0014426+0.00022295i,-0.00084056-0.00038801i,-0.0002317-0.00020951i,-0.00034601-0.00014193i,-0.00064561+0.00046501i,-0.00081153+0.0010934i,-0.00023972+0.00021467i,0.00057911-0.00020322i,-0.0005949-0.00021153i,-0.00095766-0.00068443i,0.00051059-0.00014798i,0.0004684+8.9942e-05i,-0.00015577-0.00039984i
0.00064863-0.00011073i,-0.00017046-0.00051926i,-0.00072913-0.00070833i,-0.0014111-0.00045799i,-0.0014404-0.00059635i,-0.00076487-0.00028013i,-0.00076171+0.00051237i,-0.00059578+0.00090426i,-0.00038655+0.00094032i,-0.00047502+0.0010399i,-0.00048935+0.00044958i,-0.00061482+0.00029734i,-0.0010575+0.0002767i,-0.00082083+0.00049265i,-0.0003788+0.00060959i,-2.1153e-05+0.00027201i,0.00046393+0.00032565i,0.00053594+0.00021197i,0.00015417-4.3453e-05i,-1.7719e-05-0.00034297i,-0.00028017-0.00038131i,-0.00067306-0.00056196i,-0.00060243-0.00070639i
0.00049142-0.0017184i,8.5717e-05-0.00083824i,-0.00076691-0.0011342i,-0.001426-0.00068393i,-0.0013373+0.00040193i,-0.0004571+0.0011286i,0.00019189+0.0011051i,0.00023797+0.00050143i,0.00028689-7.618e-05i,-5.0073e-05-0.00014867i,-0.00049893-0.0001565i,5.5115e-05-0.00028192i,1.6941e-05+0.00010411i,0.00014191-0.00011399i,0.0002106-0.00057721i,9.8647e-05-0.00025083i,0.00053914+0.00056566i,0.00044808+0.00035217i,0.00011125-0.00036504i,-0.00027033-0.00052212i,0.00029847+0.00011785i,0.00035273+0.00013092i,0.00056214-0.00026681i
-0.00024199-0.0016297i,6.7615e-05-0.0015187i,-0.00067124-0.0025446i,-0.00054267-0.0014579i,-0.00022037+0.00028985i,0.00019724+0.00059905i,0.00020276+0.00071003i,3.5014e-05+0.00080256i,0.00073445+0.00066443i,0.00063147+0.00082233i,-0.00075836+0.00055891i,-0.00066745-0.00045633i,-0.00032779-0.00045911i,-0.00054983+0.00021463i,-0.00016017-0.00012149i,-0.00010308-2.8209e-05i,0.00022202+0.00063877i,0.00031464+0.00028021i,-0.00064463-0.00057258i,-0.0011735-0.00092416i,-0.00060747-0.00085075i,-0.00057735-0.00043916i,-0.00037094-0.0002564i
0.00030408+0.00021112i,-3.8657e-05-0.00027922i,-0.00034812-0.00010066i,-0.001061-0.00027765i,-0.0011078-6.6282e-05i,-0.00040933+0.0014015i,0.00017371+0.0017367i,0.00046492+0.0017094i,0.00020069+0.0015568i,3.7025e-05+0.00042089i,5.9582e-06-0.00031028i,-0.00025382-0.00018464i,-0.00057625+0.00014367i,-0.00040446+0.0005323i,7.4445e-05+0.00029477i,-0.00036334+0.00038398i,-0.00039175+0.00075605i,0.00047757+0.00064024i,0.00036313+0.00027108i,-0.00019301+0.00016264i,-0.00030273-0.00027813i,-9.8061e-05-0.00051566i,0.00015628+1.4027e-05i
-0.00053696-0.0011415i,-0.00016364-0.00010416i,-0.00097615-0.00032828i,-0.00093072+9.0286e-05i,-0.00064707+0.00053895i,0.00019516+0.000118i,0.00044644+0.00021178i,-0.00052077+0.00048945i,-0.00092075+0.00059722i,-0.00083535+0.00098047i,-0.00092946+0.00087758i,-0.00042579+0.00027117i,1.7326e-05-0.00085421i,-0.00030971-0.00067024i,-0.00083394+0.00051739i,-0.00064823+0.00071059i,0.00014015+0.00030664i,0.00058859+2.5467e-05i,0.00075938+7.4437e-05i,0.0007003-0.00015806i,0.00022302-0.00033199i,-0.00036248-0.00069475i,-0.00068716-8.8473e-05i
