-0.0024469+0.00063301i,-0.002262-0.00069905i,-0.0032608-0.00075431i,-0.0027361-0.00062369i,-0.0017874-0.00045492i,-0.00024733-4.6303e-05i,0.00064781+0.0011257i,0.00079251+0.0014552i,0.001152+0.00082621i,0.00047889+0.00027087i,-4.4253e-05-0.00029999i,0.0003752-0.00043444i,0.00076577-4.9203e-06i,-0.00057009+0.00020865i,-0.0013457+0.00012307i,-0.00017199-4.4681e-06i,-0.00013726-7.872e-05i,-0.00029604+0.00054101i,0.00056582+0.00044102i,0.00058233+0.00028125i,0.00067418-0.00045045i,0.0013596-0.00083846i,0.00054797-0.00027031i
0.0033823-0.0013535i,0.0025859-0.0012892i,0.0019679-0.0015239i,0.00075341-0.00053356i,-0.00023919+0.0014629i,0.00047006+0.0010342i,0.0015115-0.00064851i,0.00090734-0.0006919i,5.0975e-05+0.00035261i,-7.3433e-05+0.0010182i,-8.1563e-05+0.0010657i,0.00084517+0.00062427i,0.0012845-0.00014503i,0.00027274-0.00026432i,-0.00085093+0.00018062i,-0.0010865+0.00056696i,-0.00060869+0.00076197i,0.0002759+0.00040262i,1.6514e-05-8.9318e-05i,-0.00047725-0.00024339i,-6.7504e-05+0.00024026i,-0.00066367+0.00025416i,-0.0010063-0.00043991i
-0.00014959-0.00086215i,-0.00097346-0.0019235i,-0.0010617-0.0018795i,-0.00023796-0.00093113i,0.00049336+8.6338e-05i,0.0013159-0.00010648i,0.0013228-0.0012369i,0.0006013-0.0013245i,0.00020615-0.00090583i,0.0001717+6.7497e-05i,0.00010944+0.00069157i,0.00031132+9.3329e-05i,0.00056327-0.0002856i,-0.00011055-0.00065467i,-0.00024416-0.00076944i,-0.00018002-0.00027042i,-0.00026126-4.7403e-05i,-0.00031342-0.00027243i,-0.00040465+0.0003208i,-0.00030773+0.00088067i,-0.00013462+0.0010352i,-2.1703e-05+0.0010657i,0.00023614+0.00094466i
-7.989e-05+4.7194e-05i,-0.00057414-0.00054844i,-0.0014695-0.00079129i,-0.0024894+0.00020849i,-0.0023113+0.0021086i,-0.00088986+0.0025425i,-0.00017012+0.0012181i,-0.00019909+0.00024571i,-0.00035882+4.5689e-05i,-0.00028271-0.00075457i,0.00014659-0.00083598i,-0.00025669-3.6619e-05i,-0.0013339-0.00017836i,-0.0011085+0.00016161i,-0.00044014+0.00033232i,6.3628e-05-0.00025238i,0.001046-0.00015382i,0.00063802+0.00030382i,-7.6549e-05-0.00018757i,0.00041931-0.00063153i,0.000694-0.00075732i,0.00023535-0.00073543i,-7.0365e-05-0.0006387i
-0.0018417+0.00014039i,-0.0011239+0.00011495i,-0.001481+0.00019103i,-0.0010541+0.00084706i,0.0010658+0.0020567i,0.0021025+0.0017752i,0.0017613+0.00098069i,0.00042202+0.0011314i,-0.00058695+0.0012056i,-0.00048328+0.00074779i,0.00018438+0.00085338i,0.0006469+0.00096532i,0.00027412+0.00051567i,-0.00043403+0.00040423i,-0.00042022+0.00081464i,4.3624e-05+0.0010179i,0.00030863+0.00064654i,-8.2845e-05-0.00046755i,-9.3594e-05-0.00065001i,0.00023158-0.00015046i,-0.00025519-0.00027991i,-0.00022507-2.4646e-05i,-0.00021606+9.7235e-05i
0.0022688-0.00063661i,0.002583-0.00080699i,0.0015798-0.00073884i,0.0011565+8.9673e-05i,0.0011788+0.0012061i,0.0011737+0.0012206i,0.0013609+0.00038067i,0.00051675+0.0001257i,-0.00020419+0.00047294i,-0.000356+0.00088798i,-0.00072124+0.0013164i,-0.00063608+0.00089832i,-0.00038146+0.00061609i,3.6687e-06+0.00078477i,0.0012048+0.00052757i,0.0013001+0.00021701i,0.00098052+0.00014984i,0.00063669+0.00066297i,0.0007792+0.00077792i,0.0011635+0.00026892i,0.0011049+0.00010467i,0.00082921-0.00011664i,0.00025653-0.00043834i
0.0028751-3.0052e-06i,0.0019989-0.0013957i,-3.3464e-05-0.0018567i,-0.0016261-0.00097622i,-0.00108-0.00088341i,0.00081818-0.001168i,0.0013435-0.00053456i,0.00024967-0.00040176i,7.8696e-05-0.00059873i,0.00066251-0.00058882i,0.00028222-4.1797e-05i,0.00066091+1.4684e-05i,0.0016316-7.5535e-05i,0.0014018-0.00022176i,0.00053578-0.00024713i,-0.00035602+0.00010994i,-0.00041869+0.00038101i,-0.00014813+0.00044857i,-0.00033634+0.000293i,-0.00026004+0.00025961i,0.00017898-3.3064e-05i,0.00049002-0.00088262i,2.9515e-05-0.00087487i
0.0013464+0.00073236i,0.0013519+0.00044788i,0.00060979+0.00017087i,0.00021124+0.00026974i,0.00094279+0.0022901i,0.0012401+0.0023909i,0.0012169+0.00057491i,0.0014221+0.00033242i,0.00096082+0.00042734i,-0.00038279+9.1023e-05i,-0.00034484+0.0002897i,0.00048616+0.00053816i,0.00068564+0.00014947i,0.00089316-0.00044894i,0.00053056-0.00076632i,0.00018237-0.00048992i,-2.7667e-05-0.00018711i,-2.2899e-05+0.00019359i,9.1633e-05+0.00040814i,-0.00041097+4.2754e-06i,-0.0010876-0.00059191i,-0.00072508-0.00069808i,-0.00026223-0.00045188i
0.001649+0.0036024i,0.001382+0.0024345i,0.00074144+0.0019014i,0.00095849+0.0011009i,0.0011175+0.0011522i,0.0011573+0.00053358i,0.00090612-0.00035751i,0.00062727-0.00035735i,0.00059174+0.00038607i,3.8951e-05+0.00059479i,-5.6082e-05+6.9939e-05i,0.00050386-0.00046832i,0.00027044-0.00069431i,-0.00071396-0.00081613i,-0.00065232-0.00072261i,-0.00026796-7.8119e-05i,-0.00025554-0.00034589i,-0.00055363-0.00064389i,-0.00064572-0.00070784i,0.0001027-0.00045383i,0.00053645+0.00059815i,0.00030328+0.00080928i,1.1132e-05+0.0002017i
-0.00013144+0.0012345i,0.00027699+0.0004904i,0.00025172+0.0015264i,0.0002364+0.0016159i,0.00065436+0.001933i,0.0016639+0.0020923i,0.0016857+0.00097756i,0.00018216+0.00012117i,-0.00077826+8.2129e-05i,-0.00036699+0.00071409i,0.00049218+0.0013131i,8.3121e-05+0.00093154i,-0.00072337+0.00046239i,-0.00026737-0.00014312i,0.00028455-9.6409e-05i,0.00021165+0.0005627i,-5.4913e-05+0.0005966i,-2.1758e-05+0.00062389i,8.808e-05+0.00063455i,-0.00022742+7.8208e-05i,-0.00051218-0.00029171i,0.00034223-0.00049211i,0.00088002-0.00078818i
-0.00058336-7.1605e-05i,-0.0012143-0.001686i,-0.0024673-0.0020734i,-0.0028929-0.0004566i,-0.00088881+0.00043309i,0.0013277-0.00020871i,0.00095431-0.0010861i,-0.0013036-0.00046283i,-0.0023098+0.00048728i,-0.0014014+0.001425i,-0.00028059+0.0011531i,0.00018923+0.00060539i,-0.00019488+0.00065498i,0.0002555+0.00065923i,0.0010541+0.0015198i,0.0006634+0.0010826i,-0.00028166+0.00013745i,-0.00062136+0.00081166i,-0.00040012+0.00064794i,-0.00035286+0.00045311i,-0.00066087+0.0014986i,-0.00056115+0.0011597i,5.5343e-05-0.0002012i
0.0013703+0.00028623i,0.0016661+0.00070438i,0.00045874+0.00016933i,-0.00023752+0.00060875i,0.0003138+0.0016424i,0.00096224+0.0016858i,0.0010813+0.0015854i,0.00091099+0.0016782i,3.0866e-06+0.0020288i,0.00014099+0.0016254i,0.0010204+0.00095471i,0.0011659+0.00044815i,0.00069876-0.00015737i,0.00056936-0.00079391i,0.00042457-0.00092456i,-5.9918e-05-9.3296e-06i,0.00070932+0.00022146i,0.001334+0.00027091i,0.00050152+0.00067349i,-0.00016109+3.446e-05i,0.00019194-0.00074963i,0.00068247-0.0004312i,0.0004434+0.00024439i
0.00023986+0.001253i,0.00068773+0.0012022i,-7.9998e-05+0.0015574i,-0.00074862+0.0025546i,0.00023692+0.0027185i,0.0011913+0.0017039i,0.0007279+0.00070574i,0.0012161+0.0002823i,0.0027798+0.00029506i,0.002357+0.00026589i,0.00068805+0.00010618i,0.00049864+0.00021012i,0.00098033-0.00053485i,0.0010416-0.0013851i,-0.00025784-0.0015292i,-0.00077974-0.00063729i,-0.00068669+0.00030666i,-0.00050992+0.00010852i,0.0002366+0.0003815i,0.00032876+0.00082922i,0.0003908+0.00051965i,0.00031053+0.00010051i,0.00024239-1.1354e-05i
-0.00064637-0.00097093i,-0.0013871-0.0016787i,-0.0022816-0.0024072i,-0.00099889-0.0022267i,0.00045341-0.00032049i,0.0013893+0.0011551i,0.0015687+0.00056596i,0.001304-0.00080642i,0.0013821-0.0014735i,0.0013188-0.00017112i,0.0004244+0.00068804i,-0.00077263-0.00055985i,-0.0013775-0.00083529i,-0.0017683-0.00025018i,-0.00129-8.2838e-05i,-0.00046755+0.00056809i,-0.00017259+0.00060195i,0.00086541+0.00063104i,0.00096783+0.00074157i,0.00072905+0.00017767i,0.00015501-0.00041401i,-0.00074312-0.00087216i,-0.00069602-3.3503e-05i
0.0010656+0.00071051i,0.001592+0.0004866i,0.0015616-0.0009757i,0.00052195-0.0009491i,0.0007285-0.00025486i,0.0018785-0.00072113i,0.001203-0.0015493i,-4.8765e-05-0.0014999i,-0.00087935-0.0010246i,-0.0012002-0.0012291i,-0.0007362-0.00057242i,-0.00049126+0.00017615i,-0.00015906+0.00066626i,0.00012882+0.001623i,-0.00038674+0.0018882i,-0.0004962+0.0014833i,0.00029576+0.0012598i,0.0005541+0.0013534i,0.00051166+0.00072704i,0.00076965+0.00012471i,0.00046191+0.00020282i,-0.0004073-0.00011999i,-0.00041457-0.00031195i
-0.002347-0.00010399i,-0.0020922-0.00028187i,-0.0025197-0.00066858i,-0.003774-0.00050544i,-0.0019445+0.0017679i,0.00056268+0.0022361i,0.00063697+0.00045141i,-0.00098834-2.5128e-05i,-0.0022567+0.00052298i,-0.0020469+0.00062013i,-0.00074566+0.0014412i,0.00069687+0.0019283i,0.0015326+0.0019286i,0.0013712+0.0017088i,0.00091508+0.0015173i,0.001591+0.0018194i,0.00203+0.00059328i,0.0014001-0.00058401i,0.0011912+0.00013721i,0.0006923+0.00058797i,-0.00042127+0.00042845i,-0.00013887+0.00036239i,0.00084352-0.00051578i
0.0014807+0.00051407i,0.0016666+0.00083097i,0.0017253+0.00081123i,0.0018421+0.0018436i,0.00055087+0.0031398i,4.044e-05+0.0029705i,-2.2179e-05+0.0017488i,-0.00091145+0.0020459i,-0.0012852+0.0028827i,-0.00017236+0.0024221i,0.0015448+0.0021506i,0.0020469+0.00068737i,0.0013408-0.00068224i,0.00065083-0.00044007i,0.00068005-0.00067422i,0.00048006-0.0014614i,0.00022766-0.0015051i,-8.0377e-05-0.0006868i,-0.00043306-0.00011003i,-0.00035311-6.02e-05i,-0.00042515+0.0001279i,-0.00035881-0.00040819i,3.2075e-06-7.279e-05i
1.4245e-05+3.7461e-05i,0.00035005-0.00054065i,0.0010704+0.0010061i,-6.2059e-06+0.0016764i,-0.00077585+0.0011325i,0.00060476+0.00091159i,0.0011524+0.00085376i,0.0004456+0.001858i,0.0011153+0.0028154i,0.0019327+0.001335i,0.0014371-0.0011499i,0.00085999-0.0022203i,0.0001786-0.0019265i,0.00049416-0.0017291i,0.00082708-0.0011839i,0.00010209-0.00060537i,-0.00019714-0.00021561i,-0.00032514+0.00031085i,-0.00041559-2.1303e-05i,-4.3142e-05-8.5883e-05i,0.00035293+0.00031949i,0.00039412+0.00014714i,5.8794e-05-0.00031049i
0.00039791-0.00018116i,0.00071301-0.0019814i,-1.825e-05-0.0028742i,1.9283e-05-0.0036149i,0.00090198-0.002158i,0.00098004+0.00011767i,0.000931+0.00058029i,0.001594-0.00026608i,0.0023632-0.00054191i,0.001164+6.1933e-05i,-0.00083011+0.00044143i,-0.0015342+0.00021733i,-0.00068311-0.00024293i,-0.00012089+3.3181e-05i,-0.00056268+0.00042113i,-0.00076038+0.00017761i,0.00045184+0.000374i,0.0013471+0.00054268i,0.0011875+0.00032433i,0.00086861-0.00020571i,0.00058738-0.00042352i,0.00045516-0.00021733i,2.9863e-05+0.00019409i
0.0015916+0.0014617i,0.0019607+0.00059748i,0.00097099+0.00047528i,0.00025049+0.00076872i,0.0014565+0.0022802i,0.002887+0.0025794i,0.0025241+0.00050094i,0.0015232-0.00074146i,0.00097991-0.0011259i,0.0013546-0.00085976i,0.00081158+0.00080663i,-0.0004765+0.0014239i,-0.00089807+0.0001021i,-0.0010053-0.00033643i,0.0001818-0.00066326i,0.0007154-0.00020859i,0.0003504+0.00063847i,0.00025181+0.0006984i,0.00014327-9.2482e-06i,7.2041e-05-0.00047185i,0.00032333-0.00047786i,0.00031958-0.00073408i,0.00052505-0.00046475i
-0.00040735-2.8008e-05i,-0.0004554-1.6813e-06i,-0.00085544+0.00067949i,-0.002036+0.0002656i,-0.0022314+0.0002392i,-0.00080201+0.0013746i,-0.00014465-0.0002181i,-0.00088788-0.0017368i,-0.00085546-0.0018771i,-0.00076833-0.00066264i,-0.00052759+0.00057686i,0.0002095+0.0011543i,5.257e-05+0.0014635i,-0.00058538+0.0013332i,-0.00043115+0.0013807i,0.00037404+0.00093785i,0.00074429+0.00041065i,0.00087738+0.00033482i,0.00088621+0.0001276i,0.00065922-0.00016521i,0.00050299-0.0009613i,0.00032071-0.00080734i,-1.82e-05-0.00021341i
-0.00029044+0.0014885i,-0.00087857-0.00043686i,-0.0010684-0.00042263i,-0.00011241+0.00086599i,0.0022159+0.0017988i,0.002517+0.0010645i,0.00053063-6.8436e-05i,-0.00055586+0.00032933i,-0.0014327+0.0010021i,-0.0010483+0.00060006i,0.00013097+0.0012556i,0.00074582+0.0019551i,0.00049424+0.00062252i,0.00011999-0.0010246i,-0.00012035-0.0016287i,-0.00015268-0.00076603i,-0.00074213+0.00021874i,-0.0015879+0.00041621i,-0.0017493-0.00017844i,-0.0021496-0.00079127i,-0.0017697-9.2052e-05i,-0.00065741+0.00062127i,-4.8883e-05+0.00092433i
0.0015316+0.00034374i,0.0025703+0.0002787i,0.0024888+0.00031181i,0.0008113+0.00093797i,-0.00021175+0.0020098i,-0.00055479+0.0020558i,-0.0010923+0.00083768i,-0.0014673+0.00091254i,-0.0011505+0.0021979i,-0.00028695+0.0017691i,0.00094227-9.7401e-06i,0.0013619-0.00098623i,0.0018302-0.00022266i,0.001971+0.00020818i,0.0012074+0.00063738i,-0.00014882+0.0013092i,-0.00073831+0.00081822i,-0.00058333+0.00079849i,-0.00040069+0.00082449i,-9.2772e-05+3.4594e-05i,0.00026472-0.00041737i,-1.6239e-05-0.00043034i,-0.0002318-0.00052334i
0.0014232+0.00083825i,0.0011527+0.00044345i,0.0015907+0.00043661i,0.0020567-0.00038272i,0.001864-0.00021612i,0.001759-0.00028675i,0.00084334-0.00071581i,-1.4176e-05+0.00050929i,0.00023876+0.0016236i,0.0010082+0.0012504i,0.00077875+0.00037987i,0.00078238-0.00058726i,0.00075537-0.0010075i,0.00042502-0.0009408i,0.00031203-0.00026748i,0.00088411+0.00057797i,0.0021092+0.00047619i,0.0013993+0.00046365i,6.8842e-05+0.0010199i,0.0001341+0.00073024i,0.0011515-0.00011474i,0.0016699-6.6829e-05i,0.00076193+0.00015837i
0.0019064+0.0011588i,0.00099147+0.00068012i,-0.00034086+0.0012077i,-0.0010239+0.0016935i,-0.00057399+0.0014874i,0.00066398+0.0014274i,0.0016013+0.0012309i,0.0011876+0.0013782i,0.0016331+0.001434i,0.0024596+0.00075409i,0.0016189+4.2182e-05i,0.00053228-0.00061754i,-8.2495e-05-0.0017884i,0.00017516-0.0019571i,0.00041574-0.0010156i,0.0006367-0.00064116i,0.00076744-0.0010231i,0.00068227-0.0011492i,0.0010526-0.00086911i,0.00093486-0.00084704i,0.00030651-0.0010376i,-0.0002283-0.0010577i,-0.00038384-0.00031688i
0.0012205-0.0026603i,0.0010136-0.0016778i,-0.0006028-0.0013535i,-0.0013833-0.00098241i,-0.00086453+0.00015419i,0.00054894+0.00083551i,0.0014023+0.00059292i,0.00083133+0.00044126i,0.00076558-0.00010114i,0.00067578-0.00069726i,0.00022842+0.00013906i,-0.00010327+0.0010907i,-0.00082899+0.00078808i,-0.0017837+0.00026459i,-0.0011428-0.00061247i,-0.00018778-0.001023i,-0.0001234+5.8743e-05i,-0.00021702+0.00017636i,-9.5316e-05+0.00014908i,0.00031245+0.00047558i,0.00023419-0.00038437i,2.0366e-05-0.00077495i,0.00098672+1.5997e-05i
0.0026025-0.0017433i,0.0018925-0.002965i,0.0019372-0.003231i,0.0011791-0.0019619i,0.0012457+0.000747i,0.0013887+0.0016857i,0.0014681+0.00021707i,0.0012116-0.00090291i,0.00022687-0.0012107i,-0.00084917-0.0014833i,-0.0016106-0.0010026i,-0.0020064-0.00010073i,-0.002064-8.8043e-05i,-0.0020962+0.0003516i,-0.0019853+0.00050111i,-0.0017433+1.1288e-06i,-0.0018532+0.00046472i,-0.0015132+0.00019103i,-0.00023252-0.00027109i,-0.00048045+0.00046395i,-0.0012415+0.00019946i,-0.00026164-0.00061393i,0.00051224+0.00020899i
-0.0012265+0.0011589i,-0.0015051+0.002052i,-0.00216+0.0015951i,-0.0014617+0.0010534i,-0.00019547+0.0018938i,0.001143+0.0014678i,0.0015421-0.00018579i,0.00037566-0.00050973i,-0.0011247+6.5526e-05i,-0.0013922+0.00050606i,-0.00094342+0.0012183i,-0.00039795+0.0016947i,-0.0001093+0.0012654i,0.00033361+0.0022936i,0.00034593+0.0028953i,0.00027205+0.0020239i,0.00057702+0.0015326i,0.00060573+0.00058546i,-0.00016965+5.4405e-05i,-0.00022911+0.0002309i,0.00034573+0.0006629i,1.985e-05-2.1909e-05i,9.1798e-05-0.00061946i
0.001022-0.0010319i,0.00088523-0.0021333i,0.00036997-0.001826i,-0.00029754-0.00040301i,3.5165e-05+0.00054443i,0.00072516+0.000551i,0.0001521+0.00070044i,-0.0014276+0.00051357i,-0.0024969+0.001265i,-0.0026359+0.0023115i,-0.0014755+0.0021524i,0.00039758+0.0019881i,0.0013034+0.0015161i,0.00089542+0.00051513i,0.00094513-0.00046258i,0.0015096+0.00045975i,0.0014533+0.00092687i,0.0012769+0.00015266i,0.0011107+0.00049146i,0.00099825+0.00070382i,0.00062952-4.5174e-05i,0.00024364-0.00063117i,0.00050583-0.00038788i
0.0015945-0.00021384i,0.001568+0.00032099i,0.0016297+2.141e-05i,0.00045655+0.00023187i,-0.00028525+0.00088372i,0.00041244+0.00080387i,-0.00087029+0.00074244i,-0.0013813+0.0016767i,-8.8647e-05+0.0019966i,0.0010114+0.0010746i,0.00084374+0.00034702i,0.00012899+0.00059314i,0.00050289+0.00029339i,0.00094434-0.00075073i,0.0010246-0.00060835i,0.0010887-0.00056707i,0.00092867-0.00082312i,0.00042684-0.00023035i,1.5771e-05+0.00051989i,0.00043295+0.0005117i,0.00027524-0.00020805i,-0.001158-0.0005652i,-0.0010548-0.00040861i
0.0011676+0.0019533i,0.0012894+0.00019846i,-0.0002176-0.0009848i,-0.001509-0.0010751i,-0.0007333+0.0013509i,0.0012253+0.0022183i,0.001444+0.0010618i,0.00028825+0.0018448i,0.00023223+0.0028667i,0.00061521+0.0017075i,0.00041665+6.9515e-05i,0.00062372-0.00066538i,-5.656e-05-0.001513i,-0.0011973-0.0020051i,-0.001391-0.0017584i,-0.0013235-0.0015307i,-0.0016992-0.00053015i,-0.0016929+0.00031006i,-0.0011917-0.000625i,-0.0010374-0.00089836i,-0.00029488+6.6453e-05i,0.0003885+0.00014162i,-0.00054817-0.00016719i
0.00078196-0.0019328i,0.00067239-0.0019734i,0.00020389-0.00060069i,-0.00041544+0.00014443i,-0.00098278+0.00094168i,2.1788e-05+0.00225i,0.0014518+0.0015939i,0.0021678+0.00023199i,0.0026514-0.00039501i,0.0017834-0.00063058i,-9.1688e-05-0.00057784i,-0.00088397-0.00031406i,-0.0011224-0.000182i,-0.0016494+2.1416e-05i,-0.0015914-0.00025456i,-0.0011977-0.00020115i,-0.001213+0.00079565i,-0.00086835+0.0016688i,0.00029+0.0017493i,0.0003759+0.00045819i,-0.00033088-0.00068294i,-0.00084604-0.00035148i,-0.00084354+0.00025973i
0.00099836+0.00070255i,0.00075807+6.7792e-05i,0.0010583-0.00071867i,0.0010678+0.00036812i,0.0011968+0.0013721i,0.0027358+0.0014481i,0.0030255+0.0010974i,0.0024588-4.8995e-05i,0.0017983-0.0009597i,0.00082666-0.00065325i,-0.00044093+1.9435e-05i,-0.00071303+0.00022159i,-0.00036765+0.00042182i,-0.00064142+0.0011734i,-0.00091782+0.0016013i,-0.00051147+0.0014478i,0.00049716+0.0014651i,0.00056753+0.0008599i,0.00015371-0.00019432i,4.741e-05-0.00037789i,7.0715e-05-1.3949e-06i,0.00023087+4.8612e-05i,0.00076551-0.0002468i
-0.001753+0.00095999i,-0.0018294+0.00050676i,-0.00062939+0.0015582i,-4.3373e-05+0.0011367i,0.00062602+0.00070827i,0.0026761+0.00086191i,0.002485-0.00013543i,0.00031836-0.0010102i,-0.00087326-0.0014361i,-0.001171-0.0010068i,-0.0010034+0.00028673i,-0.00084633+0.00085059i,-0.0007113+0.0006167i,4.6616e-05+0.0008828i,-0.00033258+0.0012595i,-0.00050103+0.0011448i,0.00028763+0.0009858i,0.0002286+0.0010084i,-0.00022243+0.00082836i,-6.9851e-05+0.00042126i,0.00047209+3.2922e-05i,0.00029981-0.000447i,0.00046447-0.00018906i
0.0037184+0.0014244i,0.0037413+0.00093052i,0.0023332-0.0010089i,-0.00048998-0.0024473i,-0.00073916-0.0012778i,0.00035013-0.0015776i,-0.00031565-0.0019745i,-0.0020174-0.0010604i,-0.0030289-3.4422e-05i,-0.0021169+0.00093112i,-0.00070854+0.00084265i,-0.00059974+0.00021792i,-0.00049137+0.00043092i,0.00097403+0.00036558i,0.0016049+5.2557e-05i,0.0014812+0.00038359i,0.00051459+0.00054245i,-0.00080147+0.00016489i,-0.00045422+0.00040489i,0.00021375+0.00063306i,0.00036474-0.0001533i,-5.0878e-05-0.00020891i,-0.00085199-0.00042993i
0.0014999+0.00068401i,0.0014507-0.00053269i,0.00096716-0.00124i,0.0003407-3.9515e-05i,0.00019179+0.0015543i,0.0011526+0.0021051i,0.0013825+0.0015971i,-0.00048496+0.00099719i,-0.0018996+0.0019323i,-0.0012788+0.0028657i,-0.00023866+0.0024924i,0.00046072+0.0011956i,0.00041277+0.00046163i,0.00026293+8.0672e-05i,0.00091945-0.00043875i,0.001185-0.0012799i,-0.00013772-0.0011306i,-0.0011231+2.7509e-05i,-0.0010319+0.00071608i,-0.0010293+0.00043859i,-0.0011147-1.8383e-05i,-0.00045496-0.00019346i,5.4804e-05-0.00018478i
-0.0024169+0.00096202i,-0.0020265+0.00094188i,-0.0021198+0.0025i,-0.0016413+0.0035399i,0.00013116+0.003319i,0.0019925+0.0027031i,0.00095788+0.0019887i,-0.00015566+0.0019258i,0.0010068+0.003575i,0.001415+0.0039976i,0.0016714+0.0022455i,0.0023848+0.0006703i,0.0015857+5.9538e-05i,0.00058336-0.00034313i,0.00053985-0.0010304i,0.00017039-0.0018353i,-0.00054948-0.0014185i,-0.00063182-7.5275e-05i,0.00012837+5.226e-06i,0.00038484-0.00014024i,-0.00018974-6.9556e-05i,-0.00045395-0.0001123i,-0.00054259+4.6197e-05i
0.00027134-0.00084345i,0.00024433-0.00082459i,-0.00095158-0.0019945i,-0.001274-0.0030007i,0.00045152-0.00023085i,0.0019252+0.0016939i,0.0019517+0.0012909i,0.0018233+0.001658i,0.0031174+0.0017733i,0.0041303+0.00010933i,0.0031924-0.00090659i,0.0016449-0.0010613i,0.00071635-0.00029092i,-0.00023335+0.00018959i,-0.0010369-0.00057442i,-0.0017887-0.00090534i,-0.00073028-0.00053725i,0.0002238+0.00040468i,-3.72e-05+0.00067965i,0.00027874+0.00032063i,0.0011417+9.9175e-05i,0.0014177+0.00011495i,0.00019493+0.00062177i
0.00053388-0.0024316i,6.6754e-06-0.0042258i,-0.0005885-0.0035841i,-0.0020359-7.2891e-05i,-0.0021472+0.0024115i,0.0007082+0.0023349i,0.0021769+0.00026063i,0.0020761-0.0010389i,0.0019117-0.0022366i,0.00059258-0.0037163i,-0.00082966-0.003666i,-0.00044816-0.0026392i,-0.00060686-0.0015691i,-0.0015279-0.00098129i,-0.0018828+0.00018092i,-0.0011064+0.0012469i,-0.00026273+0.0010611i,0.00061839+6.7219e-05i,0.0006522-0.00012365i,0.00014018+0.00064201i,0.00063741+0.00012677i,0.00082938-4.0571e-05i,0.00074715-8.4891e-05i
-0.0018495+0.0044694i,-0.0027717+0.0032266i,-0.0048195+0.0043271i,-0.0045372+0.0038526i,-0.0014538+0.0027279i,0.00077808+0.00078413i,0.0011259-0.00069442i,0.00052891-0.0016761i,-0.00098514-0.0021727i,-0.0021042-0.0011695i,-0.0012761-0.00047926i,-0.00012141-0.0001327i,0.00019563+0.0010801i,0.0005229+0.0016701i,0.0010287+0.0016806i,0.00052392+0.0018818i,0.00021473+0.0008113i,0.00025895-0.00039917i,-0.00049947-0.00012047i,-0.00074103+0.00021513i,-0.0002055+0.00065477i,-9.3928e-06+0.0010943i,-0.00027356+0.00018357i
0.0019782+0.00093166i,0.001952+0.00029679i,0.0023181-0.00093161i,0.0028221+0.00033122i,0.0036934+0.0025944i,0.0043764+0.0021348i,0.0031431+0.00043065i,0.0003329-0.00068201i,-0.0024887+0.00074985i,-0.0036809+0.0032302i,-0.0028285+0.0036551i,-0.0018719+0.0018432i,-0.00038906+0.00047723i,0.0017603+0.00081343i,0.0022539+0.00017658i,0.0014921-0.0013262i,0.00018582-0.0016067i,-0.0011588-0.0012855i,-0.00086686-0.00086479i,-0.00050433-0.0007304i,-0.0009409-0.00034056i,-0.0013161+0.00036976i,-0.0010258-0.00055588i
0.00032108+0.0020665i,-0.00079724+0.002204i,-0.0017669+0.0029993i,-0.0014293+0.0024188i,-0.0011104+0.0020338i,-0.00072029+0.00039173i,-0.0013616-0.001338i,-0.0016517+0.00064989i,-0.00061249+0.003435i,0.00088402+0.0040635i,0.0007658+0.0031763i,0.00019808+0.0018575i,0.0010442+0.0007508i,0.0012395-0.00075878i,0.00091049-0.0018013i,0.00071394-0.0010931i,0.00021468-0.00066728i,-0.00028761+0.00014662i,-0.00058307+0.0011142i,-0.00071921+0.00070253i,-0.00096982+8.5163e-05i,-0.00078011+0.00013561i,-0.00018879-6.8007e-05i
-0.0025161-0.0017075i,-0.0020461-0.0017795i,-0.0026835-0.0021047i,-0.0021184-0.0018918i,3.5822e-05+0.00088704i,0.0022798+0.002587i,0.0023984+0.0015662i,0.00079741+0.0017079i,0.0017039+0.0033844i,0.0042651+0.0028783i,0.0039146+0.0015241i,0.00231+0.0012317i,0.00050131+0.0011595i,-0.001465+0.00037139i,-0.0025319+3.9123e-05i,-0.001732+0.00024515i,-0.0004338+0.00083943i,-0.00019925+0.0011648i,-0.00022166+0.00097692i,-0.00063912+0.00061603i,-0.00028565+0.00071741i,0.00032236+0.0013372i,0.00043842+0.0017596i
-0.00046516-0.0011091i,-0.0011886-0.0011048i,-0.00095003-0.00038877i,-0.00062237+0.0010775i,-0.00075813+0.0016299i,-0.00016127+0.0014433i,-0.00027597+0.0015723i,-0.00040368+0.0013612i,0.000879-2.834e-06i,0.0014578-0.0020854i,0.00090848-0.0025247i,0.00082715-0.00041598i,0.00092697+0.00084575i,-0.00028533+0.00067891i,-0.0018345+0.00086228i,-0.0018146+0.0013795i,-0.0002396+0.0017939i,0.0016058+0.0012772i,0.0011404+0.00090502i,0.00034559+0.00057799i,0.00065496-0.00019491i,0.001071-0.00078254i,0.00037548-0.00068507i
