0.0019296-0.001665i,0.0015048-0.0019651i,0.00026272-0.0023844i,-0.0010553-0.0022981i,-0.00076988-0.0010288i,-0.00043237+0.0015135i,-0.00021889+0.0022908i,0.00035428+0.0016081i,0.00054671+0.00096023i,0.00029229+0.00034394i,0.00022902+0.00012658i,0.00019138-6.3003e-05i,0.00041195+0.00042277i,0.00054843+0.0011382i,7.7708e-05+0.0011565i,-0.00039039+0.00036866i,-0.00018615-0.00039769i,0.00026821-0.0012944i,0.00027232-0.0010579i,-0.00032103-0.00042722i,-0.00076271-0.00040217i,-0.00029185-0.00053022i,-0.00028597-0.00047972i
-0.00055642-0.0011475i,-0.0015918-0.00023882i,-0.0021204+0.0010122i,-0.0019877+0.0025441i,-0.0011827+0.0028359i,-0.00048775+0.002297i,-0.00054812+0.001258i,-0.00023709+0.00018783i,0.00010354-0.00017437i,0.00051209+0.00038349i,0.00055371+0.00096818i,8.5913e-05+0.0005415i,-0.00026968-0.00021142i,0.00016005+0.0001707i,0.0010092+0.00084084i,0.0005774+0.00027413i,-0.00059943-0.00013853i,-0.00050518-0.00046061i,0.00012207-0.00014019i,0.00023914+0.00013183i,-0.00032619-7.3056e-05i,-1.1931e-05-0.00042354i,0.00061133-0.00024896i
0.00093222-0.0005088i,0.0017945+0.00035465i,0.0022483+0.00062601i,0.002134-0.00022082i,0.0018754-0.000255i,0.0013166+0.00010635i,0.00026318+0.00017604i,-8.7221e-05+0.00017233i,-0.00012047+0.00030495i,2.3265e-05+0.00013645i,0.00062831-0.00056312i,0.00084976-0.00063684i,0.0012477+3.4765e-06i,0.0011474+0.00029342i,0.00050505-0.00010023i,0.00070972-0.000295i,7.6841e-05-0.00043558i,-2.1397e-05-0.00082309i,0.00050091+0.00037092i,7.764e-05+0.0011366i,-0.00045938+0.00041521i,-0.00028047+2.7702e-05i,6.3702e-06-0.0002121i
-0.0015678+0.0018504i,-0.00052037+0.0016759i,-0.00030317+0.00062965i,-3.3423e-06-0.00014897i,0.0011145-0.00050958i,0.0011173-0.00081041i,0.00059003-0.001039i,0.00024231-0.00052233i,0.000246+0.00033144i,0.00068675+0.00032898i,0.0016541-0.00058516i,0.0016174-0.00092278i,0.00030646-0.0011971i,-0.00031893-0.0015114i,0.00016418-0.0017975i,0.00055803-0.0016306i,3.7195e-05-0.00073104i,-0.0003348+7.5464e-06i,-0.00071605+0.00020195i,-0.00040736-0.00025686i,0.0003989-0.00040646i,0.00031696+0.00034245i,-0.00014593+0.00059438i
0.0013333-0.0016126i,0.00055016-0.0012191i,-0.00062043-0.001127i,-0.0011129-0.0005042i,-0.0011878+0.00090374i,-0.00026549+0.0020776i,6.685e-05+0.0022598i,-0.00037224+0.001391i,-0.00033283+0.00019649i,-0.00021468-0.00057888i,-7.7172e-05-0.00015649i,-0.00052003+0.00041078i,-0.00041268+0.00032356i,1.7121e-05+0.00052026i,-0.00013567+0.0010926i,0.00015236+0.0010729i,0.00032337+0.00062212i,8.3669e-05-0.00023769i,0.00021112-0.00037388i,0.0001308-0.00033618i,-0.00037237-5.8883e-05i,-0.00020072+0.00026925i,-6.9038e-05-0.00051816i
0.0011408+0.00010523i,0.0014776+7.0282e-05i,0.0018517+0.00037439i,0.0013242+0.00058371i,-0.00033787+0.00080727i,-0.0011661+0.0012963i,-0.00078616+0.00076607i,-0.00010089-0.00015133i,0.00024433-0.00032179i,-0.00035461-0.00026601i,-0.00092787-5.045e-06i,-0.00099874+0.00013599i,-0.00053914+0.00071644i,0.00025635+0.0012922i,0.00039182+0.00098392i,0.0001798+0.00033414i,-0.00032055-0.0002099i,0.00015615-0.0005166i,0.00056776-0.00071414i,-4.9588e-05-0.00099759i,-0.00032021-0.00074028i,-0.00064866+0.00076755i,-0.00037205+0.0013385i
0.00013019+0.00090786i,0.00070374-1.9974e-05i,0.00087379-0.0009317i,0.00053598-0.0004401i,0.00024066+0.0008439i,0.00032891+0.00080823i,0.00053573-0.00033294i,0.00064154-0.00049234i,0.00037799+3.0066e-05i,0.00031676+6.2565e-05i,0.00057464+2.7656e-05i,0.00022834-0.00040355i,0.0001631-8.298e-05i,0.00049234+0.00028643i,0.00029283+0.00046706i,0.0001267+6.5563e-05i,0.00055576-0.00015941i,0.00087388-0.00021565i,0.0008063-0.0004341i,0.00022041-0.00031322i,-0.00033526-7.3353e-05i,-0.00031033-0.00030957i,-4.2677e-06-0.00059953i
-0.0011575+0.0001811i,4.7604e-05-0.00028307i,0.00044352-0.00029837i,0.00027021-0.0002142i,0.00077079+3.6885e-05i,0.00094653-0.0002314i,0.00053746+0.00025651i,-0.00022403+7.5014e-05i,-8.6428e-05-0.00058723i,0.0002777-0.00067126i,0.00036175+8.8414e-05i,0.00055407+0.0011065i,0.00078358+0.00076816i,1.5249e-05+0.00023783i,-0.00012508-1.2e-05i,-5.3858e-05-0.00012071i,-0.00030485-0.00017817i,-0.00063736-0.00053345i,-0.0004985-0.00020393i,-0.00056745-9.8255e-05i,-0.00030255-0.00036456i,0.00015365+2.7926e-06i,-5.4303e-05-0.00018343i
0.001733-0.0010689i,0.0021251-0.00015465i,0.0018029+0.00079233i,0.0009384+0.001747i,-0.00035744+0.0025513i,-0.00024238+0.0023818i,-0.00012446+0.0012299i,-0.00073728+0.00015141i,-0.00047518-0.00034388i,-0.00062574-0.00062138i,-0.00073327-5.2396e-05i,-0.00017156+0.00054234i,-2.7778e-05-4.0103e-05i,-0.00015422-3.8765e-05i,-0.00042692+0.0012198i,-0.0001919+0.0018143i,0.00037794+0.0010596i,0.00036214+0.00065291i,-0.00016406+0.00061482i,-0.00058703+0.00027203i,-0.00098793+0.00036205i,-0.00062582+0.00063631i,2.8955e-05+0.00066757i
-0.00015619+0.0016691i,-0.0011328+0.0016232i,-0.001096+0.0012861i,-0.00026808+0.0011986i,-0.00045149+0.0010009i,-0.0008815+0.0012547i,-0.00038903+0.0014259i,-0.00017665+0.00071005i,-0.00033932+0.00029316i,-0.00018707-6.0968e-05i,-0.00030947+0.00028998i,-0.00017239+0.0011781i,0.00077253+0.0011339i,0.00089415+0.00063005i,8.9981e-05-0.00011543i,-0.00022505-0.00047223i,-0.0004266-0.001288i,-0.00022887-0.0012914i,0.00018509-0.00030275i,0.00033295+0.00023907i,0.00031573+0.00013195i,-6.4596e-05-7.9697e-05i,-0.00063595+0.00022603i
0.0013753-2.2145e-05i,0.0025462-7.8021e-05i,0.002511-0.0010905i,0.00055692-0.0020226i,-0.0010811-0.002i,-0.0009522-0.00072196i,-0.00035362+0.00040868i,0.00031039+0.00053974i,4.9418e-05+0.00053577i,-0.00044781-2.1163e-05i,9.2405e-05-0.00058427i,0.00071961-0.00035335i,0.0003881-8.1845e-05i,-9.792e-05+0.00016769i,0.00015002+0.00016223i,0.00035947+0.00063069i,0.00024294+0.0010419i,0.00021667+0.0005359i,0.00090725+0.00043474i,0.00085609+0.0013242i,-9.826e-05+0.0014801i,-0.00047093+0.00055711i,-0.0002144+0.00028264i
-0.00078206+0.0046085i,0.0012335+0.0051702i,0.002589+0.0027034i,0.0030769+0.00015227i,0.0024427-0.0012712i,0.00080232-0.0022241i,-0.00074986-0.0021937i,-0.0012471-0.00054521i,-0.00095051+0.00051638i,-0.00021322+0.00035185i,0.00038099+0.00018609i,0.00018548+1.5284e-05i,-0.00037855-0.00018703i,-0.00078101+0.00016851i,-0.00020238+0.00019285i,0.0002091-0.00056207i,-6.5583e-05-0.00062751i,-0.00051727-4.6523e-05i,-0.00063493+0.00017715i,0.00020683+0.00052214i,0.00038209+0.0010726i,-0.0001118+0.00098182i,0.00025749-0.00023157i
0.00040994-0.0023889i,-0.00069585-0.0023893i,-0.00037687-0.0019743i,0.00069143-0.00063751i,-5.5475e-05+0.00091692i,-0.0002316+0.0013998i,0.00032423+0.00099317i,-3.384e-06+0.00024962i,-0.00065279-0.00011677i,-0.00036802+0.00013538i,7.7617e-05-7.0631e-05i,0.00021881+3.3177e-05i,0.00028291-0.0004818i,0.00071632-0.00069298i,0.0010046-1.2167e-05i,0.00067352+9.9051e-05i,0.00013151-0.00026135i,3.609e-05-0.00069449i,0.00064733-0.0007032i,0.00091255-0.00028964i,-5.199e-05+9.4754e-05i,-0.0008356-0.00017867i,-0.00034313-0.00038865i
0.0025639+0.0013212i,0.0015953+0.0010698i,0.0016096+0.0013368i,0.0013085+0.0015266i,0.00015239+0.0019102i,0.00082152+0.0018874i,0.0016843+0.00144i,0.00072751+0.00074229i,-2.3676e-05+4.6347e-06i,8.6486e-05-0.00025997i,-3.2272e-05+0.00044651i,-0.00052537+0.00074564i,-0.00085084+0.00076049i,-0.00065875+0.00070925i,-0.0001666+0.00080503i,-0.00017558+0.00070829i,0.00017863-0.00038528i,0.00073955-0.00034127i,0.00068832+0.00037107i,0.00018539+1.9211e-05i,6.1488e-05-0.00028583i,0.00061224-0.00050879i,0.0004815-0.00042967i
-0.0012718-0.00041277i,-0.0019962+0.00032441i,-0.0019378+0.00039661i,-0.0020458+0.0010146i,-0.0014591+0.001448i,-6.0895e-05+0.00096273i,0.00027919-0.00027901i,-0.00047021-0.00077885i,-0.00012707-0.00084142i,0.00012653-0.00028387i,5.1924e-05+0.00019217i,-1.0064e-06+0.00076864i,-0.00039332+0.0013059i,-5.9487e-05+0.00026081i,0.00021756-0.00068322i,0.00077892+9.1825e-05i,0.0004501-1.6843e-05i,-2.5751e-05-7.9318e-05i,0.00039662-5.035e-05i,-0.00015031-0.00074532i,-0.0011531-0.00022087i,-0.0012257+0.00056211i,-0.00062098+0.0004458i
0.0016056+0.00038568i,0.0031206-0.00041972i,0.0031752-0.0012058i,0.001818-0.00031005i,0.00086836+0.00052881i,0.00024579+0.0012825i,-0.00021924+0.00050691i,0.0001393+0.0002032i,0.00079199+0.00051234i,0.00090961+0.00029885i,0.00099208+0.00027739i,0.001075+6.602e-05i,2.5149e-05-0.00012881i,-0.0004859+0.00048904i,0.00015392+0.00098165i,0.0002757+0.00084375i,-0.00037477+0.0010222i,-0.00022374+0.00064443i,0.00063264-0.00039224i,0.00038068-0.00054706i,-0.00023509-0.0002229i,-1.0609e-05-0.00013589i,-0.00011537+0.00019877i
0.00063817+0.0011942i,-5.3332e-07+0.0011195i,-0.00050834+0.00091703i,-0.00049753+0.0008954i,-0.00024779+0.0011315i,-0.00084413+0.0014001i,-0.00059656+0.0014249i,0.00046633+0.00091874i,0.00080912-0.00028651i,0.00019988-0.00047165i,9.847e-05-0.00013189i,0.00036288+3.8102e-05i,0.00019825+0.00049561i,0.00017625+0.00060072i,0.00031156+0.00011819i,3.5369e-05-0.00043649i,-7.0069e-05-0.00012357i,0.00040484-2.6588e-05i,0.00051179-0.00030654i,-4.6843e-05+2.3396e-05i,-0.0003251-0.00013756i,5.9124e-05-0.00049149i,0.00018495+0.00011813i
0.0017108-0.00083528i,0.00039911-0.0015719i,0.00042161-0.0011157i,-8.5939e-05-3.3901e-05i,-0.00075896+0.0011326i,-0.00087977+0.0018986i,-0.00073242+0.0009628i,-0.00032858+0.00016314i,-0.00049288+2.2658e-05i,-0.000668-0.00032492i,-0.0011585-0.00049269i,-0.0012803-0.0002913i,2.7307e-05+0.00020173i,5.3779e-05+0.00091836i,-0.00032853+0.00072329i,-0.00010043+0.00037097i,0.00033953-0.00046008i,0.00077562-0.0012988i,0.00033623-0.00086254i,-0.00044642-0.00010513i,-0.0010026-5.8314e-05i,-0.00089986-0.00032084i,-0.000763-0.00071395i
0.0017054+0.00051995i,0.0026121+0.00052261i,0.0019841+3.7257e-05i,-3.5144e-05+0.00020957i,-0.0012432+0.00046797i,-0.00050072+0.00020998i,-0.00030761-1.6658e-05i,-0.0003006-0.00047679i,-0.00059686-0.00012398i,-0.0012024+0.00039496i,-0.00098726+0.00019393i,-0.00075445+0.00062386i,-0.00030723+0.00059587i,0.00046232-0.00024129i,0.0004871-0.00024912i,0.00034677+0.00022132i,-0.00015668+0.00060523i,-0.00018432+0.00077608i,5.3773e-05+0.00052902i,-0.00038639+0.00069553i,-0.0010387+0.00051623i,-0.00097795-0.00058431i,-0.00019517-0.0010964i
-0.0019852+0.00012878i,-0.0020319+0.00087012i,-0.00083619+0.00091461i,-6.2467e-05+0.0012164i,0.00053141+0.0023095i,0.0011669+0.0016547i,0.00092595+0.00049936i,0.00045086+0.00017042i,0.00070118+0.00017019i,0.00096+0.00035376i,0.0010527+0.00020632i,0.0010664-0.00022142i,0.00029843+0.0001687i,3.1245e-07+0.00017684i,0.0009472-0.0012338i,0.0011576-0.0015695i,0.00038897-0.00029749i,0.00029563+0.00033986i,0.00019571-0.00030391i,0.00033731-0.00073733i,0.00075633-0.00048931i,0.00060262+7.6027e-05i,-3.5447e-05+0.00034656i
0.00061776+0.00044973i,0.0012237+0.00087591i,0.00081753+0.00068619i,0.0010956-0.00033336i,0.0011931-0.00028247i,0.00030278+0.00067272i,-0.00021638+0.00085477i,-0.0005478-0.00011385i,-0.00071054-0.0008052i,-0.0001272-0.00045905i,-3.9942e-05-9.1868e-05i,-0.000915-6.5616e-05i,-0.00088321+9.0094e-05i,0.00045474+0.00015529i,0.00084317+7.5956e-05i,-9.7175e-06+0.00020345i,-0.0001038-0.00010285i,0.00018245-0.00022568i,-0.0004785+0.00063709i,-9.0807e-05+0.00057017i,0.00065686+0.00061213i,-0.00016162+0.00048819i,-0.0011706-2.2989e-05i
0.0016023-0.0010835i,0.00060504-0.00038088i,-4.9244e-05-0.00046442i,-0.00048663+0.00095621i,-0.00097028+0.0017994i,-0.0007748+0.0021219i,-0.00040688+0.0014771i,0.00026224+0.00048068i,9.7655e-05-5.83e-05i,-0.00034474-0.00076209i,-0.00019238-0.00092677i,-0.00020472-0.00021265i,0.00019118+5.6559e-05i,0.00065004-0.00046169i,0.0011529-0.00056003i,0.0017681-0.00052922i,0.0011511-0.0007159i,-0.00028072-0.00084155i,-0.00025479-0.00061649i,0.00065302-0.00065746i,0.00082409-0.00043005i,4.8296e-06-0.00064463i,-0.00047155-0.00068914i
0.00068358+0.00087244i,0.0017078+0.00078072i,0.0021488+0.00067036i,0.00052344+0.00017737i,-0.001546+0.00084069i,-0.0010862+0.0014691i,-0.00062827+0.00066186i,-0.0004625-0.00052871i,-0.00066865-0.00060941i,-0.0007679+0.0001739i,9.6728e-05+0.00056945i,0.00017461+0.00012543i,-0.00025183+0.00080489i,-0.00044478+0.001745i,-0.00027728+0.00069739i,0.00023354-0.00037689i,-0.00014719-0.00019635i,-0.0006858+0.0001395i,-0.00049767-0.00018483i,-0.00018305-0.00054874i,0.00010753-0.00055839i,0.00071097-0.00018682i,0.0010097-0.00016078i
-0.0010419-0.00042915i,-0.0018023-7.0023e-05i,-0.0019851+0.00096887i,-0.00045481+0.0010555i,0.00056605+0.00041028i,0.0010166+0.00023502i,0.00065558-0.00019171i,0.00063211-0.00073009i,0.00098001-0.00021478i,0.00061068+0.00079316i,5.9362e-05+0.0011862i,9.0211e-06+0.00020174i,0.00013119-0.00028979i,0.00059835+0.00052776i,0.00081376+8.3563e-05i,2.9723e-05-0.00032963i,-1.4824e-06+1.6188e-05i,5.9247e-05-0.00015162i,-0.00088899-0.00055417i,-0.0012801-0.00087788i,-0.00084638-0.00033964i,-0.00045589-0.00020988i,-0.00024568-0.00051207i
-0.00042085+0.0016972i,0.00023022+0.0013125i,0.0014509+0.0019259i,0.001493+0.002433i,0.0012725+0.0030517i,0.0010746+0.002494i,0.00073567+0.0012689i,0.00093626+0.0003557i,0.00082586+0.00030462i,0.00068727+0.00023013i,0.00079238-0.00075587i,0.00027823-0.001387i,8.0343e-05-0.00067422i,0.00040441-7.3026e-05i,7.3293e-05-0.0002067i,-0.00052421+0.00011625i,-0.00034985+0.00020728i,0.00020079-0.00049599i,0.00028812-0.00073591i,-8.8897e-05-6.1271e-05i,-0.00057459+5.8726e-05i,-0.0007116+0.00011831i,-0.00032768-0.00051429i
-0.00088779+0.0015625i,-0.001636+0.0027986i,-0.00077651+0.0040217i,0.00055269+0.0031076i,0.00039276+0.0015604i,0.00023278+0.00077611i,-0.00014249+0.00015889i,-0.0006184-0.00021869i,-0.00039476-0.00085554i,-0.00016142-0.00080484i,-0.0006395-0.00063978i,-0.000599-0.00058531i,0.00020132+0.00024627i,0.00080694+0.00049457i,0.00088889+3.3459e-05i,-8.31e-05+7.2587e-05i,-0.00042409+0.00032816i,0.00014414+0.00055303i,5.1262e-05-0.00015341i,-8.4683e-05-0.00063776i,-0.00027069-9.5125e-05i,-0.0010027+0.00027952i,-0.00091211+0.00034123i
0.0089306+0.0019964i,0.011036-0.0023285i,0.010768-0.0077273i,0.005037-0.0079841i,3.4848e-05-0.0059372i,-0.0021506-0.002533i,-0.0015712+0.00067439i,-0.00063572+0.0015558i,0.00066363+0.00050903i,0.00016569-0.0010089i,-0.0019157-0.0012145i,-0.0025726-0.00058297i,-0.0032132+0.0012494i,-0.0048766+0.0034489i,-0.004973+0.0034863i,-0.0024615+0.0016943i,3.174e-05+0.00059205i,0.00034501+0.00069479i,-0.00049304+0.0011087i,-0.00020363+0.00074771i,-3.8311e-05-0.00097415i,-0.00023684-0.0025662i,-0.00057802-0.0020945i
-0.00059239+0.0001839i,0.0013916+0.00086345i,0.0016209+0.00049572i,0.00021272-0.0003946i,-0.00016974-0.0007305i,-0.00098301-0.00026471i,-0.0016351+0.00039982i,-0.0012493+6.9526e-05i,-0.00063656+1.0208e-05i,-0.00047747+0.00049278i,-0.00053493+0.00078187i,0.00026281+0.0011652i,0.00010515+0.00061158i,3.7256e-05-0.00075614i,0.00056015-0.00098307i,0.00045831-0.00079077i,0.00028383-0.00024127i,-0.00018482+0.00032163i,-0.00029911+7.9109e-05i,-0.00047215+0.00060746i,-0.00027307+0.00070135i,0.0003129+0.00059308i,-9.9254e-05+0.00016718i
0.0013565+0.00085339i,0.0018102+0.0011224i,0.0022205+0.00067497i,0.0013831-0.00065864i,0.00011412-0.0016148i,-0.00060286-0.00075338i,-0.00048156+7.3314e-05i,5.352e-05+0.0002057i,0.00034234-0.00030578i,0.00040088-0.00056534i,0.00013247-0.00056011i,0.00043138-0.00063321i,0.00024568+0.00054577i,-0.00021969+0.0010228i,-0.00078956+0.00060873i,-0.001055+0.00019699i,-0.00039262+0.00025332i,-0.00062288+0.00035443i,-0.00081165+0.00069825i,0.00013126+0.00070052i,0.00052697+4.4267e-05i,0.00022338-0.00020232i,5.8034e-05-9.1714e-05i
6.2741e-05+0.0027612i,0.0012552+0.0020715i,0.0021174+0.0017908i,0.0025518+0.0020669i,0.0021171+0.002405i,0.00085367+0.0018325i,-1.9615e-05+0.0010491i,-0.00034246+0.00022485i,-0.00028151+0.00014993i,0.00026536+0.00028123i,0.00053149-0.0007811i,0.00040105-0.0013633i,0.00026858-0.0010021i,1.6021e-05-0.00077946i,-0.00057638-4.5051e-05i,-0.0004345+0.0012831i,-0.00023004+0.0015148i,-0.00044734+0.00046939i,0.0004212+8.1943e-05i,0.00094904+0.00040811i,0.00070781+0.00028773i,0.0010958-0.00020394i,0.0011775+0.00024488i
0.001218-0.00023182i,0.00095022-0.0010182i,0.00028089-0.0010807i,-0.00070359-9.1838e-05i,-0.00046797+0.00029491i,8.6732e-05+9.869e-05i,-0.00020739+0.00015169i,-0.00012842+0.00016563i,0.00081642-0.00017015i,0.00049124+0.00041015i,-0.00021049+0.00059631i,-0.00047973+6.3293e-05i,-0.0001985+1.7418e-05i,7.6562e-05+0.00085597i,-0.00016523+0.0012158i,-0.00025668+0.00046507i,-0.00048149+0.00034127i,-0.00018427+4.9977e-05i,0.00085649+0.00034417i,0.0013149+0.00072272i,0.0012247+0.00086231i,9.6782e-05+0.00058679i,-0.00027595-0.00022583i
0.0017358+0.00064834i,0.0026326+0.00039959i,0.0033061+8.2219e-05i,0.0017167+8.4708e-05i,-0.00097355+2.4029e-05i,-0.0010298+0.0003488i,0.00016717+0.0006468i,0.00019568+0.00052833i,-0.00032553+0.00024284i,-0.00025477+0.00029893i,-2.6313e-05-8.6243e-06i,-0.00020431-0.00015408i,0.00016841+0.00073784i,0.00062923+0.0017153i,0.00047327+0.0022175i,-0.00025256+0.0019195i,-0.00055048+0.0014368i,-0.00069558+0.00091801i,-0.00077869+0.00051888i,-0.00039168+0.00033974i,0.00021391+0.00016617i,0.00048644+0.00040377i,-1.5964e-05-3.8981e-05i
0.00018742+0.0008216i,0.00060621+0.00088852i,1.0509e-07-0.00038538i,-0.00064834-0.0016215i,-0.0010666-0.0016609i,-0.00071522-0.00089573i,-8.396e-05+0.00014705i,-0.00048779+0.00048153i,-0.00041197-0.00018762i,0.00032528-0.00072115i,-0.00010655-0.00023438i,-0.0001648-7.5545e-05i,0.00060496-4.9397e-05i,0.00036171+0.00041306i,0.00020886-3.0788e-05i,0.00073529-4.3237e-05i,0.00033583+0.0001429i,5.0649e-05+0.00010642i,-0.00012178+7.8402e-05i,-0.00031457-0.00037453i,0.00020274-2.0666e-05i,0.00031702+0.00059549i,-6.8354e-05+0.00016385i
-0.00016003+0.000991i,0.00055751+0.000895i,0.00079154+0.00081664i,0.00064006+0.0014424i,0.00054964+0.0012624i,0.00049996-0.00014243i,0.00075815-0.00094935i,0.00026817-0.00059208i,-0.0012567+6.9834e-05i,-0.0017045+1.1866e-05i,-0.0014199-0.00025172i,-0.00122-0.00038631i,-0.00086602+2.7285e-05i,-0.00012318+0.00022768i,0.00077954+0.00032728i,0.00029721+0.00061539i,-0.00066931+0.00020268i,-0.0010425-0.00020438i,-0.0010306+0.0001245i,-0.00062332+0.00027487i,-0.00028038-0.00037561i,-0.00095793-0.00036736i,-0.0012486-0.00022777i
-0.0004628+0.00016343i,0.00060529+0.0001749i,0.0012128+0.00053846i,0.0020358+0.00072302i,0.0012785+0.00025766i,0.00063734-0.00033513i,0.00090261-0.00031292i,0.0013022+9.4067e-05i,0.00095103-0.00032082i,-9.9606e-05-0.00088702i,-7.481e-05-0.00071798i,0.00092675-0.00063303i,0.00092371-3.2284e-05i,7.9464e-06+0.00019073i,-0.00046286+0.00050487i,7.2543e-06+0.00049389i,0.00043522-0.00041442i,0.00040851-0.00085797i,-0.00038911-0.0006512i,-0.00055603-0.00017898i,-1.8036e-05+9.9545e-05i,-0.00026074-7.9648e-05i,-0.00070148-0.0002312i
0.0010835-0.0018175i,0.0016699-0.0032986i,0.00014344-0.0033571i,-0.0016887-0.0012439i,-0.0012976+0.00037958i,-4.0432e-05+0.00055103i,0.00062833+0.00043823i,0.00041522+0.00058798i,-6.4173e-05+0.00039124i,-0.0003406+8.3897e-05i,-0.00013877-0.00037738i,0.00023903-0.0002265i,-0.00020504+0.00017652i,-0.00030882+0.00024863i,-0.00041211+0.00035229i,-0.00086002+0.00070153i,-0.00081404+0.00022579i,-0.00051789-0.00043437i,-0.00031569-0.00064517i,-0.00015648-0.00024009i,-6.5014e-06+0.00015834i,4.5406e-05+0.00010421i,-0.00018139-0.00066664i
-0.0016584+0.0015642i,-0.0014399+0.0020515i,-0.0011866+0.0024987i,-0.0013873+0.0027415i,-0.0016898+0.0027639i,-0.00072925+0.0019382i,0.00037915+0.00035078i,0.00063491-0.0010092i,0.00076183-0.00077248i,0.0010099+0.00077743i,0.0012872+0.0010142i,0.0015475+0.00038332i,0.0013798-0.00017429i,0.00046632-0.00020037i,1.7563e-05-0.00048405i,0.00032992-0.00080327i,0.00012211+0.00038432i,0.00044188+0.00099036i,0.00050879+0.0003509i,-0.00029511-0.00038487i,-0.00076995-0.00076013i,-0.00044641+0.00021622i,-0.00025572+0.0003964i
4.2268e-05-0.00088522i,-0.00039454-0.0012472i,-0.00066195-0.00090748i,0.00024799+0.00065598i,0.00046431+0.0015486i,0.00074096+0.00099471i,0.0012551+0.00041971i,0.00097798-2.3073e-05i,0.00022867+3.9253e-05i,-0.00034422+9.9542e-05i,-0.0005117-0.00031819i,-0.00049055-0.00017543i,-9.3702e-05-5.6625e-05i,-0.00012896+7.9514e-05i,5.1353e-05+0.00057858i,-0.00021966+0.00089649i,-0.00033662+0.00073313i,-0.0005168+0.00060999i,-0.0008552-2.8642e-05i,6.8642e-05-0.0011488i,0.00071682-0.00056892i,0.00023625+0.00032401i,-0.0002722+0.00021297i
0.0012171+0.0011597i,0.0015784+0.00079274i,0.00098971-0.00017949i,-4.0187e-05-0.0003206i,-0.00054172+0.00039818i,-0.0010629+9.4246e-05i,-0.00057631-0.00056837i,0.00021441-0.00023153i,-0.00015993-0.00036282i,-0.00073248-0.00043319i,-0.00048637-0.00039671i,0.00011565-0.0004818i,-1.7578e-07+0.00013899i,-0.0005915+0.00067766i,-0.0002308+0.00048274i,6.4126e-05+0.00028462i,-0.00013269+0.0004738i,-0.00030815+0.00025802i,-1.5571e-05-0.00025238i,0.00044944-0.00032282i,0.00053854-0.00020953i,-3.4693e-05+0.00049136i,-0.00079722+0.00059748i
0.00042049+0.00045959i,0.00064485+0.00099841i,0.00087559+0.0010228i,0.0013116-1.0259e-05i,0.00078208+0.00023396i,4.1683e-05+0.00073291i,0.00035184-0.00024122i,0.0002865-0.00076941i,-0.00014538-0.00084752i,-7.9051e-05-0.00059129i,0.00038751-0.00032668i,-0.00017206+0.00022307i,-0.00095466+0.00065266i,-0.0001389+0.00048908i,0.00027165+0.00043611i,-0.00012996-0.00023114i,-0.00011061-0.00075348i,-9.6298e-05+0.0002137i,-0.00014142+0.0004385i,-6.6899e-05-0.00010625i,-0.00012429+0.00041676i,-9.741e-05+0.00049187i,0.0003851+0.00013001i
0.00024794-4.7579e-05i,0.00046461+0.00084805i,0.0010343+0.00069359i,0.0010385+0.00029192i,-6.0049e-05+0.00099115i,-0.00049808+0.0014974i,-0.00074492+0.00079989i,-0.00085465+0.00032233i,-0.00060344+2.1071e-05i,-6.1099e-05-0.00015907i,0.00068005-0.00036022i,0.00071048-0.00077508i,0.0012928-0.00093252i,0.0018225-0.00030236i,0.00091782-0.00046312i,0.00042058-0.001333i,0.00039656-0.00071547i,6.8932e-05+0.00057666i,-0.0005082+0.00076631i,-0.00040443+6.9575e-05i,0.00046661-0.00031735i,0.00065806-0.00057079i,0.00042804-0.00081661i
0.00014885+0.0015454i,0.00069047+0.0021244i,-6.029e-05+0.0021623i,-0.0014004+0.001439i,-0.0018154+0.00061079i,-0.0012237+9.7805e-05i,-0.001335-0.00031895i,-0.00072833-0.0002312i,0.00057164+0.00036372i,0.00056315-4.0407e-07i,0.00041895-0.00078502i,7.6373e-06-0.00095044i,-0.00067208-0.00032596i,-0.0010082-3.6637e-05i,-0.0010481-0.00053832i,-0.00020004-0.00054116i,0.00044757-0.00044516i,4.4392e-05-0.0002621i,6.0167e-05-6.3588e-06i,0.00023422+0.00066089i,1.6832e-05+0.0013744i,-7.3739e-05+0.00092808i,0.0001203+0.00019349i
-0.00079736+0.00078402i,-0.00026596+0.0018425i,0.00066512+0.00097066i,0.000927+0.00040288i,1.9513e-05+0.00084872i,-0.00038176+0.00063101i,-0.00016236+0.00010007i,-8.5288e-05+0.00022718i,-0.0001529-0.00030265i,-8.6441e-05-0.00018254i,-0.00013397+0.00044761i,-0.00031498+0.00027436i,-0.000433+2.3178e-05i,-0.00054292+0.00012904i,-0.000385+0.00041245i,0.0001534+0.0010531i,0.00016306+0.00067966i,-0.00047472-0.00017027i,-0.000141-0.00041326i,0.0006059-0.00017609i,-0.00043638+0.00090262i,-0.00092151+0.00097333i,-0.0003171+0.00082004i
