0.00029476+0.0011705i,0.00011908-0.00021133i,-0.0013175-0.0018119i,-0.00080236-0.0035553i,-0.00012814-0.0026493i,-0.00037782-1.5316e-05i,-0.0012057+0.00063734i,-0.00093939+0.00049714i,0.00023818+0.00017897i,0.00094559+4.1142e-05i,0.0002639-0.00026241i,0.00019373-0.0010675i,0.00044807-0.00074895i,-0.00031391-0.00048032i,-0.00057546-0.00036367i,9.4319e-05-0.00048679i,0.00072157-0.0011998i,0.00058372-0.00087411i,0.00032039-7.3787e-05i,0.00065508+0.00027992i,0.00044104+0.00018408i,-0.00010465-5.2738e-05i,5.2326e-05-0.00055983i
0.0011685-0.00058236i,0.00065898+2.0987e-05i,0.00099075-0.0011526i,0.0020068-0.0011172i,0.0027795-0.00014036i,0.002657-0.00043162i,0.0015654-0.001057i,0.00071454-0.00084718i,0.00025943+9.565e-05i,-0.00044767+6.6046e-05i,-0.00029133-9.8274e-05i,0.0003577-9.0157e-05i,0.00070823-0.00053394i,0.00068038-0.00051401i,0.0011255-0.00041498i,0.0011965-0.0005242i,0.00027382-0.00024047i,-0.00015321+0.0004174i,-0.00012054+0.00074447i,1.7294e-05+0.00077031i,1.2582e-05+0.00035703i,0.00017991-0.00041012i,0.00042343+0.0001137i
-0.0029284+0.0011323i,-0.0021067+0.001784i,-0.001411+0.0016458i,0.0010691+0.002146i,0.0034615+0.0019288i,0.0034875+7.6139e-05i,0.0016668-0.0017078i,0.00038417-0.0014143i,-5.4217e-05-0.0011004i,0.00044887-0.0007933i,0.00090901-0.00019842i,0.0013126+0.00012542i,0.00083408+0.00050641i,0.00019502+0.0007853i,0.00066373+0.00061289i,0.00051587+0.00037631i,3.2951e-05+0.00047568i,-8.7873e-05+0.00038841i,-0.00026511+0.00026055i,-0.00074986+0.00083034i,-0.00023975+0.00035964i,0.00049483-1.8177e-05i,0.00017742+0.00039682i
0.00046554-0.0025948i,-0.00010512-0.0023296i,-0.0010882-0.0011924i,-0.0011327-0.00086874i,-2.3416e-05-0.00056069i,0.0010186+6.9758e-05i,0.0011939-0.00011664i,0.0006178-0.00024801i,0.00026306-0.00084249i,0.00050445-0.0010263i,0.00038575-0.00057292i,-9.2191e-05-0.00061088i,0.00012854-0.00035364i,0.00022591+8.1842e-05i,-0.00024009+0.00034918i,-0.00018239+0.00091672i,0.00028843+0.00096604i,0.00033759+0.00056675i,0.00016987+0.00040364i,4.1103e-05-2.329e-06i,-0.00057055+9.8579e-05i,-0.00073037+0.00046198i,-0.00010862+6.5121e-05i
-0.0010928+0.0008225i,-0.0010181+0.0017244i,-0.0014041+0.0025859i,1.3273e-05+0.0021529i,0.0015777+0.0016399i,0.0018073+0.00022546i,0.0013213-0.0010402i,5.006e-05-0.00081693i,-0.00036739-0.00057788i,-6.2076e-05-0.0011033i,-0.00032135-0.00019078i,-0.00045012+0.0011043i,-0.00034105+0.000542i,0.00017577-0.00042227i,0.00065029-0.00020084i,0.00069146+0.00053102i,0.00068872+0.00070349i,-0.00093662+0.00058975i,-0.0016879-0.00044011i,8.5141e-05-0.00055284i,0.00039965-0.00020831i,2.1916e-05+3.1691e-05i,0.00066748+0.00057337i
0.0010366+0.0014295i,0.00061272+0.0022172i,0.00093863+0.0019625i,0.0021908+0.0024768i,0.0035028+0.0025123i,0.0028562+0.0013427i,0.00065944-0.00054487i,-0.00041364-0.0022725i,0.00019326-0.0023131i,0.00030216-0.0012119i,-0.00049875-0.00039269i,-0.00046779+0.00053802i,-0.00071449+0.00095776i,-0.001413+6.8707e-05i,-0.00062043-0.00017069i,0.00062008-8.6555e-05i,-0.0001323-0.00014873i,-0.0010944+1.183e-06i,-0.00097131-0.00047561i,-0.00039993-0.00076858i,0.00014185-0.00036531i,0.0009582+7.9238e-05i,0.0010918-7.3685e-06i
0.00098221+0.0010067i,0.0013766+0.0011493i,0.0017636+0.00048143i,0.0019103-0.00067389i,0.0027966-0.00090856i,0.0035441-0.0014966i,0.0026452-0.0010385i,0.0013488-0.00012653i,0.001059-0.00016787i,0.00093602-0.00023207i,0.00053414-0.00028481i,0.00050961-0.00079336i,0.0002448-0.00090479i,-4.4381e-05-0.00040912i,0.00034065-0.00063804i,0.00022457-0.00089316i,6.2995e-05-0.00051819i,-0.00054393-7.3651e-05i,-0.00084906+0.00046415i,-0.00052449+0.00068396i,-0.00028332+0.0004595i,0.00034794+3.1016e-05i,0.00084532+6.0969e-05i
0.0020137+0.0014201i,0.0021944+0.00045656i,0.0021938+0.0012335i,0.0028801+0.002342i,0.0029127+0.0020624i,0.0021414+0.00062719i,0.0010704-0.0013441i,0.00024613-0.0020392i,0.00031411-0.0017038i,0.0002841-0.00078654i,0.00097434-0.00013075i,0.0010527-0.00051958i,0.00063721-0.000781i,0.00097899-7.0081e-06i,0.00088158+0.0003767i,-0.00020848+0.00018i,-0.0011808+0.00023764i,-0.0017926+0.0006579i,-0.00141+0.00094109i,-0.00027558+0.0004884i,0.0001908-0.00019231i,0.00048269-5.0088e-05i,0.00061927+0.00039636i
0.00031262-0.001275i,7.8428e-05-0.00086234i,-0.00011464-0.00031729i,0.0012404+0.00045829i,0.0024932+0.00043651i,0.0019554-0.00039584i,0.00069743-0.00087751i,0.00075783-0.00018187i,0.00075882+0.00012616i,5.2201e-05-0.0001222i,0.00031832+0.00037631i,0.00026591+7.5814e-06i,0.00019775-0.00026344i,0.00029515+0.00079357i,0.00063101+0.00035306i,0.0009404-0.00055912i,0.00024131-0.00043751i,-0.00059728-0.00049043i,-0.00055755-0.00012057i,0.00010269+0.00080309i,0.0006728+0.0010859i,0.00021223+0.00081552i,-0.00065034+0.00010775i
-0.00074079-0.0008497i,-0.0012684-7.1516e-06i,-0.00013712-0.00028149i,0.0022574+7.9525e-05i,0.0025346+8.0419e-05i,0.0025312-0.00034317i,0.0016961-0.00063545i,-0.00015929-0.0011096i,-0.00098902-0.0011082i,-0.00092238-0.00066749i,-0.00026605-0.00020436i,0.00024677+0.00043881i,-0.0001044+0.00065886i,-0.00075606+0.00043698i,-0.00068156+0.00017602i,-5.9181e-05-0.00027887i,0.00021189-0.00087498i,-0.00029149-0.00020697i,-0.00073775+0.00062794i,-0.0004107+0.00050156i,-0.00024311+0.0003623i,0.00016212+0.00081519i,0.0010207+0.00057716i
-0.0019133+0.00061095i,-0.00089628+0.001244i,-0.00022056+0.001319i,0.00034557+0.00079535i,0.001608+0.00088136i,0.0022755-7.3565e-05i,0.0010635-0.00090353i,0.00043678-0.0010344i,0.0003972-0.00071983i,0.00032152+6.4114e-05i,0.00073163+0.00058071i,0.00098186+0.00014905i,0.0010808-4.4152e-05i,0.00093975+0.00031546i,0.00030539+0.00032279i,0.00013963+0.00044426i,0.00058889+0.00036603i,-6.3107e-05+0.00012734i,-0.00085972+0.00032434i,-0.00031812+0.00014735i,-8.7061e-05+7.1409e-05i,-0.00061561+0.00091619i,-0.00069942+0.0010992i
-0.0018144+0.0014244i,-0.0020473+0.0011427i,-0.0013285+0.0011029i,0.00018314+0.0015385i,0.0014009+0.0010044i,0.0018536-0.0010843i,0.0011383-0.0020229i,0.00065933-0.0014025i,0.0011895-0.00074218i,0.0012199-0.00031436i,0.0011808-0.00026649i,0.0013484+0.0003533i,0.00062506+0.00053027i,0.00035028+0.00025076i,0.00021514-7.0775e-05i,-0.00049805-0.00058644i,-0.00081129-0.00044078i,-0.00063013-0.00027753i,-0.00081494+8.3574e-05i,-0.00093168+0.00010563i,-0.00015238+0.0001659i,0.00024142+0.00068143i,0.0005679+0.00076368i
-0.0010784-0.0017711i,-0.0017381-0.0013341i,-0.0019504-0.00094023i,-0.0014248-0.00049895i,-0.00050198+0.00034095i,0.00023327+0.00066475i,-0.00014403+0.00015108i,-0.00038716-0.00041206i,0.00047008-0.00082783i,0.00080852-0.00068966i,0.0003964-0.00034655i,-0.00029843-0.00013431i,-0.00063831-0.0001604i,-0.00032112-0.00031805i,-0.00059797+4.702e-06i,-0.00058381-2.4234e-05i,0.00013133-0.00055407i,0.00027527-0.00063689i,-4.9709e-06-0.00049709i,-0.00041783+0.00022134i,0.00016986+0.00072524i,0.00063036+2.3067e-05i,0.00088277+0.00011824i
0.0010101+5.9642e-06i,0.00064202-0.00027042i,-0.00019789+6.0457e-05i,0.00051097+0.00052066i,0.0030018+0.00042076i,0.0037997-0.00033908i,0.0019068-0.00093022i,0.0004645-0.00076781i,0.00071374-0.00079333i,0.00086922-0.0012133i,0.00045076-0.0012089i,0.00022221-0.00083044i,-4.2264e-05-0.00087189i,0.00014638-0.0011441i,0.00066901-0.00067759i,0.00087211-0.00053699i,0.00040494-0.00094968i,-2.8024e-05-0.00036239i,0.00021481+0.00039049i,0.00098423+0.00035746i,0.0011277+0.00029884i,0.00047358+1.6864e-05i,0.00043209-0.0001854i
0.0012145+2.7544e-06i,0.0016+0.00067949i,0.00058723+0.00058176i,0.0011436-0.00041818i,0.002698-0.0012074i,0.0030072-0.0012219i,0.002101-0.0014429i,0.0010944-0.0012798i,0.00062482-0.00022959i,0.00068719-0.00040751i,0.000935-0.00093544i,0.00043909-0.00025443i,-6.7597e-05-0.00043249i,0.00018512-0.0013495i,0.00021469-0.0013173i,0.00026243-0.0011453i,0.00043381-0.0010276i,0.00056561-0.00054461i,0.00050263-0.0008689i,0.00058899-0.00038889i,0.00080799+5.9444e-05i,-1.4038e-05-4.4536e-05i,-0.0006612-0.00081431i
-0.00067351-0.00059061i,0.0011765-0.00072833i,0.00043965-0.00010849i,0.00096599+0.00073534i,0.0020144+4.398e-05i,0.0023551-0.00026239i,0.00094991+4.2557e-05i,-8.5955e-05+0.00043741i,-0.00050969+0.00073065i,-0.00039353+0.00094316i,0.00015083+0.001117i,0.00041043+0.00089721i,0.00095839+0.00057636i,0.00057044+0.0002329i,-1.9635e-05+0.00014033i,0.00045315+0.00052008i,4.8877e-05-0.00015232i,-0.00026677-0.00090698i,-0.00017283-0.00062352i,-0.00038865-0.00010933i,-0.00067182-9.4647e-05i,-0.00047657-0.00025245i,0.00023202+6.2685e-05i
0.00095388+0.002047i,0.00084282+0.00085988i,0.0013789+0.00070032i,0.0018158+0.0010938i,0.0023071+0.00063508i,0.001657-0.00081763i,0.00023288-0.0011218i,-0.00018269-0.00078612i,0.00065145-0.00059064i,0.001028-0.0008195i,0.00077489-0.0014405i,0.00061724-0.0012608i,0.00064988-0.0010432i,0.00073424-0.00035623i,0.00097076+9.1053e-05i,0.0010881+7.7883e-05i,0.00016282-0.000324i,-0.001001-0.00084094i,-0.00070106-0.00064913i,0.00015309-0.00048812i,0.0006571-0.00019074i,0.00041185+0.00014602i,0.00013825+0.00058957i
0.0014757-0.00017872i,0.0011399-0.00040585i,0.0021157+0.00071624i,0.0033553+0.00061579i,0.0035755+2.8713e-05i,0.0023617-0.00082017i,0.0012107-0.0014614i,0.0010646-0.0014892i,0.00063394-0.001188i,3.4853e-05-0.0013489i,0.00020398-0.0010801i,-0.00012409-0.0002835i,0.00046321-7.0639e-05i,0.00091895+7.4032e-05i,6.2835e-05+0.00075522i,-0.0002231+0.00060889i,7.1604e-05+0.00010518i,4.8216e-05+0.00046036i,7.4964e-05+0.0010526i,0.00043842+0.00043703i,0.0010789+0.00028721i,0.0013765+0.00060573i,0.0010432+5.7486e-05i
0.00078591+0.00034592i,0.0004637+0.0013385i,0.0019628+0.0014425i,0.0031307+0.00040081i,0.0030012+0.00020959i,0.0020153-0.00076055i,0.00048771-0.0011317i,-0.00079764-0.00041158i,-0.00058137-0.00064959i,0.00016088-0.0013556i,3.9724e-05-0.00083056i,-0.00025973-0.00014281i,-0.0004541-0.00025876i,0.00010897-0.00058713i,0.00034628-0.00057791i,0.00059756-0.00050713i,0.0012948-0.00052932i,0.00095875-0.00051758i,0.0001411-0.00050476i,-5.3827e-05-7.3449e-05i,-2.6504e-05+0.00051794i,-0.0001707+0.00014105i,-0.00038182-0.00023905i
0.00010962+0.00088182i,0.00042507+0.00088924i,0.00077355+0.0010508i,0.0023004+0.0011718i,0.0034628+6.4841e-05i,0.0019654-0.0014723i,0.00027251-0.001664i,1.2947e-05-0.0015177i,0.0001688-0.0016773i,0.00030291-0.00096344i,0.00043051+0.00050181i,0.00027553+0.00095079i,-0.00034238+7.8955e-05i,-0.00010199-0.00070358i,0.00086138-0.00047391i,0.00071152-0.00049677i,0.00065463-0.00080211i,0.00023796-2.2612e-05i,-7.9046e-05+0.00063847i,0.00036361+0.00025361i,0.00045925-0.00011739i,0.00028094-0.00022692i,0.00036389-0.00057021i
0.0001866-0.00027579i,0.0011633-0.00012983i,0.0014262+0.00010215i,0.0020266+0.00043298i,0.0023122+0.0004951i,0.0023983-0.00029388i,0.0013784-0.0005708i,0.00024663-0.00048342i,-6.2573e-05+5.0226e-05i,0.00027635+0.0003419i,0.00034095+0.00056992i,0.00042408+0.0010373i,0.00098651+0.0014801i,0.0012123+0.00094291i,0.00064689-0.000229i,0.00029704-0.00029922i,-0.00024042+4.4393e-05i,-0.00086015-0.00010151i,-0.00041914-0.00020363i,-0.00059204-0.00013821i,-0.00097188+4.4543e-05i,-0.00066346+0.0006362i,-0.00017933+0.001006i
0.0029378-0.00022544i,0.0017621-0.00040027i,0.0022796-0.00040649i,0.0019931+0.00011829i,0.0015137-0.00060999i,0.0013195-0.0017433i,0.00095207-0.0020611i,0.00058601-0.0023531i,0.00018053-0.0023683i,0.00012926-0.001824i,0.00023504-0.0012818i,0.00042485-0.0014757i,0.00026297-0.0011539i,-0.00021585-0.00061955i,1.9997e-05-0.00053626i,3.7001e-09-0.00078768i,-0.00020252-0.00082457i,0.00062703-0.00029229i,0.00075092+0.00048035i,0.00019937+0.00030447i,-9.6025e-05+0.0004876i,-0.00063512+0.00094377i,-0.00011882+0.00060767i
0.0010084-2.4221e-05i,0.001528-0.00068973i,0.0015721-8.7787e-05i,0.0019829+0.001001i,0.0023413+0.00011368i,0.0021147-0.0018482i,0.0014666-0.0024552i,0.000401-0.0019555i,0.0002015-0.0018272i,0.00039529-0.0011303i,-0.00074891+0.00011685i,-0.0012754+0.00042114i,-0.00025621-0.00038075i,0.00066557-0.00074299i,0.00028032+0.00025544i,7.7697e-05+0.00055988i,0.00039456-0.00012687i,0.00033986-9.0966e-05i,7.3674e-05+0.00011179i,-0.00093554-0.00018321i,-0.0012949-0.00061934i,-0.00038809-0.00049628i,-0.00034678-0.00026218i
0.0038463-5.8195e-05i,0.0032384-3.3685e-05i,0.0030084-0.00036463i,0.0028909-0.00077524i,0.0018956-0.00089539i,0.00055054-0.0010305i,-0.00068687-0.00087616i,-0.0012334-0.0010426i,-0.00058592-0.0012495i,0.00026141-0.00081633i,0.00062627-0.00039498i,0.00012474-0.00015851i,-0.00033469-0.00025947i,0.00021599-0.00043597i,0.0010041-0.00055676i,0.00020424-0.00068439i,-0.00097085-0.00040445i,-0.0014359-0.00053751i,-0.00059396+0.00016674i,-0.00024637+0.00013894i,-0.0002262-3.6893e-05i,0.00074361+0.00068702i,0.00055932+0.00045658i
0.0013587-0.00085502i,0.00074915-0.00046352i,0.00048294-0.0010547i,0.0011611-0.00044349i,0.0022558-0.0012369i,0.0031987-0.0013735i,0.0023355-0.00083115i,0.00034132-0.0013646i,-0.00078358-0.0011387i,-0.0006384-0.0010033i,-7.4085e-05-0.0006444i,0.00019428+0.00023244i,0.00050903+0.001131i,0.0011459+0.0011687i,0.0013513+0.00028612i,0.0004479-0.0007315i,0.00015666-0.00064989i,0.00044848-0.00014499i,0.00063076+0.00010166i,0.00082835-6.6987e-05i,0.00074745+0.00044975i,0.00059079+0.00064619i,0.0010236+0.00015231i
-0.0011693-0.00010205i,-0.0021942+0.00057301i,-0.0017503+0.001009i,0.00082204+0.0012101i,0.0017475+0.00096829i,0.0013308+1.1391e-05i,0.00082001-0.0007052i,0.00046842-0.00075973i,0.00023177-0.00023937i,0.00019437-0.00022322i,6.6275e-05-0.00064243i,-0.00010838-0.00014946i,0.00014065+0.00010258i,0.00072928+0.00025195i,0.0012274+0.00055633i,0.0010127+0.00035498i,0.00030881-0.00022456i,-0.00028733-0.00058052i,-0.00084003-0.00020913i,-0.00093062-0.00024019i,-0.00091961-0.0010004i,-0.00050366-0.0013347i,0.0004791-0.00069315i
0.00074296+0.0025132i,0.00073283+0.0025632i,0.0015053+0.0021933i,0.0024656+0.0011521i,0.0021312-0.00053154i,0.0020001-0.0021996i,0.0012231-0.0022954i,-0.00036663-0.0011279i,-0.00046373-0.00035832i,0.00037029-0.00085257i,0.0011338-0.0011072i,0.0015832-0.00021689i,0.00069002-0.00012304i,0.00010463+0.00019381i,0.00055315+0.00022966i,0.00073509-0.00038877i,9.0927e-06-0.000889i,-0.0010317-0.00072869i,-0.00056509+0.00011218i,0.00012321+0.0010653i,0.00022046+0.0010947i,0.00040681+9.3351e-05i,0.00044981-0.00016769i
-0.0024657+0.00040929i,-0.0024655+5.9884e-05i,-0.0003786+0.00026622i,0.00090217+0.0016175i,0.0018567+0.0019551i,0.0024692+0.00071817i,0.0013951-0.00057739i,-4.8555e-05-0.00067228i,-0.00018543-0.00030935i,9.9532e-05+0.000109i,-6.9309e-05+0.00063053i,-7.4283e-05+5.8824e-05i,-0.00027439-0.00062204i,-0.00060544-0.00070527i,-0.00012125+0.0003244i,0.00022231+0.00078569i,5.2959e-05-1.6947e-05i,-1.0196e-05+0.00011295i,-0.00047665+0.00093103i,-0.00048351+5.2539e-06i,0.00061088-0.0013927i,0.00086326-0.0010787i,0.0010126-0.00047108i
-0.00094124-0.0013002i,-0.00098032-0.00063331i,-0.0014618-0.00036386i,-0.00026622+0.00019531i,0.002322+0.00095381i,0.0026529-0.00035522i,0.0016627-0.0017913i,0.00073454-0.0013878i,0.00081371-0.00088644i,0.0011333-0.0004735i,3.5948e-05+0.00022064i,-0.00074495+0.0010992i,-0.0012106+0.0019797i,-0.00081095+0.0020657i,0.00054602+0.00097089i,0.00088108-0.00017742i,0.00072405-0.0011171i,0.00096649-0.0011598i,0.00077145+0.00067057i,-4.571e-05+0.0015957i,8.0783e-05+0.00054795i,0.00087677+0.00034864i,0.0011402+0.00083747i
0.00054603+0.0030117i,0.00052026+0.0023424i,0.0010173+0.0015365i,0.0022814+0.0010523i,0.0034263+0.00075745i,0.0027801-0.00032908i,0.00084745-0.0014214i,0.00019594-0.0013385i,0.00024595-0.0010087i,0.00057958-0.00093733i,0.00049287-0.00031912i,4.5061e-05+0.00016904i,0.00027121+5.4596e-05i,0.00083706-3.7489e-05i,0.00099624-0.0002855i,0.00011565-0.00073949i,-0.00084677-0.0014625i,-0.00048829-0.0011445i,0.00035269-0.00055983i,0.00051183-0.00051632i,-0.00013946-0.00011902i,-0.00017465+0.00022012i,0.00011735+0.00038819i
-0.00071757+0.0037927i,-0.00038141+0.004105i,-9.0799e-05+0.0038326i,0.0010812+0.0029524i,0.0027391+0.001172i,0.0034846-0.00088142i,0.0021667-0.0014767i,0.00067682-0.00067556i,0.0011264-0.00037595i,0.0010174-0.0005784i,0.00091745+0.00035665i,0.00083021+0.0011145i,0.00021869+0.00054573i,0.00032536-0.00041875i,0.00096115-0.00040654i,0.00057603+1.6849e-06i,-1.7498e-06+0.00044165i,-5.1052e-05+0.0015361i,-0.00042136+0.0013566i,-0.00076299+9.5522e-05i,-0.00015419-0.00010163i,0.00095665+0.00024119i,0.0011154+0.000593i
-0.00074882+0.00094943i,-9.7147e-05+0.0016062i,7.6964e-05+0.0014449i,0.00081445+0.0012981i,0.0023584+0.0007284i,0.0019046+9.7527e-05i,-0.00029191+0.00012829i,-0.0005701-0.00026647i,0.00028364-0.00015199i,0.00070308+0.00026349i,0.00088438+7.2424e-05i,0.001431-0.00026522i,0.0010568-0.00042923i,0.00061925+0.00016854i,0.00053596+0.00056789i,-0.00016053+0.00060443i,-0.0010754+0.00046451i,-0.0013508-0.00022578i,-0.00055079-0.00056225i,0.00098184+0.00020486i,0.001315+0.0008708i,0.00089266+0.00050405i,0.00074796+0.00037134i
2.6108e-05-0.00031788i,-0.00029643-0.00032871i,0.00061056-0.00064632i,0.0023534-0.00085723i,0.0038098-0.0007516i,0.0034504-0.00087939i,0.0021327-0.0018571i,0.0013045-0.0016251i,0.00059571-0.0010471i,1.2111e-05-0.00046681i,-0.00033353+0.00017918i,-0.00034792+0.00024935i,0.00037888-0.00013105i,0.00027528-0.00046881i,-0.00061752-0.00078417i,-0.00044007-0.00085435i,2.4048e-06-0.00068334i,-0.00023123-0.00015304i,-0.00025904+0.00022943i,1.841e-05+0.00045493i,-0.00018197+0.0009906i,-0.00034769+0.0010036i,-0.00017574+0.00060586i
-0.00061768+0.0012539i,-0.00045202+0.0011184i,0.00025278+0.0021248i,0.002048+0.0019111i,0.0028219+0.0006604i,0.0017744-0.0013441i,0.00049208-0.0016995i,0.00011205-0.00095078i,-0.00055762-0.0010604i,-0.0010779-0.0010648i,-0.00056906-0.0010768i,0.00023188-0.0012747i,0.00035959-0.0012269i,6.796e-05-0.00075424i,-0.00026181-1.1182e-05i,0.00074728+0.00025248i,0.00079956+0.00014879i,-0.00088992+0.00015631i,-0.00099035+0.00045036i,-0.00036231+0.00089793i,-8.733e-05+0.00088167i,0.00031885+0.00024931i,0.0008217+3.5261e-05i
-0.00043082+0.0040848i,0.00068701+0.0053341i,0.0024336+0.0064131i,0.0036472+0.0040726i,0.0054434+0.00020006i,0.0050777-0.0028324i,0.0021353-0.0028449i,0.0006566-0.0010141i,0.00016044+0.00056356i,0.0004966+8.6965e-05i,0.00093338-0.00058759i,0.0013431+0.00010082i,0.0019113+0.00067257i,0.0020148-7.917e-05i,0.0015461-0.00073097i,0.00019733-0.00062785i,-0.00035464-0.00065113i,-0.00022577+0.0002596i,-0.00042524+0.00035494i,-8.1938e-05-0.00015341i,0.00016453+0.00029508i,0.00039042+0.0006597i,-0.00010133+0.00097026i
-0.00093207+0.0018764i,0.00066057+0.0016976i,0.001114+0.00071562i,0.001413+0.00063346i,0.0022592+0.00022922i,0.0015744-0.0010226i,0.00076796-0.0020029i,0.00060225-0.0017854i,0.00031257-0.0017701i,-7.2508e-05-0.0011503i,-0.00010739+0.00028528i,7.9896e-05+0.001219i,0.00068087+0.0017494i,0.00094455+0.0012887i,0.0004096-0.00035858i,0.00057318-0.0011834i,0.00041899-0.0012069i,0.0003763-0.00082002i,0.0002808-0.00039242i,-0.00074274+0.00017309i,-0.00099309-9.5422e-05i,-0.00041293-0.00032176i,0.00048527-3.14e-05i
-0.0010992+0.0015391i,-0.00029495+0.0014018i,0.00058759+0.0030559i,0.0021922+0.0027736i,0.0037925+0.00025548i,0.0035654-0.0014787i,0.0016068-0.0015953i,-0.00010475-0.0012006i,0.00012056-0.0012437i,0.00079172-0.0014815i,0.00064833-0.0008043i,0.00054124+0.00030823i,0.00088773+0.0004837i,0.0009183+0.00062359i,0.0011458-0.00018238i,0.00098061-0.0014454i,0.00056867-0.0012341i,-3.3954e-05-0.00016723i,-0.00056234+0.00023108i,-0.00058531-0.00012487i,-0.00029318-0.00024022i,2.4178e-05+4.3257e-05i,-0.00058331-4.427e-05i
-0.001641+0.0010247i,-0.00087092+0.0009726i,-0.00093245+0.00089169i,0.00073823+0.0022188i,0.0018567+0.0020056i,0.0015079+0.00056665i,0.00060138-0.0008506i,0.00053936-0.00088982i,0.00072481-0.00038097i,0.00057831-0.00026664i,0.00019126+1.2522e-05i,-3.4905e-05-0.00070971i,0.00014357-0.00075606i,-7.4533e-05-9.5007e-05i,-8.0765e-05-0.00017565i,-0.00024968-0.00010034i,-0.00039625+0.00077861i,-0.00014713+0.0010559i,7.4681e-05+0.00079228i,-0.00022473+0.00043831i,-0.00085446-0.00014496i,-0.00054984-9.5432e-05i,-0.00010948+0.00025149i
-0.00084255-0.00041799i,-0.0009028-0.00044856i,0.00043818-0.00067403i,0.001841-0.0013896i,0.0020959-0.00093478i,0.0016297-0.00068806i,0.00089892-0.00072163i,-0.00046326-2.4606e-05i,-0.00058553-0.00030779i,-0.00015875-0.00082713i,-0.00015176-0.00063322i,-5.2791e-05-0.00052465i,0.00012106+0.00017985i,0.00023602+0.00082052i,-3.1774e-06+0.00017762i,-4.7464e-05-0.0008136i,5.1992e-05-0.00082705i,-0.00070697-0.00045136i,-0.0016109-0.00060539i,-0.00058414-0.00039876i,0.00038271+0.00041991i,0.0011726+0.00099668i,0.00097065+0.0011493i
0.001222-0.0012249i,0.00047895-0.00067054i,0.00030665-0.00013082i,0.00236+0.00095186i,0.0032454+0.0008278i,0.0024273-0.0010785i,0.00084597-0.0019632i,1.4841e-05-0.0015033i,0.00072242-0.0015311i,0.0006589-0.0016236i,-4.8372e-05-0.00098258i,-8.7109e-05-0.00071089i,-0.00039576-0.00053092i,3.8701e-05-0.00022988i,0.00096065+0.00012316i,0.00082095+0.0002821i,-0.00041234-0.00043587i,-0.00046087-0.00094878i,-0.00039428-0.00027417i,-1.2112e-05+0.00051452i,0.00047749+0.00045632i,0.00037237-0.00063301i,-0.00014341-0.00063383i
0.00017083-0.00054487i,0.00035064+0.00011817i,0.00071594+6.537e-05i,0.001098+0.00014419i,0.0012898+9.6726e-05i,0.0015509-0.00059438i,0.0012503-0.001251i,0.0014796-0.0021239i,0.0016878-0.0020263i,0.00083161-0.0012075i,0.00026643-0.00055589i,0.00082982+0.00015931i,0.0016373+0.00025498i,0.0014562-0.00043427i,0.00084462-0.00057906i,0.00038438-0.00048646i,-0.00037201-0.0001035i,-0.00062694+0.00012895i,-0.00034556-0.0001479i,-0.00068701-0.00025602i,-0.00086127-0.000282i,-0.00046355-0.0003333i,0.00018094+0.00042745i
3.2168e-05+0.0029495i,0.00038451+0.0033788i,0.0020857+0.0024051i,0.0040428+0.00059745i,0.003814-0.00080495i,0.0016139-0.0018319i,-0.00015869-0.001665i,-0.00066802-0.0013642i,0.00013922-0.001422i,0.00052894-0.00069071i,0.0003069+6.0642e-05i,0.00041953+0.000254i,0.00033085-0.00060057i,0.0010229-0.00086848i,0.0016509-0.00098062i,0.00061462-0.0011139i,0.00013091-0.00032735i,0.00074941+0.00047592i,1.2279e-05+0.00044221i,-0.0007772+0.00026027i,-0.00067695-3.5971e-05i,-1.1886e-05+0.00024575i,0.00052676+0.00049912i
-0.0026512-0.00026598i,-0.0023626-0.00033782i,-0.0016079+0.00052009i,0.00039039+0.002774i,0.0016408+0.0031511i,0.0015666+0.0010122i,0.0012429-0.00025831i,0.0008074-0.00058077i,0.00034861-0.00057i,-4.1042e-05+0.00015394i,0.00025978+0.00038384i,0.0013579-8.9936e-05i,0.0016635-0.00018633i,0.0015715+7.5957e-05i,0.00078215-0.00018393i,-8.5613e-05-0.00035483i,-0.00020379-0.00035838i,3.631e-05-0.00037759i,0.0003211-0.00062168i,0.00018759-0.00059158i,0.00085963-0.00022994i,0.00060262-5.0131e-05i,0.00031513-0.00017316i
0.0019619-0.00098379i,0.0021611-0.001334i,0.0031537-0.0016469i,0.0032725-0.0016331i,0.0031593-0.0016008i,0.002877-0.001387i,0.0013806-0.001574i,0.00072755-0.0020624i,0.00061572-0.0013199i,-0.00036754-0.00034568i,-0.00090852+0.00015368i,-0.0006551-0.00021212i,0.00017648-0.0010621i,0.00031003-0.0014263i,-4.418e-05-0.00067902i,-0.00016142-0.00016703i,0.00011586-6.5354e-05i,0.00070854+8.9629e-05i,0.0013488+0.00011191i,0.0010952+0.0011294i,0.00061571+0.001065i,0.00048289-0.0002878i,0.0003722-0.00068759i
