-0.0012301-0.00029107i,-0.0017755-0.00036694i,-0.0031936-0.00012842i,-0.0036953-0.00094235i,-0.0043719-0.00045333i,-0.0038176+0.0021677i,-0.0017393+0.002674i,0.00024442+0.0011806i,0.0010655+0.00031209i,0.0011328+0.00090876i,0.00094521+0.00077516i,0.00031095-5.573e-05i,-0.00043592+0.00058846i,-0.00042992+0.00075653i,0.00018995-0.0006393i,0.00017675-0.00091628i,-0.0003106-2.214e-05i,-0.00036251-4.0783e-05i,-0.00027465-0.00020425i,-0.0002356+0.0002161i,0.00054664+3.46e-05i,0.00090086-0.00019737i,0.00029812-0.00049408i
0.0015264+0.0012759i,0.0024317+0.0016564i,0.0031442+0.0021789i,0.0021337+0.0012636i,0.0006611-0.0006768i,-0.00061693-0.00052848i,-0.00055229+0.00033727i,0.00018327+3.8649e-06i,0.00031771+0.00011252i,-0.00058565+0.00059787i,-0.00037345+0.00033053i,0.00049766+0.000753i,0.00030787+0.00058787i,0.00031252-0.0004784i,4.5773e-05-0.00076058i,-0.00011166-0.0011214i,-8.1014e-05-0.00051424i,-0.00047455+0.00063976i,-0.00050031+0.00034575i,-0.00047434-7.8149e-05i,0.000239-0.00036325i,0.00074037-0.00022696i,0.00040671+9.5473e-08i
-0.001591-0.0013241i,-0.0019892-0.0015446i,-0.0032511-0.0027358i,-0.0024409-0.0021648i,-0.0016609-0.0002789i,-0.0010706+0.00049397i,-0.00048907+0.00028723i,-0.0005615+0.00099864i,-0.0010018+0.0017003i,-0.0012433+0.0011071i,-0.00064138+0.0003738i,-0.00064+0.00017403i,-0.00097861+0.00036176i,-0.00039855+0.00019522i,-0.00041849-0.00021336i,-0.001325+0.00049486i,-0.0013582+0.0010691i,-0.00092479+0.00066i,-0.00051896+0.00052355i,-0.00028027+0.000419i,-0.00081307+0.00042538i,-0.00071025+0.0004235i,-0.0001635+0.00039567i
-0.00064149-0.00091658i,-0.00058657-0.00034904i,-0.00057988+7.251e-05i,-0.00073805-0.00075461i,-0.0014723-0.00057755i,-0.001513+0.00025251i,-0.00066914+0.00081763i,-0.00020265+0.00088649i,-3.9103e-05+0.00028817i,0.00027543-1.131e-05i,0.00062272+0.00045025i,0.00013688+0.00072252i,-9.7453e-06+0.00071396i,7.4471e-05+0.00064075i,-0.00041898+0.00027968i,-0.00056275-6.1625e-05i,-0.00056441+0.00053288i,-0.00083681+0.0012065i,-0.00059943+0.00082231i,7.499e-05+7.1302e-05i,0.00045647-0.00013458i,0.00060138-0.000492i,0.0007573-0.00072118i
-0.0019225+0.0019259i,-0.00092531+0.0029501i,-0.00089957+0.0046165i,0.00014154+0.0024866i,0.0019751+0.0002971i,0.0020818-0.00054316i,0.00079878-0.00044843i,7.0793e-05+0.00012915i,0.00015881+7.627e-05i,0.00039433-0.00046259i,4.4365e-05-0.00048494i,0.00027682+0.00027988i,0.0010663+0.00066113i,0.0013511+0.00055666i,0.0011513+0.0007065i,0.0010945+0.00066431i,0.0007311-4.7224e-05i,0.00054496-0.00044206i,0.0002499-0.00065004i,-0.00049492-5.5345e-06i,-0.00037323+0.00048638i,0.00041382+0.00022835i,0.00042249+0.00046512i
0.001511-0.00026857i,0.0011141-0.001205i,0.0010335-0.0031642i,0.00022353-0.0049055i,-0.00090505-0.0039017i,-0.0018045-0.0015386i,-0.00090976-9.9601e-05i,-0.00025122-0.00044607i,-0.00070326-0.0010451i,-0.00089975-0.0012119i,-0.00067-0.0014565i,-0.00017465-0.00083914i,0.00035146-0.00028431i,0.00086739-0.00045588i,0.00053435-0.00013164i,-0.00018869+2.6409e-05i,-0.00023422-3.6251e-05i,-0.00016987-0.00013788i,4.096e-05-0.00033221i,-4.0573e-05+6.232e-06i,0.00016656+0.00069387i,0.00099094+0.0014584i,0.00088299+0.00040047i
-0.00024291+0.0011651i,-0.0010574+0.001654i,-0.001525+0.0021875i,-0.0013607+0.0015183i,-0.00088508+0.00093768i,0.00026656+0.00075653i,0.00045014+6.3559e-06i,-8.5174e-05-0.00029223i,-0.00039092+0.00032758i,-0.00051266+0.00073436i,-0.00071442+0.00091923i,-0.00064707+0.00095779i,-0.00011654-2.4578e-05i,8.4881e-05-0.00086657i,0.00073809-0.00093233i,0.00065574-0.00046187i,-0.00071018-0.00041016i,-0.0015574-0.00041726i,-0.0017381-0.00013441i,-0.00094963+0.00032808i,-0.00061545+0.00058597i,-0.00020917+0.00019385i,0.00013886-0.00043903i
0.0012351-0.0004987i,0.0018386-0.00015405i,0.0014595-0.00072059i,-3.8647e-05-0.0016673i,-0.001293-0.0015616i,-0.0017352-0.00099253i,-0.000733-0.00018932i,0.00044412-7.8093e-05i,0.00016551-0.0008719i,-0.00023108-0.00020137i,-0.00087626+0.00090327i,-0.0010499+0.00075169i,-0.00015447+0.00042286i,3.2146e-05-0.00018576i,0.00013423-0.00059793i,0.00043679-0.00031549i,-0.00022149+2.829e-05i,-0.00054658+0.00029725i,-0.00040226+0.00028612i,0.00017667+0.00021508i,0.00089664+8.8142e-05i,0.00051016-0.00018991i,0.00060061-0.00020734i
0.0012829+0.0010109i,0.0010855+6.8343e-05i,0.00076526+0.00091418i,0.0011435+0.00052923i,0.00055556-0.0012377i,-0.00067189-0.0015737i,-0.00072065-0.00017365i,-0.00028583+0.00043541i,0.00033685-0.00019937i,0.00088062-0.00052771i,0.00056565-5.526e-05i,-6.1059e-05+0.00029923i,0.00075237+0.0003087i,0.0014252+0.00018851i,0.00058325+0.0003451i,4.3545e-05+0.00085592i,2.8131e-06+0.0011028i,-0.00033478+0.00067721i,-0.00048599-0.00047701i,0.00015267-0.00037953i,0.0009712+0.0002414i,0.0010496+0.00052149i,0.00082585+0.00054702i
0.0012985+5.4892e-05i,0.0010928+0.00011442i,0.00052087-0.00092675i,0.00038482-0.0019863i,-0.00022678-0.0018399i,-0.0011165-0.00064781i,-0.0013138+0.00034945i,-0.00023502+0.00060246i,3.4165e-06-2.5869e-05i,-0.00026102-0.00044761i,-0.00050706-0.00015406i,-0.00095092-8.0302e-05i,-0.00096343-0.00049821i,-0.00085259+0.00027058i,-0.00017754+0.00061329i,4.6169e-06+0.00016336i,-0.0003794+0.00023107i,-0.00073598-0.00015042i,-0.00066508-0.0003508i,4.204e-05-0.00068115i,0.00059336-0.00060239i,0.00023901+9.6609e-05i,-0.00047534-0.00027138i
-0.0025418+0.0016493i,-0.0016368+0.0006429i,-0.0015682+0.0010896i,-0.0019014+0.00081456i,-0.0015261-0.0010061i,-0.0012088-0.00097357i,-0.00065774-0.00034307i,-0.00070336-0.00030485i,-0.00052988-0.00061244i,-0.00024637-0.00017904i,-0.00074228+0.00029157i,-0.00056835+0.0002535i,-0.00047602-5.5432e-05i,-0.00087162+0.0002373i,-6.4804e-05+0.0003418i,0.00059044+0.00019235i,-0.00056475+7.9883e-05i,-0.0015908+0.00043644i,-0.001361+0.0012094i,-0.00088451+0.00068403i,0.00018055+0.00039495i,0.0010214+0.00023234i,0.00038778-2.3296e-05i
-0.0017253+0.00031612i,-0.0022224+0.00070035i,-0.0014765-0.00073093i,-0.00078702-0.0020645i,-0.0012501-0.0016339i,-0.0016349-0.00039479i,-0.0007345+0.00055268i,-0.00022068+0.00041245i,-0.00079009-1.8528e-05i,-0.00068773+0.00063285i,-0.00060785+0.00047331i,-0.00015899+0.00045304i,0.00025275+0.00090123i,-0.00060325+0.00027174i,-0.00077963-0.00035056i,-0.00081966-0.00067546i,-0.00091492-0.00043695i,-0.00067769+0.00035725i,-0.00060899+0.00044611i,-0.00033466-0.00031294i,-7.3053e-05-0.00046886i,0.00033687+0.00041826i,3.5458e-05+0.00074584i
-0.00029612-9.8882e-05i,-0.00026098-0.00013338i,0.00034066-4.0387e-06i,0.00015917-0.00036592i,-0.00084304-0.0004402i,-0.0010684+0.00037312i,0.00025848+0.00024587i,0.00090999+0.00014901i,0.00020439+0.00055309i,-0.00080596+0.00034277i,-0.0010132-7.4866e-05i,-0.00040142+0.00010984i,-0.00029113+0.00035017i,-0.00072163+0.0008406i,-0.00079185+0.001017i,-0.0005282+0.00064009i,-0.00066729+0.00063151i,-0.00069225+0.0010147i,-0.00052084+0.0014965i,-0.00076908+0.0013371i,-0.00045245+0.00057769i,0.00043389+0.00056644i,0.00070216+0.00067362i
0.00079912+0.00069668i,0.00084713+0.0017044i,0.00086412+0.0017902i,0.00011102-0.00039183i,-0.0010327-0.0013944i,-0.0013355-0.00078138i,-0.00033817+0.00028993i,0.00031762+0.0012062i,0.0005368+0.0011953i,0.00016213+0.00098646i,-0.00035056+0.00023735i,-0.00055676-0.00011998i,-0.00096+0.00074156i,-0.00052944+0.00081293i,-0.00057885+8.7003e-06i,-0.00066602-8.5012e-05i,-0.00035312+0.0001129i,-0.00043186+0.00016053i,0.00010329+0.00016729i,0.0010966+0.00031797i,0.00096024+0.00048562i,-0.00019604+0.00018173i,-0.00065299-5.8419e-05i
0.0016395+8.2429e-05i,0.0018231-0.00021899i,0.0021068-0.0010815i,0.00056543-0.0023413i,-0.0012315-0.0031908i,-0.00097334-0.0019211i,-0.00014124-0.00018065i,0.00026494-0.00054296i,0.0001319-0.0013509i,-0.00054717-0.0011719i,-0.00077697-0.00065691i,-0.00041939-0.00011452i,0.00012228+0.00031524i,3.863e-05+0.00083284i,-0.00023721+0.00084825i,-0.00058446+0.00043236i,-0.0010553+6.9344e-05i,-0.00067602+0.00053567i,0.00044259+0.00081908i,0.00078942+0.0010816i,0.00055151+0.0011962i,-0.00011802+8.2336e-05i,0.00019111-0.00038068i
-0.0012259-0.0023596i,-0.001214-0.0030355i,-0.0018171-0.0039538i,-0.0018908-0.0030189i,-0.0019741-0.0012407i,-0.0018136-2.5361e-05i,-0.00056762+0.00030816i,0.00014023+1.6406e-05i,-0.00031715-0.00012182i,-0.00037499-9.4636e-06i,-0.0012629+0.00014618i,-0.0016493+0.00028622i,-0.00099365+0.0006295i,-0.00088179+0.00044175i,-0.00038499+0.00078634i,-0.00057202+0.0011023i,-0.0012831+0.00065271i,-0.00088523+0.00094691i,0.00016533+0.0011796i,0.00014211+0.00078099i,0.00024047+0.00010329i,0.00048153+7.2105e-05i,-0.00039193+0.00094098i
8.8634e-05-0.00091991i,-0.0006762-0.0010775i,-0.0012004-0.00075119i,-0.0010991-0.00091094i,-0.00082661-0.001484i,-0.00057381-0.0004114i,-0.0002043+0.00039756i,0.0004995-0.00013686i,0.00089308+0.00027126i,0.00020522+0.0004659i,0.00022109+6.0073e-05i,-0.00014577+0.0001882i,-0.00028046+7.0573e-05i,0.00022065+0.001293i,-0.0001647+0.0018185i,-0.0006122+0.00074457i,-0.00053944+0.00010064i,-0.0006904+0.00037533i,-0.00080572+0.00074181i,-0.00032992+0.00047042i,-0.00021716+0.00020987i,0.00015178+0.00077505i,0.00026161+0.0012943i
0.00012166+6.9e-07i,-0.0012766-0.0005114i,-0.0014481-0.0012259i,-0.00088248-0.00093417i,-0.00098726-0.00095639i,-0.0012773+0.000111i,-0.00099142+0.0014797i,-0.0003549+0.00074981i,-0.00020882+9.6499e-05i,-9.5456e-05-0.00053941i,-0.00019351-0.00022526i,-0.00087542+0.00054159i,-0.0008137-0.00048956i,-0.00054039-0.0012217i,-0.00093359-0.00067445i,-0.0013422-0.0007786i,-0.0011092-0.00091533i,-0.00035936-7.1931e-05i,0.00039895+9.4909e-05i,0.00044167+0.00019108i,0.00022729+0.00018329i,0.00022306-9.4425e-05i,0.0006988-0.00058118i
-0.00059328-8.6979e-05i,-0.00063137-0.00047702i,-7.244e-05-0.00078528i,-0.00037216-0.00076282i,-0.0015678-0.0007169i,-0.0014104-0.00065816i,-0.00049218-0.00039084i,5.4096e-06-0.0003466i,0.00083572+0.00010204i,0.00072722+0.00032553i,2.445e-05-0.00028366i,-0.0003734-0.00053838i,-0.00050487-0.00044057i,-0.00076966-0.00048593i,-0.00011621-8.2395e-05i,0.00073812+0.00025929i,0.00068141+0.00027834i,0.00023341+0.00065542i,-0.00051192+0.00082989i,-0.0012116+0.00093204i,-0.00071629+0.00047372i,0.00058933-0.00049454i,0.00097687-0.0005104i
-0.0020506+0.0026258i,-0.0026432+0.0013351i,-0.0012388+0.0013374i,-0.0012016+0.00015039i,-0.0017594-0.0013428i,-0.0014206-0.00099601i,0.00029796+3.892e-05i,0.0009578+0.00048577i,0.00070539+0.00026348i,0.00048516-0.00020845i,0.00051592-0.00021345i,7.4785e-05+3.5904e-05i,0.00026303-0.00055721i,0.00053753-0.00080387i,-0.00037676+9.8696e-05i,-0.00060157-0.00030567i,-0.00015618-0.00057283i,1.8233e-06+7.7554e-05i,0.00013828+0.00017015i,-0.00017438-0.00047348i,0.00033217-0.00076044i,0.0010412-0.00043969i,0.00091881-0.00040718i
-0.0016725+0.0011334i,-0.0015607+0.0017368i,-0.0016866+0.0024468i,-0.00094326+0.0018815i,-0.00036426+0.00095195i,-0.0011225+0.00026835i,-0.0011113+0.00010447i,-0.0010412+0.00056389i,-0.00048427+0.00047061i,-2.6852e-05+0.00013578i,-0.0010216+0.00052125i,-0.0012365+0.0015453i,-0.00040656+0.0010731i,-0.00017172-0.00032217i,-0.00022058-0.00030532i,-8.8481e-05-0.0003877i,-0.00019766-0.00045682i,-9.4299e-05+0.00036166i,8.225e-06+0.0002805i,-0.0004203+0.0003868i,-8.9252e-05+0.00041257i,0.00022254+0.00047534i,-0.00016836+0.00056156i
0.0012743-0.00088728i,0.0017451-0.0013042i,0.0025021-0.0023744i,0.0011927-0.0034952i,-0.0004871-0.0026584i,-0.00064811-0.001098i,0.00023698-0.00014469i,0.00025915+0.00027669i,0.00018049+0.00056767i,-0.00041026+0.0011052i,-0.0015727+0.0013802i,-0.0010902+0.0012723i,-0.00030814+0.00077024i,-0.00017459+0.00066698i,-0.00034321+0.00075067i,0.00012724+0.00011366i,3.3766e-05+7.8511e-05i,-0.00080351-2.2201e-05i,-0.00083296+0.00056438i,-0.00013252+0.00098687i,0.00078189+0.00079786i,0.0006311+0.00076238i,0.00040085+0.00045018i
-0.001692-0.00052742i,-0.0023716-0.0010546i,-0.0017632-0.0007005i,-0.0019239-0.0009081i,-0.0028181-0.0015171i,-0.0028776-0.0013919i,-0.0013952-0.00099442i,0.000274-0.0013074i,0.00087221-0.00078889i,2.7496e-06-4.0512e-06i,-0.0008773+0.0005141i,-0.00036759+0.0015355i,0.00031226+0.001516i,0.0001772+0.00090496i,-0.00029987+0.00035651i,-0.00048756+0.00023209i,-0.00076092+0.00061915i,-0.00093757+0.00078681i,-0.00070411+0.0016185i,-0.00030781+0.0014122i,0.00061348+0.00037927i,0.0013841+3.2343e-05i,0.0013114-3.7443e-06i
0.0024687-0.00069421i,0.0025451-0.00038323i,0.0032705-0.0011619i,0.0022694-0.0025798i,-2.4955e-05-0.0037396i,-0.0008299-0.00265i,0.00064576-0.0011064i,0.0012856-0.00042875i,0.00105-0.0004855i,0.00093877-0.0012571i,-0.00018873-0.0011724i,-0.00096998-0.00032491i,-0.0010933-0.00095168i,-0.0011167-0.0018945i,-0.00037304-0.0013413i,0.00017495+0.00024741i,-0.00043431+0.00086589i,-0.00029184+0.00040321i,0.00060776+0.00031029i,0.0003228+0.00020794i,0.00032624-0.00018518i,-0.00021218-8.0192e-05i,-0.00059502-0.00023462i
-0.00082687-0.0011362i,-0.0021554-0.0021861i,-0.0032268-0.0037238i,-0.0030883-0.0027316i,-0.0034047-0.00097271i,-0.0030163+0.0003427i,-0.0014436+0.001173i,-0.00046165+0.0012987i,-0.0014952+0.00028213i,-0.0023734-0.00038453i,-0.0016648-0.00018571i,-0.0008623-0.0001669i,-0.0010228+0.00011194i,-0.001337+0.00086324i,-0.0010424+0.00085823i,-0.00026873+0.00085551i,-0.00046633+0.00061293i,-0.00090304-0.00027227i,5.5947e-05-0.00039629i,0.00089643+0.0001094i,0.00041109-2.3388e-05i,-9.3126e-06-0.00069991i,-8.4591e-05-0.00072437i
0.0013143-7.541e-05i,0.0010001-8.0168e-05i,0.0022649-0.0013106i,0.0019653-0.0031868i,-0.00027502-0.0036307i,-0.0012269-0.0021189i,-0.00014927-0.00033914i,0.00098385+0.00042432i,0.00091901+0.00080094i,-0.00012174+0.00050796i,-0.0013972+0.00010384i,-0.0011987+0.0001505i,-0.00030094+3.9874e-05i,2.2745e-05-0.00013309i,-2.2538e-05-0.00026766i,-0.00021392-0.00046837i,-0.00029344-0.00028661i,-0.00085059-0.00010152i,-0.0010693+9.9601e-05i,-0.00049088+0.0003702i,-0.0005755+0.00050116i,-0.00030916-4.3053e-05i,-0.00014818+3.0555e-05i
0.00038259-0.0013624i,-0.00041235-0.0023225i,-0.0024645-0.0026439i,-0.0025835-0.002116i,-0.0016757-0.0021026i,-0.00063047-0.0012086i,-0.00057945-2.3386e-05i,-0.00090841-0.00036677i,-0.00085261-0.0007473i,-0.00069576-0.00014088i,-4.4692e-05+0.0002356i,0.0006823+0.00010668i,0.00074059-0.00019143i,0.00064747-0.00028683i,7.9147e-05+7.2301e-05i,-0.00091477+1.2963e-05i,-0.0014209-0.00011194i,-0.00099973+7.6222e-05i,-0.00084751+0.00048922i,-0.0008105+0.0012334i,-0.0007869+0.00086684i,-0.0008021-0.00029192i,-0.00013466-0.00048562i
0.00082573+0.00057494i,0.001733-0.00012939i,0.0021909+0.00018328i,-0.00010703-0.001405i,-0.0022068-0.003063i,-0.001743-0.0021234i,-0.00035036-0.00049627i,0.00057727+0.00034209i,0.00099816+0.00033955i,0.0010015+0.00037855i,0.00047048+0.00016424i,-2.0985e-05-0.00044053i,-0.00025627-0.00049368i,-0.00092438-6.4147e-05i,-0.0010282-0.00081759i,-0.00044971-0.00026821i,-0.00041297+0.0010707i,-0.00089621+0.0011611i,-0.00087554+0.0018174i,-0.00050917+0.0018579i,-9.1486e-05+0.0011583i,0.00027939+0.00074618i,0.00083078+0.0004632i
0.001525+0.0010296i,0.0016979+0.0011648i,0.0014911+0.0017824i,0.001181-0.00015786i,0.00072057-0.0014317i,5.4779e-05-0.0013044i,-0.00014114-0.00044877i,0.00042601+2.7874e-05i,0.00089962-0.00055266i,0.00077646-0.0011403i,0.00045823-0.0010662i,-4.7672e-05-0.00037366i,-0.00046449+2.1642e-05i,-0.00045492-0.00036334i,-0.00045359-5.748e-05i,-0.00028468-6.4362e-05i,-0.00029208-3.2584e-05i,-1.3697e-05+0.00094466i,0.00043848+0.00095282i,0.00034158+0.00041581i,0.00047385+0.00073534i,0.00042727+0.00060629i,0.00024475+0.00022683i
0.00072472+0.00016603i,0.00054867+0.00019838i,-0.00034264-0.0004318i,4.5083e-05-0.0016863i,-0.00097883-0.0019116i,-0.0023942-0.00085736i,-0.0010408-0.00026832i,0.00021326-0.00093932i,-0.00037649-0.0016897i,-0.0013474-0.00084174i,-0.0015164+0.00038357i,-0.00080831+0.00078007i,-0.00014909+0.00075465i,-5.0684e-05+0.00029936i,-0.00012477+0.00031874i,-0.00038581-0.00023965i,-0.00091786-0.00070048i,-0.00057877-6.9875e-05i,-0.00016884+7.7706e-05i,-0.00040933+7.3126e-05i,-0.00019332+0.00030286i,0.00044646+0.00019138i,0.00021869-0.00015911i
0.0015818+0.0031471i,0.0023645+0.0034281i,0.0041007+0.0040494i,0.0040118+0.001808i,0.0029317-0.00046913i,0.00098178-0.00075704i,-0.00017431-0.00048717i,0.00022305+0.00042648i,0.0003452+0.00044221i,0.00095017+8.6397e-05i,0.0013387-6.2078e-05i,0.001324-3.3635e-05i,0.0013573+0.00047804i,0.0014495+0.00075796i,0.0014454+0.0012165i,0.00071943+0.0010801i,-0.00028647-0.00018065i,-0.00038402-0.0011609i,0.0001797-0.0005652i,0.0001284-0.0007014i,-0.00039223-0.00032599i,0.00020999+0.00092972i,0.00089418+0.00038902i
0.00087875-0.0038054i,0.00015987-0.0027406i,-0.00054081-0.0028984i,-0.0018348-0.0030715i,-0.0031494-0.0019454i,-0.0027419-0.00043972i,-0.0009465+0.000877i,-0.00053891+0.0011525i,-0.00078125+0.00049629i,-6.5089e-05+0.00039705i,0.00037431+0.00056988i,0.0002436+0.00051594i,-0.00020454-0.00011243i,-0.00071006+0.00017445i,-0.00067104+0.0010696i,-0.00010128+0.00073433i,-0.00075796+6.0502e-05i,-0.0018302+0.00011525i,-0.0012711+0.00023424i,-0.00014384-0.00040286i,0.00015695-0.00066966i,-0.00013841-0.00017377i,-0.00016878+0.00060867i
0.0043678-0.00078986i,0.0037978-0.00070494i,0.0037651-0.0012115i,0.0028645-0.0027491i,0.00087495-0.003409i,-0.00090222-0.0019078i,-0.00077154-0.00032961i,0.00014796+2.4211e-05i,-0.00022746-0.00077397i,-0.00062524-0.0013248i,-0.0010971-0.0012165i,-0.0016358-0.00025281i,-0.0014373-0.00025266i,-0.00092664-0.00051755i,-0.00071652-0.00060856i,-0.00014305-0.00048943i,-0.00021144+0.00057989i,-0.00041576+0.0013373i,-0.00026329+0.0014097i,0.00033606+0.00034556i,0.00082269-0.00074348i,0.00016182-0.00067104i,-1.0757e-05-0.00042192i
-0.0020921-0.0012979i,-0.0016537-0.0011212i,-0.0011259-0.0015887i,-0.0014548-0.0011808i,-0.0017486-0.00085733i,-0.0017958-0.00034355i,-0.0007912+0.0005087i,0.00085504+3.2811e-06i,0.0011695-0.00025901i,0.00029943+0.00077796i,-0.00076797+0.0013016i,-0.0012306+0.0010589i,-0.0011017+0.00032385i,-0.00062504+4.584e-05i,-0.00052379+0.00042218i,-0.00065533+0.00027357i,2.5169e-05+0.00019019i,-2.4688e-05+0.00041641i,-0.00061273+0.00055023i,-0.00017894+0.00089245i,0.00061225+0.00058456i,0.00066174+0.00066369i,0.00087339+0.0010102i
-0.0019615+0.00031799i,-0.0017699+9.3785e-05i,-0.0019587-0.00015385i,-0.0027589-0.0014124i,-0.0020996-0.0017156i,-0.00081809-0.00097117i,9.6935e-06-0.0010025i,0.00060351-0.00063183i,0.00023486-0.00032138i,0.00038296-0.00054409i,0.00095938-0.00055516i,0.00092347+0.00019623i,0.0007692+0.0010753i,0.00096769+0.00086701i,0.00083867+0.00035618i,0.00024518-0.00011302i,-0.00096332-0.00018558i,-0.0014405-0.00056493i,-0.00060865-0.00071731i,0.00010064+0.00021818i,-9.5255e-05+0.0011459i,-0.00025629+0.0010058i,-0.00018617+0.00066684i
-1.6616e-05-0.00044866i,0.00069932-0.00042736i,0.0018252-0.00055561i,0.0019072-0.0011336i,0.00072837-0.0011414i,-0.00034632-0.00036839i,-0.00058878-0.00024401i,-0.00040877-0.00047432i,-0.0011553-0.00040759i,-0.0013892-0.00070473i,-0.00013647-0.0010467i,0.00074094-0.00065308i,0.00041213-0.00063354i,-0.00027679-0.00086221i,-0.00066956-0.00070293i,-0.00035472-0.00054227i,0.00010896-0.00036877i,-0.00018129+0.00075165i,-0.00055297+0.0019004i,-0.00056054+0.0022999i,-0.00028705+0.0017381i,8.5048e-05+0.00068993i,0.00021276+0.00031278i
-0.0025835+0.0008098i,-0.0031093+5.4586e-05i,-0.0028969+0.00015039i,-0.0018988+0.00091317i,-0.0016349+0.00016716i,-0.0018872-0.00094865i,-0.002032-3.4592e-05i,-0.0010519+0.00078395i,-0.00017211+0.00071166i,-0.00042059+0.00027825i,-0.0005975-0.00018167i,-0.00012621+8.4692e-05i,-0.00039723+0.00042388i,-0.00087367+0.0005516i,-0.00057489+0.00074342i,-0.00072347+0.00037701i,-0.0010774-5.7987e-05i,-0.00041974+0.00037383i,0.00091645+0.0011516i,0.00064926+0.00079717i,-6.0983e-05+1.6337e-05i,-0.00025908-0.00017813i,-0.00028709-0.00046442i
0.0011772+0.0018558i,0.0034884+0.0016217i,0.0045954-6.6169e-05i,0.0031632-0.0018694i,0.0021878-0.0029729i,0.0015682-0.0022335i,0.00044696-9.7312e-05i,-4.3136e-05+0.001211i,0.00028619+0.001602i,-0.00042233+0.0018151i,-0.0016057+0.0013031i,-0.0016799+0.00094668i,-0.0013821+0.00064841i,-0.00094692+0.00026955i,-0.00061675+0.00034501i,-0.00097651-0.00044333i,-0.0010755-0.0014432i,-0.00082119-0.0012858i,-0.00054022-0.00081438i,-7.7203e-05-0.00042936i,-6.0065e-06-3.0701e-05i,-0.00048893+0.00034501i,-0.00030378+0.00051671i
-0.0019286+0.00032212i,-0.0034888+0.00011116i,-0.0045148+5.5383e-05i,-0.0031292+0.00022493i,-0.0015043-7.0754e-06i,-0.0015337-0.00065309i,-0.00024571-0.00060232i,0.0013235+0.00030067i,0.0014931+0.00052379i,0.0011822+0.0012907i,0.00074076+0.0015556i,0.00084257+0.00059651i,0.00073058-9.7115e-05i,0.00029262-0.00065008i,-0.00055289-0.00091349i,-0.001196-0.0010708i,-0.00073167-0.0012732i,-0.00045227-0.00070823i,0.00015189-0.00045142i,0.00056435-0.00050852i,0.00064551-2.5405e-05i,5.5638e-05-0.00013722i,-0.001172+7.2469e-05i
-0.00095403+0.002719i,-0.0012346+0.0034593i,-0.00039039+0.0026531i,-0.00028916+0.00067921i,-0.00077216-0.00069578i,-0.0007861-0.00074157i,-0.0004896-0.00023358i,0.00023376-0.00042621i,0.0011726-0.0013042i,0.0020694-0.0014521i,0.0018288-0.00090875i,1.9252e-05+3.647e-05i,-0.00045987+0.00023028i,-0.00040178-0.00014737i,-0.0010087-0.00016022i,-0.0010692+0.00025032i,-0.00077206+0.00061932i,-0.00077099+0.00077777i,-6.7222e-05+0.0002039i,0.0009686+1.8761e-05i,0.0010196+0.00082844i,0.00057469+0.0010089i,0.00010523+0.00061185i
0.0014859+0.0012016i,0.0017811+0.00061771i,0.0032259+0.00016883i,0.0025192-0.00040196i,0.0015514-0.0021766i,0.00054265-0.0024334i,-0.0009353-0.0012101i,-0.0017054-0.0011109i,-0.0013847-0.0026345i,-0.00058761-0.0040027i,0.00017596-0.0036102i,0.00017354-0.0021623i,-0.00049419-0.0015727i,-0.0004906-0.001289i,5.4612e-05-0.00088453i,0.00020671-0.00079766i,-3.8129e-05-0.00013633i,-0.00094935+0.00038563i,-0.00096574-6.9211e-05i,-0.00063912-0.00047949i,-0.00052565+0.00013304i,0.00018513+0.00038365i,0.00060274+0.00014139i
0.00010862+0.0027684i,0.0008866+0.002631i,0.0021653+0.0026095i,0.0014305+0.00069578i,-0.00062854-0.001767i,-0.0019815-0.0024887i,-0.0011861-0.00089812i,-0.00063385+0.0014439i,-0.0019847+0.0016414i,-0.0030069+0.00027067i,-0.0024193-0.00036658i,-0.00095007+0.00091488i,-0.00018288+0.0018549i,7.5707e-05+0.0013202i,0.00030904+0.00062134i,0.00041976-8.1065e-05i,0.0003321-9.7845e-05i,-0.00021445+0.00024711i,-0.00057376+0.00052017i,-0.0001301+0.00054474i,0.00026574+0.00034616i,-4.4294e-05+0.00010363i,-0.0006865-0.00047293i
-5.1398e-05+0.001635i,-0.00072008+0.0014111i,-0.00031204+0.00094308i,0.00028601-0.00028213i,-2.4551e-06-0.00080976i,-0.0004392+0.00025192i,-0.00045106+0.001404i,0.00058194+0.0020678i,0.00033875+0.0018381i,-0.00070368+0.0021307i,-0.0010176+0.0029136i,-0.00039096+0.0027442i,0.00086589+0.0016722i,0.001314+0.00044146i,-0.00012506-0.00045947i,-0.0017859-0.00066691i,-0.0015635-0.00028008i,-0.00087874+0.00024773i,-0.00086051-0.00021245i,-0.00086016-0.00053108i,9.8736e-05-0.00023749i,0.00076369-8.0738e-05i,0.00023451+0.00059196i
