0.00057662-0.00011521i,0.00040074+9.713e-05i,0.00048349-9.7413e-05i,0.00020086-0.0014716i,-0.0012417-0.0012563i,-0.0026978-4.1704e-05i,-0.0013479+0.00023881i,9.3507e-05+0.00063685i,0.00054341+0.00022636i,0.0014162-0.00085871i,0.0013652-0.0011004i,0.0007492-0.00087759i,0.00060434-0.00045052i,-1.3418e-05-0.00025164i,-0.00021922-0.00044877i,-5.569e-05-0.00052817i,-0.0003324-0.00042153i,0.0001346+0.00025786i,0.00012081+0.00034386i,-0.00061793+0.00021616i,-0.00036777+0.00016384i,-9.5449e-05+0.00013343i,0.0004164+7.6514e-05i
0.00069402-0.00049285i,0.00093686-0.00078838i,0.0012085-0.0007375i,0.00051491-0.0012906i,0.00023046-0.0021235i,-0.00015629-0.0010965i,-0.00038515+0.00042851i,0.00026377+0.0011362i,0.00090266+0.0007216i,0.0015368+0.00043618i,0.0016203+0.00022026i,0.00062846-0.00027969i,9.3088e-05-0.00070097i,0.00011411-0.0009721i,0.00026403-0.00047849i,0.00013346-5.4845e-05i,-0.00051411+0.00026635i,-0.00064794+0.00032395i,9.8551e-05+0.00024512i,0.00015046+0.00075872i,-1.1461e-05+0.00046512i,0.00084982-8.8489e-05i,0.0014127-0.00025719i
-9.8389e-05-0.00040597i,-0.0010589+0.00018425i,-0.0019816-0.00041129i,-0.00067397-0.0011398i,0.0006248-0.00018997i,0.00055173+0.00074818i,0.0002702+0.00090333i,0.00022815+0.00028233i,0.00035378+0.0002123i,-5.8699e-05+7.4954e-05i,-0.0003741-0.00056183i,0.00046086-0.00039252i,0.00094201+9.3998e-05i,0.00059561-0.00020179i,-0.0001065-0.0002216i,-0.00038171+0.00036671i,0.00039624+0.00019356i,0.00043153+0.00021223i,0.00047354+0.00011051i,0.00082663-0.00032413i,0.00069885-0.00033124i,0.00028275-0.00067236i,0.0003391-0.0010771i
0.0010572-0.00039187i,-2.1845e-05-0.0008689i,-0.0011299-0.00062159i,-0.00063564-0.00080263i,-0.00098019-0.0013531i,-0.00074-0.00052713i,0.00047231+0.00046245i,0.00061732+0.00045991i,6.6718e-05+0.00068551i,-0.0002148+0.00047042i,-0.00021339-0.00026453i,-0.00033256-0.00023922i,0.00033278-0.0001303i,0.0012438-0.00026222i,0.0011179-0.00022664i,0.00038666-0.00033183i,-0.00038597-0.0001177i,-0.000376+5.2244e-05i,-0.00027997+0.00034701i,-0.00034922+0.00051066i,0.000163+8.1684e-05i,5.4764e-05+6.7438e-05i,-0.00014258-0.00031715i
0.0013823+0.00055452i,0.00097408+0.00050168i,0.00077262-0.00050352i,0.00073206-0.00098281i,0.00075291-0.00070711i,0.00072519-0.00019615i,0.0007368+0.0002308i,0.0010171+0.00042125i,0.00096457+0.00032499i,0.0003317-2.8156e-05i,0.0002603+3.1183e-05i,1.8486e-05-0.00067662i,-0.00017031-0.0015148i,0.00018529-0.00128i,4.8288e-05-0.00091218i,0.00046503-0.00070585i,0.00064471-0.00025041i,0.00026529+0.00052486i,0.00040218+0.001038i,0.0001413+0.00057312i,-0.00059386-0.00048063i,-0.00054828-0.00104i,-0.00048449-0.00072124i
1.4981e-05+0.00042499i,0.00058639+0.00042117i,0.00049559-0.00020266i,0.00049475-0.00037495i,0.00055905-0.00020218i,0.0011265-6.5797e-05i,0.00061411-6.464e-05i,7.9301e-05+7.418e-05i,0.0010254+0.00062479i,0.0011525+0.00059236i,0.00062574+0.00024834i,0.00015691+0.00013468i,0.00051687-0.00043882i,0.0011696-0.00032927i,0.0015614-0.00044135i,0.00059745-0.00052322i,-0.0015488+0.00048756i,-0.0020045+0.00022532i,-0.0011252+1.8208e-05i,-0.0011045+0.00034468i,-0.00087917+0.00012535i,0.00019059+0.00074623i,0.00086475+0.0010463i
-0.0010329+7.4588e-05i,-0.0014972+0.00059273i,-0.0019037+0.00070823i,-0.00099433+0.00054067i,7.2301e-05-0.00066795i,0.00019123-0.00069209i,-0.00023787+6.4151e-06i,-0.00054775+0.00042834i,3.5437e-05+0.00073025i,0.00082926+0.00097028i,0.00045642+0.00074935i,-0.0008162+0.00021641i,-0.00062902-0.00030166i,-0.00032271-0.0012284i,0.00011135-0.0017386i,0.00059333-0.0013963i,-0.00019728-0.0011684i,-0.00086752-0.0010104i,-0.00079741-0.0006738i,-0.0002526-0.00061182i,8.7669e-05-0.00049222i,-6.9977e-05+1.6723e-05i,-0.00028987+0.0003483i
-6.1452e-05-0.00073914i,-0.0002445-0.0010676i,0.00064195-0.0021272i,0.00082225-0.0013696i,0.00011321-0.00092218i,-0.00048526-0.00018879i,-0.00041142+0.00070381i,8.0569e-05+0.00053533i,9.2524e-05+0.00026735i,0.00026198+0.00042495i,0.00038969+0.00041487i,0.00035278-0.00047341i,5.1143e-05-0.00088063i,-0.00046357+0.00010299i,0.00014491+0.00044624i,0.00048136+0.00016023i,0.00016928+0.00031295i,0.00026161+0.0002653i,0.0010502+6.2726e-05i,0.0011345-3.5467e-05i,0.0011506-0.00045585i,0.0015044-9.4006e-05i,0.00063737+3.0518e-05i
-0.0012823+0.00080921i,2.2944e-05+0.0015223i,0.00080341+0.0015621i,0.0016974+0.0013221i,0.0021561+0.00096466i,0.001368-0.00043599i,0.0012973-0.00081303i,0.00083176-6.0095e-05i,0.0005437+0.00024628i,0.0014364+0.0001709i,0.0014977-0.00012849i,0.00027693+0.00016746i,-0.00064027+0.00016017i,-0.00032038-0.00096608i,0.00054795-0.0013479i,0.00092526-0.00021106i,0.00070654+0.00042564i,0.00012775+0.00031786i,0.00013724+0.0005026i,0.0001883+0.0009549i,8.4549e-05+0.0006397i,0.00096279-5.4895e-05i,0.00082327-0.00024642i
0.00059809-1.8716e-05i,0.0013917-0.0005357i,0.001212-0.00014619i,0.0007771-2.6093e-05i,-0.0001865-0.0010733i,4.4443e-05-0.00086879i,0.00045899+4.2033e-06i,0.00057324+0.00022581i,0.00079227+0.00097703i,0.0013417+0.00081331i,0.0013049+0.00038718i,0.00054263+0.00084858i,0.00033385+9.6062e-05i,0.00047531-0.0014463i,-0.00023411-0.0011483i,-0.00067307-0.00061596i,-0.00069784-0.00078253i,-0.00085293-0.00021218i,-0.00065652+0.00049616i,-0.00044467+0.00030967i,-0.0001067+8.3159e-05i,-0.00041171+0.00081908i,-0.00052306+0.0011936i
0.00025927-0.00051143i,0.0011128-0.0013604i,0.00062281-0.0024237i,0.00056966-0.0027606i,0.00082113-0.0017846i,0.00089764-0.00031449i,0.0011316+0.00041484i,0.00074653-4.6493e-05i,0.00085271+0.00016298i,0.0012053+0.00055575i,0.00051546+0.00019863i,-0.00031414-0.00038422i,0.00013937-0.00065573i,0.00086472-0.00093802i,0.00020839-0.0014225i,-0.00044699-0.0011559i,-0.00030626-0.00073121i,-0.00074054-0.00023559i,-0.00053697-0.00053717i,-0.00038341-0.00059888i,-8.8516e-05+0.00031286i,0.00034441+0.00040876i,0.0001598+0.00041476i
0.0015914-0.00080715i,0.0012924-0.0015661i,0.0014002-0.00172i,0.00066477-0.0012053i,6.2314e-05-0.00060507i,-8.986e-05-0.00078246i,-0.00034644-0.0008275i,9.1798e-05+0.00021324i,0.00088972+0.00017657i,0.00077142-0.00069564i,0.00058033-0.00056021i,0.00068023-0.00043868i,0.00045623-0.00012898i,0.00033817+0.00031409i,0.00028197-0.00017308i,0.00032126-0.00040899i,0.00022664-0.00056851i,2.1999e-05-0.00029619i,6.9089e-05+0.00032929i,0.00015567+7.2239e-05i,0.00034686+1.5157e-05i,-0.00018721-7.5808e-05i,-0.00083431+0.00042164i
-0.00052021+0.00050043i,-0.0011305+0.00055362i,-0.0012751-0.00043343i,-0.00093327-0.00086126i,-0.0011242-0.00035443i,-0.0013166-0.00044858i,-0.0010513+7.719e-05i,-0.00056944+0.00049813i,0.00045813+9.4635e-05i,0.0008706+0.00019117i,0.00032432+0.00048979i,-0.00042298-4.7511e-05i,-0.00047333-0.00014525i,-0.00023271-0.00012728i,0.00010546-0.0003845i,0.00021982+1.4659e-05i,-0.00050799-7.8779e-05i,-0.0011843-0.00069536i,-0.0010323-0.00089759i,-0.00040498+2.5588e-06i,4.6282e-05+0.0002754i,0.00021686+0.00049132i,-7.9121e-06+0.0012566i
-0.00097304-0.0024948i,-0.0023367-0.0011849i,-0.0015365-0.00041032i,-0.00014636+0.00045418i,-0.00024543+0.0012345i,-0.00041373+0.001106i,0.00032545+0.00036074i,0.00095624+1.9363e-05i,0.00088091+0.00029453i,0.00080754+0.00011854i,0.00051043-6.3318e-05i,5.6319e-06-0.00023078i,0.00030139-0.00090538i,0.00046143-0.0011942i,-0.00022351-0.00067832i,-0.00017032+3.8453e-05i,0.00037746-0.00045248i,-5.138e-05-0.00071345i,-0.00043381+2.0167e-05i,-0.00018585+0.00063199i,-0.00039528+0.00068512i,-0.00051976+0.00036566i,0.00015529+3.2654e-05i
-0.00058585-0.00043068i,-0.001623-0.00032543i,-0.0018587-0.00032801i,-0.0011861-0.00016935i,-0.00042339+0.00045398i,-0.00037148+0.00074018i,5.4955e-05+0.00056332i,0.00088632+0.00019977i,0.00097241+9.1877e-05i,0.00096253+0.00039494i,0.0016785+0.00059925i,0.0013362-0.00029897i,-5.3179e-05-0.0018955i,8.6576e-05-0.001921i,0.00085625-0.0007032i,0.00048384-0.00033673i,-0.00052682-0.00018414i,-0.00097216-4.5632e-05i,-0.0011226+0.00022273i,-0.0009038+0.00055393i,-0.00087833-2.3256e-05i,-0.0005039-1.1322e-07i,0.00012484-0.00013018i
-0.00035648+0.0019275i,0.00030848+0.0021484i,0.00115+0.0016512i,0.0025129+0.0012569i,0.0028335+0.00063751i,0.0018301-0.00013262i,0.00053972+0.00032101i,0.00019499+0.0009538i,0.001086+0.0015214i,0.0015888+0.0013685i,0.0012188+0.00052938i,0.00091368+5.7783e-05i,0.00050245-0.00034677i,-1.4803e-05-0.00039703i,-0.00044194-0.00047437i,-0.00029782-0.00059356i,-0.00056793-0.00020235i,-0.0015205-0.00019609i,-0.0013373-0.00034678i,0.00057852-0.00032261i,0.0013362-0.00011094i,5.9282e-05+2.8122e-05i,-0.00030814+0.00019495i
-0.0014018+0.0013543i,-0.001089+0.0019936i,4.2131e-05+0.0017063i,0.00054025+0.00052802i,0.0007155-0.00029603i,0.00083412-2.9641e-07i,-9.9181e-05+0.00059407i,-0.00093457+0.00048407i,-6.1945e-05+0.00014072i,0.00067211+0.00028749i,0.00034395+0.00034652i,7.5463e-05+5.4107e-05i,0.00012857-0.00035261i,3.5609e-05-0.00066673i,0.0002648-0.00027115i,0.00032162+2.4378e-05i,-3.1989e-05-3.4749e-05i,0.00041606-0.00053227i,0.00082376-0.00071406i,0.00046261-0.00048357i,0.00039092-2.2827e-06i,0.00031784+0.00027519i,0.00012495-0.00035087i
-0.00057451+6.2793e-05i,0.00015204-0.00020224i,0.00054774-0.00068295i,0.00018283-0.00010114i,-0.0009198-0.00020687i,-0.0004515+4.7571e-05i,0.00017159+0.0011911i,0.0001788+0.00077742i,0.0013046+0.00052424i,0.0013066+0.00080518i,0.00051232+0.00056621i,0.00070761-2.1693e-05i,0.00096991-0.00028258i,0.00063646-0.00012303i,9.2851e-05-0.00068365i,-0.0002531-0.0011006i,-0.00052538-0.00088462i,-0.00034702-0.00082854i,0.00017877-0.00052035i,0.0012371-0.0011263i,0.0016853-0.0013996i,0.00043985-0.0011027i,-0.00028295-0.00035159i
0.0005084+0.000908i,0.00059169+0.0019768i,0.0009783+0.0017973i,0.00097908+0.00082322i,0.00090932+8.698e-05i,0.00061119-3.7459e-05i,9.0163e-05+0.00057718i,0.00051038+0.00054199i,0.0011915+0.00034985i,0.00097745+0.00072454i,0.00051854+0.0002818i,0.00059075-0.00026676i,0.00088775-0.00050075i,0.0011554-0.00083254i,0.0010594+2.5927e-06i,0.00057083+0.00015895i,0.00053671-0.00036067i,0.00044239-0.00025082i,0.00033032-0.00016542i,0.00044644+0.00013343i,0.00026908+0.00064248i,-6.3562e-05+0.0003689i,0.00043973+0.00035115i
-0.00083903-0.00098337i,-0.00016533-0.0011552i,-2.4895e-05-0.0012652i,-0.00021688-0.0014847i,3.5549e-05-0.0013077i,6.0695e-05-0.000655i,0.00032238-0.00026613i,0.00038335+0.0010074i,-0.00018411+0.0014618i,-0.00044094+0.00093874i,-0.00028248+7.0746e-05i,0.00010608-0.0002817i,0.00069986-0.00016238i,0.00069806-0.00036684i,0.00036488-0.00032515i,8.8149e-05-9.392e-05i,-0.00025677+1.4319e-05i,-0.00052833+4.1151e-05i,-0.00039005+3.8927e-05i,-0.00039565+1.4777e-05i,-0.00045614+0.00040532i,-0.00026412+0.00042715i,-3.1463e-06+9.6594e-05i
0.00042253-0.0007707i,-0.00031754-0.00020039i,-0.0012683+0.00051794i,-0.0013794+0.00050389i,-0.0008574-0.0005157i,5.7244e-05-0.00027711i,9.9796e-05+0.00038777i,1.4749e-05+3.8982e-05i,0.00030694+3.695e-05i,0.0010971+0.00014173i,0.0008932-0.00064189i,0.00043016-0.00081928i,8.0011e-05+1.9849e-05i,-0.00045536-0.00032914i,-0.00019089-0.0010882i,-8.0075e-05-0.0014674i,-0.00054953-0.001098i,-0.00074837-1.653e-06i,-0.00049883+0.00038506i,-0.00023062+2.6445e-05i,3.2742e-05+0.00025357i,0.00053175+0.00047396i,0.0007003-0.00034696i
-0.00052134-0.00055268i,-0.0003573-0.00080423i,-0.0003787-0.001377i,-0.00086611-0.00094475i,-0.00079212-0.00013717i,-0.00038733+2.9608e-05i,-0.00030584-0.00050552i,0.00039625-0.00092705i,0.00097526+0.00021147i,0.0010484+0.0010305i,0.0012003+0.0005081i,0.0011234+0.00037794i,0.00046015-0.00022354i,5.1376e-05-0.00040194i,8.2425e-05-0.00023171i,-8.0687e-05-0.00021062i,-0.0010078+0.00025986i,-0.0011417+0.00013372i,0.00043192+0.00024935i,0.00075632-0.00046336i,-0.00025426-0.0012185i,-0.00043038-0.00090977i,-5.0013e-05-0.00094439i
-3.3173e-05+0.0010326i,-0.00089827+0.00043295i,-0.00040687-0.00031109i,0.00014792-0.0003704i,0.00024518+0.00096314i,0.000271+0.0012403i,0.00055388+0.00054019i,0.00035317+0.00038314i,0.00011003+0.00064241i,0.0010565+0.00091189i,0.00056423+0.00031788i,-0.00028562-0.00074704i,-0.00038941-0.00059084i,-0.00023335-0.00072051i,-0.00014431-0.00050838i,2.6503e-05+0.00030268i,0.00065832+0.00048731i,0.00038711+0.00024295i,0.00011439-0.00034844i,0.00015597-0.0013181i,-2.2441e-05-0.00087259i,0.00029951+0.00035967i,0.0003683+0.00097829i
-0.0017339-0.00051913i,-0.0014925-7.4931e-05i,-0.001501+0.00027283i,-0.00033674+0.00053584i,0.00049078+0.00030762i,0.00062448-0.00053828i,0.00065946-0.00071101i,-0.00014206-0.00052602i,-0.00075145+4.5036e-05i,-0.00036884+0.00074073i,0.00024854+0.00089904i,0.00043866+0.0005774i,7.8385e-05+5.3902e-05i,-9.3096e-05-0.00032096i,-0.00042484-0.00070956i,-0.0010547-0.00081203i,-0.00089282-0.00075288i,-0.00092816-0.00064631i,-0.0011651-0.00016431i,-0.00046812+0.00061279i,-0.00030057+0.00074471i,-0.0003241+0.00071916i,-0.00013002+0.0005405i
-0.0012194+0.0015324i,0.00055032+0.00023899i,0.0019056+0.00062977i,0.0025216+0.001228i,0.0026882+0.00066024i,0.0023596-0.00036226i,0.001698-0.0010093i,0.00082415-0.001214i,0.00064905-0.00057185i,0.0013653+0.00043232i,0.0015811+0.0011948i,0.00071767+0.0010442i,0.00041451-0.00041016i,0.00073593-0.0011815i,0.00026985-0.0010432i,-0.00049026-0.00088445i,-0.00051675-0.00041739i,-0.00016837-0.00029772i,0.0001473+0.00012606i,0.00026646+0.00072926i,0.00042375+0.00077676i,0.00028466+0.00082675i,-0.00015433+0.00016598i
-0.00044894+0.00036874i,4.2184e-05+0.00058506i,0.0010495-0.00026167i,0.00082635-0.00053667i,0.00067668-0.00035991i,0.00012915-6.6007e-05i,-0.00058491+0.00042521i,0.00016231+0.00059565i,0.0016824+0.00091748i,0.0017993+0.0011429i,0.00083377+0.001002i,0.00010835+0.0004618i,0.00036749-0.00019626i,0.00056478-0.00033255i,3.2777e-05-0.00030498i,-0.00052801-0.0004328i,-0.00055268-0.00046887i,-0.0006813-0.00050563i,-0.00027778-0.00048821i,-5.8673e-06-0.00036451i,-0.00039238-0.0002897i,7.6099e-07-0.0001476i,-0.00030555-0.00030094i
0.0009004-0.00094796i,0.00072706-0.00067255i,0.00077885-0.0011897i,0.0004701-0.0014676i,-0.00068932-0.001463i,-0.0010684-0.00040897i,0.00022142+0.00035461i,0.0012643+0.0007557i,0.0011054+0.00098909i,0.00077596+7.9334e-05i,0.0012477-0.00066041i,0.0010586+1.3805e-06i,0.00040546+0.00046531i,0.00029245-0.00028407i,1.7095e-05-0.00099664i,0.00035932-0.00043277i,0.00061822+0.0005794i,-0.00014777+0.00086233i,-0.00062441+0.00098417i,-0.00055327+0.0010949i,-0.00071364+0.00082892i,-0.00026118+0.00016179i,9.3634e-05+0.00047041i
3.2165e-05+0.0012969i,0.00023256-0.00046409i,0.0021503-0.0015336i,0.00249-0.0013766i,0.0012678-0.0017255i,0.00015853-0.0011194i,-0.00061912-0.00025572i,0.00039599-0.00034898i,0.0013594-0.00021671i,0.001194+0.00021912i,0.00024298+0.0002378i,-0.00065588+0.00041546i,1.5373e-05+0.00031951i,-5.6344e-05-0.00031685i,7.4402e-06-0.00062038i,-0.0001782-1.5443e-05i,-0.00055099+0.00016971i,0.00018893+0.00055471i,0.00071662+0.0013578i,0.00057741+0.0015169i,0.00030543+0.00097808i,0.00026078+0.00059467i,0.00028358-0.00031383i
0.00022286+0.002108i,0.0011807+0.001296i,0.0019563+0.00011203i,0.002512-0.00035839i,0.002147-0.00051289i,0.00088574-0.00054137i,7.8702e-05-0.00035005i,-0.00099582-0.00047212i,-0.00043692-0.00017028i,0.0013169+0.00031615i,0.0014043-0.00046021i,0.00088172-0.0011411i,0.000445-0.0010999i,-0.00028911-0.00068217i,-0.00029043-0.0002928i,6.9782e-05+0.00019884i,-0.00026468+0.00015895i,-0.00012498+6.1321e-05i,0.00013943+0.00017819i,0.00020829-0.00044043i,-0.00010816-0.00037281i,-0.00033473+0.00059878i,0.00030508+0.0013201i
-0.00023608-0.00034928i,-0.00045796-0.00020211i,-0.00092302-0.00023679i,-0.0012674-0.00042486i,-0.00076024-0.00020118i,-0.00030675-9.9287e-05i,-1.4563e-05+6.2454e-05i,0.00019797-0.00060891i,0.00035076-0.0010753i,-0.0001704-0.00026117i,0.00010751-0.00074904i,0.00070138-0.00081935i,0.00059509-0.00010962i,0.00025629-0.0001206i,0.0002828-6.047e-05i,0.00023385-0.00043386i,-0.00054783-0.00050195i,-0.00060123-0.00060005i,-6.6367e-05-0.00079996i,0.00014835-0.00083554i,0.00050805-0.00039832i,0.00062151+0.00016097i,0.0001989+0.00095862i
-0.0031125-0.00029613i,-0.003429+3.8103e-05i,-0.0036392-0.0002209i,-0.002874+0.00021427i,-0.0016246+0.00054763i,-0.00025621+0.00053118i,0.00039364-9.7911e-05i,0.00040437-0.00031132i,0.00088233+0.00044288i,0.00059936+0.00048175i,0.0001454-0.00011477i,8.238e-05-0.00050683i,-5.4879e-05-0.00071967i,-0.00030226-0.00086579i,-5.0735e-06-0.00078375i,6.072e-05-0.00094921i,-0.0003858-0.0011961i,-0.00011177-0.00071535i,-2.7807e-05-0.00040534i,-0.00057644-0.00020609i,-0.00069258-0.00013282i,-0.00017652+0.00023263i,0.00082841+0.00038421i
3.2576e-05-0.0013701i,0.0005656-0.0010165i,0.0019487-0.00043571i,0.0022879+0.00029831i,0.0013629+4.4953e-05i,0.0012725-0.00017746i,0.0012236+1.2696e-05i,0.00076213-0.00038963i,0.00079298+4.9535e-05i,0.00039258+0.00067359i,0.00014157+0.00022498i,0.0013729-0.00047349i,0.0015386-5.3904e-05i,0.00051979+9.5665e-05i,0.00060696-0.00054431i,0.00024324-0.00064799i,-0.00015172+0.0004912i,0.00042178+0.0012463i,0.00026233+0.0011734i,0.00010094+0.0011851i,-0.00056918+0.00093607i,-0.00097293+0.00084723i,-5.2651e-05+0.00079357i
-0.00074229-0.00048715i,-0.0014192-0.0002795i,-0.0029823-0.0001803i,-0.0019235+1.1147e-05i,-0.00021469+0.00083092i,0.00015292+0.0010857i,5.7517e-05+0.0005055i,0.00023146-0.00024746i,-6.3856e-05-0.00014235i,0.00034766+0.00038976i,0.0014405+0.00044535i,0.0012002+0.00054351i,0.00087219+0.0007175i,0.00090358-0.00049236i,0.00090508-0.0017195i,0.00026943-0.0012725i,0.00065107-0.00029278i,0.0015713-0.0003746i,0.0013374-0.00078102i,0.00059847-0.00064004i,0.00035339+2.8845e-05i,0.00056169+0.00020197i,0.00051334+1.8077e-05i
-0.0024024-0.00054216i,-0.00093375+0.00052272i,-0.001392+0.0014977i,-0.0020954+0.0015342i,-0.00055629+0.0015344i,0.00073604+0.0017112i,0.00099373+0.00091648i,0.0012507+0.00014307i,0.001264+0.00013901i,0.00062107+0.0012079i,0.00022924+0.0013292i,0.00023107+0.00022621i,0.0005314-2.3751e-06i,0.00021365+0.00012634i,0.00010261-0.00035553i,0.00027218-0.00043144i,-7.5733e-05-0.00070638i,-0.00089941-0.00085512i,-0.00085532-0.00027065i,2.4617e-05+5.5755e-05i,0.00022381+0.0001921i,-1.8299e-05+0.00034135i,-0.00014147+0.00062986i
0.00034699+0.00042904i,0.00048308+0.0011763i,-0.00020729+0.0023952i,0.00066675+0.0012432i,0.0023455-0.00063485i,0.0013104-0.00091846i,0.00062538-0.00036482i,0.0012111+0.00022547i,0.00065675+0.00048854i,0.00035213+5.8685e-05i,0.0010985-0.00096519i,0.0013028-0.00072934i,0.00099458-0.00039159i,0.0010627-0.00040714i,0.00073404+1.1715e-06i,-0.0003204-0.00019777i,3.8313e-05-8.4278e-05i,0.00071152+0.00045287i,0.00059627+0.0003922i,0.0005064-0.00025979i,0.00042174-0.00069819i,0.0010543-0.00077576i,0.0016548-0.0002106i
0.0009408+0.00035976i,0.00173-0.00032481i,0.002685-0.0010375i,0.0022122-0.0016505i,0.00073187-0.0014625i,-0.00064587-0.0012199i,-0.0001954-0.00020224i,0.00061431+0.00096461i,0.00093151+0.00077501i,0.001318+0.00064969i,0.00099615+0.00061509i,-0.00012305+0.0002067i,-0.00057547-0.00045719i,0.00015077-0.00056332i,0.00057633+0.00010062i,-0.00013777+0.00029771i,-0.0006346-0.00036144i,-0.00044165-0.00058158i,0.00018369-0.00035991i,0.00018518-0.00016144i,0.00041043-0.00030602i,0.00079375+0.00012758i,0.00066735+0.00050826i
0.00021894+0.0011512i,0.0015542+0.0011857i,0.0026123+0.0017606i,0.0027399+0.00062565i,0.0015852-0.0013275i,0.00047966-0.0020576i,0.00099506-0.0012594i,0.0014468-0.00021467i,0.001043+0.00014262i,0.00062165+0.00052029i,0.00093287-0.00036929i,0.0010932-0.0013274i,0.0013383-0.0013852i,0.0013473-0.0015575i,0.00037328-0.00097871i,0.00014342-7.7162e-05i,0.00037519-0.00036768i,-0.00029833-0.0011444i,-0.0011762-0.00022642i,-0.00077599-7.9344e-05i,-0.00020918-0.00030855i,7.4411e-05+0.0002611i,-0.00014307+0.00061465i
0.00099263-0.0022254i,0.0006818-0.0034645i,0.00022636-0.0037876i,-0.00033672-0.0027971i,-0.00093497-0.001595i,-0.00096314-0.00051333i,-0.00043312+0.00024593i,0.00018262+0.00075355i,0.00053461+0.00034307i,0.00085512-8.8964e-05i,0.00054071+0.00069604i,0.00051224+0.00068227i,0.00070662+0.00020566i,0.00025708+0.00065507i,-0.00063341+0.00035882i,-0.00097614-0.00041172i,-0.00053427-0.00034492i,-0.0001276-0.00040882i,-0.00018663-0.00078417i,-0.00045852-0.00030737i,-0.00020628+0.00061963i,0.00011626+0.00043371i,-0.00018167+0.00044784i
-0.000464+0.0001703i,-0.00056042+0.0012706i,-0.00035532+0.002051i,-0.00027453+0.0026882i,-0.00010233+0.0023561i,3.4908e-05+0.00095153i,0.00055862-0.00016771i,0.00023455-0.0001545i,-0.00056272-8.3199e-06i,0.00031796+7.1631e-05i,0.0015393+0.00018571i,0.0012424+0.00071248i,0.00090669+0.00067184i,0.00014114-0.00035695i,-0.00078403-0.00063002i,-0.0012039-3.4739e-05i,-0.0011958+0.0002711i,-0.00094916+0.00024248i,-0.00076973+0.00029387i,-0.00018189+0.00028896i,0.00017085+0.00082i,0.00016873+0.0012941i,0.00014303+0.00059439i
-0.00066517-0.00075318i,-0.0013822-0.00092533i,-0.0014039-0.00049809i,-0.00096219-0.00075688i,-0.00036144-0.00045278i,-0.00044046+0.00042539i,-0.00015305+0.00091745i,0.00033548+0.00074313i,0.00076335+0.00067123i,0.0010704+0.00073186i,0.00062608+4.0977e-06i,1.0278e-06-0.00056643i,8.5577e-05-0.0013451i,0.00073916-0.0013478i,0.00056553-0.00061995i,-0.00043726-0.00092026i,-0.00055711-0.0011072i,-0.00030076-0.00043309i,-0.00085654-7.2903e-05i,-0.00079978+5.4396e-05i,-0.00046308+0.0011914i,-0.00084477+0.0016007i,-0.00040117+0.00066237i
-0.00063971-0.0013575i,-0.00012537+0.00029079i,0.00076281+0.0021061i,0.00055072+0.0014787i,-0.00012818+0.00046844i,0.00066158-9.239e-06i,0.0011023-0.00038756i,0.00053163-0.00016054i,0.0006766+0.00037369i,0.0013291+0.00060238i,0.00099873+0.00081436i,8.9096e-05+0.00043251i,0.00015194+0.00010259i,-0.00014905-2.3522e-05i,7.5786e-05+5.3856e-05i,0.00033028+0.00032352i,0.00040973+0.00039596i,0.0001376+0.00077576i,-0.00043328+0.0010241i,-0.00045781+0.00069277i,-0.00054957+0.00011034i,-0.00037354-3.4312e-05i,-0.00043323-2.4087e-05i
-0.0007293-0.0010221i,0.00021948-0.0024353i,0.0012806-0.0030803i,0.0016421-0.0032008i,0.00097701-0.0025228i,-0.00020525-0.0010645i,4.123e-05+0.00050059i,0.001114+0.00054149i,0.0016493+9.3741e-05i,0.0016998+0.00017332i,0.0019449+0.00036817i,0.0011399+0.00066739i,-1.1535e-05+1.6549e-05i,0.00013184-0.00066461i,-0.00036474-0.00033822i,-0.0008518+0.00015293i,0.00018179-0.00028818i,0.00049224-0.00052255i,8.7577e-05-0.0003353i,-0.0002621-0.00033485i,-0.00044186-0.00061372i,0.00034655-0.00060942i,0.00012947-8.5239e-05i
0.00066578-0.00093497i,0.001076+0.00028968i,0.00061328-0.0001944i,-0.0002049-0.0002449i,-0.00067654-9.537e-05i,-0.00030686+0.00015103i,0.00073409-1.7041e-05i,0.0010393-0.00022188i,0.0010913+0.00012031i,0.0014648+0.00044692i,0.0013441+0.00030627i,0.00084932-0.00035669i,0.00028199-0.00062583i,0.00063095-0.0010904i,0.00052331-0.0015238i,0.00016861-0.00073277i,-0.00018109+9.1207e-05i,-0.00084856+0.00029149i,-0.0002529+0.00010884i,0.00051977-0.00011816i,0.0009262-0.00040216i,0.0010251-0.00033065i,0.00047473-0.00014651i
7.3482e-05-0.00041924i,-9.7302e-05-0.00083921i,-0.00030776-0.0012951i,-0.00034793-0.001184i,-0.00024045-0.0010674i,-0.00026238-0.0013197i,1.7481e-05-0.0010426i,0.0002654+0.00023468i,0.00052078+0.0011796i,0.00045363+0.00023396i,-0.00033996-0.00058855i,-0.00044301-0.00046144i,-0.00020035-0.00043616i,6.0443e-05-0.0012646i,0.00039962-0.0018179i,0.00049022-0.00089905i,2.0861e-05-0.00017908i,7.6212e-05-0.00012784i,0.00024679+0.00051756i,2.8858e-05+0.00063709i,0.00044316+0.00043984i,5.5297e-05+0.00065752i,9.808e-05+0.00041761i
