-0.0010012+0.0010723i,-0.00023501+0.00078509i,0.0001699+0.0007345i,0.00060094+0.0013959i,0.0018387+0.00081816i,0.001936-0.00017561i,0.00071885+0.00044245i,-0.00038699+0.00052192i,-0.00081969+0.00048827i,-0.0004299+0.0013011i,-0.00026563+0.0013306i,-0.00067432+0.00025389i,-0.00067822-0.0010919i,1.7315e-05-0.0010332i,0.00021108-0.00036008i,-8.256e-05+0.00049936i,-0.00018935+0.0014065i,0.00037798+0.0011151i,0.0006125+0.00026912i,-0.00030691-0.00011481i,-0.00051827-6.722e-05i,-9.2293e-05-0.00042217i,-0.00019081-0.00068939i
0.0017867-0.00044103i,0.00035384-0.0010953i,0.00036751-0.0013022i,0.0011813-0.001496i,0.00076479-0.0012424i,-0.00028599-9.0446e-05i,-0.0010738+0.0003165i,-0.001392+0.00043666i,-0.00092022+0.00089975i,-0.00014768+0.0017531i,0.00057669+0.0020471i,0.0010123+0.00086049i,0.00089629+0.00014855i,0.00044342+0.00099234i,0.00019701+0.00057897i,0.00016488-0.00025944i,0.00037257+0.00052592i,0.0007128+0.00090348i,0.00069964+0.0010547i,0.00058609+0.00097111i,0.00044397+0.00045251i,0.00032442-0.00082289i,0.00011381-0.0016645i
-0.00053891-0.00048703i,-0.00049205-0.00095602i,-0.0012045-0.00038611i,-0.0012371+0.00018437i,-0.00080303-0.00066384i,-0.00014681-0.0014524i,-0.0003087-0.00081566i,-0.00075435+3.0995e-05i,-0.00048034+0.00049125i,-0.00027661+0.0010477i,0.00028743+0.0010886i,0.00089909+0.00037505i,0.0010466+8.0632e-05i,0.00066404+5.4884e-06i,0.00032422-0.0002659i,0.00071583-7.1787e-05i,0.00040004+0.00030324i,-7.8472e-05-4.6218e-05i,0.00010062-0.00023138i,2.9041e-05+0.0001178i,0.0006571-0.0002362i,0.00040977-0.00050794i,-0.00047169+0.00013969i
0.0015789-0.0013127i,0.00063663-0.0022757i,0.00056993-0.0020585i,0.00078018-0.0010099i,0.00091036-0.00099552i,0.00056021-0.00014667i,9.1651e-05+0.00045853i,0.00041764+6.8748e-06i,0.00082777-8.0598e-05i,0.00090687+0.00042335i,0.00095699+0.00054638i,0.00086935+0.00017281i,0.00042889-0.00027203i,0.0004404+2.0941e-05i,0.00074268+3.3621e-05i,8.6371e-05+0.00080456i,-0.00076488+0.0010213i,-0.00095961+0.00061552i,-0.00041607+0.00053257i,-7.4373e-05-0.00040476i,-0.00021977-0.00117i,-0.00042071-0.00094658i,-0.00064969-6.382e-05i
0.00082041-0.00061008i,0.00030997-0.00057872i,0.00070792-0.0012387i,0.0012927-0.0010157i,0.00059735-0.00033885i,-8.6417e-05-0.00055499i,-0.00042175-2.7786e-05i,-0.00062416+0.00066598i,0.00010081+0.00097229i,0.00042473+0.00095835i,0.00076504+0.00055993i,0.0015868+0.00070252i,0.0016589+0.00078311i,0.00077916+0.000416i,-0.00032604+0.00019075i,-0.00053335+0.00041383i,-0.00017601+0.00092791i,8.4488e-05+0.0004503i,0.0008343+3.7701e-05i,0.00067291+0.00041799i,-0.00010502-5.2299e-05i,-0.00074525-0.00044456i,-0.0014983+0.00018689i
-0.0026292+0.00016947i,-0.002907-0.00018432i,-0.0026825+0.0011196i,-0.0012116+0.0021257i,-0.00028899+0.0013827i,0.00016332+0.00013715i,-0.00010062+0.00084426i,-0.00067741+0.0015227i,-0.00038722+0.0011476i,-0.00036678+0.00089019i,-0.00029521+0.00049437i,-9.1916e-05-8.3415e-05i,-0.0008933-0.00059327i,-0.0012743-0.00039671i,-0.00056869-0.00021664i,-0.00090474-0.00023531i,-0.001043+8.6965e-05i,-0.00011555+0.0005026i,0.00060894+0.0010179i,0.0003885+0.00083617i,-0.00022882+8.7611e-05i,-0.00012807-0.00087694i,0.00012025-0.00083051i
0.00082644+6.7925e-05i,0.0005432-0.00048133i,0.00019938-0.00071057i,0.00081655-0.00041065i,0.00072426-0.00067262i,0.00061026-0.00073966i,-0.00018789+3.711e-05i,-0.00028461+0.00054707i,-0.00026726+0.0011198i,6.2591e-05+0.0016988i,0.00095389+0.0016899i,0.0013869+0.00059999i,0.0010895+0.00022507i,0.00040629+0.00026944i,-0.00025812+0.00055834i,-0.00057674+0.0010282i,-0.00065832+0.0017351i,-0.0011529+0.0021607i,-0.0011287+0.00075796i,-7.8424e-05-0.00050423i,0.00030994+0.00019798i,-0.00010926+0.00060151i,0.0006012+0.0007985i
0.00089178-0.0020272i,-0.00056859-0.0012327i,-0.0006834-0.0004562i,-0.00029705+1.2234e-05i,0.00026119-0.00011831i,0.00069531-0.00033855i,0.00024832-0.00027102i,0.00060357+0.00035466i,0.00041439+0.0010639i,0.00041533+0.0012857i,0.001073+0.001487i,0.0013015+0.00078291i,0.0010671+0.00011287i,0.00037181+0.00051725i,-8.5698e-05+0.00025127i,-6.7047e-05-0.00044702i,-0.00056601-0.00035989i,-0.0011579+0.00030607i,-0.00098072+0.0011942i,-0.00024805+0.0014466i,-0.00019235+0.001207i,-5.7779e-05-0.00076742i,0.00046368-0.0021088i
0.00018051-0.0028495i,-0.00052942-0.0022577i,-0.0013788-0.0018833i,-0.0017898-0.0013164i,-0.0016411-0.00064488i,-0.00071744+0.00018787i,0.00029728+0.00019915i,0.0001248-0.00021312i,-8.1566e-05+0.00023854i,0.0005504+0.00093005i,0.00096323+0.00052073i,0.00039449+0.00010243i,1.4811e-05+0.00070681i,0.0006784+0.00066907i,0.0011137+0.00011291i,0.0010091-0.00010386i,-7.2075e-05+0.0001372i,-0.00094419+0.00086242i,0.00012141+0.0012332i,0.00088434+0.00013583i,-2.3344e-05-0.00094981i,-0.00087551-0.00020068i,-0.0010074+3.2561e-05i
2.7027e-05-0.00081361i,0.0010997-0.00092584i,0.00069691-0.00035612i,0.0009944+0.00031776i,0.0013442+0.00010213i,0.0011785-0.00033019i,0.0012574-1.5869e-05i,0.00074839+0.00011268i,0.00036665+0.00042145i,-0.0001792+0.0015319i,-1.7987e-05+0.0018413i,0.00068462+0.00093658i,0.0011655+0.00028435i,0.0014644-0.00033403i,0.0008438-9.1304e-05i,-0.00032543+0.00062505i,-0.00012294+0.00086013i,0.00074836+0.00080074i,0.00058096+0.00037656i,0.00040707+0.00015335i,0.0008091-0.00041318i,0.00024865-0.00088749i,-0.0012225-0.00094424i
