-0.0042654+0.0016316i,-0.0032681+0.0025789i,-0.0039664+0.0033489i,-0.0033156+0.0033386i,-0.001421+0.002955i,-0.00016701+0.0016023i,-0.0010194+0.00033995i,-0.0017304+0.00051921i,-0.00083108+0.00015656i,-8.3229e-05+7.5276e-05i,-0.00026345+0.00024842i,-0.00031366+0.00051964i,0.0003245+0.00070377i,0.0010618+0.00060673i,0.0011299+5.0305e-05i,0.00072115-0.00024414i,0.0005034+0.00066732i,0.00020396+0.00055692i,0.00030688-0.00030528i,0.00027528+0.00021312i,0.00026183+0.00091095i,0.00034728+0.00013857i,-3.0385e-05-0.00062903i
8.9805e-06-0.00058248i,-0.00046834-0.00049613i,-0.0015362-0.0010364i,-0.0020003-0.00098198i,-0.0016545-0.00023459i,-0.001108-0.00073865i,-0.0016321-0.0016233i,-0.0018785-0.0016855i,-0.0011178-0.00094613i,-0.00071266-0.00087008i,-0.0012125-0.0010013i,-0.0014715-0.0011513i,-0.00031883-0.00097412i,6.627e-05-0.00047272i,-0.00029296-0.00050748i,-0.00041898-0.00017747i,-0.00040211+6.9268e-05i,0.00021807+2.4541e-05i,0.00075885-0.00026451i,0.00026255-0.00044236i,-6.2982e-06-0.00063352i,0.00043556-0.0003635i,0.00076718-4.6094e-05i
-0.00016749+0.0014156i,0.00028752+0.0016511i,0.00047819+0.0029806i,0.00012019+0.0029154i,0.00087912+0.0017483i,0.00097768+8.1752e-05i,0.00034979-0.0011072i,-0.00028264-0.00058226i,-0.00051592+9.4597e-05i,-0.00044125-0.00033246i,-0.00097029-0.00034594i,-0.0012122+0.0002332i,-0.00094709+0.0005067i,-0.00093014+7.9448e-06i,-0.00080458-0.00038139i,-0.00033104-0.00030939i,0.00017039-0.00046155i,0.00090163-0.00071192i,0.0013821-0.0003788i,0.00055386-0.00020944i,2.3326e-06-0.00039187i,0.00095246-0.00039541i,0.00095263+6.6292e-05i
-0.00076192-0.0011809i,-0.0003485-0.0012257i,0.00027928-0.00081582i,0.00093049+0.00079941i,0.00065676+0.0011111i,-8.0527e-05+1.372e-05i,-0.00039614-0.00080674i,-0.00073724-0.00085411i,-0.0013599-0.00019275i,-0.0013158+0.00065678i,-0.00056636+0.0011547i,-0.00022402+0.0008168i,-0.00039699+0.00056409i,-0.00039238+0.00031326i,0.00016739-0.00027055i,0.00042351-0.00064348i,0.00042197-0.00094144i,0.00077696-0.0005686i,0.0010901-0.00017322i,0.00048953+9.6911e-06i,3.9034e-05+0.00014253i,0.00049221+0.00011033i,0.00045789+0.00043026i
0.0010138+0.00045958i,0.00069262-0.00013918i,0.0016057+0.00039011i,0.0013217+0.0010508i,0.00050206+0.0011782i,4.2521e-05+0.00033347i,-0.00044594-0.0013998i,-0.0004384-0.00089678i,-0.00019791+0.00075194i,-0.00046073+0.00058971i,-0.0007679+0.00079487i,-0.00057333+0.0013405i,-0.0007435+0.00061329i,-0.0010056+3.3031e-05i,-0.0011771-0.00028589i,-0.0004479-0.0012564i,3.0698e-05-0.0014194i,-0.0003487-0.00081226i,-0.00033908+0.00019092i,-0.00026906+0.001084i,0.00020496+0.00096877i,0.00019868+7.6148e-05i,-2.7947e-05-0.00086539i
0.00052663+0.00073486i,0.0008644+0.00073535i,3.1317e-05+0.00109i,0.00023527+0.002123i,0.0011515+0.0026668i,0.0011737+0.00076247i,-0.0002774-0.001856i,-0.0012299-0.0022862i,-0.00056307-0.00077358i,0.00042614-0.00020773i,0.0012929-0.0003125i,0.00084042+0.00010104i,0.00031525+0.00062032i,0.00027804+0.00046725i,-7.9723e-05-0.00070016i,-0.00029593-0.00086309i,-0.00024045-0.00018249i,-0.00016433-0.00016743i,1.2244e-06+7.6057e-05i,-0.00025801+0.00085373i,5.0533e-05+0.00055836i,0.00071251+0.00013975i,0.00087652+8.7807e-05i
-0.0024169+0.001579i,-0.0014014+0.0011013i,-0.00045604+0.0020615i,0.0013188+0.0027023i,0.0015896+0.0027207i,0.00053997+0.0012742i,-0.00020752-0.00095201i,-0.00092514-0.0017747i,-0.00082718-0.00076707i,0.00030568-5.9653e-05i,0.00032031+0.00013383i,0.00011717+6.6218e-05i,0.00059543-0.00015438i,0.00034973+4.1862e-05i,0.00015703-0.00025317i,0.00077155-0.00064476i,0.00066548-0.00047811i,-8.1612e-05-0.00017071i,-0.00031182+0.00032213i,0.00015217+0.00062945i,0.00076568+0.0011873i,0.00069724+0.0015605i,3.0795e-05+0.00077608i
-0.00015033+0.00065396i,0.00051387+0.001382i,0.00092284+0.0020603i,0.00049571+0.002618i,0.0001654+0.0020502i,-0.00061785+0.00061849i,-0.0010775-0.00088628i,-0.0008993-0.00072066i,-0.00084841+0.00059284i,-0.0010814+0.0013261i,-0.0014059+0.00092139i,-0.00037802-0.00055576i,1.2477e-05-0.001208i,-0.00046307-0.001087i,-0.00017344-0.00045485i,0.00028789-0.00042876i,-0.00017222-9.8996e-05i,-7.5205e-05+0.00098793i,5.4192e-05+0.00083692i,-0.00049869-0.00014443i,4.6427e-05-0.00040402i,0.00099018+0.0001619i,0.0004459-0.00064291i
-0.00014267-0.00011312i,0.00011981-0.00010472i,3.4506e-05+0.0011411i,0.00017689+0.0020778i,0.00084026+0.0016225i,0.00045861+0.00027055i,-0.00067782-0.00062467i,-0.00072029-0.0003638i,-0.00034263-0.00019632i,-0.00045874-0.0002043i,-0.00071182-0.00011428i,-0.0007928+0.00030767i,-0.00057627+0.00028036i,-0.00028383-0.00022666i,2.0482e-05-0.00010832i,0.00025239-0.00042352i,-6.0352e-05-0.0013392i,-0.00029185-0.0015812i,-0.00025557-0.00052213i,-0.00019222+0.0010364i,7.3789e-05+0.00049572i,0.00066395-0.00068492i,0.00083171-0.00036892i
-8.4624e-05+0.0012231i,0.00051811+0.00098008i,0.0014569+0.0018121i,0.002172+0.0034128i,0.0020265+0.0031099i,0.0016021+0.00063352i,0.00045994-0.00069545i,-0.0015476-0.0011903i,-0.0019771-0.0011479i,-0.0013731-0.0012808i,-0.00080974-0.0011127i,-0.0010196-8.798e-05i,-0.0007676-0.00029671i,-0.00078877-0.0015448i,-0.0007381-0.0023123i,-4.8857e-06-0.0017295i,0.00088098-0.00039717i,0.0013959+0.00037027i,0.00065271+0.00078762i,4.7531e-05+0.0011425i,0.00038753+0.0011956i,0.00085388+6.1719e-05i,0.00086093-0.00040708i
0.00098407+0.00060988i,0.00085625-0.0005555i,0.0011811+9.3235e-05i,0.00069147+0.0007833i,0.00096867-0.00011144i,0.0010081-0.0014673i,-0.00019854-0.001284i,-0.0010211-0.0002985i,-0.00060525+6.8723e-05i,-0.00021398+0.00028524i,-0.0005662+0.00098748i,-0.00059737+0.00090425i,-0.00027532+0.00070242i,0.00047213+0.00034815i,5.4361e-05-0.00087895i,-0.00030729-0.0011203i,0.00030964-0.00039481i,7.6705e-05+1.357e-05i,0.00010105-0.00024163i,-0.00018981-0.00023037i,-0.00049597-1.5704e-05i,6.6378e-05-0.00010917i,7.3858e-05-0.00035485i
-0.00064858-0.0006692i,-0.001267-0.00012128i,-0.00088233-0.00026555i,-0.0005019-0.00036125i,4.8952e-05-0.00019514i,-0.00027319-0.00092683i,-0.00089753-0.0013115i,-0.0015532-0.00030203i,-0.0018176-0.00015204i,-0.0017569-0.0011706i,-0.00094279-0.001081i,-9.1634e-05+0.00038256i,-0.00029775+0.000262i,-8.7623e-05-0.00029328i,0.00078328-0.00050076i,0.00041143-0.00030086i,-0.00018273+0.00028619i,8.3283e-05+0.00044359i,-0.00018851+0.00026357i,0.00057175-0.00023808i,0.001635-5.0326e-05i,0.00088266+0.00016318i,-0.00011459-0.0005903i
0.0011747-0.00047738i,0.0011359-0.00032485i,0.0011564+0.00048279i,0.00080919+0.0020876i,0.00095271+0.0024349i,0.00050822+0.00017703i,-0.00057019-0.0010813i,-0.0016045-0.00041041i,-0.0020409+0.00083453i,-0.0013454+0.00098999i,0.000188-0.00012911i,0.0012569-0.00033725i,0.00075804+0.00026329i,0.00030577+0.00063225i,-0.00022744+0.00038151i,-0.00037506-0.00072594i,-0.00025058-0.0007649i,-0.00060512+0.00057657i,-0.0010265+0.00067252i,-0.00027675+0.00033396i,0.00029464+0.00055284i,-0.00017764+0.00057062i,0.00027714+0.00039947i
0.0014758-0.00082194i,0.0011481-0.00055802i,0.0011072-0.00064646i,0.0010647-0.0012914i,0.00058577-0.00099646i,-0.0004978-0.00039013i,-0.001182-0.00050187i,-0.0011298-0.00081482i,-0.0006104-0.00081269i,0.00027987-0.0015203i,4.7644e-05-0.0016858i,0.00024283-0.0009987i,0.00097216-0.00069095i,0.00047949-0.00075082i,0.00026907-0.00077433i,0.00075148-0.00073929i,0.00084589-0.00089454i,0.00084683-0.00064085i,0.0016802+0.00059333i,0.0017896+0.0011125i,0.00069761+0.00066245i,-0.00067363+0.0005732i,-0.001492-5.7585e-05i
0.00091386-0.0004652i,0.00097143-0.00081419i,-0.00028331-0.00045572i,-0.0020322-0.00038995i,-0.00156-0.00051799i,-0.0003583-0.00017287i,-0.00073787-0.00011079i,-0.0017787-0.00016084i,-0.0015694+0.00016301i,-0.00065921+0.00026863i,-5.9639e-05-5.8146e-05i,0.00010854-4.5605e-05i,-0.00054963+0.00039066i,-0.001584+0.00024452i,-0.0014289-0.00055084i,-0.00056404-0.00094586i,0.00017338-0.00043001i,0.0007962+0.000352i,0.00048911+3.1859e-05i,4.8374e-05-0.00058671i,0.00011735-0.00090328i,-0.00028539-0.00071193i,-0.00036974-0.00019847i
-0.00057152+0.00032997i,-0.00048803+0.00064862i,0.00037922+0.0021687i,0.0005983+0.0027862i,0.0012488+0.0016523i,0.0010528-0.00031305i,-0.00019122-0.0011181i,-0.0010158-4.8879e-05i,-0.0014678+0.00046048i,-0.00081905+0.00012931i,0.00023315+1.8676e-05i,0.00018872+7.3327e-05i,-0.00014961-0.00015189i,0.00040187+9.1453e-05i,0.00056161-0.00036571i,0.00025308-0.00072301i,0.00044406-0.00045729i,-8.2737e-05-0.00015085i,-0.00020517-0.00015852i,0.00046742-0.00026842i,0.000402-0.00036104i,0.00021669-0.00018653i,-0.00017137-8.2541e-05i
0.0019713+5.1216e-05i,0.0017711+0.00013505i,0.0014445-0.00033887i,0.0010005+0.0015429i,0.00062042+0.0027029i,-0.00060021+0.00017811i,-0.0025847-0.0014768i,-0.0037148-0.00089576i,-0.0032109+0.00081022i,-0.0015472+0.0015893i,-0.00075226+0.0015271i,-0.00033659+0.0018535i,0.00036826+0.0012348i,-0.00014983+0.00018816i,-0.0011265+0.00018954i,-0.001062-0.00024299i,-0.00035595-0.00042077i,0.00067889-0.00029565i,0.00077624-0.00013402i,-0.00027494+0.00044729i,-0.00041949-9.5396e-05i,-0.00042136-0.00073329i,-0.00083632-0.00048458i
-0.0018378+0.00074508i,-0.0017861+0.001332i,-0.0027337+0.0014516i,-0.0018501+0.0016283i,0.00079924+0.0012938i,0.0027577+0.00057397i,0.0024284+0.00011664i,0.0013719-0.0010429i,0.001088-0.0025292i,0.00050559-0.003375i,-0.00038903-0.0026539i,-0.00045537-0.0012895i,-0.0001816-0.00039636i,2.1701e-07-0.00020257i,-2.4693e-05-1.6341e-06i,0.00013532+0.00013895i,0.00061248+0.00027995i,0.00044024+5.1485e-05i,-1.0667e-05-5.5544e-05i,-0.00026019+0.00045651i,-0.00041773+0.00091512i,-0.00023183+0.0010258i,0.00030785+0.00070138i
-0.0013492-0.00058671i,-0.00091157+0.0001193i,-0.0012586+0.00012121i,-0.0018537+0.0010894i,-0.0020056+0.0017134i,-0.0013592+0.00055742i,0.00023878-0.00061551i,0.0007195-0.0011586i,0.00016608-0.0017923i,-0.00048752-0.0014889i,-0.00095644-0.0010659i,-0.0003497-0.00044772i,-0.00013131-0.00024352i,-5.475e-05-0.00049032i,0.00027899+0.00079574i,7.0486e-05+0.00074417i,8.2026e-05-0.00049119i,-0.0004188-0.00017717i,-0.0011313+0.00017747i,-0.00083543+7.512e-05i,-0.00053675+0.00038608i,-0.00018355-6.5266e-05i,0.00019153-0.00063508i
0.00085854-0.00029384i,-0.00012868+6.973e-05i,-0.0014918+0.001013i,-0.0027273+0.0016178i,-0.0024167+0.0011622i,-0.00073429+0.00038967i,0.00025456-0.00054035i,0.00047647-0.0014244i,0.0010651-0.0013619i,0.00081722-0.001007i,0.00013614-0.0009538i,-8.3064e-05-0.001233i,0.00023727-0.0010764i,0.00034122+0.00012523i,-0.00029357+0.0007595i,-0.00035683+0.00048847i,-0.00083407+0.00050105i,-0.0010633+0.00048481i,-1.4806e-05+0.0008409i,0.00057732+0.0012923i,0.00019326+0.00088119i,-0.00018727+0.00049814i,-0.00018771+0.00063429i
-0.00063662+0.00025434i,-0.0002271+0.00061598i,-0.00046815+8.9538e-05i,-0.0011339+1.1049e-05i,-0.00096762+0.0010644i,-0.0004277+0.00048338i,-0.00082803-0.00075706i,-0.0013545-0.0002721i,-0.00091247+0.00015768i,-0.00022136-0.00018228i,-0.00016923-0.00057933i,-0.00055269-0.00052723i,-0.0010494-0.00052441i,-0.0011484-0.00015834i,-0.00075571-1.6135e-05i,-0.00039295-0.00013454i,-8.7243e-05+0.0004898i,0.00040503+0.00078155i,8.842e-05+0.00011863i,7.3975e-05-8.5396e-05i,0.00064919+0.00010168i,0.00050728-0.0001773i,0.00026883-0.00023789i
-6.3127e-05-0.00083533i,-0.0011492-0.00065107i,-0.0018212-0.00015518i,-0.0014313+0.0013101i,-0.00035958+0.0015845i,0.00032767+0.00016492i,0.00030385-0.00154i,-0.00094529-0.0013166i,-0.0010312-0.0009442i,-0.00046948-0.00099856i,-0.00065672-0.00055283i,-0.0005697+0.00018389i,-0.0007038+0.00010855i,-0.00028638-0.00084973i,-0.00013891-0.00055425i,0.00012043+0.00028762i,0.000732+0.00079763i,0.00073457+0.000519i,0.00051394-0.00042681i,0.00023951-0.00053189i,0.00054781-0.00010822i,0.00044518-4.2426e-06i,9.3133e-05+0.00039139i
0.0018736-0.0014316i,0.0021194-0.00087411i,0.00031295-0.00055079i,-0.0015908-0.00039577i,-0.00090562-0.00056602i,0.00064092-0.00049062i,0.00019971-0.00057625i,-0.00067765-0.0011198i,-0.0002022-0.0016608i,-3.9655e-05-0.0018152i,-0.0014179-0.00059757i,-0.0019622+0.00054253i,-0.0011407+0.00061571i,-0.0010785+0.00049409i,-0.00097737+0.00023946i,-8.9729e-05-0.00017609i,0.00032532+0.00027795i,0.00085513+0.00070188i,0.0011014+0.00023407i,0.00094702-0.001022i,0.00055068-0.0010611i,0.00055348-0.00011385i,0.0009476+0.00022554i
-0.0013533-0.00048869i,-0.00071975-0.00034154i,-0.0011654-0.00023924i,-0.00196+0.00078639i,-0.0012168+0.0019473i,0.00059688+0.00069747i,0.0011534-0.0008084i,0.00023745-0.00075451i,-0.00087208-0.00064964i,-0.00044466-0.0013504i,8.4247e-06-0.00066206i,-0.0002809+0.00079857i,-3.066e-05+0.0014019i,0.00023293+0.0013825i,0.00048553+0.00076004i,0.00011342+0.00018772i,-0.00019914-0.00091267i,-0.0006214-0.0013265i,-0.00091581-0.00086824i,-0.00056426-0.00023999i,-0.00046107+0.00039439i,-0.0007177+0.00038946i,-0.00028216-0.0001847i
0.0014154-0.00083374i,0.0015316-0.0018286i,0.0011433-0.0029785i,-0.00026801-0.002127i,-0.00092927-0.0013842i,-0.00029222-0.0017055i,9.1778e-05-0.0018456i,-0.00025356-0.0012411i,-0.00015202-0.0010693i,-0.00042455-0.0014735i,-0.0010009-0.0009598i,-0.0011546-0.00021088i,-0.001575-0.00031801i,-0.0011179-0.00062293i,-0.00068967-0.00021441i,-0.00038362-4.0186e-05i,0.00024529-0.00022836i,0.00027191-0.00019447i,3.9826e-07-0.00031389i,0.00037342+0.00078691i,0.0003685+0.000918i,2.0751e-05-0.00022002i,0.00054854-0.00019844i
0.00016089-0.0011689i,-0.00029651-0.0016369i,4.5397e-05-0.00091093i,0.00045562+0.00061335i,0.00060287+0.0013436i,0.00038896+0.0003853i,0.00026261-0.0010805i,-0.00037801-0.00030217i,-0.0008026+0.00039256i,-0.00061543-0.00039881i,-0.0009978-0.00082991i,-0.0012666-0.00081546i,-0.00020077-0.0011066i,-4.6312e-05-0.0012168i,-0.00053963-0.00094544i,-0.0004575-0.0003449i,0.0002128-0.00017187i,0.00098787-0.00020132i,0.00063386-7.8967e-05i,0.00038735-0.00022505i,0.00058265+0.00023695i,0.0004296+0.00057817i,0.00034902+0.00060507i
-0.0011359-0.0004768i,-0.00075678-0.0015542i,-0.0014039-0.0015743i,-0.002753-0.0011143i,-0.0024962-0.00064155i,-0.00084935-0.00065953i,-0.00027593-0.0018182i,-0.0014019-0.001393i,-0.0015706+0.0001445i,-0.0010948+0.00064081i,-0.00021378+0.00047956i,-0.00011195-0.0003295i,-0.00087684-0.0010674i,-0.00030465-0.00062783i,0.00040886-0.0002418i,0.00040152-0.00042196i,1.5609e-05-0.00040901i,0.00014539-0.00058385i,0.00041505-0.00060033i,0.00028633-0.00049323i,0.00047398-0.00078782i,0.00064583+3.9294e-05i,0.0001963+0.00046254i
-0.00054015+0.001256i,-2.9294e-05+0.0010399i,0.00021711+0.0028714i,-6.4936e-05+0.0039444i,0.00054678+0.0029326i,0.00073145+0.00037689i,-0.00048739-0.0015737i,-0.0012224-0.001508i,-0.0012668-0.00080455i,-0.00052985-0.00075475i,-0.00071309-0.00092172i,-0.0012397-0.0012179i,-0.0014025-0.0009608i,-0.00096074-0.0004073i,0.00011925-0.00028146i,0.00050568-0.00023375i,0.00037334-0.00013613i,0.00050471+0.00038177i,0.00089012+0.00053961i,0.0008093-1.9792e-05i,0.00046272-0.0007377i,0.0007494-0.00074069i,0.00021677-0.0003826i
0.00091716-0.00028077i,0.0013976-4.4553e-05i,0.00068751+0.00047225i,0.00012709+0.0011671i,0.00037671+0.0011759i,0.0012026+0.00012044i,0.0010934-0.0010622i,0.00043619-0.0011988i,0.00021898-0.00056259i,0.00037735-0.00057767i,0.00060461-0.00034751i,-0.00029857-0.00028831i,-0.0010595-0.00043882i,-0.00091232+0.00055272i,-0.00072115+0.0010599i,0.0001383+0.0002446i,0.00030853-0.00049089i,-0.00013964-0.00062533i,0.00021329-0.00059335i,4.1065e-05-0.00023802i,-0.0005629-0.00051004i,9.4387e-05-0.0003067i,0.00057704+0.00025017i
-0.0018865+0.00038073i,-0.0019379+0.00096617i,-0.0018752+0.0021636i,-0.0013804+0.0021466i,0.00037272+0.00093506i,0.001336-0.00079525i,0.00057491-0.0018336i,-0.00038769-0.0015085i,-0.00018209-0.00069745i,-0.00011436+9.0544e-05i,-0.00056559+0.00019343i,-0.00092114-8.8575e-05i,-0.00088583-0.00016311i,-0.00027207-8.5931e-05i,9.823e-05-0.00013441i,7.3839e-05-0.00010206i,4.4524e-05+8.1713e-05i,0.00011414-0.00022483i,0.00025949-0.00036967i,-0.00025764-0.00014014i,-0.000463+0.00059908i,0.00048761+0.00081344i,0.00048473+0.00019953i
2.1064e-05-0.0011577i,0.00067317-0.00090718i,0.00054899-0.0011239i,0.00026659+0.00030462i,0.00024624+0.0011417i,-0.00020816-2.8437e-05i,-0.00078234-0.0015887i,-0.00087308-0.0021859i,-0.00040205-0.0018493i,-0.00010786-0.00097993i,-9.9064e-05-0.00030901i,-0.00052465+0.00015375i,-0.00053456+0.00066751i,6.5286e-05+0.00053359i,0.00026729-0.00015345i,-0.00045624+0.0002927i,-0.00088447+0.00014428i,-0.00015965+9.8379e-05i,0.00022958+0.0012142i,0.00028151+0.0014436i,0.00011363+0.00023058i,0.00013402-0.00037823i,-0.00040727+7.0981e-05i
-0.00042258+0.00056298i,-0.00098408+0.0010644i,-0.0016306+0.0016268i,-0.0022932+0.002371i,-0.00099365+0.001869i,0.00089444+0.00035226i,0.00092916-0.0016377i,-0.00044626-0.0017317i,-0.0017859-0.00085982i,-0.0021459-0.00079355i,-0.0014086-0.00083576i,-0.00019985-0.0004109i,0.00074773+5.9623e-05i,0.0010354+3.8001e-05i,0.00038167-0.00033784i,-5.091e-05-0.00040775i,-0.00039543+0.00020919i,-0.00041418+0.00082009i,-7.0769e-05+0.00039025i,0.00023616-0.00019735i,0.00058209+0.00038503i,-0.00014467+0.00042333i,-0.00089307-3.3708e-06i
-0.0014538+9.5956e-05i,-0.0018028-0.00027878i,-0.0021316+0.00021819i,-0.0016145+0.0010177i,-0.00095658+0.0018081i,0.00030823+0.0012105i,-0.00023943-0.00044925i,-0.0019055-0.001511i,-0.0015742-0.0012693i,-0.00093983-0.0011662i,-0.0010688-0.0006713i,-0.00010856-0.00028124i,0.00079952-0.00093527i,0.00056547-0.00099271i,0.00086351-0.000395i,0.00035322+0.00012636i,2.2029e-06+0.0001066i,0.00089437+0.00018213i,0.001059-4.7269e-05i,0.0004355-0.00053943i,0.00018796-0.0004482i,0.00017781-0.00036365i,0.0001438-0.00052501i
0.0005498-8.2167e-06i,-0.00067858+0.00041632i,-0.0010786+0.00086623i,-0.00049097+0.0019295i,0.00018906+0.0023382i,-0.00041977+0.00065487i,-0.001295-0.0010141i,-0.0017823-3.8785e-05i,-0.00164+0.0010426i,-0.0013911+0.00039808i,-0.0010933-0.00010465i,-0.00077404+0.00022853i,-0.00073073+0.00012546i,-0.00089449+0.0003474i,-0.00044047+0.00074579i,0.00072464+0.00015689i,0.0017879+0.0004174i,0.00098228+0.00018992i,-0.000259-0.00021896i,-0.00026036+0.00045599i,0.00056567+0.00066182i,0.0007973+0.00024073i,0.00069433-0.00053536i
-0.00022532-6.7584e-05i,8.556e-05-0.00031323i,-0.00033605+0.00058392i,-0.0012134+0.0015998i,-0.00043197+0.0014046i,0.00048101-0.00034144i,-6.1056e-05-0.0017459i,-0.00083299-0.001562i,-0.00083042-0.00055579i,-0.00023028+0.00020748i,-0.00036398+0.00057488i,-0.0003405+0.00025842i,-0.00030696+0.00024911i,-0.00065489+0.00055961i,0.00028054+0.00042481i,0.00085608+0.00015744i,-6.6186e-05-0.00024029i,-0.00037496-8.8995e-05i,-0.00014454+0.00031415i,-0.00013143+2.1779e-05i,-0.00012834-0.00049759i,0.00018071-0.00035136i,0.000117+0.00029448i
0.00039167+0.00058135i,0.00034989+0.0013114i,0.00082798+0.0010776i,0.00054092+0.0010247i,-0.00040111+0.00040202i,-0.00043602-0.00030113i,-0.00043822-0.00060985i,-0.00073147-0.00062305i,-0.00090977-0.000265i,-0.0012877-0.00023226i,-0.0013285-0.00075685i,-0.00088567-0.00039426i,-0.00088445+0.0011638i,-0.00058703+0.0013753i,-7.2813e-05+0.0004466i,0.00016521-0.00057472i,0.00095813-0.0007488i,0.00076745+1.9375e-05i,0.00020529+0.00068606i,0.00036799+0.00054692i,0.00072145+0.00067881i,0.00080232+0.00091878i,0.00054928+0.00046085i
-5.5816e-05-0.0010211i,-0.00051237-0.0002713i,-0.0015383+0.00031997i,-0.0018386+0.0010823i,-0.0002137+0.0020955i,0.0010857+0.00063757i,0.00070268-0.00052293i,-0.00019968-0.00071976i,0.00015524-0.0010867i,0.00078013-0.0010439i,-3.8097e-05-0.00043901i,-0.0010899+0.00012439i,-0.0015538+0.00043187i,-0.00064762+0.00020105i,0.0003905+0.0002436i,0.00075767+0.00024176i,0.00073037+9.471e-05i,0.00025211+0.00055931i,0.0001789+0.00043874i,0.00044627+1.695e-05i,0.00032385+0.00073105i,0.00043011+0.00091181i,0.0011275+0.00061962i
-0.00068925-0.00038821i,0.0010678-0.00032689i,0.0017467+0.00057979i,0.0011458+0.0013943i,0.00021856+0.0011918i,-0.00013323+4.2969e-06i,7.6425e-05-0.00083942i,-0.0005537-0.00066206i,-0.00045567-0.00032605i,-0.00016095-0.00030801i,-0.00065059-0.00015104i,-0.00059297+0.00039146i,-8.4688e-06+0.00053968i,0.00018629+3.2235e-05i,-0.00017568-8.9783e-05i,-0.00053405-4.1165e-05i,-0.00029451-0.00021453i,-0.00023455+0.00028748i,-0.00035593+0.00014936i,0.00033778+7.9518e-05i,0.000505+0.00046073i,0.00041086-9.1479e-05i,0.00073427-0.00020655i
0.0017193-0.00022228i,0.0012504-0.00055559i,0.00096401-0.00024157i,0.00089967+0.00043204i,0.0002931+0.00061371i,-0.00039366-0.00083236i,-0.00083829-0.0019207i,-0.00085349-0.0012811i,-0.00055869-0.0011907i,-0.00030116-0.0017736i,-0.00024999-0.0012269i,-0.00038694-0.00042359i,-0.00018203-9.2699e-05i,-0.0002884-0.00022651i,6.3842e-05-0.00023718i,0.0006803-0.00014249i,0.00075359-9.6622e-05i,0.0012636-0.00035339i,0.00085751-0.0004717i,2.6783e-06-0.00054004i,-0.00021979+0.00020101i,-0.00015845+0.00097064i,-0.0003697+0.00095326i
0.00019945+8.7768e-06i,-0.00080255+0.00078857i,-0.00099103+0.0012768i,-0.0017822+0.00026092i,-0.001243-0.0011548i,6.947e-05-0.0011171i,-0.00015413-0.0010081i,-0.0013381-0.00076116i,-0.0015157-0.00073693i,-0.0019078-0.0012259i,-0.0026139-0.0018693i,-0.00093253-0.00099773i,0.00062943+5.7469e-05i,0.00057789-9.9764e-05i,0.00067868-0.00050272i,0.00029136-0.00049805i,0.00097776-0.00045658i,0.0013708-0.00046396i,0.00047407-0.00014905i,-0.00010078+8.7072e-05i,-0.00046144-0.0001942i,-0.00054438-0.0003637i,-0.00063253-0.00018801i
-0.0010661-0.001772i,-0.00096278-0.0014728i,-0.0023925-0.0015868i,-0.0027808-0.00020301i,-0.0018969+0.0015222i,-0.0013042+0.00084906i,-0.00072875-0.00098462i,-0.00068718-0.0011546i,-0.0014365-0.00079228i,-0.0018593-0.0009332i,-0.0010736-0.00070611i,-0.0003816-0.00055391i,-0.00045608-0.00011902i,-3.4598e-05+0.00037486i,-0.00024517-0.0001624i,-0.00077757-0.00063951i,-0.00078515-0.0002176i,-0.00052116-0.0002661i,5.7164e-05-0.00021733i,0.0001671+0.00061575i,0.00022828+0.00085989i,4.4999e-05+0.00050202i,-0.0005272+0.00030438i
0.0013+0.001616i,0.000705+0.00066754i,0.0015891+7.5368e-05i,0.0013105-1.4966e-05i,0.00012078+0.00015572i,-0.00041499-0.00058189i,-0.00072707-0.0017377i,-0.00082188-0.00091732i,-0.0010457+0.0004798i,-0.00098592+0.00038552i,-0.00057824-0.00027157i,-0.00037473-0.00037117i,-0.00095213-0.00064252i,-0.00035623-0.00077415i,0.00023913-0.00079007i,-0.00036957-0.0012835i,-0.00028199-0.0014745i,3.7085e-05-0.00093949i,-0.00052936-0.00020558i,-0.00012262-0.00021356i,0.00056953-0.00035098i,0.00055132-0.00021558i,0.00028253-8.5492e-06i
0.0013018-0.0016774i,0.00030553-0.00087746i,-0.0008992-0.0011057i,-0.0017379-0.00031882i,-0.0020492+0.00091689i,-0.00053699+0.00059264i,-1.8221e-06-0.00011346i,-0.00051191-0.0001941i,-0.00012829+0.00027779i,-0.0005124-7.5115e-05i,-0.001621-0.00078647i,-0.0019888-0.0004547i,-0.0016044+0.00035415i,-0.0010586+0.00079708i,-0.00073996+0.00028481i,-6.8867e-05-0.0004987i,0.0008796-0.00086293i,0.00076547-2.7721e-05i,-4.6375e-05+0.00057026i,-0.00062974-2.676e-05i,-0.00033518+0.00015555i,-1.5069e-05+0.00076925i,6.6178e-05+0.00058852i
