-0.0011203+0.0006573i,-0.00020581+0.00045598i,-0.0012347+0.00050013i,-0.0021328-0.00014363i,-0.0030184-0.00013226i,-0.0027348+0.002311i,-0.0012219+0.0029441i,0.00030899+0.0014538i,0.0011936+0.0010755i,0.0011982+0.0018194i,0.00064768+0.0017094i,-6.8015e-05+0.0010191i,-0.00033963+0.00071817i,0.00013662+0.0010522i,-0.00012099+0.00095441i,-0.00034561+0.00087409i,-5.8455e-05+0.00073982i,0.00021143+0.00020836i,-3.3231e-05+0.00032315i,-0.00047174+0.000385i,-0.00017779+0.00016787i,0.00024867-0.00016702i,0.00063754-0.00024345i
-0.0023267-0.0025603i,-0.0024079-0.0017066i,-0.0024185-0.0012494i,-0.0013665-0.0010842i,-0.00041166-0.0002461i,0.00040483+0.00013238i,0.0010856-0.00027427i,0.0003635-0.00056883i,-0.00027424-0.00033186i,-0.00020708+0.0011012i,-0.00063721+0.0015598i,-0.0010136+0.00057793i,-0.00089576+0.00050545i,-0.0010247+0.0006272i,-0.00089397+0.00017144i,-0.000359+0.00032553i,-0.00019108+0.00035574i,0.00019981-0.00033092i,0.00047218-0.00063029i,-4.7478e-06-9.4887e-05i,-0.00054118-0.00024818i,-0.0011179-0.0003639i,-0.0012529-0.00019283i
0.0023732+3.1112e-05i,0.0021147-0.0015518i,0.0017602-0.0017355i,0.00044065-0.0013377i,-0.001198-0.0021574i,-0.001734-0.0023191i,-0.00083837-0.0014076i,-4.399e-05-0.00047676i,-0.00016465-1.6122e-05i,-0.00027881-0.00020375i,-0.00022367-0.00022009i,-0.00032266+7.2205e-05i,-0.00039587+6.3593e-05i,-0.00031005-0.00056618i,-0.00026056-0.00094138i,0.00027343-0.00070996i,0.00042043+0.00011182i,-3.2071e-05+0.0010689i,-0.00034229+0.00044688i,-0.00033216-0.00034698i,0.00049431-0.00038688i,0.00080062-0.00061101i,0.00073997-0.00063413i
0.00018319-0.0010285i,0.00091657-0.00025103i,0.00063395+0.0008203i,0.00055688+0.0011256i,-0.00056057+0.0009065i,-0.0011154+0.0013179i,-0.00058299+0.0020485i,-0.0003734+0.0014468i,-0.00046065+0.00097499i,-0.00041589+0.0014476i,-0.00030198+0.001236i,-0.00025672+3.9104e-05i,-0.00022205-0.00033793i,-0.00047997+7.2725e-05i,-0.00045108+0.00016445i,-0.00050917+0.00039101i,-0.00089448+0.00095232i,-0.0003213+0.00040124i,0.0006303-0.00021369i,0.00059983-0.00041147i,-0.00032931-0.00033776i,-0.0011015-0.0004881i,-0.00047247-0.00043357i
-0.0010753+0.00046205i,-0.00091891+0.00037537i,-0.00046203-0.00065523i,-0.00077093-0.0014572i,-0.0021875-0.0014899i,-0.0024655-0.0015072i,-0.00084767-0.00085387i,-0.0001998+4.8377e-05i,-0.0007013+0.00050942i,-0.00079327+0.00049249i,-2.3602e-05+0.0003508i,0.00015499-0.00023801i,-2.8364e-05-0.0011084i,8.1204e-05-0.00035301i,0.00021124+0.0011723i,0.00043613+0.0010866i,0.00019108+2.2339e-06i,-0.00044193-0.00022806i,-0.00049291+0.00022531i,0.00038409+0.00017254i,0.00043433-7.5541e-05i,0.00016949+0.00012527i,-8.4822e-06+0.00088891i
0.00074362-0.00096769i,0.0015177-0.00077229i,0.00098898-0.00051332i,-0.00035452-0.00076284i,-0.0023493-0.00087772i,-0.002033-0.00014107i,-0.00034533+0.00023784i,0.00013085-2.7945e-05i,-1.0062e-05+0.00042587i,-0.00037823+0.00033132i,-0.00040776+0.00026178i,0.00015501+0.0010075i,0.00038344+0.00062756i,0.00063589-0.0012506i,0.00023411-0.0014775i,-0.00066818-0.00015762i,5.9296e-06+0.00054558i,0.00091279+0.00078041i,0.00042006+0.0012054i,0.00019143+0.0011045i,0.00028068+7.323e-05i,-2.9552e-05+0.00013741i,-0.00053185-4.7888e-05i
-0.0014705-0.00012006i,-0.00090335+0.0014842i,-0.0016214+0.0028285i,-0.0016713+0.0026309i,-0.00031085+0.0013828i,-0.00034934+0.0013321i,-0.00049016+0.0013892i,-2.0472e-06+0.0009482i,-0.00021884+0.00047038i,-0.00024058+0.00049918i,-0.00033708+0.0017769i,-0.00027798+0.0021728i,0.00033007+0.00081381i,0.00048456+6.6923e-05i,0.00060393+0.00028878i,0.00090886+0.00043324i,0.00047944+0.0011106i,-0.00050098+0.0011854i,-0.00074355+0.000614i,-0.00078706+0.00022602i,-0.00051079+0.00011172i,-0.00014707+0.0005069i,-0.00041075+0.00079128i
-0.0015679-0.0011595i,-0.0016192-0.00090018i,-0.00043305-0.0023966i,0.00051945-0.0031502i,0.00018904-0.0023435i,-0.00018518-0.0012087i,0.00037347-0.00075373i,0.00023548-0.00041139i,-0.00092435+3.5083e-05i,-0.0013896-1.9978e-05i,-0.00077529+9.9949e-05i,-3.228e-05-7.5231e-05i,6.0701e-05-0.00018805i,-0.0003966+0.00045019i,-0.0009506+0.00045222i,-0.00086094+3.4218e-05i,7.7539e-05+0.00052664i,0.00083931+0.00061732i,0.0004089+0.00043591i,0.00010481+0.00045247i,-6.1299e-05+0.00066219i,-0.00065486+0.0008158i,-0.00026732+0.00063245i
0.00068627+0.00051563i,0.00041148+0.00073387i,0.00056614+0.0011068i,0.00019616+0.00043244i,-0.0004945-0.00065203i,-0.0011493-0.0010062i,-0.00093365-0.00064562i,-0.00049283-0.00057485i,-0.00072072-0.00060452i,-0.00054433+0.0006467i,-0.00018072+0.0013066i,-4.9928e-05+0.0005755i,0.00017961-0.00056353i,0.00038454-0.00091522i,0.00050351-0.0010474i,0.00029571-0.00043966i,-4.8074e-05-0.00032732i,0.00011904-0.00070144i,0.0007566-0.00035661i,0.00083629+0.00045144i,-0.00027737+0.00035751i,-0.0010588+0.00026087i,-0.00066084+0.00086349i
-0.00096953-0.0013125i,0.00036216-0.0013773i,1.0413e-05-0.0010346i,-0.0012124-0.0001683i,-0.0015539+0.00014163i,-0.0019313+0.00013679i,-0.0013984+3.9012e-05i,-0.00036464+7.9431e-05i,4.4646e-07-0.00025181i,-0.00028655-5.4451e-05i,-0.00021349+0.00026881i,0.00024457-0.00022855i,4.5428e-05-0.00042915i,-0.00051289+0.00048608i,-0.00036888+0.00075094i,-0.00026613+0.00030968i,0.000137-3.566e-05i,-0.00033948-0.00013732i,-0.00074809+0.00025002i,-0.00046852+0.00037943i,-0.00045332+0.00041386i,-4.2067e-05+0.00050559i,-8.8263e-05+0.0008436i
-0.0024029+0.00029128i,-0.001802+0.0014018i,-0.001936+0.0019512i,-0.0012342+0.0010557i,-0.00024387+4.7246e-05i,0.00051314-0.0011972i,0.00037534-0.0011074i,8.8218e-05-0.00090067i,-0.00074373-0.00080227i,-0.00087669+0.00045489i,-8.5713e-05+0.0020081i,-0.00017522+0.0015493i,0.00020101+0.00098915i,0.00072141+0.00070218i,0.00035336-0.0002194i,-4.451e-07+0.0002664i,6.8451e-05+0.0010664i,8.2836e-05+0.00071043i,-0.00061286+0.00014207i,-0.00091308-0.00031084i,-0.00078403-0.00030602i,-0.00024143-6.3933e-05i,0.00011298+0.0004027i
0.0027915+0.0014884i,0.0032316+0.00088707i,0.0028277+0.0012609i,0.0012548+0.00083003i,-0.00031252-0.00052449i,-0.00077194-0.0014316i,-0.00078258-0.0007081i,-8.3058e-05+0.00054795i,0.00032242+0.0011639i,0.00013475+0.00074477i,0.00035576-0.0003794i,0.001173-0.00029789i,0.0012669-7.645e-05i,0.0005634-0.00034452i,0.00019429-0.00040195i,0.0004188-0.0007132i,0.0012513-0.00021761i,0.0016428-0.00022835i,0.0001667-0.0001766i,-0.0012535+0.00022921i,-0.0010388+0.00012553i,-0.0005965-0.00015399i,-0.00054446-0.00011171i
-0.0016997+0.0005781i,-0.0005101+0.001087i,-0.00011215+0.0021679i,-0.00051199+0.0022487i,-0.0012864+0.0011503i,-0.0014965-0.00059157i,-0.00097599-0.00082616i,-0.00052777-0.0004064i,-0.00052198-0.00031496i,-0.00088207+0.00059961i,-0.00020468+0.0013656i,0.00072298+0.0014304i,0.0009437+0.0007361i,0.0011585+0.0001127i,0.00079894+0.00022357i,0.00029532+0.00059319i,0.00028967+0.00088831i,0.0005847+0.00048795i,0.00091009-7.9977e-05i,0.00061406-0.00035691i,0.0002276-0.00074251i,-6.2406e-05-0.00011042i,-0.00045943+0.00010469i
0.0020398-0.0011439i,0.0026212-0.00094192i,0.0022698-0.0011889i,0.0010201-0.0008709i,-0.00030848-0.00034317i,-0.00062222+0.00059152i,2.7171e-05+0.00075773i,-0.00026679-0.00038984i,-0.00050341-0.0010848i,-2.2208e-05-0.00018785i,0.00016064+0.0014001i,7.9381e-05+0.00094659i,0.00016235-0.00025873i,-1.42e-05-0.00083201i,-0.00016978-0.00085625i,-0.0001342+5.7613e-05i,-5.0061e-05-0.00040827i,-0.00036085-0.00099958i,-0.00067777-0.00026979i,-0.00054989-1.8326e-05i,-0.00016533+9.8599e-05i,-3.8795e-05-0.0001641i,0.00044965-0.00013956i
-0.001869-0.00010639i,-0.0021247-0.0016326i,-0.0015898-0.002157i,-0.0013101-0.00061292i,-0.0010914-0.00020077i,-0.00017253-0.0010331i,0.00067603-0.00067882i,0.00015353-0.00024239i,-0.00014335-0.00035903i,-0.00063732+0.00026741i,-0.001022+0.00085303i,-0.00092474+0.00070132i,-0.0010231+0.00015074i,-0.00039818-0.00029733i,0.00060413+0.00030054i,0.00069727+0.00096576i,0.00037928+0.00072182i,0.00058108-0.00011697i,0.00036181-0.00049601i,-0.00042766-0.00021833i,-0.00055998-0.0002151i,-4.2232e-05-0.0001398i,-8.3513e-05+0.00016014i
0.0010965-0.00059793i,0.00048075-3.3366e-05i,0.00073979+0.00024049i,0.0011241-0.00012637i,0.00032531-0.00074496i,-0.00063668-0.00077962i,-0.0012147-0.00010955i,-0.00068937+5.8817e-05i,-0.00047362+6.8072e-05i,-0.0011462-3.0212e-05i,-0.0008727+5.7431e-05i,-0.00028115+0.00057108i,-0.00052676+0.00025585i,-0.00057077-0.00049257i,-0.00034145-0.00081602i,-0.00086221-6.7007e-05i,-1.0625e-05+0.00044522i,0.00069153+0.00085563i,0.00033943+0.00031948i,9.2458e-05-0.00047827i,1.4935e-05-0.00029579i,0.00029721+0.00024988i,0.0004708+6.8335e-05i
-0.0013284-0.00099589i,-0.0006978-0.0011055i,-0.00029277-0.0001784i,-0.00083311+0.00030765i,-0.00083176+0.00034402i,-0.00012833-0.00062508i,-0.00072076-0.0011123i,-0.00084683-0.00029733i,-0.00073144-0.00019555i,-0.00047996-0.00047392i,-8.4257e-05-0.00070258i,-8.4197e-05-0.00073873i,1.5617e-05+0.00075487i,-5.6511e-05+0.0014803i,0.00016763+0.00062027i,0.00017109-0.00043629i,-6.8091e-05-0.00066782i,-0.00023802+0.00021152i,-0.00062873+0.00026379i,-0.00092028+0.00033277i,-0.0012157+0.00054108i,-0.0012542+0.00059395i,-0.00052021+0.00032208i
0.00034732+0.0012762i,-9.3486e-05+0.0015891i,-0.00032338+0.001178i,-0.0013724+6.5084e-05i,-0.0018725-0.00045429i,-0.0011106-0.00052222i,-4.3026e-07-0.00086273i,0.00021292-0.00081649i,-0.00053404-0.0004286i,-0.0012074+1.8758e-05i,-0.0010848+0.00030293i,-0.00024745+0.00036095i,-0.00011075-1.0296e-06i,9.3284e-05-0.00049951i,8.0531e-05-5.2938e-05i,-0.00012476+0.00057527i,4.913e-05+0.00036827i,-9.7227e-05+0.00059598i,-0.00046733+0.00042716i,-0.00015244-0.00022299i,-0.00028886-0.00022168i,-0.0010102-0.00042642i,-0.00059358+0.00019837i
0.00056436-0.0011578i,0.00021821-0.00085834i,-0.00050371-0.00059978i,-0.0016761-5.8099e-05i,-0.0016488-0.00011215i,-0.0011281-5.5178e-05i,-0.00074065-0.00018911i,-0.0006153-0.0005187i,-0.0008886+0.0004685i,-0.001192+0.00068932i,-0.00089203+0.00014076i,-0.00082898+0.0003333i,-0.00064029+0.00076691i,-0.00017051+0.00044464i,-0.00041764+0.00052723i,-0.0003169+0.00077866i,0.00016931+0.00057366i,0.00016112+0.00049111i,-0.00023691+2.1517e-05i,0.00020714-0.0001592i,0.00080995+0.00024983i,-0.00033937-6.6268e-05i,-0.001023-0.00057157i
-0.00096786+0.0011983i,-0.00022739+0.00081643i,0.00052438+0.00031137i,0.00081873+0.00010637i,0.00097784-0.00040399i,0.0011501-0.00030042i,0.00090583+0.00022949i,0.00097022+1.7058e-05i,-4.5532e-06+0.0003417i,-0.00038551+0.0012508i,0.00010153+0.0012943i,9.6048e-06+0.00022302i,0.00073383-0.00016909i,0.00075634-3.9161e-05i,0.00089121-0.00049916i,0.0011897-0.00031462i,0.00096639+9.1933e-05i,0.00074425-0.0002716i,-1.2779e-07-0.00050674i,-0.0001422-0.00038551i,-0.00020007-0.00020891i,-0.00038092-4.2336e-05i,-0.00011037+0.00014184i
0.0016822+0.0015741i,0.0013321+0.0020966i,0.0022062+0.0018483i,0.0020933+3.8529e-05i,0.00059549-0.0015216i,-0.00049719-0.0023289i,-0.00061169-0.0018413i,-0.00070972-0.00068896i,-0.001338+0.00026375i,-0.00078147+0.00088318i,0.00017183+0.00077544i,0.00029284+0.00066798i,0.00020737-0.00025474i,0.00075743-0.00087631i,0.00072162-0.00030994i,-1.8164e-05-0.00033044i,-0.00052011-0.00015011i,-0.00010571+0.00016025i,0.00020489-3.6508e-05i,-0.00050487-0.00040945i,-0.00089782+8.1243e-05i,-0.00033715-1.6478e-05i,-0.00044831-0.00032644i
-0.00055661+0.0017514i,-0.00095731+0.0021072i,-0.00038606+0.0014936i,0.0008004+0.00069988i,0.0011194-9.7658e-05i,0.00068025-0.00076328i,0.00022676-0.00025398i,-0.00016855+0.00045287i,0.00033589+0.00074877i,0.00021554+0.0011131i,-0.00037794+0.0010512i,3.6755e-05+0.00088631i,0.00011362+0.0012093i,-0.0005326+0.001412i,-0.00055839+0.0013476i,-0.00036122+0.00099804i,0.00038984+2.5159e-05i,0.00078544-0.00049234i,3.6569e-05-5.0586e-05i,-8.9873e-05+0.00015468i,0.00050302-0.0004816i,0.00080519-0.00072361i,4.7428e-05-0.00065958i
-0.00025906-0.0016394i,0.0002704-0.00080919i,-0.00016507+0.00097468i,-0.0012281+0.00084634i,-0.0019483+0.00020895i,-0.00089959-0.00072361i,8.8953e-05-0.00071674i,-0.00030924-0.00037131i,-0.00072537-0.00083551i,-0.00054918-0.00081957i,-0.00014591+5.6672e-05i,0.00047414+0.00089194i,0.00062637+0.00058416i,-0.00016223+0.00021321i,-0.00038108+0.00052489i,0.00021418+0.00029441i,0.00021717-0.0005254i,-0.00018106-0.00071236i,9.3019e-05-0.00037865i,0.00035452-0.00013714i,-1.407e-05+0.0001381i,-0.00054442+0.00031825i,-0.0003503+0.00010137i
0.00024537+0.00046218i,0.00039807+0.00026791i,0.00089344+0.00041331i,0.00095296+0.00010747i,-0.00021041-0.00061538i,-0.00086601-0.0015692i,-0.00052601-0.00097346i,-0.00033189-0.00032075i,-0.00037885-0.00037427i,0.00015747+0.00030879i,0.0005+0.00047269i,0.00029011+0.00043396i,0.00031939+0.00038798i,0.00066082-3.255e-06i,-0.00034807+0.00019062i,-0.00082048-9.1158e-06i,-2.637e-05-6.5602e-05i,0.00059977+0.00030925i,0.00049232+0.00046422i,-0.00064915-4.7532e-05i,-0.00096647-0.00069595i,-0.00057858+0.00027854i,0.00013148+0.00030512i
0.0011477-0.0028726i,0.00019564-0.0018427i,-0.001088-0.0013114i,-0.0012237+0.00061301i,-0.00081397+0.0012806i,-0.0011107+0.0011381i,-0.0001594+0.00092598i,0.0002584+1.6226e-05i,-0.0003987-0.00073984i,-0.00078849-0.00020935i,-0.00085511+0.0010718i,-3.5763e-05+0.0010481i,-0.00022755+0.0003925i,-0.00035669+0.00025239i,-0.00023502+0.0011149i,-0.0002013+0.0013076i,-0.00011368+0.00060238i,3.6402e-05+3.3344e-05i,0.0010652-0.00041284i,0.00087444-6.3224e-05i,-1.7595e-05+0.00015649i,-0.00073257+0.00056053i,-0.0012425+0.0004656i
-0.0012472+8.1431e-05i,-0.0010559-0.00063537i,0.00062979-0.0011505i,0.00092596-0.0014502i,-0.00029339-0.0015158i,-0.00083167-0.00050385i,-0.00097838+0.00027585i,-0.00032232-0.0002159i,8.7885e-05-0.00036845i,-0.00064057+8.6491e-05i,-0.00074568+0.00051311i,-0.00044655+0.0006049i,-0.00021348+0.00035115i,0.0002573+5.4364e-05i,0.00046355-0.00010589i,0.00063353+7.9572e-06i,0.00038343+0.00053091i,0.00017779+0.00096904i,0.00030306+0.00041237i,-0.00092888-0.0001822i,-0.001647+0.00016422i,-0.0003118+0.00071641i,0.00095069+0.00061001i
0.00045386+0.00093392i,0.00044787+0.0011382i,0.00030591+0.00074098i,5.9975e-05+0.0009477i,-0.00044755+0.00054535i,-0.00059289+0.000228i,-3.3656e-05+0.00049954i,0.00036654+0.0011518i,-0.00026276+0.0011467i,-0.00038798+0.00039926i,-0.0002944+0.00067805i,-0.00061195+0.00088098i,-0.00074505-2.9793e-05i,-0.00050229-0.00075344i,-0.00018873+5.5969e-05i,-0.00041669+0.00077922i,-0.00032464+0.00044479i,4.1126e-05+0.00036438i,-0.00012509+0.0007196i,-0.00017072+0.00060259i,-0.00019057+5.5428e-05i,-0.00071859+0.00014942i,-0.00042019+0.0003609i
-0.0014582-0.00032542i,-0.002209-0.00083915i,-0.0023136-0.0011038i,-0.0020955-0.0003992i,-0.0015478-1.3492e-05i,-0.00083121-0.00050161i,-0.00026146-0.0011577i,0.00034692-0.0010567i,9.5995e-05-0.0001294i,-0.00027489+0.00024096i,-0.00012021+0.0007287i,-0.00022021+0.00076936i,0.00046557+0.00016825i,0.00094515+9.6998e-05i,0.00029026+1.6858e-05i,-0.00012511+0.00013936i,-0.00010935+0.00022258i,-0.00034422-8.4656e-05i,-0.0008028-0.00030415i,-0.00058578-0.00035257i,-0.00026379-0.00012374i,-0.00034392+0.00016804i,-0.00031555+0.00058791i
0.0019554-0.00023503i,0.0022566+0.00023168i,0.0031927+2.2717e-05i,0.0027055-0.00057143i,0.00017883-0.00091985i,-0.001273-0.00070731i,-0.0011399+0.00051447i,-0.00055245+0.00061324i,-0.00030785-0.0001739i,-0.00048492+9.4391e-05i,-0.0007971+0.00035123i,-0.00056006+0.00061525i,-0.00025105+0.00054042i,-0.00021599-0.00012137i,0.00040141+0.00036164i,0.00035073+0.00062045i,0.00022763+0.00072589i,0.00046112+0.0010656i,-0.00028211+0.00029896i,-0.00037837-0.00034236i,0.00021334-0.00071018i,0.00022368-0.00034562i,0.00035145+0.00041388i
0.0028618-0.00035093i,0.0027529+0.00010712i,0.0014864-0.00060629i,0.00010943-0.00077098i,-0.00059677-0.00057154i,-0.00089436-0.00084614i,-2.176e-08-0.0004332i,0.00043865+4.3955e-05i,0.00013516+0.00022243i,0.00020099+0.00033715i,0.00020855+0.00053461i,3.1779e-06+0.00048661i,-8.8255e-05+0.0003717i,0.00012031+0.00029389i,0.00053824+0.00029259i,0.00071561-0.00015016i,0.00036799-3.9317e-05i,-6.3925e-05+0.00073355i,-0.00053048+0.00066791i,-0.00058688+0.00044351i,-0.00035832+0.0010431i,0.00017597+0.0015069i,0.0011336+0.0014763i
-0.00022722+0.00025563i,-0.00019873+0.00087492i,-0.00011231+0.00014417i,-0.00056756-2.9087e-05i,-0.0016201+0.00019248i,-0.0016078+0.00049105i,-0.00093191+9.8925e-06i,-0.00077754-0.00083646i,-0.00057409-0.00047874i,0.00012907+0.00070874i,-1.5555e-06+0.0010011i,0.00062723+0.00097747i,0.001281+0.00084998i,5.8442e-05+0.0011368i,-5.3427e-05+0.0010106i,0.00092515+0.00053227i,0.0010012+0.00059834i,0.00051527+0.0011571i,-0.00068958+0.0013605i,-0.0008401+0.00077975i,-0.0005011+0.00037692i,-0.00064441+0.00056926i,-0.0011559+1.5567e-06i
-0.0010337+9.2548e-05i,0.00014715+0.0016048i,0.00054544+0.00078766i,0.00042449-0.00031663i,0.00042123-0.0010921i,0.00014115-0.001644i,-0.00016148-0.00072909i,-0.00029874+0.00036181i,-0.00053999+0.00031253i,-0.0012277+0.00060228i,-0.00058902+0.00097726i,0.00061979-0.00016069i,0.00034661-0.00078576i,0.00025128-0.00062175i,0.00015573-0.000381i,-0.00098601+4.6473e-05i,-0.00081163-0.00016119i,0.0001792-0.00061967i,0.00093493-5.9946e-05i,0.00085719+0.00061188i,0.00020573+0.0005161i,4.9637e-05+0.00046407i,-5.3574e-05+0.00013641i
-0.0012476+0.0021329i,-0.0021269+0.0028436i,-0.0013203+0.0031191i,-0.00078787+0.0017678i,-0.00030576+0.00040556i,-0.00019504-0.00040804i,-0.00022701-0.00079071i,-6.5989e-05-0.00084554i,-0.00017499-0.00047937i,6.628e-06+0.00042308i,0.00060028+0.00066305i,0.00096462-0.00050109i,0.00066872-0.00086188i,0.00046548-0.00042374i,0.00051132-0.00070896i,0.00079687-0.0012268i,0.00077907-0.00080282i,0.00034542+0.00031855i,-0.00011555+0.0004748i,-0.00042791+0.00020736i,-0.00068034+0.0003822i,3.4672e-05+0.00053835i,0.00050027+0.00085832i
8.4978e-05-0.00051647i,-5.1253e-05-0.0006088i,0.00055047+0.0007548i,0.0006347+0.0012479i,2.2478e-05-0.00015936i,-0.0013343-0.0012964i,-0.0014621-0.0016383i,-0.0011711-0.0015379i,-0.001098-0.00066252i,-0.00052658-7.3204e-05i,0.00036342-0.00011043i,0.0012505+0.00052879i,0.001343+0.00066468i,0.0013812+4.5475e-05i,0.00082873+3.6267e-05i,0.00011276-0.00025734i,0.00018628-0.00060408i,0.0003483-0.00031717i,0.0002534-0.00034752i,-0.00025733-0.0010557i,-0.00041998-0.0014827i,-0.00049722-0.00074765i,-0.0006397-0.00027467i
0.0011146+0.0016874i,0.0013984+0.0010824i,0.0014917-5.0668e-05i,0.0017078-0.00056086i,0.0011942-0.00010578i,0.00020867+0.00022307i,-0.00010601+0.00035854i,-0.00022183+0.0003915i,-0.00039862+0.00016032i,-0.00047077-0.00023902i,-0.00014407+0.00056031i,0.00041334+0.00091649i,0.00062322-0.00032455i,0.00040212-0.0011595i,0.00083873-0.00070231i,0.00096537-0.00022912i,-0.00021895+0.00050517i,-0.00072378+0.00088723i,-0.00010122-9.359e-05i,4.4358e-05-0.00043706i,-0.00071337+1.8108e-05i,-0.0011507-0.00025976i,-0.00052484-0.00053409i
-0.00086299-0.00082134i,-0.001343-0.00075132i,-0.0025621-5.0592e-05i,-0.0021534+0.00018655i,-0.0011022+4.2539e-05i,-0.00076645-0.00041163i,-0.00013463-0.00088248i,-0.00017346-0.00099832i,-0.00097109-0.00027138i,-0.0011847+0.00094427i,-0.00037586+0.0011113i,0.00050738+0.00078206i,0.0003041+0.00062658i,-0.00010247+0.0002868i,-0.00044525-1.3873e-05i,-0.00037743-0.00033049i,0.00013864-9.0997e-05i,0.00048447+0.00043155i,0.00061998-0.00033742i,0.0010871-0.00095556i,0.00089466+0.00017507i,0.00025541+0.00062707i,-0.00026684+0.00036632i
-0.0016534+0.0018157i,-0.0014547+0.0029392i,9.0397e-05+0.0038776i,0.00071892+0.0022815i,0.00047866+0.00020341i,0.00034914-0.00077651i,5.5621e-05-0.0005142i,-0.00056338-0.00038708i,-0.00147-0.00039337i,-0.00094041+0.00044155i,0.00042366+0.0011955i,0.00041803+0.0010014i,-7.763e-05+0.00047655i,0.00017169+0.000121i,-0.00018002-3.2773e-05i,-0.00023953+0.00011222i,0.00045476+0.0004217i,0.0004365+0.00051274i,-0.00026411-0.00022612i,-0.00069313-0.00016926i,-0.0010446+0.00062361i,-0.0012423+0.00062165i,-0.00057193+0.00037666i
-8.0785e-05+0.0020151i,4.0388e-05+0.0028294i,-0.00012318+0.0027791i,0.00083331+0.0021298i,0.0013553+0.0014835i,-7.963e-05-9.1906e-05i,-0.00065073-0.0012226i,-0.00021334-0.00089873i,-3.8658e-05+1.782e-05i,-3.583e-05+0.00015538i,0.00018501-0.0003887i,0.00035168+0.0001375i,8.0716e-05+0.00051821i,-0.00084784+0.00077163i,-0.00089133+0.00071724i,-0.00021254+0.00041481i,-0.00035885-0.00015048i,-0.00091589-0.00017745i,-0.00061458+9.9374e-05i,9.5915e-05-0.0002728i,0.00014166+0.00027945i,0.0005203+0.00076016i,0.0002105+0.00052721i
0.00081441+0.0024306i,0.00077599+0.0023985i,0.0010192+0.0018082i,0.00057619+0.00011021i,-0.00012788-0.0007879i,-0.00087239-0.00076277i,-0.0010925-0.0012261i,-0.00051205-0.0010088i,-0.00024466+0.00026476i,-0.00019885+0.00073696i,0.00054597+0.00021197i,0.00061698-0.00067994i,0.00032746-0.00097861i,0.001101+8.0172e-05i,0.0010173+0.0005621i,-0.00014912-3.483e-05i,0.00018764+9.6078e-05i,0.00042438+0.0006129i,-0.0001109+0.00058085i,-0.00046815-4.6537e-05i,-0.00030248+0.00010519i,0.00012498+0.00088043i,-0.0001114+0.00058232i
-0.00053469-0.0025893i,-0.00047627-0.0023066i,-0.00099875-0.0019785i,-0.0020944-0.00090113i,-0.0029303+0.00027947i,-0.0021178+0.0011132i,0.00020277+0.00083202i,0.0010217-0.00045757i,0.00021031-0.00030575i,-0.0015036+0.00029108i,-0.0019882+0.000326i,-0.00081444+0.00013523i,-0.00070833-0.00019314i,-0.0012197-0.0006987i,-0.00060438-0.00059462i,-0.00079403+0.00028917i,-0.0005954+0.0003909i,3.5814e-05+0.00056968i,-3.0788e-05+0.00036391i,-1.3256e-05+7.2921e-05i,-0.00073016+0.00057199i,-0.00077158+4.7566e-05i,-0.00025784-0.00070399i
-0.00076441+0.00040183i,-0.00047208+0.00043718i,-0.0010577-0.00038965i,-0.00084403-0.001207i,-0.00066704-0.00097016i,-0.00038659-0.00057138i,-0.00030822-0.00097283i,-0.00014921-0.00038787i,-0.00034169+1.2513e-07i,-0.00038717-0.00032851i,-6.0785e-05-0.00010373i,0.00050385+0.00073204i,0.0007455+0.00084973i,8.6551e-05+0.00042186i,7.6466e-05+7.8182e-05i,0.00059178-0.00014843i,0.0008502+0.00022757i,0.00032506+0.00081193i,0.0003793+0.00070397i,0.0007347+0.00030219i,0.000266+6.3513e-05i,0.00022988-1.1401e-05i,5.5109e-05+2.5901e-05i
0.00098934+0.0003254i,0.0012035+6.2601e-05i,0.0008876-0.00079732i,0.00098838-0.00033488i,1.6783e-05-0.00041553i,-0.0015509-0.00082721i,-0.0015531-0.00028673i,-0.00077989+2.1353e-05i,-0.00046164+0.00015141i,-0.00031345+0.00089888i,0.00026447+0.0012434i,0.00052012+0.00019682i,0.00059751-0.00027151i,0.00042118-0.00042531i,0.00042487-0.00068591i,0.00087266-0.00047631i,0.00022235+0.00056743i,6.1273e-05+0.0010272i,0.00034753+0.00041319i,0.00033076+0.0003496i,0.00031082+0.00042827i,0.00032017+0.00050769i,0.00059306+0.00094713i
0.0016187-0.00050292i,0.0025607+9.8565e-05i,0.0026615-0.00031232i,0.001124-0.00045831i,-0.00082011-0.0010547i,-0.0013945-0.0013701i,-0.00068949-0.00014246i,0.00024403+0.00063311i,0.000551-9.1227e-06i,0.00099772-0.00046345i,0.0010437+0.0010873i,0.00051837+0.002155i,0.00014847+0.00096707i,0.00014707-0.00052381i,0.00018602-0.00063186i,0.00062424-1.9312e-05i,0.00054222+0.00032757i,-8.6807e-06+0.00081895i,0.00061505+0.00066397i,0.00064063+0.00055921i,-0.00010712+0.00020026i,-0.00038391-0.00067753i,-0.00036569-0.000893i
