-0.00090043+0.00076462i,-0.0012882+0.00022655i,-0.0027127+0.00026301i,-0.0020353+0.00086961i,-0.0011187+0.0024814i,-0.0011243+0.0031944i,-0.00065455+0.0029287i,0.00011828+0.0022475i,0.00010445+0.0012043i,0.0003228+0.0004526i,0.00014678-0.00045138i,-0.00047552-0.00059881i,-0.0009783+0.00019584i,-0.0012371+0.00012876i,-0.00094198-0.00011448i,-0.00081456-7.9266e-05i,-0.0014693-0.00035983i,-0.00085331-0.00014452i,0.00036834-0.00011526i,0.00074255-0.00041935i,-1.0385e-05-0.00036133i,-0.00043959-0.000193i,-0.00031201-0.0001227i
-0.00084168-0.00053704i,-0.00080157+0.00024086i,-0.00047398-9.5932e-05i,0.00042627-0.00070604i,0.00047642-0.0003305i,-0.00049524-0.00027786i,-0.001346+0.00012511i,-0.0020201+0.00043687i,-0.0019518-0.00029925i,-0.0010112-0.00010793i,0.00015283+0.00075204i,0.00083491+0.00076518i,0.00070781+0.00051487i,0.0010541-0.00070738i,0.0011228-0.0017878i,0.00046168-0.00128i,0.00066565-0.00050562i,0.0010708-0.00086181i,0.00072282-0.00089281i,1.1627e-05-0.0004549i,-0.00065874-0.00035089i,-0.0013298+3.648e-05i,-0.0013898+0.00045514i
0.0013685+0.00050764i,9.1479e-05+0.00028632i,-0.0014364-0.00059638i,-0.0024368-0.0013199i,-0.0028311+0.00020084i,-0.0029056+0.0011571i,-0.0029605+0.0018751i,-0.0024654+0.0025597i,-0.0013193+0.0015995i,0.00016379+0.00090735i,0.0010306+0.00080403i,0.0010268-0.00021762i,0.00087099-0.0011479i,0.0002307-0.0013719i,-0.00050673-0.0013278i,-0.00098079-0.0011186i,-0.00076635-0.00028405i,-0.00062482-7.2556e-05i,-6.0258e-06-2.4418e-05i,0.00036237+0.00034524i,0.00027912-0.00052227i,0.00051047-0.00086942i,0.00030665-0.00013835i
-0.00066322-0.0018634i,-0.0016841-0.0021444i,-0.0015327-0.00065875i,-0.0012091-0.00086309i,-0.0023987-0.0017275i,-0.0028818-0.00053697i,-0.00057282+0.001343i,0.0018476+0.0024445i,0.0019491+0.0018297i,0.001601+0.00071254i,0.00088313-0.00038433i,-0.00011644-0.0017609i,-0.00073772-0.0021538i,-0.0011203-0.0012156i,-0.001394-0.00053303i,-0.00054809-0.00011609i,-0.00043916+0.00032039i,-0.00085939-0.00040009i,-0.00044173-0.00054539i,-0.00041184+0.00039937i,-0.00094418-0.00021575i,-0.00078835-0.0010119i,-0.00016794-0.00018225i
-0.0019282-0.0012806i,-0.0011421-0.0019992i,-0.00053744-0.00085194i,-0.0015526+0.0001371i,-0.0014772+0.00068302i,-0.0011742+0.0024126i,0.00011998+0.0024597i,0.0027458+0.00095914i,0.0033465-0.00025271i,0.0024812-0.00097185i,0.001497-0.0010122i,-0.00028182-0.00024508i,-0.001681+8.7099e-05i,-0.002001+0.00045995i,-0.0015989+0.00061164i,-0.00074439+9.8436e-05i,0.00015156-0.00014287i,0.00024854-0.00039335i,-0.00031601-0.00067024i,-0.00035392-0.00017088i,-0.00013682-8.3503e-05i,-0.00045998-0.00013544i,-0.0012543+6.7969e-05i
0.0014768-0.00066652i,0.0015447-0.00098049i,0.0010565-0.0019445i,6.4632e-05-0.0025014i,-8.7111e-05-0.0024359i,-6.1194e-05-0.0019293i,0.00064404-0.0017156i,0.0014864-0.0021895i,0.00159-0.0031305i,0.0011604-0.0036707i,0.00073122-0.0028816i,-1.196e-05-0.0010777i,-0.00065358+0.00024432i,-0.00067651+0.00047222i,-0.0008376+0.0010931i,-0.00051549+0.00067993i,5.0309e-05-0.00033039i,0.00085189-0.00089956i,0.0011346-0.00036627i,0.00029255+0.00039358i,2.5542e-05+0.00036897i,0.00063851+0.0004748i,-7.9446e-05+0.00071915i
-0.0010937-0.0038437i,-0.0014207-0.0035384i,-0.0033205-0.0025299i,-0.0045412-0.00099045i,-0.0044805+0.00059445i,-0.0033507+0.0010231i,-0.002193-0.00087055i,-0.0018243-0.0032913i,-0.0023464-0.0035441i,-0.0021951-0.0027695i,-0.0013715-0.0015274i,-0.0011534-0.00034337i,-0.00099151+0.00060012i,-0.00040177+0.00046165i,-0.00050226-0.00031281i,-0.00093668-0.00016744i,-0.0004495-4.0815e-05i,-0.00046312-0.00086386i,-7.3538e-05-0.00080351i,0.00088526-6.1917e-05i,0.00037347-0.00012465i,-0.00018982-0.00021886i,-0.00030327+0.00041122i
0.0016989-0.0001194i,0.0023695-0.00041023i,0.0021922-0.00093848i,0.00077013-0.0005167i,-0.00048503-0.00010871i,-0.001524-0.00048494i,-0.002307-0.00090321i,-0.0033394-0.0014415i,-0.0034593-0.0015613i,-0.0025342-0.0014619i,-0.0014912-0.0012466i,-0.0002504-0.00095015i,0.00076225-0.00093341i,0.001294-0.00049843i,0.00050269-9.2274e-05i,1.4437e-05-0.0010104i,0.0011914-0.0012204i,0.00063345-0.00060365i,-0.00054693-0.0010527i,-0.00057621-0.0010244i,-0.00050656-7.9939e-05i,-0.00019124+0.00041273i,0.0002444+0.00057031i
-0.00099843-0.0044918i,-0.00192-0.0043956i,-0.0033005-0.0036117i,-0.0025387-0.00087265i,-0.0029245+0.00067711i,-0.0038141+0.0014404i,-0.0033839+0.0027837i,-0.0028786+0.0031698i,-0.002659+0.0027687i,-0.0021321+0.0024243i,-0.00070743+0.0017823i,0.00077182+0.00092353i,0.00068126-0.00039548i,-0.00041069-0.001273i,-0.00058251-0.0010507i,-0.00028133-0.000866i,-0.00058836-0.00087162i,-0.00092872-0.0001917i,-0.00044914+9.7166e-05i,-0.00028545-0.00028438i,-0.00030608-0.00034293i,-0.00068098+0.00011116i,-0.0013574+0.00094165i
-0.00095943-0.0027072i,0.00011025-0.0018352i,-0.00055988-0.0019115i,-0.001522-0.0020843i,-0.0016448-0.001513i,-0.002334+0.00040537i,-0.0021552+0.0028508i,-0.00094275+0.0039924i,-0.00054817+0.003711i,-0.00014328+0.0022579i,0.00068261+0.00079285i,0.00026291+8.4654e-05i,-0.0010919-0.00074346i,-0.0014266-0.0010265i,-0.0012811-0.00080212i,-0.0014396-0.0006013i,-0.0016045-4.9189e-05i,-0.0016518+0.00029668i,-0.0011586+0.00050712i,-0.0006419+0.00083462i,-0.00087466+0.0012832i,-0.00062288+0.00086553i,0.00062442+0.00063533i
-0.00053552-0.0014444i,8.0277e-05-0.0020156i,-0.00093967-0.0018463i,-0.00093144-0.00074542i,-0.00075609-8.091e-05i,-0.00040868+0.00033477i,0.00071056+0.00089744i,0.0021025+0.0015938i,0.0031897+0.0014005i,0.0032+0.00053414i,0.0018471-0.00049644i,-4.5505e-05-0.0019368i,-0.0016406-0.0021977i,-0.0025923-0.0010922i,-0.0023637+0.00010957i,-0.0012231+0.00037378i,-0.00034497-0.00079742i,-0.00013127-0.00080671i,-0.00066529-0.00056324i,-0.001087-0.0013114i,-0.00068346-0.00067321i,-9.074e-05+0.00042871i,0.00022606+0.0008038i
0.00061423+1.7078e-05i,-0.00060946-0.00032446i,-0.00040639-0.00011048i,-0.0013091-0.00029128i,-0.0022056-0.00043486i,-0.0021692+0.0001997i,-0.00045867-0.0001671i,0.0017093-0.0010952i,0.0030723-0.0018209i,0.0028757-0.0023601i,0.0016193-0.0026619i,0.00014089-0.0024113i,-0.0014002-0.0011601i,-0.001081+0.00048857i,-7.7456e-05+0.0011694i,6.113e-06+0.000758i,-0.00049559-0.00011985i,-0.00057042-0.00051714i,-0.0010738-0.00039989i,-0.00062969+0.0001743i,0.00064688+0.00051753i,0.00032573+0.00077511i,-0.0007101+0.00049704i
-0.0017224-0.00055729i,-0.00033843-0.0017669i,0.00036709-0.0019518i,0.00011118-0.0010016i,-0.0005824-0.0009193i,-0.0012058-0.0014908i,-0.00068894-0.0024i,0.00097187-0.0039439i,0.0012114-0.0046288i,0.00032841-0.0037111i,-0.00061237-0.0022978i,-0.0017984-0.00062602i,-0.0017599+0.0015931i,-0.00076229+0.0023391i,-0.00031066+0.0013256i,-0.00044174+0.00041447i,0.00016354-0.00042955i,0.0012247-0.00064521i,0.0012866+0.00067907i,0.0010207+0.001702i,0.00061384+0.0010913i,0.00024403+0.00017706i,0.00039343-0.00058254i
0.0012881+0.0021475i,0.00106+0.0013888i,8.3861e-05+0.00044357i,-0.0006851+0.00037381i,-0.0021168-0.00016062i,-0.0040677-0.0014549i,-0.0037527-0.0024041i,-0.0035027-0.0041446i,-0.0036162-0.0044469i,-0.0026084-0.0029467i,-0.00091427-0.00096011i,2.034e-05+0.00016826i,0.0014062+0.0010305i,0.0023504+0.00025093i,0.0021005-0.0012411i,0.001192-0.0010951i,0.00023151-0.00078308i,-0.00047228-0.00050271i,-0.00096895-0.00034081i,-0.0004102+0.0003307i,-0.00066798+0.00045318i,-0.0013741+0.0002406i,-0.0011194+0.00061025i
-0.00081865-0.00070291i,-0.00042091-0.00073392i,-8.7066e-06+0.00034911i,-0.00070513+0.00077591i,-0.0020393+0.00028507i,-0.0031552+0.0010543i,-0.0038002+0.0013485i,-0.0043514+0.0002902i,-0.0044423-0.00058496i,-0.0039392-0.00015892i,-0.0023378+0.00023974i,1.1322e-05+0.00057644i,0.0014769-0.00056519i,0.0017495-0.0020628i,0.0011584-0.0013922i,0.0002068-0.0012867i,-0.00021836-0.0015674i,4.5933e-05-0.0009195i,0.00030918-0.00063612i,0.00016757-0.00068979i,0.00030493-0.0010512i,7.121e-05-0.0009484i,-0.00050178-6.5552e-05i
0.0017626+0.0014775i,0.0020436+0.001947i,0.0016481+0.001392i,0.00021435-6.1776e-05i,-0.00047705-0.0013338i,-0.0009825-0.00068497i,-0.002524+0.0020455i,-0.0038506+0.0039415i,-0.0027592+0.0037926i,-0.0005553+0.0029047i,0.00054205+0.0013035i,0.0010401-0.00057265i,0.0013408-0.0016437i,0.00044152-0.0023225i,-0.00093089-0.0019358i,-0.0010209-0.00096065i,-0.00078591-0.00092051i,-0.00067739-0.0010056i,-0.00039207-0.00041318i,-0.00027833+0.00028654i,-0.00037174-0.00011332i,9.213e-05-0.00079361i,0.00033615+0.00020802i
0.00088572-0.00063659i,0.00032511-0.0013291i,-0.00044517-0.0015793i,-0.0001503-0.0012969i,-0.0008983-0.00091988i,-0.0025082+0.00052811i,-0.0019583+0.0025494i,0.00033489+0.0036314i,0.0013158+0.0038085i,0.0014884+0.0023324i,0.001599+0.00078868i,0.0006065-0.00073863i,-0.0010851-0.0021992i,-0.0018839-0.0020713i,-0.001501-0.0013402i,-0.0011909-0.00096636i,-0.00097311-0.00073921i,-0.00051001-0.0006566i,0.00014035-0.00067702i,-0.00019287-0.00081142i,-0.00035176-0.0010463i,-3.009e-05-0.00028524i,-0.00045014+0.00015726i
-0.00082639+0.00029698i,-0.0014679+0.00014666i,-0.0028727-0.00039624i,-0.0042098-0.00016043i,-0.0042658+0.00073184i,-0.0024466+0.0014803i,0.00082619+0.0020309i,0.0036509+0.002505i,0.0048728+0.0010879i,0.0041315-0.00097992i,0.002644-0.0015444i,0.0011741-0.0016629i,-0.00067675-0.0011488i,-0.0016752+0.00024905i,-0.0012777+0.00099235i,-0.00050185+0.00071856i,6.6394e-05-0.00023479i,0.00024708-0.00055781i,0.00015545+1.6223e-05i,-8.4775e-05+0.00046382i,-0.00080841+0.00052408i,-0.0011015+0.00044945i,-0.00075409+0.00058084i
-0.0012695+0.00041806i,-0.0014044+0.00014051i,-0.00068051-0.0004004i,0.00050012-0.0012901i,0.00070853-0.0022157i,0.0007246-0.0017348i,0.0019948-0.0015183i,0.0041255-0.0027765i,0.003933-0.0039111i,0.0013566-0.0037187i,0.00012037-0.0022312i,-0.00024796-0.0011805i,-0.00095873+0.0004426i,-0.0007112+0.0016782i,0.00028287+0.0019473i,0.00066878+0.0014318i,0.0006639+0.00055304i,5.4933e-05-0.00077652i,-0.0007841-0.0014524i,-0.00070627-0.0004908i,-0.00076042+0.00053936i,-0.00063151+0.00051598i,-0.00026189-0.0001182i
-0.00095237+0.00050945i,-0.0014372-0.00011082i,-0.0022417-0.00050763i,-0.002778+0.00046071i,-0.0024689+0.0010359i,-0.0018394+6.3154e-05i,-0.00051723-0.0019157i,1.359e-05-0.0043361i,-0.00097526-0.0049103i,-0.0015625-0.0032537i,-0.001064-0.0010336i,-0.00078778+7.8119e-05i,-0.00080586+0.00022584i,0.00018089+0.0002803i,0.00098371-0.00044267i,0.00081249-0.0011947i,0.00023935-0.001798i,-0.00012108-0.0012953i,-0.00038735+0.00039003i,-0.00055521+0.00074063i,0.00010696+0.0004408i,0.00038266+0.00013002i,-0.00038051-0.0001165i
-0.0015702-0.0014696i,-0.0013385-0.0012446i,-0.0016568-0.0020454i,-0.002106-0.0017575i,-0.0024271-0.001705i,-0.0030025-0.002864i,-0.0035966-0.0036378i,-0.0041519-0.0044852i,-0.0044188-0.0041279i,-0.004087-0.0013944i,-0.0026335+0.00067041i,-0.0010779+0.00086524i,-4.3656e-05+0.00051702i,0.0010241-0.00044131i,0.001587-0.00096172i,0.0012561-0.00035598i,0.00062818+9.2193e-05i,4.7304e-05+0.00047022i,1.2682e-05+0.00055184i,0.00075661+0.00013791i,0.0013591-9.698e-05i,0.00094832-0.00016665i,-0.00037643-0.00020267i
-0.00066175+0.00047525i,-0.0016977+0.00096896i,-0.0020526+0.0012244i,-0.0017779+0.00077452i,-0.0018224+0.00049509i,-0.0028758+8.1245e-05i,-0.0050556+0.00038398i,-0.006259+0.0017013i,-0.0047711+0.0022101i,-0.0016687+0.0015673i,0.00060798+0.00047381i,0.0012839-0.00022985i,0.0011752-0.0014703i,0.00083693-0.0024485i,0.00075606-0.0016577i,0.000557-0.0012004i,2.713e-05-0.0017018i,-0.00013636-0.0014517i,0.0004434-0.00041829i,0.0014444-0.00015184i,0.0014298-0.00024954i,0.00032225-0.00049145i,-0.00053819-0.0012352i
-4.5717e-05-0.00032303i,0.0014968-0.00029947i,0.0023105-0.0011345i,0.0025158-0.0018304i,0.00096157-0.0016821i,-0.0021221-0.00077107i,-0.0036682+0.0014032i,-0.0030774+0.0039829i,-0.0010625+0.0048638i,0.00076553+0.0033678i,0.0014014+0.0017877i,0.0013606+0.00065626i,0.00035024-0.00049841i,-0.00057838-0.0012756i,-0.001133-0.00026496i,-0.00080265+0.00050733i,-0.00013114+7.1742e-05i,6.4113e-05-2.5243e-05i,0.00017101-0.00071778i,0.00037954-0.0014437i,0.00032314-0.00070693i,-1.0432e-05+0.00026511i,-0.00064895-1.7994e-05i
-0.001206-0.00025721i,-0.0018326+0.00022029i,-0.0032574+0.00016883i,-0.0048479+0.00098876i,-0.0039461+0.0019034i,-0.0024574+0.0027978i,-0.00065832+0.0043648i,0.0019965+0.0052584i,0.003762+0.0039813i,0.0037404+0.0017508i,0.0024275-0.00014132i,0.0013362-0.0011906i,0.00048972-0.0017886i,-0.00024411-0.0014091i,-0.00042198-8.0961e-05i,-1.3731e-05+7.1537e-05i,-9.9949e-05-0.00019981i,-0.00056095-0.00028401i,-0.0010537+5.7501e-05i,-0.0010657+5.2284e-06i,-0.0013799+0.00055962i,-0.001837+0.0013656i,-0.0014965+0.00043868i
-0.0018323+0.00041454i,-0.0017524+0.00051486i,-0.0010889+7.5384e-05i,-3.6448e-05-0.0010547i,0.00047479-0.0021026i,-0.00027535-0.00049756i,0.00052011+0.00090993i,0.0030865+6.5285e-05i,0.0043698-0.0017791i,0.0028506-0.0024109i,0.0011596-0.0017058i,0.00021928-0.00027747i,-0.00041567+0.00021238i,-6.6042e-05+0.00042904i,0.00076071+0.00089067i,0.00048751+0.00015895i,-0.0007177-0.00049378i,-0.00071263-0.00065964i,-0.0002762-0.0008118i,-0.00024134-0.00066367i,-0.00096891-4.0699e-05i,-0.0015388+0.00051518i,-0.0005377-1.0238e-05i
-0.0005709+0.0013388i,-0.0017449+0.00065035i,-0.0033569+0.0010576i,-0.0030471+0.0018927i,-0.0018687+0.0010646i,-0.00075753-0.00071192i,0.00075513-0.0018223i,0.0025588-0.0034974i,0.0027088-0.0050981i,0.00063929-0.0044226i,-0.00033244-0.002398i,0.00021224-0.00098962i,-5.1119e-06-0.00042604i,0.00063524+5.5166e-05i,0.0015275+0.00039753i,0.0013867-0.00044753i,0.00076203-0.00075769i,-2.8899e-05-0.00051889i,1.7651e-06-0.0003916i,0.00032473-5.8558e-05i,-0.00012398+0.00021043i,-0.00033979+0.00027651i,-0.0004466+0.00045673i
0.001581+0.0019789i,0.0017014+0.001026i,0.0028768-0.00045874i,0.0014554-0.0021989i,-0.0015328-0.0035773i,-0.0037662-0.0035547i,-0.0034016-0.0028785i,-0.0021445-0.0035805i,-0.0023075-0.0038431i,-0.0020521-0.0023468i,-0.00095544-0.001043i,-0.00013391-0.00053119i,0.00012855-0.00051373i,0.00043111-0.00043963i,0.00030091-0.00086946i,-0.00025075-0.0015423i,-0.00023649-0.0016456i,-0.00020466-0.00099022i,-0.00059735-0.00017103i,-0.00083402+0.00011186i,-0.0004973+0.00020964i,-0.00022165+0.000453i,-0.00027987+0.00044432i
-0.00038079-0.0020614i,-0.0017-0.00152i,-0.0034116+0.0002286i,-0.0031066+0.0012373i,-0.0011233+0.001571i,-0.0012002+0.0013394i,-0.0033787-0.00022057i,-0.0052698-0.0015881i,-0.0052858-0.00093911i,-0.0029985+0.00032191i,-0.00082988+0.00063588i,-0.00028505+2.3047e-06i,0.00041192-0.00093525i,0.00071518-0.00085912i,0.00058704-0.00084464i,0.00011679-0.0011787i,-0.00053712-0.0011666i,-0.00089421-0.0015935i,-0.00036826-0.001029i,0.00053793+0.00062432i,0.0006991+0.00079347i,0.00038333+0.00059329i,-6.745e-05+0.00094936i
0.0018483+0.0010911i,0.0024699+0.00037464i,0.0037056+3.3782e-05i,0.0033122-0.0019534i,0.0011673-0.0029599i,-0.0018428-0.0018558i,-0.0043949-0.00044493i,-0.0048888+0.0013852i,-0.0028221+0.0033136i,-0.0001192+0.0033784i,0.0013677+0.0013726i,0.0017043-0.00047069i,0.0013773-0.0010405i,0.00024203-0.0010172i,-0.00090609-0.00058064i,-0.00098265-0.00028662i,-0.00064964-0.00056736i,-0.000499-0.0010654i,-2.0124e-06-0.0010435i,2.6801e-05-0.00092227i,-0.0013849-0.0014093i,-0.0016427-0.0013097i,-0.00071713-0.00061509i
-0.0015573-0.001658i,-0.0017659-0.0013349i,-0.0017807+3.8539e-05i,-0.0017684+0.00070636i,-0.0012182+0.00076466i,-0.00092692+0.0020936i,-0.00099445+0.0042259i,-0.00041551+0.0051326i,0.0013269+0.0039101i,0.0025553+0.001288i,0.0017791-0.00045064i,4.2911e-05-0.00044543i,-0.00071145-0.00015509i,-0.00077256-0.00040175i,-0.0010381-0.00041993i,-0.00074346-0.0007925i,-0.00029999-0.00079638i,0.00039969-0.00095893i,0.0010596-0.00063889i,0.00028701+3.7961e-05i,-0.00036915-5.1617e-05i,-0.00075695-2.6005e-05i,-0.00082575+0.00031088i
0.0015053+0.0028038i,0.0022252+0.0014916i,0.0026054+0.00040798i,0.0011342-0.001795i,-0.00068848-0.0030723i,-0.0024653-0.0014353i,-0.0019236+0.001455i,0.0014586+0.0024314i,0.0039141+0.00108i,0.0035184-0.0005243i,0.0024963-0.001217i,0.0018855-0.00082592i,0.0009766-0.00030309i,-0.00052634-0.00036897i,-0.00075803-0.0005029i,0.00035161-0.00073216i,0.00074573-0.00075232i,0.00050378-0.00037485i,0.0011315-0.00092665i,0.00088792-0.00085127i,0.00026331+0.0003826i,-6.5913e-05+0.00055569i,0.00027431+0.00037974i
0.0014056-0.0019951i,-0.00058697-0.0037681i,-0.0036577-0.0028314i,-0.0048738-0.00071748i,-0.003726+0.00066808i,-0.0017287+0.00083113i,0.00085688+0.00022183i,0.0037172-0.0013773i,0.0042353-0.0035142i,0.0017707-0.0032343i,-0.00035526-0.0019058i,8.45e-05-0.0015979i,0.00014893-0.00056017i,-0.00039163+0.00073662i,-0.00068269+0.00035295i,-0.00086189-0.00050615i,-0.00078737-0.00066429i,-0.00070568-0.00094471i,-0.00043721-0.00079003i,-0.00041348-3.4008e-05i,-0.00098004-0.00010328i,-0.00095142-0.00036932i,-0.00041686-0.00043762i
0.0041849+0.00065556i,0.0047968+0.0014309i,0.0049114+0.00071067i,0.0031578-0.0011496i,3.9811e-05-0.0020504i,-0.0022132-0.0025725i,-0.0014933-0.0039412i,0.00051281-0.0057522i,0.00068196-0.0059534i,0.00054612-0.0029442i,0.00066604-8.8155e-05i,8.7573e-05+0.00037176i,-0.00039281+0.00026433i,-0.00077081+0.000514i,6.5466e-05+0.00046838i,0.00059434-0.00038223i,-0.00022161-0.00057468i,-0.0010423-0.00080355i,-0.0017045-0.0006751i,-0.001467+0.00023733i,-0.00034724+0.00014236i,0.00036379-0.00020276i,-0.00031187+0.00029578i
0.00067113-0.0019005i,0.00037417-0.002172i,-0.00061107-0.0017721i,-0.0019131-0.00080144i,-0.0019416+6.0716e-05i,-0.0017666+1.041e-06i,-0.0023725-0.0015494i,-0.003383-0.0037653i,-0.0038202-0.0046506i,-0.0021369-0.0025735i,-0.00039514-0.00049113i,-0.00049421-0.00014618i,-0.00020632-0.00046878i,0.0008813-0.00030444i,0.00076577+7.1904e-05i,0.00023369-0.00047246i,-0.0002058-0.0009668i,-0.00049756-0.00076555i,-6.9531e-05+0.00017189i,0.00016356+0.00099604i,0.00031406+0.001805i,7.648e-05+0.0018109i,4.7511e-05+0.00086766i
0.0013965+0.0006296i,0.0011057+0.00075581i,0.0019633+0.00087156i,0.0020393+0.00032817i,-0.00050275-0.0014065i,-0.0033736-0.0029372i,-0.0051538-0.0023374i,-0.006681-0.0011727i,-0.0063847-0.00017571i,-0.0030177+0.00085596i,-0.00033178+1.3818e-05i,0.00044838-0.00024548i,0.0010566+0.00074756i,0.0014527+1.667e-05i,0.0013804-0.00014i,0.00047353+0.0006509i,0.00020426+0.00026379i,0.00020401-0.00026359i,-0.00031508+0.00045225i,-0.00046462+0.00068089i,-0.00082851-0.00013367i,-0.0010594-0.00014343i,-0.0011569+9.8149e-05i
-0.00028353+0.0011461i,-0.0010902+0.00042819i,-0.0029299+0.00012433i,-0.0029953-0.00052142i,-0.0013269-0.0011434i,-0.001415-0.00055917i,-0.0040083+0.0016856i,-0.0054059+0.0039593i,-0.0030753+0.0047895i,3.8151e-06+0.0023072i,0.00094256+0.00019354i,0.0003977-0.00021475i,0.00032987-0.0012025i,0.00022814-0.0013127i,-0.00056807-0.0015491i,-0.0008608-0.001726i,-0.00072413-0.00085377i,0.00018889-0.00026157i,0.0010026-6.0798e-05i,0.0010478-0.00020295i,0.0008285-0.0002054i,2.2137e-05-0.00014232i,-0.00020155+0.00024742i
0.0016852+0.0019642i,0.0013938+0.001174i,0.001553+0.00092166i,0.00018355+0.00041476i,-0.0027001-0.0012161i,-0.0046755-0.00090895i,-0.0039388+0.0026757i,-0.0003942+0.005841i,0.0023445+0.0054753i,0.002262+0.0023672i,0.0017068-5.7446e-05i,0.0011294-0.00082057i,0.0011085-0.0013465i,0.00076669-0.0023397i,0.00034114-0.0028677i,6.4477e-05-0.0027671i,-0.00026904-0.0022131i,-0.00052722-0.0013504i,-0.00097905-0.0014316i,-0.0005829-0.0015665i,-0.00090433-0.00070867i,-0.00088115+0.00018041i,0.00012858+0.00086963i
-0.0013134+0.00046988i,-0.0023158+0.00040263i,-0.0020777+0.00023515i,-0.0025967-0.00013413i,-0.0027368+0.00067706i,-0.00096952+0.0023256i,0.0010994+0.0032023i,0.00472+0.003479i,0.0061773+0.0014035i,0.0033552-0.00118i,0.0014129-0.0015464i,0.0010926-0.0011212i,0.00046028-0.0019703i,-0.0013544-0.002768i,-0.0018509-0.0017398i,-0.00073288-0.00095953i,-0.00054076-0.0010294i,-0.00027734-0.0013636i,-0.00011648-0.00070366i,-0.00037974-0.00040724i,-0.00040498-6.5727e-05i,-0.00061568+0.00065621i,-7.2087e-05+0.0013185i
0.0030332+0.003556i,0.0036882+0.0043353i,0.002991+0.0051532i,0.0021158+0.0032743i,0.0006068+0.00023863i,-0.00023327-0.0012828i,0.0023466-0.00059039i,0.0048154-0.0013789i,0.0046794-0.0034302i,0.0029084-0.0025655i,0.0016654-0.00069993i,0.0015142-0.00086594i,8.0264e-05-0.00098071i,-0.0010124-9.3863e-06i,-0.0002456+0.00038973i,-0.00050917-4.2781e-05i,-0.00104-0.00036967i,-0.00087239-0.000413i,-0.00068261+0.00031828i,-0.0010664+0.0013129i,-0.0014922+0.00093658i,-0.00048173+4.1299e-05i,0.00083038-0.00049031i
0.00045972-0.0010741i,0.0009682-0.0021633i,0.00021347-0.0022394i,-0.00013424-0.0017124i,0.00012825-0.0012944i,8.8397e-05-8.2234e-05i,0.00074511-0.0016069i,0.0016017-0.0051708i,0.00084383-0.0059704i,7.0128e-05-0.003297i,0.00076161-0.00062604i,5.7115e-05-0.00063011i,-0.0013223-0.00087138i,-0.00078371+0.00054425i,-0.00027436+0.0014268i,-0.00018893+0.0012362i,-0.00010536+0.00055173i,-0.00027431-0.00011954i,-0.00015819+0.00018942i,-0.00010713+0.0010356i,-0.00059567+0.00086391i,-0.00035846+0.00010836i,-1.3969e-05-0.00028274i
0.0019547+0.0017884i,0.0019974+0.0016253i,0.0020535+0.0022201i,0.00034221+0.0024423i,-0.00043364+0.00078792i,-0.00066361-0.0016421i,-0.0020871-0.0034592i,-0.0037014-0.0048681i,-0.0036453-0.004441i,-0.0019073-0.0025426i,-0.00038154-0.0015993i,-0.0002694-0.0010351i,5.4052e-05-0.00028716i,0.00013055+0.0005027i,0.00023686+0.0012911i,0.00088601+0.00096266i,0.0018041-0.00030892i,0.0013711-0.0008634i,-0.00071519-0.00047487i,-0.00081692+0.0004724i,0.0003042+0.00047025i,4.213e-05-0.00042793i,-0.00073354-0.00089858i
0.0021431-0.00091751i,0.0020102-0.0014287i,0.0030096-0.0029022i,0.001572-0.0034166i,-0.00098046-0.0029547i,-0.0033183-0.0027658i,-0.005293-0.0020269i,-0.0065559-0.0010903i,-0.005959-0.00016551i,-0.0024639+0.0001598i,0.00046399-0.00019809i,0.0011463-1.2732e-05i,0.0015329+7.3849e-05i,0.0019284-0.00061451i,0.002219-0.0013507i,0.002523-0.0011809i,0.0023479-0.0012605i,0.001201-0.0017307i,0.00061015-0.00096129i,0.00044621-0.00030196i,0.00054591-8.3839e-05i,-0.000518+0.00068115i,-0.0017798+0.00093062i
0.0018784-0.00082505i,0.001377-0.00094879i,0.00063211-0.00061405i,-0.00085279+0.00060284i,-0.0022826-3.4588e-05i,-0.0031513-0.00043328i,-0.0040181+0.0016081i,-0.0037766+0.0036839i,-0.0023905+0.0043059i,-0.0013985+0.0026564i,-0.0010603+0.0011636i,-0.00020952+0.00093374i,0.0010924-0.0003651i,0.0012051-0.0020641i,-0.00031828-0.0024452i,-0.00086232-0.0029484i,-0.00043791-0.0023393i,-0.0010799-0.0010554i,-0.00099681-0.00045558i,-0.00039626-0.0004454i,-0.0002235-3.4077e-05i,-0.00045434+0.00041827i,-0.00027625+0.00024287i
-0.0028858-0.00011817i,-0.0021651-0.0014732i,-0.0029709-0.0010614i,-0.004587-0.00078185i,-0.0038773-0.00020187i,-0.0036674+0.0011524i,-0.0042186+0.0028931i,-0.001712+0.0054568i,0.0015054+0.0055563i,0.0015518+0.0026693i,0.00087922+0.0010465i,0.001938+0.00030763i,0.0025074-0.0012239i,0.00085333-0.0017064i,-0.00093211-0.00054103i,-0.0019843-0.00080028i,-0.0017693-0.0014564i,-0.00052472-0.00095932i,4.8752e-05-0.00032068i,8.2435e-05+0.00014583i,0.00075438+0.00041028i,0.00073549+0.00014095i,0.00013479+0.00018442i
