0.00045451+0.00026006i,0.0018277-0.0023034i,-0.00022509-0.003906i,-0.0019745-0.002771i,-0.0020733-0.00017165i,-0.0017986+0.0019915i,-0.0012183+0.0034362i,0.00035475+0.0028128i,0.0014748+0.00089367i,0.0017405+0.00016618i,0.0010353+0.0005174i,0.00027365+0.00077953i,0.00018445+0.00043264i,7.1034e-05-0.00036459i,0.00085634-0.00047315i,0.00088889-0.00062251i,0.00052752-0.00081382i,0.00020276-0.00068563i,0.00017353-0.00058628i,0.00041863-0.0001338i,0.00015163-0.00049181i,-0.00038673-0.0005253i,-0.00041451+0.00032736i
0.0034645-0.0014756i,0.0028341-0.0018782i,0.00087927-0.0022527i,-0.00037222-0.0017953i,1.9802e-05-0.0017773i,0.0015451-0.00086323i,0.0017525+0.00065806i,0.0018325+0.00076005i,0.0013756+0.0004396i,0.00049876-2.5266e-05i,0.00032126-0.00033997i,0.00013479-0.0006286i,-0.00023481-0.0007008i,-0.00019252-0.00013987i,-0.0003554-2.2564e-05i,-0.00048309+0.0004071i,-7.8353e-05+0.00037026i,8.3296e-05-0.00023011i,0.00028279-0.00022429i,0.00025647+0.00092804i,2.7579e-05+0.0013673i,0.00070675-7.294e-05i,0.0013496-0.0008319i
-0.00024466-0.0025141i,0.00040903-0.0026432i,-0.00045657-0.002059i,-0.0012259-0.0016096i,-8.8643e-05-0.00083457i,0.0012491+0.00032239i,0.0018303+0.00087663i,0.0018103+0.0010173i,0.00083644-4.6681e-05i,8.1232e-05-0.00028664i,-0.00033412+0.00078093i,2.3249e-05+0.0010063i,0.00054265+0.00069441i,0.00064782+0.00042451i,4.0222e-05-0.0002673i,-0.00038931-0.00079522i,-0.00015871-0.00014982i,-0.00015091+0.0003017i,0.00020867+5.7436e-05i,0.00011316-0.00010483i,-0.00078637-0.00039013i,-0.00026802-0.00088568i,-1.8963e-05-0.00064829i
0.00045208-0.0016929i,0.00086193-0.0014448i,0.00062182-0.0016978i,0.0002594-0.0016724i,-0.00018275-0.00066509i,-0.00025903+0.00015205i,-0.00057763+0.00055226i,-0.00024306+0.00052862i,-2.4044e-05+0.00034017i,-0.00093475-0.00035827i,-0.00039731-0.0010932i,0.00094755-0.00092287i,0.00079421-0.00039408i,0.00041598-0.00017164i,0.00044928-0.00052357i,6.0684e-05-0.00065916i,-0.00076122-0.00028472i,-0.0006452-0.00035963i,0.00021726-0.00059205i,-0.00015003-0.0001797i,-0.00069988-0.00018218i,-0.00049872-0.0001187i,-0.00029931+0.00024074i
0.00094971-0.0025408i,0.00041312-0.0031724i,-0.00082209-0.0037103i,-0.00080035-0.0035435i,-0.00057499-0.0013046i,-0.00086774+0.00049247i,-0.00021584+0.0012584i,0.00086367+0.0013831i,0.00041194+7.7723e-05i,-5.8547e-05-0.00065366i,0.00043442-0.0003779i,0.00023498-0.00047046i,0.00018752-0.00039707i,0.00011781-0.00012511i,-0.00010234-0.00064627i,0.00020031-0.00052945i,0.00078196-0.00017992i,0.00075779+0.00014924i,0.00034558+0.00024443i,0.00030408-0.00038924i,-8.3481e-05-0.0002087i,-0.00019956-1.3125e-06i,1.9627e-05-5.548e-05i
0.001343+0.0017918i,0.00095671+0.0019954i,0.0020637+0.0012089i,0.002373-0.00015442i,0.0020723-0.0015433i,0.0014573-0.0016295i,0.0012042+0.00037397i,0.0019376+0.00080877i,0.0023086-0.00055762i,0.0015554-0.0012663i,0.00079379-0.00064945i,0.00054609-1.8703e-05i,0.00047187-1.9017e-05i,-0.00036238-3.112e-05i,-0.00080759-2.0464e-05i,-0.00077643-6.1306e-05i,-0.00065711-0.00044156i,-0.00021199-0.00047042i,-0.00010234+0.00051602i,-0.00014094+0.0011923i,-0.00050636+0.00087314i,-0.00057768-9.23e-06i,-6.389e-05-5.7353e-05i
-0.00086232+0.0001105i,-0.00075939-0.00064643i,0.00010771-0.0012381i,0.00018311-0.0021489i,0.00041734-0.0018619i,-4.0108e-05-0.0010305i,-0.00056604-1.3694e-05i,-0.00047769+0.0010124i,-0.00024405+0.00067458i,-0.00032099+2.5457e-05i,0.00025827-0.00048951i,0.00072505-0.00040351i,0.00038875-0.00035447i,0.00035553-0.00010539i,8.6317e-05+0.00015304i,3.505e-05-0.000252i,0.00011316-0.00031481i,0.00028274-0.00030172i,8.947e-05-0.00020133i,0.00034301-0.00065884i,0.00083617-0.00097347i,0.00079222-0.00067409i,4.1916e-05-0.00013435i
0.0014371-0.0010784i,0.0019599+0.00056864i,0.0019345+0.0012218i,0.0009834+0.00026847i,0.0008202-0.00034351i,0.00076794+0.00034607i,0.0001325+0.0012285i,0.00092273+0.00014127i,0.001184-0.00095163i,0.00037612-0.00063442i,8.7861e-05+0.00017032i,0.00083072+8.3413e-05i,0.0008555-0.00046894i,0.00027008-0.00063711i,0.00077623-0.00066193i,0.00047696-0.00081664i,-0.00012326-0.0010397i,9.2955e-05-0.0006113i,0.00019215+0.00082908i,0.00067662+0.001244i,0.0011876+0.00047234i,0.00042077+0.00037057i,-0.00012693+0.00074222i
-0.00073629-0.0018939i,-0.0015129-0.0029864i,-0.0026397-0.0030451i,-0.0025044-0.0012012i,-0.0016656+0.00061304i,7.737e-05+0.00094173i,0.00028358+0.00080658i,-9.7581e-06+0.00040063i,5.8766e-05-0.00045475i,0.00065067-0.00029814i,0.00039758+0.00035941i,-0.00052543+0.00038832i,-0.00069775-5.9829e-05i,-0.00021253-0.00020342i,0.00051369-7.6908e-05i,0.00093826-0.00038032i,0.00022361-0.00039081i,-8.8696e-05+2.3452e-05i,0.00012364+0.00054233i,0.00034+0.00068485i,1.8831e-05+0.0004569i,0.00037093-0.00066204i,0.00054828-0.00047851i
0.0018137+0.0007623i,0.0015168+0.00046586i,0.0020846-0.0018087i,0.0015637-0.0027424i,0.00063141-0.0024164i,0.00093449-0.0014972i,0.0011876-0.00018445i,0.00058395+0.00038278i,8.1355e-06-0.00030076i,-0.00023498-0.00082645i,-0.0002462+0.00021104i,6.9864e-06+0.00094647i,-0.00012757+0.00044242i,5.3329e-06-4.0833e-05i,-0.00041192-0.00073065i,-0.00068223-0.0010804i,-0.00034687-0.0010155i,0.00021535-0.0012443i,0.0010868-0.0010514i,0.00096269-0.00054755i,0.00038069+3.8693e-05i,0.00088514+0.00021324i,0.00074213+0.0003001i
0.0026765-0.00063134i,0.0023824-0.0012307i,0.00048417-0.0028488i,-0.001943-0.004026i,-0.0027164-0.0032467i,-0.0024383-0.0010254i,-0.0011617+0.00029842i,0.0001705+0.0002231i,0.00063424-0.00028976i,0.00052274-0.00045235i,-0.00020826-0.00054261i,-0.0004657-0.0004543i,0.00023344-0.00027105i,0.0006322+0.00013038i,0.00037019+8.0714e-05i,6.5764e-05-0.00022396i,-0.00044839-4.8454e-05i,-0.00059207-0.00049385i,-0.00084603-0.0011634i,-0.0010391-0.00053763i,-0.00038518-8.1523e-05i,0.00037749-0.00063381i,0.00039191-7.9835e-05i
