0.001443-0.00024342i,0.001269-0.00094309i,-9.8215e-05-0.0018853i,-0.0019417-0.001364i,-0.0038242+0.00017504i,-0.0038403+0.0024705i,-0.0014447+0.0039073i,0.00082618+0.0035573i,0.0015629+0.0019129i,0.0012518+0.0007533i,0.00039822-7.6034e-05i,-0.00035265-0.0011377i,-0.0014786-0.0005243i,-0.0014854+0.00055961i,-0.00063006+0.00015002i,0.00017075-0.00030565i,0.00050466-0.00060324i,0.00036138-0.00061915i,0.00023112-0.00055043i,-0.00030225-0.00027462i,-0.00023474-6.3109e-05i,4.8097e-05+0.00033593i,-7.0064e-05+6.7139e-05i
-0.0032365-0.00069079i,-0.0024499-0.00070895i,-0.00043558-6.8412e-05i,0.0037245-0.00037198i,0.0062721-0.00053219i,0.0043323-0.00038106i,0.0019785+0.00021844i,0.0010925+0.0022215i,-0.00065852+0.0042753i,-0.0014108+0.005883i,0.00013034+0.0048447i,0.000907+0.0014983i,0.00048441+8.4722e-05i,0.00092128-0.00059604i,0.0013454-0.0010673i,0.0012984-0.00085318i,0.001485-5.7629e-05i,0.00050094+0.00056099i,-0.00035103+6.2195e-05i,-0.00034572+0.00022224i,0.00016084+0.0013998i,0.0007956+0.0015683i,0.00071433+0.00069425i
0.00070099+0.0016865i,-0.00084438+0.00098446i,-0.0010662-0.0025017i,-0.0012489-0.0069329i,-0.0014477-0.0098073i,-0.0017901-0.0079287i,-0.0017245-0.0044008i,-0.00045461-0.0011565i,0.0012413+0.002469i,0.0033979+0.0031361i,0.0043186+0.00030905i,0.0024216-0.001182i,8.0723e-05-0.00090502i,-0.00050385-0.0015678i,-0.00054861-0.0019157i,-0.00071838-0.00077737i,-0.00026595+8.8954e-05i,0.00072862+0.00029502i,0.0011771+0.00041543i,0.0012767-0.00030472i,0.001016-0.00018323i,0.00080354+9.717e-05i,0.00058237-0.00030884i
0.0039586-0.0016778i,0.0026191-0.0014839i,0.00046419-0.0027094i,-0.0047252-0.0051659i,-0.010899-0.0082698i,-0.011811-0.0086059i,-0.0078299-0.0046536i,-0.0032302-0.0014535i,0.00097413-0.0012796i,0.0028862-0.0029487i,0.0021454-0.0038462i,0.00098193-0.0025129i,0.00048642-0.0007162i,0.00031213+2.6572e-05i,0.00011152+0.00049903i,-3.9277e-05+0.00081158i,-0.00025506+0.00047688i,-0.00027727+8.5089e-05i,-0.0003592-0.00092501i,-0.00027901-0.0021146i,-0.00031602-0.0023545i,-0.0003431-0.0022159i,-0.00056013-0.0018086i
-0.0014379+0.00080514i,-0.00063042+0.0023252i,-4.1806e-05+0.003751i,-0.0030074+0.0062658i,-0.0086331+0.0083737i,-0.011292+0.0074862i,-0.0083999+0.0052228i,-0.0056815+0.0036074i,-0.0044179+0.0010659i,-0.0037867-0.0014929i,-0.0033408-0.0012733i,-0.0013027+0.00034942i,-0.00015506+0.00086816i,-0.00053087+0.00095049i,-0.00039138+0.0012795i,6.4214e-05+0.0014106i,1.6992e-05+0.0015085i,-0.00060893+0.0013497i,-0.00085705+0.00063548i,-0.0012423+0.00039691i,-0.0017114+1.8922e-05i,-0.0015021-0.00058904i,-0.00063536-0.00058762i
0.0010693+0.00038568i,0.0016671+0.000683i,0.0029221+0.0024805i,0.0035925+0.0049867i,0.0032039+0.0066529i,0.00087754+0.0069074i,-0.0012356+0.0063159i,-0.0016831+0.0055871i,-0.003101+0.0053686i,-0.0043694+0.004961i,-0.0033422+0.0045609i,-0.001243+0.0030568i,0.00035526+0.00073715i,0.0014025+0.00020981i,0.0019307+0.00048408i,0.0021208+0.00029767i,0.0016005+0.00030455i,0.00060807+0.00031371i,0.00038953+0.00072091i,0.00015697+0.00096989i,-0.00054255+0.00097578i,-0.00076782+0.00051084i,-0.00062897+7.7216e-05i
0.00089008-0.0028009i,0.0011875-0.0031207i,0.0027681-0.0059957i,0.0063984-0.0090175i,0.0084737-0.0081578i,0.0066895-0.0038278i,0.0039064-0.00030666i,0.0030896+0.0020858i,0.001874+0.0048212i,0.00044426+0.006567i,0.00035345+0.0051528i,-0.00030688+0.0018848i,-0.0007977-0.00031419i,-2.5558e-05-0.0007695i,0.00034138-0.00074158i,-2.534e-05-0.0005063i,0.00017472+0.00019328i,0.00053007+0.00095967i,0.0010763+0.00103i,0.001174+0.0010048i,0.00068085+0.0013052i,0.00025902+0.00090629i,-0.00044124+0.00079826i
-0.0033379+0.0033745i,-0.0038541+0.0034143i,-0.0046713+0.00055581i,-0.0049294-0.0045579i,-0.0037026-0.0085715i,-0.0013788-0.0080874i,-0.00066965-0.0042956i,0.00066181-0.0016343i,0.0031999+0.00036149i,0.0046049+0.0016929i,0.0040369+0.00086548i,0.0020251-8.9711e-05i,9.77e-05+0.00013045i,-0.00083724+4.4466e-05i,-0.001127-0.00022761i,-0.0010558-0.00054824i,-0.00032989-0.0013806i,0.00047275-0.00086995i,-0.00036253+0.00022731i,-0.00085268+0.00021574i,-0.00051443-9.6236e-05i,-0.00015046-0.00052796i,-6.5565e-05-0.0010765i
0.0010296+0.0018711i,0.00049819+0.0016062i,-0.0010088+0.000445i,-0.0070533-0.0018296i,-0.012872-0.0045437i,-0.013086-0.0059589i,-0.0084291-0.003932i,-0.0043277-0.0020021i,-0.0019807-0.0019375i,0.00038371-0.002918i,0.0011831-0.003263i,0.00051054-0.0011995i,8.8769e-05+0.00073827i,-0.00032048+0.00046122i,-0.0014714+0.00059997i,-0.0018767+0.00070683i,-0.0013467+0.00019459i,-5.4961e-05+0.00011117i,0.00036291+9.0104e-05i,-2.6214e-05+1.1681e-05i,0.00033048-0.00032053i,0.00057648-0.00081307i,-8.5212e-05-0.00073579i
-0.0050395+0.00096323i,-0.004556+0.0022978i,-0.0049821+0.0057731i,-0.0061431+0.0098504i,-0.0095757+0.012527i,-0.011124+0.011182i,-0.0090915+0.007356i,-0.0066601+0.0057844i,-0.0055634+0.0038787i,-0.004582+0.001586i,-0.0038857+0.0005006i,-0.002894+0.00022242i,-0.00078591+0.0012302i,-2.7323e-05+0.0025577i,-9.6912e-05+0.0021988i,0.00037845+0.0015083i,0.00010232+0.0014559i,-0.00011916+0.00078606i,-3.7204e-05+0.00090326i,-0.00058013+0.0010118i,-0.0010022+8.4062e-05i,-0.000279-0.0003166i,-3.546e-05+0.00040963i
0.0014307+0.00021787i,0.001527-7.3904e-05i,0.0035437+0.0018092i,0.0078902+0.0045081i,0.0093511+0.0078275i,0.0053422+0.0094127i,0.0016023+0.0088268i,0.00018861+0.0087469i,-0.00093614+0.0082752i,-0.0022046+0.0069435i,-0.0021039+0.0044921i,-0.0009352+0.001811i,0.00023666+0.0001113i,0.00072451-0.00014571i,0.00091497+0.00040087i,0.00088327+0.00046243i,0.00098651+0.00011149i,0.00097133+0.00078816i,0.00024678+0.00094336i,8.4609e-05+0.00037394i,-0.0004345+0.00051708i,-0.00073052+0.00065245i,-0.0002729+0.00014928i
-0.00039691+0.0003596i,0.00080633-0.00044799i,0.0032379-0.0033147i,0.0072516-0.0084559i,0.010607-0.010842i,0.0090711-0.0074016i,0.0057263-0.0016395i,0.0047891+0.0017727i,0.0046602+0.003536i,0.0041406+0.0048111i,0.0030077+0.0037492i,0.0010268+0.0010603i,-0.00047085-0.00026677i,-0.00068945-0.00052818i,0.00040467-0.0010999i,0.001377-0.0015683i,0.001464-0.0016332i,0.001282-0.00091685i,0.00069495-0.0010307i,-0.00022282-0.00091806i,-0.000979+0.00017939i,-0.00035681+2.5139e-05i,0.0002876-1.7034e-05i
-0.0020338+0.0037142i,-0.0034393+0.0030942i,-0.0049835+0.0007647i,-0.0076902-0.00569i,-0.0077652-0.012638i,-0.005553-0.013483i,-0.0033411-0.0079785i,-0.0011515-0.003653i,0.00073305-0.0013581i,0.0019459-0.00075948i,0.002888-0.0015023i,0.0020771-0.00088761i,0.00049544+0.00072503i,-0.00043873+0.00067297i,-0.00088015-0.00049191i,-0.00097393-0.00035862i,-0.00037594-8.4444e-05i,-2.9065e-05-0.0004779i,-1.9112e-05-0.00089951i,-0.00065258-0.00090569i,-0.00039768-0.00063847i,0.00091583-0.00046837i,0.00079452-0.00047116i
-0.00077189+0.0019978i,-0.0022101+0.0019961i,-0.0040996+0.0027138i,-0.0090291+0.0021768i,-0.015129-0.00035174i,-0.015883-0.0018813i,-0.0117-0.0013348i,-0.0075267-0.00020278i,-0.0050949-0.0010203i,-0.0032553-0.0011089i,-0.00090511-0.00058553i,0.00070216-0.00048807i,0.00096277+0.00037215i,0.00084199+0.00086569i,4.4124e-05+0.0014424i,-0.00061533+0.0013533i,-0.00068345+0.00048981i,-0.0008533-0.0003789i,-0.00045559-0.00093944i,0.00036449-0.00012664i,0.0005862+0.00089443i,-0.00061456+0.00093951i,-0.0011957+0.00020994i
0.00030993+1.0837e-05i,-0.00021969+0.0011467i,-0.0012858+0.0033i,-0.0041135+0.0091623i,-0.0074875+0.015513i,-0.0088608+0.014867i,-0.0076177+0.010432i,-0.0063483+0.0090563i,-0.006171+0.0077321i,-0.0049146+0.0047216i,-0.0035401+0.0015926i,-0.0016573-0.00062789i,0.0005476-0.0011577i,0.0011408-0.00042318i,0.001191+0.00010795i,0.0011139+0.00014185i,0.00074087+0.00033007i,0.00024469+0.00017291i,-0.000586+0.00044622i,-0.00077011+0.00032488i,-0.00076464-0.00051557i,-0.00046295-0.00082856i,-0.00021696-0.00036477i
0.00022466+0.0020649i,0.00082101+0.002161i,0.0049708+0.0036908i,0.011332+0.0052256i,0.014953+0.007353i,0.011569+0.0084125i,0.0051822+0.0079384i,0.0036061+0.0081004i,0.0037717+0.0085555i,0.0020432+0.0069585i,0.00053402+0.0040574i,-0.0002199+0.00067051i,-0.00037576-0.0010128i,-0.00014875-0.00062974i,0.00053439-0.0011254i,0.00068403-0.00106i,0.00028533+0.00020761i,-0.00028133+0.001448i,-0.00071411+0.0014559i,-0.00010601+0.0007293i,7.3721e-05+0.0010032i,-0.00030988+0.0012475i,-0.00045276+0.00094281i
-0.0033232+0.0015507i,-0.0023294+0.00075353i,1.9068e-05-0.0018958i,0.0040127-0.0077683i,0.0082636-0.012743i,0.0088725-0.01058i,0.0061011-0.0042052i,0.0059558-5.732e-05i,0.0067736+0.0014394i,0.0055997+0.0022433i,0.0028815+0.002238i,0.00064436+0.001504i,-0.00037777+0.0012134i,-0.00012807+0.00075692i,0.00020394+0.00034514i,3.5468e-05+0.00048857i,0.00033028+0.00070119i,0.000901+0.001096i,0.0011057+0.00051232i,0.00019774+6.6042e-05i,-0.00035941+0.0001966i,0.00050721+0.00017963i,0.001103+0.00048153i
-0.0011336+0.0029204i,-0.0025279+0.0026374i,-0.0049369-8.7142e-05i,-0.0089857-0.0081513i,-0.012443-0.016159i,-0.01106-0.017058i,-0.0064963-0.011181i,-0.0036695-0.0065056i,-0.0016315-0.0052918i,8.5081e-05-0.0040252i,0.00070144-0.0014832i,0.0011513+0.00055788i,0.00093182+0.0014075i,0.00031925+0.0014695i,5.741e-06+0.001135i,0.00049788+0.00040555i,0.0014546-7.8761e-06i,0.0019694-0.0001091i,0.0016284-0.00054058i,0.0010232-0.00075857i,0.00094215-0.00086139i,0.00074909-0.0011339i,0.00054564-0.0010739i
0.00054066-0.0015286i,-0.00084449-0.00079582i,-0.0034806+0.00073514i,-0.0093556+0.0039172i,-0.019009+0.0061188i,-0.021847+0.0038744i,-0.015724+0.00097425i,-0.011192+0.00025382i,-0.0088135+7.794e-05i,-0.0051547-5.1711e-05i,-0.0015162-0.00041699i,0.0008545-0.0009218i,0.0016959-0.00043807i,0.0012183+0.00082523i,0.00037449+0.0012237i,0.00050191+0.00090985i,0.00072902+0.00036708i,0.00070989-0.00078507i,-0.00024311-0.0012291i,-0.0022556-0.0010927i,-0.0026654-0.00070812i,-0.0019555-0.00030434i,-0.0013609-0.00010965i
-0.00014645-0.0002116i,-0.00050141-0.0001784i,-0.00071843+0.0024563i,-0.0011673+0.0098187i,-0.0033277+0.017456i,-0.0062872+0.019842i,-0.0064575+0.016628i,-0.0045252+0.013839i,-0.0029973+0.012066i,-0.0017143+0.0084001i,-0.0014734+0.0042371i,-0.00077702+0.00092213i,0.00067821-0.00087348i,0.001345-0.0004035i,0.00064813-3.3702e-05i,-0.00012285-0.0002202i,-0.00023836-0.00052045i,-0.00024979-0.00018299i,-0.00066854+0.00078961i,-0.00099783-4.3562e-05i,-0.00098563-0.00057289i,-0.0012867-0.00039174i,-0.001859-0.00049852i
-0.0015962+0.0014569i,0.00050913+0.0019842i,0.0040103+0.0029603i,0.011478+0.0028419i,0.019712+0.0041487i,0.019182+0.0060488i,0.012018+0.0067789i,0.0085009+0.0071512i,0.0077389+0.0074171i,0.0053232+0.0060554i,0.0017937+0.0033657i,-0.00068561+0.0015923i,-0.0013429+0.0003629i,-0.00037744-0.00023981i,-0.00039425+0.00048547i,-0.001902+0.00057723i,-0.0019745-0.00016175i,-0.0010203+0.00058815i,0.000187+0.0014112i,0.00040196+0.001638i,5.9636e-05+0.0023235i,0.00037021+0.0020492i,0.00050131+0.0011714i
-0.004548-0.00059001i,-0.004197-0.0018823i,-0.0028538-0.0056832i,0.00037702-0.013157i,0.0043648-0.020267i,0.0068845-0.01924i,0.0066071-0.011601i,0.0059477-0.0062532i,0.0060596-0.0044793i,0.0047411-0.0027271i,0.0022555-0.0003587i,-0.00012584+0.001173i,-0.00070068+0.0015652i,0.0003193+0.0011024i,0.00093614+0.00092842i,0.0010032+0.0019459i,0.00079987+0.002671i,0.0011671+0.0014683i,0.0016179+5.0257e-05i,0.0012314-0.00054935i,0.0010648-0.0011279i,0.00028957-0.0012599i,-0.00067554-0.00045374i
-0.00033858+0.00049025i,-0.0013894+0.00031107i,-0.0057212-0.0038095i,-0.012877-0.011029i,-0.020025-0.017448i,-0.021067-0.018965i,-0.015654-0.013317i,-0.010337-0.0076008i,-0.0075488-0.0058875i,-0.0050909-0.0037773i,-0.0020034-0.00056075i,0.00043239+0.0013195i,0.0014135+0.0016069i,0.00096184+0.0016913i,0.00038619+0.0015455i,-6.1113e-05+0.0010984i,0.00071758+0.00044033i,0.0023101-9.8869e-05i,0.0021734-0.0007525i,0.00041582-0.0018816i,-0.00033921-0.0012207i,0.00015215+0.00030412i,0.00044352+0.00050421i
-0.00035993+0.0016299i,-0.0015923+0.0030137i,-0.0044497+0.0052978i,-0.011525+0.01125i,-0.020462+0.016784i,-0.024033+0.014923i,-0.019+0.010624i,-0.013062+0.0090476i,-0.010709+0.0076582i,-0.0076108+0.0051872i,-0.0023561+0.0022329i,0.0016484-0.0005621i,0.0020173-0.0017814i,0.00073193-0.00077435i,0.00064563+0.00036915i,0.0010436+0.00043951i,0.00034132-0.00034338i,-0.00031975-0.00096132i,-0.00089319-0.0016522i,-0.0017771-0.0019643i,-0.0027627-0.00091102i,-0.0025938+0.00015262i,-0.00072956+0.0011998i
-0.0016043+0.0023962i,-0.001655+0.003432i,0.00032801+0.006401i,0.0041355+0.012959i,0.0060933+0.02226i,0.0046108+0.025505i,0.0031382+0.021215i,0.0036449+0.017722i,0.0026538+0.0158i,0.0012588+0.011336i,0.00080525+0.0046395i,0.00035205-0.00049528i,-0.00016572-0.0017172i,-0.00038059-0.00070108i,7.1215e-05-0.00018634i,-7.3878e-05+8.9466e-05i,-0.00042993+0.00021635i,-0.00064868+0.00062669i,-0.0012385+0.0010701i,-0.00088899+0.00099424i,-0.00031058+0.001583i,-0.00028793+0.0012394i,-0.0002442+0.00013688i
-0.0021309+0.0024787i,-0.00010314+0.0024651i,0.0054353+0.0019936i,0.015775-0.0011808i,0.025625-0.0038663i,0.026473-0.0033663i,0.019362-0.00099779i,0.014401+0.001267i,0.012078+0.0030313i,0.0087994+0.0028775i,0.0037438+0.001752i,-0.00097992+0.0019531i,-0.0028176+0.0020949i,-0.0019287+0.0018685i,-0.0010846+0.00094097i,-0.0011958+0.000371i,-0.0015404+0.0011736i,-0.0013342+0.0024944i,8.058e-05+0.0029046i,0.00053623+0.0016069i,-0.00041585+0.00054001i,-0.00084075-0.0001925i,-0.00029572-0.00063317i
0.0013644+0.00091063i,4.0563e-05-0.0011334i,-0.0002863-0.0050789i,-0.00049428-0.015521i,-0.000943-0.027671i,-0.00078973-0.029816i,-0.0005485-0.021479i,0.00047207-0.013591i,0.0019986-0.0099602i,0.0020769-0.0063588i,0.0010604-0.0015861i,-0.00049253+0.0022806i,-0.00064784+0.003884i,0.00048132+0.0031026i,0.00069974+0.0016476i,0.00059183+0.0010321i,0.00109+0.0018364i,0.0020633+0.001978i,0.0021968+0.00081894i,0.0017359+0.00029533i,0.0014699-0.00036957i,0.00061393-0.0009469i,-0.00059849-0.00093127i
9.8843e-05-0.00087456i,-0.0012544-0.0014955i,-0.0054961-0.0016855i,-0.016257-0.0050196i,-0.029767-0.0094067i,-0.034243-0.010849i,-0.026979-0.0069056i,-0.019199-0.0027622i,-0.014122-0.0019027i,-0.0085505-0.00096182i,-0.0021891+0.0001324i,0.002579+0.00058736i,0.0039315+0.00089278i,0.0031851+0.00051333i,0.0014462-0.00050566i,0.00062586-0.0010418i,0.0010887-0.0014771i,0.0020395-0.0021946i,0.0016143-0.0021248i,-4.6025e-06-0.0019478i,-0.0014887-0.0012915i,-0.0021353-0.000619i,-0.0011904-0.00030908i
-0.0019792+0.00073013i,-0.0030238+0.0023269i,-0.0040473+0.006764i,-0.0094123+0.014147i,-0.01832+0.023744i,-0.022679+0.028691i,-0.01877+0.02478i,-0.011813+0.019447i,-0.0077262+0.015484i,-0.0048149+0.010424i,-0.001344+0.0043016i,0.00020046-0.00121i,0.0012868-0.0031507i,0.0012419-0.0025274i,-0.00048055-0.0016062i,-0.0012765-0.0012534i,-0.0008344-0.0011017i,-0.00045209-0.0015564i,-0.00097214-0.0022725i,-0.0020643-0.0025187i,-0.0028044-0.0013394i,-0.0022123+9.2409e-05i,-0.00091554+5.7821e-05i
0.00065347-0.0012744i,0.00036057-0.00011452i,0.0030694+0.0036312i,0.0095794+0.010834i,0.0174+0.020861i,0.020607+0.025556i,0.017618+0.0208i,0.013796+0.0158i,0.011271+0.013112i,0.0078363+0.0081167i,0.0022657+0.0017002i,-0.0022447-0.0022252i,-0.003157-0.0026893i,-0.0025434-0.0011161i,-0.0024057+0.00038386i,-0.0019577+0.0013907i,-0.0016341+0.0014456i,-0.0016602+0.00087254i,-0.0010155+0.00070856i,-0.00047305+0.0011365i,9.3357e-05+0.0013105i,0.00038344+0.00086624i,0.00048424+0.00030405i
0.0010636-0.00172i,0.0020332-0.0024405i,0.0064511-0.0059642i,0.014766-0.011768i,0.023695-0.019021i,0.026599-0.021412i,0.020511-0.015386i,0.014481-0.0085227i,0.01189-0.0056891i,0.0077776-0.0034986i,0.0021397-0.0010365i,-0.0012027+0.0011567i,-0.0024981+0.002171i,-0.0024384+0.0019388i,-0.0008473+0.0016711i,0.00074791+0.0019294i,0.00092937+0.0020701i,0.00068168+0.0019793i,0.001316+0.00074452i,0.0014349-0.00043397i,0.0011725-0.00024979i,0.00066992+0.00012893i,0.0001408+6.8455e-05i
4.4458e-05+0.0024313i,-0.00065867+0.0010379i,-0.0018497-0.0033688i,-0.0049338-0.016608i,-0.010262-0.032728i,-0.013863-0.037826i,-0.013467-0.029636i,-0.010389-0.01987i,-0.0069864-0.013697i,-0.0037511-0.0077854i,-0.00032881-0.0018155i,0.0017532+0.0017332i,0.0019405+0.0032481i,0.0019383+0.0032324i,0.0022527+0.0015035i,0.0020296+0.00064317i,0.0015363+0.0012929i,0.0011044+0.0007122i,0.0016182-0.00082029i,0.0013251-0.0016591i,0.00035043-0.0013011i,-0.00030044-0.00028497i,-0.0011117-0.00047505i
0.0007738+0.0010512i,-0.00022952+0.00064452i,-0.0051729+0.0006359i,-0.018934+0.0019259i,-0.036867+0.003469i,-0.045117+0.004341i,-0.038018+0.0056707i,-0.026126+0.0069318i,-0.018327+0.0065891i,-0.011631+0.0048704i,-0.0038819+0.0023992i,0.0013824+0.00032973i,0.0033537-0.0010835i,0.002706-0.0016928i,0.00073724-0.0015792i,-0.00038916-0.0012819i,-5.282e-05-0.0011795i,0.00016962-0.0016312i,-0.00049752-0.0022487i,-0.0010805-0.0017787i,-0.0017176-0.0012463i,-0.0013082-0.0014861i,-0.00045213-0.0013398i
0.0029019-0.00097841i,0.0034242-0.0012813i,0.0015873+0.00086126i,-0.0033597+0.011673i,-0.0083862+0.02899i,-0.010365+0.039452i,-0.0072983+0.035997i,-0.0034082+0.027936i,-0.001403+0.021864i,0.00017414+0.014252i,0.00028163+0.0048021i,0.00010883-0.003173i,0.00065708-0.0051825i,0.00085935-0.0033639i,0.0002837-0.0012605i,-0.00041569+8.3197e-05i,-0.0012034+0.00070564i,-0.0016562+0.00095487i,-0.0015069+0.00076098i,-0.00095117+0.0013307i,-0.00069563+0.0016198i,-0.00042575+0.00093226i,-3.9777e-05+8.513e-05i
8.0473e-05+0.0013419i,0.0008179+0.0023786i,0.0068865+0.0050589i,0.019078+0.0086375i,0.032921+0.012033i,0.038117+0.01378i,0.031875+0.011685i,0.023937+0.0085944i,0.018812+0.007337i,0.012709+0.0050101i,0.005341+0.001469i,-0.00031728-0.00077062i,-0.0026561-0.0020584i,-0.0025585-0.0016214i,-0.0020238+0.00020535i,-0.0013943+0.0013701i,-0.00010821+0.001901i,0.00022499+0.0023804i,-5.6266e-06+0.0027269i,0.00022472+0.0024524i,0.00021796+0.0021646i,-0.00018199+0.0014034i,0.00010986+0.00088631i
0.0013058+0.0001561i,0.0026862-0.00039727i,0.0052006-0.0030161i,0.0088781-0.011709i,0.015247-0.02782i,0.017867-0.039281i,0.013642-0.034293i,0.0097868-0.022459i,0.0079315-0.01425i,0.0051414-0.0084631i,0.001492-0.0031499i,-0.0015298+0.00064264i,-0.0019571+0.0018826i,-0.001006+0.001835i,0.00062146+0.00089407i,0.0024641-0.00042401i,0.0030754-0.00074035i,0.0021771-0.00056656i,0.0012298-0.00014023i,0.0015265-0.00011051i,0.001407-0.0002325i,0.00075265-0.00071151i,0.00038217-0.0010666i
0.00019808+0.00040239i,0.0011523-0.0010378i,-0.0014096-0.007459i,-0.010519-0.019407i,-0.026901-0.031156i,-0.038307-0.032809i,-0.034514-0.023552i,-0.024643-0.014192i,-0.018243-0.008857i,-0.012274-0.0038535i,-0.0041412+0.00030505i,0.00086787+0.0018932i,0.0016826+0.0027639i,0.0010352+0.0028818i,7.6044e-05+0.0011132i,-0.00061744-0.00053785i,-0.0004459-0.0012882i,0.00049084-0.0012931i,0.0015267-0.001495i,0.0010507-0.0016111i,0.00023856-0.0010153i,-0.00041585-0.00074599i,-0.00069161-0.0008502i
-0.0020425+0.0023277i,-0.0027438+0.0026765i,-0.0054854+0.005076i,-0.014318+0.012742i,-0.028599+0.023543i,-0.038286+0.029161i,-0.03394+0.026596i,-0.023838+0.021878i,-0.016288+0.016927i,-0.0091365+0.011012i,-0.0019441+0.0042854i,0.0023052-3.3775e-05i,0.0030769-0.00072658i,0.0015185-0.0010174i,4.7913e-05-0.0013205i,-0.00064343-0.0013786i,-0.0012029-0.0012482i,-0.0011765-0.0011681i,-0.0011623-0.0010155i,-0.0014387-0.0002742i,-0.001554-7.913e-05i,-0.0015794-0.00034049i,-0.00095227+0.00022792i
0.0010425-0.00081096i,-0.00018693-0.00094675i,-0.0010261+0.0010912i,-0.00038357+0.011041i,0.0057937+0.026772i,0.012536+0.037537i,0.013284+0.035299i,0.010793+0.027444i,0.008875+0.021312i,0.0064787+0.013053i,0.0036083+0.0041518i,0.0015309-0.0012574i,0.00036026-0.0022991i,0.00022469-0.00047567i,0.00027358+0.0020898i,-0.00034742+0.0032989i,-0.00062446+0.0026807i,-0.00095375+0.0017056i,-0.00094298+0.001223i,-0.00054568+0.0013767i,-0.00013535+0.0013278i,-0.00017555+0.0012208i,-0.00049245+0.0011289i
-0.00063213+0.001685i,0.0010592+0.0032006i,0.0069767+0.0036498i,0.020881+0.0010802i,0.03888-0.0058698i,0.04563-0.012159i,0.036632-0.012694i,0.025542-0.0085132i,0.01947-0.004056i,0.012939-0.0025556i,0.0046042-0.0021168i,-0.00058261-0.0010907i,-0.0018996-0.00020598i,-0.0016224+0.00045106i,-0.0006721+0.00096333i,8.534e-05+0.0011215i,0.00072783+0.0010499i,0.0015661+0.0012618i,0.001941+0.0016881i,0.0015185+0.0010269i,0.0010862+0.00018082i,0.00036536+0.00018637i,-0.00028475+0.00046945i
0.0013527-5.9943e-05i,0.001316+0.0019045i,0.0010444-0.0023749i,-0.00062573-0.015299i,-0.0028648-0.033172i,-0.0063062-0.044084i,-0.0090002-0.037122i,-0.0068615-0.024454i,-0.003724-0.01816i,-0.0029427-0.01125i,-0.002317-0.0038597i,-0.0013659+5.4017e-06i,-0.00070892+0.0016187i,9.0396e-05+0.0015926i,0.0017289-0.00023972i,0.0021637-0.0021078i,0.0013635-0.0021439i,0.0014856-0.00086858i,0.0020014-0.00051938i,0.0012289-0.0015515i,0.00049778-0.0015906i,0.0007139-0.00056976i,0.00086169-0.00044532i
0.0030925+0.002054i,0.0036291+0.00063248i,0.0021274-0.0033366i,-0.0092161-0.010751i,-0.031441-0.015162i,-0.048136-0.011243i,-0.043224-0.0031807i,-0.029915+0.0011193i,-0.021932+0.0015968i,-0.014176+0.0025312i,-0.0054062+0.0026257i,-1.5954e-05+0.0014671i,0.002089+0.0010804i,0.00081846+0.0003765i,-0.0012851-0.0010012i,-0.0018602-0.0020558i,-0.0019364-0.0024115i,-0.0014572-0.0021088i,-0.0010818-0.0017316i,-0.001376-0.001383i,-0.0014223-0.00017037i,-0.0015625+0.00026614i,-0.0019052-0.00035652i
0.00090656+0.00067923i,-0.00061416+0.0013596i,-0.0021628+0.0031846i,-0.0077173+0.012949i,-0.014036+0.029795i,-0.016004+0.040648i,-0.011772+0.037037i,-0.0072646+0.027166i,-0.0052423+0.021214i,-0.001992+0.014767i,0.001013+0.0063514i,0.0015878+0.00070049i,0.0018074-0.00088928i,0.0010278-0.0010656i,-0.0007415-0.00041367i,-0.0016204+0.0012874i,-0.0014159+0.0015732i,-0.001165+0.00060762i,-0.0011923-0.00077723i,-0.0010876-0.00092835i,-0.00055574+0.00014055i,-0.00075308+0.00057556i,-0.0010484+0.00016009i
0.0015645+0.00073406i,0.00070163+0.0018575i,0.00038037+0.0040904i,0.0045848+0.010301i,0.018857+0.020478i,0.03243+0.024286i,0.033291+0.018161i,0.024352+0.012213i,0.017901+0.010952i,0.013498+0.0077581i,0.0064471+0.0017502i,0.0011955-0.0013343i,-0.00056964-0.0018891i,-0.00052534-0.000563i,0.00011749+0.0014691i,0.00073624+0.0026729i,0.00030978+0.0024292i,-2.9856e-05+0.0014578i,4.6133e-05+0.0013105i,2.6665e-05+0.00087687i,0.00011906+0.00057119i,0.00042408+0.00075275i,0.00062753+0.00098132i
0.010285+0.0043679i,0.011911+0.0059243i,0.017803+0.0022783i,0.023491-0.0088263i,0.029089-0.025975i,0.027116-0.037537i,0.016751-0.033334i,0.010779-0.021958i,0.011156-0.015188i,0.0081485-0.012137i,0.0020753-0.0075249i,-0.0014695-0.00291i,-0.0021431-0.00097376i,-0.00077647-0.00061046i,0.00097123-0.0011056i,0.0010338-0.0012642i,0.0011611-0.00011467i,0.0015029+0.00050399i,0.00070527+0.0003474i,0.00029873-0.0007278i,0.00048764-0.0020597i,0.00073226-0.0018121i,0.00095961-0.0011819i
