-0.0030018+0.0017158i,-0.0028261+0.0017079i,-0.0040498+0.0018752i,-0.0033829+0.0019119i,-0.0020492+0.0026734i,-0.00043058+0.0037065i,-0.00010369+0.0034219i,-0.00066524+0.0029617i,0.00017038+0.0027312i,0.00094594+0.0016232i,0.0012813-0.0001617i,0.00095263-0.0011044i,0.00054662-0.00080318i,7.0661e-05-5.2086e-05i,-0.00064203-2.7938e-05i,-0.0006349+0.00025395i,-0.00033389+0.00017452i,0.00012976-0.00031523i,0.00059132-0.00020189i,0.00038593-0.00025949i,0.00056554-0.00051449i,0.00061555-0.00052659i,-0.00014517+0.00043536i
-0.00024728+0.00079453i,-5.219e-05+0.00058789i,-0.0010524-0.0008758i,-0.0014749-0.00084523i,-0.00098502+0.00069371i,-0.00022096+0.0012927i,0.00053077+0.00061061i,-3.3679e-05+0.00011915i,-0.00085746-0.00018698i,-0.00081908+2.8482e-05i,-0.00045315+0.00071679i,-0.00067732+0.0011899i,-0.0010658+0.00091328i,-6.5427e-05+0.00024812i,0.0010625-0.00052332i,0.0010733-0.0010134i,0.00060652-0.00040303i,0.00032809+0.00017061i,0.00021062+0.00015779i,0.00024243+0.0003335i,-0.00027334-7.0618e-05i,-0.00098896-0.00063708i,-0.00061469-1.5451e-05i
9.2854e-05+0.0012487i,0.00076554+0.00068569i,0.0014277-0.000319i,0.0007953-0.00028657i,-0.00049829+6.6249e-06i,-0.00087424+0.00019417i,-0.0010638+0.00036617i,-0.0012161-5.6538e-06i,-0.001452-0.00016364i,-0.00089752-4.3339e-05i,-0.0004191-0.00038637i,-0.00061169-0.0013342i,-6.8003e-05-0.00096255i,0.00061125-0.0002111i,0.00075883-0.00083268i,0.0003645-0.00093471i,0.00066548-0.00028827i,0.00086862-0.0001871i,0.00032881-0.00022381i,0.00011874+0.00033373i,0.00014952+0.00058723i,0.00038423-0.0003106i,0.00062043-0.0011985i
0.00078857-0.001999i,-0.00044992-0.001823i,-0.0015885-0.0017757i,-0.002279-0.0014346i,-0.002369-0.00056866i,-0.00089355+0.00069634i,0.0002671+0.00017025i,0.00029574-0.00080681i,-0.00045253-0.00071655i,-0.00086509-9.5163e-05i,-3.3588e-05+0.00029213i,0.00016358+0.00023439i,-4.5304e-05-0.00042439i,0.00046683-0.00088189i,0.00024244-0.0008847i,-0.00030083-0.0005478i,-0.00020852-0.0001228i,0.00045408-0.00057088i,0.0011002-0.0012789i,0.00052516-0.00086082i,0.0001842-7.3094e-05i,0.00021156+0.00095056i,0.00041289+0.0013572i
0.0021135+0.00072636i,0.001956-7.6794e-05i,0.002057-0.0015449i,0.00097144-0.0022681i,2.1356e-05-0.0011479i,-0.00030528+0.00032139i,-0.00097001+0.00035058i,-0.0006484+0.00019245i,0.00010933-0.00013142i,0.00032056-0.00036117i,-8.1927e-05+2.7343e-05i,-0.00040027+0.00052662i,-0.00058037+0.00025301i,-0.00040773-0.00059149i,-0.00027142-0.00061727i,-9.3861e-05+0.00016414i,9.7184e-05+0.00019616i,-0.00017611-0.00018381i,-0.00011976-0.0001402i,-6.2304e-05-0.00031184i,-0.00059632-0.00046038i,-0.0010308+0.00011197i,-0.0012908+0.00028264i
5.4868e-06+0.00075208i,0.0004323+0.00017592i,0.00065198+0.00074833i,-0.00037746+0.00076211i,-0.00076876+8.6087e-05i,-0.00028678-0.00012039i,-0.00022707+0.00035447i,-0.00011446+0.00011486i,-0.00013537-1.814e-05i,0.00027402-0.00039633i,0.00099298-0.00043313i,0.00063417+0.00051925i,0.00046604+0.0011124i,0.00077558+0.00091963i,0.00042558-0.00016923i,-0.0001937-0.0011286i,-0.00026565-0.00080261i,-0.00056037+0.00063926i,-0.00053467+0.0010781i,-0.00021129+0.00066527i,-0.00022093-0.00017259i,0.00010915-0.00029201i,0.00042956+0.00061646i
-0.001356+0.00082211i,-0.00021169+0.00015072i,5.4434e-05+9.9082e-05i,-0.00038919+0.00058422i,-0.00047405+0.00050633i,-0.00023158+0.00068308i,-8.5476e-05+0.0003031i,-0.00034308+0.00059475i,-2.5888e-05+0.0010424i,0.00020286+0.00065329i,-0.00022207+0.00072923i,-0.00029655+0.00095933i,-0.00049767+0.00033221i,-0.00014759-0.00013075i,0.00013153+8.3794e-05i,-0.0004177+0.0004023i,-0.0006079+0.00019658i,0.00062787+2.8813e-05i,0.0010716+3.7636e-05i,0.00038688+2.6877e-05i,0.00027551-0.00023208i,-0.00019483-0.0011299i,-0.00056115-0.0015254i
0.00034722-0.0004905i,0.00017995-0.0025542i,0.00044527-0.0026706i,-0.00037055-0.0012822i,-0.0013068-0.0004759i,-0.0011676-0.00011394i,-0.00041502+0.00020417i,-0.00065+1.8279e-05i,-0.00068901-0.00062914i,-7.3584e-05-0.00079591i,-0.00042418+0.00012434i,-0.0001576+0.0002019i,0.00041166-0.00036822i,0.00092669-0.0006668i,0.00074344-0.00066642i,0.00053232-0.00020565i,0.00042892+0.00058401i,8.318e-05+0.00063334i,-6.9791e-05+6.3029e-06i,0.00062756-5.4076e-05i,0.00087882+8.0408e-05i,-0.00036528+0.00051103i,-0.00060273+0.00015617i
-6.778e-05+0.00048397i,0.00042323+0.00083208i,-0.0001103-5.8043e-05i,-0.0013986-0.00091744i,-0.0019027-0.00048495i,-0.0011001+0.00084835i,-0.00019248+0.00098458i,-0.0003945-0.00031436i,-0.00079691-0.0013224i,-0.00031731-0.0012812i,-0.00041564-0.00040659i,-5.7238e-05+0.00014601i,0.0008733-7.8062e-06i,0.00069248-5.2731e-05i,0.00024493-3.2509e-05i,7.4418e-05+8.3623e-05i,-6.6062e-05-3.6883e-05i,-0.00049022-0.00039869i,-0.00043963-0.00010172i,-0.00067971+0.00016025i,-0.00041513-0.00036727i,0.00029095-0.00048345i,2.168e-05-0.0002193i
-0.00010123+0.00041002i,-0.00066425+0.00025925i,-0.00031596+0.00031691i,-0.00025314+0.00055847i,-0.0010297+0.00072314i,-0.0014059+0.00086497i,-0.0009538+0.00060913i,3.6065e-05+0.0009781i,0.00069322+0.00040298i,0.00042871-0.00078338i,0.00032748-0.00091115i,0.00047176-0.00014408i,0.00046963+0.00029936i,0.00029879+0.00016463i,-0.00015816-0.00028777i,-0.00025907+3.7502e-05i,9.7582e-05+0.00099685i,0.00081264+0.0017881i,0.00098545+0.001553i,0.0010017+0.00024157i,0.00041465-0.00049624i,-0.00045654-0.00024888i,-3.4394e-05+0.00030551i
-5.1581e-05+9.7106e-05i,0.00086736-0.00055914i,0.00093777+0.00065147i,0.00071546+0.00095888i,-0.00012892-0.00032319i,-0.00070302-4.9103e-05i,-0.00048199+0.00077402i,-0.00016311+0.0010543i,-0.00025671+0.00081408i,0.00059329+0.0002256i,0.0013091+0.00025171i,0.00032387+0.00068717i,5.2706e-05+0.0006394i,0.00073336+0.0005739i,0.00096714-9.5773e-05i,0.00087125-0.00030242i,0.00022552+0.00037294i,-0.00025192+0.00053853i,-0.00037872+0.00019628i,-0.00022463+0.00025954i,3.5897e-05+0.00064366i,-0.00027823+0.00072016i,-0.00020991+0.00028758i
-0.00013619-0.00028794i,-0.0005537-0.0008322i,-0.00098593-0.00060495i,-0.0011228+0.00021668i,-0.00095156+0.0013706i,-0.00015615+0.00042354i,-0.00025362-0.0007491i,-0.00051333-0.0010755i,-0.00016966-0.0003648i,0.00033403+0.00058664i,0.00076147+0.0011368i,0.00077135+0.0018338i,0.00024314+0.0014265i,-0.0006013+0.0003341i,-0.00025654-0.00024731i,0.00021512+6.0032e-05i,-5.2534e-05+4.6527e-05i,-0.00010524-0.00042664i,-0.00084991-0.0011019i,-0.0008612-0.0005848i,-0.00013785+0.00033666i,0.00084183-0.0001529i,0.00055228-0.00029848i
0.00010123+0.00021319i,-0.00039043+0.00081552i,-0.00032882+1.0203e-06i,0.00035195-2.1491e-05i,0.00010681+0.0007195i,-0.00042494+0.0010722i,0.00058412+0.0002034i,0.00034699-0.00027594i,-0.00043735+0.00029588i,0.00018172+0.00087653i,0.0004401+0.00043791i,0.00011561-3.0767e-05i,-1.1478e-05+0.00017536i,-0.00022797-0.00063156i,-9.9741e-05-0.0011166i,-0.00021956-0.00021508i,-9.345e-05+0.00033384i,0.00017318+4.0153e-05i,-0.00021308+0.0002229i,-0.00021625+4.367e-06i,0.00011925+0.00016662i,0.00010199+0.00077196i,-0.00023313+0.00058726i
-0.00027237+0.00040922i,-0.00014783+0.00052559i,-0.00086178+0.00011694i,-0.0016669+0.00054456i,-0.0018315+0.0010633i,-0.0008649+0.00096383i,-0.00029057+0.00051921i,-0.00036881-0.00079123i,-0.00054366-0.0012821i,-0.00045351-0.0008733i,-0.00023444-0.00056557i,-0.0004865-0.00034324i,-0.000753+3.2837e-05i,0.00031355-0.00024936i,0.0015654-0.00073962i,0.0013952-0.0002065i,5.599e-05+0.00022288i,-0.0006621-6.3532e-05i,-0.00092967-0.0005674i,-0.0013336-0.00030784i,-0.001085+0.00094175i,-0.00026372+0.00020228i,0.00069143-0.0008452i
0.00016255-0.00093101i,0.00039963-0.00081084i,-3.0879e-05-0.00065109i,0.00033732-0.00038592i,0.00018351+0.0002381i,-0.00037328+0.00099458i,-0.00056792+0.0010127i,-0.00050448+6.3619e-05i,-0.00014314-0.00059428i,0.00012809-7.1274e-05i,-4.5892e-05+0.00041195i,-0.00025031+0.00043391i,0.00040213+0.00035908i,0.0007988-0.00012941i,8.2759e-07-0.00023697i,-0.00043673+0.00048373i,-0.0001464+0.00052874i,-3.411e-05+0.00028817i,0.00028485-0.00020484i,0.00064582-0.0007218i,0.00080767-5.5827e-05i,0.0007672+4.496e-05i,0.0003989-0.00027307i
-0.0013832-5.7745e-05i,-0.0016604+0.00098067i,-0.0024559+0.00096541i,-0.0028217+0.0018314i,-0.0020875+0.0023944i,-0.0011154+0.0018391i,-0.00045785+0.00044448i,-0.00032648-0.0010244i,-5.3612e-05-0.0007428i,4.6973e-05+4.2449e-05i,-1.8239e-05-3.2762e-05i,0.00018882+8.0784e-05i,0.00087034+9.2677e-05i,0.0010413-0.00053637i,-0.00010909-0.00060998i,-0.00058756-0.00037761i,0.00027347-0.00016279i,0.00049184+0.00038927i,8.8071e-06+0.00063322i,6.4719e-05+0.00062231i,0.00016898+0.00046294i,-0.00023876+0.00039427i,-0.00083614-0.00014723i
0.00086614+0.00028112i,0.0013751-0.00073331i,0.00050588-0.0010581i,-0.00022131-0.0010872i,-0.0010539-0.00089766i,-0.00082139-0.00012553i,-0.00046172+0.00021389i,-0.00079243+0.00022497i,-0.00063295+0.00066959i,-0.00055483-6.7641e-05i,-0.0001052-0.00082598i,0.00020056+0.00015093i,-0.0001462+0.00035499i,-8.3488e-05-0.00014825i,4.3634e-05-0.00033509i,0.00028803+4.5918e-05i,0.00082234+4.6162e-05i,0.00089079-0.00032754i,0.00037504-0.00099407i,9.471e-05-0.00088199i,-4.8122e-05-0.00015321i,-3.2264e-05-0.00080916i,-0.0001869-0.0011023i
-0.0013713+0.00087685i,-0.0014214+0.0010303i,-0.0018963+0.00093075i,-0.0026009+0.00047373i,-0.0016738+0.0012465i,0.00017549+0.00079079i,0.00087827-0.00063717i,-0.00035839-0.0012058i,-0.00080762-0.0010311i,-0.00018164-0.00060195i,-0.00010621+9.9354e-05i,0.00039972+0.00083762i,0.0005792+0.00055477i,0.00074193-0.00013745i,0.00080663-0.00036697i,0.0006447-0.00026222i,0.00073211-0.00062148i,0.00041483-0.00042165i,-9.094e-05+0.00015935i,-0.0001886+0.00078748i,-0.00037632-6.6426e-05i,-0.00024927-0.0013258i,-0.00029507-0.00043885i
0.0013465-0.0019359i,0.00028185-0.0019412i,-0.00026003-0.0019597i,-0.00027095-0.0017188i,-0.0006672-0.00078573i,0.00025574+0.00064945i,0.0011344+0.00055146i,0.00058104-3.7838e-05i,-0.00020102-0.00016813i,-0.00029812-0.00039536i,-0.00030877+8.6328e-05i,-0.00027884+0.00074548i,0.00025758+0.00065781i,-1.0277e-05+0.0001384i,-0.00044477-0.00063589i,0.00024442-0.0007467i,0.00017515-0.0002589i,0.00015384+0.00015227i,0.00039175+0.00066809i,-0.00096983+0.00056861i,-0.0016416+7.5854e-05i,-0.00042617-0.00040694i,1.9621e-05-5.5968e-05i
0.00034151+0.0016561i,-0.00017123+0.0010372i,-0.0013261+0.00074187i,-0.0022256+0.00091858i,-0.0013781+0.00075877i,-0.00096836+0.00037613i,-0.00055801-9.2159e-05i,-2.1981e-05-0.00023851i,-7.8652e-05+0.00027703i,0.00059+0.00032844i,0.00056816-0.0002612i,-0.00012993-0.00072881i,-7.8561e-05-0.00046461i,0.00017619+3.5669e-05i,-6.0794e-05+0.00023092i,3.577e-05+0.00017116i,-0.00019095+0.00049247i,-0.00037322+0.0006352i,-0.00020493+0.00070532i,0.00037704+0.00040107i,-0.00034354+5.9884e-05i,-0.001072-0.00078424i,-0.00059372-0.0012523i
0.0022619-0.001075i,0.0019537-0.0012156i,0.00055475-0.0025501i,-0.0017099-0.0025361i,-0.002951-0.00059584i,-0.0022589+0.00064605i,-0.0011103+0.00010672i,-0.0010585-0.00094466i,-0.00013403-0.00078254i,0.00089831-0.00026182i,0.00093957-0.00066695i,0.00087283-0.0002749i,0.00071783-0.00012797i,0.00096224-0.00013218i,0.0011454-0.00011289i,0.00049353-1.475e-05i,-9.5729e-05+1.8246e-05i,-0.00053679+0.00023092i,-0.00017362+0.00056604i,0.00013928+0.00031863i,-0.00011103+0.00039335i,-1.8571e-05+0.0006728i,0.00013726+0.0010016i
0.00030765+0.00071457i,0.00099448+0.00056372i,0.00066799+0.00074873i,-5.6277e-05+4.3891e-05i,0.00018227-0.00096243i,7.6817e-05-0.00083195i,-0.00011518-8.9599e-05i,-0.00012984+2.687e-05i,-0.00046211-1.4042e-05i,-0.00046192+0.00066289i,-0.00052917+0.00095495i,-0.00029545+0.00010878i,4.3036e-05-0.00061867i,-0.00015533-0.00062018i,-0.0008007-0.00052112i,-0.00069392-0.00030565i,-7.8105e-05+0.00042928i,-0.00020841+0.0006753i,-0.00011322+0.00034563i,-7.4452e-05+0.00019441i,-0.00060307-0.00040835i,-0.00095406-0.00068539i,-0.00050612-0.00069271i
0.00089277-0.00042201i,0.0012777-0.00089447i,-0.00057623-0.0013175i,-0.0022592-0.00080018i,-0.0020994+0.00036156i,-0.0010207+0.00079612i,-0.00044907+0.00051618i,-0.00031481+0.00066272i,-0.00014319+0.00042734i,-0.00030814+0.00037009i,-0.00050745+0.0005098i,-0.00036256-9.2901e-06i,-9.0082e-05-0.00032464i,0.00067069-0.0002037i,0.00050295-0.00023392i,0.00018864-0.00053489i,0.00025885-0.00079836i,-0.00031367-0.00068984i,-9.8392e-05-0.00052823i,-0.00050689-0.00051144i,-0.00046562+0.00015195i,-0.00014599+0.00028895i,-0.00055159-0.00030062i
-6.8071e-05+0.0012878i,-8.525e-05+0.0017786i,0.0010713+0.0027029i,0.00095656+0.0026109i,-0.00064712+0.0017905i,-0.00065863+0.0018116i,0.00058616+0.0010262i,0.0010464+7.0308e-05i,0.0010201+0.00017728i,0.00068307+0.00014735i,4.5748e-05-0.0001315i,0.00062901-0.00059553i,0.0010417-0.00060497i,0.00087592-0.00080071i,0.00067384-0.0010135i,0.000404-0.00061382i,8.8865e-05-7.6648e-05i,-0.00023626+0.00022525i,-0.00026679-0.00039619i,8.092e-05-0.00084757i,-0.00015043-0.00060323i,-0.00042679-0.00092056i,2.2155e-06-0.00086491i
0.00034691+0.00087429i,-7.5664e-05+0.00076922i,-0.001444-2.9735e-05i,-0.0018001-0.00098343i,-0.0013185-0.0007408i,-0.00064855+0.0001041i,8.7062e-05+0.00027855i,0.00025315-7.8928e-05i,-0.00038042-0.00027755i,-0.00069605-0.00033558i,-0.00034815-0.00021262i,0.00011966+0.00015537i,0.00045323+2.5076e-05i,0.00066102-0.0002827i,0.00032076-0.00019685i,0.00028896-5.906e-05i,0.0003458-9.9903e-05i,-9.9252e-05-0.00027737i,-0.00036588+0.00018892i,4.5612e-05+0.00015119i,0.00051124-0.00019616i,0.00040725-0.000113i,0.00018191-0.00017824i
-0.00013624+0.00071031i,0.00045762-8.3185e-05i,0.00090878-0.00011199i,0.0011759+0.00020347i,0.0016216+0.0007246i,0.0016179+0.00048878i,0.0011571+0.00026348i,0.00076333+5.3253e-05i,0.00050512-0.00059378i,8.5619e-05-0.00044842i,-0.00029825+0.00037138i,1.7492e-05+0.00011925i,0.00042708+0.0003928i,0.00040059+0.00017853i,0.00036333-0.00059752i,0.00026772-8.276e-05i,8.2844e-05+0.00010393i,1.4158e-05-0.00033997i,-3.9355e-06-0.001049i,-0.00037799-0.0012642i,-0.00030955-0.00038148i,2.4615e-05+0.00017912i,-5.7319e-05+0.00011128i
0.00080451-6.5117e-06i,0.0011846-0.00083654i,0.0006446-0.0019114i,-0.00023253-0.0017628i,-0.00056697-0.00061839i,-0.00064344+0.00061551i,-0.00058903+0.001077i,-6.1348e-05+0.00058621i,0.0004115-0.00047583i,0.00024737-0.00068761i,0.00043567-0.00026177i,0.0009562+0.00026359i,0.00091531+0.00050064i,0.0010752+0.00014812i,0.00079393-0.00015497i,0.00023515-0.00050318i,0.00027643-0.00018023i,-0.0001233+5.1488e-05i,-0.00061684+5.56e-05i,-0.00029048+0.00012023i,-8.808e-05+0.00020807i,0.00010569-0.00018946i,0.00029953-0.00014005i
-0.0003662+0.00012953i,0.00068449+0.0010694i,0.00092945+0.0015192i,-0.00037051+0.00055601i,-0.00093562-0.00025362i,-0.00028306+0.00016112i,-0.00083296+0.0010359i,-0.0012907+0.0010575i,-0.00071562+0.00080086i,0.00021398+0.00023815i,0.00024984-7.3394e-05i,-2.9606e-05+0.00035835i,0.00044037+0.00050489i,0.0001397+0.00036859i,-0.00045309+0.00012721i,-0.00066566+0.00022259i,-0.00039741-0.00025205i,0.00028224-0.00062648i,0.00020203-5.2284e-05i,-3.8286e-05+0.00068935i,-9.9464e-05+0.00012513i,-5.5471e-05-0.00080598i,0.00063879-0.00034299i
-0.0016678-0.0016091i,-0.0018905+0.00058559i,-0.00214+0.0022582i,-0.0017149+0.0028037i,-0.0011343+0.0030593i,-0.00065311+0.002171i,-5.0316e-07+0.00094439i,-1.0228e-05+2.0458e-05i,-0.00073221-0.00078861i,-0.0010679-0.00038176i,-0.00047151+0.00042521i,0.00014715+0.0010716i,0.00070599+0.00064076i,0.0013678-0.0006677i,0.0014062-0.00071321i,0.00068787-0.00014937i,0.00022317+0.00037857i,0.00048907+0.00090199i,0.00038186+7.9105e-05i,0.00021271-0.00013974i,0.00028028+3.5168e-05i,0.00025564-0.00015537i,-3.6907e-05-0.00010582i
0.0013131-0.0020322i,-0.00073795-0.002243i,-0.0021071-0.0026065i,-0.003082-0.0011622i,-0.003056+0.0010289i,-0.0011077+0.001776i,0.00055382+0.00083606i,0.0007947-0.00025176i,0.00044262-6.4463e-05i,-0.00017+7.6201e-05i,-6.0895e-05-9.185e-05i,0.00051261-8.2162e-05i,0.00058601+0.00055898i,0.00060142+0.00069454i,-4.8927e-05+0.00010437i,-0.00050409+1.6178e-05i,-0.00031622+0.00011816i,-6.3632e-05-5.8259e-05i,-1.0561e-05-0.00064397i,3.6335e-05-0.00075022i,0.00034805-0.00017008i,0.0002332-0.00046452i,-0.00017552-0.00055391i
0.00037247+0.0018667i,0.0019461+0.0023231i,0.0029905+0.0025484i,0.0022023+0.0017057i,0.00047168+0.00090554i,4.4493e-05+0.00058654i,0.00049816+3.0114e-05i,0.00027111+0.00010565i,0.00067959+0.00054366i,0.0015079-0.00028271i,0.001258-0.00069451i,0.00031312-5.5409e-05i,-1.1501e-05+0.00027729i,-0.0002178+0.00058562i,-0.00068221+0.00072833i,-0.00085543+0.00059449i,-0.00095693+0.0006512i,-0.00046724+6.8557e-05i,-0.00025134-0.00059727i,-0.00028202+0.00018072i,-5.0021e-05+0.0012171i,8.6879e-05+0.00099182i,0.0004115+0.00053524i
0.00057087-0.00095268i,-0.00071812-0.0013598i,-0.0018539-0.0013938i,-0.0023516-0.00030347i,-0.0016845+0.0004779i,-0.0010047+0.00031615i,-0.001071+8.6873e-05i,-0.0010642-0.0002355i,-0.00053063-0.0005449i,-0.00028209-0.00049228i,-9.6098e-05-9.2107e-05i,-3.9554e-05+0.00011892i,-0.00014952-0.00013036i,0.00015561-0.00075241i,0.0007414-0.0010863i,0.0010706-0.001089i,0.00088026-0.00086482i,6.3718e-05-0.00019736i,7.6205e-05-0.00055443i,5.7058e-05-0.0010414i,-0.00050821-0.00029815i,-0.00042932-0.00026878i,0.00017259-0.00061643i
0.00085614-0.0016817i,0.00080301-0.00081441i,0.0010277-0.00034601i,0.00062432-1.2719e-05i,-0.00044821+0.00099068i,-0.00039063+0.0016611i,0.0003279+7.4345e-05i,0.00069157-0.0016055i,-3.2392e-05-0.0013126i,-0.00081082-0.00038706i,-0.00041433+2.0709e-05i,-0.00010264+0.00023929i,0.00038441+0.00039667i,0.0011498+0.00058784i,0.0011206+0.00062873i,0.00023967+0.00037479i,0.00021931+0.00013527i,0.00050537-0.00029469i,0.00058528-0.00070066i,0.00037386-0.00050041i,0.0003244-0.00012403i,0.00086978-0.00040837i,0.00040942-0.00011751i
0.00058583-0.0011556i,5.4263e-05-0.0027547i,-0.0012738-0.0041995i,-0.0033897-0.0035075i,-0.003725-0.0017975i,-0.0018786-5.1679e-05i,-0.00059006+0.00032127i,-0.0011006+0.00022018i,-0.0013324+8.6607e-05i,-0.00068039-4.9369e-05i,-0.00040445+0.00073344i,8.9547e-05+0.0014486i,0.00014034+0.0011595i,0.00062534+0.00052181i,0.00056742+1.4506e-05i,0.00033405-0.00027344i,0.00043406-3.0268e-05i,-0.0001098+0.00054443i,-0.00054732+0.00036075i,-0.00017276+7.2191e-05i,0.00037085+0.00024221i,0.00056541+0.00031111i,0.000519+0.00051362i
-0.001405+0.00085715i,-0.0024727+0.00061137i,-0.0025311+0.00096814i,-0.0016988+0.00048672i,-0.00050476-0.00042169i,0.0001825+0.00016856i,-0.00051644+0.00030841i,-0.00061729-0.00041031i,-5.7669e-05-0.00041153i,0.00070342-0.00017005i,0.0005491-0.00020642i,0.00052799-0.00030814i,0.00078143+4.2497e-05i,0.0006604-0.0002607i,0.00036943-0.00094024i,0.00036468-0.00092673i,0.0010085-0.00023528i,0.0013054-0.00026116i,0.00066854-0.00085561i,2.4633e-05-0.00095871i,-0.00042342-0.00036787i,-0.00040492+0.0004339i,2.7138e-05+1.4143e-05i
-0.00081509-0.0020248i,-0.00021873-0.0020165i,-0.00038347-0.0020174i,-0.0011427-0.00079326i,-0.0015808+0.0006738i,-0.00096316+0.0019829i,0.00020165+0.0019339i,0.00062532+0.00048132i,0.00018451-7.1588e-06i,7.2118e-05-6.7502e-05i,2.2298e-05+7.8762e-06i,-0.000591+1.0049e-05i,2.7525e-05+9.7832e-05i,0.00083108-6.4542e-05i,0.00072094-0.00019617i,0.0011445-0.000111i,0.0010534-0.00077548i,0.00038299-0.00071738i,0.00050823-8.5551e-05i,0.0005192+0.00052574i,9.949e-05+0.00090937i,-0.00037005+0.0008084i,-0.0005897+0.00018574i
-0.00067399+0.001115i,-6.86e-05+0.00094738i,5.8235e-05+0.0010891i,-0.0012119+0.0010113i,-0.0012458+0.0011798i,-3.1031e-05+0.0016407i,0.00041238+0.0009038i,-0.00010852+0.00029287i,-0.00010502+0.00051298i,-0.00035877+0.00014438i,-0.00077601-2.71e-05i,-0.00082864-0.00027215i,-0.00052218-0.00099383i,-4.4478e-05-0.0010708i,-2.4768e-05-0.00052296i,5.245e-05-0.00018704i,0.00050176+0.00029904i,0.00067641+0.00069649i,0.00066519+0.0006587i,0.00026151+0.00026807i,9.8233e-05-0.00021988i,-0.00038726-0.00018671i,-0.0010118-0.00071782i
-0.00062673+0.0005964i,-0.00040114+0.00080888i,0.0007768+0.00061406i,0.0014446+0.0006204i,0.0012881+0.0013866i,-5.8102e-05+0.0012185i,-0.00046491-7.1578e-05i,-0.00013957-0.0010344i,-0.00038659-0.00050358i,-2.0702e-05+0.00074866i,0.00055767+0.0011804i,0.00030811+0.00051666i,0.00099476+0.00043101i,0.001358+0.00096189i,0.00031654+0.00053178i,-0.00050864-0.00030828i,0.00023367-1.3722e-05i,0.00091107+0.00054052i,0.00095118-3.657e-05i,0.00097098-0.00074587i,0.00073747-0.00085734i,0.00034243-0.00069128i,-0.00017822-0.00064833i
0.00089743-0.00037749i,-0.00030426-0.0015535i,-0.0016448-0.001186i,-0.0019085-0.00045399i,-0.001542-0.00010739i,-0.0007716+0.00011993i,-0.00077481+0.00039438i,-0.00083662-7.6622e-05i,-0.00038739-0.00018908i,-5.0744e-05-0.00031807i,-1.2935e-06-7.7638e-05i,0.00025558+0.00033112i,0.0012188+0.00035172i,0.00096104+8.5058e-05i,0.00052226-6.9449e-05i,0.00043539+0.00019003i,-0.00030655+8.3189e-06i,-0.00043698-2.3222e-05i,2.6869e-05+0.00032246i,-8.8118e-05+0.0003715i,-0.00034774+0.00044714i,0.00034263+0.00067045i,0.00050159+0.00058996i
-0.0005798-2.9203e-05i,-0.0005338-0.00099379i,-0.00070406-0.0011458i,-0.0010679-0.00032219i,-0.0012298+0.0003627i,-0.00079001+3.9416e-05i,-0.0004738-0.00025846i,-0.00042235-0.00030876i,-0.00022075+0.0005863i,0.00074275+0.00098943i,0.00099479+0.0011965i,0.00025383+0.00099656i,0.00033532+0.00028321i,0.0004846-0.00038301i,-0.00013009-0.00030625i,-0.0011433-0.0002966i,-0.00089056-0.00073604i,-0.00059347-0.00063445i,-0.00014761-0.00034441i,-0.00015866-9.6439e-05i,-0.00049828-0.0004906i,-0.00043741-0.00057367i,-0.00029906-0.00081733i
0.00032795+0.00057699i,0.0011225-0.0004549i,0.0012738-0.0009791i,0.00070571-0.00045552i,-0.00096361+0.00049244i,-0.001671+0.0015364i,-0.00093342+0.0012148i,-0.00014426+0.00014939i,0.00050026-3.5422e-05i,0.0014941+0.00019316i,0.0016194+0.00033563i,0.0006602+0.00075237i,0.00036688+0.0010075i,0.00062029+0.00086612i,0.00053026+6.0838e-05i,0.00078295-0.0010685i,0.00075834-0.00051462i,0.0001212+6.3174e-05i,-0.00036188-0.00067183i,-0.00033241-0.00076243i,0.00015252-0.00012364i,0.00024696-0.00043772i,-0.0001329-0.00093684i
-0.0015865-0.00069988i,-0.00090304+0.00030054i,-0.00074807+0.0019268i,-0.0009122+0.0022623i,-0.00046665+0.0017751i,0.00072922+0.0014848i,0.0012007+0.00088363i,0.00077093+0.00044418i,-3.0955e-05+0.00063545i,0.0003068+0.00091061i,0.00056845+0.00051966i,5.2259e-06+0.00019637i,-0.00045123+0.00020201i,-0.00014922+0.00010846i,0.00010448+0.00038751i,0.00041084+0.00014706i,0.00025569-0.0003022i,-0.00025561-0.0001565i,-0.00062872+1.5076e-06i,-0.00042147-0.00015454i,-0.00010868-0.0001988i,-0.00023125-0.0004044i,0.00015863-0.00039099i
0.00095107+0.0013221i,0.0003695+2.0407e-05i,0.00079446-0.0015409i,4.8137e-05-0.0012166i,-0.0010964-0.00048721i,-0.0010027+0.00029083i,-0.00063267+0.00061598i,0.00016503+0.00021646i,0.00075523+0.00016814i,0.00010407+0.00063295i,-0.000542+0.00010852i,-0.00088033-0.00030008i,-0.0004968+0.00075274i,0.00015547+0.0011051i,3.1587e-05+0.00066328i,-9.1041e-05+0.0006386i,-0.0003067+0.00091972i,-9.7669e-05+0.00056714i,0.00031186-1.5648e-05i,-0.0005321+0.00042502i,-0.00084591+0.00058747i,-2.9716e-05+5.8598e-06i,7.5366e-05-0.0001641i
