-0.0020768-0.00039672i,-0.0011724-0.00045819i,-0.0016115+0.0012314i,-0.0014627+0.002827i,-0.00044985+0.0032937i,0.00062721+0.002498i,0.00066346+0.001497i,0.00052962+0.0012092i,0.00069186+0.0020057i,0.001287+0.0021054i,0.0019694+0.00072236i,0.0008094-0.00034481i,-0.0004883-0.00068746i,-0.00078956-0.00115i,-0.00027592-0.0011315i,-0.00051829-0.00051311i,-0.0013882-0.00027224i,-0.00082791-0.00060872i,-0.00064776-2.1994e-05i,-0.00087819+0.00087925i,-0.000695+0.00080274i,-0.0006424-0.00024277i,8.6566e-05-0.00052542i
-0.00057867-0.0010391i,-0.0016052+0.00017819i,-0.0026619+0.00049517i,-0.0027865+0.00099222i,-0.001089+0.0019579i,-0.00010728+0.0024185i,0.00040677+0.0019057i,0.00040625+0.0010343i,-0.00073714+0.00063469i,-0.0012+0.00058145i,-0.00089074+0.00035957i,-0.00084199+0.00021563i,-0.00068042+0.00035289i,-0.00072648-0.00019691i,-0.0006578-1.9104e-05i,-0.00040489+0.00091304i,0.00029581+0.00039938i,0.00064897+0.0002367i,-0.00011296+0.00037858i,-0.00068294+0.00040347i,-0.000402+0.00052092i,0.00020146-2.6609e-06i,-0.00013631+0.00017463i
6.0272e-05-0.0016892i,0.00087319-0.0027866i,0.0010134-0.0028804i,-0.00058249-0.0029039i,-0.0010499-0.0025948i,-0.00016469-0.00093787i,0.00065861+0.00092325i,0.00075811+0.0013738i,-0.00011767+0.0011671i,-0.0003924+0.00079921i,-0.00063765+3.8613e-05i,-0.0006669-0.00076346i,-0.000278-0.00055243i,-0.0003502-0.00027728i,-0.000213+6.9223e-05i,-0.00019553+0.00018622i,-0.00035512+0.00018523i,-0.00097832-1.4487e-06i,-0.0017208+0.00022091i,-0.0013111+0.00036201i,-0.00054559+4.5273e-06i,-0.00080807-0.00041745i,-0.0010793-0.00079164i
0.0011565-0.0010621i,0.00086777-0.0014169i,0.00025436-0.0018339i,-0.00070782-0.00097452i,-0.00054162+0.00011519i,-0.00025968+0.0013301i,-1.5996e-05+0.0019778i,0.00082591+0.0021016i,0.00068095+0.0019875i,-0.00035959+0.0012982i,-0.00072455+0.0006326i,-0.00010389+0.00070285i,0.00020299+0.0011596i,0.0002041+0.0009031i,0.00064978+8.4168e-05i,0.0011159+0.0001557i,0.00040348+0.0007099i,0.00015186+0.00089777i,0.00010597+0.00089436i,-0.00032131+0.00078242i,-0.0013433+0.00062543i,-0.0013684-1.5034e-05i,-0.00023145-0.00020299i
0.00030501-0.0014405i,-0.00012913-0.0021574i,-0.00030711-0.001455i,-0.0006235-0.00065657i,-0.00076431+7.308e-05i,0.00053936+0.00095389i,0.00067211+0.0005774i,-0.00016415+0.00021079i,-7.896e-05+0.00092446i,3.362e-05+0.0017923i,-4.1536e-05+0.0018207i,-0.00043657+0.00096283i,7.8863e-05-0.00020792i,0.00078173-0.00064712i,0.00094807-9.1298e-05i,0.00087887+0.00039125i,0.00057068+6.9114e-05i,0.00021821-0.00091367i,9.0136e-06-0.00060944i,0.00056808+0.00035008i,0.00056109+0.00059586i,-5.2746e-05+0.00084828i,-7.8619e-05+0.00098329i
0.00012334-0.00057246i,0.00052893-0.0012509i,0.00052312-0.00065175i,0.0014235+0.0010679i,0.002432+0.0020446i,0.0026894+0.0013229i,0.0018974+0.00038836i,0.00046014-0.00039202i,-0.00068322-8.3144e-07i,-0.00029201+0.00068003i,-4.7065e-05+0.0011452i,-0.00017383+0.0010945i,0.00015405+0.00025739i,0.00041649-0.00055105i,0.0002913-0.00027584i,0.00023615-0.0002322i,0.00021457-0.00077155i,0.00044927-0.00014597i,0.00064486-3.9862e-05i,0.00062952+0.00018424i,0.00012963+0.00031472i,-0.00032393-4.6158e-05i,-0.00037469-0.00017388i
-0.0014281+0.00059781i,-0.00081084+0.00019661i,-0.001576+0.00028047i,-0.001511+0.001187i,0.00058458+0.0018483i,0.0017246+0.00088555i,0.0013066+0.00043973i,0.00075565+0.0007817i,-0.00029385+0.0011254i,-0.00097207+0.00059753i,-0.00087616+0.000355i,-0.0011976+0.00048i,-0.0005948-0.0012311i,0.00020955-0.0009121i,-0.00035743+0.00077942i,-0.00040593+0.00083343i,-2.0124e-05+0.000778i,0.00026292+0.00010337i,0.00067592-0.00067829i,0.00040415-0.00027881i,0.00036788-0.00039677i,4.7819e-05-0.00063003i,-4.9296e-05-0.00067117i
0.00052649+0.0012694i,0.001718+0.0012463i,0.0018506+0.00094607i,0.001658+0.0013316i,0.0020535+0.0010848i,0.0017829+0.00037092i,0.0015415+0.0010235i,0.0010186+0.0013571i,0.00011479+0.00086907i,-0.00034461+0.00029089i,-0.00078914-1.2423e-05i,-0.0013832+1.8473e-05i,-0.00079046+1.8888e-05i,-0.00046853-8.617e-05i,-0.00040344-0.00010603i,0.00029279+8.267e-05i,0.0004228+0.00017131i,0.00018794+0.00055184i,7.5381e-05+0.0006379i,-0.0001657+0.00032535i,0.00032625+0.00010283i,0.00045857-0.0001129i,-0.00039623-9.724e-05i
-3.2086e-05-0.0011596i,0.0002697-0.0010539i,-0.00062855-0.00086556i,-0.0011081+0.00015544i,-0.00044259+0.0012151i,0.00089981+0.00057437i,0.0012856+0.00055486i,0.00080879+0.00097154i,0.00012651+0.00092905i,0.00018592+0.00077843i,0.0006807+0.00025615i,0.00062087-0.00059837i,0.00052755-0.001004i,0.00091734-0.00035105i,0.00077973+0.00012303i,0.00031369-9.6958e-05i,-0.00017326-7.2091e-05i,-0.00031401-9.6801e-05i,0.00024905-0.00031437i,0.00082353-0.00035248i,0.0009888-0.00038924i,0.00069839-1.7772e-05i,0.0006103-0.00013602i
0.00092839-0.00024675i,0.0011269-0.00068514i,0.00081664-0.0010227i,4.2391e-05-0.0013911i,0.00037664-0.0011095i,0.0011471-0.00056898i,0.0012866-0.00024021i,0.00016078+0.00041777i,-0.00052911+0.00079914i,-0.00039494+0.00031495i,1.9017e-05+3.854e-05i,0.00032963+8.8256e-05i,5.6221e-05+0.00033173i,0.00014916+0.00074165i,0.00081607+0.00095567i,0.0010252+0.0010792i,0.0012498+0.00089488i,0.0016223+7.7496e-05i,0.0010011-0.00032608i,-8.4609e-05-0.00027418i,-0.0007172-7.9159e-05i,-0.00037856-6.423e-05i,-0.00024946+0.00046622i
0.0010521-0.00013333i,0.00041126-0.00099184i,0.00032454-0.00054022i,0.0006307+8.6185e-05i,0.0010444+0.00053361i,0.0011491+0.00069457i,0.00028344+0.0012248i,-0.0007234+0.0015235i,-0.0011298+0.00091545i,-0.0009123+9.2443e-05i,-0.00060323-0.00034564i,-0.00062113-0.00038127i,-0.00028244+0.00019343i,-0.00043994+0.00036208i,-0.00075786+0.00047195i,-0.00025454+0.0010698i,0.00025664+0.00085906i,-0.0003532+0.00050418i,-0.00076902+2.3233e-05i,-0.00014503-0.00047667i,-0.00042693-0.00019092i,-0.00069711-0.00016292i,-6.852e-05-0.00064502i
-0.000371+0.0010162i,0.00039297+0.00068597i,0.00050396+0.00011124i,0.0014138-0.00072443i,0.0020346-0.00061694i,0.001453-9.8865e-05i,0.00028885-0.00071856i,3.2716e-05-0.00052131i,0.00032916+0.00037064i,0.00027114+0.00052932i,0.00011035+0.00032563i,-0.0005633+0.00016251i,-0.0014667+0.00013444i,-0.0016095+2.8444e-05i,-0.00060375-0.00054292i,0.00017934-0.00040896i,0.0003736+0.00014787i,0.00038189+0.00077805i,-0.00032853+0.0015081i,-0.00052107+0.00048229i,2.6993e-05+0.00021538i,-0.00033918+0.0005876i,-0.00066804-0.00024953i
-0.00039146-0.0010296i,-0.001063-0.0016605i,-0.0011211-0.0011634i,-0.00091206+0.00090947i,-0.00019656+0.0026928i,0.00054927+0.0025316i,0.00011469+0.001478i,-0.00043548+0.0012581i,0.00010956+0.0013779i,6.5431e-05+0.0015404i,-0.00067181+0.00057037i,-0.00025298-0.00032024i,0.00093826-0.00069744i,0.00049837-0.0013712i,-0.0006077-0.0017343i,-0.00063283-0.00066902i,-0.0009238+0.00019662i,-0.00081912-0.00014822i,-0.00042641-7.2307e-05i,-0.00048587+0.0004501i,-0.000559+0.0011246i,-0.00029642+0.00083013i,1.1149e-06+0.0003701i
0.0014193-0.0001739i,0.0011044-0.00016674i,0.00060675+2.1398e-05i,0.00049743-0.00031426i,0.000125-0.00025105i,-0.00038251-0.0007316i,-3.6659e-05-0.00044464i,0.00037478+0.0010408i,0.00020214+0.0019029i,-0.00029457+0.0019052i,-0.00049756+0.00064676i,-0.00034659-0.00022653i,-0.00080815-0.0002813i,-0.00071034+2.8516e-05i,-0.00055433+0.00044978i,-0.00044804+0.00038182i,0.00012077+0.001176i,0.00041198+0.0014882i,0.0003981+0.00044248i,0.00026586+0.00031712i,-0.00073348+0.00043404i,-0.0006265-0.00019571i,2.6066e-05-0.0008667i
8.6132e-05+0.00031077i,-7.0148e-05-0.00028682i,-0.00048225+0.00017107i,0.00081194+0.00058112i,0.0023594-4.4953e-05i,0.0027633-0.00024231i,0.0022751+9.0198e-06i,0.00053741+0.0006871i,0.00022254+0.0012012i,0.0011459+0.0014488i,0.00042049+0.0014886i,-0.00028268+0.00076298i,-0.0003361-0.00011383i,-0.00043008-0.00031725i,-0.00020656+0.0005004i,-6.7368e-05+0.0011199i,0.00056819+0.00082446i,0.00094562+0.00033684i,0.00057474-3.9686e-05i,-8.9433e-05+0.00033095i,-0.00032347+0.00020904i,-0.00058915-0.00030411i,-0.00036942-0.00050925i
-0.00026047+0.00025587i,-3.2628e-05+0.00068913i,-0.0019819+0.00089036i,-0.0022015+0.0015171i,-0.00012241+0.0023238i,0.0012524+0.0016506i,0.00099864+0.00034779i,-2.5925e-06+8.2048e-05i,-0.00017054+0.0010313i,0.00025547+0.0010287i,0.00068473+0.00020139i,0.00043611+8.8976e-06i,0.00032319+0.00017404i,0.00055122-0.00027903i,0.00054111-0.00081219i,0.00030709-0.00040723i,0.0006666-0.00022344i,0.0010268-0.00038771i,0.00055263-0.00029403i,-0.00062672-0.00022177i,-0.001142+1.1261e-05i,-0.00074071-0.0002686i,-0.00023346-0.0007055i
-0.00069915-0.0007404i,-0.00099261-0.00069348i,-0.001241-0.00097724i,-0.0012477-0.001011i,-0.0011172-0.00071961i,0.00039345-0.00011602i,0.0011942+0.00046972i,0.00070959+0.00067009i,0.00026089+0.0013259i,-0.00071269+0.002036i,-0.00090356+0.0017568i,-0.0005114+0.00043867i,-0.0007192-0.00074655i,-0.00048957-0.0011621i,7.7618e-05-0.001031i,0.00046455-0.00043453i,0.00084247-0.00012535i,0.00029488-1.5023e-05i,-0.00030632+6.2658e-05i,-0.00055061+5.7799e-05i,-0.00062481+0.00025648i,-0.00034134+0.00043737i,3.6337e-05+0.00037212i
7.8519e-05-7.4275e-05i,0.00056161-0.00062054i,-0.00021616-0.0010608i,-0.00019922+0.00015807i,0.00035032+0.001379i,0.0011571+0.0011002i,0.0010184+0.00016162i,0.00018163+0.00025006i,-7.3974e-05+0.00019i,-0.00045786+0.0004801i,-0.00073825+0.00080314i,-0.00076816+2.1231e-05i,-0.00013663-0.00049888i,-3.2762e-05-0.00060889i,-0.00056291-0.0006452i,0.00019976-0.00059508i,0.00017178-0.00058968i,-0.00050337-0.00016731i,-0.00073698+4.109e-05i,-0.00054609-0.00024791i,-0.00014436+7.0211e-05i,-0.00045511+0.00027874i,-0.00087332+0.00051749i
3.8619e-05-0.00084i,-0.00087957-0.0016297i,-0.0021955-0.0024466i,-0.0026628-0.0020716i,-0.0014708-0.00018201i,0.00029457+0.00079171i,0.0014711+0.00051805i,0.0011512+0.00072961i,0.00031787+0.00058066i,-8.4169e-05+0.0010437i,-0.00040363+0.0017154i,-0.00041974+0.00072299i,-0.00033377-0.00014362i,-0.00027183-0.00015757i,0.00042584-0.00078872i,0.0012274-0.0013924i,0.00091915-0.0010449i,0.00070464-0.00026281i,0.0003231-8.6571e-05i,-0.00012245+5.4934e-05i,-0.000334+0.00018594i,-0.00066997-0.00011874i,-0.00056203-0.00051872i
0.00014421+0.00014682i,0.0001356-0.00015863i,-0.00066831-0.000994i,-0.0015649-0.0013955i,-0.00091239-0.00027207i,0.00019794+0.0002253i,0.00049354+0.00032082i,-0.00010166+0.00083885i,-0.00035453+0.0011807i,0.00016377+0.001183i,0.0004324+0.00087933i,0.00066807+0.0008523i,0.00084415+0.00065407i,0.00064588+0.0002571i,0.0004648+8.391e-05i,0.00070224+0.00023568i,0.00081132+0.00058017i,8.8522e-05+0.00096872i,-0.00071214+0.0012596i,-0.00063604+0.000698i,-0.00028455-0.00028547i,-0.00015418-0.00029533i,-0.00013762+5.7395e-05i
0.00055506+0.00031273i,0.00077671+6.8308e-05i,-3.1204e-05-0.00078404i,-0.00066076-0.00030362i,5.8481e-06+0.00081368i,0.00091777+5.9943e-05i,0.0015694-0.00062771i,0.0015735-0.00013906i,0.00020685+0.00065134i,-0.0014446+0.00070222i,-0.0012937+0.00028925i,-0.00059467+0.00034058i,-0.00014668+0.00013221i,0.00018181-0.00039938i,0.00018567-0.00051565i,0.00052677-0.00014167i,0.0010174+0.00042134i,0.00098642+0.00082259i,0.0003374+0.00022683i,-0.0002627-6.7492e-05i,0.00018479-4.7858e-06i,0.00077218-0.00041373i,0.00042507+0.00013185i
0.00063346-0.00031888i,0.00012856+3.0587e-05i,-0.00010535+0.00033272i,6.8667e-05+3.9908e-05i,0.0001738+0.00016975i,0.00032153+0.00080723i,0.00060832+0.00082302i,0.0003432+0.00043662i,0.00025555+0.00046243i,-1.4376e-05+0.00074446i,-0.0003063+0.00029488i,-0.00017987-0.00064973i,0.00034584-0.00022918i,0.00021785+0.00078133i,-0.00020971+0.00056043i,2.5096e-05+0.00036778i,0.00022345+0.00031906i,-1.7992e-06+3.4296e-05i,-0.00020827+0.00073249i,-0.00094844+0.0011967i,-0.00037665+0.00045167i,0.00031905-0.00037314i,-9.4777e-05-0.00027895i
-0.00046791-0.0011117i,-0.0010924-0.0016094i,-0.002258-0.0021001i,-0.0017967-0.0015929i,-0.0003033-0.00015754i,0.00066971+0.0008773i,0.00061536+0.001578i,-1.8042e-05+0.001611i,-0.00026232+0.0016618i,-0.00047759+0.0013984i,-0.00033759+0.0004833i,-0.00017762-1.6073e-05i,-0.00018233+0.00015086i,-0.00016304-5.7197e-05i,0.00025535-0.00066931i,0.00053524-0.00055335i,0.00044967+0.00015796i,0.00022211+4.953e-05i,-0.00031567-0.00048528i,-0.00059504-0.00070301i,-0.00040754-0.00025613i,-0.0005103+0.00027875i,-0.00057668+0.00024772i
0.0012118-2.329e-05i,0.0021607+2.2287e-05i,0.0017893+0.00047406i,0.0014038+0.00038262i,0.0010017-0.00049268i,0.00099714-0.00033698i,0.00097067+0.00042171i,0.00023123+0.00084547i,0.00035992+0.00081641i,0.000924+0.00049301i,0.00064469+0.00013222i,0.00041765-0.00016844i,0.0006822-0.00036456i,1.9947e-05-0.00096062i,-0.00072907-0.0014623i,-0.00019034-0.0008412i,-0.0006445+0.0001771i,-0.0010937+0.00043221i,-0.00015558+4.2684e-05i,0.00047255+5.3109e-05i,-0.00026248+0.00019923i,-0.00078131+0.00044129i,0.00036998+0.00015645i
-1.3694e-05-0.00013316i,0.00042071-0.00033569i,-0.00074074-0.00023078i,-0.0010939+0.00034426i,-0.00023987+0.0010458i,0.00092458+0.00062466i,0.0014938-2.1849e-05i,0.0012451+0.00046655i,0.00056037+0.00067481i,7.1688e-05+0.00054933i,-0.00046609-0.00032308i,-0.00037578-0.0011254i,-6.1047e-05-0.00063803i,-0.00055456-0.00036915i,-1.9997e-05-0.00037658i,0.00080465+0.00026796i,0.00077796+0.00076057i,0.00071869+0.00025258i,0.00073465-0.00014288i,0.00037182+0.00041082i,0.00018127+0.00062056i,0.00041299+0.00020422i,0.00022426+9.8003e-05i
-0.00014702-0.0021975i,0.00033945-0.0015578i,-0.00017025-0.00048941i,-0.0017978+0.00014153i,-0.0017502+0.00048261i,-0.00089321+0.00064078i,0.00024937+0.00068106i,0.0010035+0.000294i,0.00012702+0.0007345i,-0.00083421+0.0015455i,-0.00093637+0.0010284i,-0.001095+8.3676e-05i,-0.0011171-0.0002795i,-0.00039311-0.00028942i,-5.3423e-05-0.00020845i,-0.00012566-7.4338e-05i,0.00020647+0.00029862i,0.00024682+0.00019365i,-0.00064317-0.00088859i,-0.0005733-0.0014329i,2.3463e-05-0.00065885i,-0.00046711+0.00013321i,-0.0013564-3.738e-06i
-0.00044132-0.00038938i,-0.00042205-0.001457i,1.8509e-06-0.00199i,0.0011659-0.001458i,0.00142+0.00048259i,0.00099645+0.0012399i,0.00039399+0.000656i,2.481e-05+0.00095905i,-0.00057359+0.00059969i,-0.00095406-0.00023719i,-0.00068774-0.0008358i,-0.00040562-0.0012414i,-1.3722e-05-0.00063676i,0.00056569-2.5373e-05i,0.00038148+0.00034944i,0.00034759-3.5304e-05i,0.00084195-0.00028253i,-0.00037289+0.00021857i,-0.0012205+0.00047281i,-0.00061426+0.00022248i,-0.00031787-0.000204i,-0.00040315-0.00066208i,-0.00033767-0.00027089i
0.00076597+0.00084663i,9.8036e-05+6.4672e-05i,3.5222e-05-0.00017395i,0.00018568+0.0010568i,0.00042722+0.002186i,0.00087312+0.0018501i,0.00075353-5.4903e-05i,0.00026352-0.0002457i,-0.00047708+1.6111e-05i,-0.0009967-0.00011185i,-0.001116+0.00024134i,-0.00086382+0.00014023i,-0.00035815-0.00062743i,0.00071406-0.00091881i,0.00047511-0.00032685i,-0.00015978+6.2859e-05i,0.00044083-0.00014221i,0.00049852-0.00076556i,6.4629e-05-0.00036801i,-0.0006036+0.00035317i,-0.00041583+0.00034932i,-1.9222e-05+0.00037513i,0.00034754+0.00058415i
-0.00011643+0.0010695i,0.00022406+0.00010344i,-0.0003665-0.00076431i,-1.452e-05-0.00049096i,0.0017586+0.00011603i,0.0027219+0.00061464i,0.0011967+0.0014489i,0.00043387+0.0018478i,0.00071366+0.0016167i,0.00098355+0.0013144i,0.00070738+0.00050754i,-0.00027165-0.00048328i,-0.00081189-0.0003212i,-0.00055761+0.00070789i,-0.00030383+0.0013473i,-0.00016206+0.001517i,-0.00028663+0.00072922i,-0.00059945-0.00057i,0.00035904-0.00043399i,0.00029076+0.00015428i,-1.7407e-05+0.00066932i,-0.00026605+0.00051046i,-0.00077695+0.00049553i
0.0012465-0.00011382i,0.001144-0.00097589i,0.0013565-0.00089256i,0.0010196+0.00063798i,0.00017258+0.0014703i,0.00019238+0.001344i,0.00075295+0.00082048i,0.0002632+0.00073086i,0.00010419+0.0012364i,0.00022419+0.001168i,-7.8869e-05+0.00059647i,3.24e-05+0.00040805i,4.554e-06+0.00026236i,0.00012248-0.00015285i,0.00029974+0.00017873i,0.00074719+0.00058083i,0.00087666+0.00033362i,0.00054885-0.0001098i,0.00026958-0.00061845i,-0.00045419-0.00031067i,-0.00056468+0.00033147i,-0.00029776-5.7382e-05i,0.00026536-0.00060351i
-0.00063507-0.0017169i,-0.0016085-0.0024427i,-0.0015775-0.0037144i,-0.0015212-0.0025142i,-0.0019734-0.00092637i,-0.00065789-0.00078545i,0.00085526-0.00029533i,0.001061+7.6311e-05i,0.00060959+0.00016062i,-0.00010946+0.0007981i,-0.00047807+0.00048156i,-0.00064357-0.00044025i,-0.00020859-0.0003587i,0.00053479-0.00017124i,0.00054136-0.00064688i,0.00019088-0.00049186i,-0.00043981-0.0002911i,-0.00028703-0.00020952i,-0.00028626+0.00048244i,-0.00033931+0.00022565i,-0.00033839+0.00022023i,-0.00012153-0.00016592i,0.00011629-0.00052294i
0.00083882-0.00046028i,0.0014209-8.1542e-05i,0.0004774-0.00018939i,-0.00023671+0.00012668i,0.00020149+0.0011478i,0.00092906+0.001439i,0.001001+0.0014798i,-6.1586e-05+0.0016091i,-0.00037335+0.0013351i,0.00013031+0.00092939i,-0.00025522+0.00042394i,-0.00055592-0.00053964i,-0.00022731-0.0010296i,-0.00013141-0.00035931i,-0.00068924+0.0002185i,-0.0010124+0.00046302i,-0.0004879+0.00059831i,-0.0002717+0.00071147i,-0.00041188-0.00013083i,6.2565e-05-0.00080393i,0.00062015-0.00081518i,0.00063941-0.00095493i,0.00056364-0.0010845i
0.00056498-0.000721i,-0.00014132-0.0016095i,-0.0008087-0.0019138i,-0.001456-0.0014491i,-0.00048724-0.00092186i,0.0013742-0.00060457i,0.0014031-5.7181e-05i,0.00063842+0.00071073i,0.00034352+0.0014318i,-0.00038605+0.00044132i,-0.00048746-0.0005733i,8.7478e-06-0.00023065i,-0.00014347+1.8584e-05i,-0.00049611+0.00063231i,-0.0011373+0.00037103i,-0.00046413-0.00059991i,0.00044341-0.001127i,0.00058595-4.1649e-05i,-0.00012618+0.0010506i,5.9939e-05+0.00053891i,0.00068512-0.00031509i,0.00056849-0.00073218i,0.00054903-0.00041788i
0.00078409+0.00022076i,0.00092339+6.3326e-05i,0.00064976-0.0012325i,0.00051548-0.00071289i,-0.00032103+8.5376e-05i,-0.00031759+0.00097649i,0.00061489+0.0014367i,0.0013769+0.00085478i,0.0013211+0.00061755i,0.00067664+0.00059888i,0.00014781+0.0004388i,-0.00027129+0.00067279i,0.0001253+2.7913e-05i,0.0011376-0.00063784i,0.00056046-0.00032892i,-0.00059795-0.0001358i,-0.00040166-0.00011943i,-9.7874e-05-0.00032407i,-0.00018305-0.00032531i,-0.00061229-0.00022217i,-0.0006258-0.00055883i,0.00039628-0.00034013i,0.00045375+4.4281e-05i
-0.00067054-0.00039968i,-0.00045365-0.0010765i,-5.615e-05-0.00096649i,-0.00019291-0.0007245i,0.00021199-0.00058546i,0.00079022-0.00027462i,-0.00015481+0.00058365i,-0.00083785+0.00053003i,-0.00074855+0.00027836i,-0.00087698+0.00067448i,-0.00030932+0.000493i,0.00028043+0.00098169i,-0.00046704+0.0016705i,-0.00096633+0.00083672i,-0.00020868+0.00042693i,3.3984e-05+0.00027274i,0.00014806+0.00021371i,0.00042766+0.00055265i,0.00010302+0.00017634i,-0.0009486-0.00016989i,-0.0012904-0.0010299i,-0.00095148-0.0014594i,-0.00031726-0.0011517i
0.0011818-4.3634e-05i,0.0011884-0.00031428i,0.00079966+0.00012049i,0.00038744+0.00094063i,0.00074959+0.00093878i,0.00093459+0.00096964i,0.00034404+0.0013454i,6.6812e-05+0.0014541i,-0.0003444+0.0010819i,-0.00093443+0.0007475i,-0.00078017+0.00095938i,-0.00036834+0.00015559i,0.00026117-0.0010768i,0.00064259-0.0012398i,0.00050838-0.0013562i,0.00031579-0.0016922i,-7.7722e-05-0.0017229i,-0.00092559-0.001756i,-0.00055658-0.0010841i,0.00048447-1.5631e-05i,-0.00013288+8.7526e-05i,-0.0009617+0.00012469i,-0.00085903+0.00011588i
0.0012142+0.00065255i,9.388e-05-0.00053264i,-0.00035509-0.0012961i,-0.00017272-0.00098419i,0.00080991+6.9114e-05i,0.00099418+0.0011106i,8.2292e-05+0.0010484i,0.00019212+0.0010816i,0.00022407+0.0010752i,-0.00022645+0.00072962i,-0.00025272+0.00082501i,-0.00014226+0.0010812i,0.00037393+0.0014015i,0.00096312+0.00088263i,0.001228+9.2337e-05i,0.0016449-6.1759e-05i,0.0014518-8.8295e-05i,0.00087536-0.00018916i,0.00018072+4.2245e-05i,-0.00066496+0.00025527i,-0.0012255+1.8484e-05i,-0.0013357-0.00044345i,-0.00077605-0.00017784i
0.0021424+0.00082215i,0.0013613-0.00052022i,0.001007-0.0014137i,0.00059459-0.00078242i,0.00086006+0.00042467i,0.0012209+0.0013828i,0.00052102+0.0013104i,-0.00024185+0.0007412i,8.4165e-05+0.00043981i,0.00060967+0.00025888i,-0.0006866+0.00021065i,-0.0011537+0.00010412i,-0.00069925+0.00012282i,-0.00048017-0.00045228i,0.00041465-0.0008138i,0.00079092-0.0003512i,0.00032664+0.00020751i,-0.00012262+0.0001151i,0.00015079-0.00022274i,-0.00016565+0.00012862i,-0.0002225+0.00032162i,2.0865e-05+5.551e-06i,-0.00017971-0.00030457i
-0.00026882-0.00087801i,-0.00046877-0.0029938i,-0.00011496-0.0032205i,-0.00043536-0.0013496i,-0.00034385+0.00018231i,8.6725e-05+0.0011027i,0.00060821+0.0014842i,0.00087982+0.0013781i,0.00050213+0.00093906i,8.3416e-05+0.00054404i,-0.00019246-0.00024793i,-0.00058973-0.0014356i,-0.00031783-0.0011675i,0.00057127-0.00067624i,0.00093055-0.00035143i,0.00040556+6.9188e-05i,0.00015087+8.7435e-05i,-0.00034223-8.8628e-05i,-0.00051389-0.0004421i,0.00029659-0.00063321i,0.00028839-9.8794e-05i,-0.0004541+0.00021868i,0.00034802-2.8672e-05i
0.00081376+0.00024922i,0.0012477+0.00042462i,0.0014022-0.00034852i,0.00050176-0.0011153i,0.000282-0.00082953i,0.00099196-0.00020392i,0.0012955+0.00031927i,0.0013253+0.00063783i,0.00058989+0.00047026i,-0.00054263-0.00037166i,-0.0012832-0.0008192i,-0.00098868-0.0006071i,0.00028631-0.00074244i,0.0010426-0.00015498i,0.00085856+0.00067602i,0.00079298+0.00039156i,0.00060289+0.00022386i,0.00033547-1.1705e-05i,-1.4514e-05-0.00039487i,-0.00069312-0.00059086i,-0.00097711-0.00064433i,-0.00057518-0.0004513i,-0.00021819-0.00023131i
0.0009535-0.0006959i,0.00048235-0.0012628i,0.00046562-0.003144i,-0.00036515-0.0028976i,-0.00017712-0.0010093i,0.001058+0.00035225i,0.0012897+0.0014365i,0.00058673+0.00074407i,0.00010169-0.00024143i,-0.0009319+0.00021828i,-0.0011614+0.00055613i,3.3467e-06+0.00045204i,0.00070376+0.00075523i,0.00065709+0.00076272i,7.2974e-05+0.00048544i,0.00023526+0.00037488i,0.00051832+0.00032031i,0.00024987-0.0001131i,-0.00043474-0.00063866i,-0.00044289-0.00032897i,5.2603e-05-9.3235e-05i,0.0003522+0.00021836i,0.0004627+0.00046395i
0.0010222-0.00038178i,0.0021918-3.3513e-05i,0.0019786+0.00035839i,0.00090306-2.8592e-05i,0.00090544-0.0005035i,0.0013912-0.00052211i,0.0015706+0.00016229i,0.0011871+0.00082829i,0.00026327+0.00041198i,-0.00025419+8.7854e-05i,-0.00019501+9.6653e-05i,-0.00052267-0.00034434i,-0.00081507-0.00080217i,-0.00050425-0.00075882i,-6.1728e-05-0.00024609i,0.00055172-1.8563e-05i,0.001073-0.00014154i,0.00037883+0.00059886i,-0.00043141+0.00052349i,-3.3364e-05+2.8104e-05i,-0.00024836+0.00027041i,-0.00033985+0.00035421i,-8.3367e-05+0.00017916i
0.00067437+0.00051461i,0.0019211-0.00079352i,0.0015702-0.0010377i,-0.00032545-0.00046955i,-0.0011603-0.00031401i,0.00057862-1.9781e-06i,0.00056611+0.0009635i,-0.00013061+0.00091228i,0.00020436+0.001046i,0.00020211+0.0013077i,-0.00012048+0.00025285i,-0.00063506-0.00090773i,-0.0014505-0.0015307i,-0.0011354-0.0014922i,-0.00045168-0.00059162i,-0.0004827+2.5132e-05i,-3.4851e-05-0.00022886i,0.00019511-0.00040325i,0.00027227+0.00011858i,0.00072964-0.00010838i,0.00014937-0.00039413i,6.5439e-05-6.1738e-05i,-0.00015592-0.00055209i
-0.00015328+0.00014138i,0.001266-0.0010582i,0.0013393-0.0020072i,0.00037452-0.001113i,7.9476e-05+0.00053745i,0.00091987-0.00036438i,0.0012326-0.00062092i,0.0002813+0.000429i,9.7945e-05+0.0012928i,-0.00018477+0.0011197i,-0.00057746+7.5817e-05i,-0.00012851-0.0003243i,-0.00015099-0.00085858i,-4.3568e-05-0.0015225i,0.00028972-0.00083209i,-0.00030447+0.00011206i,-0.00012818-5.4899e-05i,-8.2996e-05-0.00048411i,-0.0003296+0.00011499i,-0.00056524+0.00077782i,-0.00022196-3.7435e-05i,0.00043504-0.00050548i,0.00053806-0.00029537i
