-0.0011477+0.00098604i,-0.0014832+0.0022282i,2.9662e-06+0.0030962i,0.0015665+0.0027572i,0.0013909+0.0010302i,0.00070955-0.00031754i,0.00032842-0.00057381i,0.00032472-0.00022284i,0.00044079-0.00010729i,0.00036097-3.8748e-05i,-0.00030314+7.6723e-05i,-0.00031305-0.00013816i,-0.00026876-0.00011011i,-0.00018445+0.0001783i,-0.00035016+0.00057383i,-0.00064621+0.00052685i,-0.00025948-0.00017736i,-0.00040231-0.00066296i,-0.00041586-0.00022205i,-0.00055002-0.00015497i,-0.00035982-0.00033071i,0.00021151-0.00048418i,0.0005039-0.00098239i
0.00019776+0.00035085i,-0.0001161+0.00080849i,5.5011e-05+0.0016491i,0.00038092+0.0014654i,0.00029682+0.00029855i,0.00034678-0.00020816i,0.0002417+0.0002122i,-0.00065249+0.000735i,-0.00047292+8.8531e-05i,0.0003265-0.00074805i,0.00049912-0.00073075i,0.00013162-0.00039654i,-0.00037437-0.00036441i,-0.0006745-0.00019357i,-0.00065438-9.2403e-05i,-0.00022918+0.00059406i,2.1101e-05+0.00047642i,-0.00041966-8.4071e-05i,-0.00063842-0.00027041i,-0.00056914-0.00012126i,0.00031853-2.0051e-05i,0.00047878+0.00043635i,-0.0003517+0.00038847i
0.00050651-0.00093349i,0.00067521-0.00022197i,0.0010078+6.154e-05i,0.00074693+0.0007653i,0.00014875+0.00099577i,-0.00058147+0.00072481i,-0.00031295+0.00057738i,-0.00027581+0.00026473i,-0.00017545+5.5004e-05i,-0.00038679+0.00016222i,-0.001018+0.00021439i,-0.00041116+0.00012408i,0.00015993-0.00014955i,0.0003536+0.00039711i,0.00044788+0.00076359i,0.00070939+0.0002359i,0.00083351+0.00026346i,0.00068484+0.00018872i,0.00082215+0.00031886i,0.0010913+0.00098082i,0.0011606+0.00041161i,0.00048174-0.00027885i,7.9658e-05-7.3039e-05i
-0.0023368+0.0016017i,-0.0014108+0.0012686i,-0.00046152+0.0012216i,0.0002785+0.00080018i,0.00067916+0.00062589i,0.0005428+0.00050557i,-5.5026e-05-0.00025452i,-0.00013281-0.00067595i,-0.00043323-0.00019235i,-0.00053588+0.00013909i,0.00032542-1.1893e-06i,0.00062249-0.00072046i,0.0004524-0.00032731i,-0.00045635+0.00036316i,-0.00032644-4.8275e-05i,0.00063374-0.00016355i,0.00060105+0.0004153i,0.00050243+0.00040638i,0.00030089+0.0001603i,7.4728e-05+9.1451e-05i,0.00058148-0.00018183i,0.0012566+1.1778e-05i,0.0012687-9.7566e-05i
0.0021384+0.0010842i,0.0025161+6.1493e-05i,0.0016243-1.3014e-05i,0.00087642+0.00030301i,0.00044412+0.0001069i,-0.0002139-0.00027807i,-0.00018616-0.0003448i,4.701e-05-8.9508e-06i,-0.00059109+0.00048826i,-0.0010236+0.00032536i,-0.00044364-0.00013402i,0.00013601-0.0010832i,0.00044925-0.0011262i,0.00045502+0.00011077i,6.2372e-05+0.0004574i,-9.8022e-05+0.00025334i,0.00012758+0.00038004i,0.00057567-0.000263i,0.00051733-0.0012125i,9.4428e-05-0.0010569i,0.00016373+4.3622e-05i,0.00082503+0.00023553i,0.0007526+0.00020998i
0.0003658+0.00050024i,0.0016863+0.0023876i,0.00057552+0.0035023i,2.7633e-05+0.0029112i,-0.00022228+0.0016478i,-0.00089842+0.00095626i,-0.0008179+0.0013911i,-0.0004411+0.0019126i,-0.00051672+0.0020837i,-2.7675e-05+0.0015428i,0.00015847+0.0010272i,-0.00064059+0.00062188i,-0.00094307+0.00040773i,-0.00061814+0.00047265i,0.00010498+0.000822i,0.00024589+0.00079783i,0.00020963+0.00089208i,0.00067993+0.00063541i,0.0010728+1.896e-05i,0.0007695-0.00057847i,0.0006273-0.00069397i,0.00040587-0.00043132i,-0.00018313-0.00048852i
0.0018001-0.0037175i,0.0011719-0.0035231i,7.3047e-05-0.0036659i,-0.0013212-0.0024943i,-0.0017802-6.7539e-05i,-0.00086589+0.00099924i,0.00050004+0.0014535i,0.00050906+0.00089192i,-0.00052192+0.00015037i,-0.00068375+0.00013157i,0.00010352-0.00029269i,0.00036327-6.5033e-05i,-0.00065448+4.4435e-05i,-0.00071669-0.00011465i,-0.00038912+0.00024875i,-0.00053286-0.00022766i,-0.00040345-0.0011516i,-0.00046915-0.00097267i,-0.0010039-0.00087161i,-0.001063-0.00078912i,-0.0006919-0.00024892i,-0.00026295-0.00038172i,-0.00011781-0.00054096i
0.0027097+0.00015181i,0.0017589+0.00031197i,0.0015988-4.4788e-06i,0.00038516+0.00012143i,-0.0015313+0.00030215i,-0.0014786+0.00082232i,-0.00043075+0.0017351i,-0.00020298+0.0014575i,0.00013353+0.0006086i,0.00057998+0.00055479i,2.6337e-06+0.00089091i,-0.00041633+0.0011261i,-8.0611e-05+0.00077253i,0.0001922+0.0003702i,-0.00012674+3.3573e-06i,-0.00016083-0.00031148i,0.00018883-0.00024686i,-0.00013009-0.00023526i,-0.00053585-0.00019246i,-0.00013803-0.00037425i,0.00092487+0.00046518i,0.00053994+0.0010044i,-0.00034555+0.00024911i
0.0018311+0.0021898i,0.002064+0.0011625i,0.0026837+0.00037315i,0.0029291-0.00061534i,0.0019145-0.0017528i,0.0003266-0.0014882i,-0.0002102-0.00096765i,0.00075833-0.0010778i,0.00095545-0.00037619i,0.00042684-2.6244e-06i,0.00021046-7.7028e-05i,-0.00012332+8.9357e-05i,-0.00025161+0.0001946i,-0.00064192-5.9333e-05i,-0.00052305-0.00033669i,-0.00025531+0.00028517i,-0.00019941+0.00074906i,-0.00012319+0.00032103i,-5.0655e-05+0.0004349i,-0.0005998+0.00023141i,-0.00097451-0.00014761i,-0.00032181+0.0005204i,7.7713e-05+0.00084992i
-0.001046-0.0019965i,-0.0016272-0.001034i,-0.0026369+0.00031573i,-0.0024742+0.0012634i,-0.0019988+0.0016873i,-0.0011781+0.00176i,-0.00043451+0.00098118i,-0.00062877+0.00086841i,-0.00080002+0.0011334i,-0.00062696+0.0010994i,-0.00084749+0.00093272i,-0.0011773+0.0012127i,-0.00035322+0.0016989i,0.00057381+0.0011816i,0.00039293+0.00063538i,-0.00040083+0.00088691i,-0.0010952+0.00064739i,-0.00059995-0.0001563i,-8.3108e-05-0.0007931i,0.00013324-0.00066291i,-4.0782e-05+2.7013e-05i,0.00027662-0.0002912i,0.00063723-0.0008733i
