-0.00092574+6.8928e-05i,-0.00065621-0.0011097i,-0.0016366-0.0024788i,-0.0026851-0.0027192i,-0.0032693-0.0017434i,-0.0024723+0.00025204i,-0.00025764+0.0012781i,0.0012896+0.00050067i,0.0014958-0.0005599i,0.001143-0.00067324i,0.00084661-0.00052332i,0.00053485-0.0012175i,0.00035887-0.0014893i,0.00046546-0.00036309i,-7.5023e-05-0.00047626i,-0.00034237-0.0009974i,-0.00056704-0.00061463i,-0.00081266-0.00014351i,-9.3175e-05+0.00020381i,0.00053453+9.1939e-05i,0.00022517-9.5103e-05i,9.9252e-05-0.00016441i,0.00056767-0.00049746i
-0.00018782-0.0015398i,0.00071946-0.0025016i,0.0008829-0.0029719i,0.00025502-0.0025417i,-0.00085804-0.00082007i,-0.00040283+0.00019007i,0.00056168-0.00035527i,0.00052757-0.00092666i,0.00022541-0.0010303i,0.00016717-0.00068269i,-0.00029847+3.1548e-05i,-0.00057923+0.00082003i,-0.00060133+0.00038557i,-0.00036383-0.00096089i,7.1179e-06-0.00052477i,-0.00028405+0.00027223i,-0.0007255-9.7728e-05i,-0.00096574-0.00071624i,-0.00046861-0.00066806i,-0.00025661-7.6452e-06i,-0.00041935+0.00028469i,3.1586e-05+0.00011655i,2.8929e-05-0.00019099i
0.0010065-0.0010492i,0.0022423-0.0011003i,0.0017663-0.0016772i,-0.0015493-0.0019563i,-0.0021475-0.00099561i,-0.00053329+0.00056712i,0.00086191+0.0012494i,0.00046406+0.00023343i,-0.00017215-0.00019361i,-0.00040793+0.0003601i,-0.00041408+0.0011075i,-0.0003202+0.001335i,-0.00063128+0.00036751i,-0.00048003+0.00028248i,-0.00041863+0.00089628i,-0.000129+0.00047692i,0.0001346-0.00028543i,1.9954e-05-0.00067732i,-0.00022276-0.00064116i,-0.00037555-0.00018225i,0.00027224-0.0002975i,0.00056847-0.00055715i,-0.00032716+4.2005e-05i
0.0015589-0.0019894i,0.0016759-0.0030165i,0.00078329-0.0030169i,0.00019954-0.0025271i,-0.00071882-0.0018469i,-0.0010255-0.00073568i,-0.00029538-1.236e-06i,0.00060352-0.00018332i,0.0012943-0.00013597i,0.0010739-0.00026842i,-2.2589e-05-0.00040311i,-0.00045323-0.00018495i,-0.00011839+8.8797e-05i,0.0001101-2.6025e-05i,0.00010416-0.00010292i,0.00032584+0.00041311i,0.00078948+0.00058828i,0.00023087-0.00043998i,-0.00012775-0.00051147i,-7.3393e-05+0.00043142i,0.00012551+0.00034167i,-0.00010545+3.7028e-05i,-0.0004663-0.00034833i
0.0004472+0.00022124i,0.00096919+0.00014774i,0.0006861-0.00041514i,-0.00014532-0.00089865i,-0.00040422-0.00048456i,-0.00046315+0.00057479i,-1.5224e-05+0.0004147i,-0.00010755+0.00031071i,-0.00018702+0.00021093i,-0.00047061+0.00040179i,-0.0010273+0.00090951i,-0.0011743+0.0004965i,-0.00036395-0.00022662i,-9.8505e-05-0.00039497i,-0.00043969+0.00015185i,-0.00017022+2.4141e-05i,-0.00050633-0.00029653i,-0.00063196-0.0002961i,-0.00057288-0.00050198i,-3.8525e-05-9.8668e-05i,0.00014863+0.00034123i,-0.00015668-0.00010685i,-0.00073078-0.00048222i
4.0635e-05-0.0021577i,0.0012132-0.0029948i,0.00050195-0.002689i,-0.00013797-0.0006273i,0.00021435+0.00093999i,-0.00031607+0.00066982i,5.3675e-05-8.3541e-05i,0.0011133+0.00020642i,0.0010137+0.00017498i,6.6041e-05+8.6587e-05i,-0.00058264+0.0002475i,-0.00015128+0.00046155i,0.00029346+8.7341e-05i,0.00058261+0.00014209i,0.00052008+0.00027906i,0.00031822-0.00023544i,-0.00027987-0.00022i,-0.0006237-0.00022899i,-0.00011974-0.00065704i,-0.00025117-0.0009137i,-0.001031-0.00061731i,-0.0012918+0.000127i,-0.00043296+0.00010788i
0.0016617+0.00075793i,0.0023933-0.00061208i,0.00096136-0.0014655i,-0.00018829-0.0013283i,-0.00017339-0.00039681i,0.00032462+0.00033262i,0.0014379+0.00080634i,0.001679+0.00078481i,4.9974e-05+0.0005624i,-0.00056838+0.00021091i,5.614e-05+0.00014122i,-0.00024038+0.00047035i,-3.8306e-05+0.0004298i,0.00088195-5.1788e-05i,0.0011792+0.00040312i,0.00062938+0.00036586i,0.00042153-0.00024031i,0.00071676+9.2747e-05i,-0.00018654+0.00025659i,-0.00053791+0.0003684i,-0.0001966+2.5498e-06i,-0.00055745-0.00037966i,-0.00097751-0.00080238i
0.0020933-0.0012216i,0.0018318-0.0022331i,0.0016559-0.0030576i,-0.00038156-0.0029143i,-0.0016877-0.0015785i,-0.0015247+8.7589e-05i,-0.00035679+0.0010389i,0.00063863+0.00031596i,0.0010051-0.00037613i,0.00042157+9.935e-05i,-0.00034932+0.0011695i,-6.9645e-05+0.00099494i,0.00074731-3.0374e-05i,0.00059089+0.00014989i,-0.00039697-2.6489e-05i,-0.00053914-4.3607e-05i,-6.5861e-05+0.00024281i,8.3101e-05-0.00019921i,-0.00024277-0.00036783i,-0.0009353-0.00011354i,-0.0010061+0.00047167i,-0.00041614+0.00038894i,2.5406e-05+0.00028276i
0.00080108-0.0008543i,0.0024089-0.0018754i,0.0011517-0.0024935i,0.00061429-0.0021837i,0.00060712-0.0010653i,0.0010885-0.00010525i,0.00075764-0.00026612i,-0.00013655-0.00075798i,0.00040672-0.00025334i,-1.6821e-05+0.00054489i,-0.0011299+0.00088767i,-0.0013093+0.0007374i,-0.0012395+0.00035505i,-0.00098009+0.00040824i,-1.3637e-05-0.00017159i,0.00024129-0.00070647i,5.57e-05-0.00054502i,0.00049175-0.00024834i,0.00067525-0.0004492i,-0.00019366-0.00054939i,-0.00092872+0.00028377i,-0.00081149+0.00011127i,-9.5577e-05-0.00060656i
-0.001826-0.0011052i,-0.00072938-0.0020635i,0.00061014-0.0023538i,-0.00078148-0.001614i,-0.0019172+9.8661e-06i,-0.00055541+0.0010972i,0.00030586+1.9978e-05i,0.00032807-0.0012206i,0.00072172-0.0011166i,0.00063635-0.00075024i,-0.00021372-0.00027916i,-0.0012445+0.00023969i,-0.0012257+0.00063193i,-0.00033112+0.00055879i,-4.7787e-05-0.00017376i,0.00030977+2.2497e-05i,0.0006957+0.0006829i,-5.182e-05+9.6334e-05i,-0.00018321-0.00071272i,0.00043398-0.00077329i,0.00049013-0.00053459i,0.00070796-0.00047275i,0.00064106+0.00022946i
0.0020545-0.0013117i,0.0021615-0.0010576i,0.00039986-0.0015452i,-0.00069-0.0017218i,-0.0018239-0.00070088i,-0.0014483+0.00031532i,0.00010651+0.00024044i,0.0013373-0.00048438i,0.0025392-0.00064273i,0.0018789-7.398e-05i,0.0002666+0.00045253i,-0.00044793+0.00017854i,-1.2915e-05+8.573e-05i,0.00064538+0.00034155i,0.00091572+0.00064538i,0.00032389+0.00025291i,2.2181e-05+0.00058848i,-0.0001596+0.0014136i,-0.0011249+0.0010372i,-0.0007285-0.00023042i,0.00020555-0.00013946i,-0.00036474+0.00062426i,-0.00084191+0.0006332i
0.00021425-0.00017398i,-0.0010804-0.0011179i,-0.0019936-0.0022004i,-0.0015898-0.002367i,-0.0013702-0.00097426i,-0.0008357+0.00014032i,0.00068514+8.7075e-05i,0.0016172-7.5418e-05i,0.0016232-0.00077835i,0.0011511-0.00088074i,0.0006952-0.00047966i,0.00016571-0.00010057i,-0.00012653+0.000741i,-0.00045011+0.00085907i,0.00012713+0.00010345i,0.00096479+0.00016666i,0.00032812+0.00019753i,-0.00044589-0.0006064i,-0.00011622-0.0005725i,7.7791e-05+5.9822e-05i,8.5063e-06+0.00010979i,-0.00043559+0.00047281i,-0.00078101+0.00050115i
0.0024525-0.002067i,0.0029619-0.0026483i,0.0023596-0.0030483i,0.00044994-0.0027072i,1.901e-05-0.0019572i,0.00043559-0.00054027i,0.00053529+0.00017321i,0.00061519+3.6329e-05i,0.00064995-0.00050949i,0.00048429-0.00093323i,-0.00010173-0.00030852i,-0.00033677-0.00014252i,-0.00070561-0.0001615i,-0.00049708+0.00017732i,0.00010698-9.9792e-05i,-0.00054203+0.00015837i,-0.0011083+0.00014234i,-0.00048568-8.2953e-05i,0.00031046-0.000165i,0.00069079-0.00019519i,0.00010386-4.1117e-05i,-0.00053931-0.00032988i,-5.7666e-06-0.00030455i
-0.00082577+0.0023299i,0.0006879+0.0011993i,0.0016931-0.00022865i,0.0013043-0.00089115i,0.0010004-0.00034148i,0.00094014+2.7985e-05i,0.00058514-0.00014387i,0.00086718-0.0002522i,0.00080734+0.00027125i,4.9165e-05+0.0005707i,2.8603e-05+0.00049742i,-0.00010272+0.00042899i,-0.0004139-0.00041323i,-0.00030589-0.00080361i,-0.00014746-7.3242e-05i,-0.00037058+0.00013116i,-0.00045278-0.00072004i,-0.00030553-0.00060872i,-0.00064435-0.00019086i,-0.001457-0.00057466i,-0.0011563-0.00038193i,-8.6031e-05+0.00038709i,0.00015382+0.0008974i
0.0023807+0.00078302i,0.0020541-0.00066532i,0.0012082-0.0017231i,0.0009581-0.0023758i,0.00075265-0.0015825i,-3.7885e-05-0.00076696i,-0.00099928-0.00055272i,-0.00049735-0.00033481i,0.0011299-9.791e-05i,0.0012184-3.3386e-06i,0.00064747+0.00096783i,-0.00021975+0.0011207i,-0.00032554+0.00036332i,7.1053e-05+0.00057109i,0.00033385+0.00067324i,0.00053323+0.0007717i,0.00066663+0.00021468i,0.00078289-0.00018458i,0.00077736-0.000107i,0.00017745-0.00011782i,-0.00046619+0.00048451i,-7.8368e-05+0.0010084i,0.00018225+0.0004699i
0.0010116-4.4793e-06i,0.001022-0.00060148i,0.00046078-0.00096595i,-0.00011167-0.00095643i,-0.00071012-0.0010521i,-9.7482e-05+0.00047865i,0.0009062+0.00099651i,0.0013216+1.4127e-05i,0.00075162-0.00063358i,-3.7617e-06+0.00022686i,0.00042296+0.00079312i,0.00028298+3.2753e-05i,-0.00080382-0.00015434i,-0.001032+0.00011514i,-0.00026099+3.8982e-05i,0.00014004-0.00025159i,-9.7603e-05-0.00080311i,-0.00027817-0.00048283i,0.00014526+0.00075444i,-0.00020743+0.0014223i,-0.00052315+0.00061152i,-4.3774e-05-0.00010312i,-0.00012574-0.0005669i
0.00086035-0.0022911i,0.00098581-0.0030914i,0.00047625-0.0039237i,-0.00041843-0.0035655i,-0.0014022-0.0012738i,-0.0011927+0.0006492i,-2.0498e-05+0.001323i,0.0009388+0.00047664i,0.00090752-0.0007809i,8.4396e-05-0.00053405i,-0.00072571-0.00014517i,-0.00021354+4.5514e-06i,0.00055959+0.0003895i,0.00019445+0.0002489i,-0.00010273-0.00062145i,0.00049709-0.00064836i,2.4961e-05-0.00020245i,-0.00066643-0.00068422i,-0.00019454-0.0013504i,-7.4104e-05-0.0015497i,0.00044338-0.00056721i,0.0005333+0.00036837i,0.00028706+0.0002387i
-7.5376e-05-0.00062131i,0.0017286-6.6372e-06i,0.0015183-5.8728e-05i,0.00021464+9.8339e-05i,-0.00053572+0.00078645i,0.00053096+0.00095292i,0.0015013+0.0003697i,0.0020232+9.6019e-06i,0.0014907-5.2003e-06i,0.00018053+0.00040179i,-0.00025813+0.00080109i,-0.00012707+0.00058244i,-0.00028342-0.00011925i,-0.0002036-0.00077447i,-0.00015228-0.00078891i,-0.00033245-0.00016495i,-0.00037416+3.8203e-05i,9.5795e-05-0.00053876i,0.00047256-0.00036028i,0.00040935-5.0562e-07i,0.00022487-0.00036946i,0.00063047-0.00072634i,0.00059739-0.00057858i
-7.6583e-05+0.00064588i,5.006e-05-0.0014154i,0.0011435-0.0027172i,0.00052011-0.0018367i,-4.1159e-05-0.00084403i,0.00014242-8.8121e-05i,8.6424e-05+0.00022067i,0.0004473-0.00059599i,0.00087521-0.0010308i,0.0012602-7.1837e-05i,0.001181+0.00054136i,0.00074167+0.00027035i,0.0002654+5.8244e-05i,-0.00049704+0.00023249i,-0.00053219+0.00084453i,1.7533e-05+0.00021487i,0.00019932-0.00072254i,0.00049518-0.00069165i,0.00036117-0.00069292i,-0.00029604-0.00040668i,-0.00029649-0.00010631i,-0.0004441+5.0063e-05i,-0.00057553+0.0010528i
-0.00042378-0.00074055i,0.0016718-0.0026274i,0.0016049-0.0024183i,0.00097158-0.0010531i,0.00075334-0.00046335i,0.0011134-0.00067561i,0.00098455-0.00058443i,4.8551e-05+0.00034795i,-0.00056178+0.00064212i,-0.0006328+0.00074483i,-0.00040874+0.00013584i,-0.00015453-0.00054246i,-0.00045761-0.00037984i,-0.00047269-0.00039989i,-0.00021214-0.00028927i,-0.00012967-3.3093e-05i,-3.1722e-05-0.00041651i,0.00056688-0.00082484i,0.00050136-2.1012e-05i,-0.00090783+0.00044254i,-0.00075962+0.00063604i,0.00019096+0.00010812i,-0.00040241-0.00015891i
-0.0011998-0.0015911i,-0.0006008-0.0027384i,-5.9155e-05-0.0026452i,-0.00018586-0.0021499i,-0.00084425-0.00099434i,-0.00059391+0.00076942i,8.1826e-05+0.0013805i,0.00015708+0.00045577i,-6.5281e-05+0.00017734i,-0.00022197+0.00018963i,0.00012657-0.00023293i,-7.0182e-05+0.00014315i,-0.00012508+0.00091343i,0.00037485+0.00059674i,0.00036191-8.2325e-06i,-1.9342e-05-0.00045383i,0.00073133-0.0011999i,0.0014806-0.0017413i,0.0010802-0.0012623i,0.00068269-8.3548e-05i,-0.0001352+0.00081183i,-0.0010285+0.00095179i,-0.0011052+0.00061928i
0.0011053-0.0031641i,0.0011765-0.0025945i,0.00039088-0.0027422i,-0.0010862-0.0013476i,-0.0014494-0.00015802i,-0.00059874-0.00013414i,0.00077671+4.3099e-05i,0.0016102-0.00048364i,0.0014048-0.0014249i,0.00093892-0.0011528i,0.00010929-6.2586e-05i,-2.2725e-05+0.00033314i,0.00038526-0.00024492i,0.00024603-0.00032555i,-6.785e-05+5.0811e-05i,-0.00021241-8.1751e-05i,-0.0003751-0.00026297i,-0.00039799+0.00017133i,0.00035764+0.0010598i,0.00069068+0.00073515i,0.00075928+0.00018582i,0.00015315+0.0001114i,0.00017729+0.00051539i
0.0013901-0.00099524i,0.0013934-0.0029091i,0.0008588-0.0031205i,0.00032469-0.0014788i,0.00015034+0.00033939i,0.001041+0.0015265i,0.00017232+0.001449i,-0.0008662+0.00013326i,-0.00038097-0.00043327i,-0.00024262+0.0003162i,-0.00018566+0.00037015i,6.2769e-05-5.9968e-05i,-6.8581e-05+0.00024878i,5.6752e-05+0.0013499i,-0.00031443+0.001503i,-0.00030466+0.001377i,3.0575e-05+0.00089371i,-0.0004382+0.00014126i,-0.00088021+0.0002606i,-0.00067982+0.00033255i,9.0642e-05-0.0001833i,0.00022433-0.00024349i,-6.7433e-05-0.00010141i
-0.00042269-7.8148e-05i,0.00012322-0.0023581i,0.00097282-0.0035819i,0.0018126-0.002837i,0.0021201-0.00095879i,0.0013642+0.00030063i,0.00070337+0.0005694i,0.00072845+0.00012224i,0.00082227-0.00034325i,0.00078852-2.6391e-05i,0.00091913+0.00024724i,0.00067242+0.00028279i,4.3385e-05+9.8246e-06i,-0.00014976+0.0002127i,-0.00015521+0.00016054i,0.00028217-0.00014734i,0.00013344-4.7986e-05i,-0.00017146-0.00039748i,-0.00029933-0.00036531i,-0.00069586+0.00035372i,-0.00087437+0.00080234i,-0.00054329+0.00041181i,-0.00031899+0.00046843i
-0.0012594+0.00012654i,0.00065645-0.00032166i,0.0011933-0.0006317i,0.0010508-0.00091691i,0.00037153-0.00074827i,-0.00032278-0.0002645i,0.00023476+0.00018656i,0.00059544+0.00037456i,-7.9544e-05-0.00052122i,-0.00076328+0.00036157i,-0.00053305+0.00066234i,-0.00019911-0.00039736i,-0.00051102-6.333e-06i,-0.0011073+0.00046392i,-0.00044402-0.00017125i,0.00056739-0.00031222i,0.00057948+0.00047153i,0.00029863+0.00021094i,-0.00026528+0.00022615i,-0.00084481+0.0007452i,-0.00065689+0.0007464i,-0.00035129+0.00047114i,-2.5393e-05+0.00030688i
9.791e-05+0.0014607i,8.487e-05-0.00029905i,0.00016199-0.0025788i,-0.00068166-0.0019148i,-0.0010249-0.00040757i,-0.0012281-0.00061738i,-0.00049497-0.00067699i,0.00044747+0.00016943i,0.00072969+8.5616e-05i,0.00032865-0.00022415i,0.00028564+0.00022197i,0.00021637+0.0012789i,-0.00018016+0.0012964i,-0.00031938+0.00065074i,0.00030397-7.926e-06i,0.00056085-0.00047121i,0.00022555-0.00036661i,7.2269e-05+0.00034207i,0.00022618+0.00063852i,-0.00027171-0.00013355i,-0.00061903-0.00094993i,-0.00020465-0.00039484i,0.0005656+0.00014197i
0.0013624-0.00040402i,0.0016984-0.0016874i,0.001031-0.003056i,-0.00019063-0.0030751i,-0.00048321-0.0016896i,-0.00032872-7.1507e-05i,0.00030518+0.0001069i,0.00086306-0.00060504i,0.00072267-0.0012348i,0.00021128-0.00076701i,-0.00043384+0.00052658i,-0.00021329+0.00054672i,-1.6072e-05-0.00033301i,-0.00055619-0.00055715i,-0.00041561-0.00084368i,0.00020108-0.0010632i,0.00029462-0.0016424i,0.00044459-0.0013889i,0.00055652-0.00034976i,-0.00019238-0.00039688i,-0.00036554-0.00026672i,-0.00047401+0.00034516i,-0.000302+0.00054738i
0.0006597-0.001183i,0.0018542-0.0029093i,0.001583-0.0033412i,-0.00010564-0.0019827i,-0.0010875-0.00094351i,-0.00013668+0.00011045i,0.0002493+0.00061954i,0.00034408-0.00028854i,0.00016703-0.00088658i,0.00024356-6.8611e-05i,0.00057373+4.8065e-05i,0.00086683+0.00014592i,0.00045269+4.5502e-05i,-0.00069624-0.00037512i,-0.00011431+9.3831e-05i,0.00064095-0.00016104i,-0.0004683-0.00036564i,-0.00076524+0.00016631i,-6.1153e-05+0.00032937i,0.00011866+0.00044524i,-1.2138e-05+0.00069641i,-0.00050124+0.00048206i,-0.0005007+0.0001137i
-0.00065424+0.00033787i,-0.00038174-0.00073928i,2.2415e-05-0.0015096i,0.00039579-0.0011589i,0.00027052-0.00031176i,-4.347e-05+0.00062359i,0.00040066+0.00073118i,0.00064058+0.00023416i,0.00037258+0.00014873i,-0.00020056-0.00020109i,-0.00029821-0.00020568i,0.00027234-0.00016392i,6.6656e-05-0.00060197i,-0.000764-0.00062964i,-0.00075889-2.7547e-06i,-0.00011198+0.00079553i,0.00035236+0.00063323i,0.0002081+0.00012964i,-0.00098871-9.4296e-05i,-0.0014996-0.00037347i,-0.0011624-1.8501e-06i,-0.00063078+0.00082973i,-0.00026467+0.00095011i
0.00076946-0.0013922i,0.0012969-0.0024693i,0.0014776-0.0031139i,0.0010353-0.003258i,0.00020675-0.0022227i,-0.0004109-0.0010114i,-0.00071364-0.00028427i,-0.00051402-0.0003335i,-0.00012453-0.0002013i,-0.00015545-3.591e-05i,0.00046838+0.00042739i,0.00083625+0.00070345i,0.00030035+0.0012317i,0.00021137+0.0010246i,8.6069e-05+0.00018985i,-7.8813e-05-0.00047591i,0.00023844-0.0011051i,0.00055265-0.0013019i,0.00040633-0.0013883i,-7.5344e-05-0.0009888i,-0.0002289-0.00023327i,-0.0003139+0.00010211i,-0.00026204+0.00026986i
0.00054176+0.0032542i,0.0017214+0.0010367i,0.0022783-0.00066246i,0.0021864-0.00010989i,0.0012596+0.00057603i,0.00079313+0.00036579i,0.0013416+0.00070344i,0.001158+0.0010327i,3.7031e-06+0.00053038i,-0.00038178-1.359e-05i,-0.00060741-0.00060504i,-0.0011098-0.00059715i,-0.00062259-0.00049407i,-0.00023448-2.8169e-07i,-0.00059314+0.00063587i,0.00043734+0.00050987i,0.0010093-0.00018198i,0.00014901-0.00039115i,-0.00014297-0.00014879i,-0.00031774+0.00015321i,1.4533e-05-0.00017918i,0.00040159-0.00075397i,-0.00019326-0.00024809i
2.2355e-05-0.0016774i,0.00020914-0.0023994i,0.00024775-0.002862i,-0.00025854-0.0025397i,-0.00085455-0.001279i,-0.00082686+0.00066765i,-0.00014475+0.00089374i,0.00022919-5.0643e-05i,0.00030932-0.00037601i,-7.6051e-05-0.0002054i,-0.00088916-0.00054482i,-0.00058907-0.00087719i,0.000384-0.00052435i,0.00041677-0.00047907i,-0.0001267-0.00061694i,4.493e-06-0.00048058i,0.00059604-0.00051369i,0.00078794-0.0003501i,0.00049604-0.00028753i,2.1805e-05+0.00022416i,-0.00066655+0.00017778i,-0.00017972-0.00046063i,0.00029005-0.0011792i
0.0019814-0.00079891i,0.0027617-0.0023792i,0.0015596-0.00256i,0.00025821-0.001232i,-0.0005765-0.00078549i,-0.00036614-0.00056392i,0.00068039-0.00059375i,0.00080912-0.00072862i,0.00062547-0.00038721i,0.00062995-0.00029048i,0.0011391-0.00056912i,0.0011409-0.00072307i,-3.5974e-05-0.00047636i,-0.00024848-0.00051214i,0.00037543-0.00051371i,-0.00027268-0.0002383i,-0.00064569-2.4186e-05i,-0.00074546-0.00029167i,-0.0012376-0.00059843i,-0.00074803-0.00063703i,-0.00032174-0.00048213i,-0.00067263+2.0393e-05i,-0.00030977+5.6498e-05i
-0.00070166+0.0015688i,-0.00043561+0.00087182i,0.00012916-0.00094318i,0.00084444-0.0014104i,0.00087907-0.00036057i,0.00062025-0.00028165i,0.00042267+0.00048524i,-0.00053927+0.00093473i,-0.0008869-0.00042836i,2.4375e-05-0.00029504i,0.00072115+0.00045556i,0.00036556+0.00011096i,-3.7259e-05+9.7318e-05i,-0.00048253-0.00040711i,-0.00032712-0.001113i,0.00068288-0.0006985i,0.00086265+9.2703e-05i,6.5778e-05-5.0178e-05i,5.6446e-05+2.2315e-05i,0.00053234+0.00070827i,0.0015213+0.00076988i,0.0015335+0.0003071i,0.00063994+0.00045231i
0.001835-0.003029i,0.0030968-0.0038862i,0.0035822-0.0039137i,0.001222-0.002346i,-0.00069858-0.00059572i,0.00014036+0.0010143i,0.00080004+0.0016423i,0.00098936+0.00090006i,0.00071561+0.00045677i,-0.00014286+0.00065376i,-0.00061789+0.001234i,8.8619e-05+0.0011453i,0.00057865+0.0013506i,0.0007432+0.0013228i,0.0010048+0.00069202i,0.00074602+0.00015155i,0.00057318-0.00027667i,0.00041383+0.00042896i,4.0332e-05+0.0010478i,-0.00036573+0.00071525i,-0.00026127+0.00038207i,0.00011447-0.00026217i,0.00026603-0.0003323i
5.2089e-05+0.0016566i,0.00058449+0.00062334i,0.00014703-0.00097756i,-0.00010154-0.0012641i,-0.00023751-0.00016618i,0.00013478+0.00059617i,0.0006987+0.00041191i,0.00091721-0.00013346i,0.000721+0.0003284i,0.00023825+0.00013539i,0.00041012-0.00019603i,0.00042403+0.00015685i,0.00031157-0.00026106i,-0.00038195-0.00040201i,-0.00061044+0.0005034i,-0.00072139+0.0005461i,0.00021492+7.9265e-05i,0.00017127+7.5476e-05i,-0.00070128+0.00022466i,-0.00027379+0.00021546i,5.3059e-05+0.0001746i,-0.00040127-5.4804e-05i,-0.00034824-0.00012983i
-0.0022148-0.0036806i,-0.0016285-0.0044908i,-0.00039772-0.0045105i,-0.0003519-0.0032774i,-3.1018e-05-0.0016331i,0.00067204-0.00031234i,0.0012816+8.4728e-05i,0.0011164-0.00016743i,0.0011435-0.00068713i,0.00098679-0.0007736i,0.00039452-0.00052591i,0.000483-0.00065923i,0.00024532-0.00048577i,-5.4706e-06-0.00027792i,-0.00025847-0.00013377i,0.00017425-0.00016868i,0.00037191-0.00037376i,-0.00022603-0.00088908i,-0.00096455-0.0004397i,-0.0010141+0.00081853i,-0.00013793+0.00042723i,-0.00015568-0.00068294i,-0.00043709-0.00035095i
0.0011086+0.0014649i,0.0023369-0.00010751i,0.001615-0.0015496i,-6.8638e-05-0.0024235i,0.00061453-0.0017464i,0.0011192-0.00023921i,0.00058738+0.00023125i,0.00046209+2.0919e-05i,-0.00015028+0.0011668i,0.00041508+0.0018285i,0.00089493+0.00072596i,0.00048312-0.00038422i,0.00080111+0.00025685i,0.0010008+4.5564e-05i,0.00074547-0.00077438i,0.00068738-0.00055127i,0.0007386-1.504e-05i,0.00093435+8.1183e-06i,0.00012114+3.8492e-05i,-0.00047387+0.00055108i,-0.0001917+0.00020625i,0.0001213-0.00075416i,-7.8999e-05-0.0010193i
-0.00089067-0.00069497i,-0.00018781-0.0018946i,0.00063677-0.0018414i,-0.00025694-0.0014543i,-0.00064558-0.00013032i,-0.00070804+0.0017163i,-0.00049803+0.0014904i,-0.00010727+0.0001217i,0.00031723-0.00010934i,0.00080585+3.6849e-05i,0.00072424-0.00038307i,0.00058348-0.0003711i,0.00069042-0.00050246i,0.00046275-0.00042887i,0.00018831+7.9382e-05i,2.9067e-05+0.00077774i,4.1317e-05+0.00075024i,-2.6887e-05-0.00041631i,-0.00043669-0.001183i,-0.00013373-0.00084545i,0.00082085-0.00074655i,0.00049281-0.00060616i,-0.00055979+0.00011653i
0.003647-0.00022275i,0.0035846-0.0011289i,0.0019686-0.0025386i,-0.00024758-0.0023306i,-0.0015891-0.0015791i,-0.00097058-0.0008459i,0.00066816-1.1034e-05i,0.0015815+0.00039261i,0.0018464+0.00011771i,0.0011617-0.00098293i,3.7548e-05-0.0012219i,5.0303e-06-0.00032439i,0.00014958+0.0011521i,-0.00028712+0.0018124i,-0.00049336+0.000787i,-0.00037085-4.5229e-05i,0.00020944-0.0006i,0.00085969-0.00044263i,0.00016736-0.00015362i,-0.00037011-7.1312e-05i,-0.00056306+0.00017934i,-0.00046562+0.00015923i,0.00018856+5.1596e-06i
-0.00055681-0.0013161i,-0.0010059-0.002129i,-0.00025889-0.0026541i,-0.00093469-0.0025833i,-0.001735-0.0015675i,-0.0016678+0.00049939i,-0.00093913+0.00085696i,0.00078231-0.00044113i,0.0017139-0.0013926i,0.00079944-0.00039718i,-0.00014091+0.0011729i,-0.00046194+0.0016858i,-0.00038202+0.0010229i,0.00036365+0.00019685i,0.00090481+8.3582e-05i,0.00076491+0.00054545i,0.00046606+0.00073396i,0.0011793+0.00067455i,0.0013855+0.001074i,1.5238e-05+0.00070632i,-0.0010167+7.7585e-05i,-0.00094209+0.00010858i,-0.00056826-0.000459i
0.0022956-0.0017304i,0.003342-0.0013774i,0.0031264-0.0033643i,0.00058758-0.0041026i,-0.00072192-0.0018722i,-0.00024621+0.00074846i,0.00041953+0.0013242i,0.00094058+0.00056644i,0.0012759-9.8648e-05i,0.0011368+0.0002175i,0.00023793+0.00015906i,-0.00061488-6.7101e-05i,0.00012197+0.00066492i,0.00077606+0.0007373i,0.0004421+0.00071286i,0.00046639+0.00038225i,0.00023952+0.00013165i,-0.00066076+0.00057198i,-0.0011417+0.0010837i,-0.00056765+0.00091671i,-7.2423e-05+0.00040788i,-5.9944e-06-7.6821e-05i,-0.00092628-0.00046483i
0.00028303-0.0024638i,0.0012036-0.0025088i,0.00042659-0.0040653i,-0.001479-0.0036902i,-0.0029241-0.00089119i,-0.0017908+0.0022079i,0.00028724+0.0022388i,0.0008499-0.00010546i,0.00027631-0.001444i,-0.00077025-0.00084219i,-0.00044404+0.0006248i,0.00031817+0.0013805i,0.00024827+0.0010939i,0.00058544+0.00045744i,0.00091687+9.0372e-05i,0.00067986-0.00013032i,-4.6152e-05-3.534e-05i,-0.00020902+0.00024552i,-1.5911e-05+0.00061479i,0.0004697+0.00077737i,-0.00012625+0.00050979i,-0.00058125+0.00010686i,-0.00021655+0.00051458i
