0.0013646+0.00089839i,0.00091303+0.00062037i,0.00081589-0.00087855i,-0.00014192-0.0015997i,-0.0021133-5.2248e-06i,-0.0031099+0.00094255i,-0.0023497+0.0014527i,-0.00057211+0.0024422i,0.00056626+0.0021469i,0.00011684+0.0011335i,-0.00071125+6.2297e-05i,-0.0010948-0.0011227i,-0.0012726-0.001475i,-0.0011031-0.00025802i,-0.00097693-0.00012957i,-0.0010036-0.00033326i,-8.0709e-06+0.00033766i,0.00073994-1.4547e-05i,0.00096732-0.00044331i,0.0010486-0.00028581i,0.0010026-0.00031123i,0.00024899-0.00023284i,-0.00038077-0.00047707i
0.00064684-0.00033034i,0.00057224-0.00063241i,0.00050519-0.00074305i,-0.00048326-0.0013627i,-0.001307-0.001409i,-0.0015507-8.4488e-05i,-0.001442+0.0010967i,-0.001166+0.0013398i,-0.00043387+0.00068204i,-0.00040283-0.00047724i,-0.00052994-0.00097488i,0.00041348-0.00018342i,0.00034025+0.0010907i,-0.00028631+0.0011421i,0.00023846+0.00027984i,0.00044183+2.4105e-05i,-0.00045592+0.00019912i,-0.00064233+4.607e-05i,2.9219e-05+0.00027445i,-9.7367e-05+4.0848e-05i,-0.00059981-0.00081568i,-0.00095647-0.00050415i,-0.00039963+0.00066609i
-0.0010864+0.0012711i,-0.0010119+0.0017872i,-0.0018694+0.0014901i,-0.0020066+0.0010421i,-0.0018691+0.0008662i,-0.0016465+5.8021e-05i,-0.00015828-0.00029145i,0.00016566-4.3713e-05i,-0.00029822+0.00089344i,-0.00036717+0.0013121i,-0.00053081-6.3577e-05i,-0.00056798-0.00082744i,-0.00043604-0.00067583i,-2.69e-05-0.00044831i,0.00030417+0.00039538i,-0.00018834+0.0003551i,-4.4855e-05-0.00019042i,0.00074652+0.00026187i,0.00069275+0.00080333i,0.00038939+0.0010335i,0.00035663+0.00056349i,0.000214-0.00021472i,-0.00065057-0.00049247i
0.0022839-0.001028i,0.0021571-0.0019053i,0.0017757-0.0023137i,0.00062241-0.0028243i,-0.0011597-0.0019889i,-0.0021618-0.00041036i,-0.0016369-0.00023397i,-0.00031065-0.00076953i,0.00029048+1.2848e-05i,-0.00016341+0.00069116i,-0.0012019+0.00050489i,-0.0012129+0.00075818i,-0.00042459+8.9039e-05i,-0.00025749-0.00065056i,-0.00024834-0.00045964i,1.5205e-05-0.0003852i,-0.0009335-0.00024981i,-0.00089397-0.00011989i,-0.00019395+0.00019963i,-0.00047607+0.00030342i,-0.00013445-0.0007263i,0.00068395-0.00089598i,0.00074449-0.00028564i
0.00087758+9.4136e-05i,-0.0010105+5.0283e-05i,-0.0027145-0.00045504i,-0.0032534-0.00039279i,-0.0021606-0.00041175i,-0.00079919+0.0005329i,-0.00038127+0.0010604i,-0.00061754+0.00041978i,-0.00092306+8.7846e-05i,-0.0011395-3.9489e-05i,-0.001131+0.00046974i,-0.0016528+0.0010308i,-0.0015082+0.00026261i,-0.00067988-0.00052832i,-0.00044736-0.00049498i,9.3061e-05-0.00070002i,0.0006318-9.9744e-05i,0.00018013+0.00056191i,0.0003535+0.00068278i,0.0005562+0.0010845i,0.00022941+0.00068377i,6.0462e-05-0.00015469i,-0.00082202-0.00022528i
0.00164-0.0013627i,0.0019797-0.0011091i,0.0018375-0.0025012i,5.5623e-05-0.0028907i,-0.0013141-0.0015938i,-0.0012949-0.00037473i,-4.369e-05+0.00016418i,0.00064215+0.00043071i,-9.2825e-05+0.00061265i,-0.00096255+0.00079876i,-0.0012449+0.00018982i,-0.0006618-0.00023539i,-0.00016443-4.3344e-05i,-0.00065525+0.00050427i,-0.00070126+0.00032477i,-8.6365e-05-0.00021074i,-0.00028156+0.00012473i,-0.00028462+4.0008e-05i,0.0005206-0.00040281i,0.00081882+9.1256e-06i,5.3463e-06+4.5336e-05i,-0.00080072-0.00039736i,-0.00047552-0.00023044i
0.0012701+5.4776e-06i,0.00092627+0.0009639i,0.00052668+0.00010152i,-0.000959-0.0013361i,-0.0011438-0.0008537i,-0.00081962+0.00085616i,-0.00056735+0.002116i,-0.00030667+0.0018638i,-0.00049723+0.0013051i,-0.00060653+0.00091613i,-0.00076858+0.00013112i,-0.00076657-0.00055412i,-0.0011766-3.9776e-05i,-0.0014354+0.00014665i,-0.0010446-0.00017124i,-0.00050985+0.00012751i,-0.00015894+0.00013899i,-6.8593e-05-0.00014707i,-0.00030588-7.7882e-07i,-0.00032133-0.0006801i,1.0194e-05-0.00078454i,0.00038844+0.00034896i,0.0007387+0.00027288i
0.0013417-0.0011067i,0.00075265-0.0017074i,-0.00028482-0.0024478i,-0.0018295-0.0018325i,-0.0029123-0.00065761i,-0.001779+0.00049384i,-0.0007776+0.00055502i,-0.00040024-0.00013096i,-0.00028353-0.00048472i,6.2653e-06-8.1836e-05i,-5.1476e-06+0.00062869i,-7.6077e-05+0.00020932i,0.00025457+1.867e-05i,4.0451e-05+0.00079835i,-0.00048209+0.00036407i,-0.00028498-0.00085897i,-0.00038653-0.00088071i,-0.00026709+0.00018469i,-0.00052275+0.001115i,-0.00017891+0.00092385i,0.00068463+0.00022971i,0.00039759-6.7213e-05i,0.00024583-0.00053819i
0.00014036+0.00049424i,0.0012141+0.0014464i,0.0011324+0.0015829i,0.0001126+0.0004416i,0.00072525-0.00019427i,0.00073077+0.00026636i,-0.0004627+0.00073717i,-0.00080369+0.00046975i,-0.00097179+0.00014904i,-0.00073525+0.0006736i,1.2177e-05+0.0011001i,0.00024749+0.00032798i,-0.0003672-0.00012032i,-0.00089665+0.00018545i,-0.00059038-3.5898e-05i,-0.00045915-0.00083517i,-0.00048408-0.0003762i,-0.00026322+0.00038803i,0.00056639+0.00013442i,0.00084243-0.0005263i,0.0005149-0.00035506i,0.00016478+8.078e-06i,0.00012692-0.00049151i
-0.00080535-0.00083228i,-0.0012871-0.00020236i,-0.001442-0.00014028i,-0.0022418+0.00024985i,-0.0018569+0.00082255i,-0.00047781+0.0007294i,-9.9104e-05+0.00024681i,-0.00087313+1.7091e-05i,-0.00083539+0.00015276i,-5.1456e-05+0.00029248i,0.00045168+0.00016625i,0.0010829+0.00037241i,0.0010402+0.00035529i,-0.00017602-2.2153e-06i,-0.00067526-0.00018238i,-0.00020999-0.00084567i,-1.5293e-05-0.00069944i,-0.00039032+0.0002345i,1.6296e-05+0.00010312i,0.00019296-0.00043784i,0.00018313-0.00091029i,0.00036356-0.0003164i,-5.086e-05+0.00016465i
0.00024865+0.00016971i,-8.3579e-05+0.0004009i,0.00084048+0.00025331i,0.00023427+0.00023159i,-0.00013784+0.00039763i,3.7899e-05-0.00045032i,-0.00016769-0.00068044i,-0.00047322-5.1934e-05i,-0.0009156+0.00019581i,-0.0012302+0.00014188i,-0.0010706+0.00047994i,-0.00041797+0.00010127i,-0.00062738-0.00069417i,-0.0012911-0.00077801i,-0.0012274-8.6054e-05i,-0.00055198+0.0011668i,-0.00062996+0.0011348i,-0.00052133+0.00033961i,6.5413e-06+0.00027519i,8.5682e-05+0.00013629i,4.6513e-05-0.00031777i,-0.00014484-0.00032895i,-0.0006268+0.00026884i
0.0018917+5.0712e-06i,0.00028988-0.00085866i,-0.00079542-0.0013077i,-0.00083039-0.0017248i,-0.0019551-0.0014162i,-0.0020006-0.00018128i,-0.00097223+0.00099616i,-0.00086659+0.0011531i,-0.00064174+0.00016941i,-0.00062003+1.0066e-05i,-5.0192e-05+0.00042125i,0.00032964-0.00010241i,-0.00018747-0.00073295i,-0.00042166-0.00053023i,-0.00070088-0.00082895i,-0.00033874-0.00064465i,0.00087026-0.00025584i,0.00068997-3.7827e-05i,6.7675e-05+0.00054091i,0.00050585+0.00061632i,0.0011986+0.00029645i,0.00010255-9.504e-05i,-0.0012067+0.00020022i
-0.0013015-0.001322i,-0.0021812-0.00081502i,-0.0026789-0.00030039i,-0.0025319+0.00038126i,-0.0024734+0.00081776i,-0.001417+0.00098744i,-0.00028194+0.00013837i,-0.00034574-0.00046245i,-0.00083997-0.00028178i,-0.0012373-0.00055375i,-0.00074018-0.00013644i,-0.00015295+0.00026568i,-0.00016422+0.00022223i,-0.00018184-0.00066236i,0.00056773-0.001294i,0.00053903-0.00046619i,6.0074e-05+0.0003305i,3.5173e-05+0.00011105i,0.00010233-0.0003826i,-0.00038696-0.00042511i,-0.0004688-0.00036303i,-4.2669e-05-0.00024905i,-0.00046685+2.4363e-05i
0.00082724+0.00089956i,0.0012804+0.00090533i,0.0011347+0.00039062i,-0.00027256-0.00057091i,-0.0010254-0.0010365i,-0.00038726-0.00051151i,0.00027372-8.4285e-05i,-0.0002055+0.00025729i,-0.00022202+0.00046374i,0.0007204-0.00029204i,0.00023649-0.00062822i,0.00015862-0.00048692i,0.00060765-0.00011024i,9.132e-05-0.00020951i,-0.00015604-4.6362e-05i,0.00024773+0.00011535i,0.0005279-0.00016064i,0.00022102-0.00022667i,8.532e-05-0.00044344i,0.00055467-0.00014807i,0.00047106+0.00025074i,0.00026054+0.00013971i,0.00028864-0.00042146i
0.00089557-0.00044375i,0.00052324-0.0016406i,4.4486e-05-0.0030919i,-0.00039508-0.0019493i,-0.00141-0.0007403i,-0.0018429-0.00011548i,-0.0010006+0.00054748i,-0.00046301+0.00031668i,-0.00052867-0.00050573i,-0.00063832-0.00043912i,-0.00055934-7.3387e-05i,-0.00012594+4.4585e-05i,-0.00052045+0.00035911i,-0.00072499+0.00025502i,-0.00076191+0.00010909i,-0.00024236-6.4141e-05i,0.00019249-0.00054526i,-0.00018725+0.00035282i,-6.3041e-05+0.00035715i,-0.00024734-0.0004522i,-0.00021695-0.00019467i,-0.00012804+7.054e-05i,-0.00032005+0.00019535i
-0.00076742+0.00084853i,-0.00049099+0.00081945i,-0.00025894+0.0012006i,-0.00046346+0.0013276i,-0.00053979+0.00063223i,2.9388e-05+0.00059499i,-0.00047402+0.00047127i,-0.00083195+0.00013482i,-0.00068595-1.3786e-05i,-0.00079055+3.996e-05i,0.00034369+4.7902e-05i,0.001262-0.0003571i,0.00025217-0.00037235i,-2.9812e-05-0.0001177i,0.00061669+4.9222e-05i,0.00042945+0.00012878i,8.9538e-05+0.00043706i,5.6479e-05+0.00046591i,-0.00015492-0.00022585i,-4.1503e-05-0.00040974i,0.00065496+0.00020726i,0.00052493-0.00047386i,-0.00014584-0.0013138i
4.8717e-05+0.0010756i,-0.0009653-4.7231e-05i,-0.0019067-0.00057827i,-0.0017054-0.00069541i,-0.0013082+7.469e-05i,-0.00098816+0.00089875i,-0.00055369+0.00042137i,-2.4745e-05+0.0003493i,-2.6213e-05+0.0010575i,-0.0009058+0.00070768i,-0.0012364+0.00023408i,-0.0010522+0.00017998i,-0.00089933-6.2063e-05i,-0.00073988-8.7592e-05i,-0.00039534+0.0002284i,0.00044134+0.00076577i,0.00031545+0.00071557i,-0.00085031+0.00015933i,-0.00075737-0.00016615i,-0.00027052-0.00068552i,-0.00012164-0.0011284i,5.777e-05-0.00079892i,0.00013183-0.00044204i
-0.0021402+0.001684i,-0.0010379+0.0021348i,-0.00060504+0.0017947i,0.00067265+0.0021219i,0.0017912+0.0021764i,0.00063849+0.0012897i,-3.2131e-05+0.00046889i,-0.00011529-8.3542e-05i,-0.00045095-0.00035998i,-0.00076809+0.00028458i,-0.00095178+0.00041201i,7.1265e-06-0.00011236i,0.00046802+0.00016643i,-0.00037648-6.8621e-05i,-0.0010884-6.5109e-05i,-0.00077038+0.0010496i,-1.2758e-06+0.0012475i,0.00038743+0.00051167i,0.00041239+0.00047152i,-4.7829e-06+0.00099146i,-0.00035088+0.00064454i,-0.00016139-3.0989e-05i,-6.8925e-05-0.00042901i
0.00057708-0.0029175i,-0.00061113-0.0028413i,-0.0024673-0.003142i,-0.0033374-0.0014303i,-0.0030069+0.00059291i,-0.0020998+0.0018057i,-0.001438+0.0013482i,-0.00091346+0.00040945i,-0.00083545-0.00043754i,-0.00098007-0.00033349i,-0.0010649+0.00068326i,-0.0010318+0.00093096i,-0.00055374+0.00066185i,-0.00016536+8.2366e-05i,0.00045397-0.00051899i,0.0005151-0.00036429i,0.00036268-0.00019364i,0.00070853-0.00051444i,0.00029278-0.00049403i,4.0353e-05-0.00083513i,0.00012515-0.00075703i,0.00051318-0.00010862i,0.00078981+0.00027371i
-0.00038154+0.00060639i,-0.00094668+0.0013626i,-0.0018614+0.0011251i,-0.002118+0.00093546i,-0.0011259+0.0011637i,6.7072e-06+0.00051772i,0.00063604-0.0001971i,-1.5098e-05-0.00044925i,-0.0010971-0.00042662i,-0.0013262-4.6153e-05i,-0.00070068-0.00031752i,0.00028023-0.00029146i,7.8748e-05+0.00020058i,-0.00035358+3.6664e-05i,-0.00066277-0.00035391i,-0.00067643-0.00040396i,-0.00059876-0.00031062i,-0.00067917-0.00017032i,-0.00058751+0.00084153i,-0.00027656+0.0011294i,-7.5636e-05+0.000133i,-0.00087138-0.00013094i,-0.00070235+0.0003686i
-0.00040681+0.00035672i,0.00017436+0.0005389i,-0.00026986+0.001044i,-0.00049606+0.00031596i,-0.00026839+8.4071e-05i,-0.00018472+0.00032162i,-0.00024051+0.00024535i,-0.00051305+0.0003574i,-0.00078019+3.2123e-05i,-0.00094206-2.1195e-05i,-0.00066762+0.00025729i,-0.00013963+0.00017786i,-0.00026707-0.00023219i,-0.0006251-0.00070975i,-9.409e-05+0.00036971i,0.00038231+0.00098574i,0.00027424-9.4373e-05i,0.00075543-0.00030614i,0.00058895-0.00029645i,7.861e-05-0.0003806i,0.00029861+7.6808e-05i,9.8244e-05+3.623e-05i,0.00028329-0.0004689i
-7.5071e-05-0.00023901i,-0.00096906-0.00045745i,-0.001951-0.00088909i,-0.0029961-0.00048695i,-0.0024015+0.00024265i,-0.00067466+0.00031676i,0.00012559+0.00080429i,-0.00023118+0.00040246i,-0.0011381-0.00053833i,-0.001759-0.0010914i,-0.0014786-0.001124i,-0.0011695-0.00034407i,-0.00073668-0.00021194i,-0.00082327-0.00025957i,-0.0010564-0.00021335i,-0.00012224-7.7984e-05i,0.00028761-0.00022858i,-0.00021586-6.2818e-05i,0.00023708-0.00025432i,0.001017-0.00095607i,0.00069523-0.0011884i,0.00038388-0.00038313i,0.00022121+0.00045499i
-0.00033425+0.00077578i,0.00037518+0.0013462i,0.0011732+0.0010514i,0.0011712-0.00018565i,-0.00024121-0.0012082i,-0.0014601-0.0011645i,-0.0011392-0.00052296i,-0.00036054-0.00015251i,-0.00088278+0.00015272i,-0.0017197-7.4618e-05i,-0.001158-0.00052276i,-0.00045144-0.00077422i,-0.00040381-0.0011599i,-0.00043525-0.00038241i,-0.00063989+0.00045501i,-0.00099536+6.3795e-05i,-0.00054464-0.00082664i,0.00027264-0.0012283i,0.00032309-0.0007883i,-0.00036952-0.00033461i,-0.00049668-0.00016576i,-0.00011551-0.00080109i,-0.00093034-0.00113i
-0.00075557-0.0013551i,-0.0024933-0.0010963i,-0.002518-0.00011269i,-0.0021499+0.00072053i,-0.001518+0.0012653i,-0.00016495+0.00055229i,9.5741e-05+0.00027325i,-0.0010858+4.3964e-05i,-0.0016944+8.8012e-05i,-0.00087104+0.0005298i,-0.00054791+0.00019088i,-0.00066998-0.00039693i,-0.00052203-0.00089748i,-0.00072429-0.00095911i,-0.00081411-0.00077573i,-0.00039505-0.00063784i,0.00035043-0.00019625i,0.00069686+6.5784e-05i,0.00050742-6.5078e-05i,-0.00018274-0.00035932i,-0.00069752-0.0006651i,-0.00069799-0.00075012i,-0.0009265-0.00067056i
0.00010212+0.000793i,0.00095126+0.0016525i,0.0018516+0.0022006i,0.0010144+0.0021487i,0.00029047+0.0016183i,-0.00031086+7.6821e-05i,-0.0011292-0.00063845i,-0.0011897-3.8965e-05i,-0.0011051+0.00038281i,-0.0014269+0.00022764i,-0.0012554+0.00037051i,-0.00047447+0.00032889i,-0.00011118-0.00035001i,-0.00055371-0.00050188i,-0.00049825+0.00025479i,-0.00044915+0.00024501i,-0.00055082-0.00051926i,-4.3884e-07-0.0001558i,0.00057484+0.0008151i,0.00044855+0.00087416i,0.00022122+0.00059411i,-0.00020958+0.00018044i,-0.00067092+0.00012382i
-0.00076995+0.00027154i,-0.00056774-0.00086038i,-4.0061e-05-0.00095335i,-0.00010405-0.00033702i,-0.00049676-0.00012636i,-0.0013847+0.00018414i,-0.00076292+0.00022107i,0.00027156+2.4065e-05i,0.00038205+0.00023526i,-0.00045416+0.00031961i,-0.0013644-0.00067297i,-0.0011402-0.0015216i,-0.00089455-0.0012895i,-0.0011287-0.00088673i,-0.00074152-0.00030518i,-5.8308e-05-0.00031086i,0.00031211-0.00082138i,0.00036691+0.00020672i,3.4388e-05+0.00066373i,8.2917e-05-0.00060155i,0.00053957-0.0010975i,0.00093775-0.0001618i,0.00073849+0.00040828i
0.00095744+0.0010277i,0.00029369+0.00089267i,-0.00014122+0.0007812i,-0.0003465+0.00050325i,-0.00088742+0.00054703i,-0.00090335+0.00037021i,-0.00065972+0.00057129i,-0.00072448+0.0013191i,-0.0010167+0.00095692i,-0.00096804-0.00015458i,-0.00074467-0.00064811i,-0.00046515-0.00051238i,-0.00079564-0.000267i,-0.001279+0.00037441i,-0.0012913+0.00072715i,-0.00087733+4.5358e-05i,-0.00015491-0.00055971i,0.00067275-0.00089113i,0.00099726-0.00065657i,0.00081142+2.067e-05i,0.0011159+0.00030303i,0.00088332+0.00037085i,0.00013726+0.00085072i
0.0019982-0.00013086i,0.0004691-0.0008482i,-0.00079022-0.0023732i,-0.0013412-0.0025283i,-0.0016418-0.0014651i,-0.0020363-8.9867e-05i,-0.0019333+0.00089371i,-0.0011765+0.00050531i,-0.0011341-0.00017989i,-0.001681-0.00015952i,-0.0015117-1.8977e-06i,-0.00032477-0.00035601i,-0.00023108-0.00055159i,1.264e-05-0.00027451i,0.0005679-0.00029146i,0.00032898-0.00023962i,-3.1099e-05+0.00012952i,-0.00016875+0.00055406i,-0.00039291+0.0002506i,-0.00082665-0.0001604i,-0.00055545+0.00034922i,4.5708e-05-0.00010095i,0.00013726-0.0014122i
-0.0016256+2.2738e-05i,-0.00068115+0.0011666i,-0.00022279+0.001993i,-0.00046607+0.0015203i,-0.00085283+0.0015247i,-0.00038698+0.0012671i,0.00022004+0.00053038i,-3.6368e-05+0.00087692i,-0.00064368+0.0016139i,-0.00088349+0.0010826i,-0.0003565+0.00027683i,0.00018414+0.00014337i,0.00012758-0.00016544i,-0.00017604+0.0003049i,-0.00013795+0.00076907i,6.3262e-05+0.000899i,-0.00028471+0.00076644i,-0.0010409-0.00023986i,-0.00058452-0.00074018i,0.00038-0.00034255i,0.00031206-0.0001011i,-4.751e-05+0.00021625i,-0.000377-0.00018533i
0.00015485+0.00020255i,-0.00053055+0.00029035i,-0.00068237-0.00043173i,-0.00097193-0.00012458i,-0.00095789-0.0003468i,-0.00026051-0.00073033i,0.00026073-6.9083e-05i,0.00049677+0.00013871i,0.00047197+0.00031374i,-0.00063706+0.00019167i,-0.0013105+0.00032025i,-0.00068165+0.00069693i,-0.00047109+0.00080522i,-0.00080949+0.00052631i,-0.00046722-7.9044e-05i,-0.00017601-0.00092366i,-0.00076203-0.00015268i,-0.00081677+0.00037988i,-0.00075342-0.00047912i,-0.0011652-0.00068301i,-0.001078-0.0002779i,-0.00049472+9.9655e-05i,4.5484e-05+8.1818e-05i
0.00071185-0.0021805i,-0.00053875-0.0011177i,-0.0013488-0.00043916i,-0.0021142+0.00026553i,-0.0021221+0.0015118i,-0.0016839+0.0022349i,-0.00084406+0.0010919i,-0.00010817-0.00024083i,-0.00052056-0.00016393i,-0.0011085+0.0004585i,-0.0006818+0.00026021i,-1.9142e-05+7.9967e-05i,0.00037008-0.00027227i,0.0004836-0.00031492i,-5.3614e-05+0.00026646i,-0.00016803+0.00052078i,-0.00014865+0.00047669i,-5.864e-05+0.00033716i,0.00049526-0.00020389i,0.00038557-0.00026112i,0.0002152+0.00029288i,0.0001811+0.00070651i,-6.8048e-05+0.0003291i
-0.00081929-0.00029096i,-0.00090387+0.00071672i,-0.00079184+0.0010189i,-0.00019776+0.0008601i,-0.00054433+0.0011594i,-0.00047432+0.0010005i,0.00051514+0.00044237i,-0.00034264-0.00012674i,-0.0013715-0.000355i,-0.00057051-0.0004971i,-0.00010131-0.00031279i,-0.00073688-5.647e-05i,-0.00097174+3.413e-06i,-0.00080952+0.00024332i,-0.00053289-0.00046528i,1.9336e-05-0.00065871i,0.00067485-2.1602e-05i,0.00075334+0.00049552i,0.00024329+0.00019893i,0.0004522-0.0006503i,0.0010396-0.001066i,0.0010034-0.00089701i,0.00022007-0.00048954i
0.00044646-0.00061156i,1.0338e-05-5.3057e-05i,-0.00058882-0.00020919i,-0.00061535-0.00056457i,-0.00093895+0.00019707i,-0.0008595+0.00045937i,2.0954e-05+8.0291e-05i,-2.0931e-05-0.00020922i,-0.00091708+0.00056541i,-0.0017298+0.0013046i,-0.0014943+0.00043964i,-0.0004558-0.00068029i,0.00016354-0.00097128i,0.00045243-0.00030675i,0.00044749-0.00048887i,5.0482e-05-0.00076085i,0.00078025+0.0001141i,0.00088636+0.00048316i,-7.9855e-05+0.000139i,-8.4226e-05+0.00015956i,0.00028025+0.00023538i,0.00039835+1.472e-05i,0.00010043-0.00039909i
-0.0025695+0.001262i,-0.0016025+0.0017397i,-0.00064305+0.0028738i,-0.00038808+0.0023814i,0.00027096+0.0017964i,0.0012991+0.0012519i,0.00038092+9.8386e-05i,-0.0017021+8.8129e-06i,-0.0026449+0.0011191i,-0.0023622+0.0012831i,-0.0014281-0.00020592i,-0.00075863-0.00079883i,-0.00087675+6.8059e-05i,-0.00073083-0.00039008i,-0.00028953-0.00080692i,5.1326e-06-0.00021842i,-0.00020898-8.0188e-05i,0.00034855+7.1066e-05i,0.00053517-9.0741e-05i,0.00017569-0.00034227i,-0.00051726-0.00019144i,-0.0010156-3.3389e-05i,-0.001179+0.00030057i
0.00099809-0.00022246i,2.5902e-05-8.4888e-05i,-0.00030086-0.0002226i,-0.0010239+0.00027121i,-0.0022861+0.00012009i,-0.0026184+0.00067578i,-0.0019559+0.001492i,-0.0017194+0.0010599i,-0.0022229+0.0003782i,-0.0026952-0.0002212i,-0.0022133-3.9749e-05i,-0.0010449+0.00015594i,-7.1937e-05-0.0004248i,4.7739e-05-0.00090323i,0.00022827-0.001015i,0.00054009-0.00051004i,0.00029147+0.0002982i,-0.00075866+0.00067855i,-0.0012216+0.00018618i,-0.00029767-0.00011503i,0.00034639-0.00030411i,0.00015556-0.00046015i,0.0003704-0.0004361i
-0.00099138+0.0018758i,-0.00056474+0.0022777i,0.00070678+0.0018549i,0.00051253+0.001678i,-0.00088985+0.00039119i,-0.00045516-0.00088759i,-0.00014428-0.00057605i,-0.0011606-0.00037875i,-0.0016992-3.9012e-05i,-0.0013941+0.00061381i,-0.00067692+0.00090339i,0.00016927+0.00069279i,-0.00038155+0.00016752i,-0.0014108-4.0082e-08i,-0.0017682+0.00036812i,-0.00094525+0.00032946i,-2.9711e-05+2.3207e-05i,0.00025638-9.7925e-05i,-0.00028302-8.6335e-05i,-0.00050229-1.7134e-05i,-3.8184e-05-0.00035805i,-7.557e-05-0.00085096i,-0.00062767-0.0010532i
-0.00043774+0.00048187i,-0.0011071-0.00037318i,-0.0005533-0.00044709i,-0.00050744-0.00015177i,-0.0013744-0.0006858i,-0.0013959-0.00066148i,-0.0017755-9.4478e-05i,-0.0029169+0.00053379i,-0.002674+0.0011481i,-0.0017196+0.0011008i,-0.00087686+0.00068358i,-0.00047691+0.00033068i,-0.00074897-0.00030481i,-0.00051066-0.00094367i,-0.00017797-0.0014072i,-0.00011341-0.00076283i,0.00014818-5.5672e-05i,0.00094829-0.00034645i,0.00085203-0.00062806i,9.0579e-05-0.00073442i,-0.00042277-0.00018683i,-0.00067362+0.00027213i,-0.00024895+1.6575e-06i
0.00071697-0.00052796i,0.00093188+0.00052193i,0.0017282+0.00026158i,0.0012186-0.00035618i,0.0004162+0.00034378i,0.00056145+0.0014476i,0.0024033+0.00078137i,0.0041329-0.0014282i,0.0034977-0.0041084i,0.0011915-0.0052364i,-0.00071514-0.0044317i,-0.0013631-0.0031356i,-0.0020122-0.0028126i,-0.0024685-0.0013666i,-0.0017312+0.00021011i,-0.00061132+0.000282i,-0.00030405+0.00037042i,-0.00058644+0.00062745i,-0.00059657+0.00055255i,-0.00045246+0.00037636i,-0.0010486+0.00044392i,-0.001047+0.00012017i,-0.00016553-0.00024193i
-0.00010308+0.0006757i,-0.00048283+0.0011012i,-0.0012034+0.00086784i,-0.0017808+0.00018453i,-0.0016764-0.00054753i,-0.001329-0.00067527i,-0.00042757+5.2385e-05i,0.00036441+0.00080021i,0.00076483+0.00031153i,0.0012185-0.00071093i,0.00086774-0.0010108i,-2.1674e-05-0.00077008i,-0.00085377-0.00077522i,-0.0013662-0.00060732i,-0.0013826+7.2751e-05i,-0.0012559+0.00075207i,-0.000903+0.00078824i,-0.00034865+0.0003114i,0.00011398+2.2135e-05i,-0.00016171-0.00020144i,-0.00034282-0.00022142i,-0.00065911-0.00029733i,-0.00070851-0.00038674i
0.00086644+0.0006711i,0.0016711-0.00015137i,0.0019297-0.00063842i,0.001389-0.00098335i,0.00042216-0.00015172i,-0.00030794+0.00093931i,-0.00072239+0.00029197i,-0.00056327-0.00012059i,-0.00046133+1.09e-05i,-0.00054381-0.00065764i,-0.00090409-0.00082008i,-0.00094198-0.00020802i,-0.00080707-0.00035152i,-0.0010007-0.0003967i,-0.00093934+0.00013026i,-0.00084449+0.00038654i,-0.0011954+0.00030956i,-0.00080558+0.00043456i,-8.6619e-05+0.00035289i,0.00012787-8.1258e-05i,-0.00010268-0.00061551i,0.00035059-0.00082951i,0.00034571-0.0003098i
0.00038502+0.00082902i,-0.00059442+0.00022313i,-0.00014249-0.00034025i,0.00056748-0.00039227i,7.5811e-05-0.00090988i,0.000944-0.00082627i,0.0015052-0.00024105i,0.00033273-0.00038072i,-0.00049939-0.00079247i,-0.00044962-0.0004694i,-0.00064446-0.00047193i,-0.00077303-0.00081505i,-0.0007667-0.00101i,-0.00054544-0.00055778i,-3.5254e-05-0.00043369i,0.00023075-0.00062851i,-0.00016331-0.00032052i,-0.00025289+6.7821e-05i,0.00033653-0.00016229i,0.00032714-0.00053032i,-7.9465e-05-0.00081408i,-0.000123-0.0011151i,0.00021671-0.00084668i
0.00063627-0.0016382i,0.0008629-0.0016487i,-5.0637e-05-0.00093776i,-0.0017426-6.7507e-05i,-0.0022865+0.00021937i,-0.0012667-5.3334e-05i,-0.00015613+0.00021723i,0.00037483+0.00034071i,0.00027394-0.00019655i,-0.00022019-0.00071411i,-0.00014542-0.00068596i,0.0001352-0.00041514i,0.00017427-0.00053408i,-0.0004628-0.00062995i,-0.00070828-0.00038436i,-0.00044553-0.0005321i,-0.00025158-0.00037908i,-0.00054465-0.00098118i,-0.0007708-0.0006905i,-0.00036271+0.00035698i,-8.9752e-05-0.00035162i,-0.00055773-0.00081334i,-0.00049991-0.0004074i
-0.00097365-0.00033099i,-0.00214-0.00062218i,-0.0015323-0.0010513i,-0.00070157+0.00030481i,-0.00062156+0.0011534i,-0.00096994+0.0005748i,-0.00054831+0.00069055i,-0.00039494+0.00048743i,-0.0010198-0.0001529i,-0.0010857-0.0011339i,-0.00086335-0.0011294i,-0.001224-0.00040242i,-0.0013161-0.00051499i,-0.0012452+0.00030033i,-0.00046571+0.00017611i,0.00038975-2.1581e-05i,0.00010137+0.00094841i,-0.00024251+0.0002093i,-0.00023286-0.00039605i,0.00079096+0.00024626i,0.00074899-0.00017275i,-0.00030291-0.00039814i,-0.00019509-0.00047185i
