0.00095023+0.00040971i,0.001325-0.00042037i,0.0013896-0.00045361i,0.00081088-0.0015744i,-0.00050377-0.002637i,-0.0016634-0.0022285i,-0.0016557-0.0019596i,-0.0010363-0.0015586i,-0.00063788-0.00092489i,-0.00068024-0.00067604i,-0.00067388-0.00042003i,-0.00042128-0.00042626i,-0.00046794-0.00031659i,-0.00051462-0.00028857i,-0.00028365-4.8736e-05i,-0.00029002+0.00080574i,-0.00080457+0.00053656i,-0.0010393-0.00025957i,-0.00043597-0.00045301i,-0.00017221-0.00012646i,4.6399e-05+0.00019862i,0.00026784+0.00038948i,-0.00020871+0.0001632i
0.00052584+0.00059074i,0.00045624+0.0010421i,0.00077918+0.00079313i,-0.00080063-0.001037i,-0.0013586-0.002494i,-0.00082906-0.0023726i,-0.00080914-0.0011436i,-0.00083761-0.00074786i,-0.00071519-0.00039142i,-0.00036301-0.00022704i,-4.9854e-05-0.00022316i,-0.00014654+0.00055478i,-0.00076548+0.00071676i,-0.0006502-8.766e-05i,0.00033203-0.00062687i,0.00054698-0.00065108i,-0.00038095+9.4235e-05i,-0.00096756+0.00048762i,-0.0010424+0.0004853i,-0.00049964+0.00019688i,0.00033806+0.00019261i,0.00031556-0.00019696i,0.00063948+1.9754e-05i
-0.00067246-0.0005154i,-0.00040743-0.00079459i,0.00043938-0.0011156i,0.00020976-0.0016106i,-0.00078616-0.00087679i,-0.00090559-0.00076878i,-0.00069056-0.0017877i,-0.00018015-0.0016912i,0.00013101-0.00086159i,0.00062978-3.6078e-05i,0.0012259-0.0004941i,0.00064256-0.0011664i,-8.7888e-05+3.5445e-06i,-0.00033188+0.00089409i,-5.3826e-05+0.00058048i,0.00057508+0.00076862i,0.00061059+0.00075183i,-0.00031927-1.5692e-05i,-0.00069419-0.00061333i,-0.00020784-0.00068234i,-3.5764e-05-3.3133e-05i,-0.00027598-0.00037963i,2.6747e-06-0.000646i
-0.0015357-0.0016206i,-0.0023065-0.00035393i,-0.0016218-0.00024216i,-0.00078078-0.00091092i,-0.0010299-0.002291i,-0.0012176-0.002837i,-0.00086102-0.0020337i,-0.00081008-0.00066205i,-0.0018376-6.8265e-05i,-0.0021584-0.00076078i,-0.0010901-0.00061323i,-0.00098516+2.7609e-05i,-0.0013705+0.00022401i,-0.00065811+0.0001818i,-0.00015233+0.00073198i,3.979e-05+0.00095136i,9.0818e-05+0.00051001i,-0.00027614-1.437e-05i,0.00019168-0.00054969i,0.00036379-0.00070438i,0.00040306-0.00018311i,0.00043743+0.00072654i,0.00010649+0.0010311i
0.0011235+0.00068506i,0.0017443-0.00081687i,0.0016192-0.0013667i,0.00067371-0.0028263i,-0.00072938-0.0036066i,-0.0012576-0.0022138i,-0.00078423-0.0010196i,-0.00054754-0.00098024i,-0.00035683-0.0011117i,-0.00028651-0.00027232i,-0.0007425+5.0083e-05i,-0.00080307-0.0007252i,-6.9628e-05-0.00070225i,0.00059474-0.00032718i,0.00056174+0.00015247i,-8.6642e-05+0.0005425i,-0.00043053+0.0005729i,-9.2801e-06+0.00063513i,0.00042188+0.00027055i,0.00062196+4.6471e-05i,0.00064587-0.00021074i,0.00086959-0.00089501i,0.00067326-0.00091655i
-0.0016997-0.0015692i,-0.0023771-0.0014447i,-0.0019457-0.0016653i,-0.0020572-0.0021802i,-0.001608-0.0024266i,-0.00067914-0.0024842i,-5.3834e-05-0.0022698i,-0.00030645-0.0010689i,-0.00032507-0.00019008i,-0.00058199-4.9338e-05i,-0.00097901+0.00018566i,-0.00063826+0.00082582i,-0.00041172+0.00058644i,-0.00088572+9.6129e-05i,-0.00091817-0.00010738i,-0.00089465+0.00010962i,-0.00055568+0.0002472i,4.0605e-05-0.00021216i,7.4712e-05-0.00060875i,-0.00017802-0.00061174i,-0.00083306-0.00033283i,-0.00091877-0.00081925i,-0.00054605-0.0013722i
0.0010503+0.00010561i,0.0012374+0.00044641i,0.0020173-0.0011286i,0.0013354-0.002508i,-0.00035816-0.0026498i,-0.00097729-0.0022155i,-0.00048476-0.0013657i,0.00011251-0.00060819i,-0.00033899-0.00044626i,-0.00035362-0.00076393i,-0.00010518-0.00065889i,0.00028567+0.00036337i,0.00043364+0.00075982i,0.00011002+0.00087322i,0.00038108+0.00058497i,0.00047359+0.00077642i,0.00024942+0.0010234i,0.00014241+0.00019035i,0.00032868-0.00032111i,0.0013144+0.00025083i,0.0013797+0.00069034i,0.00015945+0.00088269i,-0.00072264+0.00029337i
0.0013637+0.00090415i,0.00086537+0.00043008i,0.00094725-0.00055688i,0.00067433-0.0020083i,-0.00048215-0.0030735i,-0.0014757-0.0034088i,-0.0014614-0.0024419i,-0.00062692-0.0010494i,9.1417e-05+1.5027e-05i,1.255e-06+0.00072623i,-0.00029491+0.00045925i,-0.00044925+0.00068866i,-0.00031558+0.00038835i,0.00025162+0.00034636i,0.00079377+0.0007422i,0.00082213+0.00042748i,0.0002916+0.00025189i,0.00016304+0.00027474i,0.00077529+0.00014779i,0.0010494-0.00013825i,0.00088494-0.00074402i,0.001082-0.00073582i,0.00033236-1.0711e-05i
-0.0010491+0.00076196i,-0.0024189-0.0011076i,-0.0016151-0.00076235i,-0.0010233-0.00083937i,-0.00057003-0.0018017i,-0.000156-0.0017105i,-0.00020593-0.0014032i,-0.00075126-0.00082063i,-0.0019449-0.00039075i,-0.001805-0.00026625i,-0.00088266+8.6024e-05i,-0.00097201-8.7387e-05i,-0.00046107-0.00033393i,0.00029068+0.00044923i,-0.00011207+0.00057767i,4.6815e-05+0.00016856i,0.00037728+0.00040102i,0.00059515+0.00086624i,0.00065135+0.00015251i,0.00028307-0.00024429i,0.0007943+5.3141e-05i,0.00078382-0.00035105i,0.00022391-0.00043584i
0.00050708-8.982e-05i,0.0002988-0.00036359i,-3.7887e-06-4.9466e-05i,-0.00013719-0.00032015i,-0.00041828-0.0010239i,-0.0009969-0.0018024i,-8.2577e-05-0.0014336i,0.00022825-0.0010555i,-0.00039158-0.0010702i,-3.5494e-05-0.00024439i,-0.00021252+0.00071856i,-0.00098761+0.0012589i,-0.001086+0.00037549i,-0.00062474-0.00046386i,-0.00031676+5.1694e-05i,0.00031263+0.00034372i,0.0014705+6.1952e-05i,0.0014122+0.000227i,0.00055456+0.00018014i,0.00067532+0.00010629i,0.0007892+0.00025407i,0.0010416-0.00026393i,0.00041263-0.0011671i
-0.000929+0.0015707i,-0.0004586+0.00099128i,0.00019901+0.0012982i,-0.00047448+0.0002601i,-0.00082945-0.0022304i,-0.00041681-0.0032726i,-0.00011086-0.0026705i,-0.00023189-0.0016112i,-0.00035394-0.00074883i,-3.584e-05+0.00026813i,-0.00054769+0.00055747i,-0.001146+0.00032519i,-3.3253e-05+0.00066142i,0.00056886+0.00079964i,-0.00063539+0.00045079i,-0.00055251+0.00051507i,-0.00014386+0.00090079i,-0.00032127+0.00075364i,1.7355e-05+0.00011335i,-0.00011667-0.00039989i,-0.00014937-0.00037893i,0.00018093-0.00038754i,0.00082389-0.00080957i
0.0021131-0.00068152i,0.0018086-0.00064758i,0.0022131-0.0013667i,0.0012213-0.0018294i,-0.0008817-0.0020644i,-0.0021057-0.0013184i,-0.0010334-0.00059014i,0.0001549-0.00043973i,-0.00095581+1.4002e-05i,-0.0017498+0.00035925i,-0.00090494+0.00086614i,-0.0006994+0.00057075i,-0.0012259+0.00037359i,-0.00082008+0.00031796i,-0.00040198+0.00019429i,-0.00051698+0.0010644i,-0.00010913+0.0013967i,5.7138e-05+0.0014394i,0.00019758+0.0012666i,0.00037731+0.00086222i,0.00018537+0.00096714i,-9.2272e-05+7.8184e-05i,0.0002093-0.00033667i
