0.0065121-0.00045211i,0.0047938-0.0039578i,0.0033245-0.006752i,0.00042379-0.0062107i,-0.0029953-0.0035597i,-0.0043044+0.00041843i,-0.0022748+0.0016226i,-0.00012222+0.001243i,0.0012901+0.00033387i,0.0009248-0.00094561i,-0.00049141-0.00097663i,-0.001098-0.00015633i,-0.0022089+0.00088614i,-0.0031984+0.0015847i,-0.0030554+0.001337i,-0.0019199+0.00075823i,0.00013426-0.0003128i,0.00080852-0.0006313i,6.9373e-05+0.00017457i,0.00043763+0.00048599i,0.00068494-0.00011329i,-0.00010994-0.00074418i,-0.0005342-0.00094103i
-0.00035707+0.0011664i,-0.00035891+0.001883i,-0.00061423+0.00092629i,-0.0012243+0.00025533i,-0.00018155-0.00065916i,0.00064909-0.0017218i,0.00042264-0.001603i,-0.00038453-0.0012193i,-8.372e-05-0.00071819i,0.00071526-0.00010869i,0.0009519+0.00040495i,0.0012247-0.00025269i,0.00095248-0.0010198i,-0.00019857-0.0010493i,-0.0010305-0.00049932i,-0.00047793+4.3187e-06i,0.00036579+0.00059116i,0.00068985+0.0005262i,0.00097454+2.2833e-06i,0.00078149-0.00012843i,1.3536e-05+8.0344e-05i,-0.00030325-3.4613e-05i,-0.00090734-0.00065961i
-8.1717e-05-0.00086792i,0.00022353-0.0014189i,-0.000346-0.0010553i,-0.0010581-0.0003151i,-0.00064277+0.00067253i,0.00039661+0.00025293i,0.00067587-0.00083843i,3.5728e-05-0.0010075i,-0.00051849-0.00039745i,-6.1012e-06+0.00057855i,0.00039963+0.00097738i,0.00018201+0.0008205i,0.00011428+0.00050688i,0.0005262-0.00011691i,0.00097626-0.00053939i,0.00051247+0.00010633i,-0.00022101+0.00044548i,-0.00035693+0.00017267i,-0.00051567-0.0003693i,7.4205e-05-0.001347i,0.0005702-0.0016723i,0.00041212-0.00067154i,7.3125e-05+0.00025901i
-0.0013695+0.00065756i,-0.00052335+0.001366i,1.5631e-05+0.0016002i,0.00028226+0.0003067i,0.00091525-0.0010421i,0.0013124-0.0016091i,0.0012682-0.0018855i,0.00096971-0.0018713i,0.00054656-0.0016609i,0.00014606-0.0014257i,-3.1269e-05-0.00095574i,-0.00026015-0.00021003i,1.3831e-05+0.0003578i,6.6809e-05+0.00014658i,-2.72e-07-0.00013306i,0.00012601+0.00033894i,-1.4609e-06+0.001116i,9.067e-05+0.0013459i,-0.00038464+0.0011404i,-0.00032025+0.0006784i,8.1522e-05+4.3259e-06i,-0.00022656-0.00087578i,-0.00011144-0.0010372i
-0.0033395-0.0028302i,-0.0033105-0.0017954i,-0.0025185-0.00032918i,-0.0014031+0.00071324i,-0.0008227+0.0010821i,3.8494e-05+0.00037051i,0.00085427-0.00024708i,0.00044587-0.00040404i,-0.00017553-0.0003381i,-0.00028516-0.00040115i,0.00056376-0.00050026i,0.0011848-0.00020599i,0.00091117+0.00051841i,0.0005332+0.00041273i,0.00056971-5.2253e-05i,0.00041484-0.00067494i,0.00068033-0.00081335i,0.00039448-0.00024215i,-0.00010744-0.00034602i,6.5965e-05-0.00013823i,-0.00015193+0.00025385i,-0.00031213+0.0001603i,-5.3358e-05-0.0005738i
6.836e-05+0.0014563i,0.00050393-9.737e-05i,6.4287e-05-1.4777e-05i,-0.0007312-0.00024816i,0.00027234-0.0010803i,0.00077348-0.0004161i,0.00079233-0.00012896i,0.00098873-0.00016073i,0.00087614+0.00058445i,0.00085592+0.0009004i,0.00070647+0.00080891i,0.00010371+0.00074524i,0.00026166+0.00030502i,0.00051785+0.00053538i,-0.00015899+0.00066417i,0.00047641+0.00036681i,0.001181+1.4866e-05i,0.0005572-0.00053158i,0.00041862-0.00020926i,4.0643e-05+0.00057335i,-0.00013927+0.00066363i,0.00057226+0.00024354i,0.0013246-0.00015213i
-0.00071041-0.0017712i,-0.0011787-0.0014637i,-0.0011541-0.00095902i,-0.00056652-0.00015143i,0.00048872+0.0002806i,0.0013308+0.00025544i,0.0014835-2.0203e-05i,0.00061406-0.00051764i,-0.00013443-0.00043358i,-0.00055831+4.6325e-05i,-0.00068077+0.00039767i,-0.00028534+0.00046283i,0.00062356+0.00022668i,0.00095175+0.00080186i,0.00058205+0.0010354i,2.4486e-05+0.0005178i,-0.00052565+0.00043585i,-0.00051139+0.00030143i,0.00049166-0.00020393i,0.00068331-0.00058475i,0.0010353-0.00084376i,0.0010544-0.00098419i,-2.2561e-05-0.00088273i
-0.00042008+0.0018547i,0.00078529+0.0017702i,0.001605+0.0011498i,0.0010211+0.00098537i,0.00071108+0.00020506i,0.00047457-0.0010204i,-7.9563e-05-0.0020758i,-0.00027713-0.0017011i,-0.00047095-0.00026019i,-7.4574e-06-0.0004402i,-5.4351e-05-0.00046226i,-1.1128e-05+0.00029279i,-0.00032559-0.00030901i,-0.0006343-0.00075752i,9.2179e-06-0.00011082i,0.0003325-3.5697e-05i,0.00027997-0.00041395i,8.9242e-06-0.00019295i,-0.00037603+0.00022339i,-0.00042+5.6114e-05i,0.00026915-0.00021694i,0.00067351-0.00010439i,0.00055372+8.5352e-05i
0.00013846-0.00076964i,0.0001072-0.00050409i,-0.00025554-6.5944e-05i,0.0004222+5.2691e-05i,0.00090818+0.00056531i,0.0012012+1.486e-06i,0.0018828-0.00094025i,0.0018343-0.00097114i,0.00095622-7.2149e-05i,-9.8511e-05+0.00032331i,-0.00020685+0.00017419i,0.00061831+0.00013591i,0.0018148-0.00035706i,0.0018952-0.00048302i,0.00093161+0.00018977i,0.00084507+7.292e-05i,0.00050309-0.00044073i,-3.7945e-05-0.00037573i,-0.00017653-0.00031315i,-0.00083069-0.00040001i,-0.00011484-0.00063316i,0.0012443-0.0002538i,0.00056174+8.3998e-05i
2.3684e-05+0.00037525i,0.00011824-0.00050717i,0.00078344-0.001765i,0.00071554-0.00065224i,-1.5562e-05+0.00011387i,0.00092099-0.00055153i,0.0020669-0.0010161i,0.0013531-0.0010095i,-0.00022562-0.00094699i,-0.00038419-0.00094054i,-7.6181e-06-0.00087923i,8.0505e-07-0.00061075i,-0.00014232-0.00039626i,-0.00034207-0.00040568i,3.1131e-05-0.00021274i,-0.00019735+0.00013135i,-0.001027+0.00036832i,-0.00058825+0.00067273i,0.00011052+0.00070662i,0.00042808-6.1432e-05i,0.00022375-0.00029342i,0.00026445+6.1822e-05i,0.00095434+0.0004963i
0.0010213-0.00035299i,0.00070049+3.1759e-05i,-3.7442e-05-0.00013035i,-0.0003416-0.00033882i,-0.00022111-0.00074633i,0.00090664-0.00052112i,0.0015697+3.7536e-05i,0.00026758-0.00039736i,-0.00060914-0.00067152i,-0.0009917+8.3643e-05i,-0.00088929+0.00053804i,0.00058216+0.0002481i,0.00095706+6.1493e-05i,0.00021278+0.00018116i,0.00019095+0.00042349i,0.00081581+0.0001533i,0.00082713-4.1172e-05i,-0.0001523+0.00012183i,-0.00085548+9.3721e-06i,-0.00055446-0.00031539i,7.9443e-05-0.00057801i,0.0006488-0.00077877i,0.00044956-0.00092515i
