-0.0017543+0.0019123i,-0.0018644+0.0010726i,-0.001512+0.00055574i,-0.0011243+0.00017655i,-0.0011772+0.00090993i,-0.0015945+0.0015616i,-0.00067104+0.0014993i,0.00037239+0.0013909i,0.0003081+0.00096481i,0.00028573-0.00021174i,0.000986-0.00088069i,0.0010497-0.00097277i,0.00051246-0.0007882i,-3.783e-05-0.00054589i,4.9772e-05-7.7431e-05i,0.00010795+0.0001024i,-0.00033712-0.00021269i,-0.00011724-0.00040375i,0.00017421-0.00019366i,-0.00017569-0.0002057i,0.00073069+2.9068e-05i,0.0011078+0.00035016i,0.00025039+0.00052131i
-0.0016858+0.0024838i,-0.00075005+0.0016815i,0.00013427+0.0025937i,0.00094232+0.0030803i,0.0014554+0.0011849i,0.0020737-0.00065452i,0.0021249-0.0004173i,0.00054677+7.7416e-05i,-0.00015094-0.00027429i,-0.0003093-0.00086369i,-0.00027659-0.0012473i,-3.7671e-05-0.0014137i,-0.0002618-0.0013998i,-0.00031598-0.0008678i,-0.00074627-0.00088835i,-0.0010507-0.00049349i,-0.00060378+0.000529i,-0.0005323+0.00053673i,-0.00046744+0.00072303i,-6.472e-05+0.00051486i,0.00028429-0.00032158i,-0.00011807-2.8747e-06i,-0.00066058-0.00022307i
0.00098465+0.0014843i,0.0011074-0.00016558i,0.0013504-0.0018384i,0.0010057-0.0014551i,-1.6403e-05-0.0001128i,-0.0010722+0.00058778i,-0.00096588+0.00075531i,-0.00087287+0.00055798i,-0.0011826-0.0005727i,-0.00014089-0.0019087i,0.00086738-0.0016611i,0.0003159-0.001116i,0.00038639-0.00074298i,0.00079032+0.00027246i,0.00056325+0.00073523i,0.00044304+0.0003992i,0.00034193+0.00023737i,0.00014625+0.00039506i,-0.00018935+0.00033348i,-0.00058554+0.00019314i,-0.00083375-2.3723e-05i,-0.00035759-0.00034478i,0.00018707-0.00064779i
0.0015637+0.0013209i,0.0010793+0.00037531i,0.0018678-0.00039379i,0.0024352-0.00089495i,0.0014643-0.00027833i,-0.00035009-0.00042311i,-0.00098045-0.0007938i,-0.0010503-0.00016235i,-0.00040309-0.00041204i,0.00065705-0.0016867i,0.00053371-0.0020953i,3.4467e-05-0.0016535i,-0.00037696-0.0010085i,-0.0011003-0.00046392i,-0.0013556-3.2604e-05i,-0.00049825-0.00013807i,-8.0197e-07-0.00031714i,0.00045755-0.00033183i,0.00038906-0.00056384i,-9.8417e-05-0.00073006i,0.00066637-0.00074041i,0.0010491-0.0006482i,0.00054346-4.773e-06i
-0.00071061+0.00073086i,-0.0014177+0.00029544i,-0.0018977+0.00011773i,-0.0014989+0.00085693i,-0.0010137+0.001256i,-0.00068172+0.00062396i,0.00014642+1.2581e-05i,-0.00030814-0.00067353i,-0.0015062-0.0011649i,-0.0013445-0.00094781i,-0.00052044-0.0006942i,-0.00030331-0.0011066i,-0.00061654-0.0012652i,-0.00048681-0.00032739i,-0.00046884+0.00049213i,-0.00035187-4.6773e-05i,-0.00024169-0.00033627i,-0.00052904+7.402e-06i,0.00039018+8.8063e-05i,0.0013738+0.00015245i,0.00083574-0.00032091i,0.00039959-0.00078331i,0.00054256-0.00015737i
-0.00062951-0.00011948i,-0.00018561-0.00018921i,5.9729e-05-0.0012816i,0.00043554-0.0020195i,3.0053e-05-0.00049804i,-0.001046+0.00051293i,-0.00085327+0.00026934i,-0.00024093+0.00023651i,-0.00054001-0.00011219i,-5.7574e-05-0.00072531i,0.0005461-0.00048852i,0.00030942-0.00069542i,3.2363e-06-0.00052059i,-0.0002729+0.00068179i,-0.00071433+0.0014803i,-0.00050418+0.0012676i,-0.00084873+0.00097223i,-0.001384+0.00039825i,-0.00092865-0.00066929i,0.00025793-0.00077608i,0.00018429-0.00034251i,-0.00038471-0.00053232i,-0.00066747+4.926e-05i
0.0014566-0.00022603i,0.0012423-0.00031891i,0.00087296-0.00078133i,0.00066887-0.00031472i,0.00046605-3.912e-05i,0.00066679+4.8499e-05i,0.0006807+5.4967e-05i,0.00064462-0.00036096i,0.0007607-0.001123i,0.00065397-0.0018884i,0.00043543-0.0017098i,0.000104-0.0010534i,-4.5945e-05-0.0014379i,-0.00073995-0.00093439i,-0.0011277+0.00013551i,-0.00019262-2.6597e-05i,0.00046207+5.582e-05i,-8.5967e-06-2.823e-05i,-0.00023852-0.00076564i,-7.4882e-05-0.0003748i,-0.00038409-0.00019059i,0.00027207-0.00086276i,0.00029186-4.2721e-05i
0.0011317+0.00083906i,0.00098941+0.0004109i,0.0011137-3.7466e-06i,0.00050312+0.00019869i,0.00016149+0.00035259i,0.00040571+0.00014929i,0.00040899-4.0582e-07i,0.0003683+0.00034933i,-0.00016308+0.00035381i,-0.00088009-0.00031649i,-0.00070195-0.00097252i,-0.00078126-0.0013943i,-0.0012781-0.0011843i,-0.0011685-0.00076216i,-0.0010573-0.00037106i,-0.00060068+0.00018864i,0.00061982-0.00019413i,0.0012295-0.00031212i,0.00046701-0.00026151i,-6.0669e-05-0.00026718i,0.00032482-0.00043991i,0.00098359-0.00051521i,0.00019332-0.00020289i
-0.0029632+0.0011087i,-0.0017547+0.0013276i,-0.00074265+0.0028668i,-0.00043037+0.0025945i,-0.00015799+0.0014321i,0.00021866+0.00081376i,0.00046813-0.00048139i,-0.00032187-0.0012454i,-0.0014599-0.00098723i,-0.0013629-0.00080038i,-0.00090075-0.00090147i,-0.00063191-0.0014412i,-0.00034634-0.0017524i,-0.00054068-0.0018331i,-0.00038867-0.0010093i,-3.4915e-05+0.00051246i,-0.00075259+0.00092143i,-0.00075484+0.0005988i,-0.00023059+0.0007256i,-3.2865e-05+0.00060746i,0.00013139+0.00036308i,0.00056924+0.00026578i,0.00060625+0.00066233i
0.0021336+0.00061687i,0.0027366-0.00038339i,0.0018223-0.0018921i,0.00094325-0.0020841i,0.00051469-0.0015863i,-0.00055233-0.00018637i,-0.00079195+0.00082121i,-0.00029126+0.00075207i,-0.00048168+0.0003809i,-9.7772e-05-0.00013833i,0.0013127-0.00026494i,0.0010043+1.4926e-05i,-0.000497+0.00016653i,-0.00038317+3.7444e-05i,0.00023896+0.00050251i,1.2022e-05+0.0010138i,-0.00024547+0.0010608i,0.00025318+0.00059926i,0.00072255+0.00015913i,0.00045224-0.00024182i,0.00049368-0.00024444i,0.000346+0.00064135i,0.00012668+0.00091309i
-0.00067345+0.00073678i,0.00034569+0.00053005i,0.00062752+0.0015118i,-1.6966e-05+0.0024491i,-0.0011947+0.0022852i,-0.0011601+0.0012771i,0.00025264+0.00070917i,0.0001434+0.0007447i,-0.00059858+0.00010034i,6.4058e-05-0.00070186i,1.7406e-05-0.00039019i,-0.00065548-0.00021808i,-0.00070222-3.1138e-05i,-0.00042136-0.00017388i,2.6304e-05+6.5276e-05i,0.00020674-0.00021338i,0.00025202-0.00061131i,0.00017795-0.00087372i,0.00023644-0.00068608i,-6.2934e-05-0.00064447i,-0.00028743-0.00087812i,-4.0683e-05-0.00046957i,1.7834e-05-0.0002688i
-0.00022579-0.0018755i,-0.0016321-0.0022802i,-0.0023387-0.0028809i,-0.0024605-0.0023249i,-0.0020946-0.0013982i,-0.0016011+0.00017564i,-0.00024904+0.00046128i,0.00052992-0.00092887i,0.0002154-0.0016666i,-0.00018014-0.0019409i,-0.00010116-0.0014655i,0.00039919-0.00039882i,0.00047297-0.00017819i,-5.0644e-05-0.00052871i,-0.0003631-0.00021436i,-6.6955e-05-9.71e-05i,0.00041666-8.53e-05i,-0.00010535+0.00050813i,-0.00085346+0.00020467i,-7.7901e-05-0.00050428i,0.00014407-0.00052461i,-0.00046581-0.00059476i,-0.00060378+0.00043234i
0.00071565-0.0015106i,0.00017708-0.0016203i,-0.00040624-0.0019491i,-0.0013094-0.0020298i,-0.0019121-0.00081179i,-0.0010492+0.00076828i,0.00018393+0.0013249i,-0.00073053+0.00073399i,-0.001219-0.00042004i,-0.00059414-0.0012853i,0.00029236-0.0019699i,0.0008244-0.002091i,0.00012175-0.00085925i,-0.00082949+6.8716e-06i,-0.00049631+0.00024034i,0.00015592+0.00021861i,-0.000228+0.00035429i,-0.00051102+0.00048509i,-0.00010038+0.00053584i,-3.6528e-05+0.00041015i,-0.00052455-0.00020652i,-0.00067665-0.00070735i,-0.00066386-0.00054096i
-0.00086327+0.00066306i,5.317e-05+0.00078496i,0.0011235+0.0012374i,0.0021195+0.0016897i,0.002084+0.0015666i,0.00082451+0.0008498i,0.00020699-0.00060414i,0.00010859-0.00080143i,-0.00042212-0.00053739i,-0.00088847-0.00081629i,-0.0010682-0.0013581i,-0.0012368-0.00074988i,-0.00069647+2.2226e-06i,-0.00068019-0.00021239i,-0.001011-0.0011099i,-0.00030873-0.0011501i,0.00036727-0.00046148i,0.00035093-2.2923e-05i,-6.1231e-05-0.00019308i,0.00024153-0.00052581i,0.00061155-0.00086339i,0.00013831-0.00075791i,-0.00069628-0.00015752i
-0.0026872+0.0012105i,-0.0018893+0.0024081i,-0.0013437+0.0032777i,-0.0012851+0.0031758i,-0.001001+0.001502i,1.2678e-05+0.00020703i,-0.00013897-0.00051933i,-0.00082804-0.00092849i,-0.0012506-0.00055307i,-0.00039236-2.0199e-06i,0.00034405+0.00035819i,-0.00045368-0.00022222i,-0.00081713-0.0010317i,-0.00068233-0.00017854i,-0.00081683+0.001039i,-0.00015196+0.0010386i,0.00034512+0.00035722i,0.00040044+0.00022957i,0.00033481+7.2568e-05i,0.00017881-0.00050802i,0.00015365-0.00079947i,0.00025534-0.00081108i,7.1081e-05-0.00072163i
-0.00067519+0.0028844i,0.00031045+0.0013802i,0.0018412+0.00050877i,0.0022076-7.3214e-05i,0.0017533-0.00033483i,0.0010737+0.00010906i,0.00054237+0.00047078i,0.00040453+0.00012239i,0.00026478-0.00070677i,0.00051724-0.00086439i,0.00051352-0.00079102i,-0.00014028-0.00069733i,-0.00020449-0.00071018i,-0.0015454-0.00040862i,-0.0026186+0.00057156i,-0.0019172+0.00066675i,-0.0014849+0.00046132i,-0.0015973+0.00059919i,-0.0010784+0.0005192i,-0.00059714+0.00014072i,-0.00014706-0.00072737i,0.0002939-0.00043504i,-0.00012181+0.00017044i
0.00021166-0.0016389i,-0.00039818-0.0013281i,-0.00040464+3.4401e-05i,0.00029405+0.00077279i,-0.00053067+0.0012765i,-0.0014786+0.0011672i,-0.00047424+0.00082858i,0.00027767+0.00036663i,-3.8101e-05-6.1937e-05i,-0.00063675-0.00028939i,-0.00099055-0.00072539i,-0.00075458-0.0011714i,-0.00021598-0.00061232i,-0.0002422-0.00040826i,-0.0004418-0.00027053i,-0.00093083+0.00049678i,-0.0010635+0.00066102i,-0.0010763+0.00021486i,-0.00044068-0.00018575i,0.00062572-0.00035709i,0.00073075+0.00025688i,5.4458e-05+0.00085945i,-0.0005186+0.0009197i
0.00065847+0.0018015i,0.00010215+0.0010096i,0.00025705-0.00032467i,0.0012107-0.0019403i,0.00087338-0.0018007i,-0.00040861-0.00046088i,-0.0010293+0.00061595i,-0.00092985+0.00022342i,-0.00078148-0.0010304i,-0.00070565-0.0014826i,-0.0005143-0.0013682i,-0.00038923-0.0020467i,0.00012575-0.0022776i,0.00050287-0.0012433i,-0.00022195-0.00047104i,0.00012376-0.0006684i,0.0009838-0.00053808i,0.0005106-6.0046e-05i,-0.00023176-3.1913e-05i,-0.00040128-0.00023901i,-0.00016278+0.00044696i,-0.0001923+0.0008635i,-2.5769e-05+0.00058682i
0.00072604+4.5372e-05i,0.0004662+0.00087593i,0.00099971+0.001105i,0.0014561+0.00028555i,0.00069642+0.0002219i,0.00076739+0.00087815i,0.00054262+0.00056549i,-0.00057923-0.00016516i,-0.00079193-0.00082191i,-0.00038161-0.0012989i,7.9823e-05-0.0013734i,0.00050921-0.0010168i,-7.7727e-06-0.00091674i,-0.00033257-0.00069175i,-0.00093055-0.00068339i,-0.00065348-0.00067133i,0.00072869+5.4881e-05i,0.00077112+0.00015842i,0.00020777+0.00053217i,0.00085103+2.4156e-05i,0.0012389-0.00073876i,0.00036369-0.00071946i,-3.516e-05-0.00092154i
-0.00031663+0.00039425i,-0.0004551+0.00012167i,-0.001486+0.00099279i,-0.0011458+0.00109i,-1.2811e-05+0.00071774i,0.0002751+0.00059754i,0.00038778+0.00031071i,0.00058821+0.00011766i,0.00024239-0.00033346i,0.00056905-0.00082759i,0.00047097-0.00075707i,-0.00018385-0.00033115i,-0.00028223-0.00041109i,7.1022e-05-0.00049549i,0.00041041+0.00014238i,0.00019574+0.00085499i,3.414e-05+0.00067447i,0.00018211+0.0005059i,-9.8668e-05+0.00039324i,-0.00020579+0.00021838i,-7.1474e-05+0.00060491i,-7.57e-05+0.0011027i,-9.1719e-06+0.00074447i
0.00012311+0.001843i,0.00087651+0.0020422i,0.0026555+0.0025362i,0.0027749+0.0016195i,0.0015279+0.00048356i,0.0006946+8.3621e-05i,0.00039983+0.00059486i,0.00055466+0.00072402i,0.00094619-0.0003243i,0.0011471-0.0011156i,0.00026579-0.0014803i,-0.00059196-0.0011466i,-0.0011525-0.00016388i,-0.00093743-0.00018661i,-0.00070982-2.5342e-05i,-0.0011362+0.00086155i,-0.00046013+0.0011322i,0.00030044+0.0008653i,0.00033884+0.00053344i,9.8543e-05+0.0006328i,-0.00063845-0.00028602i,-0.00081441-0.00088043i,-0.00053725-0.00012664i
-0.0022733-0.0016197i,-0.0023255-0.00041244i,-0.0028876+0.00081691i,-0.0028841+0.0021735i,-0.0016291+0.0029921i,-0.00071959+0.0029039i,2.0628e-05+0.0015775i,0.00031653-0.00037177i,-0.00054921-0.0012057i,-0.00053991-0.0011137i,-0.00059415-0.00061804i,-0.00029222-0.00031385i,0.00069091-0.00079835i,0.00041393-0.00064662i,-0.00078254+0.00023355i,-0.00079533+0.00020965i,-4.2527e-05+4.2569e-05i,0.00021341+0.0003945i,-0.00040238-0.00016024i,-0.00060492-0.0005183i,-0.00037646+0.00067622i,-0.00071089+0.00072139i,-0.00026411-0.00037821i
0.0026831-0.00068165i,0.0012404-0.0017916i,7.9111e-05-0.0036277i,-0.00044316-0.0034406i,-0.0012334-0.0024105i,-0.0017528-0.0011571i,-0.00084758+0.00030778i,0.00019235+0.00048065i,-1.9761e-05-0.00071306i,-0.00080861-0.0012856i,-0.00096082-0.00059804i,-0.00051785+0.00036183i,-0.00034337+0.0009122i,-0.00059518+0.00072109i,-0.0003703+0.0011006i,9.5987e-05+0.0010315i,-0.0004162-0.00026082i,-0.00038408-0.0011727i,0.00039609-0.00073998i,0.00038529-0.00036553i,2.0092e-05-6.9974e-05i,-0.00039599-0.00026322i,-0.00071646-0.00042887i
0.00063614+0.0014678i,0.0021898+0.00084731i,0.0031789+0.000939i,0.0029298+0.00085686i,0.0020118+0.00017644i,0.00062048-0.00019352i,-8.1106e-05+0.00019942i,-0.00046553-0.00019351i,-0.00074592-0.00119i,-0.001011-0.001744i,-0.0004373-0.0018958i,-0.00031025-0.0012514i,-0.00077047-0.00017432i,-0.00077622+0.00032147i,-0.00072176+0.0010313i,-0.00079189+0.0011894i,-0.00050946+0.00010287i,-3.4382e-05-0.00033881i,0.00026327-9.8207e-05i,0.0003694-0.00028689i,-1.1244e-05-0.00011172i,-0.00018185-0.00024352i,-0.00035789-0.0007512i
0.0015236-0.001351i,0.0014933-0.0015337i,0.00068887-0.0021684i,-0.0011826-0.0013642i,-0.0026042-0.00015831i,-0.0023905+0.00077566i,-0.0013374+0.0011468i,-0.00042885+0.00018745i,-0.00029533-0.0011343i,-0.00094609-0.0016095i,-0.0010269-0.0013448i,-0.00065862-0.001015i,-0.00053385-0.00049755i,-0.000505-8.7294e-05i,-0.00087974+0.00021151i,-0.00057795+0.00085246i,-4.3676e-06+0.0009822i,-0.00022578+9.372e-05i,-0.0002616-0.00035543i,0.00020122-0.00076306i,0.00079162-0.00067679i,0.00092837-0.00015174i,-0.00028429-1.5866e-05i
0.001414+0.00022636i,0.0010975+0.00028653i,0.0009559-0.00049983i,0.00032281-0.00085291i,-0.00027779-0.00037868i,-0.00071118-0.00039681i,-0.00058797-1.2054e-05i,-0.00033701-0.00070218i,-0.00027229-0.0015895i,0.00036853-0.0016151i,0.00046433-0.0014034i,-0.00042362-0.00086234i,-0.00048862-0.00079397i,-0.00067915-0.00042663i,-0.00089001+0.00027883i,-0.00028154+0.000548i,-3.9896e-05+0.00022838i,-0.0002476-0.00060634i,7.1368e-06-0.00046804i,-8.4023e-05+0.0001157i,-0.0011392-0.00016806i,-0.00072246-0.00062544i,0.00020436-0.00086237i
-0.00082959+0.00019153i,0.00026513+0.0011516i,0.00068315+0.0010258i,0.00054297+0.00096817i,0.00014457+0.0012225i,8.2934e-05+0.001136i,-0.0005011+0.00060273i,-0.00041684-0.00052104i,0.00018378-0.00078844i,-0.00027075-0.00024744i,-0.00065599-0.00038821i,9.3995e-05-0.00077989i,0.00038717-0.00039419i,-0.00013713+0.00022388i,-0.00029494+0.00063011i,-0.00027045-0.00015601i,8.6643e-07-0.00020516i,0.00063029+0.00017731i,0.00036337+0.00011826i,-0.00020309-0.000385i,-0.00032447-0.0016701i,-0.00064048-0.0017027i,-0.00052753-0.00052026i
-0.00020943+0.00017106i,-0.0003797+0.0011045i,-0.0011355+0.0017474i,-0.00132+0.0014319i,-0.001119+0.00028552i,-0.00030843-0.00045034i,0.00024643-0.00066354i,0.00047875-0.00072291i,-0.00029176-0.00030405i,-0.00048573+0.00033072i,2.3116e-05+0.001084i,-0.00063239+0.00043577i,-0.00083584-0.00052095i,-0.0007817+3.6674e-05i,-0.00125+0.00094017i,-0.0013211+0.00064641i,-0.00075147-4.1594e-05i,5.6977e-05-0.00032591i,-1.267e-05-0.00053592i,0.000223+0.00035473i,0.00014919+0.00061708i,-0.00034966-0.0007065i,-8.7106e-05-0.00072279i
0.0011559+0.00061038i,0.0014398+0.00042101i,0.0020017-0.00070079i,0.0018295-0.00099071i,0.00064497-0.00019233i,-5.9033e-05+0.00062731i,-6.2293e-05+0.0010993i,-6.81e-05-1.1932e-05i,-0.00026272-0.0010334i,0.00056323-0.0018168i,0.00091276-0.0015156i,0.00097688-0.00079867i,0.00050215-0.00028344i,-0.00097905+0.00018586i,-0.0013814-0.00067434i,-0.00029294-0.00079441i,0.00097566-0.00089408i,0.0011067-0.00076544i,0.00011518+0.00027521i,-0.00036609+0.00082786i,4.1306e-05+0.0005891i,0.00038888+7.7291e-05i,0.00056926-0.00074975i
0.00029421-0.0015866i,-0.00056467-0.002118i,-0.0016438-0.001522i,-0.0023796+0.00044761i,-0.0017824+0.0020535i,-0.0011673+0.001551i,-0.00066223+0.00086332i,-0.00051608-0.00041631i,-0.00094931-0.00084288i,-0.0016448+0.00019897i,-0.0014288-0.00025046i,0.00038157-0.00092548i,0.00086781-0.00095151i,0.00035227-0.00097902i,1.9742e-06-0.00065674i,-0.0001711-0.00031061i,-0.00016934-0.00040662i,8.5619e-05-2.7532e-06i,0.00045151+0.00025517i,0.00055995-6.6196e-05i,0.0003458-0.00036717i,0.00046524-0.0012315i,0.0011968-0.0013951i
-0.00026274-0.0002211i,7.8763e-05+0.0001733i,0.000283+0.00063104i,0.00059536+0.00010596i,0.00098951-0.00017746i,0.0010803-0.00025809i,0.00035821-0.00095481i,-0.00044952-0.00060332i,-0.00014023-0.00060427i,0.00054157-0.00079467i,0.0004208-0.0007457i,2.6138e-05-0.00094641i,-0.00055868-0.0012707i,-0.00063052-0.00099856i,-0.00040935+6.763e-05i,5.6848e-05+0.0002356i,0.00026727+4.0077e-05i,0.00017918-3.6377e-06i,-0.00014832-0.00014544i,0.0002719-0.00015959i,0.00081677+0.00022982i,0.00019464+0.0002259i,-0.00070008+1.4141e-05i
0.00040749-0.00081264i,-0.00088147-6.6754e-05i,-0.00021468-0.00015764i,-0.00015486+0.0005004i,-0.0013003+0.00048018i,-0.001455+0.00047906i,-0.00075917+0.00091941i,0.0001529+0.00040769i,0.00033523-0.00075788i,0.00032175-0.00062309i,-0.00037791-0.00050365i,-0.00031707-0.00084691i,0.00010969-0.00070595i,-0.00037521-0.00036302i,-0.00022914+4.8376e-05i,0.00029316+0.00071858i,-3.7867e-05+0.00036198i,-0.00028958-0.0010837i,-0.00011042-0.0015458i,-0.00033332-0.00030656i,-0.00066996+0.00073957i,-0.00072641+0.0002474i,-4.4995e-05-0.0007322i
0.0010927+0.00024663i,0.0010566-0.00055592i,0.0011168-0.00096765i,0.00073093-0.00098993i,0.00039811-0.00066162i,-0.00034733+0.0001439i,-0.0013594+0.00065755i,-0.0012423+2.3874e-05i,-0.00052584-0.0010343i,-0.00010387-0.0014499i,8.1161e-05-0.0011869i,8.4327e-05-0.0010702i,0.00057549-0.0008564i,0.00043748-2.8131e-06i,-0.00026561+0.00087795i,-6.2305e-06+0.00073952i,-3.4728e-05-6.3847e-05i,5.1978e-05-0.00016777i,-6.7493e-05-0.00017478i,-0.00056695-0.00030597i,-0.00026509-0.00014481i,0.000367+0.00075397i,0.00046119+0.0011176i
-0.00021595+0.0009i,-0.00012656+0.0014089i,-0.00078671+0.0015206i,-0.00060457+0.0011583i,-9.1448e-05+0.0011046i,6.4527e-05+0.00046375i,0.00022035-0.00039924i,-1.585e-05-0.00040111i,-0.00047998-0.00058645i,-0.00068998-0.001509i,-0.0011647-0.0019479i,-0.0011405-0.0019171i,-0.00070257-0.0020937i,-0.0012477-0.0019319i,-0.0015155-0.0011621i,-0.00088128-0.00048695i,-0.00042941-0.00047343i,-0.00054302+0.00010841i,-0.00041151+0.00077783i,0.00057247+0.00038416i,0.00017196-0.00056694i,-0.00010955-0.00034701i,-0.00059737-0.00033918i
-0.00010367-0.0010443i,-0.00093128-0.0019956i,-0.0017582-0.0026529i,-0.0015677-0.0015618i,-0.0012947-0.0003136i,-0.00042044+0.0003216i,-0.00044941+0.00041144i,-0.00028618-0.00033319i,0.00029857-0.0015044i,-6.7311e-05-0.0017637i,-0.00067778-0.0010953i,-0.000687-0.00065304i,-0.00064711-0.00034918i,-0.00029219-0.00049015i,-2.6182e-06-0.00085528i,-0.00017687-0.00061491i,-0.00057969-0.00033365i,-0.00070027-0.00012076i,-0.00022252+0.00032484i,0.0001109+0.00039521i,0.0003256+8.2563e-05i,0.00013051-5.432e-06i,-0.00027892-0.001136i
0.001783-0.00031225i,0.0021257+0.00014367i,0.0014728+0.00094646i,0.00077106+0.00091709i,0.00061759+0.0004198i,0.00010659+0.00012203i,-0.00049502+0.00033593i,-0.00023652+0.00044357i,-0.00028979-7.9228e-05i,-0.00056892-0.00091866i,-0.00022191-0.001053i,-0.00016437-0.00089122i,-0.00015692-0.00067712i,-0.00042767-0.00047587i,-0.00045005+0.0001161i,0.00018428+9.8953e-05i,0.00044199-0.00021543i,0.00072769+6.5086e-05i,0.00028162-0.00011752i,-0.00074235-0.0006899i,-0.0003946-0.00034604i,0.00025322+0.00069572i,-8.3448e-05+0.00036462i
-0.0011556+0.0019797i,-0.00015397+0.001357i,0.00014741+0.0027596i,0.00080215+0.0028051i,0.0018385+0.0019012i,0.0015803+0.0010571i,1.0401e-05+0.00079974i,-0.00087486+0.00027574i,-0.00014839-0.00011986i,-1.9311e-05+3.1647e-05i,-0.00047037-0.00051714i,-0.00056584-0.00034182i,-0.00084378-0.00018386i,-0.00081695-0.0011867i,-0.0017999-0.0015724i,-0.0017126-0.0008185i,2.8796e-05-0.00044483i,0.00089863-0.00031127i,0.000493-0.00035553i,0.00018046-0.00060675i,5.9967e-05-0.00031085i,-1.3911e-05-1.7508e-06i,0.00019222-0.00040118i
0.0011604+0.00067793i,0.0015742+0.00056277i,0.0011819-0.00020508i,5.6684e-05-0.0010984i,-0.00069548-0.0014233i,-0.00076559-0.00020826i,-0.00072507+0.00066129i,-0.00021691-1.5628e-05i,0.00054166-0.0014279i,0.00018459-0.0021108i,-0.00021491-0.002037i,-0.00033524-0.0014092i,-0.00097904-0.00037909i,-0.0011195+0.00049585i,-0.00035835+0.001044i,0.00010021+0.00038342i,1.7075e-05-0.00040159i,1.7903e-05-0.00060924i,-0.00052074-0.00025218i,-0.0010378-6.1699e-05i,-0.00077367-1.371e-05i,-0.00047919+0.00033038i,-0.00042002-0.00016686i
0.0015764-0.0013054i,0.0012102-0.0016945i,0.0012253-0.0022883i,0.00052555-0.0017708i,-0.0008128-0.00089468i,-0.0010513+0.00012202i,0.00021073+0.00028389i,0.00026231-0.00031433i,0.00025813-0.00073996i,0.00041857-0.00082915i,-6.6756e-05-0.00016911i,-2.0831e-06+0.00031152i,-0.00045076+0.00074445i,-0.00043057+0.00041303i,-0.00022323+2.6285e-05i,-0.00047233+0.00017162i,3.9853e-06+7.877e-05i,0.0004644+0.00022677i,0.00015579-6.8754e-05i,-0.00014107-0.00012062i,0.00050933+0.0005155i,0.00059562+0.0005082i,-0.00030181+0.00025021i
8.1284e-06+0.00021422i,-0.0001994+0.00081614i,1.8969e-06+0.00072833i,-0.00051234+0.00016625i,-0.00075444+0.0010825i,6.0005e-05+0.0017215i,0.00087833+0.00098269i,0.00068171+0.00018442i,-2.3355e-05-0.00073712i,-0.00038089-0.00077257i,-0.0004707-0.0011682i,-0.00036957-0.0018315i,0.00029727-0.0011501i,0.00035084-0.00021707i,-0.00042773-0.00016611i,-0.00074715-0.0003755i,-0.0010386-0.00063167i,-0.00097012-0.00032055i,-0.00053191-2.6026e-05i,0.00014822-0.00039027i,9.484e-06-0.0006851i,-0.00096445-0.00036565i,-0.00090501-4.4426e-05i
-0.0016866-0.00066413i,-0.0017595-0.0016582i,-0.0016035-0.0012757i,-0.0012647-4.4544e-05i,-0.0014582-0.00012857i,-0.0012096-0.0003198i,0.00042684-8.349e-06i,0.00084134-0.00016787i,-6.8004e-05-0.0010506i,0.00018716-0.0014231i,0.00080851-0.001509i,0.00049837-0.0015387i,-7.3498e-05-0.0012292i,-0.00012952-0.0013393i,-0.00036214-0.00083341i,-0.00067875+7.2854e-05i,-0.00042596-0.00015129i,-0.0004936-0.0005582i,0.00012775-0.00015092i,0.00060535+0.00035801i,-0.00017064+0.00040874i,-0.00027559+4.1681e-05i,-0.00020473-0.00049912i
0.0016831+0.00072162i,0.0014644+0.001219i,0.0010128+0.0010963i,0.0010348-0.00018637i,0.00090552-0.0015256i,0.00013949-0.0006084i,-0.00060722+0.00069021i,-0.00024483+0.00024718i,0.00039646-0.00012572i,0.00011474-0.00021328i,-0.00040068-0.00028521i,0.00029455-0.00092352i,0.00054207-0.00094392i,1.495e-05-0.0010908i,-0.00065505-0.00078914i,-0.0011683-0.00046746i,-0.00057032-0.00016327i,0.00031591+0.00047767i,0.00071351-0.00023749i,0.00086734-0.00077088i,0.00071407-0.00037378i,0.00018177-0.00013894i,-0.00072754-0.00095169i
0.0018987+0.0013582i,0.0014633+0.0019591i,0.00082493+0.0024311i,0.00098747+0.001096i,0.0013619+0.00068608i,0.00047287+0.00045465i,-0.00026986+0.00044523i,0.00014253+0.00056829i,0.00037462+0.00015279i,-0.0001845-0.00046243i,-0.00033473-0.00095649i,-0.00022533-0.00045059i,0.00052605-0.00026981i,0.00019243-0.0006946i,-0.00067761-0.00092426i,-0.00064996-0.0009277i,-9.0466e-05-0.00026621i,0.00061905+0.00027606i,-0.00013219+7.3683e-05i,-0.00059244-0.00049912i,0.00040702-0.00042778i,0.00057181-0.00016613i,-0.00036219-0.00017968i
