-0.0018012+0.00040463i,-0.0018073+1.9882e-05i,-0.0014944+0.00080352i,-0.0011768+0.00030653i,-0.0018623-0.00058502i,-0.0027366-0.0007069i,-0.0021602+2.2899e-05i,-0.00018091+0.00072764i,0.0011565+0.0012805i,0.0013452+0.001311i,0.00073232+0.00073642i,0.00020171+9.5143e-05i,0.00060454-8.2313e-05i,0.0010966+0.00030012i,0.00010651+0.00073557i,-0.0010126+0.00050691i,-0.00091821-0.00038705i,-0.00020578-0.0007027i,1.1476e-05-0.00066038i,-0.00040945-0.00048512i,0.00030697+0.0003465i,0.00044937+9.0343e-05i,2.9587e-05-0.00084677i
-0.0013334-0.00054581i,-6.3031e-06-0.001247i,0.00064156-0.00036038i,-0.00053709-0.00095006i,-0.0012014-0.0023837i,-0.00069829-0.0020299i,-0.00035642-0.0012228i,-0.00010164+0.00016994i,0.00017765+0.00097838i,0.00021347+0.001064i,-0.00060669+0.00066138i,-0.0014523+9.4779e-06i,-0.0011354+0.00037061i,9.8314e-06+0.0013434i,0.00024134+0.0013919i,-0.0007281+0.00060261i,-0.0013113-0.00051365i,-0.0012606-0.0013813i,-0.0011179-0.0011237i,-0.001034-0.00084086i,-0.00060943-0.00059447i,-0.00012365+0.00016293i,-0.00057399+0.0006996i
-0.0012636-0.0024941i,-0.00044492-0.0018176i,-0.00036316-0.0010229i,-0.00015112+0.00065789i,0.00022481+0.0012331i,0.00034643-0.0012422i,0.00026236-0.0029689i,-0.00023093-0.0021052i,-0.0012639-0.00088918i,-0.0015467-0.00012295i,-0.00075387+0.00057267i,-0.00025161+0.0010017i,0.00025308+0.00086008i,0.0012145+0.00055141i,0.00052739+0.001289i,-0.00027997+0.00091731i,7.2459e-05-0.00018839i,0.00086074-0.00083029i,0.0017511-0.0008764i,0.0015629-0.00053329i,0.00053282-0.0010639i,0.00024453-0.0015985i,0.00048006-0.0014353i
-0.0012724-0.00076082i,-0.0016887-0.00039068i,-0.0030109+0.00012666i,-0.0023963-0.00051103i,-0.00033599-0.0010508i,-0.00030394-0.0027581i,-0.00026308-0.0038968i,0.00051718-0.0028443i,7.0539e-05-0.0019765i,-0.00038595-0.0014894i,0.00043708-0.00024041i,0.0015098+0.0006753i,0.0018613+0.00038419i,0.0016153+8.1184e-05i,0.0011399+0.00044134i,0.0018629+0.00081502i,0.0022152+0.0012624i,0.0018284+0.0019233i,0.0015488+0.0022363i,0.0011969+0.0012434i,0.0012298+0.00032062i,0.0012168+0.00030999i,0.0010075+0.0010996i
0.0016605-0.0030036i,0.0013589-0.003609i,-0.00014195-0.0038973i,-0.0016808-0.0031711i,-0.0018043-0.0023774i,-0.001437-0.0029283i,-0.00084369-0.0037166i,-0.00079146-0.0028393i,-0.0010031-0.0015089i,-0.00037432-0.00088055i,-0.00013781-0.00029921i,0.00030192-0.00057823i,0.00056234-0.00097527i,0.00086404-0.00035258i,0.00049088+0.00055002i,-0.00010212+0.0008305i,-0.00023494+0.0013906i,2.1465e-05+0.0025778i,0.0002798+0.0023151i,0.00037093+0.0012079i,0.00012705+0.00091658i,2.9181e-06+0.0010713i,0.00027553+0.001093i
-0.0021929-0.0020453i,-0.002756-0.00098827i,-0.0047271-0.00016285i,-0.0053371+0.00010469i,-0.0038023-0.00014366i,-0.0020851-0.0016212i,-0.0020521-0.0030633i,-0.0028188-0.0020797i,-0.0026699-0.00094982i,-0.0020101-0.0010685i,-0.0012297-0.0012101i,0.0002231-0.0014056i,0.00088527-0.0017048i,0.00018993-0.00094707i,-0.00040647+0.00026173i,-0.0012482+0.00026913i,-0.0018369-0.00068303i,-0.002146-0.00039729i,-0.0014477+6.6635e-05i,-0.00065682-0.00044444i,-0.00012264-0.00016289i,-0.00013056+0.00055603i,-0.00080699+0.00058862i
-0.00055393-0.0016565i,-0.00065124-0.0025955i,0.0015064-0.0039348i,0.0028005-0.0042059i,0.0019-0.003443i,6.8133e-05-0.0035895i,-0.0014562-0.0024375i,-0.0018624-0.00036178i,-0.0010385+0.00044572i,-0.00075838-0.00060081i,-0.0010211-0.0008162i,-0.00096357+3.938e-05i,-0.0011097+0.00028145i,-0.00065395+0.00050596i,-0.00071474+0.00034178i,-0.00088939-0.0002623i,-0.00068942-0.000748i,0.00031868-0.0013311i,0.0012455-0.00074634i,0.00087193-0.0001786i,-0.00016016-0.00052262i,-0.00048728-0.00079155i,-5.3565e-05-0.00049743i
0.0010518+0.0012671i,-1.335e-05+0.0023139i,-0.00031355+0.0022798i,-0.00030533+0.00058703i,-0.00015879-0.0015257i,-0.00022242-0.0029618i,-0.00085087-0.0033689i,-0.00094166-0.0020117i,-0.00069173+0.00042103i,-0.00068244+0.0010588i,-0.00040487+0.0010781i,0.00017728+0.0014264i,0.00034523+0.0014008i,-0.00034239+0.00081359i,-0.00036626+0.00055707i,0.00040181+0.00047594i,0.00068857+0.00048994i,0.00031665+0.00035931i,-0.00032408-0.00014291i,-0.00068948-0.00029406i,-0.00081169+4.5485e-06i,-0.0003639-0.00026501i,0.00018705+4.636e-05i
-0.00060057-8.8877e-05i,-0.0014405-0.0028542i,-0.0027822-0.004377i,-0.0021298-0.0037691i,-0.00079526-0.0024068i,-0.00029918-0.0026074i,0.00048528-0.0033978i,0.0017806-0.0028878i,0.0021629-0.00024873i,0.0012492+0.0018726i,0.00065771+0.0013753i,0.0010125+0.00041921i,0.0013218-0.00012788i,0.0014421-0.00032028i,0.0014987-0.00053637i,0.0010312+0.00029952i,0.0002338+0.0013509i,-0.00012716+0.0018233i,-0.00022033+0.0017048i,-0.00017831+0.0012714i,-0.00055825+0.00062517i,-0.00087562+0.0002384i,0.00024659-1.3887e-05i
7.783e-05-2.3852e-05i,0.0015304+0.0005082i,0.0021082+0.00033819i,0.0021682-0.00042427i,0.0012016-0.0011247i,0.00029347-0.0027825i,0.00041322-0.0043959i,0.0013323-0.0042482i,0.0020273-0.0024774i,0.0022909-0.00055317i,0.0027544-8.442e-05i,0.0025934-0.00074908i,0.00085776-0.0011554i,-0.00066989-0.00051643i,-0.00023412+0.00052501i,0.00057787+0.00097845i,0.00037436+0.00077792i,-0.00044952+0.00024382i,-0.00065231-0.00022889i,-0.00095836+0.00026453i,-0.00079695+0.00082991i,-0.00019558+0.00053739i,-6.1645e-05+0.00040748i
-0.0010894-0.0012163i,-0.0024578-0.00076962i,-0.0034449-0.00076629i,-0.0024759-0.0017248i,-0.0011467-0.0028985i,-0.00091671-0.0038228i,-0.00066738-0.0038228i,-0.00058919-0.0027027i,0.00011351-0.0024522i,0.00053947-0.0030872i,0.00030604-0.0031503i,-0.00088428-0.0030313i,-0.0015762-0.0023948i,-0.0014726-0.0010385i,-0.00085687-0.00013319i,0.00014485+0.00027586i,-4.3609e-05-2.2642e-06i,-0.00020057-0.00077391i,9.4427e-05-0.00067779i,0.00054214+0.00019152i,0.00054105+0.0004551i,-0.00010807+0.00052067i,-0.00056794+0.00057257i
0.0016038+0.00045819i,0.0019188-0.00073193i,0.002479-0.002438i,0.0026299-0.0036956i,0.001581-0.0043596i,-7.2731e-05-0.0047673i,-0.00061145-0.0045962i,-0.0011961-0.0031446i,-0.0023458-0.0016394i,-0.0026106-0.00096025i,-0.0024626-0.00067928i,-0.0018278-5.7947e-05i,-0.00051618+0.00048179i,0.00078326+0.00089577i,0.00057934+0.00026947i,0.00012723-0.00040494i,0.00090099-0.00041026i,0.0014875-2.7733e-06i,0.0010864+0.00038203i,-1.9984e-05-0.00014945i,-0.0004159-0.00037381i,-0.00034174+0.00077161i,6.4954e-05+0.0012085i
-0.00010483-2.2566e-05i,-0.0010994+0.00020978i,-0.001665+0.0012044i,-0.001213+0.0011027i,0.00016483-0.00034826i,0.00034917-0.0016226i,-0.00083488-0.0022059i,-0.0023517-0.0011794i,-0.0025548+0.0013139i,-0.0027183+0.0027994i,-0.0027284+0.0021933i,-0.00082707+0.0018367i,0.001105+0.0013595i,0.0012433+0.00048012i,0.00071574+0.00019748i,0.00091637-4.6967e-06i,0.00069458-0.00016438i,-0.00039596+0.00031512i,-0.0014007+0.0011024i,-0.0016416+0.0008678i,-0.001094+0.00040562i,-0.00078649+0.00017044i,-0.00052549+0.00026669i
0.0011926-0.0010153i,0.0013787-0.0025795i,0.0013123-0.0033718i,0.00045565-0.003593i,-0.0003727-0.0025924i,-0.0002788-0.0021595i,-0.00052217-0.0017894i,-2.6112e-05+0.00056153i,0.0012931+0.0027652i,0.001469+0.0032366i,0.0012101+0.0025134i,0.0011565+0.0013084i,0.0009643+0.00097371i,0.00085955+0.0011942i,-2.1298e-05+0.0014285i,-0.00097931+0.0012904i,-0.0012829+0.00075193i,-0.0014607+0.00027872i,-0.0014352+0.00065484i,-0.00075048+0.0007587i,-0.00054227+0.0004508i,-0.00068734+0.00061391i,-0.00014876+0.00017443i
-0.001932+0.0011279i,-0.0019272+0.0012477i,-0.00087979+0.00076802i,0.0017376-0.0012209i,0.0021266-0.0029206i,0.0013928-0.0031183i,0.0012909-0.0027919i,0.0018996-0.0026521i,0.0026373-0.0015925i,0.0037757-0.00060699i,0.0039464-0.00033853i,0.0025721-0.00064405i,0.0015278-0.0011797i,0.00015282-5.5901e-05i,-0.00058009+0.0016823i,-0.00039+0.0017837i,-0.00070471+0.0010346i,-0.00059729+0.00028107i,0.00028219-0.00028351i,0.0010565-0.00019384i,0.00022278-0.00024542i,-0.00042536-0.00045771i,-1.5927e-05-0.00020076i
-0.00045172+0.00075745i,-0.00032504-0.0014093i,-0.00062191-0.0026189i,-0.00092269-0.0025726i,-0.00038048-0.0026679i,-0.00023201-0.0035584i,-0.00028934-0.0036125i,0.00076388-0.0034275i,0.0011967-0.0039636i,0.00073959-0.0042179i,0.00051916-0.0037268i,0.00054178-0.0031223i,0.00018888-0.0019016i,0.00019021-0.0011309i,0.00028163-0.00071862i,0.00024158-0.00070566i,0.00024659-0.00063088i,8.9086e-05-0.00022883i,0.00015289+0.00035539i,7.8524e-05+0.00077285i,-0.00038912+0.00052563i,-0.00072977+0.00011057i,-0.00053049+0.0004344i
-0.0018908+0.0030891i,-0.00059549+0.0020061i,0.00077821+0.0015293i,0.0020792-8.8505e-05i,0.00198-0.0015703i,0.00085077-0.0031043i,-0.0011885-0.0043958i,-0.0027796-0.0044267i,-0.002782-0.0031648i,-0.0027366-0.00248i,-0.0023101-0.0026702i,-0.0007942-0.0016191i,-8.6137e-05+0.00020192i,-0.00013196+0.0002512i,0.0005376-0.0008452i,0.0017772-0.00046312i,0.0022102+0.00047195i,0.0013483+0.00054858i,0.00050009+0.00059015i,9.5597e-06+0.00018248i,-7.7402e-05-0.00020235i,0.00029625-8.6449e-05i,5.8982e-05+0.00024956i
-0.001516-0.0016961i,-0.00069955-0.0014019i,-0.00081573-0.00017146i,-0.00018808+0.00075069i,0.0009646-0.00014852i,0.00074498-0.0027646i,-0.00079024-0.0034222i,-0.0028624-0.0013542i,-0.0044778+0.0015146i,-0.0052404+0.0030055i,-0.0043366+0.002725i,-0.001949+0.0015242i,-0.00018105+0.00045762i,0.00054643+0.00048813i,0.0010053+0.00039451i,0.00075423-2.9187e-05i,-0.00084645+0.00019836i,-0.0017311+0.00024753i,-0.0007725+0.00020633i,-0.0011648+0.0004062i,-0.0018206+0.00043927i,-0.00087771+0.00058874i,0.00060542+0.00061006i
-0.000656-0.00096371i,-9.1805e-06+0.0015432i,-0.00016256+0.001268i,0.00011141-0.00040318i,-0.0001927-0.0021853i,-0.0011442-0.0022737i,-0.0020124-0.0014852i,-0.00093324+0.00038487i,0.0012868+0.0033936i,0.002016+0.0046589i,0.0017686+0.004148i,0.0022227+0.0030715i,0.0018211+0.00167i,6.591e-05+0.0012432i,-0.0010498+0.0015135i,-0.00091345+0.0012366i,-0.0001593+0.0011147i,-0.00017351+4.1185e-05i,-0.00054402-0.0014746i,-0.00029395-0.00078033i,-0.00022074+0.00034893i,-0.00086906+0.00046267i,-0.00070599+0.0012844i
-0.00066529-9.9164e-05i,-0.00085761-0.0024049i,-0.0008306-0.0031555i,-0.0010097-0.0031932i,-0.00082319-0.0048533i,-0.00065124-0.0060152i,-0.00068945-0.0044547i,0.00021513-0.0018468i,0.001794+0.00061888i,0.0032737+0.00048767i,0.0034276-0.0004905i,0.001938-0.00051356i,0.00086658-0.00033247i,0.00072118-1.9059e-05i,0.00080718+0.00046148i,0.00025272+0.00026118i,-3.0322e-05-0.00018282i,0.00072989-0.00049954i,0.00065896-0.0012813i,9.3983e-05-0.00072422i,-0.0005725+0.00027587i,-0.00051806+0.00022871i,-0.00015876-0.00031884i
0.00013394+0.00092998i,-0.00060398+0.001225i,0.00045649+0.0009206i,0.00060779-0.00062584i,-0.00016333-0.0029499i,-0.00077931-0.0033847i,0.00057528-0.0034458i,0.0023968-0.002722i,0.0027572-0.0027707i,0.0026662-0.0044204i,0.0014657-0.0047721i,-0.00023608-0.0037245i,-0.00076986-0.0019371i,0.00058727-0.00081212i,0.0015193-0.00070231i,0.0012555-0.00085433i,0.0011194+7.9437e-05i,0.00088251+0.0010925i,0.00055458+0.00097565i,0.00026229+0.00033547i,-0.00053517-0.00013661i,-0.00072163-4.4552e-05i,-0.00015826-7.0335e-05i
0.00080178-0.0036843i,-0.0012362-0.002863i,-0.003139-0.0021611i,-0.0029169-0.00074413i,-0.0015658-0.00021818i,-0.00091053-0.0018257i,-0.0012593-0.0034331i,-0.0015901-0.0028542i,-0.002429-0.0017148i,-0.004078-0.0020841i,-0.0040366-0.0019962i,-0.0023832-0.0010438i,-0.00094461-0.00068326i,-0.00015058-0.00020995i,0.00027172+0.00017788i,0.00012992+6.8062e-05i,-0.00020894+0.00013853i,-0.00017949+0.0005073i,-0.0006468+0.00074063i,-0.0011288+0.00068393i,-0.0014937+0.00079354i,-0.0012882+0.00070297i,-0.00046592+0.00049842i
-1.1793e-05+0.0013229i,0.00044081+0.00093981i,0.00084645-0.0010722i,0.0010181-0.0034344i,0.00089618-0.0037884i,0.00137-0.0032278i,0.00088477-0.0034715i,-0.0010967-0.0029078i,-0.0027812+8.8872e-06i,-0.0032931+0.0027807i,-0.0027934+0.0022423i,-0.0011107+0.00057517i,0.00054813+0.0002072i,0.00097387-1.1681e-05i,0.00030271+5.1615e-05i,-0.00017259+0.0010178i,4.2586e-05+0.0013269i,-0.0003166+0.00086992i,-0.0008684+0.00040323i,-0.00099422-0.00010222i,-0.00099499-5.5961e-05i,-0.00014989+0.0003655i,0.00024452+0.00080173i
0.0015736+0.0013989i,0.00068469+0.00064275i,0.0018211+0.00047674i,0.0030683-0.0015439i,0.0021948-0.0044872i,-8.3237e-05-0.0051433i,-0.0017255-0.0033562i,-0.0022689-0.00053942i,-0.00033803+0.0025991i,0.0019012+0.004057i,0.0023672+0.0030661i,0.0016733+0.0016321i,0.0012004+0.0004711i,0.0011043-0.0001533i,-5.0799e-05+0.00030265i,-0.0013496+0.00073259i,-0.0012728+0.00051096i,0.00014089-0.00011777i,0.0010709-9.8985e-06i,0.00032851-1.3198e-05i,-0.00053036-0.00016626i,-0.00070966-0.00078207i,-0.00019906-0.00093192i
-0.0015468+0.0011529i,-0.00061209+0.001079i,0.00066107+0.00094211i,0.00066867-0.00083595i,-0.00023024-0.0030102i,-0.0017935-0.0038394i,-0.0029961-0.0029497i,-0.0025606-0.0015111i,-0.00059501-0.00053049i,0.0014421-0.0005399i,0.0023213-0.00089307i,0.0024816-0.0007748i,0.0018029-0.00032869i,0.0011989+8.9602e-05i,0.00058855+9.0805e-05i,-0.00017025-0.00032557i,-0.00044722-0.00073782i,-0.00074979+0.00011682i,-0.00087504+0.00044175i,-0.00064295+0.00027857i,-0.00042641+0.00058102i,-0.00018603+5.1946e-05i,6.4917e-05-0.00063702i
-0.0027717-0.0004287i,-0.0024521-0.0022761i,-0.0015119-0.0012375i,-0.00089817+2.5826e-05i,-0.00063335-0.00068997i,-0.00047117-0.0021181i,-0.00075083-0.0024242i,-0.00020607-0.0016051i,6.399e-06-0.0014088i,-0.00011448-0.0027037i,0.00085894-0.0037008i,0.0013808-0.0028681i,0.0015706-0.0012488i,0.0013718-0.00091992i,0.00077699-0.0016972i,-0.00012017-0.0018802i,-0.00070602-0.0009533i,-0.0012435+0.00032282i,-0.0017783+0.001177i,-0.0012761+0.00055515i,0.00055806-0.00041776i,0.0010514+0.00014996i,9.8231e-05+0.00027648i
0.00092273-0.00077403i,0.00044607-0.00064432i,-0.0010891-0.0018927i,-0.0017549-0.0019368i,-0.0021576-0.0016977i,-0.0010635-0.0027675i,-0.00050029-0.0034938i,-0.0017044-0.002097i,-0.0025147-0.00022186i,-0.0040771+0.00020795i,-0.0044763+0.00021124i,-0.0020151-2.0924e-05i,-0.00011288-0.00030325i,-0.00021067-0.00026772i,-0.0010403-0.00031057i,-0.00032998-0.00073766i,0.00083984-0.0010527i,0.00067023-0.00028909i,0.00039469+0.00028342i,0.00083867-0.0001632i,0.00062721-0.00037043i,-3.1837e-05+0.00018959i,-0.00031735+0.00025702i
-0.0003924-0.0015792i,-0.001221-0.0026179i,-0.0015354-0.0026269i,-0.00027034-0.0034075i,0.0013404-0.0030501i,0.0024379-0.0032415i,0.0023857-0.0038417i,0.0017619-0.0027563i,0.0010218-0.00069142i,0.00012776+0.00065329i,-0.0012314+0.0011527i,-0.0013829+0.00090721i,-0.00032254-0.00061728i,9.533e-05-0.00064408i,-0.0004554+0.0010969i,-0.00030453+0.0021603i,0.00055745+0.0021745i,0.0010787+0.0010206i,0.001265-0.00067504i,0.0012875-0.0016378i,0.00061311-0.00098865i,0.00034117+0.00012974i,0.00065509+0.00034936i
0.0039192+0.0016247i,0.004433+0.00010573i,0.0047268-0.0024526i,0.0031344-0.0043904i,0.0014529-0.0058999i,-0.00017228-0.0062933i,-0.00069272-0.0048073i,0.00046615-0.0028195i,0.0025086-0.0020429i,0.0042659-0.0015882i,0.0032852-0.00036923i,0.0010746+0.0011319i,-0.00026391+0.0018409i,-0.0011487+0.00098036i,-0.0011412-0.00024731i,-0.00048326+8.924e-05i,-0.00074144+0.0010978i,-0.00036064+0.0014671i,0.00031396+0.00074154i,0.00022513-0.00040358i,0.00051169-0.00085526i,0.00093426-0.0003834i,0.00035461+0.00012019i
0.0016979-0.0018038i,-0.0015004-0.0014482i,-0.0028908-0.0011799i,-0.0018346-0.0019472i,-0.0010082-0.0031018i,-0.0011151-0.0038297i,-0.0013401-0.0027085i,-0.0017456-0.0022293i,-0.0015154-0.0032343i,8.2155e-05-0.0042156i,0.00057039-0.0035881i,0.00048049-0.0013824i,0.0006224-0.00036553i,0.00075017-0.0008264i,0.0009396-0.0012979i,-0.0001165-0.00076803i,-0.0016411-6.8142e-05i,-0.0021467-0.0002743i,-0.0016494+0.00013875i,-0.00075243+0.00066814i,-0.00015313+0.00087267i,-0.00049434+0.00057232i,-0.00095053-0.00017371i
-0.0012696+0.0027138i,0.0011626+0.00095643i,0.0018296+0.00088685i,0.00047994+0.0011781i,0.00011739+0.00082099i,0.00040221-0.00038613i,-0.0012853-0.0010706i,-0.0035455-0.00029985i,-0.0046406+0.00053116i,-0.004234+0.00058463i,-0.0023624+0.00038257i,-6.4288e-05+0.00016382i,0.00062194-0.00065708i,0.00075489-0.0007177i,0.0018331-0.00017882i,0.0021537-0.0014902i,0.0012204-0.0027532i,-0.00016773-0.0021042i,-0.0010846-0.00099854i,-0.0013138-0.00025307i,-0.00088182-0.00029946i,-0.00029419-0.0010922i,-0.00031086-0.00097508i
-0.0013165-0.00080777i,-0.0018926+7.9585e-05i,-0.0014168+8.4125e-05i,-0.0002761-0.001901i,0.00089124-0.0036239i,0.0013935-0.003708i,0.00044141-0.0021582i,-0.00031265+0.00083739i,-0.00068025+0.0042698i,-0.0022854+0.0050613i,-0.0026247+0.0028931i,-0.0010272+7.3495e-06i,-0.00016624-0.0018302i,-3.7082e-05-0.0015804i,0.00024238-0.00070416i,0.00052573-0.00020159i,0.0012091-0.00018191i,0.002187-0.0012341i,0.0023206-0.0010627i,0.001517-0.00056599i,0.00035625-0.00075605i,-0.00096405-0.00091708i,-0.00052104-0.00049135i
0.0010675-0.00060045i,0.0019806-0.0014339i,0.0020764-0.0018832i,0.00056573-0.001109i,-0.0010112-0.0013631i,-0.0010742-0.0029888i,-6.9081e-05-0.0037653i,0.0027309-0.0016182i,0.0057904+0.00052282i,0.0063804+0.0015086i,0.0045885+0.0017961i,0.0024526+0.0018687i,-5.7525e-05+0.0013462i,-0.0015123+0.0012853i,-0.0015289+0.0015878i,-0.0012799+0.0014563i,-0.00056405+0.0023453i,0.00016884+0.0024258i,0.00046162+0.0015566i,0.00061593+0.0008489i,3.0273e-06+0.00062822i,-0.00051628-0.00018326i,-2.3722e-06-0.00063854i
-0.0029036-0.0014387i,-0.0037827-7.4905e-05i,-0.0029513+0.00059044i,-0.001105-0.00020163i,0.00027058-0.0023439i,0.00091987-0.00475i,0.0014914-0.0059868i,0.002431-0.0061594i,0.0035898-0.0060794i,0.0034251-0.0053477i,0.0014291-0.0033209i,0.00023326-0.0014829i,0.00071384-0.00092561i,0.0015226-0.00071129i,0.00088598+4.7398e-05i,-0.0011317+0.0014788i,-0.0020863+0.0016694i,-0.0014863+0.0012566i,-0.001237+0.0010486i,-0.0011481+0.00065321i,3.6911e-05+0.00087686i,0.00028312+0.0011211i,-5.7462e-07+0.00052694i
0.0014352-0.0065706i,0.00083407-0.006018i,-0.0017358-0.0043125i,-0.0046608-0.00049301i,-0.0044128+0.00096818i,-0.0022616-0.001135i,-0.0012953-0.0031986i,-0.0019455-0.0047097i,-0.0033723-0.0063982i,-0.0043591-0.0055495i,-0.0033618-0.0022527i,-0.00038635+0.000643i,0.0015352+0.0021096i,0.001588+0.0018503i,0.00083852+0.00082632i,0.00050147-7.642e-05i,0.0001104-0.0011178i,-0.00063094-0.0016727i,-0.0010645-0.0016522i,-0.00042459-0.001316i,-0.00026879-0.00011266i,-0.00023388+0.00072909i,0.0004599+0.0013874i
0.0017755+0.00038953i,-0.00018045+0.0010079i,-0.00072265-0.0012199i,-0.0010201-0.0035234i,-0.0012538-0.0043104i,-0.0004827-0.0042257i,-0.00022754-0.00345i,-0.002409-0.0013462i,-0.0056606+0.00065474i,-0.006969+0.002135i,-0.0058389+0.0025839i,-0.0030415+0.0016036i,-0.0010514+0.00072316i,-0.00032956+0.00075495i,0.00067524+0.00016236i,0.0019165-0.00080684i,0.0021415-0.0016882i,0.001189-0.0016531i,0.00032094-0.00092699i,0.00085633-0.0014904i,0.0013821-0.0011188i,0.00049662+0.00043819i,-0.00017615+0.0012123i
0.0011038+0.00017409i,0.0015398-0.0026234i,0.0025052-0.0054864i,0.0028511-0.0059299i,0.0025657-0.0051296i,0.0012017-0.0038963i,-0.00037966-0.0020841i,-0.0017353+0.0014565i,-0.0014813+0.0062105i,0.00014917+0.0073381i,0.0023849+0.0036531i,0.0035183-0.00033843i,0.0031908-0.0013389i,0.0024321-0.00058562i,0.0012076-4.4093e-05i,0.00027917-0.00019909i,0.00064804-0.00025537i,0.0014785+0.00019048i,0.00089963+0.00035311i,0.00019258+0.00018572i,8.8306e-05+0.0008155i,-0.00030266-6.9172e-05i,-0.00098793-0.0011124i
-0.00082333+0.001775i,-0.00057174+0.0022739i,0.0011807+0.0024597i,0.0026759+0.00097434i,0.0017424-0.002141i,0.00046257-0.0047789i,7.8547e-05-0.0047835i,0.0016693-0.0019124i,0.0049709+0.0012495i,0.006512+0.0021478i,0.0043315+0.00061882i,0.0011226-0.00075566i,-0.0012513-0.00091994i,-0.0018988-0.00073793i,-0.0014355-0.00043156i,-0.0018771+0.00018035i,-0.0024637+0.0015016i,-0.0016385+0.0032149i,-0.0011598+0.0033797i,-0.0015642+0.0015929i,-0.0011412+0.00014424i,-7.7808e-05-2.3521e-05i,-0.00039977-0.0005529i
-0.0031474-0.0021779i,-0.0018754-0.0032342i,-0.0032354-0.0023286i,-0.0036913-0.00093084i,-0.00078149-0.00071888i,0.00019753-0.0026917i,3.0672e-05-0.0041053i,0.0017628-0.0041352i,0.0043323-0.0050294i,0.0048818-0.006261i,0.003381-0.0048044i,0.001574-0.0027886i,0.0012223-0.0016715i,0.0011813-0.00076928i,7.9075e-05-0.00023652i,-0.00083621-5.9196e-05i,-0.0012555+0.00020194i,-0.0010558+0.00031308i,-0.00075042-0.00021724i,-0.0005232-6.0746e-05i,-0.0006367+7.4022e-05i,-0.00076395+7.567e-05i,-0.00038205-0.0001673i
0.0013335+0.0013692i,0.0016085+0.0017927i,0.002807+0.00011881i,0.0023454-0.0028554i,0.0010194-0.0036329i,-0.00037362-0.0027917i,-0.0013197-0.0025128i,-0.0013756-0.00326i,-0.0026587-0.0051023i,-0.003889-0.0052711i,-0.003262-0.0012597i,-0.0013215+0.0024522i,0.0001582+0.0028104i,0.00039159+0.0025912i,0.0010519+0.0019579i,0.0019524+0.00093613i,0.0018196-0.001064i,0.00084249-0.002399i,-0.00010669-0.0016665i,-0.0004181-0.0010826i,6.347e-05-0.0010265i,-0.00059507-0.00068896i,-0.00079233-0.00033281i
0.0008198-0.0019681i,0.00044699-0.0022764i,0.00040482-0.0016508i,0.00076742-0.001377i,0.00095519-0.0028589i,0.0011236-0.0037765i,0.00060338-0.0028029i,-0.0021811-0.001321i,-0.0055017+0.00038099i,-0.0062001+0.0021956i,-0.0034952+0.0029223i,-0.00040535+0.0022921i,-4.7042e-05+0.00035426i,0.00033338-0.0006466i,0.0014268+7.2405e-05i,0.001802+0.00040174i,0.0016295-0.00061609i,0.0013346-0.0016647i,0.0014262-0.0016113i,0.001379-0.0010943i,0.0012343-0.00075857i,0.00091469-0.00012954i,0.00053823+0.00028672i
-0.0013615+0.0024167i,-0.0018202+0.0021047i,-9.5768e-05+0.0001014i,0.0011698-0.002752i,0.00059028-0.0043539i,-0.00013811-0.005742i,-0.00063284-0.006046i,-0.0012171-0.0022146i,-0.00040481+0.0027939i,0.0019155+0.0047782i,0.0029794+0.0031869i,0.0025166+0.00064029i,0.0018135-0.0011667i,0.0012009-0.0013417i,0.00030525-0.0015605i,-0.00069268-0.0011769i,-0.0013939+0.00077102i,-0.0010196+0.0012884i,1.3315e-05+0.00065722i,0.00050291+0.00064669i,0.00044481+0.0016855i,-0.00021883+0.0019884i,-0.0005819+0.0002145i
0.0010269-0.0022503i,0.00071609-0.0033346i,0.00018877-0.0042214i,-0.0013449-0.0035301i,-0.0019945-0.0035344i,-0.0019783-0.0052574i,-0.0019969-0.0053775i,-0.0002838-0.0022147i,0.0028527+0.0010785i,0.0047629+0.00024254i,0.0031381-0.0030642i,-0.00059623-0.0039357i,-0.0021666-0.0027765i,-0.0014297-0.0014766i,-0.0013719-0.00079896i,-0.0021887-0.00073141i,-0.0028151+0.00090888i,-0.0030282+0.0023464i,-0.0023313+0.0021477i,-0.00095271+0.0015345i,5.0435e-05+0.0012459i,0.00012827+0.0002977i,0.00057677-0.00090374i
0.0007699+0.0017219i,0.0002785+0.0035578i,0.00053569+0.0027415i,0.0010305-0.0002004i,0.0020744-0.0025331i,0.0027566-0.0030048i,0.0025284-0.003138i,0.0021186-0.0032974i,0.0021952-0.0037526i,0.0023271-0.0052041i,0.00077895-0.0043771i,-9.9909e-05-0.00098422i,0.00093026+0.00030894i,0.00070044+0.0002059i,0.00045263+0.0010901i,0.0011062+0.0011366i,0.00069148+0.00065968i,-0.0005746-0.00013529i,-0.00043227-0.00080057i,-0.00081373-0.0013761i,-0.0012457-0.0013894i,-0.00011523-0.00057546i,0.00057971+1.4513e-05i
