-0.002901-0.00015594i,-0.0030369+0.00012288i,-0.002876+0.00044233i,-0.0018512+0.00054845i,0.00088939+0.0010009i,0.0021669+0.0012763i,0.0016148+0.0012216i,0.0011685+0.0013001i,0.0010466+0.0012502i,0.00053688+0.0011002i,8.1633e-05+0.00061395i,-0.00021374-0.00024137i,0.0002281-0.00040128i,0.0012155-7.2249e-05i,0.0012401-0.00086576i,0.00091981-0.00092061i,0.00027179-0.0003003i,-8.2949e-05-0.00045522i,0.0005342-0.00045933i,0.00034866-0.00028373i,-6.4852e-05-0.00011535i,0.00040749-5.069e-05i,0.00099717+0.00056901i
-0.00079925+1.7456e-05i,-0.00081513-0.00073794i,-0.00026057-0.0008397i,-0.0015756-4.043e-05i,-0.0022886+0.00081229i,-0.0016187+0.0012032i,-0.001215+0.0015455i,-0.00093947+0.0017876i,-0.0010699+0.0015081i,-0.0008174+0.0011111i,-0.00052254+0.00072942i,-0.00093435+0.00046905i,-0.00064048+0.00070677i,-0.00011708+0.0011956i,-0.0006567+0.001148i,-0.0011188+0.0012735i,-0.00077616+0.001065i,0.00011077-7.3506e-05i,1.3572e-05-0.0009638i,-0.00056714-0.00070054i,-0.00049966+0.00023566i,-0.0010364+1.6032e-06i,-0.00026757-0.00022129i
-0.00025775+0.0020454i,-0.00015865+0.0027603i,-0.00098905+0.0033655i,-0.00086905+0.0033335i,-0.00021892+0.0032018i,0.00081138+0.0029318i,0.0019658+0.0022906i,0.0016991+0.0017219i,0.0012385+0.0016612i,0.001769+0.0012316i,0.001761+5.088e-05i,0.00098392+6.6461e-05i,0.00038335+0.00048094i,0.00069345+0.00034423i,0.00073267+0.00044824i,0.00012893+0.00092056i,-0.00017054+0.0013692i,7.5284e-05+0.00074577i,0.00027471-0.00036865i,-0.00055056-0.0012058i,-0.00045295-0.00065081i,-0.00016833+0.00048081i,-0.0011582+0.00031034i
-0.00069894+8.6842e-05i,-0.00074462-0.00045997i,0.00081932-0.00060536i,0.0027767+0.00060069i,0.0033704+0.0013055i,0.0029183+0.00047086i,0.0015649-0.00078161i,0.0015546-0.0011721i,0.002554-0.0013126i,0.0028905-0.002668i,0.0027789-0.0030452i,0.0015328-0.0021105i,0.00010306-0.0014851i,-0.00020887-0.00093475i,-0.00014435-0.001018i,-9.6015e-05-0.0015544i,-0.00013549-0.0013479i,-1.8077e-05-7.8823e-05i,0.00039887+0.00043776i,0.000718+0.00054865i,0.00064621+0.00080908i,0.00061293+0.00012384i,0.00079491-0.00030493i
0.0019082+0.00092693i,0.0025114+0.0012553i,0.0022788+0.0016205i,0.0021536+0.00062306i,0.0016235+0.00052836i,0.0002271+0.001501i,0.00052902+0.00096053i,0.0011709-0.00097005i,0.00013414-0.0025665i,-0.0014787-0.0023195i,-0.0018912-0.0020352i,-0.0017267-0.0017197i,-0.0010622-0.00047017i,-0.0008884+0.00033502i,-0.00093389+0.00011823i,-0.00025969-0.0002078i,-7.0084e-05-0.00048048i,-0.00033791-0.000559i,0.00050058-0.0004637i,0.001094-0.00034473i,0.00078397-0.00054152i,0.00058867-0.00034721i,0.00024041+0.00032318i
0.002038-0.0010996i,0.001384-0.0025749i,0.00095416-0.0031637i,-0.0001163-0.0015678i,-0.0010203+0.0010802i,-0.00051111+0.0024184i,0.00038916+0.0011772i,-0.00023437-0.0006187i,-0.0022271-0.0012138i,-0.0036369-0.00051154i,-0.0036565+0.00088801i,-0.0025042+0.00081547i,-0.0020168+0.00029877i,-0.0014247+0.0014184i,-0.00084946+0.0015433i,-0.0011173+0.00028499i,-0.00052069-0.00032321i,9.463e-05-0.0003752i,0.00029534+0.00021142i,0.0010839+0.00035932i,0.00064342+0.00031874i,-0.00012893+0.00016571i,-0.00026307-0.00016271i
-0.00018383+0.00027116i,0.00013471-0.0016702i,0.00042777-0.0032744i,-0.00095483-0.0027061i,-0.001234-0.00031809i,-0.001241+0.00056361i,-0.0010246+0.00052133i,-0.00075958+0.00099753i,-0.0010421+0.0017085i,-0.00095029+0.0020197i,-0.00083595+0.0022505i,-0.00011582+0.0021499i,0.00013706+0.0020121i,-0.00025331+0.0018559i,-0.00014314+0.0014779i,-0.00049753+0.00042791i,-0.00043858+0.00032193i,-0.00018387+0.0006724i,0.00016885+0.0003224i,0.00065417+0.00070844i,0.00022908+0.00048915i,-0.0001282-0.00016016i,-5.9098e-05-0.00056988i
0.0009036-0.00066267i,0.00060444-0.00045131i,-0.00071613+0.00047171i,-0.0010779+0.0011914i,-0.000448+0.0018573i,-9.5057e-05+0.0026364i,-0.00024355+0.0029258i,0.00051292+0.0019631i,0.0016848+0.0016538i,0.0015549+0.0016812i,0.0011142+0.00073122i,0.0010138-1.8847e-05i,0.00054943+0.00028532i,0.00023088+0.00032393i,0.00031524+0.00038361i,0.00088133+0.00097206i,0.0018097+0.00049904i,0.0014577-0.0002375i,0.00071266-0.00023895i,0.00022379+0.00055292i,-0.0001412+0.00044414i,-0.00032997+8.9622e-05i,-0.00053835+0.00034427i
0.0031708-0.00075019i,0.0026856-0.0019805i,0.0019836-0.0022086i,0.00046871-0.0017928i,-0.00035724-0.0013017i,-0.00091847-0.00034202i,-0.0010708+0.00090493i,0.00042748+0.00023169i,0.0021429-0.0016352i,0.001854-0.0021335i,0.00027175-0.0021064i,-4.6758e-05-0.0019965i,2.7607e-05-0.0014965i,-0.00015154-0.00072762i,-0.00062513+0.00030185i,-0.00097981+4.0065e-05i,-0.00074855-0.00061473i,-0.00028984-0.00015952i,0.00086894+4.5432e-06i,0.0010685+0.00016683i,0.00079794-9.8841e-06i,0.00048884-0.00025711i,0.00013901-0.00015035i
0.00067273-0.00035693i,0.0028006-0.00099883i,0.0038915-0.0018352i,0.0015997-0.0018932i,-0.00074451-0.00063465i,-0.00048509+0.0010509i,0.0011617+0.00106i,0.0013674-0.0012052i,0.00023398-0.0037202i,-0.0012393-0.0036151i,-0.0024502-0.002153i,-0.0020169-0.0014169i,-0.00135-0.00020869i,-0.001537+0.00030147i,-0.00081459-0.00016665i,-0.00057536-0.00060009i,-0.00080124-0.00037448i,-0.00028555+0.00033602i,0.00038215+0.00043019i,0.00035449+6.579e-06i,1.2582e-05-0.00063869i,0.00054475-0.0005756i,0.00092303+0.00035788i
-0.00045392-0.0024578i,-0.0022415-0.0028391i,-0.0027935-0.0022707i,-0.0023833+8.2701e-05i,-0.001205+0.0020886i,0.0005626+0.0033763i,0.00070294+0.0033827i,-0.00028373+0.0013008i,-0.0017426-0.00066908i,-0.0031044-0.00083488i,-0.0027594+0.00028311i,-0.0018961+0.00025398i,-0.0012162+1.7682e-05i,-0.00078064+0.00096769i,-0.00085412+0.00085995i,-0.00089929+0.0001201i,-0.00042676+0.00047346i,-0.0006687+0.00052586i,-0.0013231+0.00049666i,-0.00097791+0.00021652i,-0.00083739-0.00027022i,-0.0007952+0.00033848i,-0.0004436+0.00010097i
6.5139e-05+0.00022683i,0.00082856+0.00069127i,0.00061755+0.00062889i,0.00040853-0.00013586i,7.8616e-05-1.9778e-05i,-0.00057481-0.00045403i,-0.0010994-8.2011e-05i,-0.00169+0.00072013i,-0.0013085+0.00069389i,-0.00013295+0.0014963i,-0.00010062+0.0018357i,1.7844e-05+0.0012408i,0.00012379+0.00066867i,0.00039719+0.00021475i,8.7174e-06+0.00029004i,-0.00076379+0.00049096i,0.00016193+0.00017869i,0.00036235-0.00011475i,3.9478e-05+0.00022083i,0.00017534+0.00084033i,-0.00014661+0.0012218i,0.00073107+0.0014617i,0.001109+0.00053243i
0.0034296+0.0007229i,0.0027974-9.3321e-05i,0.0016283-0.0011266i,0.00010587-0.00067746i,-0.0025458+0.00072201i,-0.0028029+0.0024547i,-0.001262+0.003035i,0.0003942+0.0016337i,0.0017756+0.0008588i,0.0020639+0.00075107i,0.0014689+4.152e-05i,0.00077233+9.3495e-05i,-0.00053364+0.00055934i,-0.0016608+0.00057349i,-0.00098352+0.00018603i,-0.00027365-0.00049398i,1.2075e-05-0.00035343i,0.00086716+0.00034968i,0.00065454+0.00020929i,6.2628e-05-5.8424e-05i,0.00018148-0.00019386i,0.00076527-0.00023533i,0.00066078+0.00010667i
-0.0013818+0.002131i,0.00087337+0.0013389i,0.0016253-0.00014283i,0.00058399-0.0010247i,0.00032305-0.00033114i,0.00092658+0.00063392i,0.0010487+0.00042729i,0.0010423-0.00069739i,0.0021376-0.0023447i,0.0027425-0.0035045i,0.0013979-0.0033456i,4.803e-05-0.0022066i,-0.00016971-0.001866i,-0.00029609-0.0014811i,-0.00016403-0.00069701i,-0.00014185+5.792e-05i,-0.00042746+0.00057676i,-0.00028142-4.5246e-05i,0.00042792-0.00093109i,0.0007719-0.00055603i,0.00065064-1.4592e-05i,0.00058889-0.00050873i,0.00030029-0.00078676i
-0.001794+0.00051778i,-0.00072879+0.0014887i,0.00066838+0.0015669i,0.0019313+0.0018283i,0.001484+0.002544i,0.0012646+0.002928i,0.0010693+0.0022197i,-0.0005715+0.00055351i,-0.0019836-0.00091381i,-0.0021962-0.0018551i,-0.0012491-0.0017499i,-0.00073676-0.00088742i,-0.0012211-0.00061812i,-0.00087959+0.00043098i,-0.00033038+0.0011941i,-0.00078926+0.00052088i,-0.0011664-0.00018855i,-0.00045449-3.9467e-05i,0.00026247+7.3797e-05i,-0.00065483-0.00013253i,-0.0018437-0.00032663i,-0.0014968+0.00011993i,-0.00024986+0.00052782i
0.0015724-0.0018682i,0.0013689-0.0028355i,0.00053962-0.0024645i,-0.00072148-8.7672e-05i,-0.00080017+0.0019292i,0.0002731+0.0024604i,0.00099019+0.0027339i,0.00043638+0.0018361i,-0.0010657+9.7779e-05i,-0.0023775-0.00038482i,-0.0020643+0.00014684i,-0.00051794+0.00039822i,0.00032109+0.0012153i,0.00080087+0.0013518i,0.00093897+0.00042877i,0.00025222+5.5023e-05i,-0.00020481+0.00042092i,-8.7965e-05+0.001555i,7.5945e-05+0.0013759i,5.1458e-05+0.0005136i,-0.00075207+0.0005235i,-0.0010661+0.00014405i,-0.00032719+9.2656e-05i
0.00066449+0.00056448i,0.00077559-0.00010852i,0.00086727-0.00094392i,0.00063481-0.0014597i,-6.1842e-05-0.00013392i,5.8034e-05+0.00098376i,0.0013698+0.0012611i,0.0013231+0.0020028i,0.00012461+0.0033631i,-0.00053056+0.0030073i,-5.1125e-06+0.0011641i,0.00087647-0.000323i,0.00069606-0.00036451i,-0.00050989-0.00022218i,-0.00099681-0.00073054i,-0.00012235-0.00038616i,0.000491-0.00048088i,0.00012983-0.0007236i,-9.5032e-05+0.00035772i,0.00027901+0.0013615i,0.00065231+0.00098515i,0.00087668+3.5451e-05i,0.0012346+0.00016523i
0.0010251-0.0022767i,0.001144-0.0021267i,0.00059098-0.0023957i,-0.00025434-0.0018192i,-0.00092911+7.6848e-05i,-0.0010468+0.0010911i,-0.00021956+0.00023587i,0.00091607-0.00073306i,0.0015348-0.00090397i,0.0021151-0.00025811i,0.0016404+0.00031122i,0.0010098+1.3402e-05i,0.00057689-0.00068142i,-0.0007018-0.0011031i,-0.0013577-0.00077442i,-0.00065804-0.00045204i,-0.00019988-0.00015384i,-0.0003913+0.00032061i,-0.00033954-0.00022589i,-0.00025536-0.0011819i,-0.00024606-0.0010558i,4.7753e-05-0.00047259i,0.00010968+4.6808e-05i
-0.0010544-0.0013187i,-0.001387-0.0028458i,-0.0033237-0.0024583i,-0.0037235-0.00037015i,-0.0024872+0.0011694i,-0.0015552+0.0015514i,-0.002043+0.00046686i,-0.0016355-0.0013361i,-0.00028057-0.0028111i,0.00024358-0.003121i,-5.1995e-05-0.0019138i,-0.00028566-0.0015391i,-0.00086101-0.0012538i,-0.00078274+0.00030995i,-0.00030032+0.00054688i,-0.00037561-0.00076885i,-0.00079069-0.00047852i,-0.0012936+0.00012177i,-0.00093194+0.00013282i,-0.0010966-2.2969e-05i,-0.00058544-0.00065538i,0.00016924-0.00068991i,0.00032677-0.00021471i
-0.0017992-0.00047291i,-0.00083615-0.0016442i,-4.561e-05-0.0018682i,0.00085928-7.0709e-05i,0.0015058+0.0025506i,-0.00078037+0.002857i,-0.002204+0.0024277i,-0.0016295+0.0019651i,-0.0023979-0.00015015i,-0.0027882-0.0019903i,-0.0016117-0.0019901i,-0.0011644-0.0016013i,-0.00068977-0.00071235i,-0.00022094+3.5208e-05i,0.0004681-8.5566e-05i,0.0004434-0.00014678i,-0.00049188+0.00013683i,-0.00057469+0.00059775i,-0.00045033+0.00076492i,-0.00084211+0.00043603i,-0.00072038-6.6707e-06i,-0.00079299+2.5374e-05i,-0.0016593+0.00015942i
-3.2461e-06-0.00081681i,-0.00052497+0.0015212i,-0.00091579+0.0031511i,-0.00074641+0.0027528i,-0.00061609+0.0027323i,0.00097258+0.0040555i,0.0030404+0.0044348i,0.0030976+0.0036207i,0.00046036+0.0023006i,-0.0017497+0.0010948i,-0.0018267+0.00027219i,-0.00075543+0.00036665i,-4.3147e-05+0.00046208i,0.00022147+0.00044209i,-0.00035664+0.00059376i,2.2736e-05-0.0001407i,0.0007638-0.00042233i,0.00028343-0.00050317i,0.00043732-0.00013772i,0.00089487+0.00067199i,0.00047779+0.00068252i,0.00022945+0.00093171i,0.00062906+0.00086208i
-0.0016422-0.0031327i,-0.0028024-0.0038957i,-0.0046102-0.0046999i,-0.0040996-0.0037686i,-0.0018505-0.0004501i,0.00157+0.0015004i,0.0044983+0.00082511i,0.0046468+0.00013364i,0.0033813+0.000427i,0.0024622+0.001134i,0.00087253+0.0015506i,-0.00021895+0.0013855i,9.5655e-06-5.7085e-05i,0.00031257-0.0015802i,0.00064259-0.0013911i,0.0012652-0.0008267i,0.00054394-0.00024798i,-0.00044851+0.00054599i,0.00016226+0.00048226i,0.00043242-0.00021197i,0.00032025-0.00053482i,0.0014847-0.00029819i,0.0013917+1.5324e-05i
0.0038981-0.00014296i,0.005768+0.00095033i,0.0053644+0.0012689i,0.0021556+0.0018273i,-0.00024355+0.0024933i,-0.000949+0.001704i,-0.00012854+1.097e-05i,0.0012456-0.0016575i,0.0020143-0.002366i,0.0023765-0.0014964i,0.001016-0.00036315i,-9.217e-05+0.0001065i,-0.00097591-7.8293e-05i,-0.0015773+7.0688e-05i,-0.0012103+0.0010572i,-0.00060643+0.001076i,0.00023762+1.0618e-05i,0.00032452-0.00095766i,5.3426e-05-0.00085537i,-0.00024729-0.00027885i,-0.00012525-0.0010527i,0.00016476-0.00099389i,-0.00043362-0.00045728i
-0.003822-0.00032815i,-0.0046237-0.0011416i,-0.0049793-0.00028513i,-0.0024588+0.0015931i,0.00050929+0.002284i,0.0010842+0.0012232i,-0.00097081-0.0010488i,-0.0017815-0.0033128i,-0.0013369-0.0037992i,-0.00011233-0.0029749i,0.00053276-0.0016648i,-0.00049002-0.00122i,-0.00063996-0.0012919i,0.00054188-0.00011633i,0.0012489+0.0010143i,0.00061395+0.00024649i,-0.00027342-0.00024828i,2.6707e-05+0.00012519i,0.00038662+6.2838e-05i,-0.00079462-0.00038656i,-0.0017057-0.00053104i,-0.0010509-0.00094498i,-0.00055439-0.0015524i
0.00055039+0.0031539i,0.00323+0.0011844i,0.0052339-0.00010676i,0.0045666+9.7377e-05i,0.0025581+0.00036454i,0.0010997+0.0013502i,-0.00025182+0.002574i,-0.0024646+0.0025184i,-0.0028386+0.0013748i,-0.0014055-0.00042077i,-0.0007561-0.0017761i,-4.1116e-05-0.001522i,0.00097529-0.00066122i,0.0011025-0.0001335i,0.00057106+0.00016826i,-0.00053193-0.00042499i,-0.00052677-0.00070191i,-2.0376e-05-6.3408e-05i,7.017e-06+0.00062068i,5.0038e-05+0.00080228i,-0.00047811+0.00061875i,-5.5225e-05+0.0012468i,0.00036874+0.0015765i
-0.0021691-0.00028143i,-0.003113+0.0015058i,-0.0027573+0.0027068i,-0.0019473+0.0024792i,-0.0012265+0.0019923i,0.00069877+0.0021008i,0.0024354+0.0040391i,0.0015091+0.0037021i,-0.00037456+0.0010932i,-0.0010905-0.00047081i,-0.00077724-0.00027534i,-0.0010255+0.00016725i,-0.00052389+1.3871e-05i,-0.00012544-0.00064746i,-1.4424e-05-0.0011011i,0.00043058-0.0010782i,0.00031665-0.0007478i,-0.00020691-2.7746e-05i,-5.6731e-05+0.00010803i,0.00026618-0.00045957i,0.00082908-0.00054837i,0.00087787+0.0006265i,0.0004673+0.0010949i
0.00082761-0.0035211i,0.00057638-0.0044084i,-0.0019603-0.0052692i,-0.0031377-0.0040682i,-0.0015359-6.2066e-05i,0.0011823+0.0026447i,0.0034079+0.0017632i,0.0041421-0.00042201i,0.0030844-0.00039569i,0.00096328+0.0011102i,0.00026751+0.0011508i,0.00060882+0.0006211i,0.00031227-0.00017529i,-0.00036077-0.00052253i,-0.00054271+0.00041568i,-0.00028476+0.00016906i,0.0001822+4.2823e-05i,-1.4004e-05+0.00069663i,-0.0002864+4.3569e-05i,0.0001573-0.00058448i,0.00061801+0.00024505i,0.00074061+0.0003966i,0.00097238-0.00088886i
-0.00064246+0.0010537i,6.4714e-05+0.0016685i,0.001449+0.0022388i,0.00093287+0.0029391i,-0.00019372+0.0027002i,-0.00028906+0.0011751i,-1.7917e-05-0.00044194i,0.00037311-0.0019924i,0.00064106-0.0020293i,0.00047335-0.0010686i,0.0002054-0.0010247i,2.0978e-06-0.00038997i,-0.00066835+0.0011705i,-0.00057699+0.0018497i,-0.00032144+0.0010315i,-0.00065339+0.0001226i,7.1069e-05+5.0047e-05i,0.00070087+0.00020966i,0.0003649+0.00049208i,-5.8937e-05+0.00033104i,-0.00011684-0.00016094i,-0.00040082+0.00012122i,-0.00051192-9.0123e-05i
0.00080612-0.00050115i,0.00024564-0.0015004i,-0.0009309-0.0018674i,-0.0021632-0.001226i,-0.0025269+7.4631e-05i,-0.0026282+0.0007135i,-0.0021584+0.00013319i,-0.0012829-0.0013036i,-0.0017985-0.0023467i,-0.0012749-0.0019369i,-0.00011837-0.00073072i,-7.8565e-05+0.00025032i,-2.8836e-05+0.0012508i,0.00077939+0.0016996i,0.0018501+0.002106i,0.0014869+0.0016739i,0.00018741+0.0001748i,-0.00044394-0.00012497i,-0.00022979+5.4123e-05i,-0.00041424-0.00013106i,-0.0010889-0.00012607i,-0.0011701-1.3795e-05i,-0.00083231+0.00032461i
-0.0015958-0.00029217i,-0.00034889+0.00063497i,0.00064766+0.00049345i,0.0016669+0.0011448i,0.0026764+0.0025428i,0.0034826+0.0035104i,0.0025549+0.0039312i,-0.00024083+0.0039042i,-0.0018023+0.001876i,-0.0017215+6.3489e-05i,-0.00047201-0.00023971i,0.00083617-6.0191e-05i,0.0013828-0.00035925i,0.002108-0.00096017i,0.0018101-0.0013677i,0.001326-0.00070141i,0.00071277+0.00018972i,-0.00028882+0.00057576i,-0.00089951+0.00047271i,-0.00091235-1.8029e-05i,-0.00088346+0.00016656i,-0.00044189+0.0005893i,-0.00010313+0.00087674i
-0.0022088-0.0016902i,-0.0026859-0.0013599i,-0.0035543-4.4279e-05i,-0.0031248+0.0018627i,-0.0012061+0.0035896i,0.0013587+0.003066i,0.0019032+0.0023031i,0.0015315+0.0020051i,0.0011421+0.0016709i,0.00042846+0.00073308i,0.00026978+0.00016771i,-0.00031434+0.0002691i,-0.0011079-0.0005082i,-0.0009662-0.0013813i,-0.00086655-0.001513i,-0.00085239-0.00097856i,-0.00086139-3.543e-05i,-0.0004493-2.754e-06i,0.00023125-0.00030357i,0.00023006-8.5088e-05i,0.00075063+0.00019009i,0.0015302+0.00040166i,0.00081333+0.00022172i
0.0025135-0.00070458i,0.003315-0.0016596i,0.0021962-0.0024265i,0.00054689-0.0017345i,0.00040483-0.00013121i,0.0022807+0.00049566i,0.0042484-0.00019808i,0.0043938-0.0015045i,0.0033267-0.001935i,0.0017972-0.0017096i,0.00044427-0.0011217i,0.00015372-0.00062988i,-0.00039247-0.00064305i,-0.0021345+1.0942e-05i,-0.00169+0.00042134i,-0.00026713+0.00027743i,-0.00013648+1.7351e-05i,0.00028486-0.00024222i,0.00083433-0.00031705i,0.00099484-0.0013725i,0.00082827-0.0019311i,0.00049746-0.00037742i,-0.00031892+0.00038522i
0.0013792+0.0034125i,0.002534+0.0036028i,0.0031066+0.0036547i,0.0017578+0.0029387i,0.00018979+0.00091562i,-0.00081933-0.00061025i,-0.0012468-0.0022157i,-0.00095683-0.0034108i,-0.0011906-0.0029698i,-0.0014811-0.0023064i,-0.00075141-0.0014693i,-0.00047277-0.0002973i,-0.0014878+0.0011863i,-0.0025233+0.0018755i,-0.002091+0.0015375i,-0.0005855+0.0011855i,1.9673e-05+0.00074266i,-8.0308e-05+0.00027921i,-0.00062184+6.127e-05i,-0.0014981+0.00013714i,-0.0017626-0.00054689i,-0.0010439-0.00044116i,-0.00034481+0.00068932i
-0.00061603-5.94e-05i,0.00047361-0.00085423i,0.00058212-0.0015602i,-6.1509e-05-0.00032069i,0.0001686+0.0018353i,0.0003228+0.0022886i,-0.0019197+0.001366i,-0.0034057+0.00098147i,-0.0027366+0.0011955i,-0.001967+0.0011809i,-0.0011858+0.0009439i,0.0001607+0.00067848i,0.0014701+0.00097943i,0.0014582+0.00069449i,0.0015108-3.1316e-05i,0.0008972-0.00014914i,0.00014188-4.3827e-05i,0.00021207+0.00049509i,-0.00040017+0.00088634i,-0.00077459+0.00089639i,-0.00061513+0.0008689i,-0.00038102+0.00073598i,0.00015004+0.0006032i
0.0016619+0.00011874i,0.00069321+0.0011601i,-0.00027748+0.00089614i,-0.00040849+0.00043871i,-0.00024381+0.00086259i,0.00019414+0.0021097i,0.00044311+0.0043568i,-0.00024725+0.005166i,-0.00011206+0.0039791i,0.0011866+0.0021275i,0.0014975+0.00051608i,0.00089368-0.00059117i,0.00096214-0.00093345i,0.00054554-0.0009017i,-0.0006167-0.0011845i,-0.00079996-0.0011304i,-0.00018399-0.00080954i,0.00093393-0.00025253i,0.00037332+0.00048934i,-0.00013424+0.00075152i,0.00074473+0.00082511i,0.00086819+0.00047622i,0.00027601-8.3573e-05i
-2.3419e-05+0.00038513i,0.0014109+0.00042768i,0.0018665+0.00087758i,0.0009952+0.0011377i,0.0011471+0.0022374i,0.0030367+0.0040799i,0.0039391+0.0049354i,0.0039221+0.0041535i,0.003654+0.0020713i,0.0019281-0.00015484i,0.00026738-0.001125i,-0.0008093-0.0015473i,-0.0017912-0.0018718i,-0.0018585-0.0015025i,-0.0014588-0.00051369i,-0.0014164+0.00012726i,-0.00085474-0.0004385i,0.00040968-0.00015424i,0.0011315+0.00039029i,0.0010529+0.00017005i,0.00083284+0.00016209i,0.00029129+0.00012888i,0.00040952+0.00046082i
0.00012752+6.8433e-05i,0.00026777-0.00055295i,0.00056518-0.0013094i,-0.00017337-0.0010238i,-0.00092269+0.00037941i,0.00057061+0.00090902i,0.0035386-0.00094034i,0.0045266-0.0035437i,0.003508-0.0047796i,0.0012864-0.0044948i,-0.00070827-0.0030437i,-0.0011572-0.0011213i,-0.00042534+0.00097449i,-0.00021778+0.0014657i,-0.0003886+0.0012838i,-0.00042026+0.0012172i,-5.2935e-05+7.9438e-06i,0.00075582-0.0015052i,0.00083327-0.0017109i,0.00058333-0.0012247i,0.00020528-0.0013931i,-0.00040352-0.0015279i,-0.0004795-0.0005921i
-0.00077533-0.0019543i,0.0003862-0.0036595i,-5.5455e-06-0.0037635i,-0.00047083-0.0018677i,-0.00011759-0.00034294i,0.00042212-0.0011758i,-0.0002095-0.0036465i,-0.0014595-0.0059531i,-0.0022775-0.0051589i,-0.0026495-0.0019602i,-0.0017772+0.00036659i,-0.00090363+0.0011308i,-0.00036213+0.0016046i,0.00028342+0.0012982i,0.00012936+0.0005991i,-5.3134e-05+0.00024888i,-0.00025032-0.000305i,-0.00061385-0.00085606i,-0.00069254-0.00093792i,-0.00074478-0.00054485i,-0.0013897+0.00058975i,-0.0013031+0.0010614i,-0.00028178+0.00034355i
0.00089006+0.00027663i,0.0002772+0.0019579i,-0.00081557+0.0022732i,-0.00096328+0.002517i,-0.0016477+0.0024074i,-0.0035918+0.0019137i,-0.0057+0.001981i,-0.0063957+0.0014259i,-0.0054024+0.0010236i,-0.0031131+0.0017566i,-0.0014258+0.0012702i,-0.00030387-0.00049489i,0.0011576-0.0014131i,0.001123-0.0019811i,-8.609e-05-0.0019626i,-0.0010951-0.0011814i,-0.0011898-0.00022125i,-0.0011614+0.00037724i,-0.00083568+0.00040103i,-0.00040425+0.0010078i,1.2007e-06+0.00098859i,0.00027766-6.2337e-05i,-2.9524e-05-9.8062e-05i
0.0012243-0.002783i,-0.00060756-0.0045431i,-0.002677-0.0053149i,-0.0037068-0.0019805i,-0.0039711+0.0029865i,-0.0027355+0.0065311i,-0.0013911+0.0081801i,-0.0010855+0.0071025i,-0.00035283+0.0044436i,0.0010327+0.002886i,0.0016348+0.0020548i,0.00070106+0.00069538i,-0.00067955-0.00087515i,-0.0019806-0.001076i,-0.0021306+0.00035929i,-0.00079879+0.00090111i,9.8067e-06-3.319e-06i,0.00068549-0.00038085i,0.0014945-0.00033256i,0.00053672+0.00014662i,-0.00030858+0.00015511i,6.3312e-05-0.00066316i,0.00035461-0.00048565i
-0.00032596+0.0037308i,0.00098035+0.004042i,0.0020908+0.0016939i,0.0019668+0.00021541i,0.0015874+0.0023285i,0.0036172+0.0049411i,0.0061599+0.0059254i,0.0069249+0.0042487i,0.0057251+0.0018829i,0.0034218-9.1809e-05i,0.0013119-0.00077644i,-0.00069409-0.00070411i,-0.0026592+4.5243e-06i,-0.0034145+0.00059767i,-0.0017676+0.00047695i,-0.00022812+3.4329e-05i,0.00013694-0.00048086i,9.9163e-05-0.00041157i,0.00018532-0.00029813i,0.00059979-0.0012565i,0.00079489-0.0018742i,0.00078591-0.0014202i,0.00014814+0.00026484i
-0.00013811-0.00082827i,0.00026839-0.0027897i,0.0011996-0.0033007i,0.0025155-0.0023499i,0.0037137-0.0011637i,0.005025-0.0016076i,0.0073043-0.0028354i,0.0074597-0.0038226i,0.0050014-0.0044014i,0.0019829-0.0043817i,0.00044835-0.0029899i,0.00035842-0.00056721i,0.00054545+0.0015984i,0.00016941+0.0021446i,0.00033551+0.0011448i,0.00055855+0.0004049i,0.00022726+0.00066139i,-0.0006941+0.001237i,-0.00096465+0.00082216i,-0.00048593+0.00012805i,-0.00036576-0.00029444i,-8.1506e-05+0.00040632i,0.00069036+0.00051158i
0.001579+0.0034421i,0.003292+0.0033385i,0.0033688+0.002602i,0.001198+0.0018728i,-0.00035975+0.0011125i,-0.0012881-0.0013099i,-0.0022879-0.0052155i,-0.0027953-0.0068636i,-0.0040127-0.0049183i,-0.004142-0.0024138i,-0.00267-0.00071098i,-0.0012496-0.00041706i,-0.00011742-0.00042114i,5.4822e-05-0.00061038i,-0.00053002-0.00092811i,-0.00024953-0.0009983i,0.00032839-0.00050285i,0.00010896+0.00070234i,-0.0006666+0.001426i,-0.00090237+0.0018817i,-0.00023786+0.0020023i,0.00030096+0.00090663i,0.00062866+0.00019429i
-0.00070467-0.0016623i,-0.00093275-0.00047947i,-0.0019107+0.00062638i,-0.0026665+0.00093588i,-0.0024178+0.0016045i,-0.0037834+0.0022674i,-0.0068447+0.001303i,-0.0076619+0.00024315i,-0.0059485+0.00073719i,-0.003466+0.0012339i,-0.0012215+0.00017309i,0.00046552-0.0015468i,0.001787-0.0025156i,0.0017367-0.0022346i,0.00041158-0.00078371i,-0.00046996+4.5458e-05i,-0.00030408-0.00015442i,-0.00020965-0.00073929i,0.00021713-0.00045207i,0.00066415+0.00024981i,0.0004441+0.00060734i,-0.00013197+0.00027788i,0.00025802-0.00058509i
