-0.0025124+0.0024081i,-0.0019411+0.0023404i,-0.0020422+0.0027157i,-0.0020311+0.0024406i,-0.0015226+0.0027743i,-0.00080011+0.0023705i,-0.00045654+0.0013123i,-0.00044421+0.00098204i,0.0003883+0.001584i,0.0012128+0.0016155i,0.0016583+0.00011982i,0.0014441-0.00067338i,0.0012383-0.00086004i,0.0003289-0.0013762i,-0.00067748-0.00099685i,-0.00065942+0.00028915i,0.00044851+0.00083991i,0.001026+0.00065047i,0.00070851+0.00012929i,0.00023975+1.2127e-05i,0.00023243+0.00014042i,0.00015222+0.00074932i,-0.00046893+0.00089982i
0.0026172-0.00079904i,0.0025171-0.0026114i,0.001222-0.0039633i,-0.00085495-0.0032095i,-0.0020964-0.0021783i,-0.0020283-0.0011649i,-0.0017929-0.00015414i,-0.0010693-0.00069086i,-0.00085313-0.0026222i,-0.0007445-0.0029969i,-0.00043625-0.0014269i,-0.00045756-0.00023092i,-0.00048011+0.00019486i,-0.00027682-0.00025171i,0.00014056-0.00076487i,0.0010555-0.00044272i,0.0012816+0.00017772i,0.00064202+0.00038913i,0.00014255-0.00017513i,0.00058682-0.00038329i,0.00080641+0.0004601i,0.00011003+6.6312e-05i,-0.00023465-0.0011134i
0.0016209-0.0006011i,0.0024129-0.0014579i,0.0022965-0.0018041i,-2.2803e-05-0.00045497i,-0.0014374+0.0007535i,-0.0012812+0.0010221i,-0.00064858+0.00047301i,-0.00043941-0.0003173i,-0.00068752-0.0010304i,-0.00048829-0.001576i,-0.00012124-0.0013638i,-0.00052134-0.0014126i,-0.0004285-0.00075268i,0.00017707+7.0339e-05i,-0.0003507+0.00030054i,-0.0004108-0.00021379i,0.0001163-0.00014317i,-4.3406e-06+4.4516e-05i,-0.00060299-0.00059107i,-0.00083031-0.000222i,-0.00027161+0.00088121i,-0.00019671+0.0009146i,-0.00063751+0.00035759i
0.0012902-0.00026112i,0.00058715-8.6146e-05i,-0.00035896-0.00060441i,-0.00036246-0.00075107i,-0.0011243+0.0006046i,-0.0023342+0.0013939i,-0.0023594+0.0011402i,-0.0015755+0.00042183i,-0.00086946-0.00085157i,-0.00040388-0.0010257i,-0.00078363-0.00052307i,-0.00097808-0.00071379i,-0.00058734-0.0012047i,-0.00019044-0.00124i,0.0002446-0.001299i,2.385e-05-0.00099315i,-0.00041578-0.00034277i,-1.8426e-05-0.00040593i,0.00050822-0.00080679i,-0.00022695-0.00032953i,-0.00085108+0.00032533i,-0.00053064+4.4754e-05i,3.1456e-05-0.00020632i
0.0014906+0.00083451i,0.00078586-0.00061209i,0.00049468-0.0010453i,-0.00010358-0.00054854i,-0.0011391-0.0001197i,-0.0017727+0.00011955i,-0.00097076-0.00075605i,-0.00018196-0.0014177i,-8.0977e-05-0.0013475i,0.00061027-0.0014629i,0.00060817-0.00086193i,-0.00030748+0.00029866i,-0.00011389+0.00033762i,0.0011267-0.00038306i,0.00070177-2.8614e-05i,-1.2293e-05+0.00076445i,-3.8148e-05+0.00064237i,0.00045052-2.4794e-05i,0.00092423+4.6172e-05i,0.0006848-3.2997e-05i,-0.00027995-6.3471e-05i,-0.00077484-7.2921e-06i,-0.00064376-0.00070853i
-0.00025057+0.001459i,0.00082073+0.00056807i,0.001468-0.0011786i,0.001147-0.0014137i,9.5794e-05-0.00013406i,-0.00096156+0.000275i,-0.0014787-5.7653e-06i,-0.0017816-0.00069671i,-0.001451-0.0008539i,-0.0010079-0.0014653i,-0.00040975-0.0015574i,-0.00054748-0.00080895i,-0.00095712-4.1536e-05i,-0.00053401-0.0001359i,-6.5793e-05+5.8242e-05i,-0.00034961+0.00065915i,-0.0002333+0.00062327i,0.00032119+0.00049861i,0.00057584+0.00054924i,-8.1646e-05+4.2074e-05i,-0.00017797-6.4383e-05i,-3.97e-05-0.0001026i,-0.00050439-0.00017129i
0.00034965+0.001033i,0.0017522+5.946e-05i,0.0015758-0.00070444i,-0.00031116-0.00057786i,-0.00083241-0.0006094i,-0.00031367-0.00014613i,-0.00043635+0.00099013i,-0.00066089+0.00072881i,-0.00031034-0.0010082i,-0.00021871-0.001804i,-0.00028903-0.0012564i,-0.00055765-0.00099762i,-0.00070043-0.0010486i,-0.00043969-0.00083279i,-0.00089249-0.00023402i,-0.00099783+0.00065634i,-0.0010213+0.00070224i,-0.0012398+0.00059666i,-0.0012377+0.00088819i,-0.00035895+0.00046174i,0.00051106+7.3748e-05i,0.00017013+0.00046792i,-0.00014889+0.00042057i
0.00055402-0.00039952i,0.00018294-0.0012707i,-0.00046137-0.0013035i,-0.00039477-0.00045916i,-0.00020501+9.5993e-05i,-0.00058401+0.00010904i,-0.00085635-0.00017245i,-0.0010101-0.0016138i,-0.0018888-0.0027388i,-0.0016965-0.0022109i,-0.00035791-0.00058593i,-0.00039914-0.00031049i,-0.001043-0.00033092i,-0.00092444-0.00068815i,-0.00061325-0.00051892i,-0.00057171-8.9471e-05i,0.00024318-0.00072294i,0.00069036-0.0012907i,0.00028172-0.0010267i,0.00020485+1.7848e-05i,0.00011132-0.00018717i,-0.00011993-0.00080459i,-0.00019237-0.0007582i
0.0007915-0.00060861i,0.00078587-0.00072517i,-0.00019094-0.0013382i,-0.0016254-0.0019881i,-0.0020061-0.0014589i,-0.0016349+0.00035247i,-0.0013748+0.00056145i,-0.0011372-0.0004106i,-0.00059635-0.0011056i,-0.00053697-0.0015482i,-0.00047757-0.0014427i,-0.00029119-0.00069439i,0.00028033-0.00030526i,0.00092754-0.0008779i,0.00063407-0.00075782i,0.00022793+1.4027e-05i,0.00016457+0.00039018i,0.0002556+0.00099462i,-4.6805e-05+0.00099564i,-0.0001981+0.00079289i,1.1514e-05+0.00077297i,1.2028e-05+0.00065357i,-3.2224e-05+0.00051569i
0.00049763+0.0016576i,0.00066639+0.0004727i,0.00099114+0.00058061i,0.00098452+0.00049129i,0.00012386+0.00024269i,-0.00022628+6.7312e-05i,-0.00074947-0.00028284i,-0.0011002-0.0011916i,-0.00090702-0.0015394i,-0.0010769-0.0017144i,-0.00078779-0.0016711i,-0.00041554-0.0015284i,-0.00043988-0.00076649i,-0.00098829-0.00015613i,-0.00060554-7.6373e-05i,-5.994e-05+3.5649e-05i,-0.00030016+7.4321e-05i,5.5519e-05-0.00012326i,0.00026396-0.0005302i,0.00048798-0.000667i,0.00026197-0.00034662i,-9.8116e-05+0.00027845i,0.00054843+0.00076749i
0.00041769-0.00064839i,0.00066195+0.00026938i,0.00010341+0.00084056i,-0.00037021+0.00037606i,-0.000722-0.00030921i,-0.0008948-0.00018716i,-0.0012141+0.00034418i,-0.0019711-0.00023516i,-0.0016551-0.0011398i,-0.00076608-0.0015296i,-0.00064723-0.00076606i,-0.00095034+0.00014655i,-0.00063791-0.00026933i,-0.00019915-0.00033371i,-0.0001099-0.00044598i,0.00048561-0.00044731i,5.7102e-05+0.00050668i,-0.00063464+0.0012665i,0.00010145+0.00089019i,0.0011293+0.00046105i,0.0014741+3.9055e-05i,0.00066701-0.00029665i,0.00023993-0.00053782i
0.00049307+0.00024763i,0.0014163-0.00025554i,0.00091313+0.00025685i,1.5752e-05+0.0010613i,-0.00089776+0.00043054i,-0.0013003+9.1769e-05i,-0.00099473+0.00013201i,-0.00026863+9.3941e-05i,-0.00050725-0.00045195i,-0.00081298-0.00091862i,-0.00048853-0.0012774i,-0.0004551-0.0015284i,-0.00047516-0.0012455i,-0.00021457-0.0010982i,0.00031411-0.00059505i,4.9964e-05+0.00040205i,0.00015212+0.00064478i,0.00032945+0.00013797i,0.0001344-0.00049724i,6.2528e-05-0.00045732i,-2.5728e-05-0.0008798i,-0.00041803-0.0011084i,-0.00072198-0.00021609i
0.0017055+0.0023375i,0.0020663+0.0014227i,0.0013907+0.00052071i,0.00050765+7.3443e-05i,-4.8095e-05-0.00020804i,-0.00054915-0.00075191i,-0.00075706+9.8451e-05i,-0.0004275+0.00016902i,1.3745e-07-0.00099757i,0.00063117-0.0012806i,-7.9536e-05-0.00033146i,-0.00082671+0.00022179i,-0.00046832-2.6867e-05i,-0.00043966+3.9347e-05i,-0.0010521+0.00045497i,-0.0011296+0.00076768i,-0.00037196+0.00041773i,0.00022253+0.00017387i,0.00082973+0.00075709i,0.00082706+0.00050184i,-0.00010569-0.00036504i,-0.00092173+0.00012675i,-0.0006043+0.00019651i
-0.00228+0.00057163i,-0.0015784+0.001148i,-0.0011148+0.0014182i,-0.0011964+0.001321i,-0.0010422+0.0013375i,-0.0011478+0.0012928i,-0.0010975-2.2854e-06i,-0.00081277-0.00085228i,-0.00048425-0.00061657i,-0.00034436-0.0007717i,-3.3396e-05-0.00097811i,-0.00018687-0.0006175i,-0.00075823-0.00052635i,-0.00092854-0.0013548i,-0.0006537-0.0013076i,-0.0010531-0.00049395i,-0.0011338-7.0589e-05i,-0.00021872+0.00034558i,0.00050115+0.00040013i,0.00043325+0.00039304i,0.00024782+0.00080797i,6.3538e-06+0.00065654i,4.4264e-05+9.6782e-05i
0.00043047-0.0013511i,0.00029011-0.0016741i,-9.0069e-05-0.0011578i,-0.0011013-0.00077307i,-0.0019107-0.00052624i,-0.0011402+0.00061469i,-0.00016159+0.00086492i,3.6858e-05-0.0004727i,-0.0010316-0.0013677i,-0.001999-0.0016429i,-0.0013528-0.0015351i,5.7397e-05-0.00066928i,-0.00021945-8.11e-05i,-0.00054129-0.00036256i,4.4285e-05-0.00044804i,0.00037036-0.00017673i,0.0010428+0.00042335i,0.001474+0.0012163i,0.0015757+0.001707i,0.0013024+0.0011525i,0.00047828+0.0010204i,-0.00036933+0.00090737i,-0.00060446-0.0004353i
0.0017939+0.0018417i,0.0014217+0.00049756i,0.0012448-0.00087797i,0.0016722-0.0013567i,0.0014884-0.0011514i,-0.00034133-0.00030807i,-0.0012566+0.00048553i,-0.00074367-0.00014976i,-0.00069852-0.0011278i,-0.00072133-0.0013983i,-0.00058392-0.0015163i,-0.00065974-0.00094959i,-0.001137-0.00096208i,-0.00088354-0.0010117i,0.00023145-0.00028302i,0.0010419+4.0222e-05i,0.0010318+0.00026114i,-0.00023864+0.00067352i,-0.00063755+0.00059963i,-0.00023439+6.3596e-05i,9.0327e-05+3.9778e-05i,0.00014203+0.00036962i,4.434e-05+0.00027048i
-0.00010543-0.00088839i,-0.00072217-0.00066593i,-0.00186+0.00037063i,-0.0026672+0.0014367i,-0.0029819+0.0022192i,-0.0024983+0.0019327i,-0.0010592+0.00092247i,-0.00077957+0.00065366i,-0.001162+2.0123e-05i,-0.00099978-0.0009856i,-0.00035512-0.0009786i,-0.00039691-0.0013163i,-0.00039897-0.0012739i,0.00031532-0.00070642i,0.00030163-0.00099037i,0.00041936-0.00077122i,0.00023579+5.3064e-05i,0.00049185+4.8339e-05i,0.00025668-0.00034316i,-0.0007432-0.00079207i,-0.00053698-0.00070503i,0.00040437-0.00012833i,0.0009076+0.00042373i
0.00046664-0.00011003i,0.00023059-0.00016915i,-0.00033401-0.00078403i,-0.0010392-0.0014661i,-0.0016571-0.0013928i,-0.0011267-0.00044192i,-0.00076788-0.00027388i,-0.00093287-0.00043269i,-0.0013408-0.00051311i,-0.0011562-0.0013438i,-0.0011377-0.00069034i,-0.00064865+0.00062394i,0.00010669+0.0003134i,2.2258e-05-0.00051304i,-7.5652e-05-0.00058696i,0.00046607-0.00059176i,0.00056293-0.00047832i,0.00020188+0.00027444i,3.0224e-05+0.00032695i,0.00045051+0.0004112i,0.00048776+0.00091035i,7.1635e-05+0.00036847i,0.00059695-0.00050912i
0.0010688-0.0020935i,0.00057679-0.0022608i,-6.3651e-05-0.0017361i,-0.00097033-0.00094891i,-0.0020878-0.00011547i,-0.0027263+0.0009269i,-0.0017353+0.0010945i,-0.0010519-0.00019146i,-0.00097524-0.0013124i,-0.00027546-0.001172i,-0.00033658-0.00037514i,-0.00072524+0.00037064i,-0.0004341+0.00039859i,-0.00049005+0.00029206i,-0.0006114+0.00069153i,0.0001389+0.00061169i,0.00080316+8.9674e-05i,0.00094363-0.00031173i,0.0012493-0.00055371i,0.0012115-9.1249e-05i,0.000131+0.00036258i,-0.0004552+0.00032018i,0.00069096-0.00063067i
-0.001145-6.8726e-05i,-0.00065891-0.00037183i,-0.0015181-0.00064078i,-0.0013173-0.00084514i,-0.0010164-0.00057819i,-0.0005649-0.00024277i,0.0001012+4.4946e-05i,2.1453e-05-6.528e-05i,-0.00084281-0.0017282i,-0.0012525-0.0018896i,-0.0007426-0.0010423i,-0.00033161-0.00099941i,-0.00051473-0.00074201i,-0.00056582-0.00078742i,-0.00055398-0.00030481i,-9.507e-05+0.00029469i,0.0003764+8.8757e-05i,5.6561e-06+0.00050021i,-5.0032e-05+0.0007237i,6.3501e-05+0.00064309i,-0.00049318+0.00053527i,-0.00080602+0.00035689i,0.00013925+0.00050375i
-0.00010839-0.00089602i,-0.0011634-0.00069353i,-0.0013552-0.0003506i,-0.0017481+0.00028546i,-0.0026981+0.00089853i,-0.0023538+0.00099748i,-0.00053423+0.00044974i,6.3792e-05-0.00017663i,9.2174e-05-0.0014275i,0.00022324-0.0016188i,-0.00011128-0.0010079i,-0.00038326-0.00075939i,-0.00094021-0.00056057i,-0.0010237-0.00071906i,-0.00093089-0.0012889i,-0.00071969-0.0011192i,0.0001206-0.00025897i,6.8952e-05+0.00026773i,-0.00048819-0.00047802i,-0.00038465-0.00050845i,-7.277e-05-0.00010127i,2.6895e-05-0.00017404i,-0.00024303+0.00028681i
0.0021369-0.001945i,0.00095032-0.0025433i,-0.00066795-0.0029866i,-0.0015127-0.0025515i,-0.0017445-0.0016398i,-0.0011416+0.0004377i,-0.00050566+0.0013081i,-0.00079045+8.1754e-05i,-0.0011434-0.00076169i,-0.0012838+3.0931e-05i,-0.00092047-0.00024352i,-0.00030436-0.00094008i,4.4189e-05-0.00074438i,0.00024351-0.00052342i,0.00057645-0.00058961i,0.00094006-0.00018474i,0.00035678+0.00043925i,0.00045298+0.00035785i,0.00068531+0.00034855i,1.0375e-05+0.00039685i,-0.00080769+0.00095743i,-0.00077449+0.00080574i,-0.00032191-0.0001937i
-0.00027238-0.00055653i,-0.00097628-0.00059449i,-0.00069007-0.000507i,-0.00041952+0.00047065i,-0.00085605+0.001509i,-0.0013203+0.0017401i,-0.0011323+0.0010038i,-0.001328-0.00035523i,-0.001976-0.0013379i,-0.0013799-0.001486i,0.00022514-0.00086772i,0.00027577-4.2446e-05i,-0.00050929-3.6076e-06i,-0.00022823-0.00098275i,0.0001705-0.0012297i,0.00030957-0.00021359i,0.00030915+0.00059449i,0.00014342+0.00036679i,-0.00015537-0.0010601i,5.151e-05-0.0017835i,0.00033431-0.00046863i,2.1159e-05+0.00088956i,-0.00036467+0.00025095i
0.00040112-0.00066626i,-0.00045782-0.00065544i,-0.00085826-0.00032579i,-0.00085336+0.00030189i,-0.0014553+0.0017169i,-0.0018772+0.001145i,-0.0014207-0.00051143i,-0.00093461-0.00093893i,-0.00058708-0.000974i,-0.000708-0.001101i,-0.00098436-0.0011834i,-0.0013636-0.00056768i,-0.0007504-0.00040969i,-0.00023339-0.00091149i,-0.00082906-0.00018127i,-0.00036755+0.00047233i,0.00021339-5.4545e-05i,5.4496e-05-0.00031257i,0.00020971-0.00028899i,0.00062177+0.0004172i,0.00043406+0.0012428i,5.3985e-05+0.00036752i,0.00071405+0.00014315i
-0.00041308+0.00062815i,-0.00078132-0.0011994i,-0.0016771-0.0021545i,-0.0027006-0.0011149i,-0.0030109-0.00042033i,-0.002595+0.00015053i,-0.0021892+0.00085455i,-0.0018575+0.0007168i,-0.001228-0.0002593i,0.0001077-0.001534i,0.0013568-0.0017291i,0.0009258-0.00148i,0.0001953-0.00071294i,-0.00020478-5.9568e-05i,-0.00072657-2.5365e-05i,-0.00018552-7.5413e-06i,-2.6827e-05+0.00033137i,-0.00046556+0.001087i,-0.00040748+0.00064741i,-0.00072773+7.9392e-05i,-0.0005511+0.00043289i,-3.7338e-05+0.00050525i,0.00023168+0.00031383i
-0.00015214-0.00086567i,-0.00013616-0.0014969i,0.00026715-0.0011872i,0.00021463-0.00025229i,-0.00055092+0.0010154i,-0.001097+0.0010639i,-0.00093586+0.00016038i,-0.00094462-0.00049779i,-0.0010188-0.0012535i,-0.00098591-0.001663i,-0.00098315-0.0012323i,-0.00093163-0.00084499i,-0.001003-0.00051514i,-0.00041331-0.00053134i,-0.00028007+0.0001795i,-0.0012242+0.00066045i,-0.0010909-6.541e-05i,-0.00039561-0.00040568i,-0.00079691+0.00016013i,-0.00025391+0.00036582i,0.00060132+0.00030884i,0.00078118+0.00033558i,0.00059353+0.00036766i
0.00019992-0.0001743i,0.00015506-0.00033629i,-0.00017991-0.0012389i,-0.0012432-0.0014082i,-0.0021626-0.00091633i,-0.00098699-0.00018889i,-0.00076041+0.00064102i,-0.001433+0.00038681i,-0.0014107-0.00063538i,-0.0010204-0.0011512i,-0.0010385-0.000833i,-0.00079463+0.00025996i,-0.00079947+0.00060681i,-0.0010513+0.00030472i,-0.00047051-0.00033152i,2.6675e-05-0.00092513i,-0.0006241-0.00095406i,-0.0010535-0.00082046i,-0.00040858-0.00060237i,0.00031379+0.00015832i,0.00013469+0.00010522i,-0.00021411-0.00026603i,-0.00040356-7.9832e-05i
0.00080765-0.00059343i,0.00039947-0.00018784i,0.00016745+2.7072e-06i,-0.00082403+0.00043684i,-0.0017591+0.00078529i,-0.0015782+0.0007208i,-0.0011912+0.00047725i,-0.00070489-1.7582e-06i,-0.0011845-0.0012378i,-0.0010044-0.0017819i,1.4484e-05-0.0013229i,0.00034315-0.00061083i,-0.00021101-0.00046106i,-0.0011692-0.00049919i,-0.00070963-3.0538e-05i,-0.00045172+9.5814e-05i,-0.00081985-9.0946e-05i,-0.00066903-0.00014061i,-0.0004804+0.00017138i,-8.483e-05+0.00027393i,-0.00010535+0.00033582i,-0.00063559+0.0011732i,1.7706e-05+0.00050669i
-0.0016499-0.0029879i,-0.0024816-0.0011972i,-0.0041027-0.00056475i,-0.0041672-0.00028289i,-0.0028458+0.001254i,-0.00096612+0.0023734i,-0.00017157+0.0015896i,-0.00081426-0.00032058i,-0.0022729-0.00077593i,-0.0020395-0.00044026i,-0.00088853-0.00016981i,-0.00017301+6.7719e-05i,-0.00011938+0.00016977i,0.0003777-0.00090716i,0.00026468-0.00078501i,0.00024298+0.00053676i,0.00058869+0.00092172i,-0.00020804+0.0010204i,0.00032569+0.0010748i,0.0011621+0.00097713i,0.00099382+0.00038767i,0.00087746+6.5106e-05i,0.00073757+0.0001877i
5.612e-05+0.00094849i,0.00073888+0.00060915i,0.0017424+0.00030066i,0.0014016+8.2955e-05i,2.2495e-05-2.8991e-05i,-0.00085365+0.00046538i,-0.00095624+0.0001916i,-0.001358-0.00060327i,-0.0016919-0.0006725i,-0.00069075-0.00021404i,-0.00030701-8.413e-05i,-0.00037714-0.00056364i,0.00028662-0.0007927i,0.0004856-0.0009079i,0.00032522+2.9606e-06i,-0.00016994+0.00083799i,-0.00098354+0.0010501i,-0.00072396+0.00085937i,-0.00041652+0.00020063i,-0.00034791-6.9998e-05i,0.00024041-8.6562e-05i,0.0001167+0.00022099i,2.7951e-05+0.00020001i
-0.0015615-0.0015705i,-0.001043-0.0013662i,-0.00016899-0.001431i,-0.00074614-0.00033537i,-0.0013686+0.00097046i,-0.0011384+0.0017415i,-0.00090861+0.001492i,-0.00071329-0.00055995i,-0.00097712-0.0021754i,-0.00096755-0.0020055i,-4.1715e-05-0.0010302i,0.00037809-0.00022884i,0.00027125-0.0001408i,0.0002822-0.00064913i,-0.00040422-0.00090461i,-0.00032968-0.00032751i,0.00093959+6.186e-05i,0.0018167-9.3067e-05i,0.00075235+5.025e-05i,-0.00026676+0.00035105i,-0.00024381-0.00023989i,0.0006332-2.1163e-05i,0.0010284+0.000992i
0.00029463+0.00085464i,-6.7015e-07+0.00020116i,0.00026169-0.00057028i,-1.7004e-05-0.0014544i,-0.00063804-0.0014895i,-4.0648e-05-0.00029127i,0.00083118+0.00041924i,0.00032824+0.00041972i,-0.00073319-8.2849e-05i,-0.00080032-0.0014912i,-0.00016824-0.0019345i,-0.00057735-0.0010502i,-0.00020088-0.00073964i,0.00083462-0.0012648i,0.00083625-0.0010516i,0.00092604-0.00025593i,0.0011084-0.00021827i,0.00056405-0.00047049i,-0.00036218+7.3026e-05i,-0.00014229+0.0005062i,0.00026714+0.00024051i,-0.00011316-0.00023648i,-0.000374-9.9923e-05i
-0.00050317+0.0006845i,-0.00093335+0.00073242i,-0.0012739+0.0012412i,-0.00093123+0.00062924i,-0.00070714+0.00012746i,-0.0015595-0.00047656i,-0.0014241-0.00029962i,-0.0011251-0.00011463i,-0.0010051-0.00081802i,-0.00015001-0.00095768i,0.00030675-0.00063917i,0.00041047+6.1037e-05i,0.00013228+0.00057822i,-1.2453e-05-4.9701e-05i,-0.00042056-0.00062727i,-0.00057185-0.0005825i,-0.00023057+4.6989e-05i,0.00054125+0.00019311i,0.00083978+0.00039431i,0.00019061+0.00035232i,0.00024109+0.00032709i,0.0005816-0.00024387i,-0.00016797-0.00049878i
-0.00016752-0.0014154i,-0.0011159-0.0012555i,-0.001638-0.0013173i,-0.0017155-0.0014407i,-0.0013626-0.00037169i,-0.00089907+0.00087876i,-0.00097918+0.00033216i,-0.00085614-0.00075808i,-0.0013512-0.00092141i,-0.001271-0.00075583i,-0.00047003-0.00039217i,3.0266e-05-0.00014539i,0.00024991-0.00019994i,0.00077883-0.00065566i,0.000522-0.00099269i,-9.4146e-06-0.00070837i,0.00034416+1.0152e-05i,0.00011463+0.00023883i,-1.9445e-05-5.1631e-05i,0.00023632-0.00012305i,0.00068322-7.9665e-05i,0.00092884-0.00023972i,-0.00021608-0.00054718i
-0.00013658+0.00046813i,-0.0011802+0.00076367i,-0.0012611+0.0001255i,-0.0012993+8.8166e-05i,-0.0015491+0.00052223i,-0.0011687+0.00075051i,-0.00025279+0.00082751i,-3.6759e-05-6.6429e-05i,-0.00049517-0.0011963i,-0.00021915-0.0011648i,0.00026455-0.00087849i,-0.00033608-0.00046172i,-0.00088202+0.00014064i,-0.00035864-0.0002709i,0.00035953-0.00073491i,0.00024683-0.00048386i,-1.1601e-05-6.3362e-05i,0.00037687+0.00030562i,4.4041e-05-0.00026401i,-0.00017342-0.00021139i,0.00040888+0.00020465i,0.00063228-0.00031517i,0.00038633-0.00059978i
-0.0022822-0.001013i,-0.0016858-0.00045976i,-0.0017589-3.2716e-05i,-0.002456+4.7449e-05i,-0.0020705+0.00037056i,-0.00063607+0.00019081i,5.3733e-05-0.00077712i,-0.00025042-0.0014273i,-0.00074736-0.00065106i,-0.001481+8.7686e-05i,-0.0013747+0.00010651i,-0.00050246+0.00020254i,-4.025e-05-0.00018635i,0.00037333-0.0010719i,0.00081163-0.0013794i,0.00057866-0.00045973i,6.6244e-05+0.00036499i,9.8492e-05+0.00043251i,0.00060894+0.00079146i,0.00055198+0.00074575i,0.00074677+0.00030251i,0.001216+0.0002478i,0.00069945+0.00036206i
0.00019493+0.0013375i,-6.7843e-05+0.0011566i,0.00036298+0.0018789i,0.00027486+0.0019361i,-0.0010725+0.0015039i,-0.0010166+0.0014249i,1.4985e-05+0.0010573i,-0.00019408+1.7335e-05i,-0.00054479-0.0015303i,1.2246e-05-0.0015414i,0.00046146-0.000786i,0.0001572-9.074e-05i,0.00015802+0.00026126i,-0.00019329-7.9071e-05i,-0.0012662-0.00052466i,-0.0019025-5.6686e-05i,-0.00070106+3.0358e-06i,0.00013969-0.00040933i,-0.00046217+0.00013087i,-0.0009757+0.0010665i,-0.00066876+0.0011928i,-0.00072254+0.00054283i,-0.0007035+0.00049485i
0.00075845+0.00056497i,0.0015842-0.00057041i,0.0021009-0.00074683i,0.0016587-0.0004403i,0.0006883-0.00048435i,-0.00027918-0.00053264i,-0.00079505-0.00015549i,-0.00061788-0.00058329i,-0.00025121-0.0013467i,-0.0002527-0.0024902i,0.00012411-0.0021138i,-3.5475e-05-0.00082638i,-0.00025427-0.00019767i,0.00023001-3.2393e-06i,0.0013489-0.00037019i,0.0014346-0.0005888i,0.00028953+8.8652e-05i,-0.00012853+0.00011152i,-0.00027701-3.0506e-05i,-9.935e-05-7.5542e-05i,0.00014873+0.00040685i,9.37e-05+0.00038306i,-2.0709e-05+4.5261e-05i
0.00055224-8.3875e-05i,-0.00053014-0.0010262i,-0.00117-0.00088405i,-0.0012776-0.00087923i,-0.0022389-0.00049078i,-0.0025513+0.00012073i,-0.0013897-7.324e-05i,0.00016143-0.00096567i,8.2045e-05-0.0021862i,-0.00032963-0.0026223i,-0.00029962-0.0020418i,-0.00067333-0.0010379i,-0.00062892-0.00054868i,-0.00037213-0.00093361i,2.575e-05-0.0011359i,0.00023032-0.00060396i,0.00023291-0.00045942i,0.00066153+0.00012148i,-0.00019877+0.00080067i,-0.00068169+6.5498e-05i,-0.00036332+0.00019644i,0.00035331+0.0011356i,0.00069844+0.00082821i
0.00070584+0.0017185i,0.0012703+0.00077455i,0.0014158+0.00030204i,0.0010154+0.0001188i,0.00069798-0.00036497i,-0.00082444-0.00022799i,-0.0015496-0.0001808i,-0.00073822-0.0002703i,-0.00067272-0.00055676i,-0.00058457-0.00062485i,-0.00012126-0.00063479i,-1.1358e-05-0.00098406i,-0.00024313-0.00044831i,-0.0004593-0.00066406i,0.00016675-0.00094534i,0.00056091-0.00042417i,0.00050102-0.00040707i,0.00089142-0.00065009i,0.00077368+2.6654e-05i,0.0006932+0.0012801i,-0.00027193+0.0015328i,-0.00064241+0.0013648i,-0.00027077+0.0011609i
-0.0013836-0.00053234i,-0.001638+0.00034064i,-0.0014608+0.00065338i,-0.0017667+0.00088825i,-0.0018589+0.0014751i,-0.0010063+0.0014322i,0.000244+0.00056675i,0.00028762-0.00033254i,-0.00074857-0.0011113i,-0.00057484-0.0013621i,-0.00018657-0.0013684i,-0.00021979-0.0011251i,0.00011563-0.00071594i,0.00039327-0.0008298i,0.00048902-0.00085396i,0.00016937-0.00055558i,-0.00059655-0.00019594i,-0.0010755-0.00043588i,-0.0002473+2.0203e-06i,0.0011247+0.0011853i,0.00017265+0.00090751i,-0.00086127-0.00050596i,-0.00044798-0.00057176i
-0.00070299-0.0009184i,-0.0009869-0.0019873i,-0.00083425-0.0011364i,-0.00068544-0.00018376i,-0.0014644-0.00030194i,-0.0017393-1.6846e-05i,-0.0010922-0.00010866i,-0.00056296-0.00066191i,-0.00076116-0.00083014i,-0.0010145-0.0014933i,-0.0004124-0.0012647i,-0.00015982-0.00038376i,-0.00040234-0.00062992i,-0.00073816-0.0012292i,-0.00086841-0.00058857i,-0.00067477-0.00046554i,-0.00012571-0.00067358i,-3.0561e-05-0.00024693i,0.00044916+0.00042456i,0.00055581+0.0005857i,0.00019169+4.1602e-05i,5.4846e-05-9.0891e-05i,-0.00011481+3.93e-05i
0.0010309+0.00098372i,0.00046549+0.00037787i,0.00056671-9.5151e-06i,-2.9301e-05-0.00071749i,-0.0017998-0.00018047i,-0.002741+0.00034811i,-0.00259+0.00049208i,-0.0020826-0.00054934i,-0.0014541-0.0014953i,-0.00056541-0.00060656i,-3.6005e-05+0.00030475i,0.00021613+0.00016432i,0.00070762-0.0003753i,0.00051094-0.00062221i,0.00013341-0.00047323i,0.00021844-6.4259e-05i,-6.1519e-05+2.7502e-05i,-0.00040638-0.000382i,-0.00066413-0.00084449i,-0.00031657-1.9538e-05i,-0.00012805+0.00046021i,-4.7059e-05+0.00018684i,-1.0739e-05+0.00015092i
