-0.0012466+0.0012536i,-0.00098189+0.0019146i,-0.0019467+0.001632i,-0.0027032-3.3645e-05i,-0.002527-0.00091105i,-0.0017175+0.00030518i,-0.00047456+0.0016758i,0.00086493+0.0018444i,0.0017984+0.0015608i,0.0018758+0.00074633i,0.00178+0.00082856i,0.0010489+0.0007483i,8.7444e-05+0.00017188i,-0.00026846+0.00017623i,-0.00056002-0.00018398i,-9.0609e-05-0.0006704i,0.00020225-0.00055221i,0.00054259-0.00027024i,0.00028397-0.0001572i,-0.00036001-0.00014409i,-0.00017449-0.00011726i,-0.00022237-1.0532e-05i,-0.00041146-0.00060412i
0.00094094+0.00027461i,0.00016415+2.1312e-05i,-0.00039699-0.00072734i,0.00059078-0.00084862i,0.0011281-0.00078258i,0.00011256-0.0011975i,-0.00028444-0.0010755i,0.0001424+0.00016162i,0.0010362+0.00095546i,0.0011596+5.6631e-05i,0.00093705-0.00040398i,0.00075581+0.00031291i,0.00068952+0.00060761i,0.00087525+0.00010542i,0.0010489-0.00063578i,0.00086245-0.00029943i,-0.00020134+0.00041342i,-0.0010875+0.00035453i,-0.00089806-0.00014809i,-2.6175e-05-0.00040145i,0.00043947-0.00032152i,0.00026222-0.00067533i,-0.00016829-0.00028485i
0.0010318-0.001771i,-0.00037774-0.001512i,-0.001662-0.00072192i,-0.0025535-0.00043482i,-0.0022283+0.00045915i,-0.001504+0.00070794i,-0.00066414+0.00056907i,0.00023447+0.00078234i,0.00036497-0.00024063i,-0.00041761-0.0007372i,-0.00087461+3.4746e-06i,-8.1809e-06+0.00073853i,0.00037367+0.00053975i,0.00018909+0.00020218i,0.00043341-8.2886e-05i,0.00094822-7.7511e-05i,0.00086957+0.00062195i,-6.2091e-05+0.00081521i,-0.00043036+9.8352e-05i,6.832e-05-0.00011479i,0.00023877+2.0339e-05i,0.00020087+0.00030241i,6.4806e-05+0.00036145i
-0.0015775-0.0001548i,-0.0011536+0.0006677i,-0.0013507-0.00040134i,-0.00078324-0.00085361i,0.00010173+0.00018095i,0.00065489+0.00062462i,0.0010887+0.00010057i,0.00097641+0.00073901i,-0.00021531+0.001424i,-0.00023256+0.0015189i,0.00045076+0.001033i,0.00060947+1.1236e-05i,0.00025461-0.00049525i,0.00012324-0.0004974i,4.1835e-05+0.00011209i,-0.00012856+0.0001368i,0.00047567-0.0003785i,0.00032907+0.00023984i,-0.00031005+0.00030543i,-0.00046635+0.00060999i,-0.00091465+0.0011058i,-0.0013359-1.9433e-05i,-0.0013404-0.0010215i
0.0015229+0.00026661i,0.0012645-0.00024272i,0.0006014-0.00010022i,-0.00024496-0.00089253i,-0.00097772-0.002061i,-0.00094284-0.001672i,-0.00019642-0.00044585i,0.00039994+0.00025516i,0.00089009+0.00017599i,0.00069649+3.5818e-05i,-0.00066282+0.00041647i,-0.00083751+0.0006343i,-0.00023074+0.00041179i,-3.4033e-05+0.0001958i,0.00017587+0.00040579i,-0.00029724+0.00070187i,-9.6302e-06+0.00036722i,0.00072749-0.0001824i,0.00062877+0.00024798i,0.00017326+0.00056356i,-4.9167e-05+0.0006278i,0.00012029+0.00057443i,0.00039469+0.00027431i
0.0010909+0.00060191i,0.000863+0.00079509i,0.00099004+0.00034039i,0.00059418+0.00026404i,-0.0006287-0.00023592i,-0.0014464-1.291e-05i,-0.00063461+0.00026746i,0.00034383+0.00025023i,0.00053891+0.0002752i,0.00064632+0.00029708i,0.00066083+0.00058651i,0.00039746+0.00079615i,7.9238e-07+0.00017107i,-0.00022975-0.00029629i,-0.00034715-0.00015934i,-0.00017266+0.00015617i,-0.00024779+0.00052756i,-0.00062878+0.00047512i,-0.00058884-0.00047537i,0.00078695-0.0010469i,0.0013582-0.00011514i,0.0002607+0.00049804i,-0.00018571+0.00060326i
0.0022177+0.00066115i,0.0012794-0.00067383i,0.00092882-0.0017076i,0.0011957-0.0014539i,0.00060808-0.001494i,-0.00018417-0.0016247i,-0.00047762-0.00061461i,-0.00077585+0.00055705i,-0.00085888+0.00099193i,-7.0574e-05+0.00063328i,0.00063968+0.00042425i,0.00079508+2.8168e-05i,0.0010485-0.00081737i,0.00073676-0.00071846i,-0.00020795-0.00048053i,-0.00089152-0.00033038i,-0.0011401+0.00051765i,-0.00077104+0.00010609i,-0.00023048-0.00022746i,-2.0432e-05-0.00017177i,-0.00013485-7.28e-05i,6.8264e-06+0.00021686i,0.00031734-0.00012325i
-0.0011376+0.00019784i,-0.00066537-0.00010475i,-0.00028174-0.00013842i,-0.00015046-0.00064923i,0.00030006-0.0011974i,5.7255e-05-0.0012265i,-0.00069137-0.00060231i,-0.00067774+0.00046798i,0.00044908+0.0011037i,0.001032+0.0010022i,0.00037182+0.0010716i,0.00038003+0.00157i,0.0010652+0.00049371i,0.001012-0.00043258i,0.00011932-8.5023e-05i,-0.00069289-4.8042e-05i,-0.00049289-0.00066669i,-0.00019253-0.00073529i,0.00017211-0.00029826i,0.00061314-3.5083e-05i,0.00072424+0.00072874i,0.00019023+0.0013263i,-3.7823e-05+0.00093927i
0.00022732+0.00042956i,0.00066815-2.7362e-05i,0.00016814-0.0010009i,-0.00065714-0.0008313i,-0.00088942-0.00053257i,-0.00044655-0.00022664i,-0.00031897+0.00064076i,0.00053204+0.0010159i,0.001647+8.4697e-05i,0.0014524-2.9666e-06i,3.8023e-05+0.00089944i,0.0001212+0.00094263i,0.00074341+0.00028659i,0.00017544-0.00044125i,-0.00027098-0.00012826i,-0.00054185+3.9077e-05i,-0.00057356-0.00021175i,-0.0005876-0.0001269i,-0.00089113-7.704e-05i,-0.00053866-2.1835e-05i,0.00033557+0.00043779i,0.00068109+0.00022608i,0.00035996+1.6756e-05i
-0.002291-0.00064977i,-0.0024482-0.00022148i,-0.0015925+0.00057609i,-0.00096923+0.00062601i,-0.00066946+0.00065919i,0.00030745+0.00017691i,0.00051644-0.00032363i,0.00037985+0.0006665i,0.00038313+0.0014751i,4.1102e-05+0.0011772i,-0.00028282+0.00081279i,-0.00038811+0.000602i,-0.0001503+0.00023365i,0.00069109+7.0959e-05i,0.00080486+0.00012587i,0.0003007+0.00016314i,-3.0935e-05+0.00018451i,-0.00011825+0.00017317i,-9.2009e-06+0.00021442i,-0.00016164+0.00026089i,-0.00022175+4.3408e-05i,3.4639e-05+0.00013297i,4.8846e-05+0.00054375i
0.0014001+0.00071139i,0.0018058+0.00082793i,0.0017142-0.00030124i,0.0013961-0.00036813i,0.00056645-4.8185e-05i,0.00037226-0.00052527i,0.00049672+0.00038241i,0.00075182+0.00076313i,0.0010338+0.00058474i,0.00057079+0.00080521i,0.00018483+0.0004149i,0.00069828-0.00018271i,0.00064607+0.00021421i,0.00027768+0.00082049i,-0.00024199+0.00081938i,-8.8542e-05+0.00053433i,0.00032347-0.00010989i,-5.8366e-05-0.00028427i,-0.00054467-0.00086944i,-0.0012277-0.0016508i,-0.00039656-0.00085337i,0.00093738-0.00049946i,0.00097278-0.00046668i
