0.0015807+0.0018282i,0.0013062+0.001482i,0.00064571+0.0011742i,-0.00024729+0.00070565i,-0.0012775+0.0007276i,-0.0019965+0.0014959i,-0.0013151+0.0019106i,-0.00065005+0.0020603i,5.9036e-06+0.0015812i,0.00086518+0.00055112i,0.0012933-0.00021342i,0.00082429-6.7937e-05i,0.00034317-0.00024357i,0.00049518-0.00035564i,0.00029972+0.00032797i,-0.00029482+0.00016991i,2.6755e-05-0.00014079i,0.00074863+2.7951e-05i,0.0008855+9.3986e-05i,0.00057749-0.00017505i,0.00021318-0.00061445i,3.714e-05-0.00083448i,9.6845e-05-0.00084375i
-0.0011658+0.00012646i,-0.0018068+0.0010201i,-0.0018589+0.0021472i,-0.0010161+0.0024655i,-0.00071351+0.002445i,-0.00057141+0.0023985i,-0.00031032+0.0027919i,-0.0005281+0.0027471i,-0.00058919+0.0016299i,0.00021196+0.0010098i,-0.00010022+0.0010642i,-8.0699e-05+0.00066828i,0.0010275-0.00044422i,0.0011239-0.0011984i,0.00071906-0.00070509i,0.00021411-0.00059681i,0.00038189-0.00091212i,0.00081927-0.00064357i,0.00051598-0.00046827i,-8.3403e-05-0.00086993i,-0.00040688-0.00041672i,-0.00015337+0.00056336i,-0.00026242+0.00063024i
-0.001133-0.00039266i,-0.00018461-0.00066708i,-6.978e-06+0.00052181i,-0.00077584+0.0019698i,-0.0010083+0.0025704i,-0.00019318+0.0021816i,-0.00031825+0.0015584i,-0.00047084+0.00058318i,-0.00051357+0.00035318i,-0.00074008+0.00068083i,-0.00023408+0.00082729i,0.00036445+0.0013645i,0.00027349+0.0008817i,0.00021831-0.00022444i,0.00038521-0.00040388i,0.00054308-0.00016566i,0.00074942-0.00038662i,0.00074092-1.8466e-05i,0.0012966+0.00073175i,0.0011796+0.00041056i,9.3823e-05-0.0002405i,-0.00022116-0.00076378i,-1.6631e-05-0.00040754i
-0.0013088+0.0014629i,-0.0023874+0.0017001i,-0.0013247+0.0028636i,-0.00024612+0.0029693i,-7.1782e-05+0.0024115i,0.00068846+0.0016886i,0.0009308+0.0012262i,0.00083998+0.00053446i,0.00033379-0.00045159i,-0.00040369-0.00096276i,-0.00042366+0.00018137i,-0.00088226+0.0015662i,-0.001197+0.001077i,-0.00043849+0.00023404i,0.00033121-0.00015173i,0.0002381-0.00011562i,0.00041006+0.00027497i,0.00034901+0.00033294i,0.00025508+0.0003426i,0.00028362+0.00052157i,-0.00010336-0.00013439i,-0.00010386-0.00031707i,-0.00024683-0.00029576i
0.0014974-0.00093797i,0.0018419-0.00048043i,0.0014025-0.00030428i,-0.00059007+0.0011462i,-0.0012262+0.0024489i,-0.00082176+0.0026273i,0.00018124+0.0019313i,0.00058157+0.00080607i,0.00019724+0.00018168i,0.00029953+0.00052963i,0.00016618+0.00088992i,3.5281e-05+0.0013784i,0.00015874+0.00079363i,0.00082226-0.00036345i,0.00087755-0.00079588i,1.706e-05-0.00079842i,-0.00038769+2.6393e-05i,3.4432e-06+0.0014945i,0.00051878+0.0014268i,0.0010015+0.00068466i,0.00076587+0.00028751i,-0.00026539-0.00031859i,-9.3125e-05-0.00030752i
0.00043666+0.00037904i,-0.00065565-2.9619e-05i,-0.00091292+0.00038487i,-0.0006332+0.0012348i,-0.0009542+0.0022947i,-0.00046659+0.0021965i,0.00051432+0.0010377i,0.00096152+0.00065004i,0.00089156+0.00073308i,0.00068106+5.9247e-05i,0.00051311-0.00036888i,0.00017933+4.6065e-05i,0.00020707+0.00059306i,0.00048645+0.00052824i,0.00063308+0.00013894i,5.5294e-05-5.2517e-05i,-0.0004928-0.00028151i,0.00025184-1.9181e-05i,0.0011367+0.0004784i,0.00038626+0.00065666i,3.3513e-05+0.00029029i,0.00033709+0.00050391i,-0.00025836+0.00048208i
-0.00044323+0.00096308i,-0.00017294+9.0618e-05i,0.00022023+0.00071725i,-0.00038734+0.0012475i,-0.00038796+0.00095715i,-0.00081023+0.00079109i,-0.0011692+0.00066615i,-0.00079694+0.00094567i,0.00021413+0.0014163i,0.00099844+0.00099294i,0.00068952+0.00044954i,9.2658e-05-0.00029655i,-0.00061719-0.0002918i,-0.00065176+0.00020093i,0.00061727+0.00046201i,0.0010378+1.0968e-05i,0.00075123-0.00029876i,0.00085985-0.00048874i,0.00058265-0.00033606i,0.00031069+8.3368e-05i,0.00018554+6.446e-05i,-0.00028762-0.00051095i,-0.00042294-0.00093762i
0.0020682-0.00086311i,-9.661e-05-0.00062779i,-0.0015071-0.0007576i,-0.0023284-0.0001596i,-0.0032001+0.0010234i,-0.0028148+0.0020563i,-0.0011994+0.0015263i,0.00028877+0.0013061i,0.00076039+0.0012651i,7.1214e-05+0.00013314i,-0.00031898-0.00018404i,-0.00071893+0.00031631i,-0.00092156-0.00027814i,0.00036935-0.00022951i,0.0012746+0.00034913i,0.00085189+0.00068979i,0.00060838+0.0010179i,0.00056454+0.0006712i,0.00031384+6.3016e-05i,0.00030201-0.0002415i,0.00018835-0.00037689i,-9.5771e-05-8.9295e-05i,-0.00010396-8.4848e-05i
-3.1729e-05+0.00042258i,-0.00034689+0.00068463i,0.00062598+0.00053925i,0.00051286+0.0011516i,0.00036342+0.0013717i,0.0010281+0.0011436i,0.00043121+0.0013444i,-0.00051391+0.0014212i,-0.00047307+0.00053302i,0.00016392+0.00068465i,0.00064867+0.00053539i,0.00045575-9.5201e-06i,0.00029224+0.00036544i,0.00028372+9.3069e-05i,0.00014217+4.8092e-05i,-3.5024e-05-0.00015847i,9.0632e-05+0.00025261i,0.00092857+0.00078854i,0.0015155+0.00024772i,0.00075267-0.00055033i,0.00055978-0.0010292i,0.00033856-0.00041029i,-0.00012007+8.4593e-05i
0.0011875+0.00032034i,-0.00024175+5.6793e-05i,-0.00084103+0.0002696i,-0.001246+0.0011682i,-0.0017248+0.0021328i,-0.002213+0.0020807i,-0.0020899+0.0013645i,-0.0015603+0.0010846i,-0.0011743+0.0011707i,0.00012827+0.00076122i,0.00081209+0.00084827i,0.00057102+0.0002686i,0.00012458-0.00018686i,0.00035002-0.00030566i,0.00079085-0.00076203i,-1.4983e-05-0.00036887i,0.0001207-0.0003867i,0.0013464-0.00032807i,0.0011774+0.00012046i,0.00089167+0.00020782i,4.6281e-05+0.00048684i,-0.00040056+0.00088653i,-0.0005835+0.00065338i
0.0028271+0.00021587i,0.0018883+0.00020654i,0.00070453-0.00020564i,-0.00049002+0.0010198i,-0.0014189+0.0016324i,-0.00091827+0.001795i,-8.5547e-05+0.0019132i,5.4634e-05+0.0011496i,0.00040694+0.00089507i,0.0010234+0.0011135i,0.00047531+0.00099708i,-0.0006194+0.0012127i,-0.00043092+0.0011239i,0.00036819+0.00068291i,0.00083968-3.3054e-05i,0.00061366-9.9312e-05i,0.00099881-0.00043028i,0.0010221-0.00072746i,0.00091635-0.0002971i,0.0011169+0.00056711i,0.00041189+0.0005206i,0.00015837-0.00015377i,0.00017899+0.00031201i
-0.0015673+0.00044867i,-0.0010496+6.6398e-05i,0.00024824+0.00067105i,0.0011014+0.0012914i,0.0011603+0.0011877i,0.00029873+0.000886i,-0.00022919+0.0012928i,-0.00051006+0.0022107i,-0.00012834+0.0015502i,0.00021415+0.00050269i,-0.00050161+8.1772e-05i,-0.00050605-5.0174e-05i,-0.00014086+0.00030827i,0.00027004+0.00088915i,0.00022372+0.00043888i,0.00053055-0.00037179i,0.00079793-0.00068156i,0.00060792-0.00046706i,0.00040332-6.5374e-05i,0.00032119+0.00055327i,0.00045485+0.00012335i,-0.000292+0.00021271i,-0.00076008+0.0012046i
0.00056661+0.0016728i,-0.00044613+0.0028057i,-0.00071739+0.0021113i,-0.00039961+0.0009588i,-0.00019456+0.0011541i,-0.00095615+0.0018398i,-0.0017136+0.0015897i,-0.001279+0.0011274i,0.00012369+0.0013039i,0.00066468+0.0014228i,-0.00047515+0.0011174i,-0.0011934+0.00080772i,-0.00067234+0.00024202i,2.6604e-05-0.00045805i,0.00049935-0.00018578i,0.0005523+0.00045816i,0.00040448+0.00033547i,0.00013855+0.00012685i,0.00042407+0.00030611i,0.00028447-7.3784e-06i,8.8415e-05-0.0004099i,0.00024925-0.00027481i,-0.00036659+0.00039088i
0.00060423+0.00024811i,0.00025211+0.00035282i,0.00015037+0.00083543i,0.00038068+0.0013441i,2.5927e-05+0.0012775i,-0.000722+0.00073319i,-0.00034022+0.0011887i,-0.00020788+0.0020923i,-0.00024101+0.0011828i,0.00035053+8.7897e-06i,0.00029516+0.00010188i,-8.4502e-05-0.00022212i,-0.00019743-0.00065756i,0.00032304-0.00024307i,0.00070488-0.00015575i,0.00087467-6.5713e-05i,0.00061252+5.3357e-05i,0.00064334+0.00037329i,0.001098+0.00084914i,5.6812e-05+0.00039066i,-0.00088683+8.325e-05i,-0.00069451+0.00049069i,-0.00022586+3.4963e-05i
0.00034889+0.002432i,0.00057943+0.001627i,6.0738e-05+0.0014065i,-0.00035097+0.00067235i,0.00010857+0.00075885i,0.00016661+0.0014804i,6.6583e-05+0.0011776i,0.0003977+0.00068113i,0.00023319+0.0010613i,0.00014536+0.0010314i,0.0004616+0.00071678i,0.00062921+0.00067345i,0.00060595+0.00074687i,0.00068558+0.00033883i,0.000497-0.00023225i,0.00015597-0.00029961i,-0.00040053-0.00072618i,-0.00022747-0.00052134i,8.3083e-05+0.00025847i,-0.00033513-0.00026811i,-0.0008396-0.00098869i,-0.00070544-0.00052458i,-0.00045929-2.0348e-05i
0.00053087-0.00046461i,0.00069671-0.00066931i,1.3579e-05+0.00021111i,-0.00081366+0.0016815i,-0.001298+0.0023126i,-0.0010872+0.0019776i,-0.0007863+0.0017847i,-0.00042968+0.0014366i,0.00020523+0.00015281i,0.00061055-0.00014601i,-9.2385e-05+0.00037172i,-0.00059827+0.00036957i,-0.00062239+6.3958e-05i,-0.00040467+1.8168e-05i,0.00035533-0.00032406i,0.0004519-0.00093534i,-0.00024656-0.00062884i,8.02e-05+4.2864e-05i,0.001299+9.713e-05i,0.0014624-0.00016414i,0.00092076-0.00015486i,0.0011786-0.00019079i,0.00066975-0.00022252i
-0.00042884-0.00036137i,-0.0016626+0.00038446i,-0.002321+0.00033068i,-0.0017928+0.0006443i,-0.00083928+0.0013784i,-0.00025681+0.0019123i,-0.00037011+0.0014376i,-0.00030356+0.0010757i,-8.5702e-05+0.0011963i,4.6378e-05+0.00054628i,0.00012158+6.217e-05i,-0.00023315-1.9096e-05i,5.5637e-05+0.0001982i,0.00077378+0.00033324i,0.00030805-0.0001078i,-0.0002788-0.00039911i,0.0001212-0.00040629i,0.00035673-0.00066027i,0.00011924-0.0005803i,-4.3524e-05-0.00035195i,0.00029956-0.00022902i,0.00043676+0.00032499i,1.5204e-05+0.00015739i
0.0014363+0.0020125i,0.0022269+0.001925i,0.0025842+0.0014357i,0.0013092+0.0014492i,-3.7664e-05+0.0020751i,-0.00038367+0.0022511i,-0.00058707+0.0015211i,-0.00051896+0.00052001i,0.0006111+0.00028765i,0.00094993+0.00036826i,0.00019556+0.0005581i,-0.0004191+0.00010434i,-0.00011237+0.00033309i,0.00066335+0.00085031i,0.0011772+0.0007595i,0.00093895+0.00045938i,0.00030421-6.6132e-05i,5.4258e-05-0.00057721i,0.00013746-0.00058475i,0.00020399-5.5395e-05i,0.00025958-0.00021389i,-0.00043866-0.00053273i,-0.00072694+5.6578e-05i
-0.001796-0.001301i,-0.0024573-0.0019002i,-0.0029751+0.00025235i,-0.0018715+0.0024562i,-0.00034556+0.0025529i,0.0004941+0.002098i,0.00011423+0.0014163i,-0.0006118+0.0010551i,-0.00065404+0.00062685i,-0.00028555+0.00036611i,-0.00045073+0.000602i,-0.00040707+0.00040386i,0.00070729-0.00013088i,0.000599-0.00050074i,-6.0911e-05-0.0004947i,3.7384e-05-0.00040967i,-0.00019365-0.00040037i,0.00026153-0.00096043i,0.00107-0.00063984i,0.0014981+6.4421e-05i,0.0013512-0.00014431i,0.00047862-0.00023213i,-0.00029337+0.00021599i
-0.0003301+0.00062119i,-0.0008656+0.0011309i,-0.00093277+0.00159i,-0.00067796+0.0017922i,-0.00030866+0.0015205i,-0.0003432+0.00043865i,-0.00065698+0.0002967i,-0.0010366+0.0012934i,-0.00047214+0.00095007i,-2.7578e-06+0.00075014i,-0.00033544+0.00053248i,-0.00027388-6.7167e-05i,-0.00033513-0.00033815i,-0.00072205-0.00035093i,-0.00042959+3.461e-05i,0.00046306+0.00027217i,0.0015593+0.00018934i,0.0015978+0.00021507i,0.00043988+6.3782e-05i,0.00010803-0.0005584i,0.00032587-0.00014619i,-1.4888e-05+0.00033182i,-0.00033037+0.00040325i
0.00070151-8.7185e-05i,-2.1995e-05-0.00067329i,-0.00044407-0.00057001i,-0.00042928+0.00075969i,-0.00072729+0.0022562i,-0.0006474+0.0022171i,-0.00038521+0.0015045i,0.00012278+0.00083447i,0.00056422+0.00029126i,0.00051709+0.00056144i,-0.0002249+0.00030393i,-0.00077407+9.9894e-05i,7.0185e-05+0.0010605i,0.00028918+0.00095124i,-0.0001411+0.00033273i,0.00029501+0.0007785i,0.00022207+0.00082827i,4.8578e-05+0.00036845i,0.00089688+0.00024121i,0.0010656+0.00027142i,0.00069747-0.00019714i,0.00045685-0.00034831i,6.3157e-06-0.00052445i
-0.0012595+0.0016298i,-0.0012392+0.0019233i,-0.00098898+0.0020089i,0.00019288+0.0020149i,0.0016503+0.0017344i,0.0015035+0.00165i,-7.0165e-05+0.0013735i,-0.00038656+0.0009433i,0.00060097+0.00042399i,0.001298-0.00021064i,0.00051934-0.00047374i,-0.00063796-0.00060444i,-0.00072555-0.00065752i,-0.00044902-0.0004389i,-0.00029929+8.3888e-05i,0.00013752+0.0001566i,-0.00045363+0.00028806i,0.00018564+0.00073515i,0.0015934+0.001262i,0.00099923+0.00012299i,6.4341e-05-0.0010236i,-0.0002774-0.00082057i,-0.0011355-0.00065655i
0.0038762-0.00073486i,0.0020346-0.0025203i,0.00092799-0.0023458i,-0.00087831-0.00059486i,-0.0027428+0.0010781i,-0.0016803+0.0022845i,-0.0004106+0.0021503i,-2.9993e-05+0.0013776i,0.00024304+0.00054973i,0.00033623-0.00034719i,0.00016275-0.00058472i,0.00012247-0.00027325i,-0.00070064+5.5989e-06i,-0.00040695-0.00026565i,0.00022492-0.00029528i,0.00017022+0.00036627i,1.6124e-05+0.00024572i,0.00019052-0.00016625i,0.00055958+9.7681e-05i,0.0010993+0.00011108i,0.00077364+0.0002099i,5.2797e-05+0.00086929i,-0.00030069+0.0010782i
-0.00049106+0.00095127i,-0.00099316+0.0010945i,-0.0012287+0.0011849i,-0.0015439+0.0015623i,-0.0011279+0.0016771i,-0.00064944+0.0021401i,-0.00058861+0.0017693i,-0.00015459+0.00090666i,0.00054906+0.00014i,0.00042816-0.00023076i,-2.694e-05-0.00049261i,0.00010267-0.00022648i,0.00082442+0.00028283i,0.0015097+0.00026455i,0.0014797+0.00019966i,0.0009513-0.00012072i,0.00033159-0.00048485i,-7.5854e-05-0.00061099i,0.00022186-0.00035778i,0.00029833-0.00048689i,4.6265e-05-0.00039868i,-0.00054389+0.00043638i,-0.00038294+0.00059939i
0.0031015+0.00167i,0.002609+0.0011243i,0.0017081+0.00080117i,0.00074948+0.0010799i,-0.00036397+0.0017222i,-0.00060745+0.0020904i,-0.00057298+0.0016848i,-0.00032403+0.00063023i,0.00043821+0.00039725i,0.00033928+0.000718i,-0.00038049+0.00019946i,0.00047785-0.00081723i,0.00096436-0.0011063i,0.00034997+8.9223e-06i,-8.0341e-05+0.00086925i,-0.00017297-6.4449e-05i,-0.0007486-0.00059124i,-0.00039677+0.00014411i,0.00064558+0.000298i,0.00099396-0.00037978i,0.0010043-0.00073237i,0.00084345+0.00089641i,0.00049558+0.0017938i
-0.002298-0.0014785i,-0.0033791-0.00039106i,-0.0027914+0.0006579i,-0.0012858+0.0013451i,-0.00067671+0.0015418i,0.00022085+0.0021844i,0.00075694+0.002602i,0.00071222+0.00186i,0.00084299+0.0013622i,0.00076117+0.001674i,0.00011738+0.0016455i,-0.00024389+0.0013947i,-0.00018443+0.0010459i,-5.54e-05+0.00020673i,0.00033219-0.00039134i,7.6585e-06-3.4687e-05i,-0.00019176+0.00067158i,0.00079971+0.00088321i,0.00088343+0.00045641i,0.00038186+0.00032284i,-0.00013366-0.00019083i,-0.0010599-0.00043391i,-0.00088456+0.00029413i
-0.00081749-0.00056314i,0.00054407+0.00072709i,0.00094888+0.001498i,0.0012601+0.0019853i,0.0013705+0.0016352i,0.00074335+0.0012456i,-0.00020875+0.00094523i,-0.00078726+0.00011395i,-0.00078102+0.00019263i,-5.6241e-05+0.00023075i,0.00025697-7.5258e-05i,-0.00016144+0.00054902i,0.00040527+0.00097928i,0.00088769+0.0010723i,0.00063522+0.00094806i,0.00044636+0.00062505i,0.00060955+0.00016098i,0.00093092-0.00085144i,0.0011993-0.0012377i,0.0013152-0.0005034i,0.00047836-0.00041026i,-0.00059511-0.00040607i,-0.0011591+0.00074748i
-0.0015753-0.0011795i,-0.0011282-0.00032617i,-0.0013967+0.0010877i,-0.0014876+0.0023943i,-0.0014306+0.0037531i,-0.0010664+0.0031357i,-0.00019355+0.0015722i,-5.0712e-05+0.0010816i,-0.00056272+0.0014475i,-0.0001701+0.0016376i,0.00072096+0.0013053i,0.0011482+0.00060524i,0.00068409+0.00013935i,0.00039907+0.00010833i,0.00095096-3.7443e-05i,0.00017953-0.00026092i,-0.00013077-0.00067673i,0.00050667-0.00075898i,0.0013292-0.0009735i,0.0011921-0.0010486i,0.00030362-0.00068934i,0.000132-0.0001605i,-0.00028705+1.7365e-05i
-0.001383+0.0018471i,-0.00040159+0.002142i,-0.00016163+0.0030807i,-0.00054149+0.0041862i,8.4941e-05+0.0039429i,0.00063267+0.0021324i,-0.00050429+0.00097676i,-0.00095857+0.00070549i,-0.00041302+0.00042014i,-0.00024678+0.00073045i,-0.00011001+0.0011468i,0.00053197+0.0012927i,0.0010376+0.001405i,0.0011407+0.00075256i,0.00028773+0.00017159i,-0.00094428-0.00014896i,-0.0011306-0.00013766i,1.408e-05-0.00032262i,0.00031265-0.00039602i,-0.00030671-5.2008e-05i,0.00019696+0.00035031i,0.00057437+0.00058882i,0.00019698+0.00034537i
-0.0017538-0.0026933i,-0.0017382-0.0010861i,-0.0014606+0.0011416i,-0.0010614+0.0022381i,-0.0008375+0.0023548i,-0.00081417+0.0016802i,-0.00050404+0.00056474i,-0.00024101+0.00010178i,-0.00068878-0.00010015i,-0.00079921-0.00036306i,-0.00020301-0.00060849i,0.00022428+4.3898e-05i,0.00075161+0.00049762i,0.00082472+0.00056327i,-0.00018457+0.0010833i,-0.00060119+0.00071812i,0.00058404+4.0449e-05i,0.0013654-0.0002169i,0.00074392-0.00021122i,0.00016939-0.00020533i,-0.00027688+0.00033732i,-0.00078732-0.00015524i,-0.00049102-0.00099402i
0.00042341+0.00013508i,0.00039626+0.0016663i,-0.00016807+0.002579i,-0.0012477+0.0024694i,-0.001004+0.0026899i,-0.00059087+0.0032356i,0.00011777+0.0024496i,0.000627+0.0013932i,1.2616e-05+0.00014274i,-0.00013845-0.00023223i,0.00020541+0.00035474i,0.00022539-4.3639e-05i,-9.9683e-07+0.00036804i,-0.00058729+0.00070429i,-0.00022352-4.3882e-05i,0.00053866-5.5145e-06i,-0.00047059+0.00024436i,-0.00092767+4.8044e-05i,0.0001729-7.061e-08i,0.00034182+0.0003928i,-0.00022839+0.00019614i,5.6254e-05-0.00093083i,0.00070186-0.0004917i
-0.00016373+0.00042664i,-0.00012772-0.00094937i,0.00024421-0.00096267i,0.00037002+0.00051353i,-5.3463e-05+0.00077511i,-0.0011159+0.00058421i,-0.0015146+0.001778i,-0.00073363+0.0016577i,-0.00013343+0.00064472i,0.0006691+0.00088709i,0.00047902+0.0011212i,-0.00011889+0.00033449i,-2.0606e-05-3.058e-05i,-0.00018223+0.00022481i,1.898e-05+0.00036937i,0.00076707+0.00022997i,0.0016505-0.00013021i,0.0017829-0.00010074i,0.0014719-0.0007415i,0.0005037-0.0012045i,1.7872e-05-0.00031394i,-0.00019374+0.00090963i,-0.00073707+0.00049242i
0.00033377-4.8656e-05i,-0.00075004+0.00080457i,-0.0011+0.0014584i,-0.0012232+0.001257i,-0.0019974+0.0012838i,-0.0019944+0.0021046i,-0.00029314+0.0013831i,0.00093848+0.00036932i,0.001199-0.00029545i,0.00035869-6.0781e-05i,-0.0010154+2.1721e-06i,-0.0011159+0.00039343i,-0.00047867+0.00096265i,0.00022092+0.00055542i,0.0009606-0.00045001i,0.0010611-0.00060826i,0.00078276-0.00017064i,0.0003698-8.7638e-05i,0.00022654-0.00011499i,0.00033469+2.4517e-05i,0.00046652+0.00043489i,-0.00022377+0.00045714i,-0.0011757-0.0001733i
0.0007674-0.001107i,0.00025044-0.0011362i,0.00048407-0.00042403i,0.00018269+0.0012931i,0.0002487+0.0031518i,4.5986e-05+0.0028417i,-0.0010117+0.0015199i,-0.00080207+0.0011081i,-0.00047506+0.00076626i,-0.00036864+0.00030531i,-3.9515e-05-0.00023903i,-0.00013064-0.00038218i,-0.00013046+0.00037656i,0.00013496+0.00052466i,-0.0001156-2.3463e-05i,-0.00011373+0.00017196i,4.8373e-05+0.00017078i,0.00077809+9.4814e-05i,0.00092266+0.00038958i,0.00015113+5.4531e-06i,0.0002158-5.7878e-05i,0.00015286+0.00038669i,0.00022087+0.000325i
-0.0010588-7.0322e-05i,-0.0014379+0.0013196i,-0.00045687+0.0017502i,-0.0010094+0.0018022i,-0.0010084+0.0016197i,-0.0010047+0.0014086i,-0.0012819+0.0010531i,-0.00044291+0.00065166i,0.00030482+0.00043715i,0.00039553+0.00014345i,5.4368e-05+0.00084861i,0.00021386+0.0011067i,0.001118+0.00030814i,0.0014669+5.2651e-05i,0.00095056+4.2118e-05i,-5.9615e-05-2.1388e-05i,-0.00021927+0.00038477i,0.00078616+0.00060606i,0.0010083-0.00020823i,0.0002609-0.00094708i,-0.00015134-0.0013566i,-0.00074898-0.00058308i,-0.00062678+0.00024849i
0.0010695-0.0035677i,0.0004364-0.002256i,-0.0012939-0.00085809i,-0.0019527+0.00043348i,-0.00063438+0.0018453i,0.00033104+0.0027207i,-0.00011464+0.0015567i,-6.3512e-05+0.00059129i,-1.7498e-06+0.00057311i,-0.00075823+0.00015905i,-0.00056474-0.00018962i,-0.00036088+0.00025014i,-0.00017345+0.00077836i,0.0005096+0.00043828i,0.00034917+0.00013187i,0.00017064+0.00023458i,0.00037832+0.00037649i,3.5722e-06+0.00027109i,0.00031085+0.00015659i,0.0011038-0.00021693i,0.00073913-0.00059006i,0.0001767-0.00023948i,0.00056902+6.3471e-05i
-0.0037025+0.00039617i,-0.0035453+0.00068617i,-0.0022427+0.0021056i,-0.00060388+0.0034167i,0.000669+0.0031569i,0.0005045+0.0024707i,-0.00094597+0.0017328i,-0.0025749+0.00068931i,-0.0030345+0.00076336i,-0.001491+0.0011061i,-0.00012966+0.00058165i,-0.00020169-0.00050465i,-0.00023773-0.0014845i,-0.00022694-0.0016571i,-0.00023636-0.00077286i,-3.7222e-05-0.00010739i,3.9128e-05+0.00013673i,0.00049465+0.00018038i,0.00066706+0.00025372i,0.00018128+9.428e-05i,-0.00011547-0.00069783i,-0.00024869-0.00048866i,1.8083e-05-2.5345e-05i
-0.0007796+0.00069857i,0.00063487+0.00069801i,0.0001854+0.0021786i,-0.00060017+0.0027843i,-0.00067806+0.0027804i,-0.00057313+0.0011106i,-0.00076336+0.00050272i,-0.0012582+0.0012663i,-0.0011864+0.0015947i,-0.00036448+0.0016101i,0.00040015+0.00085032i,0.0010571+0.00031081i,0.0010825+0.00033273i,0.00045369+0.0006004i,0.00037931+0.00031701i,0.00019335-0.00023265i,-0.00029203-0.00056358i,8.7709e-05+0.0001212i,0.00062019+0.0014906i,0.0005661+0.0018176i,-0.00036029+0.0010589i,-0.00074262+0.00012216i,-0.00089609+0.00018203i
-0.0014905+0.00060485i,-0.0023627+0.0014426i,-0.0022451+0.0018438i,-0.0015172+0.0023567i,-0.00045024+0.0021982i,0.00021452+0.0014469i,-0.0002499+0.00050374i,-0.00025729-0.00026983i,0.00044504-2.3064e-05i,0.0005332-1.044e-05i,2.8342e-05+6.4782e-05i,0.00036149+0.0005495i,0.0011954+0.00070969i,0.0012192+0.0001431i,0.0011819-0.00059167i,0.00166-0.0006736i,0.0014501-0.00013928i,0.00051686+0.00029807i,0.00035296+0.00077174i,0.00085484+0.0012401i,0.00088068+0.0010322i,0.0003606+0.00046494i,1.889e-05+0.00029634i
0.0010009-0.0012968i,0.0013687-0.00080733i,-0.0010036+0.00014697i,-0.0022118+0.001418i,-0.0012069+0.0031375i,-0.00019316+0.0036396i,-0.00055163+0.0023597i,-0.00090327+0.0018022i,-0.00091175+0.0018662i,-0.0005232+0.0013921i,0.00068942+0.00105i,0.00057366+0.00061389i,6.1258e-05+0.00019691i,0.00034476+0.00046408i,0.00058312+0.00094001i,-0.00038868+0.00054278i,-0.0013477-0.00016269i,-0.0011394+0.00023993i,-0.00087278+0.00031656i,-0.00051307-0.00012326i,0.00021072-9.9243e-05i,0.00037876+0.00030442i,-0.00040099-2.3762e-06i
-0.00076543+0.00078246i,-0.0020944+0.001172i,-0.0019927+0.0019554i,-0.001278+0.0023854i,-0.00040342+0.0024616i,0.00016445+0.0023894i,0.00055771+0.0020545i,0.00011826+0.0014987i,-0.00019659+0.00078667i,0.00025474+0.00028672i,-0.00021367+0.00014579i,-8.6601e-05+0.00082543i,7.9584e-06+0.0016376i,-5.6387e-05+0.0012631i,5.256e-05+0.00046108i,0.00065295-2.2383e-05i,0.00095406+0.00019971i,0.00096469+0.00055348i,0.0015871+0.00055278i,0.00099903+0.00031813i,-0.00019037-0.00031098i,-0.00046212-0.00028053i,2.7741e-05+0.00017557i
0.0033391+0.0023831i,0.0021365+7.9535e-05i,0.0003661-0.0018481i,2.0357e-05-0.00092939i,-0.00025867+0.00014286i,-0.00091907+0.00086902i,-0.00053163+0.0015201i,-1.6126e-05+0.0020143i,0.00023125+0.0020443i,0.00027477+0.00069473i,0.00021972-9.9578e-05i,6.5496e-05+1.7754e-05i,0.00028444-8.3868e-05i,0.00050019+3.5699e-05i,5.4858e-05+0.00017496i,0.00021721-0.00041924i,0.00029202-0.00021139i,0.00027106+0.00047369i,0.00069308+0.0011373i,0.00078094+0.00093505i,0.00091604+1.0091e-05i,0.00020883-4.0682e-05i,-0.00093895+0.00050693i
-0.00010801+9.9948e-05i,-0.0010775-8.8793e-05i,-0.00068266+0.00021327i,0.0002364-0.00041172i,0.00029945-0.00060844i,-0.00013431+0.00038136i,-1.1524e-05+0.0015041i,0.00010412+0.001915i,-0.00018344+0.0014526i,-0.00019012+0.00032039i,-0.00060215-0.0001314i,-0.00089528-0.00011147i,-8.9522e-05+0.00011221i,0.00059366+0.00058549i,0.00062022+0.00018282i,-0.00011303+0.0008381i,-0.00084222+0.0020098i,-0.00032296+0.0012001i,0.00035281+0.00010426i,-8.0802e-05+0.00046855i,-4.2632e-05+0.00023631i,0.00069501-0.00017304i,0.00011504-7.048e-05i
0.00019159+0.00028981i,0.00027051+0.0010731i,-0.00057304+0.001003i,-0.0013734+0.0017158i,-0.0013349+0.0015236i,-0.0016347+0.0012963i,-0.0014259+0.0011641i,-0.0016766+0.00041741i,-0.0013743+0.00013102i,-0.00064125+0.00050801i,-0.00031542+0.00022479i,0.00020935-0.00016144i,0.00057817+0.00026514i,0.00072862+0.0004995i,0.00027202+0.00042468i,-0.00024571-0.00032318i,5.6282e-05-0.00068876i,0.0001956-0.0008369i,7.5156e-05-0.00040893i,-5.7529e-05+0.0002065i,7.2571e-06+0.0001397i,0.00016003+0.000105i,-0.00038013+0.00045984i
