-0.002464+0.00041246i,-0.0029503+0.0003137i,-0.0033856+0.00082373i,-0.0014561+0.0011216i,-0.00052489+0.001741i,3.783e-05+0.0021212i,0.00065114+0.0025996i,0.00094203+0.0027561i,0.0014821+0.0014802i,0.002365-0.00034452i,0.0015451-0.00069696i,0.00023402-0.00090474i,0.00027745-0.00084138i,0.00032927-0.00020477i,7.7523e-05+0.00022463i,5.6242e-06+0.00023043i,0.00022348-6.0099e-06i,0.00032532-8.3814e-05i,0.00039685-0.00014046i,0.00010425-0.00014694i,5.3748e-05-0.00031923i,-0.00040653-0.00032275i,-0.00057796+0.0002953i
-0.00072251-0.00086747i,-0.00039769-0.00045328i,0.00037943-0.0005965i,0.0008853-0.0011129i,0.00046328-0.00053347i,-0.00025943+0.00069953i,-0.0010469+0.00086952i,-0.00047953-0.00023642i,0.0010012-0.0013538i,0.00076062-0.0015901i,-0.00063632-0.0013165i,-0.0012381-0.00028307i,-0.00082595+0.00062378i,-0.00069819+0.0010388i,-0.00050092+0.00055887i,0.00039582+6.6853e-05i,0.001247-0.00033417i,0.0011442-0.00070186i,0.00091438-0.00038218i,0.001315-1.1364e-05i,0.0014117-0.00029957i,0.0011917-0.00071328i,0.0008477-0.0011729i
-4.8606e-05+0.0023354i,0.00040996+0.0022643i,0.0017414+0.0021522i,0.0023588+0.00081016i,0.0019633-0.0004171i,0.00088449-0.00067358i,-0.00028451+2.607e-05i,-0.00049409+0.00017018i,-0.00031301+7.7376e-05i,-0.00030122+0.00021963i,-0.00011726+0.00031952i,0.00023238+0.00071814i,0.00085968+0.0007099i,0.00068447+0.00047977i,-0.00024385+0.00075763i,-0.00012699+0.00046827i,0.00086291+0.00035231i,0.00094894+5.3258e-06i,0.0009195-0.0008762i,0.00093758-0.00081861i,0.00095205+0.0001799i,0.00079521+0.00066112i,0.00057385+0.00067079i
-0.00068152-0.0011229i,-0.0011582-0.0013369i,-0.00090863-0.0019816i,-0.00063763-0.00027927i,-0.001078+0.0013147i,-0.00069192+0.0014523i,-0.0001113+0.0012105i,-0.00014247+0.0010599i,-0.00048344+0.0011387i,-0.00073335+0.0010366i,-0.00095893+0.0011709i,-0.0012222+0.0017549i,-0.00046054+0.0017874i,0.00043992+0.001586i,0.00089678+0.00122i,0.0010189+0.00040045i,0.00057268-0.00043005i,0.00060051-0.00079949i,0.00038387-0.00094679i,-0.00029943-0.00085807i,-0.00039383-0.00019821i,-6.2649e-05-0.00033027i,0.00018073-0.00084126i
0.00080656+0.00011746i,0.00084001-0.00033502i,-0.00013166+0.0007301i,0.00040303+0.0013594i,0.00015053+0.001443i,-0.00071878+0.0010865i,-0.0013031+0.0013076i,-0.001365+0.0020903i,-0.00054905+0.0022879i,0.00063743+0.001754i,0.0014327+0.0012094i,0.0014857+0.00060849i,0.0015446+0.00054669i,0.0012284+0.0003309i,0.00030666-0.00094746i,-6.0471e-05-0.0010389i,-0.0003464-0.00054555i,-0.00043824-0.00059886i,9.3819e-05+0.0001264i,0.0011424+6.6709e-05i,0.0013049-0.00043009i,0.00038666-0.00073144i,-0.00042429-0.00039632i
0.00051962-0.00077674i,0.00098702-0.0012461i,0.00055643-0.0018322i,0.0010054-0.00074619i,0.0012157+0.00022577i,0.00064495+0.00052714i,0.00056532+0.00070182i,0.00077973+0.0007793i,0.0012032+0.00038592i,0.0023142+0.00068684i,0.0025911+0.0010592i,0.0018831+1.0093e-05i,0.00071591-0.00084654i,-0.00073463-0.00077022i,-0.0010915-1.7424e-05i,-0.0011275+0.00035499i,-0.0012261-0.00017682i,-0.00087665-0.00017331i,-0.00033973+0.00025963i,-0.00037982+0.00036869i,-0.00080307+0.00038491i,-0.00076553+0.00025843i,-0.0003422+0.00011764i
-0.0011739-0.0016663i,-0.0015173-0.0015006i,-0.0014462-0.0007274i,-0.00136+0.00077614i,-0.0010782+0.0017827i,-0.00036443+0.0028839i,0.00011453+0.0028801i,0.00096188+0.0024961i,0.0024088+0.001984i,0.0037095+0.001024i,0.0030933-7.6848e-05i,0.00052127-0.0009509i,-0.0013622-0.00010663i,-0.0014278+0.00059069i,-0.001118+0.00071279i,-0.0014278+0.00085392i,-0.00076793+0.0001406i,1.7456e-05-0.00015808i,-0.00048974+0.00021005i,-0.00063961-0.00012865i,-0.00014151-0.00026407i,0.00020111+0.00061197i,-0.00028196+0.00062469i
-0.00023296+0.00025629i,-0.00015613-0.0011932i,0.00062468-0.0015393i,0.0012022-0.0018953i,0.00033185-0.0029111i,-0.0013014-0.001674i,-0.00094928+0.00037747i,0.00066795+0.00072133i,0.0019307+0.00022381i,0.0017181-0.0013181i,0.00068618-0.0021288i,-0.00041331-0.00065392i,-0.0014128+0.0008413i,-0.0014716+0.0011732i,-0.0012377+0.0012218i,-0.00052879+0.00098893i,0.00050885+0.00096037i,0.0015055+0.00064565i,0.0011803-0.00018727i,0.00024326-0.00083627i,0.00063272-0.00095767i,0.00040974-0.00074171i,6.1484e-05-0.0008136i
8.6017e-05+0.0012892i,-8.1705e-05-0.00037479i,0.00096072+0.00026526i,0.0013056+0.001565i,0.0012022+0.0016734i,0.00044988+0.0013642i,-0.00019847+0.0016007i,0.00059383+0.0010522i,0.0016819-0.00037052i,0.0018706-0.0011488i,0.00084006-0.00058555i,-1.3499e-05-0.00029752i,-0.00035744-0.00016932i,-0.0003599-6.6963e-05i,6.9765e-05+8.6046e-05i,0.0008672+0.00066937i,0.0017688+7.5477e-07i,0.001648-0.00034122i,0.00078837-1.4602e-05i,0.0011406+6.7343e-05i,0.0016561-0.00035002i,0.00085962-0.0005386i,-0.00014769-0.00029104i
-0.0002812-0.0024361i,0.00062461-0.0019378i,1.9404e-05-0.0013456i,-0.0001262-0.0010728i,-0.00041776+0.00015432i,-0.00097341+0.0016431i,-0.0015117+0.0012516i,-0.0014015+0.0012581i,-0.00092764+0.0011345i,-0.00049408-0.00055906i,-5.6533e-05-0.00092224i,-1.7836e-05-0.00043899i,-0.00036446+0.00014932i,-0.00044133+0.00042675i,0.00061258+0.00092483i,0.0012264+0.0011896i,0.00046217-3.0734e-06i,-2.486e-05-0.0009786i,0.00075352-0.00085664i,0.00081475+0.00016579i,0.00081432+0.00035591i,0.0010353+0.00063747i,0.00052029+9.8874e-05i
0.0027816+0.0012161i,0.0022221+0.00049038i,0.0030701-0.00077698i,0.002981-0.0013242i,0.0017597-0.0017144i,0.00067377-0.00061454i,-0.00057008+0.00031185i,-0.0012256+2.6011e-05i,-0.00027957-0.00038177i,0.00042649-8.0919e-05i,0.00015481+0.00041938i,-8.9236e-05+0.00041787i,0.00046969+0.00019903i,0.00036549+9.3684e-05i,0.00045271-3.0617e-05i,0.0014428-0.00026106i,0.00070774-0.00048788i,0.000377-0.00075269i,0.00070868-0.0010837i,-4.2852e-05-0.00086216i,-0.00028281-0.00025973i,0.00060406-3.3577e-05i,0.00084126-8.414e-05i
-0.00042285-0.0032382i,-0.0021496-0.0031862i,-0.0028464-0.0032899i,-0.0017142-0.0021216i,-0.0011433+0.00022914i,-0.0014787+0.00069238i,-0.0016036+0.00091881i,-0.00077522+0.0027409i,-0.00038889+0.0037762i,0.00037518+0.0029389i,0.00081738+0.0018127i,0.00013053+0.00093815i,-0.00025891+0.00057078i,-0.00024842-0.00037185i,4.9272e-05-0.00094359i,0.0004156-0.00026089i,0.00017307+0.00030075i,-0.00051538+0.00059681i,-0.00012369+0.00019118i,0.00034727-0.00014105i,-0.00011722-0.00049671i,0.00023423-0.00070556i,0.00016169-0.00085322i
0.0030336-0.0025017i,0.0031239-0.002894i,0.001773-0.0027192i,0.00092464-0.001776i,0.00027899-0.00021404i,-0.0013404+0.00086733i,-0.0010001+0.0017589i,-2.8358e-06+0.0024047i,0.00048488+0.0015412i,0.001611+0.00073885i,0.0019804+0.0006723i,0.00076745-0.00016051i,-0.00068039-0.0010381i,-0.00088468-0.00048591i,-0.00060957-0.00025844i,7.2075e-05-0.00065113i,0.00067028-0.00085213i,0.00058339-0.00079427i,0.00028581-0.00064337i,0.00027573-0.00014121i,-0.00068563-0.00033171i,-0.00070413-0.0010834i,-0.00044623-0.00095038i
-0.00117+0.002788i,-0.00089923+0.0021451i,-0.0013088+0.0018791i,-0.00088401+0.0016242i,0.00018219+0.0015712i,0.00076734+0.00075793i,0.00057686+0.00034556i,0.0007054+0.00025401i,0.0021627+0.00029202i,0.0041863+0.00048232i,0.0042626+0.00060683i,0.0017569+0.00072547i,-3.6801e-05+0.00051616i,-0.00040837+0.00040287i,-0.00041926+0.00017795i,-0.00019464+0.00040561i,0.00047571+0.00073017i,0.0010184+0.00039355i,0.0009471+8.4512e-05i,0.00092501+0.00041013i,0.0011187+0.00070569i,0.00074151+0.00030335i,0.00017151-0.00034453i
-0.00055624+0.00044052i,-0.00016926+0.0011832i,0.00053498+0.0020405i,0.00081465+0.001161i,0.00051742+0.00071452i,-4.2983e-05+0.0017873i,-0.00062888+0.002169i,-0.0004947+0.00056702i,0.00021693-0.0010922i,0.0015522-0.0022862i,0.0018064-0.0028831i,0.00083616-0.0016468i,0.00062443+0.00057668i,0.00070568+0.0017953i,0.00032761+0.0010856i,0.00011227-0.00038835i,-8.7674e-05-0.00099034i,6.6891e-05-0.0008721i,0.00055945-0.00044228i,0.00097935+0.00043828i,0.0013308+0.00097322i,0.00098206+0.00112i,0.00068287+0.00063925i
0.0011759+9.92e-05i,-0.00020766+0.00075217i,-8.2598e-05+0.00047i,0.0011716+0.00042682i,0.0015635+0.0002094i,0.00090261-0.00028266i,5.0145e-05+0.00053307i,-0.00047566+0.0016488i,-8.1006e-05+0.00096089i,-0.00014248-0.00043945i,-0.00039397-0.00080987i,0.00046831-0.00038428i,0.00081733+2.2798e-05i,0.00013989+0.00038835i,-5.1009e-05+0.00067835i,0.00031708+0.00090803i,0.00058706+5.2066e-05i,0.00046408-0.00035186i,0.00067349-0.00025893i,0.0010725-0.0005196i,0.0011193-7.6038e-05i,0.00079448+0.00035044i,0.00053052-8.0652e-05i
0.00047266-0.0018592i,0.00014197-0.0017459i,-0.00040387-0.00070119i,-0.0006347+9.3451e-05i,-0.0012151+5.3183e-05i,-0.0012041+0.0007195i,-0.00083623+0.0012868i,-0.0010896+0.0013817i,-0.0014172+0.0011151i,-0.0015805+0.0014745i,-0.0014175+0.0008137i,-0.0011336-0.00052203i,-0.00059755-0.00021402i,-0.00015426-0.0001388i,-0.00052548-2.1468e-05i,-0.00075198-5.4003e-05i,-0.0004553-0.00050513i,-0.00017587-0.00077204i,0.00018063-0.0010488i,0.00020158-0.00077874i,0.00017603-0.00044711i,0.00078289-0.00056324i,0.00054903+7.7204e-05i
0.0021771-0.0012196i,0.0024422-0.0019582i,0.0025838-0.0018054i,0.0016985-0.00056262i,0.00051736-0.000173i,-0.0003868-0.00035434i,-0.00010766+9.4521e-05i,0.00045051+0.0011461i,-0.00018042+0.0022581i,-0.00072134+0.0017603i,-0.0010252+0.00074444i,-0.0014742+0.00060125i,-0.0012034+5.98e-05i,-0.00025376+9.2886e-06i,-0.0001825+0.00024253i,-0.00060922-4.1154e-05i,-0.00042857+9.7728e-05i,0.00041994+0.00045379i,0.00047055+0.00096331i,-5.2283e-06+0.00075411i,0.00025428+0.00032786i,0.00059182-0.00020616i,0.00037534-0.00050156i
0.00091121+0.0006186i,0.00074933+0.00034159i,0.0013901+0.00052069i,0.0010862+0.00074444i,6.455e-05+0.00064027i,0.00028103+0.00091478i,0.00063547+0.0020247i,0.0011218+0.0025955i,0.0019167+0.0028289i,0.0020952+0.001933i,0.0014815+0.00060288i,1.4257e-05+5.7924e-05i,-0.00088551-0.00021923i,-0.00053191-0.0003667i,-1.29e-05-0.00032738i,0.00058821+0.00039868i,0.00072942+0.0012767i,0.00016948+0.00088926i,-0.00048819-0.00020218i,-0.00043517-0.00032534i,2.5068e-05-2.4286e-06i,0.0006575-8.4999e-05i,0.00059233-0.00053898i
0.0014662+0.0018787i,0.0012054+0.0013524i,0.0012294+0.00028i,0.0013104-0.00089446i,0.00068853-0.0010721i,-0.0015483-0.0012094i,-0.0018944-0.00073075i,-0.00045262-0.00017017i,0.0017442-2.9212e-05i,0.0037445-0.00040426i,0.0039215-0.00019478i,0.0021116+0.00028606i,0.00063562-0.00018044i,0.00097858-0.00079573i,0.00029991-0.00047523i,-0.00022957-9.9611e-05i,0.00018898-0.00075671i,0.00058593-0.00078911i,4.066e-05+0.00048703i,-0.00061827+0.0017828i,0.00013388+0.0013056i,0.0015631+7.4131e-05i,0.0016061-0.00038575i
0.0012211-0.00018595i,0.0013991-6.8236e-05i,0.0013801-9.1682e-05i,0.0013982-0.00081103i,0.0012072-0.00089182i,9.1605e-05-8.9889e-05i,-0.0011988+0.00065501i,-0.00063455+0.00076017i,0.001516-0.00029114i,0.0030546-0.0017013i,0.0020626-0.002095i,0.00032393-0.0012303i,-0.00047858+0.00041245i,-0.00093121+0.00086485i,-0.0014933-1.5561e-05i,-0.00067884-0.00061563i,0.00032829-0.00043543i,0.00073657-0.00025863i,0.00063756+0.00039924i,0.00071986+0.0012377i,0.0014596+0.00080376i,0.0011653+0.00035441i,0.00068383-0.00051786i
-0.00022772-0.00058971i,-0.00032449-0.0024038i,-0.00052271-0.0026954i,-0.00059714-0.00083515i,-0.00021158+0.00066155i,3.4638e-05+0.0016506i,-0.00067617+0.0022212i,-0.00076276+0.0017064i,0.00027754+0.00092611i,0.00092145-0.00074451i,0.00043119-0.0021549i,-7.9547e-05-0.0012549i,0.00052067+0.0004614i,0.00060961+0.0012402i,0.00030293+0.0015146i,0.00017601+0.0012665i,0.00038877+0.00059167i,0.00048118+0.00044035i,0.00075456+0.00059155i,0.001563-0.00027816i,0.0013032-0.00089773i,0.00019888-0.00054588i,-0.00042245-0.00024506i
0.00034373-0.0014796i,0.00063009-0.0019165i,0.00081084-0.0017276i,0.0010082-0.0016235i,0.00059642-0.0012264i,-0.00021407-0.0003328i,-0.0010768+0.00055921i,-0.001459+0.00078609i,-0.00082347-0.00027333i,-0.00011182-0.00076951i,-0.00096081-0.00070142i,-0.00094802-0.00030659i,0.00023298+0.0005308i,0.00039466+0.00076019i,0.00080292+0.00072264i,0.00074744+0.00076076i,-0.00011006+0.00046316i,-0.00072886-0.00059689i,8.8344e-06-0.0015381i,0.00092408-0.0015499i,0.00063252-0.00037846i,6.4295e-06+0.00043765i,-0.00049725-4.9765e-05i
-0.0048088-0.00039176i,-0.0048968-0.001421i,-0.0042308+0.00046817i,-0.0021097+0.0026825i,-3.5065e-06+0.0037144i,0.0019704+0.0027421i,0.0018708+0.0017477i,0.00041761+0.0019693i,-0.0010298+0.0025817i,-0.0017718+0.0024413i,-0.0022597+0.0017565i,-0.0017445+0.0016922i,-0.00062618+0.0012237i,0.00023274-7.6157e-05i,0.001298-6.2952e-05i,0.0010057+0.00019329i,-0.00060216-6.5965e-05i,-0.0005689-0.0006252i,-5.7878e-05-0.00091698i,-0.00041896-0.00052563i,-0.00027127+0.00039949i,5.1161e-05+0.00087254i,0.00015544+0.00033644i
0.0039471-0.00017175i,0.0040946-0.00047613i,0.0044634-0.0013229i,0.0023572-0.0022595i,-1.5591e-05-0.0024754i,-0.0013052-0.00083638i,-0.0014945+0.00082414i,-0.00095487+0.0020904i,-0.00012889+0.0024245i,0.00066178+0.0016449i,0.00034378+0.0017605i,0.0001143+0.0013805i,0.00032897-2.4447e-05i,0.00062509-0.0009464i,0.00054298-0.00075872i,0.00048453-0.00060089i,0.0002686+4.0442e-06i,-0.00017688+0.00028618i,-8.2015e-05-0.00013043i,2.6211e-05+0.00022194i,0.00018152+0.00034785i,0.00086427-0.00055288i,0.0011458-0.00032553i
0.0014146+0.0021993i,0.0029416+0.001338i,0.0037694+0.0011327i,0.0028181+0.0012003i,0.0012204+0.0021476i,-0.0005075+0.0024379i,-0.0010337+0.0016426i,0.00045813+0.0019726i,0.0020273+0.0030212i,0.0026763+0.002898i,0.0023318+0.0018728i,0.0015266+0.0012288i,0.0011551+0.0010694i,0.00052512-0.00022821i,3.0987e-05-0.0011259i,7.441e-05-0.00090878i,0.0010588+1.9338e-05i,0.0010936+0.00096571i,-0.00016967+0.0011412i,-0.00041732+0.0012355i,0.00026016+0.001433i,0.00084268+0.00025352i,0.00080931-0.00090164i
-0.00019456-0.0020252i,-0.0008289-0.001844i,-0.00091388-0.0013263i,-0.00027616-0.0013412i,0.00028908-0.0010852i,0.00091044+0.00083563i,0.0013362+0.0018775i,0.002094+0.0017755i,0.0037071+0.0022711i,0.0049767+0.0017672i,0.0041511+0.00040613i,0.0024082-0.00035597i,0.00098414-0.00072809i,-0.00045855-0.00065397i,-0.0010011-0.00017963i,-0.00037152-0.00022807i,0.00028258-0.0010318i,0.00071685-0.0011617i,0.00090593+0.00067312i,0.001001+0.0014093i,0.00082801+0.00025198i,0.00053117-0.00041778i,7.8081e-05-0.00043367i
0.00084454+0.00012108i,0.0014318-4.9246e-05i,0.0016922+0.00057073i,0.002379+0.0023779i,0.0023427+0.0020063i,0.00066356+0.000329i,-0.00079342-0.00011028i,-0.00049351-0.0008611i,0.0011083-0.0018709i,0.002854-0.0024394i,0.0029301-0.0036753i,0.0018097-0.0038588i,0.00027411-0.0025868i,-0.0013908-0.0011123i,-0.0014481+0.00033208i,-0.00078565+0.00057177i,-0.00046136+6.2022e-05i,0.00036343-0.00010361i,0.00053529+0.00057428i,0.00050632+0.00091919i,0.00081016+0.00026019i,0.0002085+0.00019077i,-0.00045197+0.00036775i
-0.0031755+0.0010183i,-0.0031982+0.0010708i,-0.0036023+0.0009675i,-0.0024441-0.00028355i,-0.00094689+0.00022075i,0.00011656+0.00056356i,-0.00013896-9.9249e-05i,-0.001455-0.00056033i,-0.0011661-0.0012458i,-6.1477e-05-0.0014745i,8.0151e-05-0.0020696i,-0.00077733-0.0022679i,-0.0019273-0.00062612i,-0.0016929+0.00093156i,-0.00086631+0.0015107i,-0.00019665+0.0012165i,-0.00021652+0.00022658i,-0.00028177-0.00052594i,0.00034909-0.0011559i,0.00077735-0.00097631i,0.00077005-0.0003006i,0.0006542-4.5486e-05i,0.00085473-0.00033327i
-0.0027904-0.00061807i,-0.002103-0.00081028i,-0.00055323+0.00016663i,0.0016872+0.0018533i,0.0021667+0.0030831i,0.0013193+0.0019763i,-0.0002378+0.00036177i,-0.001986-0.00010081i,-0.0025719-0.00048786i,-0.0021673-0.00079975i,-0.0024372-0.0010205i,-0.0027188-0.00038082i,-0.0018692+0.0007995i,-0.00026629+0.0014231i,0.00016352+0.0016321i,-0.00021125+0.0013268i,0.0003717-0.00031883i,0.001048-0.001148i,0.00060601-0.00039373i,-9.6613e-05+0.00020155i,0.00036164+0.00045142i,0.0010382+0.00054263i,0.00046495+0.00033213i
0.0022562-0.00065118i,0.0025397-4.5839e-05i,0.0006432-0.00017051i,-0.0010589-0.00088865i,-0.0018761-0.0009673i,-0.001695-0.00039239i,-0.0013399+0.00092568i,-0.0021524+0.0026673i,-0.002313+0.0032817i,-0.0013914+0.0029527i,-0.0014516+0.002132i,-0.0012378+0.0014125i,0.00025676+0.00066447i,0.0015069-0.00048041i,0.00176-0.00062202i,0.0012781-0.00013321i,0.00025691+0.00031524i,-0.00016566+0.00031991i,-0.00045526+0.00028753i,-0.0011123+0.00028698i,-0.00012331+0.00038982i,0.00079042+0.00046104i,0.00084247+0.00023341i
0.0019342+0.00092752i,0.0018514-2.4423e-05i,0.0016366+0.00064996i,0.0018901+0.0016075i,0.0020888+0.0025144i,-0.00015071+0.0025002i,-0.001811+0.0021877i,-0.00073506+0.0028271i,0.0012982+0.0040251i,0.0022183+0.0042341i,0.0015904+0.0037113i,0.0012724+0.0037519i,0.001204+0.0024922i,0.0010686+0.00026448i,0.0012769-0.00073787i,0.0014369-0.00098276i,0.00050717-0.00051216i,0.00063325+0.00011755i,0.0016809+0.00020267i,0.001307+0.0007213i,0.00037286+0.00086604i,-0.00014567+8.7603e-05i,4.2576e-05-4.5033e-05i
-0.0021533+0.0004002i,-0.0019381+0.0011398i,-0.0016463+0.0015763i,-0.0014776+0.0010431i,-0.00016754-0.00014515i,0.00084823+0.00041639i,0.00050858+0.0018288i,0.0014211+0.0025013i,0.0023073+0.0035674i,0.0028425+0.003494i,0.0038794+0.0023933i,0.0033964+0.0017842i,0.0020103+0.00075805i,0.00089042-0.00044597i,0.00071509-0.00094558i,0.0012329-0.0010513i,0.00088031-0.00069694i,-0.00011102-0.0007837i,-0.00021358-0.00096086i,0.00012011-0.0006515i,0.00011802+0.00013316i,-0.00050159+0.00073061i,-0.00082597+9.0145e-05i
0.001101-0.00046964i,0.00074182-0.00090763i,0.0017861+6.1491e-05i,0.002854+0.0010253i,0.0018766+0.00088113i,0.00062902+0.00076868i,0.00060546+0.0015295i,0.0016888+0.0012292i,0.0038048+4.6575e-05i,0.0046821-0.00086047i,0.0039569-0.0015288i,0.0030227-0.0017538i,0.0011844-0.0019185i,-0.0004406-0.0018416i,-0.00090198-0.0011456i,-0.001043-0.00047635i,-0.0008208-0.00058865i,-0.00061425-0.00088894i,-1.129e-05-1.3166e-05i,-7.086e-07+0.00049873i,-0.00064305+5.2275e-05i,4.7434e-05+0.00020818i,0.00066472-8.4053e-05i
0.00055569-0.0022612i,-0.0011421-0.0029154i,-0.0013133-0.0027472i,-0.0018608-0.00092859i,-0.0023839+0.00020102i,-0.0021467+0.0011268i,-0.00042146+0.0015396i,0.0012627+0.00015162i,0.0024097-0.0013841i,0.0034331-0.0022649i,0.003145-0.0033181i,0.0016235-0.0035058i,0.00039493-0.002198i,-0.00035402-0.0016424i,-0.00092148-0.0004203i,-0.00085739+0.0011429i,-0.00099282+0.00051732i,-0.0011002-0.00029673i,-0.00078505+0.00038045i,-0.0002271+0.00119i,0.00053043+0.00070359i,0.00082978-0.00037886i,0.00076526-0.00041436i
-0.0033261+0.0020625i,-0.0019992+0.0024945i,-0.0014163+0.0036636i,0.00098295+0.0033089i,0.0030795+0.0024285i,0.0028024+0.00035462i,0.0012498-0.0014445i,0.00011185-0.0017447i,0.00012219-0.0011496i,0.00028884-0.00099482i,-0.00048471-0.0016415i,-0.0011642-0.0020294i,-0.00074779-0.00050684i,-0.00051616+0.0018051i,-0.00027455+0.0023514i,-3.6264e-05+0.0020718i,0.0002556+0.0012804i,0.00094524+0.00046122i,0.00092337+0.00034584i,0.00029508-0.00023787i,0.00060043-0.00037764i,0.0013701+0.00056243i,0.0012342+0.0003342i
-0.0011404+0.001685i,-0.0010539-0.00044155i,-0.0015719-0.0011283i,-0.0017588+0.00028672i,-0.0010096+0.0023237i,-0.00097433+0.0035832i,-0.0017271+0.0028635i,-0.0027397+0.0017809i,-0.0035916+0.00097199i,-0.0024651+0.00024501i,-0.0021065-0.0012341i,-0.0024864-0.0013727i,-0.0012484+0.000841i,5.2799e-05+0.0020319i,0.00053386+0.0013327i,0.00091287+0.00077486i,0.0012371+0.00060647i,0.0012409-0.00011817i,0.001348-0.00062684i,0.0012148-0.00084587i,0.0010151-0.00057143i,0.0001347-0.00078384i,-0.0009054-0.0014172i
0.0018276-0.00011239i,0.0024857-0.00036882i,0.0021742+0.0002511i,0.0018504-0.00018582i,0.0024246-0.0014877i,0.0010311-0.001386i,-0.0020249-0.00082845i,-0.0035109+0.00038467i,-0.0024707+0.0014101i,-0.0010262+0.0016746i,-0.0012799+0.0021429i,-0.001492+0.0024245i,-1.6753e-05+0.0021978i,0.00099266+0.0011795i,0.0015266+9.6045e-05i,0.0019086+5.692e-05i,0.001801+0.00042476i,0.0015036+0.00020261i,0.0010713-0.0004781i,0.00056664-0.00060994i,-0.00010186-0.00083046i,-0.0002741-0.00035687i,-0.00089897+0.00030768i
-0.0043766-0.001213i,-0.0044303-0.0018625i,-0.0045866-0.0010363i,-0.0029649+0.0015973i,-0.0018855+0.0034289i,-0.00087906+0.0035792i,-0.00088468+0.0029791i,-0.0010534+0.0036736i,-6.2454e-05+0.0045443i,0.0010805+0.0043755i,0.00096714+0.0041968i,0.00068195+0.0038057i,0.0019218+0.0026588i,0.0023992+0.0016377i,0.0018795+0.00058397i,0.0017394-0.00090174i,0.0014238-0.0018646i,0.00085781-0.0022622i,0.00031491-0.0025784i,0.00021314-0.0022509i,-0.00012026-0.001102i,-0.00030647+0.00045278i,1.4614e-05+0.001334i
0.0012254-0.0014158i,0.001805-0.00086477i,0.00073986-0.00092856i,0.00078676-0.0010555i,0.00022903-0.0007463i,-0.001511-0.00023629i,-0.0014418+0.0014711i,0.00083891+0.0031107i,0.0036262+0.0036396i,0.0053269+0.0028167i,0.0054083+0.0021788i,0.0038092+0.0014822i,0.0010461+6.0452e-05i,-0.00083304-0.00098366i,-0.00078247-0.0018937i,-0.00073969-0.001831i,-0.0010019-0.0010441i,-0.00037972-0.00070036i,-0.00018557-0.0002879i,-0.00047609-6.785e-05i,-0.00026915+0.00010086i,0.00031823+0.00051086i,0.00012608+0.00032869i
-0.0010071+0.0014649i,-0.001642-0.00075236i,-0.002019+4.0194e-05i,-0.00095345+0.0019801i,-0.00062056+0.0027798i,-0.00036955+0.0034478i,0.0010858+0.0033878i,0.0024286+0.0026848i,0.0036608+0.00073792i,0.005031-0.00089737i,0.0058077-0.0014438i,0.0046767-0.001302i,0.0022277-0.0010375i,0.00060042-0.0010115i,-0.00080905-0.00069761i,-0.0018263+0.00017734i,-0.0013541+0.00043732i,-0.0011976-0.00020938i,-0.0011729-0.00093276i,-6.3457e-05+2.6179e-05i,0.0011713+0.0012331i,0.001567+0.00055824i,0.0013181-0.00064399i
-0.0020912+0.0029382i,-0.0015934+0.0020802i,-1.6692e-05+0.0010633i,0.0025+0.0015285i,0.0030135+0.0021868i,0.0017873+0.00086462i,0.0014071-0.00016343i,0.0012274+1.6766e-05i,0.0019107-0.001399i,0.0028065-0.0032199i,0.0025852-0.0036922i,0.0014244-0.0027014i,-0.00046687-0.0012006i,-0.0016142-0.00039305i,-0.0020146+0.00065125i,-0.0019004+0.0013848i,-0.00052741+0.0020423i,0.00019954+0.001596i,0.00078018+0.00078665i,0.0015548-7.5771e-05i,0.0014546-0.00042428i,0.0010546-0.00027642i,0.00074613-0.00024394i
0.00175+0.00062996i,0.0024828+0.0011177i,0.0018001+0.0020052i,0.00012999+0.00094098i,-0.00050459+0.00067848i,-0.00066174+0.00089015i,-0.001071+0.00010921i,-0.0013927-0.00059048i,-0.0020009-0.00092651i,-0.0017877-0.0022458i,-0.0011244-0.0035567i,-0.0011507-0.0027164i,-0.000814-0.00019606i,-0.00067267+0.0017048i,-0.00079468+0.0025907i,2.0489e-05+0.0022748i,0.0016+0.00085634i,0.0019217+1.1646e-05i,0.0011151-0.00041418i,0.0011859-0.00074955i,0.0014813-0.00077419i,0.00078735-0.00054654i,8.3777e-06-0.00092545i
-0.0032695+0.0015755i,-0.0027304+0.0014271i,-0.0022073+0.0010212i,-0.00043191+0.0014894i,0.0017976+0.0021833i,0.0021959+0.0010126i,0.00030882-0.0003122i,-0.0016684+0.0012038i,-0.0020917+0.0023714i,-0.0020542+0.0021002i,-0.0023557+0.0012907i,-0.001938+0.00074268i,-0.0011799+0.0015116i,-0.00043889+0.0023812i,0.00078832+0.0021695i,0.0021573+0.001411i,0.0029435+0.0010709i,0.0028159+0.00027216i,0.0022799-0.00072911i,0.0016038-0.00069221i,0.00098202-0.00062712i,8.6198e-05-0.00039053i,-0.0011394+8.7979e-06i
