-6.5599e-05-0.00035745i,0.00070272+0.00034559i,-0.00079833+0.00073633i,-0.0017136+0.0014243i,-0.0011081+0.0022188i,-0.00065824+0.0021013i,-0.00063808+0.0016903i,-0.0012405+0.0012043i,-0.00096043+0.0015341i,0.00013623+0.0021753i,0.00051071+0.0014118i,-0.00025498-0.00022592i,-0.00027552-0.00071653i,6.9931e-05+1.9014e-05i,-0.00024104+0.00033103i,-2.4267e-05-0.00013138i,0.00027984-0.00035177i,0.0002443-0.00026015i,-0.00014377-0.00033783i,2.0677e-05+7.283e-05i,0.00049594+0.00036334i,0.0005076+0.00018317i,-0.00019736-0.00016888i
-0.017035+0.017359i,-0.017201+0.015302i,-0.014459+0.010608i,-0.011379+0.0070884i,-0.0089346+0.0054912i,-0.0069121+0.002958i,-0.0040135+0.00079744i,-0.0019093+0.00024351i,-0.0015806+0.00018398i,-0.00090524+0.0009455i,0.00010875+0.0013408i,-0.00049881+0.0012509i,-0.00086143+0.00081211i,-0.00036199-9.2185e-05i,-1.9799e-05-0.00053344i,0.00062308-0.00013204i,0.0011445-7.1043e-05i,0.00096277+0.00015143i,0.00059274+0.00012853i,0.00077199+0.00013564i,0.00046947+0.00050174i,5.014e-05+1.7925e-05i,-0.00041517-0.00031136i
0.01493+0.021041i,0.014001+0.021178i,0.0073257+0.0157i,0.0029354+0.011141i,0.001539+0.0082414i,5.5577e-05+0.0059456i,-0.00053091+0.0036269i,0.00018322+0.0011452i,-4.9329e-06-0.00045691i,-0.000664-0.00013342i,-0.00044251+0.00069926i,-0.00086442+0.00091803i,-0.0013141+0.00070921i,-0.00081186+0.00074897i,0.00024686+0.0010159i,0.00045354+0.00054894i,0.00052868-0.00011766i,0.0012004+0.00045173i,0.00070605+0.00058708i,-0.0002204-6.1838e-06i,0.00011021-7.0091e-05i,0.00036474-0.00014341i,-0.00025472+9.8091e-05i
0.023683-0.011854i,0.021531-0.011578i,0.014154-0.0066649i,0.0083007-0.0038934i,0.0059413-0.0040879i,0.0035941-0.00281i,0.0015628-0.00083955i,0.0014162-0.0010641i,0.00076871-0.0015214i,0.00030933-0.00097576i,7.1724e-05-0.00020443i,-0.00027524+0.00091986i,-0.00023604+0.0018538i,2.9185e-05+0.0019094i,0.00060758+0.00096216i,0.00015208+0.0004608i,-0.00066139+0.00047491i,-0.00025047-1.4011e-05i,0.0010047-0.0004827i,0.0010441+3.4576e-05i,0.00017176+0.00052068i,-0.00011409+0.00076706i,-0.00023513+0.00063079i
-0.0014013-0.023285i,-0.0028711-0.020016i,-0.0028249-0.012341i,-0.0027279-0.0083824i,-0.0026739-0.0085475i,-0.0022144-0.0069312i,-0.00049581-0.0043719i,0.0008464-0.0029654i,0.00057308-0.0011639i,3.6288e-05+0.00083903i,0.0004708+0.0010149i,0.00054303+0.00046922i,-0.00031557+0.00029885i,-0.00055066+0.00068209i,0.00014707+0.0012698i,0.00074322+0.00082474i,0.00018626+0.00031058i,0.00039243+0.00083018i,0.00092597+0.0010404i,0.0011412+0.00083607i,0.0011466+0.00039144i,0.0005161-0.00022393i,-6.4415e-05-9.4085e-05i
-0.025676-0.0097774i,-0.024773-0.0089057i,-0.016927-0.0057254i,-0.01107-0.0021455i,-0.0085272+0.00061621i,-0.0058765+0.0015992i,-0.0033724-8.9079e-05i,-0.0022419-0.0013964i,-0.00088572-0.00067166i,0.0014105-0.00015385i,0.0017423-0.00020176i,0.0003674-0.00054239i,-0.00028839-0.00033438i,0.00041638-0.00047915i,0.001045-0.00066322i,0.00088492-0.00032203i,0.00071489+0.00057399i,0.00046009+0.00064392i,0.0003408+0.00048067i,0.00090717+0.0013056i,0.0014908+0.00071513i,0.0012701-0.00057195i,0.00039955-0.00055622i
-0.013261+0.024417i,-0.011716+0.024546i,-0.0079085+0.014317i,-0.0037744+0.0072964i,-0.0011551+0.0067399i,-0.0012781+0.005536i,-0.001034+0.0032089i,6.186e-05+0.0014494i,-0.00058216-0.00071316i,-0.0014653-0.0014849i,-0.0011836-0.00055902i,-0.0011385+6.9642e-05i,-0.0010578+1.9756e-05i,-0.00063525-0.00030091i,-9.6671e-06-0.00046216i,0.00044804-0.0010186i,0.00077731+7.2101e-05i,0.00071393+0.0012328i,0.00088051+0.00071464i,0.0010346+0.00039919i,0.00053644+0.00047598i,-0.00041419+0.00027514i,-0.0010359+0.00029211i
0.0154+0.015295i,0.014292+0.012109i,0.007244+0.0060322i,0.0038597+0.0015896i,0.0044242-0.0010347i,0.0037741-0.0015713i,0.0022601-0.00063402i,0.0010726-0.00035082i,-0.00073187-0.00075056i,-0.0020825-0.0006366i,-0.0021161+0.00022915i,-0.0013601+0.00076756i,-0.0012203+0.00073654i,-0.0012989+4.0509e-05i,-0.00069496-0.00037104i,0.00025869+0.00021446i,0.000524+0.00055118i,0.00028027+0.0002465i,0.00014608+0.00010667i,0.00010651+0.00027902i,0.00013021+0.00051788i,-7.9875e-05+0.00053637i,0.00016201-7.8502e-05i
0.026452-0.0079458i,0.022568-0.0075777i,0.011907-0.0054136i,0.0023337-0.0052645i,-0.0020342-0.0060488i,-0.0028186-0.004376i,-0.00066496-0.0024836i,0.00094233-0.0016656i,-0.00033581-0.00051802i,-0.0012225+0.00097616i,-0.00044525+0.0010344i,-0.00029356-0.00014006i,-0.00056936+2.4482e-05i,1.7958e-05+0.0010807i,0.00026857+0.00086849i,0.00034897+0.00021598i,0.00090633+0.00049238i,0.0013863+0.00086287i,0.0014947+0.0013002i,0.00071298+0.0014815i,0.00020755+0.00029158i,-8.9271e-05-0.00027305i,-0.00051872+0.00044295i
-0.001923-0.030981i,-0.006103-0.026976i,-0.0052328-0.015115i,-0.0049176-0.0045874i,-0.0067701+0.00028614i,-0.0058919+0.0012438i,-0.0032605+0.00082757i,-0.0013696-0.00020703i,-0.00040073-0.00057767i,0.00047138+0.0002647i,0.00079239+0.00038754i,0.00084468-0.00028i,0.0010106-8.8367e-05i,0.0006876+0.00055605i,0.00088223+0.00078765i,0.0018815+0.00071741i,0.0014612+0.00062964i,0.00062111-3.7007e-05i,0.00061525-0.00094088i,0.00059353-0.00057161i,0.00068622-0.0003857i,2.8713e-05-0.00013866i,-0.00046871+0.00016868i
-0.025592-0.0035095i,-0.023199+0.0001844i,-0.012474+0.00091262i,-0.004129+0.0011986i,-0.0013829+0.002918i,-0.00020782+0.0039788i,0.00077523+0.002466i,0.001278-4.0879e-05i,0.0014326-0.0016571i,0.00093118-0.0013161i,-0.00058793-0.0010034i,-0.001731-0.0013578i,-0.00090948-0.001022i,0.00044979-0.00023008i,0.0011811+0.00023277i,0.00066967+0.00070095i,0.00042028+0.0012563i,0.00076427+0.0012911i,0.0013965+0.00068135i,0.001712+0.00033359i,0.0011325-0.00017431i,1.6756e-05-0.00071377i,-0.00032326-4.7972e-05i
-0.013026+0.020277i,-0.011321+0.019329i,-0.0082951+0.01049i,-0.0034187+0.0012948i,0.00085769-0.0033463i,0.0013305-0.0040879i,5.2961e-05-0.0024543i,-0.00017464-0.0013125i,-0.00047057-0.0012633i,-0.0010028-0.0013575i,-0.0013192-0.0010885i,-0.0016894+0.00048618i,-0.0011324+0.00063309i,-0.00013273-0.0005918i,0.00098639-0.00068157i,0.0015197+0.00012445i,0.0014555+0.00052465i,0.00044198+0.00062274i,0.0001284+6.8349e-05i,0.00077085-7.2072e-05i,0.0010459+0.00063422i,0.0007637+0.00022063i,0.00019447-8.2351e-05i
0.0181+0.020477i,0.01827+0.017746i,0.0096316+0.0093325i,-0.00082019+0.0014886i,-0.0054866-0.0026135i,-0.0046112-0.0027852i,-0.0024807-0.0018001i,-0.0010023-0.001835i,-0.00094231-0.0010592i,-0.0017154+0.0005675i,-0.0016274+0.0016483i,-0.00071778+0.0015446i,-0.00057041+0.0013971i,-0.00029768+0.0011929i,-0.00022464+0.00069181i,-0.00031623+0.00019392i,0.00052855+0.00025955i,0.00055108+0.00085543i,4.7898e-05+0.00095923i,0.00052293+4.819e-05i,0.00092981-0.00065343i,7.5884e-05-0.00072223i,-0.00042773-0.00069571i
0.024513-0.014874i,0.018695-0.016428i,0.0077448-0.0092355i,0.00043218+0.00062821i,-0.0039982+0.0056664i,-0.0050078+0.0051025i,-0.002576+0.0023007i,-0.0011008-0.000118i,-0.00040573-0.00066747i,0.00039321-8.5583e-05i,0.0011222+0.00023899i,0.0017034+5.7594e-05i,0.0013271+0.00044147i,0.00076805+0.0012178i,0.00069815+0.00074655i,0.00037631+0.00026118i,0.00037544-0.00025684i,0.00082224-0.00080076i,0.0010432-0.00050978i,0.00063047-0.00031821i,0.00045857-0.00073157i,0.00078569-0.00057965i,0.00095442-0.0002419i
-0.0031322-0.026424i,-0.0070983-0.021535i,-0.0040422-0.011522i,0.001453-0.0028016i,0.0034803+0.001961i,0.0024012+0.0034134i,0.0016573+0.0029877i,0.0019823+0.0012938i,0.0012231-9.8257e-05i,0.00077794-0.00054995i,0.00070381-0.0011716i,-0.00087255-0.0020647i,-0.0010361-0.0016191i,5.3088e-05-6.6256e-05i,0.00042824+0.00082878i,0.00034508+0.00056502i,0.00020883+0.00018228i,0.00017664-7.4321e-05i,0.00019975+0.00037245i,0.00089344+0.00032387i,0.0011318+0.00012852i,0.00055229-0.00022814i,0.00035863-0.00012287i
-0.02793-0.0048869i,-0.027687-0.0017205i,-0.016312-0.0021643i,-0.0049222-0.0048573i,9.3139e-05-0.0068533i,0.0014502-0.0056758i,0.0018952-0.0028467i,0.00087031-0.0010592i,-9.4783e-05-0.00061719i,-0.00087875-0.00027276i,-0.0016881+0.0001663i,-0.0020357-3.9994e-05i,-0.0016212-0.00047988i,6.5359e-06+2.1869e-05i,0.00091137+0.00017507i,0.00055972+0.00032275i,0.00034785+0.00094741i,0.00028233+0.001435i,0.00012483+0.001285i,0.00044417+0.0007744i,0.00071154+0.00035624i,0.00049115+0.00050828i,-6.5192e-05+0.00098998i
-0.010584+0.027087i,-0.0049065+0.02724i,-0.0042906+0.015597i,-0.0079492+0.0027031i,-0.0083049-0.0032748i,-0.0049228-0.0045514i,-0.0026166-0.0033481i,-0.0015178-0.0016427i,-0.0012603-9.844e-05i,-0.0013983+0.0008797i,-0.00050345+0.0011146i,3.7099e-05+0.0011308i,-0.00022567+0.0004143i,1.2783e-05+0.00029696i,0.0004151-0.00028522i,0.0010949-0.00096162i,0.0018603+0.00013186i,0.0020956+0.0014758i,0.0014388+0.00085584i,0.0010526+0.00090757i,0.00043168+0.001475i,-0.0001712+0.00040828i,-0.00033158-0.00047538i
0.019866+0.01548i,0.020718+0.010247i,0.010434+0.0078181i,0.00032903+0.010313i,-0.0040215+0.010251i,-0.0051503+0.0058714i,-0.0036181+0.0022257i,-0.0017299-0.0001835i,-0.00092213-0.0012545i,-0.00022853+9.2038e-05i,0.00080671+0.0013592i,0.0016961+0.00059715i,0.001177-0.00036838i,0.00014981-0.00028531i,4.6336e-05-0.00035967i,0.00094426-0.0015122i,0.001233-0.0015041i,0.0011573-0.00034984i,0.00097725+0.00026443i,0.00074257+0.00025828i,0.00031732+0.00048984i,-0.00014515+0.00091737i,2.558e-06+0.00071359i
0.023779-0.013645i,0.019822-0.016651i,0.012888-0.010588i,0.0099521-0.0020735i,0.008396+0.0031694i,0.0041971+0.0039704i,0.0012382+0.0028948i,0.00055662+0.002145i,-0.00029515+0.0018909i,-0.00047175+0.00091579i,0.00029816-0.00068254i,0.00056202-0.0015181i,-0.00021653-0.0016576i,-0.00081287-0.00063663i,-0.0013769+1.776e-05i,-0.0021422+0.0002334i,-0.00231+0.00091948i,-0.0022605+0.0014525i,-0.0014426+0.0015076i,-0.00040359+0.0014073i,-0.00021304+0.00069154i,-0.00014995+0.00036493i,0.00013631+0.00065635i
-0.0076647-0.024301i,-0.014638-0.023413i,-0.0094119-0.016002i,-0.00019952-0.012376i,0.003853-0.011621i,0.003575-0.0078347i,0.0015905-0.002922i,0.00022327-0.00059194i,-0.00024505+0.00038685i,-8.7235e-06+0.00075118i,0.00054698-0.00019182i,-0.00053759-0.00073678i,-0.0016084-0.00050986i,-0.0007016+0.00018989i,0.00032597+0.0010664i,5.634e-05+0.001566i,-0.0005868+0.0014241i,-4.963e-06+0.0015768i,0.0010524+0.0012969i,0.0011368+0.00010993i,0.00088656-8.7224e-05i,0.00067409+2.7201e-05i,0.00078458-0.00023119i
-0.023764+0.0028848i,-0.02299+0.0091097i,-0.016186+0.0076101i,-0.012779+0.00086975i,-0.010764-0.0028656i,-0.005946-0.0032188i,-0.0017994-0.0037835i,7.9167e-05-0.0030914i,0.00062229-0.0011802i,0.00066146+0.00058147i,8.2519e-05+0.0016893i,-0.00038581+0.0018483i,0.00078167+0.0012911i,0.0020561+0.00085364i,0.0017276+0.00097738i,0.0015323+0.0011992i,0.0017113+0.0016472i,0.0016663+0.0014744i,0.001691+0.00056348i,0.0012507+4.4133e-05i,0.00029583-0.0010221i,-0.00043882-0.0015973i,-0.0007893-0.0013025i
-0.0067606+0.020419i,-0.0011766+0.022613i,-0.00010712+0.016682i,-0.0034072+0.010839i,-0.0054514+0.0076406i,-0.0043034+0.0041127i,-0.0025467+0.0010585i,-0.0014405-0.00082577i,-0.0011702-0.0022299i,-0.00097691-0.0022675i,-0.00014747-0.0014767i,0.00080944-0.00091799i,0.001377-0.00063544i,0.0010344-0.00060234i,0.0013913-0.0007815i,0.0012251-0.0015767i,0.00051778-0.0018728i,0.00055946-0.001046i,0.00040325-8.9222e-05i,-0.00020384-0.00012031i,-0.0006907+0.00021891i,-0.0010167+0.00070301i,-0.00039728+0.00036156i
0.020761+0.01305i,0.024283+0.008184i,0.017039+0.0034092i,0.0099369+0.0039273i,0.0067894+0.0050432i,0.0034589+0.0032798i,0.00096581+0.0016515i,-0.0004213+0.0013023i,-0.0015501+0.00057849i,-0.0019419+0.00038632i,-0.0011831+0.00085313i,0.00016708+0.0008105i,0.00088205-0.000226i,-0.00011682-0.00083394i,-0.0011188-0.00015337i,-0.00064844+0.00065065i,-0.00036643+0.00040888i,-0.00094413+0.00046832i,-0.0012556+0.0011068i,-5.9115e-05+0.001075i,0.0010829+0.00075345i,0.0007092+0.00042036i,0.00086858+0.00011662i
0.016922-0.019846i,0.0096526-0.025556i,0.0029466-0.019985i,0.0015896-0.01239i,0.0010638-0.0088327i,0.00051699-0.0051009i,0.0013019-8.0798e-05i,0.0011387+0.0018946i,-8.3533e-05+0.001192i,-0.00064825+0.00094627i,-0.00049358+0.00061099i,-0.00015609-0.00046144i,0.00011209-0.00029094i,0.00021605+0.000295i,0.0003243+0.00045293i,-2.102e-05+0.00057655i,-0.00080706+0.00094571i,-0.00067437+0.0011173i,0.00052592+0.0013138i,0.00070958+0.0016961i,0.0013955+0.0010255i,0.0013655+0.00011149i,0.00071962-3.0909e-05i
-0.0085128-0.017083i,-0.017699-0.014563i,-0.016583-0.0083573i,-0.012333-0.0057634i,-0.010287-0.00563i,-0.0069887-0.0029838i,-0.0032025-0.00084761i,-9.5586e-05-0.00080917i,0.0018555-0.00029679i,0.0018657+0.00059406i,0.001193+0.00017067i,4.1111e-05+5.3585e-05i,-0.00055135+0.0010994i,0.00049764+0.0012268i,0.0016851+0.00028199i,0.0017543-0.00010556i,0.0013456+0.00047996i,0.0011619+0.00077513i,0.00098796+0.00050004i,0.00081595-1.5113e-05i,0.00082687-5.635e-05i,0.00055709+0.00072748i,-0.00021624+0.0011283i
-0.024022+0.0014756i,-0.024383+0.012158i,-0.015327+0.015085i,-0.0067055+0.012339i,-0.0027941+0.0097993i,-0.00098881+0.0060486i,-0.00012879+0.0013867i,-0.00093366-0.0024185i,-0.0017145-0.0039341i,-0.0017064-0.0026151i,-0.0010936-0.00072648i,-0.00066806+0.00012166i,-6.3825e-05+9.0848e-05i,0.0010418+0.00010198i,0.0012334-0.00055899i,0.0012778-0.00080913i,0.0015036-1.9115e-05i,0.0010751+4.4598e-05i,0.00033861-1.7985e-05i,-8.5773e-06-7.7405e-05i,0.00030529-0.00012332i,0.00040933+0.00034185i,0.00025196+0.0006529i
0.00040403+0.02266i,0.01034+0.02405i,0.01277+0.013459i,0.0096437+0.0036756i,0.0068894+0.00059004i,0.0047056-0.00086105i,0.0012955-0.0012798i,-0.001327-0.0009468i,-0.0021115-0.0004813i,-0.0021061-0.0006584i,-0.0014653-0.0010973i,-0.0010913-0.00038339i,-0.00076869+0.0012544i,-0.00070954+0.0012394i,-0.00053769+0.00038481i,0.00055326+0.00033757i,0.00083864+0.00024155i,0.00013354+0.00056845i,2.0081e-06+0.0012504i,0.00046959+0.0011695i,0.00055812+0.00035598i,-0.00032313+0.00052608i,-0.0010701+0.00081744i
0.019064+0.0032368i,0.020781-0.0044545i,0.011847-0.010274i,0.0023438-0.011616i,-0.0018484-0.010741i,-0.0032552-0.0081552i,-0.0029054-0.0035192i,-0.0016263-0.00088527i,-0.00055959-0.00046419i,-0.00038585+0.00052228i,-0.0002932+0.00060473i,0.00015953-1.9091e-05i,0.00086694+0.00033657i,-0.00010647+0.00023702i,-2.3024e-05-0.00035264i,0.0010862-0.00026467i,0.00088003+3.0649e-05i,0.00043109+0.00060476i,0.00026969+0.0014028i,-0.0005442+0.0013373i,-0.00080055+0.00066022i,-0.00030679+0.00077743i,0.00028044+0.00085534i
0.010519-0.015673i,0.0037725-0.020355i,-0.0064524-0.014149i,-0.012259-0.0046412i,-0.013277+0.00015537i,-0.011302+0.0017211i,-0.0052613+0.0014417i,-0.00044024+0.00074723i,-0.00036632+0.00023937i,-0.0012337-0.00018238i,-0.00024416-0.00031331i,0.00083046-0.0007199i,0.00053221-5.0331e-05i,0.00046293+0.00066818i,0.00044187+0.00045589i,-7.1512e-05-0.00062712i,0.00018938-0.00075454i,0.0014771+0.00011583i,0.0020429+0.0007729i,0.0011106+0.001458i,0.00010292+0.00078685i,-0.00026372-0.00021221i,-0.00038783+0.00062466i
-0.013031-0.016578i,-0.023508-0.010889i,-0.019861+0.00087371i,-0.0098359+0.008602i,-0.0039116+0.011106i,-0.0002737+0.010674i,0.0019728+0.0062845i,0.0010892+0.0011754i,-0.00079551-0.0012032i,-0.00084135-0.0013588i,0.00022599-0.00052987i,-0.0001734-8.8473e-05i,-0.0010411+0.00076704i,-0.00054428+0.0017077i,0.00010818+0.0014808i,-0.00017301+0.0013686i,-0.0011627+0.00097439i,-0.0014706+0.00030513i,-0.00070299+0.00045536i,0.00040653+0.00056599i,0.00040046+0.00058235i,-8.71e-05+0.00066442i,-0.00034021+0.00078113i
-0.014575+0.011638i,-0.012764+0.020262i,-0.0017954+0.016743i,0.0070887+0.0067165i,0.0095826-0.00020703i,0.0083604-0.0026815i,0.0050388-0.0023966i,0.0017868-0.0013358i,-3.2707e-05-0.00076324i,-0.00059946-0.00022278i,-0.00056218+0.00044883i,-0.0012233+0.0009674i,-0.0011689+0.0016479i,2.7259e-05+0.0021163i,0.00067529+0.0012671i,0.00032107+0.0010886i,-0.00013956+0.0014984i,0.00049642+0.001193i,0.0012211+0.00085825i,0.00062234+0.00051094i,0.00034313+0.00027921i,0.00043196-0.00031171i,0.00021269-0.00062027i
0.004346+0.014835i,0.011839+0.013876i,0.010764+0.0030567i,0.0042381-0.0073867i,-0.0006364-0.01151i,-0.0023756-0.011212i,-0.0021259-0.006977i,-0.0020153-0.0031915i,-0.0019469-0.0011658i,-0.0018455+0.00044471i,-0.0019506+0.00079122i,-0.0007194+0.0012532i,0.00028135+0.0014085i,0.00015616+7.0251e-05i,0.00044815-0.00067827i,0.00073886+0.0005209i,0.00070971+0.0010627i,0.00063575+0.00081321i,0.0013161+0.00043734i,0.0017454+0.00012642i,0.00095032+2.1084e-05i,-0.00043271-0.00069901i,-0.0011858-0.00061288i
0.015352+0.00023779i,0.019348-0.0060468i,0.0077605-0.0094242i,-0.0073391-0.0055597i,-0.013845-0.00066931i,-0.01312+0.00058948i,-0.008919+0.00037955i,-0.0045388+0.00016912i,-0.0025599+0.00028818i,-0.0014474+0.0010262i,-0.00040543+0.00050452i,-0.00046648-0.00064426i,-0.00080964-0.0011588i,-0.00067601-0.0004734i,-0.00018279-0.00025329i,0.00088306-0.00076228i,0.0014484-0.00067736i,0.0010219+0.0002344i,0.00035629+0.00039824i,0.00044004-0.00011006i,0.00061891+7.8462e-05i,0.00022859-0.00042003i,-0.00013335-0.00055193i
0.00042508-0.016843i,-0.0068942-0.02162i,-0.010476-0.0098039i,-0.0056125+0.0061595i,0.0001957+0.013413i,0.00052722+0.012063i,-0.00061134+0.0071914i,0.00015957+0.0030881i,0.000118+0.001154i,-0.00011863+0.00056346i,0.00057848+8.0079e-05i,0.00088224-0.00030206i,0.00026426-0.00059336i,-0.00016219-0.00037031i,-8.8313e-05-0.00027809i,-0.0013705-0.00086022i,-0.0015356-0.0011942i,-0.00050206-0.00038443i,0.00018657+0.0013411i,0.00038843+0.0029716i,6.0457e-05+0.0024279i,-0.00073753+0.0010362i,-0.00087877+0.00092562i
-0.013488-0.0017125i,-0.019488+0.0015963i,-0.010115+0.0064163i,0.0053337+0.0041504i,0.013071-0.00010133i,0.011109-0.00046081i,0.0065063+0.00071892i,0.0029961+0.00077067i,0.00031328-0.00024053i,0.00016689-0.00056852i,0.00049414-7.5883e-05i,-0.00094945-0.00013373i,-0.0017665+0.00010832i,-0.0010129+2.9025e-05i,-0.00068235-0.00013778i,-0.001069+0.00066334i,-0.0012081+0.0011034i,-0.00059037+0.00109i,0.00043184+0.0012141i,0.0013299+0.0013055i,0.0015457+0.0013791i,0.00086654+0.0017556i,0.0007295+0.0010172i
-0.0084809+0.012879i,-0.008323+0.01969i,-0.0017768+0.011833i,0.0019567-0.0032485i,0.0013302-0.013025i,0.0014029-0.013334i,0.0014813-0.0085832i,0.00032736-0.0049338i,-0.00089859-0.0026393i,-0.00098814-0.0012328i,-0.0008787-0.00074932i,-0.00050415-0.00018266i,0.0001288-0.00013877i,0.00044234+0.00040757i,0.00036378+0.0016975i,0.00047338+0.0017708i,0.00094321+0.0015598i,0.00121+0.0013731i,0.0012866+0.00059201i,0.00093649+9.9418e-05i,0.00054639-0.00056726i,0.00057249-0.0014478i,0.00054043-0.0021121i
0.01378+0.011423i,0.020071+0.012794i,0.013595+0.0035993i,-0.0036208-0.0030755i,-0.014569-0.0031907i,-0.013308-0.003447i,-0.0084235-0.0038712i,-0.0052086-0.0025956i,-0.0030038-0.0011846i,-0.0014012-0.00082785i,-7.5269e-05-0.001109i,0.00060901-0.0010458i,0.00050045-0.0010402i,0.00028088-0.0013478i,0.0005857-0.00064043i,0.0014275-0.00023165i,0.0017455-0.0011054i,0.0014118-0.0010934i,0.00067161+0.00026613i,0.00055806-0.00022369i,4.6126e-05-0.0015761i,-0.0010215-0.0013133i,-0.0011427-0.00072255i
0.010903-0.012291i,0.012529-0.018004i,0.0044077-0.011922i,-0.00309+0.002877i,-0.0039201+0.011645i,-0.0033752+0.01005i,-0.0030201+0.0050951i,-0.0018367+0.0021192i,-0.0017341+0.0012251i,-0.00080681+0.0013819i,0.00061728+0.0012522i,0.00025243+0.00065704i,0.0001292+0.00028509i,0.00053185+0.00048312i,0.00021361-0.00041106i,0.00011342-0.0016385i,-3.5446e-05-0.0018709i,-0.00065805-0.00084596i,-0.00071126+0.0007889i,-0.00041218+0.00085343i,-0.00068528+0.00048464i,-0.0013699+0.00069831i,-0.0010426+0.0006572i
-0.0077205-0.01421i,-0.012287-0.017086i,-0.01142-0.0086937i,-0.00093367+0.0015705i,0.0073732+0.0056692i,0.0073267+0.0057961i,0.0051382+0.0040728i,0.0033956+0.0017095i,0.0015342+0.00051771i,0.00054429+0.00093195i,-0.00029994+0.0013205i,-0.0010018+0.00084083i,-0.00059798+0.00017977i,-0.00031267-0.00080551i,5.0939e-05-0.00084398i,-0.00017173+1.5959e-05i,-0.0012129+0.00094029i,-0.00038731+0.0012973i,0.0012797+0.00090977i,0.0010623+0.00090816i,0.00031586+0.00082554i,0.00030737+0.00044448i,0.00060578+0.00011147i
-0.018938+0.0014146i,-0.024277+0.0051594i,-0.016331+0.0061335i,-0.0036986-0.0017318i,0.0018387-0.0090758i,0.0029542-0.0082498i,0.0037109-0.0054506i,0.0028692-0.0052907i,0.00056254-0.0043816i,-0.00053034-0.0025267i,0.00010012-0.0010159i,0.00038701+0.0001269i,0.00066957+0.00067651i,0.00046193+0.00017527i,-0.00027097-0.00075631i,-0.00018565-0.0002383i,0.00095235+0.00075801i,0.0018675+0.0012581i,0.0019427+0.0012199i,0.0017625+0.00073694i,0.0017283+0.00025401i,0.0015633+0.00016951i,0.0011414+0.00014299i
0.0011387+0.017131i,0.0012641+0.02515i,0.00023756+0.018043i,-0.0065787+0.0061586i,-0.011186+0.00015427i,-0.0081227-0.0012951i,-0.003073-0.0025954i,-0.0021208-0.0032836i,-0.0029032-0.0028672i,-0.0028429-0.00062676i,-0.0014017+0.0010969i,-5.8366e-05+0.0005751i,0.00018082+0.00012146i,-3.1457e-05+0.00015474i,-0.00014916-0.00043483i,-0.00031346-0.00030841i,0.00020394+0.00025117i,0.00034567+0.00086869i,-0.00028091+0.00047942i,-8.7062e-05-0.00041056i,0.00054116-0.00064385i,0.00083868-0.00056785i,0.00045987-0.00070248i
0.018759+0.00013616i,0.023554+0.00015767i,0.016502-0.0013478i,0.0042878+0.0014294i,-0.0028952+0.0054727i,-0.0038753+0.0044677i,-0.0036355+0.0025806i,-0.0032319+0.0018368i,-0.0028823+0.0015978i,-0.0019987+0.001696i,-0.00034393+0.00051346i,-6.2701e-05-0.00050666i,-0.00064642-0.0001034i,-0.00083345+0.00071567i,-4.5463e-05+0.0010316i,0.0012214+0.00084184i,0.00079377+0.00073886i,-0.00070297+0.0004278i,-0.00099461+0.00018874i,-0.00070782+0.00063808i,5.342e-05-2.9754e-05i,0.00015877-0.00092019i,-0.00091336-0.00035949i
0.0066406-0.017199i,0.0085983-0.021752i,0.0034829-0.01663i,0.00078427-0.0060994i,0.0021092-0.00083073i,0.0013152+0.00060531i,0.00021805+0.0020189i,0.0011837+0.0020479i,0.0022016+0.00054969i,0.0020019-0.00030193i,0.0010639-0.0001492i,-0.00055177-5.8567e-05i,-0.00037339-0.00045747i,0.00050908-8.6891e-05i,0.0006196+0.00014463i,0.001064+0.00028244i,0.0015646+0.00059476i,0.0012843+0.0010229i,0.0010302+0.0016204i,0.0011592+0.00074055i,0.00072867+1.3536e-05i,-0.00047356+0.00022881i,-0.00097431+2.2385e-05i
-0.016458-0.014826i,-0.022072-0.017924i,-0.020695-0.011774i,-0.011939-0.0069978i,-0.0053751-0.0052539i,-0.0031891-0.0019814i,0.00022052+0.00059962i,0.0021978-0.00071197i,0.0018736-0.002477i,0.0010357-0.0017404i,5.4552e-05+9.776e-05i,-0.00025852+0.0010652i,-0.00091422+0.0014017i,-0.0010683+0.0011887i,-0.00040326+0.00067099i,-6.715e-05+0.00046637i,-2.8555e-05+0.00034444i,0.00029713+0.0011692i,0.0010676+0.0011312i,0.000934+0.00010692i,0.00054353-0.00058215i,0.00066282-1.1339e-05i,0.00029153+0.0006645i
-0.018737+0.01884i,-0.021984+0.02297i,-0.014523+0.019991i,-0.0067676+0.011293i,-0.0042323+0.0045478i,-0.0012966+0.00067965i,0.00054085-0.001869i,-0.0015413-0.0028756i,-0.003642-0.0020546i,-0.0034685-0.00037665i,-0.00096946+6.3957e-05i,0.00040612-5.0485e-05i,-0.00043561-0.00033795i,-0.00073194-0.00041689i,2.778e-05+0.00022421i,-0.00019403+0.0007367i,-0.00098552+0.00090964i,0.00029901+0.00084458i,0.001287+0.00014625i,0.00046924-0.00035791i,0.00041509-0.0001505i,0.0010219+0.00026341i,0.00052236+0.00096561i
