-0.0042364+0.0011756i,-0.0025543-1.9457e-05i,-0.0036656-0.00010769i,-0.003389+0.0013201i,-0.0024369+0.0026303i,-0.0016746+0.0023452i,-0.00074884+0.0023482i,-5.2234e-05+0.0020034i,0.00015817+0.0012595i,0.00081524+0.00048917i,0.0018686-0.0001597i,0.0013785-0.0003189i,3.1355e-05-0.00028955i,-0.00044856-0.0004907i,-0.00071767-0.0010705i,-0.00085294-0.00089653i,-0.00020845-0.00075572i,-6.3947e-05-0.00066596i,4.5344e-05-0.00021963i,0.00049167-4.6811e-06i,-0.00048683-0.00041686i,-0.00095303-0.00071242i,-0.00056861-0.00033077i
-0.0008765-0.00036333i,-0.00045893-7.5273e-05i,-0.0010664+0.0011291i,-0.0013152+0.002115i,0.00018787+0.0025484i,0.00086874+0.0020081i,-0.00015659+0.0016052i,-0.00060901+0.0012399i,-0.00038867+0.00032269i,9.4071e-05+0.00028171i,0.00041361+0.00099559i,0.00057949+0.00056443i,0.00048815+0.00020812i,-0.00055932+0.0002376i,-0.00060041-0.000377i,-0.00053633-0.0011282i,-0.000139-0.0011815i,0.00031363-0.0012355i,0.00024315-0.0012959i,-0.00019123-0.000964i,-0.00053855+0.00020543i,-0.00082318+0.00098052i,-0.00090433+0.00087104i
-0.00015274-0.00020183i,-0.00070309-0.00069703i,-0.0005991-0.000398i,-3.9189e-05-7.9706e-06i,-0.00019781+0.00011464i,-0.00023926+0.00080198i,-0.00018021+0.00069454i,-0.00052974-0.00034779i,-0.00073341-0.00028613i,-0.0009393-0.00039177i,-0.00057535-0.00068513i,-0.00015314-0.00025993i,-0.00028581-0.00017536i,-0.00040839-0.00076375i,-7.2022e-05-0.001088i,4.62e-05-0.00033983i,-9.7485e-05+7.1616e-05i,-4.5753e-06-0.00079529i,-0.00022253-0.0013373i,-0.00028772-0.0010938i,-0.00047479-0.00046481i,-0.00066425+0.00012953i,-0.00073682+0.00060529i
9.5439e-05-0.00097798i,-0.00062194-0.00010669i,-0.00074373-0.0002178i,-0.00070642+0.00026019i,-0.0014802+0.00090879i,-0.001373+0.00069507i,-0.00086706+0.00040797i,-0.00079231-0.00013765i,0.00021873-0.00011273i,0.00090463+0.0010439i,8.5421e-05+0.0010328i,-0.00080608+4.4689e-05i,-0.00039362-9.3752e-05i,0.0001119-0.00055071i,0.00035805-0.0017391i,3.3135e-05-0.00093836i,0.00034253+7.1402e-05i,0.00085317-0.00059315i,0.00097531-0.0011821i,0.00074059-0.00099239i,0.00012647-0.00022702i,-0.00046864+0.00020692i,-0.00050498+0.00042784i
-0.00048524+0.00039448i,0.00041404+0.00068324i,-0.00024147+0.00068062i,0.00039681+0.00065848i,0.00082889+0.00090571i,-2.9582e-06+0.002119i,-0.00031643+0.0025278i,0.00028694+0.0012646i,0.00047101+0.00047959i,0.00011115+0.00035626i,0.00011671+0.00019603i,-3.6943e-05+0.00037135i,-0.00037967+0.00026227i,-5.162e-05-0.00073116i,-0.00027676-0.0010076i,-0.00070381-0.00088507i,-0.00052612-0.00086761i,0.00018052-0.00054357i,0.00065651-0.00020108i,0.00081462-0.00035601i,0.00040925-0.00092527i,-0.00051057-0.00056471i,-0.00058285-0.00023325i
-0.002177+0.00061036i,-0.0012886+0.000948i,-0.0019288+0.0029635i,-0.0017253+0.0039419i,-0.00023885+0.0037735i,0.00061372+0.0021571i,0.00086541+0.00098358i,0.00045673+0.00061826i,0.00050462+0.00039433i,0.00086357+0.00078908i,0.00045395+0.00053787i,0.00037876-0.00085842i,0.00020888-0.001637i,-0.00016339-0.0018852i,-0.00024597-0.0018102i,-0.00058405-0.0012705i,-0.00041972-0.0011645i,5.8337e-06-0.00072918i,0.00058944+0.00018949i,0.00083749+0.00040344i,0.00070895+8.2614e-05i,0.00035813+0.00093567i,0.00010435+0.0012348i
0.00029569+0.00030431i,-5.6244e-05-6.1794e-05i,-0.00032375-0.00052974i,-0.00035549+4.3249e-05i,-0.0010165+0.00061785i,-0.00046901+0.00079144i,0.00048847+0.00089581i,0.00034462+0.00092022i,0.00013864-0.00033487i,8.1406e-06-0.00065839i,-0.00065406+0.00023521i,-0.00054767+0.00047016i,0.00021663+0.0007694i,0.00053021+0.00054796i,0.00087581+4.2623e-05i,0.00081645-0.00086277i,2.0927e-05-0.0012114i,-0.00046025-0.00019088i,8.9574e-05+0.00015263i,0.00095887-3.7409e-06i,0.00070654-0.0001341i,-2.1872e-05-0.00010872i,-3.3331e-05-0.00010333i
-0.00083609+0.0016983i,-0.0010002+0.001604i,-0.0008402+0.0026869i,-0.00020276+0.0026988i,-4.987e-05+0.0018716i,-0.00025825+0.0014211i,-0.00029263+0.00027712i,-0.00024546-0.00020415i,0.00043301+0.00029084i,0.0017373+0.00053742i,0.0018688-0.00042504i,0.0011508-0.00041449i,-0.00032413+0.00087635i,-0.00095424+0.00019196i,6.3567e-05-0.00083741i,-8.6327e-05-0.00059646i,-0.00036503-0.0010812i,0.00049751-0.0017461i,0.00089223-0.0011695i,0.00065539-0.0010941i,0.00016868-0.0011566i,1.1562e-05-7.9519e-05i,-0.00043647+0.00072959i
0.00061096+0.00031084i,1.6183e-05+0.00076798i,0.00022986-0.00012601i,0.00049368-0.00073538i,0.00049397+0.00014182i,-0.00043313+0.00081081i,-0.0012167+0.00089734i,-0.00076688+0.00094594i,2.9797e-05+0.00076662i,0.00096651+0.001184i,0.00084105+0.0011634i,0.00058472+0.00030028i,0.00072827+0.00035304i,0.00046367+0.00051459i,-0.00066642-0.00036998i,-0.00095056-0.00097145i,-0.00026288-0.00063437i,0.00030207-0.00055891i,0.00052293-0.00016212i,0.00014194+0.00035695i,-0.00078515-0.00011463i,-0.000554+3.1526e-05i,-3.5376e-05+0.0012195i
-0.0010375-0.0020207i,-0.000909-0.0019848i,-0.00072111-0.0017134i,-0.0011156-0.0004404i,-0.000912+0.00046157i,3.9779e-05+0.00056118i,0.0006404+0.001017i,2.0964e-05+0.0014808i,-0.00055889+0.00066454i,-0.00017753+0.00066783i,3.6705e-06+0.0016656i,-0.00016972+0.0016412i,-0.00021179+0.0011913i,-0.00023246-0.00022593i,-0.00041392-0.0011814i,-0.00020916-0.00071844i,-0.00016708-0.00049402i,0.00012401-0.00088729i,0.00025585-0.00040468i,-0.00028423+0.00096997i,-0.00054336+0.00053525i,-0.00047106-0.00058071i,-0.00039457-0.00071951i
0.001229+0.00056976i,0.0011282+4.5804e-05i,0.00063399-0.00055997i,0.00017911+0.00029553i,-0.00014586+0.001226i,-0.00022049+0.0014354i,4.3924e-05+0.0014881i,0.0004142+0.0012773i,0.00038903+0.0017424i,0.00057134+0.0018491i,0.0011046+0.0012395i,0.00053532+0.00025109i,9.7557e-06+7.9532e-05i,0.00054728+0.0001219i,-7.6981e-08-0.00028632i,-0.00015654-0.00039773i,0.00043358-0.00099885i,0.00053934-0.0012965i,3.2175e-05-0.00097215i,-0.00031749-0.001173i,-0.00059161-0.0012327i,-0.00034812-0.0012318i,0.00055344-0.00090075i
-0.0011681+0.00072099i,-0.00065209+0.00071221i,-0.00024767+0.0010286i,0.0010214+0.0014766i,0.001402+0.001319i,0.0011086+0.00058634i,0.0007519-0.00021918i,6.0078e-07-0.00052454i,0.00014628-8.3261e-05i,0.0003028+0.00080548i,0.00043842+0.00055136i,0.00018486-0.00053698i,3.4218e-05-0.0013031i,0.00031273-0.0010553i,-0.0001031-0.00037912i,-0.00040364-4.3662e-05i,-0.00015933-0.00050785i,0.00064414-0.00093421i,0.0013664-0.0011666i,0.0011158-0.0012349i,9.8518e-05-0.00086203i,-0.00053874-0.00019545i,-0.00036858+5.4484e-05i
0.0024177-0.00044545i,0.0024207-8.896e-05i,0.0024058-0.00012406i,0.0014736-0.00036256i,0.00074371-0.00019942i,0.00022706+0.00020913i,0.00038092-4.1454e-05i,0.00044209-0.00015431i,0.00035306-0.00030669i,-2.8707e-06-0.00047664i,-0.00032478-0.00072446i,-0.00039339-0.001126i,-0.0005598-0.0016922i,-9.406e-05-0.0010116i,0.00018577-0.00036584i,-0.00070258-0.00048452i,-0.00052355-0.0008144i,0.00061879-0.0011521i,0.00069318-0.0011338i,0.00011429-0.00081394i,6.5712e-05-0.00059063i,0.00027798-0.00066463i,4.6884e-05-0.00023964i
0.001683+0.00045548i,0.0014667+0.00098497i,0.0013535+0.00039918i,0.001111-3.3697e-05i,0.00015729+0.00098584i,-0.00094339+0.0013075i,-0.0011155+0.00090003i,-0.00029171+0.00051348i,0.00051605+0.0010432i,0.00053195+0.00080225i,0.0001069-0.0002691i,-0.00086759+5.8859e-06i,-0.0006855+0.00021663i,3.6611e-05-0.00013532i,-0.00014026-0.00059067i,-9.0321e-05-0.00025807i,4.9658e-05-0.0003897i,6.2087e-05-0.00055822i,-0.00036471-0.0001368i,-0.0001471-0.00029847i,0.00050238-0.00079926i,0.00041998-0.00070573i,0.00068945-9.6922e-05i
-0.00062926+0.0030606i,-0.0011447+0.0026335i,-0.00042026+0.002303i,0.00024711+0.001489i,0.00075824+8.9989e-05i,0.00029296-0.00071192i,0.0002585-0.00060089i,0.0005837-5.357e-05i,0.00051813+0.00068339i,0.00079438+0.00082218i,0.0010993-0.00015513i,0.0011062-0.0008497i,0.00070489-0.00046849i,-1.4852e-05-0.00033006i,-0.00040788-0.00081167i,-0.00091793-0.00065499i,-0.00040556+0.00010784i,-6.9337e-05+0.00044819i,-6.3752e-05+0.0003421i,0.00022028+0.00086657i,0.00047321+0.00070862i,0.00037279+0.00050408i,0.00041193+0.00075131i
6.3015e-05-0.0036709i,-0.00033729-0.0031978i,-0.00054821-0.0024997i,-0.0010416-0.00086003i,-0.0012192+0.0012041i,-0.00068391+0.0017187i,-1.0097e-05+0.0016481i,0.00033047+0.0017917i,0.00014976+0.0013541i,-0.00039968+0.00097619i,0.00037786+0.00090018i,0.0018102+0.00086177i,0.0019365+0.00085002i,0.0011867+0.00016148i,0.0012182-0.00018279i,0.0012409-0.00013901i,0.00074473-0.00046009i,0.00020951-0.0013374i,1.1574e-05-0.0016035i,7.4108e-05-0.00078809i,-0.00042077-0.00013478i,-0.00080282+4.6702e-05i,-0.00038256+0.00038661i
-0.00017381+0.00096314i,-0.00052824+0.00054854i,0.00059965+0.00012045i,0.0010502+3.0741e-05i,0.000423+0.0009684i,-8.6339e-05+0.001187i,0.00014326+0.00072961i,-0.00013897+0.00069029i,-0.00021529+0.00087515i,0.00051207+0.00060657i,0.0006026+0.0010479i,-0.00030857+0.00097381i,-0.00061044-0.00057462i,2.4476e-06-0.00127i,-0.00039581-0.00091954i,-0.00074171-0.0011874i,-0.00010742-0.0011458i,0.00071575-0.00087366i,0.00042266-0.00071055i,-0.00011809-0.00089373i,-0.00011991-0.0010037i,0.00029296-0.00043612i,0.0003871-0.00021189i
0.00046515-0.0020605i,0.0014228-0.0014566i,0.00070934-0.00029988i,-0.00040841+0.00017157i,-0.00019823+0.00074328i,0.00010362+0.0012151i,0.00033143+0.00064972i,0.00068953+0.00016845i,0.00032339+6.0231e-05i,0.00010581+0.0005603i,0.00048041+0.00082059i,0.00069368+0.00033746i,0.00057484+8.5197e-05i,0.00047616+0.00016234i,0.0004484+0.00034433i,0.00043286-0.00027118i,0.00044152-0.00055502i,0.00028773-0.000151i,5.7016e-06+8.1646e-06i,-0.00039465-0.00039135i,-0.00023448+3.3492e-05i,2.8537e-05+0.00043905i,0.00013739-0.0002876i
-0.00011549+0.00034681i,-0.00090581+0.00030536i,-0.00065634+0.0003257i,0.00011031+0.00049214i,0.00034574+0.0013011i,0.00057345+0.0016354i,0.0010774+0.00065186i,0.00071854+0.00027318i,-9.3622e-05+0.0003815i,-3.8714e-05+0.00083274i,-2.8033e-05+0.0011851i,-0.00080074+0.00072135i,-0.00075922+0.00045303i,0.00021721-0.00013705i,0.00062623-0.00077394i,0.00038615-0.001097i,0.00030626-0.0012786i,0.00045911-0.0011729i,0.00041543-0.00054466i,0.00025027-0.00023982i,0.00053338-0.00039647i,0.00062881-0.00042774i,-0.00024097-0.00055432i
-0.00032354+0.00018332i,-0.00031987+0.00016296i,-0.00060115-8.0094e-05i,-0.00028825-3.0172e-06i,0.000124+0.001086i,-0.00046702+0.0012522i,-0.00039369+0.0012884i,6.0304e-05+0.0015271i,0.00034604+0.0014499i,0.00085173+0.0012459i,0.0010444+0.00083013i,0.00046995+0.00036954i,0.00059585-0.00039324i,0.00050369-0.00095492i,-0.00035193-0.00064587i,0.00030135-9.1825e-05i,0.0014489+9.9679e-05i,0.00076931-1.2791e-05i,0.00038469-0.00079243i,0.00086576-0.00082607i,0.00063239-0.00086945i,5.5385e-05-0.001796i,-0.00043606-0.0012585i
2.0634e-05+0.00039184i,0.00088931+0.00031716i,0.0014936-0.00024308i,0.0012638-3.4495e-05i,0.00021986+0.00055595i,-0.00073381+3.1586e-05i,2.2842e-05+1.1201e-05i,0.00040314+0.0013102i,5.3146e-05+0.0016814i,0.00080807+0.0010451i,0.0006781+0.001204i,-4.0377e-06+0.0011161i,0.00043027+0.0003588i,0.00021677+9.5306e-05i,-0.00027892+3.8094e-05i,-0.00038065+0.00033845i,-0.00046148-0.00022395i,-0.0003166-0.00095207i,0.00024074-0.0008154i,-9.6371e-05-0.00020191i,-0.00062203+0.00039843i,-0.0010476+0.00044604i,-0.0013612+0.00017054i
0.0011541-0.0027059i,0.00035461-0.0029739i,-0.0018534-0.002396i,-0.0025095-0.0010747i,-0.0018005+0.00014326i,-0.0010765+0.0011658i,-0.00051174+0.0011919i,-0.00038037+0.0010509i,-0.00048903+0.0012216i,0.00020793+0.0012472i,0.00043571+0.0014954i,0.00017866+0.0013733i,-1.2437e-05+0.0010762i,-0.00030549+0.00093413i,-0.00014653+7.247e-05i,0.00022367+2.1259e-05i,-0.00041536+0.00036598i,-0.00061596+8.5444e-05i,1.0434e-05-0.00019751i,0.00010705-0.00029578i,0.00054078-0.00033153i,0.00053411-0.00054169i,-0.0002328-0.00022906i
-0.0026155+0.0014348i,-0.0010872+0.0016215i,-9.3262e-05+0.003045i,0.0012648+0.0036481i,0.0021719+0.0021478i,0.0016867+0.0011525i,-0.00011308+0.001277i,-0.00062244+0.0010993i,0.00058398+0.0012643i,0.0012694+0.0015979i,0.00061526+0.00091021i,0.00010543-8.7897e-05i,-0.00015054-0.00018039i,7.3521e-06-0.00041843i,-5.8178e-05-0.0010271i,-0.00048026-0.00091568i,-0.0010807-0.0006727i,-0.00058858-0.00073845i,0.00038862-0.0012177i,0.00017359-0.00073063i,0.0001666-0.00016209i,0.00016444-3.387e-05i,-0.00087308+0.00062611i
0.001849+0.0014804i,0.0013105+0.00066917i,0.00086126-0.0003379i,0.00032448-0.00073488i,-0.0006623-0.0012436i,-0.00081977-0.0003161i,-0.00050387+0.0003658i,-0.00037473-0.00010934i,-0.00033345+0.00038441i,-0.00037869+0.00081292i,0.00016659+0.00042861i,0.00015118+0.00023867i,-0.00071299-0.00035444i,-0.00067067-0.0013432i,-1.2627e-05-0.00023912i,0.00072827+0.00015716i,0.0010082-0.00038208i,0.0010048-0.00048129i,0.00079125-0.001147i,0.00068795-0.0010214i,0.00075359-0.00062117i,0.0001974-0.00083515i,0.00013302-0.0003577i
-0.001532-0.0025707i,-0.0011332-0.001569i,-0.001089+0.0003931i,-0.00078372+0.0011316i,0.00075892+0.0018085i,0.0015605+0.001506i,0.00063479+0.0013585i,-0.00070785+0.00081997i,-0.0013269+0.00036714i,-0.00058693+0.0013957i,0.00015267+0.0015956i,0.00028968+0.00060251i,0.00045672+2.2933e-05i,0.00020519-0.00035717i,-8.3872e-05-0.00079439i,-0.00014511-0.00067848i,0.00014109-0.00073982i,0.00073891-0.0010235i,0.0010987-0.00033107i,0.00087259+0.00030297i,0.0008622-0.00038022i,0.00055874-0.001274i,-0.00017038-0.00098354i
0.0004274-0.000772i,0.00094572-0.0013723i,0.0002649-0.0014528i,-0.00065616-0.00097335i,-0.0010699-0.00020316i,-0.00092416+0.00092291i,-0.00082438+0.0011979i,-0.00042221+0.00071307i,0.00074729+0.0005852i,0.00092807+0.00053505i,0.00065208+0.00030733i,-0.00027727+0.00018076i,-0.00068975+0.00025829i,0.00022428+7.9369e-05i,0.00063652+0.00028773i,0.00014575+0.00058603i,-0.0001926-0.00013555i,-3.5182e-05-0.00042171i,0.0011315+0.00019459i,0.0018265+3.7891e-05i,0.0006364-0.00098917i,0.00014961-0.0015371i,0.0005148-0.0014058i
-7.5779e-05-0.0002632i,-0.0010646-0.00020685i,-0.0011779-0.0006052i,-0.00034592+0.00054535i,8.5383e-05+0.00076948i,-5.6988e-05+0.00057342i,-0.00049887-0.00015563i,-0.0006553-0.00086901i,-0.00015356-0.00026101i,0.00087653+0.00072042i,0.00078472+0.00079275i,0.00013996-0.00030507i,0.00034464-0.00060905i,0.00051644-0.00074749i,-0.00015919-0.00085617i,-0.00067129-0.0006116i,-0.00040284-0.00041737i,-0.00023029-0.00043251i,-0.00031347-6.9392e-05i,-0.00050911-0.00040861i,-0.00040774-0.00078947i,-0.00016282-0.00043763i,0.00042022-0.00095534i
-0.0011605-0.00083373i,-0.00073182-0.0017169i,0.00036177-0.00046453i,0.0013046+0.00071299i,0.0012066+0.00097821i,0.00097177+0.0013093i,0.0011011+0.0011707i,0.00078914+0.00080485i,0.0011969+0.0012347i,0.0012714+0.0017016i,0.00059382+0.0012982i,0.00020215+0.00068012i,0.00018513+0.00026528i,0.00041425+0.00017985i,0.00059365-0.0001543i,0.00018351-0.0001701i,-0.00010571-0.00019909i,-0.00066769-0.00074084i,-0.00051473-0.0016241i,-0.0003136-0.0013166i,-0.00090636-0.00049443i,-0.00070527-0.00013626i,-0.00010964+0.0002743i
0.00086583-0.0011721i,0.00039942-0.0018575i,-0.00048251-0.00082208i,-0.0008034+0.00053217i,-0.00055444+0.0019057i,-0.00085271+0.0023697i,-0.0012335+0.001599i,-0.001074+0.0012786i,-0.00036498+0.0011876i,-0.0001821+0.0013809i,-0.00050411+0.00068314i,0.00026506-0.00085567i,0.0012413-0.00118i,0.0014538-0.00096749i,0.0008102-0.0010001i,-9.4271e-05-0.00036207i,-6.8394e-05-0.0009294i,0.0011145-0.0019414i,0.0013247-0.0018803i,0.00047106-0.00042798i,-0.00044565+0.00082372i,-0.0011182+0.00032912i,-0.0016449-0.00029873i
-0.00054973+0.0011288i,-0.0010852+1.3659e-05i,0.0011754+8.989e-05i,0.0027092-0.00069281i,0.002056-0.001075i,0.0015773-0.0005326i,0.001174+0.00031851i,0.00039484+0.0014344i,4.1334e-05+0.0021257i,0.0005678+0.0026085i,0.0010619+0.0017922i,0.0006506+0.00073939i,2.4523e-05+0.00046814i,-0.00090387-0.00014854i,-0.00074422-0.0004229i,-1.0699e-05-2.3407e-05i,-0.00014237-7.2046e-05i,-0.00078413-0.00057344i,3.1711e-05-0.0013079i,0.0010075-0.0015534i,0.00079932-0.00066739i,-7.9093e-05+0.00097793i,-0.00029061+0.00085703i
0.00096579-0.00015561i,0.00033352-0.00033812i,-0.00011673+0.00034052i,-0.00041804+0.0016607i,-0.00069324+0.0015745i,-0.0001517+0.001283i,0.00031223+0.00059153i,0.00056289-0.00075371i,0.00046372-0.00083317i,0.00053543+0.0003905i,0.0010691+0.0006566i,0.0012148-0.00039309i,0.00033976-0.00043308i,-0.00016045-0.00052904i,1.2331e-05-0.0009672i,0.00047118-0.00070198i,0.00025123-0.00062042i,-0.00042853-0.00054275i,-0.00010151+0.00081357i,0.00091337+0.00094397i,0.0013852+0.00032919i,0.00062445+3.0278e-05i,-0.00093633-0.00047496i
0.0013726+0.00088935i,0.0019484+0.0008066i,0.0023382-0.00015143i,0.0022361-0.00099516i,0.0011536-0.0009284i,0.000447-0.00023398i,0.00041794+0.00035995i,0.00047689+0.0005918i,0.00020309+0.00097938i,0.00053523+0.0013323i,0.00060847+0.001012i,-4.5104e-05+0.00077109i,-0.00042926+0.00086477i,-0.00048681+0.00077981i,-0.00043942+0.00069565i,-0.00016812+0.0010554i,0.0004951+0.00057058i,0.001231-0.00011885i,0.0010875-0.0010413i,0.00035895-0.0012742i,9.1905e-05-0.00047289i,-5.2607e-05-0.00024927i,-0.00063038-0.00066163i
0.0002252+0.00046299i,0.0011031-0.00010971i,0.00074232-0.0006908i,-0.001391-0.0003933i,-0.0014744+0.00044085i,-0.00051615+0.0010951i,-4.6894e-05+0.00022805i,-0.0003053+0.00016337i,-0.00013259+0.0007501i,0.00032295+0.0010106i,0.00024013+0.0012499i,0.00031096+0.00063113i,0.00023063+2.3043e-05i,0.00038099+6.1545e-05i,0.00051776-0.00022165i,0.0006492-0.00039476i,0.00041542+0.00016821i,0.00043134+0.00061752i,0.00022727+0.00014659i,0.00038384-0.00060479i,0.00068166-0.00098916i,0.00046955-0.00023668i,0.0001056+0.00065672i
0.00036437-0.00080998i,0.00027047-0.00098954i,-0.0003443-0.00034418i,-7.3956e-05+1.2717e-05i,0.00029918+0.00089859i,0.00078457+0.00070004i,0.001123+0.00052391i,0.00047423+0.001186i,-8.7619e-05+0.0011236i,0.0007639+0.00093983i,0.00096027+0.0010472i,0.00027024+0.00032916i,0.00010494+0.00018118i,0.0003302-0.00024146i,5.8731e-06-0.0017669i,0.00016689-0.0017199i,0.00079838-0.00090033i,0.0011001-0.00099855i,0.0011747-0.0007653i,0.00052532-0.0003167i,-9.8666e-05-0.00037352i,0.00011383-0.00069978i,0.00036055-0.00024267i
0.0016933-0.0014653i,0.0010598-0.0014406i,0.00012858-0.0016969i,-0.00051233-0.00097021i,-0.00045442+9.3704e-05i,9.4056e-05+0.0012292i,0.00065+0.0014807i,0.0013528+0.0010642i,0.00072819+0.0013302i,-0.00025325+0.0011668i,-0.00017977+0.0012225i,0.00018348+0.00091611i,0.0012516+0.00021868i,0.0013378+0.00079264i,0.00090746+0.00017679i,0.00084931-0.00085355i,0.0003727-0.00085312i,0.0006828-0.00071534i,0.0010664-0.0010771i,0.00054467-0.0008787i,0.00063052-0.00028204i,0.00035411-0.00049854i,-0.00064879-0.001258i
0.00031275-0.0033093i,-0.00053334-0.0031647i,-0.00035384-0.0018253i,-0.0014728-0.00097212i,-0.0028594-0.00060132i,-0.0027337+0.0002899i,-0.0016035+0.0010058i,-0.00091035+0.00091308i,-0.0011584+0.000779i,-0.00017877+0.0010145i,0.0008832+0.00085467i,0.00046212+0.00062972i,0.00016259+0.00027796i,0.00068984-0.000834i,0.0010406-0.00091409i,0.00049375-0.00046047i,0.00069279-6.8683e-05i,0.0011132+0.00025868i,0.0012802+0.00021674i,0.0018732-0.00046962i,0.0013603-0.00073607i,-7.9713e-05-0.00096854i,-0.00030597-0.00071228i
0.0011792+0.00029133i,0.0010141-0.00057192i,0.001502-0.00090094i,0.001028-0.0001836i,0.00011572+0.00028571i,-0.00042288-0.00010754i,-0.00042578+0.00017188i,4.2632e-05+0.00086187i,3.0647e-06+0.00076574i,0.00012367+0.00022303i,0.00051728-0.00019065i,6.1385e-05+0.00058747i,-0.00068521+0.00073375i,-6.7994e-05-0.00022806i,0.00098638-0.00048857i,0.00074144-0.00058568i,0.00033316-0.00028284i,0.00038295+0.00013797i,0.00055835-0.00028838i,0.00089731-0.00050888i,0.0013338-0.00052705i,0.00081975-0.00076164i,-2.8782e-05-0.00050335i
0.00094052+0.0017098i,0.00088831+0.0011517i,0.0019156+0.00070126i,0.002093+0.00055886i,0.0012176+7.6711e-05i,0.0005637+0.00033173i,0.00058045+0.00087212i,0.00040125+0.0011312i,-1.5844e-05+0.0012232i,0.00022439+0.00125i,0.0007256+0.00075748i,0.00036383+0.00035062i,-0.00041356+0.00056862i,-0.0004699+0.0007053i,-0.00036264+0.00048872i,-0.00048064-5.9968e-05i,-0.00055155+0.00018768i,-0.00030624+0.00024155i,0.00025139-0.00044741i,0.00022774-0.00030936i,6.8886e-05+0.00042149i,-0.00027219+0.00088561i,-0.00049878+0.00056672i
-0.00019611+0.00040601i,-0.00093549-0.00033361i,-0.00082488+3.9073e-05i,-0.0002848+0.00056187i,-0.00014799+0.0008181i,-0.00032359+0.00095151i,-0.00013297+0.00069381i,0.0001642+0.000546i,-0.00082826+0.00066267i,-0.0012794+0.00099796i,-0.00063167+0.0012505i,-0.00036304+0.00051584i,-0.00052095-0.00020029i,1.2431e-05-0.00058005i,0.00090303-0.00091097i,0.00098238-0.0010227i,0.00043021-0.00037983i,0.00012132+9.3898e-05i,6.2268e-06-0.00035469i,0.00013231-0.00033538i,0.0003856-1.2106e-05i,0.0004974+5.8502e-06i,-0.00011091+0.00040082i
0.00033368-0.0003542i,0.00031396-0.00019592i,0.00010805+0.00092646i,-0.00057467+0.00066485i,-0.00085894+0.00084941i,-0.0010217+0.001792i,-0.00093901+0.0016716i,-0.00017206+0.0012371i,0.00010425+0.00063176i,-0.0004388+0.00044657i,-0.00021336+0.00068963i,0.00029588+0.0007468i,0.00056933+0.00020301i,0.00097959+9.3451e-05i,0.0006609+0.00018811i,0.00016414+8.6269e-05i,-0.00029168-0.00078935i,-0.00043702-0.0015356i,0.00010793-0.00107i,0.00015191-0.00037663i,5.1664e-05-0.00024893i,0.00048749-0.00058966i,0.00096534-0.00079847i
-0.0017747+0.0014016i,-0.0009629+0.0013209i,7.1511e-05+0.0013313i,6.502e-05+0.0014639i,0.00013751+0.00065535i,0.0003249-4.428e-05i,-0.00037-6.0505e-05i,-0.00018942+0.00025653i,-0.00023125+0.00074574i,-8.2188e-06+0.0006929i,0.0016544-0.00043104i,0.0018092-0.00076467i,0.00020092-7.6128e-05i,-0.00090275+9.0589e-05i,-0.0010988-0.00079101i,-0.00043524-0.00098629i,0.00053389-0.00061704i,0.00085487-0.00031851i,0.00066317+0.00022469i,0.00048133-4.1646e-05i,0.0003997-0.00032376i,0.00022889-9.735e-05i,-0.00068073+0.00045047i
-0.00056583+0.0013319i,-0.0003316+0.0018023i,0.000778+0.002367i,0.0011894+0.0017117i,0.00084038+0.0014182i,7.1602e-05+0.0014294i,-3.498e-05+0.00092239i,0.00018516+0.0006266i,0.00027888+0.000912i,0.00076722+0.0012889i,0.00084571+0.0013142i,0.00015787+0.0010347i,-3.4059e-05-1.5637e-05i,-8.9092e-05-0.0010181i,0.00057608-0.00068988i,0.00071634-0.00052089i,0.00014867-0.00057516i,-0.00017868-0.00037975i,0.0002184-0.00079i,0.00090775-0.00089059i,0.001117-0.00034335i,0.0011719-0.00038134i,0.00074229+0.00019703i
0.00244+0.0029224i,0.0027993+0.0014427i,0.0039445+0.00024592i,0.0023866-2.508e-05i,0.00033073-0.00064042i,-0.00053847-0.0014326i,-0.00029965-0.00044204i,0.00041522+0.00074403i,0.0010637+0.00087449i,0.00092964+0.00042864i,0.00020341+0.0010264i,-0.00039133+0.0014682i,-0.00062403+0.00081395i,-0.00033461+0.00047694i,8.6367e-05+0.00076452i,0.00032892+0.0004456i,0.00034876-0.0010322i,0.00019375-0.0013518i,0.00038775-0.00067261i,0.0010362+0.00016924i,0.00028059+0.00057142i,-0.00033205-1.3516e-05i,0.00020982+5.5025e-05i
0.0010495-0.0011999i,-0.00060255-0.0014455i,-0.0014133-0.001866i,-0.001509-0.00042472i,-0.00086225+0.00051479i,0.00093965+7.6123e-05i,0.0014267+0.00020683i,0.00051607+0.00025939i,-0.0006914-5.5117e-05i,-0.0011445+0.00016511i,-0.00064118+0.00041329i,-0.00022208+0.00037693i,-0.00031617-6.8827e-05i,0.00026106-0.0010112i,0.00066345-0.0011455i,0.00045217-0.0006272i,0.00069663-0.0013164i,0.0013717-0.0012503i,0.0012404-6.3616e-05i,0.00014663-0.00022537i,-0.00030712-0.0010016i,-0.0012841-0.00099942i,-0.0017667-0.00070417i
