-0.0022559+0.00010046i,-0.0014955-0.0013717i,-0.0017229-0.0027272i,-0.0016092-0.0017532i,-0.0015604+0.0011397i,-0.00086517+0.0027902i,0.00049218+0.0019903i,0.0012172+0.00075834i,0.00089304+0.00098086i,0.00057791+0.00076787i,0.00037303+0.00036229i,0.00031502+0.00011328i,3.9426e-05-0.00057541i,-0.00021197-3.3922e-05i,7.1435e-05+0.00076916i,0.00033992-5.057e-05i,0.001011-0.00074853i,0.00082542-0.00075408i,0.00050937-0.00022417i,0.00028677+0.0008586i,-0.00021743+0.0010313i,0.00017155+0.00052079i,0.00073129+0.00053583i
-0.0032557-0.0013087i,-0.0037293-0.0017328i,-0.0030923-0.00091274i,-0.0026944+0.00060756i,-0.0018112+0.0010839i,0.00080615+0.001165i,0.0035511+0.00053418i,0.0045243+0.00027335i,0.0035575+0.00018436i,0.0016674+0.00077585i,-0.00018599+0.0015862i,-0.00080507+0.0012903i,-0.0010191+0.00032677i,-0.00074661-0.00096713i,-0.00026524-0.0016953i,0.0003556-0.0014499i,0.00097686-0.0011389i,0.00015312-0.00068339i,-0.00082647-0.00036513i,-0.0010581+0.00044591i,-0.0010995+0.0011484i,-0.0011512+0.0010783i,-0.00048212+0.0010368i
-0.0026326+0.00054864i,-0.0021825+0.0013922i,-0.0022981+0.00086207i,-0.0028429+0.00087259i,-0.0025653+0.0012501i,-0.00082663+0.0005501i,0.0018697-4.4721e-05i,0.0036225-0.0023333i,0.0030716-0.0040637i,0.0014123-0.0030457i,0.0016034-0.00092023i,0.0020004+0.00018708i,9.3747e-05-0.00044417i,-0.0015533-0.0011959i,-0.0019042-0.00091514i,-0.0012045-0.00095143i,-0.00049759-0.0010593i,-0.00047751-0.00023099i,-0.00069772-9.7335e-06i,-0.00053223+7.7152e-05i,-3.9294e-05+0.00041387i,-0.00066523+0.00059066i,-0.00073349+0.00078831i
-0.00083505-0.00062172i,-0.00083459-0.00034563i,-0.0010497-0.00093371i,-0.00017864-0.0010268i,4.5722e-06-0.00031389i,-0.00015507+0.00057977i,-0.00051675-0.00073176i,-0.0010765-0.0040263i,-0.0018656-0.0050161i,-0.0024555-0.0042197i,-0.00094148-0.0027084i,0.00070961-0.0010496i,0.00043483-0.00022967i,-0.00047453+0.0005244i,-0.00050749+0.00075178i,-0.00031711+4.8734e-05i,-0.00024756+2.8481e-06i,-2.9706e-05+0.00020887i,-0.00032447+0.00046023i,-0.00060971+0.0011525i,0.00031659+0.001074i,0.0014885+0.00035389i,0.0011434+0.00092092i
-0.0015493+0.0019491i,-0.0010927+0.0024977i,-0.00037665+0.0024236i,0.0013661+0.0010218i,0.0027747+0.00042114i,0.0027418+0.00015763i,0.0013131-0.001424i,-0.0015927-0.0030803i,-0.0042902-0.0028449i,-0.0039391-0.0019735i,-0.0018417-0.0016878i,0.00032932-0.0004622i,0.00078059+0.0011711i,-0.00024147+0.0017355i,2.6728e-06+0.0011503i,0.0011925+0.0013558i,0.00080391+0.0012182i,-0.00057549-0.00034979i,-0.00085849-0.00046516i,-5.2013e-05+0.0001108i,0.00052129+0.00022071i,0.00054252+0.00030789i,0.00016347+0.00054039i
0.00025304+0.00077551i,8.7958e-05+0.0010125i,0.00089388-7.7815e-05i,0.00082447-0.00051311i,0.00045097-0.00021544i,0.0016328+0.00037504i,0.00097635+0.00083074i,-0.0020657+0.0010021i,-0.0040848+0.0017918i,-0.0037105+0.0017425i,-0.0022344+0.00072116i,-0.0008707+0.00026191i,-1.6986e-05+2.0576e-06i,0.00082804+0.0004612i,0.0015227+0.00088985i,0.001871+0.0004999i,0.001444-1.5844e-05i,0.00066384-0.00091i,0.00051487-0.00092727i,0.00061921-0.00034865i,0.00075053-0.00097569i,0.00030259-0.0015693i,0.00018986-0.0010932i
0.00076936+0.0014191i,0.00054224+0.0022559i,-0.0003509+0.0015907i,-0.0014109-0.00062883i,-0.0012086-0.0012037i,-0.00035827-0.00032899i,0.00098683+0.00018171i,0.0011659+0.0013816i,-4.8161e-05+0.0025959i,-0.00036123+0.0020978i,-0.00056144+0.00068936i,-0.00072123-0.0004216i,2.6041e-05-0.00088302i,0.00043552-0.00053213i,0.00061807-0.00033417i,0.0008349-0.00068356i,0.00056741-0.0005782i,0.00035752-0.00033334i,0.00016148-0.00013986i,0.00010662+0.00028287i,-0.00014548+0.00055573i,-0.00065837+0.00049069i,-0.00039406+0.00097414i
-3.1556e-06-0.00064894i,-0.00095277-0.00076975i,-0.0009572-0.0015825i,0.00026084-0.0019947i,0.00089273-0.0013938i,0.0018928-0.0009287i,0.0031182-0.00030486i,0.0035608-0.00030949i,0.0034108-0.00028869i,0.0022632+0.00073739i,0.0013534+0.0013146i,0.00077667+0.0010868i,0.00013592+0.00035606i,-6.7449e-05-0.000714i,-0.00012161-0.0017524i,0.00010723-0.0014954i,-0.00016982-0.00079799i,-0.00055213-0.00081762i,-0.00048603-0.00059069i,-0.00067816-0.00021071i,-0.00092948-0.00021043i,-0.0010254+0.00025152i,-0.00094145+0.00048474i
0.00076743-0.00066698i,0.00087506+0.00015232i,0.00036131+0.00034697i,-0.0010976+0.0013354i,-0.0015565+0.0020216i,-0.00096443+0.00097624i,0.00087724-0.0012217i,0.0029434-0.0038113i,0.0025409-0.0044926i,0.001011-0.0031755i,0.00063408-0.00097302i,0.00023323+0.00058913i,-0.00036183+0.00043619i,-0.0004453-0.00071654i,-0.00033809-0.001483i,-0.0008752-0.0012469i,-0.00074088-0.00078057i,-0.00018849-0.00075382i,-0.00014621+0.00036143i,-0.0004677+0.0015658i,-0.00026632+0.00080105i,0.0008929+0.0003542i,0.00119+0.00046141i
0.00076562-0.00078416i,0.0011866-0.0014987i,0.001491-0.0025036i,0.00010795-0.002885i,-0.00011299-0.0020017i,0.00045609-0.00069717i,0.00013829-0.0016514i,-0.0014007-0.0048183i,-0.003019-0.0063253i,-0.0031404-0.0040706i,-0.0013674-0.0021708i,0.00090091-0.0021147i,0.0016671-0.0019304i,-0.00022557-0.0014823i,-0.0022895-0.0013549i,-0.0020102-0.0011344i,-0.0011272-0.00050718i,-0.00095037-2.2774e-06i,-0.0011242+0.00054629i,-0.00071001+0.0010821i,-0.00038812+0.00075686i,-6.0275e-05-0.00042145i,0.00051731-0.00054689i
0.0021919-0.0017336i,0.0023202-0.0019543i,0.0030255-0.0032314i,0.0028441-0.0032278i,0.0018635-0.0022026i,0.0018744-0.0011294i,0.0006963-0.00059641i,-0.0025652-0.0017593i,-0.0045416-0.0028245i,-0.0040289-0.0027194i,-0.0025585-0.0019536i,-0.0014585-0.0017932i,-0.00046906-0.0016674i,-0.00015086-0.00065005i,-0.0003759+0.00094471i,0.00057906+0.0019001i,0.00071646+0.0015836i,-0.00044423+0.00083266i,-0.00055804+0.000839i,-0.00038001+0.0013269i,-5.3966e-05+0.00069649i,-0.00025005-0.00023848i,-0.00032707-0.00029332i
0.0019357+0.0002108i,0.0025693+0.00028715i,0.0019719+0.00049294i,0.0004225-0.00061214i,-0.0001331-0.0015584i,0.00064762-0.0015264i,6.1824e-05-0.00040507i,-0.002319+0.00083817i,-0.0041596+0.0012596i,-0.0033905+0.0020263i,-0.0018519+0.0016292i,-0.0019903+0.00047333i,-0.0012293+0.00053418i,0.00024791+0.0010123i,0.00084121-1.8382e-05i,0.00084387-0.00084502i,1.5878e-05-0.0003474i,-0.00071126+0.00048746i,-0.0005865+0.00060258i,-0.0004576+0.00058013i,-0.00089824+0.0012332i,-0.0010604+0.0012243i,-0.00030492+0.00028094i
-0.00085064-0.00050466i,-0.00067781-0.00055924i,-0.0012548+9.4065e-06i,-0.0015291-0.00023839i,-0.0013687-0.00080116i,-0.0015497-0.00040523i,-0.00026198+0.0011281i,0.00021959+0.0023137i,-0.00074564+0.0027432i,-0.0014791+0.0023925i,-0.0017633+0.0012181i,-0.0014497+0.00073048i,8.4313e-05+0.00071388i,0.0012295-9.7529e-06i,0.0021355-0.00070757i,0.0025367-0.0015748i,0.0014623-0.0015297i,0.00046475+0.00012947i,0.0003286+0.00089156i,0.00018363+0.00067373i,-4.7661e-05+0.00088781i,-0.00043094+0.00059969i,-0.00016761+0.00044398i
0.00042271+0.0004288i,0.0012918+0.00048907i,0.00085867+0.0007507i,-0.00034904+0.00047386i,-0.0011436+0.0011207i,-0.00072278+0.0022343i,0.0013425+0.001702i,0.0033603-0.00026473i,0.0028418-0.0010338i,0.0020562-0.00043103i,0.0023584+0.00088696i,0.001982+0.0012465i,0.0012866+0.0009641i,0.0010966+0.00031293i,0.0016837-0.00072034i,0.00092756-0.00066033i,-0.00036643-0.00062751i,-0.0006592-0.00052798i,-0.00067484-0.00020643i,-0.00025502+0.00030972i,-0.00050478+0.00036309i,-0.0002014+0.00071819i,0.00048572+0.00047973i
-0.00058701+0.00017761i,-0.00059668+0.00053683i,-0.00032984+3.8085e-05i,0.00085349-0.00067496i,0.0017048+0.00045948i,0.0024679+0.0019849i,0.0031151+0.00031218i,0.0025451-0.0022301i,0.0010007-0.0031693i,0.00033783-0.0024669i,0.0014688-0.0010661i,0.0023323+1.0523e-05i,0.0016523+0.00058887i,-0.00013554-0.00013217i,-0.001154-0.00097702i,-0.0010588-0.00089054i,-0.00052932-0.00072704i,5.7034e-05-0.00066106i,-0.00022858-0.00091623i,-0.00044868-0.00086082i,-0.00064691-0.00061149i,-4.1338e-05-0.00014489i,0.00098122+6.372e-05i
-0.0027839-0.00061192i,-0.003116-0.0010835i,-0.0026462-0.00064663i,-0.00050978-0.00034749i,0.0017195+0.00027528i,0.0033158+0.00036377i,0.0028222-0.0017235i,0.00079722-0.0042673i,-0.0012505-0.0049711i,-0.0021233-0.0037334i,-0.0010608-0.0028516i,0.00066749-0.0028096i,0.00073795-0.0020175i,-0.00026128-0.00061468i,-0.00073659+0.00040247i,-0.000188+0.0011231i,0.00029885+0.0011744i,-0.00043163+0.00018879i,-0.00084388+0.00030752i,-0.00077316+0.00090783i,-0.00054721+0.00092917i,-0.00084561+0.0012456i,-0.00039185+0.00065008i
0.00086998+0.00094636i,0.0010357+0.0018838i,0.0017114+0.0016253i,0.0018855-0.00085204i,0.0016866-0.0018174i,0.0015923-0.0018436i,0.00060414-0.0019694i,-0.0020288-0.0018262i,-0.0045165-0.0014531i,-0.0044098-0.0013125i,-0.0022843-0.0016432i,-0.00074713-0.0019001i,-0.00076319-0.001543i,-0.0014567-0.0012455i,-0.00058875-0.00078311i,0.00044512-0.00010841i,0.00020143+0.00037868i,-2.2251e-05+0.0010189i,-0.0004432+0.0010802i,-0.00071033+0.00037254i,-0.00058393-0.0002641i,-7.6204e-05-0.00040354i,0.00021528+2.7222e-05i
0.0010063+0.0028088i,0.0011521+0.0020876i,7.019e-05+0.00093935i,-0.00038436-0.00025223i,-0.00074059-0.0020552i,-0.0020945-0.0028736i,-0.0025716-0.0011714i,-0.0031378+0.00065839i,-0.0032267+0.0015389i,-0.0028652+0.0016492i,-0.0023892+0.00080638i,-0.0015053+0.00029386i,-0.00069359-1.802e-05i,0.00023993-3.0895e-06i,0.0013555+0.00039472i,0.001565+0.00023056i,0.00078236-5.3362e-06i,0.00040645+0.00048292i,0.0009734+0.00065871i,0.0011467+0.00026969i,0.00073915+0.00020837i,0.00030247+0.00018462i,0.00055921+0.00034272i
0.0013312+0.00027029i,0.0013764+0.00024708i,0.0022039+0.00094345i,0.00079749+0.00046795i,-0.0012589+0.00053095i,-0.0016799+0.0015373i,-0.00061661+0.0025792i,0.00013983+0.0029104i,-0.00048369+0.0020912i,-0.00097238+0.0013727i,-0.0011892+0.0011883i,-0.0010651+0.0015171i,4.2712e-05+0.0012656i,0.00055301+0.00051525i,0.00068552+0.0003551i,0.00090681+6.671e-05i,0.00068315-0.00031354i,0.0005312-0.00050611i,-0.00029764-0.00083272i,-0.00022169+2.7601e-05i,0.00065505+0.00058127i,0.00067323+0.00013488i,0.0005656+0.00021525i
0.0010411-0.0021658i,0.00021138-0.00077948i,0.00018123+1.5629e-05i,0.00067977+0.0012232i,0.00086863+0.0029921i,0.0012873+0.0038873i,0.0030596+0.0025891i,0.0032567+0.00072068i,0.0016921-0.00058005i,0.00028971+7.3077e-05i,7.2065e-05+0.0013318i,0.0011406+0.0014204i,0.0016068+0.00063292i,0.00099765-0.00025711i,0.0003913-0.0013033i,0.00028442-0.0013877i,0.00033148-0.000358i,0.00059043-0.00038953i,0.00080384-0.00085333i,0.00055181+0.00050929i,0.00012405+0.00094102i,-0.00013136+0.00035128i,-1.8244e-06+0.00027143i
-0.00037938-0.00058496i,3.5592e-06-0.00070974i,-4.6692e-05-0.00048324i,0.0005546-0.0003412i,0.0021962-0.00030806i,0.0032119-0.00023096i,0.0037337-0.0013336i,0.0033316-0.0027472i,0.0015211-0.0033105i,0.00038952-0.0024882i,0.00063629-0.00077279i,0.0020988+0.00027584i,0.0023611+0.00036433i,0.0011355+0.00039751i,-3.0446e-05+0.00018332i,-0.00068029-0.00056201i,6.1554e-05-0.0008163i,0.00014467-2.9374e-05i,-0.0012763-2.1919e-05i,-0.00084902-0.00058205i,7.2736e-06+5.3483e-05i,-0.0001917+0.0009204i,-0.00021768+0.00069038i
-0.0029472-0.00085799i,-0.0034105-0.0013365i,-0.002967-0.00095371i,-0.0020601-0.0014097i,-0.00010847-0.0022508i,0.0029341-0.0024129i,0.0034196-0.0033249i,0.0017244-0.0046991i,-0.00081322-0.0046471i,-0.0022453-0.0032052i,-0.00036892-0.0018462i,0.00053237-0.0012286i,8.8195e-05-0.00070039i,-0.00032248-0.00056511i,-0.00070113-0.00035389i,7.9296e-05+0.00023508i,0.00031218+0.00067771i,-0.00057717+0.00097425i,-0.0013623+0.00056214i,-0.0009657-0.00012229i,-0.00056022-0.00018191i,-0.00027406-0.00011344i,0.0002255-0.00031442i
0.00038755-0.0019955i,0.00055762-0.0023775i,-9.5558e-05-0.0027413i,-0.0010429-0.002529i,-0.0020196-0.0022059i,-0.0020972-0.0019507i,-0.0016822-0.0020126i,-0.0018399-0.0027294i,-0.0027338-0.0033909i,-0.0028066-0.0030558i,-0.0018295-0.0027549i,-0.001763-0.0024304i,-0.0017017-0.0019046i,-0.0010985-0.00088572i,-0.00048426-0.000122i,7.1198e-05+0.00023291i,-0.00041818+0.00027732i,0.00015568-7.1706e-05i,0.0011294+8.3436e-05i,0.0010719+0.00059884i,0.00022906+0.00034642i,0.00040118+1.4227e-05i,0.00097658+0.00045182i
-0.0023724+0.0030304i,-0.0021382+0.0040745i,-0.001062+0.0045874i,-0.002678+0.0029261i,-0.00507+0.0016548i,-0.0052365+0.00044445i,-0.0034195-0.00054807i,-0.002109+0.00058984i,-0.0022047+0.00043915i,-0.0023824-0.00066785i,-0.002218-0.00070903i,-0.0017354-0.00058502i,-0.0012576+0.00020639i,-0.00067365+0.0010123i,-6.3467e-05+0.0010415i,0.0001836+0.00035284i,-0.00011348+1.9881e-05i,-0.00054542+0.00043134i,-0.00081295+0.00024298i,-0.0003957-0.00056717i,0.00073467-0.0007647i,0.00042045+0.00028781i,0.00017477+0.0012772i
-0.00049892-0.00096799i,-0.00085726-0.00057333i,0.00051421-0.00067423i,0.0022655+0.00023098i,0.0021603+0.0033087i,-0.00013559+0.0046118i,-0.00086604+0.0036763i,-0.0010181+0.0020157i,-0.0021028+0.00012501i,-0.0019966-0.0008269i,-0.0014783+0.00054715i,-0.0011322+0.0021603i,-0.00074795+0.0021409i,-0.00093688+0.0013987i,0.00042459-0.00010344i,0.0014875-0.001442i,0.0010476-0.0012114i,0.00030827+0.00013114i,0.00057685+0.0005255i,0.00065839+0.00053405i,-0.00053808+0.0010255i,-0.00083793+0.0013213i,5.5184e-05+0.0015631i
0.0017507+0.001043i,0.00088694+0.00083375i,0.0012127+0.0010224i,0.0020492+0.0019533i,0.0025884+0.0028204i,0.003505+0.0039825i,0.0039654+0.003473i,0.0027769+0.0014451i,0.0014832+3.4286e-05i,0.0012489+0.00016935i,0.0015515+0.00090345i,0.0019549+0.00085066i,0.0017019+0.00046471i,0.0013631+0.00066047i,0.00072977+0.00024457i,-7.3537e-05-0.00032963i,2.0273e-05-0.00034706i,0.000438+2.6539e-05i,-0.00038817-0.00011583i,-0.00068754-9.1089e-05i,-1.391e-05+0.00031897i,0.00020226+0.00018761i,0.00025346+0.00026663i
0.00021852+0.0043829i,-0.00053151+0.0027743i,-0.0010119+0.00088302i,0.00011933-0.0021927i,0.0030577-0.0045266i,0.0050725-0.0038509i,0.0051999-0.0025934i,0.0041664-0.0028928i,0.0017874-0.0025903i,0.00017917-0.00097718i,0.00067694-0.00050542i,0.001879-0.00077192i,0.0026927-0.00014309i,0.002282+9.0963e-05i,0.0015496+0.00023708i,0.00084996+0.00013895i,0.00076783-0.00036436i,0.00085519-0.00056007i,-3.818e-05-0.00013477i,-0.00064279+0.00090284i,-2.8209e-05+0.0014065i,0.00037386+9.4603e-05i,0.00056221-0.00081285i
0.00038076-0.00091076i,0.001903-0.0008224i,0.0028287-0.0014815i,0.0017679-0.0029688i,0.00065214-0.0054911i,0.0013621-0.0070386i,0.0026037-0.0067875i,0.001975-0.0066471i,0.00035103-0.0061227i,-0.00020054-0.003887i,0.0011236-0.0022922i,0.0016232-0.0016561i,0.0010246-0.00059654i,0.0003144+0.00026196i,-0.00051549+0.00066479i,-0.00093719+0.00088142i,-0.0011574+0.00075766i,-0.00096573+0.00030171i,-0.00032727+0.00047917i,0.00029107+0.00092113i,0.00027865+0.00055324i,-3.0983e-05+0.00038989i,0.00014407+0.00064221i
0.0034758-0.001443i,0.0033775-0.0008415i,0.0019267-0.0013179i,-0.0017-0.00097166i,-0.0057308-0.00090461i,-0.0066463-0.0017193i,-0.0049126-0.002467i,-0.0037345-0.0036301i,-0.0030443-0.0039029i,-0.0020629-0.0029909i,-0.0020321-0.0024334i,-0.0022052-0.0023069i,-0.0021726-0.001572i,-0.0018435-0.0019628i,-0.00086553-0.0017548i,-0.00060186-0.00032125i,-8.4088e-05-0.00014933i,0.00036052-0.00036982i,0.00034275-0.00027561i,0.00090398-0.00021729i,0.00094946+0.0001384i,0.00043726+5.9829e-05i,0.00037583-0.00055065i
0.001655-0.0017083i,0.0017208-0.0013731i,0.0010448-0.0017791i,-0.0010237+0.00052054i,-0.0039214+0.0038312i,-0.0053262+0.0046327i,-0.0051399+0.0024138i,-0.0048144-0.0004457i,-0.0042253-0.0011229i,-0.003351-0.00087331i,-0.0032909-0.0008788i,-0.0023422-0.00023638i,-0.0010909+0.00033429i,-0.00040848+0.00060799i,0.00068645+0.0013145i,0.0013086+0.00075032i,0.0008265-0.00017964i,-0.00052955-7.8566e-05i,-0.001217+0.00067697i,-0.00080706+0.0015291i,-0.00063514+0.00080303i,5.1752e-05-0.00010571i,0.001258-6.681e-05i
0.0010342-0.0019829i,0.0011586-0.0023412i,0.0016075-0.0017551i,0.0025052+0.00054854i,0.0032149+0.0046973i,0.0024107+0.0073936i,0.0012806+0.0064875i,-6.4089e-05+0.0041478i,-0.0019928+0.0018902i,-0.0030896+0.00079954i,-0.0028917+0.0015068i,-0.0021758+0.0015626i,-0.001077+8.8174e-05i,-0.00093624-0.00015469i,-0.001235+0.00038523i,-0.0010816+0.0004191i,-0.00030726+9.8116e-05i,0.00019506+0.00028582i,9.1051e-05+0.00079791i,-5.953e-05+4.5078e-06i,-0.00055199-0.00048477i,-0.00083655+0.00024888i,-0.00052122-0.0004974i
-0.0029507-0.0015038i,-0.0038159-0.0011463i,-0.0029188-0.00083227i,0.00017991-0.00094713i,0.0036222-0.00022365i,0.0058866+0.0017931i,0.0058141+0.0021922i,0.0044225+0.0016347i,0.0010771+0.0015856i,-0.0017462+0.0021581i,-0.00057189+0.0030273i,0.0016211+0.0023514i,0.0010691+0.0011306i,-9.1366e-05+0.00020014i,0.00033809-0.0003679i,0.00070558-0.00047972i,0.0005965-0.0004751i,9.4006e-06+5.3396e-05i,-0.00076101+0.00061491i,-0.00029956+0.00092177i,0.00022053+0.00092354i,-0.00023282+0.00046815i,-0.00011584+4.4243e-05i
0.001635-0.001793i,0.0013007-0.0027516i,0.001571-0.0040537i,0.0011674-0.0057602i,0.0015187-0.0079522i,0.0040632-0.0068578i,0.0062086-0.0043467i,0.0048276-0.0033597i,0.0019445-0.0022742i,0.00048182-0.00064011i,0.00066508-0.00044777i,0.00049074-0.00026227i,-0.00071859+0.00024349i,-0.0008509-5.6857e-05i,-0.00050148+0.00013417i,-0.00048642+0.00047073i,1.4633e-05+0.00015071i,-2.7423e-06-0.00046227i,-0.00051228-0.00080398i,-0.0007845-0.00019314i,-0.00019942-0.00034408i,-0.00037816-0.00068121i,-0.00063333-0.00020608i
-0.0003064-0.0024433i,-0.0011468-0.0022962i,-0.0013595-0.0015243i,-0.0036884-0.0023358i,-0.0062807-0.0043897i,-0.0050581-0.0057662i,-0.00083621-0.0061437i,0.00065001-0.0062584i,4.502e-06-0.0055603i,0.00028637-0.0040664i,0.00024823-0.0031339i,-0.00092711-0.0013684i,-0.0013587+0.00020081i,-0.00083287+7.6501e-05i,-0.00043092+0.00022358i,-0.00036499+0.00035939i,-0.00014895-0.00043587i,-0.00046451-0.0011364i,-0.0011778-0.00072369i,-0.00053869+0.00068043i,-3.2739e-05+0.0011849i,-0.00030216+0.00061156i,0.00012006+9.3256e-05i
-0.0014068-0.0011405i,-0.0025991-0.0015598i,-0.0038663-7.4888e-05i,-0.0046076+0.0028473i,-0.0064195+0.0050037i,-0.0069498+0.0040242i,-0.0049068-0.00056832i,-0.0026067-0.0043532i,-0.0023403-0.0049463i,-0.0020538-0.0039593i,-0.001501-0.0028953i,-0.0010603-0.0010926i,-0.00024458+0.00066322i,-0.0002162+0.00067727i,-0.00036166+0.00074354i,0.00041444+0.0010085i,0.00027721+0.00020154i,-0.00086386+0.00026407i,-0.0015905+0.00083938i,-0.0015315+0.00087125i,-0.0014171+0.00038857i,-0.00097723-0.00024199i,-6.4651e-05+0.00010955i
7.5231e-05+0.0018191i,-0.00028539+0.0016435i,-5.1335e-05+0.0021192i,0.00052866+0.003998i,-0.00027726+0.0079426i,-0.0027926+0.0097972i,-0.004291+0.0061956i,-0.0039166+0.0020379i,-0.0041717-0.00089588i,-0.0040072-0.0018178i,-0.0030123-0.0007532i,-0.0013332-1.037e-05i,0.00047372-0.00045949i,0.0017131-0.0014688i,0.001866-0.0011788i,0.00063686-0.00030777i,-0.00044984+0.00040956i,-0.0004988+0.000593i,0.0004261+0.00026432i,0.0009665+0.00083129i,0.0013415+0.0011553i,0.0014954+0.00052583i,0.00061797+0.00026722i
-0.0002324+0.00045206i,0.00038477-7.8701e-06i,0.0016225-0.00090521i,0.0048975-0.00070254i,0.0086731+0.00121i,0.009262+0.0050173i,0.0061253+0.0060029i,0.002235+0.0037496i,-0.0013642+0.00081886i,-0.0035031-0.00023389i,-0.0025475+0.0013091i,-0.00020301+0.0013371i,0.00062359-0.00018072i,0.00054968-0.0011004i,0.0011999-0.0011404i,0.0011341-0.00042141i,4.306e-05+0.00032882i,-8.5432e-05+0.00037447i,0.00091607-0.00013769i,0.00066654+5.7086e-05i,6.0216e-05+0.00045063i,7.2379e-06+0.00074759i,2.3573e-05+0.00069445i
-0.00063627+0.002899i,0.00042277+0.0024979i,0.0014316+0.00091127i,0.0028598-0.0028534i,0.0063973-0.0057123i,0.010109-0.0039618i,0.0091953-0.00055743i,0.0058906+0.00063934i,0.002083+0.0011556i,-0.00039933+0.001885i,0.00045908+0.002148i,0.0019639+0.0010083i,0.00077081-0.00019631i,-0.00081576-0.00022361i,-0.00074368-0.00022503i,4.2551e-05-0.00067075i,0.00068004-0.00091271i,0.00071332-0.0010531i,-0.00048894-0.0012325i,-0.0006565-0.0012605i,1.6288e-05-0.000734i,0.00027264+0.0001988i,0.00019275-2.133e-05i
-0.0020674-0.0010892i,-0.0018669-6.1842e-05i,-0.0034594-0.00011567i,-0.0071474-0.0035939i,-0.0076184-0.0082867i,-0.0028716-0.01055i,0.0024239-0.0091715i,0.0043851-0.0066282i,0.0031309-0.0037372i,0.0012143-0.0010704i,0.00053385-4.9653e-05i,-0.0001757-0.00019153i,-0.0012257+0.00025381i,-0.0012539+0.001225i,-0.0006195+0.00046444i,-0.00026735-0.00062805i,0.00049719-0.00082627i,0.00012163-0.00089851i,-0.0010264-0.00078985i,-0.00063657-0.00033832i,-7.308e-06-0.00026124i,-0.0003121-0.00028082i,0.00023325+0.00016693i
0.0020259+0.00061565i,0.0017227+0.00074739i,0.0011194+0.00051275i,-0.0020778+0.00077439i,-0.0077639-0.00040563i,-0.0093798-0.0034809i,-0.0057392-0.0060768i,-0.0023207-0.0072838i,0.0001152-0.0061203i,0.0011898-0.0034028i,0.00093354-0.0024565i,0.0001283-0.002021i,-0.00046455+5.9575e-05i,-0.0003549+0.0019245i,-0.0003322+0.001639i,-0.00050627+0.00088537i,-0.0012273+0.00065905i,-0.0015649+0.00071135i,-0.0013514+0.0004575i,-0.0010007+0.00039336i,-0.00082393-0.00030323i,-0.00077775-7.9067e-05i,-0.00079594+0.00073959i
-0.0010342+0.00087656i,-0.00053663+0.0014634i,-0.00087444+0.0012031i,-0.0017741+0.0043609i,-0.0042413+0.0095326i,-0.0067852+0.0094114i,-0.0069684+0.0033322i,-0.0066633-0.0021112i,-0.0056861-0.0039749i,-0.0024734-0.003813i,-0.00045216-0.0027263i,2.6307e-05-0.0003898i,0.001475+0.0010623i,0.0024097+0.00074284i,0.0013929+0.00056511i,0.00039656+0.00036384i,0.00028691+6.5252e-05i,8.8747e-05+0.00056815i,-6.0278e-05+0.0016674i,-0.00026017+0.0016864i,-0.00031076+0.00082162i,-0.00071729+0.00092193i,-0.0004808+0.00090226i
-0.0043926-0.00048863i,-0.0040654-0.0012658i,-0.0019934-0.00026695i,0.0048866+0.0035072i,0.010956+0.0089331i,0.0085767+0.013343i,0.0025462+0.011178i,-0.002418+0.0053114i,-0.0054455+0.00074567i,-0.0055856-0.0014328i,-0.0041822-0.0010107i,-0.0020665+0.000664i,0.00051774+0.00071541i,0.0021806-0.00032381i,0.0023809+0.00041233i,0.0020502+0.0011965i,0.0015658+0.00038893i,0.000605-0.00070862i,9.4549e-05-0.0012928i,-0.00014696-0.00089802i,-0.00043557-0.00035501i,-0.00011262-0.00053991i,0.00030191-0.00098336i
-0.0017199-0.00091017i,-0.0014427-0.0011378i,-0.00056471-0.0027102i,0.0030336-0.0040838i,0.0081763-0.0041474i,0.012415-0.000284i,0.011158+0.0033991i,0.0058822+0.0039298i,0.00044715+0.0028745i,-0.0030022+0.0018291i,-0.0027647+0.0019137i,-0.001291+0.00048289i,-0.00032119-0.0021743i,-0.00056925-0.0027214i,-9.9423e-05-0.0018153i,0.00081089-0.0014213i,0.00092483-0.0013955i,0.0008766-0.0011034i,0.00037894-0.00068111i,-0.00019186-0.00037508i,-0.00056164+0.00036869i,-0.00043616+0.0012397i,0.00046184+0.00098185i
-0.000337-3.1556e-05i,-0.00085066+0.0007409i,-0.003144-0.0027665i,-0.0046242-0.0088722i,-0.0025937-0.014756i,0.0030162-0.015198i,0.0071761-0.0093579i,0.0065701-0.0035635i,0.0033173-0.00081923i,0.00040893+0.0013291i,0.00024347+0.0027824i,0.0010206+0.0014294i,-0.00046666-0.0010437i,-0.0016637-0.001563i,-0.00095468-0.0015174i,-0.00073148-0.0014629i,-0.00074511-0.001458i,-0.0013026-0.0016178i,-0.0025188-0.00079318i,-0.0024568-0.00031407i,-0.0018098-1.3811e-05i,-0.0013021+0.00088222i,-0.00099512+0.00088838i
