-0.0047643-0.00026433i,-0.0043888+0.0013897i,-0.0031147+0.0029912i,-0.0015295+0.0030978i,-2.2944e-05+0.0030159i,0.001059+0.0020785i,0.00089037+0.0014584i,0.00032443+0.001699i,1.1237e-05+0.0013582i,0.001502+0.00039956i,0.0026076-0.00044057i,0.0020617-0.00058777i,0.0017181-0.00060361i,0.001472-0.0016775i,0.0014027-0.0030495i,0.0010001-0.0024898i,-0.00030346-0.0015884i,-0.0011393-0.0010915i,-0.0012697-0.00069498i,-0.000943-0.00019743i,-0.0010824+0.00059455i,-0.0013188+0.00093105i,-0.00067992+0.00080709i
0.0017176+0.00023219i,0.0036587-0.0001499i,0.0040474-0.0025423i,0.0017538-0.0039126i,9.8011e-05-0.0031629i,-0.0011321-0.0019521i,-0.00085828-0.00053705i,-0.00073166+0.00044081i,-0.0015731+0.00045949i,-0.0017846+0.00098661i,-0.0015746+0.0016188i,-0.00091733+0.0014373i,-0.00059617+0.00082855i,-0.0011507+0.00058404i,-0.0013684+0.00058738i,-0.00066639+3.1977e-05i,-0.00041369-0.0006055i,-0.00044971-0.00050549i,-5.358e-05+0.00096986i,0.00037485+0.0022052i,0.0002591+0.0016655i,-0.00026352+0.0006012i,-0.00063862-0.00056218i
0.00014952-0.0014661i,0.000363-0.00050039i,0.00092435-0.0006729i,0.0010501-0.00080564i,0.00034979+0.00057872i,-0.00013339+0.0018652i,0.00031813+0.0012102i,0.00027696+0.00043552i,0.00017895+0.0010314i,0.00057926+0.0012391i,0.0011742+0.0010497i,0.0010515+0.001181i,0.00062459+0.00069172i,0.0010914+0.00043904i,0.001+0.0007062i,0.001168+0.00025085i,0.00095806-0.00051731i,-0.00030419-0.0016036i,-0.00050363-0.0016495i,0.00038477+0.00016242i,0.00023001+0.0010916i,-0.00037265+0.00027979i,-0.00022551-0.00012625i
0.0010434-0.0023766i,0.00076656-0.0012241i,0.001034-0.0022011i,0.00076099-0.0029853i,0.00018323-0.00062495i,0.00083284+0.0012439i,0.00084731+0.0013392i,4.0877e-05+0.0017873i,-0.00037086+0.0017949i,0.00061856+0.00077142i,0.0015258+0.00049853i,0.0011675+0.00059241i,0.00082534+0.00064526i,0.0012427+0.0010665i,0.0011184+0.001158i,0.00057436+0.00077366i,-0.00028229-0.0001175i,-0.00065537-0.00092177i,-0.00023149-0.0010783i,0.0005425-0.00054132i,0.00060348+7.136e-05i,-0.00011807+0.00034103i,-0.00061764+0.0010604i
0.00088187+0.00088749i,-0.00036587+0.00038044i,0.0004624+0.00014793i,0.001366-0.0010077i,0.00088668-0.0015006i,0.00047649-0.00067824i,-0.00016995+0.00087705i,-0.00072208+0.0016149i,-0.0007077+0.0010523i,-0.00033457-0.00013952i,4.7549e-05-0.0013466i,0.00068688-0.000912i,0.0011889+0.00065518i,0.00058414+0.0015722i,-8.8948e-05+0.0011096i,-0.00015479-0.00025469i,-0.00029705-0.0009117i,-0.00038236-0.00052389i,5.7451e-05-0.00020572i,-1.6969e-05-0.00035903i,0.00019906-0.00031485i,0.00083783-0.00084143i,0.00067732-0.0011679i
0.00036181+0.0024103i,0.0035497-0.00015632i,0.004134-0.00066607i,0.0028496-0.0011305i,0.001795-0.0021199i,0.0013009-0.0012023i,0.00068473+0.00039564i,-0.00045135+0.0008985i,-0.00066932+0.00098433i,-0.00042106+0.00057631i,-0.00033741-0.00032978i,-0.00045777-0.00047239i,-0.00040017-0.00036632i,-0.00044757-0.00080949i,-0.00079301-0.0011871i,-0.00077386-0.00085572i,-0.00044271-9.5162e-05i,-0.00012388+0.00048429i,-0.0008892+2.3661e-05i,-0.0013732-0.00014773i,-0.00073649+3.1438e-05i,-0.00016386+0.00044971i,0.00016128+0.0012278i
-0.0015329+0.00016064i,0.00047076-0.0001757i,0.00081433-0.00060028i,-0.00049233-0.0011989i,-0.0013524-0.0012798i,-0.0012486-0.00086159i,-0.0012177+5.0409e-05i,-0.001451+0.00057466i,-0.00081804-0.00029623i,-0.00057296-0.00073305i,-0.00085351-0.00020878i,-0.00029059+4.0217e-05i,-0.00028635+0.00098457i,-0.00078964+0.0014577i,-0.00028601+0.00099339i,-0.00047471-0.00015122i,-0.00066182-0.001151i,0.00016384-0.0014043i,0.00033621-0.00059029i,-0.00056074+0.00025954i,-0.0012024-0.00026057i,-0.0011064-0.00083847i,-0.00069633-0.00026154i
0.00061228+0.00016573i,0.0031201-0.00053485i,0.0043951-0.0012843i,0.0044091-0.0017039i,0.0037176-0.00020494i,0.0023975+0.00073042i,0.00049109+0.00092953i,-0.0011577+0.000781i,-0.0017623+0.00063878i,-0.0013637+0.00097632i,-0.00033964+0.0015293i,0.0002935+0.0016044i,0.00030648+0.0015939i,-0.00038302+0.0010983i,-0.00082119+0.00083682i,-0.00079801+0.00081606i,-0.0010834+1.053e-05i,-0.00091014+0.0001419i,-0.00093559+0.0011006i,-0.00092162+0.00085472i,-0.00070341+0.00043137i,-0.00048848+0.0004255i,-0.00019064+0.00058915i
-0.00044659-0.00042557i,-0.0016204+0.0013833i,-0.0012499+0.0012403i,-0.00085005-0.0013805i,-0.0015468-0.0022184i,-0.0013729-0.0010124i,-0.0011811-0.00070122i,-0.0006886-0.00057641i,-5.4284e-05-0.00011142i,0.00041166+0.00029206i,0.00088736+0.0010576i,0.0012374+0.0013048i,0.0015322+0.00083642i,0.0013044+0.00048337i,0.0015871+2.9046e-05i,0.0014665+0.00012034i,0.00032546+0.0010276i,-0.00014925+0.00085873i,-1.6297e-05+2.704e-05i,6.1504e-05-1.3741e-05i,-0.00059613+0.00020924i,-0.0011123-0.00017914i,-0.00061686-0.00072681i
0.0013548-0.00098191i,0.00029783-0.0025304i,0.0005499-0.0035298i,0.00089298-0.003021i,1.7291e-05-0.0013575i,-0.00073047+0.00036986i,-0.00096448+0.00097679i,-0.00083469+0.0011681i,-0.00028794+0.0013835i,0.00025191+0.0016388i,0.00082427+0.00090511i,0.00098266+0.0004592i,0.00057593+0.00086674i,-0.00013678+0.00049121i,-0.00084889+8.7972e-05i,-0.00017406-6.6254e-05i,0.00083362+1.1816e-05i,0.00054153+0.00038818i,6.3015e-05+0.0001796i,5.5644e-05-0.00054544i,-0.00014494-0.00064244i,-0.0010143-0.00014776i,-0.0012058-0.0001294i
0.0028742+0.0028207i,0.0051751+0.0024273i,0.0050311+0.0021729i,0.003454+0.0020192i,0.0015154+0.0016093i,-0.00084174+0.0012199i,-0.0017389+0.0015575i,-0.00097094+0.0015476i,-0.0010214+0.0013816i,-0.00088592+0.00052298i,-1.3998e-05-0.00063692i,0.00035135-0.00065331i,-0.00014439-6.4623e-05i,-0.00095267+0.0010179i,-0.0013462+0.0016322i,-0.00031762+0.00066849i,0.00017852-0.00071379i,-0.0005758-0.0011773i,-0.00065854-7.0703e-05i,-9.2533e-05+0.00021724i,0.0005816-4.917e-05i,0.0011527+5.7149e-06i,0.00057285-0.00028105i
-1.5998e-05-0.0019207i,-0.00049857-0.0014316i,-0.0016398-0.0034204i,-0.0014561-0.0038648i,0.00045348-0.00063126i,0.0016655+0.0019833i,0.0010818+0.0022577i,-7.3213e-05+0.001713i,-0.0009023+0.001042i,-0.00093447+0.00050207i,-0.00052732-0.00021721i,-0.00072006-0.0001786i,0.0002107+0.00048201i,0.0011449+0.0011795i,0.00057831+0.0014249i,-0.00016301+0.00046336i,-0.00011586-0.00054676i,-0.0001434-0.0012012i,-0.00012115-0.0011431i,0.00018624-0.0010361i,-0.00011958-0.00081968i,-0.00047102+0.00041676i,-0.00061478+0.00086068i
-0.00088544+0.00023243i,0.002272+9.4978e-05i,0.0046336-0.0016905i,0.0045274-0.0031013i,0.0022476-0.0022969i,0.0011144-0.0013064i,0.00072684-0.00051986i,-2.8234e-05+0.00032735i,-0.0012344+0.00068216i,-0.0018909+0.00056206i,-0.0018109+0.0011696i,-0.00078471+0.0018526i,0.0002102+0.0013273i,0.00081951+0.00034935i,0.001234-7.31e-05i,0.00053949-7.6593e-05i,-0.0003279-0.00034264i,-0.0014668-0.00099162i,-0.0015961-0.00069814i,-0.00051275-0.0005806i,-0.00030583-0.00069002i,-0.00025564+2.6696e-05i,0.0003586+0.00038399i
0.00082454+0.0028032i,-0.00027144+0.0030994i,-0.00075576+0.001391i,-0.0020609-0.00066427i,-0.0039515-0.0019115i,-0.0039995-0.00095052i,-0.0022075+0.00056913i,-0.00025461+0.00084522i,0.0005508+0.00096425i,0.00011694+0.00092602i,-0.00080259+0.0011281i,-0.0005631+0.0014457i,-0.00016657+0.0012228i,-0.00127+0.001275i,-0.0015784+0.0015335i,-0.00043121+0.0011448i,-0.00051059+0.00058869i,-0.00077496+0.0007823i,-8.7293e-05+0.0013274i,0.00032633+0.0017206i,0.00088222+0.00097443i,0.0006319-0.0002868i,3.5132e-05-1.6292e-05i
0.0026537+0.00045887i,0.0040664-0.0019784i,0.0054763-0.0035568i,0.0048116-0.0027822i,0.0015752-0.00077177i,-0.00065026+0.0016089i,-0.0010094+0.0026919i,-0.00075352+0.0013247i,0.0006924+0.0010132i,0.0013684+0.0019183i,0.0006215+0.0023276i,0.00060247+0.0015603i,0.0007502+0.00026278i,0.00015138+0.00010369i,-0.00020774+0.00030118i,0.00028107+0.00034339i,0.00058566+0.00053051i,0.00094183+0.0012177i,0.00093925+0.0015031i,0.00037541+0.0015002i,0.00014157+0.00069335i,0.00020137-0.00038046i,0.00062781-0.00018467i
7.6666e-05+0.00099474i,0.00097565+0.0012491i,0.0016738+0.0022665i,0.0019664+0.0023571i,0.0025748+0.00032343i,0.0023496+0.00013505i,0.0011036+0.0006806i,-0.00044452-0.00039166i,-0.00038741-0.0011436i,0.0013115-0.0012785i,0.0021855-0.0010645i,0.0016525-0.0012601i,0.00091598-0.0017204i,0.00032526-0.0011994i,-0.00031376-0.0007963i,0.00012782-0.0011213i,0.0010824-0.001608i,0.00073424-0.0014253i,-0.00015998-0.00016353i,-0.00056266+0.00031219i,-0.00026815-5.9359e-05i,-8.7044e-05+0.00043712i,0.00038325+0.0010835i
0.0011602+0.0010898i,0.0030544-0.0013445i,0.0039115-0.0047348i,0.0019445-0.0050667i,1.1179e-05-0.0047746i,-0.00079375-0.0041056i,-0.0010764-0.0019466i,-0.0015908+0.0004195i,-0.0018599+0.00046152i,-0.0012658-0.00059563i,-0.00019739-0.0017606i,0.0002156-0.0025361i,-0.000794-0.0019533i,-0.0010985-0.0012001i,-0.0016835-0.00056655i,-0.0022846-0.00042118i,-0.0013386-0.001064i,7.6506e-05-0.0014693i,0.00021868-0.00013882i,-0.00024583+0.00082452i,-0.00080412+0.00038735i,-0.00061627-0.00055585i,-0.00019344-0.00086651i
0.0022667-0.0036468i,0.002844-0.0026271i,0.0031004-0.0028461i,0.0020248-0.0037822i,-2.6873e-05-0.0016971i,-0.0019784+0.0010046i,-0.0017188+0.0016419i,-0.00048901+0.001648i,-0.00071724+0.0014721i,-0.0014647+0.00091817i,-0.0010151+0.0007183i,-0.00063954+0.00042883i,-0.0011617+0.00053866i,-0.0010648+0.0012957i,7.1005e-05+0.0013219i,-4.8116e-05+0.0010416i,-0.001682+0.00035443i,-0.0016866-0.00065369i,-0.00083616-0.0014272i,-0.0011159-0.00036244i,-0.00098453+0.00051276i,-0.00025445+0.00022643i,0.00062564+0.00050906i
0.002378+0.0022195i,0.00054779+0.0014689i,0.00071885+0.0010437i,0.00086851+0.00080398i,-0.0010711+0.00053287i,-0.0015364+0.00080742i,-0.00064816+0.0022122i,-0.00059496+0.0031758i,-0.00082314+0.0024375i,-0.00064238+0.0006299i,-0.00063835+0.00039535i,-0.00066097+0.0017571i,-0.0013641+0.0023128i,-0.0013305+0.0017734i,-0.00016581+0.0014902i,0.00030374+0.0018348i,0.00039059+0.0016554i,0.0001908+0.0013882i,-0.00067704+0.00077446i,-0.0009271-0.00013705i,-0.00032418-0.00051482i,-0.00034842-5.797e-05i,-0.00074506-0.00016417i
0.001072-0.00052064i,0.0010355-0.0012412i,-0.00084558-0.0009462i,-0.00075679-0.00035301i,0.00094127+0.00061587i,0.002576+0.0017849i,0.0023014+0.0012342i,0.00061695+0.00044691i,0.00061343+1.3508e-05i,0.0014927-0.0001105i,0.00089616+0.0010341i,0.00087011+0.0020868i,0.00177+0.0019389i,0.0014166+0.00084226i,0.0010282+3.4871e-05i,0.0014737+9.9655e-05i,0.0014833-0.00022475i,0.00157-0.00041668i,0.0015659-0.00041621i,0.00096164-0.0004915i,0.00066882-0.0003218i,0.00068352-0.00058287i,0.00053533-0.00062959i
0.00014675+0.00081409i,0.00034986-0.00049756i,0.001999-0.0015726i,0.0020639-0.0012582i,0.00018472-0.00092163i,-0.00044116-0.00050726i,0.00024515+0.00083966i,0.0011675+0.0016797i,0.0010509+0.0014217i,0.00063088+0.00076583i,0.00063479+0.00023508i,0.0009597+0.00017761i,0.0013333+0.00094459i,0.0019334+0.00028543i,0.0015472-0.00042634i,0.00065825-0.00055472i,0.00043503-0.0011485i,0.0010514-0.0015083i,0.0017683-0.00087522i,0.0014622-0.00016283i,0.0011597+0.00023888i,0.00069832-0.00019248i,-0.00047686-0.00069308i
0.0019709+0.0011689i,0.0042581-0.00061299i,0.004487-0.003074i,0.0015989-0.0041081i,-0.00065278-0.0022068i,-0.0016088+0.00027413i,-0.0012879+0.0015891i,-0.00027386+0.0020144i,0.00031892+0.00095726i,-0.00039712-7.7948e-05i,0.00019312-0.00035653i,0.0015147-0.0011746i,0.0015016-0.0010496i,0.00036875-0.00012154i,-0.0010911+0.00028796i,-0.0020245-0.00034927i,-0.0016499-0.0015292i,-0.00037116-0.0018845i,-0.00018762-0.00096779i,-0.00070057-9.4672e-05i,-0.00018341-0.00017963i,0.00044721-0.00042222i,0.00066089-0.00089745i
-0.00080504-0.0007391i,-0.00011025+0.00013737i,0.001029-0.002172i,0.0010399-0.0041295i,-0.00038477-0.0024335i,-0.00086082+0.00022557i,-0.00015097+0.00076379i,7.5915e-05-6.3171e-07i,0.00063042-0.00040967i,0.00033204-0.00055537i,-0.00056264-0.0004057i,-0.00088251-0.00053164i,-0.0014376-4.6877e-05i,-0.0022407+0.0010951i,-0.0024041+0.00086488i,-0.0017327-5.4015e-05i,-0.0017062+0.00022986i,-0.0020027+0.00078124i,-0.0018735+0.0012884i,-0.0017388+0.0020959i,-0.00076621+0.0016231i,-0.0001105+0.00027872i,-0.00022222-0.00034846i
0.0017839-0.00258i,0.00084769-0.0015662i,0.0018517-0.0024141i,0.0015085-0.0024062i,-0.00058817-0.00074457i,-0.00088583+4.7462e-05i,-0.0010598-0.00011732i,-0.0017408-5.1937e-05i,-0.0020265-1.9021e-05i,-0.001333+0.00023876i,1.4591e-05-0.0001541i,-0.00015116-0.00048362i,-0.0011053+0.00069807i,-0.0013066+0.0012028i,-0.00075778+0.0012059i,-2.7236e-05+0.0018087i,0.00039625+0.0023218i,0.00050735+0.0022652i,0.00010821+0.0017533i,-0.00075244+0.00027294i,-0.0010041-0.0010085i,-0.00061122-0.0005743i,-0.00056365+0.0002491i
0.0029546+3.4192e-05i,0.0017127+0.00063069i,0.0017621+0.00054402i,0.0026233-9.0318e-05i,0.0013157-0.000494i,-0.00059289-0.00038897i,-0.0013515-9.357e-05i,-0.0019045+0.00080834i,-0.0016917+0.00084074i,-0.00071644+5.6403e-05i,-0.00045466+0.00018652i,-0.00052932+0.00071683i,0.00012806+0.0019683i,0.0009599+0.0023426i,0.0018471+0.0012299i,0.0024959+0.00038799i,0.0027852+0.00016599i,0.0023572+3.0574e-05i,0.0011373-0.00012586i,-0.00069464-0.00064882i,-0.0012415-0.00098065i,-0.0001874-0.0006703i,0.00044832-0.00030195i
0.002592-0.0010189i,0.0030121-0.0018537i,0.0033911-0.0023361i,0.0028682-0.0024511i,0.0018398-0.0014756i,0.00052975-1.554e-05i,-0.00020354+0.0011878i,-0.00028076+0.0016208i,-0.00055133+0.0015701i,-3.8583e-05+0.0011676i,0.0014164+0.00055635i,0.0021766+0.00019127i,0.0020715-7.4958e-05i,0.0017392-0.00051601i,0.0013233-0.00063568i,0.0010852-0.00059499i,0.001137-0.0017471i,0.00068571-0.0031438i,0.0007803-0.0024051i,0.0010092-0.001565i,0.00089049-0.0010527i,0.00048631-0.00039113i,0.00021615-0.0004372i
8.7224e-05+0.001382i,0.0021379+0.0001129i,0.0027259-0.0011855i,0.0013556-0.0026353i,0.0014683-0.0015641i,0.0024375+0.00066945i,0.00052246+0.0011904i,-0.00037734+0.0010242i,1.3764e-05+0.0008466i,-0.00075527+0.00047621i,-0.00021018-0.00020097i,0.0014007+5.5878e-05i,0.00134+0.00052807i,-1.0409e-05-0.00032716i,-0.00081126-0.0018349i,-0.0016569-0.0024166i,-0.0022024-0.0020011i,-0.0017936-0.001203i,-0.0015421-0.0016793i,-0.0011302-0.0020688i,0.00029589-0.0012711i,0.00016528-0.00036406i,-0.00085574+0.00043642i
-0.0024397+0.0015226i,-0.00053291+0.001303i,0.00030091+0.00065595i,-0.00021237-0.00089642i,0.00011558-0.00097448i,0.00090746-0.00013957i,0.00054822+0.00029096i,0.00077527+0.00052025i,0.0010583+0.00070578i,-0.00059939+0.00075168i,-0.0018376+0.00056384i,-0.0019331-0.00035576i,-0.0012904-0.0012894i,-0.00090341-0.00025177i,-0.0013862-0.00014344i,-0.0025427-0.00030281i,-0.0032991+0.00063928i,-0.0029601+0.0010887i,-0.0026971+0.0001067i,-0.0018492-8.1863e-05i,-0.00061859+0.0001275i,-0.00033913-0.00026413i,-0.0005508-0.00070878i
0.00044099-0.00056132i,0.00048325+0.000678i,0.00025946+0.00098979i,-8.3907e-05+0.00075797i,-0.0015197+0.00087764i,-0.0024097+0.0011845i,-0.0022234+0.00085334i,-0.000802+0.00070444i,-0.00076217+0.00050548i,-0.0026942+0.00098046i,-0.0029114+0.0016205i,-0.0021465+0.0013334i,-0.0018039+0.0015721i,-0.0015876+0.0022402i,-0.0009635+0.001989i,-0.0010129+0.0019127i,-0.00060738+0.0024259i,0.00061833+0.0029489i,0.00092344+0.0021932i,0.0006429+0.0007051i,-7.4805e-05+0.00024362i,-0.0011684+0.00034336i,-0.00090708+0.00022454i
0.00081581+0.00079807i,0.0019232+0.000203i,0.003471-0.001161i,0.0032001-0.0018398i,0.0010726-0.0020244i,-0.0014528-0.00084757i,-0.0022001+0.00054684i,-0.0011526+0.0011001i,8.466e-05+0.001444i,0.00037772+0.0014769i,-0.00025802+0.0017514i,-0.00031952+0.001633i,-0.00071395+0.0014532i,-0.00095073+0.0016712i,-0.00019212+0.0017154i,0.0011679+0.0014026i,0.0026304+0.0014945i,0.0030678+0.0017678i,0.0029894+0.0016935i,0.0018238+0.0016374i,0.00055479+0.0011092i,0.00063387+0.00087317i,0.00042687+0.00029287i
0.00075195-0.00074593i,0.0021105-0.00015361i,0.0038784-0.0005165i,0.0041348-0.00094489i,0.0027103-0.0011645i,0.00090313-0.00090355i,0.00022849+0.00019164i,0.00023123-0.0001429i,0.0011428-0.00097922i,0.001934+6.6305e-06i,0.0023893+0.00074311i,0.0026128+0.00054083i,0.0016818-0.00015603i,0.0010711+0.00028119i,0.0010581+0.00018202i,0.0020816-0.0010159i,0.0028437-0.0026026i,0.0017526-0.0032255i,0.00064557-0.0021869i,0.0003174-0.00063038i,0.00030245+0.00041616i,0.00056967+0.00084171i,0.00048496+0.00063071i
-0.00037941-0.00065553i,0.0013044+0.00019291i,0.0013196-0.0017311i,-0.00044461-0.0035437i,-0.00080589-0.0026582i,-0.00036001-0.000977i,-0.0011086-0.00026452i,-0.0024192-8.1323e-06i,-0.0025305-0.001119i,-0.0005891-0.0017184i,0.0017204-0.0013204i,0.0019925-0.0016521i,0.0014492-0.0014647i,0.00073604-0.00085398i,-9.6705e-05-0.00099547i,-0.00047149-0.0018967i,-0.0010434-0.0036293i,-0.002459-0.0042139i,-0.0023815-0.0027709i,-0.001697-0.001127i,-0.0019272+0.0003107i,-0.0012671+0.00055092i,0.00042716-0.00019337i
0.0012018-0.00037458i,0.0019511+0.00051801i,0.0029134+0.00026976i,0.0025371-0.00085237i,0.0014247-9.9328e-05i,0.0001833+0.00058272i,-0.0022413+0.00050978i,-0.0032048+0.0010667i,-0.0026332+0.0013136i,-0.0015643-0.00011373i,-0.00057619-0.0019321i,0.0002953-0.002649i,0.00093187-0.0019405i,-0.0002554-0.00091942i,-0.0016918-0.00069824i,-0.0017839-0.00082953i,-0.002759-0.00048084i,-0.0031195+0.00062597i,-0.0027425+0.0013934i,-0.0026938+0.0011671i,-0.0015504+0.00051813i,-0.00097412-0.00039891i,-0.00091192-0.00040628i
0.0015574-0.0019602i,7.9895e-05-0.0016856i,-0.00060789-0.0018779i,0.00015799-0.0011384i,-0.0005776-3.2695e-06i,-0.00035707+0.00064546i,0.0012984+0.00067351i,0.0015418+0.0007419i,0.00025217+0.0010813i,-0.0018744+0.00093712i,-0.002737+0.0009744i,-0.0019201+0.0016714i,-0.00096361+0.0018492i,-0.00029793+0.0017023i,0.00078576+0.0014647i,0.00072123+0.0016869i,-0.00014685+0.0023516i,0.00032752+0.0024811i,0.00044488+0.0015618i,0.00023118+0.00049469i,4.4354e-05+0.00053694i,-0.00035005+0.00026284i,-0.00079547-0.00029312i
0.0036242+0.0035685i,0.0030045+0.0017346i,0.003483-0.00095523i,0.0037277-0.0020997i,0.0019937-0.0020497i,0.00052741-0.0012868i,9.9756e-05+0.00044268i,-0.00033983+0.0023697i,-0.0014834+0.0026562i,-0.0020502+0.0020123i,-0.0018833+0.0017715i,-0.00092719+0.0013236i,-0.00066887+0.0012195i,-0.0008431+0.001504i,0.00015648+0.0011513i,0.0012403+0.0010192i,0.0028952+0.0014666i,0.0035885+0.00082119i,0.003007-7.5699e-05i,0.0024346+0.00021548i,0.00085966+0.00032496i,-1.6655e-05-0.00021694i,-0.00019735-0.00050538i
0.00040396+0.0013148i,0.0014735+0.0016604i,0.0022837+0.0009018i,0.0012014+0.00079663i,7.0393e-05+0.0013373i,-0.0010321+0.001029i,-0.0012311+0.00036482i,0.00018953+5.7116e-05i,0.0010322+0.0015374i,0.00048691+0.0028103i,0.00041772+0.002538i,0.00089552+0.0021711i,0.00044936+0.0018545i,0.00010302+0.0018735i,0.0011375+0.00064452i,0.0017071-0.00042388i,0.0011253-0.0010476i,0.0013298-0.0026179i,0.0016963-0.0032858i,0.00087481-0.002731i,0.00019905-0.0018662i,-0.00043208-0.00091062i,-0.0010677-0.00030128i
0.00090086+0.0023883i,0.00205+0.0013788i,0.0020762-0.00063359i,0.00034244-0.0010981i,-0.00018884+0.00036529i,0.00016098+0.0010818i,-0.00028087+0.00069444i,-0.00035429+0.00025201i,0.0010366+0.0015057i,0.0023766+0.0025678i,0.0023092+0.0016055i,0.0019626+0.00045061i,0.0011434+3.1545e-05i,0.00046768-2.676e-06i,-0.00019466-0.00013553i,-0.00026554-0.00087154i,-0.00075246-0.0020844i,-0.0017544-0.0025385i,-0.0018287-0.0014093i,-0.0013566-0.00021968i,-0.00090783+0.00013531i,-0.00033045+0.00021551i,0.00028911+0.00054376i
-0.0013512+0.001935i,0.0011988+0.0033919i,0.0048512+0.0021246i,0.0056389-0.0020096i,0.0027208-0.0037436i,-0.00040895-0.001645i,-0.0020589+0.00013866i,-0.001911-5.6831e-05i,0.0004402-0.00022382i,0.0025311-0.00061988i,0.0021518-0.0014992i,0.0018302-0.0010585i,0.0014547+0.00018282i,0.00042962+0.0002328i,-0.00084845-0.00068023i,-0.0016936-0.00076019i,-0.0025441+0.00050412i,-0.0034305+0.0015637i,-0.0024508+0.0022791i,-0.00090507+0.0021856i,-0.00010454+0.0018432i,0.00015657+0.00088212i,0.00081364-0.00048606i
-0.0018313-0.0029171i,-0.0016667-0.003008i,0.00088028-0.0038631i,0.0011192-0.0034439i,-0.00047265-0.0022867i,-0.00040159-0.0015259i,3.7727e-05-0.0012724i,-0.00058981-0.0024125i,-0.0006171-0.0033496i,-5.2658e-05-0.0029185i,-5.2589e-05-0.0028298i,-0.00045129-0.0028513i,-0.0006499-0.0012283i,-0.00036237+0.00061619i,0.0006857+0.00045858i,0.00095538+0.00013061i,0.0011053+0.0018888i,0.0013697+0.0039769i,0.0017891+0.0035938i,0.0011027+0.0018945i,-9.1635e-05+0.00080159i,0.00038616-0.00015489i,0.00059788-9.1163e-05i
-0.00088625-0.00074768i,0.00030808+0.00018245i,0.0010475+0.0009389i,0.00016585+0.0014917i,0.00023601+0.0014134i,9.7234e-05+0.00069676i,-0.00070956+0.00073464i,-0.0021922+0.001208i,-0.003243+0.000493i,-0.002693-0.0007397i,-0.0021982-0.00054934i,-0.0014894-8.75e-05i,-0.0006727-0.00093337i,0.00018285-0.001026i,0.00088282-2.8586e-05i,0.0008813+0.00023364i,0.0016498-0.00040035i,0.0023369+0.00017253i,0.0019518+0.00022794i,0.0015041-0.00012212i,0.0014358-0.00017116i,0.0005741-0.00074333i,-0.00044455-0.00097454i
0.0039444-0.00035506i,0.0037596-0.0015949i,0.0028322-0.0029308i,0.002221-0.0034905i,0.0017416-0.0028488i,0.00062214-0.0021932i,3.2047e-05-0.00088623i,-0.0011103+0.00078926i,-0.0027025+0.0014398i,-0.0029297+0.0014664i,-0.0022281+0.0017993i,-0.0013913+0.0019107i,-0.0011847+0.0016302i,-0.0010942+0.0013943i,-0.00096663+0.0012894i,-0.00020243-8.501e-05i,0.0009726-0.0023979i,9.8624e-05-0.0040299i,-0.0014449-0.0037905i,-0.0015911-0.0020578i,-0.0011728-0.00072873i,-0.0014902-0.00032076i,-0.0015472+0.00042348i
0.0029081+0.00061424i,0.0041115+0.00018384i,0.0052691-6.3403e-05i,0.0052977-0.0010982i,0.0029878-0.00074342i,0.00075494-0.00018253i,-0.00097362+0.00072142i,-0.0017304+0.0026747i,-0.001796+0.0030977i,-0.0010856+0.003012i,0.00031557+0.0027966i,0.0010394+0.0021481i,0.00044238+0.0012154i,-0.0004725+4.5535e-05i,-0.00070299-0.0011134i,-0.00026962-0.0017868i,-0.00072229-0.0016777i,-0.0026435-0.0019382i,-0.0039295-0.002136i,-0.0026939-0.0015762i,-0.001095-0.0003309i,-0.00055698+0.0010735i,-4.6796e-06+0.001349i
0.00088028+0.0035986i,0.0007047+0.003314i,0.00074872+0.0030489i,0.0013321+0.0015008i,0.00081794+0.00040221i,-0.00036402+0.0004289i,-6.4289e-05+0.00086825i,0.00044678+0.0015228i,0.00083924+0.0024881i,0.0016824+0.0036494i,0.0016925+0.0033747i,0.001464+0.001398i,0.0010933+0.00019451i,0.00010024+0.00069906i,-0.00075124+0.00040067i,-0.0017323+6.8173e-07i,-0.0028826+0.00083932i,-0.0031597+0.0019839i,-0.002045+0.0023182i,-0.0010586+0.0018072i,-0.0001815+0.00063966i,0.00029383-6.8681e-05i,0.00045152-2.6926e-05i
0.00055668-0.00026299i,0.0017635-0.0028238i,0.0013879-0.0050337i,-0.00073449-0.0036547i,-0.00052407-0.0013059i,0.00088248+0.001134i,0.0005758+0.0022165i,0.00051428+0.0015898i,0.0013981-0.00015016i,0.002221-0.0014852i,0.0018925-0.0014067i,0.00069608+0.00014361i,0.00027057+0.002139i,0.00070104+0.002638i,0.00059659+0.002709i,-4.5547e-05+0.0029792i,0.00023607+0.0016295i,0.0018168+0.0008955i,0.0032586+0.0017448i,0.0024258+0.002016i,-1.0754e-05+0.00090525i,-0.0010893-0.0001434i,-0.00052188-0.00060225i
