-0.0011347+0.00060208i,0.0001489-0.0010085i,0.00029973-0.0020328i,0.00028236-0.0016099i,7.9546e-05-0.00032438i,-0.00067704+0.0005392i,-0.00030081+0.00080566i,8.2312e-05+0.0012796i,-7.6328e-05+0.000919i,-3.1916e-05+0.00052105i,-0.00086864+0.00027167i,-0.0011231-1.508e-05i,-0.0013279-0.0003958i,-0.0013201-0.00094131i,-0.00077836-0.00071077i,-0.00098917-0.0003166i,-0.00037181-0.0011397i,0.00045665-0.0014371i,1.27e-05-0.00060346i,-0.000435+0.00027434i,0.00032678+3.8868e-05i,0.00086588+0.00021989i,0.00046852+0.00043457i
-6.6079e-05-0.00041489i,8.4974e-05+6.0948e-05i,-4.0908e-05+0.00023031i,-9.735e-05+1.1075e-05i,-0.00035502+0.00032141i,-0.00047538-0.00029751i,-0.00026211-0.0011356i,3.6139e-05-0.0011049i,0.00062263-0.00054469i,0.00010001-0.00015423i,-0.00021568+5.9453e-07i,-0.0004105+0.00047976i,-0.00074985+0.0011073i,-0.00015743+0.0010982i,0.00025097-5.3109e-06i,0.00057249-0.00018743i,0.0011398-0.00021876i,0.0010614-0.00045442i,0.00030215-1.8377e-05i,9.4827e-06+0.00042673i,2.5903e-05+0.00083923i,-0.00052679+0.00065298i,-0.00075574+0.00023188i
-0.00089757+0.00099112i,0.00042923+0.00041489i,0.0019399+0.0011754i,0.001589+0.0017283i,0.00025849+0.00097989i,-0.00027424-0.00034143i,-0.00077214-0.0008288i,-0.00092729-0.0002069i,-0.00079058+0.00066501i,-0.00053659+0.00058688i,-0.00061021+0.00052171i,-0.00030761+0.0010033i,-0.00010097+0.0011238i,2.5904e-06+0.00029577i,0.00034706+0.00012051i,0.00022837+0.00055136i,0.00046593+0.00050289i,0.0007993+0.00041006i,-2.437e-05+0.00068074i,-0.00080668+0.00029718i,-0.00058072-8.8678e-05i,-0.00016213+0.00028785i,-0.00044534+9.4673e-05i
0.00040856+0.00028144i,-0.00028583-2.3687e-06i,-0.001924-0.0014251i,-0.0030858-0.0025974i,-0.0027064-0.0017032i,-0.0016184-0.00056393i,-0.0013151-0.00059539i,-0.0016259-0.0002658i,-0.0011843-0.0001466i,-0.00088724-0.0003216i,-0.00092482-0.00025567i,-0.0010099+4.3032e-05i,-0.00042181-6.2634e-05i,0.00079486-0.00021243i,0.0010144+1.42e-05i,0.00072054+0.00017788i,0.00043687+0.00023097i,-4.2825e-05-5.2579e-05i,2.598e-05-0.00023263i,-0.00024305-0.00050256i,-0.0002489-0.00082852i,-4.7025e-05-0.00038835i,-0.00035417+7.6528e-05i
-0.00065862+0.00017918i,0.00056488+9.0442e-05i,0.0021927+0.00023514i,0.0025576-0.00038864i,0.0015926-0.0012504i,0.00040415-0.0010961i,-0.00015056+1.4783e-05i,-0.00020253+0.00098392i,-0.00020367+0.0012164i,1.1875e-05+0.0014166i,0.00029477+0.0011399i,0.00035443+0.0005149i,0.00034304-4.8089e-05i,0.00015752-0.0010473i,0.00039855-0.00098171i,8.3106e-05-3.4618e-05i,-0.00046583+0.00022183i,-5.1964e-05+0.00016585i,0.00045839-0.00026496i,0.0004628-0.00054507i,0.00030329-0.00011695i,-2.5824e-05-0.00024262i,-0.00065071-0.0010917i
-0.0003053-0.00024627i,-0.00095383-0.00035178i,-0.001338+0.0014362i,-0.001131+0.0018697i,-0.0004925+0.00083904i,-0.00049292+0.00018294i,-0.00050891+0.00057913i,3.5257e-05+0.00069808i,-7.9941e-05+0.0003801i,-7.8347e-05-5.9968e-05i,0.00079585-0.00053388i,0.00063113-0.0012682i,1.2342e-05-0.00097497i,-0.00074908-0.00048884i,-0.00091526-0.00067291i,-0.00068699-0.00042075i,-0.00080557-8.0835e-05i,-1.8521e-05-0.00041117i,0.00022517+3.3631e-06i,-0.0011591+0.00097584i,-0.0012768+0.00034605i,-6.338e-05-0.00052288i,0.00035243-0.00062131i
-0.0015614-0.0011107i,-0.0014823-0.00064272i,-0.0015755-0.00048276i,-0.0015938+0.00047617i,-0.00083048+0.0016149i,-3.538e-05+0.0015748i,0.00037704+0.00075825i,2.2509e-05+0.00099101i,-0.00026383+0.0014576i,-0.00025348+0.00082162i,-0.00029879+0.00035532i,0.00029473-0.00020563i,0.00159-0.00013937i,0.0019045+0.00029146i,0.0010288-0.00020585i,0.0002429-0.00039688i,9.5645e-05-0.00014407i,0.00019871+0.00026004i,0.00015707+6.4527e-05i,0.00070978-0.00068803i,0.00076719-0.0009427i,0.00070317-0.0011368i,0.00063562-0.001025i
0.00082482-0.00098575i,0.00027988+0.00032856i,-0.00052741-0.00026104i,-0.0012581-0.0014507i,-0.0017183-0.0020464i,-0.0014313-0.0013703i,-0.00087815-0.00025953i,-0.00086392-0.00014532i,-0.00076366-0.00015938i,-0.00062149-7.3693e-05i,-0.0006199-0.00021619i,-0.00056902-6.4826e-05i,-0.00026865+0.00014273i,-8.6253e-05+0.00053289i,-9.9132e-05+0.00028367i,0.0007171-0.00053073i,0.0008111-0.00095406i,-0.00019489-0.0011113i,-0.00063313-0.00080321i,-0.0011616+1.0337e-05i,-0.0011138+6.9141e-05i,-0.00011613-0.00035326i,0.00010424+1.5991e-05i
0.0003596-0.00051434i,0.00068268-0.00043936i,0.0013809-0.00055318i,0.0010311-0.0015413i,0.00015991-0.002381i,0.00011192-0.002103i,0.00032285-0.0011397i,0.00096885-0.00022033i,0.0010176+0.0009755i,0.00032527+0.001084i,0.00017083+0.00068652i,-3.9661e-05+0.00038502i,-0.0001217+3.9592e-05i,-0.00030388-0.00035688i,-0.00054895-0.00038098i,-0.00034056+5.1961e-05i,-0.00029123+0.00065711i,2.9982e-05+0.0009832i,0.00044366+0.00095746i,0.00081909+0.0011109i,0.0011303+0.0010161i,0.00084133+0.00035421i,0.00083904+0.00046017i
0.0006928-0.00093397i,-8.7023e-05-0.00071182i,-0.00076874-0.00050828i,-0.0017622-0.000822i,-0.0024517-0.0010368i,-0.0028969-0.00049712i,-0.0016779-0.00017408i,-0.00017575-0.00012047i,0.00047541-5.1508e-05i,0.00094758+0.00023394i,0.0008545+0.00038783i,0.00076027+0.00061718i,0.00055014+0.000618i,0.00037331+0.00029503i,0.00059427+0.00011716i,0.00056516-4.6326e-05i,-0.0001051-0.00016529i,-0.00050432+6.4267e-05i,-0.00047882+0.0006363i,-0.001132+0.00067271i,-0.0014124+0.0001104i,-0.00047604-0.00031277i,0.00019463-0.00010681i
0.00043128+3.0793e-05i,-6.7412e-05-0.00086753i,-1.7907e-05-0.0026269i,0.00040845-0.003021i,0.00035003-0.0012077i,-3.0285e-05+0.00039636i,-0.00041385+0.0007436i,0.0002625+0.00058835i,0.00076926+0.00047783i,0.00016993-0.00011089i,-0.00066922-4.4611e-05i,-0.0013374+0.00019036i,-0.0012654-9.2367e-05i,-0.00013088+0.00027268i,0.0004351+0.00014189i,0.00011718+0.00011939i,2.1226e-06+0.00044466i,-0.0003438+0.00033396i,-0.0013833-3.871e-05i,-0.0015068+0.00010319i,-0.0011676+0.00025596i,-0.0011304-0.00027798i,-0.00094748-0.00057187i
0.0003586-0.00068778i,0.0007164-0.00027854i,0.001172-0.00016401i,0.00090391-0.0013164i,-0.00094884-0.0015605i,-0.0015837-0.001468i,-0.00067576-0.0016439i,-0.00083446-0.00077896i,-0.00039393-0.00019997i,0.0001602-0.00076971i,-0.00013025-0.0013867i,1.5627e-05-0.0011672i,0.00071745-0.00011613i,0.00080244+0.00031155i,0.00021472+0.00032901i,-2.0945e-05+1.8456e-05i,-0.00030693-0.00019824i,-0.00060786+0.00033907i,-0.00025331+0.00035201i,0.00072337-0.00017546i,0.0009178-0.00093306i,0.00033611-0.0009519i,-4.9968e-05-0.00012044i
-0.00030174-0.00072974i,-0.0011626-0.0008013i,-0.002195-0.001317i,-0.0015816-0.0019781i,-0.00094746-0.0018602i,-0.00053908-0.00046204i,0.00014913+0.00037001i,0.00013848+0.00045401i,0.00048149+0.0014583i,0.00031023+0.0014549i,-0.00017497+0.00050304i,-0.00095879+0.00050071i,-0.0009934+0.00067853i,-0.00035064+0.00031642i,0.00032202+0.00013378i,-3.6071e-05+7.8516e-05i,0.00023532-0.00060551i,0.00042099-0.0012905i,1.5783e-05-0.00049378i,0.00052197+0.00013169i,0.00026857+4.426e-05i,-0.00047779-4.6592e-05i,0.00015672+0.00023459i
0.001941-0.00081217i,0.0014722+4.298e-05i,0.0010214-0.00035002i,-0.0001829-0.0014635i,-0.00078206-0.0011927i,-0.00098671-0.00053534i,-0.00079963-0.00040668i,0.00026411+0.00041558i,0.00074578+0.00038092i,0.00039583-0.00097025i,-0.0012896-0.0010761i,-0.00184-0.00042728i,-0.0010349-0.00033307i,-7.5559e-05-0.00054377i,0.00038537-0.00047879i,-9.8943e-06+8.3083e-05i,0.00055015+0.00059222i,0.00033788+0.0011129i,-0.00096315+0.0011173i,-0.00074305+0.00012228i,0.00032144-0.00026364i,-4.4421e-09-0.00034851i,-0.00042266-0.0006303i
-0.0024269-0.0013884i,-0.0031125-0.0013309i,-0.0028345-0.00010964i,-0.0016907+0.00046053i,-0.00072068+0.00091062i,7.1289e-05+0.001106i,0.00033552-9.1679e-05i,7.3682e-05-0.00027523i,-0.00019273+0.00099559i,-0.00047477+0.00077555i,-0.00048485+0.00035638i,0.00022775+0.00038009i,0.00078961-0.00018491i,0.00065497+7.8209e-06i,0.00028993+0.00062641i,0.00036408+0.00062147i,0.0014359+0.00076858i,0.001525+0.0013079i,0.00044927+0.0011992i,-0.00011114+0.00033196i,-1.9744e-05-7.7567e-05i,2.7823e-05-0.0002344i,-0.00047058-0.00061748i
-0.0012649+0.00039687i,-0.00049781+0.0010812i,-0.00057431+0.0013932i,-0.00074005+0.00071126i,-0.00025322+0.00026244i,0.00039188-4.2997e-05i,0.00024691-0.00010617i,-8.7295e-05+0.00031921i,0.00021973+0.0007725i,0.00024943+0.00018699i,0.00031557-0.00010415i,0.00056785+0.00058005i,0.00016615+0.00079699i,-0.00050259-0.00025775i,-0.00059966-0.0010119i,1.5029e-06-0.00019731i,-0.00025859+0.00061884i,-0.00052303+0.00040478i,-0.00025944+4.8372e-05i,-3.0049e-06+0.00010808i,0.00056971+0.00038884i,0.0003461+0.00063165i,-0.00034669+0.00046861i
0.00088989+0.0002539i,0.00070114+0.00026479i,0.00097736+0.00063178i,0.0016068-0.00036758i,0.0012656-0.00095894i,0.00027026-0.00028011i,-0.00042683-0.00013392i,-0.00056043-8.3041e-05i,0.00015147+0.00020284i,0.00065141+0.00056622i,0.00036891+0.0003388i,-0.00033479-0.0004536i,-0.00077751-0.00048349i,-0.00057349-0.00048681i,8.3159e-05-0.00044494i,0.00050553-0.00014169i,0.00066141-0.00013514i,0.00034887-5.3085e-06i,5.4986e-05+0.00019062i,-0.00043478+9.5707e-05i,-0.00077301+0.00022978i,-0.00023659+0.00030802i,-4.2169e-05+2.8521e-06i
-0.0025752+0.00079889i,-0.0015881+0.0016222i,-0.0016353+0.0029187i,-0.0013738+0.0025231i,2.7349e-05+0.0020025i,0.00094481+0.0016177i,0.00047932+0.00081454i,0.0001052+0.00017961i,0.00032139+0.00046906i,-0.00011745+0.00086757i,0.000154+0.00034108i,0.00044939-0.00090317i,-0.0002264-0.0010489i,-0.00028576-0.00054168i,-0.00021233-4.7536e-05i,-0.00061043+0.000421i,-0.0005158-0.00029174i,5.8943e-05-0.00085846i,0.00052584-0.0004449i,0.00053862+0.0002291i,0.00054033+0.00074043i,0.00057105+0.0002109i,0.00045665-0.00050958i
-0.00069894+0.0007126i,-0.00044188+0.00075619i,-0.00055688+0.00066816i,-0.00047567-3.1456e-05i,0.00023429-0.00048859i,0.0010427-0.00014961i,0.0010052+0.00028101i,-0.00013067+0.00022424i,-0.00038707+0.00052241i,-0.00031434+0.0006909i,-0.0003751-0.0001515i,-0.00026728-0.00029245i,0.00013937+0.00028252i,0.00049366+0.00017473i,0.00022976-0.00013566i,-0.00041295+0.00017044i,-0.00042143+0.00014696i,-0.00073541-0.00026652i,-0.00099384-0.00075709i,-0.00077926-0.00027144i,-0.00054715+0.00019373i,-0.00035316+0.00015104i,-0.00041314+0.00018973i
-0.00018489+0.000282i,0.00023855-0.00022558i,0.0015692-0.00024842i,0.0019271-0.00084333i,0.00058563-0.0017382i,0.00013276-0.0018201i,-3.6204e-05-0.00089714i,-0.00050003-0.00012193i,0.00053564+1.8492e-05i,0.00084469-0.00034391i,0.00021274-0.00062644i,-2.8506e-06-0.00015784i,6.7142e-06-0.00038866i,9.7649e-05-0.00083316i,-0.00022205-0.00078806i,-3.952e-05-0.00089293i,3.2889e-05-0.0010305i,0.00073191-0.00070192i,0.001262-0.00012511i,0.0003814+8.9903e-05i,-2.9149e-06+0.00037151i,6.4545e-05+0.00038728i,-0.00039074-0.00051457i
0.00073101+0.001413i,0.00091143+0.00086901i,0.00099306+0.00081902i,0.00057178-0.00030001i,0.00023072-0.0015881i,-4.567e-05-0.0011945i,-0.00046445+5.9071e-05i,-0.00055896+0.00049339i,-0.00034618+0.00030175i,-0.0001298+0.00052418i,-0.0002007-0.00017814i,-0.00078695-0.00071926i,-0.00039583+0.00036324i,0.00066272+0.00067912i,0.0010021+0.00017873i,0.00093251+0.00018065i,0.00070571+0.00031017i,0.00028401-0.00025479i,0.00013459-0.00099644i,-0.00015837-0.00033047i,-0.00043973+0.00023084i,-0.00013846-0.00050654i,-0.00019564-0.0010989i
-0.0004567-0.00017523i,0.00013406-0.00032113i,0.00018407-0.0013381i,-0.00084011-0.0023855i,-0.0013687-0.0017676i,-0.0005666-0.00065716i,0.00030372+0.00039857i,-0.00015788+0.00085309i,-0.00068137+0.0011459i,0.00028644+0.0015438i,0.0009606+0.00059966i,0.00051679-0.00033311i,-0.00040198-7.835e-05i,-0.00036049+0.00030043i,0.00026347+0.00024583i,0.00093099+0.00010138i,0.00091824+3.5027e-05i,0.00042279-0.0003641i,-0.00020754-0.00032955i,-0.00054177-0.00037079i,-0.00050823-0.00038923i,-0.00041421-0.00025048i,-0.00043822-0.00045571i
0.0013214+0.00075373i,0.0015495+0.00075828i,0.0019418+0.00046959i,0.000851+0.00073271i,-0.00086041+0.00091505i,-0.0015427+0.00057117i,-0.0013618+0.00053527i,-0.00043979+0.0012625i,0.00016116+0.0011395i,0.00031983+0.00029175i,0.00027299-0.00034518i,0.00047544-0.0005974i,0.00077736-0.00023686i,0.00045944+0.00015268i,-0.00053545+0.00033242i,-0.00052965+0.00013769i,0.00031128+0.00030884i,0.00064009+0.00025568i,0.0003516+0.00025148i,3.9292e-05+0.00040466i,-8.1045e-05+0.00032194i,8.3812e-05-0.00026977i,-0.00013393-0.00037823i
-0.0015036-0.00025814i,-0.0012721+0.00011707i,-0.00058393+0.00019975i,-0.00022991+0.00075405i,0.00020775+0.0013495i,0.000626+0.00098768i,0.00051743+0.00067569i,0.00066468+0.00071128i,0.00158+0.00071337i,0.0014785+0.00046519i,0.00061015+0.00017375i,0.00019092+9.0217e-05i,0.00018172+0.0002596i,-0.00010441+0.00061309i,-0.00058843+0.00057643i,0.00018681+0.00022408i,0.0009069+0.00054955i,0.00016508+0.00077208i,9.7161e-05-1.9768e-05i,0.00044398-0.001078i,0.00025117-0.0007881i,-0.00034755-0.00043936i,-0.0004331-0.00025205i
0.00049767-0.0015164i,-0.00070037-0.00077122i,-0.0020258-0.00080687i,-0.0024621-0.0012118i,-0.0024805-0.00086297i,-0.0019607+0.00041013i,-0.0012702+0.0011487i,-0.00060145+0.00098454i,0.00023034-0.00016936i,0.0009091+1.6181e-05i,0.00035813+0.001061i,-7.1609e-05+0.00169i,0.00020272+0.0012878i,0.00060811-0.00025223i,0.00096061-0.0015215i,0.0011376-0.001308i,0.0017815-0.00059623i,0.0010671+2.2933e-05i,-0.00022557+0.00064786i,-0.00043887+0.00071003i,-1.1589e-05+0.00036817i,0.0001106+4.1612e-05i,-0.00033347+0.00055268i
-0.00078669-0.0016035i,-0.0012977-0.0017249i,-0.0016336-0.002038i,-0.0019142-0.0013943i,-0.001682-0.00081832i,-0.00095851-0.00034607i,-0.00019109+0.00017132i,0.00065537+0.00038433i,0.00012252-0.00035418i,-0.00014273-0.00033046i,0.0006766+7.3006e-05i,0.00065827+0.00014355i,0.00063584-5.5256e-05i,0.0011339-9.7552e-05i,0.00053256-0.00040608i,-0.00040795-0.00074583i,-0.0011116-0.00076313i,-0.0010989-0.00055807i,-0.00037301-0.0001443i,-6.2096e-05-2.5709e-05i,-0.00024631-0.00036297i,-0.0007179+5.8167e-05i,-0.00077146+0.00038907i
0.00018263+0.00034367i,-9.6107e-05+0.0017173i,0.00049531+0.002613i,0.00041626+0.0018912i,0.00056687+0.00092156i,0.00092496+0.00054682i,7.1236e-05+0.00043897i,-0.00027632+0.00064571i,0.00069132+0.00081242i,0.0012465+0.00052261i,0.00086769-8.638e-05i,0.00019379-0.00063622i,-0.00039039-0.00051783i,-0.00034249+1.4608e-05i,-0.0008413+3.6646e-05i,-0.0010534-0.00015627i,-0.00049749+9.9461e-05i,-0.00027922+0.00030823i,-0.00014503+0.00063452i,-0.00034904+0.00058454i,-0.00097443-0.0004276i,-0.0013622+1.8119e-05i,-0.0013105+0.00040354i
3.1699e-05+0.00046015i,0.00027575+0.00023179i,0.00013868+0.00026268i,0.00058417+0.00014602i,0.00056494+0.00046689i,0.00016426+0.0013862i,-0.00015851+0.0024245i,9.0931e-05+0.0028693i,0.00068067+0.0027623i,0.00083449+0.0019636i,0.0009777+0.00087332i,0.0012165+0.00019595i,0.00072575-0.00017478i,-0.00012826-0.00086487i,-8.8237e-05-0.0010384i,0.00059427-0.00057386i,0.0011147-0.00027059i,0.00092391-9.2975e-06i,0.00098006+0.0011788i,0.0004936+0.001392i,-0.0002226+6.0797e-05i,-4.7657e-05-0.00078303i,0.00010053-0.00085417i
0.0019366-0.0013154i,0.0026893-0.0019732i,0.0021323-0.0034455i,0.0010432-0.0029504i,0.00024416-0.0022423i,9.2884e-06-0.0026518i,0.0012882-0.0041853i,0.00046104-0.0056896i,-0.0019766-0.0053854i,-0.0036227-0.0040066i,-0.0047893-0.0018927i,-0.0042604-0.00032055i,-0.0021793+0.001482i,-0.00097171+0.0023711i,5.7073e-05+0.0016077i,0.0013522+0.00092858i,0.0010013+0.00078369i,0.00014548-0.00010536i,0.00012015-0.0015636i,5.1289e-05-0.001085i,0.00049126+0.00019507i,0.00078238+0.00022882i,5.2796e-05-0.00017819i
0.00070822+0.00030028i,0.0012344-0.00039959i,0.0024493-0.001781i,0.0013263-0.0023858i,-3.1422e-05-0.0021143i,0.00052854-0.0017074i,0.00018222-0.0015577i,-0.00066512-0.0012753i,-0.001082-0.00021718i,-0.0021952+0.00055219i,-0.0025324+0.00052892i,-0.001802+0.00040302i,-0.0015778-0.00057731i,-0.0011644-0.0006796i,-0.00029871-0.00025512i,0.0001655+2.5176e-05i,4.4236e-05+0.00024285i,-0.00032629-0.00024834i,-0.00038821-0.00051448i,-0.00028193-0.00028516i,1.147e-05-0.00011804i,-0.00020807+5.17e-05i,-0.00025683-0.00041203i
0.00013506+0.0015674i,0.00082084+0.0015617i,0.00049656+0.0013681i,0.00059949+0.0012749i,0.0011418+0.00096122i,0.00098355-0.00043012i,0.0011113-0.0012477i,0.00072539-0.00080401i,-0.00025582+0.00014607i,-0.0010156-0.00011193i,-0.00070459-0.00092533i,-0.00073616-0.0011332i,-0.00075103-0.00080793i,-0.00079555-0.00010849i,-0.00089492+3.5691e-05i,0.00034281-0.00053994i,0.0015096-0.00062416i,0.0012522-0.00050937i,0.00064659-4.5516e-05i,-0.0001907+0.0011144i,-0.00047683+0.0013274i,-3.6529e-06+0.00067674i,0.00015459-0.00026789i
-0.001374-0.00036076i,-0.00065825+0.0006366i,-0.00021762-0.00010195i,-0.00061016-0.0004604i,9.1213e-05+0.0002285i,0.000867-0.00022862i,0.00068056-0.0013227i,8.3466e-05-0.00081308i,0.0003272-0.00044075i,0.00015838-0.00010218i,-0.00098934+0.00016926i,-0.0012412+0.00036894i,-0.00080724+0.00092356i,-0.00015057+0.00083127i,0.00084659+0.00086806i,0.001082+0.00044169i,0.00084644-4.3463e-05i,0.0006197+4.0737e-05i,0.00025173+0.00014317i,9.9202e-05-1.8503e-05i,-0.00036717+0.00020005i,-0.001078+0.00024933i,-0.0010569-0.00063734i
2.8027e-05-0.0010363i,-0.00078717+0.00062415i,-0.0012835+0.0016036i,-0.00025453+0.0017257i,0.00073314+0.0015548i,0.00025604+0.0014113i,-0.00018301+0.00050513i,-0.00065734-0.0010992i,-0.0011178-0.0016417i,-0.00089018-0.0011562i,-0.00067311-0.00034994i,-0.00065834+0.00036899i,6.7141e-05+0.00011835i,0.00042343-0.00011346i,0.00089057-0.00064535i,0.000364-0.00074592i,-0.00046827-0.00035247i,1.6496e-05-0.00058692i,9.7399e-05-0.00066499i,-0.00098968-0.00042824i,-0.001256-0.00015654i,-0.00062467-0.000495i,0.00020633-0.0007675i
-0.00071597-0.00051972i,-0.00037768-0.00041567i,-0.0013383-0.00052123i,-0.001177-0.00042208i,-0.00035347-0.00083516i,-0.00036536-0.00045334i,-0.00057209+0.00026887i,-0.00069611+0.00027109i,-0.0007545+0.00062521i,-0.0013386+0.0015632i,-0.001226+0.0015774i,-0.00023834+0.00052916i,-0.00023398+0.00056512i,3.1983e-05+0.00037371i,0.00065644-8.4229e-05i,-5.254e-05-0.0001198i,-0.00057316+3.2306e-05i,-0.00026175+0.00030127i,-0.00059713+0.0002045i,-3.3859e-05+6.9315e-06i,0.00085999-0.00037736i,0.0008718-0.0011794i,0.00080603-0.0013591i
0.00021641+0.00054682i,0.00047764-0.00028456i,0.00072892-0.0014226i,0.00033843-0.0015372i,-0.00065253-0.0012517i,-0.00073592-0.00060128i,-0.00025484-0.0001253i,-0.00031435+0.0001583i,-1.5585e-05-5.156e-05i,-1.362e-05-0.00027098i,-0.00057893-3.9711e-05i,-0.00087407-0.00018611i,-0.00011982-4.2728e-05i,0.00069228+1.8618e-05i,0.00027719+6.4183e-05i,-0.00023819-0.00029875i,-0.00013104-0.00097275i,0.00018406-0.0006224i,9.4813e-05+0.000244i,-1.7504e-05+0.00032882i,7.5289e-05+0.00024778i,0.00024492+0.00025726i,0.00025297+0.00060738i
-0.00047089+0.002447i,-0.00047327+0.0026541i,0.00045079+0.0034042i,0.0025237+0.002797i,0.0030622+0.00082277i,0.00115-0.00078444i,-0.00045642-0.0012701i,-0.0011399-7.2682e-05i,-0.00084848+0.0009597i,-0.00021596+0.00046333i,-0.00050429-0.00032926i,-0.00066571-0.00041053i,-0.00099259+0.00019825i,-0.0011351+0.00016752i,-0.0010171-0.00058833i,-0.00038217-0.0005275i,0.00028397-6.5929e-06i,-0.00011032-0.00015391i,-0.00018637-8.6812e-05i,0.00040968+0.00054897i,0.00015685+0.00042415i,-0.00039006-0.00015486i,-0.00068924-0.00022978i
-0.0007891+0.0015066i,-0.0003863+0.00066866i,0.00010097+0.000496i,0.00085576+0.00055854i,0.00097026-0.00020105i,0.00055156-0.00065514i,-5.2053e-05-0.00075252i,-7.9749e-05-0.0007111i,0.0007295-0.00020668i,0.00071984+1.4343e-05i,-8.2259e-05-1.4789e-05i,-0.00029055+7.1175e-05i,-0.00045273+0.0001665i,-0.0011457+0.00075632i,-0.0012496+0.0008126i,-0.00012418+0.00077115i,0.00019476+0.0010583i,-0.00010642+0.00067894i,0.00040061+0.00062228i,0.00045231+0.0010314i,-8.8269e-05+0.0009628i,-7.1046e-05+0.00068741i,0.00076987+0.0010911i
0.00059251-0.00087209i,-0.00055751-0.001043i,-0.0012572-0.0014619i,-0.0014506-0.0013328i,-0.00093405+0.00029164i,4.2427e-05+0.0004799i,0.000696-0.00027467i,0.00057597-0.00049814i,0.00040205+8.4365e-05i,0.00022478+0.00069855i,-0.00013916+0.0006512i,-0.00059377+0.00023446i,-0.00015334+2.8751e-06i,0.00024825+0.0002181i,0.00026367+0.00062446i,0.00051115+0.0010693i,0.00034738+0.0011598i,0.00018046+0.00079139i,0.00029037+0.00052294i,-0.00014046+0.00033148i,-0.00015878+0.00032284i,-0.00028996+0.00072898i,-0.0003871+0.00034739i
-0.0015981+0.0016538i,-0.00030269+0.002307i,0.00038088+0.002363i,-7.8146e-05+0.0014899i,6.7537e-05+0.00039332i,0.0006615+0.0003999i,0.00054468+0.00053662i,-0.00029456+0.0002297i,-0.00033718+0.0002992i,-0.00041724+0.00088973i,-0.00056304+0.0011268i,-0.0010203+0.00060706i,-0.0013612-0.00023495i,-0.00084413-0.00088334i,0.00020455-0.0010502i,0.00033237-0.00077812i,0.00014929-0.00036039i,-0.00028595+0.00068772i,-0.00089588+0.00044535i,-0.0007999-0.00026533i,-0.0003973-0.00020972i,-6.674e-05-0.00073578i,0.00031127-0.00048465i
0.00010725+0.001004i,0.00040576+0.0018947i,0.00022205+0.0021036i,0.0010987+0.00070798i,0.0008824-0.00055058i,8.7705e-05-0.00087485i,-0.00099536-0.00037737i,-0.00079648+0.00029239i,0.00051296-0.00042726i,0.0012461-0.00067939i,0.0010836-0.00025219i,-0.00013222-0.00079834i,-0.0007057-0.00070445i,-0.00026123-1.2342e-05i,0.00026192+7.7864e-05i,0.00062497-0.00028555i,0.00065482+0.0001026i,0.00041008+0.00034278i,0.00023763-0.00010842i,0.0001168-0.00029512i,0.00023634+0.00035263i,-0.00028718+0.0010491i,-0.00086611+0.00053235i
-0.0024743-0.0010967i,-0.0027655+0.00027046i,-0.0019573+0.0019247i,-0.00045271+0.0029185i,0.00040334+0.0024619i,0.0006765+0.0011248i,-0.00013218+0.00043632i,-0.001423-0.00038557i,-0.0013252-0.00055536i,-0.00074013+4.1276e-05i,-4.6888e-05+0.00036989i,-0.00013645-0.00023473i,-0.0005689-0.00040434i,-0.00027792-0.00052412i,4.4665e-05-0.00016415i,-0.0001571+0.00063872i,8.2025e-05+0.0007693i,0.0002453+0.00026885i,0.00024324-0.0005159i,0.0005822-0.00090054i,0.00045619-0.0010505i,0.00028931-0.00042855i,-1.8911e-05-0.0002792i
0.0031052-0.00017941i,0.0023694-0.0023475i,0.0034544-0.0032915i,0.0031615-0.003501i,0.00099313-0.0036307i,-0.0012897-0.0027784i,-0.0013766-0.00074332i,-0.00038941+0.00027456i,0.00018822-0.00023381i,9.1526e-05-0.00086431i,-0.00019067-0.00098473i,-0.00092552-0.00077622i,-0.0013363-0.00020372i,5.0117e-05+0.0003754i,0.00052129+0.00077692i,-0.00015837+0.00081766i,-0.00035809+0.0001057i,-0.00048015+7.3162e-05i,-0.00053378+0.00078301i,6.7745e-05+0.0010749i,-0.00010801+0.00065163i,-0.00038616-0.00079994i,0.00035693-0.00059691i
0.0013347+0.00012874i,0.0017156+2.6464e-05i,0.00066871-0.00065686i,-0.0001585-0.0010409i,-0.00058508-0.0003298i,-0.00065756+0.00044371i,0.00016765+0.00028394i,0.00018909-0.00015432i,-0.0002953-0.00015702i,-0.00058726+0.00017466i,-0.00073354-2.255e-05i,-0.00048464-0.00011857i,4.9571e-05-0.00039524i,0.00015666-0.00082739i,0.0004769-0.00038499i,0.00099508-0.00013773i,-7.5574e-05+4.6113e-05i,-0.0011499-0.00042112i,-0.00068016-0.00025657i,0.00028701+0.00099908i,0.00064721+0.00096975i,0.00029552+0.00018418i,-0.00066383+0.00025409i
