-0.0031486-8.783e-05i,-0.0022046-0.00038419i,-0.0011692+5.1269e-05i,-0.0016379+0.00035591i,-0.0018755+0.00025946i,-0.0013258-7.3916e-05i,7.0861e-05+0.00056097i,0.0016149+0.0018441i,0.0014016+0.0013499i,0.00093654+0.00034216i,0.00096912-0.00037422i,0.0011312-0.00058993i,0.0009097+0.00015142i,-0.00016573+0.00038524i,-0.0013051+0.00033273i,-0.00057534-0.00015823i,0.00056236-0.0002826i,-9.9426e-05-0.00043351i,-0.00012332-0.00064132i,2.1941e-05+4.4998e-05i,-0.00021321+0.00028926i,0.00011668+0.00025898i,0.00055037-0.00023236i
-8.4221e-05+0.00051777i,-4.485e-05+0.0016374i,0.00070417+0.0013354i,0.0023752+8.8136e-06i,0.0031212-0.0014755i,0.0020767-0.0010166i,0.0013547+0.00042773i,0.0020415+0.0013162i,0.0017943+0.0017543i,0.00052298+0.0016494i,-0.00069177+0.00068099i,-0.0008572+0.00015493i,-0.00065255-5.4255e-05i,-0.00035821-0.00036616i,0.00024351-0.00020822i,0.0007725+0.00019853i,0.00090761+0.00116i,0.00043173+0.00059673i,-0.00034297-0.00020227i,-0.00080846+0.00026031i,-0.00076896+0.0004159i,-0.00090357+0.00082336i,-0.00051475+0.0010919i
0.001798-0.00019347i,0.00083207-0.00060374i,0.00060202-0.0020174i,0.0013655-0.0036259i,0.0019889-0.0036908i,0.00059799-0.002491i,0.00039316-0.00097778i,0.0015177+9.0681e-05i,0.0020037+0.00016723i,0.0017429-0.00032995i,0.0012471+0.00048519i,0.00042598+0.0012763i,-0.00020497+0.00056821i,3.2691e-05+0.00038385i,-0.0001697+0.0005499i,2.4258e-05+0.00025045i,0.00042007-6.4703e-05i,0.00028641-0.00018308i,-3.8361e-05+7.4069e-06i,-0.00062794+0.00084246i,-0.00074062+0.00076625i,-6.7474e-05+9.7704e-05i,0.00059905-0.00042427i
0.0015879+0.0023669i,0.0030506+0.0010674i,0.0045422+0.00075044i,0.0057483-0.00017792i,0.0046896-0.0017352i,0.0019977-0.0024436i,0.00068289-0.0021498i,0.0003941-0.0024139i,0.001335-0.0017829i,0.0016451-0.00020109i,0.00069576+0.00037959i,0.00070015-0.00020099i,0.0010264-0.00042841i,0.0010093-0.00061955i,0.00082426-0.00044643i,0.00064395-0.00044434i,-2.2837e-07-0.00083299i,-0.0001611-0.00043558i,0.00015401+0.00054892i,0.00014806+0.00044446i,0.00031231+0.00055244i,0.00052961+0.00042279i,0.00066603-0.00048204i
-0.0013458-0.00025955i,-0.0013056+0.00056485i,-0.00064184+0.001537i,-0.00010502+0.0017173i,0.00040307+0.00055i,0.0016129-0.00077073i,0.00055693-0.0017735i,-0.00038733-0.0021476i,-0.00078368-0.0011386i,-0.00020177-0.0003527i,0.0011058-0.0005541i,0.0014601-0.0002765i,0.0015901+0.00023199i,0.0014756+0.0001277i,0.00049505+7.2699e-05i,-0.00020722+3.8159e-05i,-0.00010709-5.4168e-05i,-0.00052552-0.00017595i,-0.00083313-0.00044562i,-0.00013454+0.0001717i,0.00035268+0.00016742i,0.0010103-0.00032143i,0.00090642+3.9765e-05i
0.0013135+0.0016333i,0.0018104+0.0016776i,0.0029468+0.0018325i,0.003624+0.0012649i,0.0030406-0.00086129i,0.00072466-0.0018531i,-0.00070347-7.5194e-05i,-0.00090675+0.0014507i,-0.00035881+0.0012234i,0.00059173+0.0013143i,0.00098001+0.00071286i,0.00095305-0.00054726i,0.00092704-0.001491i,0.00091085-0.0017238i,0.00042222-0.0013269i,-0.0001192-0.00024186i,-0.0008867+0.00024753i,-0.0010868-6.2029e-05i,0.00015635-0.00040743i,0.00074114-0.00071005i,0.00010121-0.0004749i,-0.000245-0.00047597i,0.00019456-0.00075313i
-0.00042344+0.0025911i,0.00052475+0.0028599i,0.0015739+0.0025791i,0.0028857+0.0020203i,0.0037659+0.00063734i,0.0036135-0.0011916i,0.0018408-0.00079587i,0.00031493+0.0015444i,0.00030518+0.0033633i,0.0011049+0.0034009i,0.0014326+0.0019214i,0.0011861+0.00095774i,0.001028+0.00026918i,0.00071246-0.00062929i,0.0002077-0.00037022i,0.00019055-0.00011769i,0.0006197+9.693e-06i,0.00065215+8.5494e-05i,0.00017191-0.00028247i,0.00011448-0.00062614i,0.0005657-0.00013101i,0.00073833+0.00017072i,0.00037375-0.00011559i
-0.0021983+7.6165e-05i,-0.0016441+0.00066734i,-0.0010786+0.0025273i,-0.00047727+0.0037676i,0.0006658+0.0023416i,0.0010513+0.00074798i,0.00077635+0.001445i,0.0015356+0.0032331i,0.0026333+0.0033055i,0.0024062+0.0022039i,0.001729+0.0011636i,0.00027793+0.00078689i,-0.00038334+0.00080512i,-0.00051656+8.3235e-05i,-8.9103e-05+4.1377e-05i,-0.00018991+0.00017797i,-0.00014655+0.00041614i,0.00022019+0.00035013i,-0.0001068-0.00015992i,0.00037821-7.8344e-05i,0.00086684+1.7387e-05i,0.001138+0.00012899i,0.0010902+0.00010494i
0.00087397+0.00097912i,0.0017232+0.0015478i,0.0021258+0.00094098i,0.0024295-0.00055366i,0.0027042-0.002027i,0.0022944-0.0020993i,0.0020877-0.0012766i,0.0032812-0.00030742i,0.0040659+0.00015207i,0.0041386-0.00043092i,0.0025153+0.00016417i,0.00047812+0.00094457i,-0.00039475+0.00065564i,-0.00067457+0.00014324i,-0.00018342-0.00023471i,0.00057399-0.00023384i,0.001011+0.0001217i,0.00011963+0.00028159i,-0.00046839+0.00026055i,-0.00010304+0.00058464i,-0.00010074+0.0010342i,0.00044584+0.0011023i,0.00095827+0.0009523i
-0.0016926+0.00014205i,-0.0020297-0.0010566i,-0.0017328-0.00070105i,0.00052489+2.3657e-05i,0.002349-0.00050082i,0.0019218-0.0012299i,0.00076439-0.0014255i,0.0016584-0.0017595i,0.0033562-0.0018841i,0.0026681-0.0015331i,0.00069676-0.00039641i,0.0003678+0.0001108i,0.00023985+4.4215e-05i,-0.00094108+0.00057444i,-0.0015445+0.00082743i,-0.00073841+0.00031383i,-0.00012876-0.00016891i,-0.00040036-0.00029457i,-0.0009013+0.00054317i,-0.0014123+0.00074762i,-0.0014516+0.00055582i,-0.00072091+0.00037876i,1.1029e-05-0.00010016i
-0.0011445+0.0014779i,-0.00072042+0.0015528i,0.0011124+0.0018934i,0.001749+0.0020621i,0.0023729+0.00098837i,0.0022037-0.0012611i,0.00027347-0.002476i,-0.00021278-0.0028812i,-0.00024373-0.0030623i,-0.00090612-0.0024086i,-0.00025195-0.00062812i,0.00053534+0.00060132i,0.00053006+0.00070787i,0.00081001+0.0011006i,0.00183+0.00062374i,0.0022483-0.00088838i,0.001312-0.0012883i,0.00033361-0.00031083i,-0.0002529+0.00084323i,0.0002726+0.00073395i,0.0013248-0.00028483i,0.0016847-0.00074308i,0.00055534-0.00080622i
0.00099489-0.0019528i,0.00057787-0.0027944i,0.0013205-0.0025419i,0.0016029-0.0023645i,0.0013778-0.0026279i,0.00069465-0.001446i,-0.00032893+0.00097029i,-0.0014208+0.00060897i,-0.0022201-0.0014993i,-0.002714-0.0012619i,-0.0024552-0.00036039i,-0.001168+0.00043518i,-0.00019204+0.00087388i,0.00018634+0.00080166i,0.00020493+0.00052582i,0.00059871-7.99e-06i,0.00023646+0.00070308i,-0.00026882+0.0010851i,0.00038617+0.00027486i,0.00072861+1.7125e-05i,0.00092279+0.00027773i,0.00079409+7.0998e-05i,8.3229e-05-0.00032097i
-0.00022093-0.00031271i,-0.00023298-0.00022126i,0.00022856-0.0011866i,0.00061118-0.0016734i,0.00081399-0.002309i,0.00099723-0.0026048i,-0.00027954-0.00060658i,-0.0020618+0.00078275i,-0.0025986+0.0020121i,-0.0018118+0.0030246i,-0.00071366+0.0019778i,0.00022443+0.00051046i,0.00075223-0.00018015i,0.00083496-0.00075936i,0.00067981-0.0012372i,-0.00028139-0.00059807i,-0.00089231-0.00010192i,-0.0003077+8.1449e-05i,0.00060362+0.0011689i,0.0010235+0.0011357i,0.00025526-0.00035257i,-0.00038365-0.0009701i,0.00012084-0.00062992i
0.00095974+0.00082941i,0.0015984+0.00044136i,0.0015442+0.0022565i,0.0017485+0.0029223i,0.0021649+0.0008611i,0.0016019-0.00024701i,0.0014621+0.0013441i,0.0012148+0.0027803i,0.00093179+0.0040438i,0.0017428+0.0047968i,0.0021738+0.0034728i,0.00092034+0.0014189i,0.00043761-0.00048268i,0.00059651-0.0018224i,0.00037811-0.0016895i,-9.4098e-05-7.9158e-05i,-0.00050545+0.00053276i,-7.1865e-05-0.0001348i,0.0008569-0.0011878i,0.0006156-0.0010872i,-6.2058e-05-1.7523e-05i,0.00042761+0.00046876i,0.00082953-0.00026286i
0.0018662-0.00080861i,0.0015947+0.00025091i,0.0017687-0.00036174i,0.0017966-0.0015795i,0.0023689-0.0017669i,0.0020464-0.0016447i,0.0019068-0.00092907i,0.0029483+0.00093578i,0.0043003+0.0022452i,0.0050556+0.002589i,0.0041878+0.001492i,0.0020615+0.00015472i,0.00038127-0.00022003i,-0.0003403-0.00087429i,-0.00044806-0.0011716i,-0.00046226-0.00089791i,-0.00021852-0.0006977i,-1.5835e-05-0.0012311i,0.00065577-0.0011995i,0.00080204-0.00072907i,0.00018571-0.00035795i,5.932e-05-0.00037242i,-7.5925e-05-0.00028071i
9.8186e-05-2.4004e-05i,0.00010628-0.00013083i,0.00053707+0.0010298i,0.002285+0.00018272i,0.0034037-0.0011599i,0.0026075-0.0015028i,0.0022645-0.00048799i,0.0041306+0.0014479i,0.0058978+0.0015061i,0.0057847+5.3559e-05i,0.0041202-0.0014605i,0.0010059-0.0015249i,-0.0010596-0.00021444i,-0.00079274+0.00048489i,-0.00076763+0.00052898i,-0.00042664+0.00060374i,0.00010126+0.00092475i,-0.00019145+0.00011036i,0.00016577-0.00081049i,0.00029612-0.00020106i,0.00012631+0.00043611i,0.00066146+0.00011573i,0.0010707-0.00051313i
0.0005638+0.0012108i,0.0015696+0.00073674i,0.0026794+0.00028057i,0.0033997-0.00095817i,0.0035301-0.0018424i,0.0023533-0.0018556i,0.0014572-0.0020069i,0.0024259-0.0027491i,0.0036577-0.0040309i,0.0035262-0.0050014i,0.0022008-0.0035562i,0.0012055-0.00068473i,9.6339e-05+0.00027965i,-0.00082303-0.00021128i,-0.00068354-0.00044065i,-0.00042388+0.00032879i,-0.00044624+0.00015495i,-0.00093987-0.00057129i,-0.0005993-0.00042277i,0.0003483+0.00019505i,0.00059014+0.0006837i,0.0011556+0.00014396i,0.00091662-0.00027012i
0.00086946-0.0015438i,0.0018203-0.0017117i,0.0024985-0.00049473i,0.0029916-0.00013612i,0.0029554-0.0013702i,0.0017332-0.0020039i,0.00022334-0.0028305i,-0.00059351-0.004189i,-0.0012165-0.0042965i,-0.0021432-0.0029551i,-0.0024442-0.0013988i,-0.0010775-0.00021348i,0.00034811+0.00037859i,0.0016001+0.00096129i,0.001548+0.0013507i,0.00040993+0.00021135i,-0.00030694-3.1511e-05i,-0.0010226+0.0001852i,-0.00044221-0.00033765i,0.00054241-3.3266e-05i,0.00057384+0.00027889i,0.0002773+1.9354e-05i,0.00018187-6.878e-05i
4.6226e-05-0.00042623i,-0.0010741-0.00051983i,-0.0018665-0.0012691i,-0.00062589-0.0022036i,0.00016462-0.0023177i,-0.00083538-0.0014451i,-0.0020698-0.0010013i,-0.0027355-0.0012075i,-0.0038184-0.00068417i,-0.0047246+3.0017e-05i,-0.003517+0.00069367i,-0.0010183+0.00095441i,3.6855e-05+0.00024714i,0.00067906+0.00017387i,0.0013458+0.00039968i,0.00036135-0.00011006i,-0.00053467-0.00020186i,0.00021489+0.00036929i,0.00076337+0.00053204i,0.000343-1.1079e-05i,-7.6568e-05-0.00049894i,-5.0064e-05-0.00062337i,-0.00012288-0.00073195i
0.00069905+0.0008397i,0.0019502+0.00070396i,0.0030799+0.00048603i,0.0033201+0.00024029i,0.0030244+0.00069485i,0.0018329+0.0018431i,9.4158e-05+0.00278i,-0.0015042+0.0029692i,-0.0025315+0.0029964i,-0.002008+0.003962i,-9.3114e-05+0.0041982i,0.0014378+0.0022709i,0.0013646-0.00034005i,0.00058307-0.0010787i,0.00068885-0.00062728i,0.00075939-0.00039753i,0.00054246+5.5531e-05i,0.00078577+0.00012044i,0.0011652+1.1468e-05i,0.00082152-0.00029422i,7.4569e-06-0.00094601i,0.00043892-0.0012381i,0.00059107-0.0015235i
-0.00068188-0.00060129i,-0.0020604+0.00029224i,-0.0017608+0.00067203i,0.00051636-0.00073578i,0.0021049-0.0027112i,0.0016597-0.0020717i,0.00095777+0.0013946i,0.00051202+0.0044954i,0.00081531+0.0052087i,0.0024208+0.004984i,0.0035107+0.0037812i,0.0023537+0.0015872i,-6.5569e-05-0.00044837i,-0.00099311-0.0011604i,-0.00060689-0.0010826i,-3.7878e-06-0.0012442i,0.00094205-0.00054616i,0.0011304-0.0006487i,0.0011265-0.00096525i,0.00098906-0.0005704i,0.00037954+4.7308e-05i,-0.00018826+0.0008193i,-0.00044356+0.0012708i
0.0011966-0.00089212i,0.001644-0.00024692i,0.0023484-0.00031223i,0.0023054+0.00037457i,0.001482+0.00066941i,0.0015019+0.00038556i,0.0024882+0.00060471i,0.0031372+0.0024021i,0.0050258+0.0034918i,0.005351+0.0023307i,0.0039137+0.00058863i,0.0018335-0.00039071i,-7.7041e-05-0.00091581i,-0.00041055-0.00054006i,-0.00052751+0.00043243i,-0.00059488+0.0014448i,0.0002626+0.00138i,0.00067596+0.00039163i,0.00032677-0.00096677i,-0.00056216-0.00045004i,-0.0010156+0.0008669i,-0.00034487+0.0011141i,0.00037966+0.00056388i
-0.0022579-0.00013762i,-0.0013015+0.0003053i,-0.0015837+0.00018453i,-0.0014425-0.00013583i,-0.00092176-0.00074354i,-9.0021e-05-0.0018435i,0.0022264-0.0021012i,0.0046825-0.002026i,0.0054502-0.0018331i,0.0047473-0.001878i,0.0031553-0.002149i,0.0013093-0.0010271i,0.00020139+0.00031382i,-0.00071094+0.00056764i,-0.0017192+0.00090325i,-0.0019716+0.0013144i,-0.0014223+0.00017265i,-0.00067924-0.00087595i,-0.00026957-0.00042372i,-0.00032474+0.00027915i,0.00012498+0.00033108i,0.00035678-0.00013457i,0.00053276-0.0001329i
-0.0020589-0.0014769i,-0.00027041-0.00097235i,0.0010427+5.6864e-05i,0.0016289+0.00090589i,0.0016098+0.00048976i,0.0017833-0.00085281i,0.0016606-0.002774i,0.0025274-0.0038027i,0.0033751-0.0043784i,0.0014742-0.0046312i,-0.0014614-0.0029361i,-0.0015954+9.0954e-05i,-0.00072901+0.0019927i,-0.00055042+0.0017359i,0.00032613+0.00052031i,0.00053018+0.00016508i,-0.00033961+0.0001389i,-0.00030713-8.6797e-05i,-8.7178e-05+0.00011737i,0.00063607+0.00061719i,0.0010407+5.0973e-06i,0.0005926-0.00088306i,1.045e-05-0.00049549i
0.00056198+0.00058853i,0.0004594+0.00084816i,0.00011042-0.00026647i,0.0012376-0.0011363i,0.002277-0.00105i,0.00049907-0.0012515i,-0.001322-0.0014498i,-0.0014186-0.0016809i,-0.0015621-0.0028737i,-0.0020087-0.0030296i,-0.0016373-0.00091637i,-0.00031351+0.0010107i,0.0011096+0.0015283i,0.0013036+0.0017165i,0.0005407+0.0011565i,-0.00048881+0.00050883i,-0.00085142+0.00018108i,-0.0003124+7.1398e-05i,0.00012617+0.00035052i,0.00046947+0.00024399i,0.00084031-0.00067735i,0.00029024-0.0012248i,-0.0003784-0.0010744i
0.00042477+6.697e-05i,0.001345+0.00054047i,0.0039466+0.00063162i,0.006265+0.00048613i,0.0054553-0.00097135i,0.0020174-0.001883i,-0.0012702-0.0010556i,-0.003236-0.00044224i,-0.0034318-0.00031288i,-0.0028846+0.0013504i,-0.0015442+0.002577i,0.00089365+0.0015948i,0.0019144-0.0013175i,0.0013612-0.001867i,0.0012284-0.00073437i,0.001669-0.001313i,0.0016073-0.0010724i,0.00088622-7.7197e-06i,0.00038161+0.00063558i,-0.00012379+0.00024146i,-0.00029955-5.5747e-05i,-0.00014351-0.00037643i,-0.00023431-0.00054829i
-0.0027052-0.002171i,-0.0032218-0.0016066i,-0.0049149-0.00039492i,-0.0042087+0.001636i,-0.0022089+0.0027469i,-0.00058606+0.0021422i,-0.00066534+0.002769i,-0.0018099+0.0037127i,-0.0017043+0.0036073i,-0.00073621+0.003268i,0.00087625+0.0034452i,0.0012842+0.0016811i,0.0006344-0.00053379i,8.5387e-05-0.00078757i,-8.7915e-05-0.00056666i,-0.00045877-0.00018444i,-0.00073174-0.00047449i,-0.00017822-0.001081i,0.00049479-0.00056194i,-0.00014638-0.00045182i,-0.00068605-0.00059374i,-0.00063181+3.2188e-05i,-0.00016638+0.00044642i
-0.00087031+0.0012229i,0.00054961+0.0016885i,0.0021238+0.0013932i,0.001776-0.00039785i,0.001525-0.0010427i,0.0018038-0.00014621i,0.0020034+0.0020762i,0.0021442+0.0043024i,0.0023939+0.0047101i,0.002541+0.0029543i,0.0024878+0.0011505i,0.0011793-0.00077338i,-0.00013905-0.0020526i,-0.00045752-0.0015487i,-0.00061491-0.0016161i,-0.00056394-0.0024755i,-0.0002177-0.0020273i,-8.2813e-05-0.0010163i,-0.00054941-0.00023575i,0.0001382+0.00064118i,0.00054618+0.0011285i,0.00074839+0.00096907i,0.0010053+0.00075634i
-0.0022886+0.002305i,-0.0021972+0.0024885i,-0.00056326+0.0038213i,0.0027444+0.0041045i,0.004565+0.0023641i,0.0038895+0.00095696i,0.0033429+0.0012805i,0.0044404+0.001656i,0.0056663+0.0022817i,0.0050227+0.0018704i,0.0034366-0.00045207i,0.001342-0.0011054i,-0.000358+8.2547e-05i,0.00024653+0.00068009i,0.00058277+0.0010358i,0.00028454+0.0011985i,-2.4855e-05+0.0013022i,-0.00042962+0.00068919i,-0.00046216-0.00014067i,-0.00016258-0.00010347i,0.00047502+0.00020479i,0.0012078+3.2618e-05i,0.0017181-0.00041873i
0.0011499+0.0019896i,0.0019669+0.00134i,0.0032037+0.00051741i,0.0036611-0.0012254i,0.0023452-0.0029448i,0.00029534-0.0031299i,0.0013825-0.00235i,0.0040731-0.0014874i,0.004362-0.00061052i,0.0031243-0.0005506i,0.0011325-0.0014104i,-0.00064696-0.0012363i,-0.00078458+5.223e-05i,-0.00032047+8.5407e-05i,-0.0012042-0.00075034i,-0.0019245-0.0015358i,-0.00098385-0.0012264i,-5.7267e-05-0.00014485i,0.00035473+0.00064321i,0.00024356+0.00057469i,0.00083915-4.5785e-05i,0.0021735-0.00081388i,0.0020902-0.0013661i
-0.00083169+0.0016032i,-0.00071366+0.0013776i,0.00022966+0.0032018i,0.0020061+0.0031242i,0.0038185+0.000529i,0.003506-0.0016612i,0.0015954-0.0026178i,0.001576-0.0034114i,0.0025899-0.0035896i,0.0021759-0.0025696i,0.00093561-0.00074653i,0.00099631+0.00070597i,0.0022871+0.0011836i,0.0020501+0.00056998i,0.00099797+0.00025722i,0.0010485+0.00048682i,0.0011035+0.00014705i,0.00042129+0.00026808i,0.00029657+0.00052759i,0.00067959+0.00020332i,0.00026212-0.00010563i,-6.0687e-05-0.00036591i,0.00050163-0.00036533i
0.0013043+0.0029504i,0.00124+0.0022544i,0.0018744+0.0017931i,0.0023234+0.00029665i,0.0017562-0.0014774i,0.00079134-0.0023908i,-0.00060393-0.0027739i,-0.0017896-0.0028479i,-0.0014575-0.0032531i,-0.00056324-0.0025923i,0.00056954-0.00018859i,0.0012005+0.0010577i,0.0010724+0.00036881i,0.00058512-3.3817e-05i,4.2496e-07+7.1082e-05i,0.00013717-7.5947e-05i,0.00052559+0.00010337i,6.5395e-05+2.6776e-05i,-0.00032729-0.00048756i,0.00069075-4.8913e-06i,0.00085241-0.0003246i,0.00043275-0.0010645i,0.00057919-7.8948e-05i
-0.00078447-0.00044746i,-0.00041119-0.00026601i,-0.00043551-0.00041066i,0.0007326-0.00045516i,0.0021549-0.0012284i,0.0016485-0.0018019i,-0.00043202-0.0009448i,-0.0023036+0.000237i,-0.0023574-0.00024681i,-0.001483-0.00077259i,-0.00083367+0.0001473i,0.00025081-7.4185e-05i,0.0012704-0.0011922i,0.0020969-0.0011636i,0.0017634-0.0011318i,0.00086776-0.0012279i,0.00090098-0.00040413i,0.00050768-0.00046818i,-0.00018179-0.0014928i,-0.00041939-0.0008227i,-5.6602e-06+0.0006363i,-0.00027718+0.00093154i,-0.0014353+0.0010734i
0.0015734-0.0014188i,0.00078237-0.00075162i,0.00037388-0.0006817i,0.00046038-0.00076928i,0.00041733-0.00090249i,-0.00017881-0.00024747i,-0.00017452+0.00227i,-0.00039626+0.0040643i,-0.0023906+0.0029957i,-0.0030659+0.0018377i,-0.001176+0.00089637i,0.00023509-0.00058153i,-0.0004228-0.0008434i,-0.0010701-0.00056088i,-0.00098127-0.00057932i,-0.0013518-0.00069594i,-0.0013387-0.0011999i,-0.0011541-8.3593e-05i,-0.0011025+0.00071084i,-0.00094806+0.00037374i,-0.001353+0.00060794i,-0.0010475+0.00059405i,0.0001412+0.00014845i
0.0025012-0.00012672i,0.0027293-0.00057963i,0.004508-0.0011887i,0.0053117-0.0015362i,0.0036588-0.0017548i,0.0009937-0.00056542i,0.00065649+0.0017414i,0.001638+0.0039113i,0.0020423+0.0046116i,0.0011984+0.0036351i,0.0010847+0.0011936i,0.001267-0.0003545i,0.00076411-0.00067478i,0.00087067-0.0011012i,0.00040962-0.0010558i,-0.00013623-0.00031861i,0.00028139-0.00023558i,0.00068439-6.802e-05i,-3.6042e-05-8.3172e-05i,-0.00050166+1.6206e-06i,-0.00013045+0.0009557i,0.00048188+0.0014222i,0.0013195+0.0014424i
-0.00089859+1.3242e-05i,-0.00065086+0.00088117i,-0.0020087+0.0019402i,-0.001266+0.0021634i,0.0012618+0.0011369i,0.0031682+7.7498e-05i,0.0030874+0.0006709i,0.0030824+0.0016062i,0.0037325+0.0028507i,0.0034223+0.0034891i,0.0024319+0.0020975i,0.0014813+0.00086858i,0.0010357+0.00090084i,0.00041404+0.00099356i,-0.00034564+0.00074206i,-0.00056153+0.00015953i,-0.00084647+0.00016717i,-0.00043577+0.0010659i,1.5713e-05+0.0017598i,-0.00021684+0.0016185i,5.439e-05+0.00090748i,0.0010719-0.00047488i,0.0010688-0.00082123i
-0.00030188+0.00061324i,0.00013342+0.00036084i,0.0018621+0.00079435i,0.0037416+0.00066893i,0.0052161-0.00090801i,0.0052301-0.0033103i,0.0041612-0.0035697i,0.0041357-0.0018314i,0.0045155-0.00048424i,0.0042835+0.00079669i,0.0031521+0.00028856i,0.001869-0.00049314i,0.0016498-0.0008188i,0.0015072-0.0010582i,0.0012109-0.00091189i,0.00077104-0.00074402i,0.00013284-0.00066349i,0.00029142-0.0005315i,0.00022572+2.1047e-05i,0.0006263+0.00017355i,0.0014972-0.00064652i,0.0016558-0.0014767i,0.00082845-0.0013658i
0.0015328-0.000632i,0.0012334+0.0017874i,0.00096153+0.0021818i,0.0017136+0.00064202i,0.0017282-0.0010595i,0.0011377-0.0022411i,0.00088009-0.0024268i,0.0018001-0.0021777i,0.00332-0.0017305i,0.004208-0.0023878i,0.0038823-0.0025635i,0.001913-0.0014923i,0.00037092-0.00033484i,-0.00030825-0.00039361i,-0.0004775-0.00060493i,-0.00067345-0.00032924i,-0.00052174+0.0001839i,0.00086005+0.00062057i,0.0020656+0.00020218i,0.0016943-0.00016i,0.00057763-0.00048098i,0.0003122-0.00076546i,1.2854e-05-0.0010093i
-0.0018239-0.0017059i,-0.0013248-0.0015003i,-0.00026395-0.0020646i,0.0004214-0.0019266i,0.0005288-0.00090221i,7.6667e-07-0.0014229i,-0.0009509-0.0015487i,-0.0003193-0.0016917i,0.00039957-0.0024438i,0.00034386-0.0030221i,0.00053176-0.0025376i,0.00040189-0.0011017i,0.00047586-0.0002121i,0.0010946-0.0003798i,0.00077747-0.00028146i,0.00073226-0.00040794i,0.0014981-0.00077485i,0.0011348-0.00096913i,0.00038178-0.00097353i,-0.00021495-0.00048217i,-0.0003027+0.00014873i,-0.0004189+0.00089197i,-0.00071931+0.00097228i
0.00144+0.0009328i,0.0008725+0.0010389i,0.0011088+0.001357i,0.0019695+0.00037697i,0.0011365-0.0019581i,-0.00094074-0.002395i,-0.0022572-0.00040338i,-0.00229-2.6454e-05i,-0.0019542-0.00053432i,-0.0022165-0.00064674i,-0.002446-0.00038259i,-0.00103+0.00025547i,0.00043011+0.00039119i,0.0004835+0.00082682i,0.00067046+0.00084715i,0.0010602+0.00057644i,0.0017237+0.00085051i,0.0014672+0.001042i,0.00020622+8.5208e-05i,-0.00038578-0.00016342i,-0.0006314+0.00061654i,-0.00044059+0.0009425i,9.509e-05+0.00046374i
-0.00027671+0.0030635i,0.00087652+0.0010689i,0.0024458+0.00010101i,0.0039573-0.00047857i,0.0041917-0.0012775i,0.0013031+0.00010762i,-0.00080681+0.0025875i,-0.0016581+0.0025813i,-0.0025649+0.0015764i,-0.0028153+0.0018763i,-0.001734+0.0027646i,-0.00013088+0.0021858i,0.00067499+0.0001336i,0.0014758-0.0012468i,0.0013529-0.00064585i,0.00088469+5.3115e-05i,0.00075873-0.00035169i,0.0004432-0.00039498i,-0.00013253+4.1952e-05i,-0.00041743+8.8464e-05i,-0.00017938+9.1399e-05i,0.00050175-0.00029995i,0.00067493-0.00069287i
-0.00052655+2.9064e-05i,-0.00043946+9.9603e-05i,0.0018899+0.001558i,0.0048008+0.0025091i,0.00525+0.0019244i,0.0038536+0.00090743i,0.0026868+0.0008764i,0.0026286+0.0022196i,0.0016337+0.0039768i,0.00010141+0.0055129i,0.00054288+0.0048345i,0.0011516+0.0024342i,0.00080392+0.0010226i,0.0011348+0.00033315i,0.00061157-0.00030345i,-0.0002293+5.7746e-05i,-0.00048483+0.00080886i,-0.00049094+0.00059422i,8.3137e-05+0.00031165i,0.0002494+0.00017147i,0.0010993-0.00032763i,0.0021113-0.00052387i,0.002009-0.00025089i
-0.0031576-0.00087712i,-0.0028121+0.00083975i,-0.0044003+0.0033951i,-0.00356+0.0040854i,-0.00098854+0.0027i,0.0014904+0.0006971i,0.0027569+0.00021927i,0.0030757+0.00093127i,0.0027371+0.0022937i,0.0032047+0.0038008i,0.0037991+0.0039332i,0.0030757+0.0021681i,0.0013426+0.00033264i,-7.8466e-05-0.00094751i,-0.00045654-0.0011612i,-0.00058057-7.663e-05i,-0.00077619+0.00054808i,-0.0008091+0.00093444i,-0.00028608+0.0004294i,-9.7856e-05+4.0682e-05i,0.00060009-6.0802e-08i,0.00067566-0.00016701i,-0.00015915-0.0011907i
0.0016807-0.00090285i,0.0013361-0.0027104i,0.0035979-0.0030992i,0.0047902-0.002809i,0.0040352-0.0039587i,0.0026974-0.0039114i,0.0027574-0.0027395i,0.0036075-0.0011221i,0.0049806+0.00028523i,0.006201+0.00017349i,0.0055922-0.0017056i,0.0032492-0.0025785i,0.0009424-0.0015595i,3.2099e-05-0.00020221i,-0.00053253-0.00021196i,-0.00092132-0.0003866i,-0.00050942+0.00081652i,0.00043099+0.0013817i,0.0015062+0.00092966i,0.0016224+0.00065493i,0.0011098-0.00024631i,0.00087236-0.00066716i,0.00041609-0.0012179i
0.00022087-0.00018644i,0.00050183+0.0010714i,0.0019059+0.0011305i,0.0039974+0.00064347i,0.0042682-0.0013523i,0.0018966-0.0037097i,0.00042268-0.0037869i,0.0015731-0.0019477i,0.0030372-0.0012256i,0.0038008-0.002302i,0.0026808-0.0034917i,0.00074021-0.0036375i,-0.00013311-0.0023755i,0.00012718-0.0011633i,0.0007742-9.1502e-05i,0.00086288+0.00071359i,0.00030092+0.00054704i,-0.00039993+8.6428e-07i,-0.00021862-0.00047128i,0.00028616-0.00076772i,-3.3005e-05-0.0011029i,-0.00038773-0.00042669i,-0.00016691+0.00043255i
