-0.0022352+0.0024473i,-0.0018043+0.002209i,-0.0016113+0.0014503i,-0.0012043+0.00092212i,-0.0004439+0.0010033i,-0.0010091+0.00089697i,-0.0012373+0.0016478i,-0.00055228+0.0016247i,0.00048423+0.0013914i,0.00069724+0.0012831i,0.00052976+0.00033629i,0.0011736-0.00076644i,0.00085976-0.0019849i,5.6834e-05-0.0021276i,-0.00021478-0.00040863i,-0.00042237+3.1261e-05i,-0.00052958-0.00020174i,-0.00052526-0.00029034i,-7.6197e-06-0.00049517i,0.00034787+0.00018873i,0.00042351+2.3469e-05i,0.00023314-0.00038182i,-0.00026131+0.00022043i
0.00041469+0.00079907i,0.001793+0.00030819i,0.0026743-4.7072e-05i,0.0027916-0.00048279i,0.0014987-0.0016928i,-0.00016494-0.0021202i,-0.00099573-0.001092i,-0.00078261+0.00016416i,-0.00024226-0.00011254i,0.00020674-0.00035944i,0.00012928+6.7458e-05i,-0.00050186-8.8556e-05i,8.7489e-05-2.0033e-05i,0.00034699-2.6296e-05i,-0.00048303+6.6384e-05i,-0.00070943+0.00042112i,-0.00053147-7.417e-05i,-0.00065963-1.2084e-05i,-0.0010233+0.00022741i,-0.00076605-8.5048e-05i,-0.00026075+0.00021029i,0.00042473+0.00064935i,0.00082258+0.00021466i
0.0026453-0.0016845i,0.0025774-0.0013176i,0.0014713-0.00085372i,0.00024424-0.00027472i,-0.00098818+4.9174e-05i,-0.0012866+0.00068007i,-0.0012445+0.00062272i,-0.00061889+0.00046724i,9.4444e-05+0.00072515i,-0.00060458+0.0011062i,-0.0013725+0.0010596i,-0.0012036+0.00047148i,-0.0006467+0.00020919i,0.00034954+0.00068065i,0.00040077+0.00080026i,0.00040493+0.00028431i,0.0010329-0.0004441i,0.00063177-1.5846e-05i,-0.00042692+0.00041261i,-0.00063092+0.00015186i,-6.8745e-05-0.0003143i,4.6369e-05-0.00076867i,-0.000349-0.00048519i
0.0027255-0.00021047i,0.0025998-0.00032209i,0.0015856-0.00050983i,6.1439e-05-0.0010607i,-0.0014882-0.0012014i,-0.0017775-0.00093171i,-0.00046735-0.00060576i,0.0004072-0.00030164i,0.0003492-0.00033495i,-0.00030177-0.00017873i,-0.00073123+0.00073355i,-0.0011444+0.00090696i,-0.001207+0.00067946i,-0.00064767+0.0013136i,-0.00097254+0.0013907i,-0.00068351+0.00030129i,-0.00038113-2.8822e-05i,-5.7256e-05+0.0004601i,0.00040263+0.00046618i,0.00012618+0.00016594i,8.9901e-05-8.5381e-05i,0.00013555-9.2121e-05i,-0.00036842-0.00042163i
0.00095676+0.0012937i,0.00090568+0.00085396i,0.0015351+0.0011991i,0.0016221+0.0013502i,0.00092331+0.00027748i,-0.00056536-0.00065531i,-0.0023788-0.0003003i,-0.0028118+0.00064631i,-0.0014784+0.00078691i,-0.00059767+0.00011211i,0.00025713+0.00010806i,0.00035958+0.00037991i,4.7472e-05-0.00017127i,-3.8724e-05-0.00068904i,-0.00035306-0.00072797i,-0.00061345-0.00077914i,-0.00077149-0.00020631i,-0.00082016+0.00038513i,-0.00037906+0.0007748i,-7.0131e-05+0.00059035i,-0.00010994-4.6461e-05i,-0.00041286+0.00026889i,-0.00086764+0.001053i
0.00052016+0.0008681i,0.0017852+0.0010266i,0.0021558+0.0009753i,0.0022893+6.5222e-05i,0.0017207-0.00056765i,0.00059691+9.1182e-05i,0.0002005+0.00010568i,-0.00032989-0.00019416i,-0.00053722+0.00046442i,0.00034933+8.4655e-05i,0.0010626-0.0008937i,0.00085471-0.00030078i,0.00066691+0.00011216i,0.00071843-0.00020098i,0.00024682-0.00055976i,-0.00020597-0.00067003i,0.00041991+0.000194i,0.00057506+0.00068018i,0.00012857+0.00042423i,0.00061456+0.00019583i,0.00025988+0.00065035i,-0.00014521+0.00076897i,0.00042508+0.00043571i
-0.00058961+0.00028566i,-0.0017228+0.00034422i,-0.00052699+0.00069331i,0.00053936-1.1175e-05i,-0.0002909-0.0013261i,-0.002255-0.0014422i,-0.0026291-0.0013964i,-0.0015919-0.0005111i,-0.00071877+0.00017571i,0.00039635-0.00047097i,0.00055025-0.00013945i,7.1838e-05+0.00019893i,-0.00021184-0.00011646i,-0.0010431+0.00048303i,-0.0014617+0.00063515i,-0.0012294+0.00024578i,-0.0012739-3.5931e-05i,-0.0014177-0.00042242i,-0.0013706-0.00036469i,-0.0011505+0.00030038i,-0.0004502+0.0005389i,0.00047332+0.00054744i,0.00043553+0.00016477i
-0.001047+0.0020907i,0.00096419+0.0017117i,0.0019825+0.0012729i,0.0027232+0.00015098i,0.0024324-0.00011152i,0.00046041-0.0011154i,-0.0012043-0.0020882i,-0.0019641-0.001796i,-0.0014276-0.0012532i,-0.00019063-0.001317i,5.8936e-05-0.0010906i,-0.0004136-0.00027221i,5.8787e-06-0.0010027i,0.00063475-0.0012925i,0.00085207-0.00026916i,0.00097643+0.00083448i,0.00031136+0.00099612i,-0.0004668+0.00036994i,-0.0011693-0.00025253i,-0.0013649-0.00033318i,-0.00069651-0.00061602i,-0.00013897-0.00061914i,-0.00039929+0.00012525i
0.0012051+0.0033507i,0.0025945+0.0048278i,0.0029042+0.0054376i,0.002164+0.00286i,0.001495+0.00017432i,0.00014949-0.0011254i,-0.001109-0.00098032i,-0.0016983+0.00057882i,-0.0016565+0.0016884i,-0.00079645+0.0015577i,-0.00047823+0.00063573i,-0.00058085-0.00039813i,-1.5812e-06-0.0013444i,-0.00015337-0.001393i,-0.0012897-0.00048832i,-0.001236+0.00014038i,-0.00034142-0.00022056i,-0.00020087-0.00055806i,-0.0006947-0.00057086i,-0.00039341-0.00099024i,-0.00029881-0.00072067i,-0.00031945+0.00010779i,0.00052165+4.4306e-05i
0.00059567-0.00097782i,-0.00087826-0.00063278i,-0.0023314-0.0014967i,-0.00212-0.002078i,-0.00091557-0.001371i,-0.00070714-0.00086948i,-0.00091912-0.00022556i,-0.00076347+0.00026544i,-0.0005768+0.0010157i,-0.00026437+0.001503i,-4.6659e-05+0.001478i,-0.00025778+0.0011896i,-0.00027289+0.0005016i,0.00028589+0.00041648i,0.00064807+0.0006753i,-0.00029609+0.00043648i,-0.00082106+1.9771e-05i,-0.00044415-0.00016642i,0.00021955+9.4737e-06i,0.0009083-0.00020883i,0.00021678-0.0003i,3.9403e-05-0.00048772i,0.0004575-0.0002898i
-0.0024979+0.00091623i,-2.9938e-05+0.0025763i,0.0011792+0.0039168i,0.0018432+0.0039864i,0.0013031+0.0029494i,1.7933e-06+0.0020575i,-0.0012636+0.00035622i,-0.001562-0.00084436i,-0.00080931+0.00033095i,-3.3346e-05+0.00027448i,0.00040934-0.00012319i,0.00094763+0.00072562i,0.001174+0.00058304i,0.0012672-0.00059142i,0.0010656-0.00090094i,-4.4094e-05-5.9212e-05i,-0.00097275+0.00016936i,-0.00090806-5.823e-05i,-0.00041154-0.0002094i,-0.00035049+5.2675e-05i,-0.00055049-1.4106e-05i,-0.0004651+2.2045e-05i,-0.00064855+0.00039265i
-0.0017743+0.0013295i,-0.0019829+0.0022402i,-0.0019096+0.0024782i,-0.0001816+0.0023847i,0.00080913+0.0018061i,-3.3581e-05+0.00068203i,-0.0011851-0.00082757i,-0.0014797-0.0012746i,-0.00076982-0.00028763i,-0.0007754+0.00059208i,-0.00057561+0.00090721i,4.2097e-05+0.0007684i,-8.6288e-06+0.00051625i,-0.00015855+9.7051e-05i,3.8536e-05-0.00039601i,0.00042775-0.00017802i,7.1101e-05+3.9253e-05i,-0.0003984+7.7697e-05i,-0.0010601+0.00046157i,-0.0016576-0.0001384i,-0.00046533-0.00075863i,0.00052028-0.00030345i,0.0005072+0.00035289i
-0.00051118+0.00019804i,-0.00055742-0.00033682i,0.00012728+0.00027105i,0.00036396+0.00047478i,-0.00013222-0.0012987i,-0.0013389-0.0023378i,-0.0029791-0.0019327i,-0.0034799-0.00077055i,-0.0018883+0.00085778i,-0.00032855+0.00092588i,-0.00019268-0.00061481i,-0.0004649-0.0013629i,-0.00036141-0.0013382i,-1.3285e-06-0.0011063i,-6.3666e-05-0.00061242i,-0.00043826-0.00024963i,-0.00062154+0.00058294i,-0.0015117+0.0014647i,-0.0017399+0.0017345i,-0.00041053+0.0013788i,0.00062368+0.00051536i,0.00099085+0.00041624i,0.00018887-3.0263e-07i
0.0023817+0.00072752i,0.0032405+0.00061715i,0.0021878+0.00075439i,0.0010605+0.00028702i,0.00045307+0.00070418i,-0.00065446+0.000458i,-0.00074983-0.00018797i,-0.00050832+0.00028693i,0.00028145+0.00092031i,0.00061317+0.00068893i,0.00059122-0.0004344i,0.00083811-0.00081738i,0.00023629-0.00080482i,-7.2389e-05-0.00038168i,-0.00048167-0.00010241i,-0.00097531+0.00058339i,-0.00037685+0.00073925i,-0.0003369-1.599e-05i,-0.0012683-0.00017408i,-0.0012468-0.00029548i,-0.00091814-0.00023076i,-0.00063299-0.00011855i,-0.00063483-0.00019882i
0.0014976+0.0004436i,0.001526+0.00098146i,0.0018857+0.0022715i,0.0012251+0.0020033i,4.9185e-05+0.0001959i,-0.00066331-0.0012038i,-0.0012599-0.0012896i,-0.0013528-0.00076451i,-0.00094689-0.00045307i,-0.0013889-0.0004326i,-0.001403-0.00048728i,-0.00084078+3.1108e-05i,-0.0006666+0.00049107i,-0.00087957+0.0004184i,-0.00099004+0.00082741i,-0.0008324+0.00067854i,-0.0006864-1.8723e-05i,0.00016955+5.9728e-05i,0.00049302+7.4861e-06i,0.00044452-0.00031031i,0.0011056+0.00011559i,0.00084566+0.00071366i,0.00022148+0.00095812i
-0.00087547+0.0016544i,0.00062885+0.0021026i,0.00055085+0.0010262i,0.00010242-0.00075733i,0.00033564-0.001352i,-0.00082426-0.0023093i,-0.0020779-0.0015051i,-0.0022795+0.00027673i,-0.0018763+0.00035974i,-0.0010248+0.00020889i,7.6123e-06+0.00051394i,0.00044855+0.00037377i,0.00047598+0.00029481i,5.1665e-05+0.00066819i,-0.00042139+0.00078567i,-0.00077856+0.0002368i,-0.0010005-0.00059474i,-0.00041762-0.00036758i,-0.00022465-0.00032635i,-0.00040955-0.00087923i,-0.00051695-0.00074876i,-0.00015359-0.00023369i,-0.00014539+9.3321e-05i
-0.00044567-0.0016443i,-0.00059522-0.0016254i,-0.00079289-0.00013239i,-0.0010491+0.0012766i,-0.00087373+0.0016668i,0.00011244+0.0015566i,-0.00076302+0.00024248i,-0.0018686+7.7303e-05i,-0.0015803+0.0011821i,-0.00053319+0.001226i,0.00042833+0.00041584i,0.00067782-0.0003627i,0.00081338-0.00048917i,0.0012685-3.1163e-05i,0.0015024+0.00069106i,0.00037039+0.0013345i,-0.00053566+0.0013349i,-0.00044305+0.0015149i,-0.00050244+0.0011811i,-0.00062892+0.0001717i,-0.00037901-0.00022225i,-0.00061775-0.00061154i,-0.00024411-0.00054214i
0.00077509-0.0001523i,0.0007558-0.0005747i,-2.5403e-05-0.00095803i,-0.00058493-0.00077352i,-6.0905e-05-0.00063082i,-0.0004058-0.0015569i,-0.00071047-0.0016909i,-0.00057019-0.0010577i,-0.00069948-0.00034335i,-0.00017604-0.00054184i,0.0001032-0.00024532i,-0.00030551+0.00028011i,-0.00059488-0.00011885i,-0.00016831-0.0010747i,0.0003974-0.00090419i,0.00019978-0.00039539i,-2.235e-05-0.00062708i,8.594e-05-0.000101i,-0.00037146+0.00031999i,-0.0011762+0.00027667i,-0.0008033+0.0001766i,-0.00030777+0.0003498i,-0.0008773+0.00075281i
0.00092095+0.00078442i,0.0020433+0.00052218i,0.0024447-5.5794e-05i,0.00085288-0.00059305i,-0.0002966-0.0013333i,-0.00046292-0.0012974i,-0.0016063-0.00049049i,-0.0016816+0.00093123i,-0.00019486+0.0011378i,0.00061979-7.2587e-05i,5.6701e-05-0.0002007i,-0.0001197-0.00016003i,0.00037201+0.00015867i,3.3497e-05+0.00040294i,-0.00088711+0.00041362i,-0.00077277+1.9559e-05i,-0.00043426-0.00029721i,-0.00088188+0.00013506i,-0.0014386+0.00031621i,-0.0015842-0.0001854i,-0.00091398-9.0945e-05i,0.00025763+0.0008006i,5.5013e-06+0.0013713i
0.00091052+0.00056383i,8.5454e-05+0.00081628i,-0.00053049+0.00069599i,-0.0010406-0.00035542i,-0.00090012-0.00077841i,-0.0014235-0.00099233i,-0.002446-0.00098248i,-0.0022086-0.00012337i,-0.0013025+0.00020777i,-4.9326e-05+2.3549e-05i,0.0005473+0.00081038i,0.00035316+0.0005504i,4.2532e-05-0.00084945i,-0.00048883-0.00077682i,-0.00060093-0.00021084i,-0.00047466+0.00040799i,-0.00038816+0.00073578i,-0.00033258-1.4089e-05i,-0.00014708-0.00053992i,0.0006201-0.00057342i,0.00084504-0.00013351i,8.2441e-05+0.00032684i,-0.00028408+0.0010153i
-0.00067436+0.0018906i,0.00091803+0.0021329i,0.001825+0.0010156i,0.0029691-0.00041654i,0.0017747-0.0015326i,0.00029214-0.0022865i,-0.00080343-0.0012914i,-0.0014042+0.00058674i,-0.0010929+0.00091367i,-0.00021378+8.1179e-05i,0.00048408-0.00039969i,0.00058097-0.00072121i,-0.00033622-0.00059334i,-0.0019359+3.3296e-05i,-0.0020849+0.00021889i,-0.0010864+0.00020689i,-0.00044321+0.00069127i,-0.00061503+0.00036818i,-0.00049414-0.00051143i,-0.00046692-0.00068828i,-0.00033665-0.0010021i,0.00010452-0.00096965i,0.00041861-0.00039127i
0.0022974+0.00058984i,0.0017616+0.00097838i,0.0026061-8.5556e-05i,0.00088066-0.00085527i,-0.001417-0.0006686i,-0.0023072+0.00089856i,-0.0030808+0.0014648i,-0.0022818+0.00069129i,-0.00050684+0.00040433i,0.00046321-0.00043233i,0.00055348-0.0012385i,-0.00017051-0.00027827i,-0.00077841+0.00023933i,-0.00093534+0.00041178i,-0.0010518+0.00043544i,-0.00045601+0.00016617i,-3.1344e-05+0.0001632i,-0.00027284+0.00035312i,-0.00028851+0.00014209i,5.7819e-05-4.0749e-05i,8.8462e-05-0.00016298i,-0.00010541+0.00022666i,-0.00069433-8.9057e-05i
0.0017197-0.00072453i,0.0023122-0.00019654i,0.0028355+0.00022032i,0.0022925-0.00016723i,0.00089405-0.0011514i,-0.0010041-0.00085681i,-0.0019072+9.2537e-05i,-0.0027746-0.00056302i,-0.0026524-0.00030482i,-0.0015777-6.8551e-05i,0.00011464+5.7272e-06i,0.00096983+0.00051173i,0.00069362+0.00015139i,0.00050096+0.00031059i,0.00010611+0.00060942i,-0.00028357+0.00095473i,-0.00051348+0.00091719i,-1.0326e-06+0.00089281i,0.00023402+0.00084882i,-0.0003318+0.00029068i,-0.001118-0.00026351i,-0.00093516-7.9174e-05i,0.00032849+0.00055202i
0.0017833-0.00044815i,0.0011991-0.0011188i,0.00039258-0.0013516i,-0.00082053-0.00029029i,-0.0015152-6.2436e-05i,-0.0015235-0.00027077i,-0.0017904-0.00043988i,-0.0015922-0.00026435i,-0.00042553+0.00029315i,0.00030597+0.0011431i,0.00038597+0.0011111i,0.00018268-0.00017448i,-0.00037627-7.4e-05i,-0.00085042+0.00076547i,-0.00082013+0.00079585i,-0.00059567+0.00082894i,-0.00093273+0.00067977i,-0.00071606+0.00013591i,0.00017652+0.00019392i,0.00024807+5.1064e-05i,0.00037646-0.00022491i,0.0006209+0.00090661i,5.5948e-05+0.0007232i
-0.00066349+1.461e-05i,-0.0017262+0.0010714i,-0.0022032+0.00059282i,-0.0017513-0.0005975i,-0.0014694-0.00082302i,-0.00084697-0.00038198i,-0.00029252-0.00014824i,-0.00030084-0.00013868i,0.0001812-0.00015637i,0.0006463-7.2252e-05i,-7.2064e-05-0.0002278i,-9.895e-05-0.00013453i,0.00045226+3.2181e-05i,0.00041898+0.00016161i,0.00057914+0.00029476i,0.00032046+0.00049008i,-0.00055687+0.0010371i,-0.0015473+0.0010815i,-0.0018325+0.00016464i,-0.0013361-0.00031895i,-0.00067709-0.00024747i,0.0002149-0.00027846i,0.00062194-0.00012041i
0.0025918+0.00062749i,0.0027621-8.8736e-05i,0.0027149-0.0020276i,0.0015271-0.0024483i,-0.00036947-0.0022483i,-0.0018571-0.0022639i,-0.0019427-0.0014395i,-0.0013745-0.00024955i,-0.0013259-0.00085721i,-0.001432-0.0016192i,-0.0010343-0.0010078i,-0.00053587+0.00010918i,-0.00081574+0.0004272i,-0.0011213+0.00018131i,-0.00062337+0.0008166i,0.00019215+0.00054652i,-9.0022e-05-0.00019749i,-0.00010689-0.00012001i,0.00068084-3.3622e-06i,0.00061293-0.00081898i,0.00060423-0.00082381i,0.00067763+0.00012292i,-0.00022876+0.00053101i
-0.00057041-0.0013906i,-0.00079478+0.00024303i,0.00059378+0.0015531i,0.00076078+0.0024171i,-7.7545e-05+0.0021612i,-0.00018895+0.0015959i,-0.00084552+0.00063746i,-0.0019364+8.1084e-05i,-0.0014267-6.3992e-05i,-0.00071573+0.00054873i,-0.0002971+0.0012432i,8.0273e-05+0.0012898i,0.00047923+0.00091353i,0.0009284+0.00080334i,0.00087909+0.00057686i,0.00064744+0.00034249i,0.00018947-0.00056928i,-0.00014397-0.00091849i,0.0007001-0.00047897i,0.0014534-0.00051343i,0.00088693-0.00030148i,9.4613e-05-0.00026883i,-0.00015236-0.00090962i
-0.0005229+0.0027404i,-0.0011659+0.002789i,-0.00083455+0.0026422i,0.00035681+0.0014557i,0.0004775-0.00045283i,-0.00027466-0.0017283i,-0.0018183-0.0012431i,-0.0017282-0.00012897i,-0.00045541+0.00096176i,0.00022739+0.0014678i,0.000511+0.00088215i,-4.8407e-07+0.00038839i,-0.00088955-0.00041524i,-0.0010112-0.00064684i,-0.00090146-0.00012999i,-0.00050275+0.00017715i,6.7163e-05+0.00023593i,0.00093832+2.1129e-05i,0.0014168-1.5096e-05i,0.00061812-2.8019e-05i,-0.00037652+5.6979e-06i,-0.00090588-0.00015659i,-0.00042668-0.00028842i
-0.00099803-0.0012705i,-0.00024149-0.0022346i,-0.00086352-0.0021158i,-0.0012276-0.00079554i,-0.00059232-0.00040317i,6.3799e-05-0.00075141i,-0.00024458-0.00030392i,-0.0014297-5.3967e-05i,-0.00087899-8.4146e-05i,0.00027352-0.00021767i,-8.7932e-05-0.00026422i,-0.00016355-0.0012129i,6.625e-05-0.0010668i,0.00048321+0.00028372i,0.0011966+0.00078235i,0.00067423+0.00052131i,0.00034315+0.00010895i,0.00048445+0.00045544i,-0.00013055+0.0012801i,-0.0010269+0.0010467i,-0.0011631+0.00086717i,-0.00054523+0.0008998i,-8.4546e-05+0.00053898i
0.0022228+0.0026685i,0.0027885+0.0027026i,0.0026708+0.0019639i,0.0013248+0.00079056i,-0.00056586+0.0002304i,-0.0012019-0.000291i,-0.0014102-0.00069992i,-0.0015932+0.000166i,-0.0011998+0.00067239i,-0.00052967-9.1216e-05i,-0.0003937-0.00091812i,-0.00058122-0.00118i,-0.00082503-1.0217e-05i,-0.0010011+0.0010643i,-0.00089842+0.001214i,-0.00025491+0.00078903i,0.00064221+0.00066106i,0.00040676+0.0014381i,-0.00041177+0.0013171i,-0.00089359+0.00057135i,-5.833e-05-0.00029961i,0.00054544-0.0010075i,-7.8945e-05-3.834e-05i
-0.00109+0.0016216i,-0.0010885+0.0014258i,-0.0015005+0.00092274i,-0.0015943-1.2774e-05i,-0.00058547-0.00056442i,-0.00052943-0.0011356i,-0.0015025-0.00056541i,-0.0015618+0.00030092i,-0.00053754+0.00048445i,-4.7671e-07+0.00048917i,-0.00024299+0.00054898i,5.5949e-05+0.0004261i,-0.00033686+5.019e-05i,-0.00099199-0.00049022i,-0.00030861-0.00060378i,-0.00052886-0.00032345i,-0.00064929+0.00036425i,-0.0014117+0.0003405i,-0.001751-0.0011836i,-0.0011985-0.00084818i,-0.0010367-0.00022029i,-0.00052872-0.00033292i,0.00071099+0.00029591i
0.0028793+0.0012245i,0.0042789+0.00020119i,0.0040176-0.00097895i,0.0030449-0.00061051i,0.0013555-0.00027209i,-0.00081589-0.00078594i,-0.002573-0.00088534i,-0.0026913-0.00026102i,-0.00068041+0.0005781i,0.00069118+0.00084252i,0.00043848+0.00046382i,0.00066181+0.00031115i,0.00063628+0.00082747i,-0.00026378+0.00042048i,-0.0011693+6.1761e-05i,-0.001762+0.00093228i,-0.0010919+0.0012018i,-0.00025805-8.8836e-05i,-0.00019591-0.00068814i,0.0002356-0.00063931i,0.00011489-0.00079142i,-0.00013448-5.4312e-05i,6.752e-05-0.00016579i
-0.0012016-0.00020966i,0.00013578-0.00097563i,0.0010642+3.1347e-05i,0.00062109+0.00097701i,0.00028858+0.0013244i,-0.00045886+0.00086702i,-0.0018612-0.00068001i,-0.0019518-5.3386e-05i,-0.00051897+0.0014054i,0.00059607+0.0015936i,0.00044559+0.0008959i,-0.00024799+0.00038263i,-0.00020302-0.00017476i,0.00057834-0.00065656i,0.00048408-0.00051155i,2.6054e-05-3.7618e-05i,-5.8931e-05+0.00022714i,0.00058719+0.00048864i,0.00018712+0.00086791i,-0.00033894+0.00066743i,-0.00042954+0.00031476i,-0.00064648+0.00046783i,-0.00022864+0.00048691i
-0.0012718+0.0017434i,-0.00066462+0.0020187i,-8.9179e-05+0.0025838i,0.0014999+0.0023034i,0.0015533+0.0010037i,-0.00021557-0.00062744i,-0.0015194-0.0006809i,-0.001419+0.00025391i,-0.0011094-0.0002484i,-0.00083912-0.00097217i,-0.00016432-0.00017589i,0.00076601+0.00024933i,0.0005931-0.00047702i,6.9715e-05-0.00085653i,0.00010377-0.00080114i,0.00043828-0.00047224i,0.0009204+0.00019299i,0.00089166+0.00051485i,0.00011597+0.0010244i,-5.3158e-05+0.0012655i,0.00029744+0.0010479i,0.00043717+0.00091192i,0.00017727-4.1274e-05i
0.00087563+0.00029457i,-9.1088e-05+0.0014931i,-0.0016998+0.0011207i,-0.0026964+0.00017298i,-0.0023615-4.0978e-05i,-0.0014172-0.00033552i,-0.00068002-0.00070971i,-0.0009461-0.00029501i,-0.0018574+0.00071232i,-0.0018623+0.00067369i,-0.00062731+0.00049905i,-0.00026761+0.00049779i,-0.00066606+0.000256i,-0.00071016-0.00047952i,-0.00032791-0.00033226i,0.00010067+0.0003082i,0.00028184+0.00019317i,0.00044354+0.0008975i,-0.00019962+0.0012855i,-0.00045601+0.00041196i,-0.00050617+0.00019359i,-0.0002397+0.00021091i,0.00016157+0.00045344i
9.4264e-05-0.0005926i,-0.00047163-0.00085142i,-0.00015247-0.0008634i,0.0004893-0.0013522i,-0.00023854-0.0018438i,-0.00090308-0.00065886i,-0.0010959+0.0001277i,-0.00082823+0.0001481i,-0.00013169+0.0011107i,0.00061901+0.0016361i,0.0010895+0.0008124i,0.0005982+0.00012212i,0.00029523-0.00061884i,0.00020092-0.0003486i,-0.00058624+0.00024586i,-0.00072763-0.00013603i,-0.00024998+0.00022609i,-0.00035797+0.00091968i,-0.00067582+0.00070663i,-0.00090243+0.00027451i,-0.0012851-0.00031763i,-0.00091653+0.00013716i,-0.00040994+0.00028392i
-0.00098561-0.0023577i,-0.00098608-0.0010915i,-0.0011516-0.00018245i,-0.0015335+0.0012726i,-0.0010087+0.0017685i,-0.00034331+0.00079509i,-0.000751-0.00010031i,-0.00072633-0.00053151i,-0.00018191-0.0005691i,-0.00042651-0.00043555i,-0.00027916-0.00013204i,0.00043506+0.00022159i,0.00058583+8.1549e-05i,8.4412e-05-7.5702e-05i,-0.00040045+0.00013014i,-0.0003982-0.00014739i,-0.00096608+0.00010726i,-0.0014025-0.00027172i,-0.0019841-0.0012034i,-0.0013629-0.00064708i,-6.9812e-05-0.00037392i,0.00035669-0.00081234i,0.00066598-0.00075522i
0.0030521+0.0010376i,0.0030444+0.0015507i,0.0027713+0.001246i,0.0018743+0.00046326i,-0.0003335-0.00018051i,-0.0017653-0.00022314i,-0.0023796-0.00033787i,-0.0024876-0.00061687i,-0.0014462-0.00081263i,-0.00094717-0.0014799i,-0.00071422-0.0010614i,-7.5084e-05-0.00010348i,-5.1763e-05+0.00025537i,-6.5368e-05+0.00069315i,0.00016256+0.00073588i,5.5973e-05+0.00051623i,0.00031775+0.00052896i,0.0011201+3.6639e-06i,0.00078033-0.00013654i,0.00014952+0.00014771i,-0.00031852-0.00027767i,-0.00021622-0.00077755i,0.00050159-0.00066825i
0.0037628+4.793e-05i,0.003313-0.001369i,0.0029359-0.0029478i,0.0018292-0.0030942i,-0.00020833-0.0033256i,-0.0021783-0.0022003i,-0.0022046-0.00015354i,-0.0017798+0.0011767i,-0.0011766+0.0013885i,-0.00041656+0.00049941i,-0.00012203+7.5941e-07i,0.00046684+2.7904e-06i,0.00045332-0.00056428i,-0.00043946-0.0005734i,-0.00084835+0.00049661i,-0.00069483+0.0012771i,-0.0005558+0.00098527i,-0.00013876+0.00044132i,0.00094554+0.00050755i,0.00096096+0.00055468i,0.00028785-0.00045408i,0.00017469-0.0010672i,-0.00029233-0.00090679i
-0.00046711+0.0001217i,0.00046114+0.0015372i,0.00026051+0.0024895i,0.00077932+0.0023335i,0.0012523+0.0014206i,0.0010459-0.00042925i,0.00015211-0.0018467i,-0.00088149-0.0014005i,-0.00060317+0.00028953i,6.5019e-05+0.0010756i,0.00083324+0.00073032i,0.0012662+0.00064086i,0.0010346+0.00033572i,-1.6863e-05-0.00027446i,-0.00033722-0.0006622i,5.8249e-05-0.00031838i,-0.000367+0.00062976i,-0.00063741+0.0011085i,-0.00016152+0.001139i,0.0003813+0.0006974i,-0.00018843+0.00027119i,-0.00061629-0.00012514i,-0.0006947+0.00046373i
0.0038366+0.0039317i,0.0033019+0.0025935i,0.0033411-0.00064811i,0.00095016-0.0024041i,-0.0023417-0.002758i,-0.003984-0.0021957i,-0.0034649-0.00083062i,-0.0013026+0.00015045i,-0.00022516+0.00034227i,0.00010543-0.00070505i,0.00021929-0.0011675i,-0.00032735-0.00089488i,-0.00084423-0.00023456i,-0.0013984+0.00098535i,-0.0021417+0.0018458i,-0.0022078+0.0014372i,-0.0010401+0.00047951i,-8.7248e-05+0.0010168i,-0.00051491+0.0014549i,-0.00047182+0.0016305i,-0.00029249+0.0014022i,-0.0003315+0.0003496i,-0.0005084-0.00027592i
0.0002711+0.0014219i,0.0018042+0.00078456i,0.0032463-0.00019554i,0.0037791-0.0011293i,0.003356-0.0013088i,0.0019886-0.0015248i,5.1316e-05-0.0010653i,-0.0010568+0.00059408i,-0.00087984+0.0015892i,-0.00020924+0.0011047i,-0.0003943-0.00014058i,0.00013133-0.00047414i,0.00091607-0.00093906i,0.00054167-0.0011233i,-0.00032698-0.00042502i,-0.00057275+0.00038547i,-0.00076552+0.00046984i,-0.0014287+0.00042981i,-0.0017448-8.9398e-05i,-0.0015685-0.00087754i,-0.00081772-0.00040026i,-0.00065125+0.00043779i,-0.0010446+0.00041465i
0.0003239-0.0003322i,0.0011874-0.0013554i,0.0014778-0.00063223i,0.00048507+0.00078502i,-0.00087311+0.00054308i,-0.0020383-0.00054475i,-0.0029854-0.00060415i,-0.0026487-9.704e-05i,-0.0018296+0.00022071i,-0.00068673+0.00062673i,-2.0432e-05+0.00043884i,0.00024747-0.0001533i,9.1783e-05-0.00044217i,-4.2123e-05-0.00022737i,5.4469e-05+0.00074042i,-0.00021169+0.001022i,-0.00064575+3.703e-05i,-0.00079168-0.00084204i,-0.00063214-0.00096647i,-4.1932e-05-0.00069387i,-3.0425e-05+1.9988e-05i,-0.00010413+0.00012141i,-0.00012672+0.000165i
