-0.0050226-0.00015381i,-0.0047416+0.0011643i,-0.0057327+0.0034083i,-0.0046391+0.0041783i,-0.0027382+0.0026755i,-0.0011892+0.00095413i,-0.00096999+0.00074173i,-0.00066703+0.0021205i,0.00063078+0.0033598i,0.001528+0.0033023i,0.0013804+0.0018672i,0.0009976+0.00075704i,0.0012287+3.9466e-05i,0.0011783+0.000292i,0.0010461+0.00064894i,0.00057732-1.4055e-05i,0.00021364-0.0001342i,0.00021684-0.00012833i,2.6076e-05-0.00048365i,-1.9866e-05-0.00018443i,0.00023208+0.00078681i,8.3455e-05+0.00070641i,-0.000441+2.3523e-05i
-0.020695+0.046961i,-0.093936+0.14813i,-0.22945+0.22217i,-0.39714+0.15819i,-0.53091+0.030733i,-0.51403+0.023743i,-0.2808+0.081796i,-0.063084+0.052127i,-0.030438+0.019676i,-0.029247+0.057547i,0.026576+0.06894i,0.057262+0.041129i,0.030516+0.030839i,0.010552+0.050969i,0.047929+0.072057i,0.10394+0.055898i,0.13335+0.011977i,0.13305-0.025725i,0.10434-0.038041i,0.063284-0.025292i,0.030527-0.0047759i,0.0084471+0.0085432i,-0.0023317+0.012584i
-0.00068335-0.054083i,0.020816-0.13342i,0.076343-0.17125i,0.2063-0.13049i,0.36266-0.090778i,0.38897-0.076995i,0.21688-0.069263i,0.0083928-0.045705i,-0.081347-0.027379i,-0.098866-0.036174i,-0.11238-0.013334i,-0.084685+0.039174i,-0.017698+0.052151i,0.021531+0.028254i,0.015132+0.0022009i,-0.014549-0.021919i,-0.050341-0.041691i,-0.076696-0.037037i,-0.083558-0.0078046i,-0.071754+0.01965i,-0.045839+0.026159i,-0.019631+0.0079282i,-0.0076692-0.017428i
-0.027611+0.020729i,-0.080091+0.029467i,-0.18616+0.0040216i,-0.36448+0.0030272i,-0.55319+0.083512i,-0.60012+0.1247i,-0.44888+0.1158i,-0.19909+0.12499i,-0.012429+0.11284i,0.051174+0.081292i,0.067192+0.05248i,0.065738+0.01214i,0.0342-0.018294i,-0.00067316-0.029391i,-0.026879-0.024165i,-0.034252+0.010605i,-0.0023925+0.042654i,0.042785+0.029833i,0.060536-0.0091281i,0.052175-0.033441i,0.039811-0.029494i,0.029096-0.015237i,0.013692-0.011243i
0.084882-0.010966i,0.22901+0.020558i,0.46352+0.068093i,0.67201+0.039668i,0.75771-0.030016i,0.73306+0.0027234i,0.57726+0.042791i,0.28+0.034342i,0.039808+0.071253i,0.0010602+0.094987i,0.036353+0.045935i,0.030345-0.0057327i,-0.00055299-0.01065i,-0.020402+0.01982i,-0.010439+0.058453i,0.014436+0.07247i,0.019493+0.065983i,0.0088691+0.062063i,0.0057338+0.049388i,0.003527+0.021984i,-0.0015209+0.00241i,0.0029369-0.0020107i,0.008251-0.0053658i
-0.092845-0.029147i,-0.33713+0.0051128i,-0.6078+0.14959i,-0.56808+0.354i,-0.25783+0.30579i,-0.14025-0.064202i,-0.22736-0.27226i,-0.19037-0.1859i,-0.10703-0.090784i,-0.13638-0.012108i,-0.13646+0.070937i,-0.06617+0.085652i,-0.016824+0.061282i,0.0037761+0.044448i,0.018498+0.041758i,0.040765+0.051088i,0.061783+0.057463i,0.06219+0.060599i,0.051069+0.056686i,0.041156+0.037315i,0.032342+0.010725i,0.018527-0.010985i,0.0057197-0.014107i
0.098888-0.032945i,0.3053-0.073833i,0.47364-0.17131i,0.29906-0.15316i,0.010681+0.15767i,0.088466+0.46653i,0.26371+0.38479i,0.14912+0.14338i,-0.015133+0.055769i,-0.026876+0.0085368i,-0.026377-0.052965i,-0.063822-0.052845i,-0.088717-0.015631i,-0.088521+0.00011667i,-0.079662-0.028429i,-0.07648-0.085054i,-0.06863-0.13735i,-0.064223-0.15676i,-0.062223-0.12077i,-0.038146-0.057008i,-0.0038847-0.017279i,0.0091434-0.0042196i,-0.0046066+0.0054271i
-0.10998+0.042009i,-0.23769+0.074074i,-0.32474+0.099999i,-0.23338-0.025997i,-0.15766-0.3287i,-0.30148-0.45978i,-0.36464-0.27931i,-0.18027-0.072114i,0.0069711+0.00054163i,0.057707+0.013064i,0.050162+0.01313i,0.064693+0.0039618i,0.091376-0.0049954i,0.10148+0.0034815i,0.11086+0.016682i,0.10033+0.030265i,0.058029+0.062317i,0.039682+0.087515i,0.045861+0.072136i,0.023174+0.038285i,-0.018754+0.0253i,-0.039625+0.024344i,-0.042195+0.0089543i
0.040301+0.022642i,0.11421+0.055921i,0.19117+0.12315i,0.16223+0.23113i,0.0046344+0.39523i,-0.11929+0.50969i,-0.11381+0.47149i,-0.064578+0.31106i,-0.054456+0.17465i,-0.050542+0.1384i,-0.028468+0.13057i,-0.023636+0.1015i,-0.030356+0.069788i,-0.042399+0.04867i,-0.054118+0.071601i,-0.010415+0.10766i,0.068043+0.07595i,0.093724+0.010708i,0.048114-0.025534i,-0.014968-0.031539i,-0.033941-0.018009i,-0.0092771-0.0093207i,0.0044873-0.021412i
0.011464-0.098686i,0.022505-0.21697i,0.030528-0.34902i,0.089423-0.35608i,0.26031-0.25941i,0.44889-0.22693i,0.42676-0.23896i,0.22351-0.12659i,0.082369+0.022917i,0.05866+0.043571i,0.061171-0.030036i,0.034269-0.088223i,-0.0068533-0.074878i,-0.021731-0.030379i,-0.022739+0.0059511i,-0.023201+0.048534i,-0.0077892+0.077268i,0.019719+0.067414i,0.034646+0.026916i,0.017987-0.015318i,-0.0088873-0.024149i,-0.014273-0.016546i,-0.011101-0.026659i
0.058498+0.065691i,-0.014541+0.22309i,-0.095534+0.47355i,-0.15633+0.63348i,-0.23197+0.52593i,-0.30635+0.21977i,-0.25359-0.015503i,-0.1679-0.05904i,-0.19347+0.036659i,-0.21679+0.20571i,-0.11271+0.32947i,0.057035+0.3278i,0.15249+0.23985i,0.15101+0.16239i,0.13678+0.12638i,0.14442+0.10164i,0.15948+0.083791i,0.15818+0.080265i,0.12801+0.061779i,0.090238+0.013312i,0.058986-0.021642i,0.041391-0.023139i,0.035228-0.027983i
-0.054015-0.093176i,-0.1076-0.073076i,-0.16337-0.0017099i,-0.11955+0.13507i,0.18176+0.25522i,0.55032+0.19763i,0.48721+0.026864i,0.033322-0.027659i,-0.36214+0.029072i,-0.51381+0.060804i,-0.46741+0.073855i,-0.3608+0.07111i,-0.31276+0.06198i,-0.30262+0.068813i,-0.31884+0.080218i,-0.35589+0.10821i,-0.33557+0.13709i,-0.24409+0.12473i,-0.13213+0.082281i,-0.029376+0.053091i,0.04409+0.032206i,0.063944-0.0074028i,0.037329-0.054531i
-0.20301-0.16181i,-0.22378-0.26624i,-0.28256-0.39943i,-0.39647-0.378i,-0.57101-0.18297i,-0.6148-0.059319i,-0.41498-0.14851i,-0.22898-0.23454i,-0.18682-0.16996i,-0.17964-0.046313i,-0.11912+0.042372i,-0.020699+0.051491i,0.028782+0.022957i,0.061945+0.028152i,0.13822+0.011181i,0.19264-0.051548i,0.17355-0.083526i,0.11283-0.044095i,0.066435+0.041533i,0.067431+0.089082i,0.087251+0.0687i,0.088842+0.023058i,0.064935-0.013534i
-0.058625+7.9682i,1.5125+7.4156i,4.8631+8.5138i,6.7398+6.0928i,5.7681+1.9196i,2.8815-1.0048i,0.55648-1.1279i,-0.099403-0.26775i,0.095546+0.41999i,0.76347+0.78901i,1.308+0.48922i,1.4319-0.17224i,1.2902-0.72511i,0.91469-0.7809i,0.67813-0.53588i,0.54441-0.43678i,0.2218-0.41871i,-0.056945-0.18478i,0.01924+0.19497i,0.35145+0.36674i,0.63076+0.19498i,0.6381-0.069647i,0.43285-0.16629i
-0.15412+0.15323i,-0.18964-0.24217i,-0.44934-0.89675i,-0.69781-1.3346i,-0.61961-1.2585i,-0.31741-0.87265i,-0.022197-0.54395i,0.19202-0.35746i,0.29512-0.24151i,0.2807-0.21075i,0.15241-0.21797i,0.025301-0.16446i,0.0047163-0.11833i,0.011579-0.13588i,0.013488-0.17275i,0.037829-0.22245i,0.026702-0.25527i,-0.019598-0.21717i,-0.042403-0.12171i,-0.016281-0.03286i,0.034149-0.0030275i,0.052951-0.010168i,0.036724+0.019954i
0.081872+0.14105i,0.33657+0.3394i,0.7696+0.5395i,1.0596+0.48816i,0.93856+0.2573i,0.68077+0.12437i,0.52472+0.096449i,0.41497+0.12371i,0.39854+0.16271i,0.39077+0.11608i,0.26016+0.039781i,0.10344+0.039686i,0.022642+0.056272i,-0.0014171+0.022349i,-0.012212-0.039528i,-0.039514-0.072006i,-0.071157-0.031324i,-0.062041+0.031541i,0.006807+0.052949i,0.075437+0.039035i,0.067759+0.011754i,-0.00027112+0.0058788i,-0.050424+0.040963i
0.052039-0.10686i,-0.13055-0.12532i,-0.45684-0.014818i,-0.67376+0.26199i,-0.51577+0.49122i,-0.26997+0.4662i,-0.20808+0.325i,-0.10101+0.17026i,0.090296-0.02637i,0.16805-0.15913i,0.13826-0.17042i,0.080565-0.14097i,0.040868-0.10622i,0.041974-0.07702i,0.04557-0.082211i,0.029132-0.11248i,0.0020074-0.12806i,-0.026127-0.11207i,-0.046651-0.06484i,-0.041127-0.0040052i,-0.014583+0.023878i,-0.0013229+0.014287i,0.002969+0.015142i
-0.056182-0.0095081i,-0.10881-0.20524i,-0.039531-0.43913i,0.22394-0.52157i,0.41826-0.37617i,0.33363-0.20559i,0.1475-0.16641i,0.069301-0.1688i,0.10061-0.14954i,0.13006-0.11712i,0.091707-0.057382i,0.034828+0.0044454i,0.013471+0.033257i,0.011983+0.038872i,0.0095498+0.033814i,0.0076517+0.022598i,0.01803+0.010149i,0.026756-0.012826i,0.013654-0.039534i,0.0048978-0.046674i,0.0088813-0.04242i,-0.00027338-0.026296i,-0.0098042+0.0071774i
0.11613+0.15874i,0.43475+0.49395i,0.85941+0.82921i,1.0532+0.74526i,0.87527+0.24545i,0.58887-0.13337i,0.39414-0.17749i,0.26038-0.098511i,0.17853-0.026307i,0.15459+0.0018373i,0.13292-0.018324i,0.10304-0.014931i,0.08899+0.012407i,0.084932+0.0050687i,0.064866-0.041597i,-0.002676-0.088515i,-0.095706-0.092145i,-0.14148-0.051921i,-0.10685-0.00094541i,-0.034283+0.012338i,0.0060213-0.023377i,0.0003076-0.043716i,-0.00291-0.022082i
-0.14501-0.1987i,-0.42114-0.58433i,-0.84441-1.098i,-1.1094-1.2752i,-0.97729-0.9688i,-0.69175-0.52418i,-0.46928-0.21213i,-0.24204-0.10051i,-0.064014-0.12975i,-0.0081379-0.1472i,-0.0052938-0.098679i,0.0061349-0.058269i,0.034903-0.061809i,0.034725-0.076424i,-0.01217-0.057009i,-0.036479-0.0077158i,-0.021484+0.031358i,-0.00899+0.043113i,0.005259+0.034537i,0.017556+0.014939i,0.0059781+0.0078481i,-0.0030594+0.023161i,0.010741+0.036188i
0.043204+0.17135i,0.17407+0.42464i,0.42807+0.65449i,0.59372+0.61489i,0.51646+0.42784i,0.40401+0.3269i,0.35371+0.22333i,0.24749+0.086689i,0.17521+0.00078597i,0.1778-0.077005i,0.12669-0.12977i,0.048591-0.11322i,0.0014484-0.093426i,-0.027666-0.085829i,-0.03739-0.064682i,-0.043429-0.038444i,-0.046593-0.0085079i,-0.028444+0.018376i,-0.0053167+0.018079i,-0.0013437-0.00021564i,-0.012115-0.0057548i,-0.012582+0.0010519i,0.0047583+0.0056952i
0.098376-0.023852i,0.13501-0.11586i,0.012978-0.14346i,-0.23991-0.021305i,-0.33491+0.089415i,-0.23143+0.042679i,-0.16644-0.039946i,-0.15382-0.037984i,-0.10817-0.017038i,-0.070891-0.025984i,-0.046579-0.023592i,-0.024887-0.010073i,-0.028873-0.0037062i,-0.030126+0.0044171i,-0.0042842+0.0057545i,0.021719-0.014755i,0.027423-0.042711i,0.020978-0.060941i,0.0060808-0.057683i,-0.0049313-0.033503i,0.0049477-0.014914i,0.01689-0.016281i,0.016371-0.020288i
-0.083349-0.058288i,-0.25935-0.17548i,-0.39733-0.2965i,-0.28033-0.29698i,-0.041766-0.23069i,0.01287-0.24096i,-0.075953-0.21029i,-0.047073-0.088606i,0.064247-0.041299i,0.065386-0.054016i,-0.0041453-0.0302i,-0.040648+0.0039383i,-0.027001+0.016952i,-0.0049051-0.004245i,-0.014176-0.046446i,-0.034267-0.0522i,-0.023675-0.01843i,0.0072836-0.0012974i,0.025416-0.0082425i,0.024642-0.010418i,0.010946-0.0050004i,-0.0052578+0.0039668i,-0.011303+0.010287i
0.071933+0.12074i,0.27698+0.39491i,0.61094+0.70395i,0.83384+0.67261i,0.71443+0.30604i,0.41514+0.090301i,0.27433+0.12009i,0.24912+0.099994i,0.18186+0.019209i,0.13332-0.012004i,0.1217-0.019503i,0.10221-0.016812i,0.07613-0.0073939i,0.051446-0.002573i,0.038673+0.0023903i,0.030309-0.0045027i,0.006232-0.02699i,-0.026783-0.044046i,-0.043095-0.040742i,-0.032064-0.023532i,-0.0096839-0.014907i,0.00027859-0.016921i,-0.0070644-0.01214i
-0.013681-0.088545i,-0.036304-0.37142i,-0.13797-0.82733i,-0.34063-1.0908i,-0.49356-0.86135i,-0.43635-0.39318i,-0.25986-0.10977i,-0.11575-0.045766i,-0.044445-0.036331i,-0.014266-0.013121i,0.0057192-0.0029606i,0.0062581-0.01895i,-0.0080605-0.037028i,-0.02547-0.034696i,-0.047705-0.012981i,-0.05355+0.0055257i,-0.045923+0.0052761i,-0.048238+0.0015819i,-0.049524+0.0071298i,-0.038848+0.0049959i,-0.030823-0.0080678i,-0.030469-0.010283i,-0.01735+0.0071225i
-0.039806+0.019223i,-0.16754+0.060074i,-0.36503+0.15759i,-0.46415+0.28527i,-0.34226+0.34065i,-0.13984+0.2762i,-0.0054165+0.14913i,0.036477+0.016818i,0.025691-0.062757i,0.017365-0.087657i,0.0082514-0.10635i,-0.012687-0.11603i,-0.020578-0.088746i,0.0025509-0.052247i,0.030634-0.051119i,0.022837-0.068456i,-0.010498-0.054195i,-0.02767-0.012485i,-0.01828+0.018336i,-0.0054057+0.02846i,-0.0056835+0.0342i,-0.0045645+0.040608i,0.0099082+0.03102i
0.026856+0.083624i,0.090566+0.28186i,0.18244+0.57305i,0.20894+0.71575i,0.14457+0.56344i,0.12248+0.28767i,0.11451+0.080699i,0.037643-0.0047706i,-0.015808-0.013344i,-0.0278-0.016761i,-0.049215+0.0027287i,-0.050951+0.051344i,-0.026485+0.057559i,-0.016454+0.023815i,-0.02533+0.010081i,-0.036068+0.017191i,-0.036696+0.024431i,-0.01242+0.024636i,0.024467+0.0071506i,0.043588-0.016886i,0.040863-0.025431i,0.028639-0.019783i,0.01211-0.014211i
0.027192-0.088561i,0.097086-0.30252i,0.15886-0.58734i,0.17007-0.66963i,0.12799-0.48507i,0.013468-0.31181i,-0.12651-0.22854i,-0.14106-0.11817i,-0.051725-0.023315i,-0.0039668+0.018642i,-0.00398+0.046575i,-0.0040668+0.051176i,-0.010847+0.042175i,-0.021832+0.040278i,-0.025204+0.036835i,-0.016324+0.045858i,0.0081297+0.057514i,0.023211+0.04051i,0.0090546+0.01027i,-0.014599-0.0071008i,-0.021919-0.014328i,-0.014353-0.019868i,-0.0092287-0.01326i
-0.067162+0.042403i,-0.16463+0.12436i,-0.20291+0.26017i,-0.023187+0.34313i,0.23388+0.3031i,0.28258+0.20792i,0.15971+0.16436i,0.060435+0.14763i,0.040252+0.1076i,0.083965+0.061894i,0.1267+0.0012382i,0.10312-0.039745i,0.067819-0.025574i,0.074656-0.0074929i,0.10066-0.013262i,0.11318-0.034928i,0.092669-0.054458i,0.046217-0.054883i,0.0024447-0.035212i,-0.015509-0.0025972i,-0.014815+0.015664i,-0.017039+0.013287i,-0.018266+0.0095857i
0.0338+0.043978i,0.11418+0.10227i,0.23412+0.11546i,0.29152-0.051273i,0.21716-0.29758i,0.10445-0.32469i,0.079894-0.16926i,0.11841-0.070704i,0.13213-0.066354i,0.094978-0.092419i,0.026251-0.081494i,-0.007739-0.032203i,0.0075363-0.023285i,-0.0020552-0.054132i,-0.051627-0.07168i,-0.086782-0.071965i,-0.088478-0.066035i,-0.072004-0.049625i,-0.046229-0.021903i,-0.014427-0.0015032i,0.0083323+0.0050431i,0.010802+0.012783i,0.014858+0.023734i
0.017765-0.03498i,0.056408-0.1498i,0.048896-0.34544i,-0.11446-0.47025i,-0.33228-0.36355i,-0.38101-0.12012i,-0.24119+0.023412i,-0.090501+0.024665i,-0.031222-0.012343i,-0.029589-0.02714i,-0.028541-0.020659i,-0.012714-0.01998i,-0.018482-0.020797i,-0.031719+0.0034711i,-0.018378+0.032142i,-0.0068318+0.036751i,-0.016577+0.032879i,-0.031362+0.036554i,-0.02883+0.037704i,-0.010912+0.024697i,-0.0030801+0.0092678i,0.0019068+0.0056183i,0.011778-0.0014387i
-0.027863-0.0058911i,-0.11517-0.031536i,-0.30115-0.043029i,-0.46032+0.060858i,-0.36742+0.24869i,-0.052458+0.30738i,0.1447+0.19785i,0.12532+0.086572i,0.059077+0.045436i,0.022921+0.030202i,0.0073513+0.0095049i,-0.0022934-0.010776i,0.0011055-0.01629i,0.027047-0.024875i,0.043058-0.046869i,0.031064-0.052638i,0.019495-0.032023i,0.028308-0.0075027i,0.045166+0.00096554i,0.045189-0.0059874i,0.029269-0.011915i,0.013991-0.013792i,-0.00040695-0.0138i
-0.038495+0.031239i,-0.10922+0.13049i,-0.15569+0.3558i,-0.026113+0.53183i,0.18967+0.35748i,0.20401-0.05837i,0.046705-0.284i,-0.030547-0.235i,0.00069848-0.12514i,0.023207-0.054426i,0.012776-0.011875i,-0.0020357+0.0086184i,-0.00062882+0.0054253i,-0.011711-0.012604i,-0.048556-0.013967i,-0.065272+0.0019583i,-0.045455+0.0030242i,-0.016605-0.013497i,-0.0044046-0.030731i,-0.0099623-0.032838i,-0.013501-0.023244i,-0.014534-0.015433i,-0.019309-0.00050482i
0.065476+0.041485i,0.24502+0.11221i,0.58164+0.15801i,0.81148+0.047847i,0.59086-0.12187i,0.097725-0.12097i,-0.19065+0.00565i,-0.1712+0.049454i,-0.057646+0.00065448i,0.020724-0.039361i,0.058192-0.042385i,0.064396-0.020668i,0.041631+0.0019702i,0.02246+0.029381i,0.042803+0.055715i,0.065814+0.057702i,0.050251+0.045971i,0.019896+0.029547i,-0.0017542+0.0099911i,-0.011997+0.0023432i,-0.014726+0.0064264i,-0.01085+0.012092i,0.0041576+0.010468i
0.0049605-0.070113i,0.0017038-0.27187i,-0.075027-0.61858i,-0.24818-0.83144i,-0.34279-0.60738i,-0.21836-0.11856i,-0.0036866+0.18555i,0.076202+0.1948i,0.028239+0.094741i,-0.027472+0.022976i,-0.054351-0.0078091i,-0.054964-0.026198i,-0.040519-0.037412i,-0.025806-0.051745i,-0.019776-0.080705i,-0.013882-0.097839i,-0.001014-0.086419i,0.001815-0.059855i,-0.0069699-0.025336i,-0.0045103+0.0030924i,0.011773+0.01371i,0.022904+0.010979i,0.022368+0.0066341i
-0.054048+0.021483i,-0.20999+0.066105i,-0.46875+0.13096i,-0.63704+0.19367i,-0.48613+0.2044i,-0.11264+0.10725i,0.16012-0.033747i,0.21448-0.082298i,0.15931-0.033768i,0.1063+0.014979i,0.059557+0.026211i,0.013508+0.023852i,-0.011132+0.021602i,-0.025903+0.023582i,-0.050053+0.029086i,-0.07169+0.018923i,-0.076895-0.0036925i,-0.066814-0.015532i,-0.046876-0.011871i,-0.026594-0.0099089i,-0.016164-0.017806i,-0.015363-0.020058i,-0.012118-0.013802i
0.021575+0.026487i,0.077263+0.12837i,0.14981+0.35313i,0.21495+0.57335i,0.22895+0.51927i,0.14259+0.21692i,-0.0043775-0.055784i,-0.083763-0.15885i,-0.066037-0.14496i,-0.024324-0.10147i,0.014207-0.063793i,0.039055-0.035264i,0.04734-0.010438i,0.062044+0.0093966i,0.075934+0.026805i,0.060589+0.048209i,0.023154+0.061694i,-0.0032146+0.054177i,-0.0016122+0.036193i,0.0074538+0.021907i,0.0009748+0.01392i,-0.010408+0.0093001i,-0.014955+0.0078637i
0.014348+0.00012464i,0.081176-0.0081337i,0.2552-0.021892i,0.45499-0.043745i,0.44912-0.054918i,0.20168-0.027865i,-0.051627+0.058665i,-0.14844+0.1262i,-0.13088+0.1207i,-0.087304+0.080451i,-0.066229+0.032266i,-0.066093-0.00030613i,-0.056126-0.011454i,-0.04057-0.030792i,-0.028077-0.057097i,-0.0042723-0.058432i,0.021111-0.032353i,0.028856-0.0091028i,0.023724-0.0048414i,0.01767-0.0063849i,0.014833-0.0040279i,0.009266-0.0016442i,-0.0010974+0.0027358i
0.0079894-0.018115i,0.026528-0.10762i,0.03959-0.319i,0.0013834-0.55548i,-0.070214-0.56791i,-0.077222-0.32304i,0.0080196-0.082901i,0.090796+0.011457i,0.13024+0.015309i,0.12716-0.0041584i,0.087538-0.00060719i,0.051271+0.022532i,0.031389+0.028174i,0.010326+0.02769i,-0.0072939+0.031006i,-0.0077777+0.01752i,0.00038834-0.0031307i,0.0064235-0.0070168i,0.0046705-0.003513i,-0.0047805-0.0063047i,-0.010311-0.0052722i,-0.0026654+0.0038139i,0.015595+0.0073146i
-0.0278+2.7033e-05i,-0.12097-0.003538i,-0.2972+0.00689i,-0.43675+0.037617i,-0.3694+0.050208i,-0.17205+0.013807i,-0.04389-0.040584i,-0.0057581-0.059941i,0.0078018-0.049553i,0.027215-0.042765i,0.04145-0.042357i,0.044743-0.03718i,0.047302-0.030681i,0.052186-0.027773i,0.052424-0.023235i,0.038316-0.019512i,0.019233-0.019526i,0.009954-0.015462i,0.0045379-0.0022628i,-0.0023636+0.014049i,-0.0020611+0.020966i,0.0027634+0.013928i,0.00028906+0.005105i
0.0062838+0.022422i,0.030178+0.09701i,0.070338+0.22631i,0.10496+0.31907i,0.10702+0.26359i,0.081498+0.12227i,0.043396+0.04339i,0.022277+0.040586i,0.019655+0.033848i,-0.0026146+0.0017174i,-0.034052-0.011334i,-0.04006+0.00065914i,-0.031858+0.0079517i,-0.03251+0.00031003i,-0.032785-0.018688i,-0.029637-0.03417i,-0.02552-0.035321i,-0.016373-0.037619i,-0.0035995-0.038973i,0.012296-0.029908i,0.021322-0.025017i,0.012256-0.021987i,-0.00064328-0.0095222i
0.011216-0.0035063i,0.048122-0.022856i,0.10773-0.036043i,0.14278-0.012002i,0.10059+0.033555i,0.026402+0.047531i,0.0076702+0.041497i,0.034082+0.010232i,0.025826-0.03921i,-0.020415-0.039369i,-0.031764-0.0029968i,-0.0078522+0.0025318i,0.0063392-0.013135i,0.0073079-0.016446i,-0.006543-0.01418i,-0.029963-0.013376i,-0.04809-0.01606i,-0.059485-0.019693i,-0.054704-0.018307i,-0.034754-0.018294i,-0.020014-0.018377i,-0.012971-0.012261i,-0.001561-0.0054078i
-0.0011646-0.0048108i,0.0020134-0.022559i,0.041815-0.087526i,0.094619-0.18452i,0.0809-0.20543i,0.016468-0.10793i,0.002449-0.0094553i,0.031383+0.0085166i,0.051185+0.014195i,0.069817+0.030226i,0.071074+0.012541i,0.038297-0.017906i,0.0058358-0.035302i,-0.010749-0.039576i,-0.022772-0.020496i,-0.029786+0.012473i,-0.02909+0.041944i,-0.021516+0.064352i,-0.013952+0.06518i,-0.018964+0.046099i,-0.026694+0.030985i,-0.024521+0.02141i,-0.020095+0.0085827i
0.0018057-0.0056724i,-0.022196-0.039247i,-0.099427-0.095528i,-0.19319-0.13321i,-0.18735-0.1146i,-0.089968-0.066275i,-0.031157-0.060643i,-0.026193-0.067543i,-0.0042533-0.058538i,0.029732-0.057603i,0.03855-0.055323i,0.025567-0.041895i,0.0014567-0.014754i,-0.0091117+0.02502i,0.014283+0.053986i,0.050068+0.060486i,0.073742+0.052739i,0.081958+0.038813i,0.075673+0.02664i,0.05983+0.020357i,0.044122+0.015733i,0.030063+0.012332i,0.018436+0.015328i
-0.0092946+0.011131i,-0.028972+0.062822i,-0.054354+0.17133i,-0.045323+0.27748i,0.0035337+0.25558i,0.019824+0.11383i,-0.019071+0.0086933i,-0.067623-0.011555i,-0.097613-0.006984i,-0.096052-0.0081181i,-0.079755-0.014956i,-0.072953-0.009909i,-0.052241+0.012901i,-0.006221+0.015246i,0.031238-0.016477i,0.042717-0.056858i,0.037001-0.08355i,0.022698-0.093733i,0.0081409-0.086612i,0.0030555-0.067514i,0.0045909-0.050904i,0.0044711-0.035989i,0.0046095-0.020633i
0.015001+0.0052058i,0.065884-0.0050061i,0.14988-0.042963i,0.18206-0.093389i,0.10413-0.088621i,0.027283-0.031596i,0.023784-0.0013972i,0.04552-0.0030365i,0.059392+0.0031593i,0.048307+0.014761i,0.010559+0.034693i,-0.0085362+0.0648i,0.0073561+0.059424i,0.010077+0.01306i,-0.026175-0.031894i,-0.072751-0.050599i,-0.094852-0.04667i,-0.089143-0.033342i,-0.0724-0.0195i,-0.057118-0.0073341i,-0.041378+0.0047144i,-0.023866+0.0094091i,-0.009496+0.0029779i
-0.0089938-0.013133i,-0.041361-0.036834i,-0.091495-0.061243i,-0.099091-0.048915i,-0.031007-0.0070017i,0.028868+0.020015i,0.021729+0.038955i,0.0077256+0.040848i,0.016989+0.013541i,0.02751-0.0016893i,0.045658+0.0058136i,0.068286+0.0039908i,0.06587-0.014466i,0.034967-0.019486i,0.0063998+0.010784i,-0.0041137+0.049747i,-0.012839+0.066003i,-0.021832+0.062178i,-0.018708+0.055229i,-0.0027815+0.050318i,0.010693+0.038083i,0.0090729+0.020039i,-0.00070453+0.010195i
-0.00054384+0.01627i,0.016189+0.038849i,0.05818+0.052071i,0.099204+0.0043535i,0.085777-0.069393i,0.037145-0.058008i,0.019601+0.019702i,0.025551+0.076173i,0.026408+0.081646i,0.025803+0.049354i,0.024325+0.0054991i,0.017162-0.030572i,-7.1431e-05-0.04078i,-0.0080098-0.019027i,0.015505+0.0027839i,0.048643+0.0054829i,0.060388+0.010527i,0.054189+0.019403i,0.044419+0.01552i,0.033404-0.0020662i,0.015393-0.017208i,-0.0029758-0.014951i,-0.0078449-0.0029851i
0.0014224-0.011385i,-0.0088811-0.038984i,-0.074755-0.068887i,-0.16746-0.037369i,-0.17506+0.03202i,-0.10338+0.031597i,-0.039949-0.028801i,-0.001811-0.06743i,0.021077-0.068439i,0.025529-0.056519i,0.013762-0.042945i,-0.0063584-0.03256i,-0.018853-0.016615i,-0.01101-0.00507i,-0.0049934-0.017704i,-0.010516-0.040454i,-0.0041587-0.052669i,0.01089-0.050862i,0.015487-0.041038i,0.0087955-0.027537i,0.00035707-0.010148i,0.0013597+0.0045957i,0.0079772+0.0075204i
-0.014431+0.020004i,-0.017158+0.067454i,0.026521+0.1465i,0.11832+0.17384i,0.15307+0.095315i,0.094154-0.0086154i,0.010055-0.053524i,-0.03713-0.0465i,-0.037204-0.019896i,-0.014926-0.0051391i,-0.0060788-0.0079558i,-0.01288+0.0022743i,-0.0060376+0.015896i,0.0067385+0.0053516i,0.0014295-0.0089479i,-0.019808-0.010897i,-0.03856-0.013899i,-0.045304-0.019405i,-0.043633-0.017239i,-0.034699-0.0076539i,-0.016171-0.00092705i,0.00057251-0.00048795i,0.0038527-0.00011803i
0.023048-0.0094583i,0.063874-0.057164i,0.09956-0.15452i,0.078829-0.24205i,0.019075-0.22188i,-0.0064494-0.10985i,0.017138-0.011406i,0.053441+0.020837i,0.070757-0.0038813i,0.047467-0.032486i,0.016913-0.024637i,0.019523-0.0056453i,0.032703-0.0053048i,0.028435-0.016193i,0.016038-0.017695i,0.0063867+0.00050442i,-0.0052671+0.027208i,-0.013173+0.044482i,-0.0096693+0.049056i,-0.00072436+0.041747i,0.0048376+0.025212i,0.0047421+0.0090066i,0.0043059+0.0012481i
