-0.00030612+0.0008875i,-0.00040312+0.00076871i,-0.001656-0.00033241i,-0.00053983-0.0011527i,-0.00034844-0.0010372i,-0.0014878+9.7404e-05i,-0.00077193+0.0014341i,0.00067268+0.0017988i,0.0013812+0.00076004i,0.0015086+0.00038234i,0.00078379+0.00067972i,0.00062377+0.00068702i,0.00051262+0.00012575i,-0.00037462-0.0007017i,-0.00074013-0.0002485i,3.089e-05+0.00040558i,0.00059283-0.000113i,-0.00018046-0.00013502i,-0.0008352-6.3056e-05i,1.5558e-05-5.315e-05i,0.00047701+9.8162e-05i,0.00020647+0.00026357i,-0.00054011+0.00015196i
-4.4857e-06-0.0032503i,-0.00099568-0.0020663i,-0.0014351-0.0020927i,-0.0017247-0.0014194i,-0.0005456-0.00053115i,0.00087431+0.0006608i,0.00064907+0.00089328i,-0.00053133+0.00082835i,-0.00094654+0.00023252i,-0.00075759+0.00030687i,-0.00068861+0.00037621i,-0.00013338+1.2138e-06i,-0.00066109+2.7481e-05i,-0.0012818-0.00034016i,-0.0013785-0.00067038i,-0.00091634-0.00079383i,-0.00038644-0.00032871i,-0.00012625+0.00028337i,0.0001671+0.0010135i,-8.8508e-05+0.0012641i,-0.00024756+0.0005686i,-0.0002648-0.00024126i,-0.0004117-0.00059431i
-0.0016969-0.00015379i,-0.0008016-0.00031133i,-0.00043547-0.00043362i,-0.00016984+0.00044937i,0.001014+0.00064739i,0.0013987+0.00039248i,0.00065438-9.2432e-05i,0.00056553-0.00052906i,0.00096077-0.00083752i,0.0012211-0.0013528i,0.0001488-0.00091739i,-0.00076801-2.0408e-05i,-0.00059708+0.00053893i,0.00010078+0.00050856i,0.00010333+0.00037971i,-0.0007295-0.00027947i,-0.00077816-0.0012673i,-6.9232e-05-0.0010554i,-0.00036491-0.00031548i,-0.00073035+0.00011301i,0.00044924+3.7916e-05i,0.0011003-0.00081189i,0.00066842-0.00099978i
-0.0014424+0.0006927i,-0.0016094+0.00035757i,-0.0018081+0.00075096i,-0.0015565+0.00066042i,-0.00090973+0.00054661i,-0.0002462+0.00044328i,0.00034651+0.00098694i,-0.00011106+0.00066527i,-0.00058213-0.0003834i,-0.00077874-0.00097969i,-0.00048421+8.9044e-06i,0.00024216+0.0010534i,0.0005911+0.00047383i,0.00069649+0.00017665i,0.00068551-1.1131e-07i,0.00067701-0.00073783i,0.00013705-0.00041997i,-0.0006432+0.00043101i,-0.00084959+0.00040296i,5.284e-05-4.3713e-05i,0.00077481-2.0672e-05i,0.00013405-0.00018263i,-0.00021246+5.4309e-05i
-0.00076711+0.0020544i,0.00015759+0.0017658i,0.00085879+0.002195i,0.0012217+0.0014701i,0.001915+0.00072383i,0.0019009+0.00051865i,0.00047113+0.00087497i,-0.00082293+0.0012182i,-0.00080197+0.0012554i,-0.00041196+0.0014002i,-1.6331e-05+0.0016182i,0.0013951+0.0010606i,0.002296+0.00015832i,0.0016989-0.00054692i,0.00055249-0.00042622i,9.4878e-05-0.00065582i,-0.0002725-0.00096011i,-0.00114-0.00059628i,-0.0014346-0.00085242i,-0.0012452-0.001018i,-0.00076029-0.00070176i,-0.00017256-0.0006386i,0.00011219-0.00076003i
-0.00057597-0.0027947i,-0.0012269-0.0018096i,-0.0014423-0.0020302i,-0.00096584-0.0021083i,4.4901e-05-0.0011983i,0.0013137+0.00064378i,0.0012359+0.001481i,0.00021461+0.00051347i,9.1355e-05+0.00015448i,-0.00034749+0.0012163i,-0.0006483+0.0012366i,1.9872e-05+0.00076438i,-0.00017129+0.0007465i,-0.00034429+2.1722e-05i,-9.3093e-05-0.0007874i,-0.0002375-0.00070712i,-0.0007121-0.00059366i,-0.00053148-0.00074453i,-0.00014-0.00034572i,-0.00029887+0.00019233i,-0.00013441+0.00034972i,0.00013258+0.00014497i,-0.00024831+0.00042352i
0.0017485+0.0014403i,0.0018431+0.0011655i,0.0017748+0.00097873i,0.0011884+0.00059391i,0.000597+0.00033717i,-0.00018959-0.00024851i,-0.0007598-0.00023183i,-0.00047398-0.00032063i,0.00032184-0.00042076i,9.3348e-05-0.00075816i,0.00014673-0.001075i,0.00099075-0.00084032i,0.00050539-0.00057527i,-0.00052675-0.00028813i,-0.00043193-0.00034532i,-0.00032563-0.00043861i,-0.0006904-0.00017099i,-0.00060416-0.00013472i,3.6937e-05-0.00046607i,0.00091434-0.00051974i,0.0017071-0.00043984i,0.0012267-1.6838e-05i,0.00036393+2.5809e-05i
-0.0018899-0.0013155i,-0.0019801-0.0016095i,-0.0020898-0.0012308i,-0.0013555+0.00030047i,-0.0002897+0.00082609i,-0.00026875+0.00057923i,-0.0009448-0.00069591i,-0.00098508-0.0014938i,-0.00059651-0.00054156i,-0.00022876+0.00035196i,-0.00059525+0.00040609i,-0.00021598-0.00017705i,0.00043102-7.2709e-05i,0.00046476+0.00013794i,5.6199e-05-6.5991e-05i,-0.00060642-5.1199e-05i,-0.00062251+0.0001655i,-0.00044156+0.00087518i,-5.8414e-05+0.0011323i,0.0002745+0.00056702i,0.00053535+3.4393e-06i,0.00070228+0.00031871i,0.00040421-8.0772e-05i
0.0023919+0.00091373i,0.0021722+0.00029497i,0.0021154-0.00085255i,0.0019623-0.0012196i,0.0017027-0.0010746i,0.0012762-7.9413e-05i,0.0012339+0.00068489i,0.00076573+0.00026416i,0.00014646-0.00032562i,-6.7561e-05-0.00030986i,-0.00039745+8.6918e-05i,-0.00029779+0.00043023i,0.00055732+0.00030879i,0.0014336-0.00028935i,0.001419-0.00058864i,0.00031198-0.00056666i,-0.00053483-0.00050107i,-0.00067293-0.00024057i,-0.00050345+0.00010098i,-0.00035825-2.4676e-05i,-4.9128e-05-0.0006628i,-5.7983e-05-0.00070173i,0.00035832-0.00062747i
-0.00029005+0.0012216i,-0.0003186+0.0011852i,0.00064387+0.0024787i,0.0020866+0.002705i,0.0017586+0.0020067i,0.00059378+0.0019437i,-6.9705e-05+0.0014133i,-8.8728e-05+0.0011641i,-0.00069178+0.00061664i,-0.0014664-9.6146e-05i,-0.0010203+0.0011768i,-0.0001284+0.00208i,0.00039783+0.0014383i,2.0092e-05+6.883e-05i,-0.00036697-0.00043744i,-0.00013827-0.00095414i,-1.5184e-06-0.00074756i,-0.00050994-0.00014185i,-0.0008023-3.9768e-05i,-0.00068168-0.00017625i,-0.00024147-0.00035602i,0.00018732-0.001037i,0.00017905-0.0012334i
-0.0025811+0.00019347i,-0.0019356-0.00085068i,-0.0015948-0.0021061i,-0.0020026-0.0014846i,-0.0015221+0.00023855i,9.9966e-05+0.00029183i,0.0003573-0.0004258i,-0.00093979+0.00013177i,-0.00073455+0.00065491i,2.0505e-05+0.00093808i,0.00079777+0.0013512i,0.0011028+0.0010619i,0.00053545+0.00055524i,0.00045883-5.9188e-05i,0.00023934-4.4262e-05i,-0.00018378-0.00018329i,-0.00012688+4.8983e-05i,-0.00039223+0.00066279i,-0.00023205+0.00082907i,0.00048985+0.00089418i,0.00041589+0.00013838i,0.00016118-0.00065176i,0.00024981-0.00062544i
-0.00063295+0.00037309i,-0.0010351+0.00055143i,-0.00023512-0.00042881i,0.00026121-0.0015357i,0.00047127-0.001064i,0.00052287-0.0007524i,0.0003469-0.00063426i,0.00023555-7.0224e-05i,-0.00016583+3.457e-05i,-0.00044871+0.00012822i,-0.00026416+0.00020887i,0.00024041+0.00020908i,0.00029824+2.1202e-05i,8.2908e-05-0.00077734i,0.00040646-0.00096001i,0.00031738-0.00089836i,-6.0518e-05-0.0011685i,0.00053189-0.00072682i,0.00069742-0.00050605i,-0.00013386-6.3821e-05i,-0.00087891+5.2184e-05i,-7.7041e-05-0.00032428i,0.00028065-3.2315e-05i
0.0036912+0.0012345i,0.0037396+0.0024974i,0.004424+0.0024364i,0.0040641+0.0009339i,0.0029041-0.00020414i,0.0016744-0.00062346i,0.00055482-0.00042121i,-0.00021391-0.00054155i,-0.00044971-0.00055656i,0.00014685-0.00038348i,0.00050411-0.00056326i,0.000497-0.00044258i,0.00038138-0.0002074i,-0.00024444-0.00080476i,-0.00057513-0.0011846i,5.3406e-05-0.0010929i,0.00040411-0.00045223i,0.00014818+0.00069361i,-6.4948e-05+0.0015794i,-0.00050641+0.0011986i,1.3675e-06+0.00097915i,0.0008096+0.00091036i,0.00031297-0.0002936i
-0.0011072-0.0011605i,-0.0015428-0.0016685i,-0.0006939-0.0016928i,9.8884e-05-0.0015858i,0.00054502-0.00094529i,0.000166-0.0010364i,-0.00082472-0.0012049i,-0.0010251-0.00041922i,-0.00026843-0.00024092i,0.00014782-0.00012028i,-0.00029015+0.00028942i,-0.00046174+0.00076449i,-0.00024706+0.00084612i,-0.00067475+1.5496e-05i,-0.00083496-0.00067968i,-7.6934e-05-0.0008919i,0.00023854-0.00076207i,0.00041284-0.00080438i,0.00073304-0.00041981i,0.00021184+0.00039718i,-0.00056008+0.00063507i,-0.00056861+0.0001989i,-0.00031758-0.00085231i
0.0011575-0.00047808i,0.0019271-0.00037591i,0.0030813-0.0004766i,0.0024142-0.00010565i,0.00039229-5.7067e-05i,-0.00013466+0.00018578i,0.00025708+0.00097397i,0.00055397+0.000285i,0.00092417-0.00094926i,0.0011895-0.0015224i,0.0014312-0.0008697i,0.0012935+0.00012138i,0.00084448-0.0001653i,0.00075664-0.001187i,0.0005821-0.0021366i,-9.4663e-05-0.0020199i,-6.5901e-05-0.0014805i,0.00032738-0.00029753i,6.2977e-05+0.00022203i,0.00020104-0.00037476i,0.00052866-8.4382e-05i,0.00094487-8.1522e-06i,0.001331-0.00068861i
-0.00032633-0.0005637i,-0.0008886-1.3484e-05i,-0.0021705-0.00034977i,-0.0013951-0.00091798i,0.0002782-0.00022184i,0.00040723+0.0009159i,2.6375e-05+0.00099967i,-0.00062044+0.00012642i,-0.0012787-0.00012736i,-0.0010011+0.00032144i,0.00037548+5.8269e-05i,0.0013377+0.00017463i,0.00087357+0.00064009i,3.7632e-05-0.00039007i,-0.00052025-0.0010491i,-0.00058517-0.00099818i,-0.0002187-0.0014521i,0.00012706-0.0015864i,0.00055074-0.00076134i,0.00086718+0.00057404i,0.0006674+0.00026523i,0.00047822-0.00045878i,0.00018607+7.6689e-05i
0.0012104+0.00097523i,0.0018732+1.0274e-05i,0.0014132+0.0015129i,0.00059412+0.0014225i,0.00097936+0.00019397i,0.00042666+0.00049756i,-0.00021759+0.00088536i,-8.38e-06+0.00090035i,-0.00013194+0.00072353i,-0.00055804+0.00030631i,-0.00077417-0.00049318i,-0.00042573-0.0010354i,0.0005386-0.0011212i,0.00029061-0.00097318i,-0.00025251-0.0009403i,0.000222-0.0013296i,0.00036798-0.00098487i,-0.00011218-0.0007411i,0.000449-0.00092621i,0.0008329-0.00063238i,0.00030814-0.0010654i,-0.00035505-0.0010459i,0.00026853-0.0004966i
0.00067774-0.0021449i,0.00079235-0.0023716i,0.0012619-0.0033773i,0.00081315-0.0030946i,0.00038281-0.0019631i,0.00010957-0.0006451i,0.00072431+3.5824e-05i,0.001202+0.00042597i,0.00045066+0.00039743i,-0.00048824-0.00023909i,-0.00080234-0.0002531i,-0.00047312+4.98e-05i,-0.00027679+0.00010111i,0.00017506+0.00032644i,0.0011471+0.00056542i,0.0015124+0.00050089i,0.001617+3.2219e-05i,0.00088566-0.00021322i,-0.00035837-0.00015006i,-0.00025495-1.8829e-05i,0.00029842-0.00064362i,0.0002407-0.00038059i,-0.00034564-0.00014663i
0.00081748-8.1855e-05i,0.00054258+0.0007507i,0.00028282+0.0016396i,0.00027782+0.0019897i,0.00087344+0.0018827i,0.00077708+0.00087242i,9.6516e-05+4.9643e-05i,-0.0001747-0.00038463i,-0.00039007-0.00064698i,-0.00032882+0.00018451i,-0.00031028+0.0013303i,0.00025125+0.00087318i,0.00056961+0.00018536i,-0.00046749-0.001316i,-0.00026197-0.0024938i,0.001023-0.00099279i,0.0007728-0.00027111i,0.00024459-0.00058911i,0.00038549-0.0004514i,0.00040528-0.00030129i,0.00052936+0.00018896i,0.00042647+0.00043319i,0.0004117+0.00036377i
-0.0014212-0.0023093i,-0.0018442-0.0015805i,-0.0024569-0.00091785i,-0.0021354-0.0011812i,-0.0010361-0.00099668i,0.00048224+0.00080614i,0.0010208+0.0015698i,0.0002724+0.0006582i,-0.00098503+0.00033508i,-0.0014026-0.00014701i,-0.00071792-0.00046322i,0.00044225+0.00012284i,0.00095026+0.00017654i,-7.9769e-05+4.043e-05i,-0.00015662-0.00030909i,-0.00035288-0.00051797i,-0.00058185-0.00053847i,-0.00033917+0.00014162i,0.00010828+0.00031933i,0.00081298+0.0005188i,0.00059943+0.00039462i,0.00058896+0.00041111i,0.00063228+0.00053456i
0.00089936-0.00037858i,0.0011649-0.0013091i,0.0022304-0.0021251i,0.0024128-0.0018072i,0.0014564-0.00074787i,0.00038049+0.00011403i,0.00037814+0.0002965i,0.00026726+3.3278e-05i,-0.00034636-0.00047428i,-0.00046771-0.0011048i,-0.00033752-0.00048271i,0.00013522-4.803e-05i,0.00062203-0.00078669i,0.0005686-0.00074295i,9.4722e-05-0.00055702i,-0.00043801-0.0008485i,-0.00040523-0.0010732i,-0.00033271-0.00058419i,-0.00041546+4.8099e-05i,-0.00045802-0.00024735i,-0.00015211-0.00059331i,0.00025651-0.00081463i,0.00090566-0.001092i
0.0009318+1.9527e-05i,0.0012025+0.0004025i,-4.2872e-05+0.000908i,-0.00023415+0.00096i,-9.6581e-05+0.00050877i,-0.00023439-0.00051433i,-0.00034452-0.00059604i,0.00030117-0.00018251i,5.6439e-07-0.00035753i,-0.00095578-0.00017679i,-0.00084109+0.00074726i,-0.00043594+0.00069149i,-0.00075874-0.00052356i,-0.00014176-0.00081087i,9.6061e-05+0.00021188i,-0.00067309+0.00022284i,-0.00065938-1.102e-06i,-0.00027726+0.00058267i,-0.0002765+4.5942e-05i,0.0003564-0.0008156i,0.00069261-0.00087971i,0.00052893-0.00082908i,5.3746e-05-0.0003659i
0.00023144+0.00084708i,0.00046132+0.00034819i,0.001128-0.00062003i,0.0013744-0.0013291i,0.00040666-0.0013868i,-0.000356-0.00045159i,-0.00042423-0.00015039i,-0.00039405-0.00057344i,0.00053671-0.00058984i,0.00089702+1.7267e-05i,0.00022054+0.0010398i,0.00033426+0.00080481i,0.00070624+0.00022163i,0.0006637-0.00032646i,7.3006e-05-0.0013555i,-0.00016387-0.0015806i,0.00028757-0.0012168i,0.00035402-0.00088309i,0.00048151-0.00019407i,0.00050086+5.9515e-06i,8.9138e-05-0.00015325i,-0.00012085-0.0004981i,-8.1798e-05-0.00098314i
-0.00075263+3.071e-05i,-0.00087529+0.0010492i,-0.0015543+0.0014974i,-0.0015834+0.0022097i,-0.00017356+0.0026428i,0.0011543+0.0010943i,0.00063381-7.4043e-06i,-0.00055685+0.00058293i,-0.00053693+0.0011094i,-0.00016597+0.0006562i,-7.4993e-05+5.0988e-05i,0.00043242+0.00069244i,0.00051321+0.0012154i,0.00038126+0.00054682i,0.00077587+1.0149e-05i,0.00078716+7.0124e-05i,0.00046012-0.0002525i,9.9973e-06+0.00018595i,-0.00051175+0.0012779i,-0.00080091+0.0015002i,-7.3249e-05+0.00076508i,0.00067119+0.00049423i,0.00076258+0.00044535i
0.0048288+0.00078769i,0.0042065+0.00018167i,0.004795+0.00026218i,0.0042743-6.7715e-05i,0.0020402-0.0014938i,0.00050536-0.001322i,6.2683e-05+3.2614e-05i,0.00044122+0.00025559i,0.00078746-7.149e-05i,0.00050594-0.00097093i,0.00051526-0.0010827i,0.00084256-0.00040951i,0.00048828-0.00093212i,5.028e-05-0.00091884i,-0.00088593-0.0007602i,-0.00085438-0.0013063i,-0.00021492-0.0013156i,-0.00069397-0.00039529i,-0.0013343+4.9341e-05i,-0.00067826+6.607e-05i,0.00040489+4.1331e-05i,0.0012421-0.00014979i,0.0012272+1.8213e-05i
0.00057243+0.00033354i,7.245e-05+0.0012496i,0.00034085+0.0013455i,0.00070664+0.00080153i,0.00093294+0.00049152i,0.0016279-2.0461e-05i,0.0011479+0.00021466i,0.00090255+0.0011649i,0.00037756+0.0010878i,-0.00043261-3.2333e-06i,-0.00029626-0.00060703i,0.00054574-4.0694e-05i,0.0010154+2.1579e-05i,0.00055962-0.00057682i,-0.00026913-0.000731i,-0.00051884-0.00064806i,-0.00014992-0.0003892i,-0.00020455-0.00015279i,-0.00017161+0.00032448i,0.0007178+0.00011271i,0.0012115-0.00057252i,0.00035311-0.00046402i,-3.2719e-05-0.00075356i
0.0017476-0.0013088i,0.0015664-0.0017064i,0.0021065-0.0017202i,0.002474-0.00069759i,0.0010243-0.00010472i,4.9521e-05+0.00072708i,0.00057786+0.00041479i,0.00024319+5.5892e-05i,-0.00013103-0.00030374i,6.7941e-05-2.7129e-05i,-0.0005751+0.00065083i,-0.00088261-0.00021366i,-0.00092942-0.00083345i,-0.00081749-0.0015837i,-0.0001572-0.0020813i,0.00032866-0.0015i,0.00020635-0.00079747i,5.6835e-05-0.00069256i,7.5801e-05-0.00014058i,-0.00016146+6.3776e-05i,-0.00012376-0.00051051i,-0.00029096-0.00077909i,-0.0002335-0.0011004i
0.0020614+0.00021594i,0.0015771+0.00052126i,0.0019502+5.3444e-05i,0.00082663-0.0012879i,0.00018453-0.001789i,0.00015007-0.00054372i,-3.5272e-05+0.00020387i,-0.00048253-0.0002854i,-0.0003585-0.00046506i,-0.00028075-0.00017985i,-0.00078105+0.00032787i,-0.00039211+0.00061472i,-0.00017392+0.00038203i,-5.9948e-05+4.1227e-05i,0.00021056-0.00068732i,0.00010063-0.0010604i,-0.00061842-0.00070291i,-0.0013042-0.00049826i,-0.001001+1.0514e-05i,-9.4426e-05+0.00080865i,-0.00012178+0.00054155i,-0.00072157-0.00030834i,-0.0004144-0.00050319i
0.0010325-2.9744e-05i,0.0011426+0.0002175i,-6.6804e-05-0.00014161i,0.00020537-0.00047674i,0.0011946+0.00023602i,0.00049679+0.0005648i,-0.00023291+0.0013126i,-0.0010287+0.0014019i,-0.0014482+8.7806e-05i,-0.00063371+8.0909e-06i,0.0006508+0.00094605i,0.0010573+0.00088074i,0.00080242-0.00046882i,0.0010951-0.0014064i,0.0008626-0.0019946i,-0.00019515-0.0012202i,-0.00031659+0.00051703i,-0.0008092+0.00055829i,-0.00078378-3.8814e-05i,-0.00017417+0.00028303i,-0.00025937-0.00015231i,-0.00047714-0.00044404i,-0.00042191-0.00021547i
-0.00084549+0.00074496i,-0.00074496+0.0010421i,-0.00038631+0.00059016i,0.00032308+5.5497e-06i,0.0011686-0.0004257i,0.001004-0.00035195i,0.00074925-0.00018981i,0.0004986+0.00046816i,-0.000112+0.00044809i,-0.00038604+0.00025731i,-0.0002725+0.0010221i,0.00048818+0.0012483i,0.0001118-0.0001394i,-0.00028617-0.0009228i,-0.00016218-0.00082349i,-0.00031385-0.00063054i,-0.0003415+0.00020347i,-0.00029445+0.00057492i,-0.00046492+0.00042346i,-0.00033174+0.00089541i,0.00035362+0.0010126i,-1.4302e-05+0.00027396i,-0.00037453-0.00058604i
-0.0014143+0.00050772i,-0.0017775+0.00061259i,-0.0012576+0.0013945i,0.00062969+0.0018923i,0.0010025+0.0022663i,0.00042578+0.0018637i,0.00075072+0.0006153i,0.00099694+0.00030401i,0.00084612+0.00056002i,0.00053298+0.00071603i,0.00059773+0.0010938i,0.00063602+0.00060493i,0.00029988-0.00033266i,-6.2571e-05-0.00045858i,0.00019131-0.00037782i,0.00019211-0.00068879i,-0.0003093-0.00019942i,-0.00052117+0.00061787i,-0.0013876+0.0011178i,-0.0011979+0.0012098i,-0.00019834+0.0010337i,9.0702e-05+0.00083693i,0.00025189+0.00077303i
-0.0023098-0.00036372i,-0.0024924-0.00095915i,-0.0025913-0.0011501i,-0.0020238-0.00078652i,-0.0015544-0.00095447i,-0.00070569-0.0011286i,-0.00032483-0.0011008i,-0.0010134-0.00086545i,-0.00094759-0.00059175i,-0.00084057+0.00023856i,-0.00087459+0.0011617i,-4.0972e-05+0.0011831i,0.00053941+0.00043774i,0.0007123-0.00010503i,0.00049987+0.0004721i,-2.2505e-05+0.00056591i,-0.00019498-0.00056468i,-0.00012825-0.00038957i,-0.00054256+0.00042842i,-0.00088299+0.00062451i,-0.00036401+0.00026611i,0.00060552+0.0001478i,0.00055095+0.00045209i
0.0011361-0.00081684i,0.00079301-0.0021605i,0.00054965-0.0029173i,0.00012577-0.0031405i,0.00046855-0.0022456i,0.0011051-0.00087157i,-7.6392e-05-0.0005399i,-0.00094597-0.00020063i,-0.00083226-0.00042297i,-0.00021631-0.00058005i,-9.1722e-05-0.00023441i,-0.00053985-4.0533e-05i,-0.0011973+0.00016676i,-0.00099996-0.0007665i,-0.00073365-0.0015526i,-0.00015821-0.0014364i,0.00028261-0.0010534i,0.00020088+0.00024744i,0.00078208+0.00032154i,0.00073917-6.8549e-05i,0.00045882+0.0002511i,0.00028969-9.8285e-05i,-0.00023573-0.00024262i
0.00095513+0.00032731i,0.00073776+0.00045992i,0.0010642+0.0015815i,0.0014123+0.0019512i,0.0012565+0.001548i,0.00013007+0.0011555i,-0.0010052+0.00072903i,-0.00090896+0.00049048i,-0.00078495+0.00077422i,-0.001087+0.00011606i,-0.00088348-0.00052122i,-0.00026854-0.00044331i,0.00023312-0.0013186i,0.00051093-0.0015992i,0.0010239-0.0013138i,0.00090091-0.00068017i,-0.00028695-0.0001779i,-0.00082828+0.00033828i,-0.00010978+0.00073618i,0.00063618+0.00035732i,0.0011417+0.0002349i,0.00057329+0.00024445i,-0.00020864+0.00026627i
-0.0011258+0.0020197i,-0.0016671+0.0023893i,-0.00041293+0.0019375i,0.0006493+0.001928i,0.00063135+0.0015302i,0.00026308-0.00024719i,0.0004473-0.00071243i,0.00081694+0.00040537i,0.00040088+0.00036152i,-0.00058609+0.00014841i,-0.00032259+0.00099904i,0.0010356+0.0014178i,0.00089195+0.00051531i,0.00027772-0.00062826i,0.00046881-0.00079217i,-1.4136e-05-0.00045558i,-0.00047642-9.3634e-05i,0.00016045-1.8812e-05i,5.4981e-06-8.1288e-05i,-0.00051162-0.00049833i,0.00039355-0.0005673i,0.0007715+0.00031262i,0.00011211+0.00034005i
0.0027058-0.00043772i,0.0028511-0.00091871i,0.0017007-0.0014116i,0.00016628-0.00069586i,-0.0018431+0.00064328i,-0.001819+0.00054655i,-0.00048444-0.00026368i,0.00024298+0.00010347i,0.00083397+0.00049841i,0.00054695+0.00091906i,-0.0008279+0.0010206i,-0.00071857-6.2863e-05i,0.00026606-0.00051784i,-0.00032692+2.0591e-05i,-0.00062072-0.00089743i,-0.00066064-0.0015779i,-8.7003e-05-0.00084497i,0.0007382-0.00041812i,0.00059164-0.00028099i,-0.00081919+0.0003898i,-0.0017218+0.00066212i,-0.0013664-0.00026465i,-0.00014637-0.00094387i
0.0019241-0.00043523i,0.002779-0.00083942i,0.0029989-0.0019258i,0.001844-0.0029667i,0.00075314-0.0026275i,6.7016e-05-0.00072757i,3.0899e-05+4.7275e-05i,0.00066896+0.00015123i,0.00082136-0.0005974i,0.00063359-0.0015306i,0.00086044-0.00052124i,0.0010101+0.00026159i,0.00067945-0.00018612i,0.00037573-0.00058829i,0.00050628-0.00074093i,0.00067746-0.00055006i,-0.00020369-0.00049812i,-0.00078525+0.00035856i,-0.00052969+0.0016337i,-0.00070215+0.0014687i,-0.0010864+0.00079132i,-0.00053813+0.00053049i,-0.00020051-0.00011776i
-0.0018929+0.0011791i,-0.0018575+0.0017514i,-0.0021167+0.0026958i,-0.00071408+0.0020519i,0.00073135+0.0012147i,0.00068607+0.0012215i,-0.00063014+0.00037052i,-0.0016437-0.00047591i,-0.0015644-0.00045223i,-0.0015499-0.00054084i,-0.001585-0.00054469i,-0.00073808+0.00015113i,-0.000262+0.00055546i,0.00034269-0.00019632i,0.0011791-0.00044935i,0.00068796-0.000647i,0.00046166-0.00066467i,0.00020704+0.0003795i,-0.00029589+0.00049086i,0.00011935+0.00017458i,0.00095031+2.3001e-06i,0.00066102-0.00042928i,3.734e-05-0.00035482i
-0.0011128-0.000701i,-0.00063298-0.00014876i,-0.0011897+0.00013528i,-0.00071638+0.00048677i,0.0008896+0.0013446i,0.0011782+0.0021098i,0.0010211+0.0014216i,0.00013059+0.00070902i,-0.0012667+0.00072134i,-0.0012407+0.0011789i,-0.00044273+0.0013727i,0.00048497+0.0008093i,0.0011085+4.3491e-05i,-0.00028188-0.00059792i,-0.0011328-0.0003671i,-0.00064895-0.00044029i,-8.4346e-05+7.8747e-05i,0.00010023+0.00070285i,1.3652e-05+0.00065862i,-0.00033014+0.00076495i,-0.00068097+0.0012462i,0.00037735+0.0015371i,0.00028447+0.00053223i
-0.0017913+0.00055798i,-0.002554+0.00093329i,-0.0020979+0.001532i,-0.00015126+0.0016515i,0.00070056+0.0015382i,0.0011949+0.001449i,0.00078429+0.0011972i,0.00033642+0.00085796i,0.00041825+0.0010667i,9.5239e-05+0.0020858i,-0.00049505+0.0020082i,0.00018593+0.00076908i,0.00096641-0.00047672i,0.0008017-0.00050743i,0.00027094+0.00019586i,-0.0002303-9.0214e-05i,-0.00065064-0.00059595i,-0.00094544-8.6098e-05i,-0.0010645+0.0010699i,-0.00099761+0.00077675i,-0.00018511-0.000286i,-5.6699e-05-0.0004398i,-0.00036616-0.00016617i
-0.00087657-0.0011182i,-0.0020857-0.0022019i,-0.0016608-0.0023934i,-0.0013968-0.0017402i,-0.0013617-0.00096782i,-0.00045454-0.00085659i,0.00033576-0.00088756i,0.00021567-0.00054358i,0.00065142-0.00038426i,0.00079525+0.00014942i,-0.00043836+0.00051771i,-0.0011195+0.00034691i,-0.00057545+0.00039014i,-0.00032437+0.0003513i,-6.1735e-05+4.4957e-06i,0.0004165-0.00017989i,0.00048299+0.00026308i,2.1378e-05+0.00065727i,-0.00041848+0.00049314i,0.0002635+0.00050298i,0.00023366+0.00013566i,-0.00053096-0.00043974i,-0.000667-0.00056611i
0.0019124-0.0017559i,0.0017889-0.0012671i,0.0023642-0.00089447i,0.0024607-0.00096144i,0.0017079-0.00084914i,0.00064003-0.0004376i,0.00043258-0.00042736i,0.00064824-0.00023355i,0.00021996-0.00020756i,-0.00014388-0.00099095i,0.00017664-0.00070356i,0.00079826+0.00057355i,0.00071825+0.00083196i,-0.00021698-0.00020536i,-0.00079085-0.00079514i,-0.00020999-0.00060385i,0.00044684-0.00023967i,0.00011318-8.0578e-05i,-5.9942e-05+0.00037685i,0.00021011+0.000824i,0.00021684+0.00056569i,0.00034042+0.00026688i,0.00036539-0.00035349i
0.00087968+0.0011454i,0.00016906+0.00084793i,0.00070894+0.00090963i,0.0015577+0.0020996i,0.0016184+0.0029178i,0.0010725+0.0019681i,0.00029959+0.00094478i,-0.0010941+0.00055249i,-0.0020542+0.00047093i,-0.0017757-5.3014e-05i,-0.0013729-0.00014232i,-0.00049716+0.00061745i,0.00095264+0.001156i,0.0014871+0.00030843i,0.0012408-0.00088094i,0.00095365-0.0011363i,0.00056249-0.00078832i,0.00015231-0.00032781i,-9.7747e-05-0.00014516i,0.00023488+2.9469e-05i,0.0011822+0.00026034i,0.0011-0.00045205i,0.00039166-0.00051116i
-0.0021545-0.0013353i,-0.0022578-0.0013542i,-0.003288-0.0010557i,-0.0028533+0.0011376i,-0.0014599+0.0030226i,-0.00048698+0.002525i,-0.00057364+0.001454i,-0.0014853+0.00082915i,-0.0025453+0.0011299i,-0.0028286+0.001004i,-0.0015647+0.00093363i,0.0001387+0.00025142i,0.00069828-0.00064595i,0.00045658-0.00080086i,0.00085682-0.00054146i,0.00047574-0.00053721i,-0.00026682-0.00080716i,-0.00034745-6.2293e-06i,-0.00061592+0.00075517i,-0.00053554+0.0014396i,0.00017707+0.0012829i,0.00023426-0.00010045i,-7.4715e-05-0.00065527i
