-0.0033344+0.0018625i,-0.0026063+0.0017931i,-0.0045223+0.0040307i,-0.0050422+0.0052549i,-0.0031529+0.0045444i,-0.0010227+0.0025797i,-0.00028268+0.0021641i,0.00034939+0.0033072i,0.00089057+0.0036705i,0.0010416+0.0026069i,0.0016064+0.0011704i,0.0021303+0.00019003i,0.0011864-0.0012464i,0.00024552-0.0017014i,3.8374e-05-0.00067506i,0.00012485+0.00025548i,-0.00021189-1.1715e-05i,-0.00010756-0.00040233i,0.00049911-0.00013505i,0.00042207+0.00019715i,0.00024764-2.3218e-05i,8.3335e-05+0.00015958i,-0.00036782+0.0002601i
0.0002099-0.00026642i,-0.00070688-0.00050423i,-0.0023446-0.0028964i,-0.0044059-0.0035255i,-0.0043825-0.0018785i,-0.0013154-0.0017223i,0.001572-0.0037823i,0.0012572-0.0038623i,4.2509e-06-0.0025898i,-0.00074881-0.0011345i,-0.00024236+0.00030012i,0.0014868+7.082e-05i,0.0017892-0.00036756i,0.00094756-0.00025638i,0.00058157-0.00029914i,0.00016572-0.00022624i,-0.00018809-0.00064185i,0.0003372-0.00056965i,0.00062189-0.00055161i,-0.00032992-0.00074843i,-0.00051006-0.00012266i,0.00080267+0.00046849i,0.0016611+0.00038228i
0.0017362+0.00043977i,0.0022962+0.00058414i,0.0013362-0.00077563i,-4.088e-05-0.002487i,-0.0011043-0.0027212i,-0.00075408-0.0020419i,-0.0008068-0.0027714i,-0.0024896-0.0033337i,-0.0035346-0.0017762i,-0.0022209+0.00057589i,0.000381+0.0016159i,0.0012068+0.0012594i,0.00065201+0.00072421i,0.00061066+0.00022686i,0.00058441+0.00027821i,6.907e-05+0.00021579i,-0.0007104+0.00010504i,-0.001416+0.00040596i,-0.0011464+0.00025525i,-0.00044656-0.00032525i,0.00038314-8.0282e-05i,0.0010485+4.5125e-05i,0.00098708-0.00038883i
0.0003992-2.8334e-05i,0.00049712-0.000402i,0.00037946-0.0017904i,-0.00085835-0.0027931i,-0.0015577-0.0018272i,-0.0023621-0.0014406i,-0.003539-0.0014348i,-0.0041249+0.00047429i,-0.0030049+0.0030045i,-0.00032763+0.0029412i,0.0012807+0.00032011i,0.0003719-0.00088802i,-0.00062169-0.00072701i,-0.0003341-0.00055071i,0.00031133+0.00056092i,0.00082198+0.00083172i,0.00063215+0.00042314i,-0.00035118+0.0006452i,-0.00071263+0.00025829i,-0.00056915-0.00051826i,4.0577e-05-0.0009831i,0.00067518-0.00091171i,0.00060015-6.3159e-05i
0.0035932+0.0013336i,0.0023506-0.0006542i,0.0014316-0.0036328i,0.00040945-0.0058465i,-0.0014418-0.0050268i,-0.0028735-0.0010165i,-0.0025414+0.0026752i,-0.0015797+0.0043719i,0.00036199+0.0033051i,0.0018222+0.0010531i,0.0011029-0.0005079i,0.00052336-0.001091i,0.00071775-0.00065706i,0.0012385+0.00041706i,0.0013023+0.00087675i,0.0012405-0.00058648i,0.0013812-0.0011236i,0.0011357-0.0010338i,0.00016235-0.0011091i,-0.00051215-0.00072148i,-0.00047999-0.0006601i,-0.00012437-0.00049554i,5.3765e-05-2.0524e-05i
-0.00040407+0.00027931i,-0.00011829+0.00096835i,0.0003501-0.00036574i,0.00056575-0.001293i,0.00040693-0.0010061i,0.0014804-0.00045071i,0.0024627+0.0015377i,0.0031614+0.0032087i,0.0037696+0.002407i,0.0022833+0.00036332i,0.00014537-2.3521e-05i,-0.00057654+0.001601i,-7.4624e-05+0.0012894i,0.00062705+6.91e-05i,0.0013971-0.00024358i,0.0010024-0.00091315i,-0.00024759-0.0012058i,9.9619e-06-0.00064891i,0.00069923-0.00020792i,0.00033378+0.00054202i,-0.000351+0.00095133i,-0.00087296+0.00070782i,-0.00040045+4.2761e-05i
0.00080875+0.00078154i,0.00064531+0.0010966i,8.7871e-05+0.00074085i,-0.0028139-0.00095804i,-0.0038425-0.0015979i,-0.00085462-0.0012641i,0.00202-0.0022108i,0.0034844-0.0026413i,0.0029367-0.0021873i,-0.00010129-0.0013102i,-0.0015482+0.00037338i,-0.0010418+0.0010974i,-0.00083236+0.000751i,-0.00074455-5.7476e-05i,-0.00056429-0.00096084i,-3.0178e-05-0.0009216i,0.00065447-0.0003121i,7.5695e-06-0.00058729i,-0.00080218-0.0010856i,-0.00056085-0.00069034i,-0.00021566-1.8564e-05i,0.00022581+0.00039125i,0.00017145+0.00066945i
0.0014558+0.0014495i,0.0019794+0.00030498i,0.0031862-0.00037101i,0.003854-0.0018092i,0.0033566-0.0032122i,0.0023855-0.0046098i,0.0016198-0.0049248i,0.00096656-0.004397i,-6.2731e-05-0.0034708i,-0.00075636-0.00060013i,-0.0010969+0.0010062i,-0.00093957+0.00053782i,-0.00060759+0.00050565i,-0.00030816+0.00067435i,0.00039835+0.00036292i,5.5648e-05-3.2355e-06i,-0.00072245-0.00054181i,-0.00067604-0.00091217i,-0.00032365-0.00080236i,0.00012292+0.00014919i,6.5614e-05+0.001469i,0.00038188+0.0015574i,0.0010285+0.0003348i
0.00047908+0.00030525i,0.00090726+7.9484e-05i,0.00068831-0.00087275i,-0.0012497-0.0023371i,-0.0022355-0.0021072i,-0.0016426-0.0013964i,-0.0020393-0.0021582i,-0.0034931-0.002425i,-0.0045072-0.0005309i,-0.002808+0.0022667i,0.00021959+0.0029799i,0.0012899+0.0021402i,0.0016357+0.00082078i,0.001516+9.0255e-05i,0.00037862+0.000272i,-0.00026632-0.00022603i,0.00023324-0.0009423i,0.00072443-0.0010659i,0.0011397-0.00042046i,0.00093207+0.00039742i,-0.00023937+0.0015338i,-0.00044885+0.001374i,0.00048606+0.00039549i
-0.00038817+0.0018129i,0.00055868+0.00073952i,0.00025536-0.00067335i,-0.0004653-0.00179i,-0.00079071-0.0014614i,-0.0012608-0.0015385i,-0.0024013-0.00087509i,-0.0033123+0.001886i,-0.002532+0.00404i,-0.00054761+0.0035703i,0.0011079+0.0018003i,0.0010452+0.00046817i,0.00057998-2.618e-05i,0.00027026-9.9745e-05i,-0.00017886+0.00013321i,-7.155e-05-0.00024499i,-0.00026148-0.00092594i,0.00026408-0.00052153i,0.00047253-0.00042376i,-0.00018472-0.00028961i,-0.00035772+0.0004864i,-0.00039895+0.00084282i,0.00010405+0.00070456i
0.00095825-0.00045516i,0.0014131-0.0013474i,0.0024534-0.0013844i,0.00066098-0.0016387i,-0.001351-0.0014323i,-0.00074724+0.00086857i,0.00073858+0.0029022i,0.0012775+0.0042887i,0.00161+0.0042629i,0.0019171+0.0022606i,0.0019557+0.00069756i,0.0016312+0.00042936i,0.00071487+8.0647e-05i,6.4846e-05-2.3138e-05i,-6.0464e-05-0.00021955i,0.00042489-0.0016578i,0.00059102-0.0022769i,0.0002303-0.0020722i,-0.00020028-0.001787i,-0.00014835-0.00093847i,0.00036346-4.7716e-05i,0.00071078-0.00040411i,-4.8588e-05-0.00050939i
-0.00024621+0.0011419i,0.00062638-0.00020091i,-0.00033913-0.0017823i,-0.0024374-0.0028907i,-0.0023628-0.0023998i,-0.00018559-0.0012138i,0.0024149-0.0005391i,0.0037997+0.00067344i,0.0034126+0.0010713i,0.0016319-0.00049385i,0.00012618-0.0010958i,-0.00035998-0.00012209i,-7.4015e-06+0.00061192i,0.0002341+0.00048852i,0.00012235+0.00025615i,-0.00013806-0.00059374i,-0.00036871-0.0015602i,0.00034222-0.001185i,0.00076602-0.0013916i,0.00038145-0.0018644i,-9.6131e-05-0.00043506i,0.0001637+0.00050389i,0.00045937-7.0815e-05i
0.00068121-0.0005098i,-0.00013997-2.0328e-05i,-0.0015137-0.0020218i,-0.0016962-0.002676i,-0.0015244-0.0012738i,-0.00032876-0.00041034i,0.0025343-0.0011622i,0.0038909-0.0021347i,0.0033285-0.0027652i,0.0014077-0.0020288i,-0.00057382-2.4048e-05i,-0.0011749+0.00016928i,-0.00031816-4.1019e-05i,0.00052376+0.00043772i,0.00023345-0.00024037i,-0.00087738-0.0010022i,-0.0010787-0.00054277i,-0.00088195+8.772e-06i,-0.0016313-0.00039322i,-0.001963-0.0007978i,-0.0014225-0.00052986i,-0.00030177+0.00041754i,0.00048596+0.00085308i
-0.002266+0.0024692i,-0.00073409+0.0028604i,-0.00039613+0.0021838i,-0.0010034+0.0011262i,-0.0011642+0.00012474i,-0.0009655-0.0015753i,-0.00042482-0.0032909i,0.00012054-0.0040481i,0.00019563-0.003232i,-7.9758e-05-0.00043459i,6.6005e-05+0.0018039i,0.00054893+0.0017854i,-6.1174e-06+0.00095859i,-0.00075828+0.00033976i,-0.00058967-0.00031593i,-0.00034572+8.5195e-06i,-4.6441e-05+0.00071983i,-5.9133e-06+0.00026847i,-0.0011311-0.00042699i,-0.0013598-3.799e-06i,-0.00045076+0.00097238i,0.000201+0.0016597i,0.00084192+0.0014025i
-0.00066216+0.00082265i,-7.303e-05+0.00089694i,0.00034762-0.00087269i,-0.00047772-0.001751i,-0.00074741-0.0016991i,-0.0010352-0.0016489i,-0.0013871-0.0028821i,-0.0019051-0.0025055i,-0.0027583-0.00015055i,-0.0016367+0.0011612i,-4.2014e-05+0.0013693i,0.00063022+0.00082139i,0.00068624+0.00010271i,0.00051909-0.00039176i,0.00087762-0.0009752i,0.0011851-0.00073086i,0.00061904+9.3371e-05i,-0.0004335+0.00034518i,-0.00068616+0.00072406i,0.00014784+0.0013735i,0.0013367+0.0016581i,0.0011008+0.001281i,-0.00030304+0.00021258i
0.00025927-0.0001534i,-0.00032811+0.00079782i,-0.0016067+0.00024374i,-0.0021961-0.00096457i,-0.0024311-0.0012324i,-0.0019037-0.0010692i,-0.0023686-0.00010079i,-0.0038436+0.0012458i,-0.0028576+0.002463i,-0.00015309+0.0029621i,0.0012676+0.0018817i,0.0010951+0.0011228i,0.00090394+0.0015052i,0.00089813+0.0006601i,0.00037648-0.00075723i,0.0012191-0.0016937i,0.0016349-0.001907i,0.00086473-0.0008261i,0.001351-0.00033278i,0.0017211-0.00038607i,0.0014417+0.00013658i,0.001336+0.00019268i,0.0011871-0.0001517i
-9.3871e-05-0.00081781i,-0.00021455-0.0014891i,0.00020025-0.0032447i,-0.0016124-0.0034698i,-0.0026073-0.0029712i,-0.0010352-0.0018052i,0.0003377+0.00030905i,0.00092764+0.0025559i,0.0024801+0.0036053i,0.003235+0.001684i,0.0013489-0.00047911i,0.00037952-5.1624e-05i,0.0010561+0.00078247i,0.00025432+0.00086531i,-0.00034028+0.00051603i,-0.00028053-0.00012597i,-0.00023101-0.00083757i,0.00030897-0.001512i,0.00074765-0.001925i,0.00068746-0.0017112i,-1.4494e-05-0.0011664i,-0.00024821-0.0010106i,0.0001609-0.0010559i
-0.00026731-0.00067358i,0.00077778+0.00022173i,9.3147e-05+7.308e-05i,-0.0013002+3.5934e-05i,-0.0012369-0.00014225i,-0.00045185+0.00022243i,0.00084674+0.0002379i,0.0023015+0.00059255i,0.0033469+0.00046323i,0.0022319-0.0010609i,9.7209e-05-0.0017001i,-7.5878e-05-0.00098325i,0.0011597-0.00037645i,0.0012563-0.00024373i,0.00029143-0.0002811i,-6.0366e-05-0.0008206i,-6.4229e-05-0.0016368i,0.00036508-0.0017705i,0.00040815-0.0017294i,-0.0010904-0.00197i,-0.0022887-0.0019042i,-0.0016656-0.0011673i,-0.00049206-0.00045934i
0.0012046-2.373e-05i,0.0019759-0.0010756i,0.0015036-0.0022158i,-0.00012901-0.0028917i,-0.00061228-0.0022654i,0.00037441-0.0019563i,0.0015358-0.0023497i,0.0027932-0.0029233i,0.0026065-0.0033157i,9.7903e-05-0.0025494i,-0.0015873-0.00030551i,-0.00073673+0.001061i,0.00015637+0.00052988i,0.00042401+0.00017393i,0.00054438+0.0005384i,0.0001337+0.00041281i,0.00029646-0.00048639i,0.000554-0.0013023i,5.8606e-05-0.0010749i,-0.00016846-0.00039125i,-0.00027395+0.00032143i,-0.00080466+0.00091049i,-0.0012782+0.00072387i
-0.0015007+0.00099375i,-0.0012022+0.0023408i,-0.00065154+0.0018557i,-0.00095505+0.00046666i,-0.0010507-4.8624e-05i,-0.00074298-0.00057258i,-0.00025011-0.0014478i,-0.0010449-0.0021113i,-0.0024433-0.0016834i,-0.0025692+8.6021e-05i,-0.0014278+0.0013421i,0.00011594+0.00096944i,0.0013206-2.7318e-05i,0.0019367-0.00064546i,0.00059668-0.0017835i,-0.00077476-0.0026237i,-0.00031058-0.0023716i,-0.00014549-0.0016266i,-0.00047035-0.00083497i,-0.00078902+0.00011702i,-6.6032e-05+0.00084026i,0.00015904+0.0014173i,-0.00036037+0.0014085i
-0.0008516+5.5017e-06i,-0.0016059-0.00029391i,-0.0030305-0.0013514i,-0.0043808-0.0018004i,-0.0047454-0.001166i,-0.0036877-0.00075619i,-0.0020347-0.0015448i,-0.0023654-0.0014468i,-0.0026169+0.00048599i,-0.0017267+0.0030093i,-0.00046501+0.0036265i,0.00070439+0.0019678i,0.0015953+0.00019585i,0.0015618-0.00054481i,0.00042015-0.0005857i,-0.0010832-0.00043855i,-0.0010376+5.7063e-05i,-0.00016804+0.00083439i,7.485e-05+0.00099485i,0.00035514+0.00062306i,0.0010744+0.00079049i,0.001412+0.00079684i,0.0010709+0.00054836i
0.0002376+0.0013948i,0.0017307+0.001356i,0.0030618+0.00024817i,0.0023228-0.00079437i,0.00076583-0.00081476i,0.00019418+0.00046017i,-0.0010826+0.0016245i,-0.001592+0.0025623i,-0.0014235+0.0039216i,-0.00030898+0.0043656i,0.00075403+0.0023433i,0.00053132+0.00034979i,0.00018631-0.00024386i,-0.00057585-0.000488i,-0.00044569-0.00052979i,0.00051848-0.00079609i,0.0008278-0.0011201i,0.00094891-0.00059971i,0.00094051+0.00061952i,0.00099272+0.00089061i,0.00082244-1.4087e-05i,0.0006927-7.9599e-05i,0.00087128+0.00038i
2.7272e-05-0.0017756i,-0.00034216-0.0022656i,-0.0016399-0.0037791i,-0.0028969-0.0044577i,-0.0033994-0.0039338i,-0.0024946-0.0025299i,-0.00067585-0.00069596i,0.00047993+0.00096682i,0.0019715+0.0015509i,0.0030571+0.00073279i,0.0022291+0.00056531i,0.0016762+0.0018217i,0.0016103+0.0017796i,0.0013549+0.00038907i,0.00080571-0.00052433i,2.9966e-05-0.00079217i,-0.0011264-0.00099649i,-0.00062698-0.00077212i,0.00045683-0.00074761i,0.00051987-0.001248i,0.00095474-0.0015228i,0.00045758-0.0017613i,2.1864e-05-0.001912i
-0.0016944+0.00269i,-0.001175+0.003135i,-0.00065695+0.0012143i,0.00020818-0.0004348i,0.0011831+1.3023e-05i,0.0025465+0.00032255i,0.0030019+0.00055894i,0.0031806+0.00084865i,0.0030126+0.0002988i,0.0022749-0.0010694i,0.0021261-0.0012288i,0.0018194-0.0004996i,0.001374+0.00032304i,-0.00017963+0.0011852i,-0.0011613+0.0010456i,-0.0011687+0.000967i,-0.0014469+0.00057959i,-0.0013424-0.00017335i,-0.0008308-0.00044065i,-0.0014252-0.00048939i,-0.0018333-0.00030633i,-0.001575+0.00012558i,-0.001135+0.00031683i
0.00087212+0.00043186i,0.0010155+0.00029835i,0.0004995+0.00012642i,-0.001504+0.0003459i,-0.0019594-7.95e-05i,-0.00060319-0.0014819i,0.00075222-0.0025654i,0.0014805-0.0028781i,0.0010876-0.0028052i,-0.0001425-0.00285i,-0.0010197-0.0016352i,1.0019e-05+0.00015389i,0.0010392+0.0011087i,0.0017834+0.0013969i,0.0026269+0.00075571i,0.0023349-3.9872e-05i,0.0013109+0.00017743i,0.0003776+0.00044445i,-0.00020167-0.00019481i,-0.00076849-0.00057659i,-0.0011292-6.5259e-05i,-0.00083484+0.00045548i,-0.00058367+0.00035379i
-0.00038233+0.0022582i,0.00090286+0.0015688i,0.0013862+3.1259e-05i,0.0014396-0.0022091i,0.00029541-0.0032559i,-0.00047448-0.0029665i,-0.00040998-0.0029775i,-0.0014073-0.0030664i,-0.0026067-0.0023467i,-0.0036144-0.00086872i,-0.0031004+0.00053605i,-0.00072818+0.00080591i,0.00032691-0.00016469i,-0.00063029-0.0014609i,-0.0012962-0.0020839i,-0.0008287-0.001413i,-0.00020234-0.0011424i,-0.00025587-0.0009443i,-0.00065035-0.00029119i,-0.00078199+0.00044786i,-0.00039313+0.001246i,0.00053426+0.0015316i,0.00083662+0.0015393i
0.00029486-0.00032416i,0.00011888+6.6248e-05i,-0.0013248+0.00013114i,-0.0022124-0.00044999i,-0.0030948-0.00056929i,-0.003834+0.00014462i,-0.0042917+0.00089536i,-0.0044299+0.0015693i,-0.0042419+0.0025968i,-0.0027521+0.0030388i,-0.00014787+0.0027903i,0.00098202+0.0018985i,0.00042705-4.8837e-05i,0.00044966-0.0010741i,0.00036799-0.0010554i,-0.00012404-0.0014874i,0.00012071-0.0013787i,0.00012397-0.00083881i,0.00045074+1.68e-05i,0.0010441+0.00077391i,0.001275+0.00099761i,0.0014738+0.00073608i,0.00145+6.4801e-05i
-0.0008655+0.00067706i,0.00045144+0.00026512i,0.00027486-0.0026695i,-0.0011263-0.0038329i,-0.00095779-0.0017848i,0.00062152-5.8181e-05i,0.0011505+0.00039637i,0.00058063+0.0022573i,0.00066196+0.0049209i,0.0011111+0.0057411i,0.0012705+0.0037672i,0.00083724+0.0023214i,2.2927e-07+0.0016025i,-0.00071351+0.00063337i,-0.00089582+0.0004781i,-0.00084917+0.00033049i,-0.0010934+0.00013144i,-0.0015105-0.00042123i,-0.0010391-0.00077077i,7.0086e-05-0.00061901i,0.0010374-0.00012932i,0.0011899+4.946e-05i,0.00063934+9.2389e-05i
-0.0014035+0.00088936i,-0.0011583+0.0012015i,-0.0014019+0.0015847i,-0.0015623+0.0015237i,-0.00092879+0.0011719i,0.00048222+0.0010007i,0.0017303+0.0018452i,0.0031458+0.0028095i,0.0042203+0.0023563i,0.0042346+0.0011786i,0.0035744+0.00042803i,0.0020391+0.00027186i,0.0007979+0.00044546i,-0.00019843+0.001065i,-0.00012982+0.0012007i,0.00074498-0.00018278i,0.00062195-0.00088618i,0.00011436-2.4179e-05i,-0.0001977+0.00017941i,-0.0007123-0.00064502i,-0.00029805-0.0011864i,0.00060155-0.00089423i,0.00018114-0.00054465i
-0.00015136-0.00033673i,0.0016062-0.00042081i,0.0025749-0.003042i,0.0021215-0.0053161i,0.0017517-0.0041827i,0.0015318-0.0023119i,0.0019547-0.0023433i,0.0024745-0.0031832i,0.0028885-0.0035538i,0.0021816-0.0041045i,0.00080232-0.0030102i,0.00021885-0.00042413i,0.00068663+0.0002813i,0.00095314+0.00024929i,0.0013143+5.4058e-05i,0.001969-0.00037679i,0.0010839-0.0006246i,-0.00060326-0.00050048i,-0.00089578-4.1076e-05i,-0.00039659+0.00011582i,-0.0007771+0.00060703i,-0.0015448+0.00092432i,-0.0022522+0.00038459i
-0.0014058+0.00030668i,-0.00015862+0.00088554i,-0.00060363+0.00053129i,-0.0022327-0.00069354i,-0.0032788-0.0015925i,-0.0021848-0.0019683i,-0.0011498-0.0026879i,-0.0010545-0.0035071i,-0.0016969-0.0036415i,-0.0020151-0.0032587i,-0.0017663-0.0016919i,-0.0013427-9.8329e-05i,-0.00082328-3.3064e-05i,-0.00068899-0.00036822i,-0.00038728-0.0015058i,0.00015302-0.0025714i,0.00072025-0.0020924i,0.00046281-0.0012308i,-0.00097554-0.0010016i,-0.0019163-0.00073584i,-0.0013608+0.00035806i,-0.00015983+0.0017051i,7.3241e-05+0.0019684i
0.00021666+0.001595i,0.0011606+0.0014175i,0.0017395-0.0018365i,0.00050653-0.0044583i,-0.00017172-0.0041405i,-0.0017557-0.0030947i,-0.0041531-0.0019306i,-0.0050754-0.0013672i,-0.0050454-0.0016593i,-0.0049915-0.0010945i,-0.004255+0.00037188i,-0.0020541+0.0011345i,-0.00024131+0.00078658i,0.00010889+0.00046685i,-0.0004237+6.3802e-05i,-0.0011763-0.00063283i,-0.00092276-0.00076205i,-0.00058582-0.0014854i,-0.0014375-0.0015705i,-0.0010877+0.00018547i,0.00013342+0.0011865i,0.0012783+0.0013012i,0.0018451+0.0010075i
4.6032e-05-0.0016116i,0.0012331-0.00095808i,0.0010302-0.0019646i,-0.00087112-0.0010934i,-0.0032724+0.00062586i,-0.0036082+0.0004836i,-0.0023678+8.5943e-05i,-0.0025716+0.0015992i,-0.0032797+0.0043173i,-0.0027864+0.0063497i,-0.0013057+0.006408i,0.00046463+0.0044829i,0.0015993+0.0020968i,0.0012838+0.00060955i,8.1959e-05-2.2032e-05i,-0.00088424-0.00049388i,-0.00059067-0.0012608i,-1.61e-05-0.00078914i,-0.00046092+0.00041101i,5.3283e-05+0.00082605i,0.0010657+0.00062243i,0.0013373-0.00048942i,0.0013242-0.00084933i
-0.00059984+0.0010379i,-0.00037274-0.00030372i,-0.00045704-0.00044754i,-0.0020692-0.0002325i,-0.0026499-0.0006012i,-0.0013116+0.00089135i,0.00031304+0.0024452i,0.0011894+0.0037111i,0.0015713+0.0049733i,0.0032739+0.0046068i,0.0047621+0.0030835i,0.0040523+0.0012256i,0.0017933-0.00042694i,0.00069517-0.001332i,0.0011106-0.001001i,0.0013948-0.00058422i,0.00074786-0.0010533i,0.00052272-0.0014935i,0.00086398-0.0012133i,0.00034227-0.0010205i,4.4732e-05-0.0010779i,0.00030583-0.0013673i,0.00048859-0.0018226i
0.0012921-0.0004654i,0.00088081-0.0020319i,0.00096845-0.0042214i,-3.5899e-05-0.0045389i,-0.00098878-0.0028402i,0.0001052-0.0012391i,0.0020448+0.00014068i,0.0038125+0.0011833i,0.0059352+0.00027905i,0.0064386-0.0014255i,0.0040983-0.0017819i,0.0020264-0.0013779i,0.00064106-0.00065349i,-0.00034991+0.00013442i,0.00012136-0.00014551i,0.00075429-0.0011283i,0.0011481-0.0018035i,0.00087191-0.0024471i,-0.00015342-0.0026799i,-0.0002199-0.0017637i,-1.0255e-05-0.0012501i,-0.00072039-0.001329i,-0.00080749-0.00043217i
-0.0025372+0.00073051i,-0.0015676-0.0001584i,-0.0011063-0.00104i,-0.0032902-0.0018725i,-0.0044077-0.0017196i,-0.0012802-0.0013238i,0.0022109-0.0027184i,0.0034654-0.0052045i,0.0029387-0.0057866i,0.00099736-0.0052766i,-0.00095648-0.0032335i,-0.00091494-0.00088876i,-0.00035034-0.0005293i,0.00019221-0.0010584i,0.00071364-0.0020844i,0.00074533-0.0020546i,0.0010335-0.001204i,0.00036995-0.00090635i,-0.00028411-0.00068511i,-0.00058161-0.00014908i,-0.00072041+0.00034478i,-0.00048214+0.00072805i,0.00021483+0.00044944i
0.0020601-0.00040368i,0.0019386-0.00093694i,0.0018463-0.0023339i,0.001309-0.0042763i,-0.00022785-0.0062383i,-0.0015394-0.0057028i,-0.0013048-0.0046346i,-0.0009349-0.0043913i,-0.0020054-0.0043065i,-0.0036253-0.0038278i,-0.0041099-0.001756i,-0.0029157+0.00086104i,-0.0017746+0.0018635i,-0.0010068+0.0023189i,-0.00039832+0.0024488i,-0.00047563+0.0012387i,-0.0010489+0.00024218i,-0.00040722+6.6649e-05i,-0.0005824+0.00050212i,-0.0012492+0.0011136i,-3.4027e-05+0.0011384i,0.00076583+0.0013858i,0.00072649+0.0016535i
0.00033175-0.00031954i,0.00076699+0.00029721i,-3.2037e-06-0.00099797i,-0.0018634-0.0023479i,-0.0039886-0.0026408i,-0.0040606-0.0017796i,-0.0033418-0.0012844i,-0.0039949-0.00055238i,-0.0047339+0.0013076i,-0.0046223+0.0033699i,-0.0029797+0.0040366i,-0.0012074+0.0040594i,7.3806e-05+0.0032827i,0.00014056+0.002151i,-0.00050296+0.0011476i,-0.00050457+0.00025844i,-0.00068775+8.5631e-05i,-0.001038+0.00015099i,-0.00076827+0.00076261i,-0.00015369+0.0011462i,-0.00035302+0.00078672i,-0.00035481+3.6615e-05i,0.00041876+0.00025697i
0.00094931+0.00061013i,0.0022995-0.00055405i,0.0020364-0.0029i,-0.00060439-0.0043581i,-0.0031112-0.0028591i,-0.0038272-0.00047944i,-0.0030763+0.00095262i,-0.0015975+0.003504i,-0.00049172+0.0067309i,0.00060748+0.0069695i,0.0015801+0.005626i,0.0017211+0.0039145i,0.0019479+0.0018774i,0.0024706+0.00093754i,0.0022174+0.00082846i,0.0016738+0.00038484i,0.0016677-0.00019899i,0.0012236+0.00041939i,-6.1478e-05+0.000614i,-0.00010527-0.0002618i,0.00064748-0.00072219i,0.0013699-0.00011751i,0.0013262-5.327e-05i
0.0020841+0.003542i,0.003123+0.0031675i,0.0053154+0.0004542i,0.0052454-0.0023954i,0.0032727-0.0026563i,0.00087322-0.00057081i,0.0015312+0.0020978i,0.0032024+0.0042345i,0.0041118+0.0052591i,0.0049365+0.0038282i,0.0046591+0.0011083i,0.0033354+0.00036849i,0.0016875+0.00017876i,6.9304e-05-0.0012565i,-0.00020933-0.0025534i,0.00015512-0.0026259i,0.00042462-0.0020364i,0.0010573-0.0017653i,0.00070805-0.0012944i,0.00070792-0.00060759i,0.0013469-0.00018378i,0.00077147-0.00020228i,-0.0003929-0.00053923i
0.0011543-0.0014688i,0.0015006-0.0023113i,-0.0001962-0.004499i,-0.002574-0.004875i,-0.003766-0.0030509i,-0.0026767-0.0014204i,-5.6716e-05-0.0021254i,0.0025843-0.0024737i,0.0051185-0.0021279i,0.0059663-0.0024019i,0.0041253-0.0023397i,0.0020893-0.0015752i,0.00069069-0.00089854i,-0.00042017-0.00056872i,-0.00062456-0.00086676i,-0.00025547-0.0012253i,-0.00034393-0.0011904i,-0.00018429-0.001648i,0.00027083-0.0017968i,0.00024139-0.001097i,-0.00036689-0.0011091i,-0.00075373-0.0012534i,-0.00028923-0.00076866i
0.00040449+0.0025226i,0.0012828+0.003042i,0.0018665+0.0015749i,0.0018463-0.001204i,0.0016978-0.0025229i,0.0014404-0.0012299i,0.00080916-0.0010184i,0.0010829-0.0028621i,0.0014319-0.0048064i,8.7055e-05-0.0051265i,-0.0016514-0.0038234i,-0.0019053-0.0019794i,-0.0022964-0.00059616i,-0.0030655+0.0010375i,-0.0031385+0.0011855i,-0.001908-0.0005952i,-0.0012315-0.0019039i,-0.0018039-0.001177i,-0.001691+0.00021944i,-0.00095254+0.0003302i,-0.00084535+0.00054174i,-0.0015992+0.00115i,-0.00097352+0.0013518i
0.0018404-0.0020361i,0.0022626-0.0033014i,0.00018499-0.0065535i,-0.002646-0.0078794i,-0.0033624-0.0067208i,-0.0015762-0.004576i,-0.00072172-0.0042806i,-0.002294-0.0050187i,-0.0044584-0.0044221i,-0.0059797-0.0022214i,-0.0059344+0.00076553i,-0.0037133+0.0024388i,-0.00041676+0.0027859i,0.0015583+0.0027462i,0.0020806+0.0019851i,0.0019595+0.00095904i,0.00087808+0.00037839i,0.00013267+1.0461e-05i,0.00015345-0.00055146i,9.6534e-05-0.00079105i,0.00038589-0.00029506i,0.00070756+0.00019595i,0.00080622+0.0003542i
-0.0011691+0.00061096i,-0.0016461+0.0012699i,-0.002344-0.00022157i,-0.0023844-0.0012481i,-0.0027904-0.0011042i,-0.0025314-3.7737e-05i,-0.0020798-0.00018493i,-0.0031502-0.00028657i,-0.0054722+0.0014314i,-0.0054619+0.0035305i,-0.0026232+0.0052152i,6.0374e-05+0.0056635i,0.0020924+0.0042372i,0.0030281+0.0020573i,0.0020093-7.5686e-05i,-0.00011043-0.00089915i,-0.0016188-0.00091782i,-0.0011001-0.0010154i,0.00017693-0.0006556i,0.00026055-1.818e-05i,-0.000525+6.2113e-05i,-0.00061737+0.0001801i,-8.4097e-05-4.3617e-05i
