-0.00023683+0.0004814i,0.00033691-0.00054225i,-0.00035526-0.0016677i,-0.00085713-0.001186i,-0.0011111+0.00056519i,-0.00081738+0.0018344i,0.00010377+0.0026362i,0.00078153+0.0012117i,0.00081307-0.0005117i,0.00088924-0.00061438i,0.00064586-0.00045037i,2.21e-05-0.00078525i,-0.00028948-0.0009621i,-0.00042875-0.0009374i,-0.00065479-0.0010656i,-0.00067565-0.00073083i,-0.00021499-0.00021256i,0.00057978+0.00017124i,0.0010321+0.00043034i,0.0006257+0.00056388i,0.00046601+0.00039091i,0.00034625-7.5649e-05i,-0.00037507-0.00051089i
-0.0014409-0.00057109i,-0.0021565-0.0012579i,-0.0020779-0.0008053i,-0.0014465+0.00086508i,-0.0010093+0.0013595i,-0.00040786+0.00092448i,-0.00057587+0.00017789i,3.5629e-05-0.00055844i,0.00060846-0.00035109i,4.198e-05+0.00027739i,-0.00013556+0.00039002i,5.8314e-05+0.00059412i,6.3784e-05+0.00023569i,0.00053071+0.00035241i,0.0017526+0.0007791i,0.0019207+0.00073376i,0.00081379+0.00073778i,-0.00013765+0.00035384i,-0.0004645-0.00023668i,-0.00010327-0.00017264i,0.00014318+0.00076232i,0.00030691+0.0011859i,0.00064623+0.0010659i
0.00090419+9.0416e-05i,0.001676+6.3315e-05i,0.0014745+0.00080327i,0.00086624+0.00080807i,0.00071938+0.0011653i,0.00036393+0.0021145i,0.00054039+0.0021995i,0.0011112+0.0012208i,0.0010839+0.00024776i,0.00053955+0.00066272i,0.00022924+0.00090389i,-1.6458e-05+0.00054826i,3.8452e-05+0.00030649i,0.00023325-0.00050454i,0.00050838-0.0012041i,0.0006102-0.00061527i,0.0003468+0.0007852i,0.00025311+0.0010254i,-0.00013569-8.6891e-05i,-0.00051354-0.00019873i,-0.00044668+0.00031465i,-0.00019811+0.00011969i,-5.2648e-05+0.00043008i
-0.0015828-0.0027649i,-0.001584-0.0039859i,-0.0022512-0.0043773i,-0.0030946-0.0021127i,-0.0021901+0.00024122i,-0.0005239+0.00095938i,0.00058014+0.0012873i,0.00078758+0.00062235i,0.00045304+0.00058793i,-0.00056154+0.00056926i,-0.00017435-0.00047067i,0.00078363+0.00028941i,0.00047569+0.0012555i,0.00034344+0.00074237i,0.00072396+0.00042335i,0.00097326+0.00050263i,0.0010902+0.00029245i,0.001554+0.00045423i,0.0012434+0.00060403i,0.0005895-0.00015308i,0.00071506-0.00052411i,0.00054778-4.9992e-05i,-0.00017514-0.00010335i
0.0012308-0.00081222i,0.0015959+2.9907e-05i,0.00090941+0.00080532i,-9.0828e-05+0.00085806i,3.5238e-05+0.00091846i,-4.2938e-05+0.0013498i,-0.00051212+0.0011853i,0.00029599+0.00029376i,0.0011209-0.00067377i,0.0008816-0.00049704i,-0.00037275+0.0003527i,-0.0007472+0.00051561i,-7.5374e-05+0.00065045i,0.00040206+0.00099223i,0.00034923+0.00046367i,0.00059574+0.00023157i,0.00023776-0.00029371i,-0.00030365-0.0011338i,0.00037314-0.0011457i,0.00070178-0.0010585i,-2.2698e-05-0.0010028i,-0.00068438-0.00032543i,-0.0005961+0.00057811i
-0.00017073-0.00012866i,4.0097e-05+0.00077444i,0.0006656-0.00057764i,0.0005277-0.0012727i,0.00022245-0.00015905i,-0.00017253+0.00084916i,-0.00032347+0.0015519i,0.00032131+0.0016431i,0.00019399+0.00066002i,-0.00078661+0.0001492i,-0.00096148+0.00024814i,2.5943e-05+0.00043483i,0.00037701+0.00046672i,0.00019458+0.00063162i,0.00061826+0.00065398i,0.00043543-3.9343e-05i,-0.00029532-0.00038317i,-0.00014414-0.00015658i,0.00011417-0.00067771i,-3.7726e-05-5.4591e-05i,-0.00056092+0.0014437i,-0.00054246+0.0012725i,-0.00057431+0.000736i
0.00016917-0.0016306i,3.7884e-05-0.00099684i,0.00023302+0.00020298i,-0.000541+0.00080516i,-0.0012704+0.00055378i,-0.0013984-0.0001125i,-0.00027792+0.00017036i,0.00052962+0.0010321i,0.00045432+0.00017195i,0.00043005-0.00027116i,0.00024882+9.1797e-05i,0.00034631-0.00081839i,4.8953e-05-0.0010314i,0.00012068+0.00024585i,0.00054701+0.00070791i,0.00060607-9.5915e-05i,0.00031393-0.00066933i,-0.00016848-0.00053082i,-0.00068034-3.0363e-05i,-0.00039043+0.00034493i,-4.4728e-05+0.00045269i,-0.00034149+0.0011458i,-0.00057316+0.0015819i
-0.0028165+8.146e-05i,-0.0018739+0.0009728i,-0.0021923+0.0019161i,-0.0023629+0.001227i,-0.0013044+0.0011419i,-0.00021102+0.0013615i,1.5591e-05+0.00082067i,-0.00014809+0.0005875i,-0.00027118+0.00044815i,-0.00028478-7.0459e-05i,6.1706e-05-0.00025929i,8.6615e-05-0.00057166i,-0.00021098-0.0010084i,-7.801e-05-0.0011478i,0.00064114-0.00092792i,0.0011984-0.0004703i,0.00057301+0.00012264i,-4.6084e-05+0.00050676i,-0.00028292+0.00066136i,-0.00057315+0.00079109i,-0.00048881+0.0010378i,-0.00016874+0.0012747i,-0.00024799+0.00067762i
0.0010612-0.0010906i,0.0014171-0.001229i,0.001406-0.00046135i,0.00095313+0.00014035i,7.2537e-05+7.6124e-05i,-0.00042629+0.00060661i,-7.3712e-05+0.0016183i,0.00021296+0.00085289i,0.00071136-0.00022656i,0.0004327+7.5479e-05i,7.4536e-05+0.00016759i,0.00066005+0.00023048i,0.00061861+0.00081564i,0.00062351+0.00052382i,0.00078204-0.00046526i,0.00079623-0.00034426i,0.00053716-0.00040398i,-2.0247e-05-0.00029965i,-3.5693e-05+0.00034448i,0.00015823+0.00067234i,-0.00035489+0.00070688i,-0.00036174+0.00094092i,-0.00017308+0.0012073i
0.00076644-0.00077469i,0.00033099+0.00023249i,-0.00052612+0.00063671i,-0.0013105+0.0004627i,-0.0013209+0.00082314i,-0.00090615+0.0007966i,-0.00038588+0.0011642i,0.00025863+0.0012119i,0.00020948+0.00011193i,-0.00012613-3.9773e-05i,-0.00056517+0.00063364i,-0.00051797-0.00021339i,0.00037794-0.00050386i,0.0013509+0.00026166i,0.001121+0.00019146i,0.00030653+0.0005718i,-0.00061124+0.00016943i,-0.00046838-0.00053736i,8.3322e-05-7.5768e-05i,0.00039252-8.3483e-06i,0.0004989+0.0002436i,-0.00014875+0.00039938i,-0.00038832+5.5389e-06i
0.0010613-0.00066253i,0.0006114-0.0013179i,0.00070486-0.001804i,7.3652e-05-0.0017491i,-0.0012101-0.00051418i,-0.0017913+0.00084889i,-0.0010957+0.00084598i,0.00092918+0.00068027i,0.0013674+0.00010712i,0.00019249-0.00085818i,-0.00038723-0.00082437i,-0.00015972+0.00011112i,-0.00011033+0.0014157i,-0.00073751+0.0018771i,3.8331e-05+0.0020067i,0.0012154+0.001116i,0.0011801-1.5426e-05i,2.9434e-05+0.00035023i,-0.00090296+0.00093656i,-0.00087092+0.00073428i,-0.00036912+0.00047157i,0.00039633+0.00035523i,0.00052154+0.00049183i
-3.3885e-05-0.00076525i,-0.00064477-0.00071796i,-0.00028538+0.00023342i,-7.6064e-05+0.00085343i,-0.00029785+0.0012823i,-0.00025594+0.0014285i,-0.00040884+0.00075737i,-0.00020052+8.5788e-05i,-0.00016077-0.00061304i,0.0001775-0.00082487i,0.00046899-0.00049177i,0.00031298-5.0484e-05i,0.00046032-0.00049338i,0.00047597-0.00037014i,0.00043298+0.00015062i,0.00056625-1.9645e-05i,0.00033486-0.00073026i,9.916e-05-0.001447i,0.00040022-0.00098188i,0.00064481+0.00032366i,0.00012607+0.0008009i,-0.00022169+0.00035691i,0.00011356-5.5468e-05i
-0.00064067+0.00068326i,0.0006991+0.0011856i,0.0020201+0.0011297i,0.001801+0.00082807i,0.0012434+0.00061685i,0.0014693+0.00090007i,0.0016181+0.00068023i,0.0010504+0.00037165i,0.00062245+0.00073228i,2.5429e-05+0.00089861i,-0.00036971+0.0010467i,-0.00059681+0.00031235i,-0.00052832+0.00041034i,0.00050202+0.00068955i,0.0010051+0.00019234i,0.00022153+0.00053917i,-0.0002148+0.00049954i,0.00016911-0.00022967i,1.9038e-05+0.00025307i,-0.00015021+0.00037931i,0.00027521-0.00036342i,-6.3903e-05-0.00050616i,0.00013836+0.00025682i
0.001068-0.000395i,0.0012569-0.0007198i,0.00011672-5.1111e-05i,-0.00089561+0.00046488i,-0.0012169-0.00048423i,-0.0019455-0.00092418i,-0.001672-0.00043897i,-6.0851e-05+0.00050991i,0.0008025+0.00088477i,-9.8533e-05+0.00065957i,-0.00054468-0.00013374i,-0.00019084-0.00053252i,-0.00089321-0.0010018i,-0.00071822-0.0012699i,0.0001982-0.00087411i,0.00032628+0.00055047i,0.00015532+0.00078882i,-0.00025708-0.00032971i,-0.00041517-2.6203e-06i,0.00037845+0.00089676i,0.0012858+0.00052934i,0.0011307-0.00013905i,0.00035044-0.00040545i
0.001485+0.00014631i,0.0023134-0.00061557i,0.0017991-0.0010107i,0.00086908-0.00095907i,0.00081487-0.00011985i,0.0013296+0.00080757i,0.0011726+0.0015054i,0.00089275+0.0013265i,0.00094533+7.0641e-05i,0.00052018-0.00026306i,-0.00032739+0.00065168i,-1.4616e-05+0.0008353i,0.001209+0.00047712i,0.00084392+0.0010491i,0.00044695+0.001182i,0.0012983+0.00054163i,0.0010587-4.1739e-06i,0.00028092-0.00030258i,0.00019393-0.00032924i,0.00017623-1.7819e-05i,0.00021208+8.2385e-05i,-0.00034367+0.00066899i,-0.0010546+0.0013654i
0.0008531+0.00036441i,0.001329-7.8911e-05i,0.0021866-7.0137e-05i,0.0012897-0.00079594i,-0.00053391-0.0014743i,-0.0014493-0.00052859i,-0.0011364+0.00096776i,-0.00052882+0.0012201i,-0.00020655-0.00035597i,-0.00030469-0.00062332i,0.00027902+0.00066734i,0.00019939+0.00074252i,-0.00091848+0.00012775i,-0.00088007-0.00029911i,-0.00016856+1.92e-05i,0.00030921+0.00068158i,0.00035077+0.00037436i,0.00033223+4.6958e-06i,7.3447e-05-0.0001886i,-0.00040745-1.4372e-05i,-0.00011677+0.00067138i,-3.8916e-05+0.00089901i,0.00014107+0.00061172i
-0.0008854+0.00068883i,0.00055051+0.00062119i,0.00055296+0.00054647i,-0.00023826+0.00067933i,-0.0004161+0.0014211i,-0.00098299+0.0013478i,-0.0012137+0.0004968i,-0.00025267+0.00061678i,0.00035186+0.00061272i,-3.7509e-05-0.00017048i,0.00024649-0.00028625i,5.6567e-05-2.3343e-05i,-0.00060875-0.00073917i,-0.00080217-0.0015188i,6.9119e-05-0.0011068i,0.00081646-0.00038083i,0.00071734-0.0006131i,0.00091782-0.00025456i,0.00070764+0.00038425i,0.00027007+0.00030396i,-0.00027857+0.00044901i,-0.00076345+0.00058217i,-0.00015043+0.001038i
0.00032404-0.00041594i,0.0014578+0.00065106i,0.0020108+0.0014211i,0.0015+0.0011132i,0.00027351-3.1558e-05i,-0.00078333+3.0166e-05i,-0.0003602+0.00024157i,7.3528e-05+0.00076654i,-0.00033557+0.00097344i,-0.00014578+0.00076469i,0.00010745+0.0010802i,0.00012759+0.0010447i,0.00018536+0.00071679i,0.0014452+0.00052346i,0.0026184+0.0004752i,0.0017524+8.9325e-05i,0.00079059-0.00040892i,0.00056792-0.0004154i,0.00022946-0.00047532i,-0.00090058-8.9496e-05i,-0.0013056+0.00092583i,-0.00086446+0.00031182i,4.0778e-05-0.0005889i
-0.00087383+0.0012508i,-0.00036887+0.00040855i,-0.00033771+8.1702e-05i,0.00014729+0.00051048i,0.00051786+0.001314i,-0.0011661+0.0019671i,-0.001737+0.0012288i,-0.0007773+0.0003331i,0.0001912+0.00047694i,0.00066499+5.5249e-05i,0.00053817-2.9276e-05i,8.7336e-05+0.00029661i,4.2003e-05+0.00056772i,-3.8073e-06+0.00032804i,0.00041583-0.0003834i,0.00066182-0.0002087i,0.00029275+0.0002855i,5.9722e-05+0.00010418i,-0.00014948+0.00037758i,-0.00027093+0.00020394i,8.2508e-05+0.00011579i,0.00028545+0.0005764i,-7.8826e-05+0.00021983i
0.0018257+0.0011547i,0.0026559-0.00038548i,0.0030352-0.0011266i,0.0013574-0.0010774i,0.0001966-0.0011225i,-0.00052203-0.0014023i,-0.00074215-0.0010628i,-0.00054622-0.0001723i,-0.00086475+0.00015507i,-0.00020533+1.6332e-05i,0.00037366-0.00034171i,0.00017387-0.00051839i,-0.00023215-0.00012315i,-0.00080234+0.00026116i,-0.00026808+0.00018501i,0.0003927-3.7851e-05i,0.00022864+6.2062e-05i,-0.00020158-0.0004694i,-0.0004016-0.00024828i,-0.00042506+0.00035519i,-0.00075962+0.00076316i,-0.0010111+0.00089185i,-0.00070464+0.00051808i
0.00086037+0.00059171i,0.0013094+0.00041421i,0.00099837+0.00021789i,-0.00029885+0.00014501i,-0.0018896+0.0010867i,-0.002225+0.0025793i,-0.0017421+0.0021571i,-0.00019543+0.00099521i,0.00039597+0.00026253i,-0.00087478-0.00044039i,-0.0011867-0.00036192i,-0.00054364+3.1398e-05i,-0.00022513+0.00019592i,0.00072672-9.5365e-06i,0.00077015-0.00028432i,9.1983e-05+0.00019001i,0.00038995+0.00029847i,0.00072319+0.00073296i,0.0010561+0.00099223i,0.00077308+0.00032643i,0.00025649-0.00014529i,0.00047238-0.00051076i,0.00066272-0.00013198i
0.0011515-0.00051568i,0.00076102+0.00025911i,-5.2618e-05+0.00080008i,-7.2062e-05+0.00097171i,-1.2765e-05+0.00070199i,-4.4156e-05+0.00044038i,0.00021852+0.00064188i,-5.8662e-05+0.00081603i,-0.00066068+8.1194e-05i,9.1597e-05-0.00091387i,0.0010723-1.9558e-05i,0.00048513+0.00077665i,-0.00027485+0.00076336i,-0.00032052+0.0011987i,0.0004055+0.00097725i,0.00091427-4.8605e-05i,0.00050133-0.00099342i,-0.00044156-0.0014961i,-0.0006518-0.0011939i,-0.00065011-0.00059543i,-0.00062179-0.0002122i,-0.00069015+4.3411e-05i,-0.00031068+0.00021241i
-3.8902e-05+0.0012249i,-0.00024663+0.00013036i,-0.00019813-0.0008457i,-0.00021643-0.00097522i,-0.0003654-0.0013708i,-0.0010958-0.0013943i,-0.0012648-7.0992e-05i,-0.00039717+0.00045073i,0.0011738+0.00031132i,0.00095388-0.00011316i,-0.00011232-0.0005983i,-8.2405e-05-9.5254e-05i,0.00059381+0.00066234i,0.00073924+0.00091817i,0.00029569-0.00015598i,0.00047678-0.0012038i,0.00023372-0.00036793i,0.00018272+0.00046255i,0.00055738+0.00077456i,0.00069782+0.00078756i,0.00048018+0.00084409i,-3.865e-05+0.00096353i,-0.00044546+0.00035349i
0.0004739+0.002942i,0.0025797+0.0019299i,0.0026522+0.0019062i,0.001771+0.0014588i,0.0012322+0.0010588i,0.00058682+0.00064059i,-3.0238e-05+0.00059017i,-0.00055751+0.00060584i,-0.0003522+0.0001972i,0.00015237-9.2652e-07i,0.00039261-0.0004004i,0.00019602-0.00083004i,-0.00048714-0.0015099i,-0.00064178-0.0011603i,-0.00048012-0.00074879i,-0.00028393-0.00072035i,0.00040524-0.000136i,0.00052545+0.00028329i,-0.00019758+0.00029393i,-0.00071233+0.00031446i,-0.00032831-2.8202e-05i,0.00069775+4.2832e-05i,0.0005191+0.00031298i
0.0028909+0.0002883i,0.0017486+0.00023728i,0.00021324-0.00052979i,-0.0011982-0.0014352i,-0.0013063-0.0015897i,-0.0010518-0.00046786i,-0.0012259+0.00068894i,-0.0011539+0.001154i,-0.00080183+0.00056743i,-0.00019563+0.00035334i,-0.0002538+0.00015539i,-0.00053364-0.00024984i,-0.00040882+0.00028478i,-7.8582e-05+0.00094425i,0.0005494+0.00079087i,0.0007967+0.00015208i,0.00079334-0.0002949i,0.00089969-0.00039208i,0.0010695-0.00043548i,0.0010118-0.00037449i,0.00091191+4.4392e-05i,0.00062716+0.00035554i,-0.0001644+0.00091241i
0.0012698-0.00053275i,0.0016089-0.0013789i,0.001548-0.0012921i,0.00010314-0.00027069i,-0.00048637+0.0011517i,0.00021855+0.0015124i,0.00040633+0.0019648i,-0.00022818+0.002318i,-0.00036279+0.0011185i,0.000274-1.1281e-05i,0.00024448-0.00013337i,-0.00025916-0.00078475i,-0.00048114-0.00050702i,0.00015325-0.00015201i,0.00063397-3.2362e-05i,0.00051738+0.00035122i,0.00024441+8.3476e-05i,-5.9661e-05-0.0003555i,0.00035874-0.00039506i,0.00029196-0.00026913i,0.00033277+0.00032779i,0.00029907+0.00050153i,-0.00044645+0.00019181i
0.0011348+0.0022169i,0.0026894+0.0030375i,0.0024747+0.0024362i,0.00059851+0.0011312i,-0.00046095-0.00024985i,-0.00069824-0.00082828i,-0.00021161-0.0006558i,-0.00015881-0.00086871i,-0.00061123-0.00015294i,-0.00021412+0.00058849i,0.00022858-0.00018745i,-7.7345e-05+0.0001351i,-0.00074202+0.00050872i,-8.0128e-05+1.0498e-05i,0.00074546-0.0002263i,0.00061595-0.00057873i,0.00048165-0.00055759i,0.00049706+0.00053306i,0.00055488+0.00097725i,0.00051406+0.00041855i,0.00011689-4.6601e-05i,0.00011412+0.00010688i,0.00036519+0.00052932i
-0.00019856+0.00027951i,0.00012842+0.00011124i,-6.3357e-05-0.00030612i,-0.00067518+0.00039715i,-0.00062387+0.00096134i,-0.0008689+0.00070171i,-0.00092764+0.00097561i,-0.00010596+0.00040779i,3.4905e-05-0.0001322i,-0.00022882+0.00040854i,-0.00051075+0.00050185i,-0.00038823-0.0002169i,-0.00020252-0.0004453i,-0.00021461-0.00070582i,0.00036937-0.0010002i,0.0012583-0.0014684i,0.00089986-0.001106i,0.00012177+9.9535e-05i,0.00011369+0.00042417i,0.00040223+0.00045998i,-7.5766e-05+0.00065458i,-0.00085369+0.0002676i,-0.00063776+0.00065552i
0.0015647+0.0013259i,0.0038668+0.00020957i,0.0056273-0.00097618i,0.003895-0.0018977i,0.001143-0.0018056i,-0.00051522-0.00038632i,-0.00075859+0.00025616i,8.3118e-05-3.0469e-05i,0.00010618+0.00025928i,-0.00013361-0.00025877i,7.1995e-05-0.00096256i,8.7909e-05-0.00042799i,-0.00065+0.00045961i,-0.00078924+0.00051068i,0.00017485-2.6007e-05i,0.00030005-0.00029555i,-0.00024793+0.00037043i,0.00031488+0.00062168i,0.00043345+0.00058167i,-0.00012721+0.00020189i,0.00056023-0.00030575i,0.00075321-0.00024233i,-0.00017544+9.438e-05i
0.0013982+0.0013715i,0.0013402+0.001546i,0.00049459+0.0019896i,-0.00058493+0.0014658i,-0.0016883+0.00026359i,-0.001608-0.00032363i,-0.00041593+0.00057217i,0.00071468+0.0012952i,0.0009137+0.00079682i,0.00038896+0.00051888i,0.00059313+0.00072801i,0.00099011+0.00081348i,0.00089409+0.0012679i,-8.8678e-05+0.0015049i,6.8827e-05+0.00013001i,0.001309+2.3823e-05i,0.0014192+0.00061832i,0.0010809+0.00011718i,0.00066966-0.00017964i,0.00025466-0.00050491i,-0.00032551-0.00032081i,-0.00053896+1.9548e-05i,-0.00032799+3.9675e-05i
0.0016311+0.00010475i,0.00046152-0.0011498i,0.00071105-0.002441i,0.00061036-0.0025133i,2.0827e-06-0.0010361i,-0.00094004+0.00034905i,-0.00080386+0.00077471i,-1.4103e-05+0.001294i,0.00073064+0.00097122i,0.0011184-0.00041635i,0.00075824-0.00056287i,-5.9289e-06+0.00075365i,-0.00034786+0.0015743i,-0.00053934+0.00093157i,0.00019339+0.00049332i,0.00077783+0.00082339i,0.00075317+0.00048858i,0.00073692-0.0001465i,0.0001021-0.00030816i,0.00019413-0.00042965i,-0.00012602-0.00023292i,-0.00024352+0.0002439i,3.0427e-05+0.00054732i
0.0014714+0.002022i,0.0020207+0.0016987i,0.0020473+0.0015364i,0.0020626+0.0014151i,0.00099841+0.00072805i,-4.9838e-05-0.00046994i,-4.2552e-05-0.00019595i,0.00074612+0.0006499i,0.00058654+0.00066356i,-0.00034562+9.7804e-05i,-0.00076436-0.00045733i,-0.00046681-0.00086341i,-0.00023379-0.001075i,-0.00011165-0.0014641i,0.00041446-0.0010389i,0.0003504-0.00063319i,0.00011606-0.00046277i,0.00058311-6.1361e-05i,-0.00063179+9.5082e-05i,-0.00062729+0.00032053i,0.00071335+0.00052724i,0.00069479-7.1745e-05i,0.00044829-0.00049952i
-0.0014172-0.00041349i,-0.0021874+0.00042271i,-0.0021472+0.0011574i,-0.0011861+0.00090061i,-0.00058827+0.00076582i,0.0006556+0.0010152i,0.0006824+0.00063261i,-0.00046582-0.00023768i,-0.00049323-0.0013268i,0.00013272-0.00098607i,0.00043642-0.00084222i,0.0003391-0.0010915i,-0.00017092-0.00028206i,-0.00017542+0.00011343i,0.00049683-0.00047824i,0.0002664-0.0011139i,0.00024072-0.001434i,0.00063679-0.0011009i,0.00035395-0.0007392i,0.00031581-0.00021035i,0.00024306-1.262e-05i,-7.3867e-05+0.00022586i,-0.000214+9.0249e-05i
-0.00012788+0.0011437i,0.00045273+0.0005855i,0.00066763+0.00094652i,0.00029589+0.0010642i,-0.00031968+0.00071383i,-0.00012049+0.00027503i,-0.00026675+0.00073031i,-0.00063266+0.0009869i,-0.00046721+0.00022157i,0.00038387+0.00037442i,0.0006373+0.00085965i,-0.00061533-0.00013335i,-0.0018617-0.0007984i,-0.00067101-8.1408e-05i,0.0010687+0.00049312i,0.00098574+0.00075041i,0.00058291+0.00072453i,0.00091082-0.00010616i,0.0011328-3.3265e-05i,0.00012745+2.7213e-05i,-0.00048224-0.00035602i,8.2643e-05-0.00029122i,-0.00034429-0.00039243i
0.0013446+0.00037428i,0.0012812+3.2275e-05i,0.0026043-0.00023676i,0.0022344-0.0011826i,0.00059925-0.0011693i,-0.00055303-0.00051666i,-2.0428e-05-2.0739e-05i,0.0013349-3.8334e-05i,0.0014808-0.00044746i,0.0009166-0.00050027i,0.0011291-0.00017957i,0.001784+0.00021562i,0.001282+7.9721e-05i,0.00051501+7.3749e-05i,0.00060799-0.00017718i,0.0010632-0.00085115i,0.00014071-0.0010613i,-0.00071887-0.00055864i,-0.00028056-0.00022314i,-0.00028914-0.00010246i,-6.2513e-05-0.00023605i,0.00026432-0.00020798i,0.00012108+0.00033065i
0.0010048+0.0015063i,-0.00057629+0.0014828i,-0.0010845+0.0016225i,-0.00081345+0.0018811i,-0.00057783+0.001088i,-0.00021867-1.0287e-05i,-0.00053158+0.00071062i,-0.00040181+0.00039283i,0.00025541-0.00071044i,4.9265e-05-0.00078893i,-0.00019267-0.00059931i,-0.0005421-0.00080296i,-0.0011159-0.00057501i,-0.00077129+0.00022815i,-3.4076e-05+0.00057961i,0.0002106+0.00031739i,0.00025962-0.00058775i,9.4669e-05-1.0614e-05i,-9.2363e-05+0.00080626i,-0.00017741+0.00082887i,-0.00023264+0.00072437i,0.00026934+0.00030989i,-0.00031508+1.1688e-05i
0.0017544-0.0014428i,0.0022135-0.0020398i,0.0015364-0.0027068i,0.00029828-0.0027374i,-0.00033396-0.00019382i,-0.0001666+0.0011616i,-0.00051913+0.00052814i,-0.00063438+1.1657e-05i,-0.00074576-0.00038995i,-0.00097792-0.00014203i,-0.00058034+0.00023804i,6.4289e-05+0.00016321i,0.0003715-0.00029665i,0.00024248+0.00022258i,0.0003559+0.00099264i,0.00022758+0.00042955i,3.2151e-05-9.888e-05i,0.00062338+0.00039703i,0.00098646+0.00088386i,0.00061145+0.00080326i,0.00010328+0.00021132i,-0.00057436+0.00022198i,-0.0013055+0.00035369i
0.00093358+0.00086447i,0.0015195+0.0021643i,0.0021017+0.0022787i,0.00074081+0.00189i,-0.00070811+0.0012498i,-0.00057+0.0012278i,2.1615e-05+0.0013586i,0.00073238+0.00081353i,0.00041592+2.4308e-05i,-0.00045166-0.00033673i,0.00015964-0.00048376i,0.00071503+0.00042432i,-3.3876e-05+0.00053496i,0.0004098-0.00044464i,0.00053834-0.00013883i,-0.000318+0.00074051i,-0.00044664+0.00036719i,-0.00012721+0.00026377i,0.00011006+0.00045818i,-0.00019821+0.00059011i,-0.00082542+0.00045856i,-0.0013621-0.00011455i,-0.0011015-0.00019708i
-0.00055166+0.00094531i,-0.00095603-8.0326e-06i,-0.00020334-0.00045662i,0.00025123-0.00073411i,-1.7825e-05-0.0013615i,0.00026531-0.0010172i,0.00047151-5.2193e-05i,0.0011206+3.6678e-05i,0.0017745-0.00013848i,0.0011222-0.00032322i,0.0004784-0.0011394i,0.00049574-0.00055259i,-0.00037376-9.0988e-05i,-0.0010038-0.00037702i,2.8358e-06-0.00024301i,0.0011516+4.3821e-05i,0.0010113-0.0001788i,0.00042514-0.0004532i,0.00040441+0.00023825i,7.8837e-05+0.0011528i,-0.00031829+0.00081564i,-0.00034245+0.00048815i,-0.00030936+0.00079161i
0.0045264+0.0010467i,0.0045292+0.00033995i,0.0034675-0.00062943i,0.0012819-0.0010902i,-0.00096581-0.0017414i,-0.0011156-0.00078353i,-0.00084556+0.0010481i,-0.00032336+0.0010688i,0.00019658+2.1725e-05i,0.00013209-0.00079862i,-3.4988e-05-0.00087133i,0.00020812-0.00099108i,0.00086755-0.0009615i,8.021e-05-0.0010387i,-0.0011017-0.0011317i,-0.00082754-0.0011304i,2.7277e-05-0.00079007i,0.00052595-0.00012284i,0.00041072+0.00040255i,0.0005602+0.00040226i,0.0005826-0.00025452i,-8.4415e-05-0.00012295i,-0.00078996+0.0002756i
0.00082132+0.0013424i,0.00094772+0.0014612i,0.0014848+0.00096411i,0.001894+0.0014444i,0.0013712+0.0013413i,7.5063e-05+0.00091466i,-0.0012575+0.0010412i,-0.0009804+0.0010089i,-0.00024585+0.00029033i,-0.00031986-0.00011052i,-9.8897e-06-6.3316e-05i,2.9451e-07+8.3345e-05i,0.00014747+0.00066224i,0.00018793+0.001441i,0.00038299+0.00099297i,0.00053278+0.00054059i,-9.2247e-05+0.00051516i,-0.0010258-5.8303e-05i,-0.00074035+0.00011261i,0.00019526+0.00064541i,0.00053794+0.00014302i,-0.00021907+9.4298e-05i,-2.6446e-05-0.00054387i
-0.0015953+0.0016811i,-0.00074071+0.00037724i,7.4162e-06+0.0003571i,0.00031537+0.0001906i,0.00034427-0.0011614i,5.575e-05-0.0014668i,-0.00022612-0.00060602i,-0.00024585+0.00011724i,-0.00018791+0.00037746i,0.00026147+0.00061201i,0.00044398+0.00013382i,2.1718e-05-0.00092191i,4.7466e-05-0.00082844i,0.00040206-0.00074769i,0.00066813-0.001073i,0.00096398-0.0011752i,0.00043026-0.00072276i,-0.00010417+1.3042e-05i,0.00038495+0.00022855i,7.8839e-05-9.3278e-05i,-0.00079701+9.0141e-05i,-0.0006024+0.00071335i,0.00040564+0.00038367i
-0.00075847+0.0016319i,-0.0003322+0.001145i,0.00034172+0.00094654i,0.00021919+0.00019481i,8.2918e-05-0.00065456i,-0.00053631-0.00077288i,-0.00071656-0.00041073i,0.00039413+0.00010442i,0.0006093+0.00070494i,0.00015618+0.00088287i,-2.706e-05+0.000522i,-0.00016917+6.0225e-05i,-3.0722e-06-0.00050125i,-0.000276-0.00099625i,0.00015576-0.0010454i,0.00083686-0.00030388i,0.00037569+9.4171e-05i,-0.00016666+0.00020425i,-1.5771e-05+0.00037595i,-7.5643e-05+0.00034354i,-0.0010086+0.00037658i,-0.0016305-0.00014131i,-0.00094335-0.00063798i
-0.0010575+0.0022804i,9.4109e-06+0.0031177i,0.0012005+0.0036538i,0.0012292+0.0028054i,6.8286e-05+0.0014767i,3.7957e-07+0.00032245i,0.00034536-0.00043391i,0.00040306-0.0011165i,0.00025876-0.0012119i,0.00019648-0.0007559i,0.00040621-0.00039047i,-0.00040024-0.00050677i,-0.00062525-0.0012035i,0.00026779-0.0019671i,0.00075048-0.0010699i,0.00080509-0.00030079i,0.00048887-0.0003694i,0.00014946-0.0001101i,0.00012587-0.00020341i,-9.5646e-05-6.1656e-05i,-0.00037453+0.00052945i,-0.00056635+0.00048091i,-0.00022624+9.6964e-05i
