-0.001367-0.00026488i,-0.0011526-0.0011932i,-0.0012104-0.0013849i,-0.0012597-0.00087958i,-0.0020274+0.00058213i,-0.0021062+0.0010455i,-0.0018741+0.0010872i,-0.0012737+0.0015739i,3.4507e-05+0.0007633i,0.0012948-0.00011611i,0.0013638-0.00026149i,-0.00025584+0.00018159i,-0.0012591+0.00066719i,-0.00074286+0.00043841i,-0.00030164+0.0002172i,-0.00019997+0.00016143i,6.6886e-05+0.00045764i,-0.00012942+0.00067248i,6.0649e-05+0.00046171i,0.00088327-0.00037035i,0.00056866-0.0013384i,0.00024897-0.0016142i,-0.0001345-0.00084819i
0.00040662+0.00078049i,0.0016634+0.0012313i,0.002064+0.001357i,0.0012033+0.0009136i,-0.00075978-0.00012834i,-0.0016911-0.00031516i,-0.0020688-0.00016543i,-0.0017665-0.00044665i,-0.00053253+3.8508e-05i,-0.00019381+0.00056272i,1.1538e-05-1.3658e-05i,0.00058105-0.00059804i,0.00031898-0.0003612i,0.00038613-6.8157e-05i,0.00081898+0.00033079i,0.00047496+0.00037923i,-0.00022399-0.00048078i,-0.00059426-0.00036547i,-0.00039393-0.00049421i,-0.00021472-0.00070102i,-0.0006398-0.00034014i,0.0001025+0.00021435i,0.00035138+3.6252e-05i
0.00024009-0.00081635i,-0.0006951-0.0011768i,-0.00078159-0.0019758i,-0.0022054-0.001581i,-0.0031142-0.00086239i,-0.002987-0.00053937i,-0.001802+3.6338e-05i,-0.00045876-0.00022173i,-0.00061527-0.00018292i,-0.00055879+0.00018034i,-0.00032005+0.00078834i,-0.00093046+0.00077634i,-0.0012934+0.0001566i,-0.00045536-0.00044116i,0.00014815-0.00074557i,-1.9777e-05+6.5454e-05i,8.9811e-05+0.00075758i,0.00010205+0.00046475i,0.00027997+6.8135e-05i,0.00030106+9.623e-05i,-7.8929e-05-9.8249e-05i,-0.00046116-0.00042664i,-0.00065724-0.00042882i
0.0017397+0.00097433i,0.0018279+0.0012989i,0.0012056+0.0001129i,0.00060102-0.0012416i,-0.00034385-0.0013074i,-0.00071581-0.00027541i,-0.00057406+0.0002384i,-0.00083284+0.00052374i,-0.00026034+0.0004155i,-8.3292e-06+7.1801e-06i,-0.00051105-0.00026345i,-0.00050467-0.0006757i,-0.0006239-0.00091387i,-0.0010605-0.00093457i,-0.00053064-0.00033419i,0.00034728-4.0859e-05i,0.00049667+0.00038117i,0.00026276+0.00052931i,-7.8931e-05+0.00013566i,0.0001791+0.00049307i,0.00026612+0.0010443i,-0.0001371+0.0004713i,-0.00022158+9.4142e-05i
-0.00078554+0.0008532i,-0.00077357+0.00076801i,-0.00093439+0.00018231i,-0.00050219-0.0010342i,-0.00034924-0.0017522i,-0.00078216-0.0014242i,-0.00097241-0.00093775i,-0.00093803-0.00030551i,-0.00075835+0.00044079i,-0.0004881+0.00034053i,-0.00030325+3.6362e-05i,0.00016331+0.00014727i,-5.0936e-05+0.0004093i,-0.00054018+0.00055993i,-0.00021705+0.00021088i,0.00068828+0.0001208i,0.00031056+0.00015004i,0.00015613-0.00052842i,-4.8847e-05-0.00051978i,-0.00078426-0.00024006i,-0.00073459-1.3469e-05i,-0.00049633+0.00013957i,-0.0003194-0.00046118i
-0.0018037+0.0014443i,-0.00027624+0.00037865i,0.00068704+0.00040501i,0.00054906+0.00093824i,-0.00058689+0.0013397i,-0.0012352+0.00030051i,-0.0020113-0.00044597i,-0.0018058-7.0585e-05i,-0.00050512+0.00053748i,0.00026293+0.00042055i,0.00063618-3.3867e-05i,0.00062956+2.9501e-05i,-0.00024483+8.9926e-05i,-0.00078955-9.3803e-05i,-3.0018e-05+0.00024631i,-0.00046541+0.00048659i,-0.0016263+0.00044196i,-0.00083119+7.314e-05i,-0.00012686-0.00016129i,-0.00024777-0.00017809i,-0.00051721+0.00019515i,-0.0006496+0.00036784i,0.00016031-0.00011346i
-0.0010563+0.0013758i,-0.0015205+0.00080119i,-0.0010683+0.0011792i,-0.0012878+0.00065376i,-0.0019048-0.00039849i,-0.0017899-0.00058912i,-0.00084688-0.0001584i,-0.00037365+0.00076616i,-0.00060979+0.00091524i,-0.00043441+0.00030634i,-0.00047278-0.00040663i,-0.00070911-0.0010789i,-0.00028997-0.00078847i,0.0001646-0.00011627i,0.00054937-3.4073e-05i,0.00071146+0.00023496i,0.00014229+0.00044189i,-0.00047197+0.0006698i,-0.000309+0.00058385i,-6.0464e-05+0.00037659i,0.00028806+6.4657e-05i,0.000714-0.00041696i,0.00071743-0.00075322i
0.00068339-0.00069754i,0.0019066-0.0013532i,0.0012828-0.0020172i,-0.00050041-0.0020988i,-0.0010555-0.00061787i,-0.00060327+0.0004899i,-0.0012665-7.8706e-05i,-0.0011896-0.00013332i,4.8298e-05+0.00039245i,0.0002326+0.00025075i,-0.00035711-7.627e-05i,-0.0003906-0.00027377i,-0.00031021+0.00028164i,0.00024153+0.00014985i,0.0011293-0.00035034i,0.00075663-0.00026302i,0.0002136-5.8644e-05i,-4.242e-05-0.00062038i,-0.00042561-0.0012578i,-0.00090559-0.00084829i,-0.0010593-0.00041346i,-0.00047759-6.2588e-05i,-9.5694e-05+9.2654e-05i
-0.00076392+0.0010016i,-0.00067606+0.0017855i,-0.00076579+0.00079961i,-0.00066639+0.00043118i,-0.0010322+0.0013719i,-0.0012457+0.00057734i,-0.0013223-0.00016436i,-0.00073479-6.1461e-06i,5.4878e-05-0.00024019i,-0.00017479-0.0005322i,0.00011634-0.0002763i,0.00078015-0.00049192i,0.00088546+9.0676e-05i,0.00023093+0.00059929i,7.7419e-05+0.00026518i,4.1446e-05-0.00028153i,0.00022237-0.00052837i,0.00073151-0.00027622i,0.0011609+7.9756e-05i,0.0005188+0.00055666i,-0.00050629+0.00053563i,-0.0011008+9.5111e-05i,-0.00061515-0.00020278i
0.00071511-0.0013472i,0.00089726-0.00094619i,6.4486e-05-0.00042268i,-0.00060279+0.00032246i,-0.00094882+0.00049388i,-0.00074903-7.0247e-05i,-0.00027711-4.0117e-05i,-0.0001888+0.0001156i,-0.00039758+6.7491e-05i,-0.00044273-4.4286e-05i,-0.00030974-0.00017718i,-0.00013291-0.00080587i,0.0004387-0.0011526i,-0.00014598-0.00010847i,-0.0010361+3.9992e-06i,-0.00070697-0.00070022i,2.6318e-05-0.0006643i,0.00044403+1.6123e-05i,0.00031326-0.00016901i,8.4319e-05-0.00045182i,-0.00030282-0.0002774i,-0.00069469+0.00022219i,-0.0011984+0.00042341i
-0.00069663+0.00064885i,-0.00072532+0.00075599i,-0.0011555-0.0008989i,-0.0015182-0.0024395i,-0.0021443-0.0024266i,-0.0019367-0.0016023i,-0.0015879-0.00055045i,-0.001611+0.00034914i,-0.00068959+0.00072466i,0.0002715+0.00034098i,0.00027525+0.00051302i,9.8772e-05+0.00011765i,4.2243e-05-0.00050995i,3.652e-05-4.0474e-05i,0.00027985-1.4846e-05i,0.00037196+1.0989e-06i,0.00015478-0.00023811i,-0.00066443-0.00012995i,-0.00081848+0.00024273i,-0.00039597+0.00039202i,0.00026001+0.00030989i,0.0010536+0.00067108i,0.00015313+0.00079257i
-0.00074187-0.0011876i,0.00025795-0.0014959i,0.00031246-0.0011929i,-0.0012609-0.00015352i,-0.0024084+0.00064158i,-0.0020961+0.00079964i,-0.0017411+0.0006885i,-0.0011381+0.00055185i,-0.00060074+0.00070656i,-0.00025206+0.00022299i,-0.00040777+0.00038746i,-0.00076651+0.0011314i,-0.00063461+0.00043396i,-9.4852e-05+4.1857e-05i,-0.00033848+0.00067123i,-0.0014441+0.0013115i,-0.0016414+0.0015729i,-0.0011145+0.00067261i,-0.00072822-0.00010312i,-0.00069717+6.5865e-05i,-0.00049927+0.00055135i,-0.00041914+0.00084602i,-0.00019825+4.773e-05i
0.001694+0.0016772i,0.0016677+0.0020543i,0.0010956+0.0015086i,0.00037555-0.00047085i,-0.00021058-0.0014434i,-0.0006328-0.00076985i,-0.00069538+9.2028e-05i,-0.00042929+2.0099e-05i,-0.00012826-0.0010948i,0.0002061-0.0013011i,4.5634e-05-0.00096673i,-0.00013835-0.00095422i,-0.00072429-0.00049567i,-0.00081537+3.1369e-06i,-0.00021118-0.00046965i,-8.4699e-05-0.00062663i,-0.00066769-0.00042322i,-0.00064132-0.00023344i,-0.00046131-3.9457e-06i,-0.00053153-0.00038721i,-0.00027181-0.00095141i,-0.00056678-0.00083643i,-0.00056607-0.00014908i
9.618e-05-0.0014402i,5.5384e-05-0.0012437i,-0.0010995-0.0011047i,-0.0012403+0.0002259i,-0.00091706+0.00056252i,-0.0012121-0.0002394i,-0.0011025-0.00026908i,-0.0012662+0.00040428i,-0.00089441+6.7257e-05i,0.00018574-0.00039856i,0.00090474-9.6524e-05i,0.00097936+0.00050772i,0.00068088+0.00065375i,0.00064724+9.8227e-05i,-2.1418e-05-0.00014943i,-0.00048664+0.00018865i,0.0001843-0.00086865i,0.0001019-0.0015085i,-0.00021517-0.00098124i,3.6622e-05-0.00063769i,6.4488e-05-0.00015281i,-0.00045195-0.00019678i,-0.00048597-0.00018453i
0.00077575+0.00075872i,0.00046696+0.00081525i,0.0003865+0.00093076i,-0.0010234+0.00082795i,-0.0020997+0.00019219i,-0.0011273-0.00037657i,-8.7464e-05-6.4702e-05i,0.00010097+0.00016073i,-0.00015223-0.00063067i,-3.4532e-05-0.0011827i,-0.00078898-0.001219i,-0.0016166-0.00054631i,-0.0010881+0.00026465i,-0.0010494+7.094e-05i,-0.001017-0.00015719i,-0.00057776-7.8585e-05i,-0.00039064-0.00032204i,-0.00073682-0.0007225i,-0.00070626-0.00040528i,-0.00017426+9.1431e-05i,-0.00022668+0.00044584i,-9.1937e-06+0.00022431i,-8.6863e-05-0.00015788i
-0.00092374-0.00023679i,-0.00071812-0.0011845i,-0.00017972-0.0021497i,-0.0011185-0.0029778i,-0.002034-0.0024326i,-0.0016498-0.0010759i,-0.00039894-0.00022483i,0.00032035+0.00016407i,0.00031249-0.00027235i,7.9265e-05-0.00032499i,-8.2933e-05-0.00052968i,0.00034326-0.00071473i,-0.00014258+3.2243e-05i,-0.00068586+0.00067784i,-0.00061091+0.00054675i,-0.00064518+0.0002389i,-0.00085029-0.00025636i,-0.00074797-0.00079358i,-0.00030847-0.00048411i,0.0002208+2.2914e-05i,0.00012359+0.00022941i,0.00012309-9.4817e-05i,0.00021872-0.00053162i
0.00012536-0.00025816i,0.00023681+0.00029308i,-3.1663e-05+2.7625e-05i,-0.001228+0.00010693i,-0.0011259+0.0001505i,-0.00051634+0.0005968i,-0.00069489+0.00081724i,-0.00090727+5.29e-05i,-0.00041317-0.00031806i,-0.00022651-4.054e-05i,-0.00037918+5.7845e-05i,-0.00044822-0.00064092i,-0.00055974-0.00058723i,-0.00074765-7.7044e-05i,-0.00047742+0.00048852i,-0.00031466+0.00043708i,-0.0002068+9.2136e-05i,-0.00012238-0.00023412i,0.00016385-0.0004896i,0.00038331-0.0008275i,-5.9626e-05-0.00015193i,-0.00050006+0.00069288i,-5.9264e-05+0.0011621i
-0.00043527-0.0012906i,-0.0016748-0.0011003i,-0.0017204-0.0003913i,-0.00085227+0.00098229i,-7.1291e-06+0.0016125i,-4.222e-05+0.0011403i,-0.00034227-0.000144i,-0.00038991-0.00056594i,-0.00067214-0.0010143i,-0.00017113-0.00050059i,0.00035187-0.00024006i,-1.8365e-05-0.00020581i,4.2958e-05+0.00028822i,0.0011692+0.0010655i,0.00087067+0.00081535i,0.00039262+4.4693e-05i,0.00084253-1.8761e-06i,0.0007437+0.00033648i,0.00073198-3.0053e-05i,0.00043619-1.4068e-05i,0.00036686+0.00055335i,0.0007241+0.00035751i,-4.8566e-05+0.00070273i
0.00088597+0.00021691i,0.00065694-0.0010342i,0.00030822-0.0018415i,-0.00046902-0.001142i,-0.00052613-0.00026957i,-0.0005759-4.3163e-05i,-0.0008245-0.00061587i,-0.00064973-0.00028248i,-0.00034359-0.00054104i,-1.4946e-06-0.0010549i,-0.0001177-0.00056448i,-0.00020225+0.00071762i,-0.0004127+0.000252i,0.00022354-0.0012163i,-2.7549e-05-0.00068659i,-0.00038708-7.857e-05i,0.00010404-0.00028278i,0.00013245+0.00015178i,-0.00043898+0.00041344i,4.2283e-05+0.00037553i,0.00099159+0.00025662i,0.00052427-0.00011653i,0.00018229-0.00074796i
-0.00082997-0.00038266i,-0.0006426+0.00018792i,-0.00037032+0.00029004i,9.3238e-05-0.00076506i,-0.00079863-0.00088046i,-0.0024594-0.0010805i,-0.0024822-0.00099165i,-0.00082576-0.00055237i,0.00036347+7.46e-05i,0.00065558+0.00037212i,0.00013014+0.00060976i,-0.0003408+0.00059846i,-0.00016792+0.00088099i,0.00039594+0.0003284i,0.00048455-0.00062787i,0.00053732-0.00033008i,0.00060334+0.00062904i,0.00036167+0.00069871i,0.00031598-0.00010764i,0.00036948+0.00034415i,-3.1241e-05+0.0011048i,-0.0001181+0.00067899i,-0.00052359+0.00042962i
-0.00068506-0.00067312i,-0.00012803+1.1909e-05i,0.00023696+0.00040895i,3.2764e-05+0.00054434i,-0.00043192+0.00015564i,-0.00026496-0.00060935i,-0.00030165-0.00077965i,-0.00019733-0.0001012i,0.00031025-0.00024956i,1.3892e-05-0.00091178i,-0.0001169-0.00060854i,0.00053406-0.000284i,0.00049412-0.00021615i,-2.3701e-05-0.00053784i,-5.6064e-05-0.00022627i,5.2745e-05+0.00028522i,-0.00070644-0.00014326i,-0.00051021-0.00048037i,0.00056182+0.00017123i,0.00039134+0.0012595i,0.0001757+0.0010727i,0.00017314+8.2958e-05i,-2.8953e-05-0.00069644i
-0.0013377+0.00095095i,-0.0020953+0.00091342i,-0.00177+0.0018991i,-0.00049353+0.0028825i,0.00016569+0.0021686i,-0.00035056+0.0015398i,-0.00069352+0.0013968i,-0.00050755+0.0011127i,-0.00011236+0.00070237i,-8.962e-05-0.0004803i,-3.4255e-05-0.00085944i,0.000648-0.00070575i,0.00038807-0.00060373i,-0.00080117-0.00049932i,-0.00067603-0.00062067i,-0.00068652-0.00046923i,-0.0010157+0.0001697i,-0.00085627+0.0007713i,-0.00066449+0.00053037i,-0.00010136+7.3963e-05i,0.00029033-0.00041854i,0.00030336-0.00066622i,9.5594e-05-0.00094806i
0.00011916-4.2429e-05i,-0.00025562-0.0015066i,1.8147e-05-0.0021849i,6.5059e-05-0.0010244i,-0.00020297-0.00086638i,-0.00044698-0.0012708i,-0.0017543-0.00069548i,-0.0020928-0.0001011i,-0.0018335+0.00055657i,-0.0015566+0.00082726i,-0.00084631+0.00099975i,-2.7303e-05+0.0007421i,0.00047563+0.00058648i,0.00027403+0.00010117i,-2.3777e-05-0.00043626i,3.1753e-05+1.4625e-05i,-0.00047861+0.00012739i,-0.00058886-0.00058655i,8.6438e-05-0.00057785i,0.00027343+0.00052974i,0.00061202+0.001218i,0.0002992+0.00074066i,-0.00017035+0.00050874i
-0.00043963+0.0012977i,-0.0006439+0.00093693i,-0.00028573+0.00037915i,-0.00073554-0.00036948i,-0.0019549-0.0005095i,-0.0018065-0.00061709i,-0.0014343-0.00047993i,-0.00068596-0.00055203i,-0.00061488-6.5379e-05i,-0.00061902+5.8881e-05i,-0.00020307+3.7226e-05i,-0.00055572-7.6603e-05i,-0.00010524-0.00067117i,9.0431e-05-0.0001589i,-0.00024082-2.3021e-05i,1.4221e-05-0.00049636i,0.00030869-0.00064203i,-0.00018368-0.00067787i,-0.00042722-0.00020889i,-8.53e-06-0.00024559i,0.00023443-0.00028573i,1.0382e-05+4.5341e-05i,-0.00034836+0.00018173i
0.00030573+0.00051072i,0.00085592+0.0002103i,0.00050414-0.00056839i,-0.00019028-0.00065095i,-0.0013997-0.00063492i,-0.0021099-1.3208e-05i,-0.001975+6.3415e-05i,-0.0012425-0.0007871i,-0.00068146-0.00069281i,-0.00041539-0.00032441i,-0.00049882+0.00044851i,-0.00046995+0.00046794i,-0.00030538+0.00019631i,-0.00050134+0.00037563i,-0.0006084-0.00015653i,-0.0002304-0.00053081i,9.463e-05+6.7407e-05i,0.00039801-9.9155e-05i,0.00018377-0.00096623i,-0.00014433-0.00067133i,-0.00058239+0.00045712i,-0.00095021+0.00062453i,-0.0005276+9.0963e-05i
-0.00091591+0.00041696i,-0.0017903+0.0012047i,-0.00183+0.0012951i,-0.00090662+0.00097768i,-0.00088884+0.00097757i,-0.0014033+0.0010687i,-0.001306+0.00070631i,-0.00040803+0.00051616i,0.00037735+0.00081187i,0.00067122+0.00076427i,0.00050207+0.00068978i,0.00048975+0.00016334i,0.00055872-0.00042137i,0.00080251-0.00052805i,0.00015308+0.00011173i,-0.00057228+0.0006346i,6.6853e-05+0.00063356i,0.00082332+7.4502e-05i,0.0011582-0.00036994i,0.00056761+0.0004517i,0.00013418+0.0007965i,0.00076198+0.00050928i,0.00063255+0.00021715i
0.00012505+0.0012146i,0.00020911+0.00024378i,-0.00029269-0.00034835i,-0.0006054-0.0012515i,-0.00059-0.0010312i,-0.0014236-0.00077623i,-0.002149-0.0012544i,-0.0018742-0.00077927i,-0.00082772+0.00018876i,0.001037+0.00044938i,0.0010952+0.00025014i,-5.015e-05-0.00048998i,-0.00031906-0.00065745i,-0.00039177-9.8163e-06i,0.00011034+5.0061e-05i,0.00087495-0.0001501i,0.00061309+0.00013974i,-0.00025798-0.00033779i,-0.00056625-0.00082706i,-0.00058245-7.8245e-05i,-0.00037058+5.2631e-05i,7.3652e-05-0.0002525i,-0.00030521-0.00068019i
-0.00034411+0.00034006i,-0.00018691+0.00049483i,0.00050839-0.0011183i,-0.00013894-0.0026142i,-0.0010856-0.0020475i,-0.00081965-0.00089059i,-0.00015216-0.00049343i,0.00028756-0.00051883i,0.0001829-0.00051514i,-0.00035893-0.0002188i,-0.00014811+0.00029051i,-0.00051747-0.00010267i,-0.0010228-0.00021342i,-0.00013047-0.00044638i,0.00031143-0.0010717i,0.00073769-0.001139i,0.00094776-0.00050116i,0.00018131+0.00036901i,0.0003016+0.00052541i,0.0005398+0.00029556i,0.00012945+0.00012955i,-0.00047132+0.00011132i,-0.00052156+0.00017622i
0.0022231-0.0029275i,0.0034224-0.0022834i,0.0034525-0.0022972i,0.00084147-0.0018351i,-0.0024835-0.00084212i,-0.0023827+0.00032696i,-0.0010707+0.00050524i,-0.00052232-0.00065867i,-0.00029144-0.001139i,-0.0002766-0.001121i,-0.0002777-0.00076791i,0.0001253+1.72e-05i,0.00034074+0.00087153i,-0.00041229+0.00094253i,-0.00063102+0.00062757i,-0.00016202+0.00071618i,0.00039439+0.00060796i,0.00069999+1.725e-05i,0.00058013-0.00015519i,5.4732e-05+0.00046896i,-0.00059514+0.00014424i,-0.00060209-0.00028868i,-0.00050126+0.00025649i
0.0010707+0.0008949i,-0.00028908+0.00098304i,0.00015505+0.00036945i,0.00021115-0.0004377i,-0.00063804-0.0012649i,-0.0011796-0.0010612i,-0.00058656-0.00024936i,-8.7664e-05+5.6024e-05i,0.00020653-0.00038246i,0.00042466-0.0001232i,0.00032413-0.00014211i,-0.00028009-0.0001165i,-0.00065278+0.00036263i,-0.00022696+5.2016e-05i,0.00010071-0.00030717i,0.00039799-0.00036334i,-0.00032499-0.00013591i,-0.0010969+0.00030607i,0.00019224-9.919e-06i,0.00057675+0.00018468i,0.00012183+0.00050714i,0.00017788-3.7422e-06i,0.00022775-0.00016854i
9.9952e-05+0.00052111i,0.0008191-0.00042215i,-2.9619e-05+0.00021948i,-0.0013867+0.00088531i,-0.0016505+0.00063222i,-0.0017501+0.00044603i,-0.0016237+0.00017501i,-0.00058793-0.00028232i,0.00048076-0.00057051i,0.0010372-0.0010403i,0.00060967-0.0011033i,-0.0012478-0.0013743i,-0.0017008-0.00067371i,-0.00062309+0.00029298i,-0.00043785+1.615e-06i,-0.00080322-0.00024573i,-0.00062386-0.00021486i,-0.00084768-0.00010581i,-0.00032733+4.9285e-05i,4.3846e-05+0.00045333i,-0.00078486-2.0495e-05i,-0.00047306-0.00043177i,0.00027778-0.00023495i
-0.0011122+0.0011487i,0.00058096+0.0020996i,0.00084863+0.0012576i,-1.5021e-05-0.00076437i,0.00015628-0.00015244i,-0.00038762+0.00079331i,-0.0011755+0.00019752i,-0.0011485+0.00044832i,-0.0010033+0.00088098i,-0.00026804+0.00044888i,0.00028446+9.5341e-05i,-0.00012657-0.00051228i,0.00015583-0.00099271i,0.00031979-0.0011191i,0.00015594-0.00061814i,-0.00012766-5.6473e-06i,0.00011448-0.00026669i,0.00067833-0.00049417i,0.00052414+0.00022523i,0.00019962+0.00043172i,6.0217e-05+0.00030379i,-0.00017613+0.00041517i,0.00011031+0.00052285i
-0.00024099+0.0027092i,0.0016011-0.00044632i,0.0025106-0.0017883i,0.0020075-0.0036488i,0.0018629-0.0047503i,0.0010851-0.0031679i,-0.00077462-0.0013703i,-0.00098198-0.00039294i,-0.00034481+0.001194i,-8.7497e-05+0.001687i,-0.00014234+0.00073445i,0.00014893-0.00036513i,0.0011162-0.00066549i,0.0014209-0.00013104i,0.00042175-0.00042776i,-0.00042979-0.0005042i,0.00020087+0.00051198i,0.00022827+0.00052332i,-0.00068057+0.00029721i,-0.0008191+0.00065919i,-0.00069916+1.8131e-05i,-2.3069e-05-0.00072934i,-0.00013031-0.0004745i
-0.00054965+0.00046089i,2.6936e-05+0.0022049i,-0.00013519+0.003609i,-0.00053358+0.0028859i,-0.00099078+0.0012863i,-0.0014742+9.964e-05i,-0.00092008-0.0006392i,-0.0006128-9.1926e-05i,-0.00065968+2.1784e-05i,-0.00056926-3.7604e-05i,-0.00050181+0.00036971i,-0.00057188+0.00023501i,-0.00071586-0.0008307i,-0.00025438-0.001128i,0.00028547-0.00024687i,0.00056488+0.00079318i,-7.5849e-05+0.00071347i,-0.0012335-0.00045497i,-0.0011152-0.0011152i,-0.00039503-0.00053946i,-0.00028255-0.00028729i,0.00049237+0.00012091i,0.00035974+0.00033925i
-0.00021011-0.0013942i,-0.0017898-0.0022766i,-0.0017037-0.0021122i,-0.001485-0.0010049i,-0.0019088-0.00089785i,-0.0027521-0.00041943i,-0.0024142+0.00033359i,-0.00094956+0.00051222i,-0.00057369+0.0004005i,-0.00093489-0.00012335i,-0.0010519-0.00021392i,-0.0012255-0.00022951i,-0.0014341-0.00068063i,-0.00060956-0.00067136i,-0.00053389-0.0005304i,-0.00091028-0.00076441i,-0.0009822-0.00029425i,-0.00056324+0.00060806i,-0.00034152+0.00066187i,-0.0012314+0.00050675i,-0.0010863-0.00010864i,-0.00011286-0.00067412i,0.00057203-1.1956e-05i
0.0019638+0.0019232i,0.0028288+0.00094875i,0.0028849-0.00057655i,0.0013356-0.0019205i,-0.00071704-0.0020126i,-0.0016573-0.001569i,-0.0019431-0.00063964i,-0.0018329-8.5792e-05i,-0.00059797+0.00034244i,0.00099642+0.00083626i,0.00046082+0.000676i,-0.00089693+0.00017661i,-0.0010785+6.3401e-05i,-0.00098123-6.6794e-05i,-0.00062807-0.00025899i,1.6931e-05-0.00026928i,-0.00036808-0.00069429i,-0.00040379-0.00072971i,-0.00042256-0.00025401i,-0.0009096-0.00026736i,-0.00089025-0.00032639i,-0.00038714-0.00037424i,3.5955e-05-0.00015215i
-0.00010087+0.00051195i,0.00040851-0.00098458i,0.00049928-0.00056675i,0.0014742-0.0014854i,0.001869-0.002762i,9.0155e-05-0.0019019i,-0.00063872-0.00073368i,0.00012499-0.00029691i,0.00067063-0.00025346i,0.00062249-0.00011682i,-7.6345e-06+0.00066616i,-0.00019425+0.0010657i,-0.00021703+0.00054745i,-0.00034768-0.00029296i,-5.9559e-05-0.00093082i,0.0003247-0.00057817i,-4.7567e-06+0.0002899i,-0.00030797+0.00032395i,-0.00034503-0.00016583i,-0.00046144+0.00034832i,-0.00068991+0.00059367i,-0.00074011-4.8227e-06i,-0.00064315-0.00091763i
0.0015322+0.0013348i,0.0017809+0.0012761i,0.0016206+0.0009893i,0.00060956+0.00089403i,-0.00045482+0.00086724i,-0.0017765+0.00053305i,-0.0018126+0.0010867i,-0.00081758+0.0012054i,-0.00026225+0.00039491i,-4.195e-07-2.6749e-05i,8.5758e-05-0.00029303i,-0.00037622-0.00037665i,-0.00061478-0.00069879i,0.00031314-0.00067213i,0.00084275-3.1806e-05i,1.8057e-05+0.00011561i,-0.00021686+0.00064299i,-4.4102e-05+0.00053024i,-0.00027859-0.00042662i,-0.0012108+2.1062e-05i,-0.0015064+0.00041851i,-0.00042583+0.00042612i,0.00029705+0.00021924i
0.0030963+0.00032838i,0.0008952-0.00078206i,-0.00098871-0.0026354i,-0.0029972-0.0031215i,-0.0039663-0.002348i,-0.0026322-0.00087854i,-0.00090591-0.00025184i,-0.00011222-0.00040663i,0.00017377-0.00074135i,1.678e-05-0.0010626i,-0.00045911-0.00072683i,-0.0011007-5.0878e-05i,-0.0014978-0.00027908i,-0.0010765-0.00079853i,-0.00046537-0.00075332i,0.00051366-0.00049699i,7.3737e-05-5.4767e-05i,-0.0010335+0.00044856i,-0.00077803+0.00021302i,-0.00017708+4.882e-06i,-0.00068794-0.00055573i,-0.0012822-0.00098027i,-0.001118-0.00074211i
-0.0021678+0.00086699i,-0.0028862+0.00025739i,-0.0020448-0.00045943i,-0.00078424-0.0013124i,-0.0010865-0.0014863i,-0.0021438-0.00085987i,-0.0023404-0.00025584i,-0.0016035+6.3383e-05i,-0.00055922+0.0007804i,0.00026052+0.00080547i,0.00026548-7.4066e-05i,-0.00042577-0.00015411i,-0.00048046-0.00074958i,-0.00015832-0.0012556i,-0.00021891-0.00063306i,-0.00058162+0.00017312i,-0.00056367+0.00063735i,0.00015307+0.0005289i,0.0012527+0.00057269i,0.001555+0.0010095i,0.00092672+0.00070251i,0.00013233-0.00015048i,-0.0004006-0.0005534i
0.00078423-0.00056541i,0.00094623-0.00096322i,0.001262-0.0012874i,0.00076716-0.0017751i,-0.00020036-0.0019744i,-0.00048229-0.0010638i,-0.00033578-0.00049339i,-0.00027051-0.0013381i,0.00030226-0.0017299i,0.00041426-0.0014607i,7.6654e-05-0.0011093i,-0.00028948-0.00090837i,-0.00029595-0.00080763i,-0.00046618+0.00019623i,-0.00024079+0.00036101i,0.0003334-0.00022069i,0.00040011-9.3701e-05i,6.3343e-05-6.5822e-05i,-0.00025081+0.00063592i,0.00011985+0.00083403i,-0.00035383-0.0001732i,-0.00069719-0.00074381i,-0.00019206-0.00089362i
0.0017302+0.0023918i,0.0016913+0.0024047i,0.0019237+0.0012905i,0.0011049+0.00098566i,6.0309e-05+0.00087655i,-0.0010484+8.5853e-06i,-0.00064448+0.00016085i,0.00032963+0.00038144i,-8.1236e-05-4.2244e-05i,-0.0012649+5.4449e-05i,-0.0010598-0.00014713i,2.8637e-05-0.00019709i,7.716e-05-0.00023582i,-0.00040992-0.00037179i,-8.0923e-05-0.00042693i,8.5966e-05-0.00058115i,-8.9824e-05-0.00015142i,-0.00011351+0.00064232i,-1.2874e-05+0.00091613i,-0.00022898+0.00075968i,-0.00042441+0.00043556i,-0.00018352-3.1197e-05i,-3.6452e-05+0.00030814i
-0.001763+0.002254i,-0.0022976+0.0018859i,-0.0013417+0.0014049i,-3.1622e-05+8.952e-05i,0.00022671-0.00086865i,-0.00067078+4.3957e-05i,-0.0014765+0.0011066i,-0.00072561+0.00097808i,-0.00036322+0.00055944i,-0.00032542-0.00031501i,1.647e-05-0.0009725i,8.3387e-05-0.00099741i,-0.00066903-0.0011402i,-0.00054816-0.0013216i,0.00014891-0.0010339i,0.00062602-0.00041536i,0.0011789+9.2635e-05i,0.0012086+0.00028046i,0.0010107+0.0001361i,0.00085648+0.00049815i,0.00024706+0.00053437i,-5.7064e-05+0.00034748i,-0.00021985+0.00013959i
