-0.00028027-0.0012065i,-0.00013239-0.00056151i,-0.0006459-6.8485e-05i,-0.0010057-0.00075297i,-0.0011808-0.00074584i,-0.0013993+0.00046778i,-0.00035858+0.0020015i,0.00097311+0.0020065i,0.0011911-8.8427e-05i,0.00068922-0.001203i,0.00065435-0.0006781i,0.0006662-0.00018845i,0.00035289-0.00037327i,-0.00010865-0.00024424i,-0.00039935-0.00039213i,-0.00043552-0.00052266i,-4.6169e-05-2.8682e-05i,-5.1829e-07-0.00032724i,0.00011154+9.5183e-05i,0.0002261+0.00071541i,-7.2484e-05-0.00048272i,-4.9464e-06-0.0011263i,0.00058545-0.0003292i
-0.00032648-0.00035524i,-0.00045221+0.00021134i,-0.00097425+0.00058833i,-0.00097531+0.00053888i,-0.00048733+0.00057674i,-0.00032944+0.0011406i,0.00026004+0.0011725i,0.001041+0.00049317i,0.0007309+0.00023378i,0.00015149-0.00015216i,0.00043846-0.0006167i,-0.00033855-0.00035902i,-0.0010175+0.0004926i,-0.00032722+0.00046216i,0.00063105+0.00014806i,0.00044849-5.5604e-05i,-0.00013111-0.00033084i,0.00023138-0.00041736i,0.00067693-0.00040047i,0.0011533-0.0006965i,0.00083695-0.00050835i,4.8057e-05-0.00026115i,-0.00041498-0.00055107i
-0.00058789+0.00046508i,-0.0012885+0.000795i,-0.0015807+0.00010703i,-0.0011046-0.00014439i,-0.00057441+9.7445e-05i,-0.0014472+0.00057981i,-0.0024014+0.00046321i,-0.0011104+2.3246e-05i,0.00031402-1.1283e-05i,0.00086942+5.7355e-05i,0.00066079-0.00019251i,-1.2558e-06-0.00040909i,-0.00010986+1.1073e-05i,-0.00035587+0.00032943i,-0.00040723+2.4695e-05i,-0.00028447-0.0005767i,-0.00061548-0.00032256i,-0.00023294-0.00056096i,2.7172e-05-0.00031475i,-0.0002559+0.001151i,-7.8598e-05+0.0013341i,-9.499e-05+0.00059578i,3.8221e-06-0.00018421i
0.00083465+0.00049602i,0.00088071+0.00010263i,0.0021589+0.00074792i,0.0018426+0.00099657i,0.00094384+0.0003428i,-0.00016186-0.00015623i,-0.00088887-0.0010912i,-8.9163e-05-0.0010116i,-2.1846e-05-8.8048e-05i,0.00024562+0.00026085i,0.001184+9.1819e-05i,0.001274-6.3395e-05i,0.00065669-0.00011164i,0.00022265-0.00014769i,0.00044595-8.1614e-05i,0.00038794+0.00038333i,-0.00036867+0.00048503i,-0.00085335-0.00025795i,-0.00048889-0.00041571i,0.00032797-0.00012661i,0.00037937+0.00011185i,-0.00072792+0.00079983i,-0.00064458+0.00029526i
0.00025834-0.00019788i,-0.00089047-0.00044589i,-0.00074344-0.00043766i,-0.00077092-0.00033708i,-0.002659-0.00036903i,-0.0030249-9.1721e-05i,-0.0011863+0.00019268i,-0.00018646+0.00028133i,3.4746e-05+0.0015708i,3.3279e-05+0.0021486i,-1.281e-06+0.00096863i,0.00050804-5.3938e-05i,0.00033454-0.00026087i,4.8994e-05+0.00014101i,-0.00035641+0.00066409i,-0.0011469+0.001038i,-0.00049149+0.00069059i,0.00084188+0.00031127i,0.0012449-1.304e-05i,0.0011498-7.7366e-05i,0.00053947-0.00046845i,2.0068e-05-0.0010867i,-0.00030224-0.0013773i
-0.00027711+0.0017543i,-9.9231e-06+0.0025336i,0.00061385+0.002586i,0.00047582+0.0010158i,0.00050211-0.0004061i,0.00063423-0.0012463i,0.00057475-0.0011875i,0.00024618-0.00057218i,3.1255e-05+2.7626e-05i,0.00037761+1.8226e-05i,0.00045233-0.00053013i,0.00041913-0.00031661i,0.00016133-0.00066347i,-0.00022262-0.00097027i,1.4259e-05-0.00049116i,0.00036357-0.00049007i,0.00062488+0.00019834i,0.0003036+0.00083941i,-0.00053644+0.00082488i,-0.00082364+0.0010088i,-0.00016136+0.00078457i,-0.00063343+8.7495e-05i,-0.0012534-7.3064e-05i
0.00069774+0.0016869i,0.00088697+0.0015902i,0.00085892+0.0012323i,0.00048458+0.00046149i,-0.0011852-0.00078422i,-0.0019512-0.0012442i,-0.0014826-0.00088157i,-8.5186e-05-0.00040763i,0.00070189-0.00032901i,0.00032816-0.00054142i,0.00071282-0.00040649i,0.00095303-0.00041189i,-1.7672e-05-0.00056971i,-0.00063804+3.277e-05i,-0.00074288+0.00057384i,-0.00043537+0.00033685i,-0.00042966+0.00013245i,-0.00016605-1.1246e-05i,0.00066368-8.693e-05i,0.00097336-0.00031277i,0.00034083-1.933e-07i,-0.00064316+0.00014036i,-0.00083972-0.00061468i
6.9996e-05-0.00069533i,0.0011907-0.0002179i,0.0014488-0.00059787i,0.00071898-0.00069061i,-0.0003153-0.00086519i,-0.00092064-0.00070991i,-0.0011775-1.9463e-05i,-0.00030123-0.00030489i,1.6263e-06-0.00089746i,-0.00025782-0.00070431i,0.00036525+7.9327e-05i,-0.00027015+0.00038494i,-0.00095588-0.00062771i,-0.00072199-6.1138e-05i,-0.0009387+0.00079975i,-0.00081469+0.00016668i,-0.0004133-0.000615i,-0.00024468-0.00084728i,-0.00023048-0.00065221i,-0.00037218+8.4098e-05i,0.00024904+0.00032474i,8.2249e-05+0.00028397i,-0.00074039+0.00026289i
-0.0031224+0.00081145i,-0.0032808+0.0027016i,-0.0023616+0.003722i,-0.00040087+0.0018253i,0.00041456+0.00010799i,-0.00037951-0.00023145i,-0.00020506-0.0011865i,0.00031745-0.0015992i,-0.00028198-0.0010306i,-0.00049933-0.00017199i,2.9616e-07+0.0002462i,0.00090947+3.0041e-05i,0.00065241-0.00027763i,-0.00060716-0.00092051i,-0.0003464-0.00075197i,0.00025384-0.00061247i,0.00029808-0.00038726i,0.00045422+5.6524e-05i,-0.00058278-0.00026087i,-0.0014127-0.00061757i,-0.0010105-0.0004922i,-0.0002602-0.00041893i,0.00034358-0.00034375i
-0.00019017+0.00054553i,0.00087271-0.00037344i,0.0010253-0.00039723i,0.00051983+0.00037103i,-0.0001742+0.00020038i,-0.00064398-0.00052779i,-0.0005362-0.00019708i,0.00011067+0.00041397i,5.5376e-05+0.0004979i,-0.0003351+0.00038368i,-9.0128e-05+2.4056e-05i,0.00021009+0.00015979i,-7.1188e-06+0.00037614i,0.00016786-0.00056307i,0.00057255-0.0013546i,0.00035202-0.0010858i,-0.00049144-0.00048269i,-0.0014227-0.00049136i,-0.00090621-0.00082389i,-0.00030233-0.0007541i,-2.5335e-05-0.00034283i,0.00018169+0.00012368i,0.00014891+0.00098837i
-0.0015926+0.0013758i,-0.002289+0.0016698i,-0.0016444+0.0010949i,-0.00052197+0.00073915i,-0.00027699+0.00097338i,-0.00064743+0.00082507i,-0.0012745+0.000351i,-0.00080536-0.00055768i,-0.00017801-0.00025368i,-0.00019369+0.0002365i,0.00011634-0.00061631i,-0.00048973-0.001004i,-0.00097404-0.00092566i,0.0002577-0.00042562i,0.0011147+0.00056533i,0.000736+8.8935e-07i,0.0010571-0.00066675i,0.00057932-1.104e-05i,-0.00013257+0.00011268i,1.3915e-05-0.00040985i,0.00018476-0.00045992i,-0.00027915+0.00011922i,-0.00081932+0.00053556i
-9.187e-05+0.0011094i,5.9635e-05+0.0013789i,-0.00048884+0.00064125i,-0.00083015+0.00026245i,-0.0010528+0.00019126i,-0.00055483-0.00024775i,-0.00015931-0.00026364i,3.1217e-05-0.00084251i,0.00024244-0.0009949i,5.5278e-05-5.2391e-05i,-0.00021238+0.00015702i,-0.00035732+0.00016312i,-0.00027436+5.2293e-05i,0.00041942-0.00044637i,0.0010447-0.00040022i,0.00075081-0.00065842i,-3.4191e-05-0.00069252i,-0.00092455+0.00039953i,-0.00089918+0.00079945i,-0.00051357+0.00036154i,0.00040995+0.00038281i,0.0005808+0.00035962i,0.00034094+0.00041184i
-0.0013237-0.0012902i,-0.0010088-3.6507e-05i,-0.0010927+0.0013161i,-0.0010652+0.0015623i,-0.00069775+0.0017284i,-0.00054398+0.0018132i,0.00029171+0.00089811i,0.00043931+0.00035046i,0.00038448+6.1663e-06i,0.0013284-0.00031267i,0.00158-2.4295e-05i,0.00086584+7.7374e-05i,0.00087475+0.00024287i,0.0010804+0.00086836i,0.00067617+0.00095191i,0.00069789+0.000393i,0.00041648-0.00052921i,-3.4471e-05-0.00093552i,0.00044103-0.00075274i,0.00036618-0.00056234i,-0.00027539-0.00043658i,1.0862e-06+0.00051096i,0.00070556+0.001195i
-0.0015538-0.0015093i,-0.0011672-0.00055852i,-0.0014206+0.00076558i,-0.00063813+0.00076192i,7.2197e-06+0.00035809i,-9.76e-05+0.00043501i,-0.0005838+0.00074094i,-0.00097117-1.0625e-05i,-0.0002584+0.00023025i,0.00019526+0.00082818i,0.00045359+0.0011435i,0.00046665+0.00086763i,0.00042126-0.00040992i,0.00096169-0.0010436i,0.0013998-0.0011631i,0.0012418-0.0015186i,-3.183e-05-0.0011262i,-0.00040854-0.00069201i,0.0003673-0.00053045i,5.0878e-05-0.00013341i,-0.00066745-0.00050039i,-0.00070988-0.00056832i,-0.00091667-0.00062338i
-0.00057261-0.00046324i,-0.0010382-0.00016413i,-0.0014717+0.00037736i,-0.0010213-0.00032107i,-0.0013128-0.00078521i,-0.0025914+9.0449e-05i,-0.0022642+0.00049535i,-0.0013153+0.00023273i,-0.0011489+8.8605e-05i,-0.00074013-0.00013783i,-0.00031019-0.00086722i,-0.00043798-0.00087145i,-0.00045824-0.00060739i,-0.00026421-0.0005629i,0.00021985-0.00050702i,0.00035931-0.00035651i,0.00044225-0.00045304i,0.00049992-0.00030583i,0.00024583+0.00029622i,0.00014673+0.0005023i,0.00031634+0.0011246i,0.0002303+0.0012351i,0.00042192+0.00057412i
5.2041e-05-0.0017613i,0.00058685-0.00087741i,-0.00060165+7.5389e-05i,-0.0017752-0.0002868i,-0.0013182+0.00025211i,-0.00046744+0.00047805i,0.00016303+0.00037795i,-0.00015053-1.775e-05i,-0.00052747-0.00062095i,-0.0001534-0.00052645i,0.00011891+0.00023658i,-0.0003138+0.00074348i,0.0001396+0.0002789i,0.00052855+1.7729e-05i,0.00036298+0.00043197i,0.00042176+0.00066484i,0.00047022+0.00067348i,0.00016438-7.6678e-05i,3.7029e-05-0.00036633i,-0.00052758+0.00028558i,-0.00067925+0.0011166i,-0.00059461+0.0011179i,-0.00086285+0.00071813i
0.00011951+0.0019896i,-0.00096034+0.00094086i,-0.00096976-0.00060118i,-0.00063957-0.0011595i,-0.0011268-0.0010705i,-0.0017464-0.00027553i,-0.0018501+0.00053893i,-0.0002716+0.00030974i,0.0007869+0.00018497i,0.0011086+0.00035084i,0.0013168-0.00033129i,0.00063942-5.1685e-05i,0.00015905+0.00061127i,0.00034131-0.00021404i,0.00034474-0.00035179i,6.8789e-05-6.1304e-05i,-0.00032625+0.00024546i,0.00026493+0.001039i,0.00061624+0.0017464i,0.00036855+0.0013284i,0.00018462+0.00054767i,-6.1319e-05+0.00052563i,-0.00031649+0.00058571i
-0.0015678+0.00015654i,-0.00077195+0.0020526i,0.00020747+0.0020682i,0.00061674+0.0011897i,-5.2789e-05+0.00032897i,-0.00096226-0.00048371i,-0.0013273-0.0010119i,-0.00033906-0.0016061i,0.00047046-0.0011573i,0.00010616-0.00054313i,0.00046809-0.00064061i,0.0010496-0.00051354i,0.00032275+2.8675e-05i,-0.00044091-7.5167e-05i,-0.00047166-0.00079762i,-1.7257e-05-0.001382i,0.00016911-0.00074865i,8.4893e-05-0.00018287i,-2.2935e-05-0.00093606i,-0.00026554-0.00118i,-0.00079692-0.00035715i,-0.0006701-3.0071e-05i,-0.0001851+0.00034064i
-0.0013651+0.00062359i,0.00030044+0.001418i,0.0015198+0.0020419i,0.0013411+0.00074296i,0.00033185-0.00052656i,-0.00063358-0.00027319i,-0.00059935+0.00051904i,-0.00068265+0.0002089i,-0.00044948-0.00012261i,0.00023254+0.00044529i,0.00024511+7.0957e-05i,-0.0004149-0.00054495i,-0.00067909-0.00057646i,-7.8872e-05-0.00039448i,9.231e-06-0.00086752i,-7.2567e-05-0.00075344i,0.0002867-0.00028981i,7.4123e-05-0.0009111i,-0.0007906-0.001061i,-0.00081021+5.2802e-06i,0.00027686+0.00021647i,0.00020314+0.00044786i,6.5023e-06+0.00036866i
5.0992e-05-0.00019027i,-0.0003753-0.00086311i,-0.00079771-0.001248i,-8.4214e-05-0.0003994i,0.00023219+0.00055152i,-0.00086282+0.00016149i,-0.00072802-0.00030791i,0.00030271-0.00028672i,-0.00031553-0.0001759i,-0.00041303-6.3565e-05i,0.00012076+0.00013094i,0.000512+8.1633e-05i,0.00059035-0.000328i,0.00081963-0.00079587i,0.0011871-0.00036466i,0.00063019+0.00046444i,1.2137e-05+5.9895e-05i,0.00051275-0.00047486i,0.00054756+3.9584e-05i,0.00041886-0.00022244i,0.00060793-0.00087966i,0.00054065-0.00092513i,0.00029934-0.00069054i
-0.0014079+0.0010134i,-0.0010992+0.0016674i,-0.00093448+0.0014886i,-0.00054743+3.9908e-05i,-0.00060511-0.0011156i,-0.0013313-0.00070699i,-0.00059978+5.0738e-05i,-4.7668e-05+0.00013293i,0.00011258+5.482e-05i,0.00038479+0.00084896i,-0.00013285+0.0011218i,7.2265e-05-0.00022084i,0.00085243-0.0014081i,0.0008614-0.0015804i,0.00086787-0.00088608i,5.6738e-05-0.00036597i,-0.00073017-0.00028196i,-0.00069826-0.00021772i,-0.0010396-0.00039068i,-0.00094925-0.00061343i,0.00021144-8.7116e-05i,0.00029138+0.00056214i,-7.5384e-05+0.00041789i
0.0010969-0.00083914i,-0.00021504-0.0026543i,-0.0016164-0.0021814i,-0.0015447-4.7732e-05i,-0.0013103+0.001093i,-0.0021572+0.0010271i,-0.0021301+0.0010463i,-0.00034887+0.00057566i,0.00041073+0.0001493i,0.00048402-5.8787e-05i,0.0010368-0.00033554i,0.0010652-0.00014358i,0.00061417+0.00042675i,-3.3264e-05+0.00020467i,-0.00011556+0.00016595i,-0.00021885+0.00076141i,-0.0003263+0.0010154i,0.00043636+0.00066453i,0.00074619-3.2094e-05i,0.0003982-0.00014408i,0.00060995-2.1853e-05i,0.00040924+2.3889e-05i,2.0519e-06+0.0003786i
-0.0020358+0.0026529i,-0.00071147+0.0042148i,0.00030958+0.0031896i,0.00053171+0.0015066i,0.00020561+0.0011449i,-2.5494e-05+0.0009344i,-0.00035774-0.00028966i,-6.8732e-05-0.00053982i,-9.4249e-05-0.00035043i,0.00041122-9.465e-05i,0.00092492+0.00070324i,0.00081644+0.00054984i,0.00033366-0.00019183i,0.00019085-0.00086196i,0.00038175-0.00050211i,0.00053908+0.00044376i,-1.1086e-05+0.00043008i,-0.00049202+0.00045678i,-0.00021851+0.00060038i,-0.00035537+0.00072391i,-0.001094+0.00051423i,-0.0009315-0.00011606i,0.00025289-0.0003267i
-0.0016049-0.0010304i,-0.0016505-0.00033906i,-0.0018884+6.4755e-05i,-0.0012364-0.00010347i,-0.00060029+2.302e-05i,-0.00081469-0.00035022i,-0.0011732-0.00056589i,-0.0012526-0.00025557i,-0.00095358+3.4584e-05i,0.00048628+0.00041315i,0.00088536+0.00042968i,0.00011566-0.00057246i,-0.00026775-0.0009249i,8.4762e-05-0.0011215i,0.00016495-0.0013748i,0.00041388-0.00092502i,0.0010172-0.00035639i,0.000393+0.00048272i,-0.00066377+0.00061093i,-0.00035791+0.00026962i,-0.0003222+0.00069177i,-0.00025766+0.00085334i,0.00015128+0.00033087i
0.00073828-0.00044716i,0.00073838+0.00056867i,0.0016723+0.00014441i,0.00033359+0.0002671i,-0.0010645+0.0012993i,-0.00094404+0.0020142i,-0.0011086+0.0017112i,4.4648e-05+0.00051925i,0.00039975+6.9089e-05i,0.00011159+0.00035634i,0.00026099+0.00068972i,0.0001844+0.0011482i,0.00027151+0.00052139i,0.00041975-0.00031806i,0.00033864+0.00020369i,4.8478e-05+0.00064552i,-0.00017339+0.00027612i,-0.00029786+0.00012906i,-0.00026663-8.4626e-05i,-4.0628e-05-0.00044527i,-0.00034426-0.00061481i,-0.00049786-0.00061855i,0.0005041-0.00070086i
-0.0013508+0.00020243i,-0.004034-0.00025789i,-0.0043958+0.0005845i,-0.0027602+0.00087169i,-0.0018288-0.00079304i,-0.0020396-0.0018318i,-0.0026395-0.00084813i,-0.0016991-0.00062424i,-0.00066461-0.0011703i,-0.00079322-0.00099944i,-0.00091194-0.00046572i,-0.00050543-0.00012783i,0.00021596-0.00034178i,0.0009148-0.00014522i,0.001059-0.00032969i,0.00045162-0.000704i,-0.00032919-0.00053702i,-0.00052421+5.1912e-05i,0.00020034+0.00049125i,0.00063301-6.0165e-05i,0.00074359+0.0001315i,0.00079117+0.00054996i,0.0001876+5.9303e-05i
0.00068139+0.0015608i,0.0024985+0.0021097i,0.0023572+0.0011327i,0.00076537+6.0025e-05i,-0.00058698-0.00034648i,-0.00073592+0.0003022i,-0.00042846+0.00082454i,-2.7818e-05+0.00034686i,-1.4987e-05+0.00045026i,5.0351e-06+0.00068638i,0.00032397+0.00035829i,-0.00067713+0.00048201i,-0.0013524+0.00073793i,-0.00065844-2.8685e-05i,-0.0003539-0.00032878i,-4.6373e-05+0.00013324i,0.00035299+0.00091963i,0.00010874+0.0014187i,0.0002544+0.0010309i,0.00056791+0.00058649i,0.00016806+1.3541e-05i,-0.00030938-0.0001888i,-9.7426e-05-0.0001209i
-0.0024274+0.00091695i,-0.0025597+0.0023252i,-0.0012532+0.0024833i,0.00063396+0.0012968i,0.00064151+0.00031227i,-0.0003362+0.00078244i,-0.00054908+0.001064i,-5.2649e-05+0.0010564i,0.00040932+0.00043497i,0.00037331+0.00018576i,0.00064092+0.00015338i,0.00092962-0.00018437i,0.00041115-0.00062771i,-0.00040762-0.0012642i,-0.00065572-0.0013703i,-0.00056929-0.00078216i,-0.00079867-0.00042994i,-0.00087097-0.00028147i,-0.00076288-0.00011702i,-0.00057681-3.9632e-05i,-0.00025506+2.0936e-05i,-0.0006426-9.1225e-05i,-0.00081444+0.00019572i
0.00019703+0.0012287i,0.00083647+0.0016389i,0.0014755+0.0010924i,0.00071763-0.00020192i,-0.00021126-0.00062116i,-0.00032726-0.00019407i,-0.00095673+0.00035676i,-0.0010105-0.00030885i,-0.00054455-0.00080975i,4.6456e-05-0.00043543i,6.1658e-05-0.00037266i,-0.00016165-0.00022484i,-0.00061297+0.00044149i,-0.00075821+4.4462e-05i,-0.00049678-0.00045765i,-0.0009726-0.00014276i,-0.0013272+0.00012333i,-0.0012467+9.4756e-05i,-0.0010619-0.00016881i,-0.00047267+0.00025542i,-0.000448+0.00061202i,0.00019027-8.0811e-05i,0.00079699-0.0010717i
-0.0012466-0.0014197i,-0.0019759-5.5026e-05i,-0.0018509+0.00078169i,-0.00082261+0.00022065i,-0.0012328+0.0003728i,-0.0022117+0.001209i,-0.0024237+0.0008316i,-0.0013022-0.00018503i,-0.00065025-0.0010536i,-0.00055479-0.0010139i,0.00030558-0.00037138i,0.00080773+0.00019892i,0.00032502+0.0012649i,0.00069492+0.0012775i,0.0014852+0.00078557i,0.00070219+0.0010587i,-0.00038718+0.000293i,4.4393e-05-0.0010817i,0.00054576-0.0017247i,0.00031385-0.0013548i,0.00024539-0.00016268i,0.00023109+0.00026565i,0.00047153-8.2077e-05i
0.00064206+0.00047975i,-9.735e-05+0.00082254i,-0.0014141+0.00076894i,-0.0012118+0.00020554i,-0.00022918+0.00015739i,0.00050272+0.00059834i,3.6942e-05+0.00055103i,-0.00026512-0.00072299i,-0.00024176-0.0014365i,-0.00018828-0.0004804i,-0.00051373+0.00030934i,-0.00058703+0.00033117i,-0.00015391-0.00035191i,0.00024708-0.00094346i,0.00023075+0.00018435i,0.00021269+0.00025604i,0.00028697-0.00011663i,-0.00039092+0.00054853i,-0.00010781+0.00054955i,0.00087723+0.00014267i,0.00095433+0.00047823i,0.0009464+0.00041158i,0.0005871+0.00011202i
-0.00057031-0.0010191i,-0.0004103-0.00051245i,-0.0010642-0.0001589i,-0.0013825-0.0012394i,-0.0011622-0.0011198i,-0.001493+0.00042522i,-0.0012945+0.0010353i,-0.00059685+0.00031622i,-0.00079903+0.00040978i,-0.00027519+0.00046221i,0.00083006-0.0002581i,4.7747e-05-0.00053455i,-0.00076139-0.00038935i,-0.00019452-3.0679e-05i,0.00058522+0.00015998i,0.00053032-2.2099e-05i,0.0003312+8.0514e-05i,0.00067526-0.00041661i,0.00043783-0.00019748i,-4.6481e-05+0.00053677i,-0.00033094+0.0001652i,-0.00013243-0.00027653i,-0.000216-0.00010457i
-0.00010136+0.00019289i,-3.064e-05-2.3866e-05i,-0.0012604+0.0006222i,-0.0014533+0.00061201i,-0.0013582-0.00017511i,-0.00083425-0.00085534i,0.00022602-0.0010542i,0.00055846-0.00061782i,-2.8516e-05+0.00010286i,-8.797e-05+0.0002604i,0.00051615+0.00069421i,8.3219e-05+0.00079085i,-0.0010025-6.9828e-05i,-0.00058282-0.00019243i,0.0011542+5.5024e-05i,0.0015373-8.523e-05i,0.00067057-0.00078702i,0.0005866-0.0014206i,0.00067982-0.0012146i,0.00068542-0.00049093i,0.00013744+0.00033066i,-0.00050386+0.00068453i,-0.00027863+0.0011192i
-0.0028395+0.0024759i,-0.00313+0.0026712i,-0.0027147+0.0030396i,-0.0013366+0.001759i,6.3101e-05+0.00042308i,-0.00020334+0.00046334i,-0.00074569+0.00074438i,-0.00024045+0.00057257i,0.00059999+0.00086606i,0.0014752+0.00096279i,0.0019676+0.00037874i,0.0015433-0.00017326i,0.0010862-0.00054459i,0.0008225+3.2926e-06i,0.0005989+0.00036226i,-0.00021497+0.00019692i,-0.00018559-0.00022028i,0.00030396-0.00062037i,0.00025271-0.0010092i,-0.00010849-0.00043595i,-0.00062891-0.00030133i,-0.0003428-0.00027028i,-0.00031614+0.0001649i
0.00068776+0.00028856i,0.0010371+0.00080927i,0.0008215+0.0013911i,0.0008695+0.0011661i,-0.00063041+0.0010672i,-0.0011316+0.0013845i,-0.00056101+0.0010955i,3.9798e-05+0.00011279i,0.00048407-0.00019202i,0.00057194+0.00013762i,-0.00016758-0.00016974i,-0.00015756-0.00055532i,0.00096379-0.00051102i,0.0013617-0.00083975i,0.0010887-0.0013075i,0.00061025-2.6852e-05i,0.00019493+0.00042599i,-0.00010321-0.00090609i,-0.00010934-0.0015221i,0.00024128-0.0011531i,-0.00052442+3.5235e-05i,-0.0011704+0.0006367i,-0.00064962+0.00025144i
-0.0037979-0.0022046i,-0.0051705-0.00095798i,-0.0063178+0.0013659i,-0.0053637+0.0019252i,-0.004125+0.0013921i,-0.003101+0.00039707i,-0.0025683-0.00050493i,-0.0023265-0.001308i,-0.0014315-0.0014285i,-0.00040012-0.00060392i,5.8039e-05-0.00027994i,-0.00020256-0.00064431i,0.00042025-0.00048151i,0.0015038-6.1574e-05i,0.0012058-0.00031557i,0.00065879-0.00030089i,0.00043145+0.00031393i,0.00058314-0.00017674i,0.00069903-0.0011258i,7.0219e-05-0.0013035i,-0.00087082-0.00079887i,-0.0012493-0.00012852i,-0.00065479+6.3074e-05i
-0.0022174-0.0018544i,-0.0036371+0.0001546i,-0.0051744+0.0037445i,-0.0028794+0.0035371i,0.00029667+0.0023127i,0.0022198+0.00052604i,0.0028812-0.0017414i,0.0015479-0.0017706i,-0.0014572-0.00052639i,-0.0014159+0.00040318i,0.00018738+0.00080715i,0.00088388+3.9801e-05i,0.0011728-9.2197e-05i,0.0012351-0.00038434i,0.0018291-0.0019339i,0.0014847-0.0025066i,0.00046438-0.00094958i,1.4097e-05-0.00028531i,0.00039259-0.0011473i,0.00047404-0.0012067i,0.00074587+4.7694e-05i,0.00046498+0.0011347i,0.00062856+0.0012239i
0.0059733+0.0033322i,0.0070623+0.0024732i,0.0083837-0.0019363i,0.0045454-0.0055607i,-0.0032947-0.0059405i,-0.0078021-0.0020725i,-0.0050494+0.0024161i,-0.0015089+0.0029244i,-0.00015144+0.0012125i,0.0006694-0.00041181i,-0.00042175-0.0010855i,-0.0015373-0.00059297i,-0.0019681+0.0010959i,-0.0022478+0.0026595i,-0.0017529+0.0022243i,-0.00079881+0.0016657i,0.00027157+0.0014659i,0.00087788+0.0015644i,0.0014933+0.0019311i,0.0019578+0.0015936i,0.0016632+0.0012683i,0.00089663+0.00037732i,-0.00036701-0.0006238i
0.00096637-9.9987e-05i,0.0012022-0.00077767i,0.0013898-0.0016474i,0.00062175-0.0010074i,-0.00020058-0.00048044i,-0.00028005-0.00029315i,0.00042964+0.00055014i,0.00092656+0.00059121i,0.0010655+0.00039418i,0.0016649+0.00035793i,0.00089867+0.00010276i,-0.00052464-0.00074065i,-0.0011245-0.00068028i,-0.0017867+0.00024101i,-0.0020268+7.2584e-05i,-0.0013872+0.00036249i,-0.00072121-7.1672e-05i,-0.00018754-1.9682e-05i,0.00019422+0.0010405i,0.00066394+0.00081024i,0.0012284+0.00045014i,0.00085607+0.00019336i,0.00027666+0.00018425i
0.002093+0.0013569i,0.00090377+0.0027314i,0.00066563+0.0020604i,-5.4279e-05+0.00080311i,-0.00046277-6.5544e-05i,-0.0018171+0.00026612i,-0.0015891+0.0012865i,-0.00030847+0.00085108i,0.00043102+9.7607e-05i,0.00068741-1.7291e-05i,0.0001605-0.00024723i,-0.00070976-0.00075343i,-0.00072619-0.00054764i,-0.00097905+0.00028659i,-0.0011116+0.0009004i,-0.00043241+0.00097672i,0.00025601+0.0013006i,0.00021651+0.0014635i,-0.00025697+0.0012321i,-0.00022393+0.0010371i,-0.00020447+0.00057968i,-0.00063289-0.00044075i,-0.00049824-0.001469i
0.0025296+0.0013274i,0.0035674+0.0014001i,0.004312+1.5755e-05i,0.0024218-0.0026497i,-0.00051277-0.0039809i,-0.0025115-0.0027252i,-0.0026873-0.001776i,-0.0019006-0.0012426i,-0.00099381-0.0013549i,6.6445e-05-0.0012027i,0.0008615-0.00059375i,0.0011762+0.00032565i,0.0011023+0.0012824i,-2.594e-05+0.00084875i,-0.00087034+0.00046147i,-0.0004237+0.00075087i,-0.00014268+0.00078546i,-0.00026212+0.00069881i,2.5211e-05+0.00086608i,-2.1719e-05+0.00082428i,0.00012905+0.00066419i,0.00016374+0.00056893i,-0.00050507+0.000359i
-0.0019433+0.00029126i,-0.0029552+0.0001934i,-0.0024369-0.00055692i,-0.0002414-0.0011345i,0.00058112-0.00031094i,-0.00025397+0.00054652i,-9.6965e-05+0.00041562i,0.00013448-0.00028511i,-9.4406e-05-0.0012463i,0.00018074-0.0013725i,0.00016653-0.0011234i,-0.00050701-0.0007005i,-0.00098083-0.00048063i,-0.00051458-6.5962e-05i,-0.00021428+4.4185e-05i,-0.00060106-0.00036346i,-0.00067813-0.00047305i,-4.1094e-05-0.00022128i,0.0010422-0.00074213i,0.00096541-0.00028103i,0.00056978-0.00021869i,-0.00028425-0.00091896i,-0.00074651-0.00072195i
-0.00059653-0.0008067i,-0.00059425-0.00057281i,-0.00055625+0.00030818i,-0.0005677+0.00035392i,-0.00074768-0.00031307i,-0.00075206-0.00079027i,-0.00054219-0.0014876i,-0.0010739-0.0014742i,-0.0010973-0.00039306i,-0.00063585+0.00075388i,-0.00038539+0.00088749i,-0.00079995+0.00023669i,-0.0006785-0.0001732i,-0.00040153-0.00022267i,0.00034305+6.3165e-05i,0.00081286+0.00061758i,-2.9302e-06+0.00053134i,-0.00030141+9.8771e-05i,0.00020898+0.00028224i,0.00012113+0.00077526i,-0.00040015+0.00016568i,1.5474e-05-0.0010278i,0.00098392-0.001392i
