-0.0023687+0.00018763i,-0.0018116+0.0010837i,-0.00021147+0.0023943i,0.00077511+0.0019713i,0.00078969+0.001041i,-0.00026834+0.0019163i,-0.00040354+0.0019788i,0.00037886+0.0013961i,0.00043471+0.0014304i,0.0013447+0.0010132i,0.0016847+0.00013252i,0.0006128-0.00026737i,-0.00024026-0.00029902i,0.00030971-0.00056461i,0.0014709-0.00098078i,0.0013129-0.00099417i,0.0004859-0.00066195i,-1.1609e-05-0.00096308i,0.00016067-0.00077807i,-7.751e-05+0.00015538i,-0.00095184+0.0010159i,-0.00086997+0.0010915i,-0.0003169+0.00060434i
0.00077757+0.0027915i,0.00061903+0.0037217i,0.0015476+0.0034557i,0.0025497+0.0023743i,0.0024074+0.00040765i,0.0013397-0.0011547i,0.00078294-0.00076981i,0.00074928-0.00031903i,0.0015481+2.7174e-05i,0.0019712-0.00026741i,0.00067876-0.0010127i,-0.00048075-0.0013035i,-0.001126-0.00062748i,-0.0020524+0.00011533i,-0.0013605-6.0535e-05i,-0.00077422-0.00029741i,-0.00068072+0.00019276i,-0.00022287+0.00059509i,0.00025967+0.00085512i,0.00017421+0.0010395i,4.5024e-06+0.0002667i,0.00049294-0.00078134i,0.00090365-0.00068514i
-0.00017899-4.5559e-05i,0.00017591+0.00013537i,4.7765e-05-0.00022352i,-8.5057e-05-0.00064887i,-0.00049948+0.00027058i,-0.00040246+0.00093666i,-0.00060538-0.00014606i,-0.00077873-0.00077408i,-0.00021062-9.8423e-05i,-0.00021119+6.0974e-05i,-0.00039349-0.0010274i,0.00027389-0.00055902i,0.00018665-6.7654e-05i,-0.00045347+6.0421e-05i,-0.00091972+0.00035227i,-0.0003086+0.00010687i,0.00021292-0.00013775i,-0.0002648-1.0758e-05i,-0.00064443+0.00067479i,-0.00040784+0.00017145i,0.0002135-0.00047807i,0.00050982-0.00067131i,0.00038169-0.00054797i
0.00031326+0.00016963i,-0.0013523-0.00060977i,-0.0016006-0.0012601i,-0.00077071+0.00028875i,-0.00010858+0.0014013i,0.00011408+0.00045808i,-0.00016158-0.00056534i,-0.00035314-0.00039553i,0.00033259-0.00026891i,0.00017315-0.00029297i,7.6426e-05-0.00037715i,0.00022338-0.00010768i,0.00018341+0.0010032i,0.00038191+0.001741i,0.00044605+0.0013822i,0.00038949+0.00098323i,0.00035229+0.00083356i,-6.1407e-06+0.0010207i,0.00026052+0.00022865i,0.00033382-0.00038384i,9.3844e-05+5.5684e-05i,0.00011505+0.00012655i,8.5754e-06+3.463e-05i
0.00032598+0.0012898i,0.002353+0.0023535i,0.0039866+0.0023538i,0.004172+0.00094662i,0.0027263+2.9833e-05i,0.0011478+0.00020893i,0.00031203+0.00030893i,0.00022268+0.00021116i,-9.8089e-05+0.00020874i,-0.0004351-0.00014741i,-0.00013848-0.00025464i,0.00076109+8.0825e-05i,0.00057716+0.00022085i,-0.00047264+0.00044376i,-0.00030447+0.00041256i,0.00049652+0.00038187i,-3.8737e-05+0.00077277i,-0.0010488+0.000487i,-0.00020779+0.000316i,0.00028299+0.00013824i,-0.00014238+0.00010283i,-0.00030511-3.9452e-05i,-0.00039847-0.00049801i
-0.00027685-0.00020538i,-0.00040643+0.00085521i,0.00043306+0.00033702i,5.9654e-05+0.00064947i,-0.0004234+0.00096839i,0.00011579+0.00041508i,0.00087993+0.00038622i,0.00058435+0.0001138i,-1.0886e-05-0.00028815i,-0.00016624-0.00019125i,-0.00035724-0.00025033i,-2.1285e-07-0.0001343i,0.00034905+5.9215e-05i,0.00018977+0.00054259i,-0.00015809+0.00043798i,-7.5936e-05-0.00036302i,0.00022007+5.7909e-05i,0.00047656+0.00066574i,0.0002635+0.00048112i,-0.00046784+0.00037347i,-0.00046831+0.00028817i,-0.00047713+0.00038048i,0.00041008-8.4497e-05i
-0.0012313+0.0015632i,-0.0017127+0.0020338i,-0.0018147+0.0018691i,-0.0020699+0.0020638i,-0.00078217+0.0011237i,0.00072343-0.00034445i,0.00029463-0.00021086i,-0.00097901-0.00027391i,-0.00094674-0.0001931i,8.1922e-05+0.0002616i,0.00015889+0.00045269i,0.00026944+0.00064352i,0.00051927+0.00022793i,0.00060982-8.5723e-05i,0.00060642+0.0002999i,-0.00013096-0.00034592i,-0.00069918-0.00074864i,-0.00055359-0.00085535i,-0.00058689-0.0011462i,-0.00049631-0.00029304i,-0.00043132+0.00040268i,7.6707e-06-1.7167e-05i,0.00049982+4.1786e-05i
-0.0024475+0.0006222i,-0.00036019+0.00076353i,0.0012091+0.0011146i,0.00066069+0.00079589i,0.00099572+0.00056815i,0.0019792+0.00056594i,0.0014939+2.9872e-05i,-1.016e-05-0.00039256i,-0.00050929-0.00028716i,0.00013078+0.00050783i,0.00017884+0.0012133i,-5.4947e-05+0.00056631i,6.7907e-05-0.00028006i,0.00016768-0.00092729i,0.0004243-0.0010915i,0.00090161-1.0658e-05i,0.0011991+0.00029667i,0.00086937-0.00061057i,-6.7083e-05-0.00099666i,-0.00041217+2.5013e-05i,2.5718e-05+0.00055111i,3.865e-06+0.00023835i,-0.00012132-0.00038789i
-0.00013448+0.00076563i,0.0009835+0.0015273i,0.00044051+0.0020705i,8.1036e-05+0.0009689i,0.00039594+0.00045316i,-1.3978e-05+0.00039105i,-0.00043106-0.00015855i,-0.00024212+0.00031863i,-0.00078578+0.00076744i,-0.00096125+0.00032264i,0.00031234+0.00015144i,0.00082154+0.00042417i,0.0001368+0.00044351i,0.00045249+0.00015131i,0.00077644-0.00016197i,0.0002528-0.00028734i,0.00033684+0.0004315i,0.00030773+0.00083518i,-0.00019898+0.0010479i,-0.00023807+0.00051733i,-0.00048661-0.0003252i,-0.00024973-0.00028574i,6.2072e-05+4.8e-05i
-0.00063662+0.00097784i,-0.0013686+0.0010074i,-0.00066012+0.0012892i,0.00074003+0.001713i,0.001597+0.0014052i,0.0012945+0.00071184i,0.0011184+0.00013164i,0.0011349-0.00017341i,0.00069436+0.00028006i,0.00045602+8.8308e-05i,0.00036511-0.00030126i,0.00041554-0.0003237i,0.00014613-0.00064499i,5.4451e-05-0.00040482i,-0.00018735+0.00057983i,0.00017506+0.00093307i,-4.3316e-05+0.0004022i,0.00012115+0.00022392i,0.00035381+0.00052612i,0.00015165+0.00051145i,-0.00028043-0.00019748i,1.1165e-05-0.00062351i,0.00050995-0.0004436i
0.0026312-0.00042164i,0.0024094-0.00020112i,0.0014256-0.00057278i,0.0015909-0.00054159i,0.00095834+0.00010372i,-0.00070383+0.00022677i,-0.0009776-0.00038028i,-0.00074332-0.00036477i,-4.2657e-05-0.00089845i,0.00081334-0.0013222i,0.00052852-0.00095941i,7.3347e-05-0.00038358i,8.9223e-07+0.00069946i,-1.8227e-05+0.0011965i,-0.00074052+0.00056901i,-0.00014411+0.00025715i,0.00012721+0.00038795i,0.00022157+0.00020612i,0.00024287-4.0574e-05i,-0.0002311+5.8001e-06i,0.00021231+0.00049188i,0.00027183+0.0010138i,0.0001765+0.00030612i
