-0.0018771-0.00040571i,-0.0020694+0.00085359i,-0.0020119+0.0018714i,-0.00078952+0.00077856i,-0.00033825-0.00016951i,-0.00018212-0.00030799i,0.00045741-2.8994e-05i,7.5981e-05+0.00059288i,-0.00058427+0.00093639i,-0.00046288+0.00064064i,9.3976e-05+0.00087409i,0.0003633+0.0010315i,0.00064111+0.00076294i,0.0011665+0.00051758i,0.00089996+0.00028875i,0.00027082-0.00038286i,9.7566e-05-0.0010177i,-0.00029813-0.001777i,-0.00045666-0.0016502i,-0.00061783-0.00076024i,-0.00076631-0.00017418i,-0.00054709+0.00016466i,-0.00022565-0.00031285i
-0.00099508-0.001916i,1.2564e-05-0.0021596i,-0.00036365-0.0029588i,-0.00051539-0.0018705i,-0.00083404+2.456e-05i,-0.001349+0.0010514i,-0.00015909+0.0013681i,0.00084849+0.00091773i,0.00057619+0.00018824i,-0.00055567-0.00013645i,-0.0013388-0.00027189i,-0.0010737-0.00037018i,-0.00089255-0.00062104i,-0.00049853-0.00039771i,-0.00010373-0.00011794i,0.00031371-0.0004297i,0.00020679-0.00040763i,-0.00019656-0.0003323i,-0.0001815+6.5353e-05i,0.00040509-0.00057463i,0.0003493-0.00034365i,-4.5429e-05+0.00072255i,0.00052898+0.00032336i
-0.0015493-0.0008063i,-0.0013964-0.00059508i,-0.0018633-0.00054309i,-0.0012828-0.00010564i,-0.000194-0.00015091i,0.00011125+0.00024893i,0.00025594+0.00050102i,-5.8118e-05+0.00016459i,-0.00030936+0.00039931i,-0.00015852+0.00066953i,-0.00038943+0.00043525i,-0.00019018-3.426e-05i,-0.00013664-0.00046378i,-0.00023673-0.0006473i,0.0002679-0.00032013i,0.00035454-0.00036386i,4.6299e-06-0.00023825i,-0.00029847-0.00082361i,-6.4098e-05-0.00077632i,-6.4845e-05-0.00042078i,-0.00017712-0.00063864i,-0.00033618+1.4706e-05i,-0.00030941+0.00039199i
0.0027457-0.00085641i,0.0028919-0.0010074i,0.0029432-0.001578i,0.0015192-0.0012232i,-0.00026968-0.0004714i,-0.0015435+0.00074623i,-0.0011647+0.0011443i,-0.000587+0.00077033i,-0.00063537+0.0011625i,0.00032727+0.00093941i,0.00037065-0.00041772i,3.6058e-05-0.00094273i,0.00033641-0.0010659i,4.474e-05-0.00044891i,-0.00030637+0.00065781i,-0.00016058+0.00058389i,-0.00023461-0.00025515i,-0.00040088-0.00031663i,-0.00068204-0.00017409i,-0.00063834+0.00041403i,-0.00062779+0.0011017i,-0.00014087+0.00045765i,0.00055396-0.00070461i
-0.00022977-0.00046406i,-0.00046958-0.00089806i,-0.00022504-4.5736e-05i,2.1521e-05+0.0010858i,-0.00041226+0.0004899i,-0.0013+2.0716e-06i,-0.00070528+0.00068307i,0.00055817+0.0011717i,-1.3727e-05+0.00099754i,-0.00056068-0.00027796i,0.00030006-0.0016106i,0.00064218-0.0016257i,-4.9093e-05-0.00093552i,-0.00068617-0.00060555i,-0.0006839-0.00041763i,-0.00046633-0.00017766i,-0.00090257-0.0002547i,-0.0011542-0.00064577i,-0.00034921-0.00018912i,0.00050938+0.00060177i,0.00054442+0.00036308i,0.00036093+0.00023014i,0.00034871-8.3035e-06i
-0.00044356+0.0017772i,-0.00012511+0.0014395i,-9.1945e-06+0.001218i,-0.00010136+0.00076007i,-0.0003638-5.0444e-05i,-0.00056149+8.0743e-05i,0.00015617+0.000529i,0.00080165-0.00026029i,0.00080786-0.00090223i,0.00058754+1.9401e-05i,6.5356e-05+0.00038236i,-0.00029164+0.00049403i,-0.00058345+0.00056197i,-0.00011186+0.00070164i,-0.00023761+0.0011256i,-0.00050062-0.00031842i,-0.00010557-0.0012617i,-0.00025056-0.00044303i,-0.00069523-7.4019e-05i,-0.00034513+0.0001196i,0.00045837-5.2281e-05i,0.00082027-0.00017622i,0.00063609-0.00025125i
-0.00092023-0.00040053i,-0.00081665-0.0004089i,-0.00036901-0.00018895i,-0.0013232-0.00053394i,-0.0012899-0.00069129i,-0.00046758-0.00050439i,5.7542e-05-0.00011213i,0.00032495+7.6197e-05i,-0.000458-0.00035453i,-0.0008248-8.8622e-05i,-0.0003462+0.00022253i,5.366e-05+0.00047518i,0.00016172+0.00083108i,9.895e-05+0.00044656i,-6.2827e-05+0.00050985i,-0.00011736+0.00058551i,4.271e-05+0.00051794i,1.6598e-05+2.7776e-05i,-0.00024331-2.935e-06i,-0.00031473-5.8048e-05i,-0.00019933+0.0001877i,-0.00082968+0.0006309i,-0.00095049+9.9349e-05i
-1.2462e-05+0.00046479i,-8.7134e-05-0.00022033i,-0.00013789-0.00062151i,-0.00022539-0.00068858i,-0.00057761-0.00013557i,-0.00045411+0.00023105i,0.00044576+0.00056347i,0.00038349+0.00068454i,0.00040698+0.00041787i,0.0011772+9.181e-05i,0.0010911+8.4923e-05i,0.00042576+0.00026601i,0.00010351+0.0013439i,-0.0002584+0.0017067i,-0.00056542+0.00016762i,-0.00040305-0.00047666i,-3.5467e-05+0.00013295i,0.00018225+0.00051244i,0.00028965+7.9411e-05i,6.694e-05-0.00022175i,-0.00033704-0.00018244i,-0.00032031-7.2491e-05i,-4.6258e-05-0.00012436i
-0.00058955-0.001014i,-0.00012755-0.00054154i,0.00048964+0.00012826i,0.0004242+0.00089337i,-0.00037629+0.00072781i,-0.0011233+0.00044553i,-0.0004183+0.00072357i,0.00038585+0.00053706i,0.00037251+2.1233e-05i,0.00027296+5.7358e-05i,0.00061315-0.00048333i,7.3259e-05-0.00058434i,-0.00019286-0.00014135i,-0.00050483+1.0823e-05i,-0.0007294-0.00041298i,-5.3468e-06-0.00012582i,-0.00050104+0.00071289i,-0.0010074+0.00081483i,-0.00054748+0.000297i,-0.00014721-4.4069e-06i,0.00035153-0.00081718i,9.9984e-06-0.00088438i,-0.00069784-0.00036178i
0.0013103+0.00045561i,0.0010862-0.00050443i,0.0010118-0.00086049i,0.00048196-0.00036339i,-0.001073+0.00042831i,-0.0013412+0.00090644i,0.00016397+0.00038278i,0.0012336-0.00013047i,0.00049924+0.00029758i,-0.0012055+0.00045508i,-0.0008821-0.00048694i,0.00089583-0.00081373i,0.0010967-0.00040249i,0.00051924-0.00049557i,0.00017179-0.00030094i,-0.00032714-0.00034017i,-0.00035494-0.00052313i,-0.00047806-0.00071291i,-0.00022792-0.00026904i,0.00013055-7.7483e-05i,0.00021009-0.00056659i,3.8514e-05-0.00051035i,-8.9719e-05-3.0727e-05i
-0.00060251-0.00055647i,-0.0013878-5.2391e-05i,-0.00080169-0.00024135i,-0.00030429-0.0011286i,-0.00080532-0.00062969i,-0.00095436+0.00029365i,-6.2581e-05+0.00039361i,0.00068102-0.0005773i,0.00051935-0.00096179i,1.7175e-05+0.00043545i,-0.00025419+0.0004578i,-0.00040566-0.00064817i,-0.00060158-0.00097215i,-0.00062457-0.00032513i,-0.00054387+0.00033217i,2.5231e-05-0.00049475i,0.00012407-0.00098936i,-0.00039835-0.00018695i,-0.00058201+0.00068763i,-0.00017506-0.00011273i,0.0010927-0.00091836i,0.0010177-0.00042241i,-3.5411e-05+0.00011496i
7.4816e-05+0.00077251i,-0.0007891+0.0011645i,-0.0010307+0.00077232i,-0.00017544+0.00023067i,0.00036585+0.00036303i,0.00077252+0.00032737i,0.00019758+0.00045026i,-0.00038099+0.00041494i,-0.00063594+0.00031123i,-0.00028847+0.00067754i,0.00045951+0.0010743i,0.00030308+0.00053533i,0.00012345-0.00018539i,0.00010422-0.00049549i,-0.00034835-0.00017885i,-0.00044322+0.00044748i,-9.1083e-05+0.00042819i,-0.00062159+8.5061e-05i,-5.3367e-05-0.00021703i,0.00075315-0.00010848i,0.00077097+0.00033287i,0.00048492+5.0477e-05i,0.0001717-6.8807e-05i
-0.00046034+0.00016313i,-0.00066032+6.1106e-05i,-0.00069166+0.00045401i,0.00039598+0.00045776i,0.00029522-5.0624e-06i,-0.00054509-6.2063e-05i,-0.0012715+0.00036255i,-0.0016394+0.00075052i,-0.00077378+0.00092792i,-8.3666e-05+0.00053086i,-0.0008453+0.00028026i,-0.001258-0.00015855i,-0.00057715-4.7255e-05i,-0.00014269+0.001183i,-0.00048266+0.001114i,-0.00030997+0.00036524i,7.6274e-05-8.9842e-05i,0.0003246-0.00024422i,-0.00028914-0.00036927i,-0.00091603-0.0005339i,-0.00055063-0.0003122i,8.8743e-05-0.00037063i,0.00019206-0.00081969i
0.00031401-0.00077873i,-0.00062085-0.00088135i,-0.00079932-0.00040559i,-0.00018757-0.00050931i,-9.2357e-05-0.00038094i,-0.00074966+0.00078896i,-0.00079294+0.0010163i,-0.00059471+0.00044044i,-0.00044356-0.00010139i,9.8884e-05-0.0003147i,0.00012442-0.00044048i,-0.00049603-0.00058009i,-0.00049171-0.00041816i,-0.00037811-5.5575e-05i,-0.00041378+0.0007567i,-0.00062+0.00031921i,-0.00063071+0.00021416i,-0.00020032+0.00046933i,0.00081963+4.3702e-05i,0.0007358-0.00012883i,-0.00020198-0.00010831i,-8.9378e-05-0.00029446i,0.00014209-0.00023149i
-4.6576e-05-0.0010777i,-0.00024866+0.00047211i,-0.0012133+0.0013453i,-0.0015343-0.00021847i,-0.0014796-0.0011163i,-0.0011071-0.00041171i,0.00018726+0.00047022i,0.0007922+0.00075452i,0.00012725+0.00045579i,0.00020692+0.00024817i,0.00026528+0.00024274i,7.7401e-05+0.00011329i,0.00013111-0.00042986i,0.00014761-0.00042067i,-0.00035199+0.00054104i,-0.00068118+0.00020408i,-8.1697e-05-0.00057028i,3.0982e-05+1.4146e-05i,-0.0001471+0.00031309i,-0.00012817-0.00040115i,0.00015264-0.00051144i,0.00037875+0.00011837i,-0.0002383+0.0001882i
-9.6873e-05-0.00081004i,0.0003677-0.001341i,0.00038118-0.00059245i,0.00021662-0.00027247i,-0.00081292-0.00073447i,-0.0016605-0.00080818i,-0.0011958+9.1988e-05i,-0.0005461+0.00077807i,-0.00033209+0.00080137i,0.0003071+0.0005366i,0.00078573+0.00036712i,0.0004233+0.00048282i,-0.00057171+0.00012416i,-0.0010964-0.00028162i,-0.00075694-0.00026409i,-0.00084303-0.00036757i,-0.00092156+0.00025895i,-0.0007236+0.0010874i,-0.00085458+0.00095791i,-0.0011637-0.00029887i,-0.00048815-0.0012871i,0.00022723-0.00050376i,1.439e-05+0.00073456i
-0.00041493-0.00034405i,-0.0010758+0.00025385i,-0.00043388+0.00093452i,-0.00013776+0.00092164i,-0.00051411+0.00067547i,-0.00051022+0.0011856i,-0.000495+0.0012023i,-3.7811e-05+0.00077301i,0.00013807+4.8873e-05i,0.00037619-0.00027106i,0.00091264+0.00057757i,0.00065819+0.00026682i,0.00013982-0.00069314i,0.00026625+4.4894e-05i,0.00038739+0.0007938i,0.00026796+0.00046937i,0.00047734-1.1913e-05i,-6.4995e-06-0.00026299i,-0.00027716-1.4993e-05i,-0.00022789+0.00011982i,-0.00014401+2.6188e-05i,0.00019087+0.00014095i,0.0001201+0.00030466i
