-0.002635+0.0012123i,-0.00095264+0.0012073i,-0.0018223+0.0026938i,-0.002067+0.0036535i,-0.0011081+0.0040361i,0.00011292+0.0032537i,-0.00025382+0.0021824i,-0.00058904+0.0016014i,0.00020506+0.0015995i,0.00092944+0.0013949i,0.001513-0.0006088i,0.0014536-0.0019579i,-6.1699e-05-0.0013048i,-0.0012994-0.0010162i,-0.0013215-0.0010237i,-0.00058143-0.00029332i,0.00029292+0.00030867i,0.00064523+0.00019303i,0.0006215+0.00020098i,0.00018651+0.00025866i,-0.00026941-0.00069611i,-5.3602e-05-0.00075099i,-0.000307+0.00012977i
0.0023774-0.00047732i,0.0020227-0.00066624i,0.0029749-0.0012921i,0.0018266-0.0017099i,-0.0003615-0.001478i,-0.0009703-0.00056147i,-0.000371+2.2041e-05i,0.00018456+7.0594e-05i,-2.131e-05+0.00016756i,-0.00070959-0.00012936i,-0.00030413-0.00069122i,0.0001248-0.00046868i,0.0011531+0.00040916i,0.002129+0.00084051i,0.0008845+0.00060773i,-0.00040724+0.00037043i,-0.00019568-8.9008e-05i,-0.00014968+0.00015874i,-0.00050376+0.0013685i,-0.00040472+0.0010873i,-0.00034888+2.0371e-05i,-0.00033387+2.5698e-05i,-0.00060425+0.00013918i
0.0010375+5.487e-06i,0.0013505-0.0010449i,0.0010212-0.0020163i,-0.00032112-0.0015166i,-0.001431-0.00048603i,-0.0011016+0.00024427i,7.9721e-06+0.0016866i,0.00053507+0.001531i,0.00046899+0.00031688i,0.00032604-0.00054233i,0.0003947-0.00065517i,0.0012181+0.00010059i,0.0013721+0.0003504i,0.0010262-2.3628e-05i,0.00082886+9.4821e-05i,-0.00018759+5.6348e-06i,-0.00093655-0.000363i,-0.00071118-4.1553e-05i,-0.00074068+0.00041374i,-0.00047934-6.5231e-05i,0.0004371-0.00042811i,0.00054584+9.7645e-05i,0.00055946+0.00052112i
0.00072626-0.0026532i,-0.00011008-0.0022531i,-0.00095713-0.0017888i,-0.0016515-0.00083348i,-0.0021748-0.00051991i,-0.0013807-0.00052193i,-2.5777e-05-0.00074642i,0.0015134-0.00098187i,0.0014734-0.0009447i,0.00045761-0.00060492i,0.00064078-0.00060331i,0.00044677-0.00075409i,-6.6165e-05-0.00073386i,-0.00011033-0.00065599i,-0.00055554-0.0005165i,-0.00096612+7.9557e-05i,-0.0011589-9.6019e-05i,-0.00069005-0.00025835i,0.00039655-2.3446e-05i,0.00080096+3.1013e-05i,0.0010254+0.00014135i,0.0010462-0.00017648i,0.00049681+0.00011772i
0.00032346-0.00055558i,0.0014154-0.00027942i,0.0023651-0.00060799i,0.0018208-3.1855e-06i,0.00063583+0.00036037i,-9.5482e-05+0.00073517i,-0.00071641+0.00052654i,-7.6606e-05-0.00073852i,0.00052213-0.001828i,-0.00020522-0.0022129i,-0.0011746-0.0017497i,-0.00097057-0.0013791i,7.8032e-05-0.00044729i,-1.2472e-05+0.00065062i,-0.00038563+0.0003143i,-0.00071074+2.3938e-05i,-0.00073491+0.00063357i,-0.00031878+0.00014748i,6.1382e-05-0.00034885i,0.000455-0.00047877i,0.00084656-0.00074419i,0.0007247-0.00061662i,0.0007584-0.00058516i
-0.0018768-0.00091081i,-0.00083336-0.00059215i,-0.00049018+0.00031481i,-0.00074362+0.0013126i,-0.001111+0.0023627i,-0.00063585+0.0020739i,-0.00088263+0.00091915i,-0.000883-0.00074992i,-0.00057272-0.0012848i,-0.0011015-0.00035407i,-0.00073319+0.00079539i,1.0599e-05+0.00074755i,0.00082019-0.0005974i,0.0017764-0.0011711i,0.0011927+0.00012418i,-0.00024019+0.0013481i,-0.00067511+0.00086041i,-0.00060638+0.00047174i,-0.00060591+0.0011013i,-0.00030445+0.001441i,0.00032031+0.001105i,0.00033003+0.00024777i,5.0279e-05-0.00038741i
-0.00040326-0.00052179i,0.00057886-0.00073633i,6.8832e-05-0.0015642i,-0.0015991-0.0010785i,-0.0025478-0.00037011i,-0.0014323-6.3612e-05i,0.00014197-0.00027913i,0.00048607-0.00086464i,0.00024141-0.0015458i,-0.00022018-0.0014142i,-0.00053459-0.0010856i,2.6325e-05-0.0001574i,0.00058704+0.00066052i,0.0014658+0.00068845i,0.0014999-7.6925e-05i,0.0012039-0.00025624i,0.0010347-5.2408e-05i,0.00060704+0.00018176i,0.00018373+0.00016475i,0.00017862-0.00022644i,0.00046301-0.00042565i,5.434e-05-0.00058821i,-0.00022987-0.00069883i
0.00082822+0.00081939i,0.0014381+2.025e-05i,0.0012876-7.6979e-05i,0.00098094+0.00038752i,0.00059591+0.00020026i,0.00040111+0.00030264i,1.4427e-05+2.1328e-05i,-0.00063222-0.0007619i,-0.00039381-0.00082014i,0.00038031-0.0011907i,0.00096773-0.0017317i,0.00089871-0.0011127i,0.00059512-0.00070589i,0.00037277-0.00089066i,-0.0001812-0.0006064i,-0.0005993-0.0001632i,-0.0005305+6.3469e-05i,0.00025094+0.00063279i,0.00042814+0.0016237i,-5.8179e-05+0.00077782i,-0.00014749-0.00028571i,-9.2775e-06+4.5761e-05i,0.00040913+0.0003615i
0.0015449-0.0022678i,0.0017308-0.0010309i,0.00035349-0.001128i,-0.0013552-0.0014362i,-0.0030062-0.00045594i,-0.0026299+0.00074512i,-0.00080086+0.00071576i,0.0003376-4.3113e-05i,0.00079977-0.00076835i,0.000786-0.0012347i,0.00023666-0.00047568i,-0.00031069+0.00081715i,2.4165e-05+0.00036721i,0.00035861-0.00048424i,6.7812e-05-0.00050816i,-0.00036028-0.00026304i,9.718e-05+0.0005079i,0.00059888+0.0011262i,0.00019289+0.0004273i,-0.00029594+2.8788e-05i,-0.00032911+4.6151e-05i,-4.288e-05+1.6666e-05i,5.2222e-05+0.00037868i
0.001174+0.00053537i,0.001993+0.00027021i,0.0013657-0.001174i,0.00076106-0.0011559i,0.00076425+0.00012501i,0.0010867+7.3429e-05i,0.0013744-0.00042273i,0.00086246-0.0010807i,9.8122e-05-0.0019473i,-0.0004877-0.0019564i,-0.00040999-0.0016445i,3.4413e-05-0.0003929i,-0.00011197+0.00084444i,-0.00076087+0.00064021i,-0.00039849+0.00058961i,0.00052913+0.0010614i,0.00077738+0.0011686i,0.000743+0.0011103i,0.00012451+0.00048842i,-0.00029132-0.00014223i,-0.00046047+0.00012813i,3.0085e-05+0.00028949i,-0.00028118+0.00027867i
0.00012359+0.00029334i,0.0016727-0.0003433i,0.0031744-0.00092918i,0.0028283-0.0016453i,0.00095372-0.00073156i,-0.00010649+0.00031239i,0.00015908+8.1909e-06i,0.00074539-0.00065116i,0.00055911-0.00084744i,0.00022054-0.00089056i,0.00046978-0.0012054i,0.00064713-0.00069447i,0.00085577+0.0008236i,0.00073181+0.0019717i,-0.00014669+0.0012905i,-0.00035974+4.6905e-05i,-0.00023179-4.0662e-05i,-0.00034983-9.5486e-05i,-0.00014423-0.00016148i,-5.8493e-05+0.0005592i,-9.3503e-05+0.0011276i,-0.00040566+0.0010581i,0.00060298+0.00071094i
0.0015747-0.0009996i,0.0016846-0.0017089i,0.00097303-0.0022294i,-2.3682e-05-0.0014765i,-0.00044124-3.8231e-05i,-0.00046565+0.00074913i,2.6458e-06+0.00020015i,0.0006496-0.00059131i,-0.0002076-0.0017547i,-0.0011822-0.0021232i,-0.00079003-0.00079609i,-0.00031871-0.00047027i,-0.00045678-0.00092432i,-0.00015774-0.00033397i,0.00022153-0.00021634i,0.00015859-0.0010749i,-0.00029521-0.00075644i,-3.0188e-05+6.8757e-05i,0.00016128-1.0726e-06i,-0.00016152-0.00019321i,0.00011651-0.00026492i,0.00025962-0.00020512i,6.585e-05-3.6794e-05i
0.0014425+0.0002962i,0.0031219+3.6931e-05i,0.0030906-0.001364i,0.0022312-0.0013281i,0.0012099-0.00027405i,6.3331e-05+0.00013403i,-0.00077849-1.7132e-05i,-0.0011144-2.4827e-05i,-0.00084824-0.00076243i,-9.3034e-05-0.0010656i,0.00050003-0.00057435i,0.0012327-0.00052967i,0.0013168-0.00061381i,0.00038426-0.00077165i,-0.0003543-0.0005436i,-0.00043307+5.3407e-05i,-0.00035881+0.00047162i,-0.00030168+0.00073865i,0.00029939+0.0011555i,0.00096049+0.00054182i,0.00057239-0.00027035i,-0.00097063-0.0007567i,-0.0014602-0.00051311i
0.0012352-0.00090059i,0.0012239-0.00040155i,0.0006599-0.00039906i,-0.0007682-5.5337e-06i,-0.0023027+0.0002564i,-0.001122+7.8932e-05i,0.0012076-1.0345e-05i,0.001311-0.0010456i,0.00022214-0.0012079i,0.00042221-0.00059903i,0.00056645-0.00090388i,0.00090576-0.00063717i,0.00069334+0.00038229i,0.00033805+0.00059456i,0.0005338+0.0011537i,-0.00013315+0.00090963i,0.0003156-0.00068425i,0.0014582-0.00079449i,0.001267-0.00023625i,0.00094455+0.00016046i,0.00093726+0.00025019i,0.0010134-0.00016943i,0.0013765-0.0010207i
0.0016456+0.00047619i,0.0028103-0.0010347i,0.002626-0.002841i,0.0016529-0.0027273i,0.00060175-0.0010476i,-0.0008044+6.9256e-05i,-0.0014149+0.00023454i,-0.0012543+7.3914e-05i,-0.00054665-0.00013053i,5.4145e-05-4.3059e-05i,0.0003123-0.00018691i,0.00040242-0.0004744i,0.00039244-0.00078525i,0.0003248-0.00027135i,-5.5485e-05+0.00014846i,-0.00034055-0.00014826i,-0.000478+5.9562e-05i,-0.00075378+0.00037659i,-0.00084668+0.00074703i,-0.00022896+0.00049401i,0.00039119-0.00027536i,0.00065203+2.0964e-05i,0.00092515+0.00061538i
0.00072638-0.0007806i,0.0011872-0.0016418i,0.0020005-0.0018459i,0.00255-0.0017364i,0.0019011-0.0013062i,0.00033093-0.00018004i,6.1705e-05+0.00037632i,0.00028605-0.00035138i,-6.6278e-05-0.00069572i,-0.00018264-0.00067841i,7.7344e-05-0.0011047i,0.00031958-0.001334i,0.00051551-0.00046012i,0.00010617+0.00038614i,-0.00075962+0.00051854i,-0.00096004+0.0002148i,-0.00049825-4.8585e-05i,-0.00067447+0.000101i,-0.00010863+0.00047053i,0.00099721+0.00073576i,0.00089506+0.0012538i,2.4281e-05+0.0011098i,-0.00025024+0.00055722i
0.000776-0.00032036i,0.00070368-0.00051467i,-5.6074e-05-0.00064095i,-0.0012077+0.00078672i,-0.0018432+0.0026444i,-0.0008246+0.0029092i,0.00089996+0.0013385i,0.0020027-0.00054257i,0.0018366-0.0020337i,0.0011196-0.0020986i,0.00065339-0.0011557i,-0.00016077-0.00095829i,-0.00033553-0.00055348i,-0.00016903+0.00018271i,1.4822e-05+0.0010262i,0.00059915+0.00086882i,0.00080252-0.00026744i,0.00040892-7.1609e-05i,-0.00071832+0.0002122i,-7.8765e-05-0.00015417i,0.0010442-0.00047731i,0.0005127-0.00050276i,-0.00011193+0.00017117i
0.0013351-0.0018699i,0.0018718-0.0030602i,0.0013767-0.0039287i,0.00021561-0.0034561i,-0.0012601-0.0020515i,-0.0017045-0.00038606i,-0.00057206+0.00030553i,0.00054432-0.00063875i,0.00060715-0.0018116i,0.0002935-0.0021189i,-0.00018443-0.0017244i,-0.00027733-0.0011476i,0.00013071-9.0498e-05i,0.00047322+0.0005429i,0.0011463-0.0002156i,0.00099043-8.7051e-05i,3.68e-05+0.00050392i,-0.00066737+0.00025551i,-0.00063469+4.7749e-05i,0.00029005+7.66e-05i,0.00065252+0.00024026i,0.00031343+0.00013342i,0.00016308-0.00016115i
0.0015206-0.0013471i,0.0017035-0.00089703i,0.002618-0.0015399i,0.0018113-0.0016688i,-0.00015682-0.00080746i,-0.0014726+0.00064592i,-0.00092388+0.00097314i,-0.00049905+0.00049813i,-0.00073373-0.0006924i,0.00019106-0.0009807i,0.00060425+6.0956e-05i,0.00013842+0.00090822i,0.00027611-5.403e-06i,0.0010235-0.00056691i,0.0012659+0.00038515i,0.00074272+0.00053039i,-0.00020387-1.5105e-05i,-0.00053495-0.00082011i,-0.00046252-0.00073582i,-0.00052954+0.0002624i,-0.00074625+3.6727e-05i,-0.00059929-0.00085303i,-0.00011816-0.0013091i
0.0027776-0.0010714i,0.0027735-0.0018751i,0.0020051-0.002246i,0.00071846-0.0021652i,-0.0005237-0.0017763i,-0.0014619-0.0015389i,-0.0014433-0.0009298i,-0.00042031-0.00028139i,-2.9589e-05-0.00096783i,0.00041698-0.0012526i,0.0010143-0.00059869i,0.00071152-0.00059209i,0.00052566-0.00024856i,3.2927e-05+6.6128e-05i,-3.7877e-05+9.638e-05i,0.00067891+3.7688e-05i,0.00082929+0.00022551i,0.00074363-2.1728e-05i,0.00063264-0.00084003i,0.00060708-0.00079171i,0.00092851+1.7933e-05i,0.00048399+9.5177e-05i,-1.3038e-05-0.00015411i
-9.0207e-05-0.00010339i,0.0013352-0.00067854i,0.0020892-0.00067551i,0.0014015-0.00021334i,-0.00014318+0.00082581i,-0.00059843+0.0010789i,-0.00013906+0.00082286i,0.00038048+0.00060266i,0.00027518+0.00081995i,0.00033895+0.00057382i,0.00034351-0.00046042i,-0.00010094-0.00074606i,-0.0004823-0.00032469i,-0.00014015+0.0001978i,-8.804e-05+0.00072775i,-0.00096425+0.00018726i,-0.00098671-0.00086973i,-0.00039241-0.00055119i,0.00042296+1.4588e-05i,0.00075109+0.00037362i,0.00018397+0.00047816i,-0.00032045+0.00027447i,-0.00017019+0.0003132i
0.0018836-7.5421e-05i,0.0025351-0.0010797i,0.0030767-0.0012501i,0.0020806-0.0011637i,8.7155e-05-0.00063437i,-0.0011134-0.00033699i,-0.00080139+0.00023342i,0.00037075+0.00021481i,0.00098878-0.00010012i,4.3678e-05-0.0009191i,-0.00018149-0.0015222i,8.9961e-05-0.00011347i,-7.3209e-05+0.0011309i,-6.9867e-05+0.0014642i,0.00035516+0.0012688i,0.00046059+0.0011254i,6.3245e-05+0.001233i,-7.3062e-05+0.00088664i,-0.00025281+0.00050222i,-0.00058527+0.00026445i,-0.00082779+4.6024e-07i,-0.00053187+0.00060597i,0.00011018+0.000633i
0.0022651+0.00073244i,0.0025094-9.3965e-05i,0.0027534-0.00017583i,0.0022256-0.00027966i,0.00092142-0.00036957i,0.00032651+0.00053082i,0.00032207+0.0012604i,0.00074248+0.0007133i,0.0011216-0.00069079i,0.0016124-0.0019728i,0.0017776-0.0017585i,0.0011288-0.00037376i,0.00014321+0.00061489i,0.00027998+0.00096102i,0.00023867+0.00091056i,0.00035847+0.00078799i,0.00023686+0.00058866i,0.00039722+4.4366e-05i,0.00019243-8.6494e-05i,-0.00020278+0.00038599i,0.0001163+0.00073081i,0.00071816+0.00073358i,0.0011555+0.0001558i
0.0019918-0.00045969i,0.0023911-0.00083585i,0.0016967-0.00018682i,-0.00017317+0.00060183i,-0.001164-6.992e-05i,-0.00054952+0.00025293i,-0.00014011+0.00061427i,0.0005132-0.00040984i,0.00044608-0.0014053i,0.00059183-0.0017464i,0.00073228-0.00084657i,0.00071447+0.00014823i,0.00067264+0.00027791i,0.0005235+0.00031862i,0.00078315+0.00044819i,0.00085562-1.4663e-05i,0.0011049-0.00070718i,0.00083279-0.0009223i,-9.9052e-06-7.237e-05i,1.9235e-05+0.0012078i,0.00059026+0.0013474i,0.00034908+0.0004043i,-3.4539e-05-0.00012937i
0.00019991-0.00093617i,0.00099207-0.0014579i,0.0014751-0.0012375i,0.00063756-0.0011437i,-0.00024486-0.00063111i,-0.00054807+0.0004313i,-0.00090255+0.00052517i,-0.00049788-0.00089269i,-0.00010688-0.0018289i,0.00022618-0.0015497i,0.00031271-0.0007363i,0.00020663-0.00011123i,0.00023066-7.0978e-06i,8.1273e-05-1.9772e-05i,-0.00013263+0.00079431i,-0.00018326+0.00076101i,-6.8284e-05+0.00042625i,0.00040104+0.00082867i,0.00045821+0.0010045i,0.00016222+0.00094754i,0.00071081+0.00077834i,0.0013188+0.0010317i,0.00084425+0.00082872i
0.00043569+0.00033956i,0.001557+0.00012794i,0.0022582+0.00028095i,0.0020582-0.00010472i,0.0012629+0.00019101i,0.00059327-0.00010167i,-6.8108e-05-0.00018562i,-0.00025767+0.00014341i,-0.00056687-0.00046678i,0.00037641-8.8728e-05i,0.00058552+0.00053857i,-0.00087017+3.3874e-06i,-0.001115-0.0005682i,-0.00058095-0.00053431i,-0.00023743-0.00035252i,-0.000492-0.00010372i,-0.00089045+0.00012022i,-0.00052479+0.00049215i,0.00038903+0.0012702i,0.00039678+0.0012451i,-0.00035274+0.00041545i,-6.5861e-05-6.025e-05i,0.00054237-2.1928e-05i
0.0015858-0.0010878i,0.0015774-0.00077221i,0.00032329-0.00021464i,-0.00038953+0.00031125i,-0.00040905+0.00012228i,-0.0010273-1.8719e-05i,-0.0013256+0.00031268i,-0.00074631+0.00084374i,2.6238e-05+0.0006581i,3.3892e-05+1.6026e-05i,0.0001753-0.00038415i,0.00087148-0.00039946i,0.0010115+0.00022647i,0.0010161+0.00089163i,0.0007676+0.00035204i,-5.1295e-05-0.00099792i,-0.00081378-0.00067285i,-0.00064201+0.00029729i,8.1274e-05-2.1423e-05i,0.00031522-0.00021844i,-5.2791e-05+0.00026851i,-0.00010333+0.0005636i,-0.00024116+8.5874e-05i
0.0011438-0.00066516i,0.0023352-0.00057532i,0.0028632-0.00074514i,0.0019023-0.0014182i,0.00063844-0.0012529i,-0.00029325-0.00044123i,-4.2848e-05-0.00026793i,0.00069546-0.0011425i,0.0013342-0.0017512i,0.0013746-0.0016464i,0.00073641-0.0013922i,4.815e-05-0.00082611i,0.00032314+0.00046779i,0.00022447+0.00042052i,0.00040865+0.00011133i,0.00057043+0.00021847i,0.0002233-0.00014618i,0.00023005+0.00032233i,0.00024927+0.0012856i,-2.7288e-05+0.001232i,-0.00064793+0.00089341i,-0.00029753+0.00082396i,0.00061786+0.001142i
0.00042019+0.0016129i,0.0030646+0.0010343i,0.0046113+0.0018214i,0.0039619+0.0010556i,0.0023947-0.00051013i,0.00016978-0.00030714i,-0.00088477+0.00076082i,-5.0769e-05+0.00026057i,0.00086775-0.00010295i,0.00089652-0.00078089i,0.00087414-0.0015893i,0.00018555-0.00094468i,-0.00041092+8.6314e-05i,-0.00025132+0.0011083i,-0.00028822+0.0013513i,0.00029164+0.0010743i,0.00068537+0.00052282i,0.00036444+0.00017676i,-0.00024699+9.4749e-05i,-4.672e-05+0.00063419i,0.00038747+0.00071944i,0.00049543+1.3656e-05i,0.00053866-0.00044875i
0.00023343+0.00033388i,0.001267-0.00042911i,0.0017442-0.0011452i,0.0006314-0.00062321i,-0.0015896+0.00031239i,-0.0026886+0.00071084i,-0.0018947+0.00019988i,-0.00059266-0.00032532i,0.0011249-0.00084202i,0.0022067-0.00068804i,0.0012128-0.00012685i,0.00058108+0.00058671i,0.00083547+0.0004315i,0.0006541-0.00040498i,0.00028808+0.00010513i,0.00016458+0.0014238i,0.00029081+0.0017848i,0.00033034+0.0012733i,0.00064447+0.00085797i,0.00095986+0.00087913i,0.00082361+0.00082951i,0.00074056+0.00070844i,0.00015848+0.00058918i
-0.00098073+0.0009663i,0.0010885+0.00086031i,0.0015259-0.00012725i,0.00048376-0.00071788i,-0.00016732-0.0001653i,5.2338e-05+0.00010527i,0.00061407+0.00019139i,0.00044275-2.213e-06i,3.4515e-05-0.00088998i,0.00075129-0.0011108i,0.0018314-0.00034122i,0.0018247-0.00013157i,0.0015056-0.00063889i,0.00063599+0.00017427i,-6.509e-05+0.0010013i,-1.254e-05+0.00074604i,0.00013649-0.00036555i,0.0004748-0.0007723i,9.3584e-05-0.0005761i,-0.00049113-0.0010212i,-0.00014044-0.00067964i,0.00047002+0.00042173i,0.000441+0.00066233i
0.00032221-0.00081833i,0.00025399+0.00045552i,0.0011773+0.00049556i,0.00083534-0.00083585i,-0.00011925-0.00096257i,0.00033531-7.453e-05i,0.00036885+7.4797e-05i,-0.00026169+0.00039622i,-0.0003674-0.00017485i,0.00015687-0.00066624i,0.00015238-0.00095406i,-0.00037433-0.0011399i,-0.0011487-0.00050206i,-0.00088392-0.00031502i,-0.00043859-0.00036707i,-0.00078996-0.00011268i,-0.0012589-0.00011416i,-0.0010286-0.00048228i,-5.7636e-05-8.1032e-05i,0.00065704+0.00014068i,0.00099932-4.8256e-05i,0.0011213-0.00050074i,0.00053485-0.00089293i
0.0017407-0.0010094i,0.0021834-0.0014149i,0.0026629-0.0019784i,0.0011093-0.0021468i,-0.00068107-0.0020197i,-0.00082662-0.00073086i,0.00047275+0.00024076i,0.00087948+0.00014083i,-6.019e-05-0.00074204i,-0.00027382-0.0010911i,-0.00023712-0.0015958i,-0.00014465-0.0011458i,0.00035554+4.8894e-05i,0.00091841+9.2951e-05i,0.00077676-3.3677e-05i,0.00030415+0.0001424i,-0.00025834-5.6163e-05i,7.4082e-05-0.00026476i,0.00059677+3.155e-05i,0.00040712+0.0005163i,0.00018674+0.00023627i,0.00018305-0.0003409i,-9.6105e-05-0.00020362i
-0.00072491-0.0013897i,-3.2338e-05-0.001164i,-0.00060245+0.00039488i,-0.00068377+0.0017347i,-0.00086379+0.00092693i,-0.0014547+0.00057412i,-0.0012102+0.00010905i,-0.00013926-0.00049395i,0.00025966-5.5532e-05i,0.00031639+0.00020132i,0.00017351+0.00027147i,-0.00015535-0.00024902i,-0.00044474-0.00048621i,-0.00042211-0.00058983i,-0.00010831-0.00097066i,-0.00052955-0.00055677i,-0.00061503+0.0006034i,-0.00033356+0.0010293i,9.2047e-06+0.00087276i,0.00081203+0.00042561i,0.00025975+0.00047883i,-0.0010754+0.00086839i,-0.00086826+0.00039365i
0.00026469-0.0017237i,0.00056492-0.001466i,0.00042788-0.0012413i,-0.0011252-0.00012961i,-0.0033114+0.00094035i,-0.0034551+0.00076607i,-0.0014712+0.00049261i,0.00049608-0.00010898i,0.0011589-0.0012189i,0.0010037-0.0012616i,0.00044653-0.00072896i,-0.00037043+0.00022697i,4.9089e-05+0.0011918i,0.00043882+0.0014889i,-0.00015822+0.00082406i,0.00079725-0.00026785i,0.0012317-0.00047186i,0.00060357-0.00041421i,0.00052813+0.00049601i,0.00068035+0.00058311i,0.0003324+0.00052496i,6.4776e-05+0.00051532i,0.00040193-0.00019257i
0.00089545-0.00022025i,0.0016705-0.00013987i,0.0031089-0.00096718i,0.0024316-0.001263i,-0.00015126-0.00038739i,-0.0015051+0.00063931i,-0.00097916+0.00066253i,0.00017074+2.9611e-05i,0.0014534-0.00092191i,0.0016473-0.0011037i,0.0013685-0.00055015i,0.0012705-0.00078491i,0.00047414-0.00094978i,0.00039578-0.00027516i,0.00057291+0.00059937i,-0.00011158+0.00039149i,0.00013342+2.7603e-05i,0.00063786+4.54e-05i,0.00055396+0.00012744i,0.00058018+0.00033216i,0.00090603+0.00032796i,0.0011745-3.0895e-05i,0.00067716-0.0005753i
0.00067071+0.0010671i,0.0019395+0.00076412i,0.0029042+0.00070436i,0.0025713+0.00026049i,0.0014301+0.00045144i,0.00034847+0.00090042i,0.00012636+0.00079568i,0.000386-0.00030134i,0.00028775-0.0020022i,0.00023577-0.0021714i,0.00096363-0.00092256i,0.0013608+7.1725e-06i,0.0017159+0.00052853i,0.0010673+0.0011869i,-0.00030508+0.0014978i,-0.0011765+0.0016333i,-0.0010448+0.0011336i,-0.00013526+0.00038235i,0.00052805-0.00023283i,0.00065164-0.00034228i,0.00025113+0.00063169i,0.00020052+0.0010004i,0.00086919+0.00090385i
8.9142e-05+0.0011416i,0.00049865+0.00070733i,0.0017017+0.00021606i,0.0027416-0.00064817i,0.0024349-0.00058508i,0.0011929-0.00018167i,0.00054143+0.00052591i,7.2484e-05+0.00077245i,-0.0001246-0.00014037i,0.00011905-0.00092989i,0.00075973-0.0014801i,0.00097594-0.0013407i,0.00031504-0.001054i,0.00036884+9.0976e-05i,0.00019089+0.0008659i,-3.8888e-06+8.7208e-05i,0.00013231-0.00013951i,0.00023834+0.0001117i,0.00029426+0.00010371i,-0.00020572+0.00026907i,-0.00054271+0.00048033i,-0.00047953+0.00018498i,-6.4194e-05+0.00016887i
0.00094155+0.00064264i,0.0021293+0.00014335i,0.0033016-6.7028e-05i,0.0030401-0.00041289i,0.0019211-0.0014028i,-0.00049951-0.0013071i,-0.0012117+0.00013917i,-0.0004026+0.001059i,-0.00020498+0.00048298i,-0.00087267-0.0005727i,-0.00064005-0.001313i,-0.00013077-0.0018379i,-0.00013428-0.00083256i,-0.00068775+0.00075034i,-0.00019217+0.0012157i,0.00048919+0.0014441i,0.00022823+0.0010651i,0.0001041-4.0243e-05i,0.00049244-0.00074723i,0.0011175-0.00044669i,0.0010267-0.00012829i,0.0010473+9.4041e-05i,0.00019855+0.00069792i
0.00069559-0.0013327i,0.00087171-0.0013745i,0.000642-0.0010368i,-8.4838e-05-0.0014335i,-0.0017474-0.0015548i,-0.0024779-0.00012936i,-0.0012001+0.00097904i,5.9434e-05+0.00036793i,0.00051283-0.00049957i,0.00052077-7.4149e-05i,0.00013867+7.6391e-05i,-0.00040976-0.00015162i,-0.00060012+0.00044633i,-0.00067496+0.0010637i,-0.00039572+0.00083577i,5.6113e-05+0.00062981i,-0.00046236+0.00034515i,-0.00037892+0.00019592i,0.00062399+0.00091601i,0.00069484+0.00074877i,0.00022882+0.00013742i,-2.5076e-05+2.1389e-05i,-2.6865e-05+0.00011546i
0.00083803+0.00059461i,0.0017889-0.00055512i,0.0022793-0.0014428i,0.0011028-0.00068954i,-0.00018035+0.0004554i,-0.0006078+0.00019351i,-0.00048262-0.00040522i,0.00046715-0.00012149i,0.0011264+0.00066685i,0.00064036+0.00028202i,0.00043737-0.0003011i,0.00024547+0.00035076i,-1.6988e-06+0.00072307i,6.7349e-05+9.4377e-05i,0.00040626+0.00033689i,0.00089793+0.00038121i,0.00072492+0.00011058i,0.00030786-0.00020276i,-7.7793e-05-0.0010358i,-0.00050415-0.001161i,-0.0011179-0.00019358i,-0.00072519+1.0833e-05i,0.0003269+0.00010231i
0.00050747+0.0016085i,0.0018788+0.0015267i,0.0024839+0.0013562i,0.001914+0.0013453i,0.00061528+0.0016517i,-0.00074498+0.0011635i,-0.00058725+0.00038266i,0.00026093-0.00016428i,0.0011728-0.00080975i,0.0021986-0.00027279i,0.0021064+0.00069065i,0.00082444+0.0011696i,0.00027117+0.0015053i,0.00027288+0.001448i,0.0007347+0.0011317i,0.00047771+0.0008251i,-0.00042257+0.00062046i,0.00049618+0.00085055i,0.00083469+0.0010101i,0.00030227+0.00065662i,-0.00014464+0.00050658i,-6.4774e-05+5.0436e-05i,0.00034718+0.00048332i
0.0013391-0.00039145i,0.0024921-0.00051103i,0.0025926-0.0017519i,0.0016258-0.0023413i,0.00050134-0.0012926i,-0.00072236+0.00073338i,-0.0015805+0.0012684i,-0.0015888+0.0001573i,-0.0004386-0.0014042i,0.0011581-0.0017208i,0.0015182-0.00093474i,0.0021362-0.00021503i,0.0028117+0.00041052i,0.0017415+0.00019871i,0.00094638-0.00032891i,0.00038989-0.00057904i,-0.00017818-0.00079909i,4.1079e-05+5.1732e-05i,-0.00016335+0.00037055i,-0.0002901+0.00050111i,0.00012912+0.00076071i,9.7711e-05+0.00072442i,-0.0010508+0.00033622i
0.0021026+6.1816e-05i,0.0029512-0.0010643i,0.003129-0.0023012i,0.0014059-0.0025677i,-0.00045876-0.0021247i,-0.00096057-0.00032723i,-0.00044695+0.0011168i,3.5269e-05+0.00044142i,0.00046078-0.00072814i,0.0010499-0.0014964i,0.0010261-0.0015515i,0.0010022-0.00060439i,0.00087593-5.8948e-05i,-0.00016594+7.6498e-05i,-0.00080649+0.00066753i,-0.000647+0.00082302i,-0.00059313+0.00057194i,-0.00098734+0.000547i,0.00035739+9.9283e-05i,0.00079118+0.00048106i,0.00065497+0.00080266i,0.00084349+0.00062716i,0.00040136+9.8156e-05i
