0.0017102+0.00010096i,0.001002-0.0012875i,0.0012652-0.002388i,-0.00026588-0.0018233i,-0.0026798-0.00034547i,-0.0029302+0.0012042i,-0.0014523+0.0019475i,-0.00026052+0.0019905i,0.00013743+0.00049946i,-0.00016194-0.000633i,-0.00074847-0.0011755i,-0.0014966-0.00089452i,-0.0012294+0.00040658i,-0.00077217+0.0010349i,-0.00053444+0.0006348i,0.00039088+0.00030897i,0.00086929-0.00047166i,0.00052272-0.00064367i,0.0009334-1.915e-06i,0.0014201+0.00032196i,0.0010231-0.00040432i,0.00056251-0.0010101i,0.00016799-0.00070177i
-0.0011995-0.00048909i,-0.0001382-0.0014231i,-0.00017705-0.0015649i,-0.00046167-0.001384i,-0.0001145-0.0014817i,0.00081472-0.0023524i,0.0001484-0.0028252i,-0.0010774-0.0017265i,-0.0012787-0.00020911i,-0.0012201+0.00057265i,-0.00035701+0.00090918i,0.0002487-0.00031276i,0.00012467-0.0016162i,-0.00018604-0.0010726i,0.00043837-0.00094771i,0.0014506-0.0011928i,0.001718-0.00061436i,0.001033-0.0003753i,-0.00035887-0.00062268i,-0.0003139-0.00065097i,0.00024715-0.00047176i,0.00054655-0.0001314i,0.00037219+5.2754e-05i
0.0014801-0.00046619i,0.00023753-0.0018028i,-0.00047386-0.0017254i,9.1926e-05-0.0015692i,0.00099566-0.0022714i,0.00021432-0.0017777i,-0.00079853-0.00074424i,-0.00026917+0.00038851i,0.00044308+0.0006952i,0.00024371+0.00040885i,0.00019224+7.988e-05i,0.00022165+6.7435e-05i,-0.00020363+0.00012644i,-0.00020862+0.00049072i,-3.7895e-05+0.00087111i,-0.00040831+0.00024281i,-0.00032429-0.00015902i,-8.595e-05-3.6563e-05i,0.00046896+0.00059128i,0.00045535+0.00064329i,0.00018431-0.00030434i,0.00026785-0.00089361i,0.00074503-0.00067529i
-0.00084966-0.0012072i,-0.00026202-0.0022184i,-5.4694e-05-0.00328i,-5.7565e-05-0.0032867i,0.00046621-0.0020929i,0.0006501-0.0015244i,4.6752e-05-0.00091615i,-0.00028446-0.00031244i,-0.00034565-0.00024902i,-0.00025275+0.00053715i,4.7211e-05+0.00061765i,0.00036124-0.00040494i,0.00049743-0.0010262i,0.00087263-0.00034353i,0.0003022-0.0001152i,-0.00030854-0.00060701i,-0.00020377-0.00044712i,-0.00013032-0.00022327i,-1.8978e-05-0.00051336i,-0.00012561-0.00054381i,-0.00069409+0.00012001i,-0.00094741+0.0007175i,-0.00020687+0.00059188i
-0.00078804-0.00010667i,-9.8125e-05+0.00036493i,0.00015121+0.00063084i,-0.00036904-0.00023727i,-0.00037817-0.0010665i,-0.0001153-0.00085659i,-4.3287e-05-0.00024241i,-0.00033286+0.00027649i,-0.00013315-6.6135e-05i,0.00082176+2.2261e-05i,0.00068624+0.00031276i,0.00012012+0.00026816i,0.00053351-0.00023465i,0.00033082-0.00085091i,-0.00021362-0.0006261i,-0.00028842+2.6946e-05i,0.00026286+0.00015411i,0.00033239+0.00040628i,-0.00036534+0.00016423i,-0.00031754+0.00012631i,0.00030412+5.2236e-06i,0.00020018-7.6452e-05i,0.00050848-0.00024342i
-0.00045477-0.00075537i,-0.00044652-0.00037358i,-0.00083933-0.0012344i,-0.00084292-0.0027447i,-0.00024383-0.0023043i,0.00035166-0.00074895i,-0.00025925+0.0002843i,-0.00045139+0.0002946i,0.00016431+9.136e-05i,0.00071759-0.00039005i,0.00081942-0.0001002i,0.00047034+0.00025321i,0.00042624+0.00015703i,0.00024122-0.00035531i,0.00026921-0.00020796i,0.00030988+6.4903e-05i,-0.00016644-0.0004016i,8.2777e-05-0.00083851i,0.0005667-0.00087137i,0.00045663-0.00085076i,-0.00016351-0.00066436i,-0.0003761-0.00078024i,-0.00030418-0.00018188i
-0.0018019-0.001499i,-0.0021192-0.0021543i,-0.0013337-0.0027424i,-0.00047547-0.0022778i,-0.00037023-0.0014247i,0.00019704-0.0016665i,0.00073128-0.0019012i,0.00025442-0.0011548i,-5.3477e-05-0.00087938i,0.00021243-7.4663e-05i,0.00024757+0.00094095i,0.00055433+0.00044877i,0.0011952-0.0007622i,0.00047368-0.0011767i,-0.00036256-0.00077916i,0.00013493-0.00037159i,0.00044474+0.00011659i,-6.6976e-05+0.0003118i,-0.00024638-0.00012153i,0.00062972-8.6514e-05i,0.00048012+0.00016381i,-0.00040208+0.0011452i,2.9999e-05+0.00099387i
0.0021727-0.0008388i,0.0015381-0.00069907i,0.0009488-0.00046434i,-0.00021231-0.00063504i,-0.0018507-0.0012429i,-0.0017202-0.0013523i,-0.00077528-0.0004461i,9.1155e-05+0.00018394i,0.00076979-0.00010728i,0.00068182-0.00040294i,0.00024005-0.00059091i,-0.00028334-0.00030455i,-0.00073097-0.00032018i,-0.0011856-8.9874e-05i,-0.0007738-0.00030329i,0.00032416-0.00097707i,0.0003876-0.00056271i,0.00045982+0.00013803i,0.00068548+0.00023135i,0.00029339-0.0002797i,-0.00013666-0.00086717i,-0.00024965-0.00076866i,4.498e-05+0.00019457i
0.00040137-0.002642i,-0.00077272-0.0029407i,-0.0016569-0.0033409i,-0.0022964-0.003767i,-0.0022905-0.0025715i,-0.0015537-0.00091444i,-0.0010219+1.1712e-05i,-0.00054171+0.00035269i,0.0001549+0.00018692i,-9.1978e-06+0.0008674i,-0.001197+0.0011459i,-0.0016208-6.679e-05i,-0.00067317-0.00036325i,0.00073414+5.2033e-05i,0.0017241+0.00034948i,0.0013402+5.6724e-05i,0.00048493-0.00011994i,0.00032584-1.1244e-05i,0.0002961-0.00016882i,0.00051735-3.6458e-05i,0.00028208-0.00036769i,-0.00045675-0.00042863i,-0.00040518+0.00015323i
-0.00039315-0.0006045i,-7.9482e-05-0.0027438i,0.00074363-0.0029007i,0.00058018-0.001161i,-9.6334e-05-0.00033196i,-0.00052029-0.0011962i,-0.00074973-0.0019552i,-0.00061471-0.0012212i,-0.00058969+0.00015191i,-0.00014475+0.00071294i,0.00036093+0.00039357i,0.00033242-0.00025062i,0.0005035-0.00056722i,0.00025362-0.0014113i,-0.00010882-0.0012971i,0.0001939+0.00047726i,0.00016372+0.001147i,0.00055188+0.00080251i,0.001036+0.00010332i,0.00075445-0.000278i,7.5792e-05+0.00080935i,-0.00051596+0.0010789i,-0.00050348+0.00015808i
-0.0012025+0.00066089i,-0.00041455+0.00085293i,-0.00028964+0.0011015i,-0.00029006+0.00052226i,0.00036759-0.00042415i,0.00037686-0.00043979i,-7.9541e-05+0.00014749i,-0.00010497+0.00059514i,0.00038526+0.00082609i,0.0006306+0.0006295i,-1.9998e-05+0.00058561i,-0.00058435+0.00023343i,-0.00078429-7.1782e-05i,-0.00034679+0.00012133i,-0.00036746-0.00010822i,-0.00042957-0.00015723i,0.00038382+0.00076378i,0.00082352+0.00097365i,0.00012493+0.00030199i,0.0003429+0.00023903i,0.00070778+8.9524e-05i,0.00049553+0.00041498i,0.00014889+0.00070709i
-0.00077455-0.0018693i,-0.00029218-0.0017479i,-0.00043153-0.0032589i,-0.0015613-0.0032676i,-0.0013745-0.0018897i,0.00087385-0.00097003i,0.0016652-0.00030986i,0.00078536-4.84e-06i,0.0002023+4.3693e-05i,-2.768e-05+0.00090929i,-0.00015186+0.0014095i,0.00073479+0.0011116i,0.0012362+0.00042355i,0.00083411-0.0004018i,0.00098179-0.00054566i,0.00063742-0.00044611i,8.7572e-05-0.00033797i,-0.00029468-0.00031438i,-0.00042631-0.00047428i,-0.00052744-0.00047222i,-0.00024846-5.569e-05i,0.00023681+0.00013719i,0.00028307-0.00023638i
5.8003e-05+0.0012035i,0.00037523+0.0012062i,0.0014099-0.0004066i,0.0018339-0.0026938i,0.00083966-0.0031584i,-3.0417e-05-0.0016864i,-0.00036619-0.00026047i,0.00012487+0.00012683i,0.00066012+0.00034542i,-0.00066793+0.00038064i,-0.0011726-6.932e-05i,-0.00060036-0.00016283i,-0.0003547-0.00052665i,-0.00042901-0.0017637i,-0.00042222-0.0019068i,-0.00042627-0.00047388i,0.00025537+0.00031077i,0.00060672+6.1083e-05i,-0.00019359-0.00095604i,-0.00028183-0.0017582i,-0.00032347-0.0016459i,-0.0003267-0.0010619i,-4.7248e-05-0.00053235i
-0.0020071-0.0011225i,-0.0030452-0.0011026i,-0.0035076-0.0011411i,-0.0022238-0.0023918i,-0.00038596-0.0028655i,0.00036002-0.0012402i,-2.2896e-05+0.00028287i,0.00025165+5.2233e-05i,0.00066414-0.00021795i,0.000197+0.00045694i,0.00043581+0.0010562i,0.00067404+1.7692e-05i,0.0011078-0.00084943i,0.00063242-0.00026364i,1.6472e-05-0.00041098i,-9.003e-05-0.0005943i,-0.00069274-0.00028626i,-0.00048533-0.00022798i,0.00042781-0.00012865i,0.0012106+0.0002928i,0.00051967+0.00045535i,-0.00037069+0.00054399i,-0.00036268+0.0011214i
0.0029487+0.00056095i,0.0046305-0.0005576i,0.0036855-0.0026167i,0.0010171-0.0036666i,-0.00087549-0.0037195i,-0.0019063-0.0028058i,-0.0013848-0.0017179i,0.00017935-0.001145i,0.0009399-0.00054206i,0.00077943-6.1869e-05i,0.00015363-0.00017073i,0.00020694+0.00011687i,0.00038766+0.00041596i,-0.00017144+0.000491i,-0.00085004+0.0009629i,-0.0010377+0.00034536i,-0.00045645-0.00049336i,-0.00014745+1.8654e-05i,-0.00031792-6.113e-05i,-0.00048854-0.00017516i,-0.00057777-1.4916e-05i,0.00024262+9.8223e-05i,0.00082483+0.00035126i
0.00082659+0.0021224i,0.00031155+0.002041i,0.00029889+0.0021655i,0.00028979+0.0016156i,0.0011782-0.00054667i,0.00071379-0.00093085i,0.00010892+0.00042887i,0.00046016+0.00108i,0.00055275+0.00049488i,0.00033264-0.00051259i,3.1455e-05-0.00068762i,-0.00036641-0.0006084i,-0.0014262-0.00086047i,-0.0019955-0.00095814i,-0.0013423-0.0002712i,-0.00063044+0.000189i,-0.00061789+0.00032838i,-0.0007282+0.00053464i,-0.00026696+0.00053479i,0.00033664+0.00049074i,0.00087497+0.00068167i,0.0010455+0.0015175i,0.00031978+0.0013778i
-0.0025241-0.0016219i,-0.0017665-0.00059573i,-0.0011449-0.00062638i,-0.0012792-0.0023186i,-0.0019934-0.0037642i,-0.0022243-0.0022528i,-0.0015641-0.0007705i,-0.0010911-0.0010723i,-0.0011038-0.0013218i,-0.00037621-0.0013123i,0.00017525-0.0011541i,0.00027108-0.00083371i,0.00036656-0.0008525i,0.00049699-0.0016018i,0.00074225-0.0023385i,-2.1368e-05-0.0019833i,-2.6297e-05-0.001233i,0.00068993-0.00071135i,0.00080719-0.00054662i,6.8439e-05-0.00046336i,-0.00062704+3.304e-05i,-0.00048091+0.00045607i,0.00010531+0.00021899i
0.0069361-0.0079606i,0.0048067-0.010921i,-0.00086977-0.014265i,-0.0044676-0.010562i,-0.0064348-0.003895i,-0.0051955+0.0015995i,-0.0010154+0.0022095i,0.0016976+0.00084062i,0.0015054-0.00075236i,-0.00033475-0.0006965i,-0.0013297+0.0008588i,-0.00037298+0.0012258i,0.0012012+0.0022685i,0.0023152+0.0038887i,0.0025317+0.004522i,0.0015375+0.0036048i,-7.2648e-05+0.001077i,-6.626e-05+0.00046929i,0.0015767+0.00051189i,0.0021691-0.00093643i,0.0010348-0.0018834i,-0.00043556-0.00097058i,-0.0014541+0.00053498i
-0.00071035+0.001283i,-0.00016308+0.0017333i,-0.00028297+0.0014406i,-0.001537+5.1747e-05i,-0.0012908-0.0012805i,-0.00019849-0.0014349i,6.0434e-05-0.0010934i,0.00084016-0.00057652i,0.00084833+0.00018635i,-4.7331e-05+0.00060844i,-6.6604e-06+0.00040615i,0.00019187+0.00017416i,-1.7162e-05+0.00022047i,-0.00033198+2.756e-05i,-0.00032915-0.00024086i,4.4248e-05-0.00012684i,-9.6237e-05-0.00013579i,-0.00083247-0.00081318i,-0.0005833-0.00062784i,-0.00037233+0.00064866i,-9.0508e-05+0.0011666i,0.00099998+0.0006409i,0.0013478-0.00021765i
-0.0010714-3.2293e-05i,-0.0013899-0.00055004i,-0.00057247-0.0018214i,-0.00064676-0.0024422i,-0.0016337-0.0016913i,-0.0018169-0.00064169i,-0.00063061-0.0003582i,-0.00054082-0.00044414i,-0.0005388-0.00083925i,-0.00051991-0.00098631i,-0.00081965-0.0010316i,-0.00087431-0.00076714i,-0.0013946-0.00024854i,-0.001787-0.000507i,-0.0017403-0.00028237i,-0.0016958+2.6876e-06i,-0.00084051-0.00041243i,0.00038588-0.00052027i,0.00013324-1.8101e-05i,-0.00037406+0.00057224i,-0.00014293+0.00066515i,-0.00016001-0.00074638i,-7.5693e-05-0.0010298i
0.0031859-0.003833i,0.0035907-0.0053337i,0.0030257-0.0063763i,0.0013707-0.0049068i,-0.00041137-0.0016471i,0.00028212+0.00067438i,0.0010167+0.0015262i,0.00073934+0.00097598i,0.0001103+0.00050473i,-0.00058028+0.0012637i,-0.00024602+0.0018483i,0.00068536+0.0017409i,0.0016992+0.0011784i,0.0025359+0.0013925i,0.0023934+0.0014959i,0.00068903+0.0012613i,-0.00051958+0.00058758i,-0.00025366-4.0626e-05i,0.0005932-0.0004974i,0.00073756-0.00068731i,0.00015203-0.00023353i,-8.2316e-05+0.00027973i,-0.00038422+0.00024838i
0.0010523+0.0012523i,0.00035007+0.0012522i,-0.0013754+0.0004209i,-0.0013541-0.0013443i,-0.00045966-0.002888i,0.00015632-0.0021797i,0.00057495-0.00039351i,0.00042829+0.00010524i,0.00051059-0.00027206i,0.00011253-0.00078656i,-0.00014526-0.0011536i,-0.00016666-0.00049771i,-0.00081436+0.00052044i,-0.0013049+0.0004708i,-0.0013869-3.2264e-05i,-0.00083115-5.3894e-05i,0.00024478-2.5786e-05i,0.00085543+0.0002472i,0.0012064+0.00082265i,0.00068811+0.00036575i,0.00016303-0.00055529i,0.00040662-0.00031241i,-8.0753e-05-0.00014734i
0.00017824-0.0010362i,-0.001098-0.0013952i,-0.002456-0.0022562i,-0.0019271-0.0021078i,-0.0009945-0.0011087i,-0.00024916-0.0010689i,2.6053e-05-0.00093806i,0.00033215-0.00043838i,0.00037927-5.5699e-05i,0.00032113+0.00018221i,0.00041982+0.00017657i,0.00020181+0.00017512i,-0.00020817+0.00016371i,-0.0003705-0.00043985i,0.00018659-0.00087001i,0.00069594-0.00049612i,0.00059117+0.00016543i,0.00070622+0.00037847i,0.0011656+0.00061779i,0.00096982+0.00044841i,0.00017979+0.00032299i,0.00017693+0.00027545i,0.00086629+0.00079124i
0.0018107-0.0017846i,0.0015281-0.0027188i,0.0019842-0.0037088i,0.0013325-0.0033493i,0.00020449-0.0022849i,-0.00010214-0.0012708i,0.00044649-0.00061674i,0.0006175-0.00076548i,0.00060186-0.00078114i,0.00091244+5.0197e-05i,0.0006626-6.532e-05i,-0.00013817-0.00099509i,-0.00036021-0.0016776i,0.00025454-0.00099856i,0.00088315-3.7798e-05i,0.00087878-0.00012367i,0.00028259-9.2459e-06i,9.1319e-06-4.1184e-05i,0.00026933+0.00017942i,0.00029713+0.00028915i,8.5704e-05+0.00029353i,2.2357e-05+0.00072514i,-7.6148e-05+0.00057019i
0.0019284+0.00016876i,0.0023069-4.1297e-05i,0.0020649-0.001954i,0.0009391-0.0044978i,0.00013361-0.0044002i,-0.00074014-0.0022444i,-0.0017093-0.00091224i,-0.0013748+2.5117e-05i,-0.00021116+0.00026665i,-0.00044717-0.00027613i,-0.00090868-0.00041966i,-0.0002742-0.00053912i,-0.00030037-0.00052809i,0.00012348-0.00027448i,0.00032761+0.00032291i,-0.00038264+0.00072664i,-0.00044463-9.609e-06i,-0.00032359-0.00049425i,-0.00057663-0.00019994i,-0.00022619+0.00025741i,0.00030827+0.00072826i,0.00031552+0.00050231i,-0.00089246+0.00067096i
-0.0014779-0.001001i,-0.0021395-0.00050586i,-0.0017003+0.00075203i,0.00080701+0.0010184i,0.0016747-0.00011976i,0.00098943-0.00076599i,0.00050519-0.00014535i,-0.00027841-9.9669e-05i,-0.0009801+0.00043529i,-0.00063651+0.00098841i,8.6999e-05+0.00042326i,-1.3294e-05+3.4701e-05i,-0.00040322-0.00037i,0.00011024-0.00080974i,0.00061713-0.00010782i,0.00014922-0.00025232i,-0.00037172-0.0011752i,-0.00049756-0.0013415i,-0.00039727-0.00011266i,-0.00018516-0.00011422i,-7.4842e-05-0.00079629i,-0.0001358-0.00010646i,-0.00055502+0.00050057i
0.00014813-0.00081185i,0.0009209-0.0015779i,0.0014288-0.0021295i,0.00049211-0.0013752i,-0.00067514-0.0018913i,-0.00049825-0.0016276i,-0.00014706-0.00071635i,-0.00074894+5.2798e-05i,-0.00050836+0.00068017i,0.00015668+0.00051921i,0.00046736-0.00027639i,0.0008766-0.00077772i,0.00076549-0.0011156i,0.00052136-0.0011779i,0.00097747-0.00040564i,0.00056503-0.00022715i,-0.00029532-0.00015372i,-0.00042681+0.00014054i,-0.00015168-0.00020816i,0.00026456+0.00013878i,0.00046655+0.00091896i,0.00038032+0.000735i,0.0006431+0.00035505i
-0.00043526-0.00021669i,0.0012997-0.0012743i,0.0012018-0.0018328i,-6.42e-05-0.0028123i,-0.00037812-0.0027534i,-0.00042689-0.001089i,-0.00047256-0.00017126i,0.00031484+0.00037769i,0.00083195+0.0012653i,0.0007159+0.0013615i,0.00059434+0.00050116i,3.7293e-05-0.00074183i,0.00022616-0.00089993i,0.00033088-0.0012217i,0.00075085-0.0012709i,0.0014319-0.00058366i,0.0016906-2.9871e-05i,0.00088503+5.7005e-05i,-0.00050925+0.00049708i,-0.00058332+0.0010909i,-0.0001313+0.0010315i,-0.00043439+0.00032291i,-0.00047573+0.00020513i
-0.0023234-0.0017001i,-0.0024995-8.0197e-05i,-0.0027183+0.0007828i,-0.0019106-4.9719e-05i,-0.00058498-0.00088779i,-0.00055994-0.00095989i,6.7497e-06-0.00049528i,-2.137e-05-0.00030462i,6.504e-05-0.00026555i,0.00029205+0.00073993i,-0.0001676+0.0015325i,-0.00056731+0.00068548i,-0.00039495-0.00031915i,0.00065778-0.00017672i,0.001147+0.0001295i,0.00068326-0.00024115i,-3.3745e-05-0.00078074i,-0.00066057-0.0010497i,-0.00074163-0.00069463i,-0.00017044-0.00079402i,0.00052492-0.0014807i,0.0010266-0.00078527i,0.00076031+6.7323e-06i
0.0022122-0.0012637i,0.0020884-0.0031833i,0.0017766-0.004601i,0.0016574-0.0058021i,0.0012203-0.0055356i,0.00014521-0.0034977i,-0.00055306-0.0016622i,9.634e-05-0.00026672i,0.00070476+9.9621e-05i,0.0011314-2.6459e-05i,0.00076793+0.00017043i,-0.00033758+3.4385e-05i,-0.0009321-0.0006577i,-0.0009036+0.0001573i,-0.00069545+0.0013021i,-0.00049961+0.0014107i,-5.1405e-05+0.0010988i,0.00031705-7.8525e-06i,8.5615e-05-0.00069832i,-9.7765e-05-6.456e-05i,0.00049959-8.299e-05i,0.0010794-0.0011248i,0.00082822-0.0010976i
-0.001462-0.0015722i,-0.0022087-0.001589i,-0.0026681-0.00032361i,-0.00074872-0.00027899i,0.001178-0.00157i,0.00091037-0.0022753i,0.00053164-0.0017033i,0.0011508-0.00089427i,0.00018953-0.0001554i,-0.00078031+2.923e-05i,-0.00030333-0.00018809i,-0.00064657-0.00033622i,-0.00047508-0.00097756i,0.00044479-0.0011115i,0.00050658-0.00061296i,0.0005747-0.00099143i,0.00026327-0.00061515i,-0.00015894-0.00035884i,0.00062672-0.00033512i,0.00090881-0.00016272i,0.00071788-0.00033902i,0.00062823-0.00056078i,0.00057749-0.00024377i
-0.0020253+0.00063678i,5.9567e-06+0.0019461i,0.00065587+0.0021337i,0.00025527+0.0016508i,-0.0001687+0.0010435i,-0.00043419+4.7671e-05i,-0.00085013-0.00010102i,-0.0011409+0.00060203i,-0.0004369+0.0001912i,-1.209e-05-0.00098734i,-0.00031961-0.0011424i,0.00049874-0.00072162i,0.00053168-0.00045056i,0.00035643-0.00096808i,0.00049135-0.0013332i,-0.00046055-0.0013513i,-0.00056149-0.00062115i,-0.00053647-0.00030372i,-0.00022364-0.00017859i,0.00022373+0.00051402i,0.0003311+0.00074876i,-3.9736e-06+0.00027683i,0.00014758-0.00017274i
0.00081725-0.0013447i,-0.00065542-0.0023236i,-0.001746-0.0038316i,-0.0021909-0.0042548i,-0.0015504-0.0033928i,-0.00060503-0.00226i,-0.00020069-0.00062203i,-0.00033749+0.00026106i,-0.00093823+0.00047668i,-0.00030862+0.00026188i,0.00040365+0.00028502i,0.00018085+0.0010779i,-0.00018004+0.0015544i,-5.2058e-05+0.00084722i,0.00015016-0.0001309i,7.9212e-05-9.4674e-05i,-0.00027369+2.7316e-06i,-0.0006892-0.0003231i,-0.0002531-0.00019672i,0.00022637+0.00073122i,-0.00028454+0.0012267i,-0.00056186+0.00067927i,-0.00042974-1.109e-05i
0.0020517-0.0011111i,0.0021778-0.0022937i,0.0021065-0.0029437i,0.0007125-0.0039291i,-0.0001915-0.0040034i,6.1478e-05-0.0025885i,0.00049569-0.00077367i,0.0011615+0.00077527i,0.0009972+0.00052779i,0.00055975+0.00017525i,0.00016827+0.00055393i,-0.00017007+0.00059322i,-0.00083727-2.5428e-06i,-0.0011124+0.00010903i,-0.0001914+0.0012474i,0.0006219+0.0010307i,0.00063472+5.9887e-05i,0.00098129-0.00039197i,0.00032418-0.00026112i,-7.8416e-05-0.00043604i,0.00015267-0.0012251i,8.8904e-05-0.00077554i,-0.00015599+0.00023395i
0.0011798-0.00027309i,0.00040198-0.0020387i,3.9502e-06-0.0038877i,-0.00012748-0.0045784i,-0.00024136-0.0034944i,-3.5766e-05-0.0013742i,0.00015588-5.5604e-06i,0.0003207+0.00035692i,0.0013204+0.00013778i,0.0013382-0.00027535i,-0.00022281-0.00021128i,-0.00094209-3.1372e-05i,-5.3512e-05+0.00026429i,-0.00012778+0.00055101i,-0.0002979+0.00052782i,8.0783e-05+0.00043837i,1.8291e-05-3.1303e-05i,0.00014969+0.00047615i,4.7188e-05+0.0010389i,0.00034773+0.00041654i,0.00079143-5.2323e-05i,0.0010181-0.00042514i,0.0010616-3.7808e-05i
0.00062191+0.001333i,-4.9022e-05+0.0021938i,-0.00027971+0.0013334i,0.00049491+0.00040312i,0.00097583-0.00032841i,0.00086617-0.0012314i,0.00091335-0.0012072i,0.00034423-0.00058834i,-0.00073212-0.00083682i,-0.0014832-0.0012387i,-0.0012197-0.00085801i,-0.00085394-8.2477e-05i,-0.00088169-0.0001405i,-0.00016417+8.3656e-05i,-5.984e-05+0.00073814i,-0.00018055+0.00037058i,0.00042668+9.3195e-06i,0.00073138+0.00080729i,0.00046654+0.00037916i,-0.00025365+1.8892e-07i,-8.6849e-05+2.4012e-05i,0.00044537-0.00023706i,-9.0701e-05+0.00019193i
-0.00052582-0.0010529i,-0.0010609-0.00049434i,-0.0019069-0.0013453i,-0.0012697-0.0017258i,-0.00039663-0.0014735i,0.00039151-0.0015839i,0.00023745-0.00079698i,-0.00025566-4.6988e-05i,-0.00027363-0.00058963i,0.00031793-0.00059552i,0.00025979+8.1201e-05i,-3.6108e-05+0.000719i,-1.5194e-05+0.00043827i,0.00011801+0.00052885i,0.00053655+0.00060896i,0.00061083+0.00052072i,0.00044961+0.00097079i,-0.00011625+0.00090958i,-8.1911e-05+0.00014256i,9.4254e-05-0.00020805i,-0.0003491-0.00028474i,-0.00034124-0.00030016i,8.2183e-05-0.00055758i
-0.001517-0.0023543i,-0.0015919-0.0031356i,-0.0013333-0.0028036i,-0.0011227-0.0019535i,-0.00024835-0.0013911i,0.0010178-0.00026834i,0.0010857+2.8502e-05i,6.9862e-05-0.00022142i,-0.00040162+0.00027899i,-0.00022834+0.00030119i,0.00043343+0.00044609i,0.00041128+0.00058936i,0.00012802-0.00037111i,0.00049395-0.00066342i,0.0008248+0.00029551i,0.00034465+0.00053113i,-9.8794e-06-0.00026567i,-8.6509e-05-0.00039681i,-0.00088701+6.8731e-05i,-0.0015088-0.00023985i,-0.001214-0.00038031i,-0.0006858+0.00032532i,0.00025535+0.00042649i
-4.0273e-05+0.0010074i,-0.00040109+0.0008396i,-9.046e-06-0.00045645i,0.00059165-0.0021443i,0.0007178-0.0031412i,-0.00015512-0.0032692i,-0.00046395-0.0015101i,9.7364e-05+0.00064688i,-0.00023367+0.0014831i,-0.0006136+0.0014043i,-0.000213+0.00082092i,-0.00042244+0.00057436i,-0.00027967+0.00084171i,0.0002947+0.00078258i,-0.00029611+0.00034095i,-0.00092215-0.0001163i,-0.00014144-0.00019024i,0.0010679-0.00051707i,0.0010671-0.00096793i,8.5795e-05-0.00057856i,-0.00030127-0.0004453i,0.0010432-0.00056971i,0.001733-0.00028455i
0.0010876+3.7393e-05i,0.0010077-0.0015216i,0.00040647-0.0025135i,-0.00081343-0.0035364i,-0.0010925-0.0028122i,-0.0013467-0.00079593i,-0.00095161-6.6399e-05i,0.00013646+0.00020072i,0.00035982-0.00014261i,-0.00036484-0.00045439i,-0.00070073-0.00039708i,-0.00015326-0.00037725i,-0.00026239-0.00023239i,-0.00020805-0.00014764i,0.00016328+3.6884e-06i,-0.00071314+0.00022426i,-0.0011788-0.00036813i,-0.00053252-0.00069367i,0.00046711-1.3367e-05i,0.00051747+0.00029251i,0.0002238+0.00085667i,3.0221e-05+0.0011645i,0.00037217+0.00070006i
-0.00080379+0.00029431i,-0.0010622-0.00024493i,-0.00013307+0.00010335i,-0.00041129-0.0010975i,0.00019365-0.0022772i,0.00085561-0.0027368i,0.0006045-0.0018679i,0.00020289-0.00048646i,0.00024062+0.00045157i,0.00077168+0.00039827i,0.00088272-0.00030573i,0.00074844-0.00069465i,0.0001653-0.00060852i,-0.00028351-0.0012126i,-0.00055523-0.0019625i,-0.00056056-0.0015495i,3.7658e-05-0.00042299i,-4.7553e-05-0.00037276i,-0.00017868-0.00057369i,-0.00020204-0.00037098i,-0.00011597-0.00077308i,0.0003714-0.0011034i,0.00058144-0.00074865i
0.0013004+0.0016286i,0.0019604+0.00021801i,0.0023143-0.0019344i,0.0021102-0.0030232i,0.00078943-0.0030734i,-0.00032472-0.0021989i,-0.0007539-0.00084268i,-0.00051768-0.00015586i,-0.00029568-0.00088601i,-0.00040792-0.0018429i,0.00016598-0.00065026i,0.00047299+6.2426e-05i,-0.00083888-0.00024469i,-0.0020881+0.00031853i,-0.0017006+0.00040016i,-0.0008968-1.8003e-05i,-0.0006192-0.00086202i,0.00024639-0.00032791i,-0.00011781+0.001059i,-0.00062859+0.00087698i,0.0002269+0.00049571i,0.00036834+0.00036164i,5.4881e-05+8.4971e-05i
0.0020602-0.00039458i,0.0018675-0.00158i,0.003123-0.0034292i,0.0015241-0.0046072i,-0.0013663-0.004653i,-0.0021671-0.0028469i,-0.0011298-0.00099889i,-0.0003164+0.0002598i,-0.00093622+0.00069081i,-0.0015541+4.6704e-05i,-0.0015194-0.00056757i,-0.00089702-0.00050676i,-0.0004938+0.00015114i,-0.0010998+0.00085123i,-0.00039799+0.00093801i,-4.5261e-05+0.00060674i,-0.0011099+0.00018047i,-0.00096624-7.5088e-05i,-8.3535e-05-0.00031638i,0.00058096-0.0004944i,0.00063945-0.0003821i,0.00088689-0.00082788i,0.00030216-0.0012561i
