-0.00051432+0.00071713i,-0.00020986+0.00035285i,-0.00046615+7.1819e-07i,-0.00096465-0.00023542i,-0.0015368+0.00023789i,-0.0020118+0.00043877i,-0.0010923+0.0010339i,0.00030034+0.0020171i,0.001663+0.0013971i,0.0019025+0.0001032i,0.0015119-3.6861e-05i,0.00089807-6.6485e-06i,0.00011989-0.00029558i,0.00019277-0.00015561i,0.00054329+0.00046806i,0.00081794+0.001431i,0.00051224+0.0011957i,0.00010399-0.00035737i,0.00046452-0.001179i,0.00034601-0.00098729i,0.0001943+2.0984e-05i,-0.00042835+0.0010659i,-0.00097768+0.00093534i
0.0013141+0.00082498i,0.0024231+0.00096408i,0.0033548-0.00031495i,0.0024087-0.00074826i,0.001015-0.00025024i,0.00042304-0.00033088i,-0.00013424-0.00046661i,5.5551e-06-2.0592e-05i,0.00043048-0.000135i,0.00027489-0.00032631i,6.5844e-05-1.2976e-05i,0.00015607+7.7882e-05i,0.00033649+0.00026543i,0.00069843+0.00075596i,0.00075229+0.00038425i,0.00032458-0.00039795i,0.00036728-0.00034173i,0.0005222+0.00050578i,0.00010434+0.000173i,-7.272e-05-0.00028295i,0.00027985+3.1228e-05i,0.00052159-0.00027897i,0.00067412+0.0001795i
-0.0017949-0.0016766i,-0.0018481-0.0015388i,-0.0011136-0.0013215i,-0.0003556-0.0002565i,-0.00075225+0.00079839i,0.00015268+0.0007687i,0.0016266+0.00028328i,0.0016896-0.00023751i,0.0011384-0.00016244i,0.0001256-0.00025377i,0.00014138+0.00025046i,0.00060478+0.0008697i,0.0011763+0.00063801i,0.0019486-0.0001772i,0.0015105-0.00086213i,0.00090752-0.00027307i,0.00048453+0.00094439i,-0.0002049+0.00070899i,0.00029943-0.00029274i,0.0010768-0.00067122i,0.00063676+0.00036034i,-0.00015888+0.0017842i,0.00010086+0.0015323i
-0.00067494-0.00071711i,-0.0010375+0.0012554i,-0.0012741+0.0022362i,-0.0022018+0.0024149i,-0.0014411+0.0023125i,6.7616e-05+0.0019071i,0.0001407+0.00086515i,-0.00046444-3.7145e-05i,-0.00090445-0.00014588i,-0.0002388+0.00053562i,0.00073046+0.00097493i,0.00087287+0.00093194i,0.00010749+0.00074242i,-0.00050205-0.00026708i,-0.00055443-0.00035734i,-0.00026226+0.00022536i,-0.00026901+0.00046595i,-0.000367+0.00032599i,-0.00039893+3.9778e-05i,-0.00049241-7.7938e-05i,-0.00029651-0.00018494i,0.00015709+0.00033222i,0.0007242+0.00046044i
-0.00060969+0.00054295i,-0.0009432-0.00082763i,0.00067485-0.0011085i,0.0019003-0.0005585i,0.0019458-0.00014786i,0.0016911-0.0006409i,0.00042542-0.00096186i,-0.00074435-0.00041906i,-0.00052308+0.0002795i,0.00021798+0.00085649i,0.00021328+0.00099305i,-0.00036686+0.00064063i,-0.00011693+0.00046264i,0.00017568-6.1363e-05i,0.00029503-0.00054462i,0.00013634-0.00015939i,-0.00058312+0.00026785i,-0.00058971+0.00036316i,5.0114e-05+0.00014671i,0.00032351-0.0010114i,0.00063003-0.0013392i,0.00056274-0.00026471i,-0.00015461+1.6412e-05i
-0.0020265+0.0019069i,-0.00083637+0.0033563i,0.0010523+0.0046341i,0.0026091+0.0040384i,0.0034369+0.0029767i,0.0035354+0.0010571i,0.0026947-0.00045016i,0.0015239-7.9017e-05i,0.0011726+0.00032828i,0.0010275+0.00055236i,0.0013708+0.00085148i,0.0014189+0.00050834i,0.00093548-0.00071384i,0.0011265-0.00086767i,0.00090546-0.00013994i,0.00023728+0.00016396i,3.9538e-05+0.00055743i,0.00015868+0.00050933i,0.00015549-0.00013253i,0.00066381-0.0001717i,0.00089862+0.00010819i,0.00050236-0.00013386i,0.0004942-0.00034043i
0.00060014-0.0026049i,0.00049976-0.0028164i,-0.0007837-0.0028895i,-0.002522-0.00099285i,-0.0028177+0.0005172i,-0.0020582+0.0002907i,-0.0013553+0.00043387i,-6.477e-05+0.00024175i,0.00071682-0.00026377i,0.00025387+3.8376e-05i,0.00046467+0.0004212i,0.00063829+0.00097055i,0.0005558+0.0012199i,0.00083708+0.00096155i,0.00073122+0.00055805i,0.00096877-0.00016837i,0.00042708-0.00030237i,0.00056379-0.00028632i,0.00057219-0.00082348i,-0.0011119-0.00030777i,-0.0020742+0.00085755i,-0.0016151+0.001002i,-0.0003062+0.00064362i
0.0013035+0.00059367i,0.0027091+0.0017134i,0.0033597+0.0025921i,0.0026652+0.0012694i,0.0010347-0.00037235i,0.00042857-0.0013559i,0.00014809-0.0017135i,0.00015227-0.0017251i,0.0010603-0.0011477i,0.0015205+5.09e-05i,0.00141+0.00082161i,0.0008441+0.0012319i,0.00025149+0.0011108i,0.00022311+0.00066746i,0.00073138+0.00023648i,0.0010174+0.00046188i,0.00012186-5.8944e-05i,-0.00047021-0.00021036i,-0.00023998-5.6331e-05i,-4.7144e-05+0.00020679i,-0.00028173+0.0004249i,-0.00030934+7.6739e-05i,8.7611e-05-0.00018722i
0.0013981-0.00063884i,0.00072791-0.00052818i,-0.0007628-0.0019067i,-0.0010186-0.002505i,-6.7622e-05-0.0013416i,0.00077592-0.00022031i,0.0006574-0.00031642i,0.00021543-0.00063134i,-0.00018756-0.00052162i,-0.00026155-0.00018401i,0.00060609+7.9831e-05i,0.00075963+0.00034521i,0.00021774+0.00096797i,0.00084484+0.00090866i,0.0012091+0.00065533i,0.00041362+0.00049997i,3.2378e-05+0.00045097i,0.00034036+0.00056481i,0.00056917+0.00034417i,0.00092192+0.00024408i,0.00090652+0.00028185i,0.00086794+0.00022773i,-0.00014938+9.7931e-05i
0.0001903+0.00097525i,0.00014584+0.00067392i,0.0004838+0.0010858i,0.00088194+0.0012404i,0.00079648+0.0006944i,0.00035224-8.2112e-05i,-0.00015824-0.00055203i,-7.153e-05-0.00017262i,0.00082993+0.00080534i,0.0016035+0.00066069i,0.0011004+0.00063892i,0.00033412+0.00098467i,0.00045441+0.00072274i,0.00080918+0.00064564i,0.00052908+0.00047542i,2.8273e-05+0.00080019i,6.3041e-05+0.00039216i,0.00017446-0.00019132i,0.00023248-7.8251e-06i,0.00017105+0.00013017i,8.9792e-05-0.00048459i,0.00010198-0.00021247i,0.00022432+0.00083428i
0.00075475+0.0016312i,0.00097475+0.00061664i,0.0018227+0.0010332i,0.0016628+0.00088345i,0.00070932-0.00035135i,0.00062172-0.0012106i,0.0011321-0.0012407i,0.00060989-0.00040164i,0.00072523+9.0557e-05i,0.0012489-0.00017826i,0.00071182-0.000203i,0.00042974+0.00040955i,0.00053083+0.00086109i,0.00057562+0.00025051i,0.00041782-0.00028415i,-0.00028457-0.00033007i,-0.00036904-0.00023703i,3.3262e-05+0.00033698i,0.00010921+0.00050212i,-0.00013892+0.00029043i,-0.00093474+0.0003447i,-0.00071697+0.00039254i,-9.6689e-05+2.7324e-05i
-0.001034+0.00062703i,-0.00067807+0.00027496i,0.00091104-0.00055661i,0.0016468-0.00026923i,0.00060993-3.1518e-05i,0.00017015-0.00055841i,0.00060313-0.00067228i,0.00040323-0.00050323i,-0.00012902+0.00026777i,0.00016239-0.00013751i,0.001249-0.00061585i,0.00099034+7.8065e-05i,0.0010444+0.00014613i,0.0011686+0.00016439i,0.00033046+0.00012949i,0.00012436+0.00020943i,3.3767e-05+0.00048579i,-3.7862e-06+9.0731e-06i,-0.00015833-0.00084282i,0.00026209-0.0011495i,0.00073358-0.00070482i,0.00029688-5.9925e-05i,0.00042108+0.00029292i
0.00017156+0.00075706i,0.0010711+0.00091834i,0.0016391+0.0012402i,0.00099467+0.00054144i,0.00061014+1.8186e-05i,0.00070194+0.00033087i,0.0004215+0.0010917i,-9.1278e-05+0.0018491i,-0.00044133+0.0012739i,6.4604e-05+0.00090487i,0.00039405+0.0012747i,0.00069232+0.00099295i,0.00085892+0.00056696i,0.00021002+0.00039864i,0.0005665+0.00081014i,0.00077277+0.00058424i,0.00080311-0.00024565i,0.00096079-0.00049784i,0.0003274-0.0010013i,-0.00042718-0.00098981i,-0.00058794-0.00031616i,0.00023728+0.00053794i,0.00073374+0.00043909i
1.0555e-05+0.0017396i,0.0013559+0.0012522i,0.0024747+0.002302i,0.0037818+0.0022914i,0.0039793+0.0010183i,0.0016136-0.00062394i,-0.00033022-0.0014085i,-0.0012264-0.0009771i,-0.0012814-8.0914e-05i,-0.00011968+0.0008415i,0.00083272+0.0013282i,0.0010827+0.00088832i,0.0011357+0.00024672i,0.00044216+0.00014434i,-0.00021025+0.00012903i,-0.00054228+0.00040682i,-0.00019699+0.0005353i,-0.00031135+0.0007276i,-0.00086633+0.00052784i,-0.00088867-0.00019508i,-0.00050845-0.00014012i,0.00013286+0.00049393i,0.001079+0.00086415i
-0.0015233+0.00075836i,-0.001607+0.0011709i,-0.0024355+0.00079359i,-0.0017144-0.00041086i,-0.00036-0.00051159i,-0.00030968-0.00074887i,-0.0002856-0.00072713i,5.4121e-06-0.00021514i,0.00011161-0.0003372i,0.00029093-0.00039025i,-0.00039528+0.00012209i,-0.00054975+0.00011456i,-1.3625e-05+0.00079729i,0.00024471+0.00073888i,0.00025104-0.0004039i,-0.00019229+0.0002988i,-0.00047906+0.0013102i,0.00011394+0.00104i,0.00051272+0.00078742i,-4.3558e-05+0.00042125i,-9.1517e-05-0.00020178i,0.00024038-2.942e-05i,-0.00012651+0.00057818i
-0.00056348+0.00023024i,0.00094763-0.0004187i,0.0022629-0.0017542i,0.0025546-0.0023695i,0.002453-0.001311i,0.0017771-0.00053301i,0.00031404-0.00073368i,-0.00041863-0.00070194i,0.0001928-3.6877e-05i,0.0011281+0.0010588i,0.00069225+0.0014061i,0.00050536+0.0010843i,0.0010403+0.0010933i,0.0011151+0.00047074i,0.0010403-0.00072591i,0.0013092-0.0011884i,0.0013642-0.00066912i,0.0013619-0.00026743i,0.0010175-0.00048856i,-0.00016078-0.00048396i,-0.0006559-0.00055142i,-6.8688e-06-4.5082e-05i,0.000665+0.00061353i
0.00015407+0.00029824i,-0.00055613+0.0010183i,-0.00073839+0.0023189i,-0.0015371+0.0034611i,-0.0012426+0.0018905i,-0.00022588+0.00037241i,-0.00024677+0.0005025i,-0.00057747+0.00042538i,-0.0006587-0.00042939i,-0.00031384-0.00016701i,-0.00024228+0.00082274i,0.0009977+0.001131i,0.002137+0.0010629i,0.002224+0.00060514i,0.0012186-0.00035019i,0.00010839-0.00036968i,-0.00027831-0.00037003i,-0.00053858-0.00058728i,-0.00070313-0.00023327i,-0.0005053+0.00015563i,0.00019577+8.7876e-05i,0.00082847+5.7731e-05i,0.00085989+2.0554e-05i
0.0015298+0.0010571i,0.0023151-0.00028091i,0.0019107-0.0029503i,0.00063787-0.0042872i,-0.00078619-0.0029294i,-0.0010897-0.0013715i,-0.00074817-0.00056i,3.5572e-05-0.00081546i,0.00045867-0.00085561i,0.00070824+0.00035711i,0.0009693+0.0013697i,0.0013805+0.0015491i,0.00085137+0.001424i,-0.00041189+0.00062883i,-0.00011814+0.00022785i,0.00080667+0.00072547i,0.00021208+0.0012863i,-0.00087171+0.00061142i,-0.00065013-0.00038701i,0.00011811-9.9633e-05i,0.00020308+0.0013302i,0.00047127+0.0014473i,0.000842+0.0012232i
-0.0015016+0.0012162i,-0.00084392+0.0023439i,-0.0003807+0.0027905i,-0.00025519+0.0022479i,0.0016362+0.0010407i,0.0020629-0.00048379i,0.0011423-0.0010201i,0.00090685-0.0013819i,0.001041-0.0015063i,0.0014985-0.0006183i,0.0019314+0.00026573i,0.0017543+0.0011259i,0.0011802+0.0012063i,0.00097819+0.00034451i,0.00029486-0.00069382i,0.00018207-0.0011378i,0.00035659-7.3847e-05i,-0.00043515+0.00032039i,-0.0011401-0.00027087i,-0.00059278+1.9933e-05i,-7.4991e-05+0.00010695i,-0.00013735+0.00019165i,-0.00030081+0.00017968i
-0.0032021+0.00011223i,-0.0025762+0.0018184i,-0.0026358+0.0012514i,-0.0005885+0.0012988i,0.0013211+0.0031934i,0.00075821+0.0033529i,0.00029764+0.001281i,0.00039561+0.00015441i,-0.00012991+0.00032753i,9.0167e-05+0.00037752i,0.00087702-0.00016711i,0.0013691-0.0003392i,0.0018614+0.00032376i,0.0013968-0.00039348i,0.00057147-0.0011966i,9.2469e-05-0.0010467i,0.00023723-0.0008384i,0.00018009-0.00074307i,6.7992e-05-0.00079892i,0.00039335+4.6807e-05i,0.00029197+0.00026458i,0.00036885+1.119e-05i,5.1772e-05+0.00013211i
0.0022905+0.00063185i,0.0031063-0.0010377i,0.0026787-0.00071014i,0.0017256+4.4294e-05i,0.00067371-0.00068321i,-0.00042982-0.0018258i,-0.00055897-0.0013194i,-0.00064052+6.9646e-05i,-0.0006483+7.3288e-05i,-0.00010267-0.00023555i,0.00049437+0.00049001i,-0.00021717+0.00062107i,-0.00047122+0.00045201i,0.00024627+0.00033936i,0.00040895+0.00034626i,-1.2448e-06+0.00032649i,-0.0003359+0.0001494i,2.9835e-05-0.00010233i,0.00056902+0.00052923i,0.00062898+0.00083079i,0.00066389+1.8135e-05i,0.00079098-0.00025122i,0.00071664+0.0003731i
-0.00058312+0.0011456i,-0.00042193+0.0011629i,-1.794e-05+0.0004286i,0.00073063-0.00017131i,0.0010805-0.00015188i,0.00098755-0.00084407i,0.00060594-0.00090785i,-0.00040793-0.00022184i,-0.00091096+0.00061267i,0.00012913+0.00099341i,0.0018155+0.00028952i,0.0015221-0.00039899i,0.00044329+0.00039127i,-0.00016831+0.00096868i,-0.00048969+0.00034341i,-0.00069283+0.00029131i,-0.00084803-1.9537e-05i,-0.00046341+4.7413e-06i,-0.00022833+0.00052441i,-0.00038699+0.00031359i,-0.00053096-4.8172e-05i,-0.00026895-0.00046016i,0.00088232-0.00054607i
0.00070962+0.0018012i,0.0014421+0.0015383i,0.002193+0.0018134i,0.0027051+0.00074251i,0.0024054-0.0013448i,0.001731-0.0018832i,0.001667-0.00063567i,0.0011022+0.00051352i,0.00056693+0.00072277i,0.0016555+0.00079918i,0.0025118+0.0013362i,0.0018758+0.001311i,0.0013298+0.0012043i,0.00117+0.00058889i,0.00053958+0.00025263i,-0.00026582+0.0006974i,-0.00062232+0.00023396i,-0.00049428-0.00022462i,-0.00025247-0.00072956i,-0.00050216-0.00017986i,-0.00052044+0.00036708i,0.00054918-0.00049194i,0.001135-0.0012584i
-0.00035531+0.001479i,-0.0006439+0.00034866i,0.00027828-0.00063268i,0.0011964-0.00042142i,0.0012784-0.00080089i,0.00044928-0.0017024i,-0.00098366-0.0012989i,-0.0012227+0.00015259i,-0.00047006+0.0011512i,0.00056713+0.0012038i,0.00069485+0.0010002i,0.00013504+0.0010488i,0.0012138+0.0012119i,0.0017073+0.00095834i,0.000944+0.00052807i,0.00063894+0.00020481i,0.0007199-1.8869e-05i,0.00089434-0.00046299i,0.00051774-0.001112i,0.0003508-0.00097338i,1.6069e-05+9.4318e-06i,-8.3807e-05+0.00055364i,0.00020232-6.3501e-05i
-0.0004201+0.00099948i,-0.00027061+4.3875e-05i,-2.0145e-05+0.00073622i,0.00059193+0.0016291i,0.0016005+0.00048252i,0.0020715-0.000306i,0.00081915-0.00036302i,-6.1918e-05-0.0002211i,0.0003967+0.00065343i,0.0006392+0.00096027i,-0.00032589-6.2649e-05i,-0.00016891-7.6186e-05i,0.0012503+0.00045886i,0.0015755-0.000416i,0.0012349-0.00049832i,0.00086078+0.00015267i,0.00072798+0.00032432i,0.0014493-0.00013593i,0.0018212+0.00028551i,0.0010297+0.0014754i,0.0007894+0.0017365i,0.00032597+0.00045806i,-0.00015219-0.00065246i
0.00077227+0.0010566i,0.0019474+0.00036698i,0.0026647-0.0010142i,0.00089637-0.0019514i,4.2173e-05-0.002366i,0.00019185-0.0017217i,0.00045674-0.00099133i,0.00045347-0.00068031i,0.00053481+0.00017788i,0.00076387+0.00032232i,0.00061537+0.00016402i,0.00029293+0.00044256i,0.00031601+0.00059812i,0.00019354+0.00064894i,3.069e-05+0.00012954i,-0.00010784-6.0513e-05i,-0.00014471+0.00011249i,0.00078507+7.821e-05i,0.001103+0.00046449i,0.00093109+0.0010484i,0.00064844+0.0015003i,-6.2187e-05+0.0014485i,-0.0004365+0.00087395i
-0.00021511+0.00040605i,0.00081102+0.00029253i,0.001495+0.00062113i,0.0011644+9.4273e-06i,0.00043326-0.0012673i,0.00019513-0.00116i,0.00029103-0.00069087i,5.0003e-05-0.00027584i,-0.00034325-0.0003973i,0.00051717-7.2922e-05i,0.0010378+0.00072536i,0.00035642+0.00062702i,0.0003901+0.00054437i,0.0012401+0.00068192i,0.00060462+0.00013208i,-0.00027793-1.5518e-05i,0.00034801+0.00019883i,0.00053496-6.6656e-05i,-0.00017607+0.00024432i,-0.00033555+0.00056808i,0.00032115+0.00081532i,0.00052244+0.0007458i,0.00046043-8.6446e-05i
0.0018937+0.00017019i,0.0010467+0.00011785i,0.0013831-5.1239e-05i,0.00085777-0.00075012i,0.0001087-0.00050805i,-0.00085886-9.3014e-05i,-0.0009009-0.00024028i,-1.8505e-05-1.1751e-05i,-0.00012296-4.4887e-05i,-0.00025623-0.00044536i,0.00019971-7.3894e-05i,0.0002099+0.00058779i,0.00016539+0.00064148i,0.00063367+0.00058143i,0.00097887+0.00035302i,0.0012816-3.4651e-06i,0.0012308-0.00020302i,0.0004716+5.1784e-05i,0.00014494+0.00062161i,0.0002272+0.0012685i,0.00060066+0.0016334i,0.00064861+0.00085341i,0.00050885-0.0002227i
8.3881e-05+0.0011147i,0.0002676+0.00032159i,-0.00015945-0.001443i,-0.00069319-0.0017543i,-0.00036392-0.0013562i,0.00084531-0.00085132i,0.00040953-0.0013266i,-0.00079745-0.0014076i,-8.573e-05-0.00059064i,0.0014414-0.00014429i,0.0011258-0.00029196i,0.00038749+0.00037518i,-0.00016701+0.00087456i,7.4393e-05+0.0010867i,0.00047986+0.0010719i,0.0010768+0.00053672i,0.00077148+9.6989e-06i,-3.9287e-05-0.00062144i,1.2666e-05-0.00043124i,-0.00028935+0.000297i,-0.00070837+0.00011166i,-0.00050511-0.00046884i,0.00062075-0.0004421i
-0.0011634+0.00094272i,0.00095316+0.0019053i,0.003057+0.0027562i,0.0042284+0.0032037i,0.0043793+0.0023918i,0.0035356+0.00040763i,0.002149-0.0010079i,0.00087258-0.0012411i,0.00055498-0.00066782i,0.0002278+0.00048957i,-0.00060264+0.0012558i,0.00017532+0.00066823i,0.0011138+0.00040347i,0.0014225+0.00063368i,0.00097319+0.0003005i,0.00016843+0.0011907i,0.0001923+0.0016694i,0.00056864+0.00050989i,0.0010899+0.00020186i,0.0010982+0.00027117i,0.00060624+0.00024225i,0.00019085+0.00047321i,-0.00032361+0.00036196i
0.00032301-0.0018963i,-0.0013787-0.001122i,-0.0029767-0.00051717i,-0.0024108-0.00031425i,-0.00087831-0.00017113i,-0.00067719-0.00012294i,-9.1966e-05-9.2384e-05i,0.00021991+0.00055571i,0.00010662+0.00041967i,0.00066214+0.00024019i,0.00065601+0.00027053i,5.7867e-05-0.0001319i,-0.00017802+0.00010737i,0.00080109+0.00015674i,0.0011655-0.00050071i,0.00058421+0.00013768i,-9.4292e-05+0.0008061i,3.3502e-06+0.00043821i,0.00076209-0.00061211i,0.00065442-0.00045816i,-0.00016709+0.00083581i,-0.00031858+0.00079471i,-0.00010293+0.00049935i
0.0015144+0.00036324i,0.0007014-0.0020108i,0.00047549-0.003486i,-2.7412e-05-0.0035131i,-0.00063164-0.0028173i,-0.00084458-0.0015675i,-0.00061178+0.00020487i,-0.00043693+0.00084266i,-0.00047877+0.00066968i,3.1746e-05+0.00017864i,0.00031299-0.00013193i,0.00032208+0.0006767i,0.00044416+0.00064193i,0.00039541+1.2737e-06i,0.00031392-0.00042834i,0.00017149-3.3761e-05i,5.555e-05+0.00034025i,0.00015563-0.0001329i,-0.00023203+0.0002i,-0.00056155+0.00077737i,-0.00040719+0.00075148i,0.00035104+3.5159e-05i,0.00088155-0.00042707i
0.0013318-0.00069477i,0.0011267-0.00046318i,0.0011389-3.3058e-05i,0.00069792-3.6768e-05i,-9.3301e-05-0.00080906i,-0.00035232-0.00098258i,-0.0004112-0.00034855i,-0.00063769+0.00045874i,-4.1013e-05+0.00018027i,0.0011665+1.6588e-05i,0.0012419+0.00044401i,0.00032601+0.00059163i,-0.00044715+0.00091682i,1.3938e-05+0.00064406i,0.00068501+0.00051485i,0.00062364+0.0010847i,0.0012258+0.000438i,0.0012071-0.00026821i,0.00033828+0.00027938i,7.3572e-07+0.00046586i,-0.0003009+0.00034878i,-7.6666e-05+0.00069914i,0.00044201+0.00031617i
0.00086654-0.00056709i,0.0017066-0.00051485i,0.0017377-0.0013606i,0.001376-0.0011548i,0.0013031-0.00011035i,0.0010381+5.589e-05i,0.0012643-0.00087583i,0.0010152-0.00016687i,0.00034289+0.00051762i,-7.3527e-05+0.00025183i,6.5959e-05+0.0001284i,0.001114+0.0007811i,0.0013668+0.0010701i,0.0013857+0.00062051i,0.0011092-0.00013502i,0.00032481-0.00012499i,-0.0001733+0.00046848i,-0.00065988+0.00045508i,-0.00069311-0.00034468i,-0.00017133+0.00021123i,-0.00041189+0.00086409i,-0.00020317+0.00068081i,0.00062229-6.493e-05i
-0.00059488+9.3078e-05i,-0.0026402+2.6377e-05i,-0.002682+0.0015995i,-0.0022845+0.0023642i,-0.0012495+0.00082098i,-0.00040344-2.926e-05i,-0.00042894+0.00017646i,-0.00029109-0.00079276i,-0.00024915-0.00068517i,0.00019692-0.00017828i,0.0010872-0.00013868i,0.001348+0.0005628i,0.00097845+0.00087553i,0.00030052+0.0007485i,-0.00026545+0.00027053i,-0.00025078+0.00047968i,0.00015082+0.00050894i,-0.000443-4.1988e-05i,-0.0010669+0.0004992i,-0.00091908+0.00096105i,-0.00057218+0.0011984i,-0.00011789+0.0012665i,0.00065987+0.00095661i
-0.00050228+0.0014614i,0.00032965+0.00027616i,0.0011209+0.00019187i,0.00085559+0.00064622i,0.0011068+0.0002427i,0.0013519-0.0013491i,0.0011157-0.0013116i,0.00053655-0.00044412i,0.00023599+0.00036118i,0.00081792+0.0013931i,0.0010663+0.0018202i,0.00078475+0.0012354i,0.0011697+0.00067472i,0.00092852-4.1621e-07i,0.00077229-0.00067728i,0.0011592-0.00071532i,0.0011122-0.00081447i,0.00080379-0.00090715i,0.0010976-0.0003345i,0.00069458+0.00016414i,0.00014366+0.00050067i,0.000742+0.00055652i,0.00088649-2.3456e-05i
0.00065742+0.00073757i,0.00086754+0.00061487i,0.0019098-0.00012932i,0.0019093-0.0010666i,0.0012938-0.00095772i,0.0015307-0.00066248i,0.001089+0.00039853i,0.00021125+0.00072858i,-7.4421e-06+0.00017141i,0.00068027+0.00032974i,0.00088786+0.00073148i,0.000752+0.001541i,0.00075535+0.0017856i,0.00057911+0.0011295i,0.00042269+0.00063373i,0.00068508+7.5306e-05i,0.00041696-0.00018288i,-0.00063566-2.3807e-05i,-0.00064001+0.00027939i,-0.00020895+0.00066587i,-9.3858e-05+0.00079429i,-0.00029631+0.00068903i,-0.00041404+0.00015009i
0.0030562+0.00045853i,0.0033872-0.0016755i,0.0034778-0.0029302i,0.0011011-0.0030496i,-0.0010226-0.0027449i,-0.0015603-0.00096898i,-0.0012149+0.00039205i,-0.00090132+0.00064914i,-0.00013926+0.00010382i,4.736e-05-0.00015314i,-0.00048624-1.7182e-05i,-0.00024978-0.00049297i,-0.00027251-0.00066227i,0.00025785+0.00015561i,0.00029706+0.00075141i,-0.00020865+0.00088611i,-1.4145e-06+0.0010926i,0.00041024+0.00084043i,0.00046219+0.00070461i,-0.00021149+0.00061973i,-0.00098092+0.0005363i,-0.00077497+0.00083758i,0.00019768+0.00051331i
0.0019705+0.00025352i,0.00041085-0.00093698i,0.0005825-0.0021809i,0.0012738-0.0017978i,0.00066895-0.0021642i,0.00079894-0.0020533i,0.00142-0.00038293i,0.0008734-7.9135e-05i,0.00078981-0.00063392i,0.0013866-0.00075226i,0.001106+0.00011789i,0.0002127+0.00093981i,-0.00020324+0.0015977i,-0.00019198+0.0018827i,-0.00026832+0.001161i,-5.8985e-05+0.00029303i,0.00019918+0.00010415i,6.753e-05+0.00053713i,-0.00037948+0.00031492i,-0.00083639-0.00032524i,-0.00079531-0.00028917i,-4.6314e-05-0.00044807i,-3.5108e-05-0.00078348i
-0.00045972+0.0031187i,0.0010253+0.0033175i,0.0024826+0.002694i,0.0030658+0.00031647i,0.0037181-0.0017724i,0.0034491-0.0024172i,0.0016534-0.0018349i,0.00025622-0.00092874i,0.0003892-0.0003589i,0.00068224+0.00012562i,0.00085098+2.3198e-05i,0.00096501+1.0956e-05i,0.00035106+0.00031688i,-0.00015922-8.3154e-05i,-0.00039343-0.00053693i,-0.00037026-0.00025426i,-0.00017913+0.00061337i,0.00035454+0.00068194i,0.0010859+0.00024459i,0.00089393+0.00031054i,0.00029591+0.00042834i,0.00030185+0.00060834i,0.00023134+0.00059742i
0.0016747+9.6293e-05i,0.0016446+0.00077345i,0.0022954+0.00063747i,0.0025843+1.4203e-05i,0.0018695-0.00042411i,0.0010414+0.00056392i,0.00023536+0.0011903i,-0.00023694+0.00039146i,-2.7425e-05+0.00030541i,-9.6059e-05+0.00062656i,-0.00018643+0.0013646i,-0.00047238+0.0012004i,-0.00047948+0.0011711i,0.00020825+0.0010251i,0.00086264-0.00035809i,0.00083345-0.00099057i,0.00083072-0.00023169i,0.0011951+0.00042555i,0.00076647+0.0010065i,0.00013106+0.0014131i,-0.00015876+0.001149i,0.00012825+0.00055453i,0.00057704+6.3811e-05i
-0.0012382+0.0019115i,0.00045252+0.0013618i,-0.0001364+0.00078394i,-0.0015804+0.00068527i,-0.00086133+0.0011703i,0.00098672+8.0732e-05i,0.000757-0.00061845i,-0.00041391-0.00054892i,-0.00021101+0.00012831i,0.0007018+0.0011238i,0.00051141+0.00068174i,0.00094672+0.00046321i,0.0017698+0.00080817i,0.0021852+0.00015167i,0.0020373+0.00021415i,0.0012997+0.00082433i,0.00057975+3.5922e-05i,0.00013803-0.00044121i,-9.6058e-05+9.3492e-05i,-0.00086793+0.00089377i,-0.0013042+0.0007803i,-0.00046461+0.00042587i,0.00049883+0.00036787i
0.0012781+0.0015544i,0.0011464+0.00038613i,0.00211-0.0012265i,0.0028429-0.0029078i,0.0021345-0.0033842i,0.0013124-0.0030102i,0.0011218-0.0022076i,0.0014551-0.00048028i,0.0018245+0.00067243i,0.0015829+0.00088322i,0.0010696+0.00076043i,0.0001686+0.00054021i,-0.00048827+8.7016e-05i,-0.00047925-0.00027689i,-0.00041158+0.0006456i,-0.00030552+0.0014213i,-0.00033594+0.00079173i,-0.00052142-0.00040815i,-0.00032716-0.0010196i,-0.00077561-0.0013699i,-0.001203-0.00067009i,-0.00029465-4.8367e-05i,0.0002575+0.00035191i
0.00042622+6.3931e-05i,0.00048311+0.00060069i,0.0013548+0.0017067i,0.0017583+0.0018884i,0.0010209+0.0019142i,0.0013846+0.0012148i,0.0017868+0.00045865i,0.00069517+0.00057811i,0.00083004+0.001187i,0.0011473+0.0014537i,0.0002502+0.0013352i,-0.00038726+0.0010126i,0.0005522+0.00096947i,0.0013184+0.00064021i,0.0004065-4.6047e-05i,-0.00084357+7.7222e-05i,-0.00060022+0.00015471i,0.0006812+0.00011621i,0.0022711+0.00065771i,0.0017363+0.00033186i,0.00064832-0.00039556i,0.00085422-0.00035975i,0.00028711-8.5943e-05i
