-0.00091819+0.00010433i,-0.0013524-0.00056322i,-0.0015608-0.0014611i,-0.0019954-0.0013147i,-0.0029962+0.00020345i,-0.0033928+0.0018471i,-0.0012351+0.0026226i,0.0010142+0.0016103i,0.00091454+0.00025366i,0.0001884-0.00024688i,-7.0222e-05-0.00039629i,-4.2857e-05-0.0009933i,-3.3709e-05-0.0011276i,-0.00041574-0.00052424i,-0.00061664+0.00023993i,-0.00033904-5.0105e-05i,-0.00021574-0.00019007i,-0.00041177+0.00013618i,-0.00058781+0.00027446i,-0.00035685+0.00031342i,-6.2126e-05+0.00014215i,0.00024743+0.00028383i,0.00066136+0.00043828i
0.0014449-0.0016679i,0.0010865-0.0018402i,5.6525e-05-0.0012813i,-0.0015146-5.3579e-05i,-0.0026754+0.00060948i,-0.0019862+0.00073925i,-0.00044778+0.00021429i,-0.00065607-0.0007017i,-0.00077826-0.0014708i,-0.00033887-0.0022218i,-0.00061399-0.0013711i,7.0313e-06-6.5568e-05i,0.0003631-0.00013778i,-0.00012004-3.1792e-05i,8.6018e-05-0.00021886i,-0.00044096-5.0083e-05i,-0.0011628+0.00064488i,-0.0010246+0.00062521i,-0.00096454+0.00019886i,-0.00050976-6.0405e-05i,0.00018622-9.4619e-05i,0.00064194+0.00026142i,0.00036125+0.00015366i
0.00068547-0.0009838i,-0.00033173-0.0013901i,-0.0017764-0.0023918i,-0.0026846-0.002001i,-0.0027004-0.00075218i,-0.0014706+0.0003378i,8.0864e-05+0.00033239i,-0.00053901-0.0001247i,-0.0014777-0.001306i,-0.0012011-0.0016099i,-0.00093223-0.0013037i,-0.00078216-0.0010418i,-0.0002697-9.8773e-05i,-8.4271e-05+0.00056591i,-0.00017739+0.00094399i,-0.00039826+0.0014829i,-0.0006948+0.0012617i,-0.00051048+0.0012523i,-0.00065247+0.0012346i,-0.0012198+0.0010969i,-0.00091697+0.00086247i,2.9962e-05+0.00033236i,0.00060333+0.00027488i
-2.7565e-05-0.00031285i,0.00050921-0.0011255i,0.00032331-0.00063133i,-0.00012621+0.00074442i,0.00051224+0.0013669i,0.00052923+0.0014126i,0.00074014+0.0010332i,0.0001568+0.00066938i,-0.00097764-0.00027769i,-0.00032229-0.0014782i,0.00017694-0.0017672i,2.9473e-05-0.0012392i,0.00052494+8.1062e-05i,-0.00019334+0.00059098i,-0.00099476-0.00019269i,-0.00046382-0.00016147i,-0.00042835+0.00032118i,-0.0008315+0.00043468i,-0.00041574+0.00012886i,-0.00063295-0.00019849i,-0.00098504-1.7931e-05i,-0.00038478-0.00047938i,0.00023522-0.00034515i
-0.00077425+0.00054394i,-0.0011222+0.00078851i,-0.0018635+0.00077486i,-0.0011172+0.0010168i,0.00014188+0.0015985i,0.00085466+0.0010429i,5.0195e-05+0.00035708i,-0.00034658-2.1373e-05i,9.8704e-05-0.00026507i,-0.00025512-0.00091339i,-0.00080036-0.0016001i,-0.0010532-0.0015983i,-0.00088191-0.0011053i,-2.3649e-05-0.00084741i,0.0006459-0.00052477i,6.699e-05+0.0002245i,-0.0012536+0.0009499i,-0.0016715+0.001346i,-0.00088352+0.0012032i,-0.00035328+0.00047803i,-0.00028197+5.8204e-05i,4.3992e-05-8.5898e-06i,0.0007467+0.00020061i
-0.00032326-0.00071783i,-0.00083072-0.00092792i,-0.0011573-0.0013045i,-0.00081912-0.00049672i,-0.00029922+0.00065559i,0.00067585+0.00093486i,0.0011952+0.00021054i,0.0010281-0.00076369i,4.8756e-05-0.0012265i,-0.0009149-0.0012906i,-0.00096264-0.0010483i,-0.00038716-0.00056423i,-0.00013733-0.00030203i,-0.00053073-0.00016093i,-0.00067384+0.00018481i,-0.00079559+0.00030618i,-0.0011715+0.0007578i,-0.0018498+0.00061979i,-0.001293-8.9413e-05i,-0.0004496-0.00011365i,-0.00027714-3.1249e-05i,-0.0002972+0.0001374i,-5.3175e-05+0.00020425i
-0.0011516-0.00048708i,-0.0015902-0.0009695i,-0.00078513-0.00021717i,-0.00083222+0.00028277i,-0.0015241+0.00025232i,-0.0011429+0.00066838i,-0.00054797+5.8798e-05i,-6.8182e-05-0.00096966i,-0.000357-0.0014982i,-0.00092672-0.001692i,-0.0012225-0.0014407i,-0.0012247-0.00058573i,-0.00104+0.00017512i,-0.00092808+0.00014333i,-0.00027502-0.00053069i,-0.00069348-0.0010931i,-0.0013341-0.00060824i,-0.0010065+0.00064886i,-0.00074759+0.0011235i,-0.00045314+0.00062627i,0.00013107+0.0003738i,0.0001048-1.0708e-05i,0.00017216-0.00070121i
0.0024383+0.0023802i,0.0032887+0.0012462i,0.0038228-0.00018077i,0.0028025-0.0016719i,0.0012745-0.0018025i,0.00012108-0.00049816i,0.00088209-0.00012686i,0.00088904-0.0012652i,0.00021089-0.0017529i,-1.7578e-05-0.0015327i,-5.4901e-05-0.0011069i,-0.00019625-0.00050788i,-0.00037661-6.2922e-05i,-0.00062445+0.00023581i,-0.0010444+0.00031849i,-0.00079178+0.00072718i,-0.0012113+0.0011569i,-0.0018943+0.00038107i,-0.00081105-0.00055997i,-0.00016572-0.00027704i,4.9236e-05+0.00036911i,0.00065139+0.00027415i,0.00072029-8.4529e-06i
0.00067193+0.00091767i,0.00025593+0.0014353i,0.00038302+0.0011466i,0.0007579+0.0011793i,0.00036959+0.0013306i,-0.0003303+0.0010422i,-0.001107+0.0010734i,-0.0007856+8.0472e-05i,-1.0622e-05-0.0009541i,-0.00059651-0.0010014i,-0.0012592-0.0013804i,-0.00078261-0.001156i,-0.00044699-0.00069586i,-0.00085673-0.00014162i,-0.00074925+0.0013018i,-0.00068497+0.0011681i,-0.00060498+3.6525e-05i,-0.00054124+6.4019e-05i,-0.0013696+0.0006272i,-0.0016612+0.0017074i,-0.0010853+0.0017873i,-0.00046395+0.00072232i,0.00019027+0.00078845i
0.00082299-0.00037155i,0.0010125-0.00058949i,0.00010385-0.00047623i,-0.00065682-2.1722e-05i,-0.00051008+0.00023529i,-0.00038025+9.9697e-05i,-0.00036561-0.00031241i,0.00011673-0.001013i,-0.0003043-0.0017058i,-0.00081929-0.0012539i,-0.00067887-0.00045649i,-0.0007619-0.00032497i,-0.00067672-6.3156e-05i,-0.00032253+0.00013018i,-0.00028688+0.00036705i,-0.00036864+0.00042713i,-0.00056698+0.00031825i,-0.001808+0.00086333i,-0.0021799+0.00068453i,-0.0010867-0.00017262i,-0.00015471+0.0003231i,0.00044377+0.00099688i,0.00088054+0.00047057i
0.00063602-0.0017104i,0.00075261-0.00084827i,-0.00073729-0.00034475i,-0.0016356-0.00020114i,-0.0010136+0.00030969i,-9.3139e-05+0.00064356i,0.00017173+0.00041531i,0.00028203-0.00053617i,0.00048246-0.0012606i,-0.00013744-0.0010726i,-0.0007013-0.00042471i,-0.00072733-7.0774e-05i,-0.00043039-0.00070117i,-0.00072819-0.0002849i,-0.00069127+0.00011155i,6.969e-05+0.00052704i,-2.1009e-05+0.0010325i,-0.00023209+0.00075489i,-0.00041656+0.00075298i,-0.00051905+0.00069342i,0.00029934+0.0002825i,0.00055474+6.4675e-05i,0.00027885+0.00020902i
-0.00039323+0.00085288i,-0.0012389+0.00044937i,-0.00028122+0.000277i,0.000615-2.8415e-05i,0.00054286+0.00043624i,0.00024462+0.0010643i,0.00062167+0.00094023i,0.00021797+0.00031194i,-0.00081246-0.00046779i,-0.00055844-0.0011196i,0.00015923-0.00087229i,-3.7824e-05-0.00033508i,-0.00036677+0.00014056i,-6.841e-05+0.00032906i,0.00031481+0.00092019i,4.8703e-05+0.0015084i,-0.00078458+0.00073198i,-0.00074402+9.5511e-05i,5.0641e-05+0.00020472i,0.00017305+0.00034096i,-0.00016623+0.00039482i,-0.00059663+0.00052451i,-0.00054809+0.0004751i
-0.00064293-0.00065011i,-0.0014183-0.0010115i,-0.0015835-0.00019929i,-0.0016104+0.0003067i,-0.00063078+0.00050368i,0.00050774+0.00068461i,9.25e-05+0.00030547i,-0.00031544-0.00041866i,0.00091359-0.00060215i,0.00014007-0.00049262i,-0.00064862-0.00058057i,-8.0687e-05-0.00043598i,0.00022089-0.00010462i,0.0002665+0.00032408i,-0.00061369+0.00050978i,-0.0011577+0.00065621i,-0.0012089+0.00043839i,-0.0015927+0.0004344i,-0.0015045+0.0005562i,-0.00046299+0.00024846i,0.00028442-7.8461e-05i,-1.1904e-06-0.00035874i,-0.00038637-0.00048029i
0.00085142+0.00035305i,0.0013863+7.6337e-05i,0.001754+0.00051335i,0.0010663+0.00093908i,-0.00028961+0.0013368i,-0.0015794+0.0014594i,-0.00044916+0.00097607i,0.00065092+0.00036486i,0.00012156-0.0009586i,-0.00027342-0.0018667i,-0.00056385-0.0012927i,-0.00071107-0.00059667i,-0.00076714-1.2413e-05i,-0.0011238+0.00023663i,-0.00096329+0.00021186i,-0.00082187+0.00062655i,-0.00065052+0.00068883i,-0.0006983+0.00077111i,-0.00069426+0.0013455i,-0.00060291+0.0010173i,-0.00067872+0.00073912i,-0.00057302+0.00053631i,-0.00036412+0.0007063i
-0.00069131-0.001346i,-0.00085596-0.0017862i,-0.0016813-0.0016141i,-0.0019168-0.0015956i,-0.00098903-0.00087457i,-0.00012451+0.00027935i,0.00022935-5.207e-05i,0.0002403-0.0010505i,0.00038102-0.0014073i,3.9239e-05-0.001064i,-0.00032781-0.00075004i,0.00030106-0.00038338i,0.0015878-0.00034452i,0.0016646-0.00043954i,0.00063984-0.00014704i,-0.00034698+0.00039082i,-0.0014578+0.00030616i,-0.0015739+0.0002983i,-0.0015165+0.00025712i,-0.00077219-9.0356e-05i,-0.00012576-0.00036645i,5.9062e-05-1.1832e-05i,0.00023255+0.0002187i
0.0007666-0.0027415i,-6.4253e-05-0.0035355i,-0.00029029-0.002977i,0.00012648-0.0021623i,-0.0004308-0.00082795i,-0.0010808+0.00010887i,1.2529e-05+0.00032161i,0.0010435-0.00035764i,0.00042927-0.0016154i,-0.00064205-0.0020985i,-0.00064195-0.0012835i,-0.00041141-0.00048964i,2.9897e-05-0.00040583i,-2.2793e-05+0.00012976i,-0.00029694+0.00066187i,-7.8932e-05+0.00082553i,-0.00039546+0.00085669i,-0.0015579+0.00056991i,-0.0018837-0.00021806i,-0.00076379-0.00025618i,0.0002882+0.0002592i,-0.00027752+0.0010638i,-0.00083192+0.0006103i
-0.00039777-0.0011464i,-0.00049586-0.00050018i,-0.00080346-3.4163e-05i,-0.0015652-0.00021951i,-0.0019511+0.00065412i,-0.001758+0.0012434i,-0.0013415+0.0011056i,-0.00046009+0.00083533i,-0.0010551-0.0001585i,-0.0012626-0.00096435i,-0.00064241-0.00063052i,-0.00019713-0.00062725i,0.00044028-0.00017773i,0.00015705+0.0007638i,-0.00020144+0.0010462i,-0.00032851+0.00083149i,-0.00013867-0.00036971i,0.00013581-0.0009864i,-0.00052691-0.00027856i,-0.00076608+0.0002854i,-7.7381e-06+7.5598e-05i,0.00043498-0.00076456i,-0.00023054-0.00049632i
-0.0013388+0.0020329i,-0.0020372+0.0022286i,-0.0015739+0.0027551i,0.00079125+0.001561i,0.0011623-0.00041543i,0.00092803-0.0015397i,0.00073674-0.00098162i,3.2675e-05-0.00092818i,-0.00090075-0.0020297i,-7.9993e-05-0.0026062i,0.00079178-0.0023152i,0.0002779-0.0016129i,5.9464e-05-0.001049i,-0.0012496-1.4175e-05i,-0.0019214+1.3595e-05i,-0.0011151-0.00052886i,-0.0011535-0.00048966i,-0.0016415-0.00012723i,-0.0010498-0.0001968i,-0.000509+0.00047349i,-0.00070673+0.0012983i,-0.0010091+0.0012388i,-0.00019109+0.0010164i
-0.0010136+4.9316e-05i,-0.0012339-0.00042305i,-0.0013825+0.00071314i,-0.0018692+0.0016956i,-0.0012311+0.0016078i,-0.00012348+0.0012322i,-0.00012995+0.00051907i,0.00038575-0.00035659i,0.00067009-0.0011768i,0.00028025-0.0022755i,-0.00043692-0.0022361i,-0.00093917-0.0010391i,-0.00045852-0.00075394i,-0.00060507-0.00042788i,-0.0010025-5.2863e-05i,-0.0004216+0.00039275i,-0.00032991+0.00086517i,-0.0010026+0.0010313i,-0.0017495+0.00063313i,-0.0017487+2.3582e-05i,-0.00065254-0.00011391i,-2.8022e-06+0.00010512i,9.9546e-05+0.00055248i
-0.00045417+0.0022668i,-0.00029803+0.0023643i,0.00018938+0.0016637i,0.00024172+0.00060148i,1.9673e-05-0.00015187i,-0.00019001-0.00044305i,0.00038932-0.0010477i,0.0009102-0.0012102i,-0.00042161-0.0013034i,-0.0012725-0.0013546i,-0.001125-0.0014722i,-0.00061225-0.0016675i,-0.00013796-0.001111i,0.00011038-0.0004368i,-0.00045676+0.0003728i,-0.0012797+0.00070607i,-0.0016517+0.00016255i,-0.0019514-3.528e-05i,-0.0015291+0.00034064i,-0.00065182+0.00038401i,0.00033188+0.00071101i,0.00080694+0.0010885i,0.00068273+0.0010754i
0.0015675+0.0012869i,0.0019755+0.00092462i,0.0016023+0.0011156i,9.4791e-05-0.00051273i,-0.00052201-0.0022825i,-0.0004657-0.0013i,2.7592e-05-8.1817e-05i,-0.00029881+0.00033347i,-0.00057982-0.00056574i,-0.00015837-0.0015711i,-1.2705e-05-0.0012476i,9.8746e-05-0.00056411i,-0.00037587-0.00026207i,-0.00086931+0.00028464i,-0.00097548+0.00043052i,-0.00079116+0.00041817i,-0.0013826+0.0011805i,-0.002471+0.000778i,-0.0022994+0.00047474i,-0.0012863+0.0014017i,-0.00050127+0.0012654i,0.00025174+0.00010598i,0.00040641-0.00060769i
-0.0027388+0.0019935i,-0.001647+0.0017044i,-0.00076317+0.0023528i,-6.1049e-06+0.0022912i,0.0007994+0.0019655i,0.00054796+0.0015405i,-0.00012586+0.0011521i,-0.00073783+0.00041893i,-0.0011287-0.00094582i,-0.00073872-0.0017129i,-0.00057013-0.0020525i,-0.0013133-0.001944i,-0.001273-0.0015586i,-0.001239-0.0011879i,-0.0013879+0.00013489i,-0.00086351+0.001476i,-0.00045943+0.0010814i,-0.00026338+6.6371e-05i,-0.00012219+0.00039556i,-0.0002528+0.0012724i,-0.00051711+0.001204i,0.00011273+0.00049771i,0.00086193+0.0002392i
-0.0015912-0.00062351i,-0.0019613+0.00040581i,-0.0029654+0.0012296i,-0.0021042+0.0015941i,5.7047e-05+0.0024707i,0.001288+0.0021046i,0.0011209+0.00079269i,0.00095961-0.00036814i,0.0007398-0.0017684i,-5.6803e-05-0.0027485i,-0.0010718-0.0024531i,-0.0008155-0.0017765i,-0.00016398-0.0012459i,-0.00059048-0.00071016i,-0.00076131+0.00032839i,-0.00084327+0.0011521i,-0.00090654+0.0011811i,-0.00032003+0.0010098i,-0.00049831+0.00072103i,-0.00083794+0.0007174i,-0.00070906+0.00073639i,-2.8381e-05+5.1618e-05i,0.00071271-0.0003007i
0.0024743+0.0015586i,0.0013057-0.00069521i,0.00257-0.0013989i,0.0015738-0.0012964i,-0.00073444-0.0010049i,-0.00097198-0.00014877i,-0.00063839+0.00031921i,-0.00094417-0.00017854i,-0.0016884-0.0013183i,-0.0013117-0.0020669i,-0.00022471-0.0020545i,-0.00020832-0.0014766i,-0.00046165-2.6736e-05i,-0.00055856+0.00089273i,-0.0003062+0.00086872i,-0.00053445+0.00077919i,-0.0013728+0.00035913i,-0.0015971-1.7214e-05i,-0.0012748-0.00036065i,-0.00020121-0.00040997i,0.0001681-0.00071071i,0.00016356-0.00048832i,0.00062923-0.00021126i
-1.2301e-05-0.0021779i,-0.0015738-0.0018395i,-0.001656-0.0021358i,-0.0022237-0.0014904i,-0.0020487-0.00041661i,-0.00019157+0.00091655i,0.00080126+0.00045297i,0.0001028-0.0012003i,-0.00091328-0.0021023i,-0.0010938-0.0022798i,-0.00064012-0.0015955i,-0.00015866-0.00073443i,0.00050775-0.00057701i,0.0010385-0.00098752i,0.00087822-0.00040695i,0.00072719+0.00038571i,0.00037121+0.00019946i,-0.00029956-0.00063759i,-0.00055299-0.00042717i,-0.00067561+0.00033531i,-0.00019948+0.00086797i,0.00016529+0.00067257i,0.00022249-2.0895e-05i
-0.00079124+0.0011592i,-0.00045846+0.0010105i,-0.00038177+0.00075202i,0.00074471+0.0010899i,0.0010943+0.0015538i,0.00047455+0.00040827i,0.00060912-0.00017771i,0.00080262-0.00052249i,0.00043259-0.0017004i,-0.00041855-0.0021852i,-0.0006657-0.0013988i,-0.0003861-0.00037417i,-0.00031095-0.00040779i,-0.00023982-0.00080787i,-0.00078319-0.00047675i,-0.00081576-0.00010386i,-0.00058956+0.00060627i,-0.0006445+0.00083675i,-0.00048112+0.00070722i,-0.00057253+0.00055677i,-0.0002306+0.0003639i,0.00066228+7.5223e-05i,0.0014866-0.00053885i
-0.0032712-0.0028828i,-0.003369-0.0023252i,-0.0038695-0.0023086i,-0.0037822-0.00063698i,-0.0030054+0.0007517i,-0.0011483+0.0012019i,6.664e-05+0.00074088i,-3.2646e-06-0.00051572i,-0.00066475-0.0016379i,-0.00095277-0.002762i,5.9772e-05-0.0026252i,0.00041018-0.00117i,8.5474e-05-0.00079388i,0.00018066-0.00091113i,-0.00021997-0.00050258i,-0.00090712+3.1037e-06i,-0.00040611+0.00032701i,0.00020641+0.00037723i,0.00015146+0.00033772i,-0.00085573+0.00058954i,-0.001097+0.00098094i,7.2713e-05+0.00094903i,0.0010265+0.00018911i
-0.0020185-0.00087159i,-0.0017277-0.00047101i,-0.0028643+0.0008753i,-0.0020992+0.0016891i,-0.00022271+0.0016347i,0.00068+0.00036025i,0.00021373-0.00081737i,-0.00025715-0.00091704i,-0.00027282-0.0012912i,-0.00055673-0.0015861i,-0.00047598-0.0014678i,-2.8242e-05-0.00086354i,0.00012085-0.0011913i,-0.00036508-0.0014624i,-0.00059642-0.00036737i,-0.00071894+0.00018539i,-0.0013761+0.00072564i,-0.0015593+0.00080502i,-0.0016058+0.00096557i,-0.001237+0.0010968i,-0.00045686+0.00031125i,-7.8073e-05-0.00076076i,-0.00034987-0.00057353i
-0.00015219-0.00045073i,6.1526e-05+8.196e-05i,0.0003202+0.00042873i,-0.00049764+0.00029745i,-0.0011142-4.7583e-05i,-0.00077382-1.9979e-05i,-0.00027527+0.00030674i,7.6965e-05+4.7401e-05i,0.00050102-0.0010135i,0.00020877-0.0017014i,-0.00072005-0.00081216i,-0.00092945+5.1327e-05i,-0.0012198+0.00067378i,-0.0013021+0.00037863i,-0.00070391+0.00014681i,-0.00045313+0.00096578i,-0.00035207+0.00090881i,-0.00051799+0.00087264i,-0.00092946+0.0015976i,-0.00048868+0.0019249i,-0.00012045+0.00097819i,-2.7228e-05+0.00057035i,5.6707e-05+0.00029829i
0.00096217+0.0012322i,0.0010312+0.00034294i,0.00040231+0.00092227i,0.00036465+0.00097547i,0.00079706+0.00056042i,0.00023027+0.00086704i,-0.00062557+0.00082789i,-0.00034299-0.00017579i,1.4378e-05-0.0014445i,-0.00010453-0.0016018i,-0.00021643-0.0010828i,-0.0001959-0.00047008i,0.0003961+0.00032379i,0.00018083+0.0007415i,-0.00066496+0.000562i,-0.00064153+0.00010271i,-0.00017895-5.5203e-05i,-0.00016826+0.00044915i,-0.00012464+0.0017398i,0.00029848+0.001719i,0.00089629+0.00072731i,0.00087621+0.0006368i,0.00092021+0.00042977i
-0.00023687-0.0013942i,-0.0016604-0.00079553i,-0.0016786-0.00078974i,-0.0015376-0.00023641i,-0.0013641+0.00052647i,4.7661e-05+0.00056119i,0.00094095+0.00040165i,0.0003378+0.000132i,-0.001083-0.00079738i,-0.0012699-0.0018818i,-0.0004596-0.0012469i,5.1125e-05-0.00064933i,-7.2028e-05-0.0012606i,-0.0003098-0.00079384i,-0.00077394-0.00046064i,-0.001016-0.00010611i,-0.00094828+0.001012i,-0.0009523+0.00073888i,-0.0014798+0.0004237i,-0.001801+0.00095243i,-0.0013509+0.001007i,-0.00066639+0.00013524i,-0.00041043-8.1028e-05i
-0.00059474+0.0014175i,-0.00020011+0.0016841i,0.00082634+0.0027185i,0.001931+0.0035307i,0.0014833+0.0027749i,0.00075595+0.00060926i,0.00053115+0.00027548i,0.000255-1.01e-05i,4.1421e-05-0.0018278i,-7.7876e-05-0.0026216i,-0.00042464-0.0027558i,-0.00069787-0.0021855i,-0.00066344-0.001427i,-0.00093955-0.0010057i,-0.0011652-0.00063343i,-0.0012127-4.9289e-05i,-0.0012251+0.00038444i,-0.0011776+0.00057239i,-0.0014666+0.00041566i,-0.0017375+0.00024399i,-0.0012191+0.00020916i,-0.00025423+0.00097643i,0.0007477+0.00042997i
0.00026373+7.4494e-05i,0.000262+0.00024468i,0.00017349-0.0019069i,-5.4166e-05-0.0028589i,-0.00022762-0.00059892i,-0.00014461+0.00068729i,-0.00021661+0.0006225i,-7.349e-05+0.00037354i,-0.00014485-0.0005792i,-0.00084434-0.0017702i,-0.0009554-0.0019315i,-0.00074535-0.0012402i,-0.00041275-0.00094976i,-0.00019831-0.00040118i,-0.00065659+0.00015436i,-0.00073338+0.00080507i,-0.00053665+0.0012022i,-0.0010148+0.0014238i,-0.0015706+0.0010823i,-0.0012604-0.00021794i,-0.00036348-0.00094296i,0.00023886-0.00051502i,0.0003575+0.00020442i
0.00011415+0.00041972i,0.00049642+0.001043i,0.0014685+0.00057037i,0.001922+0.00068303i,0.0017231+0.00062959i,-3.934e-05+0.00050445i,-0.00087229-0.00015011i,-0.00042331-0.0013335i,-0.00049498-0.0026014i,-0.00046773-0.0030812i,-0.00022019-0.0024471i,0.00041501-0.0015641i,0.00010341-0.00061854i,-0.00063128+0.00025255i,-0.00095752+0.00087476i,-0.00055478+0.00038202i,-0.00061736+0.00030141i,-0.00075409+0.00034628i,-0.0009164-0.00053872i,-0.00096616-0.00034179i,-0.00012802+0.0002258i,0.00073098+0.00012165i,0.00068504+3.8e-05i
0.0018704+0.0023795i,0.0014445+0.0024123i,0.0017393+0.0022001i,0.0013111-4.9961e-05i,0.0007072-0.0010914i,0.00033349-0.00057488i,0.0010749-0.00085065i,0.0018384-0.0019733i,0.00074019-0.0028862i,-0.00049989-0.0029635i,-0.00049323-0.0026297i,-0.00033412-0.0018658i,-0.00050165-0.00080397i,-0.0010222+0.0003618i,-0.00061976+0.00077622i,-5.1019e-05+0.00037922i,-0.00077225+0.00064713i,-0.0019452+0.00095482i,-0.0019021+0.0013095i,-0.00060076+0.001529i,0.00056378+0.0010889i,0.0012957+0.00085143i,0.0012442+0.00027175i
0.0017147-0.00088608i,0.0016309-0.00077825i,0.0010002-0.00097519i,0.00048864-1.4745e-05i,1.9375e-05+2.9866e-05i,-0.00012874+0.0002772i,0.00046406+0.00031454i,0.0012862-0.00064545i,0.0012606-0.0014673i,0.000454-0.0012111i,0.00015817-0.00032798i,-2.2542e-05+0.00014726i,-2.0838e-05-0.00030992i,-7.1979e-06-0.00032144i,-0.00074618+0.00057098i,-0.0010842+0.0011018i,-0.00094443+0.00080377i,-0.0011255+0.00025633i,-0.0014022+0.00017905i,-0.0012043+0.00022559i,-0.00012736+0.00026866i,0.00064399+0.00011267i,0.00089696-0.00028713i
-0.0020614+0.001283i,-0.0018245+0.0012554i,-0.0022693+0.0014814i,-0.0010779+0.0019284i,-3.558e-05+0.0021875i,-0.00022189+0.0023477i,-0.00018841+0.0013756i,-0.00044883-0.00086694i,-0.00029431-0.0011287i,0.00028525-0.00094599i,0.00038399-0.001872i,0.00049863-0.0015689i,0.00015475-0.00079333i,-0.00075785-0.0006889i,-0.0011177+4.2248e-05i,0.0001471+0.000151i,0.00055546+2.3369e-05i,0.00021896+0.00043889i,0.0007582+0.00044143i,0.00024133+0.00067849i,-0.0012391+0.00099287i,-0.00048778+0.0013011i,0.0003889+0.001018i
-0.00090839+0.0018084i,-5.0688e-05+0.0012451i,0.00066368+0.0016954i,0.00058354+0.0019208i,0.00029427+0.0005703i,0.00021671+6.8379e-05i,0.00037753-0.0001673i,0.00095974-0.00067438i,0.00077746-0.001634i,-2.1525e-05-0.0017246i,-0.00084622-0.0013302i,-0.00027319-0.0009678i,0.0005477-0.00073196i,-0.0008076-0.00086827i,-0.0017608-0.00047454i,-0.0012049+0.00014333i,-0.0009592+0.00052788i,-0.0011224+0.0007589i,-0.0012939+0.00093745i,-0.00082772+0.001097i,0.00036024+0.00066067i,-2.427e-05-1.9939e-05i,0.00029262+0.0003597i
0.00058267+0.00287i,0.00074653+0.0027707i,0.0011338+0.003501i,0.001271+0.0022282i,0.0016475+0.00063775i,0.00099352+0.0010942i,0.00053984+0.0010812i,0.0012803-0.00012289i,0.0020125-0.0014291i,0.00096035-0.002535i,5.5891e-05-0.003249i,0.00034963-0.0023704i,0.00032899-0.0011745i,0.00010662+4.2213e-06i,4.8053e-05+0.00066055i,0.00044912+0.00047932i,1.0142e-06+7.9675e-05i,-0.00089579+0.00031754i,-0.00083713+0.00099632i,-0.00090441+0.00099631i,-0.0013264+0.00083033i,-0.00089155+0.00073626i,1.1985e-05+0.0003211i
-0.0016069+0.0020059i,-0.0021503+0.0014321i,-0.00073152+0.0011996i,-2.0176e-05+0.0015157i,-0.00026987+0.0020055i,-8.2834e-05+0.0016489i,5.3902e-05+0.00043819i,0.00057583-0.00032409i,-7.9025e-05-0.0011057i,-0.0012751-0.0017563i,-0.00097086-0.0018378i,-0.00065033-0.0017633i,-0.00036561-0.0012051i,-0.00049133-0.00042906i,-0.0012623-0.00016133i,-0.0010231-0.00023999i,-0.00057223+0.00025054i,-0.00051071+0.00041762i,-0.00046699+0.00061779i,5.2257e-05+0.00091461i,0.00060322+0.0012209i,0.001013+0.0013142i,0.00054865+2.9995e-05i
0.0033854-0.00062852i,0.0025612-0.0016233i,0.0011607-0.0028561i,-0.00028354-0.0019525i,-0.0015275-0.00039208i,-0.0019462+0.0013013i,-2.2045e-05+0.0016227i,0.0013781+0.00048644i,0.00063071-0.0014125i,-0.00074324-0.0020225i,-0.0011735-0.00092212i,-0.00075539+0.00042418i,-0.00041556+0.00062799i,-8.4364e-05+0.00025045i,0.00033873-4.6186e-05i,0.00083193+1.3731e-05i,0.00099877+0.0004282i,-0.00021929+0.00038318i,-0.0012508+0.00019262i,-0.0004084+0.0002741i,0.00084521+0.00013925i,0.0011623-4.5908e-06i,0.0010414-0.00028853i
0.0030649+0.00066129i,0.0017426-4.5693e-05i,0.0022536-0.0012189i,0.0023192-0.0016827i,0.00044777-0.001081i,-0.000975-0.00050737i,-0.00094052-0.00019469i,-0.00010346-0.00028844i,-0.00011392-0.00095061i,-0.00025637-0.0011505i,-0.00062957-0.0010833i,-0.00080538-0.000672i,-0.00012585-0.0001474i,-0.00013046+0.00020575i,-0.00035421+0.00026124i,-0.00032907+0.000247i,-0.00045403+0.00085794i,-0.00095955+0.0012648i,-8.808e-05+0.00053903i,0.0011479-0.00053094i,0.0012888-0.0010148i,0.0011627-0.0013087i,0.0011929-0.001355i
-0.0016054+0.001053i,-0.00084033+0.0016131i,-0.00037097+0.0028308i,0.00076158+0.0028644i,0.0018075+0.0022638i,0.0012379+0.0010194i,0.0010273-0.00044236i,0.0013206-0.00064944i,0.00088183-0.0011434i,0.00039282-0.0011034i,0.00069562-0.00086629i,0.0013462-0.001176i,0.00074431-0.0012794i,-0.00081443-0.00077515i,-0.0015385+0.00097008i,-0.00059431+0.0015146i,-0.00013067+0.00079854i,-0.00064198+0.00041034i,-0.0014305+0.00059031i,-0.0015619+0.00039932i,-0.00081607+0.00050634i,-0.00010504+0.00030982i,0.00024711-0.0002134i
