0.00088611-0.0010892i,0.00069109-8.4544e-05i,0.00064877-0.00018767i,-0.00037721+0.00059337i,-0.0012101+0.00080111i,-0.0015863-0.00012461i,-0.0012724-0.00012323i,-0.00064154-0.00089842i,-0.00060932-0.0017055i,-0.00015-0.0015939i,0.0006816-0.00027142i,0.00059817+0.00062378i,0.00040887-0.00053103i,0.0014289-0.0015398i,0.000978-0.0012964i,-0.00016249-0.00097841i,0.00086363-0.00039462i,0.0016761-5.5301e-05i,0.0021133-0.00018675i,0.001656+0.00043136i,0.00060169+0.0011486i,-0.00010371+0.0011759i,-0.00029315+0.00050196i
-0.00055283+0.0012407i,-0.0007132+0.0016276i,-0.0002542+0.001363i,-1.7005e-05+0.00087214i,1.6208e-05+0.00021765i,-0.00058025-0.00020361i,-0.00028747-0.00027589i,0.00020847-0.00025881i,0.00026424-0.00064273i,0.00087897-0.0009347i,0.00074976-0.0013211i,8.463e-05-0.001685i,-0.00021319-0.001114i,-3.8195e-06-0.00052483i,0.00051699-0.00030658i,0.00067809-0.00029911i,0.00061057-0.00047635i,4.2617e-05-0.00040497i,-0.00075536-0.00061511i,-0.0012468-0.00028536i,-0.00049667+0.00078293i,-2.9365e-06+0.00049058i,-0.00011609-0.0001057i
0.0013049+0.0012192i,0.00096225+0.0011535i,0.0024064+0.0012443i,0.0019636+0.00084178i,-3.3433e-05-0.00074928i,-0.00066484-0.0012846i,-0.00032446-0.0001085i,0.00029044-0.00020291i,-4.775e-05-0.00085868i,5.8288e-06-0.0013861i,-0.00012551-0.0012065i,-0.00062248-0.00070796i,-0.00010775-0.0010208i,0.00047497-0.00043878i,0.00046774+0.00019269i,0.0004555+8.3e-05i,0.00060182+0.0001137i,0.00092345-0.00014162i,0.0010737-0.00084925i,-0.00022921-0.00062488i,-0.00072943+0.00015466i,-0.0001384+0.00048141i,-7.1769e-05-5.4769e-05i
-0.00057327+0.00014548i,0.00018652-0.00046377i,0.00045322-0.00059175i,-0.00051515-0.00035647i,-0.00089647-0.00075067i,-0.00086283-0.001212i,-0.00084963-0.00095221i,-0.0007988-0.00065485i,8.0766e-05-0.0010764i,0.00067277-0.0019166i,0.00088766-0.0018749i,0.00060378-0.00052454i,-5.5062e-05+0.00033855i,2.8234e-05-5.9594e-05i,7.3298e-05-0.0007761i,-0.00021523-0.0008114i,-6.9284e-05-0.00072791i,0.00010107-0.00060682i,0.00028272-0.00087352i,0.00082619-0.00093997i,0.00056408-0.00040618i,0.00026506+0.00016296i,0.00046292+0.00050909i
0.00052883+0.0019268i,5.5993e-05+0.0020793i,-0.0003104+0.0011114i,0.00011792+0.00025801i,0.00014888-0.00029773i,-0.00039062-0.0014141i,-0.00069741-0.0015774i,-0.00042099-0.00084431i,0.00019043-0.00063255i,0.00056587-0.00089703i,0.00035421-0.00097499i,0.00063905-0.00081448i,0.00070584-0.00057852i,0.00075221-0.00065666i,0.00060751-0.00041594i,0.00048196-0.00016616i,0.00064249-8.9226e-05i,0.00042868-8.2285e-05i,-0.00061148+0.0001403i,-0.0011903+0.00045692i,-0.00087814+0.00021833i,-0.00076679+4.4759e-05i,-0.00055649+3.0797e-05i
-0.001629-0.00011116i,-0.00055867-0.00016641i,0.00021951+0.00024708i,-0.00023315+0.0010516i,-0.00056433+0.0006043i,7.6584e-05+0.00011832i,0.00013092+9.7767e-05i,0.00095607-3.5146e-05i,0.0016786-0.00019181i,0.0008915+0.00026364i,0.00032196+0.00012546i,0.00076863-0.00056807i,0.0013436-0.00038365i,0.0013301-0.00040363i,0.00062558-0.00027763i,0.00047867-9.9102e-05i,0.00068496-0.00048396i,0.00062945-8.0702e-05i,0.00053524+0.00021378i,7.0681e-05-0.00016195i,2.1274e-05-0.0003485i,0.00067813+0.00017129i,0.00047535+0.00014749i
-0.0012754+0.0002975i,-0.00088946-0.00078138i,-0.0001173-0.0005293i,-0.0010707-3.9795e-05i,-0.0021285+0.00023257i,-0.0016325+0.00079143i,-0.0012488+0.00077269i,-0.00099175+7.061e-05i,-0.00011445-0.00079377i,0.00046443-0.00083583i,-0.00016994-0.00011207i,-0.00026539-0.0005989i,0.00026137-0.0010579i,9.0255e-05-0.00022428i,0.00037108+0.00060065i,0.00095966+0.00041407i,0.00089114+0.00017484i,0.0012322+0.00030962i,0.0015332+0.00012969i,0.00061343+0.00039461i,0.00024555+0.0007011i,0.00021021+0.00010987i,-0.00011593+9.0425e-05i
0.0014059-0.00031663i,0.0015935-0.00044025i,0.000774+0.00069599i,-0.00025836+0.00084445i,-0.00070306-0.00016415i,-0.00039071-0.00073687i,0.0001579-0.00082977i,0.00060824-0.00099477i,0.00073842-0.0007784i,0.00093917-0.0006208i,0.0002738-0.00026456i,-0.000291-0.00048567i,-0.00018345-0.00096504i,-0.00015712-0.0010416i,0.00032172-0.0013631i,0.001179-0.00030633i,0.0011285-0.00016193i,0.0010148-0.0012065i,0.00054545-0.00086802i,-0.0001292-0.00026954i,-0.00041062-0.00016188i,-0.00074167+6.1456e-05i,-0.00070051+0.00050743i
0.00078958-0.0012785i,-0.00024784-0.0018566i,-0.0015075-0.0016776i,-0.0017153-0.001713i,-0.001355-0.00092613i,-0.0013382+0.00012257i,-0.00083761+0.00025859i,-0.00028004-0.00042663i,0.00012669-0.00030044i,-0.00037905-2.8231e-05i,-0.0012691-0.00013709i,-0.0011415+0.00030913i,-0.00022027+0.00063941i,0.00083915+0.00013589i,0.0002553-0.00056657i,-0.00064079-0.00083i,-0.00033293-0.00029481i,0.00072121+7.1732e-05i,0.00072691+7.8098e-07i,-5.9671e-05-4.3368e-05i,-0.00029289-0.00095128i,0.00015289-0.00087887i,0.0002803+0.00024531i
-0.00081426-0.0022209i,-0.0016842-0.0012377i,-0.0030381+0.00018889i,-0.0019371+0.00087509i,-0.00099836+0.0013868i,-0.00066117+0.001511i,-0.00053524+0.00086947i,-0.00079794+9.3054e-05i,-0.00081098+0.00021286i,-0.00013241+0.00039429i,-0.00012532+3.5394e-05i,-9.9977e-05-0.00031909i,0.0003121-0.00045083i,0.00075201-0.00062298i,0.0006117-0.00055687i,0.0007262-0.00041681i,0.0011682+0.00028313i,0.0010007+0.00043741i,0.00041223+0.00040147i,-0.00086315+0.00026658i,-0.0016473-5.4921e-05i,-0.0010562-0.00012623i,-0.00031132-0.00036237i
