-0.00012768+0.00023251i,0.00058061-0.00031892i,-0.0010593-0.00055529i,-0.001246-4.0922e-05i,-0.0010099+0.0012318i,-0.0016989+0.0018386i,-0.0014804+0.0022883i,-0.00059932+0.0024312i,0.00082272+0.0014664i,0.0010498+0.00048415i,-2.5294e-05-0.0002827i,-0.00035239-0.00063394i,-0.00070886-0.00040001i,-0.00063185+0.0001344i,0.00039976+0.00050512i,0.0013647+0.0007262i,0.0016994+0.00036713i,0.0011205+0.00041832i,0.00079432-0.00037586i,0.00087534-0.00126i,0.00052485-0.0011295i,0.00031169-0.00036497i,-0.00024883-6.9145e-06i
-4.0233e-05+0.00055274i,0.00081386+0.0010966i,0.00094772+0.0013439i,0.00057543+0.0013806i,-5.6536e-05+0.0014037i,-9.6579e-05+0.00092045i,-0.00051431+0.0010279i,-0.0013847+0.0015769i,-0.00062087+0.00076684i,0.00033382-2.9065e-05i,0.00053527-0.00048745i,0.00036284-0.00044212i,6.0708e-05-0.00042412i,0.00029211-0.00012532i,0.00031997+0.00074401i,0.00039758+0.0004608i,0.00041026-3.9627e-05i,0.0001468+0.00042048i,0.00015337+0.00076195i,-0.00068102+2.2038e-05i,-0.001303-0.000831i,-0.00017509-0.00025816i,0.00022988+7.3608e-05i
-0.0012391-0.0001265i,-0.001283+0.00061584i,-0.0014064+0.0014208i,-0.00054629+0.0013466i,0.00062557+0.0013125i,0.00066338+0.00077858i,0.00035366+0.00050184i,-0.0001322+0.0012556i,-4.4806e-05+0.0015892i,0.00097258+0.00074634i,0.0019084-0.00010337i,0.00068211-0.0010411i,-0.00064599-0.0016275i,-0.00070465-0.0015982i,-0.00055711-0.00087381i,-0.0003798-0.00019856i,0.00079088-0.0001347i,0.0013179-0.00027676i,0.00085549-0.00074825i,0.00041775-0.00059869i,0.0001977-0.00085816i,0.00056984-0.0010745i,0.00075455-0.00019409i
-2.628e-06+0.00013459i,0.00039501+0.0003485i,0.00044417-0.00012036i,0.00035445-0.00018159i,-2.2846e-05-6.5561e-05i,-0.00042167-0.0003634i,-0.0009027-0.00047379i,-0.0012855+0.00068122i,-0.0012736+0.0011418i,-0.00066568+0.00050922i,0.00042452-0.0006304i,0.0013719-0.001635i,0.0011463-0.0013i,0.00081825-0.0004955i,0.00083903+0.00065095i,-0.00013659+0.0011283i,-0.00076097+0.0010004i,-0.00022626+0.0010818i,0.00017441+0.00036005i,0.00072418-0.00040257i,0.00056904-0.00026358i,-0.00038701+0.00034032i,-0.00071482+0.000332i
0.0023204+0.0014606i,0.0023316+0.00085179i,0.0020207+0.00043014i,0.0021381-0.00033018i,0.0017924-0.00026953i,0.00040631-2.5329e-05i,0.00010895+0.00019344i,-6.8483e-05+0.0016612i,-0.00039721+0.001488i,-0.00086121+9.3381e-05i,-0.0014209-0.00035606i,-0.00093867-0.00015998i,-0.0001001+4.7913e-05i,-0.00016646+0.00052674i,9.0857e-05+0.00041395i,0.00025405+1.5626e-05i,-0.00032337+0.00013749i,-0.00052668-0.00026611i,-0.00077873-0.00059732i,-0.00080735-2.1133e-05i,-0.00040036+0.00067492i,-0.00050577+0.00045797i,-0.00055851+0.00011269i
0.0016261+1.0604e-05i,0.0014748-0.00030752i,0.0014649-0.0014128i,0.0005462-0.0016071i,-0.00058224-0.00090316i,-0.0010096-0.00052431i,-0.00017934+0.00014302i,0.00022396+0.0011177i,-0.00010414+0.0013608i,0.0002949+0.00076973i,0.00024439+1.9707e-05i,-0.00085164-0.00026206i,-0.0010327-0.00010727i,-0.00029628+0.00045593i,0.00061304+0.0013345i,0.0012227+0.0014578i,0.0013765+0.00058785i,0.0011046+9.9011e-05i,0.00024999-0.00049497i,-0.00058959-0.00031189i,-0.00061315+4.0701e-05i,0.00047567-4.318e-05i,0.00073555+0.0006333i
-0.00091021+0.0008857i,-0.00066668+0.001667i,-0.0014172+0.0022645i,-0.0020001+0.0028456i,-0.0017461+0.0023003i,-0.0018254+0.0014606i,-0.0014965+0.00091789i,-0.0008984+0.00065587i,-0.00052075+0.00088874i,-6.1921e-05+0.00082272i,0.00010026+0.00015235i,-0.00016703-0.0013863i,-0.00014025-0.001475i,0.00018569-0.00010841i,-0.00022989+0.00032261i,-0.0007128+0.00034434i,-0.00065158+0.00041436i,-0.00044717-0.00035692i,0.0004795-0.0010229i,0.00051506-0.00072577i,0.00016709-0.00041637i,-0.00033594-0.00021577i,-0.00095367-0.00031109i
7.5161e-05-0.00035278i,-0.00092168-0.0011797i,-0.00099833-0.0018113i,-0.00067254-0.0012314i,-0.00085365-0.00058525i,-0.00097777-0.00039041i,-0.00068533+0.00089611i,-0.00084513+0.0015261i,-0.00067988+0.0012701i,-0.00019048+0.00080145i,0.00074798-0.0001598i,0.0015174-0.00026804i,0.001245-0.00011847i,0.00016958-0.00030653i,-0.00024454-0.00043019i,7.2132e-05+6.9015e-05i,0.00053304+0.00067429i,0.00059593+0.00066435i,0.00018702+0.00072011i,0.00024196-0.00016208i,0.00012716-0.00095276i,-0.00016265-0.00047694i,0.00021976-5.8487e-05i
-0.00084988-9.7267e-05i,-0.0018958+0.00071561i,-0.002389+0.002312i,-0.0019559+0.0022171i,-0.0013688+0.0015393i,-0.00062855+0.0015667i,-0.00035836+0.00077662i,-0.00014818+0.00023863i,0.00076984+0.0010824i,0.0011345+0.0012394i,0.0011931+0.00019158i,0.0016538-0.000969i,0.0010984-0.0011928i,-0.00046277+0.00041317i,-0.0010168+0.00089984i,-0.00046689+0.00060994i,-0.00021873+0.0011669i,4.0957e-05+0.00092492i,0.00021054-0.00024887i,0.00016307-0.00030757i,0.00041087+0.00072742i,0.0002409+0.00061018i,-0.00010502-0.00036801i
-0.00077465+0.00051612i,-0.00013324-0.00011381i,0.00042666-0.00018047i,0.0010635+0.00014726i,0.00085932+0.00073703i,0.00038353+0.0007063i,-0.00035554+0.00044596i,-0.00063101+0.0006711i,-0.00042179+0.0011903i,-0.00052017+0.00088018i,2.5103e-05+9.5292e-05i,0.00054608-0.00075023i,-0.0001068-0.00067414i,-0.00061576+0.00011182i,-0.00050926-0.00042665i,-0.00010684-0.00032339i,-1.706e-05+0.0006177i,8.4061e-05+7.6449e-05i,0.00023091-0.00098134i,0.00024271-0.00095804i,0.0005086+4.5737e-05i,0.00066104+0.00079372i,0.00051555+0.00085753i
-0.00054936+0.0015871i,0.00063505+0.0020376i,0.0016142+0.002175i,0.0014011+0.0021539i,0.00096652+0.0014052i,-0.00017918+3.0039e-05i,-0.00071633-0.00025937i,-0.0006364+0.00048818i,-0.00048522+0.00092219i,0.00064968+0.00097975i,0.0019633+0.00032316i,0.0020419-0.0011065i,0.0011308-0.0016145i,-8.3755e-05-0.00053463i,-0.0004502+0.00073934i,-0.00039497+0.00085256i,-0.00099572+0.00045533i,-0.00099906-0.00039523i,5.7842e-06-0.0008359i,0.0003872-0.0004608i,-0.00017336+6.9509e-06i,-0.00034964-1.6233e-05i,6.7857e-05-0.00085852i
-0.00062695-0.00020419i,-0.00012829+0.00044015i,-0.0010563+0.0010084i,-0.0010226+0.00095788i,-0.00036374+0.00057577i,-0.00093791-0.00012309i,-0.00074361+0.0004635i,-0.00030589+0.0012491i,-0.00085943+0.0010149i,-0.00077862+0.00050387i,-0.00010584-0.00025832i,0.00022429-0.00094128i,0.00013145-0.0010695i,0.00013479-0.00011787i,0.00019796+0.00047397i,0.00060115-4.3775e-05i,0.00058681-9.7035e-05i,0.0004911+0.00021592i,0.00025886+0.00014844i,-0.00011299+0.00046516i,-0.00010808+0.00035893i,-0.00010316-0.00010135i,-0.00010256+3.943e-05i
0.00090948+3.0529e-05i,0.00089635-0.00020439i,0.00037332+0.00022109i,-0.00078585-2.0117e-05i,-0.0021308-0.000438i,-0.0031677+0.00076529i,-0.0028739+0.0013334i,-0.0018443+0.00088081i,-0.00043523+0.00062952i,0.00066779+0.00046293i,0.00093096-0.00020609i,0.00059597-0.00048962i,-0.00046186-0.00022571i,-0.0003039+6.5793e-05i,0.0004971+0.00049794i,0.00012734+0.00078655i,0.00025032+0.00056292i,0.0011542+2.1718e-05i,0.00046858+0.00012605i,0.00017563+0.00047869i,0.00047279+0.00056506i,0.00021873+0.0005801i,0.00033279+0.00044518i
0.00057177-0.00042079i,0.00042345-0.0013996i,0.00018131-0.0013776i,7.5321e-05-0.0014331i,-0.0004797-0.00084419i,-0.0012046-0.00048972i,-0.0010396+0.00055175i,-0.00056561+0.0013117i,-0.00096315+0.00062786i,-0.0011736+7.5823e-05i,0.00036511-0.00064175i,0.0020812-0.0012028i,0.0010503-0.0004748i,-0.00043355+0.00060391i,-0.00073114+0.00074044i,-0.00040691+0.00029907i,0.00012056+0.00012882i,-8.0378e-05+0.00028472i,-0.00012183-5.1655e-05i,-0.00036692-0.00061502i,-0.00087416-0.00029704i,-0.00050419+2.705e-05i,7.5062e-05+6.1703e-05i
0.00091004-0.00034991i,0.0013688+0.00078199i,0.0016355+0.0011961i,0.0014914+0.00080778i,-0.00035932+0.0004911i,-0.001318+0.0001043i,-0.00081707+0.00037954i,-0.00093516+0.00065018i,-0.00058461+0.00035224i,-0.00014004-0.00016883i,7.2321e-05-0.00042375i,0.00019369-0.00056882i,-0.00031703-0.0005607i,-0.00038191+0.00037166i,3.5066e-05+0.00084799i,0.00027618+0.00065089i,0.00016693+0.0014476i,-3.6837e-05+0.0014204i,0.00012057-2.2386e-05i,0.00051595-0.00078876i,0.00057951-0.00015601i,-0.0001389+0.00056336i,-0.0011996+2.503e-05i
0.001624-0.0016338i,0.00032098-0.0019683i,-0.0010558-0.0027578i,-0.0022161-0.0017901i,-0.0029399-0.00046621i,-0.0028455+0.00036664i,-0.0023621+0.00098997i,-0.0014418+0.00089208i,-0.00034143+0.00031234i,0.00026852-0.00016804i,0.00056332-0.00045001i,0.00049055-0.00065092i,0.00054701-0.00067353i,0.00092974-0.00022375i,0.00098891+0.00060279i,0.0013472+0.00049236i,0.0014071-0.00010158i,0.00086064-0.00036317i,0.00017799-0.00046989i,-0.00029232-7.4543e-05i,-0.00019468+0.00076614i,-0.00048436+0.0012378i,-0.00083128+0.00062565i
0.001435+2.5483e-05i,-0.0002954+0.00015617i,-0.0012321+0.00025488i,-0.00013043+0.00045916i,0.00040531+0.00087203i,1.9928e-05+0.00025346i,-0.00049231+0.00028581i,-0.00073467+0.00059342i,-0.00080403+0.00057362i,-0.00031157+0.00035822i,0.00052535-2.6493e-05i,0.00080012-0.00035479i,0.00033932-0.00088714i,-0.00083259+1.1208e-05i,-0.00081615+0.0012199i,0.00016323+0.00099438i,0.00058742+0.00062i,0.00032238+0.00018611i,-0.00025613-0.00047472i,-0.00039755-0.00042216i,-0.00016376+5.1916e-05i,-0.00078556-0.00070728i,-0.0010704-0.0012266i
0.0014921-0.00051011i,0.0017469-0.0012308i,0.0017297-0.0016316i,0.00064846-0.0016877i,-0.00069638-0.001294i,-0.0013892-0.00042683i,-0.0010333+0.00052926i,-0.0010801+0.00056191i,-0.0012088-0.00021609i,-0.00069439-0.00055155i,0.00025726-0.00098197i,0.00055855-0.00092987i,-0.00034977-0.0004265i,-0.00047782+0.00025364i,0.00032995+0.00065345i,0.00083679+0.00062648i,0.00072289+0.00056116i,0.00074261+0.00036315i,0.00061016+5.3091e-05i,0.00021104+0.00045078i,-0.0001329+0.00021999i,0.00063484-0.00037566i,0.0009579+7.1761e-05i
-0.0011469+0.00044192i,-0.0013202+0.0014854i,-0.0011011+0.0022527i,-5.5039e-05+0.0022272i,0.00011306+0.0023124i,-0.00058626+0.0015809i,-0.0011895+0.00080143i,-0.0010833+0.0006796i,-0.0008573+0.00042375i,-0.00065406-0.00021528i,0.00034357-6.6995e-05i,0.00071465-0.00027056i,0.00025944-0.00064253i,-0.00098908-0.00031013i,-0.0009507+0.00036098i,0.00039634+0.00094563i,1.2527e-05+0.0013475i,-2.8581e-05+0.00030034i,0.0009141-0.00086368i,0.00072429-0.00048102i,0.00025162+0.00065733i,0.00028542+0.0010864i,0.0001057+0.00022488i
0.0007723-3.2087e-06i,0.0010746+0.00022255i,0.0022279-0.00078582i,0.0015621-0.00097407i,0.00010778-0.0012562i,-0.00063893-0.0015539i,-0.00072995-0.00033146i,-0.00057127+0.001106i,-0.00058224+0.0011911i,-0.00050091+0.00065481i,-0.00036819-0.00047346i,-9.072e-05-0.0014546i,-0.0001099-0.0013223i,-0.0002823-0.00069538i,-0.00019546-0.00010242i,0.00013881+0.00050715i,7.8657e-05+0.00074539i,-0.00077931+0.00063027i,-0.0014902+0.00057888i,-0.00059274+9.6121e-05i,0.00038047-0.00015861i,0.00024762+0.00029778i,-0.00028424+0.00015971i
-0.00058606+0.0011731i,-0.00073549-0.00018663i,-0.00093569+0.0010172i,-0.00078947+0.0027592i,-0.0003922+0.0024205i,-0.00067866+0.00084928i,-0.0014065+0.00060263i,-0.0014839+0.0011926i,-0.00032164+0.0012362i,0.00027074+0.00085463i,0.0002655+2.31e-06i,0.00074835-0.0005203i,0.00062734-0.00084283i,1.8362e-05-0.00017492i,6.9287e-05+0.0012576i,0.00040953+0.0015483i,0.00034717+0.0010113i,0.00042214+0.00035253i,0.00042713-0.00070872i,0.00042747-0.0012413i,0.0001668-0.00067102i,-1.8073e-05+0.00036784i,-1.9341e-05+0.00058113i
-0.00083515+0.00034036i,-0.0013383+0.00013583i,-0.0017661-0.00067754i,-0.0010897+0.00039028i,-6.8455e-05+0.001804i,7.6627e-05+0.0010688i,-0.00093935+0.00073071i,-0.00071984+0.0015448i,8.8781e-06+0.0013337i,4.8495e-05+0.00047853i,0.0003987-0.00046429i,0.00083694-0.00082613i,0.00097087-0.00035885i,0.0010472-0.00012214i,0.00083903+2.9578e-05i,0.00066867+0.00015776i,0.00037312+0.00061058i,0.0007181+0.00072682i,0.00080308+0.00038991i,-6.4284e-05+0.00028097i,-0.00044247+0.00036696i,-0.0004948+0.00023654i,-0.00011446+0.00030624i
-0.0021558+0.00095463i,-0.00097792+0.0022537i,-1.7724e-05+0.0033445i,-0.00022862+0.0035002i,-0.00067861+0.0026451i,-0.00069593+0.0011822i,-0.00058389+0.0014727i,-0.0011332+0.0029874i,-0.0010711+0.0026471i,0.0004421+0.0015575i,0.0010164+0.00084903i,0.00020134-0.00035973i,-0.00066042-0.00097558i,-0.0007635-0.0010749i,-0.00070884-0.00021291i,-0.00052761+0.00051333i,-0.00028072+0.00085782i,0.0001099+0.00096699i,0.00021465-7.2783e-05i,2.341e-05-0.00089571i,-0.00030023-0.00019147i,-0.00035881+0.00061107i,-7.8292e-06+0.00069397i
-0.0010687-0.0027381i,-0.0020419-0.0017924i,-0.0019973-0.0012797i,-0.0019366-0.00052126i,-0.0022453+0.00086436i,-0.0023262+0.001042i,-0.0016893+0.00019079i,-0.0011791+0.00013739i,-0.00097826-5.0164e-05i,-0.0012055-0.00050836i,-0.0010576-0.00068191i,-0.0004557-0.00036159i,0.00010315+0.00024754i,0.00022068+0.00087986i,0.00015972+0.00096319i,0.000547+0.0010248i,0.00045558+0.0008768i,0.00064953+0.00044879i,0.00072829+0.00025948i,0.00056245+7.1453e-05i,3.6472e-05+0.00033167i,-0.00024344+0.00023901i,0.00040609-0.00027255i
0.0016295-0.0010281i,0.00039567-0.0017663i,0.00052507-0.0020255i,0.00093523-0.000949i,0.00089332+5.4092e-05i,0.00085549+4.6143e-05i,-0.00056086+0.00022031i,-0.0013432+0.00053267i,-0.00051551+0.00067622i,0.000169+0.00060188i,0.00033094+0.00023001i,5.5229e-05-0.00030569i,-3.7718e-05-0.000256i,-0.00052596-0.00024042i,-0.00017753+0.00018139i,0.00096087+0.00045698i,0.0011849+0.00050869i,0.0004532+0.00081384i,0.00032447+0.00023795i,0.00045692-4.6075e-05i,-0.0001181-0.00023668i,-0.00094686-0.00041321i,-0.0008071-0.00051127i
-0.0016045+0.00051244i,-0.0016175+0.00057712i,-0.0010781+0.0012137i,-0.00044321+0.0011351i,0.00064945+0.00069831i,0.00029708+7.9133e-05i,-0.00076378+0.00079484i,-0.0016298+0.001927i,-0.0019987+0.0016614i,-0.00080947+0.00078285i,0.00067829-0.00068928i,0.00058944-0.0013419i,-0.00022165-0.0011674i,-7.8616e-05-0.00099403i,0.0003327-0.00075373i,3.9005e-05-0.00023881i,0.00021811+0.00024298i,0.00060664+0.00035164i,0.00050693-0.0001395i,0.00020984+7.2061e-05i,-0.00047792+0.00057736i,-0.0003863+0.00022423i,-4.4252e-05-0.00049254i
-7.5384e-05+0.00032457i,0.00047771+0.00084315i,0.0006123+0.0010836i,0.0004204+0.0013154i,-0.00029092+0.0014719i,-0.0010715+0.0013651i,-0.00089047+0.00086271i,-0.00044105+0.00068387i,-0.0002186+0.00088826i,0.00014525+0.00049994i,0.00042858-0.0010464i,0.00038017-0.0014597i,-4.6449e-05-0.00052738i,0.00045478+0.0001931i,0.00082676+0.00043259i,0.00089971+0.00089571i,0.000549+0.00099578i,0.0005059+0.00060487i,0.00081643+0.00051885i,0.00053586-9.6029e-05i,0.00066522-0.00055339i,0.00063314-0.00028241i,0.00022172-6.9282e-06i
-0.00035608-0.00065696i,-0.0013876-0.0006077i,-0.0017581-0.00051708i,-0.0012191-0.00013447i,-0.001078+0.00068107i,-0.00088821+0.00044996i,-0.00086134+0.00090276i,-0.00043871+0.0018912i,0.00037756+0.002084i,0.00052989+0.0008711i,0.00089723-5.4894e-05i,0.0015364-0.00024028i,0.00064677-0.00014915i,-0.00074217+0.00017196i,-0.00036805+0.00034005i,0.0005008+0.00012819i,0.00050958+0.00021714i,0.00092833+7.8687e-05i,0.0010777-0.00016949i,0.00028012+0.00014556i,-0.00015756+0.00054765i,-0.00046536+0.00064787i,-0.00015244+0.00044447i
0.0004328+0.0011607i,0.0010622+0.00023611i,0.0014287-0.00019282i,0.0006533+0.00027777i,-0.00054485+0.00083631i,-0.0014682+0.00040001i,-0.00099685+0.0002708i,0.00025567+0.000627i,0.00073143+0.00011246i,0.00054448-0.00059643i,0.00033149-0.0010487i,-0.00041372-0.001453i,-0.0012249-0.0014427i,-0.0007493-0.00032616i,-0.00026283+0.0012318i,0.00038446+0.00065718i,0.00050591-0.00018916i,0.00011765+6.4253e-05i,0.00078158-0.00045528i,0.0017093-0.00099243i,0.001905-0.00085779i,0.00098127-0.00014773i,0.0002477+0.00030974i
0.00059443-0.00028903i,0.0012947-0.0017896i,0.0013127-0.0030127i,0.0010794-0.0020237i,0.00032817-0.0006507i,-0.00050239-0.00012394i,-0.0010215+0.00034004i,-0.00046591+0.00082153i,0.00017583+0.00059295i,0.00014807-9.444e-05i,-0.00036744-0.00063015i,-0.001079-0.0012144i,-0.00068571-0.0015239i,-0.00044093-0.00099729i,-0.00079533-0.00011833i,-0.00041211+0.0009559i,0.00054322+0.0012386i,0.0009286+0.00084504i,0.00019208+0.00015566i,-0.00013514-0.00071505i,0.0002397-0.00042881i,-9.9558e-06+0.00023481i,-0.0003243+0.00035627i
0.00019314-0.00076578i,-0.00034049+0.00055198i,-0.0020002+0.0029714i,-0.0013247+0.0034912i,-0.00016185+0.0023528i,0.0003055+0.00088103i,-3.5895e-05+0.00077382i,-0.00087979+0.0013244i,-0.00098132+0.0014597i,-0.00030826+0.00075724i,0.00018365-0.00044092i,0.0003019-0.0010838i,0.0012868-0.0011188i,0.0013987-0.0005686i,0.00065298+0.00026638i,0.00056399+0.0010615i,0.00044565+0.0016621i,0.00035897+0.0016016i,0.00042431+0.0011428i,0.00010245+0.00041616i,0.00011571-0.00041544i,0.00025235-0.00069899i,0.00011458-0.00019828i
-0.00086024+0.00012904i,-0.0004729-0.00016594i,0.00035874-0.0012854i,0.00089437-0.0016091i,-0.00024064+0.00042043i,-0.0012875+0.00178i,-0.001286+0.0013189i,-0.00087475+0.00031895i,-0.00064024-0.0003348i,-0.00051749-0.00050606i,-0.00030813-0.0011624i,0.00017761-0.0017831i,-9.5763e-05-0.0014101i,-0.00025055-0.00050412i,-0.00016173+0.00028477i,5.6779e-05+0.00094605i,-0.00013129+0.00098002i,-0.00020331+0.00068157i,-0.00023262+0.00046976i,-0.00077831-0.00090002i,-0.0017633-0.0012086i,-0.0011509-0.0001625i,0.00015631+5.0443e-05i
4.3356e-05+0.00047155i,-8.6027e-05+0.0010352i,-0.00070312+0.0013374i,-0.0010061+0.00054633i,-0.00091133-0.00047372i,-0.00097445-0.0011509i,-0.001303-0.00066468i,-0.00061081+0.00075865i,-0.00022254+0.0013783i,-0.00075464+0.00054056i,-0.00056808-0.00043056i,-0.00064715-0.00021113i,-0.0015462-0.00024604i,-0.001739+0.00019121i,-0.00055764+0.0010557i,0.00028172+0.0007263i,-0.00018316+0.00049841i,-0.00051941+0.00030058i,6.5952e-05-0.00047251i,0.00046243-0.0011367i,0.00027196-0.00073439i,0.00020978-0.00016308i,0.0001205-0.00024883i
-0.0010018+0.00049175i,7.6634e-05+0.0016666i,0.00054804+0.0013274i,5.5399e-05+0.00050402i,-0.00034285+0.00028159i,-0.00010336+0.00029344i,-0.00056326+0.00043513i,-0.00064763+0.00050976i,-0.0010195-7.296e-05i,-0.001263-0.00092179i,-0.00052377-0.00091808i,4.0433e-05-0.00033957i,-0.00030487-0.0001169i,-0.00044654-0.00020978i,-0.00022602-0.00013018i,-0.00042086+0.00055638i,-3.3216e-05+0.00031017i,0.00059393+2.1119e-05i,0.00010939+4.8161e-05i,-2.2894e-05-0.00027801i,0.00067296-0.00065771i,0.00076912-0.0004698i,0.00052906-5.3701e-05i
-0.0030019+0.00053823i,-0.0015405+0.00093424i,-0.0004572+0.0024104i,-0.00031963+0.0033976i,-0.00041793+0.0029287i,-0.0002133+0.0019109i,-0.00063494+0.0010928i,-0.0019206+0.00095823i,-0.0011429+0.0011439i,0.00084657+0.0012318i,0.0013519+0.00068452i,0.0010649+8.1348e-05i,0.00030751-0.00068601i,3.6691e-05-0.00086981i,-0.00011672-4.3235e-05i,0.00016105+0.00043526i,0.00064344+0.00074567i,0.00015628+0.00093053i,-0.00043983+0.00033383i,-0.0011242-0.0004663i,-0.00073762-0.00051445i,0.00037619-0.0004789i,0.00089275-0.00024895i
0.00035977+0.00095437i,4.2501e-05+5.0685e-05i,-0.00090731+0.00027249i,-0.00063384+0.00098965i,-0.0008809+0.00076214i,-0.0017584+0.00031129i,-0.0014669+0.0008886i,-0.00058023+0.0012269i,-0.00042444+0.0009862i,-0.0002+0.0010035i,-1.0995e-07+0.00020641i,0.00021498-0.0010375i,0.00016301-0.00095506i,-0.00035504-0.00050947i,-0.00022199+5.0515e-05i,0.00029139+0.0004819i,0.00054512+0.00032412i,-2.0071e-05-0.00027956i,0.00019284-0.0010822i,0.0007787-0.0014409i,0.00071299-0.00030494i,0.00056978+0.00059636i,-4.7933e-05+0.00014886i
0.00042911+0.00090367i,0.0010345-0.00020823i,0.0012155-0.00052321i,0.00073136-0.000596i,0.0005188-0.00072615i,-0.000245-0.0010568i,-0.0013548-0.00070729i,-0.0011895+0.00039786i,6.4552e-05+0.00088519i,0.0011261+0.00023909i,0.0010624-0.00084685i,0.00016935-0.001452i,-0.00038769-0.0012813i,-0.00052757-0.00032622i,-9.0389e-05+0.00083155i,0.00065822+0.00066057i,0.0010529-0.00038609i,0.0010105-0.0002231i,0.0005298+0.00027039i,-0.00023333+0.00033559i,-0.00016491+0.00040717i,0.0002622-0.00026886i,0.0004556-0.0014744i
0.0011902-2.5647e-05i,0.00067242+0.00017246i,8.5487e-05+0.00018395i,-0.00044617+0.0005319i,-0.0012787-5.1314e-05i,-0.0014736-0.00013126i,-0.0011602+0.00067586i,-0.0012264+0.0013129i,-0.0011342+0.00083393i,-0.0010458-0.00042116i,-0.00022017-0.00063868i,0.00037924-0.00058543i,0.00034227-0.0010224i,0.0003199-0.00048719i,-6.1071e-05+0.00014796i,-3.2444e-05+0.00013893i,0.00079653-0.00023426i,0.0010367-0.00019976i,8.3556e-05-0.00069167i,-0.00064027-0.001363i,3.2968e-05-0.00062133i,0.00016337+0.00029518i,0.00014122-0.00013378i
0.0011093-0.0013646i,0.0016549-0.0013369i,0.0014171-0.00064885i,-0.00012682+0.00013031i,-0.00097329+0.00099151i,-0.00075622+0.0016027i,-0.00044952+0.0013863i,-0.00058285+0.00041448i,-0.00063237-0.00011597i,-0.00054303+9.8504e-05i,-0.00016206+0.0001709i,3.9894e-05-0.00040807i,-0.00031521-0.00081812i,0.00012666-0.00071244i,0.00057942-0.00015966i,-3.7445e-06+0.00017068i,-0.00050741-0.00038931i,-0.00089847-7.9152e-05i,0.00013014+0.00051931i,0.00069423+0.0008933i,0.00046874+0.0011055i,0.00019179+0.00029327i,-5.2338e-05-0.0008447i
-0.0017845-0.0012618i,-0.0025912-0.0013238i,-0.0034327-0.00025857i,-0.003298+0.0010547i,-0.0022352+0.0014466i,-0.0012257+0.00068719i,-0.00079429+0.00022803i,-0.00083237+0.00077434i,-0.00085659+0.00040085i,-0.0007774-0.00028868i,1.6165e-07-0.00013502i,0.00040089+0.00016567i,0.00055671+0.00019097i,0.00049716-0.00034245i,6.8372e-06-0.00011082i,-0.00026928+0.00081824i,-0.0010156+0.00085888i,-0.00098479+7.2167e-05i,-0.00018834-4.863e-05i,-0.00053641+0.00046171i,-0.00078595+0.0011082i,-0.00042076+0.0011736i,0.00010951+0.00067885i
0.00034791+0.00029497i,0.00077981+0.0014488i,0.00059521+0.0020573i,0.0003723+0.00041812i,0.00054048-0.00077197i,-0.00016359-0.000583i,-0.0014677-0.00050651i,-0.0014635+0.00025115i,-0.00029288+0.0015884i,0.0003401+0.0010827i,0.00073491-0.00054474i,0.0006994-0.00075957i,0.00010812-0.00029035i,-5.425e-05+0.00015083i,0.00039263+0.00053769i,0.00045004+0.00030798i,0.00062345-9.96e-05i,0.00023434-0.00053546i,0.00025106-0.00054332i,0.00043206-0.00030481i,-0.00018947-0.00012836i,-0.00011798+0.00011369i,-0.00052269+0.00055224i
-0.00031351-0.0014023i,-0.0012739-0.0017989i,-0.00165-0.0016033i,-0.0019443-0.00079369i,-0.0019484-0.00032826i,-0.0016151+0.00016506i,-0.0015985+0.00041525i,-0.0011047+0.0010637i,-0.00066367+0.0015155i,-0.0010992+0.0010476i,-0.0011468+0.00067064i,-0.00057496-9.7526e-05i,-0.00052888-0.00067796i,-0.00046132-0.00018798i,-7.2327e-05+0.00044927i,0.0003414+0.00052797i,0.00074083+0.00055136i,0.0011355+0.00035545i,0.00059004-1.1456e-05i,-6.516e-05-0.00014395i,-0.00055134-0.00056158i,3.9601e-05-0.00069655i,0.00019102-0.00047141i
-0.0010245+0.00060219i,-0.001542+0.0020864i,-0.00066862+0.0022743i,-0.00011142+0.0013714i,-8.9243e-05+0.0011951i,-0.00080242+0.00089842i,-0.0015271+0.00047803i,-0.0010774+0.000482i,0.00047522+0.000628i,0.0012334+0.00026881i,0.00087042-0.00053619i,0.00063959-0.00071329i,0.00017235-0.00051901i,-0.00025694-0.00038342i,-0.00023926+1.2735e-05i,-0.00027418+0.00089613i,-0.00066615+0.0016453i,-0.00049915+0.00074606i,-0.00070459-6.7959e-05i,-0.00060703-7.5625e-05i,-0.00043668+0.00027515i,-0.00048214+0.00027993i,-0.00019613+0.00038368i
-0.00020785-0.00067113i,-0.0012347-0.00087655i,-0.0017772-0.00051479i,-0.0016726+0.0002736i,-0.0017113-5.9031e-05i,-0.001951+5.3429e-05i,-0.0016032+0.00091123i,-0.0011527+0.0011713i,-0.00077432+0.0010059i,-0.00026742+0.0011381i,0.00056756+0.00034138i,0.00084014+1.661e-05i,0.00038051+0.00040812i,-4.8203e-05-9.4198e-05i,-0.00048267-0.00046377i,2.4686e-05-0.00034233i,0.0013826+0.00054553i,0.001508+0.00031045i,0.00081472-0.0012131i,0.00018124-0.0013826i,-0.00078949-0.0010325i,-0.0011509-0.00049541i,-0.00097536+2.8227e-06i
