-0.0032967+0.0009075i,-0.0021857+4.502e-05i,-0.0025073+0.00064835i,-0.002159+0.0014466i,-0.0012053+0.0017893i,-0.00054376+0.0011149i,-0.00058279+0.00072523i,-0.00085468+0.0017337i,0.00036475+0.0016935i,0.0024187+0.00019965i,0.0018923-0.0013062i,6.2392e-05-0.0018017i,0.00035707-0.0018236i,0.0010897-0.0018167i,0.00057194-0.0011142i,0.00015304-0.00069761i,0.00018269-0.00040169i,0.00044561+0.00027084i,0.00069112+0.00059354i,0.00056107+4.2685e-05i,0.00074607-0.00021354i,0.00042573-1.0411e-05i,-0.00045592-0.00016446i
-0.00091337-0.0023544i,-0.0015548-0.0016062i,-0.0020217-0.00038558i,-0.0013579+0.00010861i,0.00036266-0.00013423i,0.0011818-8.2527e-05i,0.00045034-0.00040151i,-0.00046204-0.00033081i,-0.00074346+0.00068913i,-0.00036895+0.0013894i,0.00029389+0.00073453i,0.00073893-0.00044749i,0.00069531-0.00043961i,0.0011569-8.8987e-05i,0.0014704-0.00061978i,0.0010717-0.0009464i,0.00062572-0.0008741i,0.00084746-0.00076108i,0.00084718-0.00043626i,-2.8495e-05+0.00022468i,-1.5753e-05+0.0011039i,2.4243e-05+0.0008063i,-0.00027521-0.00039182i
0.0010952+0.00026464i,0.00025009-0.00063776i,-0.00034671-0.00091996i,-0.00049938-0.00035566i,-0.00060579-0.00029319i,0.00070417-0.0011497i,0.0014193-0.001821i,0.00059657-0.00076731i,0.00042985+0.0011304i,0.00081292+0.0016215i,0.00035042+0.00047624i,-0.00011982-0.00034402i,-5.2381e-05+0.00031428i,0.00021573+0.00049977i,0.00077411+5.5008e-05i,0.00092236+1.0229e-05i,0.00040901-0.00025169i,0.00043317-0.00048492i,3.0356e-05-0.00021303i,-0.00051286+0.00012525i,-0.00070985-5.1011e-05i,9.9466e-05-0.00028639i,0.00027894+0.00023848i
0.0017569-0.0011622i,0.0019202-0.0020542i,0.0010397-0.0017458i,0.00036715-0.001736i,0.0006289-0.0019729i,0.00056664-0.0013459i,0.00021021-0.0007321i,2.6483e-05+0.00012172i,0.00054828+0.00086732i,0.00058237+0.00049649i,-0.00029428+0.00016672i,-0.00030199+0.00014845i,0.00046618+5.467e-05i,0.0010413-0.00041333i,0.001406-0.00016938i,0.00046299-0.00049825i,9.0102e-05-0.0008428i,0.00114-0.00039852i,0.00099721+0.00014219i,0.00012007-2.8671e-05i,0.00017731-0.00072157i,0.00019438-0.00052625i,-0.00034391-0.00010301i
-0.0014659+6.7545e-05i,-0.00020077+0.00037397i,2.7955e-05+0.00065797i,7.1863e-05+0.00062633i,0.00016271+0.00026689i,0.00058893-0.00024654i,0.0011547-0.0011894i,0.00098939-0.00051386i,0.00047351+0.00025838i,5.3823e-05+0.00018177i,0.00027343-0.00026716i,0.00066229-0.00050954i,0.00040159-0.00024221i,0.0003261-0.0005066i,0.00039918-0.0009446i,-0.00020018-0.00053662i,-8.8908e-05-0.00069582i,0.00084202-0.0010275i,0.0012019-0.00011584i,0.0006639+0.00089935i,0.00046812+0.00088599i,0.00039211-0.00020938i,-0.00033005-0.00021016i
-0.00047773-0.0006622i,6.6263e-06-0.00036625i,2.9492e-05-0.00013566i,0.0004674-0.00029649i,0.0019932-0.00090778i,0.0018998-0.0012817i,0.0014412-0.0010612i,0.00099499-0.00075911i,0.00074312-0.00049899i,0.0013046-9.2027e-05i,0.0013806-0.00060931i,0.00070518-0.0011549i,0.00039605-0.00091651i,3.057e-05-0.00063301i,-5.3478e-06-0.0010776i,-0.0002758-0.0012821i,-0.00026793-0.00028383i,5.4979e-05+0.0005523i,0.0008825+0.00089207i,0.00089712+0.00097551i,-0.00010821+0.00066886i,-0.00022053+0.00035904i,-0.0002341+0.00035294i
-0.0027119-7.2151e-05i,-0.0026783+9.4111e-05i,-0.0024167+0.00089751i,-0.00042695+0.001599i,0.0019483+0.0014905i,0.0018304+0.00024944i,0.00037261-0.0009888i,-0.00037047-8.6617e-05i,-0.00013247+0.00066479i,0.00087938+0.00011232i,0.00131+3.0124e-05i,0.00065976+4.0184e-05i,0.00018803-0.00071708i,0.00076228-0.0021276i,0.0010676-0.0020248i,0.0007374-0.0009826i,0.00044142-0.00016781i,0.00046082+0.0006406i,0.00066611+0.00085603i,0.00026785+6.5882e-06i,0.00026112-0.0003173i,0.00038038+3.0346e-05i,8.1995e-05-0.00040132i
-0.002924-0.0011917i,-0.0010778-0.0009057i,-0.0022496+0.00092863i,-0.0022979+0.0013243i,-0.00044866+0.0004201i,0.0010585-5.6158e-06i,0.0013884-0.00074806i,0.0006062-0.001113i,0.0001329-0.00045344i,0.00045336-0.00035855i,0.00068601-0.00016357i,0.00072163-0.00014413i,0.00080121+0.00028558i,0.00080395-4.6272e-05i,0.00067185-0.00098053i,0.0010235-0.00011103i,0.0013747+0.00054779i,0.00076123+4.1781e-05i,0.00023184+0.00043246i,4.4892e-05+0.0011213i,0.00016067+0.0010107i,0.00029676+0.00047143i,0.00018105-0.0007599i
0.00062558-8.0567e-08i,0.00084047+0.00024502i,0.00022909-0.0011237i,0.00025295-0.0015465i,0.0017065-0.0015327i,0.0025603-0.00067873i,0.0019938-2.9465e-05i,0.0016521+0.00046497i,0.0014828+0.0010262i,0.0012982+0.00022427i,0.0010389-0.0009288i,0.00093364-0.0010053i,0.0014731+0.0001338i,0.0017394+0.00068428i,0.0010878+0.00017811i,0.00057904-7.9411e-05i,0.00071818+0.0002612i,0.00058444+0.00084366i,0.00049001+0.00065909i,0.00040033+0.00017048i,0.00015027+0.00014576i,-7.9116e-05+0.00055334i,0.00010971+0.00018845i
-0.0010285-0.0027738i,-0.001054-0.0030489i,-0.0017641-0.0024598i,-0.0014106-0.001027i,-0.00022798+0.00014234i,0.00048839+0.00074919i,0.00074251-0.00028406i,-1.6103e-05-0.00061251i,-0.00011981+3.2531e-05i,0.00032459+0.00019141i,0.00040901+8.3917e-05i,0.00056101-0.00010585i,0.00067826+2.3692e-05i,0.00015814-0.00037805i,7.6562e-05-0.0011669i,0.00080011-0.00093319i,0.0010771-0.00011165i,0.00067508+0.00088655i,8.543e-06+0.0013348i,-9.2202e-05+0.00098077i,0.00044172+0.00068263i,0.00057247+0.00037955i,3.4067e-06-1.8846e-05i
-0.0010883+0.00024866i,-0.001231+0.00040513i,-0.0012934+0.00056845i,-0.00030712-0.00032589i,0.0011176-0.0014876i,0.0011821-0.0022435i,0.00070408-0.0019182i,0.00078527-0.00090702i,0.0014102-0.00058286i,0.0017294-0.00016536i,0.0011665+0.00065025i,0.00024403+0.00052246i,-8.4802e-05+0.00020428i,0.00021671-0.00014451i,0.00084995-0.00076947i,0.0010311+6.4029e-05i,0.0010941+0.001333i,0.0015385+0.0012895i,0.00099503+0.00069893i,0.00031588+0.00028348i,0.00017918-4.396e-05i,-0.00027867-0.00054189i,-0.00012831-0.00098037i
0.00029751+0.0013983i,7.7186e-05+0.0011066i,0.0011824+0.0010029i,0.0016831+0.00018157i,0.0014656+4.9793e-06i,0.0017519-0.00032104i,0.0014657-0.0015842i,0.00073311-0.0011432i,0.0010234+0.00061931i,0.0014765+0.00051071i,0.0014483-0.00054586i,0.00073394-0.00080207i,0.00060175-0.00076895i,0.0012068-0.0011975i,0.00073964-0.00094569i,9.0457e-05-0.00035556i,0.00044953+0.00053776i,0.00075641+0.0012094i,0.00041433+0.00099832i,-0.0002517+0.00034849i,-0.00072328+0.00026997i,-0.0013006+6.0398e-05i,-0.00082539-0.0006508i
0.00039024+0.0018202i,0.00056894+0.00095759i,0.0015097+5.0423e-05i,0.0014957-0.00011329i,0.00031692-0.00020426i,0.0010793-0.00012209i,0.0018445-0.00019851i,0.0011345+8.9917e-05i,0.001157+0.000638i,0.0013674-0.0003124i,8.4714e-05-0.00086385i,-0.00087896-0.00083411i,-0.00056315-0.0010766i,-0.00017524-0.0011034i,0.0003233-0.00038338i,0.0010378+6.0808e-05i,0.0010124+0.00022275i,0.00096923+0.0011323i,0.00036584+0.0015599i,-0.00054642+0.0011809i,0.00013183+0.00099002i,0.00030859+0.00037013i,-0.00024043-0.00012158i
-4.458e-05+0.0025534i,0.0010997+0.0017181i,0.0022937+0.00048446i,0.0026284+5.5336e-06i,0.0036096-0.0007906i,0.0028778-0.0018636i,0.0010045-0.0018849i,8.7808e-05-0.00071233i,0.00082308+0.00010968i,0.0017348-0.00035632i,0.0015314-0.0010302i,0.00052206-0.0012986i,0.00062972-0.0008294i,0.0008151+0.00013718i,0.00046147-0.00074222i,0.00086027-0.0011636i,0.00095974-0.00022741i,0.0016404+0.00051676i,0.00164+0.0009121i,0.00087177+0.0012018i,0.00086799+0.0010376i,0.00045207+0.00021907i,-0.00050482+6.1237e-05i
0.00026792-0.0014509i,7.0746e-05-0.0011936i,0.00080649-0.00040855i,3.2574e-05-0.0001913i,-0.0007287-0.0010679i,0.00020968-0.0017175i,0.00073322-0.001451i,0.00044835-0.00067492i,0.00019523+0.00061858i,0.00074433+0.00080025i,0.0010317+0.00054182i,0.00075581+0.00026838i,0.00040574+4.0966e-05i,0.00021605-1.4735e-05i,0.00030515-8.9944e-05i,0.0004501-0.00051632i,0.000386-0.00038225i,0.0005324-0.00011645i,0.00081433-9.6422e-05i,0.00061257+0.00011054i,0.00036376-0.00024645i,0.00018909-0.0010551i,-0.00016509-0.0010617i
-0.00072447+0.0017203i,-0.00023315+0.0015415i,-0.00045381+0.0019851i,0.000218+0.00066993i,0.00081512+1.003e-05i,0.0012028-0.00045388i,0.0017474-0.0010536i,0.0015384-1.4377e-05i,0.00082905+0.0017833i,0.00049669+0.0012172i,0.0005867-0.00034181i,0.00059668-0.00046526i,0.0004424+0.00043846i,0.00012272-0.00010106i,-0.00010032-0.00091557i,6.0715e-05-0.00086128i,0.00012606+0.00042739i,0.00045184+0.0020846i,0.00041254+0.0017449i,0.00034543+0.0012953i,0.00021095+0.0014971i,-0.00079297+0.0010055i,-0.0014418+0.00034758i
0.00098567+0.00057934i,0.00044106-0.00041736i,0.00044395-0.0011214i,0.00086846-0.0018627i,0.0013135-0.001754i,0.0011896-0.0017871i,0.00056429-0.001618i,0.0005946-0.0006293i,0.0011763+0.00062435i,0.0017641+0.0006225i,0.0012762-0.00073776i,0.00075028-0.0010289i,0.0012672-0.00035062i,0.0018326+0.00026155i,0.0015205+0.00049416i,0.00068692+0.00047233i,0.00053714+0.00031266i,0.00078185-0.00043882i,0.00060789-6.8289e-05i,0.00029347+0.0010741i,0.00040499+0.0012452i,0.00045138+0.00063458i,0.00054362-8.7413e-05i
0.00066342+0.0017462i,0.0018822+0.0018056i,0.0029335+0.00099846i,0.0027823-0.00050774i,0.002787-0.0016854i,0.0013476-0.0013051i,0.000208-0.0012721i,0.00047143-0.0011912i,0.00082055+0.00040527i,0.00070574+0.00070189i,0.0004409-0.00026513i,-6.9826e-05-0.0008416i,-0.00021807-0.00069245i,4.7861e-05-0.00081707i,0.00040667-0.0010863i,-0.00019885-0.00060323i,-8.9601e-05-8.128e-05i,0.00070463-0.00012626i,0.0008412-0.00020448i,0.00096101-0.00010947i,0.00058459+0.00087644i,-0.00059527+0.0010455i,-0.0013111+0.00038456i
-0.0010054+0.00059314i,-7.9621e-05+0.0006772i,0.00060425+0.00039187i,0.0012365-0.00025577i,0.0016761-0.001227i,0.0017793-0.0019995i,0.0016149-0.0020972i,0.0012921-0.00029023i,0.0011055+0.0010998i,0.0013667+0.00040878i,0.00082848-0.00018571i,2.5881e-05+8.8027e-05i,-0.00029057+0.00017762i,-8.9875e-05-3.7771e-05i,7.7256e-05-7.4449e-06i,-9.3328e-05-0.00042157i,5.2672e-05-0.00026783i,0.00015456+0.00084491i,-0.00049627+0.0011331i,-0.00067443+0.0004968i,-0.00053527+0.00022437i,-0.00070471-0.00021501i,-0.00039961-0.00042484i
0.001289+0.002396i,0.0016966+0.001386i,0.0017723+0.0013296i,0.0011528+0.00073713i,0.0011466-0.00052997i,0.0014511-0.0013468i,0.0010194-0.0015947i,0.00068402-0.0012643i,0.00049+0.00011128i,0.00079006+0.00051881i,0.00086627-0.00056827i,-9.1745e-05-0.00095428i,-0.001023-0.00096546i,-0.00096477-0.00077042i,-0.00079566-0.0009405i,-0.0007328-0.00096871i,-0.00013691-0.00055197i,0.00066029+0.00010762i,0.0011227+8.9239e-06i,0.0010926+3.6188e-05i,0.00080225+0.00050101i,-0.00018385+0.00068423i,-0.00093606+0.00020041i
-0.00080398+0.00065278i,0.00013509+0.0003406i,0.00072463+0.00027216i,0.0013672+0.00059179i,0.0022263-0.00023717i,0.0017197-0.0015689i,0.00086949-0.0018793i,0.00045196-0.00026435i,0.00071326+0.00094324i,0.0014701+0.0010326i,0.0011356-0.00018043i,0.00021337-0.00067414i,-0.00055872-0.0002748i,-0.00063405-0.00042857i,0.00023503-0.00049478i,9.6639e-05-0.00046185i,-0.0002394-0.00016337i,0.00035755-2.6907e-05i,0.0011839+0.00023407i,0.0011698+0.00033325i,0.0010803-0.00037848i,0.001032-0.00010742i,0.00057112+0.00025715i
0.00098403-0.00096871i,0.00063245-0.0016761i,0.00038738-0.001529i,-0.00074176-0.0010972i,-0.00075451-0.0010961i,-0.00049825-0.00061536i,-0.00042176-0.00080556i,0.00052235-0.00073996i,0.0017394-0.00029718i,0.0019318-0.00029131i,0.0014055-7.901e-05i,0.00075744+0.00058563i,0.00052265+0.0013936i,0.00076976+0.001518i,0.0011665+0.00093256i,0.0014125+0.00016149i,0.0015118-0.00013269i,0.00062997-0.0001537i,-0.00035462-8.1862e-05i,-0.00010292+0.0002639i,-0.00013596+0.00026902i,-0.00028949-0.00029247i,3.4415e-05-0.00042323i
0.0016158-0.0042616i,0.0017623-0.0038992i,-0.0012282-0.0039508i,-0.0029574-0.0022706i,-0.0023165-0.00054906i,-0.0012027+0.00046898i,-0.00060589-0.0002544i,3.6144e-05-0.00070251i,7.3634e-05+0.00055175i,-0.00013197+0.0011559i,0.00075113+0.00085946i,0.0011386+0.00070235i,0.0012291+0.00011096i,0.00079204-0.00073173i,0.00050209-0.0010201i,0.00019669-0.0010087i,0.00026031-0.00085293i,0.00058119-0.00015355i,0.00060592+9.7077e-05i,0.00089055+1.3341e-05i,0.00080223-0.00061559i,0.00063377-0.00064911i,0.00068503-7.5524e-05i
0.0010417+0.0012356i,-0.00052482+0.0012669i,-0.001186+0.0012816i,-0.00033524+0.00063469i,0.0011708-0.00093719i,0.0021659-0.0015071i,0.0017909-0.0020136i,0.00086406-0.0013992i,0.00021323-0.00097784i,0.00018766-0.0010257i,0.0001133-0.00076423i,6.1475e-05-0.00098821i,-1.0405e-05-0.00086587i,0.00025768-0.00022352i,0.00056613-0.00071488i,0.00034242-0.0015784i,0.00055286-0.0012661i,0.0011582-0.00045488i,0.00048465-0.00048195i,-0.00066323-0.0009058i,-0.00073397-0.00066977i,-0.00014914+0.00043489i,-0.0005266+0.00078871i
0.00039962-0.00051905i,0.0012421-0.00057442i,0.00088765-0.00058764i,0.00020987-0.00053024i,0.00043333-0.00037236i,0.00050567-0.00075546i,0.001122-0.0011618i,0.0011586-0.00052881i,0.0005524+2.1905e-05i,0.00035499-0.00021834i,0.00010669-0.00028559i,0.00023035-0.00026233i,0.00067982-0.00027028i,0.00052449-0.00015821i,0.00094218-0.00056869i,0.0012381-0.00072042i,0.00047648-0.00072i,0.00021913-0.0012252i,8.6987e-05-0.00086017i,3.2225e-05+0.00036226i,0.00050508+0.00044269i,0.00084663-0.00028276i,0.00063222-0.00056729i
0.00073866+7.6385e-05i,0.0018185-0.0004674i,0.0023553-0.0011976i,0.0011315-0.00046054i,0.000623-0.00056611i,0.00062054-0.00099825i,-1.4177e-05-0.00034991i,-0.00054683-2.6968e-06i,-0.00062987+0.00020806i,0.00061704+0.00012394i,0.00096529-0.00034704i,9.1601e-06-3.9182e-05i,0.00068835+0.0003987i,0.0007759+0.00046441i,8.4411e-05+0.00042064i,0.00031735-0.00017403i,0.00024626-0.00065459i,-5.849e-06-0.00024676i,-6.432e-05+0.00016056i,-5.0535e-05+0.00046386i,-0.00014593+0.00032493i,-8.9857e-05+0.0002464i,-0.00052885-0.00011702i
-0.0012306-0.0010753i,-8.5485e-05-0.00048915i,7.9703e-05+0.00090663i,0.00053379+0.00087636i,0.0019772-0.00024015i,0.0022118-0.00062657i,0.0019035-0.00086956i,0.0011017-0.00053544i,0.00020557+0.00018851i,0.00083156+0.00075252i,0.0012401+0.00024269i,0.00038533-0.00064744i,-0.00069584-0.00098818i,-0.00048048-0.00068328i,5.3548e-05-0.00015686i,0.00066188+0.00040452i,0.00089241+0.00072689i,0.00045562+0.0010533i,0.00069465+0.0010643i,0.00082105+0.00075298i,0.00015285+0.00020022i,0.00012164+2.8955e-05i,-0.00017378+0.00014823i
-0.0016033-0.0014307i,-0.0013872-0.00097913i,-0.0019541-0.00023455i,-0.0011073+0.00057624i,-8.9012e-05+0.00040235i,0.001014-0.00049262i,0.0011526-0.0010333i,0.00024264-0.00070857i,-0.00024818+0.00012088i,-0.0001135-4.718e-05i,0.00016606-0.00059745i,0.00036479-0.00025829i,0.0010974+0.00031347i,0.0015775+0.00019374i,0.0014883-0.00078237i,0.0011187-0.0013807i,0.0012029-0.00051509i,0.0014533+0.00070273i,0.00066446+0.00090093i,0.00037404+0.00071323i,0.00036303+0.00027934i,-0.00013676-0.00060905i,-3.1816e-05-0.0011631i
-0.00078343-0.0017131i,-0.00052341-0.0010796i,0.00029538-0.0013373i,0.0012789-0.0014322i,0.0011577-0.0016131i,0.0012609-0.00095685i,0.0016598-0.0001969i,0.0020162+0.00059502i,0.0016056+0.0010751i,0.0015393+0.00092739i,0.0011565+0.00024265i,-5.0045e-05+4.6356e-06i,0.00025248+0.00073119i,0.00098317+0.00062158i,0.0011512-4.2228e-05i,0.00069902-0.00043056i,1.3496e-05-0.00068417i,0.00019519+1.411e-05i,0.00041272+0.00069499i,0.00038686+0.00099267i,5.9701e-05+0.00093665i,0.00017431+0.00014499i,0.00029757-0.00074738i
-0.00063492+0.00020905i,-0.00094434+0.00024743i,-0.0014339+0.0009257i,-0.001222+0.00095946i,-0.0002148+0.00028606i,0.0012344-0.00043685i,0.00085154-0.0011046i,7.0219e-05-0.00042498i,0.00070978+0.0006056i,0.001511+0.00055531i,0.0016932-1.6252e-05i,0.0011548-0.0004045i,0.00067604-0.0005175i,0.00091862-0.00071039i,0.0010906-0.00067825i,0.00086461-0.00028732i,0.0008648-0.00032822i,0.00070948-0.00017836i,0.00051872+0.00060342i,0.0002378+0.0009407i,0.00030774+0.00053201i,0.00055137+0.00014001i,7.3966e-05+0.00014709i
-0.00056714-0.0026803i,-0.00048114-0.0016233i,-0.00099004-0.00019494i,-0.0011118+0.00072906i,-0.00039065+0.0006649i,0.00035744-0.00052262i,0.00033896-0.0013823i,-0.00013706-0.00067744i,-0.00059994+0.00015466i,-0.00052017+0.00042607i,-3.2315e-05+0.00059379i,0.00013524+0.00056227i,0.00087285-0.00044986i,0.0013285-0.0014475i,0.0013476-0.0010783i,0.00036323-9.8583e-05i,-0.00061245+0.00028432i,0.00015743+0.00042295i,0.0010256+0.0006877i,0.00067634+0.00081843i,-9.2e-05+0.0011572i,-0.00047533+0.0010229i,-0.00021801+0.00031894i
-0.00048596-0.00055317i,-0.00022752-0.001126i,-0.00037591-8.6134e-05i,-0.00042469+0.0010501i,0.00098077+0.0011002i,0.0019413+8.6612e-05i,0.001408-0.00078606i,0.0010278+3.8925e-06i,0.0008419+0.001427i,0.0010364+0.00107i,0.00078931-0.00013789i,-0.00018178-0.00076571i,-0.00091311-0.00080917i,-0.00045488-0.0014448i,0.00065527-0.0015282i,0.00049389-0.00010908i,-0.00050912+0.0003933i,-0.00083595+5.2017e-05i,-0.00026711+9.129e-05i,0.00060303+0.00023055i,0.00049393+0.00040175i,-0.00010706+0.00053701i,-0.0010937+0.00064649i
0.0022914+0.0004212i,0.0021508+2.5436e-05i,0.0020341-0.00068439i,0.00099916-0.0016411i,0.00060375-0.0028356i,0.0010688-0.0019873i,0.0010751-0.00051712i,0.00041716-0.00027746i,0.00018513+0.00043994i,3.5157e-05+0.0010115i,-0.000322+0.00044584i,-0.00084912-0.00024667i,-0.00054044+0.00030448i,4.0848e-05+0.00060792i,0.00026817-0.00015518i,0.00058257-0.00064202i,0.00053348-0.00030391i,0.00057577+0.00034975i,0.00025741+0.00051543i,-0.00037992+0.00025004i,-0.00027337+0.00064666i,-0.00054598+0.00076994i,-0.00095028+0.00010649i
-0.0036558-0.00073626i,-0.0030794+0.00076044i,-0.0026553+0.0025238i,-0.0013081+0.0021208i,0.00067472+0.00063113i,0.002036-0.0003397i,0.0011308-0.0011338i,-9.8539e-05-0.00098727i,-0.00032017+2.7022e-05i,0.0004094+0.00090176i,0.00091736+0.00031941i,0.00078109-0.00034775i,0.00060285-0.00063545i,0.00038063-0.0011016i,0.00036436-0.0012421i,0.00067569-0.0012076i,0.00063706-0.0011314i,0.00031519-0.00047351i,0.00071486+8.7675e-05i,0.00095549+0.0006321i,0.00067671+0.00098082i,0.00022826+0.0004211i,-0.00053444-0.00021242i
-0.000764+0.00086939i,-0.00070735+0.00094795i,0.00031534+0.0013184i,0.0012904+0.0010242i,0.0025962+0.00014384i,0.0028146-0.00074309i,0.0022619-0.0011199i,0.001399-0.0011046i,0.0012481-0.00036374i,0.0012273+0.00019884i,0.0014272-0.00064384i,0.0012845-0.0011116i,0.00065624-0.00035721i,-1.3417e-07+0.00030012i,0.0002628-3.5637e-05i,0.00080104-0.00040626i,0.00038062-0.00061679i,-0.00031049+0.00030234i,0.00020547+0.0013101i,0.0010903+0.0010162i,0.00059832+0.0012985i,-0.00090331+0.0013901i,-0.00059412+9.3671e-05i
-0.00041388+0.0010771i,-0.00084143+0.0013181i,-0.0014172+0.0023995i,-0.0011022+0.0024341i,0.00022081+0.0005731i,0.0018148-0.0011756i,0.0018808-0.0013393i,0.0010941-0.00015644i,0.00097681+0.00091189i,0.0013709+0.00052034i,0.00080672-0.00080261i,0.00059992-0.001579i,0.00062563-0.0008656i,0.00068616-0.00038675i,0.00058473-0.00099375i,0.00026258-0.0013565i,0.00032529-0.0011133i,0.00052086+2.1721e-05i,0.0005014+0.00075735i,-0.00012393+0.00039404i,0.00020422-0.00012072i,0.00057524+6.2071e-05i,-0.00010705-9.9352e-05i
-0.0033942-0.00036485i,-0.0028703-0.00078367i,-0.0029834+0.00057056i,-0.0020896+0.001748i,0.00025569+0.00090284i,0.0019545-0.00098579i,0.0022879-0.0020071i,0.00087185-0.0016515i,-0.00015482-0.00017131i,0.0010206+0.0010652i,0.0015484+0.0009516i,0.0010776+0.00022643i,0.00097151-0.00068172i,0.0012472-0.0014383i,0.0010182-0.0013944i,0.00010265-0.0014948i,-0.00033791-0.00098156i,-0.00023799-0.00014992i,0.00029416+4.126e-06i,0.00029813+0.00056762i,-0.00080151+0.0010984i,-0.0012076+0.0010036i,-0.00070234+0.00044708i
-0.00219-0.0035622i,-0.0025994-0.0020122i,-0.0037248-0.0015505i,-0.0031665-0.0014141i,-0.0012462-0.0010549i,0.00087273-0.00057025i,0.0010358-0.00095761i,3.3581e-05-0.00084305i,2.7483e-05+0.00025964i,0.000652-4.4775e-05i,0.00073469-0.00015982i,0.00046006+8.4776e-05i,0.00089559-0.00015574i,0.0012865-0.00065068i,0.0015699-0.0009728i,0.0014917-0.00020996i,0.000695+0.00033198i,0.00026302+0.00076148i,0.00047266+0.0011524i,0.00031358+0.0010851i,-0.00016839+0.00094814i,-0.00021054+0.00087882i,-0.00019346+0.00093579i
-0.0017432-0.0017546i,-0.00091332-0.00035663i,-0.0016471-5.973e-06i,-0.00041993+0.00026927i,0.0012805+0.00020676i,0.0024429+0.00013138i,0.0016095+6.6296e-05i,0.00022493+0.00051239i,0.00044068+0.0007391i,0.00071146+0.00068498i,0.00079275+0.00014132i,0.0010078-0.00023718i,0.00081576+0.00042651i,0.00057929+0.00047736i,0.0005767-0.00023085i,0.00050198-0.00081404i,0.00064512-0.0005986i,0.0015137-0.00036665i,0.0018501+0.00013722i,0.00092002+0.0011467i,0.00011214+0.00092018i,0.00024529+0.00050984i,0.00012591+0.00035262i
0.00060987+0.0016476i,0.00030335+0.0023666i,-0.00019431+0.0017081i,0.00058868+6.4197e-05i,0.0017545-0.00013105i,0.0012304-0.00028494i,0.00060224-0.00053332i,0.00037574+0.00046725i,0.00033629+0.0011758i,0.00113+0.00020559i,0.0014402-0.00065114i,0.00042524-0.0001232i,-0.0002191+0.00038284i,0.00053197-0.00022655i,0.00075224-0.00028118i,0.00042968+0.00032125i,0.00048333+0.00071211i,-2.3461e-05+0.00069074i,-0.00057639+0.0010179i,0.00024477+0.00099074i,0.00098723-9.1225e-05i,0.00042948-0.00034432i,-0.00055329+0.00042324i
0.0011183+0.00076144i,0.00091566-3.6972e-05i,0.0014685-0.00083711i,0.0014805-0.0021593i,0.0019527-0.0035776i,0.0023453-0.0031244i,0.0015947-0.0018298i,0.0010694-0.0017925i,0.0014333-0.00089558i,0.0017696-0.00019063i,0.0016081-0.00051695i,0.00072201-0.00091188i,0.00044441-0.0008927i,0.0013422+5.7653e-05i,0.0017253-1.0179e-06i,0.00066369-0.0004941i,0.00047443+0.00016834i,0.00074172+0.00087097i,0.00096769+0.0011642i,0.0010837+0.0013511i,0.00081965+0.00061446i,0.0004256-0.00012607i,0.00019322-0.00054747i
0.0024463-0.0013217i,0.0015532-0.0019209i,0.0012839-0.0031225i,0.00095259-0.0020595i,0.00063207-0.0012559i,0.00094237-0.00070662i,0.00091638-0.00080067i,0.00081379-0.00070197i,0.00086226-3.32e-05i,0.00079116-0.00043432i,0.00072031-0.00081776i,-0.0001549-0.00049833i,0.0002723+0.00072285i,0.0017582+0.0012139i,0.0012254+5.6065e-05i,0.00086569-0.00033551i,0.00074031+0.00014188i,0.00060525-4.5207e-05i,-0.00030103+2.7677e-05i,-0.00028363+0.00048796i,0.00044495+0.00035752i,0.00053149-0.00022193i,0.00042172-0.00073984i
4.1309e-05-0.00045669i,0.00011396-0.00022089i,0.0009209-0.00054247i,0.00036763-0.0013911i,-0.00047591-0.0022063i,0.00082183-0.0022909i,0.0012474-0.0015188i,0.00061701-0.00086506i,0.0010713+0.00031673i,0.00093871+0.00085488i,0.00032015-0.00034068i,-0.00015337-0.00036802i,-0.00074588+0.00043679i,-0.00060189+0.00056207i,0.00011604-0.00011331i,3.897e-05-0.00050525i,-0.00044515+0.00021238i,-0.00024823+0.0008299i,0.00037866+0.0004482i,0.00027165-1.3125e-05i,0.00016411-0.00011212i,0.00032422-0.00019595i,0.00017189-4.4486e-05i
-0.0032148+0.00050136i,-0.0027067+0.0020923i,-0.0021951+0.0032733i,-0.00050724+0.0029211i,0.0017552+0.0016517i,0.003056-0.00011053i,0.0022054-0.0012806i,0.00061987-0.00075044i,0.00064645+0.00057998i,0.00142+0.00060525i,0.0012237-0.00070773i,0.00055169-0.00087205i,0.00027954-0.0009846i,0.00042475-0.0014189i,0.00098446-0.0014412i,0.0012649-0.0010905i,0.0011059-0.00015313i,0.00079281+0.00083594i,0.00090877+0.0011989i,0.00089042+0.00052377i,-8.9507e-05-0.00030719i,-0.00027221+0.00020587i,0.00077404+0.00075277i
