-0.001702-0.00014878i,-0.0015351-0.00044137i,-0.0025741+0.00051363i,-0.0021379+0.0017511i,-0.0020535+0.0025298i,-0.0015081+0.0023329i,-0.0009318+0.0010485i,-0.001195+0.0002432i,-0.00075529-4.9574e-05i,-0.00032307+0.00045751i,-0.00055319+0.0012514i,-0.00018692+0.0012823i,0.00060959+0.0006416i,0.00047445+6.1728e-05i,-0.0002313+5.4094e-05i,-5.9079e-05+0.0011396i,0.00030577+0.0018117i,0.00030354+0.00062822i,-0.00034604-0.00045494i,-0.00027177-4.6328e-05i,0.0001228+0.00011251i,0.00045225-6.6248e-05i,0.00013308+0.00030269i
0.00026651+0.00022822i,0.00022699+6.4853e-06i,0.0010494+0.0012717i,0.00051301+0.0024611i,5.4725e-05+0.0021158i,0.00021134+0.0015764i,0.00082024+0.0004812i,0.00097425-0.00080573i,0.00021163-0.00059757i,-0.00048705-9.6527e-05i,-0.00097475-0.0001027i,-0.00072623-0.00037109i,6.3486e-05-0.00067811i,4.4073e-05-0.00044371i,0.00019027-0.00011514i,0.00076754+0.00024042i,0.0011751+3.0491e-05i,0.00096691+0.00080181i,0.00076632+0.0012976i,0.000651+0.00026256i,0.00061446-0.00086167i,0.00036732-0.00098338i,0.00011121-0.00066091i
0.00063439+0.0021923i,-9.7913e-05+0.0017316i,0.00016585+0.00045757i,-0.00087943+0.00039719i,-0.0016481+0.0013241i,-0.00029264+0.0023097i,0.0010292+0.0016576i,0.00080925-0.00043813i,0.00018579-0.001418i,-0.00054384-0.00028026i,-0.00036208+0.00046588i,-0.00024423+0.00041774i,-0.0010025+0.00021028i,-0.0015192+0.00064382i,-0.00080327+0.00094643i,0.00051332+0.00062441i,0.00080212+0.0010063i,0.00056334+0.00069338i,-4.9282e-05+0.0001476i,-3.92e-05+0.00035403i,-8.0606e-05+0.00048016i,0.00032889+0.00064216i,0.00038255+0.0013194i
0.0012495+0.0030251i,0.0019525+0.0029878i,0.003187+0.0026292i,0.0029754+0.0023095i,0.0015828+0.0020601i,0.00060149+0.00093243i,0.0001158+0.00038668i,9.7216e-05-0.0003842i,0.00063024-0.00055663i,0.00061001-0.00032405i,-0.00050749-0.00024063i,-0.00051743-0.00012821i,0.00021692-0.00024116i,0.00062522-0.00026717i,0.00098573+0.00040199i,0.00080207+0.00063392i,0.00045033+0.00038943i,0.00049535+0.00014757i,0.0005922-0.00033032i,0.00032786-0.00054843i,0.00030027+3.5562e-05i,-0.0001394+4.2661e-05i,-0.00074913-0.0013537i
-0.00018879+0.00043006i,0.00058992+0.0014321i,-0.00013247+0.0017074i,-0.00068489+0.0015459i,-0.00082685+0.0028437i,-0.00038473+0.0027576i,4.5282e-05+0.0011554i,0.00017444-0.00043031i,0.00028205-0.00022818i,0.00052856-6.944e-05i,7.4219e-06+6.5929e-05i,-0.00038771+9.6719e-05i,-0.00054867+0.00010622i,-0.00075408+0.00032365i,-0.00053556+0.0007194i,-0.00047051+0.0012808i,-0.00054281+0.00098926i,0.00042364+0.00051041i,0.0010911+0.00019299i,0.00082206-0.00013754i,0.00064905-0.00039234i,0.00032246-0.00062128i,-0.00014715-0.0010204i
0.001968+0.0016726i,0.0015769+0.0013073i,0.0025397+0.00092564i,0.0018877+0.0011137i,-3.278e-05+0.0011415i,-0.0010312+0.0012236i,-0.00040048+9.8716e-05i,0.0004102-0.00077096i,0.00082424-0.0011696i,0.00055199-0.0012622i,-0.00035335-0.0010696i,-0.00069323-0.0015706i,-0.00064776-0.0023223i,-0.0011438-0.0012452i,-0.00132+0.00045019i,-0.00082868+0.0011775i,-0.00013145+0.0012742i,0.00013673+0.0013422i,0.00032007+0.0010563i,0.00070924-0.00033801i,0.0010223-0.00050712i,0.00093862+2.604e-05i,0.00013527-0.00046556i
-0.00064114-0.00065309i,-0.0014802-0.00039563i,-0.0029986-0.00017533i,-0.0031259+0.00039191i,-0.0025838+0.0021333i,-0.0010521+0.0028136i,0.00037713+0.0013386i,0.00015873+0.00012064i,-0.00054011+0.00047088i,-0.0010534+0.00037791i,-0.0012047-0.00031009i,-0.00081466-0.00010478i,-0.00065134-0.00031493i,-0.00014767-0.00063024i,0.00015619+0.00031447i,-0.00013947+0.0012424i,-0.00025747+0.00082008i,-0.00030477-4.3212e-05i,-0.00038856+0.00012398i,-0.00017047+0.00035379i,2.3154e-05+0.00059475i,0.00013942+0.00056179i,-1.8532e-05+0.0005142i
-0.0011836-0.00021215i,-0.001265+0.00013456i,-0.0013521+0.00057837i,-0.0011703+0.0011788i,-0.0013731+0.0020029i,-0.0007274+0.0027179i,0.00028889+0.0012078i,0.00098542-0.00016292i,0.0012984-6.9051e-05i,0.00059285+1.901e-05i,-0.00044446+0.00062749i,-0.00068875+0.0011017i,-0.00077534+0.0012777i,-0.00058915+0.0012511i,0.00041618+0.00024796i,0.00073689-0.00027843i,0.00030975+0.00018909i,0.00065352+0.00042299i,0.0011009+0.00023486i,0.00075681+0.00017257i,1.0411e-05-0.0002445i,-0.00024527-0.00084027i,-0.00089624-0.00048925i
0.00074111+0.00028786i,-0.00025933-9.264e-05i,-7.6018e-05-0.00094711i,-9.0349e-05-0.00034104i,-0.00063317+0.00097929i,-0.00071347+0.0014411i,0.00093351+0.00086301i,0.0018402-0.00043253i,0.001391-0.00086418i,0.00057256-0.00055371i,-0.00054167+0.00013677i,-0.0011292+0.00093548i,-0.0012704+0.0007857i,-0.0009734+0.00037256i,-0.00037825+0.0010296i,0.00030866+0.0021882i,0.00040404+0.0018069i,0.00041252+0.00034838i,0.00065005+0.00014431i,0.00062766-0.00010742i,0.00022151-8.8478e-05i,-0.0001671-0.00027479i,-0.00021278-0.00038768i
-0.00031731+0.001347i,-0.00049474+0.0014887i,0.00090638+0.0011283i,0.0010328+0.0018744i,6.3288e-05+0.0022941i,0.00066589+0.0014283i,0.00096722+5.7561e-05i,1.2324e-05-0.00095519i,-0.00057113-0.0012838i,-0.00032167-0.0011927i,0.00073812-0.00051545i,0.0013711+0.00087192i,0.00048059+0.001481i,-0.00039772+0.0010464i,-0.0009755+0.0012017i,-0.00083648+0.0012021i,-0.00083206+0.001147i,-0.00046297+0.00099936i,-0.00010054-1.9929e-05i,9.5416e-06-0.00041166i,0.00092708-0.00068802i,0.001284-0.00062739i,0.0011096+0.0001681i
-0.00010351-0.002221i,-0.00040588-0.0012996i,-0.0010337-0.00086438i,-0.0017892+0.0002853i,-0.0029234+0.0017494i,-0.0016782+0.0022746i,0.00041539+0.0022146i,0.00015568+0.0010692i,-0.0010606-0.00017299i,-0.0014831-0.0010036i,-0.00088467-0.00086766i,0.00015467+0.00019069i,0.00045122+0.0012671i,0.00060085+0.0015338i,0.00076237+0.0016011i,-4.0879e-05+0.0014977i,-0.0001988+0.0013686i,0.00053035+0.00083731i,0.00043917+0.00020891i,-0.00060924+0.00029743i,-0.00018659-1.926e-05i,0.00052703-0.00050486i,0.00016958-5.8454e-05i
-0.0017467-0.00043842i,-0.0015585-0.00027i,-0.00090667+0.0012143i,8.0307e-05+0.0015527i,-0.00015673+0.0015402i,-0.00081692+0.0010204i,0.00063947-0.00034904i,0.0015902-0.00056829i,0.00060002-0.00066767i,6.6413e-05-0.00068793i,-0.00017204-7.2458e-05i,-0.00071281-0.00042102i,-0.0010179-0.0011087i,-0.00059612-0.00038276i,2.7989e-05-5.6056e-06i,0.00052343+0.00043685i,0.00079894+0.0012557i,0.0011215+0.00081998i,0.00087889-0.0001078i,0.00085938-0.00063194i,0.00090261-0.00057416i,0.00056207-0.00037603i,0.00047642+4.7243e-06i
-0.00049929+0.00064631i,-0.00086935+0.0015828i,-0.0018902+0.0020712i,-0.0022803+0.0024583i,-0.0024865+0.0034787i,-0.0021172+0.0034772i,-0.0006912+0.0019888i,9.2312e-05+0.00032501i,-2.6529e-05-0.00098663i,-0.00048349-0.0010948i,-0.00027622-0.00031664i,-0.00058372+0.00061739i,-0.0013906+0.00040934i,-0.0011223+0.0002075i,0.00031693+0.00048702i,0.0010762+0.00081138i,7.3612e-05+0.00062486i,-0.00061111-0.00052696i,-0.00049331-0.0011079i,-0.00013203-0.00039564i,-9.2979e-05-5.3624e-05i,0.00032014+0.00019959i,0.00041631+0.00036151i
-3.0335e-05-9.2828e-05i,-0.00013638+0.00064415i,-0.0015109+0.0014617i,-0.0016666+0.0014924i,-0.001664+0.0010252i,-0.001093+0.00049901i,0.0003905-0.00067144i,0.00061602-0.0015655i,-0.00023433-0.0011634i,-0.00069111-0.00079824i,-0.0011727-2.4613e-05i,-0.0017519+0.00093588i,-0.0012854+0.0015031i,-0.00069066+0.0010897i,-0.00056135+0.00057816i,-0.00056169+0.00034753i,-0.00082015-0.00051101i,-0.00067166-0.0010247i,-0.00058044-0.00072007i,-0.0010484-0.00037083i,-0.0008856-0.00039821i,-0.00057499-0.00016333i,-0.00051736-0.00018509i
0.0024609+0.00098939i,0.0020446+0.00039739i,0.0024496+0.00093859i,0.0018516+0.00081175i,-0.00035714+0.00075877i,-0.0011981+0.00070475i,-0.0011889-0.00022536i,-0.0006716-0.00039164i,0.0003795-0.00043748i,0.00086139-0.00077643i,0.00030167+0.00027015i,-0.00079252+0.0011298i,-0.0010679+0.00065815i,-0.0008989-0.00016882i,-0.00061122-0.00030367i,-1.3451e-06-0.00035239i,0.00077542+0.00016365i,0.00076604+0.001331i,3.3991e-05+0.00059205i,-0.0003084-0.00084062i,-0.00043188-0.0011417i,-0.00057899-0.0012557i,-0.00050654-0.001099i
-0.00028826+0.00030967i,-0.00071054-0.00039564i,-0.0014174-0.00054213i,-0.002633+0.00030385i,-0.0023027+0.0015344i,-0.00071728+0.0020652i,0.00048598+0.0010321i,0.00040812-8.6876e-05i,-0.00046385-0.00020873i,-0.00022688-0.00022545i,-0.00088913-7.2252e-05i,-0.0012806+0.00060109i,-0.00054167+0.00089489i,-0.00040439+0.00042004i,0.00059106+0.00022368i,0.001058+0.00034862i,0.00067539-0.0002819i,0.000765-0.0010999i,0.00068486-0.00069127i,0.00037654+0.0002024i,0.00041878+0.00071144i,0.00026675+0.0010079i,-0.00032762+0.00059162i
-0.0017483+0.00066095i,-0.00076514+0.00026745i,-0.0011807+0.0019781i,-0.0022732+0.0031693i,-0.0028455+0.0024913i,-0.0017133+0.0014135i,-6.3253e-06+0.00018751i,-9.126e-05-0.00066131i,-0.00047249-0.0017267i,-0.00031837-0.0016559i,-0.00020416+6.1441e-05i,0.00042921+6.1895e-05i,7.3955e-05-0.0001618i,-0.00095746-2.1646e-05i,-0.00066132+0.00029728i,0.00010876+0.00062239i,0.0010836+0.00049849i,0.00081285+0.0012368i,0.00019018+0.0013394i,0.00039161+0.00044263i,0.00030105-0.00075576i,0.00064063-0.00097792i,0.00071684-0.00055041i
-0.0013368+1.804e-05i,-0.00078367-0.00032103i,-0.00078869+0.001466i,-0.0014131+0.0026517i,-0.0018743+0.0026719i,-0.00087236+0.002138i,0.0012718+0.001087i,0.0018416+0.00033439i,0.0013175+0.00056247i,0.00019319+9.2476e-05i,-0.00074316-0.0001314i,-0.00061548+0.00038058i,-0.00086217+0.00029979i,-0.0010668-0.00058655i,-0.00023629+0.00023178i,4.888e-05+0.0014109i,-0.00024612+0.0012158i,-2.9051e-05+0.00036231i,0.000338-0.00076798i,0.0011964-0.00048628i,0.0012468-0.0003106i,0.00060464-0.0006357i,-0.00020175-8.4518e-05i
0.00071947+0.0031279i,0.00037124+0.0028353i,0.00011679+0.0030317i,-0.000148+0.0028467i,-0.00033419+0.0024995i,-0.00063605+0.0018329i,-0.0004406+0.00055846i,0.00035535-0.00050325i,0.00066852-0.00050298i,-0.00029571-0.00048375i,-0.0009733-5.7508e-05i,-0.00093636+0.0001199i,-0.0011397+0.00029498i,-0.0014001+0.00088466i,-0.0013228+0.00010654i,-0.00038213-3.7354e-05i,0.00012778+0.0003488i,0.00015319+9.8563e-05i,0.0003923-4.3927e-05i,0.00042729+6.9123e-05i,0.00028776-5.5785e-05i,1.7562e-05-7.996e-06i,-9.7239e-05-0.0004071i
0.00010725-0.0028015i,0.00098811-0.0028887i,0.0011066-0.0013019i,0.00018986+0.00060697i,-0.001425+0.0014401i,-0.0020224+0.0016603i,0.00023283+0.00053777i,0.0010436-0.00058781i,-0.00048276-0.0011901i,-0.00087056-0.0013771i,-0.00040159-1.14e-05i,-0.0010169+0.00091979i,-0.0020712+2.8557e-05i,-0.0011848-0.00039272i,0.00014435+0.00052484i,-0.00019525+0.0015999i,-0.0003228+0.0018227i,-0.00016973+0.0010537i,0.00017606+0.00022662i,6.9289e-05+0.0001085i,-0.00010827+0.00010582i,0.00045636+3.7914e-05i,0.00046275+0.00017126i
6.429e-05+0.0023092i,-0.0006988+0.0018181i,-8.4862e-05+0.0020081i,0.00022172+0.0019036i,-0.00038492+0.001809i,-0.00097098+0.0015998i,-0.00046298+0.00097775i,0.00085946+0.00018894i,0.0011065-0.001215i,0.00050575-0.0013297i,3.5527e-05-0.00028972i,-9.3882e-05-0.00016752i,0.0002615-0.00051239i,0.00035534-3.4864e-06i,-0.00031069+0.00018895i,-0.00034148+0.00027301i,-7.2511e-05+0.00089119i,0.00050825+0.00075078i,0.001076+0.00038978i,0.00035064-0.0007935i,-0.00020124-0.0012209i,0.00056289-0.00049954i,0.00029503-0.00012877i
-0.00020949+4.0209e-05i,-0.00080717-0.00052359i,-0.00059399-0.0006694i,-0.0014151+0.001903i,-0.0018147+0.003983i,-0.00036859+0.0027902i,0.00074449+0.0011894i,0.00021358-0.00023517i,0.00011473-0.00097035i,-0.00010052-0.0012399i,-0.00037437-0.00057082i,-0.00027873+0.00071544i,-0.00057264+0.00065906i,-0.00078195+0.00022851i,-0.00032536-0.00010078i,0.00046177-0.00064154i,-0.00019791-0.00042791i,-0.00036349-0.00046635i,0.00027904+0.00048204i,-0.00037304+0.00097988i,-0.00088987+0.00033302i,-0.00022166-0.00051182i,0.00025498-0.00058275i
0.0012392+0.0021223i,-0.00011952+0.0017644i,0.00044011+0.0014725i,0.00080893+0.0011467i,-0.00016848+0.00064855i,-0.00067032+0.00042189i,-0.00010773-0.00053391i,0.00028172-0.0019357i,0.00050261-0.0013137i,0.00059883-0.00053997i,-2.5752e-05-0.00056132i,-0.00056964-0.0005923i,-0.00044437-0.0010682i,4.9261e-05-0.0012576i,0.00010651-8.2588e-06i,0.00068104+0.00076437i,0.0016963+0.00013483i,0.00095839+0.00020509i,-0.0001283+0.00034674i,-0.00073477+0.00030098i,-0.00059598-0.00015074i,-0.00014808-0.0011615i,8.9143e-05-0.001629i
-0.00064399+0.00085836i,-0.00064003+0.00087654i,-0.0010303+0.0018143i,-1.6933e-05+0.0031637i,0.00080218+0.0043357i,0.00069289+0.0025983i,0.0010882+0.00075048i,0.00083363-1.8501e-05i,0.00050719-0.00059547i,0.00052545+0.00049669i,0.0006688+0.0011132i,0.00042339+0.0007945i,-0.00067196+0.000784i,-0.00082598+0.0010308i,-0.00026194+0.0015269i,-0.00023819+0.0018259i,0.00034694+0.0015332i,0.0010973+0.00076261i,0.00092635-0.00019614i,7.0515e-05-0.0011109i,-9.1129e-05-0.00079452i,0.00022375+0.00023044i,-5.3797e-05+0.00012581i
-0.0004043+0.0021519i,-0.00017605+0.001947i,0.00072972+0.0031721i,4.905e-05+0.0032193i,8.0575e-06+0.0022838i,-0.00020073+0.0011638i,0.00034584+0.00069741i,0.00074992-0.00014276i,-6.6728e-05-0.00075133i,-0.00013659-0.00011719i,0.00030978+0.00012815i,0.00042039+0.00046671i,-0.00037846+0.00015565i,-0.00029402-8.7729e-05i,3.4234e-05+0.001104i,0.00015912+0.0015501i,0.00078514+0.00068344i,0.001131+0.00072738i,0.0010312+0.00037752i,0.00055993+0.00018149i,-6.8757e-05+0.00082033i,-8.7284e-05+0.0011813i,0.00023617+0.00047227i
-0.0019453+3.5782e-05i,-0.0017351+9.3253e-05i,-0.002921+0.0015062i,-0.002801+0.0032536i,-0.0016845+0.0043848i,-0.00074096+0.0035875i,-0.00041109+0.00054788i,-0.00046341-0.0015227i,-0.00046598-0.0016017i,-4.563e-05-0.00065829i,0.0002571+0.00032056i,0.00023175+0.0014488i,0.00025125+0.0016601i,0.00029739+0.00037156i,0.00018697-0.00036979i,3.6252e-05+0.00066477i,0.00058584+0.0016534i,0.001271+0.0008697i,0.00069045+0.00031693i,-0.00015224+0.00094897i,-0.00068445+0.00054238i,-0.0012913+0.00039845i,-0.001007+0.0005583i
0.00044539+8.6521e-05i,-0.00052892+0.00017964i,-0.0012925+0.00044321i,-0.0022619+0.0014871i,-0.0034946+0.0025901i,-0.0027352+0.0019009i,-0.00079451+0.0004178i,0.00035473-0.0011545i,0.00062785-0.0021116i,0.00039361-0.0013383i,-0.00070292-1.5025e-05i,-0.00095723+0.00017073i,-0.00039995-4.1284e-05i,9.039e-05+0.00057332i,2.2673e-05+0.00055502i,-0.00016991-0.00033493i,0.00017241-0.00029963i,0.00012293-7.0716e-05i,-8.1863e-05-8.5047e-05i,-9.0676e-05+6.6611e-05i,0.0003738+0.00022056i,0.00026899+6.4584e-05i,-3.3661e-05-0.00062751i
-0.00098309+0.0013133i,-0.0014428+0.00078929i,-0.0011777+0.0017519i,-0.0014376+0.0023676i,-0.0015021+0.0029505i,-0.0006427+0.0031062i,0.00047947+0.0011935i,0.00046161-0.00043175i,0.00030413-0.0002778i,-1.5477e-05+0.00031629i,-0.0008306-4.0054e-05i,-0.0010836-0.00033955i,-0.00093557-1.725e-05i,-0.00089769+6.9076e-05i,-0.00097316+0.0011005i,-0.00010776+0.0017528i,0.00096358+0.001599i,0.00060034+0.00072712i,1.0909e-06-0.000113i,-0.00051207-0.00014432i,-0.0001871+0.00029947i,0.00075317+0.00058067i,0.00064018-4.9582e-05i
-0.00024648+1.6784e-05i,-0.00037127+0.00057655i,-0.0009581+0.0014594i,-0.0022207+0.0013304i,-0.0017955+0.001044i,-0.00060574+0.00038338i,-0.00021883-0.00066814i,-0.00017299-0.00080036i,-0.00054846-0.00022721i,-0.00030427+9.9376e-05i,0.00049126-6.7762e-05i,-0.00082049-0.00059278i,-0.0018531-0.00019519i,-0.0010891+0.00080148i,0.00026791+0.00074384i,0.00066475+0.00071925i,6.8712e-05+0.0012236i,0.00024822+0.001036i,0.00081876+0.0005035i,0.001129+0.00022753i,0.0010839+0.00013492i,0.00078885-0.00024823i,-0.0002591-0.00068491i
0.000649-0.00035506i,-0.00057918+0.00036597i,-0.00031733-0.00029824i,1.5871e-07-0.0014619i,-0.00094722-0.00051733i,-0.00086929+0.0008802i,0.00059119+0.00037769i,0.0011513-0.00072178i,0.00046723-0.0015011i,0.00020538-0.0015858i,-0.00011357-0.00075502i,-0.00069013+0.00017586i,-0.0014974+0.00029797i,-0.0010075+0.0012031i,-0.00023531+0.001812i,0.00016419+0.0013976i,0.00045756+0.0018638i,0.0011665+0.0018962i,0.001305+0.00084686i,0.0002614+7.5039e-05i,-0.00021324-0.00015447i,-6.452e-05-0.00015063i,-5.1405e-05-0.00050089i
0.0017047-0.00093344i,0.0020726+0.00035197i,0.0020189+0.00050713i,0.00026003+0.00014018i,-0.001005+0.0012447i,-0.00076667+0.0017522i,0.00078054+0.001453i,0.00092561+0.00058446i,0.00031329-0.00090685i,0.00074382-0.001367i,0.00049572-0.00088695i,-0.00060038-0.00032042i,-0.00094914+0.00022388i,-0.0011413+0.00052638i,-0.001163+0.00047368i,-0.000107+0.00094351i,0.0006131+0.00097783i,0.00066162+0.0002195i,0.00071-0.0002991i,0.00085398-0.00052063i,0.00055372-0.00086392i,0.00054211-0.0010396i,0.00058012-4.4297e-05i
-0.0011094+0.0010743i,-0.00020521+0.00090659i,-0.0004796+0.0013942i,-0.0015307+0.0024429i,-0.0018572+0.0032252i,-0.0006897+0.0022577i,0.001421+0.00036824i,0.0015726-0.00090148i,-0.0003587-0.0013103i,-0.0010232-0.001124i,-0.00064727+0.00011283i,-0.00065794+0.0008374i,-0.00074648+0.00028545i,-0.00083337+0.00019036i,-0.0006228+0.00026973i,0.00021534+0.00031894i,0.00065566+0.0004292i,0.00078126+0.00047925i,0.0010531+0.00051291i,0.00037411+0.00027432i,0.00024105+0.00032154i,-0.00018924-0.00016817i,-0.00061508-0.0006688i
-0.00074898+0.0011165i,-0.00083278+0.00070249i,-0.0014327+0.00091801i,-0.0015002+0.0012692i,-0.0012762+0.0015111i,-0.00090484+0.0011559i,0.00022655+0.00052103i,0.00060957+9.7023e-05i,0.00044037-0.00052973i,-0.00040203-0.0003484i,-0.0011084+0.00010701i,-0.00052244+0.00060113i,-0.00033883+0.0011489i,-0.0013207+0.00089121i,-0.0014489+0.00061667i,-0.00051469+0.00095932i,0.00016674+0.0017602i,-0.00015557+0.00099893i,-0.00085553-0.00093564i,-0.00020187-0.00089154i,0.00033191+1.5821e-05i,-0.00022694-3.5299e-05i,-0.00034431-0.00043271i
0.001177-0.0016341i,-0.0002199-0.0010905i,-0.0001836-0.002229i,-0.00017381-0.0018364i,-0.00067014+0.00062815i,-0.000541+0.002508i,0.00037486+0.001569i,0.001066-0.00083558i,0.00063823-0.0017126i,7.358e-05-0.0013385i,-0.00054922-0.00072652i,-0.0015453-0.00016062i,-0.0021892-0.00012963i,-0.0021219+0.00036811i,-0.001491+0.0011773i,-0.00098282+0.0010934i,-0.0003511+0.00077476i,0.00054857+0.00038241i,0.00076108-0.00027566i,0.00049537-0.00066005i,-0.00019377-0.00045933i,-0.00087215-0.00062846i,-0.00093684-0.00041304i
0.0013005-0.0014109i,0.00093677-0.00044728i,0.0011064-0.00041101i,9.9442e-05+0.00061299i,-0.0012611+0.00243i,-0.00065315+0.0023094i,0.00052652+0.00087905i,0.00081247+0.00012863i,0.00033346-0.00011458i,-0.00045102-0.00067126i,-0.00069986-0.00078756i,-0.00080553-5.7001e-05i,-0.0010767+0.00068704i,-0.00094589+0.0014994i,-0.00019164+0.0016265i,0.00012547+0.00084389i,6.4195e-05+0.00014241i,0.00046538-0.00018092i,0.00052548-0.00013972i,0.00026222+0.0005054i,0.00027587+0.0011744i,0.00011144+0.00023967i,3.8987e-05-0.00057532i
3.8986e-05-0.00025001i,-0.00026851-0.00018695i,-0.00073026+0.00010273i,-0.00087233-0.00014017i,-0.0015961-0.00033617i,-0.0016242+0.00025291i,-9.2621e-05+0.00073575i,0.00073829+0.00019935i,0.0011478-0.00064055i,0.00075107-0.00072122i,-0.00028366+2.8997e-05i,-0.0011063+0.00060878i,-0.0013763+0.00069004i,-0.0011089+0.00086938i,-0.00030704+0.00099435i,0.00025218+0.0013444i,0.00039266+0.00096369i,0.00017914+0.000536i,0.0003271+0.00025372i,0.00011388-0.00011925i,0.0002686-0.00039299i,0.00012086-0.0005139i,-0.00060273-0.0008012i
-0.0011905+0.0014676i,-0.0014+0.001688i,-0.0015518+0.00199i,-0.0017689+0.0024669i,-0.0015402+0.0023816i,-0.00027736+0.0017442i,0.00027047+0.00069216i,-6.4411e-05-0.0011764i,-2.0353e-05-0.0014202i,-0.00047782+0.0002343i,-0.00091982+0.0010913i,-0.0010271+0.0011986i,-0.00086255+0.00090519i,-0.00097699+0.00067281i,-0.00070496+0.00050107i,0.00061659+0.00062085i,0.0012057+0.00078312i,0.0013087+0.00060291i,0.00080744+0.00037897i,6.1481e-05+0.00036976i,0.00020324+0.00046918i,0.00065745+0.00095867i,0.00038284+0.00096561i
-0.00070839+0.00043769i,-0.0016063+0.0006151i,-0.0017044+0.0013547i,-0.0016072+0.0023759i,-0.0017526+0.0028686i,-0.0011282+0.0013556i,-0.00022439+0.00021688i,0.00035331-0.00052897i,0.00020584-0.0011835i,-0.00023331-0.00070901i,-0.00066138-0.00034148i,-0.00090796-0.00045819i,-0.00097216+0.0001683i,-0.0011462+0.00019724i,-0.0012583-0.00031235i,-0.0014806-6.8679e-05i,-0.001244+0.00053334i,-0.00041151+0.00013746i,0.00038733-0.00031705i,0.0011806-0.00050265i,0.00071185-0.00022441i,0.00016148-8.6809e-05i,4.4548e-05-0.00099039i
0.00037721-0.0013513i,-0.00045481-0.0007418i,-0.0015573-0.00010807i,-0.0023045+0.0007066i,-0.0020443+0.0020665i,-0.00065188+0.0025193i,-0.00017435+0.0013268i,-0.0012422-0.00041741i,-0.0017922-0.0005425i,-0.0017122-0.00013182i,-0.0013108+0.00050149i,-0.00076234+0.0012529i,-0.0001668+0.0016252i,0.00010246+0.0011214i,0.00043574+0.00052838i,0.00040378+0.00048221i,-0.00014608+0.00062609i,0.00014062+0.00041995i,0.00045574+0.00026493i,0.00027874+0.00042947i,-0.00015322+0.00030663i,-0.00054542-0.00025213i,-0.0002494-0.00034751i
0.0010474-0.00077026i,0.00065656-0.0015378i,-0.00026601-0.003051i,-0.0018641-0.0029454i,-0.0029899-0.00051294i,-0.001378+0.0027637i,0.0024961+0.0041625i,0.0041218+0.0033076i,0.004557+0.00090847i,0.0043303-0.0012546i,0.0029769-0.0021044i,0.001678-0.0020292i,-4.2304e-05-0.0018651i,-0.0016755-0.0011117i,-0.0013931+0.00060687i,-0.00027675+0.0014168i,0.00065411+0.0012578i,0.0010831+0.0011965i,0.00061051+0.00080733i,0.00035919-0.00012539i,0.00013578-0.00048694i,-0.00030304-0.00031591i,-0.00016865-3.0049e-05i
0.0018713+0.00055598i,0.0017729-0.00063809i,0.0025847-0.0010238i,0.0009453-0.00021687i,-0.00067803+0.00075736i,-0.0009532+0.0013719i,-0.0002785+0.00025735i,0.0010842-0.00089262i,0.001272-0.0013136i,0.00050584-0.0016196i,-0.00089883-0.0019472i,-0.0013943-0.0011063i,-0.00034273-0.00011975i,8.0495e-05+0.0008913i,-0.00013387+0.0011454i,-0.00033798+0.00050718i,-0.00010968+0.00054769i,1.7979e-05+0.00042481i,0.00040844+0.00017537i,0.0011308+0.00012143i,0.00088361+0.00024467i,0.00026019+9.754e-05i,-2.5099e-05-0.00027182i
-0.0010151+0.00039625i,-0.0010433+0.00063673i,-0.0018371+0.00095912i,-0.0019955+0.0013944i,-0.0018666+0.0020303i,-0.0014533+0.0021983i,0.00033206+0.0015437i,0.0018057-0.00030939i,0.001922-0.0015787i,0.00079522-0.0019089i,-0.00069756-0.00099971i,-0.0005734+7.0389e-05i,8.9657e-05+0.00013295i,-0.00041273+0.00034084i,-0.00064793+0.00077461i,-0.00010418+0.00084206i,0.00019025+0.00067327i,0.00059672+0.00059234i,0.00065068+0.00085368i,-1.2717e-05+0.00096325i,-0.00044931-0.00010019i,-0.00035762-0.00051543i,-0.0003987+0.00040748i
-0.0010453+0.00021653i,-0.00016186+0.0011372i,-0.00073211+0.0017722i,-0.0017885+0.0018589i,-0.0018481+0.0024569i,-0.00092081+0.0026405i,-9.0093e-05+0.0011416i,0.00020338-5.6908e-05i,7.6438e-05+3.5369e-05i,-0.00041465+4.9178e-05i,-0.00063323+7.0959e-05i,-0.00054193+0.00048826i,-0.00089197+0.00042137i,-0.00093976-0.00026961i,-0.00041972-0.00037697i,0.00049829+0.00056065i,0.00098434+0.0010628i,0.0013311+0.00017811i,0.00090769-5.0137e-05i,-0.00012514+0.00013531i,-5.2662e-05-8.1441e-05i,-0.00018823+7.7645e-05i,-7.0574e-05+0.00041203i
-0.0010842+0.000452i,-0.0013845+0.00035513i,-0.0020946+0.0013589i,-0.0027877+0.0023108i,-0.0020992+0.0022238i,-0.00088213+0.0023167i,0.00057225+0.00147i,0.0016234-0.00026186i,0.0012425-0.0015942i,0.0006407-0.0017994i,-0.00021787-0.0010469i,-0.0010379-0.0001498i,-0.0012379-0.00022212i,-0.00047193-0.00054252i,1.4173e-05-0.00028162i,-0.00031691+0.00041051i,2.1273e-05+0.00087498i,7.6125e-05+0.00051125i,1.4916e-06-0.0003389i,5.345e-05-0.0010424i,0.00031393-0.00098932i,0.00036486-0.00077303i,-0.00043524-0.00079121i
