-0.0010143+0.0016182i,0.00063768+0.00053647i,-5.8046e-05-0.00072845i,-0.0008932-0.00097199i,-0.00031181-0.0002956i,0.00027812+0.00026605i,0.00026741+0.0006678i,-0.00060414+0.00021123i,-0.00043467-0.00046139i,7.8014e-05-0.0001593i,-5.4905e-05-6.4519e-05i,-0.00027661+0.00011188i,-0.00092146-5.8563e-05i,-0.00075041-0.0006917i,0.00040076-0.00069315i,0.0011101-0.00010731i,0.0013212-0.00045024i,0.00082553-0.00056561i,-0.00030131+0.00010192i,-0.0003392+0.00091099i,-4.2579e-05+0.0013917i,-0.00029442+0.00074363i,-0.00050445-7.2963e-05i
-0.00046316-0.0013207i,-0.00041067+0.0012617i,-0.00011591+0.0018173i,0.00090522-1.7637e-05i,0.0013556-0.0013104i,0.0012956-0.00075966i,0.0010281-5.1287e-05i,0.00061167+0.00041063i,-0.00053138+0.00096583i,-0.00067939+0.00063079i,0.00074554+0.00029594i,0.0011763+0.00015976i,0.00054356+0.00044057i,0.00049856+0.0003845i,0.00086334-0.00031464i,0.0007301-0.00036692i,0.00088487+0.00051628i,0.00087148+0.00032567i,0.00011614-0.0004986i,-0.00056615-0.00013736i,-0.00058156+0.00019674i,0.00013818-0.00028421i,0.00079346-0.000432i
-0.00086957+0.00086104i,-0.00030937+0.0022608i,-0.00081769+0.0019242i,-0.00058391+0.00089591i,0.00047555+0.0016888i,0.001316+0.0018481i,0.00081309+0.00073432i,-0.00031465+0.0001321i,-0.00056195-0.00026668i,0.00034346-0.00042286i,0.0010263-0.00010611i,0.00070404-0.00016389i,0.00020616-0.00061121i,-0.00020693-0.00095893i,-0.00033286-0.0005638i,-7.9906e-05-0.00056899i,0.00017774-0.00033686i,-0.00029007+0.00058747i,-0.00020994+0.00077806i,0.00031112+0.0003354i,0.00041464-0.00077162i,0.00032382-0.00094345i,0.00058649-0.00047285i
-0.0018017-0.00086537i,-0.0010161-6.0362e-05i,0.00010101-0.00037727i,0.00066571-0.0011045i,0.0011538-0.00037131i,0.0015092-0.0001337i,0.00085248-0.00062809i,-0.00069235-0.00070601i,-0.0019833-0.00051366i,-0.0015789-0.00035477i,-0.00058176-0.0007956i,-0.00044327-0.00089771i,-0.00049484-0.00049329i,-0.00035903-0.00047809i,0.00015944-0.00036868i,0.00048628+0.0004755i,-0.00026111+0.00082701i,-0.00071246+0.00036619i,-0.00016669-3.985e-05i,0.00030395+6.6339e-05i,0.00067331+0.00041436i,0.00086618+0.00019969i,-4.9587e-05+0.00014225i
-0.00040646+0.00060515i,-0.0007226+0.001122i,0.00024908+0.0016104i,0.00094697+0.00089026i,0.0012384-0.00045664i,0.0027495-0.00048151i,0.0025944-0.00041492i,0.00074145-0.00097908i,0.00038186-0.0012552i,0.00037013-0.000906i,-0.00032509+3.5531e-05i,-0.00029634+0.00034103i,6.3874e-05-7.9249e-05i,0.00077266-0.00050049i,0.0011968-0.00068076i,0.00068771-0.00042122i,0.0010798-0.00021909i,0.0013912-1.0873e-05i,0.00071692+0.00013669i,0.00026786-0.00013037i,0.00045029-0.0003713i,4.7411e-05+6.3003e-05i,-0.00034768-0.00040734i
0.00076178-0.0014265i,0.00033283-0.0010309i,-0.0006426-0.00037361i,-0.00043251-0.0005042i,9.1616e-06+0.00026336i,6.3184e-05+0.00026234i,-6.4844e-05-0.00039916i,-0.00059534-0.0010116i,-0.00061171-0.00066585i,-0.00028155-1.8936e-05i,-8.5219e-05+0.00013165i,-0.00016495-4.7558e-05i,-0.00013568-0.00015149i,0.00021407-0.00030197i,0.00055394-0.00080675i,0.00027019-0.00090009i,-0.00021214+3.844e-05i,-0.0001805+0.0004563i,-8.3801e-05+8.008e-05i,0.0003967+8.3132e-05i,0.00083927-0.00071405i,0.00044445-0.0011926i,0.00015205-0.00039472i
-0.0032186+2.7386e-05i,-0.0026322+0.00032699i,-0.0016171+0.0015431i,9.605e-06+0.0011915i,0.0029497-0.00019268i,0.004103-0.00079182i,0.002845-0.00030209i,0.00080985+0.00012869i,-0.0012786-0.0004566i,-0.0015857-0.00047154i,-0.00063496+0.00013658i,-0.00095372-0.00037727i,-0.0010826-0.00097288i,-0.0013163-0.0005608i,-0.00082953-0.00028788i,-0.00010108-0.00044622i,-0.0005617-0.00025043i,-0.00018365-0.00011466i,0.00044373-2.375e-05i,0.00063655-0.00029266i,0.00089989-0.0010837i,0.00040117-0.00088494i,3.4704e-05+0.00017803i
-0.0010421-0.00059992i,-0.00026134+0.00016952i,-0.00060516+0.00082354i,-0.00094455+0.0009079i,0.0002791+0.0017905i,0.0018298+0.0012945i,0.0020464-0.00066276i,0.0013384-0.0014289i,0.00022994-0.00087169i,-0.00045789-0.00053635i,-0.00012486-0.00061889i,0.00076606-0.0007337i,0.00093354-0.00099107i,0.00019354-0.0006682i,0.00021453-0.00046723i,0.00014909-0.00073192i,-0.00043044+0.00010519i,-0.00079155+0.0010627i,-0.00078309+0.00070828i,-0.00056039+0.00035701i,0.00025646+1.1672e-05i,0.00041475-3.9241e-05i,0.0007726+0.00041845i
-0.0006753-0.00094461i,-0.0012061-0.00017904i,-0.0002382+0.00077662i,0.001476+0.0016343i,0.0028539+0.0011319i,0.0035945+0.00059215i,0.003184+0.00029159i,0.0019049+0.00038509i,0.00032033-0.00017019i,-0.00056462-0.00085744i,-0.0006377-0.00015304i,-4.2317e-05+0.0001751i,0.0001958+0.00012466i,-0.00034008+0.00029163i,-0.00035764+0.00043942i,-0.00028787-0.00028997i,0.00042599-0.00024162i,0.0015415+0.00021661i,0.00099059+0.00055283i,0.00028386+0.00098531i,-0.00010966+0.00084247i,-0.0001827+0.0003035i,0.00031925+7.7334e-05i
-0.00064328+0.00035649i,-0.00047871-0.00056146i,0.00022327+0.00014955i,0.00037768+0.0003823i,0.0011836-0.00025844i,0.0030849-0.00073172i,0.0025882-0.00074611i,0.0001479-0.00092054i,-0.00067634-0.00062987i,-0.0007068-0.00054823i,-0.00042959-0.0008499i,0.00035057-0.0012786i,-0.0001035-0.0018677i,-0.00078726-0.0014975i,-0.0001442-0.00094418i,0.0005034-0.0003193i,6.2525e-05+0.00015141i,-8.6452e-05+0.00016179i,-0.00024401-0.00017213i,-0.00011611-0.00046326i,-0.00046812-0.00021027i,-0.00092889+4.9048e-05i,-0.00073674-0.00034158i
0.0012374-0.00054464i,0.00091955-6.35e-05i,0.0010439+0.00032656i,0.0017964-0.00012336i,0.00082933-0.0005096i,-0.00060181-0.001361i,-0.00047183-0.0015629i,-0.00045248-0.00091412i,-0.0011377-0.00038248i,-0.00069481+0.00035452i,-0.00056153+0.00018201i,-0.0010708+2.0044e-05i,-0.0013372+0.00096175i,-0.00099275+0.00099151i,-0.0005626+0.00018529i,-0.00054247+0.00016403i,-0.00028046-0.00066496i,-0.00022666-0.0013311i,-0.00032581-0.00063846i,-0.00057468+7.1617e-05i,-0.00017006-0.00045616i,0.00028667-0.0011283i,-8.2608e-05-0.00066299i
0.0022933-0.00026162i,0.0017402-0.0020399i,0.0018011-0.0033691i,0.0010439-0.0025957i,-4.8994e-05-0.0011368i,0.00034769-7.1713e-05i,0.00073237-0.00013368i,-0.00020262-0.00036427i,-0.00065827+0.00023986i,-0.00035067+0.00077739i,7.8605e-05+0.00043125i,0.00034449-4.5434e-05i,-0.0003847+0.00066015i,-0.00020802+0.00065005i,0.00068828-6.1417e-05i,0.00033909+1.5789e-05i,0.00018508-0.00029311i,0.0009331-0.00040878i,0.0011504+2.3339e-05i,0.00073335-6.2692e-05i,-0.00018302-0.00013716i,-0.0004047-0.00017984i,-0.00043403-0.00027828i
-0.00022256-0.0019264i,-0.0011601-0.0011434i,-0.0012722-0.000766i,-0.0011792-0.00027385i,-0.00061686+0.00014917i,0.00081344+0.00088373i,0.00064846+0.00080398i,-0.00065226-6.5256e-05i,-0.00094384-0.00024182i,-0.00027765-0.00038928i,-9.9538e-06-0.00046178i,-4.9879e-06+4.2762e-06i,-0.00062746+2.3387e-05i,-0.00041653-0.00068106i,0.0007405-0.0011116i,0.00063969-0.00055786i,0.00022991+0.00026913i,-0.00014637-0.00044423i,-0.00068089-0.00093136i,-0.0010322+0.00018786i,-0.0010427+0.00066359i,-0.00037036+0.00017115i,-8.2921e-05+0.00016147i
-0.0011815-0.00093637i,-0.0018727-0.00036399i,-0.0023085+0.00060219i,-0.0012765+0.0011248i,-0.00035207+0.00039351i,0.00043088-0.0010068i,0.00035707-0.0013769i,0.00012001-0.0007134i,-0.00013331-0.00063977i,-0.00039991-0.00069268i,-0.00019795-0.00031948i,-9.0679e-05-1.5009e-05i,-0.00011361-1.2917e-06i,0.00054755-0.00035046i,0.00080811-0.0011967i,0.00010771-0.0011013i,-5.5141e-05+8.4586e-05i,8.5922e-05+8.9877e-05i,-4.4171e-05+7.6749e-06i,0.00021455+0.00046606i,0.00064449+0.00024992i,0.00023935+8.7977e-05i,9.678e-06+6.3812e-05i
-4.6062e-05-0.00096004i,0.00057476+0.00012202i,-0.0001634+0.00036886i,-0.00045724-0.00067048i,0.00056403-0.00025049i,0.00076915+1.4432e-05i,0.00027334-0.00057304i,0.00042256+0.00021663i,0.00043592+0.00084841i,-3.3396e-05+0.00032092i,-4.0746e-06+0.00031265i,-5.9586e-05+0.00021046i,-9.5594e-05+7.8572e-06i,0.0001974+0.00011214i,0.00023081-9.1558e-05i,0.00017722+0.00039378i,8.3986e-05+0.00075637i,0.00039101+0.00039786i,0.00035939+6.7156e-05i,2.8611e-05-0.00032651i,0.00017237-0.00090502i,0.00057723-0.0005903i,0.00048098+0.00027859i
-0.00058774-0.0014012i,-0.0010776-0.00094072i,-0.0016991-0.0013903i,-0.0010348-0.00033933i,-0.00019099+0.001552i,0.00038687+0.0019936i,0.00084722+0.0019469i,0.00070351+0.0013585i,-0.0003824+0.00038871i,-0.00074634+0.00066328i,-0.00050693+0.00080294i,-0.00044714+0.00016647i,-0.00037618-0.00037834i,0.00032075-0.001161i,0.00044799-0.00084896i,-0.00022529+8.3275e-05i,-8.0585e-05+2.408e-06i,0.00048024-0.00016101i,0.00034862+0.00021297i,-0.00078061+0.00033781i,-0.00044537+7.4214e-05i,8.7405e-05+0.00061436i,-0.00028162+0.00066339i
-0.00049689-0.0007386i,-0.00072074-0.00047737i,-0.00065198-0.0008256i,-0.0011684-0.0013831i,-0.00083007-0.0024489i,0.00063027-0.0022962i,0.0012941-0.0013796i,0.00055413-0.0007392i,0.00021443-0.0003585i,9.4162e-05-0.00064017i,-0.00033501-0.00049012i,0.00032977-9.0466e-05i,0.00095607+0.00030266i,0.00050931+0.00091735i,-0.00012751+0.00021947i,-4.6877e-05-0.00086956i,0.00050689-0.00020466i,0.00042779+0.00064795i,0.00019671+0.0010936i,0.00024593+0.00080173i,-6.7453e-05-0.00040586i,-0.00042566-0.00098367i,0.00022552-0.00050142i
0.00076056+0.0018631i,0.0009429+0.0017443i,0.00070644+0.0021258i,0.0011657+0.001741i,0.0012919+0.0011575i,0.0013265+0.00082541i,0.001178+0.00045582i,0.00064267-0.00057814i,0.00016993-0.00082782i,2.7601e-05-0.00078558i,0.00018386-0.00045067i,0.00028334+0.00069038i,0.00056119+0.00095397i,0.00036161+0.00053763i,-0.00029774-0.00012824i,9.1567e-05-0.00036535i,0.0010962-0.00032837i,0.00081949-0.0011235i,-0.00028198-0.0016493i,-0.00047356-0.0011542i,1.123e-05-0.00033995i,-0.00031481+0.00014981i,-6.268e-05-0.00030224i
0.00028217-1.8306e-05i,0.00066866+2.2203e-05i,0.00060397-0.00024752i,0.00033056-0.00057576i,0.00092555-0.00088798i,0.0011519-0.0021855i,0.00057313-0.0024259i,0.00050145-0.0014286i,0.00060643-0.00087733i,0.00026623-0.00023925i,0.00045521+0.00030849i,0.00062016+0.00030864i,9.03e-05-0.00037906i,-0.00027974-0.00040486i,0.00012323+6.4683e-05i,9.5181e-05-2.4909e-05i,-0.0001205-0.00035599i,-0.00027446-0.00050411i,6.737e-05-0.00054678i,0.00035246-0.00036888i,-0.00027832-0.00048995i,0.00022438-0.00050031i,0.0007167+0.0001327i
-7.5305e-05+2.1026e-05i,0.0006973-0.0003282i,0.00063339-0.00070473i,0.00072275-0.0010719i,0.0010249-0.0013702i,0.0011524-0.00027589i,0.0011986+0.00064832i,0.00092785-0.00013573i,0.00018801-0.00079625i,-0.00051344-0.00037183i,-0.00065949-4.6568e-05i,-0.00047601+1.2177e-05i,-0.00017609-0.00022307i,0.00012522+3.5715e-05i,0.00069834+0.00026474i,0.000697+0.00028714i,0.0001295+0.00030578i,-0.00050756+0.00045422i,-0.00043478+0.0005051i,-0.00021594-2.3093e-05i,-0.0001719-0.00045919i,0.0004821+0.00019343i,8.209e-05+0.00033235i
-0.00052623-7.1594e-06i,-5.7064e-05-0.0015153i,0.0011876-0.0017633i,0.0011434-0.00098006i,0.00093539-0.00046885i,0.0012754-0.00093217i,0.00044477-0.0010306i,-0.00011101-0.0010643i,0.00016136-0.00048454i,0.00016718-0.00034875i,0.00029447-0.00010839i,-1.7072e-05-0.00043551i,-0.00050472-0.00085902i,-0.00040593-0.00016049i,6.4406e-05+0.00011533i,-0.0001847-0.00019805i,-8.6638e-05-0.00034484i,0.00035747+0.00041928i,0.00030988+0.00053717i,0.00018321+7.5399e-05i,0.00021605+9.052e-05i,-0.00049312+0.0003992i,-0.00080291+0.00036421i
-0.0010079+0.000712i,-0.0009947+0.0010491i,-0.0010054+0.00067498i,-0.00020485-5.8178e-05i,0.00070837-0.0012141i,0.0018531-0.0014263i,0.0018915-0.0012925i,0.0007332-0.0013307i,-0.00047277-0.00028723i,-0.0010828+0.00054012i,-0.00086761+0.00046901i,-0.00036596+0.00021801i,-0.00047897-0.00073976i,-0.00071187-0.00094347i,-7.9342e-05-4.5549e-05i,5.4444e-05+0.0003922i,0.0003339+0.00051732i,0.00071438+0.00019531i,4.2229e-05+0.0005569i,-0.00037129+0.00080888i,0.00024836+0.00032483i,6.6038e-05+0.00011955i,-0.00061377-0.00022916i
-0.00074052+0.0017683i,0.0002532+5.3772e-05i,0.00068531-0.00011973i,0.0018179-0.00020729i,0.002538-0.00090151i,0.0023487-0.00088462i,0.0018032-0.00076319i,0.00015351-0.00066445i,-0.0010627-0.00033368i,-0.00037668+3.4001e-05i,0.00018016+0.00026062i,-0.00052584+0.00056218i,-0.0014914+0.00099594i,-0.0010258+0.00052201i,0.00034976-5.4515e-05i,0.00030843+0.00021631i,-3.6966e-05-0.00021271i,0.00061555-0.001099i,0.00072989-0.0013925i,0.00033145-0.0014927i,0.00053166-0.0010229i,0.00035973+0.00024887i,0.00053212+0.00090342i
-0.0018403+0.0022525i,-0.0014585+0.0014255i,-0.002148+0.00092659i,-0.0016589+0.0013973i,-0.00081297+0.00089233i,0.00075189-0.00086697i,0.0016736-0.0012349i,0.00077282-0.00053935i,0.00037396-0.0004416i,-0.00031554+4.5102e-05i,-0.00084079-0.00016037i,-0.00050751-0.00065218i,0.00023263+5.1255e-05i,-0.00012986+0.00043788i,-0.00086488+0.00017749i,-0.0011626+0.00015554i,-0.00060457-0.00011875i,-0.00018325+9.329e-05i,-0.00047104+0.00079272i,-0.00097242+0.00019172i,-0.00098468+0.00020501i,-0.00025758-0.00019101i,-0.00034238-0.00049164i
-6.3402e-05+0.00048768i,0.00096802+0.00059944i,0.0022645+0.00074164i,0.0017257+0.00016843i,0.0010513-0.00040252i,0.0015101-0.00017439i,0.0011328-0.00049565i,0.0001483-0.00080488i,-9.8193e-05-0.00051863i,-9.97e-05-4.1539e-05i,0.00017321-7.1731e-05i,0.00053157-0.000468i,0.00045323-0.0005919i,0.000228-0.00055117i,-7.5245e-05-2.9792e-05i,0.00015356+0.00051299i,0.0002992-9.7624e-05i,-0.00039041-0.00039241i,-0.00075416+0.00014269i,-0.00047246+0.00012657i,0.00021362-0.00026593i,0.00026427-0.00067047i,-0.00066105-0.00073845i
-9.1883e-05+0.00021526i,-0.00071632+0.0010136i,-0.00099756+0.0011371i,8.7409e-05+0.00074802i,0.0011635+0.00084531i,0.0023924+0.0010075i,0.0023515+0.00096613i,0.0010189+3.832e-05i,-0.00027509-0.00065003i,-0.00058038-0.00082179i,-3.3725e-05-0.00017409i,0.0001369-0.00014705i,0.00034968-0.00090217i,0.00066926-0.00032368i,0.00050495+8.4957e-05i,0.00042917-3.4646e-05i,0.00014566+7.1171e-05i,-0.00062538-2.207e-05i,-0.00075754-0.00049988i,-3.7361e-05+9.0782e-05i,9.9837e-05+0.00042827i,0.00012284-0.00011694i,-0.00029629+2.3679e-05i
0.00027707+7.0373e-05i,0.000952-0.00026361i,0.00078937+7.9057e-05i,0.00047991-5.2874e-05i,0.0010606-0.00074015i,0.0014905-0.0012047i,0.0010732-0.0011741i,-5.8301e-05-0.0017026i,-0.0011291-0.0015942i,-0.00091897-5.1184e-05i,0.00019085+0.00062177i,0.00031244+0.00016021i,-0.00015527-0.00062365i,-0.00046372-0.00095066i,-0.00030707-0.0012099i,5.0822e-05-0.0011387i,-0.0003397+0.00017481i,-0.00088334+0.00035493i,-0.00071451+0.0002987i,0.00025994+0.00040274i,0.00046274-1.2225e-05i,-0.0003591-0.00071851i,-0.00057713-0.0007598i
-0.0011632-0.00098948i,-0.0016157-0.0019248i,-0.0020092-0.002991i,-0.0013123-0.0026875i,-0.00023659-0.00035971i,0.00073065+0.00070342i,0.0011831+0.00016093i,0.00026812-0.00053576i,-0.00055438-0.0009596i,-0.00070655-0.00084985i,-0.00051518-0.00047878i,0.00019315-0.00041699i,-0.00052968-8.1309e-05i,-0.0014548+0.00048308i,-0.00056317+0.00065983i,0.00014737+0.00065119i,4.4967e-05+0.00013595i,-0.00018601+0.00021713i,-8.0678e-05+0.00070112i,0.00040062-0.00015491i,-2.8153e-05-0.00093734i,-0.00018521-0.0011829i,0.0001067-0.00098143i
-0.0001458-8.1796e-05i,0.00030191-0.00039086i,0.00099594+8.4177e-06i,0.0015291+0.0011534i,0.0016331+0.00095935i,0.0020458-0.00025135i,0.0018809-0.00049942i,0.00060551-0.00066461i,-0.00030016-0.00055465i,-0.00040963-0.00014011i,0.00017059-0.00094667i,0.00078106-0.0010063i,7.3871e-06+0.00023505i,-0.00074045+0.00028259i,-0.0006227-0.00014171i,-0.00066005+8.3382e-05i,-0.00055872+0.00057009i,-0.0003743+0.00052857i,-0.000885+9.3222e-05i,-0.00033529-0.00028772i,0.0001447-0.00058137i,2.6506e-05-0.00029367i,0.00082188-2.3436e-05i
0.00083057-0.00065979i,0.00038297-0.00093591i,-0.00018736-0.0015828i,0.00014524-0.0014196i,0.0013309-0.00047728i,0.00063881+0.00031011i,-0.00013074+0.00010241i,0.00052027-0.00035552i,0.00082602-0.00024442i,0.00093169-0.00039608i,0.00060084+2.9072e-05i,-0.00036768+0.00022405i,9.0872e-05+9.2154e-05i,0.0011194-0.000137i,0.0011802-0.00081318i,0.00069504-0.0005688i,0.00023681-0.00028569i,4.6754e-05-0.00079929i,0.00036187-0.00076808i,4.6144e-05-0.00022779i,0.00040085+0.00012612i,0.0011048+0.00031079i,0.00067805+0.00024723i
-0.0017848-0.0016559i,-0.0013274-0.0018278i,-0.002298-0.0015987i,-0.0022949-0.0015817i,-0.0011579-0.00063204i,0.00059865-0.00056616i,0.0014337-0.0015195i,0.00093754-0.0013096i,-0.00021275-0.00035175i,-0.00083473+6.7459e-05i,-0.00047169+0.00021442i,-7.8725e-05+9.8715e-05i,0.00050433-9.037e-05i,0.0011977+2.8938e-06i,0.0010866-2.6251e-05i,0.00060496+0.00012043i,3.0862e-05-0.00022302i,0.00029241-0.0009046i,0.00049504-0.00012654i,0.00051285+0.0011953i,0.0006407+0.00089319i,0.0005707+5.7212e-05i,0.00029393-0.0001292i
0.00023413+0.0026641i,0.0015849+0.0010833i,0.0033594+0.00045273i,0.0033426-0.00039787i,0.0030011-0.0021115i,0.001951-0.0026312i,0.00051239-0.0013736i,-0.00041329-0.00040953i,-0.0001081+2.1119e-05i,0.0001759-0.00022821i,0.00031976-0.00088013i,0.00035962-0.00077199i,-0.00014644-0.00015816i,-0.00039181-0.00047458i,-0.00041174-0.00082838i,-0.00043095+7.7694e-05i,0.00012268+0.00061437i,0.00071913-5.1329e-05i,0.0011184-0.00014106i,0.00059625-0.0001996i,0.00015634-0.00089527i,-0.00032869-0.00048832i,-0.00052337-0.00014657i
0.00019515+0.0011035i,9.9616e-05+0.0007795i,0.00019451+0.00029514i,0.00031698-0.00024895i,0.0013399+0.0001078i,0.0015839+0.00071699i,0.00069166+0.00058127i,0.00019119-0.00031768i,5.9548e-05-4.1988e-05i,-0.00019857+0.0002573i,0.00027702+2.3426e-05i,0.00038156+0.00038972i,-0.00031416+0.0003951i,-0.0010279+0.00036754i,-0.00069076+0.00083405i,0.00028484+0.0013684i,4.8508e-05+0.0012504i,-0.00027947+0.00066511i,-3.2676e-05+0.00047623i,0.00014336+0.00056669i,-0.00021132+0.00069478i,-0.00041792+0.00031i,-0.00057176-0.00041745i
0.00118+0.00041857i,0.0014477+0.00047301i,0.001211-4.1614e-06i,-0.00059699-0.00046527i,-0.001501-0.00047939i,-0.00027449-0.00040973i,0.00063026-0.00040274i,0.00045155-0.00040989i,-0.00028584-0.00063996i,0.00024791-0.00093766i,0.00044563-0.00080023i,-0.00025324-7.2508e-05i,0.00015361+0.0001496i,0.00046499-9.4786e-05i,0.00049314+0.00011526i,-3.9581e-05-0.00020677i,-0.00047598-0.0011268i,0.00011275-0.00086128i,-0.00016268-0.00025017i,0.00016197+0.00019956i,0.00015095+0.00051503i,-0.00066784+0.0003456i,-0.00039712-0.00020075i
-0.00013093+4.8285e-05i,0.0013594-0.00036017i,0.0015606-0.0011082i,0.0013179-0.0020135i,0.0017966-0.0015497i,0.0017527+6.4956e-06i,0.0012301+0.00011999i,0.00053885-0.00097997i,-0.00070727-0.0014882i,-0.00036951-0.0016636i,0.00025335-0.0010773i,-6.9609e-05-0.00084412i,7.008e-05-0.0010533i,0.00055836-0.00050359i,0.00046736+0.00067294i,8.9146e-05+0.00033296i,0.00042537-0.00051683i,0.00099356-0.0004292i,0.00011957-0.00060028i,-0.0011378-0.0010802i,-0.00040451-0.00053618i,5.834e-05+0.00065125i,-8.058e-05+0.00078214i
-0.00084401+0.00052193i,-3.4132e-05+0.0019326i,-0.00036506+0.0026573i,-0.0003732+0.0027486i,0.0015062+0.002828i,0.0020788+0.0014102i,0.00047631-0.00045344i,-0.00084996-0.00073271i,-0.0012255+0.00012551i,-0.00091106+0.00013718i,5.9595e-05-0.00048369i,0.00087755-0.00071063i,0.0012758-0.00020397i,0.0011493+1.7809e-05i,0.00096445-0.00028559i,0.00092565-0.00020731i,0.0007303+7.3215e-05i,8.2657e-05+0.00012262i,-0.00021293+0.00035189i,0.00026153+0.00050219i,7.4723e-05+0.00082871i,0.00011091+0.00052039i,-0.00055872+0.00015838i
0.0001097-0.0012197i,-0.0004428-0.002294i,-0.00031361-0.0029122i,4.6733e-05-0.0031822i,-0.00055746-0.002746i,-0.00042556-0.00088496i,-0.00043889+0.00085112i,-0.00095307+0.00068958i,-0.00063691-7.0784e-05i,-0.00095732-0.0001558i,-0.00075145+9.0267e-05i,-0.00059584+0.00061467i,-0.00025228+0.00093279i,0.00069737+0.0011671i,0.0007793+0.00088207i,-8.6458e-05+0.00048286i,0.00035055+0.00041781i,0.00091679+0.00038476i,0.0002378+0.00041592i,0.0002832+0.00068486i,0.00040023+0.00028346i,-0.00026893-0.00024i,-0.00067839+8.2577e-06i
0.0029209-0.0002857i,0.0019986-0.0012946i,0.00097688-0.0017659i,5.9204e-05-0.0020035i,-0.00046329-0.0015439i,0.00022506-0.00026809i,0.001065-0.00041694i,0.001432-0.00073716i,0.00072118-0.00029806i,-0.00039533-0.00033265i,-0.00033137-0.00050602i,0.0002591-0.00056398i,-0.00021842+1.421e-05i,0.00017456+0.00018456i,0.00099382-0.00063285i,0.00094464-0.000701i,0.00037654-0.00021802i,-1.903e-05-0.00056968i,-0.00028896-0.00058889i,-6.9832e-05+0.00037149i,0.00020291+0.00044968i,0.00031436-0.00029466i,0.00036861-0.00097745i
-0.00032737+0.00060679i,-0.00023665+0.00064551i,-0.00091904+0.00028185i,-0.00062284-0.00055571i,6.4616e-05-0.00066752i,-0.00029997-0.00044475i,0.00021167-0.00089138i,0.00072032-0.0011833i,0.00023339-0.0011557i,-0.00026439-0.00074865i,-0.00077937+0.00037153i,-0.00048645+0.00071596i,-0.00040631+5.1805e-05i,-0.00045157-0.00042071i,-0.00050924-0.00027869i,-0.00029657+7.9222e-06i,-3.7302e-05-0.00028293i,-0.00026744-0.00025499i,4.2789e-05-5.8519e-05i,0.00036402-7.7266e-05i,0.00071729-0.00095777i,0.00079218-0.0015807i,0.0010325-0.001351i
0.001837+0.0015724i,0.002785+0.0011427i,0.0028661+0.00034583i,0.0028902-0.00058386i,0.002367-0.00089589i,0.0016763-0.00078591i,0.00056594-0.00076557i,-0.00097679-0.00088254i,-0.0010831-0.00045308i,-0.00055045-0.00025324i,-0.00016207-0.00061006i,-0.00019901-6.0803e-05i,-0.0013972+0.00059321i,-0.0017201+0.00023257i,-0.00069499+0.00016138i,-0.00014078+2.587e-05i,-1.0366e-05+0.00021596i,-0.00035116+0.00026398i,-0.00041208+0.00014377i,0.00041496+0.00033552i,0.00018204+0.00030817i,-0.00053321+0.00021005i,-0.00071647-0.00024703i
-0.00011386-0.00083616i,-0.00061161-0.0013547i,-0.0013505-0.00065717i,-0.0017171+0.00051379i,-0.0015373+0.0011315i,-0.00029558+0.00023263i,0.00056333-0.00040763i,0.00020085+6.302e-05i,-0.00048416+4.6634e-05i,-0.00069015-0.00071489i,-5.3587e-05-0.001111i,0.00015776-0.00068394i,0.00036251-9.5436e-05i,0.0012199+0.00024116i,0.00074796-0.00012864i,3.9965e-05+0.00017977i,0.00028816+0.00093956i,-0.00010721+0.0013466i,-0.00040919+0.0010213i,0.00052076+0.00017701i,0.00061938-0.0002517i,0.00019225-0.00022281i,-0.00030709-0.00061246i
-0.0016034-0.0020034i,-0.0013656-0.00025417i,-0.0017104+0.00054977i,-0.0010848-0.00033771i,-0.0003102-0.00057585i,0.00031419-0.00039607i,0.00023133-0.0012329i,-0.00011828-0.0011617i,-0.0010061+5.2802e-05i,-0.0015271+0.00016868i,-0.0010871-0.00036429i,-0.00040857-0.0011511i,-0.00055239-0.0010691i,-0.00022154-0.00050425i,-0.0003268-0.00011639i,-0.00080391-0.00023693i,-0.00036167-0.00032832i,0.00012047+0.00044901i,0.00022267+0.00094702i,0.00061412-0.00012i,0.00045201-0.0010757i,-0.00025357-0.00041996i,-0.00030957+0.00039135i
-7.635e-05-0.0020333i,-0.00055551-0.00073171i,-0.0019729-0.00076984i,-0.0021794+3.4868e-05i,-0.00088412+0.001125i,0.00034419+0.0015418i,0.0010827+0.0015101i,0.00082722+0.00079123i,-0.00067428-0.00039892i,-0.0016951-0.00048452i,-0.0014591+0.00016386i,-0.00057049+0.00095847i,-0.00011962+0.00083836i,0.00027557-0.00025047i,0.0004947-0.00063668i,-0.00023144-0.00044173i,-0.00069412-0.00031275i,-0.00085968-0.00080526i,-0.00095245-0.00082162i,-0.0005309+8.9771e-05i,0.00010974-0.00016822i,0.00030666-0.0010014i,0.00056457-0.0010908i
