-0.0018771+0.00081752i,-7.4442e-05+0.00070496i,-0.00048025-0.00030825i,-0.00085057-0.0017197i,-0.0010957-0.0022926i,-0.00082112-0.0019549i,0.00063678-0.00049421i,0.0021402+0.00029603i,0.0028244-0.00033426i,0.0029307-0.00081639i,0.0017354-0.0010935i,0.00059187-0.0011523i,0.00016144-0.00044589i,-0.00015694-0.00063661i,-0.00039503-0.0011838i,-0.00056862-0.00094311i,-0.00072139-0.00089774i,-0.00071099-0.00045439i,-0.00022063-0.00034313i,0.0006228-0.00043552i,0.00024297+0.00021789i,-0.0005548+0.00028818i,-0.00061421-0.00040596i
-0.00017742+0.00088838i,-0.00051115+0.0012268i,0.0010624+0.0011763i,0.0034452-0.00095353i,0.0034621-0.0023756i,0.0022329-0.0015676i,0.0018588-0.00024798i,0.0018926+0.00070093i,0.0010952+0.00056841i,0.00075417+0.00050021i,0.0011683+0.00045336i,0.00066033+3.1617e-05i,0.00015583+8.5511e-06i,0.00040231+0.00068261i,0.00078121+0.00037213i,0.0010784-0.00065593i,-0.00040747-0.00036754i,-0.00040029+0.00021517i,0.00016808+0.00026213i,-0.0003863+7.9683e-05i,-0.00021856+6.6466e-05i,0.00048167+0.00022667i,0.00043782+0.00035201i
-1.7646e-05+0.00018735i,-0.0010801+0.00046249i,-0.0010962+0.00048815i,-0.0002597-0.00077638i,0.00060599-0.0018145i,0.00079991-0.0011996i,-8.1636e-05-0.00038504i,-0.00047881-6.5279e-05i,7.715e-05+0.00031295i,0.00068822+0.00073117i,0.00069506+0.00043165i,0.0006068+0.0001049i,0.00090393+0.00031084i,0.001123+0.00017766i,0.0011445-0.00013961i,0.00094546-0.00044873i,7.0327e-05-0.00069029i,-2.6246e-05-0.0010192i,0.00058638-0.0012574i,0.000834-0.00035932i,0.00060307+0.00052635i,-0.00047065+0.00040095i,-0.00044032+0.00050502i
-0.00014596+0.0012512i,0.00054041+0.0008547i,0.0019708+8.3423e-05i,0.0032818-0.00091802i,0.0037605-0.0011137i,0.0025075-0.00068871i,0.0014349-0.00011557i,0.0016314+0.00017904i,0.0013875+0.0005218i,0.0010753+0.0010532i,0.00093729+0.0011131i,0.00053121-3.4175e-05i,0.00056539-0.0010959i,0.00079428-0.0013406i,0.00033462-0.00073006i,-0.00037022+2.1018e-06i,-0.00097597-1.8931e-05i,-0.00060617-0.00013439i,-0.0004229+0.000247i,-0.00029817-5.7887e-05i,0.00063518-0.00034702i,0.00059735-0.00017775i,0.00019788-0.00014491i
-0.00025968-1.004e-05i,-0.00029534-0.00035969i,0.001196-0.00065522i,0.0016064-0.00090397i,0.0007442-0.0016024i,-0.00046907-0.0019197i,-0.00020032-0.00094861i,0.0015395+0.00050844i,0.0013191+0.000699i,0.00066972+0.0010199i,2.9473e-05+0.0011867i,-0.00073803+0.00072785i,-0.00048654+0.0011688i,9.0533e-05+0.0012739i,-6.4605e-05+0.0011469i,0.00066579+0.00028114i,0.00083277-0.0008282i,-7.3434e-05-0.0009577i,0.00028126-0.00033057i,0.00029399-0.00019595i,-0.00039511-5.7599e-05i,6.296e-05+0.00037926i,6.0783e-05+0.00039637i
-5.1681e-05+0.0031335i,0.00037951+0.0024602i,0.0013646+0.00067061i,0.0027031-0.00090975i,0.0032306-0.0015766i,0.0025721-0.0021672i,0.0016243-0.001815i,0.0012135-0.0012809i,0.0016311-0.00023876i,0.0011437+0.00015408i,0.00092408-0.00018786i,0.00033445+0.00059967i,-0.00047717+0.00054593i,-0.00035639+0.00011237i,0.00015273-0.00032594i,0.00047372-0.00035678i,-2.2762e-05-0.00038607i,-0.00068826-0.00029089i,-0.00045396+0.00065561i,2.4995e-05+0.00071745i,0.00068587+0.00016656i,0.0012803+9.2017e-05i,0.00066323-0.0007721i
-0.0037967+0.00046851i,-0.0030361+0.0016108i,-0.0013706+0.0027331i,0.00082191+0.001177i,0.0027864-0.0011678i,0.0028411-0.001088i,0.0019424-0.00044796i,0.0014661+0.0003962i,0.00064556+0.00071886i,0.00046857+0.0004896i,0.0013451+0.00090813i,0.001264+0.0006268i,0.00046545-0.0010048i,4.422e-05-0.0012588i,-0.00027796-0.00077604i,-0.00031797-0.00068925i,0.00019845-1.4405e-05i,0.000368+0.00041187i,-3.2082e-05+8.7497e-05i,-0.00028003+0.00018879i,-0.000352-0.00012313i,0.00031049-0.00076916i,0.00074037-6.8931e-05i
-0.0010793+6.6419e-05i,-0.00091179+0.0008142i,-0.00082888+0.0012176i,0.00051297+0.00015569i,0.0022801-0.0013798i,0.0022814-0.0011684i,0.0012405-0.00013238i,0.00054692+0.00019827i,0.00098315+0.00046713i,0.0013354+0.0010434i,0.00068814+0.0013495i,0.00045429+0.0010635i,-2.8521e-05+0.00089607i,-8.6237e-05-0.00016113i,0.00034849-0.00059201i,-0.00016844-0.00042171i,-0.00047271-0.0010426i,0.00017791-0.0007458i,0.00029859-0.00036021i,-5.1422e-05+0.00038922i,-0.00030757+0.0014418i,0.00016214+0.0012314i,0.00044811+8.7844e-05i
0.0010017+0.0016808i,0.0026683+0.0010325i,0.0041048-0.0001593i,0.0040165-0.002014i,0.0035817-0.0032775i,0.0018015-0.0026289i,0.00072476-0.0010568i,0.0016252-0.00050964i,0.0022832-0.00051721i,0.0020742-0.0003534i,0.0013077-1.4596e-06i,0.00045362+2.9194e-05i,-3.5076e-05+0.00042982i,-0.00071541+0.00097689i,-0.0008398+2.4228e-05i,4.4208e-05-0.00071344i,0.00094818-0.001182i,0.0010289-0.0017538i,0.00039347-0.0014193i,-0.00010935+0.00025523i,-0.00031861+0.0012776i,4.7049e-05+0.00050416i,0.00044143-0.00050209i
-0.00046668+0.00035461i,-9.9242e-05+4.3141e-05i,0.00086997-0.00021176i,0.001274-0.00095798i,0.0011483-0.0020995i,0.00049267-0.0026797i,0.00092616-0.00019857i,0.0012896+0.0014234i,0.0015755+0.0011378i,0.0020836+0.0011423i,0.0014769+0.00081215i,0.00045604+0.0002698i,0.00043823+0.00031566i,0.0011981+0.00019231i,0.0014117-0.00014134i,0.00085516-0.00063058i,0.00028455-0.0010516i,7.9179e-06-0.00037413i,0.00012083+4.4846e-05i,-0.000114+0.0002886i,-0.00034332+0.00074523i,-1.4573e-05+0.00020191i,-0.00017942-8.3274e-05i
-0.00073515+0.001402i,-0.00045382+0.0016246i,0.0013559+0.0005341i,0.0028008-0.00071543i,0.0028596-0.0013341i,0.0031276-0.0013868i,0.0022677-0.0010103i,0.0020005-0.0010139i,0.001728-0.00033949i,0.001105+0.00042326i,0.0017517+0.0010658i,0.0012039+0.0013388i,0.00041771+0.0007875i,-5.6773e-05+2.5628e-05i,-0.0005846+6.573e-05i,-0.00033703+0.00058349i,0.00027294-0.00042345i,0.00065215-0.001127i,0.00081693-0.00042144i,0.00011356+0.00044052i,-0.00055104+1.3883e-05i,0.00033736-0.00042134i,0.001204+2.3986e-05i
0.00098299+0.00023511i,0.0011452-0.00040555i,0.0021379-0.00081987i,0.0022603-0.0017851i,0.001112-0.0031334i,-0.00050325-0.0022839i,-0.00082754-0.00055851i,0.0005136-0.00024257i,0.0020921+0.00090166i,0.0022589+0.0010543i,0.00079687-0.00025336i,0.00020706+1.1055e-05i,-4.136e-06+0.00035231i,-0.00070923+0.00070135i,-0.0010412+0.0011139i,-0.00047561+0.00069147i,0.0002781+0.0002177i,-2.8279e-05-0.00013557i,-0.0011574-2.1677e-05i,-0.00099195+0.00045468i,-0.00036607+0.00060353i,-0.00045257+5.0359e-05i,-0.00041861-0.000834i
0.00037924-0.0014671i,7.2681e-05-0.0016444i,0.00025655-0.0021203i,0.0013201-0.0026555i,0.0014682-0.0028194i,0.00045146-0.00158i,0.00049195+0.00019274i,0.001097+0.00085258i,0.0014837+0.0005548i,0.0012537+0.00051343i,0.00042201+0.00053378i,0.00065857+0.00030543i,0.0014031+0.00064745i,0.0013758+0.00061853i,0.0012413+0.00010267i,0.00084515-0.00082765i,-0.00022032-0.0012277i,-0.00027394-0.00077958i,0.00043166-0.00079524i,-7.6976e-05-0.00053377i,-0.00051286+0.00039926i,-0.00014883+0.00095578i,-6.8504e-05+0.00061559i
0.0003518-0.00068894i,-0.0001484-0.00030022i,-0.0010967-0.00083832i,0.00023891-0.001453i,0.0020844-0.0015484i,0.0022417-0.0015104i,0.0017049-0.0014054i,0.0019434-0.00093756i,0.0015678+0.00032164i,0.00067861+0.00074551i,0.0013287+2.9897e-05i,0.0019536+0.00060098i,0.0019692+0.00072928i,0.0015779+6.358e-05i,0.00081549+9.5317e-05i,0.00036382-0.00043161i,-6.2605e-05-0.00051654i,-9.1768e-05-0.00041802i,-0.00029271-0.00046967i,-0.00084638+2.8079e-05i,-0.00012416+0.00028332i,0.00047801+0.00083995i,-0.00039493+0.0010168i
-0.00081991-0.00022919i,-0.0001891-6.1243e-05i,0.00027517-0.00019073i,0.00099282-0.00035835i,0.0010435-0.00086835i,0.0005191-0.00042791i,0.00031157+0.00015026i,0.0014344+0.00043649i,0.0019396+0.00080567i,0.0014756+0.00080194i,0.001169+0.00060691i,0.00075312+0.0010717i,0.0006384+0.0012807i,0.00029982+0.00042093i,-7.699e-05+0.00011056i,-0.00013217+0.00041776i,-0.00019942+0.00045219i,-0.00020785-0.00014398i,-2.2619e-05+0.00014804i,4.9169e-05+0.00052939i,-0.0002049+0.00010727i,-0.00056397+0.00016947i,-0.00049764+0.00038312i
-0.0016013+0.00032657i,-0.0015179-0.00028887i,-0.00080062-4.0669e-05i,0.0010953-0.00045681i,0.0025518-0.001171i,0.0023791-0.0011387i,0.0017047-0.00082339i,0.0014823+0.0003832i,0.0015495+0.0014925i,0.0017281+0.001017i,0.000981+0.00057965i,0.00013318+0.00072591i,-0.00010116+0.00020376i,-0.00064438-0.00030129i,-4.8086e-05-8.796e-05i,0.00079079+0.00016496i,4.9165e-05-0.00010463i,-0.00046097-0.00027192i,-0.000479-1.82e-05i,-0.00034802+9.4735e-05i,-5.9836e-05-0.00028154i,-0.00035632-2.0734e-05i,-0.00029969+0.0008459i
0.0014265-0.001592i,0.001336-0.0018935i,0.00099522-0.0020216i,0.0013176-0.0020109i,0.0013979-0.0015493i,0.00080768-0.0005624i,0.0010835+0.00015815i,0.0017421+3.6903e-05i,0.001834+0.00010755i,0.0013136+0.0005467i,0.00029867+0.00035108i,-0.00016022+3.6234e-05i,-9.4498e-05+0.00025055i,0.00014561+0.00060591i,0.00041627+8.4863e-05i,0.00098657-3.9197e-05i,0.00084512-7.9067e-05i,0.00066999-0.00015099i,0.00080536+5.1582e-05i,0.00053878+0.00039175i,0.00027007+0.00040986i,0.0001014-3.3181e-05i,0.00018145-0.00048356i
0.00052591+0.00014657i,0.0001792-0.0012389i,0.0004998-0.0023334i,0.0013214-0.0025747i,0.00042893-0.0028241i,-0.0020319-0.0017994i,-0.0015117-0.00011068i,0.00059456+0.00031416i,0.0020683+0.00013588i,0.0027868+5.2176e-05i,0.0017698+0.00055334i,0.00023019+0.00056842i,-0.00021964+7.9231e-05i,-0.00011509+0.00014234i,0.00022045-0.00010317i,0.00076523-0.0004747i,0.00043304-0.00058015i,0.00026916-0.0011805i,0.00040008-0.0013441i,0.0001323-0.00061488i,-0.00044206+0.00023331i,-0.00093976+0.00077708i,-0.00092856+0.00029523i
-0.001353-0.0012866i,-0.0013351-0.00045762i,-0.0011194+0.00075259i,5.7884e-05+0.00029173i,0.0011245-0.0014918i,0.0013084-0.0017228i,0.0011783+0.00011271i,0.0012727+0.0012146i,0.0013885+0.00061511i,2.6743e-05+7.1814e-05i,-0.00061453+0.00055253i,-0.00034541+0.00069381i,0.00058773+0.00034139i,0.0021003+0.0001679i,0.0019562+0.00021569i,0.00081024+8.5434e-05i,0.00066266-0.00021361i,0.00033757+0.00034001i,-0.00028703+0.00083623i,-0.00039011+0.00065474i,-0.00014959-9.7454e-05i,-0.00015621-0.00058595i,0.00015908+0.00041956i
-0.00096075-0.00036174i,-0.0013713-0.00087883i,-0.00035157-0.00088345i,0.0022869-0.00089636i,0.0034079-0.00012836i,0.002429+0.00031534i,0.00082543+0.00041215i,0.00046239+0.00022947i,0.00092382-0.00041446i,0.00060838-0.00035888i,0.00065831-3.9839e-05i,0.0012739+5.884e-05i,0.001128+0.00031443i,0.00036617+0.00050108i,0.00054541+3.2207e-05i,0.0013907-0.00085411i,0.00063401-0.0015461i,0.00053646-0.0010707i,0.00064725-9.9369e-05i,-4.8974e-05-7.0071e-05i,-0.00065076-2.4641e-05i,-0.00047868-4.9045e-05i,-6.3799e-05-0.00030299i
-0.00016886+0.00031453i,4.8053e-05-0.00014739i,0.00043765+6.2799e-05i,0.0010961-0.00071097i,0.0017533-0.0020671i,0.0010368-0.00083209i,0.0010791+0.00064104i,0.0017402+0.00058967i,0.0020716-0.00029974i,0.0025523-0.00047558i,0.0018733+0.00066103i,0.00072351+0.0015547i,0.00022049+0.00098235i,0.00037758+0.00040299i,0.00050788+0.0004366i,0.00043905+0.00018704i,-0.00025582+3.7401e-05i,-0.00075458+0.00021281i,-0.00060063+3.3657e-05i,0.00017951-2.1855e-05i,0.00059669+8.2547e-05i,0.00053385+0.00044627i,0.00082527+0.00046743i
0.00042925+0.00033632i,0.0011013+0.00024121i,0.0025116+0.00012505i,0.0026965-3.6387e-05i,0.0028623-0.0011709i,0.0025647-0.00096162i,0.0016007+0.00034299i,0.0019365+0.00013319i,0.0023637+9.7125e-05i,0.001662+0.00029183i,0.00080932-0.00035642i,0.00071299-0.00024318i,0.00074748-4.1966e-06i,0.00076332+0.00049542i,0.00048296+0.00044954i,-0.00013389-0.00039772i,-9.1456e-05-0.00017585i,-0.00041806+0.00088223i,-0.00062924+0.0010797i,9.1124e-05+9.6498e-05i,0.00048908-0.00026534i,0.00076402-0.00023515i,0.00067722-2.1942e-05i
-0.00020395+0.0012999i,0.00081889+0.0012523i,0.0019459+0.0023987i,0.0026107+0.0014287i,0.0029646-0.00013558i,0.0024365-0.00010715i,0.00050294+0.00058842i,-0.00062822+0.00099731i,-0.00046668+0.0016872i,0.00025284+0.0018732i,0.0010997+0.0011606i,0.00064778+0.00073715i,-0.00017066+9.0376e-05i,3.3619e-05-0.00061652i,0.00081256-0.00078254i,0.00098847-0.00075715i,0.00031064-0.00082175i,0.00026305-0.00013334i,0.00016023+0.00022098i,-0.00032743+0.00059007i,3.6665e-05+0.00070337i,0.00044471+0.00029938i,0.00042193-0.00020282i
-0.0011199+3.7595e-05i,-0.00069531+0.00033344i,0.00028062+0.00019189i,0.0013667-0.00074446i,0.0023371-0.0019033i,0.0022403-0.0016232i,0.0016769-0.00062256i,0.0022176+2.8448e-05i,0.001545+0.00039635i,0.00038174+0.00067038i,0.0006137+0.00029972i,0.00029554+0.0004978i,-3.2073e-05+0.00020529i,0.00031218+0.00023077i,0.00024737-0.0002445i,-0.00028025-0.00060479i,-0.00049758-0.0011184i,5.173e-05-0.0011495i,0.00053974-5.8283e-05i,0.00066062-0.00020647i,0.00037358-0.00027488i,-8.5486e-05+0.0011241i,-0.00089764+0.0013543i
-0.00037374+0.00098694i,0.00037499+0.00085471i,0.0022597-0.0001002i,0.0034253-0.001254i,0.0023764-0.0020212i,0.00065843-0.0024708i,0.00024457-0.0014009i,0.0011171+8.9715e-05i,0.0011551+0.00042273i,0.00073473-0.0001825i,0.00046103-0.00053351i,0.00043302+0.00022429i,-0.0003692+0.00028948i,-0.00078409-0.00032519i,1.1947e-05-0.00040904i,0.000557-0.00071954i,0.00067425-0.0010514i,0.00026154-0.00035169i,-0.0009126+0.00043848i,-0.0013451+0.00018549i,-0.00065531-0.00020717i,0.00018726-3.3622e-05i,-7.2842e-05+6.9399e-06i
-0.00091685+0.0036818i,-0.00065027+0.0023548i,0.00129+0.0010478i,0.0036919-0.00054209i,0.0043792-0.0029444i,0.0018623-0.0035641i,0.00015997-0.00095417i,0.00089348+0.00081873i,0.0020814+0.00095919i,0.0023597+0.00076053i,0.001021+0.00031608i,0.00041847+0.00010479i,0.00082955+0.00035269i,0.00071855-0.00019556i,0.00017747-0.00061793i,0.00016151-0.00080846i,0.00011089-0.00097406i,-0.00028823-0.00059905i,-0.00015551-6.2596e-05i,0.00037968+0.00020938i,0.00042048+0.0005451i,0.00055178+0.00040468i,0.00033758+0.00026738i
-0.0020327-0.00060721i,-0.00066836-0.0011054i,0.00075138-0.0005347i,0.0013462-0.00062442i,0.0013088-0.0014692i,0.0019419-0.0011118i,0.0021969+0.00015038i,0.0018765+0.00020659i,0.0023192-0.00051472i,0.0021527+0.00027423i,0.0010871+0.0009787i,0.00090171+0.00043176i,0.00096283+2.8072e-05i,0.00092744-0.00030892i,0.00077565-0.00045499i,0.00028596-0.00032203i,3.54e-05-0.00068947i,-0.00041489-0.00060833i,-0.00062916-0.00029131i,6.0014e-05+9.31e-06i,-4.9661e-05+0.0013004i,-0.0008613+0.0010601i,-0.00056747+9.8441e-05i
0.00058027+0.0009014i,0.00081734+0.0010744i,0.0015244+0.0015286i,0.0018517+0.00036926i,0.0020531-0.001846i,0.001273-0.002053i,0.00083319-0.00097538i,0.00023701-0.00034143i,0.00011168+0.00013919i,0.0012303+0.00029152i,0.0017592+0.00024592i,0.00095205+2.2003e-05i,-0.00023284-0.00057794i,-0.00013209-0.00044646i,0.0010533+0.00039564i,0.0010573+0.00040954i,-0.00015542+0.00014464i,-0.0010483-2.8504e-05i,-0.00085707-0.00093127i,-4.975e-05-0.0012545i,1.4245e-06-0.00011705i,6.3971e-05+0.00051615i,0.00060751+0.00027824i
0.00065946-0.00068429i,0.00040803-0.0011457i,0.0011702-0.0018844i,0.0014059-0.0024301i,0.00080671-0.0026613i,-3.1489e-06-0.0017414i,-1.7047e-05-0.00029995i,0.00084451+0.00045128i,0.0014686+0.00059505i,0.00093563+1.502e-05i,0.00010748-0.00079121i,-7.0275e-05-0.00037447i,0.00043243+0.00021713i,0.00057537+3.348e-06i,4.0241e-05-0.00090997i,0.00024671-0.0011027i,0.00039448-0.00014646i,-1.9104e-05+8.1767e-05i,-0.00025079-0.00031427i,-0.00073078-0.00055346i,-0.00057187+1.1902e-05i,0.00048855+0.00068905i,0.00094152+0.00049362i
0.0014751-0.00017209i,0.00089206-0.0010844i,0.00075907-0.0018163i,0.0017499-0.0014411i,0.0027721-0.0017503i,0.0024004-0.0016691i,0.0018331-0.00019713i,0.0016176+0.00072223i,0.00082904-0.00018135i,0.00032196-0.00087656i,0.000221+0.00017002i,0.00045206+0.0012669i,0.00087087+0.00034217i,0.00082101-0.00085088i,0.00098364-0.00063589i,0.00071126-0.00023715i,0.00044198-0.00061207i,0.00049665-0.00010109i,0.00053189+0.00034746i,0.00038243+0.0011022i,0.00042469+0.00084985i,0.00086046-0.00013137i,5.8701e-05-0.00028202i
0.0001325+0.00051901i,0.0014955+0.00046735i,0.0035075+0.0011554i,0.0045307+0.0014128i,0.0033673-0.0002953i,0.0011458-0.0016299i,0.00090143-0.0014851i,0.0020413-0.00083376i,0.0023516-0.00025028i,0.0018063-0.00031312i,0.00089968-0.00031033i,-1.7507e-05+0.0002303i,-0.00033579+0.00064062i,0.00021911+0.00040878i,0.00055713+0.00064633i,-0.00012478+0.00087358i,-0.00052299-7.0737e-05i,-0.00012467-0.0004394i,-0.00019317-0.00045071i,-0.00081751-0.00085196i,-0.00069793+8.5288e-05i,-0.00013765+0.00047812i,6.4432e-05+0.00021774i
0.00055996-0.00040266i,0.001072-0.00026045i,0.00079036-0.00076213i,0.0011286-0.0012852i,0.0015177-0.0010873i,0.0013014-0.00022104i,0.00079017+0.0013351i,0.0011583+0.0015587i,0.0017073+0.00095841i,0.0015633+0.00082308i,0.0005112+0.00086263i,0.00047307+0.00062904i,0.0010206+0.00085231i,0.00065954+0.00060754i,0.00029772-0.00052882i,2.1982e-05-9.5894e-05i,-0.00076179+0.00049027i,-0.00071799-3.289e-05i,1.3866e-05+0.00016745i,0.00050111+0.00018241i,0.0003106+0.00051862i,-0.00057664+0.00069253i,-0.00033203+0.00047402i
-0.00046991+0.0004896i,-0.00027619+0.00075527i,2.1677e-05+1.1823e-05i,0.0016604-0.00064866i,0.0016702-0.0002085i,-0.00053327-0.00010169i,-0.00094935+0.00014878i,0.00032891+0.00068866i,0.0010265+0.00066156i,0.00035548-3.7078e-06i,0.00031516+0.00027828i,0.00085966+0.00045571i,0.00077926-0.00034643i,0.00021361-0.00037871i,-1.9624e-05+1.6815e-05i,-8.2975e-05+5.7868e-05i,-0.00054163-0.0003234i,-0.0007178-0.00028626i,-0.00088358-0.00029558i,-0.00082542-0.00029784i,-0.00049176-0.00032208i,-0.0001607-0.00019853i,2.2377e-05-0.00073002i
-0.00015633+0.00090296i,0.0004677+0.0003185i,0.0014306-0.00064077i,0.002281-0.002327i,0.0017979-0.003563i,0.00050509-0.0028161i,0.00034406-0.0012877i,0.00099933-0.00016076i,0.0015501+0.00037725i,0.00119+0.00053517i,0.00013776+0.00073244i,-0.00013425+0.00011541i,0.00044101-0.0011759i,0.00059981-0.0012476i,0.00069028-0.00050142i,0.00086424-0.00039204i,0.00085713-0.00079549i,0.00058405-0.00062391i,0.00020455+3.1735e-05i,0.00049624+0.00020555i,0.00090795-0.00021187i,0.00031052-0.00034423i,-0.00016613-0.00064906i
-0.00041514+0.0014959i,0.00042734+0.0012581i,0.0021754+8.5142e-05i,0.0037401-0.00095939i,0.0048227-0.00098464i,0.0044682-0.00079558i,0.0024937+7.9947e-05i,0.00056311+0.0002591i,0.0016007+0.00076802i,0.0019289+0.00084213i,0.0010129+0.00014033i,0.00096587+0.00050601i,0.0010741+0.00078266i,0.00093057+0.0003096i,0.00087189-8.1402e-05i,0.0010091-6.4427e-05i,0.0010301-7.1386e-05i,0.00032521-0.00024297i,-0.00053858-0.0003068i,-0.0010771+0.00035882i,-0.0017596+0.00093199i,-0.00087624+0.00020223i,0.00060922-5.9907e-06i
-0.0026247+0.0010022i,-0.0024258+0.00088708i,-0.0016827+0.00043401i,-0.0003966+6.1702e-05i,0.00069159-0.00075083i,0.0012733-0.0005024i,0.0017872+0.00028896i,0.0018375+0.00038374i,0.0017093+0.0005986i,0.0016487+0.00090191i,0.0011129+0.0011054i,0.00097425+0.00045208i,0.0014256-2.4977e-05i,0.0011295+0.00011537i,0.00079256-0.00020962i,0.00086908-0.00054705i,0.00057083-0.00082053i,5.1439e-05-0.0013171i,-0.00014945-0.00078876i,-0.00036766+0.00029837i,-0.00079157+0.00093612i,-0.00045829+0.0007172i,0.00068888+0.00056762i
-0.001132-0.0012013i,-0.00010333-0.00080298i,0.00022709-0.00034325i,0.0017413-0.00014062i,0.0022808+2.7634e-05i,0.00169+0.00037048i,0.0015245+0.0012971i,0.0015217+0.001651i,0.0011954+0.0012103i,0.00055948+0.00091603i,0.00046617+0.00088124i,0.00065301+0.00095469i,0.00015425+0.00030442i,-0.00015186-0.00092554i,0.00056291-0.00089488i,0.00036459-0.00075329i,-0.00022965-0.00019601i,0.00029781+0.00055155i,0.0004815+0.00021949i,0.00024103-0.00038252i,0.00070465-0.00028806i,0.00088925-0.00036626i,0.00029579-0.0005363i
0.0001299-0.00048258i,-0.00049827-0.0008951i,-0.00043062-0.0015688i,0.00083004-0.0029377i,0.0018855-0.0033473i,0.00048417-0.0019445i,-0.00050007+2.0161e-05i,0.00038818+0.00065032i,0.0013053+0.00023155i,0.0019563-5.6989e-05i,0.0014712+0.00024684i,0.0002634+0.00060769i,3.8264e-06+0.00070005i,0.00039633+0.0007937i,0.0004355+0.00083482i,0.00027168+0.00077261i,2.4471e-05-0.00018615i,0.00028809-0.00062325i,0.00086757-0.0010246i,0.00083142-0.00094918i,0.00029337+0.00011589i,0.00044509+0.00046142i,0.00062264+0.00029678i
-0.0021077-0.0020489i,-0.002556-0.0012537i,-0.0017513-0.0008471i,0.00010561-0.00064659i,0.0017235-0.0011824i,0.0025635-0.00091944i,0.0019565+3.435e-05i,0.0014171+0.00043604i,0.00091715-5.5338e-05i,0.00050916+0.00022345i,0.00036774+0.00048624i,0.00026634+0.00036508i,0.00085647+0.00044042i,0.0010639+8.368e-06i,0.00069141-0.00091904i,0.00042122-0.0015465i,0.00020498-0.0014104i,0.00016412-0.00097762i,4.0822e-05-0.00078774i,-0.0011226-0.00013709i,-0.0015152+0.00038627i,-0.00048795+0.00070906i,-0.00015381+8.5547e-05i
0.00051445-0.00076899i,0.0009268-0.00039705i,0.0015979-0.00041388i,0.0029175-0.0017009i,0.0036346-0.0029254i,0.0028475-0.0013023i,0.0019389+0.00056242i,0.0015087+0.00035122i,0.0013281+0.00053953i,0.0015546+0.0004722i,0.0011847-0.00028414i,-0.00015962+0.00076217i,0.00010417+0.0008595i,0.00066673+8.3628e-05i,0.00059861+0.00061676i,0.00037381-8.2645e-05i,-7.6893e-05-0.0001206i,-0.00038262+0.00042541i,-0.00036006+0.00046151i,-0.00022068-6.8769e-05i,-0.00034281+0.00026804i,-0.00027793+0.00066208i,-0.00013825-0.00023445i
0.0014674+0.00093336i,0.0013587-3.2203e-05i,0.0022815-0.0013687i,0.0021088-0.002683i,0.0012785-0.0033986i,0.00023982-0.0035079i,0.00022034-0.0019027i,0.0011927+0.0011028i,0.0019368+0.0024384i,0.0019927+0.0019043i,0.001776+0.0011209i,0.0013791+0.00027865i,0.0005416+0.00029896i,-0.00027372+0.00043969i,-0.00035755-6.3675e-05i,-0.00037998-0.00091897i,-4.9273e-05-0.0014405i,0.00036404-0.0012453i,0.00069135-0.0008419i,0.00039253-0.00055656i,3.0497e-05-0.00030017i,6.1743e-05+0.00019373i,-8.0774e-05+0.00019247i
0.00024171-0.001235i,0.00028005-0.0010875i,0.001375+0.00046444i,0.0026195+0.00094949i,0.0027624+1.0669e-05i,0.0019845-0.00033554i,0.00090207+0.00027779i,0.00082417+0.00083381i,0.0013741+0.00073705i,0.0011541+0.00047701i,0.00071082+0.00097376i,0.00061496+0.0013849i,0.00013274+0.00056667i,0.00025898-0.00039311i,0.00030754-9.6993e-05i,-1.4716e-05+0.00039046i,-1.9787e-05+0.00044596i,0.00041929-5.2555e-06i,0.00070115-0.00021441i,0.00017741+0.00043792i,-0.00067628+0.0010509i,-0.0010856+0.00073692i,-0.00028684-0.00029231i
-3.8487e-05+0.0009852i,0.0013245+0.0012381i,0.002351-0.00025204i,0.0037202-0.0024258i,0.0044459-0.0035899i,0.0028686-0.0032368i,0.00065598-0.0013867i,0.00055588+0.00036526i,0.0015941+0.00071708i,0.0022423+0.00014355i,0.0019184-0.00041422i,0.0010894-0.0005929i,0.0007763-0.000408i,0.00062601-0.00012948i,0.00063475-0.00018984i,0.00031163-0.00023307i,-0.00032933-0.00033621i,-0.00016351-8.6979e-05i,-0.00016716+0.001084i,0.00011969+0.0021207i,0.00034142+0.0017679i,3.6936e-05+0.0011834i,1.1191e-05+0.0004618i
-4.9914e-05+0.0010784i,0.00087389+0.00031408i,0.0010008-0.00094082i,0.0021773-0.0017942i,0.0026576-0.0024205i,0.0021258-0.0019961i,0.0015379-0.00076905i,0.00097667+0.00072556i,0.00087802+0.0012673i,0.00082797+0.00015962i,0.00084321-0.00043157i,0.00087978-0.00078282i,0.00056878-0.00098235i,0.00052179-0.00056824i,0.00022335-0.00025733i,-0.00029722-0.00036287i,0.00011436-0.00047411i,-0.00011177-0.0006858i,-0.0011517-0.00059273i,-0.0011775+0.00021746i,-0.00023628+0.00016009i,0.00011828-0.00038188i,0.0002885+1.0812e-05i
